A,D,N_step,S,S_noisy
3.675468258849331704e+01,3.347826869257085605e+02,4.215102082188307620e+00,4.299324807741625065e+00,4.053854396892710099e+00
2.573542554816822872e+02,3.771478744993847840e+02,3.239551682509258068e+00,4.266757749034058023e+00,4.130112416677945930e+00
2.353770266508453091e+01,2.861783479419092941e+02,2.681519282947746330e+00,3.325250045586952030e+00,3.310841309641506580e+00
1.097462756509453019e+00,4.278197876280252103e+02,2.203884826707640521e+00,3.860348313253081365e-01,1.970845067131526407e-01
2.288369149001420055e+02,4.162669673732865476e+02,2.554022551738091007e+00,2.759318267091767751e+00,2.739664273521324134e+00
1.091398936076585535e+01,4.819488694956130814e+01,2.293625106155012805e+00,9.369280762175559829e+00,9.388377367669450635e+00
1.105491831371870859e+01,2.241778936780713423e+02,3.353453487370257502e+00,4.401736518024561562e+00,4.408853765435658545e+00
1.028302355922148905e+02,6.033603219942490625e+01,4.560157034318319091e+00,1.509381841337359020e+01,1.499256008171072807e+01
3.905603426925435273e-01,4.752695196458535065e+02,1.184411338653614809e+00,2.725473883399369066e-02,1.460043531911582593e-01
1.898920908757345103e+02,2.174455981395193476e+02,1.032191282050842762e-02,1.871871623257944872e+00,2.050105014114410373e+00
5.409381656964706053e+01,1.100391590503916888e+02,1.287902356497672152e-01,4.886269044555702656e+00,4.950438705469015765e+00
1.407303494975683691e+02,4.188142708612840579e+02,4.558483131633671803e+00,4.515700983075438657e+00,4.352054937597377382e+00
5.840701832282544359e-01,4.360807979811448831e+01,4.644163497405808805e+00,1.552828693501789870e+00,1.699159150258878093e+00
1.619782283549411375e+02,7.704347432294427733e+01,4.375745004395540150e+00,1.524057216676092885e+01,1.514028416306751801e+01
5.824996975881281402e-01,3.394149683747684207e+02,2.912365612054963471e+00,3.228750652901201668e-01,4.987071889477172615e-01
2.119387992329347936e-01,2.537116614444121581e+02,2.926059476197581777e+00,6.584050149541714747e-02,-1.485169818800717023e-01
2.635772346041686092e+02,1.336473331357904613e+02,2.019551378986546464e+00,1.009456657617527853e+01,1.027746001680103483e+01
2.786980850811817163e+02,2.881398846310894442e+02,1.689098454605062472e+00,3.802245958622337163e+00,3.798233267699241189e+00
3.207364999713352631e+02,1.036918369057658396e+02,4.666114308115197673e+00,1.580327816273849528e+01,1.555352838467161192e+01
7.720383563118012660e+00,1.546178054486738063e+02,2.651693629493420801e+00,4.990302625137904791e+00,4.927522730744534840e+00
1.247939566542436429e+00,3.055303070704473498e+02,1.376046780505814082e+00,5.648930727659839945e-01,5.757135285202927832e-01
1.067498600694413019e-01,4.414660773950892008e+02,3.286131915760905464e+00,6.944876460496495971e-03,6.150314429338724770e-02
3.827221364333340858e+01,3.515891363869553174e+02,4.582995129463618422e-01,6.489263541764579424e-01,4.524887291882623841e-01
7.579447236923689957e+01,3.216138920711149467e+02,3.418442724833077317e+00,4.405294030685247719e+00,4.183819421252208848e+00
2.199261471714221443e+02,3.733235685358429805e+02,1.362058425128859218e+00,1.817154094130488895e+00,1.857071000699905161e+00
1.341254862554780214e+00,1.891878903159419565e+02,3.470571803112106224e+00,2.218838867939965542e+00,2.125488944564005056e+00
7.258931007170725813e-01,4.904890301019366348e+02,2.409638798125312675e+00,1.820143748197980416e-01,2.291154971658430906e-01
3.608490117704202760e+01,3.056300900039669841e+02,4.305917781915665543e+00,4.843646149722992789e+00,4.995550054218668379e+00
1.660425263495577042e+02,1.287806377558028998e+02,3.783106912246370523e+00,1.198181457978651032e+01,1.165205710651632032e+01
7.156216836045744003e+02,1.798262392492722128e+01,4.916302448958851379e+00,2.466964483182078993e+01,2.472052245512431412e+01
4.000362262375859457e-01,5.587779264794606604e+01,2.903360431393233743e+00,6.818256157482903701e-01,9.267550092554368568e-01
8.488863550179951645e+00,9.925457580739532659e+01,4.131073090035730644e+00,7.808947049497027670e+00,7.749441680622933148e+00
3.791957392030451501e+02,3.671863195050871695e+02,3.293568962748105289e+00,4.866055845637854205e+00,4.703892928990340394e+00
4.907582710690730821e+00,4.072605822363072434e+02,3.683680934702915355e+00,1.808591481413259094e+00,1.959040246849177658e+00
2.280385381799284161e+01,4.627264225243876581e+02,4.477199963767221291e+00,2.625734140979113729e+00,2.676423444220742187e+00
1.253033580524493817e-01,3.214551175887846171e+02,1.564633704974940365e+00,8.531752013688926814e-03,1.877083661692010019e-01
4.941280961645296088e+01,1.486384949877553368e+02,3.980871319003173703e+00,8.979601404764686379e+00,8.910558262754429748e+00
4.746292276419354721e+02,4.194345446717442769e+02,4.634189435779743071e+00,5.795936452137803840e+00,5.499572797393361689e+00
2.029090035956849931e+02,4.767350849419005385e+02,4.945072225820891454e+00,4.375354436720518159e+00,4.353352283778267662e+00
3.484023428966138454e+02,3.484519200187916113e+02,7.290902440242486016e-01,1.416086852188663814e+00,1.326921221586417454e+00
4.379469660903246364e+01,3.617901998540340713e+01,1.406140909095006108e+00,1.246906784846453142e+01,1.262413261287404609e+01
9.598625973024912383e-01,2.054909883909846826e+02,2.123394366577439740e+00,1.066885143033579952e+00,1.105611712709010819e+00
1.185954413320938414e+02,1.244718149041490420e+02,1.904245853018051715e+00,8.978433322956652418e+00,8.652263476469631343e+00
7.025851568338582487e-01,4.696302559429855137e+02,4.687345680632099665e+00,4.274528374485657145e-01,1.884202214279257492e-01
2.113972525551597812e+02,4.055616955630356983e+02,1.256434202879186390e-01,3.552272639235405371e-01,5.319850712409915916e-01
1.781852252043331641e-01,3.496355606510637415e+01,4.482439915730344282e+00,1.504068353763681476e-01,2.863598388599374323e-01
2.004247052451799789e+02,3.047159651609305797e+02,4.243151796601102310e-01,1.317880629810700421e+00,1.189831956629002763e+00
4.550185120183625753e-01,4.925737915585889368e+02,4.687725155916022679e+00,1.863843571952867317e-01,1.861745978818306058e-01
3.166561928765104561e+00,2.619030635099001074e+02,4.606479958159523491e+00,3.290250813713768707e+00,3.379365524469005955e+00
1.849067078103954209e+00,4.447206721333408836e+02,2.411389096201661975e+00,6.230965915954054246e-01,7.167774587648609863e-01
5.825700330709062769e+01,4.061653386063094331e+02,8.710045649099817933e-01,7.342292311994047527e-01,9.094776704222747865e-01
5.179496127460275767e-01,2.357686994329999379e+02,9.573935758601304080e-01,2.062755996826974580e-01,2.575727251270098495e-01
3.846136106005522581e+00,2.210041981961073816e+02,1.297061516750623866e+00,1.858578567202653797e+00,1.839612899408954227e+00
1.055111557953192641e-01,8.082559387593857991e+01,4.244586706333446813e+00,3.875633354614755471e-02,-1.301327941142155914e-02
1.121963816283179316e+00,1.772347850566718535e+02,2.703745952787357076e+00,1.719917807732145310e+00,1.931066367838795594e+00
4.838995930947079138e+00,9.568333782899146911e+01,4.374123046695420847e+00,7.009249721431131341e+00,6.559078866415424258e+00
2.652680511921082784e-01,4.228537919258887996e+02,3.773259916286541671e+00,6.364071348665795158e-02,3.590964846839048152e-02
3.409100341147195934e+01,3.017016355966106858e+02,4.838519404153455383e+00,5.292414226127843513e+00,5.299014246924655502e+00
3.324276041168752194e+00,4.681211356742341536e+02,3.306884680637389717e+00,1.101005846722897363e+00,8.159360545488598682e-01
7.964816090775612167e+01,2.051771087625623977e+02,8.502218783817466763e-01,3.372153906270582979e+00,3.438716628898192518e+00
4.125380812131873398e+01,3.508546604392665245e+02,2.734694956890268980e+00,2.809418186215117519e+00,2.679161983726438656e+00
5.307707666110349720e+00,4.165750930146442101e+02,3.696419241460447758e+00,1.790054442378572697e+00,1.962543401641722030e+00
2.946334306113485582e+02,6.438640178012655646e+00,1.789522155408566739e+00,2.180674381377194493e+01,2.178162539696507949e+01
3.377073166415921435e+01,1.614269717700460660e+02,4.998887342233979680e+00,8.713758416071355484e+00,8.847589064229245182e+00
1.742197589139557579e+02,2.181148958766447379e+02,1.086313818463210401e+00,4.063306665329186274e+00,4.307075386363431235e+00
2.329050448870583434e+00,4.643017220122907815e+02,4.633152010311149205e+00,1.408767003047255884e+00,1.485352919589950416e+00
1.495123813262057944e+01,4.352444283967370211e+02,2.449668957471200947e+00,1.350335513821817157e+00,1.175191285137248132e+00
6.098001690972713051e-01,4.225412137439105464e+01,4.223874064665007921e+00,1.658838591510006788e+00,1.355974865169079058e+00
9.650832109101824017e+02,4.777295585080085516e+02,2.664260178864296336e+00,2.905692104758208494e+00,3.256368928261482942e+00
9.394244457462480602e-01,3.134519044590796852e+02,2.753064903868607249e+00,7.112783517382796905e-01,6.890199131007758160e-01
1.065294951576560623e+00,3.596678703770872687e+01,3.535867508319991970e+00,3.653457538749282918e+00,3.515744549222418414e+00
1.962276891928849132e-01,3.450611244138218581e+02,2.620358632340161975e+00,3.233496510447107092e-02,6.118638271663606742e-02
1.074514983816302172e+00,4.276813150161783028e+02,2.242351113517495609e+00,3.847908889231088647e-01,3.465086228265790158e-01
1.128532654793410899e+02,1.294276416031926544e+02,5.937548718463975250e-01,5.889124082176644848e+00,6.059552535019182784e+00
6.188341653280636478e+01,1.613307786179106245e+02,3.363628596850363195e+00,8.274426259659962923e+00,8.281211896147382845e+00
3.271092680650869444e-01,1.388463449847017159e+02,4.800217071246630773e+00,3.588386938071083110e-01,3.615886105307922205e-01
3.198556346209125767e+00,3.512536987767213645e+02,4.713129380697677284e+00,2.440621718246710703e+00,2.297705774040117888e+00
4.827092025707860223e+00,3.591395854880094589e+02,2.348699665904796507e-01,2.728553049114768592e-01,3.667689246609755482e-01
4.570218725898018874e+01,3.871746153207329257e+02,2.183560798911071021e+00,1.929893548760391653e+00,1.723120204289395163e+00
6.663706372079767348e+00,4.605205657054211770e+02,2.978617433884986898e+00,1.245218146011597860e+00,1.378396033964391254e+00
2.218570874753370958e+01,9.091412429448136834e+01,4.937360955628999903e-01,5.803086686138368755e+00,6.107874188736395205e+00
2.284222549116401240e+02,3.541239658777294039e+02,3.553164730829757367e+00,4.977091551397376357e+00,4.672154343777545904e+00
8.051827113093959554e+01,3.228514946566471053e+02,2.166815016602891220e+00,3.000596694744896098e+00,2.507350848474632521e+00
2.884224449517649003e+00,1.313105411585159743e+02,6.491413149665986593e-01,2.498101989658877642e+00,2.621477740689741598e+00
6.217062557754314156e+00,4.876542407629648892e+02,1.063239028820108789e+00,3.028696111665756807e-01,8.124491742632009572e-01
2.956638847008530302e+00,2.384801125842990643e+02,9.171498651756315734e-02,6.033056399689387117e-01,4.031206701945599935e-01
2.747506041238438890e-01,4.744137378461090861e+02,1.150536045459807921e+00,1.292264470116767996e-02,-2.372165070592299474e-01
6.500790590226230847e-01,4.858868965518311711e+02,3.502630730808678372e+00,2.516437818514405955e-01,3.694375686075353493e-01
1.365293289906031493e+00,4.500240479193152510e+02,2.466928715725209109e+00,4.922903915322855428e-01,3.241460735206239674e-01
1.805242637354945057e+00,2.297426799900466108e+02,1.168921489800424096e+00,1.144063156684666627e+00,1.042858059897319389e+00
1.787275225051158101e+00,1.398883950737609894e+02,1.263763898608606384e+00,2.270704465371621961e+00,2.201080972034866523e+00
2.026743855385685578e+01,2.928809696776799569e+02,2.366611019620376233e+00,2.819755268394152914e+00,2.926155685652512606e+00
7.704773967439612079e+02,2.247679164763193853e+02,3.666480300449936003e+00,1.060519526565240511e+01,1.052413479337378099e+01
1.255037029376706386e+02,2.341007909222860235e+02,4.891869965200129400e+00,8.645210472151848791e+00,8.700787040167881514e+00
1.460615122124170284e+02,1.220406718509645145e+02,2.493671351149133297e+00,1.042666815555442561e+01,1.039136150377571077e+01
1.089115658765301475e+02,4.211265377011416717e+02,2.216367107762298616e+00,1.984286244552081024e+00,1.815352023821760419e+00
2.443154445854090540e+01,3.653620466186406475e+02,1.895755150050748128e+00,1.641912398783975879e+00,1.577947147235331693e+00
4.685641188927381222e+02,4.326547989399367111e+02,4.107702948047395886e+00,4.910235689747820764e+00,4.720155756714237150e+00
5.734830968395836237e+01,2.657694129592638888e+02,2.880744193366031158e+00,4.645766017924536584e+00,4.647069015098486133e+00
1.003288242853879808e+01,4.633186582054171510e+01,4.579047960485336688e+00,1.026669562980739059e+01,1.004192238429426354e+01
2.033926402733467476e-01,4.311544697628240215e+02,2.741063905183964700e+00,2.423364758410574346e-02,-1.943452262749428838e-01
8.990770425745122196e+00,3.462560080430615272e+01,9.945962531937796447e-01,8.910799858038059185e+00,9.202192221099110725e+00
7.101073066761600661e-01,7.725800474001664497e+01,5.255764833144133119e-01,1.127371017055248226e+00,1.116734172994179985e+00
3.394573293977730666e-01,4.720600650124927142e+02,2.690208400508884878e+00,5.754787205922726190e-02,4.676746696481866999e-02
1.057449631297460435e+01,2.807523871298665767e+02,9.533246081324758814e-01,1.321685568688289347e+00,1.423992852671813081e+00
1.381469084430261773e+02,3.374987051831953977e+02,3.492663470011355464e+00,4.743307986893026573e+00,4.659136586383252343e+00
1.513651066479117402e+00,4.104963335939116291e+02,3.915029726346753947e+00,1.076713819706487385e+00,1.031006746210855862e+00
1.188740446372008677e+02,3.322785678425599940e+02,3.887005306847616026e+00,5.141481294828359694e+00,5.226511041894741361e+00
1.266246018048944855e+01,2.219856440438659604e+02,2.031196834893869596e+00,3.336305167394007842e+00,3.392788335842888081e+00
3.946318137031875617e-01,2.714997089729043296e+02,2.754228824354301164e+00,2.082582235866562992e-01,-2.360112179982964964e-02
7.242207701407438662e+02,1.992418968361345719e+02,1.133327803279079449e+00,6.224195596226362426e+00,6.390864115560295211e+00
4.041521519196490608e+00,2.885952124852945531e+02,2.594634072774245404e+00,2.080025452998416569e+00,1.961938464340607924e+00
1.516830394864843834e+00,1.103515354986095431e+00,4.086287391028351479e+00,6.087849447729142938e+00,5.876633657666305410e+00
2.443393884362972415e+02,2.541330481033711237e+02,3.196054021520629895e+00,6.989734841358215434e+00,6.809639827358404673e+00
3.146598491056884495e-01,1.191089129787103928e+01,3.335803629358584654e+00,5.452914259919775519e-01,4.671823571209129389e-01
8.597295302937661177e+01,5.483597441198784139e+01,4.780691844795351031e+00,1.502879999744169837e+01,1.535426004836631186e+01
5.640258000914870617e-01,4.231841373038164420e+02,1.433818701992899847e+00,9.321714690880933407e-02,-1.418900340753467826e-01
3.715070879583007191e+00,3.296930586527236073e+02,3.247853699585140141e+00,2.021200135020333022e+00,2.053215313527201324e+00
8.464465005806629527e-01,9.108393541431752283e+01,4.423272657231029470e+00,2.230157864557002600e+00,1.802592992938887084e+00
2.316924973739850486e+02,3.736012626259147851e+02,1.660952309481551037e+00,2.213649300237498618e+00,2.213335913608459382e+00
3.633274474722756775e+00,2.378916347939213267e+02,2.522467347156920336e-01,7.814342724746456970e-01,9.613475559698471118e-01
7.920840197817217359e+02,6.742313798656446977e+01,1.474078939489295692e+00,1.686130666229402664e+01,1.681397399788173530e+01
3.169902742953176400e+01,4.648428475715160175e+02,1.449174374905295881e+00,7.375164724165854668e-01,6.116454876399171070e-01
5.949648911825629938e+01,5.640254924270082881e+01,1.436211854772291741e+00,1.142569841549879506e+01,1.147200062831050182e+01
1.219271685504987168e+01,9.871429009146003963e+00,2.626932023871501709e+00,1.216917398456144639e+01,1.230920433479157694e+01
1.721364318115447878e+00,1.283008642282975131e+02,2.811843055623588050e+00,3.307697153899689546e+00,3.440428668103170828e+00
3.821428024707700377e+00,4.342995346211675667e+01,1.925741212814478409e+00,7.243942599156557804e+00,7.638437369942516320e+00
5.804124914979671530e+02,8.360729290784519208e+00,1.609987928418102898e+00,2.401370570830674822e+01,2.405553920277400337e+01
6.379884301334556307e-01,3.266209382321105181e+02,2.618041478611530248e+00,3.622620600261667323e-01,2.437800400755802122e-01
8.971717804697997281e+02,6.598106949564585477e+01,3.650309521491932330e+00,2.061456856832472795e+01,2.058937273032739768e+01
1.079501991857570715e+02,2.819399220309939551e+02,1.624494290378647454e-01,1.051892731048524210e+00,1.037393021924561731e+00
2.748828886142721029e+00,1.212949145855433670e+02,4.128675537440733123e+00,5.104095424418008342e+00,5.125842901113632166e+00
3.681750530107935049e+01,4.703250678837549685e+02,6.621714535673561830e-01,3.242413634403144562e-01,3.182358007944274814e-01
3.341382218764382905e+00,1.079279941474029556e+02,4.532011775877428761e+00,5.997857915844813093e+00,6.032651103624053768e+00
3.357157608555652040e+00,2.603273631707858158e+02,2.463367366019861837e+00,2.161398752306091797e+00,1.827228740183069355e+00
1.035647117572466591e+01,3.674936289858281953e+02,2.821276201978648590e+00,1.981026871976606429e+00,2.146952663184614973e+00
1.166517575510652160e-01,1.555649593147377914e+02,4.904120588265738157e+00,3.730943472854345022e-02,-7.763841905566301604e-02
9.425105925133532736e+00,4.158696950264974248e+02,4.486091352687362921e+00,2.538456815340420114e+00,2.303825076051015053e+00
7.698279125873864359e+02,1.569894760657045651e+02,2.225437254933314790e+00,1.121373727734054881e+01,1.134128750926883633e+01
1.386311784879634468e+00,1.939300318870513138e+02,1.011416626854455103e+00,1.120364100068908852e+00,1.383829301546125379e+00
9.837207592423359870e+01,2.151941412638691418e+02,2.978749706393516661e+00,6.668501464390257816e+00,6.767107094290146563e+00
5.904125226269643534e+00,2.094470609659026081e+02,2.009230604998679670e-01,1.137946133430878470e+00,1.170177996199982529e+00
6.872649099505535597e-01,3.039718272052072621e+02,3.353652268487616883e-01,1.119926525065604167e-01,-7.445140856783001582e-02
4.168792542663163090e+02,1.131228057999153975e+02,1.131471086368058376e+00,1.028113372737212394e+01,1.085544719493482368e+01
1.167640469067053183e-01,1.646070552214816018e+02,2.088750907322178829e+00,2.364278510773501485e-02,1.996945092400366495e-01
1.636951101136549624e+00,1.144860156587574380e+02,3.468525592137287727e+00,3.696035817479502050e+00,3.468176883410906797e+00
9.910681725343591779e+02,1.384726242584458191e+02,4.945628816290192908e-01,7.843581841923855436e+00,7.687654258675906682e+00
1.118374316061560680e+00,3.813911630820027199e+02,4.274269058814688549e+00,9.849262369082397717e-01,1.002322086622620567e+00
2.489878112072381100e+02,3.146333769109342029e+02,2.248888474688538253e+00,4.055142880815554740e+00,3.744196654416357628e+00
2.646869896414126089e+01,4.813946512120172656e+02,9.695892119639765161e-01,4.048262005825974397e-01,4.385522819847003095e-01
1.675493819283054791e+02,4.750650203135241441e+02,4.322245965494200703e+00,3.661832177883840078e+00,3.570017866741288071e+00
3.321016411598202467e+01,1.025427234539195638e+02,3.454394461566396846e+00,9.646336686377477321e+00,9.891590806440721195e+00
2.823497634540385715e+00,1.049730179805727914e+02,4.299210094655670389e+00,5.598418778932540363e+00,5.790849711658189847e+00
1.104473088451716620e+02,4.538239806129029716e+02,4.825733533603607128e+00,4.062091049454897629e+00,3.519833961967942848e+00
1.276257171916082289e-01,6.947991262923791567e+01,4.098012954413208675e+00,6.148654141836378678e-02,6.982705862382629358e-02
6.127055396565759260e+00,3.805925234983319001e+02,1.715040088301106325e+00,9.833570796757276078e-01,6.598635797709899720e-01
3.071979261302143271e+00,9.587988152847421475e+01,4.934143464815637259e+00,6.237294858737458370e+00,6.459222458587163374e+00
8.096475807828857896e+00,7.151833179150496278e+01,3.765148416862904135e+00,8.518222465645736818e+00,8.551843639471302438e+00
3.239535518805462533e-01,2.196219446434683960e+02,4.095159612049624087e+00,2.349923801221467656e-01,3.446734705595462245e-01
7.762962062647854600e-01,3.420298385891189810e+02,1.824115241813129451e+00,3.228681281589284580e-01,1.098431823982686517e-01
1.770950247358257812e+01,4.220843423061897397e+02,2.983629139291003263e+00,1.859673237162407400e+00,2.225359284761507350e+00
3.556939371349163714e+00,1.040755226911634423e+02,3.111663980981252298e+00,5.552660346303567529e+00,5.956675019733656207e+00
1.467657851867392367e+02,4.985197048232703310e+01,1.385867994476609466e+00,1.404348770887868980e+01,1.383053350035344664e+01
2.633579040035169783e+01,3.963564599700528674e+02,2.395164820495040203e+00,1.802844811129323155e+00,1.877407835502586497e+00
2.786549351921592006e+02,2.255086125543438413e+02,1.357959807944398856e+00,4.807648968821085944e+00,4.672988483143048377e+00
8.500478031255936173e+01,3.047848342120466327e+02,1.439745675774224853e+00,2.391285035158721595e+00,2.386571047786575139e+00
2.554428735337998191e+01,2.921007535031902762e+02,3.271283466229762737e+00,3.849075353887865703e+00,3.595947958042952752e+00
1.414042324548725027e+00,3.804087482281145185e+02,9.956910962174048141e-02,9.520157307364711385e-02,4.686306759897708729e-01
1.352202927070996736e+02,4.947794566844785322e+02,3.790951180484416483e+00,2.814205636979422831e+00,2.620369734762889369e+00
1.011743243181626450e+00,3.240457445667258867e+02,2.425200203407356092e+00,6.599634035377334174e-01,6.007466405382344554e-01
1.999145700519832092e-01,1.826057687493045592e+02,6.282545634859337813e-01,3.794670986364887671e-02,1.382432960857533366e-01
7.103269852241763829e+02,8.744491273531845366e+01,2.415059986987668328e+00,1.640046677328570013e+01,1.627095463760247540e+01
1.445588951806486300e+01,5.143940947804919972e+01,1.877185829033790609e+00,9.417729326562035652e+00,9.369866840615575398e+00
1.246169708056414436e+02,3.457770791745551264e+02,4.369869899806689162e+00,5.444522870741973719e+00,5.331794901456580860e+00
1.308854078160163681e+01,1.275518041889852014e+02,3.364670848698390060e+00,7.079746713065114605e+00,7.053054562097855751e+00
2.794595281807007936e+01,1.388005698319122985e+02,1.122914270366845990e+00,5.043602729828609021e+00,4.809494202808548557e+00
1.366372151927428003e-01,2.216734379741594410e+02,4.578304948293308030e+00,3.947453442639001220e-02,-4.812308069407011946e-02
5.586949134537309014e-01,2.637992691673459831e+02,4.328880856332762761e+00,5.763729688395204942e-01,5.349943838970716570e-01
4.997554992475848223e+01,2.080740100785652942e+02,2.716453945693179328e+00,5.716394646313772476e+00,5.649649445552945792e+00
1.915395187082361161e+01,4.778521748683400006e+02,3.802629123412765155e-01,1.719201134280806120e-01,1.832581044068396225e-01
4.307448918900627644e-01,1.490455537397059516e+02,3.316101422121286557e+00,5.056382776702355031e-01,4.470178337988912620e-01
6.428609931680579166e+02,3.010093135892242913e+02,2.115216575625002982e+00,4.963966249937554309e+00,5.114608531625430388e+00
4.143950224457923492e-01,8.122712496097417301e+00,3.134894888978243976e+00,9.578666635322313772e-01,8.932274783750654423e-01
1.099544977086798170e+01,3.188592083021901757e+01,4.910607418003343216e-01,9.009661776411206802e+00,8.982331857152029642e+00
3.767137741971436915e-01,9.947344063403346581e+01,5.747927840989647263e-01,2.979388650901178548e-01,1.649825978909473523e-01
7.404349402790492718e+01,1.406714368685400700e+02,7.494295958367297450e-01,5.266280257169192680e+00,5.160977289146145175e+00
1.274242412871705143e+00,2.331616596624975841e+02,2.743625487207426161e+00,1.481960826794307629e+00,1.229062268630365162e+00
3.439821451201641733e-01,2.871037009645697253e+02,3.607352712080864166e+00,1.825539942334359900e-01,2.863109784090288046e-01
1.527385708568234080e-01,8.296055432854676326e+01,1.736564567993281294e+00,6.799628005655590501e-02,-1.605073234739425314e-01
5.004286339824333130e-01,2.893248785569926440e+02,4.665095313698647272e-01,8.535921620795629272e-02,-6.381206342970870138e-02
5.850525369317288726e-01,4.091151994837133543e+01,8.242285386985220841e-01,1.255258759636149080e+00,1.327107690038390020e+00
1.405685996149569128e+01,1.961373580048868064e+02,1.595701667545638136e+00,3.454990490879997989e+00,3.535505164068904360e+00
