t,n,p,T_e,dn_dt,dn_dt_noisy
1.320264052810562194e-01,1.751081500928910684e+00,7.609606095946702675e-01,1.401027878183175035e-01,-1.602818888103748618e+00,-1.600463831986446372e+00
1.340268053610722265e-01,1.747881065145146851e+00,7.576918248133124312e-01,1.416424111236266048e-01,-1.596992579809633162e+00,-1.589397384584849471e+00
1.360272054410882059e-01,1.744692203516403639e+00,7.544327644806825273e-01,1.431674116865286339e-01,-1.591247350347251066e+00,-1.607735224010760522e+00
1.380276055211042130e-01,1.741514754944916810e+00,7.511833976565478466e-01,1.446778971279584769e-01,-1.585581629839088347e+00,-1.583037748673912226e+00
1.400280056011202201e-01,1.738348561437875750e+00,7.479436936215211329e-01,1.461739742971859268e-01,-1.579993885597772874e+00,-1.567747415922415621e+00
1.420284056811362272e-01,1.735193468107422365e+00,7.447136218770600280e-01,1.476557492718157116e-01,-1.574482621117717418e+00,-1.577457889561422189e+00
1.440288057611522343e-01,1.732049323170651745e+00,7.414931521454678487e-01,1.491233273577874663e-01,-1.569046375100662916e+00,-1.577154520933038651e+00
1.460292058411682414e-01,1.728915977949611493e+00,7.382822543698924767e-01,1.505768130893757606e-01,-1.563683720513831199e+00,-1.556161282242035204e+00
1.480296059211842485e-01,1.725793286871302845e+00,7.350808987143274686e-01,1.520163102291901269e-01,-1.558393263679448415e+00,-1.555858798517367081e+00
1.500300060012002279e-01,1.722681107467679329e+00,7.318890555636113904e-01,1.534419217681748937e-01,-1.553173643394464065e+00,-1.544214812686688365e+00
1.520304060812162350e-01,1.719579300375647657e+00,7.287066955234278165e-01,1.548537499256094907e-01,-1.548023530079328136e+00,-1.551475687179840968e+00
1.540308061612322421e-01,1.716487727312522305e+00,7.255337893180094921e-01,1.562518963518508830e-01,-1.542941622681988312e+00,-1.557759805419210331e+00
1.560312062412482492e-01,1.713406251689556736e+00,7.223703078254317678e-01,1.576364620343971845e-01,-1.537926648658604734e+00,-1.539026756305717170e+00
1.580316063212642563e-01,1.710334741895511934e+00,7.192162222421706330e-01,1.590075469812290143e-01,-1.532977366870005298e+00,-1.537435648400117705e+00
1.600320064012802634e-01,1.707273068440536390e+00,7.160715039360290302e-01,1.603652505285090013e-01,-1.528092563592697628e+00,-1.520339325372221939e+00
1.620324064812962706e-01,1.704221103932546777e+00,7.129361244449324841e-01,1.617096713430355437e-01,-1.523271051790697772e+00,-1.521334723306926318e+00
1.640328065613122499e-01,1.701178723077228172e+00,7.098100554769289916e-01,1.630409074222426147e-01,-1.518511670436311967e+00,-1.534820162760663020e+00
1.660332066413282570e-01,1.698145802678033611e+00,7.066932689101892429e-01,1.643590560941999568e-01,-1.513813283852336378e+00,-1.525764914653368276e+00
1.680336067213442641e-01,1.695122221636184756e+00,7.035857367930062889e-01,1.656642140176128597e-01,-1.509174781074903438e+00,-1.500336890709030868e+00
1.700340068013602712e-01,1.692107860950671672e+00,7.004874313437958744e-01,1.669564771818223547e-01,-1.504595075236241142e+00,-1.497797425062062704e+00
1.720344068813762783e-01,1.689102603718251938e+00,6.973983249510959936e-01,1.682359409068051592e-01,-1.500073102966644090e+00,-1.506475536625728973e+00
1.740348069613922855e-01,1.686106335133452427e+00,6.943183901735674457e-01,1.695026998431735932e-01,-1.495607823814977921e+00,-1.495618311780650744e+00
1.760352070414082926e-01,1.683118942488567304e+00,6.912475997399933902e-01,1.707568479721756904e-01,-1.491198219687068560e+00,-1.486742484149306653e+00
1.780356071214242719e-01,1.680140315173659804e+00,6.881859265492796807e-01,1.719984786056951431e-01,-1.486843294301354312e+00,-1.482159250942881590e+00
1.800360072014402790e-01,1.677170344676560898e+00,6.851333436704544200e-01,1.732276843862513016e-01,-1.482542072661199306e+00,-1.473779650700055788e+00
1.820364072814562861e-01,1.674208924582870184e+00,6.820898243426684049e-01,1.744445572869992023e-01,-1.478293600543296726e+00,-1.475728744271081139e+00
1.840368073614722932e-01,1.671255950575955218e+00,6.790553419751950148e-01,1.756491886117295675e-01,-1.474096944001606957e+00,-1.475045227391291958e+00
1.860372074414883004e-01,1.668311320436952183e+00,6.760298701474299898e-01,1.768416689948686948e-01,-1.469951188886301718e+00,-1.472539669534180140e+00
1.880376075215043075e-01,1.665374934044765221e+00,6.730133826088917637e-01,1.780220884014787064e-01,-1.465855440377199503e+00,-1.455298012371867067e+00
1.900380076015203146e-01,1.662446691452539538e+00,6.700058531706994946e-01,1.791905363794586425e-01,-1.461808820427684008e+00,-1.484317363178469407e+00
1.920384076815362939e-01,1.659526494297953736e+00,6.670072557901460808e-01,1.803471018403935977e-01,-1.457810468939311654e+00,-1.459197022190225068e+00
1.940388077615523010e-01,1.656614247649103477e+00,6.640175646724604253e-01,1.814918728349699528e-01,-1.453859545326154690e+00,-1.453529544286314090e+00
1.960392078415683081e-01,1.653709857996960464e+00,6.610367541549329040e-01,1.826249368344684265e-01,-1.449955225879823839e+00,-1.464208715488525714e+00
1.980396079215843153e-01,1.650813233254936563e+00,6.580647987068899418e-01,1.837463807308233610e-01,-1.446096703378829229e+00,-1.442768567247448841e+00
2.000400080016003224e-01,1.647924282758882253e+00,6.551016729296942342e-01,1.848562908366227497e-01,-1.442283186709704346e+00,-1.448795996834138178e+00
2.020404080816163295e-01,1.645042917267087956e+00,6.521473515567447476e-01,1.859547528851082654e-01,-1.438513900499043929e+00,-1.429889452535886507e+00
2.040408081616323366e-01,1.642169048960283595e+00,6.492018094534766082e-01,1.870418520301752041e-01,-1.434788084756100313e+00,-1.436044005596443629e+00
2.060412082416483437e-01,1.639302591441637924e+00,6.462650216173609907e-01,1.881176728463725134e-01,-1.431104994525597141e+00,-1.424413462117702700e+00
2.080416083216643230e-01,1.636443459736759642e+00,6.433369631779055631e-01,1.891822993289027643e-01,-1.427463899550428961e+00,-1.415275463498716801e+00
2.100420084016803302e-01,1.633591570293696504e+00,6.404176093966540417e-01,1.902358148936222904e-01,-1.423864083943932712e+00,-1.420034788116798063e+00
2.120424084816963373e-01,1.630746840982936208e+00,6.375069356671863030e-01,1.912783023770409097e-01,-1.420304845871422916e+00,-1.429062057305651390e+00
2.140428085617123444e-01,1.627909191097405062e+00,6.346049175151187161e-01,1.923098440363222306e-01,-1.416785497240695024e+00,-1.431928683557741389e+00
2.160432086417283515e-01,1.625078541352469541e+00,6.317115305981035878e-01,1.933305215492833740e-01,-1.413305363401218484e+00,-1.395771522226054717e+00
2.180436087217443586e-01,1.622254813885935176e+00,6.288267507058296069e-01,1.943404160143952786e-01,-1.409863782851735969e+00,-1.410976704783611257e+00
2.200440088017603657e-01,1.619437932258046997e+00,6.259505537600215108e-01,1.953396079507823679e-01,-1.406460106956015865e+00,-1.413345756432359046e+00
2.220444088817763451e-01,1.616627821451489311e+00,6.230829158144404190e-01,1.963281772982227724e-01,-1.403093699666494443e+00,-1.401651128785886158e+00
2.240448089617923522e-01,1.613824407871385924e+00,6.202238130548836104e-01,1.973062034171483847e-01,-1.399763937255566582e+00,-1.401678050560392963e+00
2.260452090418083593e-01,1.611027619345300366e+00,6.173732217991845239e-01,1.982737650886445269e-01,-1.396470208054287898e+00,-1.387948785412161046e+00
2.280456091218243664e-01,1.608237384686963756e+00,6.145311184695675388e-01,1.992309405909620523e-01,-1.393211911725940721e+00,-1.392872629901569681e+00
2.300460092018403735e-01,1.605453632147371801e+00,6.116974794975861274e-01,2.001778079513391873e-01,-1.389988457374060182e+00,-1.389850961537876017e+00
2.320464092818563806e-01,1.602676292946406233e+00,6.088722815493967655e-01,2.011144443175642005e-01,-1.386799267142125203e+00,-1.393945064352454910e+00
2.340468093618723877e-01,1.599905299605067777e+00,6.060555014159029197e-01,2.020409262776107218e-01,-1.383643774135948412e+00,-1.378948093148473442e+00
2.360472094418883671e-01,1.597140585613451069e+00,6.032471159914311043e-01,2.029573299197080516e-01,-1.380521421839957297e+00,-1.390860089063507221e+00
2.380476095219043742e-01,1.594382085430745999e+00,6.004471022737309926e-01,2.038637308323412445e-01,-1.377431663901770742e+00,-1.370772769504130961e+00
2.400480096019203813e-01,1.591629734485237702e+00,5.976554373639757500e-01,2.047602041042510257e-01,-1.374373963922456809e+00,-1.359134588792555443e+00
2.420484096819363884e-01,1.588883469174306340e+00,5.948720984667611456e-01,2.056468243244337635e-01,-1.371347795252304547e+00,-1.386594655633295980e+00
2.440488097619523955e-01,1.586143226864427103e+00,5.920970628901064403e-01,2.065236655821415801e-01,-1.368352640791943520e+00,-1.393014933105456654e+00
2.460492098419684026e-01,1.583408945891169761e+00,5.893303080454539433e-01,2.073908014668822963e-01,-1.365387992798659855e+00,-1.359219205247116591e+00
2.480496099219844097e-01,1.580680565559199557e+00,5.865718114476690115e-01,2.082483050684194037e-01,-1.362453352697751141e+00,-1.336974374542919897e+00
2.500500100020003891e-01,1.577958026142276537e+00,5.838215507150402717e-01,2.090962489767720645e-01,-1.359548230898773635e+00,-1.369557479387492505e+00
2.520504100820163962e-01,1.575241268883255774e+00,5.810795035692792876e-01,2.099347052822152226e-01,-1.356672146616541674e+00,-1.369179104204561570e+00
2.540508101620324033e-01,1.572530235994087366e+00,5.783456478355211150e-01,2.107637455752794098e-01,-1.353824627696740945e+00,-1.347934938358936297e+00
2.560512102420484104e-01,1.569824870655816440e+00,5.756199614423235245e-01,2.115834409467509114e-01,-1.351005210446019511e+00,-1.359412426346602532e+00
2.580516103220644175e-01,1.567125117018583369e+00,5.729024224216676675e-01,2.123938619876717393e-01,-1.348213439466432684e+00,-1.353273694305800134e+00
2.600520104020804246e-01,1.564430920201623110e+00,5.701930089089577436e-01,2.131950787893394927e-01,-1.345448867494113188e+00,-1.348930042160950915e+00
2.620524104820964317e-01,1.561742226293265867e+00,5.674916991430212221e-01,2.139871609433076083e-01,-1.342711055242046703e+00,-1.337391034379128651e+00
2.640528105621124388e-01,1.559058982350936873e+00,5.647984714661083983e-01,2.147701775413850822e-01,-1.339999571246838883e+00,-1.344052594860770000e+00
2.660532106421284460e-01,1.556381136401156162e+00,5.621133043238931704e-01,2.155441971756366926e-01,-1.337313991719355721e+00,-1.334535163318554041e+00
2.680536107221444531e-01,1.553708637439539020e+00,5.594361762654721515e-01,2.163092879383829159e-01,-1.334653900399135562e+00,-1.336419232988071304e+00
2.700540108021604602e-01,1.551041435082260334e+00,5.567670659187585747e-01,2.170655175026028061e-01,-1.332018888036102577e+00,-1.340465599072618641e+00
2.720544108821764118e-01,1.548379478383339336e+00,5.541059519100316466e-01,2.178129533762126757e-01,-1.329408550999117589e+00,-1.332606813576549865e+00
2.740548109621924189e-01,1.545722718621641123e+00,5.514528130620750535e-01,2.185516622509495743e-01,-1.326822494162106292e+00,-1.336326490813785517e+00
2.760552110422084260e-01,1.543071107992069146e+00,5.488076282976681597e-01,2.192817103294593950e-01,-1.324260329329767893e+00,-1.324195179471070460e+00
2.780556111222244331e-01,1.540424599352660628e+00,5.461703766214579536e-01,2.200031633853058166e-01,-1.321721674837584848e+00,-1.332960337113241245e+00
2.800560112022404402e-01,1.537783146224587227e+00,5.435410371199586033e-01,2.207160867629701373e-01,-1.319206155430105776e+00,-1.330135099123058273e+00
2.820564112822564473e-01,1.535146702792154594e+00,5.409195889615521224e-01,2.214205453778513855e-01,-1.316713402142163369e+00,-1.302143783989110792e+00
2.840568113622724544e-01,1.532515223902803259e+00,5.383060113964881488e-01,2.221166037162663198e-01,-1.314243052182947347e+00,-1.314774894386000703e+00
2.860572114422884615e-01,1.529888665067107301e+00,5.357002837568833886e-01,2.228043258354492906e-01,-1.311794748822855627e+00,-1.312333769077576040e+00
2.880576115223044686e-01,1.527266982458775679e+00,5.331023854567225051e-01,2.234837753635524615e-01,-1.309368141283051346e+00,-1.304252777083875214e+00
2.900580116023204758e-01,1.524650132914651124e+00,5.305122959918576742e-01,2.241550154996455879e-01,-1.306962884627647536e+00,-1.311171454653136337e+00
2.920584116823364829e-01,1.522038073934711022e+00,5.279299949400084735e-01,2.248181090137162108e-01,-1.304578639658457329e+00,-1.306863993333238882e+00
2.940588117623524900e-01,1.519430763682066754e+00,5.253554619607618825e-01,2.254731182466695183e-01,-1.302215072812233032e+00,-1.297963585458913993e+00
2.960592118423684971e-01,1.516828160982964135e+00,5.227886767955728375e-01,2.261201051103283732e-01,-1.299871856060337061e+00,-1.297047697637893071e+00
2.980596119223845042e-01,1.514230225326782753e+00,5.202296192677635656e-01,2.267591310874333688e-01,-1.297548666810771412e+00,-1.309141634080095651e+00
3.000600120024004558e-01,1.511636916866037517e+00,5.176782692825236953e-01,2.273902572316427728e-01,-1.295245187812511745e+00,-1.286911761845815017e+00
3.020604120824164629e-01,1.509048196416376442e+00,5.151346068269105904e-01,2.280135441675325558e-01,-1.292961107062079673e+00,-1.298865456494970205e+00
3.040608121624324700e-01,1.506464025456582201e+00,5.125986119698491272e-01,2.286290520905964185e-01,-1.290696117712297308e+00,-1.301256907215439185e+00
3.060612122424484771e-01,1.503884366128572347e+00,5.100702648621318058e-01,2.292368407672456809e-01,-1.288449917983170323e+00,-1.297454668683160950e+00
3.080616123224644842e-01,1.501309181237397761e+00,5.075495457364183061e-01,2.298369695348094210e-01,-1.286222211074835808e+00,-1.290127664518389006e+00
3.100620124024804913e-01,1.498738434251244200e+00,5.050364349072363757e-01,2.304294973015343917e-01,-1.284012705082531625e+00,-1.267739702536300861e+00
3.120624124824964984e-01,1.496172089301431418e+00,5.025309127709809420e-01,2.310144825465850205e-01,-1.281821112913527738e+00,-1.293576471962735619e+00
3.140628125625125056e-01,1.493610111182413380e+00,5.000329598059145564e-01,2.315919833200434375e-01,-1.279647152205971583e+00,-1.278046393280628079e+00
3.160632126425285127e-01,1.491052464421416701e+00,4.975425564998953720e-01,2.321620575203098558e-01,-1.277490544240753811e+00,-1.298868787821659598e+00
3.180636127225445198e-01,1.488499114050513272e+00,4.950596834151597125e-01,2.327247626359378874e-01,-1.275351014730787380e+00,-1.275366684062239298e+00
3.200640128025605269e-01,1.485950026505558297e+00,4.925843212557199369e-01,2.332801554918013942e-01,-1.273228294706158170e+00,-1.264232630531398005e+00
3.220644128825765340e-01,1.483405168677302877e+00,4.901164507911615065e-01,2.338282925465364759e-01,-1.271122119397906314e+00,-1.273488752618520792e+00
3.240648129625925411e-01,1.480864507911331174e+00,4.876560528566377117e-01,2.343692298925608986e-01,-1.269032228167688015e+00,-1.275325777406521421e+00
3.260652130426085482e-01,1.478328012008061298e+00,4.852031083528697275e-01,2.349030232560740394e-01,-1.266958364439056073e+00,-1.264643253798470646e+00
3.280656131226244998e-01,1.475795649222744199e+00,4.827575982461466686e-01,2.354297279970568590e-01,-1.264900275630250981e+00,-1.257898758118744409e+00
3.300660132026405069e-01,1.473267388265463884e+00,4.803195035683252567e-01,2.359493991092719845e-01,-1.262857713088465061e+00,-1.256221137378290997e+00
3.320664132826565140e-01,1.470743198301138532e+00,4.778888054168303756e-01,2.364620912202636815e-01,-1.260830432025548786e+00,-1.241105693486250772e+00
3.340668133626725211e-01,1.468223048949518494e+00,4.754654849546547934e-01,2.369678585913577162e-01,-1.258818191455115532e+00,-1.256726516731752730e+00
3.360672134426885282e-01,1.465706910285188513e+00,4.730495234103589408e-01,2.374667551176616043e-01,-1.256820754131019457e+00,-1.262744855128548727e+00
3.380676135227045354e-01,1.463194752837565726e+00,4.706409020780712993e-01,2.379588343280644169e-01,-1.254837886487164988e+00,-1.256097678387031458e+00
3.400680136027205425e-01,1.460686547590900997e+00,4.682396023174882349e-01,2.384441493852368366e-01,-1.252869358578621028e+00,-1.253594344034819175e+00
3.420684136827365496e-01,1.458182265984278692e+00,4.658456055538738871e-01,2.389227530856311843e-01,-1.250914944024007713e+00,-1.249827570189226522e+00
3.440688137627525567e-01,1.455681879911615795e+00,4.634588932780602799e-01,2.393946978594813924e-01,-1.248974419949120618e+00,-1.249274698081414892e+00
3.460692138427685638e-01,1.453185361721663016e+00,4.610794470464474326e-01,2.398600357708030317e-01,-1.247047566931770213e+00,-1.245307907542808179e+00
3.480696139227845709e-01,1.450692684218004791e+00,4.587072484810031381e-01,2.403188185173932567e-01,-1.245134168947799047e+00,-1.261842669553950191e+00
3.500700140028005780e-01,1.448203820659057728e+00,4.563422792692631291e-01,2.407710974308308605e-01,-1.243234013318255782e+00,-1.234937723757855377e+00
3.520704140828165851e-01,1.445718744758073049e+00,4.539845211643309675e-01,2.412169234764762749e-01,-1.241346890657693436e+00,-1.247094283346903865e+00
3.540708141628325922e-01,1.443237430683133926e+00,4.516339559848780993e-01,2.416563472534714874e-01,-1.239472594823566975e+00,-1.251204181788037273e+00
3.560712142428485438e-01,1.440759853057158146e+00,4.492905656151439109e-01,2.420894189947401520e-01,-1.237610922866707597e+00,-1.231233411270293177e+00
3.580716143228645509e-01,1.438285986957895668e+00,4.469543320049355617e-01,2.425161885669875339e-01,-1.235761674982838842e+00,-1.222588414908978072e+00
3.600720144028805580e-01,1.435815807917930398e+00,4.446252371696281513e-01,2.429367054707005369e-01,-1.233924654465121229e+00,-1.228994372970126703e+00
3.620724144828965652e-01,1.433349291924679303e+00,4.423032631901646639e-01,2.433510188401476482e-01,-1.232099667657694742e+00,-1.230488074519239472e+00
3.640728145629125723e-01,1.430886414857745814e+00,4.399883921648934382e-01,2.437591776612043348e-01,-1.230286523289815470e+00,-1.239608726343534917e+00
3.660732146429285794e-01,1.428427152637764763e+00,4.376806062263360331e-01,2.441612306913117925e-01,-1.228485032614934358e+00,-1.199769359236799282e+00
3.680736147229445865e-01,1.425971482381918509e+00,4.353798876388551564e-01,2.445572260189917690e-01,-1.226695010635647787e+00,-1.217892424429032783e+00
3.700740148029605936e-01,1.423519381530695682e+00,4.330862187210485215e-01,2.449472114177861926e-01,-1.224916275085512929e+00,-1.236309221788942647e+00
3.720744148829766007e-01,1.421070827836006023e+00,4.307995818447127312e-01,2.453312343509629345e-01,-1.223148646375267434e+00,-1.230945025537664828e+00
3.740748149629926078e-01,1.418625799361180384e+00,4.285199594348432783e-01,2.457093419715158655e-01,-1.221391947553059465e+00,-1.220522155067340409e+00
