t,x,v,F_relax,T_int,dx_dt
8.401680336067213206e-02,3.023657830423126303e+00,7.326871661686315540e-02,7.013629479205944761e-02,9.836624104833335824e-01,7.326871661686315540e-02
9.001800360072013951e-02,3.024012824197846339e+00,4.508929455994739599e-02,7.477235552487589143e-02,9.824916831814967111e-01,4.508929455994739599e-02
9.601920384076814696e-02,3.024199614443272122e+00,1.721192838678654163e-02,7.935961336840399727e-02,9.813311800890950343e-01,1.721192838678654163e-02
1.020204040808161544e-01,3.024220010971372830e+00,-1.036431783615932717e-02,8.389827753690536072e-02,9.801826147308296822e-01,-1.036431783615932717e-02
1.080216043208641619e-01,3.024075818806919003e+00,-3.764006795588004106e-02,8.838856118012713980e-02,9.790476369661099687e-01,-3.764006795588004106e-02
1.140228045609121693e-01,3.023768840699540661e+00,-6.461545352222705652e-02,9.283068179760055327e-02,9.779278377776247089e-01,-6.461545352222705652e-02
1.200240048009601768e-01,3.023300878783869994e+00,-9.129063735963069415e-02,9.722486147426857850e-02,9.768247519660242517e-01,-9.129063735963069415e-02
1.260252050410081981e-01,3.022673733881457991e+00,-1.176658360424153310e-01,1.015713266150352206e-01,9.757398590415312656e-01,-1.176658360424153310e-01
1.320264052810561917e-01,3.021889205634558984e+00,-1.437413208090098649e-01,1.058703079908156902e-01,9.746745830114265097e-01,-1.437413208090098649e-01
1.380276055211042130e-01,3.020949091910957840e+00,-1.695174166553122530e-01,1.101220404518572088e-01,9.736302935944824988e-01,-1.695174166553122530e-01
1.440288057611522343e-01,3.019855188131901347e+00,-1.949945010242256638e-01,1.143267626115201108e-01,9.726083075890943341e-01,-1.949945010242256638e-01
1.500300060012002279e-01,3.018609287267945529e+00,-2.201730037973109733e-01,1.184847168443334819e-01,9.716098888816930845e-01,-2.201730037973109733e-01
1.560312062412482492e-01,3.017213179819578261e+00,-2.450534072503974536e-01,1.225961492765138272e-01,9.706362484940079804e-01,-2.450534072503974536e-01
1.620324064812962428e-01,3.015668653030502799e+00,-2.696362445093161697e-01,1.266613093987069560e-01,9.696885464350034622e-01,-2.696362445093161697e-01
1.680336067213442641e-01,3.013977491277930465e+00,-2.939221010431015135e-01,1.306804502570516058e-01,9.687678905692164166e-01,-2.939221010431015135e-01
1.740348069613922577e-01,3.012141475114586076e+00,-3.179116120320167882e-01,1.346538279960208806e-01,9.678753390324696948e-01,-3.179116120320167882e-01
1.800360072014402790e-01,3.010162380744306088e+00,-3.416054610571713779e-01,1.385817016036064719e-01,9.670119015356133385e-01,-3.416054610571713779e-01
1.860372074414882726e-01,3.008041980022035489e+00,-3.650043801005198874e-01,1.424643329113183254e-01,9.661785393645252462e-01,-3.650043801005198874e-01
1.920384076815362939e-01,3.005782040453830906e+00,-3.881091495448628637e-01,1.463019865941848907e-01,9.653761653801102849e-01,-3.881091495448628637e-01
1.980396079215843153e-01,3.003384325083239048e+00,-4.109205978345825128e-01,1.500949301140313830e-01,9.646056443536513703e-01,-4.109205978345825128e-01
2.040408081616323088e-01,3.000850591353903862e+00,-4.334395985805158946e-01,1.538434331578914238e-01,9.638677961155979190e-01,-4.334395985805158946e-01
2.100420084016803302e-01,2.998182592036490846e+00,-4.556670739154714544e-01,1.575477681174555222e-01,9.631633925276342767e-01,-4.556670739154714544e-01
2.160432086417283237e-01,2.995382073946297297e+00,-4.776039898755156665e-01,1.612082094490793482e-01,9.624931615448601985e-01,-4.776039898755156665e-01
2.220444088817763451e-01,2.992450777578736787e+00,-4.992513552120592668e-01,1.648250334912374770e-01,9.618577883296316466e-01,-4.992513552120592668e-01
2.280456091218243386e-01,2.989390437109339604e+00,-5.206102213918561983e-01,1.683985184645233335e-01,9.612579152515605685e-01,-5.206102213918561983e-01
2.340468093618723600e-01,2.986202780393752310e+00,-5.416816825970045546e-01,1.719289444716492199e-01,9.606941418875154515e-01,-5.416816825970045546e-01
2.400480096019203535e-01,2.982889528967739068e+00,-5.624668757249454698e-01,1.754165934974462882e-01,9.601670250216206570e-01,-5.624668757249454698e-01
2.460492098419683749e-01,2.979452397502715844e+00,-5.829669783200144284e-01,1.788617491330201648e-01,9.596770805860808107e-01,-5.829669783200144284e-01
2.520504100820163962e-01,2.975893093047732307e+00,-6.031832067968336819e-01,1.822646962288738126e-01,9.592247857342887096e-01,-6.031832067968336819e-01
2.580516103220644175e-01,2.972213315963925684e+00,-6.231168199299709221e-01,1.856257213792602279e-01,9.588105754733313724e-01,-6.231168199299709221e-01
2.640528105621123833e-01,2.968414758483829186e+00,-6.427691123611046775e-01,1.889451121654681931e-01,9.584348483396071261e-01,-6.427691123611046775e-01
2.700540108021604047e-01,2.964499104649380268e+00,-6.621414143403553387e-01,1.922231571237453529e-01,9.580979666324067612e-01,-6.621414143403553387e-01
2.760552110422084260e-01,2.960468030311919296e+00,-6.812350917262839367e-01,1.954601457452980195e-01,9.578002564139129760e-01,-6.812350917262839367e-01
2.820564112822564473e-01,2.956323203132192212e+00,-7.000515459858926981e-01,1.986563684762913673e-01,9.575420075092007099e-01,-7.000515459858926981e-01
2.880576115223044686e-01,2.952066282580348311e+00,-7.185922141946252673e-01,2.018121167178492104e-01,9.573234735062369216e-01,-7.185922141946252673e-01
2.940588117623524345e-01,2.947698919783098948e+00,-7.368585682408937965e-01,2.049276827447274740e-01,9.571448724601760993e-01,-7.368585682408937965e-01
3.000600120024004558e-01,2.943222756112666705e+00,-7.548521085888055815e-01,2.080033590041117375e-01,9.570063926473467708e-01,-7.548521085888055815e-01
3.060612122424484771e-01,2.938639424561852564e+00,-7.725743726076987894e-01,2.110394389078774080e-01,9.569081853884060518e-01,-7.725743726076987894e-01
3.120624124824964984e-01,2.933950548655945845e+00,-7.900269272017227395e-01,2.140362161853096024e-01,9.568503711676565882e-01,-7.900269272017227395e-01
3.180636127225444643e-01,2.929157742091005545e+00,-8.072113667297112771e-01,2.169939846822902252e-01,9.568330414303555242e-01,-8.072113667297112771e-01
3.240648129625924856e-01,2.924262608733860791e+00,-8.241293130051837723e-01,2.199130383612979689e-01,9.568562585827141698e-01,-8.241293130051837723e-01
3.300660132026405069e-01,2.919266742622111721e+00,-8.407824152963435660e-01,2.227936713014082304e-01,9.569200559918981108e-01,-8.407824152963435660e-01
3.360672134426885282e-01,2.914171727964129488e+00,-8.571723503260791910e-01,2.256361776982931389e-01,9.570244379860273209e-01,-8.571723503260791910e-01
3.420684136827365496e-01,2.908979139139054926e+00,-8.733008222719640390e-01,2.284408518642216390e-01,9.571693798541759390e-01,-8.733008222719640390e-01
3.480696139227845154e-01,2.903690540615398330e+00,-8.891695621754250878e-01,2.312079881806041737e-01,9.573548283539772275e-01,-8.891695621754250878e-01
3.540708141628325367e-01,2.898307485586593124e+00,-9.047803196741099896e-01,2.339378803835468201e-01,9.575807089870617128e-01,-9.047803196741099896e-01
3.600720144028805580e-01,2.892831517089557991e+00,-9.201348734796598317e-01,2.366308223380550746e-01,9.578469172105743557e-01,-9.201348734796598317e-01
3.660732146429285794e-01,2.887264167446027319e+00,-9.352350244774436661e-01,2.392871075776905887e-01,9.581533240242651184e-01,-9.352350244774436661e-01
3.720744148829765452e-01,2.881606957851240658e+00,-9.500825923004663220e-01,2.419070290434557624e-01,9.584997788642850569e-01,-9.500825923004663220e-01
3.780756151230245665e-01,2.875861398373946720e+00,-9.646794153293694052e-01,2.444908790837937440e-01,9.588861096031863207e-01,-9.646794153293694052e-01
3.840768153630725879e-01,2.870028987956399824e+00,-9.790273506924302982e-01,2.470389494545882914e-01,9.593121225499223748e-01,-9.790273506924302982e-01
3.900780156031206092e-01,2.864111214414363005e+00,-9.931282742655627160e-01,2.495515313191638274e-01,9.597776024498474445e-01,-9.931282742655627160e-01
3.960792158431686305e-01,2.858109554437105349e+00,-1.006984080672316706e+00,2.520289152482855233e-01,9.602823124847170710e-01,-1.006984080672316706e+00
4.020804160832165963e-01,2.852025473587403770e+00,-1.020596683283877981e+00,2.544713912201592709e-01,9.608259942726878888e-01,-1.020596683283877981e+00
4.080816163232646177e-01,2.845860426178506319e+00,-1.033968012876683495e+00,2.568792485358360467e-01,9.614083690023383921e-01,-1.033968012876683495e+00
4.140828165633126390e-01,2.839615854100054904e+00,-1.047100008518151437e+00,2.592527751885184695e-01,9.620291452987398406e-01,-1.047100008518151437e+00
4.200840168033606603e-01,2.833293187754615250e+00,-1.059994631106708329e+00,2.615922586696411978e-01,9.626880079067909879e-01,-1.059994631106708329e+00
4.260852170434086261e-01,2.826893845736635935e+00,-1.072653854233450943e+00,2.638979854822579019e-01,9.633846251295725693e-01,-1.072653854233450943e+00
4.320864172834566475e-01,2.820419234649019558e+00,-1.085079661600652390e+00,2.661702409873948905e-01,9.641186509814207994e-01,-1.085079661600652390e+00
4.380876175235046688e-01,2.813870749103123181e+00,-1.097274047021762122e+00,2.684093094040511662e-01,9.648897251879271497e-01,-1.097274047021762122e+00
4.440888177635526901e-01,2.807249771718758335e+00,-1.109239014421404823e+00,2.706154738091982037e-01,9.656974731859391259e-01,-1.109239014421404823e+00
4.500900180036007114e-01,2.800557673124191904e+00,-1.120976577835381738e+00,2.727890161377803380e-01,9.665415061235596017e-01,-1.120976577835381738e+00
4.560912182436486773e-01,2.793795811956144792e+00,-1.132488761410670230e+00,2.749302171827143204e-01,9.674214208601468190e-01,-1.132488761410670230e+00
4.620924184836966986e-01,2.786965534859791926e+00,-1.143777599405423340e+00,2.770393565948896519e-01,9.683367999663149428e-01,-1.143777599405423340e+00
4.680936187237447199e-01,2.780068176488764475e+00,-1.154845136188970667e+00,2.791167128831684163e-01,9.692872117239335061e-01,-1.154845136188970667e+00
4.740948189637927412e-01,2.773105059236460335e+00,-1.165693421393521279e+00,2.811625631782730950e-01,9.702722141782821330e-01,-1.165693421393521279e+00
4.800960192038407071e-01,2.766077492452914122e+00,-1.176324507036633937e+00,2.831771830118985367e-01,9.712913577284080224e-01,-1.176324507036633937e+00
4.860972194438887284e-01,2.758986773146113070e+00,-1.186740457805206317e+00,2.851608468356534032e-01,9.723441764720081038e-01,-1.186740457805206317e+00
4.920984196839367497e-01,2.751834185960612356e+00,-1.196943340995661131e+00,2.871138276011434010e-01,9.734301964429981080e-01,-1.196943340995661131e+00
4.980996199239847710e-01,2.744621003168632889e+00,-1.206935226207777934e+00,2.890363967461102579e-01,9.745489358649012113e-01,-1.206935226207777934e+00
5.041008201640327924e-01,2.737348484670057758e+00,-1.216718185344694225e+00,2.909288241944318343e-01,9.756999051508477017e-01,-1.216718185344694225e+00
5.101020204040808137e-01,2.730017877992433561e+00,-1.226294292612904124e+00,2.927913783561218453e-01,9.768826069035747572e-01,-1.226294292612904124e+00
5.161032206441288350e-01,2.722630418290970411e+00,-1.235665624522258588e+00,2.946243261273303049e-01,9.780965359154270011e-01,-1.235665624522258588e+00
5.221044208841767453e-01,2.715187328348541929e+00,-1.244834259885966077e+00,2.964279328903431376e-01,9.793411791683558354e-01,-1.244834259885966077e+00
5.281056211242247667e-01,2.707689818575686136e+00,-1.253802279820592114e+00,2.982024625135823448e-01,9.806160158339201072e-01,-1.253802279820592114e+00
5.341068213642727880e-01,2.700139087010602346e+00,-1.262571767746059503e+00,2.999481773516060046e-01,9.819205172732855536e-01,-1.262571767746059503e+00
5.401080216043208093e-01,2.692536319288159508e+00,-1.271144805629577546e+00,3.016653381177863413e-01,9.832541501292336728e-01,-1.271144805629577546e+00
5.461092218443688306e-01,2.684882687973538573e+00,-1.279523470088010040e+00,3.033542036823865806e-01,9.846163796512150679e-01,-1.279523470088010040e+00
5.521104220844168520e-01,2.677179352774516463e+00,-1.287709842223708989e+00,3.050150314188922462e-01,9.860066615688396485e-01,-1.287709842223708989e+00
5.581116223244648733e-01,2.669427461091130827e+00,-1.295705999462685165e+00,3.066480769943978890e-01,9.874244486942210797e-01,-1.295705999462685165e+00
5.641128225645128946e-01,2.661628148025178664e+00,-1.303514015193749209e+00,3.082535943587367266e-01,9.888691912167013598e-01,-1.303514015193749209e+00
5.701140228045609160e-01,2.653782536380217660e+00,-1.311135958768512300e+00,3.098318357444805327e-01,9.903403367028514870e-01,-1.311135958768512300e+00
5.761152230446089373e-01,2.645891736661564408e+00,-1.318573895501386151e+00,3.113830516669398030e-01,9.918373300964704598e-01,-1.318573895501386151e+00
5.821164232846568476e-01,2.637956847076296629e+00,-1.325829886669582791e+00,3.129074909241635893e-01,9.933596137185861652e-01,-1.325829886669582791e+00
5.881176235247048689e-01,2.629978953533251396e+00,-1.332905989513114564e+00,3.144054005969397214e-01,9.949066272674549349e-01,-1.332905989513114564e+00
5.941188237647528902e-01,2.621959129643026021e+00,-1.339804257234794349e+00,3.158770260487945847e-01,9.964778078185616561e-01,-1.339804257234794349e+00
6.001200240048009116e-01,2.613898436717977170e+00,-1.346526739000235118e+00,3.173226109259931205e-01,9.980725898246195493e-01,-1.346526739000235118e+00
6.061212242448489329e-01,2.605797923922335002e+00,-1.353075477246872937e+00,3.187423971086771335e-01,9.996904072964241106e-01,-1.353075477246872937e+00
6.121224244848969542e-01,2.597658627829210420e+00,-1.359452504254148097e+00,3.201366245843061398e-01,1.001330696651846708e+00,-1.359452504254148097e+00
6.181236247249449756e-01,2.589481572144361365e+00,-1.365659849618514610e+00,3.215055315953759818e-01,1.002992890643437773e+00,-1.365659849618514610e+00
6.241248249649929969e-01,2.581267768674852192e+00,-1.371699534507309970e+00,3.228493545994378100e-01,1.004676422944970504e+00,-1.371699534507309970e+00
6.301260252050410182e-01,2.573018217359405391e+00,-1.377573571369773431e+00,3.241683282652739750e-01,1.006380728384091983e+00,-1.377573571369773431e+00
6.361272254450889285e-01,2.564733906268400698e+00,-1.383283963937044891e+00,3.254626854728975283e-01,1.008105242942325175e+00,-1.383283963937044891e+00
6.421284256851369499e-01,2.556415811603876875e+00,-1.388832707222167118e+00,3.267326573135528878e-01,1.009849403755066932e+00,-1.388832707222167118e+00
6.481296259251849712e-01,2.548064897699529929e+00,-1.394221787520083078e+00,3.279784730897152278e-01,1.011612649111589546e+00,-1.394221787520083078e+00
6.541308261652329925e-01,2.539682117020714447e+00,-1.399453182407637497e+00,3.292003603150908120e-01,1.013394418455040080e+00,-1.399453182407637497e+00
6.601320264052810138e-01,2.531268410164441818e+00,-1.404528860743576857e+00,3.303985447146168819e-01,1.015194152382440151e+00,-1.404528860743576857e+00
6.661332266453290352e-01,2.522824705859382455e+00,-1.409450782668548952e+00,3.315732502244617685e-01,1.017011292644686149e+00,-1.409450782668548952e+00
6.721344268853770565e-01,2.514351921342422802e+00,-1.414220897009841771e+00,3.327246989927044596e-01,1.018845284218598657e+00,-1.414220897009841771e+00
6.781356271254250778e-01,2.505850961760925699e+00,-1.418841140316130955e+00,3.338531113056379396e-01,1.020695576116997128e+00,-1.418841140316130955e+00
6.841368273654730991e-01,2.497322719987268957e+00,-1.423313440737614455e+00,3.349587056220879044e-01,1.022561618273420514e+00,-1.423313440737614455e+00
6.901380276055210095e-01,2.488768077693564784e+00,-1.427639714565682061e+00,3.360416986306051235e-01,1.024442864275479259e+00,-1.427639714565682061e+00
6.961392278455690308e-01,2.480187905360911937e+00,-1.431821866190921888e+00,3.371023052497894579e-01,1.026338771398219274e+00,-1.431821866190921888e+00
7.021404280856170521e-01,2.471583062279401055e+00,-1.435861788103118597e+00,3.381407386282896388e-01,1.028248800604122826e+00,-1.435861788103118597e+00
7.081416283256650734e-01,2.462954396548108882e+00,-1.439761360891253839e+00,3.391572101448033227e-01,1.030172416543106984e+00,-1.439761360891253839e+00
7.141428285657130948e-01,2.454302745075104486e+00,-1.443522453243507364e+00,3.401519294080772027e-01,1.032109087552525617e+00,-1.443522453243507364e+00
7.201440288057611161e-01,2.445628933577443487e+00,-1.447146921947255693e+00,3.411251042569069525e-01,1.034058285657167842e+00,-1.447146921947255693e+00
7.261452290458091374e-01,2.436933776581172051e+00,-1.450636611889072336e+00,3.420769407601370604e-01,1.036019486569258685e+00,-1.450636611889072336e+00
7.321464292858571588e-01,2.428218077429669997e+00,-1.453993356034502638e+00,3.430076432174510304e-01,1.037992169704364365e+00,-1.453993356034502638e+00
7.381476295259051801e-01,2.419482629000451190e+00,-1.457218972866987983e+00,3.439174142241041010e-01,1.039975820198265621e+00,-1.457218972866987983e+00
7.441488297659530904e-01,2.410728212424972039e+00,-1.460315267659989980e+00,3.448064545417043880e-01,1.041969927914317973e+00,-1.460315267659989980e+00
7.501500300060011117e-01,2.401955597696899591e+00,-1.463284033197556955e+00,3.456749631622906827e-01,1.043973986871391979e+00,-1.463284033197556955e+00
7.561512302460491330e-01,2.393165544456489879e+00,-1.466127048420857282e+00,3.465231373844233076e-01,1.045987496306600262e+00,-1.466127048420857282e+00
7.621524304860971544e-01,2.384358801990589694e+00,-1.468846078428180491e+00,3.473511728131843945e-01,1.048009960675297281e+00,-1.468846078428180491e+00
7.681536307261451757e-01,2.375536109232633475e+00,-1.471442874474935714e+00,3.481592633601777176e-01,1.050040889651079778e+00,-1.471442874474935714e+00
7.741548309661931970e-01,2.366698194762646423e+00,-1.473919173973653018e+00,3.489476012435288044e-01,1.052079798125787224e+00,-1.473919173973653018e+00
7.801560312062412184e-01,2.357845776807241833e+00,-1.476276700493982741e+00,3.497163769878849360e-01,1.054126206209500705e+00,-1.476276700493982741e+00
7.861572314462892397e-01,2.348979563239623758e+00,-1.478517163762695485e+00,3.504657794244150359e-01,1.056179639230543588e+00,-1.478517163762695485e+00
7.921584316863372610e-01,2.340100251579585233e+00,-1.480642259663682347e+00,3.511959956908097258e-01,1.058239627735481747e+00,-1.480642259663682347e+00
7.981596319263851713e-01,2.331208529085881942e+00,-1.482653670128777801e+00,3.519072112426846477e-01,1.060305707575154965e+00,-1.482653670128777801e+00
8.041608321664331926e-01,2.322305073572912715e+00,-1.484553061430593068e+00,3.525996099602785594e-01,1.062377421234970809e+00,-1.484553061430593068e+00
8.101620324064812140e-01,2.313390551696006270e+00,-1.486342085446829664e+00,3.532733739414496421e-01,1.064454316824784863e+00,-1.486342085446829664e+00
8.161632326465292353e-01,2.304465620242247326e+00,-1.488022379599056810e+00,3.539286836478805487e-01,1.066535948158439551e+00,-1.488022379599056810e+00
8.221644328865772566e-01,2.295530926576629938e+00,-1.489595566515199421e+00,3.545657179585392504e-01,1.068621875023680667e+00,-1.489595566515199421e+00
8.281656331266252780e-01,2.286587108642058830e+00,-1.491063254029539209e+00,3.551846541696788151e-01,1.070711663182157380e+00,-1.491063254029539209e+00
8.341668333666732993e-01,2.277634794959349840e+00,-1.492427035182713801e+00,3.557856679948375733e-01,1.072804884369422007e+00,-1.492427035182713801e+00
8.401680336067213206e-01,2.268674604627228586e+00,-1.493688488221717181e+00,3.563689335648390077e-01,1.074901116294930681e+00,-1.493688488221717181e+00
8.461692338467693419e-01,2.259707147322330911e+00,-1.494849176599899909e+00,3.569346234277917529e-01,1.076999942642042685e+00,-1.494849176599899909e+00
8.521704340868172523e-01,2.250733023299202884e+00,-1.495910648976968682e+00,3.574829085490896508e-01,1.079100953068020896e+00,-1.495910648976968682e+00
8.581716343268652736e-01,2.241752823390301685e+00,-1.496874439218986330e+00,3.580139583114117507e-01,1.081203743204031342e+00,-1.496874439218986330e+00
8.641728345669132949e-01,2.232767129227161806e+00,-1.497742066327583332e+00,3.585279405452768131e-01,1.083307914717208220e+00,-1.497742066327583332e+00
8.701740348069613162e-01,2.223776513921705167e+00,-1.498515033644841843e+00,3.590250216360992286e-01,1.085413075928251869e+00,-1.498515033644841843e+00
8.761752350470093376e-01,2.214781540326259623e+00,-1.499194829168187360e+00,3.595053662876477873e-01,1.087518841503429590e+00,-1.499194829168187360e+00
8.821764352870573589e-01,2.205782762596391056e+00,-1.499782925934602051e+00,3.599691377167478779e-01,1.089624832240853047e+00,-1.499782925934602051e+00
8.881776355271053802e-01,2.196780726439595988e+00,-1.500280782005700697e+00,3.604164976861280456e-01,1.091730675092531078e+00,-1.500280782005700697e+00
8.941788357671534015e-01,2.187775969115304253e+00,-1.500689840467728464e+00,3.608476065044197711e-01,1.093836003164372128e+00,-1.500689840467728464e+00
9.001800360072014229e-01,2.178769019434875887e+00,-1.501011529431562908e+00,3.612626230261576921e-01,1.095940455716182038e+00,-1.501011529431562908e+00
9.061812362472493332e-01,2.169760397761603343e+00,-1.501247262032712193e+00,3.616617046517792700e-01,1.098043678161665593e+00,-1.501247262032712193e+00
9.121824364872973545e-01,2.160750616010711056e+00,-1.501398436431316874e+00,3.620450073276251235e-01,1.100145322068425857e+00,-1.501398436431316874e+00
9.181836367273453758e-01,2.151740177649354102e+00,-1.501466435812148337e+00,3.624126855459389174e-01,1.102245045157963732e+00,-1.501466435812148337e+00
9.241848369673933972e-01,2.142729577696620868e+00,-1.501452628384609689e+00,3.627648923448671958e-01,1.104342511305679508e+00,-1.501452628384609689e+00
9.301860372074414185e-01,2.133719303007688417e+00,-1.501358367475529754e+00,3.631017793495912582e-01,1.106437390489758643e+00,-1.501358367475529754e+00
9.361872374474894398e-01,2.124709832898084905e+00,-1.501184991367336741e+00,3.634234968783504605e-01,1.108529358935189890e+00,-1.501184991367336741e+00
9.421884376875374612e-01,2.115701637421967263e+00,-1.500933822640309945e+00,3.637301936955559256e-01,1.110618099491509803e+00,-1.500933822640309945e+00
9.481896379275854825e-01,2.106695178968074789e+00,-1.500606169200440432e+00,3.640220172196949044e-01,1.112703300991496613e+00,-1.500606169200440432e+00
9.541908381676335038e-01,2.097690912454805545e+00,-1.500203324372642477e+00,3.642991135502535172e-01,1.114784658195431710e+00,-1.500203324372642477e+00
9.601920384076814141e-01,2.088689285330219469e+00,-1.499726566900752900e+00,3.645616274677171420e-01,1.116861871791099192e+00,-1.499726566900752900e+00
9.661932386477294354e-01,2.079690737572036152e+00,-1.499177160947532172e+00,3.648097024335700267e-01,1.118934648393787423e+00,-1.499177160947532172e+00
9.721944388877774568e-01,2.070695701687637058e+00,-1.498556356094663533e+00,3.650434805902955659e-01,1.121002700546287034e+00,-1.498556356094663533e+00
9.781956391278254781e-01,2.061704602714063306e+00,-1.497865387342753207e+00,3.652631027613762460e-01,1.123065746718892699e+00,-1.497865387342753207e+00
9.841968393678734994e-01,2.052717858218017444e+00,-1.497105475111330852e+00,3.654687084512934780e-01,1.125123511309401581e+00,-1.497105475111330852e+00
9.901980396079215208e-01,2.043735878295863007e+00,-1.496277825238848669e+00,3.656604358455277648e-01,1.127175724643114663e+00,-1.496277825238848669e+00
9.961992398479695421e-01,2.034759065770706421e+00,-1.495383629145422777e+00,3.658384218393795906e-01,1.129222122873062339e+00,-1.495383629145422777e+00
1.002200440088017563e+00,2.025787817054791606e+00,-1.494424064372758210e+00,3.660028021775508233e-01,1.131262447654774128e+00,-1.494424064372758210e+00
1.008201640328065585e+00,2.016822520279532238e+00,-1.493400292935792129e+00,3.661537111869533345e-01,1.133296447161160847e+00,-1.493400292935792129e+00
1.014202840568113606e+00,2.007863556758483714e+00,-1.492313462803633417e+00,3.662912819675478993e-01,1.135323875166132535e+00,-1.492313462803633417e+00
1.020204040808161627e+00,1.998911301287231046e+00,-1.491164708170703568e+00,3.664156464342706032e-01,1.137344490877611136e+00,-1.491164708170703568e+00
1.026205241048209649e+00,1.989966122143388416e+00,-1.489955149456737793e+00,3.665269353170326760e-01,1.139358058937532503e+00,-1.489955149456737793e+00
1.032206441288257670e+00,1.981028381086599399e+00,-1.488685893306784358e+00,3.666252781607207134e-01,1.141364349421844171e+00,-1.488685893306784358e+00
1.038207641528305691e+00,1.972098433358536962e+00,-1.487358032591205248e+00,3.667108033251963439e-01,1.143363137840506694e+00,-1.487358032591205248e+00
1.044208841768353491e+00,1.963176627682903685e+00,-1.485972646405674835e+00,3.667836379852966178e-01,1.145354205137493420e+00,-1.485972646405674835e+00
1.050210042008401512e+00,1.954263306265430655e+00,-1.484530800071181655e+00,3.668439081308337291e-01,1.147337337690790049e+00,-1.484530800071181655e+00
1.056211242248449533e+00,1.945358804793879237e+00,-1.483033545134027076e+00,3.668917385665951270e-01,1.149312327312395521e+00,-1.483033545134027076e+00
1.062212442488497555e+00,1.936463452462005685e+00,-1.481481919394845415e+00,3.669272529158092433e-01,1.151278971230866643e+00,-1.481481919394845415e+00
1.068213642728545576e+00,1.927577573023061985e+00,-1.479876948138762138e+00,3.669505737802241652e-01,1.153237071348822251e+00,-1.479876948138762138e+00
1.074214842968593597e+00,1.918701483280122133e+00,-1.478219642213646656e+00,3.669618225355884555e-01,1.155186435394281119e+00,-1.478219642213646656e+00
1.080216043208641619e+00,1.909835493663607053e+00,-1.476510998831075394e+00,3.669611193949041117e-01,1.157126876445901953e+00,-1.476510998831075394e+00
1.086217243448689640e+00,1.900979908991835776e+00,-1.474752002510280491e+00,3.669485835141844121e-01,1.159058212366671059e+00,-1.474752002510280491e+00
1.092218443688737661e+00,1.892135028471024327e+00,-1.472943625078149577e+00,3.669243329924539720e-01,1.160980265803903677e+00,-1.472943625078149577e+00
1.098219643928785683e+00,1.883301145695285950e+00,-1.471086825669226439e+00,3.668884848717488545e-01,1.162892864189242648e+00,-1.471086825669226439e+00
1.104220844168833704e+00,1.874478548646631992e+00,-1.469182550725710135e+00,3.668411551371165702e-01,1.164795839738659966e+00,-1.469182550725710135e+00
1.110222044408881725e+00,1.865667519694970355e+00,-1.467231733997455656e+00,3.667824587166158001e-01,1.166689029452455229e+00,-1.467231733997455656e+00
1.116223244648929747e+00,1.856868335598107489e+00,-1.465235296541973931e+00,3.667125094813168396e-01,1.168572275115256742e+00,-1.465235296541973931e+00
1.122224444888977768e+00,1.848081267501746394e+00,-1.463194146724431155e+00,3.666314202453012094e-01,1.170445423296021081e+00,-1.463194146724431155e+00
1.128225645129025789e+00,1.839306580939487956e+00,-1.461109180217649683e+00,3.665393027656619340e-01,1.172308325348033087e+00,-1.461109180217649683e+00
