t,k,L,dk_dt,dk_dt_noisy
7.501500300060011395e-02,5.589834440605397248e+00,5.096842659043507862e-01,-2.379426468399551098e+01,-2.377634702257995869e+01
7.601520304060811750e-02,5.566119311716398066e+00,5.098024389957627189e-01,-2.362677165855637895e+01,-2.363367597275740550e+01
7.701540308061612106e-02,5.542570892109343283e+00,5.099203608526958753e-01,-2.346091238361116993e+01,-2.349054874908561530e+01
7.801560312062412461e-02,5.519187555367560449e+00,5.100380327000758607e-01,-2.329666655834298084e+01,-2.329886677363720437e+01
7.901580316063212817e-02,5.495967692615544742e+00,5.101554557535299406e-01,-2.313401416969869828e+01,-2.314293073275892354e+01
8.001600320064013172e-02,5.472909725107673928e+00,5.102726312162000344e-01,-2.297293557423946453e+01,-2.295742909779851360e+01
8.101620324064813528e-02,5.450012091874905096e+00,5.103895602828053546e-01,-2.281341141073045620e+01,-2.280953875376291151e+01
8.201640328065612495e-02,5.427273249626219709e+00,5.105062441396723827e-01,-2.265542259643937939e+01,-2.268803958108808061e+01
8.301660332066412851e-02,5.404691672748615616e+00,5.106226839647343141e-01,-2.249895032414062968e+01,-2.252285358574269480e+01
8.401680336067213206e-02,5.382265853307116821e+00,5.107388809275319463e-01,-2.234397605915396312e+01,-2.232630027842221665e+01
8.501700340068013562e-02,5.359994301044766374e+00,5.108548361892129019e-01,-2.219048153641723076e+01,-2.217688623606887433e+01
8.601720344068813917e-02,5.337875543382627264e+00,5.109705509025320724e-01,-2.203844875759284605e+01,-2.205125362491101626e+01
8.701740348069614273e-02,5.315908125419785968e+00,5.110860262118515074e-01,-2.188785998820759815e+01,-2.188788096413894380e+01
8.801760352070414628e-02,5.294090609933348901e+00,5.112012632531404144e-01,-2.173869775482546629e+01,-2.172978628374994159e+01
8.901780356071213596e-02,5.272421577378444191e+00,5.113162631539750480e-01,-2.159094484225305521e+01,-2.158157675553610844e+01
9.001800360072013951e-02,5.250899625888219902e+00,5.114310270335389319e-01,-2.144458429077724304e+01,-2.142705944685495467e+01
9.101820364072814307e-02,5.229523371273847587e+00,5.115455560026225257e-01,-2.129959939343483910e+01,-2.129446968089040837e+01
9.201840368073614662e-02,5.208291447024516962e+00,5.116598511636236690e-01,-2.115597369331359090e+01,-2.115787026009295957e+01
9.301860372074415018e-02,5.187202504307443007e+00,5.117739136105472486e-01,-2.101369098088463616e+01,-2.101886794218039256e+01
9.401880376075215373e-02,5.166255209686761773e+00,5.118877444297260659e-01,-2.087273527653583827e+01,-2.085162042052517251e+01
9.501900380076015729e-02,5.145448236307613499e+00,5.120013447021365405e-01,-2.073309077101956177e+01,-2.077810785652113168e+01
9.601920384076814696e-02,5.124780283423342908e+00,5.121147154970172588e-01,-2.059474195011049957e+01,-2.059751505661232684e+01
9.701940388077615052e-02,5.104250066254154561e+00,5.122278578757712975e-01,-2.045767352589050603e+01,-2.045701352381082572e+01
9.801960392078415407e-02,5.083856313881384814e+00,5.123407728926816507e-01,-2.032187042082424000e+01,-2.035037740004164419e+01
9.901980396079215763e-02,5.063597769247497382e+00,5.124534615949113414e-01,-2.018731776558709967e+01,-2.018066149332434023e+01
1.000200040008001612e-01,5.043473189156086889e+00,5.125659250225036434e-01,-2.005400089691719501e+01,-2.006702651716606312e+01
1.010202040408081647e-01,5.023481344271877092e+00,5.126781642083815260e-01,-1.992190535549100616e+01,-1.990465645956469132e+01
1.020204040808161683e-01,5.003621019120719104e+00,5.127901801783484315e-01,-1.979101688382252533e+01,-1.979352872550321152e+01
1.030206041208241718e-01,4.983891012089595840e+00,5.129019739510876086e-01,-1.966132142418564754e+01,-1.964793835936986000e+01
1.040208041608321615e-01,4.964290135426619344e+00,5.130135465381624460e-01,-1.953280511655951202e+01,-1.950842824445608770e+01
1.050210042008401651e-01,4.944817215241029018e+00,5.131248989440162500e-01,-1.940545429659661281e+01,-1.939779570494234306e+01
1.060212042408481686e-01,4.925471091503196952e+00,5.132360321659725777e-01,-1.927925549361340174e+01,-1.929676991648185691e+01
1.070214042808561722e-01,4.906250618044621703e+00,5.133469471942347928e-01,-1.915419542860313484e+01,-1.918448180123722935e+01
1.080216043208641757e-01,4.887154662557931850e+00,5.134576450118867319e-01,-1.903026101227075984e+01,-1.899519332992043275e+01
1.090218043608721793e-01,4.868182106596886882e+00,5.135681265948919272e-01,-1.890743934308958174e+01,-1.890966518695333320e+01
1.100220044008801829e-01,4.849331845576373645e+00,5.136783929120939396e-01,-1.878571770537948282e+01,-1.879948900433216963e+01
1.110222044408881725e-01,4.830602787701333334e+00,5.137884449255871733e-01,-1.866508356074256625e+01,-1.866219841898135101e+01
1.120224044808961761e-01,4.811993844982199953e+00,5.138982835934778892e-01,-1.854552449052451735e+01,-1.854935271713416967e+01
1.130226045209041796e-01,4.793503949673227460e+00,5.140079098638845601e-01,-1.842702829651202023e+01,-1.840998545122776520e+01
1.140228045609121832e-01,4.775132047836899041e+00,5.141173246777966943e-01,-1.830958295882633635e+01,-1.830890439517759560e+01
1.150230046009201867e-01,4.756877096399856342e+00,5.142265289701655195e-01,-1.819317661597123248e+01,-1.819290162429886237e+01
1.160232046409281903e-01,4.738738063152906577e+00,5.143355236699040933e-01,-1.807779756326408460e+01,-1.809208915768474313e+01
1.170234046809361939e-01,4.720713926751018086e+00,5.144443096998875253e-01,-1.796343425128354454e+01,-1.795404288930859593e+01
1.180236047209441835e-01,4.702803676713319447e+00,5.145528879769524222e-01,-1.785007528433371959e+01,-1.787075261878081989e+01
1.190238047609521871e-01,4.685006313423104807e+00,5.146612594118973316e-01,-1.773770941892460939e+01,-1.772439163012932895e+01
1.200240048009601906e-01,4.667320848127827659e+00,5.147694249094828534e-01,-1.762632556226863301e+01,-1.759584681200882983e+01
1.210242048409681942e-01,4.649746302939105291e+00,5.148773853684309731e-01,-1.751591277079315745e+01,-1.754640649155513898e+01
1.220244048809761978e-01,4.632281710832717891e+00,5.149851416814258398e-01,-1.740646024866879316e+01,-1.745578483329581942e+01
1.230246049209842013e-01,4.614926115648605887e+00,5.150926947351134322e-01,-1.729795734635330717e+01,-1.728561977125022153e+01
1.240248049609922049e-01,4.597678572090873494e+00,5.152000454101012261e-01,-1.719039355915107237e+01,-1.713943560284140943e+01
1.250250050010001945e-01,4.580538145727786947e+00,5.153071945809589716e-01,-1.708375852578773646e+01,-1.710377702276517553e+01
1.260252050410081981e-01,4.563503912991773603e+00,5.154141431162176934e-01,-1.697804202700015708e+01,-1.700305594217619642e+01
1.270254050810162016e-01,4.546574961179424612e+00,5.155208918783708016e-01,-1.687323398414122266e+01,-1.686145460546561381e+01
1.280256051210242052e-01,4.529750388451493137e+00,5.156274417238732033e-01,-1.676932445779962677e+01,-1.678613888960079237e+01
1.290258051610322088e-01,4.513029302446686764e+00,5.157337935036585552e-01,-1.666630363818646643e+01,-1.667642414786520177e+01
1.300260052010402123e-01,4.496410813304709819e+00,5.158399480653943492e-01,-1.656416180248515246e+01,-1.657112415181882881e+01
1.310262052410482159e-01,4.479894048324267075e+00,5.159459062478073399e-01,-1.646288940091289632e+01,-1.645224935918706066e+01
1.320264052810562194e-01,4.463478145180101997e+00,5.160516688837630817e-01,-1.636247701485680039e+01,-1.637058306208466263e+01
1.330266053210642230e-01,4.447162250058840804e+00,5.161572368010077794e-01,-1.626291534461217481e+01,-1.625735768781057189e+01
1.340268053610722265e-01,4.430945517658993360e+00,5.162626108221686216e-01,-1.616419520825268918e+01,-1.616772587343056244e+01
1.350270054010802301e-01,4.414827111190949616e+00,5.163677917647535587e-01,-1.606630754051196774e+01,-1.608320096258499987e+01
1.360272054410882059e-01,4.398806202376985830e+00,5.164727804411515244e-01,-1.596924339167661699e+01,-1.597563991683148110e+01
1.370274054810962094e-01,4.382881971451256575e+00,5.165775776586322143e-01,-1.587299392649039831e+01,-1.589200191979375631e+01
1.380276055211042130e-01,4.367053607159800954e+00,5.166821842193461967e-01,-1.577755042306968924e+01,-1.577742012335229482e+01
1.390278055611122165e-01,4.351320306760539935e+00,5.167866009203249122e-01,-1.568290427182989610e+01,-1.570538159638120845e+01
1.400280056011202201e-01,4.335681276023279018e+00,5.168908285534806746e-01,-1.558904697442283016e+01,-1.561090486180873427e+01
1.410282056411282237e-01,4.320135729229702015e+00,5.169948679056066698e-01,-1.549597014268487349e+01,-1.546683090637876923e+01
1.420284056811362272e-01,4.304682889173379046e+00,5.170987197583769568e-01,-1.540366549759597525e+01,-1.540472918200208241e+01
1.430286057211442308e-01,4.289321987159761207e+00,5.172023848883462449e-01,-1.531212486824913555e+01,-1.531320290875857637e+01
1.440288057611522343e-01,4.274052263006182351e+00,5.173058640669504493e-01,-1.522134019083047107e+01,-1.521110946243211792e+01
1.450290058011602379e-01,4.258872965041857306e+00,5.174091580605060248e-01,-1.513130350760967957e+01,-1.513972064766065628e+01
1.460292058411682414e-01,4.243783350107885433e+00,5.175122676302105207e-01,-1.504200696594080178e+01,-1.504657767329036488e+01
1.470294058811762450e-01,4.228782683557247957e+00,5.176151935321422481e-01,-1.495344281727319746e+01,-1.494493984256655850e+01
1.480296059211842485e-01,4.213870236294312122e+00,5.177179365184365611e-01,-1.486560339933680908e+01,-1.485995508249192021e+01
1.490298059611922521e-01,4.199045282766293852e+00,5.178204973376586695e-01,-1.477848112398676328e+01,-1.480166705852541220e+01
1.500300060012002279e-01,4.184307111746829122e+00,5.179228767305608105e-01,-1.469206853760771025e+01,-1.467540168567431635e+01
1.510302060412082314e-01,4.169655019068058799e+00,5.180250754333906027e-01,-1.460635827872152959e+01,-1.461816697758731110e+01
1.520304060812162350e-01,4.155088307228442801e+00,5.181270941780569128e-01,-1.452134307493179399e+01,-1.454246465393807775e+01
1.530306061212242386e-01,4.140606285392759212e+00,5.182289336921301892e-01,-1.443701574211198491e+01,-1.445502524351196527e+01
1.540308061612322421e-01,4.126208269392102501e+00,5.183305946988421287e-01,-1.435336918360161995e+01,-1.436118009048872679e+01
1.550310062012402457e-01,4.111893581723885305e+00,5.184320779170858984e-01,-1.427039638941027988e+01,-1.423785038431781835e+01
1.560312062412482492e-01,4.097661551551837533e+00,5.185333840614162471e-01,-1.418809043542934134e+01,-1.421160115352775755e+01
1.570314062812562528e-01,4.083511514706008150e+00,5.186345138420488388e-01,-1.410644448265145634e+01,-1.410324296480076889e+01
1.580316063212642563e-01,4.069442813682761617e+00,5.187354679648613631e-01,-1.402545177639758123e+01,-1.406820826355939325e+01
1.590318063612722599e-01,4.055454797644780562e+00,5.188362471313923141e-01,-1.394510564555165111e+01,-1.394513698421455494e+01
1.600320064012802634e-01,4.041546822421067553e+00,5.189368520388421002e-01,-1.386539950180267766e+01,-1.384740817345315733e+01
1.610322064412882670e-01,4.027718250506938880e+00,5.190372833800721564e-01,-1.378632683889425614e+01,-1.379106010533548599e+01
1.620324064812962706e-01,4.013968451064031662e+00,5.191375418436053879e-01,-1.370788123188145491e+01,-1.372046833035912172e+01
1.630326065213042741e-01,4.000296799920299406e+00,5.192376281136262817e-01,-1.363005633639492764e+01,-1.362542611511375767e+01
1.640328065613122499e-01,3.986702679570012453e+00,5.193375428699806839e-01,-1.355284588791226419e+01,-1.353884285288925149e+01
1.650330066013202535e-01,3.973185479173759749e+00,5.194372867881755784e-01,-1.347624370103646996e+01,-1.346297054961612183e+01
1.660332066413282570e-01,3.959744594558447961e+00,5.195368605393795303e-01,-1.340024366878150097e+01,-1.336079419170290450e+01
1.670334066813362606e-01,3.946379428116979060e+00,5.196362647904676502e-01,-1.332483976131842240e+01,-1.332065641187169724e+01
1.680336067213442641e-01,3.933089383104392933e+00,5.197355002064039109e-01,-1.325002599429147843e+01,-1.326187419628653785e+01
1.690338067613522677e-01,3.919873871329838888e+00,5.198345674464731614e-01,-1.317579647018921918e+01,-1.317831605398895256e+01
1.700340068013602712e-01,3.906732313355821162e+00,5.199334671646106409e-01,-1.310214537860676209e+01,-1.310359534951915883e+01
1.710342068413682748e-01,3.893664134963718659e+00,5.200322000110754184e-01,-1.302906697635771671e+01,-1.302689222868815477e+01
1.720344068813762783e-01,3.880668767153783172e+00,5.201307666324508361e-01,-1.295655558688646813e+01,-1.295715614315105668e+01
1.730346069213842819e-01,3.867745646145141603e+00,5.202291676716442881e-01,-1.288460559968603647e+01,-1.288112628090811285e+01
1.740348069613922855e-01,3.854894213375795520e+00,5.203274037678872199e-01,-1.281321146972130798e+01,-1.284662847093360938e+01
1.750350070014002890e-01,3.842113915502619825e+00,5.204254755567353508e-01,-1.274236771685769654e+01,-1.272577513773689617e+01
1.760352070414082926e-01,3.829404204401363643e+00,5.205233836700683403e-01,-1.267206892529514661e+01,-1.268356371067356747e+01
1.770354070814162961e-01,3.816764537166650761e+00,5.206211287360901219e-01,-1.260230974300743867e+01,-1.262577291693637882e+01
1.780356071214242719e-01,3.804194376111979192e+00,5.207187113793283473e-01,-1.253308488118675967e+01,-1.252032985799393039e+01
1.790358071614322755e-01,3.791693188769720280e+00,5.208161322206353860e-01,-1.246438911369343572e+01,-1.243804259354571329e+01
1.800360072014402790e-01,3.779260447891120922e+00,5.209133918771871041e-01,-1.239621727651090310e+01,-1.238635671352091450e+01
1.810362072414482826e-01,3.766895631446300907e+00,5.210104909624837521e-01,-1.232856426720569232e+01,-1.232534108092878178e+01
1.820364072814562861e-01,3.754598222624255133e+00,5.211074300863498543e-01,-1.226142504439258296e+01,-1.228006945050002230e+01
1.830366073214642897e-01,3.742367709832852274e+00,5.212042098549337643e-01,-1.219479462720470053e+01,-1.213736328044843127e+01
1.840368073614722932e-01,3.730203586698835672e+00,5.213008308707079985e-01,-1.212866809476862429e+01,-1.211106292235539428e+01
1.850370074014802968e-01,3.718105352067822000e+00,5.213972937324691248e-01,-1.206304058568441739e+01,-1.208582647909127772e+01
1.860372074414883004e-01,3.706072510004303044e+00,5.214935990353380957e-01,-1.199790729751054030e+01,-1.201350005583533509e+01
1.870374074814963039e-01,3.694104569791643922e+00,5.215897473707596932e-01,-1.193326348625360289e+01,-1.193152390128216567e+01
1.880376075215043075e-01,3.682201044179994387e+00,5.216857393273262034e-01,-1.186910445674998371e+01,-1.190019907938990329e+01
1.890378075615123110e-01,3.670361446899744973e+00,5.217815754916412807e-01,-1.180542554936485011e+01,-1.180205294122463933e+01
1.900380076015203146e-01,3.658585301468249895e+00,5.218772564441546136e-01,-1.174222218534062279e+01,-1.175140361645487808e+01
1.910382076415283181e-01,3.646872135963731942e+00,5.219727827619654592e-01,-1.167948983903399274e+01,-1.165496442702766799e+01
1.920384076815362939e-01,3.635221482548527838e+00,5.220681550190595654e-01,-1.161722403500601608e+01,-1.159798094173345184e+01
1.930386077215442975e-01,3.623632877469086466e+00,5.221633737863092817e-01,-1.155542034760130221e+01,-1.160964605634999813e+01
1.940388077615523010e-01,3.612105861055969758e+00,5.222584396314736699e-01,-1.149407440053099982e+01,-1.149324034881045442e+01
1.950390078015603046e-01,3.600639977723851803e+00,5.223533531191980606e-01,-1.143318186645954171e+01,-1.146553121645001561e+01
1.960392078415683081e-01,3.589234775971520186e+00,5.224481148110146078e-01,-1.137273846659506304e+01,-1.135054570661009343e+01
1.970394078815763117e-01,3.577889808381875092e+00,5.225427252653420673e-01,-1.131273997028351808e+01,-1.130937785290096187e+01
1.980396079215843153e-01,3.566604631621928423e+00,5.226371850374854633e-01,-1.125318219460645253e+01,-1.124221408556271307e+01
1.990398079615923188e-01,3.555378806442806017e+00,5.227314946796368655e-01,-1.119406100398237314e+01,-1.121536349855843895e+01
2.000400080016003224e-01,3.544211897679745427e+00,5.228256547408746124e-01,-1.113537230977170367e+01,-1.109880370501179314e+01
2.010402080416083259e-01,3.533103474252097254e+00,5.229196657671635329e-01,-1.107711206988530606e+01,-1.103671060254229630e+01
2.020404080816163295e-01,3.522053109163325590e+00,5.230135283013555014e-01,-1.101927628839652762e+01,-1.104057170924905229e+01
2.030406081216243330e-01,3.511060379501006246e+00,5.231072428831883281e-01,-1.096186101515670508e+01,-1.095440471271937888e+01
2.040408081616323366e-01,3.500124866436828075e+00,5.232008100492869795e-01,-1.090486234541417865e+01,-1.091832839398198196e+01
2.050410082016403401e-01,3.489246155226592094e+00,5.232942303331626910e-01,-1.084827641943669363e+01,-1.084874781817390854e+01
2.060412082416483437e-01,3.478423835210213255e+00,5.233875042652134102e-01,-1.079209942213724283e+01,-1.081741216172173381e+01
2.070414082816563195e-01,3.467657499811718669e+00,5.234806323727234645e-01,-1.073632758270325738e+01,-1.069898467241164575e+01
2.080416083216643230e-01,3.456946746539246718e+00,5.235736151798640048e-01,-1.068095717422911051e+01,-1.070034076445076465e+01
2.090418083616723266e-01,3.446291176803295553e+00,5.236664532077875966e-01,-1.062598451244734399e+01,-1.063190618874729410e+01
2.100420084016803302e-01,3.435690391575857650e+00,5.237591469767456376e-01,-1.057140593381841498e+01,-1.056137627519620459e+01
2.110422084416883337e-01,3.425143998162300196e+00,5.238516970023208152e-01,-1.051721782897663182e+01,-1.053016904254495500e+01
2.120424084816963373e-01,3.414651609170260116e+00,5.239441037962999648e-01,-1.046341663715159775e+01,-1.046820288574624414e+01
2.130426085217043408e-01,3.404212840402211615e+00,5.240363678678335857e-01,-1.040999883534935400e+01,-1.042127163227789310e+01
2.140428085617123444e-01,3.393827310855463075e+00,5.241284897234359530e-01,-1.035696093804869733e+01,-1.035963015314542268e+01
2.150430086017203479e-01,3.383494642722158829e+00,5.242204698669852281e-01,-1.030429949690013025e+01,-1.032771034960213719e+01
2.160432086417283515e-01,3.373214461389278274e+00,5.243123087997232368e-01,-1.025201110042739217e+01,-1.026077086193943799e+01
2.170434086817363550e-01,3.362986395438636755e+00,5.244040070202560244e-01,-1.020009237373153965e+01,-1.020423023222578429e+01
2.180436087217443586e-01,3.352810076646883797e+00,5.244955650245531897e-01,-1.014853997819761489e+01,-1.015521449827369693e+01
2.190438087617523621e-01,3.342685139985505316e+00,5.245869833059481069e-01,-1.009735061120380628e+01,-1.009621681210593103e+01
2.200440088017603657e-01,3.332611223620822738e+00,5.246782623551380365e-01,-1.004652100583314223e+01,-1.005238305022027667e+01
2.210442088417683415e-01,3.322587968913992107e+00,5.247694026601843476e-01,-9.996047930587632635e+00,-9.980983702418845027e+00
2.220444088817763451e-01,3.312615020421004530e+00,5.248604047065117406e-01,-9.945928189104922268e+00,-9.952392107620639194e+00
2.230446089217843486e-01,3.302692025892687955e+00,5.249512689769092466e-01,-9.896158619877359897e+00,-9.898891611803277257e+00
2.240448089617923522e-01,3.292818636274704946e+00,5.250419959515293389e-01,-9.846736095973497527e+00,-9.860031722693413769e+00
