T,H,P,m,m_noisy
2.810751642017731555e+01,7.329973982168619173e+00,-1.275782638864001672e+00,8.933743304182911737e-01,8.855552457947227785e-01
3.334588729932460183e+01,4.557565028358032677e+00,-6.828902693780518618e-01,8.861292641692993799e-01,8.835573417631106263e-01
7.678245586407467727e+01,6.502365948399171813e+00,1.109501884433579555e+00,6.914996905383549164e-01,6.915811123435383623e-01
3.495637946075755309e+01,9.987335699183315540e+00,-1.226130238146597495e+00,8.622346535664454636e-01,8.594786245134518055e-01
5.318199672441551940e+01,9.748681164688088430e+00,4.974886120439063752e-01,8.379723027467095298e-01,8.509129408906915826e-01
9.728561078231024339e+01,1.864484035841972309e+00,9.872092887114019000e-01,3.892797709530089745e-01,3.993470141060669332e-01
9.558749023607701645e+01,6.374105862886011664e+00,1.720392947109957049e+00,5.087069610198121650e-01,4.815953362301524932e-01
7.450630472884449773e+01,8.675371190095640728e+00,-1.805866084068580513e+00,5.345894491483343947e-01,5.156993166886576496e-01
5.816919014372164298e+01,6.013136260532014887e-01,1.601987427915965156e-01,7.879158903416688675e-01,7.861681694211172244e-01
3.464331716003800210e+01,5.749402394646269343e+00,-1.618670153420656455e+00,8.473085556921456929e-01,8.430866515763821845e-01
2.429802878098629293e+01,1.154920690318445020e+00,1.546062640957680756e+00,1.084178428348520740e+00,1.086314858323506938e+00
9.632336177623579943e+01,1.835654557528987318e+00,1.813330093922082664e+00,4.920932362955947603e-01,4.942664556058203873e-01
5.593010411376120317e+01,3.591962505824296770e+00,-1.776438226170809376e+00,7.049736869693385977e-01,7.261520745198490889e-01
2.031203950989855755e+01,5.566692189919232092e+00,-1.603104874915119993e+00,9.237747185196274469e-01,9.126545108927046623e-01
6.549058824283753211e+01,5.414616291635948819e+00,-1.693635824308401538e-01,7.024557619535708453e-01,6.986797118823008246e-01
7.912479717646452571e+01,5.039855847684451717e+00,1.099727515942277911e+00,6.649884063452538019e-01,6.854161224201771319e-01
6.455729379372060350e+01,9.572603130187220088e+00,4.641132660883307004e-01,7.562124697659327044e-01,7.626794997279511268e-01
9.163949572639033647e+01,5.093410929438210388e+00,-6.731187980253006131e-01,3.340775583928382586e-01,3.407081921166008609e-01
1.352376602311405485e+01,7.330961375136981317e+00,3.873646291434327260e-01,1.039621485399710998e+00,1.034481421682836411e+00
5.704444443014192956e+01,3.342997705890481619e+00,1.191849638941615108e+00,8.542510967960620372e-01,8.377703450875054747e-01
5.088089357680092917e+01,7.443336718747016079e+00,1.685994911755270831e+00,9.354712039847019600e-01,9.371458514269294104e-01
1.554911254433892864e+01,7.478906233940011639e+00,-1.446702943537379937e+00,9.514266144330937314e-01,9.525167553113091934e-01
6.707820705340436973e+01,6.695653738514170783e+00,1.372081665750645829e+00,7.959198486248153515e-01,7.836463280823695587e-01
8.588432262477844858e+01,7.542957489987696107e+00,5.916413460074063657e-01,5.533540396168162845e-01,5.465217729990106132e-01
6.277175061128127709e+01,5.723566958838185670e+00,1.452154263581970639e-01,7.423592255473979717e-01,7.416387887501256770e-01
3.314867284861286123e+01,8.556395752560504775e+00,-2.368921386338875834e-01,9.100474551019794855e-01,9.005999388713716858e-01
8.474945537179537780e+01,8.325339347465730455e+00,4.321804139047280557e-02,5.270982130167451984e-01,5.261155133382230398e-01
5.534513345541433438e+01,9.638977389912262161e-01,-1.650999150759897560e-01,7.867756829773181471e-01,7.877305132520127096e-01
5.546911071752143840e+01,4.483557873561426987e+00,6.827627898962060904e-01,8.278189608571151492e-01,8.281748232276699984e-01
7.701968848549383040e+01,1.206720643988498098e+00,1.648125627454655628e+00,7.350329727713398320e-01,7.299700561881966587e-01
2.316506118486113053e+01,9.505390392917069775e+00,-1.052470929077108153e+00,9.286632872524585025e-01,9.346007679703167703e-01
8.294677800161565528e+01,4.348911962790387165e+00,-1.991742469743593258e+00,3.869086429027348006e-01,3.958203124455580979e-01
7.081253463428988937e+01,2.200783181007833988e+00,-1.896967811480186228e+00,5.681904595616807940e-01,5.713989426073464717e-01
8.005162779837729659e+01,8.376285417225680874e+00,1.646786505306937709e+00,7.079916381612246790e-01,6.998093358873216374e-01
2.705384705279203672e+01,8.721615959622897041e-01,1.715330797924647044e+00,1.086529489638698776e+00,1.093846012476553220e+00
8.141041034097317208e+01,1.540869486458885662e+00,1.500596003516431853e+00,6.754744571375858042e-01,6.704600569529153287e-01
2.702782941909082481e+01,6.788299367495368664e+00,3.298924896439707766e-01,9.706081941923381251e-01,9.793998003752180104e-01
1.725818294535262964e+01,5.074233228888243019e+00,3.408475809580653326e-01,1.018960354207032681e+00,1.008242480038258337e+00
8.611520071154924949e+01,2.672946662715809385e+00,-3.843588968107627402e-01,4.657477171346203759e-01,4.748923891659082019e-01
8.665423115981248259e+01,5.762797692621788315e+00,-6.487212363159500228e-01,4.380796054278789375e-01,4.378789708817241166e-01
8.801180158107565887e+01,2.073836738115316436e+00,1.732891446492158316e+00,6.141677895811886723e-01,6.016803006778445040e-01
5.199996502293232936e+01,3.092356108973476125e+00,1.213549035947365518e-01,8.172911122687789298e-01,8.141521175491104323e-01
3.439030658662092321e+01,6.110606141408947423e+00,-8.991625755953487342e-01,8.716691620918617378e-01,8.722101848795771328e-01
1.063117274568179660e+01,8.829321547901784584e+00,6.289055326087242825e-01,1.070064181370129930e+00,1.072792094761774395e+00
6.746915970617035896e+01,7.031782727739106065e+00,-1.633360389642910526e+00,6.145957077934841584e-01,6.047738265440744110e-01
7.407193513227367987e+01,6.432277841422298970e+00,7.347541798664618540e-01,6.887617839811192022e-01,6.776880535094672586e-01
8.436566026852439393e+01,7.466471370716859290e+00,-9.103532598969126255e-01,4.569284340144976198e-01,4.589242793429684220e-01
3.508712663544424970e+01,3.783757806318839290e+00,7.764574424896850680e-01,9.577083841953190069e-01,9.530408880265209826e-01
2.915441687750465150e+01,9.809780602038731701e+00,-7.228896149974994856e-02,9.415230458148232673e-01,9.438781019321255128e-01
6.690049282592632096e+01,6.112601800079339398e+00,1.444734225532532168e+00,8.020823152096898667e-01,8.096775104344736684e-01
8.164988014990586862e+01,2.575612755116058139e+00,1.026485529797096508e+00,6.317341912570054729e-01,6.152463175934960171e-01
9.576670768320241223e+01,3.596524784985444256e-01,1.933041959167081103e+00,5.205159988829877182e-01,5.230598800481638389e-01
2.339670990748479795e+01,1.117555852958921347e+00,3.226883451145869941e-01,1.000069634190791978e+00,1.012316103866149231e+00
5.291690254974095353e+01,1.985091516147906576e+00,1.304858472028584515e+00,8.944786761312447654e-01,8.915034076875399949e-01
8.962971173545943770e+01,7.343726390101743107e+00,6.348551701984841422e-01,5.044264913232014980e-01,4.963183454908258185e-01
4.762180471814392035e+01,8.145211644726144229e+00,9.469447477623322840e-01,8.995346217047086590e-01,9.070570599765045428e-01
6.246568352548028003e+01,9.254528450487754299e+00,1.581759971013776855e+00,8.532283747948683494e-01,8.557628399569497946e-01
1.217967029690932534e+01,6.429102351775691560e+00,-7.482930360200477082e-01,9.885510635365383214e-01,9.975098942443139105e-01
6.993792995661155487e+01,2.972769899755106415e+00,1.184697055202538873e+00,7.564745561447638877e-01,7.530223990442510562e-01
9.179888714741019839e+01,8.388690893434885609e+00,1.707351548623794457e+00,5.731655607934829089e-01,5.583473780562607791e-01
8.358745433054816942e+01,9.534701698838009776e+00,1.956057780656713430e+00,7.020702054182419438e-01,7.009700977711293968e-01
8.881130373718525561e+01,6.969038400375832332e+00,-1.416727804780601119e+00,3.160731968481559351e-01,3.116149153180436393e-01
6.877162886632658001e+01,7.235803997080680894e-01,-8.750872727239951132e-01,6.442434442662765548e-01,6.519966824867522437e-01
3.185415178464280572e+01,4.109819767819693936e+00,-3.012845067380482966e-01,9.117734492970517302e-01,9.137097777808232957e-01
7.839801290176663429e+01,2.489436298082980947e+00,-4.766033175855586279e-01,5.617367453199266780e-01,5.454282529955756242e-01
2.883905209206843523e+01,9.392605118859711055e+00,1.749876544505679643e+00,1.069892024059011959e+00,1.057940393257980061e+00
8.398346028513704198e+01,8.111233911260713469e+00,-1.899485263769665089e+00,3.794224107554993175e-01,3.882603011213718869e-01
1.558189510879837414e+01,6.992711213021274297e-01,1.585951932584275248e+00,1.134993244420787528e+00,1.141790894594965966e+00
8.346841539202647198e+01,6.094319303218611594e+00,-1.660547856271911815e+00,4.082524002049108813e-01,4.018499665458259984e-01
2.464114671619501706e+01,9.851475831171779163e+00,1.750180124732818143e+00,1.092335708914117243e+00,1.092325220948444420e+00
4.338808268820112346e+01,5.238061270198002717e+00,1.685183966527618704e+00,9.788393078545962744e-01,9.832950433923581812e-01
3.818969682356981821e+01,8.894413442666817105e+00,-7.088872303867033153e-02,8.918847330719740230e-01,8.965687764304468566e-01
7.152899613971896997e+01,8.123306772126188235e+00,-1.303196348072014565e+00,5.924845192197135679e-01,6.012469411808570863e-01
2.589289715751910137e+01,4.715373988659998794e+00,-1.234085139311895674e+00,9.055876689969327709e-01,9.081525252691483585e-01
4.526679843731179176e+01,4.420083963922147419e+00,-9.623507865995009070e-01,8.058974600125320409e-01,8.049491766228470402e-01
1.051838896461030437e+01,1.616511877518771456e+00,1.395669365066757095e+00,1.136425227813326888e+00,1.133836747165448466e+00
3.336202943475903737e+01,3.544695701133436572e+00,1.629967622298855723e-01,9.290473372189205215e-01,9.396047652242530690e-01
4.748580446637701868e+01,1.913666756579829320e+00,1.499298437356336500e+00,9.449713929714903538e-01,9.224628502207049552e-01
1.942699006695187691e+01,8.457075838517775779e+00,1.018607933029233248e+00,1.056007404544754946e+00,1.054620851293841532e+00
6.635123519725364361e+01,6.034032711932213466e+00,1.870815523322764129e+00,8.414950395841459541e-01,8.418250406239865535e-01
4.385776001990137729e+01,9.362422713484683356e+00,6.455077445099117739e-01,9.035398818225585105e-01,8.892863922138566357e-01
7.455116048878525703e+01,4.103542175251248203e+00,-1.319822497294602659e+00,5.543185153933184450e-01,5.576466515246989442e-01
6.819407498508709864e+01,7.017093208785329495e+00,1.877559655122151838e-01,7.040199308903073439e-01,6.975071207658734007e-01
4.837918064118915140e+01,8.331501860292885198e+00,9.571353931683583838e-01,8.960270970422187231e-01,9.046515450053761453e-01
8.719152500215572843e+01,1.287728035602531129e-01,-5.683822756731466974e-01,4.413893084411385503e-01,4.401333876007952894e-01
6.626002545751487105e+01,3.228539435400921143e+00,1.999109873787183744e+00,8.526484500545286060e-01,8.593399824624231575e-01
8.211441733746062255e+01,4.362297917532894864e+00,-1.130948945229431679e+00,4.695844794069500283e-01,4.817729154586622431e-01
4.041973043067005733e+01,9.286034440245815702e+00,1.706521608248919630e+00,1.003258083607684537e+00,1.007087379434819185e+00
5.838656678049255078e+01,8.704888567934739640e+00,-4.026483402303915327e-02,7.682241209578176688e-01,7.594669095235891954e-01
2.747042277521305209e+01,8.450824274878210307e-01,1.379099251732005982e+00,1.056095927190309647e+00,1.040952740873263282e+00
9.865656592055788110e+01,9.554591170160172453e+00,1.314081430914368909e-01,2.526697138616588179e-01,2.702035550368225292e-01
3.164617632326311281e+01,6.269038089181593776e+00,2.024519230948857995e-01,9.389712307736552965e-01,9.378583088417801195e-01
3.286120458321214244e+01,7.193357407541745019e-01,8.286940066559935758e-01,9.865750971350116805e-01,9.796894476586684997e-01
1.651391644279597415e+01,6.901222488276436806e+00,9.628690587212940244e-02,1.008372542291393614e+00,1.009815113172001899e+00
3.294447759070955328e+01,8.553626300323566412e+00,-2.061191091860035129e-01,9.126654840222411247e-01,9.107513707174146322e-01
7.791843939642073735e+01,2.588552832063852893e+00,-1.524996102522881980e+00,5.021319623379362218e-01,5.106533849800630742e-01
7.211252779079424613e+01,3.226615572358212169e+00,6.909028774802905559e-01,7.011509216092802754e-01,7.014902034336513159e-01
2.145191589622807982e+01,2.776926899694034390e+00,1.840173656997304619e+00,1.115984361151250770e+00,1.116121856987434935e+00
4.348522662710038844e+01,7.025073975534427362e+00,1.770503504558142094e+00,9.868828573214918354e-01,9.797370601111622390e-01
4.746200412095419807e+01,7.182791709760189214e+00,-1.812104026727616279e+00,7.649916882241694083e-01,7.696873692116443788e-01
6.918359792621450310e+01,7.743492306414658799e+00,-2.531513608711430940e-01,6.703654066223840857e-01,6.600267393988342723e-01
5.057767771089364572e+01,9.210411314108423397e+00,3.828939471079895185e-01,8.459957230692853880e-01,8.526546174669250577e-01
6.220013108747229325e+01,1.818282485889627376e+00,-1.605011123549680008e+00,6.643185431075301350e-01,6.795579182374315019e-01
8.473192972119586841e+01,7.082479317554588150e+00,8.425317846638060715e-01,5.866758424488175416e-01,5.714289820678259968e-01
7.465615131780097613e+01,6.457029893132942178e+00,-2.665479867176872020e-01,6.165827226944993189e-01,5.919204303809861845e-01
4.248564645226174719e+01,2.626210823170319841e+00,-1.480686948026721073e+00,8.079371405431402531e-01,8.141059280946834065e-01
4.990727153165909868e+01,9.753084815259297713e+00,-1.149408776943912969e+00,7.749291155629947081e-01,8.004080937178259525e-01
4.272526170241059162e+01,4.769602251685981287e+00,-1.926628010785949474e+00,7.914816384156260209e-01,7.814723899269070406e-01
1.976638509659601084e+01,9.488274756922180586e+00,-1.079571163632153663e+00,9.443716900170547879e-01,9.318647324290348921e-01
2.808849742377829628e+01,9.717737931036623422e+00,8.021045846469427865e-01,1.000075135202038279e+00,1.005964824539842928e+00
3.525877751602766352e+01,9.000480958386305019e+00,-2.645702741983280148e-02,9.104443976273385308e-01,9.020371817267553993e-01
3.795791670860489830e+01,4.594853599800932109e+00,-1.064862808159660723e+00,8.455797542966185798e-01,8.405194994572512401e-01
3.786125943497445689e+01,2.797767901475220143e+00,-9.889888811131148927e-01,8.516687499480042334e-01,8.481875752811665059e-01
6.132627474651273047e+01,5.857619393553599174e+00,-1.067111843036991914e-01,7.386134200755716250e-01,7.439334409384895652e-01
9.648040783015817112e+01,4.495358329526387919e+00,9.331842403599486246e-01,4.060954124706687707e-01,4.020423888567375981e-01
7.894510800821214502e+01,4.682015818445720789e+00,1.913495972160103697e+00,7.335155799395941534e-01,7.362944083403957229e-01
8.041092138737967332e+01,2.440813437019290433e+00,-5.062919080693450979e-03,5.699913795762349134e-01,5.682260469872991715e-01
7.757489654802262180e+01,8.422530754022833577e+00,-2.269063137901610183e-01,5.932161632767949389e-01,5.847694522402788753e-01
6.313190801661431806e+01,7.307240932372812914e+00,-4.833958799594015865e-01,7.064081367794099453e-01,7.032098742019777804e-01
9.167461088821123383e+01,8.653095978798733157e+00,1.286162358437916708e+00,5.367319363713677349e-01,5.272279397196885098e-01
7.137708383479019858e+01,5.315388259185277242e+00,3.045953546928248379e-01,6.818196055556736690e-01,6.818847554143711021e-01
5.453172233558151305e+01,9.266373164108343552e-01,1.663238368388268995e+00,9.185894626575042965e-01,9.073508003818478995e-01
1.686045895654794791e+01,8.623089395256480216e+00,1.928511241471717597e-01,1.014054852048682065e+00,1.003125908355729567e+00
5.347198121061162368e+01,6.925120160861231167e-01,-1.204322997444976284e+00,7.531553549185103780e-01,7.677249730715629550e-01
2.894195858528975762e+01,1.545160094800333006e+00,-1.579538813348469350e+00,8.879939032906034591e-01,8.874620610875499915e-01
2.180997048166406671e+01,9.441201300249854711e+00,1.521667204071079915e-01,9.895433484893279008e-01,9.890043282346074882e-01
5.503977810511419477e+01,5.615047742597330860e+00,-1.237340313494019295e+00,7.303568922164096477e-01,7.354722564155858899e-01
7.987259104112935404e+01,6.749974103663908487e+00,7.941307760090845491e-01,6.369591767526973092e-01,6.327506067272086199e-01
3.625557340969123743e+01,8.209926671878232440e+00,1.132023781077402980e+00,9.781898079254852663e-01,9.759044542507037123e-01
7.842068663191581379e+01,6.645571356851199596e+00,1.109604245478092999e+00,6.758144065305585757e-01,6.800658938838776146e-01
5.678102756144061658e+01,4.439712880877318746e+00,-3.750425320849042343e-01,7.564737145642282945e-01,7.592978729866722842e-01
2.326527407999341790e+01,5.429994179458086379e+00,2.033830594834409311e-01,9.815844762397405443e-01,9.699915089704161941e-01
9.588212921419648183e+01,3.984837936722691598e+00,-1.093337757376736441e+00,nan,nan
4.574562392607806061e+01,5.771904249705891665e+00,7.570725821939650046e-02,8.524161429474498286e-01,8.465117935145594075e-01
3.627584875397992903e+01,2.207030709972190863e-02,1.269029912822681183e+00,1.006946463407174308e+00,9.963856739040324317e-01
8.538285498640193794e+01,5.082660962067421906e+00,5.568432172165040939e-01,5.514166439340757453e-01,5.424118932340852295e-01
2.107696959387770619e+01,2.382178259574208035e-01,6.686429034868677235e-01,1.040987370571383464e+00,1.037081917127830266e+00
7.528955103555959738e+01,1.096719488239756846e+00,1.824553475836280914e+00,7.673713019444204919e-01,7.836443044906511446e-01
2.671640208832668151e+01,8.463682746076328201e+00,-8.529450384056800338e-01,9.162857633197173390e-01,9.045304042705095693e-01
4.493176806511984012e+01,6.593861173054471614e+00,5.982829596681122908e-01,8.895680278770202731e-01,8.911687868023636661e-01
3.063908918313032004e+01,1.821678708286350590e+00,1.538618125784823931e+00,1.045984388260000397e+00,1.024606144679094610e+00
8.486929134962242927e+01,7.472025252518296412e+00,-6.712381524147592593e-01,4.680250114635449710e-01,4.680093421320929981e-01
4.471663512264769480e+01,4.757832695878426499e+00,-1.798202612227446373e+00,7.819481996840053073e-01,7.909438638587653614e-01
9.674766034652374458e+01,1.348462759731289262e+00,-8.207368484085635352e-01,nan,nan
6.564827211294451104e+01,9.296856951430319427e+00,-8.406605000757632062e-01,6.719203436312618516e-01,6.656267943924284447e-01
7.173243228855945119e+01,1.128050984854016559e+00,-8.510305161821665187e-01,6.148891138112758670e-01,6.172042244518612941e-01
5.641573586978515920e+01,1.974285801829200881e-01,1.015456190972012784e-01,8.002063858701000676e-01,8.072079033816065285e-01
3.749816971772761320e+01,2.566017284565949907e+00,2.494744444988703513e-01,9.137787825994313495e-01,9.204153583096054136e-01
4.520452147366615492e+01,8.685990692423350978e-01,-4.594070297484171839e-01,8.388283040356553366e-01,8.585530425749532402e-01
9.374314270190924958e+01,1.672145858156903753e-01,-7.120096572655176814e-01,2.679555432839372808e-01,2.700472180073000272e-01
2.790708486449513615e+01,6.532418764642210718e+00,9.443318288922419868e-02,9.523599298271941960e-01,9.464358288296648158e-01
9.795148220859888966e+01,1.319621389912917220e+00,9.202476171935458638e-01,3.667061422418767536e-01,3.654463503420103399e-01
7.748922171833983441e+01,5.638798440619878782e+00,-1.870040456769708204e+00,4.873192325740250408e-01,4.865942471178268947e-01
4.202103645784231389e+01,2.425898291710867127e+00,1.302940429952586410e+00,9.603275597307042721e-01,9.614149335654854633e-01
6.709470946599870445e+01,9.406501357675098873e+00,-1.470262837146115054e+00,6.298223980831240132e-01,6.295221199508296284e-01
4.390735699708478990e+01,2.158559882948059006e+00,1.625609420701942920e+00,9.761814762864110540e-01,9.779211356753730877e-01
4.395287100495288257e+01,5.206547263415716387e+00,-2.930610718411053028e-02,8.571614814251452552e-01,8.404529808189941109e-01
5.483846256731312963e+01,7.349872579716564047e+00,2.570209615829188721e-01,8.072910533213228934e-01,8.155873428817232984e-01
1.148833112554856051e+01,3.111299186294755881e+00,1.923296470612590348e+00,1.171587085364474534e+00,1.165839692675264105e+00
5.392786883496226125e+01,8.317393900529948425e+00,1.588873082149890426e+00,9.097077444356317377e-01,8.979761574711614402e-01
9.647225879677303340e+01,3.139789521314091392e+00,-2.196501960533483455e-01,2.515823915516736120e-01,2.579599031480879767e-01
3.540640536191648380e+01,3.878600637741026702e+00,-1.190866698516436006e+00,8.564564769113163223e-01,8.696297369851770931e-01
7.659139835781847694e+01,4.303882825277383084e+00,3.829997651148131510e-01,6.372514176694946686e-01,6.421816991644890837e-01
4.940821121627406143e+01,4.188941219318051523e+00,-1.839261551600105626e+00,7.498425837670953387e-01,7.514541769055504972e-01
2.862601279298290535e+01,6.079436544104145135e+00,-1.731707818520990649e+00,8.779197460246187523e-01,8.685975429708991946e-01
9.054522880281352570e+01,2.262456115998308093e+00,-1.094823130905553388e+00,3.064610592043428006e-01,3.351767325824777655e-01
1.149762833653895555e+01,3.292141104429632037e+00,-3.289992741422569367e-01,1.012687943419251724e+00,1.021490529625866728e+00
3.701229446735645467e+01,2.289720313175148902e+00,7.748204737098300932e-01,9.509321604336763434e-01,9.395392137302466251e-01
9.891330352683043259e+01,2.769452485168915956e+00,-1.604349694696784567e+00,nan,nan
3.333106486090906628e+01,7.627823261640054753e+00,1.419415247051750484e+00,1.015374231925930459e+00,1.016244024411649516e+00
8.556496244547521712e+01,6.292667538218683632e+00,-2.008892202491692203e-01,4.921138242784718342e-01,4.765665129585119897e-01
6.390580023035767709e+01,9.627893024240345099e+00,-1.224328630428818787e+00,6.690750270328685856e-01,6.707613311029737568e-01
8.173717796991400064e+01,9.501300406270482668e+00,1.457796772395360207e+00,6.781274945171779089e-01,6.735367789600502642e-01
6.609828023446956990e+01,2.050854469078391418e+00,7.635155692531174765e-01,7.594589237758758715e-01,7.717216297790380208e-01
4.228002027814850550e+01,2.099460359611455829e+00,1.439368075724536400e+00,9.708860530907011954e-01,9.805075997269836474e-01
7.771020182792995001e+01,9.076479612258058438e+00,1.860586826882885347e+00,7.515168368306732738e-01,7.244039824563255348e-01
1.235712485245353776e+01,1.389598252584758331e+00,1.278410363530566585e+00,1.119538503897184123e+00,1.119955529757457269e+00
4.976635270436621994e+01,7.611850469966637611e+00,-6.279679293591149403e-01,7.937281247881465829e-01,7.775534497929097455e-01
4.309505671843943730e+01,1.917597630569484179e+00,1.947314771852509896e+00,1.010008291200782615e+00,1.021104671193267865e+00
5.245958650172410387e+01,1.430366635830099264e+00,1.012118733490323219e+00,8.782029762421107444e-01,8.798840349333889588e-01
2.135824109815019511e+01,4.392438892869368061e+00,1.276127689639699359e+00,1.064891843380666447e+00,1.070375897902536400e+00
2.980311106921824660e+01,6.840596771782379903e+00,-5.407078065494963504e-01,9.112799654439147634e-01,9.006287181558817467e-01
6.002259151887413680e+01,8.441686846123793941e+00,3.869033114328024325e-01,7.818180708603633677e-01,8.001023732403184097e-01
4.451145129337989914e+01,2.081510453823268492e+00,4.893311847850019269e-01,8.894564803035749367e-01,9.096572139750793706e-01
8.045740229754031247e+01,9.970394096465406975e-01,-8.913056044187124272e-01,5.134811061566567636e-01,5.028333957303946500e-01
6.385715644569878435e+01,7.927129199401057313e+00,-8.386814360396765977e-02,7.239453018512100879e-01,7.276734530698732994e-01
8.665273494604247162e+01,4.510172251086876472e+00,-9.136321536444809155e-01,4.133975634952716249e-01,4.066645392113697466e-01
7.518011452197880828e+01,6.095696684240932584e+00,-8.482034593806200284e-01,5.757956226654125098e-01,5.755599232968051648e-01
6.356228685051228666e+01,5.842015070063805382e+00,6.170267729838103676e-01,7.665824911276739595e-01,7.539261213354283564e-01
3.559778859544361751e+01,7.608174964562291365e+00,-1.920344712302607615e+00,8.362541730110810700e-01,8.549256281568872184e-01
7.966568164542898955e+01,9.895589133689570716e+00,1.032760944387533186e+00,6.661589533437768385e-01,6.564671582329502098e-01
3.236281445722627836e+01,6.480914891334518479e+00,-5.983983727411512632e-02,9.208319179841264468e-01,9.178710798341515043e-01
1.669378895148199504e+01,3.652115374986091290e+00,-1.497396349211252975e+00,9.460012313725625344e-01,9.510160606836677299e-01
9.569494748144727225e+01,1.748898254706369171e+00,-6.795201040986542651e-02,3.013101354022444944e-01,2.948345286180832359e-01
5.806099725358575370e+01,1.028788189560984057e+00,-4.982513367729675124e-01,7.494675896372368085e-01,7.470744653399138402e-01
7.887659248193320138e+01,6.915541583491102706e+00,1.495895919845350974e+00,7.029806843786131632e-01,6.973442859143434980e-01
5.710082987910205077e+01,2.551036083779703922e+00,6.917366789587120479e-01,8.199079017734567376e-01,8.185732942250938393e-01
6.443059600309210566e+01,2.776011396638246254e+00,-1.101668583706523208e+00,6.642082141564190634e-01,6.525027878054160402e-01
1.301641029596905597e+01,4.433468759483188748e+00,1.662643958634646424e+00,1.137555109410678833e+00,1.133175228654655919e+00
2.662463746248895902e+01,5.275985383346919022e+00,1.463104685066210386e+00,1.052609818161713395e+00,1.050540888914590854e+00
7.004735619369519384e+01,4.161480201571306381e+00,1.731631565545432849e-01,6.843717179588041377e-01,6.810344579207627813e-01
6.078024921777234368e+01,9.557043497366798590e+00,-1.695789670126978788e+00,6.754068968921158600e-01,6.759737964410538202e-01
2.411139802481742578e+01,2.980911074794119209e+00,6.528811376970291569e-01,1.008792974530687392e+00,1.005861952337120169e+00
9.473060491663044047e+01,6.020186271784485399e+00,-3.078267394999976148e-01,3.008629215763367615e-01,3.083950356607305654e-01
2.373747329671898143e+01,1.624542499219483460e-01,5.079159111825952699e-01,1.017672465275311744e+00,1.014440506017453503e+00
5.541698922674299865e+01,6.377184166043803337e-01,-1.607151406559732543e+00,7.244574992206540553e-01,7.230910032576952640e-01
2.281625587671393163e+01,1.989468812680669219e+00,-1.540165772720828219e+00,9.193598881670040912e-01,9.127120748070455258e-01
7.384608362345488786e+01,2.813428737370800903e+00,-1.400456323330616204e+00,5.584605734856387116e-01,5.531954250844863807e-01
3.459185825446859042e+01,4.663233193249951114e+00,1.949003897659409290e-01,9.228382537150562337e-01,9.101933258068590771e-01
2.193792378583871283e+01,5.742074019291393938e+00,8.858821696646912436e-01,1.031962044064257178e+00,1.037149893273036749e+00
1.409285907967589324e+01,1.659211086570935301e+00,-6.107483456053750537e-01,9.943724042154998832e-01,9.829472240389749427e-01
2.556036287288850417e+01,5.786497571139852525e+00,-1.626792374904108218e+00,8.964536397129343470e-01,8.889950757310510765e-01
2.707008578839741020e+01,8.182303989674266642e-01,-1.340617169041182333e+00,9.088359070367243442e-01,9.124283535568363801e-01
5.779051508188954500e+01,3.922747160097736163e+00,-7.234386659634894912e-01,7.323983176569357489e-01,7.364240513163811119e-01
