E,B,sigma,sigma_noisy
1.369740942946481743e+00,-5.598433637984332467e-01,1.271686013363470025e+01,1.274894496409135591e+01
1.576322913694053973e+00,6.752570834451361304e-01,1.181637213294368038e+01,1.173454911020465019e+01
3.913163554500691532e-01,-8.255676808075420592e-01,1.077958852101901677e+01,1.085275374939756077e+01
1.606704680657714768e+00,-6.918261027082228676e-01,1.273827938013044481e+01,1.268813537828373939e+01
3.907346128538285446e-01,3.576598734990736883e-01,2.174736279714812071e+01,2.183527885897692045e+01
1.722897085533903194e-01,1.484664577764860383e-02,2.125587847093007099e+01,2.114869972924232755e+01
1.711901678831269757e+00,-4.654106674568381230e-01,1.275902819935709154e+01,1.285047491966996880e+01
1.723954157393560171e+00,1.525595385243576629e-01,1.232062724495852457e+01,1.231862089949697570e+01
1.754308821868995283e+00,-5.852326523769366684e-01,1.278822866655199419e+01,1.266335377751855340e+01
9.491003415239925856e-01,-3.815287782053047305e-01,1.305022855357125700e+01,1.301883860637457246e+01
5.553562933412993230e-01,2.221212282817894845e-01,1.743764327854138685e+01,1.744305350641853991e+01
2.411273892030085797e-02,7.658643095803567835e-01,9.732060355198350976e+01,9.734788268589996107e+01
1.294984582194146139e+00,4.063565455478213018e-01,1.266088856951407848e+01,1.256266975701998057e+01
1.442619673182299112e+00,2.864555682844598383e-01,1.248880150365249797e+01,1.237806419893597898e+01
1.672782740835545567e+00,4.932942741433719025e-01,1.196777035617435558e+01,1.198772880945906394e+01
5.709368764554388909e-01,-2.432484387362321421e-01,1.435467159123432879e+01,1.430799662954634854e+01
4.382841526543174715e-01,9.619561204077464733e-01,2.391518842479170104e+01,2.393873898596472216e+01
1.282269446332509721e+00,2.225203600158678352e-01,1.286560383327659096e+01,1.294155578552442876e+01
1.612059117958569265e+00,-4.848774489767884166e-01,1.276690869062858802e+01,1.260202995399349390e+01
1.927705036961492091e+00,-9.280695043002911149e-01,1.288927891775612977e+01,1.291471772940789187e+01
3.095444125381431877e-01,-7.764888294082157305e-01,1.093917775491457789e+01,1.106164245166815085e+01
9.696026525166797638e-01,-6.029816967704186847e-01,1.247765565801913823e+01,1.244790297358209052e+01
1.790484565770385172e+00,4.687452780203487102e-01,1.192553152516024184e+01,1.184445006683648494e+01
8.512066448214201664e-01,6.290423289452289346e-01,1.474715627285884700e+01,1.482238065557680606e+01
1.183109103547255625e+00,8.509056900975506821e-01,1.234758276971243163e+01,1.237292742133324630e+01
5.873644821179276748e-02,2.858204703551383563e-01,3.464368383740465163e+01,3.473327214448240596e+01
1.350185175434348350e+00,-4.054460200489786725e-01,1.281976201969875895e+01,1.278524044869363152e+01
1.838986353071306645e+00,6.777381786869771663e-01,1.166556284848936542e+01,1.151738102111714390e+01
1.655382405817874991e+00,9.069403397676021328e-01,1.144911753151719047e+01,1.143811645504606567e+01
1.772185330752794163e+00,3.938076800751664219e-01,1.202223096748575948e+01,1.197764815218463674e+01
1.324107207235841521e+00,-8.552839200583863821e-01,1.235597559148098412e+01,1.243350797368574234e+01
4.986490118139234040e-01,-1.780360464360613015e-01,1.512621516109334507e+01,1.514557844593105962e+01
1.539348827803546094e+00,-5.021127403834038105e-01,1.276583830547678566e+01,1.260275338223327601e+01
4.312327377889459412e-01,8.785210237719420778e-01,2.416097381251859488e+01,2.404145750450827634e+01
1.664236920982277823e+00,6.222467822521426939e-01,1.181163874853438678e+01,1.190001765219311203e+01
1.348086659158288236e-01,-8.601457757395745141e-01,1.004089155589182525e+01,1.010886805763360918e+01
1.652720748653176086e+00,2.188638606437223189e-01,1.230579565704612577e+01,1.224177132045527649e+01
3.373694602834615974e-01,9.702951662343557437e-01,3.032492906051115611e+01,3.032482418085442788e+01
7.565425230283172597e-01,4.761225403960045455e-02,1.483645113342078403e+01,1.488100848879840221e+01
6.403089514483589761e-01,7.788826885333635097e-01,1.758281559994485121e+01,1.762965603352957800e+01
1.385760700202705031e+00,6.246613544252377359e-01,1.216475846501424485e+01,1.225238268462567959e+01
3.653580375670001379e-01,-5.692520226800024119e-02,1.727419318638731482e+01,1.729984174910947203e+01
7.985497628118030100e-01,-1.159832072155704275e-01,1.411192970718056294e+01,1.410244687328371249e+01
2.159094426488208235e-02,-6.766976244962457088e-01,1.156468015451006082e+01,1.153879534803127704e+01
5.323644783727019547e-01,-2.910608597733126413e-01,1.417806180251148440e+01,1.428363608256480966e+01
8.481657403156209751e-01,-6.172666486840341360e-01,1.235732619453443526e+01,1.213224076702658216e+01
2.207832610475756741e-01,6.914151677035551558e-01,3.731124173441413916e+01,3.729737620190500280e+01
1.269988292612749925e+00,2.068065423864426933e-01,1.290583735880267469e+01,1.290913736920108157e+01
7.670442970741992994e-01,8.724845426969365381e-01,1.537870473200655930e+01,1.523616983591954011e+01
1.453334936771715435e+00,-1.792915649497504038e-01,1.278901083905416414e+01,1.282229220036796846e+01
1.311193362026104703e+00,4.034186417570659877e-01,1.262382992873259724e+01,1.255870182748825847e+01
8.681412300670383608e-01,6.663003720585769507e-01,1.455271038157027874e+01,1.463895486120185296e+01
1.735967806227976418e+00,-9.742454392879493774e-01,1.273028469937397489e+01,1.271772549097054217e+01
1.267948883825332329e+00,-3.542921129198157715e-01,1.288574643157173760e+01,1.295266175565068245e+01
1.622445960691535127e+00,-1.275404164934210716e-01,1.263614213944785902e+01,1.275802649996498062e+01
6.901715006408248865e-01,8.572068880491632292e-01,1.657638214594690851e+01,1.661467510421825722e+01
1.091901886440226788e+00,7.409777135869479725e-01,1.292316594227666648e+01,1.283559382793438175e+01
4.006308013783592692e-01,-8.309835145024357939e-01,1.076707188121158509e+01,1.061564001804112145e+01
1.992320968336069420e+00,9.109182340320343130e-01,1.142042198927596353e+01,1.159576040102760075e+01
4.939987739695909652e-01,2.538076178363186663e-01,1.856475298548421549e+01,1.855362376616546527e+01
5.211662597819344267e-01,-8.561328518491650996e-01,1.088768638618436313e+01,1.081882989142093088e+01
1.556482440580223003e-01,3.802444976552874500e-01,3.222419313617324121e+01,3.223861884497932095e+01
5.230282068035058129e-01,7.107252600647131491e-01,2.035251433020442491e+01,2.033337319715615976e+01
1.528625779762665893e+00,-4.822894335872294214e-01,1.276887239688183584e+01,1.285408662330310392e+01
1.398808205659331838e+00,-3.546768855283575217e-01,1.282292636583786560e+01,1.282631918408157645e+01
2.660596925111671784e-01,-4.446146200611931221e-01,1.365893757487720350e+01,1.366031253323904515e+01
7.587146178419075238e-01,4.050147951068854280e-01,1.564403328272939220e+01,1.557257531062609601e+01
8.476335752887511621e-01,4.365583419520377984e-01,1.483697193980153628e+01,1.488392874967628643e+01
1.333318650260301830e+00,5.486984612829317598e-01,1.238625394445313255e+01,1.228286727221763464e+01
9.172986364570602236e-01,8.420822628216846351e-01,1.385018352594634017e+01,1.391677246992273709e+01
1.177171470382807561e+00,-6.363435028220745249e-01,1.253865638341799205e+01,1.269105013471700438e+01
1.680972361181795272e+00,4.164958635109177187e-01,1.205526811180374658e+01,1.190279950799383180e+01
1.455682484521617193e+00,2.914059786265883467e-01,1.246257314119289994e+01,1.221595021805776859e+01
7.363644543820323518e-01,-4.747578353659360761e-01,1.287045162516483643e+01,1.293213950068026818e+01
9.023086555955236454e-01,9.506169630518594982e-01,1.374812675639225290e+01,1.400291653794056579e+01
7.417221436831131776e-01,-4.607954966280369824e-02,1.459429381370475376e+01,1.449420132881756373e+01
2.283719813733265103e-01,8.976549513844362949e-01,4.164737399446195099e+01,4.152230441858175425e+01
4.144506727339192231e-01,9.435475862073245956e-01,2.512523366927088730e+01,2.518413056264893513e+01
5.747749129988208860e-01,8.000961916772610927e-01,1.905430971182077471e+01,1.897023755281494317e+01
6.351264522485814412e-01,-8.102928003981357818e-02,1.499701806947579108e+01,1.494641552108211791e+01
6.329652390516760097e-01,-4.404464197049560159e-01,1.309937755840274676e+01,1.306456581173436859e+01
1.157632435343374455e+00,1.715238787107198348e-01,1.322569721534517306e+01,1.327889742397435313e+01
1.943663051483311754e+00,-1.009283340947224605e-01,1.246321534650569163e+01,1.242268511036638046e+01
1.551581628498226673e+00,-6.359683631085588651e-02,1.264978896930612251e+01,1.267757725331413887e+01
1.584356556863882437e+00,-5.118373125961419579e-01,1.276642633054863296e+01,1.274877300465927554e+01
1.520944316073764124e+00,6.845061508045666709e-01,1.186467092498553200e+01,1.178020381462037136e+01
1.198005583742275393e+00,4.614481864745625384e-01,1.288377225474383359e+01,1.285178962896951127e+01
1.836207591770116387e+00,7.306191957597467646e-01,1.160558780031648496e+01,1.151054783379969315e+01
1.382364009339691169e+00,6.307765183705549283e-02,1.277507438751738178e+01,1.277572588610435744e+01
1.005709297166373251e+00,-8.146725367178331290e-01,1.196830932679952042e+01,1.185592270404295689e+01
1.633967789160721273e-01,7.246178790512960433e-01,4.611724365394032787e+01,4.600795421701080556e+01
9.820139619001925224e-01,-8.614975967827753767e-01,1.180609855762163818e+01,1.195179473915216306e+01
4.335336807272653359e-01,-6.909679810399333988e-01,1.164740169466887920e+01,1.164208327263834519e+01
2.740656321181066390e-01,8.882402600499708090e-01,3.565888739143981212e+01,3.565349718889260799e+01
1.017069195833452122e+00,1.230095485194662164e-01,1.370209639380819588e+01,1.375325003579995808e+01
1.572319732267948522e+00,3.499948207327816529e-01,1.223835798295727706e+01,1.219627228270238994e+01
5.970628211829837051e-01,6.419853343756465325e-01,1.839740502504329811e+01,1.837455148829548079e+01
1.539855802219241232e+00,3.291142713702399636e-01,1.230151583380581393e+01,1.234403070733900520e+01
1.056002751092885550e+00,-1.120574238245362064e-01,1.338069666503149513e+01,1.340893824925593592e+01
3.066055665077179748e-01,8.599883589161727571e-02,1.995809085640658154e+01,1.984216118371333692e+01
1.930285810519674072e+00,-2.030324126554616804e-01,1.255627285439717156e+01,1.263960711406413751e+01
8.092560855381498719e-01,1.543808499411782886e-01,1.479120402362657494e+01,1.473216052929767095e+01
5.975161687687646772e-01,-9.955859385800556183e-01,1.045971303244728112e+01,1.035410513741586236e+01
1.695526757561121922e+00,1.653219241348446999e-02,1.247283133402224919e+01,1.238278382702234381e+01
2.576760617058048708e-01,-9.523564348085158393e-01,9.722923136647612097e+00,9.683868602212079679e+00
1.469845017536669740e+00,-7.806561023520486309e-01,1.259682712618683986e+01,1.275955715164914750e+01
3.837712377052819868e-01,6.927365492152657289e-01,2.550631420158484985e+01,2.538876061109277060e+01
7.910586342650390845e-01,3.187722346108943228e-01,1.522211862009865868e+01,1.523812620935209239e+01
4.714807581396555092e-01,-6.356642583427298820e-01,1.201657680779839410e+01,1.180279437198933579e+01
1.684043705457849871e+00,4.944050505036592380e-01,1.195794634861164774e+01,1.195778965529712856e+01
7.862483583603248061e-01,-4.843346082431465582e-02,1.437740079464675880e+01,1.446735743639435867e+01
1.949638697635755591e+00,-7.303074480537421476e-01,1.286543146827297157e+01,1.284176513606682590e+01
1.254270353986062458e+00,8.593713902860640186e-01,1.210538742756555841e+01,1.204245193517722434e+01
1.390309441058801276e+00,-7.743898030291966883e-01,1.253004059359038891e+01,1.255319169999624229e+01
1.047834993043510909e+00,-9.605142839634159824e-01,1.168617614386567460e+01,1.175619131898073988e+01
6.248467161604264186e-01,-4.867965430868099741e-01,1.286591640840772044e+01,1.293228216550946108e+01
7.971572778943331050e-01,-8.262801861515329804e-01,1.157197725465875493e+01,1.176922464005173374e+01
1.882459033447184460e+00,-9.665570828368619249e-01,1.285746451354811626e+01,1.287838126078174383e+01
4.103943694420822963e-01,3.064837529284420992e-01,2.068305442427920227e+01,2.062381341430391046e+01
1.976555613428222502e+00,-7.360757220174165560e-01,1.287417516074003387e+01,1.286157724174136874e+01
1.519028665387598620e+00,1.277596881239757565e-01,1.253609493202458403e+01,1.252884507746260212e+01
7.259759837202943711e-01,-5.148203416578265301e-01,1.270431114010452234e+01,1.271518487845233381e+01
1.286612043116150739e+00,8.813002715350197747e-01,1.198098774526328825e+01,1.197798496394034551e+01
7.681532631932441735e-01,-5.682880234103881989e-01,1.249235546921716988e+01,1.250975206310678978e+01
7.691709359534408819e-01,4.130945268314323293e-02,1.474337458058808892e+01,1.457628957452657836e+01
1.012567870887113974e+00,4.699745159433128538e-01,1.368887703445382620e+01,1.377183993005782980e+01
4.327841505440039455e-02,-3.777401627410488238e-01,1.543601571148147578e+01,1.537854178458937326e+01
9.922074042873584299e-01,6.634787801059895962e-01,1.360075976110380580e+01,1.348344389145910327e+01
1.943480842759307103e+00,-3.720420957371817217e-01,1.268295910022919060e+01,1.274673421619333347e+01
5.780758052833011584e-01,-2.242798724517947040e-01,1.444512212683210883e+01,1.457685472757071743e+01
1.498953738562458282e+00,-1.392234349445233832e-01,1.273657473762101056e+01,1.278587755257095537e+01
8.911498912402850969e-01,-1.622117561363896066e-01,1.369306610474756347e+01,1.370918203613211617e+01
4.264692748093930619e-01,2.158873088208290714e-01,1.940331261267008145e+01,1.931009058213288654e+01
1.810955115928077674e+00,-5.475087768003383815e-01,1.278409466916751391e+01,1.307125140294886378e+01
4.348629651362385939e-02,-3.415717791140735482e-01,1.603298504579874617e+01,1.612101090786489621e+01
6.139827639330261988e-01,-5.420559373649702639e-01,1.258385388652354919e+01,1.246992441948925112e+01
1.998061505824635598e+00,-4.461095029662167644e-01,1.272725432941755308e+01,1.264929053779357915e+01
5.316721244180790951e-01,5.255646523280108617e-01,1.949409210309395846e+01,1.950279002795114991e+01
1.699598598499951319e+00,2.585335076437367263e-01,1.222421632614536691e+01,1.206874321294576902e+01
1.215309465824851554e+00,9.255786048480689754e-01,1.210283899793105000e+01,1.211970203863210216e+01
1.614011057978975927e+00,9.002600812540966224e-01,1.148090641069732243e+01,1.143499925512604598e+01
1.264332333332521596e+00,-5.898291061843217165e-01,1.265205748277761977e+01,1.277468454280924171e+01
7.317667455451182246e-01,-5.801079280777088343e-01,1.243137654012422111e+01,1.252759200648704585e+01
1.523969681321130309e+00,8.152959224516118653e-01,1.167548401996097063e+01,1.140435547621749279e+01
6.270425231890494611e-02,-7.220803494830483338e-01,1.110971467146054437e+01,1.111388493006327494e+01
8.991577739515592693e-01,5.223700939933275667e-01,1.440526153951000587e+01,1.424351478955763639e+01
7.499905940415109162e-01,-6.164804738861031641e-01,1.229345419982626808e+01,1.240441799975111969e+01
9.593772712183255003e-01,-7.139266728339801471e-01,1.217000911372884175e+01,1.218681970064162456e+01
2.639651661271785188e-01,-1.215122214261263878e-01,1.752366968685831239e+01,1.757851023207701147e+01
4.527886632330822003e-01,3.681193543564760251e-01,2.029975887350165209e+01,2.019324640062132303e+01
1.128482664298421811e+00,6.883373692247589659e-01,1.284241512080236092e+01,1.302525814460191178e+01
7.816605401553483601e-01,-5.836979092353462573e-01,1.243858695552146898e+01,1.264059429223651421e+01
1.585395849124777712e+00,-8.005921180706918605e-01,1.267887968591200831e+01,1.257240258164938673e+01
1.214221812662253708e+00,5.854258398802114627e-01,1.267014803389229627e+01,1.270742954607892727e+01
1.723920702726118304e+00,-9.796554978262461688e-02,1.255240546864915352e+01,1.248507522581013518e+01
1.467398066277953106e+00,2.191393368481864279e-01,1.251921746097796806e+01,1.251686046729189528e+01
1.207628661039544360e+00,1.684030140127610320e-01,1.308483984002401890e+01,1.295827614210156220e+01
5.823550483700313807e-01,5.216349929124581841e-01,1.840904886730574219e+01,1.859576341876380567e+01
1.567693331173075189e+00,9.791178267379141431e-01,1.140477660709417407e+01,1.130785865598590689e+01
5.100224805604528511e-01,2.961829782669036515e-01,1.860424733670633302e+01,1.857463895520658426e+01
1.596701125106648189e-01,-2.695769250027817421e-01,1.631131064220632254e+01,1.636145893531737627e+01
1.926100511102023294e+00,-6.502203490587261658e-01,1.283328306289000409e+01,1.276852699504839173e+01
1.084622298141973529e+00,-7.942423620878031887e-01,1.213563773443700100e+01,1.211170649146377087e+01
1.550049652124124488e+00,3.831083166982205412e-01,1.222506220573056623e+01,1.216869822108786892e+01
1.063153387184416543e+00,-4.897927832440591711e-01,1.276578507870969936e+01,1.275243900322607082e+01
1.227043663439924659e+00,-4.447977206723507937e-01,1.281704960444283969e+01,1.269999534093280857e+01
7.744557852784740570e-02,-1.133062481033622060e-01,2.016459389525164880e+01,2.012079508769141967e+01
3.817194219140789824e-01,5.519707666938389323e-02,1.836347139197899736e+01,1.834278209950777239e+01
1.352631896915207133e+00,-1.677039596857388126e-01,1.288385498898089665e+01,1.285048238860048286e+01
1.145423549925471463e+00,9.114086994733598956e-01,1.237670183071332985e+01,1.238237082620270968e+01
3.255245176335582191e-01,-4.038177850411761582e-01,1.389579160635482324e+01,1.386648138441915101e+01
1.904538244765107580e+00,2.040372543568971242e-01,1.217403772618561142e+01,1.224935886702954946e+01
3.171637287693345741e-01,-9.675091500156103308e-01,9.800810635289762374e+00,9.768491042711179517e+00
1.025503466979983846e+00,-8.724563166791239333e-01,1.185687469114764703e+01,1.184320973151805845e+01
2.965657212883228144e-01,-6.021062374638661563e-01,1.220832634452461107e+01,1.214184821092502631e+01
1.437569734951406941e+00,-4.373142525258397750e-01,1.278710334166052398e+01,1.273445185764900067e+01
5.598628980493539631e-01,-6.735336135000968838e-02,1.553861373751745489e+01,1.541216445843548399e+01
2.769266104923487348e-01,1.484148038582788764e-01,2.157067993253523142e+01,2.162255842462302624e+01
1.015144895343261522e-01,-6.681577826858129399e-01,1.163765979268932682e+01,1.152340799092407764e+01
3.579227204162710452e-01,1.572995142279705050e-01,2.000530910284156150e+01,1.993072346302272990e+01
3.916794462798971477e-01,-8.363539202065146672e-01,1.071826031691499281e+01,1.075418478211611273e+01
1.078574438347867259e+00,-2.154505679804528118e-01,1.321184239801249127e+01,1.325209973460694535e+01
9.075673834810684681e-01,5.961941620133330844e-01,1.428571897927728784e+01,1.424570750417678155e+01
1.915015790834539322e+00,-5.001596179563905231e-02,1.242524395815530625e+01,1.222331737710642585e+01
1.908761160364618403e+00,3.321367102018590867e-01,1.203497847756491090e+01,1.207702980629446898e+01
1.595126759832176555e+00,-5.528582184117483145e-01,1.276391483694807860e+01,1.278987118283728464e+01
1.346459391621599666e+00,4.150494497935830474e-01,1.252814007934805574e+01,1.238690195780087855e+01
1.691595952221009336e+00,9.686088832487265154e-01,1.135666173868003703e+01,1.143369394695948671e+01
1.878116138674970292e+00,3.018981436530108198e-01,1.207811679805382177e+01,1.200800681801047887e+01
5.500928048513548108e-02,9.610385732309032480e-01,1.170629833444831149e+02,1.169503645328677806e+02
2.450294020302088149e-01,6.677490218162991376e-01,3.432199197412397496e+01,3.433156504522040109e+01
7.269251305204498248e-01,5.364273844729774421e-01,1.614153883967663461e+01,1.612369179653671480e+01
1.962378375547734755e-01,-4.161151777720717426e-02,1.970331241590177029e+01,1.972357481600088391e+01
1.203053701376021634e+00,1.481526500219498832e-01,1.310455673803459398e+01,1.294398193220214921e+01
5.281248024727361878e-01,-5.057159837728681939e-01,1.281118053217129216e+01,1.299240354379852924e+01
5.360360609733277881e-01,7.491209086402990103e-01,2.005460138444715668e+01,1.999433552299278460e+01
5.837726974092525278e-01,-9.731572408351925052e-01,1.051419755889263996e+01,1.036023162804299957e+01
2.044541585929361971e-01,5.948010301088837437e-01,3.595789327662232893e+01,3.601977749547904040e+01
1.484479461943936318e+00,8.800793669256259388e-01,1.162626956165061465e+01,1.159078914864049636e+01
1.304838134903303803e+00,-3.363193503648991278e-01,1.287696753972219099e+01,1.290945338829948064e+01
1.216951100376112205e+00,5.999008033539445783e-01,1.264046996681448398e+01,1.260650912375198018e+01
7.775070873277310779e-02,-1.414444004109054465e-01,1.953093767994283070e+01,1.952496364389483929e+01
8.646336478313662033e-01,7.138911200481459218e-01,1.452787515685930586e+01,1.455245244123316972e+01
1.373555143900686781e+00,2.580416117992621050e-01,1.264014975279721220e+01,1.256548446439892253e+01
3.211298333081368805e-01,-8.884676090243586177e-01,1.026037349339725324e+01,1.032824745298320934e+01
7.774591108685261487e-01,-2.486719261997660801e-01,1.371425918903635832e+01,1.366726917912840378e+01
4.946994948517442064e-02,-9.615140963870054680e-01,9.106269739180223866e+00,9.019301024763176855e+00
1.728974141837117118e-01,4.986373223591185067e-01,3.536969599685953369e+01,3.537739923904178596e+01
4.407426241981172721e-01,7.416890298211145094e-01,2.327691425318071339e+01,2.332141838102981879e+01
8.351538206710847900e-01,9.922166965123144777e-01,1.429443154164942165e+01,1.427152360748755733e+01
9.318476722118859135e-01,5.269137080834873643e-02,1.397543873461165198e+01,1.388918675590369567e+01
1.770197847920044865e+00,-2.174148477003661206e-01,1.261997134716169633e+01,1.268194990379256026e+01
6.401502999262864702e-01,4.912127781055541931e-02,1.562783761778181102e+01,1.545180473856953363e+01
5.271311379161083832e-02,-1.130069026940410115e-01,2.059457810590662064e+01,2.049149169230306811e+01
1.654184460074618723e+00,-4.137205923778080052e-01,1.275189440655522333e+01,1.275584669560856099e+01
1.330754013934098146e-01,8.205169692174463236e-01,5.770788969865640183e+01,5.757178375882589449e+01
1.950540653978344308e-01,-2.116329474370632902e-01,1.688572385468535231e+01,1.688852328111027035e+01
1.926731616312072681e+00,7.913243616322451768e-01,1.153280851511687821e+01,1.152732220331503221e+01
1.509197182075433297e+00,1.330010216102133214e-01,1.254344045527233575e+01,1.263331443415815336e+01
6.823298635307175619e-01,6.938309357663001720e-01,1.684318751285606197e+01,1.675170847767473248e+01
2.730358948221994209e-01,3.312164987339090150e-01,2.509730440838500343e+01,2.503471375602083882e+01
7.795938406120044295e-01,-6.151433147894525000e-02,1.436472689005496761e+01,1.439804505852506722e+01
6.849978366325454315e-01,4.326239714449089391e-01,1.654391187436194599e+01,1.629815551534136375e+01
1.750137990870521687e+00,4.509298777432970695e-01,1.196751030399193105e+01,1.227751453388338909e+01
8.433185044549396103e-01,7.387500638316382151e-01,1.470327535493018623e+01,1.463341028188400905e+01
1.732695619710878654e-01,-7.839333143254800795e-02,1.937584633605263207e+01,1.930286283078007514e+01
1.854342352693586493e+00,5.924386733895148360e-02,1.234321815608373285e+01,1.242933090717410494e+01
1.248403593793367738e+00,5.284758769978947779e-01,1.263987935406009555e+01,1.263589616991652775e+01
2.422526149941943985e-01,2.953168891691326792e-02,2.020080859821521813e+01,2.002286573634485833e+01
2.352165784923804515e-01,2.407220651473764850e-01,2.453341363183264789e+01,2.459610636984190890e+01
9.372071499168859177e-01,-5.290873814585879131e-01,1.266452588866908435e+01,1.275006367206900570e+01
1.932570417213411995e-01,9.521978767500705043e-01,4.921241204100552835e+01,4.916741741365793672e+01
1.267186862483489440e+00,2.719436684354070710e-01,1.286430960300313409e+01,1.283614956717393163e+01
1.236603744278871320e+00,3.010947401563286441e-01,1.292215495462096619e+01,1.297075341434690543e+01
7.384188375012586125e-02,4.903785825664876974e-01,4.561132118197885887e+01,4.552044315698741173e+01
1.616771334272176119e+00,5.754360392439854532e-01,1.191046172605680020e+01,1.195430058247749017e+01
1.575721574269602021e+00,-8.082001752531047245e-01,1.266696814385968040e+01,1.268689799490413073e+01
1.831463454544463909e+00,-2.598818976353158838e-01,1.262889257852442526e+01,1.256139931694683298e+01
