t,v,w,s_ca,c_ca,dv_dt,dv_dt_noisy
1.440288057611522454e+00,-5.377725485959049223e+01,-6.077974423278954319e+00,5.402660985769414809e-02,5.528258780328998423e-02,3.176304840595690848e+00,2.785350609417269752e+00
1.520304060812162517e+00,-5.352948796631820017e+01,-6.385024107482289324e+00,5.726531111496237225e-02,5.601789733527409720e-02,3.019774824819663195e+00,2.891178704510227959e+00
1.600320064012802579e+00,-5.329352836021001139e+01,-6.688961900587774068e+00,6.050557331688857787e-02,5.680783577893300934e-02,2.880729377306835204e+00,2.884800467566007054e+00
1.680336067213442863e+00,-5.306807993708908811e+01,-6.989874844800218590e+00,6.374608836979700488e-02,5.765311763144059798e-02,2.756660007901828635e+00,2.618858555252143283e+00
1.760352070414082926e+00,-5.285203210072500468e+01,-7.287841851100678170e+00,6.698568624708438335e-02,5.855441254299644654e-02,2.645440346949307298e+00,3.292472254148410826e+00
1.840368073614722988e+00,-5.264443064069953238e+01,-7.582934880224561525e+00,7.022331213936747196e-02,5.951234993159679881e-02,2.545259433102430080e+00,3.048621590755327126e+00
1.920384076815363272e+00,-5.244445611254286632e+01,-7.875219841095601581e+00,7.345800948510053385e-02,6.052752221413574413e-02,2.454571638705452585e+00,1.098990399222468328e+00
2.000400080016003113e+00,-5.225140298842016051e+01,-8.164757476000552572e+00,7.668890358459388989e-02,6.160048764951869815e-02,2.372051684141212036e+00,1.427545061157375672e+00
2.080416083216643397e+00,-5.206466453047639931e+01,-8.451604019543911051e+00,7.991518971377643832e-02,6.273177207892668972e-02,2.296561321507489595e+00,2.209175275479908773e+00
2.160432086417283681e+00,-5.188371855134413124e+01,-8.735811818273807816e+00,8.313612182386416471e-02,6.392187089883831497e-02,2.227119646246187301e+00,2.016024440458010325e+00
2.240448089617923522e+00,-5.170811544898062095e+01,-9.017429884634202253e+00,8.635100319466916530e-02,6.517124934394184776e-02,2.162878679465180198e+00,2.269700178214485664e+00
2.320464092818563806e+00,-5.153746968445954479e+01,-9.296504264230035730e+00,8.955917949199823647e-02,6.648034425272110470e-02,2.103105390097994132e+00,2.211766355609276147e+00
2.400480096019204090e+00,-5.137144922698789173e+01,-9.573078551381273726e+00,9.276003058107422372e-02,6.784956316800104525e-02,2.047161960575408557e+00,3.106081338100932676e+00
2.480496099219843931e+00,-5.120977083856068646e+01,-9.847194088753374430e+00,9.595296655040820577e-02,6.927928570871040581e-02,1.994495403572202008e+00,1.438485022226061449e+00
2.560512102420484215e+00,-5.105219181432156716e+01,-1.011889037579724437e+01,9.913742122667651424e-02,7.076986267277271536e-02,1.944622809775736982e+00,1.755820306212237947e+00
2.640528105621124499e+00,-5.089850562861162331e+01,-1.038820527997831178e+01,1.023128486741587823e-01,7.232161583255536375e-02,1.897122827284341895e+00,2.918508631030507061e+00
2.720544108821764340e+00,-5.074853799340174021e+01,-1.065517521636348874e+01,1.054787198881196597e-01,7.393483836747120896e-02,1.851628158637929289e+00,2.174979656738852629e+00
2.800560112022404624e+00,-5.060214114326383594e+01,-1.091983544843026444e+01,1.086345183828637401e-01,7.560979310881871251e-02,1.807815988984359024e+00,2.139347675172489804e+00
2.880576115223044908e+00,-5.045919211569175644e+01,-1.118222016216734005e+01,1.117797386796289122e-01,7.734671290940839383e-02,1.765404374167360402e+00,1.508401188323629016e+00
2.960592118423684749e+00,-5.031958925571026953e+01,-1.144236263936398501e+01,1.149138834959796268e-01,7.914579996879209101e-02,1.724146379104780635e+00,9.001087936769542885e-01
3.040608121624325033e+00,-5.018324867982984472e+01,-1.170029544874709515e+01,1.180364610621544574e-01,8.100722420847426830e-02,1.683824431238306829e+00,1.767556803349677352e+00
3.120624124824965318e+00,-5.005010341760930714e+01,-1.195605047647388552e+01,1.211469843341795305e-01,8.293112359585597115e-02,1.644248575922212297e+00,1.698755619832986063e+00
3.200640128025605158e+00,-4.992010087980489175e+01,-1.220965905313467736e+01,1.242449690584210564e-01,8.491760315763935418e-02,1.605252557653585654e+00,9.915765305312985722e-01
3.280656131226245442e+00,-4.979320024926901311e+01,-1.246115209615469510e+01,1.273299318892215370e-01,8.696673334526047738e-02,1.566689966212450713e+00,1.225076635322169594e+00
3.360672134426885727e+00,-4.966937203233429443e+01,-1.271056012062000384e+01,1.304013900361445932e-01,8.907855016719466723e-02,1.528433465637441202e+00,1.492411625773827577e+00
3.440688137627525567e+00,-4.954859670511651615e+01,-1.295791329857883767e+01,1.334588603330127132e-01,9.125305461733937418e-02,1.490372861672916827e+00,1.017997050142528170e+00
3.520704140828165851e+00,-4.943086226503028513e+01,-1.320324159064488079e+01,1.365018576630709912e-01,9.349021074537106069e-02,1.452411781739726848e+00,1.403276797813618249e+00
3.600720144028806136e+00,-4.931616383346551657e+01,-1.344657475833773752e+01,1.395298947707740156e-01,9.578994548856456515e-02,1.414467238221753576e+00,1.462208751956480812e+00
3.680736147229445976e+00,-4.920450344817481891e+01,-1.368794235199170117e+01,1.425424822818210924e-01,9.815214892751129849e-02,1.376469482484147022e+00,1.394262601011889924e+00
3.760752150430086260e+00,-4.909588784519766591e+01,-1.392737382258046885e+01,1.455391275708302068e-01,1.005766723222344533e-01,1.338359193421489124e+00,1.085213364264331792e+00
3.840768153630726545e+00,-4.899032763813300306e+01,-1.416489856043548912e+01,1.485193343861377913e-01,1.030633274044274045e-01,1.300086632980310242e+00,1.596960668873221634e+00
3.920784156831366385e+00,-4.888783752404548721e+01,-1.440054585716658764e+01,1.514826033381670989e-01,1.056118869243040659e-01,1.261612200716239585e+00,1.707195677857403782e+00
4.000800160032006225e+00,-4.878843541664168981e+01,-1.463434493015646787e+01,1.544284318226652186e-01,1.082220840847739479e-01,1.222905564507030363e+00,1.383329716790312247e+00
4.080816163232646510e+00,-4.869214062592142511e+01,-1.486632500824771874e+01,1.573563133903409794e-01,1.108936108400419424e-01,1.183943543099921669e+00,7.748284294047681486e-01
4.160832166433286794e+00,-4.859897379135210826e+01,-1.509651532106284932e+01,1.602657379930528536e-01,1.136261180249722169e-01,1.144710389080390911e+00,1.510536530973111358e+00
4.240848169633927078e+00,-4.850895744178311020e+01,-1.532494502600391861e+01,1.631561930576063690e-01,1.164192165788920375e-01,1.105198881458974824e+00,8.544788722254486046e-01
4.320864172834567363e+00,-4.842211416680508052e+01,-1.555164328445299127e+01,1.660271631752091581e-01,1.192724760143159951e-01,1.065408220200698253e+00,1.504988529344690962e+00
4.400880176035207647e+00,-4.833846566274141310e+01,-1.577663929924087327e+01,1.688781299965484428e-01,1.221854236307365893e-01,1.025343128494423439e+00,4.894494200557013563e-01
4.480896179235847043e+00,-4.825803328071066289e+01,-1.599996224834128533e+01,1.717085732800970599e-01,1.251575458141402641e-01,9.850149414291671235e-01,1.442248542993557647e+00
4.560912182436487328e+00,-4.818083805638475070e+01,-1.622164124004672203e+01,1.745179718725236584e-01,1.281882889797034131e-01,9.444419686950844550e-01,9.344102413873442980e-01
4.640928185637127612e+00,-4.810689859202403795e+01,-1.644170540059738883e+01,1.773058034868126298e-01,1.312770578877807126e-01,9.036469588659983287e-01,2.792725136987905810e-01
4.720944188837767896e+00,-4.803623093814396583e+01,-1.666018386309091781e+01,1.800715450727016220e-01,1.344232159357465761e-01,8.626572746414531423e-01,7.057075386580292653e-01
4.800960192038408181e+00,-4.796884978426921720e+01,-1.687710564254806300e+01,1.828146747408017359e-01,1.376260880444712953e-01,8.215067263668558439e-01,8.485578657526278157e-01
4.880976195239048465e+00,-4.790476690540165094e+01,-1.709249968442790646e+01,1.855346720260765137e-01,1.408849599774026351e-01,7.802336992224567780e-01,9.166293688046835975e-01
4.960992198439687861e+00,-4.784398992613061807e+01,-1.730639490892152565e+01,1.882310179702776365e-01,1.441990776094777271e-01,7.388796995383835053e-01,2.477856370678946374e-01
5.041008201640328146e+00,-4.778652326864039424e+01,-1.751882011518186033e+01,1.909031966131993219e-01,1.475676494355745161e-01,6.974907789339930275e-01,1.438042553513965149e-01
5.121024204840968430e+00,-4.773236844856716488e+01,-1.772980391063536487e+01,1.935506964927658780e-01,1.509898487741251627e-01,6.561180059372055950e-01,7.559102723607460383e-01
5.201040208041608714e+00,-4.768152189471158664e+01,-1.793937479876882790e+01,1.961730106037962718e-01,1.544648124018340452e-01,6.148145577654524629e-01,3.814397493255514693e-01
5.281056211242248999e+00,-4.763397516202687854e+01,-1.814756114166666734e+01,1.987696371633920767e-01,1.579916418053623206e-01,5.736360358404084536e-01,6.913888417055210622e-01
5.361072214442888395e+00,-4.758971652280928311e+01,-1.835439100815539248e+01,2.013400819495916039e-01,1.615694076961421422e-01,5.326425173795392709e-01,9.124022786187289125e-01
5.441088217643528679e+00,-4.754872894317146148e+01,-1.855989225058385728e+01,2.038838584344157268e-01,1.651971491696541117e-01,4.918956715587263773e-01,-3.324980116167478572e-01
5.521104220844168964e+00,-4.751098945090667769e+01,-1.876409251743724127e+01,2.064004881424034155e-01,1.688738739573229508e-01,4.514577471174128220e-01,5.786518053762215175e-01
5.601120224044809248e+00,-4.747647100121606201e+01,-1.896701909587093127e+01,2.088895029145624305e-01,1.725985634102657207e-01,4.113938481549084258e-01,1.023717331922774587e+00
5.681136227245449533e+00,-4.744514155838499647e+01,-1.916869892291568078e+01,2.113504456641704110e-01,1.763701735298938422e-01,3.717703595825483376e-01,2.230069373973117275e-01
5.761152230446089817e+00,-4.741696266125147474e+01,-1.936915864368167561e+01,2.137828704191329365e-01,1.801876344080451664e-01,3.326526349554903561e-01,-7.275465666329461456e-02
5.841168233646729213e+00,-4.739189105295694304e+01,-1.956842448249140531e+01,2.161863441247664774e-01,1.840498546478411823e-01,2.941068170310643382e-01,6.702287306208607465e-01
5.921184236847369498e+00,-4.736987901526555333e+01,-1.976652218368958103e+01,2.185604480107438963e-01,1.879557245070917482e-01,2.561998080004421752e-01,3.829230661045128770e-01
6.001200240048009782e+00,-4.735087245500182718e+01,-1.996347710004613774e+01,2.209047773935045034e-01,1.919041148689798748e-01,2.189961064331136242e-01,6.669376418218937452e-01
6.081216243248650066e+00,-4.733481210239186510e+01,-2.015931410139762647e+01,2.232189429713534456e-01,1.958938807641877056e-01,1.825589146086556980e-01,9.951059583015842147e-03
6.161232246449290351e+00,-4.732163486002294661e+01,-2.035405746441439945e+01,2.255025725513001844e-01,1.999238661733545031e-01,1.469513911413145024e-01,-5.939577457197910970e-01
6.241248249649930635e+00,-4.731127176996368178e+01,-2.054773097399887760e+01,2.277553106881519684e-01,2.039929028859747695e-01,1.122331667476892392e-01,5.722778439206374634e-02
6.321264252850570031e+00,-4.730364874185337243e+01,-2.074035786889437105e+01,2.299768195158691242e-01,2.080998130712025385e-01,7.846070611597610878e-02,-1.444533703896399846e-01
6.401280256051210316e+00,-4.729868859240648504e+01,-2.093196070291696742e+01,2.321667805817376196e-01,2.122434151341718311e-01,4.568946957557074029e-02,4.333513805993577939e-01
6.481296259251850600e+00,-4.729630916852418210e+01,-2.112256144627101406e+01,2.343248943690984243e-01,2.164225226986067618e-01,1.397054742380632320e-02,1.107869716123832254e-01
6.561312262452490884e+00,-4.729642363233266167e+01,-2.131218146456212992e+01,2.364508807223739406e-01,2.206359462759710510e-01,-1.664965209913304989e-02,-8.320742683166836295e-01
6.641328265653131169e+00,-4.729894288591236773e+01,-2.150084137112897409e+01,2.385444805818120184e-01,2.248824995826299022e-01,-4.612668187035851020e-02,-6.437082219219584234e-01
6.721344268853771453e+00,-4.730377404317525958e+01,-2.168856111823945199e+01,2.406054554373487919e-01,2.291609988115045071e-01,-7.442096220754734759e-02,3.674735560860802885e-01
6.801360272054410849e+00,-4.731082031593587800e+01,-2.187536000596764296e+01,2.426335873921150743e-01,2.334702634882752925e-01,-1.014986646496858214e-01,2.383838440592374597e-01
6.881376275255051134e+00,-4.731998353957274617e+01,-2.206125654203284014e+01,2.446286806307877149e-01,2.378091226230043542e-01,-1.273287631223745109e-01,-4.474504460766188796e-01
6.961392278455691418e+00,-4.733116315680269537e+01,-2.224626851325541566e+01,2.465905608844740915e-01,2.421764145283626934e-01,-1.518851764904596280e-01,-1.524095747740999707e-01
7.041408281656331702e+00,-4.734425572931922943e+01,-2.243041302271872439e+01,2.485190751384420138e-01,2.465709868590572895e-01,-1.751481472956974983e-01,4.763862959239556494e-02
7.121424284856971987e+00,-4.735915730510806299e+01,-2.261370636950716317e+01,2.504140927384820858e-01,2.509917020710278890e-01,-1.971013880300027665e-01,3.710077989363619322e-02
7.201440288057612271e+00,-4.737576305320647663e+01,-2.279616409194485627e+01,2.522755049431840702e-01,2.554374380248699006e-01,-2.177331855353585865e-01,2.203879125218164425e-01
7.281456291258251667e+00,-4.739396644159472061e+01,-2.297780103082790149e+01,2.541032242826514187e-01,2.599070872435028101e-01,-2.370381817591784568e-01,-1.087953681483974644e-01
7.361472294458891952e+00,-4.741366116768357131e+01,-2.315863124069856482e+01,2.558971852397562419e-01,2.643995611655495237e-01,-2.550150013028762430e-01,-3.024291707871253343e-01
7.441488297659532236e+00,-4.743474156830463073e+01,-2.333866799651350732e+01,2.576573439792376741e-01,2.689137917685507917e-01,-2.716660679761417896e-01,-4.010901003700645395e-01
7.521504300860172521e+00,-4.745710156054458650e+01,-2.351792387845029353e+01,2.593836773714516819e-01,2.734487301840400897e-01,-2.869996198576743041e-01,2.408717804089512970e-01
7.601520304060812805e+00,-4.748063585342487158e+01,-2.369641072531056736e+01,2.610761832144588568e-01,2.780033492745399570e-01,-3.010282496690770415e-01,-1.426455387208345860e+00
7.681536307261453089e+00,-4.750524114272548104e+01,-2.387413960172527894e+01,2.627348802020121332e-01,2.825766463379262849e-01,-3.137673672324758911e-01,-3.830950297781445801e-01
7.761552310462092485e+00,-4.753081503386219708e+01,-2.405112089381444918e+01,2.643598066667475766e-01,2.871676414160472257e-01,-3.252371008240402261e-01,-3.087370488320101969e-01
7.841568313662732770e+00,-4.755725640942387855e+01,-2.422736430625431581e+01,2.659510204046125481e-01,2.917753780718095880e-01,-3.354619783981007686e-01,-1.048136458833194506e+00
7.921584316863373054e+00,-4.758446700927739670e+01,-2.440287881176531215e+01,2.675085987015600741e-01,2.963989264987117456e-01,-3.444686188855428099e-01,-1.780618123165194910e-01
8.001600320064012450e+00,-4.761235075032839603e+01,-2.457767272815951287e+01,2.690326371240471248e-01,3.010373822369333818e-01,-3.522868825365961243e-01,-6.779273887582930591e-01
8.081616323264652735e+00,-4.764081359065266952e+01,-2.475175374884531720e+01,2.705232489367445647e-01,3.056898658805712321e-01,-3.589501836534054746e-01,7.227221450446791318e-02
8.161632326465293019e+00,-4.766976444480673791e+01,-2.492512892198271146e+01,2.719805648885467164e-01,3.103555246696874104e-01,-3.644940794562039343e-01,-4.272901214733675346e-01
8.241648329665933304e+00,-4.769911538290640607e+01,-2.509780467303801998e+01,2.734047325401870454e-01,3.150335327062541713e-01,-3.689559290856934126e-01,-3.437930869096700315e-02
8.321664332866573588e+00,-4.772878143472068047e+01,-2.526978686072631675e+01,2.747959150662436789e-01,3.197230901726066943e-01,-3.723751263182784044e-01,2.370466762673332228e-01
8.401680336067213872e+00,-4.775868078703177844e+01,-2.544108077886718178e+01,2.761542910432115416e-01,3.244234235732679217e-01,-3.747927375802575511e-01,-1.833279462235213597e-01
8.481696339267854157e+00,-4.778873523929090084e+01,-2.561169116616921926e+01,2.774800538196625643e-01,3.291337862196266340e-01,-3.762506348001792844e-01,-8.141112065116020702e-01
8.561712342468494441e+00,-4.781886918084887128e+01,-2.578162227703770881e+01,2.787734106087538799e-01,3.338534561159178793e-01,-3.767930630720570662e-01,-1.133952378924376170e+00
8.641728345669134725e+00,-4.784901087255472873e+01,-2.595087787870620488e+01,2.800345813831754405e-01,3.385817373574689371e-01,-3.764642947194687395e-01,5.002277640387176039e-01
8.721744348869775010e+00,-4.787909265799572722e+01,-2.611946124800268265e+01,2.812637987677963358e-01,3.433179604099881321e-01,-3.753081137689733282e-01,-4.309542103627330700e-01
8.801760352070415294e+00,-4.790905080333438093e+01,-2.628737518640036086e+01,2.824613077772670233e-01,3.480614816746875895e-01,-3.733678975823089274e-01,-7.176503713994697442e-01
8.881776355271053802e+00,-4.793882402946006493e+01,-2.645462214135599410e+01,2.836273638805391073e-01,3.528116798479682958e-01,-3.706888147756011165e-01,-2.985602707451886495e-01
8.961792358471694087e+00,-4.796835445792858366e+01,-2.662120418007847533e+01,2.847622327803667752e-01,3.575679572237132064e-01,-3.673160302066307281e-01,-4.630216954479553504e-01
9.041808361672334371e+00,-4.799758862100803469e+01,-2.678712296467970333e+01,2.858661900879517770e-01,3.623297410059587720e-01,-3.632927226491169392e-01,6.277840945722690247e-02
9.121824364872974655e+00,-4.802647680657027252e+01,-2.695237979824890573e+01,2.869395206459234848e-01,3.670964817493747590e-01,-3.586609401002149866e-01,-3.416968488816648497e-01
9.201840368073614940e+00,-4.805497125268367853e+01,-2.711697573503567327e+01,2.879825171437084275e-01,3.718676494413391542e-01,-3.534644579094745609e-01,-3.465896661002648149e-01
9.281856371274255224e+00,-4.808302818562397363e+01,-2.728091151061536124e+01,2.889954799939399299e-01,3.766427364900178376e-01,-3.477449934115490748e-01,-7.050348539280311133e-01
9.361872374474895508e+00,-4.811060826404882107e+01,-2.744418753188996973e+01,2.899787171433216293e-01,3.814212582316154898e-01,-3.415411510134198636e-01,-1.067571016396731687e-01
9.441888377675535793e+00,-4.813767416271323896e+01,-2.760680400862560901e+01,2.909325426396511260e-01,3.862027479624476345e-01,-3.348923740182137010e-01,-8.518257351957049250e-01
9.521904380876176077e+00,-4.816419102081819403e+01,-2.776876095249581766e+01,2.918572761060494458e-01,3.909867571099991945e-01,-3.278379236524031626e-01,5.106796229580379265e-03
9.601920384076816362e+00,-4.819012837624867274e+01,-2.793005810327417038e+01,2.927532428464978409e-01,3.957728582232212799e-01,-3.204131876931128886e-01,4.415555688019530134e-01
9.681936387277456646e+00,-4.821545852309806435e+01,-2.809069501495537580e+01,2.936207729368826014e-01,4.005606416190621855e-01,-3.126523243972734178e-01,-1.074995343446849327e+00
9.761952390478096930e+00,-4.824015498338014396e+01,-2.825067114213626240e+01,2.944602001334972741e-01,4.053497120035546297e-01,-3.045907657523763135e-01,-1.537705381428035256e+00
9.841968393678735438e+00,-4.826419520507069194e+01,-2.840998573157710538e+01,2.952718621904205643e-01,4.101396927747955057e-01,-2.962601378008535846e-01,1.217923977630613885e-02
9.921984396879375723e+00,-4.828755967733418686e+01,-2.856863787016072820e+01,2.960561002852948875e-01,4.149302241076779363e-01,-2.876895954449700810e-01,9.862593122965930270e-01
1.000200040008001601e+01,-4.831022946883009439e+01,-2.872662660858796713e+01,2.968132577565895103e-01,4.197209579731957518e-01,-2.789100737760250581e-01,-7.793724982119718536e-01
1.008201640328065629e+01,-4.833218901329822614e+01,-2.888395084803217472e+01,2.975436804744907016e-01,4.245115626004224429e-01,-2.699490114122617967e-01,-8.952968908132559189e-01
1.016203240648129658e+01,-4.835342570845207177e+01,-2.904060936454056119e+01,2.982477164555169535e-01,4.293017214536026804e-01,-2.608308468832376548e-01,3.365362000699917422e-02
1.024204840968193686e+01,-4.837392710518432182e+01,-2.919660094365414338e+01,2.989257146108952878e-01,4.340911277136184632e-01,-2.515819982873317429e-01,-6.719427933164856537e-01
1.032206441288257714e+01,-4.839368367537426963e+01,-2.935192426679648747e+01,2.995780251535014593e-01,4.388794887335122352e-01,-2.422255791512135659e-01,-4.952383211195817703e-01
1.040208041608321743e+01,-4.841268856785699626e+01,-2.950657792727572470e+01,3.002049992928412792e-01,4.436665253167297873e-01,-2.327816409338545611e-01,-4.068403742757434882e-01
1.048209641928385771e+01,-4.843093472214724926e+01,-2.966056056413583519e+01,3.008069880659464124e-01,4.484519661500134813e-01,-2.232723906915907719e-01,4.272865245430851333e-02
1.056211242248449800e+01,-4.844841772564974747e+01,-2.981387074391687619e+01,3.013843428067627395e-01,4.532355524446567419e-01,-2.137166990469054895e-01,-4.163678797434647860e-01
1.064212842568513828e+01,-4.846513540908258477e+01,-2.996650698229435861e+01,3.019374148335851049e-01,4.580170369580771617e-01,-2.041306781347600463e-01,-6.518925809467995824e-02
1.072214442888577679e+01,-4.848108509333855665e+01,-3.011846786865844194e+01,3.024665544076659551e-01,4.627961787416259853e-01,-1.945327457465282350e-01,-2.827993751933158828e-01
1.080216043208641707e+01,-4.849626661842992803e+01,-3.026975194009756365e+01,3.029721112803418492e-01,4.675727481102495142e-01,-1.849377642018161794e-01,-6.072733160276178044e-01
1.088217643528705736e+01,-4.851068150851401839e+01,-3.042035772025255369e+01,3.034544343038720893e-01,4.723465249387548415e-01,-1.753584733456889921e-01,-3.352716022172995136e-01
1.096219243848769764e+01,-4.852433059762918077e+01,-3.057028382474389616e+01,3.039138705680035635e-01,4.771172941460995465e-01,-1.658099216572210821e-01,-6.410097542411803406e-01
1.104220844168833793e+01,-4.853721719043447536e+01,-3.071952882948578178e+01,3.043507660076391064e-01,4.818848509207938058e-01,-1.563033037132406378e-01,-1.530458107783662092e-01
1.112222444488897821e+01,-4.854934561221964628e+01,-3.086809133440253206e+01,3.047654648936097832e-01,4.866489979747433692e-01,-1.468486208235333379e-01,-7.087817346063516322e-01
1.120224044808961850e+01,-4.856071949133046672e+01,-3.101597003868085523e+01,3.051583092017037258e-01,4.914095422361912102e-01,-1.374579203636088209e-01,-6.839051050112303631e-01
1.128225645129025878e+01,-4.857134488577447229e+01,-3.116316361075268304e+01,3.055296392327723209e-01,4.961663000386734579e-01,-1.281391468908523734e-01,6.003417607617753671e-01
1.136227245449089907e+01,-4.858122814837647496e+01,-3.130967077947501309e+01,3.058797929718309327e-01,5.009190932176913469e-01,-1.189001898453270201e-01,-1.454922999979977316e-01
1.144228845769153935e+01,-4.859037511864940484e+01,-3.145549036947267041e+01,3.062091057336273625e-01,5.056677474356914281e-01,-1.097504043937043150e-01,-1.367014171297257774e-01
1.152230446089217963e+01,-4.859879396835627574e+01,-3.160062118329199876e+01,3.065179107300918804e-01,5.104120969035246258e-01,-1.006949609159200065e-01,1.550732490428894939e-01
1.160232046409281992e+01,-4.860649244140515890e+01,-3.174506211716767723e+01,3.068065383194255036e-01,5.151519794316118395e-01,-9.174018679305007140e-02,-3.021686880674856468e-01
1.168233646729345843e+01,-4.861347811670675156e+01,-3.188881215071408803e+01,3.070753159462694115e-01,5.198872366473010764e-01,-8.289300878687910767e-02,-1.971606925259581367e-01
1.176235247049409871e+01,-4.861976070541682304e+01,-3.203187025228373130e+01,3.073245685915502734e-01,5.246177177864880248e-01,-7.415634097155177074e-02,1.384180266944026738e-01
1.184236847369473900e+01,-4.862534885139771745e+01,-3.217423551130646331e+01,3.075546179621259646e-01,5.293432740287471461e-01,-6.553537122899300016e-02,7.567254989320776337e-02
1.192238447689537928e+01,-4.863025148647133733e+01,-3.231590708245169452e+01,3.077657827084492315e-01,5.340637606220194344e-01,-5.703483794504293769e-02,-6.366832014112577820e-01
1.200240048009601956e+01,-4.863447934704263531e+01,-3.245688412346346752e+01,3.079583787061939693e-01,5.387790393479549023e-01,-4.865594147427287908e-02,3.680153568605580294e-01
1.208241648329665985e+01,-4.863804162723011615e+01,-3.259716593192668910e+01,3.081327182571496626e-01,5.434889726497040829e-01,-4.040300090957771317e-02,-3.356204725540992140e-01
1.216243248649730013e+01,-4.864094828778720370e+01,-3.273675185049705050e+01,3.082891105316716840e-01,5.481934274032135290e-01,-3.227880173643526973e-02,-5.603182768935281999e-01
1.224244848969794042e+01,-4.864321063410156398e+01,-3.287564124319237635e+01,3.084278616541840656e-01,5.528922757933921739e-01,-2.428337767452504181e-02,-4.745209126740508876e-01
1.232246449289858070e+01,-4.864483818742006349e+01,-3.301383362178450653e+01,3.085492739950292940e-01,5.575853898616491833e-01,-1.642029894692242920e-02,-2.116929711245838786e-01
1.240248049609922099e+01,-4.864584165680401640e+01,-3.315132852462070190e+01,3.086536467561654118e-01,5.622726464067158147e-01,-8.690645457804180296e-03,8.049594818537294527e-01
1.248249649929986127e+01,-4.864623252439291434e+01,-3.328812553299145804e+01,3.087412758599706875e-01,5.669539261923125517e-01,-1.093801100008562344e-03,-5.888617535603988262e-01
1.256251250250050155e+01,-4.864602051305805475e+01,-3.342422437219315157e+01,3.088124534046605696e-01,5.716291095511962794e-01,6.367409350541919366e-03,8.640535561771230111e-02
1.264252850570114006e+01,-4.864521682245666767e+01,-3.355962478045474739e+01,3.088674682977149422e-01,5.762980817242542297e-01,1.369332916024745828e-02,-1.055218849885041221e+00
1.272254450890178035e+01,-4.864383281895234745e+01,-3.369432656091182565e+01,3.089066059803590725e-01,5.809607305808002220e-01,2.088483075382185916e-02,2.010136418122340785e-02
