t,C,L,phi,dC_dt,dC_dt_noisy
2.280456091218243386e-01,9.196954334245964757e-01,4.080304566575402525e+00,1.032959953017728028e-01,2.971653404582768054e+00,2.980026641793905195e+00
2.340468093618723600e-01,9.373903589963801242e-01,4.062609641003619210e+00,1.057709221189423315e-01,2.925619163401236733e+00,2.931069867792313932e+00
2.400480096019203535e-01,9.548115991349062082e-01,4.045188400865093570e+00,1.082351300780628883e-01,2.880440086411631739e+00,2.819072483699402998e+00
2.460492098419683749e-01,9.719642327424501405e-01,4.028035767257549082e+00,1.106887150209107246e-01,2.836098858068525796e+00,2.801937524979497773e+00
2.520504100820163962e-01,9.888532350047714026e-01,4.011146764995228153e+00,1.131317704834058357e-01,2.792578053796619830e+00,2.788975869810258246e+00
2.580516103220644175e-01,1.005483477391114100e+00,3.994516522608885012e+00,1.155643876956120031e-01,2.749860234225346645e+00,2.702622653072307646e+00
2.640528105621123833e-01,1.021859727654206740e+00,3.978140272345792816e+00,1.179866555817367657e-01,2.707928024127693512e+00,2.703014525735082607e+00
2.700540108021604047e-01,1.037986650367702213e+00,3.962013349632296677e+00,1.203986608159939298e-01,2.666764177013648318e+00,2.671538328387121020e+00
2.760552110422084260e-01,1.053868805863546587e+00,3.946131194136452525e+00,1.228004881305971158e-01,2.626351632391644486e+00,2.628130944244418732e+00
2.820564112822564473e-01,1.069510648101474226e+00,3.930489351898525108e+00,1.251922201454742367e-01,2.586673566514268163e+00,2.561358983598552630e+00
2.880576115223044686e-01,1.084916534002698274e+00,3.915083465997300838e+00,1.275739376398283276e-01,2.547713407137277564e+00,2.577400810726568903e+00
2.940588117623524345e-01,1.100090724285301524e+00,3.899909275714697365e+00,1.299457195942559651e-01,2.509454862563598621e+00,2.554013210277715107e+00
3.000600120024004558e-01,1.115037383464237308e+00,3.884962616535761804e+00,1.323076431907475592e-01,2.471881946983862655e+00,2.487924362212190932e+00
3.060612122424484771e-01,1.129760579851327496e+00,3.870239420148671616e+00,1.346597838126870061e-01,2.434979000905487467e+00,2.394067489535971927e+00
3.120624124824964984e-01,1.144264287606157504e+00,3.855735712393841386e+00,1.370022151102013863e-01,2.398730702508994117e+00,2.435313316698266117e+00
3.180636127225444643e-01,1.158552391331823195e+00,3.841447608668175917e+00,1.393350092470467261e-01,2.363122069436256911e+00,2.338050068512904200e+00
3.240648129625924856e-01,1.172628680846101945e+00,3.827371319153896945e+00,1.416582367239833384e-01,2.328138481194363063e+00,2.372096512108762489e+00
3.300660132026405069e-01,1.186496863148892578e+00,3.813503136851106312e+00,1.439719666122515895e-01,2.293765658227187476e+00,2.240176287383315312e+00
3.360672134426885282e-01,1.200160563435106242e+00,3.799839436564892647e+00,1.462762665790283967e-01,2.259989665120943236e+00,2.305713025277382311e+00
3.420684136827365496e-01,1.213623325094666860e+00,3.786376674905331807e+00,1.485712028874272284e-01,2.226796914381880210e+00,2.225793741651106217e+00
3.480696139227845154e-01,1.226888609712511125e+00,3.773111390287487765e+00,1.508568403964981319e-01,2.194174168649633216e+00,2.131736724132912375e+00
3.540708141628325367e-01,1.239959797571635436e+00,3.760040202428363454e+00,1.531332425721061985e-01,2.162108540426362246e+00,2.146413566828019981e+00
3.600720144028805580e-01,1.252840196469449108e+00,3.747159803530550004e+00,1.554004717166994898e-01,2.130587471493400997e+00,2.133292585431977972e+00
3.660732146429285794e-01,1.265533033641363714e+00,3.734466966358635176e+00,1.576585888415427961e-01,2.099598750696648697e+00,2.113238317654871246e+00
3.720744148829765452e-01,1.278041465269972088e+00,3.721958534730026802e+00,1.599076537832098133e-01,2.069130490346882567e+00,2.020021084099833608e+00
3.780756151230245665e-01,1.290368580664896125e+00,3.709631419335102986e+00,1.621477252803989744e-01,2.039171114546698416e+00,1.983802462188438698e+00
3.840768153630725879e-01,1.302517402262783897e+00,3.697482597737214771e+00,1.643788609739333939e-01,2.009709356673393899e+00,2.019688583315748076e+00
3.900780156031206092e-01,1.314490885627312977e+00,3.685509114372686135e+00,1.666011174067609235e-01,1.980734256405549676e+00,1.957396775561559554e+00
3.960792158431686305e-01,1.326291919449187340e+00,3.673708080550811328e+00,1.688145500239540964e-01,1.952235156378246739e+00,1.964010436964757966e+00
4.020804160832165963e-01,1.337923327381375316e+00,3.662076672618623352e+00,1.710192132087028360e-01,1.924201694405996532e+00,1.962177670529915430e+00
4.080816163232646177e-01,1.349387875704942674e+00,3.650612124295056216e+00,1.732151604745098827e-01,1.896623782421231308e+00,1.814184414103683807e+00
4.140828165633126390e-01,1.360688264190944130e+00,3.639311735809054760e+00,1.754024442948744489e-01,1.869491623192745644e+00,1.882211029018626469e+00
4.200840168033606603e-01,1.371827137306196098e+00,3.628172862693802792e+00,1.775811162549862932e-01,1.842795681188243329e+00,1.904028029565030034e+00
4.260852170434086261e-01,1.382807085870166874e+00,3.617192914129832015e+00,1.797512270796934597e-01,1.816526674984416445e+00,1.801650332765892815e+00
4.320864172834566475e-01,1.393630647054978411e+00,3.606369352945020701e+00,1.819128266335023891e-01,1.790675573329542081e+00,1.750134844167663628e+00
4.380876175235046688e-01,1.404300304385405207e+00,3.595699695614593683e+00,1.840659639205778353e-01,1.765233591147918668e+00,1.802845782506898420e+00
4.440888177635526901e-01,1.414818487738874975e+00,3.585181512261124137e+00,1.862106870847429207e-01,1.740192185511489464e+00,1.752864511321896579e+00
4.500900180036007114e-01,1.425187574158132131e+00,3.574812425841866315e+00,1.883470434240963887e-01,1.715543049815544396e+00,1.760337203354422453e+00
4.560912182436486773e-01,1.435409895846762041e+00,3.564590104153236627e+00,1.904750795645639705e-01,1.691278092234200114e+00,1.674017306731636179e+00
4.620924184836966986e-01,1.445487731115301600e+00,3.554512268884697068e+00,1.925948413211511501e-01,1.667389451729438310e+00,1.593298538043327772e+00
4.680936187237447199e-01,1.455423312843842076e+00,3.544576687156156591e+00,1.947063737903473313e-01,1.643869475686666304e+00,1.638368937451103680e+00
4.740948189637927412e-01,1.465218831235747698e+00,3.534781168764250747e+00,1.968097213927140487e-01,1.620710710248703057e+00,1.598419302598141467e+00
4.800960192038407071e-01,1.474876433817655652e+00,3.525123566182343016e+00,1.989049278728847459e-01,1.597905896746806054e+00,1.636672087849184720e+00
4.860972194438887284e-01,1.484398225439476526e+00,3.515601774560522141e+00,2.009920362995650245e-01,1.575447968178329994e+00,1.585129610597187710e+00
4.920984196839367497e-01,1.493786268274393203e+00,3.506213731725605687e+00,2.030710890655323952e-01,1.553330045738045451e+00,1.471787584116290404e+00
4.980996199239847710e-01,1.503042581818861967e+00,3.496957418181136479e+00,2.051421278876364440e-01,1.531545435408885547e+00,1.471787281403725611e+00
5.041008201640327924e-01,1.512169146336884484e+00,3.487830853663114183e+00,2.072051938712316244e-01,1.510087617231048895e+00,1.554277069060411742e+00
5.101020204040808137e-01,1.521167904952838379e+00,3.478832095047160511e+00,2.092603275931159690e-01,1.488950237596024628e+00,1.522938488466917040e+00
5.161032206441288350e-01,1.530040758329368700e+00,3.469959241670629968e+00,2.113075689813936620e-01,1.468127117557413763e+00,1.436114949261989349e+00
5.221044208841767453e-01,1.538789573028877422e+00,3.461210426971121024e+00,2.133469574278158976e-01,1.447612231938578686e+00,1.447559792110214572e+00
5.281056211242247667e-01,1.547416181751779973e+00,3.452583818248218694e+00,2.153785317915890840e-01,1.427399705975886501e+00,1.449678383664695813e+00
5.341068213642727880e-01,1.555922383336504344e+00,3.444077616663494101e+00,2.174023303993745104e-01,1.407483812537561496e+00,1.430904029329925331e+00
5.401080216043208093e-01,1.564309942759492422e+00,3.435690057240506246e+00,2.194183910452885133e-01,1.387858969407855136e+00,1.431671079213572728e+00
5.461092218443688306e-01,1.572580591135198880e+00,3.427419408864799788e+00,2.214267509909024212e-01,1.368519736637457296e+00,1.381344017998535456e+00
5.521104220844168520e-01,1.580736025716091619e+00,3.419263974283906826e+00,2.234274469652426376e-01,1.349460813960657202e+00,1.344719397012232198e+00
5.581116223244648733e-01,1.588777913064334912e+00,3.411222086935663977e+00,2.254205152244655452e-01,1.330677031617949257e+00,1.317734628378556927e+00
5.641128225645128946e-01,1.596707890094001270e+00,3.403292109905997176e+00,2.274059916140470095e-01,1.312163345749845389e+00,1.364950485776508016e+00
5.701140228045609160e-01,1.604527559649563395e+00,3.395472440350435495e+00,2.293839114640128796e-01,1.293914845373060452e+00,1.181372131619133459e+00
5.761152230446089373e-01,1.612238497529467240e+00,3.387761502470531649e+00,2.313543096811225275e-01,1.275926735435122028e+00,1.268993969180555181e+00
5.821164232846568476e-01,1.619842252638453717e+00,3.380157747361545173e+00,2.333172207512823060e-01,1.258194334385094981e+00,1.259844339584297979e+00
5.881176235247048689e-01,1.627340346987559139e+00,3.372659653012439751e+00,2.352726787395459929e-01,1.240713072121132132e+00,1.169445624077622758e+00
5.941188237647528902e-01,1.634734275694113892e+00,3.365265724305884554e+00,2.372207172901143191e-01,1.223478487994188679e+00,1.240119168651091064e+00
6.001200240048009116e-01,1.642025506981743765e+00,3.357974493018254680e+00,2.391613696263352462e-01,1.206486228867266641e+00,1.173922178245097037e+00
6.061212242448489329e-01,1.649215482180369285e+00,3.350784517819629382e+00,2.410946685507038556e-01,1.189732047229479006e+00,1.232854287045266339e+00
6.121224244848969542e-01,1.656305616541597248e+00,3.343694383458401198e+00,2.430206464594433791e-01,1.173211797682598201e+00,1.166932193480881841e+00
6.181236247249449756e-01,1.663297303760441270e+00,3.336702696239556953e+00,2.449393354507773402e-01,1.156921425840747863e+00,1.190379087880220510e+00
6.241248249649929969e-01,1.670191908987287643e+00,3.329808091012710580e+00,2.468507672138720577e-01,1.140856981045208052e+00,1.201799161303769292e+00
6.301260252050410182e-01,1.676990774649672389e+00,3.323009225350326279e+00,2.487549730852319230e-01,1.125014602763168226e+00,1.144161081898841914e+00
6.361272254450889285e-01,1.683695221746434711e+00,3.316304778253563512e+00,2.506519840676953992e-01,1.109390516387650072e+00,1.065604459216507705e+00
6.421284256851369499e-01,1.690306549847718109e+00,3.309693450152280114e+00,2.525418308304354098e-01,1.093981031750540733e+00,1.018265100165308912e+00
6.481296259251849712e-01,1.696826037094969264e+00,3.303173962905029182e+00,2.544245437089588946e-01,1.078782541678486639e+00,1.166451747554305252e+00
6.541308261652329925e-01,1.703254940200938705e+00,3.296745059799059518e+00,2.563001527051070871e-01,1.063791520590787743e+00,1.058226910931411746e+00
6.601320264052810138e-01,1.709594494449680369e+00,3.290405505550318299e+00,2.581686874870553483e-01,1.049004523138456602e+00,1.014576275756740475e+00
6.661332266453290352e-01,1.715845913696552039e+00,3.284154086303446185e+00,2.600301773893133883e-01,1.034418182883540371e+00,1.041631037286581574e+00
6.721344268853770565e-01,1.722010391950509200e+00,3.277989608049489245e+00,2.618846514429609140e-01,1.020029207806963489e+00,1.010458641282831138e+00
6.781356271254250778e-01,1.728089105273841852e+00,3.271910894726156371e+00,2.637321384467218865e-01,1.005834375203235265e+00,1.048441488413869749e+00
6.841368273654730991e-01,1.734083206816984912e+00,3.265916793183013311e+00,2.655726668662362622e-01,9.918305405780480921e-01,9.935269496999030725e-01
6.901380276055210095e-01,1.739993832234874693e+00,3.260006167765123752e+00,2.674062648964504185e-01,9.780146255569952540e-01,9.787021047379161898e-01
6.961392278455690308e-01,1.745822100026892087e+00,3.254177899973106580e+00,2.692329604668432519e-01,9.643836161236103433e-01,9.286546300719621394e-01
7.021404280856170521e-01,1.751569111536862566e+00,3.248430888463135879e+00,2.710527812414257331e-01,9.509345615782742733e-01,9.744129665156489040e-01
7.081416283256650734e-01,1.757235950953055736e+00,3.242764049046942709e+00,2.728657546187412408e-01,9.376645735277593374e-01,8.859712374100101595e-01
7.141428285657130948e-01,1.762823685308185784e+00,3.237176314691812440e+00,2.746719077318656166e-01,9.245708249046706850e-01,9.578652968928690337e-01
7.201440288057611161e-01,1.768333364479411474e+00,3.231666635520586972e+00,2.764712674484067767e-01,9.116505490160795588e-01,9.878474246655861712e-01
7.261452290458091374e-01,1.773766021188335484e+00,3.226233978811662961e+00,2.782638603705051006e-01,8.989010386206315317e-01,8.226667367156739186e-01
7.321464292858571588e-01,1.779122671818476942e+00,3.220877328181521726e+00,2.800497128503562361e-01,8.863196433976616717e-01,7.630081818300957774e-01
7.381476295259051801e-01,1.784404318953954460e+00,3.215595681046043985e+00,2.818288510667587010e-01,8.739037639845761429e-01,9.047477017422921319e-01
7.441488297659530904e-01,1.789611946257358310e+00,3.210388053742640135e+00,2.836013009347830294e-01,8.616508613920421666e-01,9.890457521661984996e-01
7.501500300060011117e-01,1.794746522936561117e+00,3.205253477063437550e+00,2.853670881479746790e-01,8.495584473065194153e-01,7.995122048629247358e-01
7.561512302460491330e-01,1.799809004385721778e+00,3.200190995614276890e+00,2.871262381878513237e-01,8.376240820569007539e-01,7.750892941168013861e-01
7.621524304860971544e-01,1.804800332185286571e+00,3.195199667814712097e+00,2.888787763239031303e-01,8.258453738845290548e-01,8.552938205735527433e-01
7.681536307261451757e-01,1.809721434101987825e+00,3.190278565898010843e+00,2.906247276135925928e-01,8.142199782347181447e-01,7.721838987318027092e-01
7.741548309661931970e-01,1.814573224088845249e+00,3.185426775911153641e+00,2.923641169023546427e-01,8.027455970692123355e-01,7.774443228723755261e-01
7.801560312062412184e-01,1.819356602285165048e+00,3.180643397714833842e+00,2.940969688235964274e-01,7.914199781990796101e-01,7.740141048648907507e-01
7.861572314462892397e-01,1.824072455016540140e+00,3.175927544983458528e+00,2.958233077986976434e-01,7.802409146375073323e-01,8.068410189520972553e-01
7.921584316863372610e-01,1.828721654795227414e+00,3.171278345204771032e+00,2.975431580370165863e-01,7.692062439712532562e-01,7.489411259015973377e-01
7.981596319263851713e-01,1.833305062649495110e+00,3.166694937350503114e+00,2.992565435869436463e-01,7.583138431413201097e-01,7.722079851453280686e-01
8.041608321664331926e-01,1.837823525940077252e+00,3.162176474059921194e+00,3.009634883324803223e-01,7.475616321430658129e-01,7.387349691983869926e-01
8.101620324064812140e-01,1.842277878101684196e+00,3.157722121898314249e+00,3.026640159528367069e-01,7.369475740035387190e-01,6.947140188209585121e-01
8.161632326465292353e-01,1.846668941375221529e+00,3.153331058624777139e+00,3.043581499571233473e-01,7.264696688609968422e-01,7.104783559738357956e-01
8.221644328865772566e-01,1.850997526807789839e+00,3.149002473192208384e+00,3.060459136843511896e-01,7.161259534506414504e-01,6.686059701922455467e-01
8.281656331266252780e-01,1.855264434252684946e+00,3.144735565747313721e+00,3.077273303034318008e-01,7.059145006053835214e-01,7.062402498988709088e-01
8.341668333666732993e-01,1.859470452369397009e+00,3.140529547630601659e+00,3.094024228131770360e-01,6.958334187712400531e-01,6.396401073929581793e-01
8.401680336067213206e-01,1.863616358623611413e+00,3.136383641376387033e+00,3.110712140422993710e-01,6.858808515370218295e-01,6.312361330722596753e-01
8.461692338467693419e-01,1.867702919287208552e+00,3.132297080712789672e+00,3.127337266494116252e-01,6.760549771779054140e-01,7.489030679431681881e-01
8.521704340868172523e-01,1.871730889438263823e+00,3.128269110561734401e+00,3.143899831230271280e-01,6.663540082125809505e-01,6.636947971973138349e-01
8.581716343268652736e-01,1.875701012984108296e+00,3.124298987015889928e+00,3.160400057819638953e-01,6.567761909284772770e-01,6.540810896548751030e-01
8.641728345669132949e-01,1.879614024841276265e+00,3.120385975158721958e+00,3.176838168270169072e-01,6.473198006892249001e-01,6.728966216851058890e-01
8.701740348069613162e-01,1.883470648128164449e+00,3.116529351871833775e+00,3.193214383208399787e-01,6.379831469965377977e-01,6.169402968690942402e-01
8.761752350470093376e-01,1.887271594970499233e+00,3.112728405029498990e+00,3.209528921652702316e-01,6.287645715629883725e-01,6.173378031890804918e-01
8.821764352870573589e-01,1.891017568362663104e+00,3.108982431637335342e+00,3.225782001249553610e-01,6.196624443140521521e-01,6.409198810806475688e-01
8.881776355271053802e-01,1.894709262167694641e+00,3.105290737832303360e+00,3.241973838273536912e-01,6.106751630342754922e-01,6.247959551464955519e-01
8.941788357671534015e-01,1.898347361117289411e+00,3.101652638882708590e+00,3.258104647627342865e-01,6.018011530237208362e-01,5.438363166770993073e-01
9.001800360072014229e-01,1.901932540811798855e+00,3.098067459188199368e+00,3.274174642841767846e-01,5.930388667644179712e-01,6.347059965979010565e-01
9.061812362472493332e-01,1.905465467720230510e+00,3.094534532279767713e+00,3.290184036075715079e-01,5.843867835965721458e-01,5.548650364321200401e-01
9.121824364872973545e-01,1.908946799180248455e+00,3.091053200819749769e+00,3.306133038116194078e-01,5.758434094042859108e-01,5.230394618885766400e-01
9.181836367273453758e-01,1.912377183398173086e+00,3.087622816601824915e+00,3.322021858378320647e-01,5.674072763105530992e-01,5.223835228106005202e-01
9.241848369673933972e-01,1.915757259448981120e+00,3.084242740551017103e+00,3.337850704905317434e-01,5.590769423812804728e-01,5.395496751635143751e-01
9.301860372074414185e-01,1.919087658358957116e+00,3.080912341641041330e+00,3.353619784611844290e-01,5.508509892329240820e-01,6.322160019640774564e-01
9.361872374474894398e-01,1.922369002790260017e+00,3.077630997209738428e+00,3.369329303565196665e-01,5.427280223324844055e-01,4.839512270864453902e-01
9.421884376875374612e-01,1.925601905253571111e+00,3.074398094746427113e+00,3.384979466435161233e-01,5.347066742197643663e-01,5.427104688464814419e-01
9.481896379275854825e-01,1.928786970709380988e+00,3.071213029290617236e+00,3.400570476769546047e-01,5.267855992260068732e-01,4.198943813214779941e-01
9.541908381676335038e-01,1.931924796619411300e+00,3.068075203380586924e+00,3.416102537002397299e-01,5.189634731293304437e-01,5.188851264720706347e-01
9.601920384076814141e-01,1.935015972946615648e+00,3.064984027053382576e+00,3.431575848454001543e-01,5.112389929168854596e-01,5.562173137906858411e-01
9.661932386477294354e-01,1.938061082155179360e+00,3.061938917844819308e+00,3.446990611330886245e-01,5.036108765539124565e-01,4.917777104508396779e-01
9.721944388877774568e-01,1.941060699210518603e+00,3.058939300789480065e+00,3.462347024725817568e-01,4.960778627595114898e-01,4.646101165653443998e-01
9.781956391278254781e-01,1.944015391579281715e+00,3.055984608420716953e+00,3.477645286617802589e-01,4.886387107889604842e-01,5.002142639918873979e-01
9.841968393678734994e-01,1.946925719229348317e+00,3.053074280770650351e+00,3.492885593872088190e-01,4.812922002224300222e-01,5.162997877799625490e-01
9.901980396079215208e-01,1.949792234629829757e+00,3.050207765370168911e+00,3.508068142240161058e-01,4.740371307599211548e-01,5.072200093107914753e-01
9.961992398479695421e-01,1.952615482797746216e+00,3.047384517202252230e+00,3.523193126368255879e-01,4.668723219323107632e-01,5.654960146288003919e-01
1.002200440088017563e+00,1.955396002843307279e+00,3.044603997156691388e+00,3.538260740218028277e-01,4.597966099151911123e-01,4.702549835320049554e-01
1.008201640328065585e+00,1.958134325444826018e+00,3.041865674555172205e+00,3.553271176845223533e-01,4.528088521827240420e-01,4.231883471950774189e-01
1.014202840568113606e+00,1.960830973965672186e+00,3.039169026034326038e+00,3.568224628258933606e-01,4.459079252121784798e-01,4.396089657128463557e-01
1.020204040808161627e+00,1.963486465571312012e+00,3.036513534428686434e+00,3.583121285556511437e-01,4.390927221676075298e-01,4.354677948866169102e-01
1.026205241048209649e+00,1.966101311229308424e+00,3.033898688770690022e+00,3.597961338923568730e-01,4.323621527344108095e-01,4.377990219083167656e-01
1.032206441288257670e+00,1.968676015709321270e+00,3.031323984290677398e+00,3.612744977633975951e-01,4.257151429586665259e-01,4.242137522971947683e-01
1.038207641528305691e+00,1.971211077583106652e+00,3.028788922416891793e+00,3.627472390049863993e-01,4.191506350911331502e-01,4.278489320359433190e-01
1.044208841768353491e+00,1.973706989224518038e+00,3.026293010775480408e+00,3.642143763621621400e-01,4.126675874357970120e-01,3.291250844050414015e-01
1.050210042008401512e+00,1.976164236809505370e+00,3.023835763190493076e+00,3.656759284887897143e-01,4.062649742028612287e-01,4.477464220048633647e-01
1.056211242248449533e+00,1.978583300316115290e+00,3.021416699683883156e+00,3.671319139475598958e-01,3.999417853660565125e-01,3.712048219200049237e-01
1.062212442488497555e+00,1.980964653524491359e+00,3.019035346475507087e+00,3.685823512099893895e-01,3.936970265241885869e-01,3.350390917018373216e-01
1.068213642728545576e+00,1.983308764049471540e+00,3.016691235950526906e+00,3.700272586570088063e-01,3.875297187042989755e-01,4.194172766863707436e-01
1.074214842968593597e+00,1.985616094614843785e+00,3.014383905385154883e+00,3.714666546146658810e-01,3.814388957740268982e-01,4.473051961433309742e-01
1.080216043208641619e+00,1.987887100892363534e+00,3.012112899107634689e+00,3.729005573382050964e-01,3.754236084322628564e-01,4.000750159072349876e-01
1.086217243448689640e+00,1.990122232399182067e+00,3.009877767600816600e+00,3.743289849961040638e-01,3.694829224029896331e-01,3.775408880952656476e-01
1.092218443688737661e+00,1.992321933498937492e+00,3.007678066501060954e+00,3.757519556814111761e-01,3.636159164077530370e-01,3.170049011391554150e-01
1.098219643928785683e+00,1.994486643401755188e+00,3.005513356598243035e+00,3.771694874117458296e-01,3.578216820535640164e-01,5.014000489442389519e-01
1.104220844168833704e+00,1.996616796164248031e+00,3.003383203835750415e+00,3.785815981292983690e-01,3.520993237240612750e-01,3.961122547571366836e-01
1.110222044408881725e+00,1.998712820689515501e+00,3.001287179310482944e+00,3.799883057008300868e-01,3.464479584738575646e-01,2.894832249567087512e-01
1.116223244648929747e+00,2.000775140727144574e+00,2.999224859272853649e+00,3.813896279176730575e-01,3.408667159259903823e-01,3.018848201140031384e-01
1.122224444888977768e+00,2.002804174873209497e+00,2.997195825126788726e+00,3.827855824957305253e-01,3.353547381724117926e-01,3.397037006010070193e-01
1.128225645129025789e+00,2.004800336570271568e+00,2.995199663429726655e+00,3.841761870754764607e-01,3.299111796774347738e-01,2.521746230776354403e-01
1.134226845369073811e+00,2.006764034107379580e+00,2.993235965892619088e+00,3.855614592219558379e-01,3.245352071840752473e-01,3.329667275346009370e-01
1.140228045609121832e+00,2.008695670620068263e+00,2.991304329379930405e+00,3.869414164247846899e-01,3.192259996232138519e-01,2.962724218375759055e-01
1.146229245849169853e+00,2.010595644652964253e+00,2.989404355347033970e+00,3.883160761114204940e-01,3.139827469472626920e-01,3.752962769630735496e-01
1.152230446089217875e+00,2.012464349981126777e+00,2.987535650018871447e+00,3.896854556719834828e-01,3.088046503533499187e-01,3.569123835347622897e-01
