dP,R,mu,L,Q,Q_noisy
7.753282053670473397e+04,1.475354892259875608e-02,3.998189619987777346e-03,1.130730644254869688e+00,2.756181375713529502e-01,2.756262797518713170e-01
3.523678821874358982e+04,1.998100354877497056e-02,1.370603482085077773e-03,9.923126718233907795e-01,5.075094278656542279e-01,5.072338249603548510e-01
5.366718769884715584e+04,1.962302174703213151e-02,3.309674688549394880e-03,1.349452094230164212e+00,4.674582043675507004e-01,4.687522681819489279e-01
9.826634798211147427e+04,7.796726053762957978e-03,3.860610449800327623e-03,1.743842346522834763e+00,2.371764279092162045e-02,2.472436710622741632e-02
9.654914742974081310e+04,1.456115879432901689e-02,4.685442065498701680e-03,9.035411835896109967e-01,3.357142129515023887e-01,3.330030504725364215e-01
7.523109466961803264e+04,1.801305678514346018e-02,7.184006554228469701e-04,8.013712702490575213e-01,3.694438824369554453e-02,3.505537499772787280e-02
5.871041699926908041e+04,5.901970439079802337e-03,2.930223585640546503e-03,1.132312306344937625e+00,9.010214218951647508e-03,8.835442126896485282e-03
3.492020836408337345e+04,1.362410359196940257e-02,9.289960774017615077e-04,1.104988573669688945e+00,1.938322722838163870e-01,1.934100818722400417e-01
2.445868078976141987e+04,6.732381035477667634e-03,4.489320471077392141e-03,1.944757881462273019e+00,3.806400391175876127e-03,4.020043388674487614e-03
9.729328718945193395e+04,7.753481836293481082e-03,4.789996355662342817e-03,8.238344026707701273e-01,4.573632750260833713e-02,4.595364943363090121e-02
5.644617269930908515e+04,1.038794375873644538e-02,7.515069955578394930e-04,7.930068734053602464e-01,1.699678970293402591e-01,1.720857357843913193e-01
2.042790512236933137e+04,1.335003828487884778e-02,9.465070157204900914e-04,7.590999277898970998e-01,1.570331092015500585e-01,1.559210884388577689e-01
6.611407799837503990e+04,1.312192443745392387e-02,2.559465969765304869e-03,1.953245505916706426e+00,1.156068283481054143e-01,1.152292233409784178e-01
7.990148029080682318e+04,1.255978377152667733e-02,3.987193455435062914e-03,1.778354722888495720e+00,1.030369179730548923e-01,1.050796895805472253e-01
6.517029709477363940e+04,1.935890469528082913e-02,3.272127424349372590e-03,6.789768500839599152e-01,4.929698660521105169e-01,4.936165690483123591e-01
9.255679343118124234e+04,1.264011639415731428e-02,1.992741352221536789e-03,1.976035235629184816e+00,1.699756009752095842e-01,1.706386643475858444e-01
1.356335889977825718e+04,1.599644206270547236e-02,3.185785207786362341e-03,1.524670331160260961e+00,5.450214701194219802e-02,5.398814064025473508e-02
5.757303369340195059e+04,1.001449655883572196e-02,4.090830843809317718e-03,1.683104535715358896e+00,3.213653367120803545e-02,3.048845850035238406e-02
5.134022945968633576e+04,1.616500507812052359e-02,4.646744275724680462e-03,1.604988184023066866e+00,1.591430334245291511e-01,1.593104981687518962e-01
1.561146212348880363e+04,1.621835935091001796e-02,1.122459188520447647e-03,1.751081504831096369e+00,1.114529316276841875e-01,1.115619457155057337e-01
6.771953522254375275e+04,1.504348060777125490e-02,4.293591873969476898e-03,1.534396135347972034e+00,1.846169041051417825e-01,1.833895520508972143e-01
8.673695546325910254e+04,1.631443623498154277e-02,3.415596514258332442e-03,1.158371757150684855e+00,4.222675533545366955e-01,4.215843266927561395e-01
6.336469162938556110e+04,1.358535043825727720e-02,2.913367354652971961e-03,1.088266862732383267e+00,2.128268069170862475e-01,2.127547632373590070e-01
3.340877029635009239e+04,1.783459362884075652e-02,2.483496344036876646e-03,1.229600061071788986e+00,2.731924669773478365e-01,2.722477153542870454e-01
8.558933689282678824e+04,1.748800902119859724e-02,2.798620296564282173e-03,1.373564874912637457e+00,4.861487923090355712e-01,4.860505223411833442e-01
5.585462933693584637e+04,6.445846608486838908e-03,2.564262595539511681e-03,1.119400000721728183e+00,1.268147376748499783e-02,1.277695679495445200e-02
5.597999960198796907e+04,1.172533681034214001e-02,3.518108138633232324e-03,5.452671555573690432e-01,1.915841903183718997e-01,1.916197765554273902e-01
7.777271869319600228e+04,6.810080965982747390e-03,4.604141330886487443e-03,7.319610754926950680e-01,2.588335576003650620e-02,2.537706410172219096e-02
2.331298322064608874e+04,1.925808558937560505e-02,1.565970204788253491e-03,1.179412956022272585e+00,3.204940215341942622e-01,3.210877696059800668e-01
8.376640472073492128e+04,1.152336794418558005e-02,5.092897215384575718e-04,1.695280957472370398e+00,1.658274514781243325e-01,1.667186184324066511e-01
7.149582154029313824e+04,8.301174771511750025e-03,6.159112120847905041e-04,1.079574810901416715e+00,9.297971752535112711e-02,9.330056582991769210e-02
8.083872473993209132e+04,1.756442812583852014e-02,4.602634818470304964e-03,1.795743092716431510e+00,3.151173658612692607e-01,3.142991356338789566e-01
2.724546331181217101e+04,6.308242393943434660e-03,4.679747147665228729e-03,1.875899050572667370e+00,3.417486732538195862e-03,4.149139016323636492e-03
8.221277450210769894e+04,7.311304229688328493e-03,4.438170503955986279e-03,6.214825717114447201e-01,4.287492634711413675e-02,4.237348632864708364e-02
2.721915334514802453e+04,1.518244905124305211e-02,3.121129050849467262e-03,1.584626476725355726e+00,8.264121633432058855e-02,8.352037695260856875e-02
1.733973556271614507e+04,1.261134984333236314e-02,3.133453528577823891e-03,1.929784606934641600e+00,2.492353497036584042e-02,2.385174755348839701e-02
8.697042768583631550e+04,9.009419994073713384e-03,2.317596241087892164e-03,9.472567109901963711e-01,9.271163362768174154e-02,9.362610083081052137e-02
8.751551465599016228e+04,1.364419653893268053e-02,2.020188609144556429e-03,1.168407638575355012e+00,3.133571733501822054e-01,3.133371098955667344e-01
8.888833867749224009e+04,8.110755107172974362e-03,4.699502877303678855e-03,1.191605452967020806e+00,3.315314313386871076e-02,3.190439424353429254e-02
5.247187474229111831e+04,9.638534163460214799e-03,2.886524266544079030e-03,1.173741198753083914e+00,4.564855001699701098e-02,4.533465054503016400e-02
3.466435497523464437e+04,1.416590921211342141e-02,1.738442102455232865e-03,1.741946487320998216e+00,1.089118679450103988e-01,1.089659702237819466e-01
1.063826457428496360e+04,1.824398232185267532e-02,3.457518724184815116e-03,1.881088216519269496e+00,5.623342192578838217e-02,5.650621326495283703e-02
6.811488060174530256e+04,1.554767409160865907e-02,9.124695616517257326e-04,1.756301268988188946e+00,3.131688375883010522e-01,3.121866494633600553e-01
7.479184451578237349e+04,1.464841676213344754e-02,3.576598452349769898e-03,6.931751072803307157e-01,3.657864660941979595e-01,3.646790930470327763e-01
8.520122948502466897e+04,1.619970705607528746e-02,1.725852582615973419e-03,1.839218570749450610e+00,3.839260702549643911e-01,3.841256547878114658e-01
3.536900446280879260e+04,1.067563670947825963e-02,3.623514622800895913e-03,1.530211276360506911e+00,2.887831359936668743e-02,2.841156398248688431e-02
2.936963504466762242e+04,1.971467090305809716e-02,2.668674918312781506e-03,1.904388703777647907e+00,2.106201426751362904e-01,2.108556482868665094e-01
6.753982420599290344e+04,1.416890270011900849e-02,4.375326003724099716e-03,1.089292635586045277e+00,2.076308673081175005e-01,2.083903868305958806e-01
8.245493498305087269e+04,8.863419132674087847e-03,3.904796221021733776e-03,9.585234212237655482e-01,5.906241881636463409e-02,5.741363145001368573e-02
9.673037855604737706e+04,5.539478717747816500e-03,4.924672204062965908e-03,1.009550944748955015e+00,1.098709703013163279e-02,1.124148514664925075e-02
2.354723473790597200e+04,6.676333779438382333e-03,3.113024388253910618e-03,1.072807782157808809e+00,6.232456334024746164e-03,7.457103301560478494e-03
5.339911493794028502e+04,7.977637274221859726e-03,4.217965781032157954e-03,1.825316635929896014e+00,1.242408938775640785e-02,1.212656254338593392e-02
9.052442759765560913e+04,1.601558958515261408e-02,3.464212066473295118e-03,1.226954890028961298e+00,3.991734617699712051e-01,3.983626471867336427e-01
4.804452162508935726e+04,1.721781746708921784e-02,3.815312841232624316e-03,9.321296019606454264e-01,3.561154374514743925e-01,3.568676812786539809e-01
6.305518558756433049e+04,1.888179267573162831e-02,4.529479967390498754e-03,1.656283095030373964e+00,3.416489233908611145e-01,3.419023699070692368e-01
1.220416097440268823e+04,1.464365352766353739e-02,1.908170334477446439e-03,5.733019662467404576e-01,1.209287701020673178e-01,1.218246531728448823e-01
7.061138984376451117e+04,9.459154849632660234e-03,4.082784187102856538e-03,1.021202982413123905e+00,5.697394269281080836e-02,5.662872698275953076e-02
9.271797576704403036e+04,1.758303634015232972e-02,4.670770492201770097e-03,1.686984263903112069e+00,3.771750188565664574e-01,3.756932005828442223e-01
8.441427966010489035e+04,1.930205254825701627e-02,4.950565003238803843e-03,1.412660552127281921e+00,5.090110962051954679e-01,5.089010854404841799e-01
8.969682400389520626e+04,1.545355760056374775e-02,1.156181219621823814e-03,1.044023624191625865e+00,3.032397095746645066e-01,3.027938814216532548e-01
6.943198424684710335e+04,6.085370599562101891e-03,1.765526818185505576e-03,9.131020840898634860e-01,2.055373853611354440e-02,2.132906235816111815e-02
3.209970405188598306e+04,1.116472965172954010e-02,2.411054929919696083e-03,6.375875588979840192e-01,9.900133949095137054e-02,9.919497233932852986e-02
7.916652990066289203e+04,8.734154447124470311e-03,2.213821267716246672e-03,5.366110748186729840e-01,1.298970278498134401e-01,1.282661786173783514e-01
2.905072683467594470e+04,1.908890767828956558e-02,4.718611112568889265e-03,8.011327946609733131e-01,3.200605851594490181e-01,3.188654220793458172e-01
8.481473511980150943e+04,1.716685086689107020e-02,6.130790782591268159e-04,1.233170221565108804e+00,1.226449729424491653e-01,1.235287619790364222e-01
1.564461303136914285e+04,6.048906681953191561e-03,4.534195924157310986e-03,1.185826807787422332e+00,2.835755179882146638e-03,3.515520197299993460e-03
8.429390320542002155e+04,1.414147895482791711e-02,8.818836616940992253e-04,1.293914310321088390e+00,2.911945197891253057e-01,2.905542764232167952e-01
2.480565398266911507e+04,1.977721374675766794e-02,4.718952640324420439e-03,5.374026496856421087e-01,4.433336274110451503e-01,4.433325786144778902e-01
4.376322968469776970e+04,1.285709190529700160e-02,4.645831962343570723e-03,1.157659318857162667e+00,8.165620786646721196e-02,8.210178142024339432e-02
3.850643499012678512e+04,1.834162016400022605e-02,2.670250186581496227e-03,1.605528526328816152e+00,2.563746438742079414e-01,2.568430482100552137e-01
7.222033317499671830e+04,1.718496015818928371e-02,1.283904108418983635e-03,1.624801870443187246e+00,4.235510226048457283e-01,4.244272648009601023e-01
2.607146903569347342e+04,1.207306098298999847e-02,1.361654218274117433e-03,1.336912902362450639e+00,7.009897671571060918e-02,7.035546234293217627e-02
4.566305459952878300e+04,1.163012594588322055e-02,1.667355365075561717e-03,1.557005457707909990e+00,8.180624089044344349e-02,8.171141255147494620e-02
1.052421355971828598e+04,7.424767816278156699e-03,4.320128035700102065e-03,5.142073535283502306e-01,7.119328559731334487e-03,6.860480494943489368e-03
3.362452414750913158e+04,1.031704355170015575e-02,2.933371357508621387e-03,1.004586644528324912e+00,4.167537095368761824e-02,4.273111375422086744e-02
4.790699328060597327e+04,7.870500134869744605e-03,4.436710742025878201e-03,1.268382161125934271e+00,1.447404281113965664e-02,1.222318853606111852e-02
1.953291130365920253e+04,1.768561375777666367e-02,3.895933924657887879e-03,1.881314326133211701e+00,7.771703453759733204e-02,7.757837921250598789e-02
6.698439514329019585e+04,1.405104906789831840e-02,4.854667463738110422e-03,8.861175925628177463e-01,2.273999333346961860e-01,2.274329334386802348e-01
4.423818428978791053e+04,1.904363407022702237e-02,3.476196212573650930e-03,9.387393502325984684e-01,4.696005584675906341e-01,4.681752095067204245e-01
7.527645442686149909e+04,1.115531326287687308e-02,1.265199690543572248e-03,1.160772103319145376e+00,1.836621679802467877e-01,1.839949815933848432e-01
6.884794099615549203e+04,1.552563981317799449e-02,2.961225461201242182e-03,1.527179332014399371e+00,2.621150086772111032e-01,2.614637276647677200e-01
4.881040738996656000e+04,1.749725279043932644e-02,3.826777317314403442e-03,1.367834977396910956e+00,2.673964242385609147e-01,2.682588690348766680e-01
8.805884550779793062e+04,5.193159205340379392e-03,2.110569939867710208e-03,1.626348095513767689e+00,7.351777726949684788e-03,7.226185642915357657e-03
6.689216057501503383e+04,9.842809153101381506e-03,4.998998608010582143e-03,9.145061859733915055e-01,6.195392010254032605e-02,6.262307334332978259e-02
8.292469168956691283e+04,1.154344687629934099e-02,1.477682436616889472e-03,1.703368792215834926e+00,1.496504155094140476e-01,1.508692591145852635e-01
4.076152515461017174e+04,1.892905166036872380e-02,4.669836809280035472e-03,1.865328870197138222e+00,1.852589124094904671e-01,1.856418419922039320e-01
5.893023607016100868e+04,1.805733285190211021e-02,2.704702061724081376e-03,1.309579817421639980e+00,4.358909964127171133e-01,4.350152752692942881e-01
2.766671966032780620e+04,6.267623641231731720e-03,4.301486658198507181e-03,9.045284054587099387e-01,5.729891494786481729e-03,4.215572863081842869e-03
9.965270711067650700e+04,1.933188675524025527e-02,2.897834160977866627e-03,1.767908224045178667e+00,5.879652788348435077e-01,5.897186629523598622e-01
3.188939178756944239e+04,1.440355713377238986e-02,2.977758413481746726e-03,1.437185587340140902e+00,9.115428124202676341e-02,9.104298904883924293e-02
3.311807205043925205e+04,6.079003611131261406e-03,3.682280757487993352e-03,1.794696716520852497e+00,3.892883000474722886e-03,3.204318052840401162e-03
1.658710651518693703e+04,1.535183373241465546e-02,2.858322769106145904e-03,1.132866535904977878e+00,7.760623482285897157e-02,7.775049191091980283e-02
3.320228070970629051e+04,1.783043945048534695e-02,2.518116002165746246e-03,1.492043608296242496e+00,2.210409236436403357e-01,2.208495123131576920e-01
7.868156792896479601e+04,8.882829248095778368e-03,1.034379384661757943e-03,5.488528206807083976e-01,1.659702120068486109e-01,1.668223542710612906e-01
7.281042136147731799e+04,9.839923358537318310e-03,3.527265737165327392e-03,8.818013302155679467e-01,8.708853833944028844e-02,8.712246652187738416e-02
2.158058910854524947e+04,9.165390349541051307e-03,4.820195364121968029e-03,9.593257132258601327e-01,1.439934153384590104e-02,1.441309111746432066e-02
4.386146512852847809e+04,1.553761096330164015e-02,4.741816442627911146e-03,1.883840610894376377e+00,9.548175710564123231e-02,9.476717738460826990e-02
4.788292551557166007e+04,1.577418756464028446e-02,7.113829699314317074e-04,1.530143430433103191e+00,2.709146596671083707e-01,2.713842277658558566e-01
6.984858217257646902e+04,1.661523845962198723e-02,2.465204719019964148e-03,5.691690950777243962e-01,3.473436430719681334e-01,3.463097763496131298e-01
5.103360667393740005e+04,1.881561697116263324e-02,3.180755690496488500e-03,1.337192268405283935e+00,4.030168715828370551e-01,4.036827610226010332e-01
6.278664941429782630e+04,7.727423728834441341e-03,9.443624860066099792e-04,1.152328379912574530e+00,5.093871081740256740e-02,5.246264833039269992e-02
8.557161432480481744e+04,1.562371897633188164e-02,3.697848257746782358e-03,1.642984759055300170e+00,2.754781540706371934e-01,2.739534680325380611e-01
7.538262492811333505e+04,1.468554483969941246e-02,2.450133514942602186e-03,8.203317176948923262e-01,3.802148387286083397e-01,3.777486094972570263e-01
4.285065371577030601e+04,8.939316234755478180e-03,1.084227183469939002e-03,1.000672377666523838e+00,6.054258538409785367e-02,6.115946413925217595e-02
5.035566784100358200e+04,1.962962722288894707e-02,1.456915125938098091e-03,7.555627277616172588e-01,3.776099336405627782e-01,3.801578314560459249e-01
4.309296127210059785e+04,1.215440337752897101e-02,5.825434878658068173e-04,1.653566291605540695e+00,1.307184130616238782e-01,1.297174882127519746e-01
1.987611976060270536e+04,1.923241213538327138e-02,1.535482440913827273e-03,1.169167045627231172e+00,2.818937295806622223e-01,2.806430338218602327e-01
2.829173896786569094e+04,1.957660689655493433e-02,3.652367657727811131e-03,8.253546797690480830e-01,3.807221109616538146e-01,3.813110798954342795e-01
3.554258400497179537e+04,1.850072143757945653e-02,2.720235844152688390e-03,1.149564524805610777e+00,3.355583832852982451e-01,3.347176616952399208e-01
3.827205060420719383e+04,1.189228039970139858e-02,1.552029340820381808e-03,1.224531286864787294e+00,9.830030387326398056e-02,9.779427838932724937e-02
3.817430729379439435e+04,9.196651852212829950e-03,1.637387508747745885e-03,1.833330508844498663e+00,2.547963779284018182e-02,2.513152032615640491e-02
6.190297446276568371e+04,1.378642909033039876e-02,2.629949917658338555e-03,8.654490418988822764e-01,2.785620959408990349e-01,2.790940980271908178e-01
9.745209780577791389e+04,1.174303749428958106e-02,3.799832270404942744e-03,6.021019846729910308e-01,2.516381161694066781e-01,2.512328138080135442e-01
7.971977214313588047e+04,1.202302372766858064e-02,4.902682968680117243e-03,8.721025920769018835e-01,1.605268007492773041e-01,1.608046835893574555e-01
8.120205533555247530e+04,8.661220155528934206e-03,2.744304216034219954e-03,5.842817560395605625e-01,1.075277679549728471e-01,1.073512346960792674e-01
7.833416504856219399e+04,1.763379613103424962e-02,2.494730396986069142e-03,5.633198955381335526e-01,2.310487607478213801e-01,2.302040896441697737e-01
6.372889574713807815e+04,1.596086139855922015e-02,2.206179635045673118e-03,1.014682664089699538e+00,4.055766516570858404e-01,4.052568253993426017e-01
9.259230314538214589e+04,1.797964396819810157e-02,4.196932653242656588e-03,1.604141282152015124e+00,4.404512067982980228e-01,4.395008071331301114e-01
7.206671399023728736e+04,1.297308238877791647e-02,3.092669774029428373e-03,1.648653886392471790e+00,1.310144350333346253e-01,1.310209500192043852e-01
5.503207876631838735e+04,6.389955974616251533e-03,4.621143164436803882e-03,1.821034577139109878e+00,6.026646251600503539e-03,4.902780024034866790e-03
1.693754276504848895e+04,1.793463409288471866e-02,2.966957514665568511e-03,1.754724477452903608e+00,9.090460741898052921e-02,8.981171304968528502e-02
5.396043043769714859e+04,6.038768024129184675e-03,1.395136627874401722e-03,1.848528001252806918e+00,8.824584222049777771e-03,1.028154603735503304e-02
2.915478958063009122e+04,7.317740142200499301e-03,9.730188349829720605e-04,7.928667017238304471e-01,2.652588649532606341e-02,2.647270227502072221e-02
2.194266677921085284e+04,1.916180195037478148e-02,2.921187560457996855e-03,7.700145639429528677e-01,3.323657768216791153e-01,3.323118747962070518e-01
5.554584302764356835e+04,1.342257161389599773e-02,1.357992147319228354e-03,5.297448621050899753e-01,2.955542260089114581e-01,2.960657624288290934e-01
8.065767633372631099e+04,1.512496115549586198e-02,3.643397123010220541e-03,1.111820797887461687e+00,3.262611841924189515e-01,3.258403271898701048e-01
3.655057985249675403e+04,1.731489000781734691e-02,4.023526753712078352e-03,1.207189350036485420e+00,2.078220144000291758e-01,2.075934790325510149e-01
7.918945839182498457e+04,1.496835703527680042e-02,3.998304776162855609e-03,7.592223712241569222e-01,3.701142759331393917e-01,3.705394246684712845e-01
5.730665708460286987e+04,1.165956932131597887e-02,2.328077151404483146e-03,1.962723611451613559e+00,6.708092449184903383e-02,6.736334033409344113e-02
2.341432210336413118e+04,1.314499126918712915e-02,2.978805941918871193e-03,1.075721172605785814e+00,6.357065744691767217e-02,6.241136071998524409e-02
9.684709695817621832e+04,1.097725690508403670e-02,1.519995022951171676e-03,1.075425750877653908e+00,2.137853853792200109e-01,2.146187279758896838e-01
4.614726014996657614e+04,1.365785637455883827e-02,2.835170665496821417e-03,1.089626305545431162e+00,1.572549432970607730e-01,1.566645083537717420e-01
3.657108300964262162e+04,5.033105460649583106e-03,4.177658651925516935e-03,7.509418154142212254e-01,4.199568659931958783e-03,3.143489709617772708e-03
8.622985335703566670e+04,1.262399144310113325e-02,3.376448619368567494e-03,1.389181243322844095e+00,1.647576967075352894e-01,1.638572216375362434e-01
2.120142992639318254e+04,5.357326738936130962e-03,3.502223266422726383e-03,6.765957038471410723e-01,3.845877712273502915e-03,3.455332367918180058e-03
7.602314149663331045e+04,6.645079232359634921e-03,4.802622660315817096e-03,1.920934317503321553e+00,8.501737121694769375e-03,1.012903737631783672e-02
2.690422683089214843e+04,1.769552411911449324e-02,1.790436831793610186e-03,1.209081734197656521e+00,2.570748020742363860e-01,2.558992661693156312e-01
4.532425984113242157e+04,1.489079175958170700e-02,3.423068329626626806e-03,1.392384469772874001e+00,1.442240431526611855e-01,1.443841190451955192e-01
3.087098906159245962e+04,7.732518062429525815e-03,4.480945391507926839e-03,1.038766352860233777e+00,1.081543030987776322e-02,8.677605951787185218e-03
8.571051934231481573e+04,1.620803787877744470e-02,1.994857078533395986e-03,1.003573050764682506e+00,4.318249613604471793e-01,4.318233944273019986e-01
4.510670967458755331e+04,1.213674904381763925e-02,7.270220612441228572e-04,1.977924809666021799e+00,1.138577295823738483e-01,1.147572959998498510e-01
9.772235315940603323e+04,7.022694139596934171e-03,1.826671045540366163e-03,6.678170505721328087e-01,7.094323642056360457e-02,7.070657309850214567e-02
6.627353359735960839e+04,1.894528542714548139e-02,1.804256937414766646e-03,7.071894234146549607e-01,2.920257572613475516e-01,2.913964023374642220e-01
7.242605512326236931e+04,6.692076477281025393e-03,1.792590669295062887e-03,1.295114703992880756e+00,2.067531530609318519e-02,2.090682637015172166e-02
5.693726099191758112e+04,5.296142870274380549e-03,2.864238821484351750e-03,7.877766514548866228e-01,8.689936221036909797e-03,9.390087972187559709e-03
3.780713791680319991e+04,8.849025926848925680e-03,3.030658750061229582e-03,5.098875661455719577e-01,5.593865943801207968e-02,5.660231700902948471e-02
4.560007789471858268e+04,6.302898603863502959e-03,2.233167091533030599e-03,1.424300806859967850e+00,8.343504729045660498e-03,1.031597858297545259e-02
9.468407688957115170e+04,5.250821878723535910e-03,1.948989135576292744e-03,5.048273992394809451e-01,3.092120088295850430e-02,3.113036835529478172e-02
2.810828806521980368e+04,1.479862814696331422e-02,2.856237330750377359e-03,1.450010462379760945e+00,8.982242619722680121e-02,8.923001609747387153e-02
9.893970110981909966e+04,6.979432084869376107e-03,3.785278569342739614e-03,9.604832027213396906e-01,3.106675789583498992e-02,3.094077870584834716e-02
7.824752758034366707e+04,1.345819766092981942e-02,6.462044861340783541e-04,1.424306785297887012e+00,2.341803169333596946e-01,2.341078183877398911e-01
4.238082338433492259e+04,8.638847437566300747e-03,4.215807983696659954e-03,1.365663055528274272e+00,1.691667501027741341e-02,1.702541239375553184e-02
6.773622305550429155e+04,1.910975203651264775e-02,1.095954308210620766e-03,1.889661294194057373e+00,4.537581504280832623e-01,4.537281226148538460e-01
4.428833853637787979e+04,8.237839824422088161e-03,4.578810598289686021e-03,8.680901353764560735e-01,2.255891541966474623e-02,2.273288135856094822e-02
4.433436393759280327e+04,1.280982089512357376e-02,2.717030629417875945e-03,1.886013338669262129e+00,6.766372836075942865e-02,6.599287830014431699e-02
5.534226551750766521e+04,1.602480886957484765e-02,3.039148581780783901e-03,1.300775130757792386e+00,2.689201735105519186e-01,2.697498024665919703e-01
1.150505394718393654e+04,9.666948779442133960e-03,4.913708529439165390e-03,5.000237675279122218e-01,1.713471786963772711e-02,1.655997860071669464e-02
5.442144039490565774e+04,1.747609085079492031e-02,4.537482217418627173e-03,1.097887884020734006e+00,3.323779599550463204e-01,3.312048012585993018e-01
9.744385721021992504e+04,9.709684281971137088e-03,2.502893529439983566e-03,5.866899287043403355e-01,1.833150721414513740e-01,1.839528233010928049e-01
3.569187059070206305e+04,1.081790095661153833e-02,1.410274964169009595e-03,1.544027351115580649e+00,5.485231349337637424e-02,5.616963950076245271e-02
7.733961631689508795e+04,1.145582423791607560e-02,3.180874735754165260e-03,1.571628852902077655e+00,9.312540758915226202e-02,9.361843573865170909e-02
4.985100010634455248e+04,1.128341182897707809e-02,6.808307544498811478e-04,9.512214489884645019e-01,1.716526843958177118e-01,1.718138437096632387e-01
2.883529383560069255e+04,1.411915481615621734e-02,8.018287041638854935e-04,8.582620518173965651e-01,2.232902187920837445e-01,2.223579984867117831e-01
9.145023137363165733e+04,8.393684173997462486e-03,1.518323977731252539e-03,1.151841696080910360e+00,8.011241434174755371e-02,8.298398167956105853e-02
1.151445562121916919e+04,9.938211656644449499e-03,2.379875816589961494e-03,1.412749542785280976e+00,1.212471597908861345e-02,1.300497459975012184e-02
3.731580339395596093e+04,8.434580469762722327e-03,3.621673032923559445e-03,6.963000317426708552e-01,2.928282836934497160e-02,2.814353369900199700e-02
9.991232940915437939e+04,9.154178727753373851e-03,9.451065934661174225e-04,8.645234522082605455e-01,1.677614283556300712e-01,1.669817904393903207e-01
3.359321165709905472e+04,1.644173489246008105e-02,4.346842152933219974e-03,1.760534836505095013e+00,9.968935776527050596e-02,9.977633701384240605e-02
8.641400696733448422e+04,1.443900130732802406e-02,2.523999627219684905e-03,1.244713132792907961e+00,3.246965394338343081e-01,3.231418083018383069e-01
6.451148337901338527e+04,1.944183953636051745e-02,1.372630290767578969e-03,9.378762046241639894e-01,3.429200113095662861e-01,3.430886417165768254e-01
8.254321367744111922e+04,1.925195060940572411e-02,4.390021368944780136e-03,5.406021930188344982e-01,2.868670063379475388e-01,2.864079347822347521e-01
6.672859798991304706e+04,8.076281703617587196e-03,3.608955015409757733e-03,8.818863607121032455e-01,3.773154661697211004e-02,3.895781721728832497e-02
4.264271713520635240e+04,8.149190539417183396e-03,4.369289085190103394e-03,1.452252426569976995e+00,1.302022891695140717e-02,1.398238358057965480e-02
