t,v,a_int,T_oil,dv_dt,dv_dt_noisy
3.800760152030405875e-02,1.631654040398769767e-01,7.756605497007295069e-01,2.930007131275172583e+02,3.835860496074381842e+00,3.791246793902892431e+00
4.000800160032006586e-02,1.708035188060779974e-01,8.097320319757795870e-01,2.930008239442715308e+02,3.800909008088997787e+00,3.842982256707505151e+00
4.200840168033606603e-02,1.783727388819182358e-01,8.432778240231564304e-01,2.930009450359377752e+02,3.766955671018137775e+00,3.776357425367172116e+00
4.400880176035207314e-02,1.858749791090257841e-01,8.763099371735226795e-01,2.930010767555579037e+02,3.733927658855620724e+00,3.750456209262387208e+00
4.600920184036807331e-02,1.933120227485982945e-01,9.088396893452481695e-01,2.930012194464878803e+02,3.701760503242268019e+00,3.722285698890781092e+00
4.800960192038407348e-02,2.006855269042565060e-01,9.408777324777288786e-01,2.930013734422952325e+02,3.670396910977659743e+00,3.619859035969993144e+00
5.001000200040008059e-02,2.079970443103964506e-01,9.724341643088073583e-01,2.930015390675741855e+02,3.639785709474537168e+00,3.678944759281741028e+00
5.201040208041608076e-02,2.152480404000447212e-01,1.003518616134758901e+00,2.930017166383989888e+02,3.609880978824374864e+00,3.712716119741493515e+00
5.401080216043208787e-02,2.224398933048587490e-01,1.034140252810291649e+00,2.930019064623234044e+02,3.580641390286312120e+00,3.498719265124536015e+00
5.601120224044808804e-02,2.295738938551264430e-01,1.064307772748546821e+00,2.930021088383812184e+02,3.552029648389366301e+00,3.465559075031642067e+00
5.801160232046409515e-02,2.366512572194616193e-01,1.094029467858226079e+00,2.930023240574842589e+02,3.524011968983607801e+00,3.448770398290391892e+00
6.001200240048009532e-02,2.436731424916313005e-01,1.123313323870566593e+00,2.930025524029322810e+02,3.496557597198937550e+00,3.538630541871637725e+00
6.201240248049610243e-02,2.506406435493634954e-01,1.152166973310587039e+00,2.930027941502368662e+02,3.469638506576417480e+00,3.476074289450120869e+00
6.401280256051210260e-02,2.575548069160917830e-01,1.180597787853964853e+00,2.930030495679084197e+02,3.443229032802850309e+00,3.497146154839815058e+00
6.601320264052810971e-02,2.644166321805303532e-01,1.208612880492080155e+00,2.930033189174726544e+02,3.417305622454799074e+00,3.453427166070174081e+00
6.801360272054410294e-02,2.712270719966741184e-01,1.236219105532015305e+00,2.930036024534703074e+02,3.391846616934121705e+00,3.402375207552885694e+00
7.001400280056011005e-02,2.779870321327984617e-01,1.263423058850201786e+00,2.930039004234601521e+02,3.366832064482386144e+00,3.381033971744904498e+00
7.201440288057611716e-02,2.846973822849357960e-01,1.290231133561598131e+00,2.930042130686138080e+02,3.342243513211061945e+00,3.333755488324904981e+00
7.401480296059212427e-02,2.913589565792243374e-01,1.316649521799503342e+00,2.930045406236181407e+02,3.318063867459107197e+00,3.361486878019682933e+00
7.601520304060811750e-02,2.979725550284814117e-01,1.342684222959919182e+00,2.930048833169225304e+02,3.294277257319030650e+00,3.237791459229992785e+00
7.801560312062412461e-02,3.045389501003114008e-01,1.368341077909346337e+00,2.930052413711750887e+02,3.270868903285590878e+00,3.249775961976674843e+00
8.001600320064013172e-02,3.110588867171051874e-01,1.393625768984785074e+00,2.930056150032228857e+02,3.247825020320984635e+00,3.259971962975921400e+00
8.201640328065612495e-02,3.175330822560405442e-01,1.418543819993734578e+00,2.930060044241119499e+02,3.225132732901186738e+00,3.315203775823653221e+00
8.401680336067213206e-02,3.239622265490820774e-01,1.443100596214193621e+00,2.930064098390871550e+02,3.202779999596976790e+00,3.164556793810956670e+00
8.601720344068813917e-02,3.303469863123083550e-01,1.467301327254090015e+00,2.930068314479802325e+02,3.180755528896735740e+00,3.126802505939888732e+00
8.801760352070414628e-02,3.366880079309740870e-01,1.491151120518890982e+00,2.930072694453721169e+02,3.159048709311371272e+00,3.130884349386169330e+00
9.001800360072013951e-02,3.429859150664246736e-01,1.514654949488102087e+00,2.930077240204585678e+02,3.137649565354962977e+00,3.186113175411871001e+00
9.201840368073614662e-02,3.492413139832521995e-01,1.537817681888539179e+00,2.930081953575863167e+02,3.116548689418818352e+00,3.104798414074227075e+00
9.401880376075215373e-02,3.554547935775986267e-01,1.560644079842141263e+00,2.930086836362556824e+02,3.095737199254875449e+00,3.161954550216723447e+00
9.601920384076814696e-02,3.616269253771559056e-01,1.583138799865971169e+00,2.930091890311206839e+02,3.075206699802710553e+00,2.981580223922409179e+00
9.801960392078415407e-02,3.677582635411659195e-01,1.605306392872215993e+00,2.930097117119888708e+02,3.054949248762145242e+00,3.111375405857168985e+00
1.000200040008001612e-01,3.738493452394063277e-01,1.627151306155300681e+00,2.930102518438723109e+02,3.034957324057111272e+00,3.086700636053588021e+00
1.020204040808161683e-01,3.799006952055602460e-01,1.648677906660324322e+00,2.930108095875722825e+02,3.015223778760751205e+00,2.944290494270676906e+00
1.040208041608321615e-01,3.859128224604991275e-01,1.669890463244486423e+00,2.930113850992172502e+02,2.995741828305225951e+00,3.003420922632023871e+00
1.060212042408481686e-01,3.918862232151079650e-01,1.690793163057936255e+00,2.930119785307139182e+02,2.976505016163606854e+00,3.037292897923333790e+00
1.080216043208641757e-01,3.978213820422917824e-01,1.711390117828107238e+00,2.930125900299119053e+02,2.957507188561502964e+00,2.961903140676978907e+00
1.100220044008801829e-01,4.037187718769759681e-01,1.731685363859717830e+00,2.930132197406037449e+02,2.938742475507568841e+00,2.988727546615157937e+00
1.120224044808961761e-01,4.095788540161062752e-01,1.751682862034771526e+00,2.930138678025247145e+02,2.920205273475831476e+00,3.038949619141688707e+00
1.140228045609121832e-01,4.154020781186486544e-01,1.771386497812556193e+00,2.930145343513530634e+02,2.901890229573373059e+00,2.915586842302989368e+00
1.160232046409281903e-01,4.211888825341545406e-01,1.790800082978494245e+00,2.930152195187724828e+02,2.883792225825755562e+00,2.869773110128608806e+00
1.180236047209441835e-01,4.269396971311559819e-01,1.809927370024577264e+00,2.930159234330043319e+02,2.865906355626227864e+00,2.827353747635251491e+00
1.200240048009601906e-01,4.326549407702653949e-01,1.828772038236518460e+00,2.930166462183240697e+02,2.848227921147771013e+00,2.880631151224995357e+00
1.220244048809761978e-01,4.383350234501944831e-01,1.847337706331614093e+00,2.930173879954862173e+02,2.830752413864958683e+00,2.820915910547072691e+00
1.240248049609922049e-01,4.439803469574486461e-01,1.865627936038611212e+00,2.930181488818493563e+02,2.813475501902455544e+00,2.804538183362752068e+00
1.260252050410081981e-01,4.495913048663269795e-01,1.883646232097708539e+00,2.930189289913762423e+02,2.796393020636144477e+00,2.791130031715392867e+00
1.280256051210242052e-01,4.551682825389223308e-01,1.901396042260555586e+00,2.930197284346337483e+02,2.779500964019555376e+00,2.811994446648830248e+00
1.300260052010402123e-01,4.607116571251210213e-01,1.918880757290253314e+00,2.930205473187929783e+02,2.762795476570725661e+00,2.709478495962479805e+00
1.320264052810562194e-01,4.662217975768149780e-01,1.936103711040149999e+00,2.930213857476327917e+02,2.746272845908404925e+00,2.669779021374877104e+00
1.340268053610722265e-01,4.716990662948587487e-01,1.953068189153467804e+00,2.930222438219719265e+02,2.729929489901715467e+00,2.608235655044268686e+00
1.360272054410882059e-01,4.771438182419873719e-01,1.969777423180471887e+00,2.930231216394626017e+02,2.713761953940220906e+00,2.773695498909724666e+00
1.380276055211042130e-01,4.825564012485896725e-01,1.986234593413053418e+00,2.930240192946473030e+02,2.697766903579140063e+00,2.701456571558303210e+00
1.400280056011202201e-01,4.879371570922916845e-01,2.002442835155493039e+00,2.930249368792306086e+02,2.681941115007989040e+00,2.757447085664106456e+00
1.420284056811362272e-01,4.932864214979571504e-01,2.018405238724460649e+00,2.930258744820791321e+02,2.666281470009435939e+00,2.665833655103916122e+00
1.440288057611522343e-01,4.986045241376872994e-01,2.034124849449016725e+00,2.930268321892215226e+02,2.650784951267429523e+00,2.613677178507470611e+00
1.460292058411682414e-01,5.038917886308209582e-01,2.049604667670610336e+00,2.930278100838485216e+02,2.635448637996571364e+00,2.659345102936554017e+00
1.480296059211842485e-01,5.091485325439345511e-01,2.064847648743080910e+00,2.930288082463128490e+02,2.620269701867297130e+00,2.616440281220437480e+00
1.500300060012002279e-01,5.143750675805548456e-01,2.079856704104071419e+00,2.930298267541933228e+02,2.605245402500640850e+00,2.542536069401959420e+00
1.520304060812162350e-01,5.195717007944256061e-01,2.094634707437215582e+00,2.930308656827387495e+02,2.590373079637336318e+00,2.546119750564797890e+00
1.540308061612322421e-01,5.247387331559708601e-01,2.109184486206900466e+00,2.930319251044048769e+02,2.575650155259177509e+00,2.663989121133406801e+00
1.560312062412482492e-01,5.298764607286829964e-01,2.123508829483788940e+00,2.930330050891916471e+02,2.561074125783079580e+00,2.578791655549256046e+00
1.580316063212642563e-01,5.349851749510267096e-01,2.137610489640191958e+00,2.930341057047335198e+02,2.546642558104631249e+00,2.567461884856140131e+00
1.600320064012802634e-01,5.400651626364383340e-01,2.151492182350068116e+00,2.930352270162990180e+02,2.532353086899712835e+00,2.518525500983662457e+00
1.620324064812962706e-01,5.451167059733267317e-01,2.165156586589024545e+00,2.930363690867908417e+02,2.518203412094052851e+00,2.483717433905748173e+00
1.640328065613122499e-01,5.501400825250726268e-01,2.178606344634316905e+00,2.930375319767461519e+02,2.504191296488684770e+00,2.548774087267231536e+00
1.660332066413282570e-01,5.551355652300288268e-01,2.191844062064848497e+00,2.930387157443362298e+02,2.490314563530199532e+00,2.485083240896515111e+00
1.680336067213442641e-01,5.601034225533562116e-01,2.204872308657552349e+00,2.930399204454305959e+02,2.476571094646207616e+00,2.438615689058811320e+00
1.700340068013602712e-01,5.650439193135629035e-01,2.217693622596185854e+00,2.930411461340008259e+02,2.462958824381405787e+00,2.456252398413928173e+00
1.720344068813762783e-01,5.699573155714061645e-01,2.230310503599163052e+00,2.930423928616770581e+02,2.449475742812301515e+00,2.404195441976183734e+00
1.740348069613922855e-01,5.748438675530977982e-01,2.242725419484420168e+00,2.930436606780486954e+02,2.436119890011436695e+00,2.445622181940992235e+00
1.760352070414082926e-01,5.797038278453712223e-01,2.254940807411625947e+00,2.930449496307392110e+02,2.422889353657267097e+00,2.479350735160719132e+00
1.780356071214242719e-01,5.845374453954808036e-01,2.266959073882179432e+00,2.930462597654063757e+02,2.409782267496501262e+00,2.367978009189338984e+00
1.800360072014402790e-01,5.893449655112027452e-01,2.278782594739210410e+00,2.930475911257421444e+02,2.396796809893473768e+00,2.468224010152012760e+00
1.820364072814562861e-01,5.941266298608345320e-01,2.290413715167581188e+00,2.930489437534726562e+02,2.383931202460889853e+00,2.350550205027817086e+00
1.840368073614722932e-01,5.988826764731949304e-01,2.301854749693883040e+00,2.930503176883584047e+02,2.371183708766706921e+00,2.378854316902903943e+00
1.860372074414883004e-01,6.036133397542152723e-01,2.313107982292690767e+00,2.930517129682020823e+02,2.358552633047952707e+00,2.316733306782743362e+00
1.880376075215043075e-01,6.083188511306150126e-01,2.324175670101989777e+00,2.930531296292099341e+02,2.346036316682920564e+00,2.334924558365203850e+00
1.900380076015203146e-01,6.129994383776654621e-01,2.335060038406476579e+00,2.930545677057433522e+02,2.333633139922281607e+00,2.336003360546988095e+00
1.920384076815362939e-01,6.176553259566429643e-01,2.345763283797200227e+00,2.930560272303719671e+02,2.321341519249263019e+00,2.299607271940591779e+00
1.940388077615523010e-01,6.222867353965771953e-01,2.356287576817755358e+00,2.930575082340381528e+02,2.309159904865913937e+00,2.274015510087288749e+00
1.960392078415683081e-01,6.268938852942513851e-01,2.366635061964281306e+00,2.930590107460573108e+02,2.297086779771807752e+00,2.263192470238624576e+00
1.980396079215843153e-01,6.314769913142022073e-01,2.376807857685462544e+00,2.930605347941173022e+02,2.285120658890668732e+00,2.244062661428125605e+00
2.000400080016003224e-01,6.360362661887200009e-01,2.386808056382529131e+00,2.930620804042790724e+02,2.273260088242082588e+00,2.194756088595861243e+00
2.020404080816163295e-01,6.405719197178482149e-01,2.396637724409254488e+00,2.930636476009760827e+02,2.261503644155632653e+00,2.248355163601759799e+00
2.040408081616323366e-01,6.450841587693840751e-01,2.406298902071958512e+00,2.930652364070147655e+02,2.249849932524992546e+00,2.269907843005499526e+00
2.060412082416483437e-01,6.495731874120111993e-01,2.415793604501972336e+00,2.930668468436546164e+02,2.238297587579661130e+00,2.283717683834298739e+00
2.080416083216643230e-01,6.540392072670332402e-01,2.425123823318880323e+00,2.930684789309148641e+02,2.226845270031683643e+00,2.259200406458989008e+00
2.100420084016803302e-01,6.584824168318569315e-01,2.434291522102044691e+00,2.930701326871813990e+02,2.215491669108344830e+00,2.338358495225465905e+00
2.120424084816963373e-01,6.629030121209884552e-01,2.443298641495522006e+00,2.930718081294602939e+02,2.204235499171373291e+00,2.220169580925265507e+00
2.140428085617123444e-01,6.673011867420659549e-01,2.452147099755080273e+00,2.930735052734165151e+02,2.193075498830316050e+00,2.170258804133715191e+00
2.160432086417283515e-01,6.716771318958588699e-01,2.460838792748199388e+00,2.930752241333738652e+02,2.182010430395332712e+00,2.275592162246136141e+00
2.180436087217443586e-01,6.760310363762687125e-01,2.469375593954067583e+00,2.930769647223149832e+02,2.171039079356208212e+00,2.118678174676503989e+00
2.200440088017603657e-01,6.803630865703287345e-01,2.477759354463586305e+00,2.930787270518815717e+02,2.160160253886187043e+00,2.208584134362297835e+00
2.220444088817763451e-01,6.846734664582037055e-01,2.485991902979365786e+00,2.930805111323739993e+02,2.149372784369290024e+00,2.101615545883055880e+00
2.240448089617923522e-01,6.889623576131903571e-01,2.494075045815727698e+00,2.930823169727517552e+02,2.138675522949839980e+00,2.156381105829915157e+00
2.260452090418083593e-01,6.932299393472293181e-01,2.502010567903444116e+00,2.930841445807344030e+02,2.128067342520893135e+00,2.029647504908999700e+00
2.280456091218243664e-01,6.974763888783162002e-01,2.509800233302250216e+00,2.930859939630384474e+02,2.117547135837932082e+00,2.162510821220462454e+00
2.300460092018403735e-01,7.017018808454510426e-01,2.517445781923841164e+00,2.930878651250258713e+02,2.107113817047681525e+00,2.099201436284103384e+00
2.320464092818563806e-01,7.059065878475945244e-01,2.524948934016939095e+00,2.930897580709387285e+02,2.096766318931543083e+00,2.048382245345332642e+00
2.340468093618723877e-01,7.100906804791894400e-01,2.532311390437824272e+00,2.930916728039190957e+02,2.086503592401617535e+00,2.170424544339725426e+00
2.360472094418883671e-01,7.142543273301615869e-01,2.539534832650336416e+00,2.930936093260091297e+02,2.076324606162320840e+00,2.114592340350626820e+00
2.380476095219043742e-01,7.183976949859195438e-01,2.546620922725876479e+00,2.930955676381510102e+02,2.066228346387108950e+00,2.068518738176077676e+00
2.400480096019203813e-01,7.225209480273543372e-01,2.553571303343403098e+00,2.930975477401870535e+02,2.056213816409558248e+00,2.018941646970052073e+00
2.420484096819363884e-01,7.266242490308396640e-01,2.560387597789435254e+00,2.930995496308595989e+02,2.046280036428088422e+00,2.044111906920000887e+00
2.440488097619523955e-01,7.307077585682321130e-01,2.567071409958052275e+00,2.931015733078110657e+02,2.036426043223655391e+00,2.028229605075895670e+00
2.460492098419684026e-01,7.347716352682699403e-01,2.573624324812230579e+00,2.931036187676291433e+02,2.026650889633310193e+00,2.062889714310364830e+00
2.480496099219844097e-01,7.388160360600847243e-01,2.580047909768176329e+00,2.931056860061275984e+02,2.016953643407873198e+00,2.056857402465862794e+00
2.500500100020003891e-01,7.428411156690223338e-01,2.586343710709441801e+00,2.931077750180214139e+02,2.007333389130044665e+00,1.973945570141907968e+00
2.520504100820163962e-01,7.468470270530982447e-01,2.592513255988298848e+00,2.931098857970828249e+02,1.997789225939500923e+00,1.970320697901648321e+00
2.540508101620324033e-01,7.508339214821775354e-01,2.598558057077210215e+00,2.931120183361869636e+02,1.988320266959494376e+00,1.961717000570563751e+00
2.560512102420484104e-01,7.548019485379741100e-01,2.604479608568829097e+00,2.931141726273118024e+02,1.978925639080652221e+00,1.911459776767757024e+00
2.580516103220644175e-01,7.587512561140512535e-01,2.610279388176000470e+00,2.931163486615379838e+02,1.969604482753835484e+00,1.940025738609274741e+00
2.600520104020804246e-01,7.626819904158215202e-01,2.615958856731759763e+00,2.931185464290491041e+02,1.960355951791655116e+00,1.955735548531335466e+00
2.620524104820964317e-01,7.665942959605466234e-01,2.621519458189333740e+00,2.931207659191314860e+02,1.951179213178248828e+00,1.985726810408530829e+00
2.640528105621124388e-01,7.704883155773374348e-01,2.626962619622139616e+00,2.931230071201741794e+02,1.942073446886934729e+00,2.008092421355273771e+00
2.660532106421284460e-01,7.743641904071540960e-01,2.632289751223785501e+00,2.931252700196690739e+02,1.933037845705387170e+00,1.892620551827420616e+00
2.680536107221444531e-01,7.782220601094999024e-01,2.637502247869229155e+00,2.931275546043985401e+02,1.924071614202556901e+00,1.951620440796622002e+00
2.700540108021604602e-01,7.820620626385510477e-01,2.642601486741729122e+00,2.931298608604214451e+02,1.915173969708523050e+00,1.892951128423245866e+00
2.720544108821764118e-01,7.858843342325531056e-01,2.647588827759331576e+00,2.931321887729236551e+02,1.906344142053699731e+00,2.010103530869469246e+00
2.740548109621924189e-01,7.896890096960035299e-01,2.652465616106010060e+00,2.931345383263638382e+02,1.897581372120316301e+00,1.895145194889031215e+00
2.760552110422084260e-01,7.934762223996519870e-01,2.657233182231676150e+00,2.931369095044731807e+02,1.888884911700503100e+00,1.913991260220933910e+00
2.780556111222244331e-01,7.972461042805013554e-01,2.661892841852179892e+00,2.931393022902555572e+02,1.880254023360015347e+00,1.833445915703123763e+00
2.800560112022404402e-01,8.009987858418070594e-01,2.666445895949308920e+00,2.931417166659875306e+02,1.871687980307377375e+00,1.831153507092405208e+00
2.820564112822564473e-01,8.047343961530775136e-01,2.670893630770790228e+00,2.931441526132182389e+02,1.863186066268183838e+00,1.873270831311715678e+00
2.840568113622724544e-01,8.084530628500740113e-01,2.675237317830287509e+00,2.931466101127696220e+02,1.854747575364360967e+00,1.835544852839554597e+00
2.860572114422884615e-01,8.121549121348103917e-01,2.679478213907403816e+00,2.931490891447360241e+02,1.846371811998164469e+00,1.864036241626691570e+00
2.880576115223044686e-01,8.158400687847633392e-01,2.683617561127487061e+00,2.931515896884916401e+02,1.838058090699092650e+00,1.759966884734805559e+00
2.900580116023204758e-01,8.195086563604321306e-01,2.687656588545701997e+00,2.931541117229182305e+02,1.829805735142501666e+00,1.862905983649948638e+00
2.920584116823364829e-01,8.231607968433600764e-01,2.691596508680932143e+00,2.931566552262416963e+02,1.821614079780417006e+00,1.776640061891430422e+00
2.940588117623524900e-01,8.267966108466551223e-01,2.695438519843289971e+00,2.931592201760246894e+02,1.813482468641522294e+00,1.899603638459837152e+00
2.960592118423684971e-01,8.304162177581269066e-01,2.699183807465423524e+00,2.931618065492440905e+02,1.805410254562012540e+00,1.790986892458613866e+00
2.980596119223845042e-01,8.340197357402872047e-01,2.702833544102513752e+00,2.931644143222913499e+02,1.797396799093963216e+00,1.852260050938261404e+00
3.000600120024004558e-01,8.376072817303492624e-01,2.706388889432278511e+00,2.931670434709723168e+02,1.789441472417189427e+00,1.719692306274038573e+00
3.020604120824164629e-01,8.411789714402287954e-01,2.709850990254969005e+00,2.931696939705074669e+02,1.781543653254427984e+00,1.802990965480172569e+00
3.040608121624324700e-01,8.447349193565427683e-01,2.713220980493372014e+00,2.931723657955315048e+02,1.773702728789728900e+00,1.729301246249999480e+00
3.060612122424484771e-01,8.482752387406103933e-01,2.716499981192808111e+00,2.931750589200937043e+02,1.765918094589910448e+00,1.741573641155613750e+00
3.080616123224644842e-01,8.518000416284525755e-01,2.719689100521132996e+00,2.931777733176579090e+02,1.758189154528964959e+00,1.759418973638527506e+00
3.100620124024804913e-01,8.553094388343962517e-01,2.722789433801743098e+00,2.931805089611049198e+02,1.750515320698484478e+00,1.734661572351753334e+00
3.120624124824964984e-01,8.588035401249404233e-01,2.725802064949463421e+00,2.931832658229249660e+02,1.742896012572189512e+00,1.756108793829513681e+00
3.140628125625125056e-01,8.622824539222800899e-01,2.728728063452543928e+00,2.931860438751157290e+02,1.735330658412453708e+00,1.772713429852764033e+00
3.160632126425285127e-01,8.657462874434652678e-01,2.731568486050087952e+00,2.931888430891279427e+02,1.727818694436160207e+00,1.760457801390653110e+00
3.180636127225445198e-01,8.691951468536890379e-01,2.734324378224957108e+00,2.931916634359446903e+02,1.720359564009890985e+00,1.715985489865218039e+00
3.200640128025605269e-01,8.726291372662873247e-01,2.736996774203774407e+00,2.931945048860814609e+02,1.712952717589490526e+00,1.644781192090273070e+00
3.220644128825765340e-01,8.760483627427390063e-01,2.739586696956922029e+00,2.931973674095863203e+02,1.705597612661817530e+00,1.665365307336376111e+00
3.240648129625925411e-01,8.794529262926659152e-01,2.742095158198541771e+00,2.932002509760396265e+02,1.698293713688635798e+00,1.688505903264747587e+00
3.260652130426085482e-01,8.828429298738328379e-01,2.744523158386535489e+00,2.932031555545542005e+02,1.691040492052525046e+00,1.584949193422425795e+00
3.280656131226244998e-01,8.862184743921475150e-01,2.746871686722565542e+00,2.932060811137754399e+02,1.683837426004766158e+00,1.721441455465805070e+00
3.300660132026405069e-01,8.895796597016606411e-01,2.749141721152053464e+00,2.932090276218810345e+02,1.676684000615118242e+00,1.664702090998666950e+00
3.320664132826565140e-01,8.929265846045658650e-01,2.751334228364180845e+00,2.932119950465811939e+02,1.669579707723406914e+00,1.657013742793062683e+00
3.340668133626725211e-01,8.962593469319751760e-01,2.753450164526692223e+00,2.932149833551965230e+02,1.662524045516741378e+00,1.709942856048595861e+00
3.360672134426885282e-01,8.995780435097394667e-01,2.755490474645641452e+00,2.932179925147802351e+02,1.655516518740951071e+00,1.688912044053422212e+00
3.380676135227045354e-01,9.028827699858992251e-01,2.757456091095274342e+00,2.932210224919047050e+02,1.648556639431290938e+00,1.659606687747416931e+00
3.400680136027205425e-01,9.061736210946802483e-01,2.759347936339101803e+00,2.932240732527675959e+02,1.641643925546764526e+00,1.591577246185091443e+00
3.420684136827365496e-01,9.094506906645567490e-01,2.761166923008815388e+00,2.932271447631966907e+02,1.634777900890362901e+00,1.650298979704683200e+00
3.440688137627525567e-01,9.127140716182513547e-01,2.762913953904284181e+00,2.932302369886500628e+02,1.627958095069911959e+00,1.645266971997748184e+00
3.460692138427685638e-01,9.159638559727348861e-01,2.764589921993557020e+00,2.932333498942159054e+02,1.621184043460306201e+00,1.576945376771943907e+00
3.480696139227845709e-01,9.192001348392263571e-01,2.766195710412860720e+00,2.932364834446127020e+02,1.614455287167079867e+00,1.666620879426850887e+00
3.500700140028005780e-01,9.224229984231929746e-01,2.767732192466601848e+00,2.932396376041891699e+02,1.607771372991253944e+00,1.633165732101583112e+00
3.520704140828165851e-01,9.256325360243505829e-01,2.769200231627365394e+00,2.932428123369243167e+02,1.601131853395435733e+00,1.502650635069624263e+00
3.540708141628325922e-01,9.288288360366629970e-01,2.770600681535915211e+00,2.932460076064272698e+02,1.594536286471106568e+00,1.600633758954621344e+00
3.560712142428485438e-01,9.320119859499955695e-01,2.771934386017638641e+00,2.932492233759385272e+02,1.587984235898945995e+00,1.524749336200268868e+00
3.580716143228645509e-01,9.351820724784072336e-01,2.773202180260924798e+00,2.932524596084780342e+02,1.581475270316653470e+00,1.638291027729496641e+00
3.600720144028805580e-01,9.383391813255610447e-01,2.774404888273592551e+00,2.932557162667908983e+02,1.575008964504286402e+00,1.615360362381415671e+00
3.620724144828965652e-01,9.414833972797200801e-01,2.775543324091672037e+00,2.932589933132711622e+02,1.568584898811387518e+00,1.513405361308220343e+00
3.640728145629125723e-01,9.446148043476733092e-01,2.776618293175667329e+00,2.932622907100239331e+02,1.562202658452345627e+00,1.517959023469967805e+00
3.660732146429285794e-01,9.477334857547354829e-01,2.777630592410557320e+00,2.932656084188652130e+02,1.555861833479708078e+00,1.560954497716905642e+00
3.680736147229445865e-01,9.508395239447470226e-01,2.778581010105796611e+00,2.932689464013220686e+02,1.549562018758414483e+00,1.537621477850489748e+00
3.700740148029605936e-01,9.539330005800741308e-01,2.779470325995313296e+00,2.932723046186325178e+02,1.543302813940921725e+00,1.619562967949585319e+00
3.720744148829766007e-01,9.570139965416089023e-01,2.780299311237510285e+00,2.932756830317455865e+02,1.537083823443188280e+00,1.574132514302147179e+00
3.740748149629926078e-01,9.600825919287691024e-01,2.781068728415266200e+00,2.932790816013211952e+02,1.530904656421490762e+00,1.516783294057905795e+00
3.760752150430086149e-01,9.631388660594982776e-01,2.781779331535933153e+00,2.932825002877303859e+02,1.524764926750044047e+00,1.553634723433863885e+00
3.780756151230246220e-01,9.661828974702656447e-01,2.782431866031338519e+00,2.932859390510551520e+02,1.518664252999398556e+00,1.417050287673728537e+00
3.800760152030406291e-01,9.692147639184579555e-01,2.783027068782308877e+00,2.932893978510900865e+02,1.512602258403601185e+00,1.528095492774443898e+00
3.820764152830566363e-01,9.722345424966895022e-01,2.783565669207033633e+00,2.932928766474801705e+02,1.506578570291552843e+00,1.549898923241646020e+00
3.840768153630725879e-01,9.752423094050384211e-01,2.784048386761745153e+00,2.932963753996641572e+02,1.500592821257373810e+00,1.491645195703577453e+00
