S,g,g_noisy
1.130694260917320254e-01,-9.888209949813936417e-02,-9.473715410673584636e-02
1.132431660001120832e-01,-9.867457891175041018e-02,-1.078581036657023512e-01
1.134171728732836920e-01,-9.846693005644219232e-02,-8.599072954887407305e-02
1.135914471214588134e-01,-9.825915286827086037e-02,-1.038421284720491139e-01
1.137659891554798630e-01,-9.805124728326297667e-02,-1.004003412913062609e-01
1.139407993868204322e-01,-9.784321323741562715e-02,-8.802599829094280570e-02
1.141158782275864536e-01,-9.763505066669653232e-02,-1.044827067165576689e-01
1.142912260905170202e-01,-9.742675950704399179e-02,-9.535727406414941376e-02
1.144668433889855230e-01,-9.721833969436638467e-02,-8.544726227203032487e-02
1.146427305370004285e-01,-9.700979116454294671e-02,-9.158660868257492704e-02
1.148188879492064718e-01,-9.680111385342232699e-02,-9.160304849765732449e-02
1.149953160408853925e-01,-9.659230769682425333e-02,-8.101851528011967674e-02
1.151720152279571835e-01,-9.638337263053764481e-02,-8.525939926256211054e-02
1.153489859269807988e-01,-9.617430859032233270e-02,-9.463893631935557660e-02
1.155262285551553469e-01,-9.596511551190700651e-02,-9.886217355693269204e-02
1.157037435303210071e-01,-9.575579333099087931e-02,-9.914743046755071509e-02
1.158815312709599310e-01,-9.554634198324285510e-02,-9.609374565713067751e-02
1.160595921961973670e-01,-9.533676140430141777e-02,-7.787803807092746888e-02
1.162379267258025345e-01,-9.512705152977429801e-02,-1.025118302905958234e-01
1.164165352801897063e-01,-9.491721229523919501e-02,-8.799866711288271970e-02
1.165954182804190969e-01,-9.470724363624316577e-02,-1.028664012203524686e-01
1.167745761481980005e-01,-9.449714548830218108e-02,-8.147643839419224654e-02
1.169540093058815677e-01,-9.428691778690184710e-02,-8.472861092088955492e-02
1.171337181764740693e-01,-9.407656046749712786e-02,-7.478699022031688737e-02
1.173137031836296307e-01,-9.386607346551112396e-02,-1.018507413437094167e-01
1.174939647516534957e-01,-9.365545671633712654e-02,-8.888718929843367200e-02
1.176745033055027062e-01,-9.344471015533645231e-02,-8.517513412142344031e-02
1.178553192707874619e-01,-9.323383371783966478e-02,-1.042230423706567016e-01
1.180364130737718148e-01,-9.302282733914601920e-02,-9.534804770038844690e-02
1.182177851413748620e-01,-9.281169095452318496e-02,-9.890234733879647855e-02
1.183994359011717457e-01,-9.260042449920752317e-02,-8.471913065569305901e-02
1.185813657813944849e-01,-9.238902790840397561e-02,-9.980316706245410951e-02
1.187635752109331838e-01,-9.217750111728573170e-02,-9.476722991259210749e-02
1.189460646193369608e-01,-9.196584406099422848e-02,-9.015592424311785757e-02
1.191288344368150315e-01,-9.175405667463931714e-02,-8.693452663449861839e-02
1.193118850942375270e-01,-9.154213889329876341e-02,-9.711314845939013340e-02
1.194952170231367850e-01,-9.133009065201863619e-02,-1.001663280753892771e-01
1.196788306557080850e-01,-9.111791188581253031e-02,-9.397146216854665446e-02
1.198627264248109531e-01,-9.090560252966201071e-02,-8.447170903674540432e-02
1.200469047639698972e-01,-9.069316251851666788e-02,-8.331225008707164592e-02
1.202313661073757117e-01,-9.048059178729339624e-02,-7.869672338819119761e-02
1.204161108898862131e-01,-9.026789027087711581e-02,-9.213694314452398892e-02
1.206011395470275582e-01,-9.005505790411955092e-02,-7.256226403138232861e-02
1.207864525149949797e-01,-8.984209462184061801e-02,-1.079278288168004224e-01
1.209720502306540768e-01,-8.962900035882676031e-02,-1.119061783749897010e-01
1.211579331315416341e-01,-8.941577504983233560e-02,-9.183210138087530283e-02
1.213441016558668289e-01,-8.920241862957806189e-02,-9.284334908025979050e-02
1.215305562425120917e-01,-8.898893103275246075e-02,-8.763369921582651878e-02
1.217172973310342993e-01,-8.877531219401019191e-02,-8.529791708738081180e-02
1.219043253616657607e-01,-8.856156204797333009e-02,-8.230167350504326296e-02
1.220916407753151606e-01,-8.834768052923042125e-02,-7.403582437223168999e-02
1.222792440135686692e-01,-8.813366757233681570e-02,-9.218658084500643002e-02
1.224671355186910532e-01,-8.791952311181400193e-02,-8.281905909249233366e-02
1.226553157336266742e-01,-8.770524708215032827e-02,-8.520292967785009219e-02
1.228437851020003913e-01,-8.749083941780028129e-02,-8.745226148642497310e-02
1.230325440681188653e-01,-8.727630005318487427e-02,-8.809501059078064800e-02
1.232215930769713502e-01,-8.706162892269064812e-02,-7.555466296363856638e-02
1.234109325742309554e-01,-8.684682596067083704e-02,-9.945429319879069141e-02
1.236005630062555205e-01,-8.663189110144448035e-02,-8.781448376014838741e-02
1.237904848200888502e-01,-8.641682427929608945e-02,-7.644675223613325854e-02
1.239806984634615195e-01,-8.620162542847631393e-02,-9.258685422270203358e-02
1.241712043847922331e-01,-8.598629448320138646e-02,-8.993961442496287151e-02
1.243620030331886034e-01,-8.577083137765284526e-02,-9.204242279221151735e-02
1.245530948584484404e-01,-8.555523604597786713e-02,-9.208254655463081473e-02
1.247444803110605571e-01,-8.533950842228937850e-02,-1.056002797816878169e-01
1.249361598422061709e-01,-8.512364844066472314e-02,-7.663670328261627807e-02
1.251281339037595697e-01,-8.490765603514682791e-02,-9.246184866309768713e-02
1.253204029482894999e-01,-8.469153113974398073e-02,-8.140831202858196669e-02
1.255129674290601793e-01,-8.447527368842855378e-02,-8.290771942452029863e-02
1.257058278000321161e-01,-8.425888361513872438e-02,-8.875691332171148362e-02
1.258989845158635101e-01,-8.404236085377664311e-02,-8.651248322056868945e-02
1.260924380319111138e-01,-8.382570533820948855e-02,-8.903110200579686384e-02
1.262861888042313974e-01,-8.360891700226891210e-02,-7.564942821187435607e-02
1.264802372895815763e-01,-8.339199577975081601e-02,-9.196280630302033909e-02
1.266745839454207490e-01,-8.317494160441529782e-02,-8.466161632214574961e-02
1.268692292299108682e-01,-8.295775440998709449e-02,-7.414720857095889739e-02
1.270641736019179902e-01,-8.274043413015480519e-02,-9.275935342242543069e-02
1.272594175210131073e-01,-8.252298069857105789e-02,-7.487069610803206987e-02
1.274549614474735360e-01,-8.230539404885206523e-02,-9.401209818965712561e-02
1.276508058422836933e-01,-8.208767411457806862e-02,-7.693042752755223368e-02
1.278469511671364855e-01,-8.186982082929306070e-02,-6.948523003101600426e-02
1.280433978844341403e-01,-8.165183412650445227e-02,-8.502233341255276133e-02
1.282401464572894279e-01,-8.143371393968318328e-02,-8.971094470795194786e-02
1.284371973495267438e-01,-8.121546020226322327e-02,-8.604492840488447980e-02
1.286345510256831637e-01,-8.099707284764207094e-02,-6.878276805304199548e-02
1.288322079510095808e-01,-8.077855180918047662e-02,-6.893641916151219129e-02
1.290301685914717333e-01,-8.055989702020160959e-02,-7.945596377188995918e-02
1.292284334137514812e-01,-8.034110841399194625e-02,-8.167908024076725448e-02
1.294270028852476107e-01,-8.012218592380071502e-02,-8.114316711980128216e-02
1.296258774740771946e-01,-7.990312948284000738e-02,-7.677433207310793706e-02
1.298250576490765917e-01,-7.968393902428361208e-02,-7.381466002546580030e-02
1.300245438798025843e-01,-7.946461448126879157e-02,-7.468294902344037312e-02
1.302243366365333777e-01,-7.924515578689417250e-02,-8.314457714079109829e-02
1.304244363902699322e-01,-7.902556287422174419e-02,-8.946436697861630261e-02
1.306248436127367962e-01,-7.880583567627430508e-02,-9.537278781720706644e-02
1.308255587763834937e-01,-7.858597412603746113e-02,-5.706607389671713992e-02
1.310265823543853569e-01,-7.836597815645851561e-02,-7.609871681434871027e-02
1.312279148206449697e-01,-7.814584770044591400e-02,-7.730561973174415735e-02
1.314295566497929169e-01,-7.792558269087068723e-02,-8.733972105764430116e-02
1.316315083171892275e-01,-7.770518306056489743e-02,-7.662041395070239014e-02
1.318337702989242910e-01,-7.748464874232180444e-02,-7.580986877503512189e-02
1.320363430718200226e-01,-7.726397966889592128e-02,-7.665531868526982706e-02
1.322392271134311403e-01,-7.704317577300334730e-02,-7.660970259131025251e-02
1.324424229020460253e-01,-7.682223698732076889e-02,-7.367560349398188935e-02
1.326459309166879985e-01,-7.660116324448601466e-02,-7.560522490419301078e-02
1.328497516371164866e-01,-7.637995447709750030e-02,-8.395842466476378940e-02
1.330538855438281320e-01,-7.615861061771450613e-02,-7.302485044543634285e-02
1.332583331180578201e-01,-7.593713159885667752e-02,-8.861053485649721118e-02
1.334630948417799279e-01,-7.571551735300408037e-02,-1.000437255974700318e-01
1.336681711977094067e-01,-7.549376781259720115e-02,-6.006137906417408773e-02
1.338735626693030034e-01,-7.527188291003644727e-02,-8.500517160259107863e-02
1.340792697407602041e-01,-7.504986257768259117e-02,-8.293472659243134038e-02
1.342852928970246773e-01,-7.482770674785582665e-02,-5.892227898619849247e-02
1.344916326237850235e-01,-7.460541535283676806e-02,-7.197776631184379936e-02
1.346982894074763848e-01,-7.438298832486528456e-02,-7.578051101107273479e-02
1.349052637352811390e-01,-7.416042559614088869e-02,-8.124630288410741863e-02
1.351125560951304261e-01,-7.393772709882229233e-02,-6.991577035412348262e-02
1.353201669757049808e-01,-7.371489276502790622e-02,-8.786387006405260713e-02
1.355280968664365482e-01,-7.349192252683489635e-02,-7.147181483309061889e-02
1.357363462575088553e-01,-7.326881631627968350e-02,-7.007082147032643593e-02
1.359449156398588876e-01,-7.304557406535749919e-02,-7.984046617297289872e-02
1.361538055051779716e-01,-7.282219570602205261e-02,-1.017845367791126443e-01
1.363630163459129130e-01,-7.259868117018630773e-02,-5.778486165557635001e-02
1.365725486552672452e-01,-7.237503038972148417e-02,-7.122999121675982481e-02
1.367824029272023123e-01,-7.215124329645689061e-02,-6.659717960591628183e-02
1.369925796564385734e-01,-7.192731982218036890e-02,-6.067711756628152431e-02
1.372030793384564906e-01,-7.170325989863746141e-02,-6.856940645685265234e-02
1.374139024694980282e-01,-7.147906345753252122e-02,-5.181889569910588800e-02
1.376250495465675405e-01,-7.125473043052676925e-02,-6.433743714585941909e-02
1.378365210674332153e-01,-7.103026074923962652e-02,-7.702394629522120451e-02
1.380483175306279064e-01,-7.080565434524843660e-02,-7.170927103339010122e-02
1.382604394354506605e-01,-7.058091115008707783e-02,-8.074533805083035365e-02
1.384728872819676881e-01,-7.035603109524740661e-02,-7.097376726545208403e-02
1.386856615710135576e-01,-7.013101411217836922e-02,-9.032833865066908219e-02
1.388987628041924438e-01,-6.990586013228555773e-02,-7.386051681505090283e-02
1.391121914838792661e-01,-6.968056908693204266e-02,-7.644730224679253949e-02
1.393259481132209099e-01,-6.945514090743726277e-02,-6.504267689708283229e-02
1.395400331961373086e-01,-6.922957552507696954e-02,-6.863069373569070930e-02
1.397544472373227487e-01,-6.900387287108405987e-02,-6.311456576836763088e-02
1.399691907422470627e-01,-6.877803287664746579e-02,-9.047651934346308267e-02
1.401842642171567677e-01,-6.855205547291215451e-02,-8.010323220224085938e-02
1.403996681690761750e-01,-6.832594059097935046e-02,-4.715203740503706720e-02
1.406154031058087228e-01,-6.809968816190620222e-02,-5.492131828161100210e-02
1.408314695359381974e-01,-6.787329811670528290e-02,-6.762233369074412137e-02
1.410478679688298154e-01,-6.764677038634525630e-02,-5.442406432425278551e-02
1.412645989146314451e-01,-6.742010490174993320e-02,-6.415049482387712165e-02
1.414816628842748836e-01,-6.719330159379871548e-02,-5.707663677053169404e-02
1.416990603894769662e-01,-6.696636039332587442e-02,-7.463812263300501071e-02
1.419167919427408719e-01,-6.673928123112105038e-02,-6.006991453345603138e-02
1.421348580573572329e-01,-6.651206403792886412e-02,-7.472885480665064639e-02
1.423532592474054392e-01,-6.628470874444802874e-02,-6.878329358520253456e-02
1.425719960277547216e-01,-6.605721528133245979e-02,-5.540021754272786425e-02
1.427910689140655665e-01,-6.582958357919049819e-02,-7.618723590810694279e-02
1.430104784227907155e-01,-6.560181356858457713e-02,-6.715329137622813582e-02
1.432302250711765257e-01,-6.537390518003155515e-02,-6.457681413674239146e-02
1.434503093772641624e-01,-6.514585834400199449e-02,-6.126757038903696273e-02
1.436707318598907379e-01,-6.491767299092049415e-02,-6.146531600341768181e-02
1.438914930386905877e-01,-6.468934905116541234e-02,-8.885862679303319078e-02
1.441125934340965753e-01,-6.446088645506847792e-02,-8.042457652383526445e-02
1.443340335673413133e-01,-6.423228513291517894e-02,-7.997687775254436193e-02
1.445558139604581349e-01,-6.400354501494381898e-02,-5.821136160829391143e-02
1.447779351362826206e-01,-6.377466603134607226e-02,-4.900894125643582427e-02
1.450003976184537358e-01,-6.354564811226659504e-02,-6.589520135117191146e-02
1.452232019314151357e-01,-6.331649118780263708e-02,-6.422336233328392041e-02
1.454463486004161088e-01,-6.308719518800420811e-02,-4.596727783691190172e-02
1.456698381515132701e-01,-6.285776004287396690e-02,-5.818162838063061643e-02
1.458936711115713658e-01,-6.262818568236672157e-02,-6.653341502594398160e-02
1.461178480082648556e-01,-6.239847203638931861e-02,-4.938026752826604748e-02
1.463423693700789119e-01,-6.216861903480075391e-02,-7.861316865697198786e-02
1.465672357263108350e-01,-6.193862660741222825e-02,-7.053337209900811811e-02
1.467924476070711359e-01,-6.170849468398581505e-02,-3.867616950424590527e-02
1.470180055432850352e-01,-6.147822319423612569e-02,-5.301062531801806893e-02
1.472439100666934064e-01,-6.124781206782836662e-02,-7.109246501228416726e-02
1.474701617098542472e-01,-6.101726123437939409e-02,-5.820608111741538276e-02
1.476967610061439562e-01,-6.078657062345677042e-02,-6.619971224266049670e-02
1.479237084897583598e-01,-6.055574016457920816e-02,-5.649921674792829362e-02
1.481510046957141558e-01,-6.032476978721629246e-02,-6.006338421206237899e-02
1.483786501598501895e-01,-6.009365942078803702e-02,-5.737759336764829826e-02
1.486066454188286756e-01,-5.986240899466432897e-02,-6.233364079894054832e-02
1.488349910101363638e-01,-5.963101843816620562e-02,-6.744579691031647728e-02
1.490636874720859539e-01,-5.939948768056435568e-02,-6.448968988515278722e-02
1.492927353438172899e-01,-5.916781665107923027e-02,-5.703305587559172329e-02
1.495221351652986919e-01,-5.893600527888104290e-02,-5.711237145542753801e-02
1.497518874773280662e-01,-5.870405349309004706e-02,-6.180860285909125368e-02
1.499819928215344322e-01,-5.847196122277548147e-02,-6.039293090832507926e-02
1.502124517403789772e-01,-5.823972839695568116e-02,-5.513984941556811237e-02
1.504432647771564713e-01,-5.800735494459846597e-02,-4.745241116840524798e-02
1.506744324759964337e-01,-5.777484079462036348e-02,-4.279261434077871740e-02
1.509059553818645760e-01,-5.754218587588666445e-02,-5.784047627474271647e-02
1.511378340405638843e-01,-5.730939011721114529e-02,-5.486898304141583221e-02
1.513700689987361181e-01,-5.707645344735606807e-02,-7.374923507104569342e-02
1.516026608038628931e-01,-5.684337579503179194e-02,-6.452381781348491552e-02
1.518356100042671242e-01,-5.661015708889705067e-02,-4.950378191294665248e-02
1.520689171491143576e-01,-5.637679725755773141e-02,-4.939541154183756111e-02
1.523025827884137984e-01,-5.614329622956826249e-02,-5.528915362180075038e-02
1.525366074730198640e-01,-5.590965393342989254e-02,-4.902544430155721111e-02
1.527709917546334339e-01,-5.567587029759174522e-02,-6.594508686963779232e-02
1.530057361858030984e-01,-5.544194525044987554e-02,-3.607815917856304483e-02
1.532408413199264630e-01,-5.520787872034721433e-02,-7.158095563973659869e-02
1.534763077112514529e-01,-5.497367063557367928e-02,-4.044864000522610525e-02
1.537121359148777011e-01,-5.473932092436578634e-02,-5.333412636649895178e-02
1.539483264867577694e-01,-5.450482951490653871e-02,-6.082521347047020049e-02
1.541848799836984252e-01,-5.427019633532498277e-02,-5.767754882467036187e-02
1.544217969633621401e-01,-5.403542131369637458e-02,-5.743525750693057041e-02
1.546590779842681174e-01,-5.380050437804217989e-02,-4.199599445734626679e-02
1.548967236057939290e-01,-5.356544545632913046e-02,-4.062934959564503540e-02
1.551347343881764873e-01,-5.333024447646972366e-02,-6.575380400420484384e-02
1.553731108925137938e-01,-5.309490136632188939e-02,-4.942811651351826374e-02
1.556118536807657715e-01,-5.285941605368876806e-02,-5.913288079731578162e-02
1.558509633157560137e-01,-5.262378846631809992e-02,-5.254617229746440243e-02
1.560904403611728386e-01,-5.238801853190278024e-02,-4.430629477671103184e-02
1.563302853815707605e-01,-5.215210617808024862e-02,-5.779110329271706925e-02
1.565704989423718219e-01,-5.191605133243237802e-02,-5.968327127099283536e-02
1.568110816098667870e-01,-5.167985392248530818e-02,-5.567777948287077477e-02
1.570520339512165298e-01,-5.144351387570911260e-02,-5.152540856210686970e-02
1.572933565344535878e-01,-5.120703111951785402e-02,-4.584294831664291470e-02
1.575350499284832173e-01,-5.097040558126930687e-02,-5.356641052526230073e-02
1.577771147030848087e-01,-5.073363718826434665e-02,-5.954926506820824861e-02
1.580195514289132741e-01,-5.049672586774783811e-02,-5.864906992943219599e-02
1.582623606775004632e-01,-5.025967154690713645e-02,-4.701658377723484661e-02
1.585055430212563843e-01,-5.002247415287280896e-02,-3.469832345036439475e-02
1.587490990334705365e-01,-4.978513361271791338e-02,-4.892208419158097094e-02
1.589930292883134366e-01,-4.954764985345810890e-02,-3.602280516168927804e-02
1.592373343608377290e-01,-4.931002280205154520e-02,-6.716030571211735467e-02
1.594820148269797955e-01,-4.907225238539830725e-02,-5.231833993045789666e-02
1.597270712635608658e-01,-4.883433853034058192e-02,-3.044557847558336180e-02
1.599725042482886550e-01,-4.859628116366199180e-02,-4.639959959656556748e-02
1.602183143597583903e-01,-4.835808021208787277e-02,-3.844777121594038227e-02
1.604645021774545044e-01,-4.811973560228505198e-02,-4.168902436200069145e-02
1.607110682817517455e-01,-4.788124726086118166e-02,-4.951689571693090181e-02
1.609580132539167319e-01,-4.764261511436507224e-02,-4.875084275836143871e-02
1.612053376761092283e-01,-4.740383908928613721e-02,-4.811502894826271554e-02
1.614530421313835062e-01,-4.716491911205444865e-02,-5.353354653541760044e-02
1.617011272036897318e-01,-4.692585510904012658e-02,-4.002650927748485632e-02
1.619495934778753532e-01,-4.668664700655383859e-02,-3.334064926699725762e-02
1.621984415396866275e-01,-4.644729473084574511e-02,-5.305299041647346114e-02
1.624476719757695919e-01,-4.620779820810594352e-02,-4.747545834811735949e-02
1.626972853736719793e-01,-4.596815736446402401e-02,-5.690052914379890858e-02
1.629472823218440780e-01,-4.572837212598901413e-02,-4.451230597105800685e-02
1.631976634096406475e-01,-4.548844241868837956e-02,-3.879307649029659771e-02
1.634484292273218065e-01,-4.524836816850952292e-02,-3.881588298771147111e-02
1.636995803660548088e-01,-4.500814930133734126e-02,-5.084962725699604391e-02
1.639511174179151265e-01,-4.476778574299650204e-02,-3.381516600065753025e-02
1.642030409758881704e-01,-4.452727741924850102e-02,-5.385734048455922268e-02
1.644553516338704002e-01,-4.428662425579427131e-02,-5.224670650814756956e-02
1.647080499866709069e-01,-4.404582617827140778e-02,-3.482967747746466836e-02
1.649611366300127724e-01,-4.380488311225583242e-02,-4.673947719123902611e-02
1.652146121605343743e-01,-4.356379498326012900e-02,-4.815444463751857029e-02
1.654684771757908568e-01,-4.332256171673531941e-02,-3.931624777117899427e-02
1.657227322742556297e-01,-4.308118323806825467e-02,-3.623166808056140636e-02
1.659773780553217559e-01,-4.283965947258289164e-02,-1.455045799609562540e-02
1.662324151193031729e-01,-4.259799034553990449e-02,-3.638584659112580749e-02
1.664878440674362470e-01,-4.235617578213596301e-02,-5.969107603832972397e-02
1.667436655018813552e-01,-4.211421570750412124e-02,-3.819840521673389250e-02
1.669998800257240235e-01,-4.187211004671304027e-02,-4.316078305929303693e-02
1.672564882429763977e-01,-4.162985872476721028e-02,-2.889955674674191122e-02
1.675134907585789368e-01,-4.138746166660689507e-02,-6.051147914427153218e-02
1.677708881784014117e-01,-4.114491879710674427e-02,-3.040776121347901761e-02
1.680286811092447374e-01,-4.090223004107684801e-02,-5.652775457921076219e-02
1.682868701588421112e-01,-4.065939532326245942e-02,-2.435455079627990571e-02
1.685454559358606219e-01,-4.041641456834255131e-02,-4.402278754156982443e-02
1.688044390499025549e-01,-4.017328770093120394e-02,-3.804054150624909536e-02
1.690638201115070571e-01,-3.993001464557593971e-02,-4.814826351410544936e-02
1.693235997321511366e-01,-3.968659532675855584e-02,-5.548102964955319016e-02
1.695837785242516604e-01,-3.944302966889412509e-02,-4.321324368990837189e-02
1.698443571011664377e-01,-3.919931759633166202e-02,-1.649773738196236295e-02
1.701053360771956346e-01,-3.895545903335284610e-02,-4.102707516438944269e-02
1.703667160675834402e-01,-3.871145390417246590e-02,-4.405810025183495154e-02
1.706284976885194260e-01,-3.846730213293814149e-02,-4.587977252594805516e-02
1.708906815571399618e-01,-3.822300364372976933e-02,-1.965251062062319323e-02
1.711532682915296866e-01,-3.797855836055957779e-02,-2.846668706549007610e-02
1.714162585107229242e-01,-3.773396620737179408e-02,-3.772423099750880915e-02
1.716796528347052930e-01,-3.748922710804253322e-02,-3.632314806237608995e-02
1.719434518844150661e-01,-3.724434098637929846e-02,-4.752556796596317523e-02
1.722076562817444756e-01,-3.699930776612075922e-02,-3.288582641923695066e-02
1.724722666495415724e-01,-3.675412737093719517e-02,-3.442757656329518967e-02
1.727372836116112531e-01,-3.650879972442905297e-02,-4.427183332035430907e-02
1.730027077927171197e-01,-3.626332475012761236e-02,-4.309317957852425163e-02
1.732685398185825620e-01,-3.601770237149487519e-02,-2.329324040946294944e-02
1.735347803158926727e-01,-3.577193251192228862e-02,-2.631631481868421107e-02
1.738014299122953021e-01,-3.552601509473157781e-02,-3.539568980989381969e-02
1.740684892364028902e-01,-3.527995004317402428e-02,-2.245847081481129603e-02
1.743359589177936042e-01,-3.503373728043024382e-02,-3.198270204114794096e-02
1.746038395870131987e-01,-3.478737672961002003e-02,-4.376621644558319202e-02
1.748721318755762366e-01,-3.454086831375208222e-02,-4.019800282777286071e-02
1.751408364159675879e-01,-3.429421195582316173e-02,-3.972375016140603649e-02
1.754099538416440118e-01,-3.404740757871971280e-02,-2.392855782146211321e-02
