p,v,F_index,F_index_noisy
5.740938533225002915e-01,2.936577331236177313e-02,5.399536247900178498e-01,5.380655997543828395e-01
6.660098686053788075e-01,2.767935131458003351e-02,5.625018693536264491e-01,5.727157273910881141e-01
5.678019806318244100e-01,4.807671408584249240e-02,6.551458753825765147e-01,6.583793903635857259e-01
7.503786228745417120e-01,2.792034918247194783e-02,6.374820399950993366e-01,6.407973568569806933e-01
2.237557259985217262e-01,3.798932618811642209e-02,7.634754687886768920e-01,7.609054369302395981e-01
5.171535579560130325e-01,2.004348967650716740e-02,4.689636058472210212e-01,4.607232299929427399e-01
4.756015297312423118e-01,3.849501523436157230e-02,5.891446386598702123e-01,5.899819623809838820e-01
2.374097474899253823e-01,3.865507805273005193e-02,7.438658985921451361e-01,7.444109690312529226e-01
5.847969014836250645e-01,3.513044182331377663e-02,5.806939041869144669e-01,5.745571439156915705e-01
7.115797030883941332e-01,3.894330870494463331e-02,6.855870352965036663e-01,6.821709019876008862e-01
5.557646108625704517e-01,3.075605131477184007e-02,5.455463811543673769e-01,5.451861627557312850e-01
3.560584686423339251e-01,4.350378088652227110e-02,6.549025743367884456e-01,6.501788162214845457e-01
7.039289126188452705e-01,4.246402706359578977e-02,7.035167738636916024e-01,7.030254240244304675e-01
5.056975289129057582e-01,9.337539825460518250e-03,3.912381773596905199e-01,3.917155924970378011e-01
5.065333306799197910e-01,2.517601043102642502e-02,5.035741582714332587e-01,5.037520894567106833e-01
6.518181246213068381e-01,1.043024289794824283e-02,4.165565841691690752e-01,4.140251258775974885e-01
2.887532214709739309e-01,4.777425676812682015e-02,7.410567842401611927e-01,7.440255245990903266e-01
6.917760314715662995e-01,2.457010383255674515e-02,5.532229449443917257e-01,5.576787797158033744e-01
6.099721436019542864e-01,1.490352431453525334e-02,4.437758807042870846e-01,4.453801222271199234e-01
6.722581649328807085e-01,4.269328437751556543e-02,6.756746527661178225e-01,6.715835016291662463e-01
3.149697554120811649e-01,8.924727181830304640e-03,4.020835545116910881e-01,4.057418159306183103e-01
6.814184966807180777e-01,1.193391268906498701e-02,4.379987440670138343e-01,4.354915439746785966e-01
3.147943556343201776e-01,3.554734715372916132e-02,6.270672924910645207e-01,6.314630955825044634e-01
2.489315704181076505e-01,2.783404952999709789e-02,6.261354162444863203e-01,6.207764791600991483e-01
7.131361845722421489e-01,1.702825998222114515e-02,4.996340740519533696e-01,5.042064100675972549e-01
7.167700977066011614e-01,3.093258961679805005e-02,6.267798110521942689e-01,6.266794937791169140e-01
7.259222578499484602e-01,1.433226532151892635e-02,4.808730770186263048e-01,4.746293325669542207e-01
4.831458316152741905e-01,1.891560249038064592e-02,4.602617599257261549e-01,4.586922625658919062e-01
3.644290331682309980e-01,3.249772763634026923e-02,5.760853813234982912e-01,5.763558927173559887e-01
2.042550971618997679e-01,4.473194696555803096e-02,8.710677456693554088e-01,8.724317023651776415e-01
5.874325373449686971e-01,3.664302227482597873e-02,5.912360813382160352e-01,5.863251407135111615e-01
6.319456301052159830e-01,3.394525028640035108e-02,5.904874302504200534e-01,5.849505650145940816e-01
7.013415299001646286e-01,3.859912116822587086e-02,6.723692011117704537e-01,6.733671237760058270e-01
3.691266964187253086e-01,2.202691012843478041e-02,4.977241198563595592e-01,4.953903717719605471e-01
3.291309002977841902e-01,4.914401270917429648e-02,7.101375004555763315e-01,7.113150285142274543e-01
5.835988280399527772e-01,3.250670810035703046e-02,5.631906388963487942e-01,5.669882365087406395e-01
6.830328998870058843e-01,1.659025739802226160e-02,4.801134876490827930e-01,4.718695508173280651e-01
7.782025237069827295e-01,6.618436153243450158e-03,4.214381770715875941e-01,4.227101176541756544e-01
2.903148982527065103e-01,1.002900133831514592e-02,4.194066589454679694e-01,4.255298937831466510e-01
4.893274329196019568e-01,1.393291182266558070e-02,4.247101358942579896e-01,4.232225016724056044e-01
7.368295173177041857e-01,3.804676875545785070e-02,7.093668588381252249e-01,7.053127859219373574e-01
4.536301441672624390e-01,4.165345240126765158e-02,6.104029540247533081e-01,6.141641731606513055e-01
5.537012372504288571e-01,4.664537802719489340e-02,6.433493477767694424e-01,6.446165803578101094e-01
2.146944064960179255e-01,3.393096058299061718e-02,7.425247515202185733e-01,7.470041668741064234e-01
6.040759322917634844e-01,1.837746454889798223e-02,4.689502022782985335e-01,4.672241237280421178e-01
7.514531717802936939e-01,4.274910902045699068e-02,7.700011883734405593e-01,7.625920970048295500e-01
6.960951977340327224e-01,4.790615764477105382e-02,7.331764833507045109e-01,7.326264295271482929e-01
7.313121600259682165e-01,3.636067280169124477e-02,6.882344092599433916e-01,6.860052684948871882e-01
5.962132283123140475e-01,8.256111798686306333e-03,3.894580288826733350e-01,3.933346479929111794e-01
3.473313603459066146e-01,2.349418895518862530e-02,5.163987600409611911e-01,5.173669242828469184e-01
6.611101993377526131e-01,1.620246334137341593e-02,4.681193771540115289e-01,4.599651309918360020e-01
3.270048455645063745e-01,4.726672303486870175e-02,6.996878367549884681e-01,6.937120213544725189e-01
6.987649007986768135e-01,4.150055260067321561e-02,6.911773970330156169e-01,6.955963422159519016e-01
2.376307535424609652e-01,8.146720045859574474e-03,4.193254526417288797e-01,4.227242777288180986e-01
6.952926880361336437e-01,3.242443686448375634e-02,6.195009591993083653e-01,6.162997423697659238e-01
2.987043598844608128e-01,4.933164124027300534e-02,7.403991645710572556e-01,7.403939205882208441e-01
4.250881978979851317e-01,2.857127571589101328e-02,5.313874715984181485e-01,5.336153393672991019e-01
3.900428999341786218e-01,4.502486049200068313e-02,6.477401524942401068e-01,6.500821741734764680e-01
6.148022211666448467e-01,4.155488047456785267e-02,6.328888932527734212e-01,6.372701042333451804e-01
3.071431269046231982e-01,2.621918294896999693e-02,5.587882789495993707e-01,5.600707070857071646e-01
4.377536973301919265e-01,2.489037783764967010e-02,5.044076906832840601e-01,5.039335489884415598e-01
2.034947570647885895e-01,1.227430344883447336e-02,4.997318431367879787e-01,4.984376028128487679e-01
3.574968276500609665e-01,2.095113065510046876e-02,4.929697056598668636e-01,4.982484196625331374e-01
4.527132885373731930e-01,1.361150040460923361e-02,4.229052796519970348e-01,4.116510082766043355e-01
2.635527420243947150e-01,4.305684127332999600e-02,7.390376436996796139e-01,7.383443670742229070e-01
5.798959676219347381e-01,3.215314720369496365e-02,5.598860181449338835e-01,5.600510186648541833e-01
4.282545619319194641e-01,4.713090221068107211e-02,6.477976109895209333e-01,6.406708661851699960e-01
6.351763628457434141e-01,2.346593978863062077e-02,5.162459708826803162e-01,5.179100389483705102e-01
5.923196066410366667e-01,3.657691943953398500e-02,5.923509777699169643e-01,5.890945727077000482e-01
4.587360492664437350e-01,4.249175837131798084e-02,6.147833344314788118e-01,6.190955584130575229e-01
7.203923033853196767e-01,5.579477616021138835e-03,3.873357455712690411e-01,3.867077851510973829e-01
5.792810705001003591e-01,1.952842745930414778e-02,4.724461864200278916e-01,4.757919526239751673e-01
6.861646112637795891e-01,2.463034062889802797e-02,5.501483651996629254e-01,5.562425832255190050e-01
4.050768343640678282e-01,4.678715498110617294e-02,6.527110100516486657e-01,6.546256579652159902e-01
5.262015738010734633e-01,4.417199855570633216e-02,6.244093834060758796e-01,6.200307776889616429e-01
3.177781310688520544e-01,8.802870923695195818e-03,4.003383729175808980e-01,3.927667797590577159e-01
7.976847140711769146e-01,4.799566026572077426e-02,9.162394107997459125e-01,9.250063313873277959e-01
3.459292785837962958e-01,3.321067140131717110e-02,5.899975409666269321e-01,5.894410800006892881e-01
3.541204803362616449e-01,8.237010833393785744e-03,3.892093261884398414e-01,3.857665014502682510e-01
2.439140434345796193e-01,3.605550119724396790e-02,7.099099754755672231e-01,7.106312609158713656e-01
3.546818713980419702e-01,4.349131835145604585e-02,6.556280435485071223e-01,6.546709868960939316e-01
6.578771195264320193e-01,1.664848774428734010e-02,4.706913072173347645e-01,4.749520185383981907e-01
6.187361424098488660e-01,1.951977007561195646e-02,4.811849486521426189e-01,4.813545895643281392e-01
2.772039273903016965e-01,1.749617104862315545e-02,4.995142775218482933e-01,4.995830254399403758e-01
4.257431008568565711e-01,3.661283288990492546e-02,5.840850892096733915e-01,5.805121906045085378e-01
4.525528367704778065e-01,3.732256269392085490e-02,5.839969451435056413e-01,5.863447856372431266e-01
5.989905478171765330e-01,3.984571537886596321e-02,6.155601212210937145e-01,6.103907876093187523e-01
4.735573778262493483e-01,4.644685091348790817e-02,6.365608884439943882e-01,6.398903356428142786e-01
5.519109960953189065e-01,1.318227118650332555e-02,4.224491456263452793e-01,4.300688331912959628e-01
7.038107621653655332e-01,3.687115692899564645e-02,6.616945243413127065e-01,6.540710941508169896e-01
6.358841661874223838e-01,3.405663451909823891e-02,5.931486074488643290e-01,5.808174612921077618e-01
4.190043581051354216e-01,1.681794870426643954e-02,4.490568991338023119e-01,4.521412929095738886e-01
4.690377856066906270e-01,4.888888166866683926e-02,6.509040033161337391e-01,6.636434923935493613e-01
4.206197418140040223e-01,2.646321013258692151e-02,5.177630342604141456e-01,5.127584100160547109e-01
2.658407984040180860e-01,4.769723640614981913e-02,7.708797523727664025e-01,7.646262735787564546e-01
3.219449264524379961e-01,4.872982068966480451e-02,7.135521720697348691e-01,7.164970167386371935e-01
3.702838933664787113e-01,4.550216431273837459e-02,6.598500557792873478e-01,6.556464478289958375e-01
3.884803373613813227e-01,2.567684119910419727e-02,5.192790399533746548e-01,5.167489125336909295e-01
3.878287152919626113e-01,1.758995555663848964e-02,4.595076086085685407e-01,4.577670212751496770e-01
5.460198297517713240e-01,3.135928727099120128e-02,5.479136472702067495e-01,5.505736577016657751e-01
7.830139853718529608e-01,2.522911248286874644e-02,6.577611471229689588e-01,6.557346353160034003e-01
6.647984809542393236e-01,2.606907118300574519e-02,5.493815932213337305e-01,5.507710074217345708e-01
6.746803689036832141e-01,1.598366046658680761e-02,4.713438479009317006e-01,4.704611816064638297e-01
6.555611003237480361e-01,4.290138839310275037e-02,6.646356161127009443e-01,6.604122605944429125e-01
5.581926383142539194e-01,3.788258419567765850e-02,5.915769925577442079e-01,5.899778612690280699e-01
7.506153543025477770e-01,4.393893190459430276e-02,7.781043354660931444e-01,7.733523371402535318e-01
6.137780932682486146e-01,2.891924716633375095e-02,5.481325082948648175e-01,5.481650832242135341e-01
5.002138584421226275e-01,9.169867923848756125e-03,3.898350044339111142e-01,3.842156732960829157e-01
2.462502851003232629e-01,4.380390227865416097e-02,7.720843107410203521e-01,7.666198388945441033e-01
4.930695362513143887e-01,8.116304072387555552e-03,3.817749084884197175e-01,3.890597175649460060e-01
3.276985972042006368e-01,1.195322042660149943e-02,4.267563953330795190e-01,4.264904742315527852e-01
2.796177785280723471e-01,4.748540585112434598e-02,7.503158544863076651e-01,7.500463443589474588e-01
5.036389535176237775e-01,3.026771484168799473e-02,5.370716583956860468e-01,5.396293404952741124e-01
6.710511755581755056e-01,3.537488346648758747e-02,6.232601438380244163e-01,6.211558588252800162e-01
3.770038656833116786e-01,4.194467002345204920e-02,6.340310896329676149e-01,6.328884127955768379e-01
6.612630559454999446e-01,3.490507110583040279e-02,6.133326755392146667e-01,6.154584192158741862e-01
5.153777138973525407e-01,2.497870796394793813e-02,5.026678138588094313e-01,5.040798930700314262e-01
2.894288140224275385e-01,2.943497380756139245e-02,5.988981578965109076e-01,5.931016742618487880e-01
7.789806463878414799e-01,2.293177071525211511e-02,6.253737301233318613e-01,6.295404431066802253e-01
4.409817343331105532e-01,3.097356912367651635e-02,5.449084585674800474e-01,5.419562838510347813e-01
3.771405533976175395e-01,5.099316381948749109e-03,3.603385241622328317e-01,3.550581294106618935e-01
7.081990223802379081e-01,2.787197432930340474e-02,5.931914846253985019e-01,5.886891092754031884e-01
2.746761995092878994e-01,6.071980216808393546e-03,3.824231417222088147e-01,3.804704150004322161e-01
6.401542766442220866e-01,9.935237697078906291e-03,4.098759420065630765e-01,4.180124432796784029e-01
3.126948455392810078e-01,4.308657235734347779e-02,6.835276282228710532e-01,6.776499486982671128e-01
4.354950656075495252e-01,3.467237527874512254e-02,5.697922665931918207e-01,5.705926460558635727e-01
3.391399270772831320e-01,1.319755418728857724e-02,4.347445629747784812e-01,4.240554411843255878e-01
7.047367956154322322e-01,3.862411363633233563e-02,6.759558395795201013e-01,6.759480049137941426e-01
4.340447311639170636e-01,2.641024713145292274e-02,5.153041831548846874e-01,5.198020152422647699e-01
7.848156877293737121e-01,1.106808241879080230e-02,4.861833233248685215e-01,4.850000067145612270e-01
5.751568906490640565e-01,4.683585628143644569e-02,6.500647729649682294e-01,6.469179983455515259e-01
6.161737008217491596e-01,1.007622943184307424e-02,4.067599337922078173e-01,4.079174891125005309e-01
5.129150732794505174e-01,5.888428610823140570e-03,3.654123965328069379e-01,3.689131552885601684e-01
3.853809194453546860e-01,1.654707778054677683e-02,4.519555907074968570e-01,4.552738785625838891e-01
4.373338526314572983e-01,8.908695811590507802e-03,3.881308099134138101e-01,3.979931791830627619e-01
7.645605125971410843e-01,5.752465636170606654e-03,4.036287426634129760e-01,4.046745800250943770e-01
3.207219204347986907e-01,3.439588444088995112e-02,6.141086206590843366e-01,6.111465701603197020e-01
7.929313407321274543e-01,1.093829625460812811e-02,4.920656840606532634e-01,4.914357881107200288e-01
6.549835172022910879e-01,3.037459298278945979e-02,5.767041980339415730e-01,5.763417053058424999e-01
4.158721558955661979e-01,1.591654231269890377e-02,4.427119689431838756e-01,4.432556558605744712e-01
5.849081537033620215e-01,4.732925610953794826e-02,6.561532471317784720e-01,6.560031080656313351e-01
4.285889235758525428e-01,1.471351947326626775e-02,4.325095078251398051e-01,4.333793375196208220e-01
4.288957595839520409e-01,2.842946268537072801e-02,5.297874380160698671e-01,5.214331877129942949e-01
5.022817701167178184e-01,3.807442660872453755e-02,5.862253615462927891e-01,5.903735063264929916e-01
2.100336929812262610e-01,1.900084633832640341e-02,5.812430083484225740e-01,5.783693120038173596e-01
4.961429359660377569e-01,4.242827255238476591e-02,6.123445993045527613e-01,6.064788058223176126e-01
7.829590480681329900e-01,1.912905284591341279e-02,5.866373951779582097e-01,5.898261509761654198e-01
3.712791372713470928e-01,2.245370286983462346e-02,5.003314355795874802e-01,5.069180656165178656e-01
6.489307754459674449e-01,2.436747271374822832e-02,5.286139584324516250e-01,5.310790991799488880e-01
4.656733340422971046e-01,2.385023548693123580e-02,4.949055222462184767e-01,4.957113188154460559e-01
3.255686255706713439e-01,3.235746444846865355e-02,5.955354967833673685e-01,5.908743952565076452e-01
7.430015424908777977e-01,1.518105252199238725e-02,5.009589491950143803e-01,5.153167858840819182e-01
2.100963708081278192e-01,1.981463496993334655e-02,5.913567556353578336e-01,5.957580487386653356e-01
3.821053559597064053e-01,1.530374140928817198e-02,4.428800148775295931e-01,4.371835415258147339e-01
7.994155293943625562e-01,1.746253618326012308e-02,5.897443940552197228e-01,5.858462044740210262e-01
3.572880777139937347e-01,3.932520467738024467e-02,6.265664421334726786e-01,6.270013383763322068e-01
7.094267131155633788e-01,3.331700392198407717e-02,6.392331330879985618e-01,6.314594774280186673e-01
5.634098891934226083e-01,4.832551860908155389e-02,6.553940589278168805e-01,6.562372109628694661e-01
6.836214245162741676e-01,4.775585182821717734e-02,7.195979640977344660e-01,7.173026063191706436e-01
5.781906532660869846e-01,1.422884511085276138e-02,4.332551007222629758e-01,4.393864537238440504e-01
4.176181142347090702e-01,1.444757161825155345e-02,4.315107129216730897e-01,4.363214862398143157e-01
6.564732707500895437e-01,4.584415825516127002e-02,6.845036810472949762e-01,6.709472538601211067e-01
2.158907293423834028e-01,1.125319213663141318e-02,4.736959550893502513e-01,4.739044680194868242e-01
4.680877710406711745e-01,3.925332711484987025e-02,5.942905580827707590e-01,5.862032205851522848e-01
4.231127419220636621e-01,1.362918933756267909e-02,4.248470438408762373e-01,4.303952338371188624e-01
4.862444033824097622e-01,1.143664986123544766e-02,4.064226285957722729e-01,4.072631579414113800e-01
2.765724118976418122e-01,2.476597501791216044e-02,5.687878550462810434e-01,5.715298823072160195e-01
3.335041195677634907e-01,3.578268547302071445e-02,6.157815442306247000e-01,6.104559205866082472e-01
5.372309540598256827e-01,4.298759080755707590e-02,6.188606476638109921e-01,6.280027988537885131e-01
4.326614693935724176e-01,1.436679704220470907e-02,4.296148377521217254e-01,4.397152045878739424e-01
6.749937233542044890e-01,9.486677343409433485e-03,4.138877235726481918e-01,4.085638683595171350e-01
5.630819535665088083e-01,4.067208139730475736e-02,6.098764537958399901e-01,6.117405294051715403e-01
7.167600108721965402e-01,2.529577512989094820e-02,5.781058657542603729e-01,5.747393536123094337e-01
6.394165023953628513e-01,3.243063507908419685e-02,5.835018087336379944e-01,5.833839590493343774e-01
5.610940686551391110e-01,3.128906781528712627e-02,5.500158586871631838e-01,5.436876737910403268e-01
3.725693613175974361e-01,3.923678734053030748e-02,6.184371636937560091e-01,6.277728912666591388e-01
6.696562807557011610e-01,4.953015110160306766e-02,7.184865677950491580e-01,7.136406702396358437e-01
3.507605469026491285e-01,3.416411701100533632e-02,5.943049131195876633e-01,5.928244940446001365e-01
2.451266670886426691e-01,2.143451918743741538e-02,5.658320304135237011e-01,5.683394450690762989e-01
7.777187470659367996e-01,1.287004214617866113e-02,5.030899333334304391e-01,4.998521299413498098e-01
5.240067230578815405e-01,9.629546853024428116e-03,3.941314406486061128e-01,3.929348784999446287e-01
6.643365785298869231e-01,3.611993712570996801e-02,6.240221458163387469e-01,6.212039465842039698e-01
5.175336845782161355e-01,1.647966237700866990e-02,4.438528317616570185e-01,4.431855279874755693e-01
5.669478382230929148e-01,1.749205128487211006e-02,4.557514783012679427e-01,4.498987651257664311e-01
2.203353503099037547e-01,2.495060941767435203e-02,6.362044775267823304e-01,6.340145371487708736e-01
3.120762076122851614e-01,2.874193422506114010e-02,5.761594009491536328e-01,5.751249363255923619e-01
6.048136372608665656e-01,2.372666090707088032e-02,5.084368792319086117e-01,5.067682492128879890e-01
5.423387587714989522e-01,4.800669573815059821e-02,6.489442816350921017e-01,6.492277314095610263e-01
2.951330203920276007e-01,1.841409983657353935e-02,4.977813096973530138e-01,4.963157986005694022e-01
7.712175612357110577e-01,3.209083822303018807e-02,7.093051826018064165e-01,7.130712396440033185e-01
2.926121795284425953e-01,5.731044124648768112e-03,3.751500496919399907e-01,3.735340700630108146e-01
5.061819498432111875e-01,7.869732874719712404e-03,3.802380112449770810e-01,3.795547632634976853e-01
2.864017250115546420e-01,1.395260965706301287e-02,4.598316083188404568e-01,4.565077016388611741e-01
6.304230356637408050e-01,1.766042931816860784e-02,4.701408225731638635e-01,4.675082483725876981e-01
3.657878084570916899e-01,2.598454936962478479e-02,5.284812362762838500e-01,5.221587723221853272e-01
2.804803850730699932e-01,3.083933308681128041e-02,6.189017414016089180e-01,6.214956660059987037e-01
2.275923084023094012e-01,1.246644988956921093e-02,4.796445326386214458e-01,4.739319425503589756e-01
3.049013227385741764e-01,3.103923907012933955e-02,5.996620177381390970e-01,5.959327357471975173e-01
3.150792300341398455e-01,8.682036795353420891e-03,3.997739323008090984e-01,4.015701555608651163e-01
5.221832477430756736e-01,2.265236222043981451e-02,4.872999095538835812e-01,4.893127763836062627e-01
4.706233317028347685e-01,4.091436864529999357e-02,6.041641177559166076e-01,6.021635440008912266e-01
7.743766203521225133e-01,2.637464085959812313e-02,6.560802142222621480e-01,6.459838851698180839e-01
7.724908021199856645e-01,3.497307597954182889e-02,7.394592584175956329e-01,7.415618248540735147e-01
6.779276662810582721e-01,1.506069008573566320e-02,4.645948793390235476e-01,4.658926966334838715e-01
6.029525803884220325e-01,3.683861262035562079e-02,5.977252371110240992e-01,5.906633310336651954e-01
7.070138549410078799e-01,4.929369987309634854e-02,7.549015251597636089e-01,7.587531355737361372e-01
7.632510970879309298e-01,3.429270823219274927e-02,7.166664574574572733e-01,7.131609584552901504e-01
2.135706373322016627e-01,4.912336789769532891e-02,8.840017970933360392e-01,8.783708565125695200e-01
2.708631362905152273e-01,4.252435299086673032e-02,7.248710268257225753e-01,7.253496803805438153e-01
4.161583308101859391e-01,3.956961615064199383e-02,6.050768913040731611e-01,6.041845391470770377e-01
2.561521118255598584e-01,2.656374085001284371e-02,6.054244455597141972e-01,6.064375655646699892e-01
5.597146838319664308e-01,3.083343462549387529e-02,5.467652702905551054e-01,5.387365299989329559e-01
3.562185334088652233e-01,1.612139036511046550e-02,4.548705068876357505e-01,4.639316574689976158e-01
3.586038374793953376e-01,4.435522044440672745e-02,6.589373326483167759e-01,6.559240395755980835e-01
3.729967931887193666e-01,5.603962081208169188e-03,3.648622892507108473e-01,3.571639927082287946e-01
2.586293945506340508e-01,4.088302317744988562e-02,7.288298812970182006e-01,7.319240922398539961e-01
6.445666719428955194e-01,4.730178575582658779e-02,6.855285293327367802e-01,6.837545086822308660e-01
5.904034577597900846e-01,1.993281461678977212e-02,4.775028806456116381e-01,4.791271730744761648e-01
5.639048543847575701e-01,4.099776807546375718e-02,6.120611404230859032e-01,6.103630982699607133e-01
2.204273493666652761e-01,2.431750099075462995e-02,6.289559248636770183e-01,6.286572230612774703e-01
4.576784867833265658e-01,4.356255020108328740e-02,6.212877540983439140e-01,6.225166183170370848e-01
6.111221539399056546e-01,3.330593626548340042e-02,5.773478972697655420e-01,5.736146328498510361e-01
2.938079899421518482e-01,7.509478796951931517e-03,3.930685634974337983e-01,3.964622614767315811e-01
4.313947067945305136e-01,2.190488166050526611e-02,4.843620234648716161e-01,4.820125229694738889e-01
2.119004872819621466e-01,5.865932831292376866e-03,4.012114660711865177e-01,3.968630303503341561e-01
2.491147982463452482e-01,3.871933975308016612e-02,7.251123951771248910e-01,7.254975572862374378e-01
3.298721479994323746e-01,4.418800317097507785e-02,6.769511672183692319e-01,6.791763736108243910e-01
4.487900966847492290e-01,4.982487567152708158e-02,6.589348213384258468e-01,6.577894246303326309e-01
4.779440217724279516e-01,2.868555584318785087e-02,5.267696428798261943e-01,5.224570439444283787e-01
7.307129189708678751e-01,2.260816592674176617e-02,5.655931586009350642e-01,5.686920864324782610e-01
3.899950653044079729e-01,2.860522875073749985e-02,5.396554784016649453e-01,5.308538344410510534e-01
2.128783257663148243e-01,2.495734468938408043e-02,6.486047638046930075e-01,6.434504431245153810e-01
6.957340080626992496e-01,1.819128667149932238e-02,5.004586975565977758e-01,5.006563120092647479e-01
2.371081612241436876e-01,4.596163180739254450e-02,8.061424787441158202e-01,7.993371817525904977e-01
2.557951955973370439e-01,2.273825868266608069e-02,5.683485021868159848e-01,5.684884735080618645e-01
7.779090300438411543e-01,4.530479813672552009e-02,8.430507250302399225e-01,8.427764094401476447e-01
6.520192508770150663e-01,3.049252298622980376e-02,5.759833879390483524e-01,5.804770868833392106e-01
4.027125216675530583e-01,4.311119605474175720e-02,6.311872559355989898e-01,6.266133041765324929e-01
2.793073049715174561e-01,3.495237122151295672e-02,6.544914010934840265e-01,6.513618684752757737e-01
4.320383439031169615e-01,2.611592754172373590e-02,5.135717286728215258e-01,5.152376370963265284e-01
4.035169356681042041e-01,3.723403935751045529e-02,5.937805174266168606e-01,5.814926994755877931e-01
7.246647208654839467e-01,3.764592224922418823e-02,6.904686993632316305e-01,7.059689108578045547e-01
4.512518103884240461e-01,4.412187643621186262e-02,6.254909337941920722e-01,6.219976801418832801e-01
2.492270036093732488e-01,2.573615004276767412e-02,6.052209726301592818e-01,6.015717973665315466e-01
7.560831214151517710e-01,2.883298701512641143e-02,6.538697284015275724e-01,6.581753659560460878e-01
5.733880182291561933e-01,3.939070723245263750e-02,6.045642298083033772e-01,6.043650706011249873e-01
2.700259140686013248e-01,2.816446300063055186e-02,6.057076241865628763e-01,5.968104810930449089e-01
2.679044960278534337e-01,3.291624646581597230e-02,6.499673394940961302e-01,6.531019763945591361e-01
4.795599446985586156e-01,1.559553391718177320e-02,4.366952090927573304e-01,4.409720982627533536e-01
2.552533794134697054e-01,4.892445222687658718e-02,7.965167866550656450e-01,7.942670552876859302e-01
5.790513153216552134e-01,3.361873253979666409e-02,5.692888436449170531e-01,5.678808418534568858e-01
5.698302746569462451e-01,3.427463165351739977e-02,5.712749941991400737e-01,5.737049171854370355e-01
2.192488091708922338e-01,3.853351810774597458e-02,7.779089119093852700e-01,7.733650106598130014e-01
6.844536686247768564e-01,4.044731088298967464e-02,6.702317120887293367e-01,6.724236549097638571e-01
6.720768565636991987e-01,9.315496056805143421e-03,4.115923429088835239e-01,4.125888354611060294e-01
7.491849611691852040e-01,2.165265730320539705e-02,5.740281683624630649e-01,5.706535052835834954e-01
6.021839880430863712e-01,3.193880864659338903e-02,5.649636741515751126e-01,5.580031647825158814e-01
6.157173394011340450e-01,4.973869773113158421e-02,6.835325128415485896e-01,6.824044836877432019e-01
2.982449926719007438e-01,2.824128552539548545e-02,5.818382351903190752e-01,5.774611238990182693e-01
