M,T_body,Q,Q_noisy
7.670141458614694596e-02,2.902716947989051164e+02,1.202823316060492032e-01,1.101618219273144683e-01
7.555916552311503498e-02,2.803877234581137259e+02,1.307941493023299928e-01,1.238317999686544407e-01
2.885348643672528635e+00,2.972169066645448083e+02,1.169942687244434731e+00,1.180582728970270612e+00
6.763007261299959509e+02,2.897244708123951114e+02,1.351461474286299799e-02,5.408567515000625020e-03
4.446157157304114094e+01,2.907510870014514808e+02,4.177235354660875921e-01,4.232811922676907868e-01
5.582178105789784439e+01,2.784244739036060992e+02,3.589799769331628032e-01,3.554493117552913195e-01
3.594272526089051212e+01,3.113239191471255936e+02,5.483109727765239638e-01,5.314175507034919477e-01
3.818795333055807983e+00,3.051898251280504724e+02,1.353656500845640487e+00,1.347259975690776157e+00
3.207403088227367789e+02,3.125920278833930297e+02,3.584994054482280174e-02,1.684194724146442779e-02
1.373349053970225953e+01,2.942346354255190022e+02,1.295848255565598128e+00,1.295978555282992994e+00
1.004936416764313112e+00,2.700965052402596029e+02,8.374595454571057696e-01,8.149822209057930866e-01
2.900700240792381673e-03,3.124269916739106634e+02,1.715473946504175382e-02,-4.703147920863109260e-03
8.525019135849187801e-01,2.688088160884736908e+02,7.770282635291820839e-01,8.061674998352872379e-01
1.892282495860361791e-02,2.734983805214018275e+02,6.247268375451878880e-02,6.140899934841195784e-02
6.254286694463726502e-03,3.169266071513741849e+02,2.790885368248146106e-02,2.683081317304060118e-02
1.087400517067635519e+00,2.958827625842853308e+02,6.498542495432788613e-01,6.600849779416312346e-01
5.134660759313202050e+01,3.021248575701515051e+02,3.449742805828853731e-01,3.365571405319079390e-01
5.888960710434752721e-02,3.101545966953302695e+02,1.032116775572397699e-01,9.864097020767660651e-02
4.098553037403475940e+01,3.015506424626815942e+02,4.515471966751640753e-01,4.600501713818022642e-01
1.424876221501555573e+00,2.894184208448252775e+02,7.925419130281189384e-01,7.981902298730069178e-01
7.839495952493981401e-03,2.948649679870194973e+02,2.933697924270397758e-02,6.151044704055384782e-03
6.163202877568936628e+02,2.869166086519747978e+02,1.551377898814973108e-02,3.218063092154296867e-02
2.569314946531958133e-01,2.967454733733824241e+02,2.541378310920512917e-01,2.423291322262704217e-01
5.907524534534838029e-02,2.651213866890484496e+02,1.550913941825690368e-01,1.339698151762853118e-01
1.207786646886953008e+02,2.929546352913708347e+02,1.193052210734257268e-01,1.012957196734446952e-01
5.581642220902881431e-03,2.663101980427658191e+02,3.585929203790140518e-02,2.804838515079494804e-02
2.520825401595650916e+01,2.710319571853186744e+02,1.028909996488075906e+00,1.061456001580537212e+00
1.339517696202603692e-02,3.115502551034198291e+02,4.204797512448310570e-02,1.853725702606749334e-02
2.264387016528113528e-01,3.012662364517996139e+02,2.343362646719372444e-01,2.375377825226240580e-01
2.462630595319751509e-02,2.750192328955749304e+02,7.120054507730545768e-02,2.844405791549391160e-02
1.115239020083558756e+02,3.060961388888506463e+02,1.325453229413471323e-01,1.325139842784431865e-01
2.190016120434366831e-01,2.911680798273313258e+02,2.332920306537037136e-01,2.512833590032238495e-01
7.049476665161977280e+02,2.724165451785220853e+02,1.610409638054781378e-02,1.137082993931871205e-02
5.643764799399427545e+00,3.161327132328667631e+02,1.649357320373562308e+00,1.636770221895895494e+00
1.451232541679383026e+01,2.712042804166970882e+02,1.647156353560354392e+00,1.651786574841525246e+00
1.346327549724907646e+00,2.660858571910060846e+02,1.122789230162720919e+00,1.136792265185733841e+00
7.141824839153887439e-02,2.791130950651127023e+02,1.285390666251725877e-01,1.418122180455207160e-01
2.362318909377041920e-01,2.697772948808328692e+02,3.294091575112327863e-01,3.688586345898285934e-01
4.421861401600060049e+02,2.659196802219863116e+02,3.431184334815907261e-02,3.849519279488460705e-02
1.611458792280884983e-02,3.009283032055321883e+02,4.499264419632355294e-02,3.314444220126490370e-02
8.497935047695996218e+02,2.722579176445210578e+02,1.274202970665976216e-02,1.022244590692690698e-02
3.546787523018166155e+01,2.960133914234093595e+02,5.344149413827625761e-01,5.329649704703662838e-01
1.441191058385216939e-01,2.783424406044097736e+02,2.027091841937283812e-01,2.048839318632907636e-01
7.064501749780507822e+00,3.167357574672130340e+02,1.703206855578664358e+00,1.702606299314075589e+00
1.931475642742675747e-01,2.768720793562143285e+02,2.503215554291396416e-01,2.538008742070637092e-01
1.945170147516966375e-01,2.936360099487864090e+02,2.139768055574318983e-01,1.805598043451296375e-01
1.053944401327253644e+00,3.054242991884411254e+02,6.430948323416646462e-01,6.596874114624654561e-01
1.259902477127175470e-03,2.821121455246211553e+02,1.110444810213183711e-02,-3.903372762888105557e-04
9.150174146592482405e-01,3.107456664529146906e+02,6.030354435278076908e-01,5.795722695988672069e-01
6.754457613477245559e+02,2.822688423672274780e+02,1.446184135906085008e-02,2.721686455188956216e-02
5.161683516788508758e-02,2.863323035075756593e+02,9.656011417891531556e-02,1.229066343266369543e-01
3.085373566595218264e+01,2.886713555390256261e+02,6.447969604168208857e-01,6.546575234068097160e-01
4.536629791586969107e-01,2.880391767062492931e+02,3.811436100871337662e-01,3.843667963640441942e-01
1.801715669875042156e-02,2.984369009925728164e+02,4.807664883646629167e-02,2.943224272902724911e-02
2.691630401310346201e+02,2.774435086379907034e+02,4.994500888222121876e-02,1.073763556384911971e-01
1.261722094086845146e-03,2.831067760743629833e+02,1.098615501585231517e-02,2.859132742908247760e-02
6.622981769390083595e-02,2.775934617224633030e+02,1.255081358658976798e-01,1.027222424590381600e-01
9.866322200645314524e+02,2.802319886684290395e+02,9.169385891729778942e-03,-6.423372433065111659e-03
3.740079012369403044e-02,3.069530279390203305e+02,7.655150050933669237e-02,7.829108548077477747e-02
1.242416273193385621e+02,2.996096714602027760e+02,1.138690114363735129e-01,8.277438879645379610e-02
4.306246556172500739e+00,3.179534116333218776e+02,1.549755994382420843e+00,1.553128602522631185e+00
6.858264733649717471e+01,3.172571522344876485e+02,2.638815048081751269e-01,2.547000736939199483e-01
6.052106094266011205e+00,2.762796995799311617e+02,1.843393965297557280e+00,1.867919377303881578e+00
1.500310478018128113e-01,2.765470319778630142e+02,2.141311785587715621e-01,2.333742718313364939e-01
3.670563211138848914e+01,3.149206378674193161e+02,5.500584569624892284e-01,4.958327482137937503e-01
1.441807543542434613e-03,2.726427903892161453e+02,1.400439265050078437e-02,1.483844437104703609e-02
4.795983832563258664e-01,3.068651775848164789e+02,3.875553636171643057e-01,3.552060136266905199e-01
1.702657984071989927e-01,2.755467869681321531e+02,2.362892748075346994e-01,2.584820347925051442e-01
7.285242858103593289e-01,2.728670164970655492e+02,6.386470925849659919e-01,6.420092099675225317e-01
5.830745945722235792e-03,2.891584139107815190e+02,2.525763788658280662e-02,3.622574693032275250e-02
2.162923681481885435e-02,3.026232822448030788e+02,5.393704131396207663e-02,3.263454673789609184e-02
2.356728428452252277e+00,3.114292776536808560e+02,1.092729513791674600e+00,1.129298118551584684e+00
2.121361554894965196e-01,2.764483074960279509e+02,2.677873403311333833e-01,3.081888076741423066e-01
5.622600586208977091e+01,2.704837167530560009e+02,4.146778632000788778e-01,3.933824423475546506e-01
4.273852559351593250e+00,3.085992105967058023e+02,1.438492427930701867e+00,1.445948730368028290e+00
1.470957445038735614e+02,2.898059473809778410e+02,9.429773100400082320e-02,8.083168243619708038e-02
2.478363611542782863e+01,2.985263317633251177e+02,7.870101697374732863e-01,7.865387710002585964e-01
4.082636242215267330e+00,2.971310828853509065e+02,1.376932160533189675e+00,1.351619420948698469e+00
5.317329989947327390e-02,3.068449623050926220e+02,9.515661015436442660e-02,1.324995204459767928e-01
4.972362787092605885e+01,3.194257402352926647e+02,4.005718383580512132e-01,3.811882481363978448e-01
3.218143968599822963e-02,3.006450319023398379e+02,6.855345466736345594e-02,6.263177836741357085e-02
2.826615075417965913e-03,2.850866345624235123e+02,1.709521531412300580e-02,2.712487393633345248e-02
5.986699654464642890e+02,2.746189404008850374e+02,1.896265843446114097e-02,6.011444866138570056e-03
1.738069868315983424e+00,2.706583350425854064e+02,1.169942706742232996e+00,1.165156458147587060e+00
4.399119760907977650e+01,3.030354787092010724e+02,4.164326969407321499e-01,4.051599000121928751e-01
1.497396610693068064e+00,2.790306984607883578e+02,9.103661323130951555e-01,9.076969172163692479e-01
4.671736962035122787e+00,2.802680626815103437e+02,1.626520899959618127e+00,1.603110047257612081e+00
1.597178675345425729e-03,2.893840781771575621e+02,1.190093167713338063e-02,3.141170165087367808e-03
1.320571973865419108e-02,2.940179196084080786e+02,4.014849893944950898e-02,3.601064044520461971e-02
1.117214008558786986e+01,2.878881411086421735e+02,1.487851298326147376e+00,1.481176778250064663e+00
2.650864857385031748e+00,3.175637392355174029e+02,1.227886887369875613e+00,1.229020686467751533e+00
8.939849423743016082e-03,2.813950109113676490e+02,3.500481455356620197e-02,2.914277016643177648e-02
5.154370257986979595e+02,2.981110244948146715e+02,1.859488288121453198e-02,3.365911105000214676e-02
8.435712991091595669e-03,2.658934983745706973e+02,4.633038413500199793e-02,3.986646561928539750e-02
1.152973958934970122e+00,2.685074512913241165e+02,9.519169317777527173e-01,9.491839398518350235e-01
7.311681248014108812e-03,2.759420784697437057e+02,3.373572528966565370e-02,2.044009856974860623e-02
2.014792644261101273e+01,2.804738580555393810e+02,1.078040868105201611e+00,1.067510571302896949e+00
4.548603535320178137e-02,2.906477825628747382e+02,8.663489703175880630e-02,6.134504121536456245e-02
6.379752793315100062e-03,2.965814071061026880e+02,2.588261114835001958e-02,3.625830956590930104e-02
1.887657004897894423e-03,2.741256609761401251e+02,1.585198851862573699e-02,-6.998371834424105958e-03
1.119471978908864913e-02,2.968257366412692022e+02,3.614273403352143837e-02,2.122560606975493896e-02
1.415116843933936566e-02,2.695002671943208270e+02,5.731941062095431694e-02,6.450430366117840264e-02
1.666604221016541709e+00,2.865751093805375262e+02,8.925626658982510619e-01,9.006141332171416769e-01
5.084325155777105198e-01,3.088953394553666385e+02,4.067008802631108533e-01,3.986985852430094401e-01
5.543272181635179550e+02,2.911245610506199455e+02,1.727187908849938877e-02,-2.311343712127664554e-02
5.307720206434113379e+02,3.016337595305511172e+02,1.795119187012909900e-02,2.636145761604060528e-02
6.015568310085991754e+01,2.772963989936769167e+02,3.333332110553081651e-01,3.385244802331493497e-01
1.070349976550104998e+01,3.039138598693235167e+02,1.466130181690417311e+00,1.437882557380981696e+00
1.175272432673617971e+02,3.191367442893399584e+02,1.364464716405734135e-01,1.518529132964633321e-01
4.290530275749106295e+02,3.008021989504578073e+02,2.350937024959640770e-02,9.487374240927883354e-03
1.366804416105897460e-03,3.189285607638498163e+02,1.179147670795378453e-02,-1.073228561511222617e-02
5.112476949244160185e-03,3.108630980999482176e+02,2.361725397791104505e-02,2.553186819719618222e-02
1.450719030333846860e-01,3.072517530730068529e+02,1.794372395954845767e-01,1.758678309675002771e-01
3.643519668279969134e-03,2.913556832611267851e+02,1.894154742185519616e-02,2.299402744167814566e-02
3.955003191780275706e+00,2.965741978756036019e+02,1.360195718543746324e+00,1.328080757377257504e+00
3.649096379821534925e-02,2.785928104462461192e+02,8.532555884395802426e-02,1.215701611694054995e-01
3.855124205119117575e-02,3.131008249876082346e+02,8.097097664589388011e-02,6.891780435501931867e-02
5.369921436434915013e-02,2.657381758770322335e+02,1.434929462318264848e-01,1.126997600618982603e-01
3.857393510477723220e-03,3.088570283279942714e+02,1.978819219271905905e-02,3.216503596406204701e-02
2.790401645968558597e+01,3.167021825904546972e+02,7.584000863051724162e-01,7.513040037031488705e-01
8.017418938216666291e+00,2.832512178649652697e+02,1.687380070449733926e+00,1.693877240165192033e+00
4.355605563294740357e+00,3.089972720922334588e+02,1.451823759422921745e+00,1.445031590810420985e+00
1.600565655429694867e-03,2.886102789887000881e+02,1.197591306371457130e-02,1.078110585411616758e-02
3.773852030365498211e-01,3.121320058013239986e+02,3.419172295556544006e-01,3.468326864304270840e-01
1.291878109787440643e+01,2.995961443244797238e+02,1.334026323656913426e+00,1.319093265977255403e+00
8.671213899302537484e-03,2.680671407518301521e+02,4.434770874533023460e-02,5.792250066252139368e-02
2.060378777846623155e-01,2.856615220295064432e+02,2.331340273453068046e-01,2.237360253637159235e-01
1.315239589205255714e-03,2.660583623493573668e+02,1.565357950395645029e-02,-1.740163379452996234e-03
3.098474900561185453e-03,3.062125263648757709e+02,1.719959051312342987e-02,1.874023894957348516e-02
1.989397097578668103e-02,3.128964483200806512e+02,5.391755995788494876e-02,6.281838552770578621e-02
3.075395445400435634e-01,3.197859591540886299e+02,3.205812382380127668e-01,3.159996514056399586e-01
6.017834194372853052e-01,2.939490126972295911e+02,4.445215823096011487e-01,4.272711865680098864e-01
2.028285984625106266e+02,2.865210916882399488e+02,6.412807587412273913e-02,7.652378720029540116e-02
7.942379838572466433e-02,2.938508351397902629e+02,1.210341888643333003e-01,8.582761302187776054e-02
1.345188846237574572e-03,2.893923101759138490e+02,1.079020789214713179e-02,-9.827074828563526696e-03
9.064421257844874447e+01,2.811226837096102713e+02,1.888546664647835216e-01,1.896451242754512156e-01
2.350074403294678208e-03,3.150642166534797752e+02,1.551005981096320423e-02,-1.171112815513814485e-02
3.613698837188655897e-03,2.866800939454807349e+02,1.943748367350747741e-02,1.999736895849086107e-02
6.012987491940601785e+02,3.142614199448867112e+02,1.631243703635387732e-02,1.521517467598460134e-02
3.312779337905909216e+01,2.961575280942808490e+02,5.773521649378030585e-01,5.953269607149663800e-01
1.064449878356469592e-01,3.115803507335732547e+02,1.511324662330262025e-01,1.328366591967603816e-01
6.209734751626198521e-03,3.016084537151825202e+02,2.548933826195631455e-02,1.297120778912346124e-02
2.091141587049182848e-01,2.908083558843289893e+02,2.268796555194901310e-01,2.335432892135101413e-01
1.084349682601777054e-01,3.043971592147349838e+02,1.474685974242546938e-01,9.831732562013854870e-02
1.764603794019993472e+02,3.049005716379406863e+02,7.363377003190703374e-02,1.356346160101987164e-01
3.254753508941536366e-01,3.128156267553700332e+02,3.121583461862869058e-01,2.981853315770515156e-01
3.106490544808355059e-03,2.903441833856049357e+02,1.735618696735980598e-02,2.759485912848649858e-03
3.637736302924971596e+02,2.941292063518211535e+02,2.918054713462841718e-02,4.640309735270267688e-02
5.418513781470454482e+00,3.070330866174421089e+02,1.535937161268448259e+00,1.535140524439734477e+00
5.014863780220178875e-03,2.933121214452150980e+02,2.264440846551668551e-02,-1.294416390855513549e-02
4.775787123713208168e-03,2.991198567915528770e+02,2.179477183828215300e-02,3.433331944013439524e-02
6.245963571950360338e-01,2.779500970098888502e+02,5.264389316436605126e-01,5.435464883236447164e-01
3.568895191579543776e-03,3.186854416106269241e+02,2.043800650946969027e-02,1.143908103995086405e-02
6.173239881270144558e+00,2.999784508819736857e+02,1.544689595715990516e+00,1.539057588550150069e+00
4.992323809495534448e+00,3.007801053542990530e+02,1.476515279743979336e+00,1.486234971689167184e+00
1.557715321920063187e-03,3.059854110205783968e+02,1.156690849413242149e-02,-6.608696504156569632e-03
6.990957891312362449e+01,3.083244910792096221e+02,2.411069236702484686e-01,2.498746949543866336e-01
5.257370278779936967e+01,2.702744951805396454e+02,4.524198036066993667e-01,4.564057738155893329e-01
3.103484721522613086e+02,2.853532478150287943e+02,3.767887621138223814e-02,2.418022389586387683e-02
1.051574098611020958e+01,2.979252105680585601e+02,1.465063180495943973e+00,1.437221143019707048e+00
1.436062673347121432e+01,3.196806305602719362e+02,1.405946459835805129e+00,1.401434343220583356e+00
