t,C,Q,dC_dt,dC_dt_noisy
1.072214442888577812e+00,2.740287346869659579e+00,1.198570669744162751e-02,-3.350398860630263265e+00,-3.355542705442640550e+00
1.076015203040608048e+00,2.727599053029563958e+00,1.256409053633256168e-02,-3.326356540536322459e+00,-3.326193696925955567e+00
1.079815963192638506e+00,2.715001660774413406e+00,1.313759031883159241e-02,-3.302565095928817307e+00,-3.308077154034804845e+00
1.083616723344668964e+00,2.702494222285913850e+00,1.370625400786706048e-02,-3.279021036737520323e+00,-3.253139760449556217e+00
1.087417483496699422e+00,2.690075804050540587e+00,1.427012891810698625e-02,-3.255720935008579175e+00,-3.235586448702463258e+00
1.091218243648729658e+00,2.677745486391222229e+00,1.482926173841971063e-02,-3.232661423322214400e+00,-3.286884672901533744e+00
1.095019003800760116e+00,2.665502361560835087e+00,1.538369861099095695e-02,-3.209839191433494499e+00,-3.247619456352847767e+00
1.098819763952790574e+00,2.653345533742209827e+00,1.593348513132363670e-02,-3.187250985355429389e+00,-3.190746427196532675e+00
1.102620524104821031e+00,2.641274119048128366e+00,1.647866634823796916e-02,-3.164893606461320452e+00,-3.173337414692847691e+00
1.106421284256851267e+00,2.629287245521324312e+00,1.701928676387144679e-02,-3.142763910605923083e+00,-3.138491050655950687e+00
1.110222044408881725e+00,2.617384053134480748e+00,1.755539033367891494e-02,-3.120858807264931922e+00,-3.116512368644480446e+00
1.114022804560912183e+00,2.605563693790233781e+00,1.808702046643243314e-02,-3.099175258692390855e+00,-3.056818483591369873e+00
1.117823564712942641e+00,2.593825331321172101e+00,1.861422002422135832e-02,-3.077710279095546841e+00,-3.099950694349392410e+00
1.121624324864972877e+00,2.582168141489834312e+00,1.913703132245231017e-02,-3.056460933826754101e+00,-3.064013033969294142e+00
1.125425085017003335e+00,2.570591310268951712e+00,1.965549620133194217e-02,-3.035424336471090889e+00,-2.994568904321244229e+00
1.129225845169033793e+00,2.559094033333569218e+00,2.016965604360951292e-02,-3.014597647469874353e+00,-3.001663587545837508e+00
1.133026605321064251e+00,2.547675519519932763e+00,2.067955163182856257e-02,-2.993978077638101531e+00,-2.980716810190576105e+00
1.136827365473094709e+00,2.536334987518331197e+00,2.118522328860534404e-02,-2.973562883351500652e+00,-2.983843010785249827e+00
1.140628125625124945e+00,2.525071665794538234e+00,2.168671087992702154e-02,-2.953349365749117883e+00,-2.986310869166231008e+00
1.144428885777155402e+00,2.513884792589810235e+00,2.218405381515182323e-02,-2.933334870047186627e+00,-2.929985575162731948e+00
1.148229645929185860e+00,2.502773615920889316e+00,2.267729104700884346e-02,-2.913516784866849285e+00,-2.911336503110418139e+00
1.152030406081216318e+00,2.491737393580001569e+00,2.316646107159816420e-02,-2.893892541575401101e+00,-2.918439582660292686e+00
1.155831166233246554e+00,2.480775393134858398e+00,2.365160192839080300e-02,-2.874459613640737654e+00,-2.888124146876348775e+00
1.159631926385277012e+00,2.469886891928652517e+00,2.413275120022882400e-02,-2.855215515998700937e+00,-2.856656389593245304e+00
1.163432686537307470e+00,2.459071177080064619e+00,2.460994601332516796e-02,-2.836157804433035334e+00,-2.855052836894250934e+00
1.167233446689337928e+00,2.448327545483257150e+00,2.508322303726375629e-02,-2.817284074967633778e+00,-2.819249474324678317e+00
1.171034206841368164e+00,2.437655303170334964e+00,2.555261851211039492e-02,-2.798591962504770159e+00,-2.796682301955381256e+00
1.174834966993398622e+00,2.427053762529973291e+00,2.601816836434357391e-02,-2.780079136914305860e+00,-2.779367412173196161e+00
1.178635727145429080e+00,2.416522247471097007e+00,2.647990798611802102e-02,-2.761743308682619968e+00,-2.771869141848906093e+00
1.182436487297459538e+00,2.406060090471106694e+00,2.693787236425546072e-02,-2.743582224804244518e+00,-2.731707263368527983e+00
1.186237247449489995e+00,2.395666631951669068e+00,2.739209610704847891e-02,-2.725593667502397288e+00,-2.707770328416750694e+00
1.190038007601520231e+00,2.385341220278715646e+00,2.784261344426048820e-02,-2.707775453711418923e+00,-2.701358487620087789e+00
1.193838767753550689e+00,2.375083211762442748e+00,2.828945822712583547e-02,-2.690125434569260232e+00,-2.706490039117066537e+00
1.197639527905581147e+00,2.364891970657313269e+00,2.873266392834964572e-02,-2.672641494919801186e+00,-2.658008449244092297e+00
1.201440288057611605e+00,2.354766869162054466e+00,2.917226364210793316e-02,-2.655321552824752018e+00,-2.665350353194093191e+00
1.205241048209641841e+00,2.344707287419660169e+00,2.960829008404753521e-02,-2.638163559084954368e+00,-2.620580346719194598e+00
1.209041808361672299e+00,2.334712613517387680e+00,3.004077559128622357e-02,-2.621165496770837766e+00,-2.642601245108386454e+00
1.212842568513702757e+00,2.324782243486760436e+00,3.046975212241255504e-02,-2.604325380761868480e+00,-2.586036036699292939e+00
1.216643328665733215e+00,2.314915581303568004e+00,3.089525125748596168e-02,-2.587641257294746922e+00,-2.588042526387056341e+00
1.220444088817763451e+00,2.305112038806466757e+00,3.131730420158068684e-02,-2.571111203424966352e+00,-2.596086181231654688e+00
1.224244848969793908e+00,2.295371032600453720e+00,3.173594191817830784e-02,-2.554733322977548848e+00,-2.561011312416885843e+00
1.228045609121824366e+00,2.285691987890082544e+00,3.215119495969685770e-02,-2.538505750624042268e+00,-2.537423705048611478e+00
1.231846369273854824e+00,2.276074337956230043e+00,3.256309349361179162e-02,-2.522426650847266583e+00,-2.516970824063977652e+00
1.235647129425885282e+00,2.266517522491277248e+00,3.297166737562221006e-02,-2.506494215596350994e+00,-2.526137978095170489e+00
1.239447889577915518e+00,2.257020987599109851e+00,3.337694614965082407e-02,-2.490706663900748907e+00,-2.512854124844052794e+00
1.243248649729945976e+00,2.247584185795118650e+00,3.377895904784406628e-02,-2.475062241491452930e+00,-2.471070550834511437e+00
1.247049409881976434e+00,2.238206576006199100e+00,3.417773499057193132e-02,-2.459559220429242909e+00,-2.468894212766838958e+00
1.250850170034006670e+00,2.228887623570753096e+00,3.457330258642805909e-02,-2.444195898739828010e+00,-2.439485786505223519e+00
1.254650930186037128e+00,2.219626800238684083e+00,3.496569013222979722e-02,-2.428970600055718077e+00,-2.413780209606150695e+00
1.258451690338067586e+00,2.210423584171403721e+00,3.535492561301807612e-02,-2.413881673264699046e+00,-2.446857420591717958e+00
1.262252450490098044e+00,2.201277459941826553e+00,3.574103670205747846e-02,-2.398927492164748987e+00,-2.393839729834396746e+00
1.266053210642128501e+00,2.192187918534372670e+00,3.612405076083623212e-02,-2.384106455125279300e+00,-2.359613515774564796e+00
1.269853970794158737e+00,2.183154457344967714e+00,3.650399483906618253e-02,-2.369416984754545208e+00,-2.375367521641954749e+00
1.273654730946189195e+00,2.174176580181040652e+00,3.688089567468288976e-02,-2.354857527573109177e+00,-2.371073819237860647e+00
1.277455491098219653e+00,2.165253795557676497e+00,3.725477976914306349e-02,-2.340426551756985329e+00,-2.325381675213393340e+00
1.281256251250250111e+00,2.156385616719089793e+00,3.762567338328148825e-02,-2.326122546865470042e+00,-2.321053616541307374e+00
1.285057011402280569e+00,2.147571565020092610e+00,3.799360238895960890e-02,-2.311944027377855537e+00,-2.294026365962304137e+00
1.288857771554310805e+00,2.138811167010536973e+00,3.835859240038988482e-02,-2.297889529076735382e+00,-2.304793843277761045e+00
1.292658531706341263e+00,2.130103954384305887e+00,3.872066877641117816e-02,-2.283957608704835884e+00,-2.313593974179279922e+00
1.296459291858371721e+00,2.121449463979317773e+00,3.907985662048865660e-02,-2.270146843685040494e+00,-2.272347058979265366e+00
1.300260052010401957e+00,2.112847237777522924e+00,3.943618078071382121e-02,-2.256455831845382232e+00,-2.265372394905607045e+00
1.304060812162432414e+00,2.104296822904903053e+00,3.978966584980460353e-02,-2.242883191148934863e+00,-2.227376714707983485e+00
1.307861572314462872e+00,2.095797771631474848e+00,4.014033616510519903e-02,-2.229427559428486472e+00,-2.225554902460943563e+00
1.311662332466493330e+00,2.087349641371286424e+00,4.048821580858618513e-02,-2.216087594125896842e+00,-2.248704578774598950e+00
1.315463092618523788e+00,2.078951994682418647e+00,4.083332860684449339e-02,-2.202861972036046723e+00,-2.226765233638110519e+00
1.319263852770554024e+00,2.070604399266987361e+00,4.117569813110338178e-02,-2.189749389055285267e+00,-2.172073608323540128e+00
1.323064612922584482e+00,2.062306427971137612e+00,4.151534769721251100e-02,-2.176748559934269522e+00,-2.163153259585912647e+00
1.326865373074614940e+00,2.054057658785049867e+00,4.185230036564784040e-02,-2.163858218035134229e+00,-2.176663085353303995e+00
1.330666133226645176e+00,2.045857674842937346e+00,4.218657894151166959e-02,-2.151077115092873360e+00,-2.151098091024219006e+00
1.334466893378675856e+00,2.037706063896070674e+00,4.251820599841334147e-02,-2.138404020398173788e+00,-2.129492549322649975e+00
1.338267653530706092e+00,2.029602415925798375e+00,4.284720398464403335e-02,-2.125837717937542504e+00,-2.116469631220597059e+00
1.342068413682736550e+00,2.021546327959455880e+00,4.317359500387345922e-02,-2.113377011501527125e+00,-2.095852167579240088e+00
1.345869173834767007e+00,2.013537401697091944e+00,4.349740092570588551e-02,-2.101020721832895344e+00,-2.095891009288464168e+00
1.349669933986797243e+00,2.005575242945037306e+00,4.381864341158440285e-02,-2.088767685790333228e+00,-2.090664252569703230e+00
1.353470694138827701e+00,1.997659461615907350e+00,4.413734391479103014e-02,-2.076616756143166320e+00,-2.081793717438923164e+00
1.357271454290858159e+00,1.989789671728602771e+00,4.445352368044656888e-02,-2.064566801369582816e+00,-2.043451945358917943e+00
1.361072214442888617e+00,1.981965491408307800e+00,4.476720374551068637e-02,-2.052616705458290447e+00,-2.097633790959861244e+00
1.364872974594919075e+00,1.974186542886491313e+00,4.507840493878190885e-02,-2.040765367713540002e+00,-2.043538474215366829e+00
1.368673734746949311e+00,1.966452452500906833e+00,4.538714788089757979e-02,-2.029011702563449315e+00,-2.028351700483768116e+00
1.372474494898979769e+00,1.958762850695591196e+00,4.569345298433395708e-02,-2.017354639371559788e+00,-2.045861618588963537e+00
1.376275255051010227e+00,1.951117372020866547e+00,4.599734045340609506e-02,-2.005793122251566807e+00,-1.999136849988805809e+00
1.380076015203040463e+00,1.943515655133339459e+00,4.629883028426788616e-02,-1.994326109885156129e+00,-2.007351730134023793e+00
1.383876775355070921e+00,1.935957342795899816e+00,4.659794226491214414e-02,-1.982952575342887380e+00,-1.965703679416572536e+00
1.387677535507101378e+00,1.928442081877722813e+00,4.689469597517045146e-02,-1.971671505908066280e+00,-1.974183347588752913e+00
1.391478295659131836e+00,1.920969523354267849e+00,4.718911078671328418e-02,-1.960481902903549400e+00,-1.947098838087760297e+00
1.395279055811162294e+00,1.913539322295844114e+00,4.748120586358177408e-02,-1.949382781509114038e+00,-1.925005909405689497e+00
1.399079815963192530e+00,1.906151135560383292e+00,4.777100026852348219e-02,-1.938373168116200640e+00,-1.930714576461931120e+00
1.402880576115222988e+00,1.898804624248706885e+00,4.805851284642403964e-02,-1.927452102816465507e+00,-1.944966525684922454e+00
1.406681336267253446e+00,1.891499454475988884e+00,4.834376219107362066e-02,-1.916618640063967982e+00,-1.946905012698060711e+00
1.410482096419283904e+00,1.884235295621065287e+00,4.862676672731142818e-02,-1.905871846636662204e+00,-1.870804164286334670e+00
1.414282856571314362e+00,1.877011820326434766e+00,4.890754471102568002e-02,-1.895210801486901353e+00,-1.897436645350651707e+00
1.418083616723344598e+00,1.869828704498258887e+00,4.918611422915359493e-02,-1.884634595594375961e+00,-1.898405894547062323e+00
1.421884376875375056e+00,1.862685627306360558e+00,4.946249319968144126e-02,-1.874142331821454510e+00,-1.871257190060237940e+00
1.425685137027405514e+00,1.855582271184226695e+00,4.973669937164446053e-02,-1.863733124770872607e+00,-1.867561351380525592e+00
1.429485897179435749e+00,1.848518321829006217e+00,5.000875032512690221e-02,-1.853406100645725418e+00,-1.836363255361471714e+00
1.433286657331466207e+00,1.841493468201510275e+00,5.027866347126208613e-02,-1.843160397111721860e+00,-1.842481833462979779e+00
1.437087417483496665e+00,1.834507402526212916e+00,5.054645605223227756e-02,-1.832995163161661001e+00,-1.832720171489292671e+00
1.440888177635527123e+00,1.827559820291251080e+00,5.081214514126877746e-02,-1.822909558982080958e+00,-1.837201153402740150e+00
1.444688937787557581e+00,1.820650420248423718e+00,5.107574764265192246e-02,-1.812902755822047851e+00,-1.803511393847097910e+00
1.448489697939587817e+00,1.813778904413193116e+00,5.133728029171100160e-02,-1.802973935864040200e+00,-1.823651270311139827e+00
1.452290458091618275e+00,1.806944978064682683e+00,5.159675965482440202e-02,-1.793122292096885673e+00,-1.779804503301606333e+00
1.456091218243648733e+00,1.800148349745680054e+00,5.185420212941945634e-02,-1.783347028190725769e+00,-1.752868277930923036e+00
1.459891978395679191e+00,1.793388731262634428e+00,5.210962394397253283e-02,-1.773647358373952709e+00,-1.804141079135935799e+00
1.463692738547709649e+00,1.786665837081733876e+00,5.236304118661239820e-02,-1.764022506681023339e+00,-1.813347091308049608e+00
1.467493498699739884e+00,1.779979382651647235e+00,5.261446988269308234e-02,-1.754471705088350486e+00,-1.742134129985264179e+00
1.471294258851770342e+00,1.773329088535605003e+00,5.286392579852199070e-02,-1.744994197719863083e+00,-1.694036241410200594e+00
1.475095019003800800e+00,1.766714678219173384e+00,5.311142454765115095e-02,-1.735589238436096915e+00,-1.755607735413534876e+00
1.478895779155831036e+00,1.760135877772236679e+00,5.335698160702737752e-02,-1.726256090372134455e+00,-1.751270005548174247e+00
1.482696539307861494e+00,1.753592415848997277e+00,5.360061231699232709e-02,-1.716994025831012793e+00,-1.705214647155403274e+00
1.486497299459891952e+00,1.747084023687976995e+00,5.384233188128238756e-02,-1.707802326178792685e+00,-1.724616757979958948e+00
1.490298059611922410e+00,1.740610435112015741e+00,5.408215536702878218e-02,-1.698680281741253406e+00,-1.708800791419988085e+00
1.494098819763952868e+00,1.734171386528272851e+00,5.432009770475750010e-02,-1.689627191702192111e+00,-1.696589541035867565e+00
1.497899579915983104e+00,1.727766616928225751e+00,5.455617368838933112e-02,-1.680642364003292810e+00,-1.670002322277456930e+00
1.501700340068013562e+00,1.721395867887669739e+00,5.479039797523987954e-02,-1.671725115245537241e+00,-1.679831162473399697e+00
1.505501100220044020e+00,1.715058883566719983e+00,5.502278508601950863e-02,-1.662874770592134066e+00,-1.657317113790530927e+00
1.509301860372074255e+00,1.708755410709810407e+00,5.525334940483338231e-02,-1.654090663672933781e+00,-1.657621328850805265e+00
1.513102620524104935e+00,1.702485198645691478e+00,5.548210517918149287e-02,-1.645372136490302672e+00,-1.662265558563334800e+00
1.516903380676135171e+00,1.696247999287435748e+00,5.570906651995854303e-02,-1.636718539326439847e+00,-1.643115064481304177e+00
1.520704140828165629e+00,1.690043567132430979e+00,5.593424740145411939e-02,-1.628129230652090254e+00,-1.647137223955448704e+00
1.524504900980196087e+00,1.683871659262385689e+00,5.615766166135254672e-02,-1.619603577036658137e+00,-1.619473277319263271e+00
1.528305661132226323e+00,1.677732035343326711e+00,5.637932300073295044e-02,-1.611140953059668091e+00,-1.633618277610980885e+00
1.532106421284256781e+00,1.671624457625598525e+00,5.659924498406926352e-02,-1.602740741223563914e+00,-1.624598628609468687e+00
1.535907181436287239e+00,1.665548689433835827e+00,5.681744111217457843e-02,-1.594402330334613538e+00,-1.565263094028508384e+00
1.539707941588317475e+00,1.659504496107175431e+00,5.703392477424703427e-02,-1.586125116382915756e+00,-1.587188800789022691e+00
1.543508701740348155e+00,1.653491646881581678e+00,5.724870915817212302e-02,-1.577908504368750853e+00,-1.578986544878191678e+00
1.547309461892378391e+00,1.647509913037508822e+00,5.746180734153713554e-02,-1.569751906338049396e+00,-1.559521177939696912e+00
1.551110222044408848e+00,1.641559067895374202e+00,5.767323229185158939e-02,-1.561654741300855465e+00,-1.570071881351832843e+00
1.554910982196439306e+00,1.635638886815564019e+00,5.788299686654707621e-02,-1.553616435155548148e+00,-1.558187142505111256e+00
1.558711742348469542e+00,1.629749147198429560e+00,5.809111381297732413e-02,-1.545636420614176609e+00,-1.537133445907538531e+00
1.562512502500500222e+00,1.623889628484288083e+00,5.829759576841823249e-02,-1.537714137128905145e+00,-1.532065820284017166e+00
1.566313262652530458e+00,1.618060112153425267e+00,5.850245526006775387e-02,-1.529849030819548039e+00,-1.553034965358196740e+00
1.570114022804560916e+00,1.612260381726090541e+00,5.870570470504605370e-02,-1.522040554402162238e+00,-1.505373702468769004e+00
1.573914782956591374e+00,1.606490222762501308e+00,5.890735641039537840e-02,-1.514288167118698958e+00,-1.526096865984479800e+00
1.577715543108621610e+00,1.600749422862841387e+00,5.910742257308010394e-02,-1.506591334667682025e+00,-1.527712913673965778e+00
1.581516303260652068e+00,1.595037771667259685e+00,5.930591527998677753e-02,-1.498949529135897629e+00,-1.516959030535878661e+00
1.585317063412682526e+00,1.589355060855872415e+00,5.950284650792404123e-02,-1.491362228931085498e+00,-1.499173135818191893e+00
1.589117823564712761e+00,1.583701084148762650e+00,5.969822812362265280e-02,-1.483828918715605516e+00,-1.451282913623144211e+00
1.592918583716743441e+00,1.578075637305978107e+00,5.989207188373557589e-02,-1.476349089341062681e+00,-1.499859807439478221e+00
1.596719343868773677e+00,1.572478518127535141e+00,6.008438943483779271e-02,-1.468922237783889750e+00,-1.465720719933202965e+00
1.600520104020804135e+00,1.566909526453414081e+00,6.027519231342651912e-02,-1.461547867081844920e+00,-1.504304354243656494e+00
1.604320864172834593e+00,1.561368464163563452e+00,6.046449194592104504e-02,-1.454225486271436996e+00,-1.454256824934340830e+00
1.608121624324864829e+00,1.555855135135615575e+00,6.065229965076668339e-02,-1.446954610284449050e+00,-1.428963281934928942e+00
1.611922384476895509e+00,1.550369343390743060e+00,6.083862672985168585e-02,-1.439734758057420239e+00,-1.444468024498649417e+00
1.615723144628925745e+00,1.544910895616395718e+00,6.102348434140941746e-02,-1.432565454971183927e+00,-1.445152553448850741e+00
1.619523904780956203e+00,1.539479601149221555e+00,6.120688350290617169e-02,-1.425446232770527288e+00,-1.420816011489356434e+00
1.623324664932986661e+00,1.534075270931982260e+00,6.138883514337375308e-02,-1.418376628476449408e+00,-1.404373593453436486e+00
1.627125425085016897e+00,1.528697717513553656e+00,6.156935010340953279e-02,-1.411356184331608254e+00,-1.398083032911260126e+00
1.630926185237047354e+00,1.523346755048922807e+00,6.174843913517648331e-02,-1.404384447746534148e+00,-1.364934970667938341e+00
1.634726945389077812e+00,1.518022199299192243e+00,6.192611290240309513e-02,-1.397460971246613726e+00,-1.393277621799888122e+00
1.638527705541108048e+00,1.512723867631577068e+00,6.210238198038340457e-02,-1.390585312419814201e+00,-1.402433514414872961e+00
1.642328465693138728e+00,1.507451579019404519e+00,6.227725685597707700e-02,-1.383757033865145480e+00,-1.386276617664878419e+00
1.646129225845168964e+00,1.502205154042117519e+00,6.245074792760925420e-02,-1.376975703141849694e+00,-1.378425674054245986e+00
1.649929985997199422e+00,1.496984414885270009e+00,6.262286550527071394e-02,-1.370240892719295722e+00,-1.368066145049733340e+00
1.653730746149229880e+00,1.491789185340530732e+00,6.279361981051773123e-02,-1.363552179927580044e+00,-1.364152736192168813e+00
1.657531506301260116e+00,1.486619290805681448e+00,6.296302097647216156e-02,-1.356909146908811703e+00,-1.353429828130887635e+00
1.661332266453290574e+00,1.481474558284616272e+00,6.313107904782147561e-02,-1.350311380569076070e+00,-1.383728381781378358e+00
1.665133026605321032e+00,1.476354816387343671e+00,6.329780398081860660e-02,-1.343758472531065395e+00,-1.327165893410264585e+00
1.668933786757351490e+00,1.471259895329985135e+00,6.346320564328213065e-02,-1.337250019087364628e+00,-1.348744804465785263e+00
1.672734546909381947e+00,1.466189626934775392e+00,6.362729381459612810e-02,-1.330785621154380927e+00,-1.354248795083321522e+00
1.676535307061412183e+00,1.461143844630063082e+00,6.379007818571028054e-02,-1.324364884226907124e+00,-1.311609861034078506e+00
1.680336067213442641e+00,1.456122383450308977e+00,6.395156835913980153e-02,-1.317987418333311123e+00,-1.291640898185589581e+00
1.684136827365473099e+00,1.451125080036087756e+00,6.411177384896547815e-02,-1.311652837991337472e+00,-1.301792275001348642e+00
1.687937587517503335e+00,1.446151772580693828e+00,6.427070408355169129e-02,-1.305360762113195960e+00,-1.302137575836285643e+00
1.691738347669534015e+00,1.441202299159078493e+00,6.442836848982830267e-02,-1.299110812358905465e+00,-1.317755218466344580e+00
1.695539107821564251e+00,1.436276500150706292e+00,6.458477636862777760e-02,-1.292902615427268476e+00,-1.235471268670998546e+00
1.699339867973594709e+00,1.431374218052667846e+00,6.473993690601602402e-02,-1.286735802830614173e+00,-1.269130630417383943e+00
1.703140628125625167e+00,1.426495296624006537e+00,6.489385921720183803e-02,-1.280610010032124269e+00,-1.303395903438983705e+00
1.706941388277655403e+00,1.421639580885716736e+00,6.504655234653709817e-02,-1.274524876407183482e+00,-1.290117634731978269e+00
1.710742148429685860e+00,1.416806917120744469e+00,6.519802526751664051e-02,-1.268480045205249374e+00,-1.266740460233811261e+00
1.714542908581716318e+00,1.411997152873987638e+00,6.534828688277834197e-02,-1.262475163512242426e+00,-1.293569786152162227e+00
1.718343668733746554e+00,1.407210136952295576e+00,6.549734602410303697e-02,-1.256509882213435070e+00,-1.253137274073224727e+00
1.722144428885777234e+00,1.402445719424468829e+00,6.564521145241460076e-02,-1.250583855956842516e+00,-1.259765287071097806e+00
1.725945189037807470e+00,1.397703751621260926e+00,6.579189185777988003e-02,-1.244696743117103432e+00,-1.220171331110779134e+00
1.729745949189837928e+00,1.392984086135375277e+00,6.593739585940874837e-02,-1.238848205759838450e+00,-1.219605112487273546e+00
1.733546709341868386e+00,1.388286576821467611e+00,6.608173200565407857e-02,-1.233037909606488514e+00,-1.287263618355183992e+00
1.737347469493898622e+00,1.383611078796146199e+00,6.622490877401172871e-02,-1.227265523999619301e+00,-1.226431472279073009e+00
1.741148229645929302e+00,1.378957448437968747e+00,6.636693457112058381e-02,-1.221530721868679503e+00,-1.253880071859153178e+00
1.744948989797959538e+00,1.374325543387447279e+00,6.650781773276251418e-02,-1.215833179696223398e+00,-1.193640419711252898e+00
1.748749749949989996e+00,1.369715222547042810e+00,6.664756652386238933e-02,-1.210172577484565748e+00,-1.206810460102009319e+00
1.752550510102020453e+00,1.365126346081170006e+00,6.678618913848810568e-02,-1.204548598722886110e+00,-1.193580489679146206e+00
1.756351270254050689e+00,1.360558775416194299e+00,6.692369369985053107e-02,-1.198960930354760368e+00,-1.220263424930826401e+00
1.760152030406081147e+00,1.356012373240432334e+00,6.706008826030354641e-02,-1.193409262746115473e+00,-1.156840657986205390e+00
1.763952790558111605e+00,1.351487003504153073e+00,6.719538080134405955e-02,-1.187893289653609408e+00,-1.147491822310600540e+00
1.767753550710141841e+00,1.346982531419576912e+00,6.732957923361194974e-02,-1.182412708193416151e+00,-1.203708129045940378e+00
1.771554310862172521e+00,1.342498823460590351e+00,6.746269139690497241e-02,-1.176967218810155869e+00,-1.169510916372829445e+00
1.775355071014202757e+00,1.338035746146975624e+00,6.759472512310893411e-02,-1.171556524110980879e+00,-1.185022572678784636e+00
1.779155831166233215e+00,1.333593167203885210e+00,6.772568817431069699e-02,-1.166180329924135339e+00,-1.166651728661350029e+00
1.782956591318263673e+00,1.329170956494228228e+00,6.785558819562216570e-02,-1.160838346138266974e+00,-1.186151085722758181e+00
1.786757351470293909e+00,1.324768984870978272e+00,6.798443277551440012e-02,-1.155530285600122609e+00,-1.118187375308510312e+00
1.790558111622324367e+00,1.320387124177171634e+00,6.811222944581760141e-02,-1.150255864087169178e+00,-1.169639454308822435e+00
1.794358871774354824e+00,1.316025247245909968e+00,6.823898568172105661e-02,-1.145014800280576006e+00,-1.150936476580525891e+00
1.798159631926385282e+00,1.311683227900358073e+00,6.836470890177323567e-02,-1.139806815738535706e+00,-1.129777157116325315e+00
1.801960392078415740e+00,1.307360940953745665e+00,6.848940646788174991e-02,-1.134631634869934125e+00,-1.147582848438256642e+00
1.805761152230445976e+00,1.303058262209365825e+00,6.861308568531329644e-02,-1.129488984908349369e+00,-1.134275233502995306e+00
1.809561912382476434e+00,1.298775068460575666e+00,6.873575380269376922e-02,-1.124378595886388998e+00,-1.135651392814928329e+00
1.813362672534506892e+00,1.294511237490796329e+00,6.885741801200817580e-02,-1.119300200610347629e+00,-1.121969415707073425e+00
1.817163432686537128e+00,1.290266648073513878e+00,6.897808544860063729e-02,-1.114253534635193166e+00,-1.137664387337199212e+00
1.820964192838567808e+00,1.286041179972276627e+00,6.909776319117445775e-02,-1.109238336239859901e+00,-1.117998097751905950e+00
1.824764952990598044e+00,1.281834713940698922e+00,6.921645826179201322e-02,-1.104254346402866238e+00,-1.108392204897111100e+00
1.828565713142628502e+00,1.277647131722457807e+00,6.933417762587487654e-02,-1.099301308778227071e+00,-1.105975828854309784e+00
1.832366473294658960e+00,1.273478316051294801e+00,6.945092819220373415e-02,-1.094378969671678581e+00,-1.093245170573802660e+00
1.836167233446689195e+00,1.269328150651015674e+00,6.956671681291838605e-02,-1.089487078017197019e+00,-1.095349122404331466e+00
1.839967993598719653e+00,1.265196520235489341e+00,6.968155028351782909e-02,-1.084625385353810145e+00,-1.069561157185022537e+00
1.843768753750750111e+00,1.261083310508650079e+00,6.979543534286014594e-02,-1.079793645802704649e+00,-1.086257564318421354e+00
1.847569513902780347e+00,1.256988408164495308e+00,6.990837867316254672e-02,-1.074991616044610465e+00,-1.077724607970528048e+00
1.851370274054811027e+00,1.252911700887086255e+00,7.002038690000143839e-02,-1.070219055297471966e+00,-1.083514682017389097e+00
