t,Q,I,core_flux_linkage,dielectric_memory_charge,dI_dt
2.600520104020804317e-05,9.931056791651142164e-05,-5.243942419899633167e-02,-6.769419546227050045e-06,9.999879995668208672e-05,-1.945555968475014424e+03
2.800560112022404597e-05,9.920178348609383421e-05,-5.631921696284075685e-02,-7.825955351381665043e-06,9.999850316361904678e-05,-1.933420604736094219e+03
3.000600120024004877e-05,9.908526235135975706e-05,-6.017449327638307865e-02,-8.954999651370273175e-06,9.999816142660016905e-05,-1.921044965005993845e+03
3.200640128025605157e-05,9.896105403168803556e-05,-6.400477580422034296e-02,-1.015570415909137407e-05,9.999777167911605901e-05,-1.908432278181379161e+03
3.400680136027205776e-05,9.882920898198713656e-05,-6.780959364033738168e-02,-1.142721213813136912e-05,9.999733087604762815e-05,-1.895585779945436116e+03
3.600720144028805717e-05,9.868977863993435196e-05,-7.158848219427495219e-02,-1.276865731203130928e-05,9.999683599221934809e-05,-1.882508714247817807e+03
3.800760152030406336e-05,9.854281534910525487e-05,-7.534098340436939933e-02,-1.417916573105070848e-05,9.999628402495180132e-05,-1.869204330013062645e+03
4.000800160032006277e-05,9.838837234048421719e-05,-7.906664577133146188e-02,-1.565785625842690374e-05,9.999567199461265922e-05,-1.855675880226735671e+03
4.200840168033606896e-05,9.822650373246438250e-05,-8.276502435824648063e-02,-1.720384057037511609e-05,9.999499694461672268e-05,-1.841926621736182369e+03
4.400880176035206837e-05,9.805726453084766606e-05,-8.643568079057417641e-02,-1.881622315608837273e-05,9.999425594142594923e-05,-1.827959815095950034e+03
4.600920184036807456e-05,9.788071062260774629e-05,-9.007818325664811165e-02,-2.049410148866580295e-05,9.999344607469297429e-05,-1.813778724256819032e+03
4.800960192038408075e-05,9.769689873225535900e-05,-9.369210641019655450e-02,-2.223656751328760331e-05,9.999256445798054707e-05,-1.799386615429049243e+03
5.001000200040008016e-05,9.750588649137865885e-05,-9.727703128001700950e-02,-2.404270606107330739e-05,9.999160822697354570e-05,-1.784786759575874157e+03
5.201040208041608634e-05,9.730773234492216784e-05,-1.008325454683059313e-01,-2.591159694349624086e-05,9.999057454223031635e-05,-1.769982428836465942e+03
5.401080216043208576e-05,9.710249552904876296e-05,-1.043582431740842781e-01,-2.784231550151375134e-05,9.998946058975705651e-05,-1.754976895795978407e+03
5.601120224044809194e-05,9.689023607113973031e-05,-1.078537251931976776e-01,-2.983393260556726933e-05,9.998826358100778786e-05,-1.739773433565159166e+03
5.801160232046409136e-05,9.667101478979468385e-05,-1.113185989183162472e-01,-3.188551465558223374e-05,9.998698075288439690e-05,-1.724375315891575383e+03
6.001200240048009754e-05,9.644489329483161958e-05,-1.147524783389347602e-01,-3.399612358096816973e-05,9.998560936773656725e-05,-1.708785817300424696e+03
6.201240248049610373e-05,9.621193395264017803e-05,-1.181549840104937632e-01,-3.616481773978018832e-05,9.998414671399264971e-05,-1.693008212209411340e+03
6.401280256051210314e-05,9.597219989814324023e-05,-1.215257428593965322e-01,-3.839065221371484930e-05,9.998259010540478655e-05,-1.677045776152981489e+03
6.601320264052810255e-05,9.572575505964909127e-05,-1.248643883076004935e-01,-4.067267798008345771e-05,9.998093688095289187e-05,-1.660901786467279408e+03
6.801360272054411552e-05,9.547266405482311626e-05,-1.281705603716085662e-01,-4.300994410659978422e-05,9.997918440728367274e-05,-1.644579518770851109e+03
7.001400280056011493e-05,9.521299218875037176e-05,-1.314439056629002622e-01,-4.540149779576753924e-05,9.997733007875196447e-05,-1.628082247163486045e+03
7.201440288057611434e-05,9.494680545393563995e-05,-1.346840773879318942e-01,-4.784638438488050848e-05,9.997537131742064928e-05,-1.611413244508925345e+03
7.401480296059211375e-05,9.467417053030346931e-05,-1.378907353481364506e-01,-5.034364734602242420e-05,9.997330557306068337e-05,-1.594575782733810229e+03
7.601520304060812672e-05,9.439515478519805262e-05,-1.410635459399236513e-01,-5.289232828606706680e-05,9.997113032315116474e-05,-1.577573133141091375e+03
7.801560312062412613e-05,9.410982624018633886e-05,-1.442021821240400958e-01,-5.549146765019022739e-05,9.996884307338926054e-05,-1.560408565670066537e+03
8.001600320064012554e-05,9.381825356511519574e-05,-1.473063232192833028e-01,-5.814010537529525004e-05,9.996644135724641600e-05,-1.543085349663899251e+03
8.201640328065613850e-05,9.352050614879163363e-05,-1.503756550181614138e-01,-6.083727936206012382e-05,9.996392273509966460e-05,-1.525606756367467369e+03
8.401680336067213792e-05,9.321665396244255806e-05,-1.534098698850577536e-01,-6.358202784173761163e-05,9.996128479697743779e-05,-1.507976054231117814e+03
8.601720344068813733e-05,9.290676755375371781e-05,-1.564086667563904520e-01,-6.637338948866283511e-05,9.995852516266719916e-05,-1.490196509070583488e+03
8.801760352070413674e-05,9.259091804686974553e-05,-1.593717511406123333e-01,-6.921040342025314585e-05,9.995564148171530894e-05,-1.472271384440975908e+03
9.001800360072014970e-05,9.226917714239408997e-05,-1.622988351182111100e-01,-7.209210919700816610e-05,9.995263143342715951e-05,-1.454203942014945596e+03
9.201840368073614912e-05,9.194161711738909736e-05,-1.651896373417090780e-01,-7.501754682250978874e-05,9.994949272686708055e-05,-1.435997441963787878e+03
9.401880376075214853e-05,9.160831082505312237e-05,-1.680438830355311941e-01,-7.798575674828417349e-05,9.994622310086279777e-05,-1.417655143328841405e+03
9.601920384076816149e-05,9.126933161327238783e-05,-1.708613038886389324e-01,-8.099578124364389356e-05,9.994282032490565959e-05,-1.399180301725002892e+03
9.801960392078416090e-05,9.092475344364021330e-05,-1.736416379182073588e-01,-8.404666300594613906e-05,9.993928219700124696e-05,-1.380576174476987035e+03
1.000200040008001603e-04,9.057465083576341977e-05,-1.763846296574811401e-01,-8.713744566423116194e-05,9.993560654513173171e-05,-1.361846018464074177e+03
1.020204040808161597e-04,9.021909876737823936e-05,-1.790900301737380351e-01,-9.026717517895289499e-05,9.993179122881508121e-05,-1.342993086804949826e+03
1.040208041608321727e-04,8.985817267435042375e-05,-1.817575970682888398e-01,-9.343489984197891115e-05,9.992783413910499065e-05,-1.324020629243320400e+03
1.060212042408481721e-04,8.949194845067516286e-05,-1.843870944764773312e-01,-9.663967027659032866e-05,9.992373319859097791e-05,-1.304931892530132927e+03
1.080216043208641715e-04,8.912050244847708488e-05,-1.869782930676804622e-01,-9.988053943748204143e-05,9.991948636139831575e-05,-1.285730120801744306e+03
1.100220044008801709e-04,8.874391147801031045e-05,-1.895309700453082224e-01,-1.031565626107624887e-04,9.991509161318804541e-05,-1.266418555953391206e+03
1.120224044808961839e-04,8.836225280765842556e-05,-1.920449091468036107e-01,-1.064667974139538447e-04,9.991054697115700370e-05,-1.247000438007423327e+03
1.140228045609121833e-04,8.797560410597543221e-05,-1.945199005819040483e-01,-1.098103044452455375e-04,9.990585048453163642e-05,-1.227479003419185347e+03
1.160232046409281827e-04,8.758404346211695558e-05,-1.969557408325933456e-01,-1.131861472964816086e-04,9.990100023365610304e-05,-1.207857486699816491e+03
1.180236047209441957e-04,8.718764949914888497e-05,-1.993522328466240390e-01,-1.165933912570836435e-04,9.989599432933581936e-05,-1.188139124626032981e+03
1.200240048009601951e-04,8.678650117770355093e-05,-2.017091860491066480e-01,-1.200311053018813400e-04,9.989083091528164226e-05,-1.168327149093512617e+03
1.220244048809761945e-04,8.638067778992409023e-05,-2.040264163399842234e-01,-1.234983621550172269e-04,9.988550816817500313e-05,-1.148424787238050385e+03
1.240248049609922075e-04,8.597025895946452717e-05,-2.063037460940322920e-01,-1.269942382899466777e-04,9.988002429766779946e-05,-1.128435261773862294e+03
1.260252050410081933e-04,8.555532464148967874e-05,-2.085410041608587450e-01,-1.305178139294377077e-04,9.987437754638254389e-05,-1.108361791324446813e+03
1.280256051210242063e-04,8.513595512267519523e-05,-2.107380258649040328e-01,-1.340681730455713528e-04,9.986856618991221516e-05,-1.088207590745821790e+03
1.300260052010402193e-04,8.471223102120757382e-05,-2.128946530054409703e-01,-1.376444033597412500e-04,9.986258853682039366e-05,-1.067975871441980189e+03
1.320264052810562051e-04,8.428423328678415856e-05,-2.150107338565748760e-01,-1.412455963426538540e-04,9.985644292864115292e-05,-1.047669841672461189e+03
1.340268053610722181e-04,8.385204313046062485e-05,-2.170861230857039081e-01,-1.448708477008999135e-04,9.985012774024092574e-05,-1.027292704270363629e+03
1.360272054410882310e-04,8.341574203541148274e-05,-2.191206815496644089e-01,-1.485192572621010321e-04,9.984364137890467078e-05,-1.006847657745531365e+03
1.380276055211042169e-04,8.297541195179080600e-05,-2.211142765650588315e-01,-1.521899276317879553e-04,9.983698228354643785e-05,-9.863379036508467834e+02
1.400280056011202299e-04,8.253113503536086326e-05,-2.230667818315652529e-01,-1.558819660486236854e-04,9.983014892698287214e-05,-9.657666368084168198e+02
1.420284056811362157e-04,8.208299363636465296e-05,-2.249780774244089232e-01,-1.595944844625904230e-04,9.982313981601248292e-05,-9.451370451680760425e+02
1.440288057611522287e-04,8.163107029952582203e-05,-2.268480497943625440e-01,-1.633265995349897836e-04,9.981595349141560288e-05,-9.244523100780254481e+02
1.460292058411682416e-04,8.117544776404874720e-05,-2.286765917677461291e-01,-1.670774326384425813e-04,9.980858852795438817e-05,-9.037156065477145148e+02
1.480296059211842275e-04,8.071620896361846726e-05,-2.304636025464269766e-01,-1.708461098568889093e-04,9.980104353437285899e-05,-8.829301035030038065e+02
1.500300060012002405e-04,8.025343702640072368e-05,-2.322089877078198084e-01,-1.746317619855883036e-04,9.979331715339685900e-05,-8.620989640336910043e+02
1.520304060812162534e-04,7.978721527504196065e-05,-2.339126592048866027e-01,-1.784335245311194980e-04,9.978540806173405529e-05,-8.412253456334851762e+02
1.540308061612322393e-04,7.931762722666928439e-05,-2.355745353661367059e-01,-1.822505377113804790e-04,9.977731497007399258e-05,-8.203124004325054557e+02
1.560312062412482523e-04,7.884475650268570979e-05,-2.371945407779939563e-01,-1.860819468267480774e-04,9.976903662328578395e-05,-7.993632720451283831e+02
1.580316063212642652e-04,7.836868678869357574e-05,-2.387726060185721977e-01,-1.899269020943272540e-04,9.976057179949830082e-05,-7.783810945819936933e+02
1.600320064012802511e-04,7.788950224131064616e-05,-2.403086681739180219e-01,-1.937845568939657970e-04,9.975191930914920567e-05,-7.573690080831712521e+02
1.620324064812962640e-04,7.740728708710060578e-05,-2.418026705591490300e-01,-1.976540697563675000e-04,9.974307799702009439e-05,-7.363301433581849551e+02
1.640328065613122770e-04,7.692212559374695681e-05,-2.432545626900974589e-01,-2.015346044950218135e-04,9.973404674234335793e-05,-7.152676211025247994e+02
1.660332066413282629e-04,7.643410207005305968e-05,-2.446643002833102654e-01,-2.054253302062039794e-04,9.972482445880214168e-05,-6.941845521000617509e+02
1.680336067213442758e-04,7.594330086594211938e-05,-2.460318452560490976e-01,-2.093254212689751675e-04,9.971541009453034545e-05,-6.730840374189574504e+02
1.700340068013602617e-04,7.544980637245717200e-05,-2.473571657262902679e-01,-2.132340573451822578e-04,9.970580263211267769e-05,-6.519691686011721004e+02
1.720344068813762747e-04,7.495370302176109824e-05,-2.486402360127248912e-01,-2.171504233794580041e-04,9.969600108858458771e-05,-6.308430278457043414e+02
1.740348069613922876e-04,7.445507528713662341e-05,-2.498810366347586631e-01,-2.210737095992209786e-04,9.968600451543230636e-05,-6.097086881856473610e+02
1.760352070414082735e-04,7.395400768298635811e-05,-2.510795543125119988e-01,-2.250031115146753833e-04,9.967581199859281891e-05,-5.885692136591920871e+02
1.780356071214242864e-04,7.345058476483266267e-05,-2.522357819668201162e-01,-2.289378299188115371e-04,9.966542265845391925e-05,-5.674276594746687579e+02
1.800360072014402994e-04,7.294489112931783691e-05,-2.533497187192327305e-01,-2.328770708874053613e-04,9.965483564985414217e-05,-5.462870721697561294e+02
1.820364072814562853e-04,7.243701131068075623e-05,-2.544213695698308020e-01,-2.368200457442927659e-04,9.964405016114663604e-05,-5.251504860938256343e+02
1.840368073614722982e-04,7.192702980823571812e-05,-2.554507451551611963e-01,-2.407659701698363838e-04,9.963306541264941782e-05,-5.040209248157124762e+02
1.860372074414883112e-04,7.141503136313328843e-05,-2.564378627563068669e-01,-2.447140645253171524e-04,9.962188065993530324e-05,-4.829014108826794427e+02
1.880376075215042971e-04,7.090110061559559858e-05,-2.573827455982723444e-01,-2.486635546465578903e-04,9.961049519273161774e-05,-4.617949534515595360e+02
1.900380076015203100e-04,7.038532209220889975e-05,-2.582854228176429401e-01,-2.526136718581438283e-04,9.959890833484472247e-05,-4.407045479745682997e+02
1.920384076815363230e-04,6.986778020592356291e-05,-2.591459294625848009e-01,-2.565636529734223112e-04,9.958711944416001431e-05,-4.196331763374120101e+02
1.940388077615523088e-04,6.934855925605410592e-05,-2.599643064928450209e-01,-2.605127402945029607e-04,9.957512791264188517e-05,-3.985838069922769478e+02
1.960392078415683218e-04,6.882774342827915285e-05,-2.607406007797514191e-01,-2.644601816122578376e-04,9.956293316633381689e-05,-3.775593950857337404e+02
1.980396079215843077e-04,6.830541679464147468e-05,-2.614748651062127616e-01,-2.684052302063210630e-04,9.955053466535825925e-05,-3.565628825816303333e+02
2.000400080016003206e-04,6.778166331354793504e-05,-2.621671581667185946e-01,-2.723471448450892510e-04,9.953793190391673840e-05,-3.355971983789910382e+02
2.020404080816163336e-04,6.725656682976955802e-05,-2.628175445673393562e-01,-2.762851897857211843e-04,9.952512441028980264e-05,-3.146652584249807205e+02
2.040408081616323195e-04,6.673021107444148748e-05,-2.634260948257263202e-01,-2.802186347741378140e-04,9.951211174683700889e-05,-2.937699658229572606e+02
2.060412082416483324e-04,6.620267966455331717e-05,-2.639928853687804611e-01,-2.841467550432345726e-04,9.949889350998749010e-05,-2.729142109184638798e+02
2.080416083216643454e-04,6.567405599676044616e-05,-2.645179979375383295e-01,-2.880688305611148322e-04,9.948546932759517959e-05,-2.521008678819980275e+02
2.100420084016803312e-04,6.514442341301451410e-05,-2.650015201593717840e-01,-2.919841458305693152e-04,9.947183886085952942e-05,-2.313328004363614241e+02
2.120424084816963442e-04,6.461386513488078019e-05,-2.654435456910429481e-01,-2.958919909711846719e-04,9.945800180574829532e-05,-2.106128593912717690e+02
2.140428085617123572e-04,6.408246413679379147e-05,-2.658441737410616734e-01,-2.997916615997674194e-04,9.944395789125161887e-05,-1.899438783949754281e+02
2.160432086417283430e-04,6.355030314605746413e-05,-2.662035090696856510e-01,-3.036824588303437791e-04,9.942970687938197324e-05,-1.693286740233894250e+02
2.180436087217443560e-04,6.301746464284496154e-05,-2.665216619889203553e-01,-3.075636892741602730e-04,9.941524856517427165e-05,-1.487700458645191759e+02
2.200440088017603418e-04,6.248403086019882978e-05,-2.667987483625191003e-01,-3.114346650396830184e-04,9.940058277668573181e-05,-1.282707765981525085e+02
2.220444088817763548e-04,6.195008378403086212e-05,-2.670348896059829280e-01,-3.152947037325981084e-04,9.938570937499597083e-05,-1.078336320707799132e+02
2.240448089617923678e-04,6.141570515312223452e-05,-2.672302126865607752e-01,-3.191431284558116110e-04,9.937062825420699163e-05,-8.746136136575074715e+01
2.260452090418083536e-04,6.088097645912338369e-05,-2.673848501232493624e-01,-3.229792678094494610e-04,9.935533934144312874e-05,-6.715669686860366028e+01
2.280456091218243666e-04,6.034597894643812616e-05,-2.674989399863021422e-01,-3.268024558907857945e-04,9.933984259684919163e-05,-4.692235432373479398e+01
2.300460092018403796e-04,5.981079351512149533e-05,-2.675726254244876756e-01,-3.306120319864091117e-04,9.932413801155099906e-05,-2.676102970375384515e+01
2.320464092818563654e-04,5.927550087909260753e-05,-2.676060551958591160e-01,-3.344073400131505544e-04,9.930822560936469160e-05,-6.675404501520310063e+00
2.340468093618723784e-04,5.874018152347669367e-05,-2.675993837155066779e-01,-3.381877292467924483e-04,9.929210544752725351e-05,1.333185577992148652e+01
2.360472094418883914e-04,5.820491556850272718e-05,-2.675527705404321943e-01,-3.419525544617454732e-04,9.927577761480279098e-05,3.325810610751447172e+01
2.380476095219043772e-04,5.766978276950343759e-05,-2.674663803695491171e-01,-3.457011759310486625e-04,9.925924223148254572e-05,5.310072187332077931e+01
2.400480096019203902e-04,5.713486251691525628e-05,-2.673403830436827944e-01,-3.494329594263697290e-04,9.924249944938489494e-05,7.285709885461800184e+01
2.420484096819364031e-04,5.660023383627837073e-05,-2.671749535455700819e-01,-3.531472762180046850e-04,9.922554945185535133e-05,9.252465317900582420e+01
2.440488097619523890e-04,5.606597538823671095e-05,-2.669702719998595097e-01,-3.568435030748780051e-04,9.920839245376653602e-05,1.121008212945929046e+02
2.460492098419683749e-04,5.553216546853794269e-05,-2.667265236731114486e-01,-3.605210222645427345e-04,9.919102870151820560e-05,1.315830599453042851e+02
2.480496099219844149e-04,5.499888200803343359e-05,-2.664438989737978325e-01,-3.641792215531803809e-04,9.917345847303726575e-05,1.509688461513699735e+02
2.500500100020004008e-04,5.446620257256659387e-05,-2.661225934516551761e-01,-3.678174942054408315e-04,9.915568207777483028e-05,1.702556771984141051e+02
2.520504100820163866e-04,5.393420429361275680e-05,-2.657628073303572314e-01,-3.714352386525181953e-04,9.913769985447121972e-05,1.894410726849179696e+02
2.540508101620324267e-04,5.340296398244196753e-05,-2.653647460360721855e-01,-3.750318580875648244e-04,9.911951217318042422e-05,2.085225710372249637e+02
2.560512102420484126e-04,5.287255808181721398e-05,-2.649286201821240416e-01,-3.786067611687508319e-04,9.910111943572053538e-05,2.274977311780076548e+02
2.580516103220643984e-04,5.234306256568719271e-05,-2.644546450551170658e-01,-3.821593620909764224e-04,9.908252207351694288e-05,2.463641355988310409e+02
2.600520104020804385e-04,5.181455293918636322e-05,-2.639430406149359531e-01,-3.856890805858720545e-04,9.906372054760234798e-05,2.651193903640708527e+02
2.620524104820964244e-04,5.128710423863501564e-05,-2.633940314947457728e-01,-3.891953419217976276e-04,9.904471534861677712e-05,2.837611251202147287e+02
2.640528105621124102e-04,5.076079103153914877e-05,-2.628078470009920231e-01,-3.926775769038435117e-04,9.902550699680752770e-05,3.022869931105985302e+02
2.660532106421284503e-04,5.023568741659054467e-05,-2.621847211134004652e-01,-3.961352218738300058e-04,9.900609604202924936e-05,3.206946711956122158e+02
2.680536107221444361e-04,4.971186702366677538e-05,-2.615248924849773449e-01,-3.995677187103070663e-04,9.898648306374387628e-05,3.389818598784223695e+02
2.700540108021604220e-04,4.918940301383116227e-05,-2.608286044420092264e-01,-4.029745148285549580e-04,9.896666867102065423e-05,3.571462833362476772e+02
2.720544108821764621e-04,4.866836805482519234e-05,-2.600961047956916738e-01,-4.063550631352362509e-04,9.894665350164031856e-05,3.751856901057918776e+02
2.740548109621924479e-04,4.814883431910690507e-05,-2.593276456737695912e-01,-4.097088215639463783e-04,9.892643822099639079e-05,3.930978530574429328e+02
2.760552110422084338e-04,4.763087356122130777e-05,-2.585234842023543256e-01,-4.130352533356260961e-04,9.890602352543282727e-05,4.108805675186614508e+02
2.780556111222244739e-04,4.711455698561351830e-05,-2.576838817243266022e-01,-4.163338273220266550e-04,9.888541013893331296e-05,4.285316550406292890e+02
2.800560112022404597e-04,4.659995523876662565e-05,-2.568091037465034532e-01,-4.196040180517881081e-04,9.886459881288355012e-05,4.460489636641275411e+02
2.820564112822564456e-04,4.608713840920164245e-05,-2.558994199396385505e-01,-4.228453057104398539e-04,9.884359032607131247e-05,4.634303679760115529e+02
2.840568113622724314e-04,4.557617602747751178e-05,-2.549551041384219841e-01,-4.260571761404004188e-04,9.882238548468644528e-05,4.806737691711992397e+02
2.860572114422884715e-04,4.506713706619113429e-05,-2.539764343414803172e-01,-4.292391208409774574e-04,9.880098512232085171e-05,4.977770951201609364e+02
2.880576115223044574e-04,4.456008993997738845e-05,-2.529636927113766975e-01,-4.323906369683676440e-04,9.877939009996846581e-05,5.147383004419106101e+02
2.900580116023204432e-04,4.405510250550904934e-05,-2.519171655746108018e-01,-4.355112273356568351e-04,9.875760130602532019e-05,5.315553665824833161e+02
2.920584116823364833e-04,4.355224203938933030e-05,-2.508371432074591456e-01,-4.386004004151694818e-04,9.873561965526303703e-05,5.482263023757718656e+02
2.940588117623524692e-04,4.305157524811198074e-05,-2.497239197664850863e-01,-4.416576700152863386e-04,9.871344608824295227e-05,5.647491437163317869e+02
2.960592118423684550e-04,4.255316831278097337e-05,-2.485777938386601049e-01,-4.446825554072235311e-04,9.869108157407283522e-05,5.811219528661869163e+02
2.980596119223844951e-04,4.205708678500572328e-05,-2.473990676622607188e-01,-4.476745817236212695e-04,9.866852710698713867e-05,5.973428210945704677e+02
3.000600120024004809e-04,4.156339558267379045e-05,-2.461880470912523045e-01,-4.506332799683846640e-04,9.864578370618396202e-05,6.134098688728327033e+02
3.020604120824164668e-04,4.107215898995083235e-05,-2.449450415952889315e-01,-4.535581870166837250e-04,9.862285241582490218e-05,6.293212459763477682e+02
3.040608121624325069e-04,4.058344065728061067e-05,-2.436703642597135844e-01,-4.564488456149536338e-04,9.859973430503520269e-05,6.450751315914087627e+02
3.060612122424484927e-04,4.009730360138503199e-05,-2.423643317855581347e-01,-4.593048043808940924e-04,9.857643046790363168e-05,6.606697344270310168e+02
3.080616123224644786e-04,3.961381020526410715e-05,-2.410272644895432304e-01,-4.621256178034700282e-04,9.855294202348256326e-05,6.761032928315873960e+02
3.100620124024805187e-04,3.913302221789586438e-05,-2.396594863006774601e-01,-4.649108462441375552e-04,9.852927011577206681e-05,6.913740749191393888e+02
3.120624124824965045e-04,3.865500072180654099e-05,-2.382613243209432408e-01,-4.676600560106665958e-04,9.850541591159450478e-05,7.064803791122129724e+02
3.140628125625124904e-04,3.817980619671396234e-05,-2.368331094237888790e-01,-4.703728189762531762e-04,9.848138060323704515e-05,7.214205330220860333e+02
3.160632126425285304e-04,3.770749847100969798e-05,-2.353751759693426260e-01,-4.730487129624938404e-04,9.845716540738446766e-05,7.361928948362962046e+02
3.180636127225445163e-04,3.723813667640049472e-05,-2.338878613498890646e-01,-4.756873219694773120e-04,9.843277156306090082e-05,7.507958543006578793e+02
3.200640128025605022e-04,3.677177924790822920e-05,-2.323715059898687763e-01,-4.782882361757849281e-04,9.840820033162995747e-05,7.652278328536975778e+02
3.220644128825765422e-04,3.630848392386996210e-05,-2.308264533458785628e-01,-4.808510519384905308e-04,9.838345299679462637e-05,7.794872837648813402e+02
3.240648129625925281e-04,3.584830774593794492e-05,-2.292530499066715299e-01,-4.833753717931602500e-04,9.835853086459735346e-05,7.935726922765041991e+02
3.260652130426085139e-04,3.539130705907955900e-05,-2.276516451931567542e-01,-4.858608044538527751e-04,9.833343526341998772e-05,8.074825757490585829e+02
3.280656131226245540e-04,3.493753751157735617e-05,-2.260225917583995603e-01,-4.883069648131193544e-04,9.830816754398378110e-05,8.212154838099127119e+02
3.300660132026405399e-04,3.448705404398121478e-05,-2.243662449982357365e-01,-4.907134740244849637e-04,9.828272907845656166e-05,8.347699985422559621e+02
3.320664132826565257e-04,3.403991089539159625e-05,-2.226829630397044180e-01,-4.930799594535280198e-04,9.825712125981152277e-05,8.481447341804239386e+02
3.340668133626725116e-04,3.359616162694118894e-05,-2.209731072812024244e-01,-4.954060545084900541e-04,9.823134550444223752e-05,8.613383374589243431e+02
3.360672134426885517e-04,3.315585905584095196e-05,-2.192370415858955202e-01,-4.976913991386495159e-04,9.820540324852739650e-05,8.743494886327463291e+02
3.380676135227045375e-04,3.271905525219366535e-05,-2.174751322364226747e-01,-4.999356398582584628e-04,9.817929594782212610e-05,8.871769016598925646e+02
3.400680136027205234e-04,3.228580153899382840e-05,-2.156877479348957294e-01,-5.021384297465429939e-04,9.815302507765800196e-05,8.998193243565026478e+02
3.420684136827365635e-04,3.185614849212773422e-05,-2.138752598028996199e-01,-5.042994284477027083e-04,9.812659213294300839e-05,9.122755385536498807e+02
3.440688137627525493e-04,3.143014594037347651e-05,-2.120380413814924037e-01,-5.064183021709111384e-04,9.809999862816159251e-05,9.245443602555961888e+02
3.460692138427685352e-04,3.100784296540087500e-05,-2.101764686312050101e-01,-5.084947236903155331e-04,9.807324609737463721e-05,9.366246397992432549e+02
3.480696139227845752e-04,3.058928789769734186e-05,-2.082909198327904388e-01,-5.105283724017794459e-04,9.804633609375765875e-05,9.485152619572214689e+02
3.500700140028005611e-04,3.017452831285210741e-05,-2.063817752661323834e-01,-5.125189344951390415e-04,9.801927018806388242e-05,9.602151455344337592e+02
3.520704140828165470e-04,2.976361105985573995e-05,-2.044494179237643094e-01,-5.144661025805820397e-04,9.799204997196603827e-05,9.717232439663010837e+02
3.540708141628325870e-04,2.935658220886238045e-05,-2.024942327072958292e-01,-5.163695762002754562e-04,9.796467705442081432e-05,9.830385457691356805e+02
3.560712142428485729e-04,2.895348704484479495e-05,-2.005166063048354486e-01,-5.182290619013480218e-04,9.793715306110530191e-05,9.941600746737477721e+02
3.580716143228645587e-04,2.855437006759431695e-05,-1.985169271909901778e-01,-5.200442732358900736e-04,9.790947963441691429e-05,1.005086889777133251e+03
3.600720144028805988e-04,2.815927499172086096e-05,-1.964955856268657264e-01,-5.218149307609539888e-04,9.788165843347345447e-05,1.015818085693332364e+03
3.620724144828965847e-04,2.776824474665298009e-05,-1.944529736600665859e-01,-5.235407620385533175e-04,9.785369113411310161e-05,1.026352792703155956e+03
3.640728145629125705e-04,2.738132147663777799e-05,-1.923894851246958637e-01,-5.252215016356636497e-04,9.782557942889435684e-05,1.036690176902496205e+03
3.660732146429286106e-04,2.699854653862726345e-05,-1.903055155495100015e-01,-5.268568911821859069e-04,9.779732502667079204e-05,1.046829440224918244e+03
3.680736147229445965e-04,2.661996050350741558e-05,-1.882014618379700410e-01,-5.284466796150672548e-04,9.776892965111088349e-05,1.056769819790218889e+03
3.700740148029605823e-04,2.624560317102473048e-05,-1.860777229471003158e-01,-5.299906228014245133e-04,9.774039504387736701e-05,1.066510588969420269e+03
