R0,q,d,a,Reff,Reff_noisy
2.633744723701628487e+00,7.974213344319508456e-01,6.878565713223157019e+00,1.180915128425226834e+00,7.539677237619840655e-01,7.719331101410228380e-01
1.835104243117911871e+00,7.799913911613514106e-01,5.169044218708364724e+00,7.090141008871112760e+00,7.737177618875489271e-01,7.749094251119986732e-01
2.507782466117823184e+00,7.006326213285309912e-01,4.984473677734830410e+00,5.524366784518831786e+00,1.225754204780638235e+00,1.216980502251685525e+00
2.008638101690373823e+00,7.096976583951757345e-01,2.220016232697996195e+00,6.797373247226647486e+00,1.178279742299481070e+00,1.154822488428775884e+00
2.155783351104624046e+00,4.601808525522229076e-01,3.628135610227126939e+00,1.851131476346030036e+00,1.527665504263975738e+00,1.519949737045409588e+00
3.375911681575131329e+00,6.352129353559253788e-01,7.885066975529751332e+00,4.494627413614174394e+00,1.642121811302473589e+00,1.642366076718023926e+00
2.201021894965099701e+00,9.488602129264983587e-01,2.337940684401830893e+00,3.617980254881475233e+00,8.358120228448790989e-01,8.275439356858980133e-01
2.712977436079087923e+00,9.273813048219279320e-01,6.431535453604277919e+00,5.879863263457706601e+00,7.031613845875794855e-01,7.419832990195256439e-01
3.951842999503096365e+00,2.178035632257774856e-01,7.594622060689579790e+00,8.377668194644620314e+00,5.581005672854644217e+00,5.611207402313818093e+00
3.904142984159467034e+00,6.236695276597410409e-01,9.335933249386147992e+00,3.055760829400869127e+00,1.788255065949367895e+00,1.706920191580388879e+00
3.311974851933833897e+00,8.307834071086076522e-01,9.610680503371212824e-01,2.408684711577364190e+00,1.582501505865193225e+00,1.525831108486163101e+00
2.853067138868585317e+00,1.041182263447881229e-01,5.630472014130042169e+00,4.504644606851271327e+00,5.267393563933785217e+00,5.262150401172130287e+00
2.192228010113427050e+00,5.674462155181642098e-01,1.405658385625940809e+00,4.331594299908029910e+00,1.588179359994757123e+00,1.575513647647466486e+00
1.901630021937817272e+00,1.539428621286600407e-01,8.921898772274492018e+00,9.650133249261063639e+00,3.239524287897303623e+00,3.245933577822261995e+00
3.924813533040331315e+00,2.152089101776088476e-01,9.556658973064946494e+00,2.550951216914877584e+00,4.833125015259069457e+00,4.839644673189746449e+00
2.790171463869696833e+00,3.732766255241866671e-01,1.030959212844327677e+00,2.355710198233948116e+00,2.572981510833145524e+00,2.636516673484676776e+00
1.789664031176925851e+00,5.510022970927308528e-01,1.442625922076590017e+00,2.140966209336014892e+00,1.203760578156643613e+00,1.170399955275875259e+00
3.058724388843750752e+00,5.373154662472353627e-01,4.847761491726754635e+00,9.703888204139140328e+00,2.178578041076393745e+00,2.167249890862583683e+00
3.441707785855744994e+00,5.035870262916005702e-01,7.861852850362909706e+00,8.596246578293806451e+00,2.434468978067730660e+00,2.495752126292500428e+00
3.032508252632601042e+00,9.115342817168496925e-01,6.352269006959785358e+00,1.633520050531746426e+00,6.994871391481281009e-01,7.188882290341834791e-01
3.793244261977256837e+00,5.084069836494389261e-01,3.651342854689910933e+00,9.848223158984836800e+00,2.978676903605822712e+00,2.998568804777110408e+00
1.598982191660507146e+00,7.097865237623283141e-01,6.169990994215652336e+00,6.989578764014985346e+00,7.357032267915085688e-01,7.202830356408846946e-01
2.821473158150054061e+00,3.508697935301433035e-01,8.080642892486334716e+00,7.992995392863939230e+00,2.831996697290539711e+00,2.782554442164870245e+00
2.648339707213509087e+00,7.199003046872314293e-01,9.254237915418768168e+00,7.498258498812756301e+00,1.044511403287520901e+00,1.049535345614203141e+00
1.655873947874689112e+00,7.231015610546009942e-01,1.814080509098722649e+00,8.423516197263609229e+00,9.966936740629166458e-01,9.999640966975630318e-01
3.103320422848437232e+00,6.526088364662754326e-01,8.508693956157783234e+00,7.051175523870488959e+00,1.492033444487425475e+00,1.455212882860088319e+00
3.631582096201642074e+00,7.288661740988926496e-01,6.655148196767590285e+00,4.669687795287670973e+00,1.492321469765573339e+00,1.471824669912156436e+00
2.982352545260710031e+00,5.651210262954367014e-01,5.594886637600717805e+00,4.225690130638427355e+00,1.807614750411939308e+00,1.805453440020122535e+00
2.150243619343058299e+00,8.200756177304453498e-01,4.687381170744517433e+00,5.120800386787996317e+00,8.392612770402462230e-01,8.109187283484229347e-01
3.599703802578521739e+00,7.992805412719157232e-01,5.352642848302372691e+00,6.032577541113369968e+00,1.415089608454539460e+00,1.412141509418972873e+00
2.773739703803773438e+00,1.367507965092103484e-01,4.857887701694524551e+00,4.422866671237612124e+00,4.622195631859823628e+00,4.625060122683906982e+00
2.777222211166332499e+00,4.535202086205283312e-01,6.871561626003489742e+00,7.866919851966706068e-01,1.689879581813137799e+00,1.690947168924802346e+00
3.382575519255444974e+00,1.586048579589648400e-01,9.164298365204807340e+00,1.969086811453735431e+00,4.720582043221211777e+00,4.705393293471781924e+00
1.869805089462391434e+00,9.054851353625362753e-01,2.750381543441868359e+00,4.802948721474392002e+00,7.517118010133032602e-01,7.695242431668779526e-01
3.549066797798192674e+00,4.414020766511347893e-01,5.196116343589660680e-01,8.070112730658344447e+00,3.452001936306025698e+00,3.478736944934495590e+00
3.208217265008142860e+00,2.480704862907049946e-01,7.447014477345577088e-01,4.170640469042306009e+00,4.026284306165471172e+00,4.035909755302467872e+00
3.467742353887002693e+00,8.038656875503111809e-01,9.161117950103976781e+00,8.706372920537399196e+00,1.078550467102195709e+00,1.054003560280486473e+00
1.979040647550338150e+00,1.284945436366060623e-01,9.323910645071036285e+00,9.214027320293558532e+00,3.632744060048121337e+00,3.654693628561684449e+00
3.505910402836325268e+00,1.886782537812997096e-01,8.813915508351525929e+00,1.269389620839150190e+00,4.249691096567340232e+00,4.234647896013328250e+00
1.978309815143000749e+00,6.609469430745831264e-01,6.033494662904431038e+00,7.369301019260587005e+00,1.024322330988037599e+00,1.050697149536677255e+00
1.703881543408781729e+00,5.066809905999418717e-01,6.059513004775404887e+00,9.555302510586063391e+00,1.248254244244856981e+00,1.216100621738533727e+00
3.638067435717675657e+00,2.905651996444228446e-01,4.337147620074437881e+00,3.332625836271243980e+00,3.937015689851315781e+00,3.964449705945179314e+00
3.653208740444171099e+00,5.686517923359609705e-01,3.709287063749618696e+00,4.733248377643914040e+00,2.396495966198552097e+00,2.395894062560087523e+00
3.691342741041451436e+00,2.366453064303785103e-01,9.365617185418875223e+00,4.880167868791130736e+00,4.686574859697073769e+00,4.649112392987041709e+00
2.679774298396975674e+00,3.283120498076128602e-01,5.538217896037499699e+00,4.767027592102865086e+00,2.751505488629555352e+00,2.742088504470550081e+00
2.185120971534295631e+00,5.999545527268053124e-01,3.114488882961046645e+00,8.365661086366323218e+00,1.475194608312478728e+00,1.476817676675625135e+00
1.517729571507915765e+00,8.446389393111605193e-01,6.743650639945720116e+00,9.246892037955372956e+00,4.963782946733028556e-01,5.045620348482364736e-01
3.114302238937369793e+00,6.828604454965195858e-01,1.370769074598087389e+00,8.456574703591861919e+00,2.045724326904819534e+00,2.016258683156590070e+00
3.299773458771732670e+00,6.289050057280068939e-01,6.995041177182846681e+00,1.723442346108760903e+00,1.469770640041849985e+00,1.436549448626894154e+00
3.588923041250685397e+00,7.219824233645173450e-01,3.087911007744832403e+00,8.981717614746520084e+00,1.987687133647974003e+00,1.993674669633386465e+00
2.204694568411355249e+00,3.905382025686954806e-01,7.094086425913001648e+00,7.024671416949877845e+00,2.010243808054112513e+00,1.996241319547718440e+00
2.038045417907433876e+00,9.328802541834858575e-01,5.078313716438094261e+00,9.394461790591769557e+00,6.366025627354416905e-01,6.436677310873484270e-01
3.098328450166469850e+00,6.001341620071405369e-01,8.681243785639763288e+00,4.232186692044953347e+00,1.596444338324121803e+00,1.619229923998473097e+00
3.512637082862524185e+00,2.818051479604452014e-01,7.687903133268104483e+00,3.403981667750515250e+00,3.798197206738579634e+00,3.748733585748051045e+00
3.909177182112427040e+00,8.236872306486900386e-02,9.840974653021817176e+00,3.727155983410047835e+00,7.590959828073120086e+00,7.598591471568648892e+00
1.876312076052943700e+00,1.505800267663029157e-01,6.016384819647144333e+00,4.127782620332788532e+00,2.977170983670209381e+00,3.013910392696281360e+00
2.705530970498341237e+00,2.286582364533115697e-01,8.349038871067888223e+00,8.893672027556007720e+00,3.719819404296318854e+00,3.710893598965204543e+00
3.736789655490433848e+00,7.109353751091569418e-01,6.757781029221400004e+00,5.104047636850088665e+00,1.610552311989101204e+00,1.586227874491973999e+00
2.556792267363593218e+00,7.830690480253530428e-01,7.498993775935539396e+00,3.236820812417421145e+00,8.328159384498869944e-01,8.553832532652747567e-01
2.973755155210120016e+00,8.829075605438977403e-01,9.006679931157719921e+00,7.823126268525701477e+00,7.055655832449810871e-01,7.131689787312253115e-01
1.561226693733408055e+00,6.286192116598122714e-01,3.472804039452386693e+00,9.642457862293565274e-01,7.595358627737608392e-01,7.864123548970876065e-01
3.183649717882347296e+00,3.175492909779595863e-01,8.063655506106030657e+00,3.800952221949785326e+00,3.192795828575174522e+00,3.182439357273636027e+00
3.797721549084556170e+00,8.049821804091397137e-01,9.304959927981512280e+00,8.017567004719710511e+00,1.161079803946284628e+00,1.116625255734618349e+00
3.567063323891802806e+00,9.081231528954208931e-01,9.895637229059694562e+00,6.280183496806118093e+00,6.926579066984137611e-01,6.893575837570762310e-01
3.713800666774866865e+00,6.772134560338248788e-01,1.885271463646072343e+00,3.945482953213629962e+00,2.194588698903659818e+00,2.181213854313322820e+00
3.150888451301308457e+00,1.151222359737261308e-01,3.171667727280511606e+00,3.116313199235801967e+00,5.284202374854033657e+00,5.307462089515460946e+00
2.113880668107944061e+00,4.198837791037723921e-01,4.534449296497135684e+00,1.371387873020565751e+00,1.528293016938423232e+00,1.534102002389737818e+00
3.421292497240635999e+00,2.740492668274682742e-01,4.118067120734298037e+00,7.318701405182619357e-01,3.218268223400534644e+00,3.169342746427481483e+00
2.029186856518776061e+00,8.953344606973738795e-01,9.405956793200989097e+00,2.407174366186164427e+00,3.837311376073360702e-01,3.478762452042400977e-01
3.578187086661152705e+00,7.800110520134642123e-01,7.387224985470454142e-01,5.143411403245688795e+00,2.055463924016459831e+00,2.081977595114077317e+00
1.656794806426920674e+00,1.129344009171914659e-01,9.016635839887653603e+00,4.843569782653674771e+00,3.008421902791399649e+00,3.028814853313935185e+00
3.563719533483889368e+00,5.984887372896749991e-01,1.306198841354209383e+00,5.528123965366892101e+00,2.552331242820622403e+00,2.533123941843367533e+00
1.911268166185253303e+00,9.366328248054600625e-01,9.406677796240442646e+00,7.368834480090666883e-01,2.640887575129343134e-01,2.640572936159159001e-01
2.437867491241604512e+00,5.214255143178201379e-01,9.252311920503094811e+00,4.665175686095364149e+00,1.526911536929356661e+00,1.540278743542642159e+00
2.291845416392410684e+00,8.504972098400135350e-01,5.081639282783157796e+00,7.501680666749170001e+00,8.434617030946565119e-01,8.575138331700749017e-01
3.228342588194353269e+00,7.810976094913569812e-01,2.154908673328965296e+00,7.623745179473519151e+00,1.728988151445681076e+00,1.755275417329111631e+00
1.946429695435929919e+00,4.743836589793998249e-01,2.319047794134247553e+00,5.800448381628854122e+00,1.633280684254452053e+00,1.640975253071098816e+00
2.490640405542466240e+00,4.478075567529932743e-01,2.964416881826185346e+00,7.194367898816763862e+00,2.191470831531064700e+00,2.188625981362009920e+00
1.514561487769952475e+00,1.954860689766894088e-01,8.564714742033547878e+00,5.899799056795511643e-01,1.681459264149556709e+00,1.673693822205921444e+00
2.156236781875253694e+00,3.690226131020092892e-01,5.637117310295978179e+00,3.695715415346058297e+00,1.949490483022836784e+00,1.981162767038834316e+00
2.552972035572388165e+00,2.222300080921846277e-01,8.810833788721298632e+00,5.366420353797582976e+00,3.409609057581409974e+00,3.342083429329053779e+00
1.764803091768311072e+00,8.111368254665998201e-01,7.669193840944428686e+00,9.248324065510340475e+00,5.900990018778268231e-01,5.859393421250866929e-01
3.082899865091394354e+00,5.930629440738992564e-01,9.693186867891565583e+00,2.945411419564512912e+00,1.509445726225749240e+00,1.510435729345271039e+00
2.451060674716330823e+00,8.926180442136214532e-01,6.783080893211040241e+00,3.278682551473123929e+00,6.262411937142270402e-01,5.834807248881214159e-01
3.313234845190597078e+00,4.193187957726122739e-01,2.115421568925318851e+00,4.684889987687921753e+00,3.008823669312236770e+00,3.018808077706378157e+00
3.134665027670985982e+00,6.815383887906796279e-01,5.695920418091510840e+00,7.005469102757862387e+00,1.571152858844077738e+00,1.551614428470776019e+00
2.578066871943515359e+00,7.998351674263596278e-01,7.523196558774850828e+00,5.996288190180436573e+00,8.665374965750308744e-01,8.924108404645032522e-01
3.668301264105497950e+00,6.158955232042278433e-02,3.900092095276276538e+00,7.633537938253862620e+00,8.116593688044176247e+00,8.112825925523146964e+00
3.080337793750417497e+00,3.405685491860828695e-01,9.997885950244562281e+00,3.125205844498146313e+00,2.821793585704239327e+00,2.841868182927922870e+00
3.525685880265747585e+00,4.426068125779604734e-01,2.563996255080099651e+00,8.121335684033621050e+00,3.201817077716879290e+00,3.238382385872015767e+00
2.354486809850282469e+00,8.857430996221233865e-01,9.302988819591183400e+00,9.147082844581875705e+00,5.449207641537544555e-01,5.564086516351586242e-01
2.859173224171139172e+00,8.334399711141265987e-01,5.154371019195282067e+00,5.627338843670386836e+00,1.054229130445204943e+00,1.027957496142519522e+00
1.990742212786883458e+00,1.260574184739038928e-01,8.525360722863513985e+00,3.062013234571829834e+00,3.260931150807444112e+00,3.215501591856305019e+00
3.990352975296569848e+00,9.099132053144154408e-01,5.562094339842162505e+00,8.530085418952797482e+00,1.235391539498973179e+00,1.287993063024464258e+00
2.108038660765817696e+00,6.142134280263433777e-01,5.730823317350353996e+00,6.435508719820891343e+00,1.205583940075525717e+00,1.202245174279900075e+00
2.142168668067756965e+00,1.147402166678757052e-01,7.218148265807984743e+00,8.699745871298731004e+00,4.090602151877503090e+00,4.069945203448473769e+00
1.682975180977414942e+00,6.711100239448792859e-01,5.478681401446307220e+00,4.508154727398193451e+00,8.301602987106518894e-01,8.344880113524766330e-01
2.144507797491841394e+00,8.198263670291209282e-01,4.760467115683241879e+00,6.782942852542869439e+00,8.574973799267344710e-01,8.517550400122549936e-01
3.407821331360133321e+00,2.829697548857467160e-01,1.628134256508155353e+00,8.094011976444868139e-01,3.251192967850788929e+00,3.276757235777169708e+00
3.244733926707703553e+00,3.403954015122390708e-01,6.890894334015690070e+00,2.918075091365263773e+00,2.990919609685716907e+00,2.991937455158829806e+00
1.821683030792923486e+00,2.999234209724630507e-01,9.620412435368598025e+00,3.409062850430446989e+00,1.871347747878073342e+00,1.871760235386625837e+00
2.440596253570235685e+00,6.822566577980984093e-01,9.454945823325587639e+00,9.264323868997717426e+00,1.078250419427004836e+00,1.056813027796015936e+00
2.552303486543657129e+00,6.964512538784169982e-01,9.462529365219113364e-01,7.024241726076320802e+00,1.666644505039081681e+00,1.680731548001506592e+00
3.162460615904901573e+00,7.469143075773192475e-01,4.648765517931034985e+00,9.380709354922545096e-01,1.152029548637141465e+00,1.121013546966491914e+00
2.639822407609372146e+00,8.789370182697580081e-01,6.159373124381475328e+00,5.802217699900131365e+00,8.008270064669530397e-01,8.208036896598720489e-01
2.966295817063828721e+00,2.136454237300664527e-01,1.438098581569509982e+00,4.631413072779639428e+00,4.056531217945225087e+00,4.102249343334928966e+00
3.599211509022355759e+00,6.874231385799129956e-01,7.251012988576539087e+00,7.738903474016900041e+00,1.672137169177107419e+00,1.626396588034132895e+00
3.316184025780926081e+00,6.311326903819647338e-01,4.616948531545492784e+00,2.528767545400985028e+00,1.705439430838746384e+00,1.631452553898206759e+00
2.412518158771397303e+00,2.863589740853287324e-01,1.733368498436537397e+00,3.670925058554650455e+00,2.749668423637254833e+00,2.768174786291884626e+00
2.620990773361210557e+00,9.277776333733367409e-01,2.520154154758206921e+00,2.118563942490243157e+00,9.335653904659768632e-01,1.010002324930470596e+00
2.419248924225016584e+00,4.792642026517383025e-01,6.742584743833699434e-01,7.805919846835090325e+00,2.203252852704696174e+00,2.173225107238539344e+00
1.774336660016741840e+00,9.039447281229963105e-01,2.686018486373634939e+00,4.738057955639131791e+00,7.186092587761361283e-01,6.810883860120764410e-01
2.008103860218491299e+00,9.245964137932960458e-01,7.154998388536489173e+00,2.560579638537304525e+00,4.326381352675616188e-01,4.503072032809758429e-01
2.209516222360327742e+00,8.600432862547674473e-01,5.187164559877897041e+00,4.613908657102202326e+00,7.492501731333058856e-01,7.240285254315566021e-01
2.285334739005755456e+00,4.635368239820838454e-01,2.720950830620805672e+00,5.088698150143652121e+00,1.899422668815818005e+00,1.884241904297715875e+00
2.282619647049844325e+00,3.017991111327697484e-01,2.901151407356352241e+00,8.944426556015157459e+00,2.730595593070003879e+00,2.720152069069490697e+00
2.941749290632380109e+00,5.771857454198239257e-01,4.996560937278714754e+00,2.814510598692921306e+00,1.679797959255298734e+00,1.695758021844052665e+00
3.929224939049386744e+00,4.545822496573748150e-01,7.466312570854878317e+00,1.146645902928943084e+00,2.450968533334120458e+00,2.438809462492327107e+00
3.436660337309330071e+00,4.713814236601148178e-01,9.794552933880245504e+00,2.856649749820379114e+00,2.261729294376204624e+00,2.270065779578609444e+00
3.477834870432013226e+00,2.696732093317361079e-01,5.237975567183353220e+00,1.033784454917216600e+00,3.377389110933053384e+00,3.372093113166246159e+00
3.398171251348950150e+00,8.080277678620549908e-01,4.711097504748367193e+00,9.010260050748455374e-01,1.088985389437705065e+00,1.063645256328156874e+00
2.992469326309390887e+00,7.076516839135531534e-01,4.101934785096421621e+00,3.759656872568096553e+00,1.449910231716772691e+00,1.440315443984476085e+00
3.794230642927281849e+00,8.287786380918860107e-01,8.304635601290051738e+00,7.492894786962762232e+00,1.136821219595455013e+00,1.108309229640417559e+00
3.224075388617702487e+00,5.283849433266749607e-01,5.973413967395458712e+00,7.774807947152321042e+00,2.229008481023512456e+00,2.229203930599604977e+00
2.750891076842177263e+00,1.333973584769750920e-01,9.200191124922138641e+00,8.866552321881030707e+00,4.961789211950832446e+00,4.928073225123863033e+00
1.692709521251346771e+00,8.260780455730831751e-01,5.708021419849533373e+00,8.446588357201722630e+00,6.278050720826721109e-01,5.950182410038148406e-01
2.721123067713809629e+00,1.123260814477510805e-01,2.389732881068181491e+00,9.040677341267777223e+00,5.122351921257308760e+00,5.166060775716466047e+00
2.032077488350835903e+00,1.890644085320299372e-01,1.498595318297385237e+00,2.354822444250926239e+00,2.673243308562721854e+00,2.671647781953561562e+00
1.831740743866968169e+00,8.997081170224868751e-01,5.611395960966881091e+00,2.210092238305368273e+00,4.913743493924678796e-01,4.897572886283065863e-01
2.765162306323432517e+00,5.553542968337598085e-01,2.311316755451704452e+00,6.883841266655701396e-01,1.566769420426089354e+00,1.582115513023617970e+00
3.462713231492397625e+00,6.574976693297517327e-01,7.136060593021575471e+00,4.374865053287257055e+00,1.632214187804296612e+00,1.619588477727830433e+00
2.237516107013798550e+00,7.888934004690408841e-01,7.938556480058831966e+00,4.978865883564408179e+00,7.398460852106251151e-01,7.329900241862803423e-01
3.421929399772916103e+00,6.481014221166079281e-01,7.885310083010470983e+00,2.141741684419660618e+00,1.456523867209339462e+00,1.469278329269296801e+00
2.814073807905635327e+00,4.495741592789586627e-01,4.359273986298352277e+00,9.763916205860219577e+00,2.423789935671550211e+00,2.432262410938882180e+00
1.872620058426781364e+00,5.386994761512277075e-01,5.733034766273171989e+00,4.146234093169976376e+00,1.191228014905758359e+00,1.156449113097785419e+00
3.912419359949339537e+00,4.086354143050421883e-01,2.653322826230251064e+00,4.144363088891807934e+00,3.513437523300297904e+00,3.538437801200387867e+00
2.504090559721293907e+00,5.694713824735302410e-01,5.429804738271066356e+00,4.234299935121063285e+00,1.512923772329412442e+00,1.495210724030741067e+00
2.238085639156739415e+00,5.198632763897497594e-02,8.263946042953868698e+00,2.089298164290067650e+00,4.458077525176890710e+00,4.426395156667465081e+00
3.617495926584323840e+00,5.074394865860679671e-01,6.572502640889196890e+00,6.131481207711345860e+00,2.524513520867245120e+00,2.497499268767273684e+00
1.811150831288699692e+00,7.143960433616787509e-02,6.838026895781310621e+00,1.618439457698560124e+00,3.247902841678385499e+00,3.236186481347725685e+00
3.333976152684258398e+00,1.487047539415781161e-01,9.583314505111166781e+00,9.499250677521036579e+00,5.763372785541409193e+00,5.812191793180101484e+00
1.969561856413670764e+00,8.117314471468695114e-01,3.224255533786509975e+00,4.990850983251824857e+00,8.822030792895001472e-01,8.469370021418767269e-01
2.481229440031456068e+00,6.434475055749023786e-01,6.670922029211766358e+00,6.151768308561535115e+00,1.279086053958084612e+00,1.283888330734114902e+00
2.079749696155346328e+00,2.139510837457715420e-01,8.904218048738956170e+00,3.912186901448146958e+00,2.729528561344278792e+00,2.665393830601561653e+00
3.603069981730967264e+00,7.224822727266466682e-01,3.655809388014946926e+00,3.689295988176322538e+00,1.745907298121532225e+00,1.745860290127176251e+00
2.475186379849654283e+00,4.782049426290583272e-01,9.792687959598148639e-01,9.860190461218138580e+00,2.265416727230650462e+00,2.292403719754930513e+00
3.936732032205723097e+00,1.713616483758160225e-01,3.300749985029661548e+00,1.562841320290174751e+00,5.165719868771069478e+00,5.158619969109225600e+00
3.063153711037767124e+00,8.867171256287287306e-01,3.253431312320062219e+00,1.812199681626148084e+00,1.054256074413915556e+00,1.035375426697415335e+00
3.234057086757287980e+00,1.515245886368614681e-01,3.228802524067354351e+00,5.535726458621577528e+00,5.290315074727055311e+00,5.297260406648811149e+00
2.803812805331043823e+00,6.776857221646280516e-02,5.491170845355853203e+00,2.322585459214281833e+00,5.316123565918776883e+00,5.337128118453296821e+00
2.272420497688977914e+00,2.809415556109354783e-01,5.842501805684817029e+00,5.626212522552893613e-01,2.032296267423447045e+00,2.052205994553969237e+00
2.488891052631071688e+00,1.281739162318101533e-01,4.158908304347509244e+00,6.353905110113130306e+00,4.425510962775991430e+00,4.484685178393885252e+00
3.852335469154754222e+00,6.504931272341213377e-02,3.558977063994395618e+00,5.305735285167123561e-01,6.214621030501252363e+00,6.220896054671340991e+00
2.003008001811661387e+00,6.379176888177989779e-01,5.474278809361907250e+00,6.516732928405152947e+00,1.103455023212146724e+00,1.085682720219558695e+00
3.970547253050530578e+00,1.687659250921625387e-01,7.435588090834671426e+00,3.416393617235151670e+00,5.816141941110332780e+00,5.812362565410733595e+00
3.395764655009545940e+00,5.574918596557890682e-01,8.086539151719429608e-01,6.353942973553284190e+00,2.688558820881015610e+00,2.686383864512421393e+00
2.399467316231525871e+00,2.683308462539780170e-01,8.344483521137393112e+00,5.982532685012403206e+00,2.875486868358597903e+00,2.878748989862941254e+00
3.103783973764008053e+00,8.965851221907588098e-01,1.758125761777976859e+00,9.301188196562362620e+00,1.484388502386506881e+00,1.483487667989623837e+00
2.452453848232718947e+00,2.442703894653253105e-01,9.110822374167113935e+00,2.831237524050888688e+00,2.835705969020747119e+00,2.840924947187633443e+00
2.453732331599800087e+00,5.185892537074143771e-01,5.180397995437737713e+00,9.278084478238660893e+00,1.791701398326512651e+00,1.741575896508059218e+00
2.759507375486323966e+00,7.114885321744908175e-01,5.860424783759432543e+00,5.571575828132684371e+00,1.256887944341698260e+00,1.281776813022899475e+00
1.541807054088442763e+00,3.300169267665279960e-01,9.817829117704901520e+00,5.001505276767777008e-01,1.189586486127048870e+00,1.172344308059417806e+00
2.733928899858490524e+00,7.985654510476952739e-01,9.023573570105989816e+00,4.286623265464648114e+00,8.107995690058557026e-01,7.756048081124449212e-01
3.928996033617219830e+00,3.325810569182681697e-01,4.728330784373297568e+00,1.049036215127488791e+00,3.317685829319555246e+00,3.336818364108798285e+00
2.213663071963946294e+00,3.990740573966923277e-01,2.421691591023464429e+00,7.112173223732010996e+00,2.163995842275626469e+00,2.203515622497208781e+00
3.370544897691530650e+00,4.373494542749644109e-01,6.159624442147681123e+00,7.286982735046491300e+00,2.810022461298096186e+00,2.824813305783079542e+00
2.606972225176237501e+00,4.270047097386246437e-01,8.817538149497491373e-01,3.357735843593608216e+00,2.320466433822739205e+00,2.325301213238105014e+00
2.023202606544463933e+00,5.971492889693730266e-01,1.137193931012647319e+00,2.768992994843511468e+00,1.337225217489671270e+00,1.309258608328512707e+00
3.762506427045323676e+00,2.536210504398477283e-01,2.649795064099310871e+00,4.628330741845765317e+00,4.701824749288745053e+00,4.787971769423149837e+00
1.542068211700532432e+00,3.462926993986668589e-01,4.468626723912139553e+00,6.280747104306779960e+00,1.590742824378847731e+00,1.617150582998692965e+00
2.258772316498776966e+00,2.560748281857633812e-01,7.090198625060846638e+00,1.743233534370248750e+00,2.383475439962864595e+00,2.349296599852575440e+00
3.997564705809844021e+00,2.992507236652024449e-01,1.439669475095136653e+00,2.808648530652316566e+00,4.292255805759518594e+00,4.268866668272326415e+00
2.155366990474973932e+00,7.365040935476048212e-01,8.621111211747907177e+00,8.483387297865601084e+00,8.391410882482288613e-01,8.417504657053860306e-01
3.622611304648180042e+00,6.163400784396815268e-01,4.772888101908223213e+00,5.216516507688417015e+00,2.098434549533363391e+00,2.051792615573484024e+00
3.014207871639260627e+00,9.165103721816310056e-01,2.342219502731555103e+00,3.273215962619705266e+00,1.181975661246397635e+00,1.187034573456713149e+00
3.515089268817809032e+00,9.051170365643433913e-01,8.712267334438980271e+00,7.571472224526187844e-01,5.972453560843721254e-01,5.834732094129893021e-01
3.075794388608695584e+00,2.345769022170552387e-01,7.063349476976154229e+00,2.918613617843321073e+00,3.682766250577197198e+00,3.719554368586683868e+00
2.406742142644620941e+00,2.389514323650310246e-01,8.668499179845774449e+00,6.530932034943187858e+00,3.139090912081642593e+00,3.167955551990489838e+00
