t,G,I,Ia,dG_dt,dG_dt_noisy
2.600520104020804246e-01,1.012072405915382767e+01,6.778856446479596398e-01,3.029142802387478281e-02,4.265252884903840691e-01,4.183797910907314233e-01
2.800560112022404402e-01,1.012919546526294567e+01,6.912289608830981535e-01,3.296695795092755010e-02,4.204374571856126508e-01,3.963314915516137349e-01
3.000600120024005113e-01,1.013754459030126753e+01,7.045242225316017404e-01,3.569037560884542187e-02,4.142998225434708637e-01,4.442421331752022251e-01
3.200640128025605269e-01,1.014577046051286935e+01,7.177715358563931947e-01,3.846139345008817850e-02,4.081147266785782879e-01,4.101008320526612350e-01
3.400680136027205425e-01,1.015387214807595306e+01,7.309710065667708312e-01,4.127972491371112440e-02,4.018844692670117125e-01,3.872616317187572710e-01
3.600720144028806136e-01,1.016184877110285179e+01,7.441227398184088182e-01,4.414508442536504290e-02,3.956113065566705389e-01,3.565158834388284514e-01
3.800760152030406291e-01,1.016969949364003689e+01,7.572268402133565113e-01,4.705718739729621014e-02,3.892974504862348750e-01,3.764378384552913293e-01
4.000800160032006447e-01,1.017742352509367088e+01,7.702834118143030429e-01,5.001575022561406680e-02,3.829450679440319361e-01,3.833521769699491100e-01
4.200840168033607158e-01,1.018502011301232280e+01,7.832925583167479333e-01,5.302049027849028984e-02,3.765562804828904708e-01,3.627761352179219578e-01
4.400880176035207314e-01,1.019248855303876411e+01,7.962543827924823958e-01,5.607112597300890899e-02,3.701331630897081171e-01,4.348363538096184921e-01
4.600920184036807470e-01,1.019982818154662318e+01,8.091689878851183737e-01,5.916737669900276608e-02,3.636777442322689513e-01,4.140139599975586893e-01
4.800960192038408181e-01,1.020703837246869838e+01,8.220364758907175995e-01,6.230896279794531645e-02,3.571920056719583014e-01,2.216338817236598591e-01
5.001000200040007782e-01,1.021411853729695451e+01,8.348569487577913728e-01,6.549560556295057345e-02,3.506778821611907793e-01,2.562272198628071651e-01
5.201040208041608492e-01,1.022106812508252283e+01,8.476305080873006714e-01,6.872702723877321951e-02,3.441372612247542984e-01,3.353986566219961940e-01
5.401080216043209203e-01,1.022788662243570279e+01,8.603572551326561513e-01,7.200295102180848117e-02,3.375719830212942085e-01,3.164624624424765553e-01
5.601120224044808804e-01,1.023457355352595854e+01,8.730372907997179244e-01,7.532310106009219852e-02,3.309838402811328129e-01,3.416659901560633594e-01
5.801160232046409515e-01,1.024112848008192778e+01,8.856707156467960029e-01,7.868720245330085294e-02,3.243745783166356311e-01,3.352406748677638215e-01
6.001200240048010226e-01,1.024755099825878268e+01,8.982576299322927449e-01,8.209498124334235758e-02,3.177458952781915258e-01,4.236378330307439266e-01
6.201240248049609827e-01,1.025384073178045874e+01,9.107981336948822726e-01,8.554616443535666137e-02,3.110994426093849352e-01,2.554984044747708460e-01
6.401280256051210538e-01,1.025999734644405947e+01,9.232923265274656233e-01,8.904048005020774592e-02,3.044368244207019680e-01,2.855565740643520867e-01
6.601320264052811249e-01,1.026602053739375719e+01,9.357403077997588081e-01,9.257765703581426198e-02,2.977595985654620803e-01,3.998981789400786191e-01
6.801360272054410849e-01,1.027191002781229301e+01,9.481421766795846695e-01,9.615742526080854613e-02,2.910692770347995673e-01,3.234044268448919013e-01
7.001400280056011560e-01,1.027766556892097860e+01,9.604980321328731030e-01,9.977951551453671797e-02,2.843673263249231198e-01,3.175204949437361868e-01
7.201440288057612271e-01,1.028328693997970333e+01,9.728079729236611684e-01,1.034436595070585552e-01,2.776551678515586374e-01,2.519548492671854767e-01
7.401480296059211872e-01,1.028877394828692360e+01,9.850720976140926455e-01,1.071495898691475490e-01,2.709341784082098803e-01,1.885304198654272345e-01
7.601520304060812583e-01,1.029412642917966991e+01,9.972905045644184785e-01,1.108970401522909599e-01,2.642056906649478121e-01,2.725789278760848422e-01
7.801560312062413294e-01,1.029934424603354515e+01,1.009463291932996665e+00,1.146857448286896647e-01,2.574709937045432939e-01,2.629216980956206595e-01
8.001600320064012895e-01,1.030442729026272453e+01,1.021590557676292033e+00,1.185154392912582955e-01,2.507313335928497144e-01,1.893637308806210007e-01
8.201640328065613605e-01,1.030937547423577705e+01,1.033672399606675452e+00,1.223858598376292572e-01,2.439879143712019305e-01,2.098265812821738241e-01
8.401680336067214316e-01,1.031418873072856179e+01,1.045708915351376556e+00,1.262967437303529616e-01,2.372418986154194442e-01,2.336397146290580817e-01
8.601720344068813917e-01,1.031886702491241437e+01,1.057700202268784029e+00,1.302478292040377961e-01,2.304944074676023025e-01,1.832568263145634146e-01
8.801760352070414628e-01,1.032341034096181609e+01,1.069646357593196262e+00,1.342388553867912004e-01,2.237465221351704336e-01,2.188330237425595570e-01
9.001800360072015339e-01,1.032781868181348628e+01,1.081547478437116405e+00,1.382695622992283213e-01,2.169992846038665268e-01,2.217734359773392561e-01
9.201840368073614940e-01,1.033209206916637335e+01,1.093403661791251480e+00,1.423396908544720396e-01,2.102536983547437233e-01,2.120330102075179968e-01
9.401880376075215651e-01,1.033623054348166015e+01,1.105215004524513489e+00,1.464489828581530539e-01,2.035107290968318772e-01,1.781961461811161218e-01
9.601920384076816362e-01,1.034023416398276218e+01,1.116981603384018751e+00,1.505971810084097973e-01,1.967713055132424005e-01,2.264587091025335452e-01
9.801960392078415962e-01,1.034410300865532761e+01,1.128703554995088121e+00,1.547840288958884369e-01,1.900363200185849477e-01,2.345946677327013785e-01
1.000200040008001556e+00,1.034783717424724081e+01,1.140380955861246992e+00,1.590092710037429025e-01,1.833066295256681189e-01,1.993490447539963129e-01
1.020204040808161627e+00,1.035143677626861525e+01,1.152013902364224851e+00,1.632726527076349687e-01,1.765830562195721543e-01,1.356715448500568078e-01
1.040208041608321698e+00,1.035490194898823013e+01,1.163602490763968378e+00,1.675739202757187685e-01,1.698663883374827988e-01,2.064490025267548545e-01
1.060212042408481770e+00,1.035823283490683622e+01,1.175146817216570660e+00,1.719128208455245332e-01,1.631573815340322531e-01,1.380853806106796255e-01
1.080216043208641841e+00,1.036142959286278931e+01,1.186646977692653815e+00,1.762891025220201524e-01,1.564567591007191005e-01,2.004147900151183603e-01
1.100220044008801912e+00,1.036449240275225669e+01,1.198103068010806238e+00,1.807025143378615806e-01,1.497652125706441240e-01,9.617584172677190457e-02
1.120224044808961761e+00,1.036742145535782633e+01,1.209515183888801859e+00,1.851528061906131117e-01,1.430834031279322183e-01,1.888067632843712929e-01
1.140228045609121832e+00,1.037021695234851215e+01,1.220883420943600806e+00,1.896397288427477124e-01,1.364119623917502411e-01,1.354087896609762198e-01
1.160232046409281903e+00,1.037287910627974341e+01,1.232207874691348515e+00,1.941630339216466883e-01,1.297514931971881502e-01,6.731404868046736434e-02
1.180236047209441974e+00,1.037540814059337890e+01,1.243488640547375734e+00,1.987224739195997958e-01,1.231025703718477970e-01,1.074075967735054066e-01
1.200240048009602045e+00,1.037780428961769275e+01,1.254725813826199854e+00,2.033178021938052971e-01,1.164657415070747826e-01,1.191708554456519797e-01
1.220244048809762116e+00,1.038006779856738682e+01,1.265919489741523352e+00,2.079487729663699602e-01,1.098415277228407261e-01,1.234810946810634136e-01
1.240248049609921965e+00,1.038219892354358009e+01,1.277069763406234459e+00,2.126151413243089761e-01,1.032304244253697822e-01,5.412101817832089268e-02
1.260252050410082036e+00,1.038419793153381754e+01,1.288176729832407386e+00,2.173166632195460413e-01,9.663290205666763555e-02,4.126424969840798013e-02
1.280256051210242108e+00,1.038606510041206654e+01,1.299240483931301648e+00,2.220530954689133585e-01,9.004940683519102596e-02,1.000286334775450647e-01
1.300260052010402179e+00,1.038780071876238686e+01,1.310261120512740574e+00,2.268241957531776098e-01,8.348036149756055124e-02,6.014288065357044355e-02
1.320264052810562250e+00,1.038940507509095745e+01,1.321238734220163691e+00,2.316297225871500887e-01,7.692616662830176200e-02,8.870144721481301731e-02
1.340268053610722099e+00,1.039087847005063203e+01,1.332173419517667545e+00,2.364694354487541783e-01,7.038720055480007787e-02,1.083631766787190309e-01
1.360272054410882170e+00,1.039222121592503001e+01,1.343065270752705542e+00,2.413430947044982178e-01,6.386382017684866241e-02,-1.857554814069876936e-02
1.380276055211042241e+00,1.039343363003680309e+01,1.353914382147793694e+00,2.462504615565163368e-01,5.735636207281302745e-02,7.007576789869389422e-02
1.400280056011202312e+00,1.039451603474763530e+01,1.364720847800509063e+00,2.511912980425685671e-01,5.086514317484802650e-02,1.120974915516346482e-01
1.420284056811362383e+00,1.039546875745824828e+01,1.375484761683491985e+00,2.561653670360408142e-01,4.439046143175351400e-02,2.951411921322985230e-02
1.440288057611522454e+00,1.039629213060839241e+01,1.386206217644443406e+00,2.611724322459448855e-01,3.793259645916280398e-02,-2.608132702715697249e-03
1.460292058411682303e+00,1.039698649167685929e+01,1.396885309406127096e+00,2.662122582169185181e-01,3.149181017680358075e-02,6.910400153578322158e-02
1.480296059211842374e+00,1.039755218318146746e+01,1.407522130566369212e+00,2.712846103292253508e-01,2.506834743261621146e-02,3.774067324302328441e-02
1.500300060012002445e+00,1.039798955267907132e+01,1.418116774598057184e+00,2.763892547987549242e-01,1.866243661354682892e-02,6.345659015242485768e-02
1.520304060812162517e+00,1.039829895276556293e+01,1.428669334849140604e+00,2.815259586770226252e-01,1.227429024287884918e-02,-4.986495259685138487e-03
1.540308061612322588e+00,1.039848074107586307e+01,1.439179904542631006e+00,2.866944898511697426e-01,5.904105563995121209e-03,-6.818680812211544429e-02
1.560312062412482659e+00,1.039853528028392837e+01,1.449648576776602527e+00,2.918946170439634669e-01,-4.479348895021217913e-04,-5.948473125064671421e-03
1.580316063212642508e+00,1.039846293777771002e+01,1.460075444519732368e+00,2.971261098108448073e-01,-6.781662716384140310e-03,-2.907307036694575103e-02
1.600320064012802579e+00,1.039826407725494661e+01,1.470460600461461764e+00,3.023887385001139405e-01,-1.309692260667094654e-02,2.566926849570776159e-02
1.620324064812962650e+00,1.039793906986581185e+01,1.480804137108953533e+00,3.076822744131334497e-01,-1.939357260023721885e-02,-9.711930181379528279e-03
1.640328065613122721e+00,1.039748829199374747e+01,1.491106146832104962e+00,3.130064897044657068e-01,-2.567148332974422686e-02,-1.072139449514992876e-01
1.660332066413282792e+00,1.039691212130453835e+01,1.501366721823188755e+00,3.183611573313807619e-01,-3.193053724634964397e-02,-9.168869125150963528e-02
1.680336067213442863e+00,1.039621093674631425e+01,1.511585954096852591e+00,3.237460510538564540e-01,-3.817062813158988988e-02,6.018823697772873738e-03
1.700340068013602712e+00,1.039538511854954272e+01,1.521763935490119124e+00,3.291609454345781338e-01,-4.439166062256771905e-02,-1.040340975167539095e-02
1.720344068813762783e+00,1.039443504822703623e+01,1.531900757662386425e+00,3.346056158389391078e-01,-5.059354975034313640e-02,-8.260571804576757882e-02
1.740348069613922855e+00,1.039336110857394324e+01,1.541996512095427097e+00,3.400798384350401937e-01,-5.677622049138453253e-02,-5.682866031974856402e-02
1.760352070414082926e+00,1.039216368366776067e+01,1.552051290093388936e+00,3.455833901936898878e-01,-6.293960733194303714e-02,-4.066092964313372526e-02
1.780356071214242997e+00,1.039084315886832321e+01,1.562065182782795159e+00,3.511160488884045305e-01,-6.908365384518877494e-02,-4.566343705282487758e-02
1.800360072014403068e+00,1.038939992081780872e+01,1.572038281112543734e+00,3.566775930954080298e-01,-7.520831228093816101e-02,-3.139620247522065255e-02
1.820364072814562917e+00,1.038783435744073813e+01,1.581970675853907160e+00,3.622678021936319714e-01,-8.131354316779326741e-02,-6.848926180671516262e-02
1.840368073614722988e+00,1.038614685794397019e+01,1.591862457600534020e+00,3.678864563647158414e-01,-8.739931492750285802e-02,-9.214073187592776437e-02
1.860372074414883059e+00,1.038433781281671031e+01,1.601713716768447426e+00,3.735333365930065819e-01,-9.346560350134514028e-02,-1.064080067407374153e-01
1.880376075215043130e+00,1.038240761352691521e+01,1.611524543585828972e+00,3.792082246597986983e-01,-9.951239196550853983e-02,-4.672525193884597555e-02
1.900380076015203201e+00,1.038035664738546338e+01,1.621295027879003481e+00,3.849109030875935700e-01,-1.055396698400221656e-01,-2.180823835939490474e-01
1.920384076815363272e+00,1.037818530505635373e+01,1.631025259269740735e+00,3.906411553392155622e-01,-1.115474333739553403e-01,-1.184801996285222009e-01
1.940388077615523121e+00,1.037589397855401074e+01,1.640715327192247219e+00,3.963987656949544691e-01,-1.175356849735328391e-01,-1.158856797743298278e-01
1.960392078415683192e+00,1.037348305917182678e+01,1.650365320836666649e+00,4.021835191999336701e-01,-1.235044327157580613e-01,-1.947718807592674350e-01
1.980396079215843264e+00,1.037095293748215674e+01,1.659975329149080858e+00,4.079952016641102408e-01,-1.294536900430031112e-01,-1.128130093861007821e-01
2.000400080016003113e+00,1.036830400333632340e+01,1.669545440831509131e+00,4.138335996622748425e-01,-1.353834754679930086e-01,-1.679475260901627243e-01
2.020404080816163184e+00,1.036553664586460854e+01,1.679075744341908649e+00,4.196985005340520547e-01,-1.412938122889537684e-01,-9.817157247316643520e-02
2.040408081616323255e+00,1.036265125347626359e+01,1.688566327894174046e+00,4.255896923838999868e-01,-1.471847283146939800e-01,-1.534643325164103400e-01
2.060412082416483326e+00,1.035964821385950607e+01,1.698017279458138074e+00,4.315069640811103890e-01,-1.530562555993836282e-01,-1.195985935599109817e-01
2.080416083216643397e+00,1.035652791398151429e+01,1.707428686759570935e+00,4.374501052598087636e-01,-1.589084301867970117e-01,-9.796624992823585454e-02
2.100420084016803468e+00,1.035329074008843442e+01,1.716800637280180730e+00,4.434189063189543645e-01,-1.647412918637904955e-01,-1.455948127281168625e-01
2.120424084816963539e+00,1.034993707770537874e+01,1.726133218257613011e+00,4.494131584223399201e-01,-1.705548839227764013e-01,-2.143409410939186854e-01
2.140428085617123610e+00,1.034646731163641853e+01,1.735426516685451226e+00,4.554326534985920216e-01,-1.763492529329676595e-01,-2.520651845181995920e-01
2.160432086417283681e+00,1.034288182596459826e+01,1.744680619313216718e+00,4.614771842411709013e-01,-1.821244485201615193e-01,-9.445524264434287942e-02
2.180436087217443752e+00,1.033918100405192142e+01,1.753895612646368285e+00,4.675465441083704876e-01,-1.878805231548310584e-01,-1.934451328142070270e-01
2.200440088017603824e+00,1.033536522836735472e+01,1.763071582929651715e+00,4.736405273134529081e-01,-1.936175319290679431e-01,-2.280457793107840136e-01
2.220444088817763451e+00,1.033143487838858476e+01,1.772208615893489769e+00,4.797589287483010057e-01,-1.993355321692555915e-01,-1.921226777662143337e-01
2.240448089617923522e+00,1.032739033402403628e+01,1.781306797027792932e+00,4.859015442310875565e-01,-2.050345836796997334e-01,-2.146051502038321956e-01
2.260452090418083593e+00,1.032323197448168273e+01,1.790366211570582955e+00,4.920681703574115162e-01,-2.107147483515685593e-01,-1.681076351409341862e-01
2.280456091218243664e+00,1.031896017749357419e+01,1.799386944446339731e+00,4.982586044442441353e-01,-2.163760898919139253e-01,-2.146796807700589171e-01
2.300460092018403735e+00,1.031457531931583382e+01,1.808369080266000850e+00,5.044726445299291262e-01,-2.220186736578897424e-01,-2.213311944769687789e-01
2.320464092818563806e+00,1.031007777472865250e+01,1.817312703326961598e+00,5.107100893741821634e-01,-2.276425664976909902e-01,-2.633715525493391940e-01
2.340468093618723877e+00,1.030546791703629594e+01,1.826217897613074737e+00,5.169707384580916054e-01,-2.332478365980198420e-01,-2.097694316606451559e-01
2.360472094418883948e+00,1.030074611806710472e+01,1.835084746794651611e+00,5.232543919841178282e-01,-2.388345533378699037e-01,-2.905278894556190261e-01
2.380476095219044019e+00,1.029591274817348889e+01,1.843913334228460377e+00,5.295608508760933919e-01,-2.444027871484412140e-01,-2.111083151602428654e-01
2.400480096019204090e+00,1.029096817623192806e+01,1.852703742957727551e+00,5.358899167792233742e-01,-2.499526093789880554e-01,-1.737557337294814430e-01
2.420484096819364161e+00,1.028591276964298196e+01,1.861456055712137347e+00,5.422413920600848147e-01,-2.554840921684170540e-01,-3.317183940733746672e-01
2.440488097619524233e+00,1.028074689433127453e+01,1.870170354907831456e+00,5.486150798066274925e-01,-2.609973083224472745e-01,-3.843087698900131688e-01
2.460492098419683860e+00,1.027547091474550811e+01,1.878846722647409706e+00,5.550107838281728156e-01,-2.664923311961543417e-01,-2.356483934384383527e-01
2.480496099219843931e+00,1.027008519385845453e+01,1.887485240719929624e+00,5.614283086554152646e-01,-2.719692345817232293e-01,-1.445743438075669240e-01
2.500500100020004002e+00,1.026459009316695692e+01,1.896085990600906213e+00,5.678674595404208381e-01,-2.774280926012335780e-01,-3.274743350448282575e-01
2.520504100820164073e+00,1.025898597269193324e+01,1.904649053452312391e+00,5.743280424566283848e-01,-2.828689796043167837e-01,-3.454037675444162070e-01
2.540508101620324144e+00,1.025327319098723500e+01,1.913174510096768755e+00,5.808098640814859381e-01,-2.882919700556543785e-01,-2.588435233666306901e-01
2.560512102420484215e+00,1.024745210531611761e+01,1.921662440746316758e+00,5.873127317009537718e-01,-2.936971383683719683e-01,-3.357332178712873483e-01
2.580516103220644286e+00,1.024152307160650821e+01,1.930112925336830765e+00,5.938364535139317724e-01,-2.990845590820485622e-01,-3.243858332788853716e-01
2.600520104020804357e+00,1.023548644431379451e+01,1.938526043480698569e+00,6.003808384470064041e-01,-3.044543066045816704e-01,-3.218601799387705853e-01
2.620524104820964428e+00,1.022934257642307720e+01,1.946901874410371880e+00,6.069456960990223804e-01,-3.098064550837583142e-01,-2.832063507691683912e-01
2.640528105621124499e+00,1.022309181944916112e+01,1.955240496978365661e+00,6.135308367410833297e-01,-3.151410783319012476e-01,-3.354061964015571662e-01
2.660532106421284571e+00,1.021673452343655875e+01,1.963541989657257680e+00,6.201360713165511296e-01,-3.204582497542695085e-01,-3.065641077502614942e-01
2.680536107221444198e+00,1.021027103695949201e+01,1.971806430539689403e+00,6.267612114410464619e-01,-3.257580422810780196e-01,-3.345847052257567844e-01
2.700540108021604269e+00,1.020370170712189051e+01,1.980033897338365989e+00,6.334060694024487015e-01,-3.310405283030034562e-01,-3.732740834855836076e-01
2.720544108821764340e+00,1.019702687955738973e+01,1.988224467386054961e+00,6.400704581608956945e-01,-3.363057796100507035e-01,-3.522970924972117501e-01
2.740548109621924411e+00,1.019024689842933640e+01,1.996378217635587760e+00,6.467541913487836469e-01,-3.415538673336544484e-01,-3.890738505920503520e-01
2.760552110422084482e+00,1.018336210643077955e+01,2.004495224659858632e+00,6.534570832707676802e-01,-3.467848618918970005e-01,-3.464591125984095576e-01
2.780556111222244553e+00,1.017637284478447945e+01,2.012575564651826188e+00,6.601789489037613867e-01,-3.519988329377234382e-01,-4.081921443160052565e-01
2.800560112022404624e+00,1.016927945324290405e+01,2.020619313424510732e+00,6.669196038969370521e-01,-3.571958493100432230e-01,-4.118405677748053773e-01
2.820564112822564695e+00,1.016208227008822718e+01,2.028626546410997378e+00,6.736788645717253221e-01,-3.623759789876049298e-01,-2.895278882223421557e-01
2.840568113622724766e+00,1.015478163213233209e+01,2.036597338664433821e+00,6.804565479218155355e-01,-3.675392890455403405e-01,-3.701985000608074006e-01
2.860572114422884837e+00,1.014737787471681152e+01,2.044531764858030787e+00,6.872524716131558353e-01,-3.726858456144727105e-01,-3.753809468880748845e-01
2.880576115223044908e+00,1.013987133171295874e+01,2.052429899285062920e+00,6.940664539839527247e-01,-3.778157138420881189e-01,-3.522388928462071855e-01
2.900580116023204980e+00,1.013226233579921498e+01,2.060291815814356831e+00,7.008983140102696963e-01,-3.829289578456283039e-01,-4.039718079730718614e-01
2.920584116823364607e+00,1.012455121990153195e+01,2.068117587627390286e+00,7.077478712101684666e-01,-3.880256406871960273e-01,-3.994524090611039080e-01
2.940588117623524678e+00,1.011673831466812779e+01,2.075907287605644580e+00,7.146149460019547428e-01,-3.931058244831668325e-01,-3.718483877165713603e-01
2.960592118423684749e+00,1.010882394938981221e+01,2.083660988230314093e+00,7.214993594658226650e-01,-3.981695702340888321e-01,-3.840487781218687724e-01
2.980596119223844820e+00,1.010080845227659374e+01,2.091378761541676123e+00,7.284009332997544162e-01,-4.032169377788039633e-01,-4.611817741254254366e-01
3.000600120024004891e+00,1.009269215045769741e+01,2.099060679139087782e+00,7.353194898195194451e-01,-4.082479857700269665e-01,-3.665808559365438812e-01
3.020604120824164962e+00,1.008447536998154348e+01,2.106706812180989985e+00,7.422548519586750215e-01,-4.132627716517325855e-01,-4.427845188161847467e-01
3.040608121624325033e+00,1.007615843581576698e+01,2.114317231384904350e+00,7.492068432685661250e-01,-4.182613516382792662e-01,-4.710652991539885370e-01
3.060612122424485104e+00,1.006774167184720525e+01,2.121892007027434524e+00,7.561752879183251119e-01,-4.232437806951948045e-01,-4.682675341951473835e-01
3.080616123224645175e+00,1.005922540088190331e+01,2.129431208944266629e+00,7.631600106948720486e-01,-4.282101125215514448e-01,-4.477373797393175980e-01
3.100620124024805246e+00,1.005060994464511204e+01,2.136934906530168377e+00,7.701608370029147110e-01,-4.331603995338639823e-01,-3.517953868027106079e-01
3.120624124824965318e+00,1.004189562378128642e+01,2.144403168738988619e+00,7.771775928649482523e-01,-4.380946928514439787e-01,-4.968714880974829939e-01
3.140628125625125389e+00,1.003308275785409265e+01,2.151836064083658684e+00,7.842101049212555353e-01,-4.430130422831465853e-01,-4.350092476564295652e-01
3.160632126425285016e+00,1.002417166534639925e+01,2.159233660636191487e+00,7.912582004299070215e-01,-4.479154963154466929e-01,-5.548067142199755164e-01
3.180636127225445087e+00,1.001516266366028240e+01,2.166596026027682420e+00,7.983217072667611047e-01,-4.528021021017882286e-01,-4.528804487590480932e-01
3.200640128025605158e+00,1.000605606911702594e+01,2.173923227448308015e+00,8.054004539254633332e-01,-4.576729054531439300e-01,-4.126945845793436041e-01
3.220644128825765229e+00,9.996852196957116021e+00,2.181215331647327282e+00,8.124942695174469653e-01,-4.625279508297362452e-01,-4.743611169328090238e-01
3.240648129625925300e+00,9.987551361340250011e+00,2.188472404933080373e+00,8.196029837719329691e-01,-4.673672813338607401e-01,-4.988350275280278301e-01
3.260652130426085371e+00,9.978153875345329382e+00,2.195694513172989470e+00,8.267264270359300227e-01,-4.721909387037642181e-01,-4.606153855008373599e-01
3.280656131226245442e+00,9.968660051758188700e+00,2.202881721704728069e+00,8.338644301974007522e-01,-4.769989632992761019e-01,-4.419913757417435751e-01
3.300660132026405513e+00,9.959070204419788297e+00,2.210034095141506061e+00,8.410168246571669837e-01,-4.817913941616118745e-01,-4.486085156107415539e-01
3.320664132826565584e+00,9.949384644613049389e+00,2.217151697777635988e+00,8.481834426865012544e-01,-4.865682690563489232e-01,-3.879445763598593500e-01
3.340668133626725655e+00,9.939603682900303383e+00,2.224234593427974804e+00,8.553641171352563966e-01,-4.913296243632138127e-01,-4.808712507463999697e-01
3.360672134426885727e+00,9.929727629290116653e+00,2.231282845410724747e+00,8.625586814116921186e-01,-4.960754950706881550e-01,-5.256960000583348336e-01
3.380676135227045354e+00,9.919756793237292314e+00,2.238296516547432446e+00,8.697669694824746722e-01,-5.008059147763508356e-01,-5.071048742756829597e-01
3.400680136027205425e+00,9.909691483642868448e+00,2.245275669162992482e+00,8.769888158726776295e-01,-5.055209156879365562e-01,-5.091458429689271759e-01
3.420684136827365496e+00,9.899532008854116327e+00,2.252220365085641607e+00,8.842240556657809947e-01,-5.102205286250742766e-01,-5.047836594511683206e-01
3.440688137627525567e+00,9.889278676664545742e+00,2.259130665646964520e+00,8.914725245036717594e-01,-5.149047830216708643e-01,-5.164061736831425664e-01
3.460692138427685638e+00,9.878931794313903225e+00,2.266006631681889427e+00,8.987340585866439024e-01,-5.195737069289070309e-01,-5.108754099840968621e-01
3.480696139227845709e+00,9.868491668488168500e+00,2.272848323528691594e+00,9.060084946733980571e-01,-5.242273270188066991e-01,-6.077698300495623096e-01
3.500700140028005780e+00,9.857958605319556256e+00,2.279655801028990236e+00,9.132956700810416217e-01,-5.288656685883560415e-01,-4.873842207863539056e-01
3.520704140828165851e+00,9.847332910386519700e+00,2.286429123527750740e+00,9.205954226850892042e-01,-5.334887555641361079e-01,-5.622257190101876967e-01
3.540708141628325922e+00,9.836614888713748783e+00,2.293168349873283329e+00,9.279075909194618443e-01,-5.380966105074400652e-01,-5.967545453297913305e-01
3.560712142428485993e+00,9.825804844772161317e+00,2.299873538417244401e+00,9.352320137764875696e-01,-5.426892546198505141e-01,-5.108016966377787460e-01
3.580716143228646065e+00,9.814903082478922514e+00,2.306544747014635632e+00,9.425685308069015056e-01,-5.472667077492464616e-01,-4.814004073799423855e-01
3.600720144028806136e+00,9.803909905197421892e+00,2.313182033023802653e+00,9.499169821198453212e-01,-5.518289883962128606e-01,-5.271775809212406738e-01
3.620724144828965763e+00,9.792825615737292821e+00,2.319785453306438150e+00,9.572772083828673395e-01,-5.563761137208338425e-01,-5.483181480285578280e-01
3.640728145629125834e+00,9.781650516354400082e+00,2.326355064227579650e+00,9.646490508219234261e-01,-5.609080995498367805e-01,-6.075191148184343470e-01
3.660732146429285905e+00,9.770384908750845199e+00,2.332890921655609962e+00,9.720323512213757677e-01,-5.654249603840726390e-01,-4.218465934933977035e-01
3.680736147229445976e+00,9.759029095896034178e+00,2.339393080765801436e+00,9.794269517419421645e-01,-5.699267093952316010e-01,-5.259137783621561368e-01
3.700740148029606047e+00,9.747583381122982615e+00,2.345861596086002088e+00,9.868326951563687333e-01,-5.744133585447381840e-01,-6.313780920618869974e-01
3.720744148829766118e+00,9.736048065978957666e+00,2.352296521756098269e+00,9.942494249890062585e-01,-5.788849185508340156e-01,-6.178668143628212039e-01
3.740748149629926189e+00,9.724423451982850963e+00,2.358697911367648725e+00,1.001676985258910468e+00,-5.833413988285653939e-01,-5.789924363999702228e-01
3.760752150430086260e+00,9.712709840626333246e+00,2.365065817963770023e+00,1.009115220479702923e+00,-5.877828074996507279e-01,-6.655193640994500059e-01
3.780756151230246331e+00,9.700907533373841929e+00,2.371400294039136103e+00,1.016563975659569685e+00,-5.922091514025642489e-01,-5.837776310520385037e-01
