K,r,r_noisy
4.044009779951099892e-01,2.743442853888149527e-02,1.632251863120424279e-02
4.061124694376527788e-01,2.755489716018700089e-02,2.213295117803697892e-02
4.078239608801955685e-01,2.767598405248687665e-02,1.671633644699520305e-02
4.095354523227383581e-01,2.779770223047614217e-02,2.181789425643240743e-02
4.112469437652811477e-01,2.792006474321242354e-02,2.815807219744553835e-02
4.129584352078239373e-01,2.804308467142363481e-02,1.518476866355786964e-02
4.146699266503667269e-01,2.816677512496687172e-02,4.333531999841731125e-02
4.163814180929095166e-01,2.829114924009614590e-02,1.553637821307053170e-02
4.180929095354523062e-01,2.841622017695326005e-02,2.343415925713592668e-02
4.198044009779950958e-01,2.854200111698456180e-02,2.828579307591867070e-02
4.215158924205378854e-01,2.866850526029211810e-02,3.488145903421353833e-02
4.232273838630806750e-01,2.879574582313686182e-02,3.090143457166664651e-02
4.249388753056234647e-01,2.892373603535659116e-02,2.923684612403611854e-02
4.266503667481662543e-01,2.905248913789321499e-02,3.390723439464311817e-02
4.283618581907090439e-01,2.918201838023212411e-02,3.279797881089840939e-02
4.300733496332518335e-01,2.931233701795554411e-02,1.950655077636088974e-02
4.317848410757946231e-01,2.944345831021015492e-02,3.511520171473972440e-02
4.334963325183374128e-01,2.957539551735329647e-02,2.291588426632735348e-02
4.352078239608802024e-01,2.970816189845194161e-02,1.802537142986324059e-02
4.369193154034229920e-01,2.984177070889805494e-02,2.867977073568615809e-02
4.386308068459657816e-01,2.997623519804363743e-02,2.469755811965268499e-02
4.403422982885085712e-01,3.011156860683144101e-02,3.226642389581431403e-02
4.420537897310513609e-01,3.024778416544092810e-02,3.288897917043553942e-02
4.437652811735941505e-01,3.038489509103745045e-02,2.403894956345843312e-02
4.454767726161369401e-01,3.052291458541360469e-02,3.335328876820840144e-02
4.471882640586797297e-01,3.066185583280059412e-02,2.971399478238622924e-02
4.488997555012225193e-01,3.080173199759421790e-02,1.417459830511689362e-02
4.506112469437652535e-01,3.094255622216999027e-02,4.603392698456212212e-02
4.523227383863080431e-01,3.108434162471692894e-02,3.065265113043040904e-02
4.540342298288508327e-01,3.122710129705535270e-02,2.930712580808560522e-02
4.557457212713936223e-01,3.137084830254924239e-02,3.949917643144856827e-02
4.574572127139364119e-01,3.151559567402902051e-02,1.707769578765709617e-02
4.591687041564792016e-01,3.166135641167602127e-02,2.435384847131235458e-02
4.608801955990219912e-01,3.180814348106734274e-02,4.070220544422788883e-02
4.625916870415647808e-01,3.195596981108803775e-02,1.235886614782726045e-02
4.643031784841075704e-01,3.210484829202808754e-02,2.307590155101969104e-02
4.660146699266503600e-01,3.225479177364055233e-02,4.832707933480996643e-02
4.677261613691931497e-01,3.240581306316100280e-02,3.790505695909372058e-02
4.694376528117358838e-01,3.255792492351979039e-02,2.225755701419603744e-02
4.711491442542786734e-01,3.271114007144487051e-02,3.276024050500668527e-02
4.728606356968214630e-01,3.286547117562695075e-02,3.982022694682442465e-02
4.745721271393642526e-01,3.302093085499053365e-02,2.464322189895246790e-02
4.762836185819070423e-01,3.317753167689746485e-02,3.291152929778992653e-02
4.779951100244498319e-01,3.333528615542971640e-02,3.638144601747610868e-02
4.797066014669926215e-01,3.349420674972040241e-02,3.348203909163524616e-02
4.814180929095354111e-01,3.365430586226778736e-02,4.852750080242697328e-02
4.831295843520782007e-01,3.381559583732850899e-02,3.455035465236988568e-02
4.848410757946209904e-01,3.397808895930378575e-02,3.204507982226419832e-02
4.865525672371637800e-01,3.414179745120275722e-02,3.601218842615503540e-02
4.882640586797065696e-01,3.430673347307646587e-02,3.013557199168392930e-02
4.899755501222493592e-01,3.447290912054176010e-02,2.602246119448420325e-02
4.916870415647921488e-01,3.464033642331998397e-02,3.193617531066888365e-02
4.933985330073349385e-01,3.480902734376819380e-02,2.802923346697644424e-02
4.951100244498777281e-01,3.497899377549409244e-02,5.312560823810874577e-02
4.968215158924205177e-01,3.515024754199572166e-02,5.631452078144527640e-02
4.985330073349633073e-01,3.532280039529302196e-02,3.128876425368908726e-02
5.002444987775060969e-01,3.549666401462092669e-02,7.322273958642509795e-03
5.019559902200488866e-01,3.567185000517165278e-02,3.180881243178377421e-02
5.036674816625916762e-01,3.584836989681240010e-02,4.232967965041935926e-02
5.053789731051344658e-01,3.602623514290297785e-02,2.956153704111257746e-02
5.070904645476772554e-01,3.620545711906991704e-02,4.287735949610855385e-02
5.088019559902200450e-01,3.638604712207679087e-02,4.257775222762884976e-02
5.105134474327628347e-01,3.656801636869380645e-02,3.021696756078475626e-02
5.122249388753056243e-01,3.675137599457643789e-02,3.418533517646331343e-02
5.139364303178484139e-01,3.693613705323422342e-02,2.698459757461417127e-02
5.156479217603912035e-01,3.712231051496905215e-02,3.276458924423398394e-02
5.173594132029339931e-01,3.730990726586208561e-02,2.613418006709452776e-02
5.190709046454767828e-01,3.749893810681879242e-02,3.208900000198767338e-02
5.207823960880195724e-01,3.768941375259825949e-02,5.236607737457742856e-02
5.224938875305623620e-01,3.788134483089077714e-02,3.467643722943034024e-02
5.242053789731051516e-01,3.807474188143357419e-02,4.894162798601172509e-02
5.259168704156479413e-01,3.826961535514494805e-02,4.146528239205365951e-02
5.276283618581907309e-01,3.846597561327814996e-02,2.344946336736773718e-02
5.293398533007334095e-01,3.866383292661326743e-02,3.766492139999491617e-02
5.310513447432763101e-01,3.886319747468203190e-02,3.423533257137137409e-02
5.327628361858189887e-01,3.906407934499698392e-02,2.673643323404417335e-02
5.344743276283618894e-01,3.926648853233397074e-02,3.453889877549813636e-02
5.361858190709045680e-01,3.947043493802761260e-02,5.162821934595396289e-02
5.378973105134474686e-01,3.967592836928408861e-02,5.178471157536342073e-02
5.396088019559901472e-01,3.988297853853606245e-02,3.568367460206614550e-02
5.413202933985330478e-01,4.009159506282125585e-02,3.288533478345938288e-02
5.430317848410757264e-01,4.030178746316862015e-02,3.982231653944984240e-02
5.447432762836186271e-01,4.051356516402532942e-02,4.386557487869199856e-02
5.464547677261613057e-01,4.072693749271523445e-02,5.378017884009417271e-02
5.481662591687042063e-01,4.094191367889525590e-02,3.507712236755321233e-02
5.498777506112468849e-01,4.115850285405836528e-02,3.169867389848696204e-02
5.515892420537897856e-01,4.137671405104884764e-02,4.077912548833746709e-02
5.533007334963324642e-01,4.159655620360758893e-02,2.169059607362866862e-02
5.550122249388753648e-01,4.181803814593193502e-02,4.041190313416469920e-02
5.567237163814180434e-01,4.204116861226679658e-02,4.618155507853971553e-02
5.584352078239609440e-01,4.226595623650617611e-02,2.318326389877247914e-02
5.601466992665036226e-01,4.249240955183400392e-02,5.127893371904426734e-02
5.618581907090464123e-01,4.272053699036117147e-02,3.637073872228187288e-02
5.635696821515892019e-01,4.295034688281398200e-02,4.080316928846842994e-02
5.652811735941319915e-01,4.318184745821437853e-02,4.027399149316967381e-02
5.669926650366747811e-01,4.341504684359637906e-02,4.178477000857962892e-02
5.687041564792175707e-01,4.364995306374768597e-02,4.319179664818207504e-02
5.704156479217603604e-01,4.388657404094863101e-02,3.774140719630871693e-02
5.721271393643031500e-01,4.412491759475441200e-02,2.411640071942039096e-02
5.738386308068459396e-01,4.436499144178267240e-02,5.289599058206116006e-02
5.755501222493887292e-01,4.460680319552455531e-02,4.321124478082453285e-02
5.772616136919315188e-01,4.485036036616911470e-02,4.998178620510922154e-02
5.789731051344743085e-01,4.509567036044744015e-02,4.736999400948325306e-02
5.806845965770170981e-01,4.534274048150702813e-02,5.731583246823033356e-02
5.823960880195598877e-01,4.559157792877670257e-02,4.520449737471033541e-02
5.841075794621026773e-01,4.584218979787425818e-02,4.042380996754178085e-02
5.858190709046454669e-01,4.609458308051870429e-02,7.299065756186580434e-02
5.875305623471882566e-01,4.634876466445640719e-02,6.129348920677682444e-02
5.892420537897310462e-01,4.660474133340579417e-02,5.517647782129019712e-02
5.909535452322738358e-01,4.686251976702797417e-02,5.869393149083211580e-02
5.926650366748166254e-01,4.712210654089223072e-02,6.098062325530038963e-02
5.943765281173594150e-01,4.738350812647243449e-02,2.613604694587503760e-02
5.960880195599022047e-01,4.764673089115698673e-02,4.212921221979035874e-02
5.977995110024449943e-01,4.791178109825772885e-02,4.934445394514139216e-02
5.995110024449876729e-01,4.817866490705592641e-02,5.427174065499353744e-02
6.012224938875305735e-01,4.844738837284207761e-02,4.185183356046274367e-02
6.029339853300732521e-01,4.871795744698048658e-02,5.012256106477245426e-02
6.046454767726161528e-01,4.899037797698321123e-02,3.845764788024676889e-02
6.063569682151588314e-01,4.926465570659636223e-02,4.630288411994620823e-02
6.080684596577017320e-01,4.954079627589758755e-02,2.972097873495731929e-02
6.097799511002444106e-01,4.981880522140699069e-02,4.518934086561215285e-02
6.114914425427873113e-01,5.009868797621599978e-02,6.588353978040813186e-02
6.132029339853299899e-01,5.038044987011226772e-02,3.762872245357870571e-02
6.149144254278728905e-01,5.066409612973531845e-02,5.672778877688786775e-02
6.166259168704155691e-01,5.094963187872447730e-02,3.774752345208600562e-02
6.183374083129584697e-01,5.123706213789047670e-02,4.041611947408432076e-02
6.200488997555011483e-01,5.152639182539300172e-02,7.461459817202786837e-02
6.217603911980440490e-01,5.181762575693014267e-02,4.284004748785029404e-02
6.234718826405867276e-01,5.211076864593028324e-02,5.074958660060541193e-02
6.251833740831296282e-01,5.240582510376155106e-02,4.788429651996611858e-02
6.268948655256723068e-01,5.270279963995172512e-02,2.501884801433916158e-02
6.286063569682152075e-01,5.300169666240911459e-02,5.079120975440583330e-02
6.303178484107578861e-01,5.330252047766050050e-02,5.973321646253517553e-02
6.320293398533007867e-01,5.360527529108756462e-02,4.008078593364068631e-02
6.337408312958434653e-01,5.390996520718364243e-02,4.054508273710968197e-02
6.354523227383863659e-01,5.421659422980969201e-02,4.517802033152108765e-02
6.371638141809290445e-01,5.452516626246493858e-02,5.884966245703482368e-02
6.388753056234718342e-01,5.483568510855181544e-02,4.529331581930780976e-02
6.405867970660146238e-01,5.514815447166681456e-02,6.301503581523115738e-02
6.422982885085574134e-01,5.546257795588499517e-02,6.195733902724510911e-02
6.440097799511002030e-01,5.577895906605533083e-02,3.715611624936218660e-02
6.457212713936429926e-01,5.609730120810096227e-02,4.199084225505971685e-02
6.474327628361857823e-01,5.641760768933055947e-02,5.524550776945176545e-02
6.491442542787285719e-01,5.673988171875031516e-02,4.719577121354762150e-02
6.508557457212713615e-01,5.706412640738681846e-02,6.479543028874262811e-02
6.525672371638141511e-01,5.739034476860825629e-02,6.908169141935607827e-02
6.542787286063569407e-01,5.771853971846060971e-02,5.124089176208204005e-02
6.559902200488997304e-01,5.804871407600307315e-02,6.837434151871152332e-02
6.577017114914425200e-01,5.838087056364828220e-02,6.538950951250190047e-02
6.594132029339853096e-01,5.871501180751309557e-02,5.933480559253335312e-02
6.611246943765280992e-01,5.905114033776389521e-02,6.988420839104328430e-02
6.628361858190708888e-01,5.938925858898051746e-02,5.591588970841904205e-02
6.645476772616136785e-01,5.972936890050960929e-02,6.384334666361007882e-02
6.662591687041564681e-01,6.007147351683522069e-02,5.406464700884248964e-02
6.679706601466992577e-01,6.041557458794095947e-02,5.173268781156187268e-02
6.696821515892420473e-01,6.076167416969008306e-02,7.703918912473423086e-02
6.713936430317848369e-01,6.110977422419482108e-02,7.843033447729226559e-02
6.731051344743276266e-01,6.145987662019967990e-02,6.396612123021887253e-02
6.748166259168704162e-01,6.181198313346521200e-02,7.355635358823035819e-02
6.765281173594132058e-01,6.216609544714921110e-02,5.950040056906072405e-02
6.782396088019559954e-01,6.252221515220232617e-02,5.670986583031196321e-02
6.799511002444986740e-01,6.288034374775412771e-02,6.936738061822689261e-02
6.816625916870415747e-01,6.324048264151163612e-02,7.914076936606848078e-02
6.833740831295842533e-01,6.360263315015657337e-02,6.455953074805112490e-02
6.850855745721271539e-01,6.396679649974000570e-02,6.632633542451722708e-02
6.867970660146698325e-01,6.433297382609179382e-02,6.504649921261729251e-02
6.885085574572127332e-01,6.470116617521923241e-02,5.658603407265248852e-02
6.902200488997554118e-01,6.507137450371265619e-02,4.695590394695703385e-02
6.919315403422983124e-01,6.544359967915944210e-02,6.717707889829208079e-02
6.936430317848409910e-01,6.581784248054631248e-02,5.279334372310257040e-02
6.953545232273838916e-01,6.619410359867543281e-02,8.295473416809380496e-02
6.970660146699265702e-01,6.657238363657590197e-02,6.882473344200036591e-02
6.987775061124694709e-01,6.695268310991625560e-02,7.358715247514706348e-02
7.004889975550121495e-01,6.733500244742443575e-02,7.605783084014954010e-02
7.022004889975550501e-01,6.771934199129839294e-02,5.753085899349144605e-02
7.039119804400977287e-01,6.810570199762937260e-02,5.729225737280006087e-02
7.056234718826406294e-01,6.849408263681741604e-02,8.292544314060217026e-02
7.073349633251833080e-01,6.888448399399227373e-02,7.414620375928995810e-02
7.090464547677262086e-01,6.927690606943320839e-02,7.075400391604409756e-02
7.107579462102688872e-01,6.967134877898921441e-02,7.799694046928082325e-02
7.124694376528117878e-01,7.006781195450427491e-02,4.969139781894897634e-02
7.141809290953544664e-01,7.046629534423301533e-02,8.135555747043760055e-02
7.158924205378973671e-01,7.086679861326963814e-02,7.319160948530149813e-02
7.176039119804400457e-01,7.126932134396699037e-02,7.606661838218856109e-02
7.193154034229828353e-01,7.167386303636053002e-02,7.927554580181858657e-02
7.210268948655256249e-01,7.208042310859244517e-02,9.316894467730968410e-02
7.227383863080684145e-01,7.248900089733374685e-02,8.012430901445012632e-02
7.244498777506112042e-01,7.289959565820719467e-02,7.281442044730350449e-02
7.261613691931539938e-01,7.331220656621242893e-02,6.546963588289983482e-02
7.278728606356967834e-01,7.372683271614788314e-02,1.005878415189505048e-01
7.295843520782395730e-01,7.414347312303354309e-02,5.494081403038625355e-02
7.312958435207823626e-01,7.456212672253496876e-02,7.231136205596208621e-02
7.330073349633251523e-01,7.498279237138381903e-02,7.262653385456717403e-02
7.347188264058679419e-01,7.540546884780106873e-02,6.589732033304676606e-02
7.364303178484107315e-01,7.583015485191914318e-02,6.877958978179454785e-02
7.381418092909535211e-01,7.625684900620093021e-02,7.379844858108576544e-02
7.398533007334963107e-01,7.668554985586412132e-02,6.254350551371883060e-02
7.415647921760391004e-01,7.711625586929732323e-02,7.127092769237401704e-02
7.432762836185818900e-01,7.754896543848135981e-02,7.791248540952468160e-02
7.449877750611246796e-01,7.798367687940813142e-02,5.930335145167414668e-02
7.466992665036674692e-01,7.842038843249958535e-02,7.467880182458312699e-02
7.484107579462102589e-01,7.885909826302311965e-02,7.716755511057211969e-02
7.501222493887530485e-01,7.929980446150819429e-02,7.459439793709581046e-02
7.518337408312958381e-01,7.974250504416471874e-02,7.513388734887349596e-02
7.535452322738386277e-01,8.018719795329595779e-02,7.592239834975010593e-02
7.552567237163814173e-01,8.063388105771193692e-02,7.288059454712191021e-02
7.569682151589242070e-01,8.108255215314476294e-02,7.073687041620251026e-02
7.586797066014669966e-01,8.153320896265878193e-02,8.563274567686880723e-02
7.603911980440096752e-01,8.198584913706438715e-02,8.053453773248189784e-02
7.621026894865525758e-01,8.244047025532529049e-02,8.191736953798883780e-02
7.638141809290952544e-01,8.289706982497047072e-02,9.745750606765035684e-02
7.655256723716381551e-01,8.335564528250075100e-02,9.457139069292853917e-02
7.672371638141808337e-01,8.381619399379680591e-02,7.953137550487016094e-02
7.689486552567237343e-01,8.427871325452604423e-02,1.018771746660497302e-01
7.706601466992664129e-01,8.474320029054642489e-02,8.505433475661983156e-02
7.723716381418093135e-01,8.520965225831148016e-02,9.722611005768332093e-02
7.740831295843519921e-01,8.567806624527335435e-02,6.841996623622273455e-02
7.757946210268948928e-01,8.614843927028409398e-02,1.039578758048620155e-01
7.775061124694375714e-01,8.662076828399732642e-02,8.589643382524343729e-02
7.792176039119804720e-01,8.709505016926727405e-02,8.019872836459213117e-02
7.809290953545231506e-01,8.757128174154715783e-02,7.964565144719285006e-02
7.826405867970660513e-01,8.804945974928814201e-02,6.366687398402701148e-02
7.843520782396087299e-01,8.852958087433383805e-02,7.589778321504665748e-02
7.860635696821516305e-01,8.901164173231687626e-02,8.172526934190740833e-02
7.877750611246943091e-01,8.949563887305182763e-02,1.047277554359726803e-01
7.894865525672372097e-01,8.998156878093013789e-02,9.065673186595048227e-02
7.911980440097798883e-01,9.046942787531023211e-02,8.639771907108104165e-02
7.929095354523227890e-01,9.095921251090824389e-02,1.025830155384805514e-01
7.946210268948654676e-01,9.145091897818878601e-02,9.528204495839667776e-02
7.963325183374083682e-01,9.194454350375419471e-02,8.559451583765832761e-02
7.980440097799510468e-01,9.244008225072904150e-02,8.384030672462391975e-02
7.997555012224938364e-01,9.293753131914925247e-02,7.547079541747322984e-02
8.014669926650366261e-01,9.343688674634678670e-02,9.186372966800201989e-02
8.031784841075795267e-01,9.393814450733339871e-02,7.207121710976283069e-02
8.048899755501222053e-01,9.444130051518470625e-02,1.025419199702338191e-01
8.066014669926651059e-01,9.494635062142045556e-02,7.852768712734585488e-02
8.083129584352077845e-01,9.545329061638826995e-02,9.563305896184971788e-02
8.100244498777506852e-01,9.596211622964229138e-02,1.062905424440546975e-01
8.117359413202933638e-01,9.647282313032282119e-02,8.823317853575700365e-02
8.134474327628362644e-01,9.698540692753396253e-02,9.600807900163225994e-02
8.151589242053789430e-01,9.749986317072134590e-02,1.168622202600134441e-01
8.168704156479218437e-01,9.801618735004824501e-02,9.356942450756189356e-02
8.185819070904645223e-01,9.853437489677094319e-02,1.085198285055074124e-01
8.202933985330072009e-01,9.905442118361315607e-02,1.081075448928088961e-01
8.220048899755501015e-01,9.957632152514021839e-02,8.139496950989301427e-02
8.237163814180927801e-01,1.001000711781304953e-01,1.033374819952118662e-01
8.254278728606356808e-01,1.006256653419487085e-01,8.823562364004526593e-02
8.271393643031783593e-01,1.011530991589153633e-01,1.034538698576868282e-01
8.288508557457212600e-01,1.016823677146791727e-01,1.047933066836285732e-01
8.305623471882639386e-01,1.022134660385844718e-01,1.140669011287151063e-01
8.322738386308068392e-01,1.027463891040409083e-01,1.026252896724395014e-01
8.339853300733495178e-01,1.032811318288911206e-01,1.050697567898468132e-01
8.356968215158924185e-01,1.038176890757791376e-01,1.077028520188399036e-01
8.374083129584350971e-01,1.043560556525155864e-01,1.279815192343694008e-01
8.391198044009779977e-01,1.048962263124443156e-01,1.090361201049996898e-01
8.408312958435206763e-01,1.054381957548073956e-01,1.256426145286136387e-01
8.425427872860635770e-01,1.059819586251104229e-01,1.003570031473857566e-01
8.442542787286062556e-01,1.065275095154864238e-01,9.791826011953760900e-02
8.459657701711491562e-01,1.070748429650600353e-01,1.146185042967135248e-01
8.476772616136918348e-01,1.076239534603090076e-01,1.004201560588788844e-01
8.493887530562347354e-01,1.081748354354287317e-01,1.113329598186546532e-01
8.511002444987774140e-01,1.087274832726937146e-01,1.089273014451373617e-01
8.528117359413203147e-01,1.092818913028189148e-01,1.317192708020764047e-01
8.545232273838629933e-01,1.098380538053212035e-01,1.275923954573292274e-01
8.562347188264058939e-01,1.103959650088812694e-01,1.337607085737453905e-01
8.579462102689485725e-01,1.109556190917022622e-01,1.197026654261707790e-01
8.596577017114914732e-01,1.115170101818720727e-01,1.111165866750925685e-01
8.613691931540341518e-01,1.120801323577222119e-01,1.116356121682682556e-01
8.630806845965770524e-01,1.126449796481881760e-01,1.334195431632754503e-01
8.647921760391197310e-01,1.132115460331673956e-01,1.029153623531111061e-01
8.665036674816626316e-01,1.137798254438807111e-01,1.096550311826033491e-01
8.682151589242053102e-01,1.143498117632296973e-01,1.057857728632932842e-01
8.699266503667482109e-01,1.149214988261565984e-01,1.270963814927226765e-01
8.716381418092908895e-01,1.154948804200024437e-01,1.159004766991640206e-01
8.733496332518337901e-01,1.160699502848659970e-01,1.261454534334520150e-01
8.750611246943764687e-01,1.166467021139624555e-01,1.308126977683599645e-01
8.767726161369193694e-01,1.172251295539825933e-01,1.468159744013750045e-01
8.784841075794620480e-01,1.178052262054499338e-01,1.279522327103390367e-01
8.801955990220049486e-01,1.183869856230804624e-01,9.558404285329218097e-02
8.819070904645476272e-01,1.189704013161406171e-01,9.878430601222873420e-02
8.836185819070905278e-01,1.195554667488072931e-01,1.183604796767136202e-01
8.853300733496332064e-01,1.201421753405243209e-01,1.362454886278090527e-01
8.870415647921761071e-01,1.207305204663640663e-01,1.125241761799715551e-01
8.887530562347187857e-01,1.213204954573838534e-01,1.186772842284067736e-01
8.904645476772616863e-01,1.219120936009873701e-01,1.085485829351823389e-01
8.921760391198043649e-01,1.225053081412830480e-01,1.170765665127848076e-01
8.938875305623472656e-01,1.231001322794440661e-01,1.268724970945523667e-01
8.955990220048899442e-01,1.236965591740677717e-01,1.236549600464305620e-01
8.973105134474328448e-01,1.242945819415366832e-01,1.265722145514741603e-01
8.990220048899755234e-01,1.248941936563786881e-01,1.345400337794799561e-01
9.007334963325182020e-01,1.254953873516272689e-01,1.238210838449444740e-01
9.024449877750611027e-01,1.260981560191842266e-01,1.189951347670100551e-01
9.041564792176037813e-01,1.267024926101791849e-01,9.962271370485221988e-02
9.058679706601466819e-01,1.273083900353336462e-01,1.163482231900127700e-01
9.075794621026893605e-01,1.279158411653219252e-01,1.404200892758463437e-01
9.092909535452322611e-01,1.285248388311344692e-01,1.158787910586528969e-01
9.110024449877749397e-01,1.291353758244410399e-01,1.229041157939370632e-01
9.127139364303178404e-01,1.297474448979553108e-01,1.204322893459996296e-01
9.144254278728605190e-01,1.303610387657982150e-01,1.296560274035500615e-01
9.161369193154034196e-01,1.309761501038630704e-01,1.365227311894376960e-01
9.178484107579460982e-01,1.315927715501808981e-01,1.236833616748958392e-01
9.195599022004889989e-01,1.322108957052867961e-01,1.229191754853620200e-01
9.212713936430316775e-01,1.328305151325861466e-01,1.383449320498763568e-01
9.229828850855745781e-01,1.334516223587219053e-01,1.174618674197755452e-01
9.246943765281172567e-01,1.340742098739420296e-01,1.368360611668581195e-01
9.264058679706601573e-01,1.346982701324690446e-01,1.265106310269321910e-01
9.281173594132028359e-01,1.353237955528668324e-01,1.329403783593946509e-01
9.298288508557457366e-01,1.359507785184137230e-01,1.437189077954157956e-01
9.315403422982884152e-01,1.365792113774695338e-01,1.432080786733171407e-01
9.332518337408313158e-01,1.372090864438493263e-01,1.467564840404528836e-01
9.349633251833739944e-01,1.378403959971941928e-01,1.308537984020871348e-01
9.366748166259168951e-01,1.384731322833433753e-01,1.383772696709256178e-01
9.383863080684595737e-01,1.391072875147088828e-01,1.314022688081137591e-01
9.400977995110024743e-01,1.397428538706487200e-01,1.289396007528530175e-01
9.418092909535451529e-01,1.403798234978420045e-01,1.363428655364858078e-01
9.435207823960880535e-01,1.410181885106651656e-01,1.439055155331615821e-01
9.452322738386307321e-01,1.416579409915673660e-01,1.422244010237699030e-01
9.469437652811736328e-01,1.422990729914486163e-01,1.415327630283197413e-01
9.486552567237163114e-01,1.429415765300381391e-01,1.323116592557375126e-01
9.503667481662592120e-01,1.435854435962723996e-01,1.434186563239031320e-01
9.520782396088018906e-01,1.442306661486750241e-01,1.478853711820743155e-01
9.537897310513447913e-01,1.448772361157382726e-01,1.632255646005242866e-01
9.555012224938874699e-01,1.455251453963035679e-01,1.413741580667372544e-01
9.572127139364303705e-01,1.461743858599441059e-01,1.561337350714413763e-01
9.589242053789730491e-01,1.468249493473476885e-01,1.476133792707126080e-01
9.606356968215159498e-01,1.474768276707016379e-01,1.777310841773191152e-01
9.623471882640586283e-01,1.481300126140761009e-01,1.562915161440550649e-01
