L,E,dm2,theta,P,P_noisy
7.494722266569210660e+02,7.705911317239406699e-01,3.160198742791596373e-03,3.866482455430383380e-01,6.607244028093820498e-01,6.598505423491062283e-01
4.322694448544449983e+02,3.087231077590820938e+00,1.381329846579343670e-03,3.742614867302589410e-01,9.251149717716858900e-01,9.230040197138040803e-01
2.927824105301522195e+02,1.019714310643300204e+00,4.546062640957681047e-03,7.549569062628971317e-01,-7.729750255339917775e-02,-7.622928756590612032e-02
1.263910495859359116e+03,1.326044550888044293e+00,4.813330093922082997e-03,2.468049292107491466e-01,9.159863526183776861e-01,9.170729622734905551e-01
7.192823026574544656e+02,2.116383127620933280e+00,1.223561773829190576e-03,2.328297826104299972e-01,8.833690061749471800e-01,8.939581999502024257e-01
2.390387349649243731e+02,3.005011485463654708e+00,1.396895125084879948e-03,2.174586339314200090e-01,9.923758949910843619e-01,9.868157911776229696e-01
8.481877066450005032e+02,2.936577331236176924e+00,2.830636417569159895e-03,7.588046293489069116e-01,-1.324332324813877193e-01,-1.343212575170227019e-01
1.032019737210757739e+03,2.767935131458003184e+00,4.099727515942277675e-03,6.795208077094514465e-01,-2.127909004937405812e-01,-2.025770424562789440e-01
8.356039612636485572e+02,4.807671408584249129e+00,3.464113266088330624e-03,1.811361720380618712e-01,8.927980410059426220e-01,8.960315559869518331e-01
1.200757245749083268e+03,2.792034918247194408e+00,2.326881201974699380e-03,7.691359734852305508e-01,-4.081288087232124440e-01,-4.048134918613311428e-01
1.475114519970434230e+02,3.798932618811641682e+00,3.387364629143433011e-03,5.645172167926516549e-01,9.736998184891207941e-01,9.711297866306835003e-01
7.343071159120260063e+02,2.004348967650716684e+00,4.191849638941614990e-03,6.363407228576294372e-01,-2.447588414077049232e-02,-3.271625999504875620e-02
6.512030594624844753e+02,3.849501523436157147e+00,4.685994911755270859e-03,6.009279767571236164e-01,2.049195435734396942e-01,2.057568672945533916e-01
1.748194949798507309e+02,3.865507805273005193e+00,1.553297056462620094e-03,6.671569488567636874e-01,9.816048264863453943e-01,9.821498969254531808e-01
8.695938029672499852e+02,3.513044182331376941e+00,4.372081665750645468e-03,5.689262480244139386e-01,-9.754565514012543403e-02,-1.036824154113483026e-01
1.123159406176788252e+03,3.894330870494463248e+00,3.591641346007406338e-03,3.984618632416437878e-01,2.797431433819128621e-01,2.763270100730100265e-01
8.115292217251408147e+02,3.075605131477183285e+00,3.145215426358197262e-03,3.666809777720138053e-01,5.023359193314284044e-01,5.019757009327923125e-01
4.121169372846678698e+02,4.350378088652226971e+00,2.763107861366112441e-03,4.307520276858776143e-01,8.938685105577699463e-01,8.891447524424660465e-01
1.107857825237690577e+03,4.246402706359578616e+00,3.043218041390472958e-03,4.960160766270622634e-01,1.682956200831356441e-01,1.678042702438745648e-01
7.113950578258112500e+02,9.337539825460517973e-01,2.834900084924010105e-03,3.807946669938501172e-01,8.655716509988520269e-01,8.660490661361992526e-01
7.130666613598395998e+02,2.517601043102641878e+00,3.682762789896206184e-03,1.205211105193406407e-01,9.305651299023226519e-01,9.307430610876000765e-01
1.003636249242613417e+03,1.043024289794824089e+00,4.648125627454655420e-03,2.051556875566884486e-01,9.123768621389303224e-01,9.098454038473587913e-01
2.775064429419478529e+02,4.777425676812681488e+00,1.947529070922891835e-03,4.080005400634302282e-01,9.705136561387647243e-01,9.734823964976938582e-01
1.083552062943132341e+03,2.457010383255674224e+00,1.008257530256406742e-03,6.418607007208079196e-01,2.681477626339550668e-01,2.726035974053667155e-01
9.199442872039085159e+02,1.490352431453525250e+00,1.103032188519813793e-03,3.627405809419756988e-01,5.082291265599132579e-01,5.098333680827460412e-01
1.044516329865761236e+03,4.269328437751555683e+00,4.646786505306937758e-03,6.874035353647823809e-01,-3.731768246875128425e-01,-3.772679758244643633e-01
3.299395108241623120e+02,8.924727181830303113e-01,4.715330797924646711e-03,7.237409029262757976e-01,2.820394803729224797e-01,2.856977417918497020e-01
1.062836993361436043e+03,1.193391268906498492e+00,4.500596003516431874e-03,1.550720991758549605e-01,8.886997163897278895e-01,8.861925162973925962e-01
3.295887112686403384e+02,3.554734715372915854e+00,3.329892489643970863e-03,5.916973361154946875e-01,8.449349688616830667e-01,8.493307719531230093e-01
1.978631408362152513e+02,2.783404952999709359e+00,3.340847580958065596e-03,7.481690218103708157e-01,9.046859274263949757e-01,8.993269903420078037e-01
1.126272369144484173e+03,1.702825998222114112e+00,2.615641103189237249e-03,3.027563756488890756e-01,6.587374218967159134e-01,6.633097579123597987e-01
1.133540195413202127e+03,3.093258961679804742e+00,2.351278763684050074e-03,4.030114628208275596e-01,3.270734882994827397e-01,3.269731710264053293e-01
1.151844515699896647e+03,1.433226532151892441e+00,4.732891446492158705e-03,4.135278053450494040e-01,2.504374451705054239e-01,2.441937007188333397e-01
6.662916632305482381e+02,1.891560249038064301e+00,3.121354903594736590e-03,4.054293434347314706e-01,3.447595489702125482e-01,3.431900516103782994e-01
4.288580663364619454e+02,3.249772763634026340e+00,2.100837424404651543e-03,6.630157409188525142e-01,8.066664935041193418e-01,8.069370048979770393e-01
1.085101943237995101e+02,4.473194696555802707e+00,3.628905532608724463e-03,7.260933248220687863e-01,9.853679940946636906e-01,9.867319507904859233e-01
8.748650746899373871e+02,3.664302227482597818e+00,1.366639610357089528e-03,6.695232419413122971e-01,4.104566453905862944e-01,4.055457047658814207e-01
9.638912602104317102e+02,3.394525028640034581e+00,3.734754179866461854e-03,1.875727153004165815e-01,8.126752942909605260e-01,8.071384290551345542e-01
1.102683059800328920e+03,3.859912116822586725e+00,2.089646740103087447e-03,7.071124187397509475e-01,7.211587993267686014e-02,7.311380259691226124e-02
4.382533928374505763e+02,2.202691012843477569e+00,3.776457442489685075e-03,5.670291119500965316e-01,3.817734875483224100e-01,3.794397394639233978e-01
3.582618005955683316e+02,4.914401270917429621e+00,2.927711038500250239e-03,7.366562123792004257e-01,8.733955547685374743e-01,8.745730828271885970e-01
8.671976560799054141e+02,3.250670810035702463e+00,4.444734225532532418e-03,3.671459947990072248e-01,3.897384687224914601e-01,3.935360663348833610e-01
1.066065799774011793e+03,1.659025739802226118e+00,4.026485529797096605e-03,3.078639509547737019e-01,9.571899462681178195e-01,9.489460094363630915e-01
1.256405047413965121e+03,6.618436153243449915e-01,4.933041959167080819e-03,3.309964282861929119e-01,7.724348100340854284e-01,7.737067506166734887e-01
2.806297965054129691e+02,1.002900133831514662e+00,3.322688345114586939e-03,3.596728612448732987e-01,5.927142538539201810e-01,5.988374886915988071e-01
6.786548658392038078e+02,1.393291182266557904e+00,4.304858472028584571e-03,7.008102082882196049e-01,6.937221577144030427e-01,6.922345234925506574e-01
1.173659034635408261e+03,3.804676875545784487e+00,3.634855170198484416e-03,4.295528834797958107e-01,1.778119374524461671e-01,1.737578645362583274e-01
6.072602883345247164e+02,4.165345240126764992e+00,3.946944747762332062e-03,2.958987528888259444e-01,8.066284482342214179e-01,8.103896673701194153e-01
8.074024745008576929e+02,4.664537802719489257e+00,4.581759971013777549e-03,6.241816697471028741e-01,6.375672820535704943e-02,6.502396078639775812e-02
1.293888129920358381e+02,3.393096058299061468e+00,2.251706963979952306e-03,1.332302246985223593e-01,9.988812163981014569e-01,1.003360631751989196e+00
9.081518645835267307e+02,1.837746454889797931e+00,4.184697055202538964e-03,3.362786853606162252e-01,8.414426367172314070e-01,8.397165581669749912e-01
1.202906343560586947e+03,4.274910902045698791e+00,4.707351548623794207e-03,6.380995329694107987e-01,-2.679728216821658515e-01,-2.753819130507769164e-01
1.092190395468065162e+03,4.790615764477104577e+00,4.956057780656713575e-03,5.137394502977011834e-01,-4.179552600531023093e-02,-4.234557982886648364e-02
1.162624320051936138e+03,3.636067280169124505e+00,1.583272195219398958e-03,3.466240429668703826e-01,6.739560419807383296e-01,6.717269012156821262e-01
8.924264566246280310e+02,8.256111798686306402e-01,2.124912727276004679e-03,2.872729447874048381e-01,9.373180787048515095e-01,9.411946978150893539e-01
3.946627206918130923e+02,2.349418895518862183e+00,2.698715493261951651e-03,1.623730267004194483e-01,9.639607037425391711e-01,9.649288679844248984e-01
1.022220398675505180e+03,1.620246334137341426e+00,2.523396682414441594e-03,1.165970205844650692e-01,9.323066993374754530e-01,9.241524531752999261e-01
3.540096911290125945e+02,4.726672303486870064e+00,4.749876544505680226e-03,2.365135335796412497e-01,9.521833904003909055e-01,9.462075749998749563e-01
1.097529801597353526e+03,4.150055260067320617e+00,1.100514736230334863e-03,4.323705004428493037e-01,6.460840602468742588e-01,6.505030054298105435e-01
1.752615070849219023e+02,8.146720045859573434e-01,4.585951932584274998e-03,4.109081528636314706e-01,4.948293706407000392e-01,4.982281957277892581e-01
1.090585376072267081e+03,3.242443686448375217e+00,1.339452143728088115e-03,4.599078206788933532e-01,5.038627536811478569e-01,5.006615368516054154e-01
2.974087197689215714e+02,4.933164124027300090e+00,4.750180124732818372e-03,1.169558678574910970e-01,9.918374614838229020e-01,9.918322175009864905e-01
5.501763957959701656e+02,2.857127571589101134e+00,4.685183966527619107e-03,3.981388912152471482e-01,5.036864240879789234e-01,5.059142918568598768e-01
4.800857998683571282e+02,4.502486049200068230e+00,2.929111276961329606e-03,6.011729319357300705e-01,7.715329089223874615e-01,7.738749306016238227e-01
9.296044423332895121e+02,4.155488047456785239e+00,1.696803651927985320e-03,6.099101812675782330e-01,3.871344155896667694e-01,3.915156265702385285e-01
3.142862538092463183e+02,2.621918294896999235e+00,1.765914860688104493e-03,4.794005157376443060e-01,9.270604881185514623e-01,9.283429162546592561e-01
5.755073946603837385e+02,2.489037783764966427e+00,2.037649213400499412e-03,5.791758074942525703e-01,5.880299301364815268e-01,5.875557884416390264e-01
1.069895141295771310e+02,1.227430344883447155e+00,4.395669365066757692e-03,1.064406669328520905e-01,9.900773737537911234e-01,9.887831334298519126e-01
4.149936553001218158e+02,2.095113065510046724e+00,3.162996762229885496e-03,3.287459455195073099e-01,7.823105611037607376e-01,7.875892751064269559e-01
6.054265770747463193e+02,1.361150040460923138e+00,4.499298437356336576e-03,4.483332463770901555e-01,7.403542761669553718e-01,7.291000047915626725e-01
2.271054840487893216e+02,4.305684127332998656e+00,4.018607933029233296e-03,7.261958278470559414e-01,9.176183128396662170e-01,9.169250362142095101e-01
8.597919352438693750e+02,3.215314720369495838e+00,4.870815523322764157e-03,2.750399752951441235e-01,6.360212889181068308e-01,6.361862894380271305e-01
5.565091238638387949e+02,4.713090221068107155e+00,3.645507744509911708e-03,2.988951721054446953e-01,8.664556285446040063e-01,8.593288837402530689e-01
9.703527256914866257e+02,2.346593978863061647e+00,1.680177502705397421e-03,3.995500201713459987e-01,4.297781963886206369e-01,4.314422644543108865e-01
8.846392132820732286e+02,3.657691943953398361e+00,3.187755965512215333e-03,5.656546305131944230e-01,1.020570685882905282e-01,9.880066352607355662e-02
6.174720985328874576e+02,4.249175837131797806e+00,3.957135393168358627e-03,4.934185230865997251e-01,5.622088204201686201e-01,5.665210444017473312e-01
1.140784606770639130e+03,5.579477616021139008e-01,2.431617724326853337e-03,6.106111366329081136e-01,7.336409650645370206e-01,7.330130046443653624e-01
8.585621410002004268e+02,1.952842745930414514e+00,4.999109873787183946e-03,2.879094709746041758e-01,9.333735101919141686e-01,9.367192763958613888e-01
1.072329222527558841e+03,2.463034062889802644e+00,1.869051054770568335e-03,6.455271858045118494e-01,-1.830649147147404288e-01,-1.769706966888843214e-01
5.101536687281355853e+02,4.678715498110617155e+00,4.706521608248919950e-03,7.189490878227027260e-01,5.323734798362191878e-01,5.342881277497865122e-01
7.524031476021467597e+02,4.417199855570633105e+00,2.959735165976960704e-03,4.670095172311434784e-01,5.637126365103631853e-01,5.593340307932489486e-01
3.355562621377040955e+02,8.802870923695194083e-01,4.379099251732005912e-03,2.833862104746152077e-01,7.612737915170014746e-01,7.537021983584782925e-01
1.295369428142353399e+03,4.799566026572077426e+00,3.131408143091437158e-03,6.747850615671476815e-01,-1.990064238359860044e-02,-1.113372179601673610e-02
3.918585571675925507e+02,3.321067140131717110e+00,3.202451923094885942e-03,5.248574662608638253e-01,7.978889673766217383e-01,7.973325064106840943e-01
4.082409606725232720e+02,8.237010833393785258e-01,3.828694006655993572e-03,6.869291781561197574e-01,4.618620444062258579e-01,4.584192196680542675e-01
1.878280868691591650e+02,3.605550119724396652e+00,3.096286905872129656e-03,3.868994962769233270e-01,9.756246633860800044e-01,9.763459488263841468e-01
4.093637427960838977e+02,4.349131835145604086e+00,2.793880890813996674e-03,5.497264357609633612e-01,8.543290894840919192e-01,8.533720328316787285e-01
1.015754239052863909e+03,1.664848774428733691e+00,1.475003897477118135e-03,1.221466120419211765e-01,9.164655579845203404e-01,9.207262693055837666e-01
9.374722848196976202e+02,1.951977007561195521e+00,3.690902877480290497e-03,2.730832696977241181e-01,7.556458561741600244e-01,7.558154970863455446e-01
2.544078547806033157e+02,1.749617104862315475e+00,4.840173656997305215e-03,3.082276566623899372e-01,7.874680906713060757e-01,7.875368385893981582e-01
5.514862017137130579e+02,3.661283288990492046e+00,4.770503504558142385e-03,7.273410769387839148e-01,2.540862057956971842e-01,2.505133071905323860e-01
6.051056735409554221e+02,3.732256269392085102e+00,1.187895973272383703e-03,5.669983551296735591e-01,7.509608955647982809e-01,7.533087360585357661e-01
8.979810956343528687e+02,3.984571537886596460e+00,2.746848639128857128e-03,1.313566564352350585e-01,9.373533765222162861e-01,9.321840429104413239e-01
6.471147556524986157e+02,4.644685091348790706e+00,3.382893947107989789e-03,4.795271616770621081e-01,6.376443349742766387e-01,6.409737821730965290e-01
8.038219921906377294e+02,1.318227118650332264e+00,1.394988876450320089e-03,3.957221988937005275e-01,3.688864338913711571e-01,3.765061214563218406e-01
1.107621524330730836e+03,3.687115692899564756e+00,3.842531784663806311e-03,6.181530907717360801e-01,-3.009361694024337286e-01,-3.085595995929295010e-01
9.717683323748445900e+02,3.405663451909823891e+00,2.733452013282312680e-03,2.452170453550178986e-01,7.404088557505875690e-01,7.280777095938310017e-01
5.380087162102706770e+02,1.681794870426643884e+00,1.519313051973278979e-03,3.269714778754908013e-01,8.172729104353575469e-01,8.203573042111291791e-01
6.380755712133810675e+02,4.888888166866683704e+00,1.850591223056087010e-03,2.158551032519331891e-01,9.377446957693252871e-01,9.504841848467409093e-01
5.412394836280079744e+02,2.646321013258691845e+00,1.073371989214050564e-03,6.229500521945117164e-01,7.680626128348553294e-01,7.630579885904958948e-01
2.316815968080360904e+02,4.769723640614981441e+00,1.920428836367846356e-03,4.033557273510115504e-01,9.809123527630081441e-01,9.746588739689981962e-01
3.438898529048759087e+02,4.872982068966480007e+00,3.802104584646942998e-03,2.474941214953018109e-01,9.650764761351116050e-01,9.680213208040139294e-01
4.405677867329573019e+02,4.550216431273837792e+00,2.973542972580167469e-03,3.944692512452102617e-01,8.898798158862541996e-01,8.856762079359626894e-01
4.769606747227626329e+02,2.567684119910419227e+00,1.935137191840339155e-03,4.284541833787035570e-01,8.268547045273659801e-01,8.243245771076822548e-01
4.756574305839252474e+02,1.758995555663849020e+00,2.011011118886885194e-03,7.044431640095060176e-01,4.962049318654435659e-01,4.944643445320247022e-01
7.920396595035424525e+02,3.135928727099119406e+00,2.893288815696300805e-03,2.656702323274933164e-01,7.477567069125620192e-01,7.504167173440210448e-01
1.266027970743705509e+03,2.522911248286874297e+00,3.933184240359948250e-03,1.462862330517559484e-01,9.556397192241149474e-01,9.536132074171493889e-01
1.029596961908478534e+03,2.606907118300574311e+00,4.913495972160103649e-03,2.686865084081955235e-01,8.375572297233261354e-01,8.389466439237269757e-01
1.049360737807366149e+03,1.598366046658680650e+00,2.994937080919306445e-03,1.382077294046007709e-01,9.536874587178237883e-01,9.528047924233559174e-01
1.011122200647495902e+03,4.290138839310275287e+00,2.773093686209838864e-03,1.287050193106205331e-01,9.338720145003517326e-01,9.296486589820937008e-01
8.163852766285076541e+02,3.788258419567765767e+00,2.516604120040598531e-03,3.333228077206638051e-01,7.020874405948482888e-01,7.004883093061321508e-01
1.201230708605095288e+03,4.393893190459429832e+00,4.286162358437916979e-03,6.005440479089135808e-01,-2.261519903653176899e-01,-2.309039886911572748e-01
9.275561865364971936e+02,2.891924716633374803e+00,3.304595354692825039e-03,6.207230951645872352e-01,-2.474148298918996680e-01,-2.473822549625509237e-01
7.004277168842451147e+02,9.169867923848754598e-01,4.663238368388269647e-03,6.988690083030631994e-01,-1.581714029572096336e-01,-1.637907340950378043e-01
1.925005702006465071e+02,4.380390227865415653e+00,3.192851124147171732e-03,6.688084297786496268e-01,9.604922454570541390e-01,9.550277736105778903e-01
6.861390725026286646e+02,8.116304072387554580e-01,1.795677002555023764e-03,7.113326939012725170e-01,-2.036711778069835166e-01,-1.963863687304572281e-01
3.553971944084012193e+02,1.195322042660149853e+00,1.420461186651530636e-03,2.327662381148031812e-01,9.354522990631548574e-01,9.351863779616281791e-01
2.592355570561446712e+02,4.748540585112434265e+00,3.152166720407108182e-03,2.224066023208053078e-01,9.870086284766819151e-01,9.867391183493217088e-01
7.072779070352476083e+02,3.026771484168798931e+00,1.762659686505980722e-03,1.134843374876408212e-01,9.721469921033688566e-01,9.747046742029569222e-01
1.042102351116350746e+03,3.537488346648758775e+00,3.794130776009084841e-03,3.773587617089826374e-01,3.212621852540523681e-01,3.191579002413080235e-01
4.540077313666233749e+02,4.194467002345204421e+00,4.132023781077402702e-03,4.205925053498734689e-01,7.945549558428273151e-01,7.934122790054365382e-01
1.022526111890999800e+03,3.490507110583040085e+00,4.109604245478092922e-03,2.175141416216178070e-01,7.427891424692362188e-01,7.449148861458957382e-01
7.307554277947049286e+02,2.497870796394793480e+00,2.624957467915095804e-03,7.631013705247314816e-01,1.540549430782062190e-02,1.681757351904263065e-02
2.788576280448550619e+02,2.943497380756138870e+00,3.203383059483440928e-03,3.609935982479562933e-01,9.292724152446582009e-01,9.234759316099960813e-01
1.257961292775682978e+03,2.293177071525211108e+00,1.906662242623263651e-03,3.608596737312032010e-01,3.731683830503364496e-01,3.773350960336847582e-01
5.819634686662209333e+02,3.097356912367651205e+00,3.075707258219396393e-03,3.672972585139288038e-01,7.251619684973905633e-01,7.222097937809452972e-01
4.542811067952349617e+02,5.099316381948748589e-01,4.269029912822680864e-03,2.137602896544469888e-01,8.209137121914880098e-01,8.156333174399170716e-01
1.116398044760475386e+03,2.787197432930339946e+00,3.556843217216503969e-03,5.030954969730226933e-01,2.654831151928330885e-04,-4.236892234802425682e-03
2.493523990185757953e+02,6.071980216808393616e-01,3.668642903486867956e-03,1.800567190773706416e-01,8.784197715289885355e-01,8.764670448072119369e-01
9.803085532884440454e+02,9.935237697078905805e-01,4.824553475836280622e-03,7.441568906015058049e-01,7.221898898933493127e-01,7.303263911664646946e-01
3.253896910785620094e+02,4.308657235734347779e+00,2.147054961594320032e-03,4.214503861696042852e-01,9.498844157351106210e-01,9.440067362105066806e-01
5.709901312150989270e+02,3.467237527874512004e+00,3.598282959668112294e-03,5.045476262970362002e-01,5.577260967862348595e-01,5.585264762489066115e-01
3.782798541545661237e+02,1.319755418728857821e+00,4.538618125784823869e-03,3.442407466299726160e-01,5.529269471033404493e-01,5.422378253128875558e-01
1.109473591230864258e+03,3.862411363633233119e+00,2.328761847585241081e-03,3.282864496799894338e-01,6.120708980137891109e-01,6.120630633480631522e-01
5.680894623278340987e+02,2.641024713145291969e+00,1.201797387772553759e-03,7.699925803819299697e-01,6.976602610719581099e-01,7.021580931593381925e-01
1.269631375458747016e+03,1.106808241879080112e+00,2.179263151591436312e-03,1.760770629260335896e-01,9.892051374874080150e-01,9.880218208771007760e-01
8.503137812981281058e+02,4.683585628143643653e+00,2.159339499924237127e-03,1.939258719479769466e-01,9.064606530907051152e-01,9.033138784712884117e-01
9.323474016434981877e+02,1.007622943184307562e+00,2.148969483817833592e-03,4.604519991434392612e-01,6.303043591629815534e-01,6.314619144832742670e-01
7.258301465589009922e+02,5.888428610823139842e-01,3.101545619097201278e-03,2.304587486595486290e-01,7.772578559280149957e-01,7.807586146837682817e-01
4.707618388907093845e+02,1.654707778054677503e+00,3.249474444498870462e-03,1.044823633193259910e-01,9.573866625690024001e-01,9.607049504240894322e-01
5.746677052629145237e+02,8.908695811590507940e-01,2.540592970251582573e-03,5.190163657765188843e-01,2.552057145979934605e-01,2.650680838676424123e-01
1.229121025194282083e+03,5.752465636170607244e-01,2.287990342734482450e-03,1.021884209885646766e-01,9.874145729872736421e-01,9.884604103489550431e-01
3.414438408695973521e+02,3.439588444088994557e+00,3.094433182889224331e-03,5.306714096121583069e-01,8.597332707942462182e-01,8.567712202954815837e-01
1.285862681464254820e+03,1.093829625460812860e+00,3.920247617193546238e-03,3.087523852336740426e-01,8.742760971595545660e-01,8.736462012096213314e-01
1.009967034404582137e+03,3.037459298278945674e+00,1.129959543230291737e-03,5.190190760017088234e-01,4.646687465930025573e-01,4.643062538649034843e-01
5.317443117911323043e+02,1.591654231269890252e+00,4.302940429952586444e-03,4.924339185061510360e-01,2.290708542662061309e-01,2.296145411835967265e-01
8.698163074067240359e+02,4.732925610953794049e+00,1.529737162853885089e-03,7.299797867013060326e-01,4.230213107440253251e-01,4.228711716778781327e-01
5.571778471517050093e+02,1.471351947326626552e+00,4.625609420701943045e-03,2.668675280373267733e-01,8.007513072688112743e-01,8.016211369632922912e-01
5.577915191679039708e+02,2.842946268537072108e+00,2.970693892815889740e-03,7.283260468633988571e-01,4.058613363574126165e-01,3.975070860543370443e-01
7.045635402334355604e+02,3.807442660872454088e+00,3.257020961582918987e-03,4.630180592768659009e-01,5.262359210765614748e-01,5.303840658567616773e-01
1.200673859624525051e+02,1.900084633832640257e+00,4.923296470612590313e-03,1.000107746126535774e-01,9.940686105993767896e-01,9.911949142547715752e-01
6.922858719320754517e+02,4.242827255238476702e+00,4.588873082149890446e-03,3.710425074227327036e-01,5.911347109806918132e-01,5.852689174984566645e-01
1.265918096136265603e+03,1.912905284591341015e+00,2.780349803946651974e-03,1.392994343459676432e-01,9.397464227376816082e-01,9.429351785358888183e-01
4.425582745426941642e+02,2.245370286983462194e+00,1.809133301483563903e-03,5.732923991723966051e-01,7.673497365415876681e-01,7.739363665785180535e-01
9.978615508919345984e+02,2.436747271374822610e+00,3.382999765114813335e-03,5.858050799822752674e-01,-2.061178288781684576e-01,-2.036526881306712500e-01
6.313466680845940573e+02,2.385023548693123274e+00,1.160738448399894389e-03,3.045537235414372268e-01,8.707089054818755169e-01,8.715147020511031517e-01
3.511372511413425173e+02,3.235746444846865355e+00,1.268292181479009411e-03,2.624121301572197584e-01,9.763869850448694265e-01,9.717258835180097032e-01
1.186003084981755364e+03,1.518105252199238642e+00,1.905176869094446761e-03,3.955015688900126447e-01,2.769416004617247240e-01,2.912994371507922065e-01
1.201927416162556028e+02,1.981463496993334461e+00,2.671000725857743032e-03,5.137797927293273892e-01,9.679458093387716122e-01,9.723471024420791142e-01
4.642107119194128018e+02,1.530374140928816962e+00,3.774820473709830388e-03,1.889893477233441366e-01,8.447744667149035269e-01,8.390779933631886678e-01
1.298831058788724931e+03,1.746253618326012225e+00,1.395650305303215450e-03,2.652506316677447629e-01,6.338478749590354955e-01,6.299496853778367988e-01
4.145761554279873735e+02,3.932520467738024550e+00,4.419415247051750040e-03,6.714424592156430505e-01,6.481753699791203971e-01,6.486102662219799253e-01
1.118853426231126377e+03,3.331700392198407634e+00,2.799110779750830797e-03,4.376032868661182684e-01,1.973053858825064844e-01,1.895317302225265621e-01
8.268197783868450870e+02,4.832551860908155028e+00,1.775671369571181317e-03,2.985038794296210329e-01,8.206702589929312230e-01,8.215134110279838087e-01
1.067242849032548293e+03,4.775585182821717289e+00,4.457796772395360325e-03,1.184063275018716749e-01,9.249761460734244878e-01,9.226807882948606654e-01
8.563813065321738804e+02,1.422884511085276138e+00,3.763515569253117563e-03,2.731218168561535542e-01,9.522587865158192999e-01,9.583901395174003746e-01
5.352362284694180516e+02,1.444757161825155123e+00,4.439368075724536844e-03,5.316877667117229089e-01,3.057581828566663940e-01,3.105689561748076200e-01
