d,p_inf,p_inf_noisy
1.156445415853366576e+00,2.569135015972889846e-05,1.374441272026635796e-02
1.158815312709599255e+00,2.579469577301818362e-05,-1.938546531553324119e-03
1.161190066181658764e+00,2.589845313505367841e-05,-5.552101917695688796e-03
1.163569686222179156e+00,2.600262386331930742e-05,5.153657578795656224e-03
1.165954182804191053e+00,2.610720958129419955e-05,1.066874430783004528e-02
1.168343565921162508e+00,2.621221191856371036e-05,-5.041384208050478204e-03
1.170737845587041415e+00,2.631763251126351122e-05,-1.527568334848642025e-02
1.173137031836296362e+00,2.642347300163550017e-05,1.177126929456488204e-02
1.175541134723960601e+00,2.652973503824984647e-05,1.540961821926142318e-02
1.177950164325672455e+00,2.663642027600499063e-05,1.891657871974980129e-02
1.180364130737718176e+00,2.674353037623866669e-05,-8.371838042510272582e-03
1.182783044077074575e+00,2.685106700661687995e-05,3.060213658283999355e-02
1.185206914481450990e+00,2.695903184113390694e-05,4.622400812002636777e-02
1.187635752109331699e+00,2.706742656033434002e-05,-1.550112033415855170e-02
1.190069567140019213e+00,2.717625285131308743e-05,5.515059531582509889e-03
1.192508369773676025e+00,2.728551240727128402e-05,1.135066545356359750e-02
1.194952170231367683e+00,2.739520692829344739e-05,-4.002212268888737101e-02
1.197400978755106093e+00,2.750533812090338870e-05,-8.410968610928699560e-03
1.199854805607891706e+00,2.761590769795319034e-05,-2.477261627956836576e-02
1.202313661073757034e+00,2.772691737906729514e-05,-1.124295003563295994e-02
1.204777555457809513e+00,2.783836889042046181e-05,-2.754700822189622492e-02
1.207246499086275016e+00,2.795026396495980947e-05,-1.192206481400441206e-02
1.209720502306540713e+00,2.806260434196072850e-05,-4.730436061784874281e-03
1.212199575487198366e+00,2.817539176769301434e-05,-8.440873728813915247e-03
1.214683729018088520e+00,2.828862799486575597e-05,2.120936242066526201e-02
1.217172973310343131e+00,2.840231478318244740e-05,-4.519924630612045906e-03
1.219667318796429978e+00,2.851645389878587622e-05,1.134543325727209277e-02
1.222166775930195959e+00,2.863104711470221275e-05,7.620244134708984395e-03
1.224671355186910615e+00,2.874609621095203238e-05,-3.589187130946071454e-03
1.227181067063310982e+00,2.886160297421724863e-05,-4.349471338617048183e-03
1.229695922077644221e+00,2.897756919795213548e-05,1.537311832104948026e-02
1.232215930769713585e+00,2.909399668260537197e-05,1.259635575257865049e-02
1.234741103700920384e+00,2.921088723539799759e-05,2.249791312563627702e-02
1.237271451454309945e+00,2.932824267065647916e-05,-1.659511128606682567e-02
1.239806984634615139e+00,2.944606480959066630e-05,7.363175610468833919e-03
1.242347713868301451e+00,2.956435548018276904e-05,-2.719799251840539049e-03
1.244893649803610503e+00,2.968311651785349170e-05,1.657849112908760768e-03
1.247444803110605571e+00,2.980234976457385443e-05,1.459923008507094111e-02
1.250001184481216443e+00,2.992205706964234935e-05,3.169354851166784892e-02
1.252562804629282933e+00,3.004224028935187363e-05,-2.952467666118116507e-02
1.255129674290601738e+00,3.016290128721177410e-05,-1.634773834394177491e-02
1.257701804222969288e+00,3.028404193372580266e-05,1.947673089921913778e-02
1.260279205206228825e+00,3.040566410661416086e-05,8.120465711713606774e-03
1.262861888042313918e+00,3.052776969070247759e-05,3.220524793029060084e-02
1.265449863555294874e+00,3.065036057825487603e-05,1.770088136211735511e-02
1.268043142591423811e+00,3.077343866841886211e-05,3.906421195362989873e-03
1.270641736019179735e+00,3.089700586789145831e-05,1.098832477657829716e-02
1.273245654729314502e+00,3.102106409069715909e-05,4.180529150747972628e-02
1.275854909634898116e+00,3.114561525785486396e-05,-7.860557415318531957e-03
1.278469511671364911e+00,3.127066129804401129e-05,9.914365844636017014e-04
1.281089471796559076e+00,3.139620414716048913e-05,-2.803283531185089827e-02
1.283714800990780613e+00,3.152224574864970208e-05,-7.411560289672205690e-03
1.286345510256831526e+00,3.164878805306248211e-05,4.560135437963597563e-03
1.288981610620061558e+00,3.177583301883224465e-05,-3.891058637542112175e-03
1.291623113128415046e+00,3.190338261160885480e-05,4.761656858964560465e-03
1.294270028852475996e+00,3.203143880448067193e-05,-2.642537945728794246e-02
1.296922368885516264e+00,3.216000357830761658e-05,-6.232045423258997588e-03
1.299580144343540633e+00,3.228907892138810354e-05,-3.534988769480485165e-04
1.302243366365333666e+00,3.241866682957006418e-05,-1.607357526599017552e-04
1.304912046112506996e+00,3.254876930658401335e-05,2.967383050316770715e-02
1.307586194769545296e+00,3.267938836326589325e-05,-3.469311764709406831e-02
1.310265823543853569e+00,3.281052601877831876e-05,1.911711437315378320e-02
1.312950943665804671e+00,3.294218429950035443e-05,1.348771376984616438e-02
1.315641566388785044e+00,3.307436523980467058e-05,-3.747201342335617497e-02
1.318337702989242910e+00,3.320707088161345411e-05,-2.024056519856023972e-02
1.321039364766735336e+00,3.334030327495351997e-05,9.692141826535658963e-03
1.323746563043975311e+00,3.347406447740119972e-05,3.296865986333510218e-02
1.326459309166879930e+00,3.360835655441540837e-05,-1.620086182255438961e-02
1.329177614504616578e+00,3.374318157955968900e-05,-4.954542122522520922e-03
1.331901490449652004e+00,3.387854163394710127e-05,2.194459618172470410e-03
1.334630948417799168e+00,3.401443880679533294e-05,-2.245200617234722681e-02
1.337365999848265874e+00,3.415087519553772211e-05,7.375740040833867091e-03
1.340106656203701618e+00,3.428785290504610117e-05,2.818686708678103808e-02
1.342852928970246662e+00,3.442537404885204211e-05,-9.868902114072443041e-03
1.345604829657579105e+00,3.456344074792561116e-05,-2.589727411229145876e-02
1.348362369798964844e+00,3.470205513178559187e-05,5.449159686333542377e-03
1.351125560951303983e+00,3.484121933794437354e-05,-1.923268682254864208e-04
1.353894414695180348e+00,3.498093551179692895e-05,-3.650927598405746127e-02
1.356668942634909891e+00,3.512120580728694819e-05,2.109432271202745304e-02
1.359449156398589098e+00,3.526203238635172710e-05,1.930054731832622425e-02
1.362235067638143615e+00,3.540341741914421192e-05,3.936553964282685572e-03
1.365026688029377988e+00,3.554536308414402157e-05,3.306232080538972721e-03
1.367824029272023179e+00,3.568787156815744765e-05,1.793827503406363695e-03
1.370627103089786969e+00,3.583094506609540986e-05,-1.341359746798926385e-03
1.373435921230401924e+00,3.597458578163958975e-05,5.827124940592140132e-03
1.376250495465675572e+00,3.611879592646527470e-05,-2.234302706429162899e-02
1.379070837591539034e+00,3.626357772090749165e-05,-3.328782957677987875e-03
1.381896959428096983e+00,3.640893339351691793e-05,-5.310000212497485370e-03
1.384728872819676715e+00,3.655486518150397046e-05,1.467331777410651669e-02
1.387566589634878556e+00,3.670137533040573885e-05,6.514850438872675162e-03
1.390410121766624485e+00,3.684846609475211920e-05,-1.884404527618480487e-03
1.393259481132208988e+00,3.699613973695559110e-05,-1.863928037848763559e-03
1.396114679673348347e+00,3.714439852853246293e-05,3.145737633072591410e-02
1.398975729356230824e+00,3.729324474954776036e-05,8.288667272783364903e-03
1.401842642171567510e+00,3.744268068850420406e-05,-2.620573727731715719e-05
1.404715430134641396e+00,3.759270864289732117e-05,-4.715645876397341063e-02
1.407594105285358443e+00,3.774333091888237846e-05,9.881634847874510436e-03
1.410478679688298209e+00,3.789454983105233765e-05,-2.349259724225336021e-02
1.413369165432763808e+00,3.804636770321501160e-05,9.707217359077020477e-03
1.416265574632832980e+00,3.819878686783795274e-05,1.596206953227586114e-02
1.419167919427408719e+00,3.835180966627049770e-05,-5.482552213692631904e-02
1.422076211980270344e+00,3.850543844863274501e-05,1.092067799917053640e-02
1.424990464480124563e+00,3.865967557403759969e-05,3.942563507680411222e-02
1.427910689140655665e+00,3.881452341070179557e-05,-3.831279489205255667e-03
1.430836898200577911e+00,3.896998433550180607e-05,3.358892199656459548e-02
1.433769103923685950e+00,3.912606073475100033e-05,-2.601686735775887716e-02
1.436707318598906991e+00,3.928275500342248705e-05,-1.930072959151749035e-02
1.439651554540351652e+00,3.944006954570422607e-05,1.019610236589808296e-02
1.442601824087365259e+00,3.959800677522107293e-05,-1.655828593456429992e-02
1.445558139604581127e+00,3.975656911403557814e-05,3.153166720311099264e-02
1.448520513481970307e+00,3.991575899420229945e-05,2.382191261013202888e-02
1.451488958134895535e+00,4.007557885643553419e-05,-1.406094215024570986e-02
1.454463486004161199e+00,4.023603115099749772e-05,8.453907052114155093e-03
1.457444109556067513e+00,4.039711833714321187e-05,2.324149115130343460e-02
1.460430841282461367e+00,4.055884288367561652e-05,1.628070920202865160e-02
1.463423693700788952e+00,4.072120726883454722e-05,2.067342465810763363e-02
1.466422679354149050e+00,4.088421398007469065e-05,-2.703993877636386330e-03
1.469427810811343882e+00,4.104786551417660689e-05,-1.105186762708786768e-02
1.472439100666933953e+00,4.121216437769081864e-05,1.453908078717982069e-02
1.475456561541289124e+00,4.137711308627167739e-05,-2.739790113149208339e-02
1.478480206080641901e+00,4.154271416545451956e-05,3.166736591656912989e-03
1.481510046957141391e+00,4.170897015010055497e-05,1.311598800853500633e-02
1.484546096868905041e+00,4.187588358484095608e-05,-1.607041089535136275e-02
1.487588368540072592e+00,4.204345702385481331e-05,-1.000511130763646547e-02
1.490636874720859373e+00,4.221169303086913516e-05,2.872962965181967074e-02
1.493691628187609810e+00,4.238059417938089268e-05,-1.502754749442495978e-02
1.496752641742850498e+00,4.255016305276804189e-05,1.285436319940710037e-03
1.499819928215344378e+00,4.272040224406747910e-05,7.611074117696057335e-04
1.502893500460144027e+00,4.289131435619708554e-05,8.698229216792995044e-03
1.505973371358646284e+00,4.306290200151163816e-05,-1.339548580279366179e-02
1.509059553818645538e+00,4.323516780291303263e-05,8.847728699407825942e-03
1.512152060774387907e+00,4.340811439274006034e-05,-2.535944909495505342e-02
1.515250905186625641e+00,4.358174441343454220e-05,-3.275176249308624915e-02
1.518356100042671519e+00,4.375606051743030633e-05,4.670687622923173909e-02
1.521467658356453034e+00,4.393106536704216580e-05,3.702673912848257476e-02
1.524585593168567010e+00,4.410676163479898548e-05,-3.017903902611990263e-02
1.527709917546334228e+00,4.428315200333265977e-05,-3.391356467921728592e-03
1.530840644583854715e+00,4.446023916526709030e-05,-1.552998221328285439e-02
1.533977787402061699e+00,4.463802582355125281e-05,-5.463728812541826301e-04
1.537121359148777122e+00,4.481651469134817489e-05,3.455105724070922125e-03
1.540271372998766486e+00,4.499570849181289134e-05,-8.366943936224195341e-03
1.543427842153795027e+00,4.517560995853653338e-05,2.901040610363699729e-02
1.546590779842681229e+00,4.535622183554632869e-05,-1.985784629674250054e-02
1.549760199321354337e+00,4.553754687708355675e-05,-2.703081168741153228e-02
1.552936113872908086e+00,4.571958784771457118e-05,3.640586324166244971e-03
1.556118536807657771e+00,4.590234752266386664e-05,2.548882909796355498e-02
1.559307481463194867e+00,4.608582868725896731e-05,-5.635433513427592217e-02
1.562502961204444096e+00,4.627003413781860530e-05,1.273357671012496570e-02
1.565704989423718274e+00,4.645496668087556458e-05,1.278054430722501758e-03
1.568913579540775372e+00,4.664062913339872551e-05,1.592431874176181150e-02
1.572128745002874695e+00,4.682702432334817644e-05,2.168536164123927024e-02
1.575350499284831951e+00,4.701415508923112441e-05,-1.027585853622899233e-02
1.578578855889077648e+00,4.720202427999087291e-05,1.833504915509785727e-02
1.581813828345712380e+00,4.739063475578397799e-05,2.926003581505623539e-03
1.585055430212563898e+00,4.757998938687002521e-05,-1.334258534235754001e-03
1.588303675075243726e+00,4.777009105505491959e-05,-1.159513150350440641e-02
1.591558576547204895e+00,4.796094265246964028e-05,-1.819371230531067335e-02
1.594820148269797899e+00,4.815254708245841897e-05,3.021052744263484288e-02
1.598088403912328426e+00,4.834490725902362840e-05,-1.503599786935107090e-02
1.601363357172114643e+00,4.853802610715884924e-05,-3.648691037267014041e-03
1.604645021774544933e+00,4.873190656318193703e-05,1.152341067210450355e-02
1.607933411473134289e+00,4.892655157406888833e-05,-2.780328225044206500e-02
1.611228540049583158e+00,4.912196409823099685e-05,-1.063374294535907733e-02
1.614530421313834951e+00,4.931814710484871966e-05,-1.598586711397864332e-02
1.617839069104133110e+00,4.951510357453781097e-05,3.777717993524607951e-03
1.621154497287080609e+00,4.971283649912727753e-05,-9.884283588859231126e-03
1.624476719757696141e+00,4.991134888143733406e-05,-9.960829177811261412e-03
1.627805750439473842e+00,5.011064373583451470e-05,-2.421779936294008589e-02
1.631141603284441466e+00,5.031072408778758387e-05,-5.803585895653213915e-03
1.634484292273218120e+00,5.051159297453367003e-05,-7.616463224421995059e-04
1.637833831415073549e+00,5.071325344419008729e-05,4.096412275192888239e-03
1.641190234747986532e+00,5.091570855664251383e-05,-1.681957344666446669e-02
1.644553516338704169e+00,5.111896138332294726e-05,-8.218909231884594796e-03
1.647923690282799614e+00,5.132301500709868236e-05,7.402036821207443051e-03
1.651300770704732690e+00,5.152787252238333338e-05,8.474458459726021391e-04
1.654684771757908290e+00,5.173353703502581169e-05,-3.157291962461614143e-02
1.658075707624735884e+00,5.194001166297645966e-05,-1.667906620345703528e-02
1.661473592516688358e+00,5.214729953562091680e-05,2.587793016033422110e-03
1.664878440674362414e+00,5.235540379400216437e-05,1.633925273466459811e-03
1.668290266367538299e+00,5.256432759115359232e-05,2.971270940005437539e-02
1.671709083895238646e+00,5.277407409176593234e-05,3.245522892961665907e-04
1.675134907585789312e+00,5.298464647263134708e-05,-2.273651554070263078e-02
1.678567751796878893e+00,5.319604792219934097e-05,-1.553854354879917118e-02
1.682007630915619334e+00,5.340828164090982710e-05,2.168914604030777304e-03
1.685454559358606108e+00,5.362135084130414953e-05,-1.588494858810753432e-02
1.688908551571977945e+00,5.383525874802508326e-05,-5.259799635842491404e-03
1.692369622031478782e+00,5.405000859759478971e-05,-1.223877488606953980e-02
1.695837785242516826e+00,5.426560363885890581e-05,8.272376373565390548e-04
1.699313055740226730e+00,5.448204713265347721e-05,6.264271357386458176e-03
1.702795448089529540e+00,5.469934235213802509e-05,-5.504578415941798353e-04
1.706284976885194204e+00,5.491749258279554624e-05,2.505991926437606265e-02
1.709781656751899082e+00,5.513650112232149070e-05,-3.675355985990379909e-02
1.713285502344292111e+00,5.535637128073478408e-05,3.279060184554615388e-03
1.716796528347052986e+00,5.557710638037782758e-05,5.120827538668984522e-04
1.720314749474955329e+00,5.579870975624956486e-05,5.452568726422933176e-04
1.723840180472927086e+00,5.602118475567241518e-05,-2.082988328861617652e-02
1.727372836116112476e+00,5.624453473862534025e-05,-1.403512550799071446e-02
1.730912731209935718e+00,5.646876307729975508e-05,3.123440187734169080e-02
1.734459880590160097e+00,5.669387315709872865e-05,1.552461201933809723e-02
1.738014299122953021e+00,5.691986837552676093e-05,9.650672215843893870e-03
1.741576001704946197e+00,5.714675214296693895e-05,1.846124210114517827e-02
1.745145003263299355e+00,5.737452788279195914e-05,-2.722965948503097353e-02
1.748721318755762200e+00,5.760319903080901582e-05,2.237092810002620086e-02
1.752304963170737473e+00,5.783276903592593499e-05,-2.733390792773194786e-02
1.755895951527343124e+00,5.806324135981810741e-05,-2.300766031021965474e-02
1.759494298875476037e+00,5.829461947703951097e-05,-6.769955643457734387e-03
1.763100020295874870e+00,5.852690687535577752e-05,1.833090372427868125e-02
1.766713130900182893e+00,5.876010705530010370e-05,-2.104892498779638993e-02
1.770333645831011715e+00,5.899422353061734015e-05,1.669759307921674096e-02
1.773961580262004345e+00,5.922925982815296919e-05,3.280938939051963182e-02
1.777596949397899362e+00,5.946521948785310485e-05,2.177470133103073108e-02
1.781239768474594420e+00,5.970210606287551514e-05,6.609159199185984414e-03
1.784890052759209533e+00,5.993992311981166665e-05,-2.443947495306497686e-02
1.788547817550151908e+00,6.017867423835365770e-05,-1.154712432336452849e-02
1.792213078177179897e+00,6.041836301162728518e-05,-1.941798217822481715e-02
1.795885850001466277e+00,6.065899304619204457e-05,-5.445501961049817145e-03
1.799566148415663980e+00,6.090056796204112999e-05,-4.372912415698774515e-03
1.803253988843970035e+00,6.114309139249041181e-05,-1.235177071511626111e-02
1.806949386742189967e+00,6.138656698473354822e-05,3.175150680595535679e-02
1.810652357597802631e+00,6.163099839939789604e-05,3.133956486985440409e-02
1.814362916930025937e+00,6.187638931054451064e-05,5.873081509773178145e-03
1.818081080289880580e+00,6.212274340633427983e-05,8.821358954609028391e-04
1.821806863260256204e+00,6.237006438825076771e-05,1.434656143461443371e-02
1.825540281455976022e+00,6.261835597187737079e-05,2.272783193654868625e-03
1.829281350523863203e+00,6.286762188656425110e-05,-4.733196011609699244e-02
1.833030086142805271e+00,6.311786587531731385e-05,-5.694663835595502495e-03
1.836786504023820710e+00,6.336909169546434129e-05,1.033730846217207483e-03
1.840550619910124475e+00,6.362130311798885884e-05,1.704253842207220995e-02
1.844322449577194156e+00,6.387450392808524668e-05,1.706091446193085115e-02
1.848102008832835486e+00,6.412869792493669507e-05,-2.772927112584322451e-02
1.851889313517249391e+00,6.438388892193724899e-05,-2.616879279938040884e-02
1.855684379503097947e+00,6.464008074658078584e-05,-1.782873236677198422e-02
1.859487222695571207e+00,6.489727724079408233e-05,1.754458230410964152e-04
1.863297859032452708e+00,6.515548226049272529e-05,-4.923361253894896483e-02
1.867116304484188749e+00,6.541469967613622316e-05,1.403687442280341681e-02
1.870942575053952783e+00,6.567493337250596142e-05,-1.465847017289411899e-02
1.874776686777713142e+00,6.593618724870520253e-05,-2.655752520937889119e-02
1.878618655724301645e+00,6.619846521871419753e-05,-1.739417462751486135e-02
1.882468497995478662e+00,6.646177121050200753e-05,1.892437161405830653e-02
1.886326229726002834e+00,6.672610916713672680e-05,-1.721956894010179609e-02
1.890191867083697241e+00,6.699148304600832660e-05,-1.510042350624141161e-02
1.894065426269517349e+00,6.725789681927274444e-05,-1.910802068860070410e-02
1.897946923517619844e+00,6.752535447385188405e-05,2.323790166468634073e-03
1.901836375095429021e+00,6.779386001143361540e-05,6.337119920854492050e-03
1.905733797303706734e+00,6.806341744869381927e-05,-8.949135797310447255e-03
1.909639206476619444e+00,6.833403081707434268e-05,1.519943775390839892e-02
1.913552618981807063e+00,6.860570416300504348e-05,2.200065321640856664e-02
1.917474051220452447e+00,6.887844154790379037e-05,1.382644076681278228e-02
1.921403519627348455e+00,6.915224704839850745e-05,8.036897668350166321e-03
1.925341040670967452e+00,6.942712475599410737e-05,-4.680877819342316171e-03
1.929286630853531470e+00,6.970307877740555824e-05,-9.716884591822795916e-03
1.933240306711079715e+00,6.998011323477992818e-05,2.868796753231562038e-02
1.937202084813538949e+00,7.025823226536331845e-05,-6.409333460162167616e-03
1.941171981764792331e+00,7.053744002172290806e-05,-1.682848770916795054e-03
1.945150014202749356e+00,7.081774067196899836e-05,4.272525960643313442e-02
1.949136198799416020e+00,7.109913839942194613e-05,-3.486572936012201623e-03
1.953130552260963215e+00,7.138163740316727512e-05,5.020010959995119086e-03
1.957133091327798224e+00,7.166524189761158681e-05,-3.582922321886563514e-03
1.961143832774634665e+00,7.194995611270460500e-05,2.206501161572286401e-02
1.965162793410561548e+00,7.223578429427224279e-05,-1.456383195368073265e-02
1.969189990079115438e+00,7.252273070379455788e-05,-1.922765750372155036e-04
1.973225439658350400e+00,7.281079961851677496e-05,1.692985934167545378e-02
1.977269159060907944e+00,7.309999533144928563e-05,-3.285070007812697368e-02
1.981321165234088744e+00,7.339032215147867078e-05,1.369628611656863691e-02
1.985381475159923692e+00,7.368178440347872282e-05,-2.634504682520816612e-02
1.989450105855244733e+00,7.397438642819942345e-05,3.856395226381191445e-03
1.993527074371756580e+00,7.426813258260001049e-05,3.027101124893350967e-02
1.997612397796107109e+00,7.456302723973795565e-05,-9.556787496367274287e-03
2.001706093249960627e+00,7.485907478876896448e-05,2.433594072611149767e-02
2.005808177890068489e+00,7.515627963483595408e-05,3.519185119072876927e-02
2.009918668908341033e+00,7.545464619984620924e-05,-3.848395357911289262e-03
2.014037583531920195e+00,7.575417892158320399e-05,2.371754895229280513e-02
2.018164939023251225e+00,7.605488225448375772e-05,1.544618531305433449e-03
2.022300752680155078e+00,7.635676066930496830e-05,6.914681427171296378e-03
2.026445041835901684e+00,7.665981865345727897e-05,-1.303545834687972436e-02
2.030597823859281004e+00,7.696406071078243372e-05,-1.779231426173294786e-02
2.034759116154677638e+00,7.726949136155347730e-05,-1.929095694860631302e-03
2.038928936162141881e+00,7.757611514314088907e-05,1.435611129625486392e-02
2.043107301357465211e+00,7.788393660945747143e-05,-2.461259599662251121e-02
2.047294229252250908e+00,7.819296033106937216e-05,-2.064048590161444291e-02
2.051489737393989099e+00,7.850319089552915131e-05,1.363059057653206660e-02
2.055693843366129592e+00,7.881463290737578120e-05,1.221251967494053035e-02
2.059906564788156924e+00,7.912729098802362415e-05,4.265864087430392207e-03
2.064127919315661419e+00,7.944116977587345474e-05,-1.737158567298650522e-02
2.068357924640416901e+00,7.975627392642348212e-05,1.258791184990102133e-02
2.072596598490450859e+00,8.007260811249139465e-05,5.627142294122274187e-03
2.076843958630122167e+00,8.039017702399231524e-05,-3.151992065660789988e-02
2.081100022860193466e+00,8.070898536793880140e-05,-2.569397742152350339e-02
2.085364809017906662e+00,8.102903786899595673e-05,1.552772248737668143e-02
2.089638334977057532e+00,8.135033926892631939e-05,-1.119497540435840724e-02
2.093920618648069443e+00,8.167289432714497366e-05,2.453912808956675365e-02
2.098211677978071066e+00,8.199670782060852758e-05,3.534546525583916882e-02
2.102511530950968766e+00,8.232178454359306841e-05,-1.901952057092141588e-02
2.106820195587524314e+00,8.264812930824927406e-05,3.933992289570963780e-02
2.111137689945428164e+00,8.297574694426934627e-05,-1.082645191207917516e-02
2.115464032119377169e+00,8.330464229933109976e-05,2.486657562050148583e-04
2.119799240241148741e+00,8.363482023865387305e-05,1.829977607700573189e-02
2.124143332479678570e+00,8.396628564544261764e-05,3.113016431603538720e-02
2.128496327041135672e+00,8.429904342088789804e-05,2.912355595750117793e-03
2.132858242168997887e+00,8.463309848427691406e-05,6.459560729665167304e-03
2.137229096144130480e+00,8.496845577277145622e-05,-1.552853325676694339e-02
2.141608907284860752e+00,8.530512024174097263e-05,2.321398301557803939e-02
2.145997693947056639e+00,8.564309686476256900e-05,1.877481052084311111e-02
2.150395474524201322e+00,8.598239063373203095e-05,1.904422578249427567e-02
2.154802267447472275e+00,8.632300655875280171e-05,-2.836586521836248140e-02
2.159218091185818977e+00,8.666494966835802671e-05,1.585220927060896137e-02
2.163642964246037081e+00,8.700822500962157591e-05,1.445453700361955945e-02
2.168076905172849234e+00,8.735283764793599914e-05,2.486962104247548988e-02
2.172519932548982347e+00,8.769879266756763769e-05,-4.458835508387336277e-02
2.176972064995243983e+00,8.804609517110151273e-05,1.639113340729098783e-02
2.181433321170600514e+00,8.839475027999643686e-05,-1.553258858755129576e-02
