I,a,z,radial_observation_coordinate,B_z
5.140406253781864621e+01,1.295796683649672043e-01,1.533208310286804377e-01,1.719690647709815317e-03,6.703552458668627593e-05
7.819559607774623089e+01,9.237811342473259413e-02,6.816300746774564545e-02,8.670156332658345358e-03,2.761892699534407671e-04
5.476804259388570983e+01,1.429832297963349319e-01,1.965338848597463217e-01,2.523791265274392612e-02,4.811178136342916632e-05
5.763809441770933972e+01,1.011424586261667202e-01,-6.172091475035501595e-02,1.086947295636271626e-02,2.221896511973398903e-04
8.072071306424267334e+01,1.205379970292670966e-01,-1.844696731287151781e-01,1.740332848863297699e-02,6.807879839452522330e-05
4.731902644201036878e+01,9.610355888053982720e-02,-5.752573149511319706e-02,3.905969961092710212e-03,1.953650628666344757e-04
7.610352146098564674e+01,1.116271390967793764e-01,-1.920316653025677667e-02,6.729908744916945559e-03,4.108901342632478903e-04
7.400285901907749064e+01,6.774919350627965631e-02,-5.471043474669601454e-03,1.969803787572872722e-02,7.241561675309039683e-04
9.388537179520403697e+01,9.785930538817995405e-02,1.322576626351200380e-01,9.427906802660439636e-03,1.261894958900380381e-04
2.034393699528146726e+01,1.286562266547252587e-01,-7.480653868290874919e-02,9.093906018220529811e-03,6.414064170624930120e-05
7.561136053686784919e+01,1.355001613670097638e-01,7.443173451035978508e-03,1.315172713446506082e-02,3.514185985003144010e-04
9.346815357621039766e+01,9.068069439302334223e-02,1.428240533427581338e-01,8.648523712742920214e-03,9.926850734100186376e-05
9.711335709321816978e+01,6.493693156274504830e-02,-1.269812599351557714e-01,6.026051804135670528e-03,8.839977443435807769e-05
1.132356744688323502e+01,7.518945529562996721e-02,1.636616092972715819e-01,1.999820655492662649e-02,6.688852895858386938e-06
8.772760812210181314e+01,8.546963776790772460e-02,-1.451882813029692354e-01,1.322490752938412784e-02,8.318196661809421695e-05
9.830755360597098047e+01,1.045351521072221124e-01,7.685143131587977849e-02,1.049103425101088893e-02,3.078955611269197559e-04
9.614891616498671567e+01,8.368411760720485815e-02,1.802968103175176806e-01,1.267893723060048265e-02,5.339054463219105332e-05
2.338876110092481042e+01,9.333396266620928861e-02,4.283376108609058402e-02,2.473538809179668188e-02,1.186295094445455551e-04
9.753659324406594067e+01,6.154524849906849865e-02,7.398586095864288781e-02,8.551344755966160116e-03,2.575263173119890221e-04
9.009420001484686225e+01,9.727371477798694988e-02,1.070059934146037617e-01,2.497319932810400725e-02,1.702344092629092171e-04
8.401364447887634412e+01,1.226778958592662783e-01,-1.034831933958452049e-01,9.405469248996720447e-03,1.916410597128271752e-04
5.319891314270489602e+01,1.004013733981596879e-01,-1.602092612310821174e-01,1.279169444869752807e-02,4.941820402836086354e-05
3.091356276753734633e+01,7.746178215599068551e-02,-2.529611324054452728e-02,2.935000547424172074e-02,2.255521258278467972e-04
8.216925208464770947e+01,1.437294198999627959e-01,3.193676441299610896e-02,1.108288614141473595e-02,3.351944656127263562e-04
9.311771438051225402e+01,7.658040997886797485e-02,-9.205039703082742997e-02,2.624174507662132769e-02,1.858988571103073581e-04
3.395172450630633421e+01,1.381494159927792453e-01,-1.824799162914786665e-01,2.741908638931285155e-02,3.316596132313754731e-05
5.850409668599682078e+01,7.715930797230331761e-02,1.350788314644137678e-01,9.278079401916342062e-03,5.771814713352149733e-05
4.984775460770783440e+01,7.358117106911318817e-02,1.004393554308408848e-01,3.946812446440775037e-03,8.771882709755124462e-05
9.379155843830395156e+01,1.038981542308149569e-01,1.784909463554956721e-01,2.299003292101034143e-02,7.042290366294834186e-05
1.364596400695911704e+01,1.194276644411625954e-01,-1.385061156642979907e-01,2.367728460786929293e-02,1.952278274106742092e-05
7.588055760909047365e+01,1.007679453391784052e-01,-1.866615114730514058e-01,2.569098657189224175e-03,5.071858372228145304e-05
6.529359222540969654e+01,1.057337156774456333e-01,9.554342424449907556e-02,1.781572249427567159e-02,1.561428250973628394e-04
1.255288286021689537e+01,1.161119149884805857e-01,1.465357008882423873e-01,1.092063211270336009e-02,1.618533171731463931e-05
7.472977955440663322e+01,1.034994887804087244e-01,-1.111478486120894282e-01,2.362761615436681159e-02,1.391993510331212516e-04
1.143925565712147829e+01,1.461169143925210301e-01,-4.906085031239340588e-02,1.966989575372696600e-02,4.215751182311100302e-05
7.821559021207852425e+01,7.361887394692062658e-02,1.389929948133596105e-01,7.879839615003528600e-03,6.810576857698027011e-05
5.614828509358702746e+01,9.522045953837962595e-02,-1.954074084230105479e-01,4.447858013547466814e-03,3.111931026313363724e-05
9.361937987173055831e+01,7.149533162163364264e-02,-9.316804327262243057e-02,1.466199168288948810e-03,1.856600349082953921e-04
1.594742470516672661e+01,7.778014515183456767e-02,-1.480940745725878860e-01,2.455954774031469251e-02,1.235305641422188961e-05
8.571855516511449480e+01,1.158035036107721433e-01,1.791395480984725452e-01,2.576164326949707817e-02,7.239510604310714370e-05
1.600210078903912603e+01,1.379895605711836948e-01,-1.822736067313103225e-01,1.474101830969344953e-02,1.591429368130392949e-05
4.098789809237126747e+01,9.192954931592134393e-02,1.309646871187788476e-02,2.465111670426297849e-02,2.854645961734280919e-04
4.872688587530499404e+01,1.369283996310958762e-01,8.076850326346228515e-02,1.408554768338707644e-02,1.426193442430853696e-04
9.694558727056632108e+01,9.421277411650738620e-02,-9.933803568040345394e-03,2.388978948002059774e-02,6.659487509796283922e-04
6.060086580056113092e+01,1.238368070756849515e-01,-9.489099832972779092e-02,1.741612442737138985e-02,1.525328211457332875e-04
3.329781338538390401e+01,6.998321760877262987e-02,-6.765738527242111389e-02,1.265188269420317209e-02,1.090917019593026587e-04
3.175081426849104815e+01,1.096526678479516625e-01,-1.106858346288210060e-01,2.307846962059650377e-03,6.340680563271786812e-05
8.993064885932618324e+01,6.347748182477608303e-02,1.418897973302846172e-01,9.837669463006340140e-03,6.008691960111949693e-05
3.032824855755919558e+01,7.286391784045363751e-02,-1.988663446400074641e-01,2.592420352912050766e-02,1.025098971911439462e-05
2.120992352517551538e+01,8.738824491739773104e-02,-1.496595745572868175e-01,1.767060793550362732e-02,1.914062297910312858e-05
3.594976813068198140e+01,6.441337043679373764e-02,1.466576944270337468e-01,1.957112324182903873e-02,2.200747518282950420e-05
6.275107583314595416e+01,1.385168064255277720e-01,1.924296771568403397e-01,1.325842359817783894e-02,5.645765442332348637e-05
5.986814519559410286e+01,1.339176492317929457e-01,-2.289996125379456515e-02,1.095658979784531160e-02,2.701105616293870406e-04
8.287396983214999580e+01,1.438641343724482990e-01,1.093951227685260180e-01,2.697786102323468035e-02,1.799396570676125857e-04
6.044283568055672617e+01,8.022561851033528646e-02,1.540536995655567842e-01,2.416522640499033092e-02,4.470775650123399498e-05
3.595790929880894282e+01,1.001522382717693477e-01,1.286471122708266468e-01,1.371896172043919788e-02,5.171092534592351388e-05
4.716067084128034281e+01,1.328082675431392912e-01,-3.179670088904664599e-02,1.408012750097193191e-02,2.064072058743204982e-04
8.363088738738193229e+01,8.485704522931683536e-02,1.517838761116153123e-01,2.416269768667379109e-02,6.910357496005789556e-05
6.638558161777781663e+01,1.182602778459705684e-01,-1.651248669275520373e-02,9.944159293449076828e-03,3.442125823231797924e-04
9.631698784276980518e+01,9.107324983606930602e-02,7.715781789621788123e-02,8.868088365751064517e-03,2.938433948373442555e-04
4.324639699825127792e+01,9.392050864426300383e-02,1.940529183342269703e-01,2.954863213078863168e-02,2.291649119374722157e-05
5.973503594691585050e+01,1.207835275336432146e-01,-6.036538720592288243e-02,1.245828971770003048e-02,2.223877181579332922e-04
6.345317814518514865e+01,1.445407311340553558e-01,-4.892732041540837074e-02,4.303421882862883477e-03,2.344592574655165573e-04
8.634620874475540120e+01,1.328971288042773979e-01,9.488551390109059569e-02,2.631875549926838975e-02,2.169748105909418757e-04
2.309261843678785908e+01,9.132409784714183576e-02,1.025491368409483101e-01,2.201156550492575775e-02,4.512029543690488845e-05
4.658593030733139528e+01,6.622944494495010270e-02,-1.657948057520119978e-01,1.395115404804446457e-02,2.222818907586974563e-05
9.189630654960672018e+01,1.472090093992110271e-01,-1.146520403303849245e-01,2.179078766437363753e-03,1.926010952645345773e-04
1.387601997113837626e+01,9.062014639065985033e-02,-3.752196000394323466e-02,1.140543386591839382e-02,7.608047927104833439e-05
8.404356521633516763e+01,1.247409879030054181e-01,-3.479597874896063481e-02,2.769364554960548896e-02,3.865926717069676096e-04
4.738456336341021569e+01,6.516374915228563547e-02,-1.485642860492336903e-01,2.981390201974854284e-02,2.731704509156599559e-05
8.468235867502924918e+01,6.106055835692152794e-02,-1.404952446103618358e-01,2.009052287648002005e-02,5.298062722683591060e-05
1.089591047265627566e+01,1.177433533713675151e-01,-8.327252320266770313e-02,1.272083044926878952e-02,3.151892011918964022e-05
4.285415419824435901e+01,1.377758138164446033e-01,1.051746349799135560e-01,1.750346383863045710e-02,9.750890636605786545e-05
1.707670334490758890e+01,9.893511100431030825e-02,7.853557213403306253e-04,1.486857402055100259e-02,1.103121322440416284e-04
6.873531187029746548e+01,1.173622745014122337e-01,-1.040399061245782103e-01,2.998645014892141816e-02,1.489746163920811349e-04
3.464641887396014397e+01,1.232641411012598137e-01,-1.209495949431092510e-01,8.323083526258549109e-03,6.406146751613746597e-05
7.323868635938076466e+01,1.364591703368410736e-01,-1.740840031699162904e-01,1.423393022937416777e-02,7.867406957960398634e-05
9.494212842478816583e+01,6.818264242099031369e-02,-1.768801195299234477e-02,1.103367230984298591e-02,8.032462786181891485e-04
2.141353920351229689e+01,1.081080435181136501e-01,1.944510672774045767e-01,7.040994272946684424e-03,1.424942876709811199e-05
8.783004658606967041e+01,9.980643895352768469e-02,-9.082269871616817369e-02,1.278702350575868299e-02,2.218079029498946496e-04
1.535177364403046241e+01,9.062318371831099006e-02,5.192803613725858330e-02,1.589289283562412072e-02,6.920711948393399422e-05
4.426934574798004718e+01,9.336243666722901513e-02,-1.471930825896947820e-02,7.807128817368587728e-03,2.884259236310574644e-04
4.867966550607189902e+01,9.739026689736415832e-02,1.945831853385353652e-02,2.662162296803903105e-03,2.962514160122991873e-04
5.399645921501178236e+01,7.548291857867749088e-02,-1.102213820296678998e-01,2.195197582826214494e-02,7.719932019366164151e-05
9.788160897424400275e+01,1.377328552089928659e-01,1.090765922491089973e-01,1.732006774843769872e-02,2.136634203280758160e-04
7.981220692916454595e+01,8.599083671882434832e-02,9.710966623431974143e-02,2.403182147351842768e-03,1.698671190652918921e-04
3.779716264473348986e+01,9.597500714747031481e-02,1.046004227209745702e-01,9.177490919877025199e-03,7.605765279057338064e-05
3.428531069507201323e+01,1.126329251484242400e-01,2.910306756409841711e-02,1.223622125327878188e-02,1.745724814122135685e-04
8.768081837703860515e+01,1.217621223795433694e-01,-1.655571634329586761e-01,9.295136959544796768e-03,9.379795718395070878e-05
8.931764554639208598e+01,1.041478578075162170e-01,1.279328870171987098e-01,8.612959196113219307e-03,1.350668165915767580e-04
5.596358549892807588e+01,9.983719313736355572e-02,-1.943141321780402775e-01,2.599729971444907084e-02,3.258097601280650080e-05
4.098661578660927063e+01,9.299766233550224581e-02,-1.032696682098354773e-01,1.243565328154189360e-02,8.210852855448558707e-05
9.954256133448259902e+01,1.053709735568613137e-01,-3.658719060333161938e-02,8.154707762628332635e-03,5.012088362271984376e-04
3.843491908309302119e+01,8.099693745806983702e-02,-7.749962407510060936e-02,1.793407137007491450e-02,1.094243932143778756e-04
2.644411410339062130e+01,6.182334384861227355e-02,-3.347873667113976490e-04,8.003348411685878502e-03,2.721433819147453526e-04
8.920883091736627080e+01,1.423641643518422928e-01,-5.190801255422039517e-02,7.003832560573600326e-03,3.266665244747821053e-04
8.311018583001285265e+01,7.696758605297196465e-02,-6.725588266797020986e-02,1.663696548320301805e-03,2.896546883737268104e-04
7.011004650142160699e+01,9.604723862842476367e-02,-9.466686329264382971e-02,2.685562525901027259e-02,1.583572024687665536e-04
9.625722686001567752e+01,1.084703123212403947e-01,-1.711928613599017490e-01,1.952870385747424581e-02,8.399703949063861254e-05
9.331431194929768935e+01,9.022962345161056330e-02,-2.628272428475449118e-02,1.587355598487524486e-02,5.824248647774149393e-04
7.734236529715786901e+01,9.851296465527685509e-02,-1.874849146340945849e-01,1.091917495743201585e-02,4.937015900944704476e-05
8.746312685929099473e+01,9.530035382181653580e-02,-1.660015521573988684e-01,1.951926172001670207e-02,6.967358586276157877e-05
3.224320662898967527e+01,1.007773864838191064e-01,-1.283474488488643428e-01,2.607135299645122958e-02,4.546326514622501868e-05
2.271219012109284563e+01,1.291751525642617915e-01,-7.192063034129159149e-02,2.260323063954561632e-02,7.341134928406206053e-05
7.030556643834422914e+01,1.071353330328928405e-01,1.908676767024076737e-01,1.355621933172963161e-03,4.835907761795175464e-05
7.431566829892774706e+01,1.382604653707391051e-01,1.180881850884147460e-01,5.425674131266815248e-03,1.483822787750026381e-04
2.503476359040449495e+01,1.206732594521208457e-01,-1.916067154341433432e-01,1.922562032490266609e-02,1.945500775311656839e-05
4.560015457943883632e+01,1.064424983520169676e-01,9.347942022769575865e-02,1.870526328781849448e-02,1.124036039322306828e-04
9.192301895944493140e+01,8.994006682297482624e-02,-1.327536376761991599e-01,1.084429680648110912e-02,1.124130014672144480e-04
6.052606907952006310e+01,6.696026507373809000e-02,-1.352510375224370842e-01,2.295715210745563270e-02,4.708539998280396555e-05
6.205023234336454152e+01,8.815930608858806028e-02,1.074946450720423025e-01,3.875947595499942572e-03,1.126582587127083655e-04
2.747167956017142387e+01,1.159635847432831796e-01,-1.200342588710534147e-01,1.084820248499994769e-02,4.967689166146020620e-05
5.734200237560876445e+01,1.044859216155029358e-01,-2.926583347193356666e-02,2.203224753590300039e-02,3.139409209100613358e-04
5.710912546554279601e+01,7.183817711721381116e-02,3.094026672733472122e-02,9.245695404090061714e-03,3.877790048430623002e-04
1.800420762216447912e+01,1.113784052768872074e-01,9.562381744815590112e-02,1.366960534923612747e-02,4.403635027003811577e-05
9.837484238140356752e+01,8.631039158045739068e-02,8.566616497836299082e-02,1.275917321135691847e-02,2.529484663910400643e-04
6.142560404101969596e+01,8.417317169677709932e-02,-4.797626245691688496e-02,6.106211645005968185e-03,3.004547712432981414e-04
1.057679943978791570e+01,8.779442776074637689e-02,5.695798482983383502e-03,1.021260105395428198e-02,7.596971788395644014e-05
7.953842811028496840e+01,1.218309506952290483e-01,-7.868362791291604041e-02,2.732018967006486290e-02,2.398218252421458385e-04
9.804391424561310941e+01,1.197603320941292848e-01,6.974910468774311867e-02,1.835749755921872034e-02,3.306403273691484374e-04
6.308830254888554379e+01,6.760297693450452450e-02,-3.125032890323771462e-02,1.290881918680096422e-03,4.384967566981825453e-04
3.877134726543985010e+01,7.871084413431887750e-02,1.201789206844223745e-01,1.064292994605254075e-02,5.038729320766777110e-05
2.687569441550064298e+01,1.138899096339055506e-01,1.998964271924508207e-01,2.466510281618665423e-02,1.756195652520135106e-05
7.052739705251823921e+01,6.783285875792127717e-02,-5.257396836882813340e-02,1.396486234201185436e-02,3.167734505368630365e-04
2.755966586111245320e+01,1.286190971871685462e-01,-3.991551184055657647e-02,5.805924650643209083e-03,1.173749440004627650e-04
6.199191032660733214e+01,1.268383223897337486e-01,1.233427277280200046e-01,8.563521260529078499e-03,1.128756297260839606e-04
6.420152587416632173e+01,7.612665419374196885e-02,-7.783970912397419895e-02,6.500606628668704687e-03,1.803943981620597813e-04
9.661807838119429448e+01,1.487713468428606411e-01,-7.407803808804547252e-02,2.532931169462972545e-02,2.926054168782638238e-04
1.650387389768890856e+01,1.328228494356982481e-01,1.586792964408512141e-02,1.070159460705791786e-02,7.677059897174985583e-05
5.499755412927566312e+01,7.050249868098661110e-02,-5.184393463047727579e-02,1.424679860619327415e-03,2.562504660870173101e-04
7.696877313543834020e+01,1.401934284918974760e-01,-1.555413807323323960e-01,1.427078303797607757e-02,1.028986390696065632e-04
2.595040664271929387e+01,8.606651473847434786e-02,-8.201883149081377888e-02,1.110754374233636306e-03,7.186922561894157878e-05
4.492600586060672896e+01,1.026344663026762805e-01,1.991208332854701446e-01,3.795605135796908079e-03,2.643674263046921340e-05
1.566059486094741970e+01,7.252483268922871318e-02,-2.305284130603482348e-02,2.531001360216102516e-02,1.225021245930403395e-04
7.532927773981991493e+01,1.002286976659827050e-01,1.393476546263515414e-01,9.385861723265899112e-03,9.355138701543288398e-05
1.789910980835380983e+01,1.337795458047149888e-01,-1.488526375627358955e-01,2.049703103837175605e-02,2.475953073043515656e-05
4.555825375221708384e+01,1.109011953854907445e-01,-2.313762033916981833e-02,1.676645685486892814e-02,2.453000344561749460e-04
8.861703680086588975e+01,6.667455657494894550e-02,-1.548120810661243463e-01,2.564055835819088053e-02,4.890856625153012160e-05
5.250703030750103295e+01,8.879374412317211918e-02,9.001090971649734762e-02,2.052522531377469830e-02,1.247553671371039153e-04
9.213597402767970834e+01,1.089240532083175506e-01,-6.822988915549021982e-02,2.039703219855345390e-02,3.207878012991189666e-04
7.893254059649851229e+01,1.001801263292381866e-01,1.600469324934264415e-01,2.499199048310237967e-02,7.147099199254769442e-05
9.237915641005892553e+01,1.034714023631040924e-01,-5.771935537980935060e-02,2.618337697871071096e-02,3.703128489182032856e-04
2.146627081440157170e+01,1.494111211128722472e-01,1.985051807685911385e-01,4.234497093401301711e-03,1.962371419919378525e-05
1.662066147975688324e+01,1.044897250434862895e-01,3.779482929594913006e-03,2.046988173787521459e-02,1.026974116844395457e-04
1.632936282122962623e+01,1.483185431205621130e-01,1.907013472535576126e-01,2.240500810144534574e-02,1.578910849430516464e-05
8.819688649125873781e+01,6.526166433703958769e-02,-2.977029445700578661e-02,7.168619074502512872e-03,6.399828614448989069e-04
6.706629814126989686e+01,1.398045346896097663e-01,-7.586145890472435760e-02,2.477342738128055291e-02,2.040494525953080848e-04
5.469145244189677157e+01,9.747696665007732353e-02,1.157137948559062157e-01,1.455069897821808025e-02,9.302510202023125008e-05
2.471890745768322617e+01,1.373090612257444332e-01,-5.135800113212796170e-02,5.014789980567865152e-03,9.297119574039463814e-05
7.063600939545463575e+01,1.427861129345850411e-01,-6.599367781418195855e-02,1.752175805388114793e-02,2.327113342196551814e-04
3.862156490612182580e+01,1.086498614337727125e-01,1.544745794505908987e-01,2.360162710189013871e-02,4.136953200293756966e-05
