t,S,ES,P,dS_dt
4.800960192038408181e-01,9.807987304419152963e+01,6.206133860485103515e-01,1.299513569759934706e+00,-3.100405707054270543e+00
4.900980196039207981e-01,9.804886709731543704e+01,6.205831830793026027e-01,1.330549719605226722e+00,-3.099555722595089602e+00
5.001000200040007782e-01,9.801786929526012671e+01,6.205465105501242196e-01,1.361584194189725538e+00,-3.098775742702705394e+00
5.101020204040808137e-01,9.798687898761428983e+01,6.205043195641506415e-01,1.392616692821541546e+00,-3.098055411954840910e+00
5.201040208041608492e-01,9.795589562204743572e+01,6.204574180959360197e-01,1.423646959856604832e+00,-3.097385935615752484e+00
5.301060212042408848e-01,9.792491873218448006e+01,6.204064886590525685e-01,1.454674779156448272e+00,-3.096759886273630080e+00
5.401080216043209203e-01,9.789394791307864807e+01,6.203521241301139799e-01,1.485699962791216633e+00,-3.096170814441642882e+00
5.501100220044009559e-01,9.786298282266275805e+01,6.202948255963608437e-01,1.516722351740862118e+00,-3.095613270437589826e+00
5.601120224044808804e-01,9.783202317278289684e+01,6.202350154294212770e-01,1.547741811787652244e+00,-3.095082661642618582e+00
5.701140228045609160e-01,9.780106871200823093e+01,6.201730624035957096e-01,1.578758225588153596e+00,-3.094574979850164276e+00
5.801160232046409515e-01,9.777011922677955624e+01,6.201092799990554072e-01,1.609771493221364480e+00,-3.094086818764893554e+00
5.901180236047209871e-01,9.773917454005113825e+01,6.200439283632888099e-01,1.640781531585554287e+00,-3.093615351961980675e+00
6.001200240048010226e-01,9.770823449700205288e+01,6.199772351975882945e-01,1.671788267800337291e+00,-3.093158106553722142e+00
6.101220244048810581e-01,9.767729896337660023e+01,6.199093981789701724e-01,1.702791638444412836e+00,-3.092712936545277014e+00
6.201240248049609827e-01,9.764636782906802637e+01,6.198405796993463612e-01,1.733791591232598961e+00,-3.092278079136943525e+00
6.301260252050410182e-01,9.761544100061965423e+01,6.197709178277218678e-01,1.764788081552601584e+00,-3.091852035923056352e+00
6.401280256051210538e-01,9.758451839538361128e+01,6.197005348517889978e-01,1.795781069764577520e+00,-3.091433480399225608e+00
6.501300260052010893e-01,9.755359994208848207e+01,6.196295364438708653e-01,1.826770521467621533e+00,-3.091021266710266335e+00
6.601320264052811249e-01,9.752268558380961849e+01,6.195580073016414557e-01,1.857756408888721955e+00,-3.090614476378359843e+00
6.701340268053610494e-01,9.749177527183107372e+01,6.194860201284507761e-01,1.888738708040449188e+00,-3.090212321214262481e+00
6.801360272054410849e-01,9.746086896266395172e+01,6.194136399951516436e-01,1.919717397340876763e+00,-3.089814096145826028e+00
6.901380276055211205e-01,9.742996661820799886e+01,6.193409241025364942e-01,1.950692457689443993e+00,-3.089419181658241254e+00
7.001400280056011560e-01,9.739906820831782852e+01,6.192679180168679798e-01,1.981663873665294506e+00,-3.089027084200125728e+00
7.101420284056811916e-01,9.736817370861759002e+01,6.191946588670008689e-01,2.012631632515396340e+00,-3.088637401593723020e+00
7.201440288057612271e-01,9.733728309707119308e+01,6.191211803653715595e-01,2.043595722563422701e+00,-3.088249768880043433e+00
7.301460292058411516e-01,9.730639635387454689e+01,6.190475129654517961e-01,2.074556133159987326e+00,-3.087863856572348631e+00
7.401480296059211872e-01,9.727551346183136616e+01,6.189736833103145486e-01,2.105512854858311300e+00,-3.087479376535637421e+00
7.501500300060012227e-01,9.724463440853527629e+01,6.188997110312891570e-01,2.136465880433424225e+00,-3.087096116343654550e+00
7.601520304060812583e-01,9.721375918390189952e+01,6.188256123632231986e-01,2.167415203734867291e+00,-3.086713900316066628e+00
7.701540308061612938e-01,9.718288777860445293e+01,6.187514024357738673e-01,2.198360818959766316e+00,-3.086332564847678483e+00
7.801560312062413294e-01,9.715202018406584727e+01,6.186770952849388605e-01,2.229302720649199987e+00,-3.085951958267485473e+00
7.901580316063212539e-01,9.712115639249533672e+01,6.186027037993514499e-01,2.260240903705307502e+00,-3.085571941398454143e+00
8.001600320064012895e-01,9.709029639827907943e+01,6.185282376799392523e-01,2.291175364040975548e+00,-3.085192409442917949e+00
8.101620324064813250e-01,9.705944019804016420e+01,6.184537033506319892e-01,2.322106098609191704e+00,-3.084813292891670500e+00
8.201640328065613605e-01,9.702858778862116651e+01,6.183791069159914056e-01,2.353033104462833425e+00,-3.084434525741382771e+00
8.301660332066413961e-01,9.699773916695441756e+01,6.183044543512801194e-01,2.383956378694296330e+00,-3.084056043451007589e+00
8.401680336067214316e-01,9.696689433006203274e+01,6.182297515024617329e-01,2.414875918435495539e+00,-3.083677782939770573e+00
8.501700340068013562e-01,9.693605327506274705e+01,6.181550040761891740e-01,2.445791720861048901e+00,-3.083299682692476118e+00
8.601720344068813917e-01,9.690521600008514724e+01,6.180802162998071392e-01,2.476703783615042287e+00,-3.082921697117492421e+00
8.701740348069614273e-01,9.687438250495458192e+01,6.180053899121774608e-01,2.507612105133231850e+00,-3.082543807335693220e+00
8.801760352070414628e-01,9.684355278951025525e+01,6.179305266329296886e-01,2.538516683856811618e+00,-3.082165994695496014e+00
8.901780356071214984e-01,9.681272685341855322e+01,6.178556284363475593e-01,2.569417518145097112e+00,-3.081788237839969913e+00
9.001800360072015339e-01,9.678190469617310043e+01,6.177806975513683296e-01,2.600314606275522689e+00,-3.081410512710755167e+00
9.101820364072814584e-01,9.675108631709476015e+01,6.177057364615832213e-01,2.631207946443642864e+00,-3.081032792551970712e+00
9.201840368073614940e-01,9.672027171534125500e+01,6.176307478911098325e-01,2.662097536767622508e+00,-3.080655048065257695e+00
9.301860372074415295e-01,9.668946089081032369e+01,6.175557334790879871e-01,2.692983375710570115e+00,-3.080277261589748239e+00
9.401880376075215651e-01,9.665865384472090227e+01,6.174806929250175047e-01,2.723865462354064793e+00,-3.079899436223306530e+00
9.501900380076016006e-01,9.662785057815794687e+01,6.174056261253975109e-01,2.754743795716641408e+00,-3.079521572954501796e+00
9.601920384076816362e-01,9.659705109193367889e+01,6.173305333778865700e-01,2.785618374688422882e+00,-3.079143668484043417e+00
9.701940388077615607e-01,9.656625538658757080e+01,6.172554153813031297e-01,2.816489198031119301e+00,-3.078765715230943112e+00
9.801960392078415962e-01,9.653546346238633191e+01,6.171802732356255206e-01,2.847356264378029245e+00,-3.078387701338674010e+00
9.901980396079216318e-01,9.650467531932395104e+01,6.171051084419917343e-01,2.878219572234038903e+00,-3.078009610681342600e+00
1.000200040008001556e+00,9.647389095722061825e+01,6.170299227575332113e-01,2.909079120021841547e+00,-3.077631424419276840e+00
1.010202040408081592e+00,9.644311037710262724e+01,6.169547161685878800e-01,2.939934906728782771e+00,-3.077253142629560845e+00
1.020204040808161627e+00,9.641233358074292425e+01,6.168794875637589881e-01,2.970786931693310429e+00,-3.076874777099044778e+00
1.030206041208241663e+00,9.638156056961410911e+01,6.168042362733173745e-01,3.001635194112568961e+00,-3.076496334890962636e+00
1.040208041608321698e+00,9.635079134487639863e+01,6.167289620870481937e-01,3.032479693036547630e+00,-3.076117818161455020e+00
1.050210042008401734e+00,9.632002590737766923e+01,6.166536652542501384e-01,3.063320427368079635e+00,-3.075739224166639918e+00
1.060212042408481770e+00,9.628926425765341435e+01,6.165783464837361061e-01,3.094157395862841664e+00,-3.075360545269660406e+00
1.070214042808561805e+00,9.625850639592680125e+01,6.165030069438327542e-01,3.124990597129355230e+00,-3.074981768947744332e+00
1.080216043208641841e+00,9.622775232214527819e+01,6.164276482085979669e-01,3.155820029646125846e+00,-3.074602878371983650e+00
1.090218043608721876e+00,9.619700203724902110e+01,6.163522703938961733e-01,3.186645692357084503e+00,-3.074223872256537593e+00
1.100220044008801912e+00,9.616625554322891389e+01,6.162768720699632885e-01,3.217467584701121819e+00,-3.073844765766740039e+00
1.110222044408881725e+00,9.613551284177863465e+01,6.162014522440536490e-01,3.248285705977317583e+00,-3.073465569400724018e+00
1.120224044808961761e+00,9.610477393426555182e+01,6.161260104037187268e-01,3.279100055330735675e+00,-3.073086288535803678e+00
1.130226045209041796e+00,9.607403882173078102e+01,6.160505465168075734e-01,3.309910631752417842e+00,-3.072706923435847060e+00
1.140228045609121832e+00,9.604330750488914248e+01,6.159750610314665975e-01,3.340717434079388592e+00,-3.072327469258647525e+00
1.150230046009201867e+00,9.601257998412920358e+01,6.158995548761397876e-01,3.371520460994652968e+00,-3.071947916063285877e+00
1.160232046409281903e+00,9.598185625951323630e+01,6.158240294595681563e-01,3.402319711027196991e+00,-3.071568248817504010e+00
1.170234046809361939e+00,9.595113633135504472e+01,6.157484858213850831e-01,3.433115182823571754e+00,-3.071188456426803270e+00
1.180236047209441974e+00,9.592042020160072013e+01,6.156729225998591737e-01,3.463906875799416252e+00,-3.070808553307604161e+00
1.190238047609522010e+00,9.588970787212917912e+01,6.155973385312399904e-01,3.494694789339583885e+00,-3.070428552819596479e+00
1.200240048009602045e+00,9.585899934448646320e+01,6.155217328420542477e-01,3.525478922671474002e+00,-3.070048463104226855e+00
1.210242048409682081e+00,9.582829461988906417e+01,6.154461052444011315e-01,3.556259274866528486e+00,-3.069668287142132801e+00
1.220244048809762116e+00,9.579759369922381040e+01,6.153704559359525206e-01,3.587035844840231302e+00,-3.069288022760579882e+00
1.230246049209841930e+00,9.576689658304793795e+01,6.152947855999530979e-01,3.617808631352108506e+00,-3.068907662640904643e+00
1.240248049609921965e+00,9.573620327158904786e+01,6.152190954052201288e-01,3.648577633005729126e+00,-3.068527194325955776e+00
1.250250050010002001e+00,9.570551376483135186e+01,6.151433868793818593e-01,3.679342848289263834e+00,-3.068146601570788334e+00
1.260252050410082036e+00,9.567482806404495932e+01,6.150676596579398581e-01,3.710104276297098380e+00,-3.067765888193764390e+00
1.270254050810162072e+00,9.564414617129681062e+01,6.149919122018674411e-01,3.740861916501310169e+00,-3.067385070447739892e+00
1.280256051210242108e+00,9.561346808830438704e+01,6.149161434869483411e-01,3.771615768208664843e+00,-3.067004159116237361e+00
1.290258051610322143e+00,9.558279381645553485e+01,6.148403529748556195e-01,3.802365830569609972e+00,-3.066623159827460920e+00
1.300260052010402179e+00,9.555212335680856484e+01,6.147645406131517776e-01,3.833112102578276392e+00,-3.066242073061741902e+00
1.310262052410482214e+00,9.552145671009222383e+01,6.146887068352890893e-01,3.863854583072479532e+00,-3.065860894158969785e+00
1.320264052810562250e+00,9.549079387670566632e+01,6.146128525606091575e-01,3.894593270733715862e+00,-3.065479613326035135e+00
1.330266053210642285e+00,9.546013485671848287e+01,6.145369791943429139e-01,3.925328164087166005e+00,-3.065098215644267654e+00
1.340268053610722099e+00,9.542947965048506376e+01,6.144610877230445301e-01,3.956059261791893711e+00,-3.064716690637342644e+00
1.350270054010802134e+00,9.539882825999930560e+01,6.143851767173822420e-01,3.986786563283315044e+00,-3.064335053367461370e+00
1.360272054410882170e+00,9.536818068715061258e+01,6.143092449011351430e-01,4.017510067948247610e+00,-3.063953317262074982e+00
1.370274054810962205e+00,9.533753693349684966e+01,6.142332914872727923e-01,4.048229775015879994e+00,-3.063571490567292166e+00
1.380276055211042241e+00,9.530689700026722733e+01,6.141573161736104680e-01,4.078945683559159541e+00,-3.063189576401228020e+00
1.390278055611122277e+00,9.527626088836240115e+01,6.140813191428090567e-01,4.109657792494791906e+00,-3.062807572761430563e+00
1.400280056011202312e+00,9.524562859835438644e+01,6.140053010623754970e-01,4.140366100583241504e+00,-3.062425472532284587e+00
1.410282056411282348e+00,9.521500013048660094e+01,6.139292630846620025e-01,4.171070606428731509e+00,-3.062043263492435052e+00
1.420284056811362383e+00,9.518437548475085919e+01,6.138532067334976361e-01,4.201771308515638736e+00,-3.061660929517624918e+00
1.430286057211442419e+00,9.515375466239208890e+01,6.137771316859297333e-01,4.232468205921981586e+00,-3.061278473970311609e+00
1.440288057611522454e+00,9.512313766548474803e+01,6.137010363944050972e-01,4.263161298120846432e+00,-3.060895913114503486e+00
1.450290058011602490e+00,9.509252449575596700e+01,6.136249198237762048e-01,4.293850584420254357e+00,-3.060513257796947606e+00
1.460292058411682303e+00,9.506191515460548658e+01,6.135487814223400393e-01,4.324536063972173494e+00,-3.060130513760001225e+00
1.470294058811762339e+00,9.503130964310564366e+01,6.134726211218377578e-01,4.355217735772524357e+00,-3.059747681649027218e+00
1.480296059211842374e+00,9.500070796200137124e+01,6.133964393374550239e-01,4.385895598661174510e+00,-3.059364757019776615e+00
1.490298059611922410e+00,9.497011011171024109e+01,6.133202369678213417e-01,4.416569651321942125e+00,-3.058981730345781802e+00
1.500300060012002445e+00,9.493951609232239264e+01,6.132440153950110551e-01,4.447239892282595974e+00,-3.058598587025723070e+00
1.510302060412082481e+00,9.490892590415663221e+01,6.131677756645876887e-01,4.477906320178780319e+00,-3.058215316014386786e+00
1.520304060812162517e+00,9.487833954917857682e+01,6.130915163917264321e-01,4.508568934429697528e+00,-3.057831931832631245e+00
1.530306061212242552e+00,9.484775702928914143e+01,6.130152362861150950e-01,4.539227734424738259e+00,-3.057448447991027329e+00
1.540308061612322588e+00,9.481717834605822759e+01,6.129389345466382810e-01,4.569882719395137904e+00,-3.057064872844033054e+00
1.550310062012402623e+00,9.478660350072956930e+01,6.128626108541291861e-01,4.600533888416305395e+00,-3.056681209673600907e+00
1.560312062412482659e+00,9.475603249422080410e+01,6.127862653713698204e-01,4.631181240407821420e+00,-3.056297456696537296e+00
1.570314062812562694e+00,9.472546532712347300e+01,6.127098987430906751e-01,4.661824774133436655e+00,-3.055913607071859772e+00
1.580316063212642508e+00,9.469490199970294952e+01,6.126335120959711666e-01,4.692464488201074424e+00,-3.055529648908141827e+00
1.590318063612722543e+00,9.466434251195727256e+01,6.125571069519838430e-01,4.723100381090739042e+00,-3.055145566180118788e+00
1.600320064012802579e+00,9.463378686505579651e+01,6.124806831042307609e-01,4.753732451839970174e+00,-3.054761361016393728e+00
1.610322064412882614e+00,9.460323506107739888e+01,6.124042390011291692e-01,4.784360699921459847e+00,-3.054377049644205755e+00
1.620324064812962650e+00,9.457268710176180093e+01,6.123277735922127984e-01,4.814985124645972725e+00,-3.053992643018489161e+00
1.630326065213042686e+00,9.454214298852387799e+01,6.122512863074425216e-01,4.845605725168677047e+00,-3.053608147046355192e+00
1.640328065613122721e+00,9.451160272245364524e+01,6.121747770572072422e-01,4.876222500489141076e+00,-3.053223562594417295e+00
1.650330066013202757e+00,9.448106630431632880e+01,6.120982462323230067e-01,4.906835449451338427e+00,-3.052838885496124810e+00
1.660332066413282792e+00,9.445053373455230883e+01,6.120216947040335587e-01,4.937444570743644512e+00,-3.052454106559078006e+00
1.670334066813362828e+00,9.442000501327714801e+01,6.119451238240102287e-01,4.968049862898837432e+00,-3.052069211572349783e+00
1.680336067213442863e+00,9.438948014075899096e+01,6.118685347191745727e-01,4.998651324521826922e+00,-3.051684188693641442e+00
1.690338067613522677e+00,9.435895911891348931e+01,6.117919260813611260e-01,5.029248955005135358e+00,-3.051299051570738108e+00
1.700340068013602712e+00,9.432844194965815632e+01,6.117152965985792612e-01,5.059842753743250654e+00,-3.050913813875535840e+00
1.710342068413682748e+00,9.429792863457865337e+01,6.116386454499694869e-01,5.090432719971363262e+00,-3.050528484128738338e+00
1.720344068813762783e+00,9.426741917493711753e+01,6.115619722935715652e-01,5.121018852769300800e+00,-3.050143065835201561e+00
1.730346069213842819e+00,9.423691357167213312e+01,6.114852772663239566e-01,5.151601151061528938e+00,-3.049757557491235005e+00
1.740348069613922855e+00,9.420641182539877434e+01,6.114085609840641533e-01,5.182179613617151404e+00,-3.049371952591894974e+00
1.750350070014002890e+00,9.417591393640854847e+01,6.113318245415289010e-01,5.212754239049907312e+00,-3.048986239638262319e+00
1.760352070414082926e+00,9.414541990470857513e+01,6.112550694545639818e-01,5.243325025836846009e+00,-3.048600402748120608e+00
1.770354070814162961e+00,9.411492973136630269e+01,6.111782956715797743e-01,5.273891972962099217e+00,-3.048214442418355485e+00
1.780356071214242997e+00,9.408444341846394821e+01,6.111015016385520360e-01,5.304455079897490322e+00,-3.047828374822772801e+00
1.790358071614323032e+00,9.405396096775761805e+01,6.110246862838705217e-01,5.335014345958492221e+00,-3.047442211083941199e+00
1.800360072014403068e+00,9.402348238068123010e+01,6.109478490132929096e-01,5.365569770305454789e+00,-3.047055957333185905e+00
1.810362072414482881e+00,9.399300765834644267e+01,6.108709897099449115e-01,5.396121351943600430e+00,-3.046669614717846919e+00
1.820364072814562917e+00,9.396253680154264032e+01,6.107941087343201625e-01,5.426669089723025863e+00,-3.046283179408544761e+00
1.830366073214642952e+00,9.393206981073700490e+01,6.107172069242806645e-01,5.457212982338700336e+00,-3.045896642606435556e+00
1.840368073614722988e+00,9.390160668607445871e+01,6.106402855950561204e-01,5.487753028330468297e+00,-3.045509990550476331e+00
1.850370074014803023e+00,9.387114742776711296e+01,6.105633459631920612e-01,5.518289226269684100e+00,-3.045123210523361656e+00
1.860372074414883059e+00,9.384069203765810130e+01,6.104863868307069952e-01,5.548821575511174942e+00,-3.044736314958804257e+00
1.870374074814963095e+00,9.381024051768675065e+01,6.104094068560685926e-01,5.579350075457161218e+00,-3.044349317769976082e+00
1.880376075215043130e+00,9.377979286945837600e+01,6.103324051928395999e-01,5.609874725348771740e+00,-3.043962227702714074e+00
1.890378075615123166e+00,9.374934909425732599e+01,6.102553814704190227e-01,5.640395524272242334e+00,-3.043575048543364581e+00
1.900380076015203201e+00,9.371890919304702550e+01,6.101783357940421260e-01,5.670912471158922052e+00,-3.043187779126021120e+00
1.910382076415283237e+00,9.368847316646993306e+01,6.101012687447806560e-01,5.701425564785272293e+00,-3.042800413339748822e+00
1.920384076815363272e+00,9.365804101484758348e+01,6.100241813795426182e-01,5.731934803772863241e+00,-3.042412940135813759e+00
1.930386077215443086e+00,9.362761273820179042e+01,6.099470751996288742e-01,5.762440186598568381e+00,-3.042025343861580744e+00
1.940388077615523121e+00,9.359718833747446354e+01,6.098699503442296388e-01,5.792941712181289837e+00,-3.041637623029710635e+00
1.950390078015603157e+00,9.356676781474722304e+01,6.097928052626351292e-01,5.823439379990137610e+00,-3.041249793700852244e+00
1.960392078415683192e+00,9.353635117179641156e+01,6.097156388563177432e-01,5.853933189347266364e+00,-3.040861867223250137e+00
1.970394078815763228e+00,9.350593841007875540e+01,6.096384505010544741e-01,5.884423139420182913e+00,-3.040473850010076973e+00
1.980396079215843264e+00,9.347552953073132187e+01,6.095612400469270220e-01,5.914909229221742670e+00,-3.040085743546631747e+00
1.990398079615923299e+00,9.344512453457151935e+01,6.094840078183213494e-01,5.945391457610152308e+00,-3.039697544397550910e+00
2.000400080016003113e+00,9.341472342209709723e+01,6.094067546139282365e-01,5.975869823288965321e+00,-3.039309244213991956e+00
2.010402080416083148e+00,9.338432619348616015e+01,6.093294817067428371e-01,6.006344324807088242e+00,-3.038920829740840102e+00
2.020404080816163184e+00,9.335393284889576648e+01,6.092521904016251488e-01,6.036814960702590049e+00,-3.038532287408354016e+00
2.030406081216243219e+00,9.332354339006943178e+01,6.091748796513728470e-01,6.067281730279177054e+00,-3.038143628027048848e+00
2.040408081616323255e+00,9.329315781897285831e+01,6.090975480779500240e-01,6.097744632949175347e+00,-3.037754865820776029e+00
2.050410082016403290e+00,9.326277613723475213e+01,6.090201948036328972e-01,6.128203667961607870e+00,-3.037366009817210610e+00
2.060412082416483326e+00,9.323239834616542510e+01,6.089428194234708380e-01,6.158658834411088634e+00,-3.036977064140460314e+00
2.070414082816563361e+00,9.320202444675688014e+01,6.088654220052860389e-01,6.189110131237818280e+00,-3.036588028018240681e+00
2.080416083216643397e+00,9.317165443968272598e+01,6.087880030896741790e-01,6.219557557227589406e+00,-3.036198895789036456e+00
2.090418083616723433e+00,9.314128832529820556e+01,6.087105636900036476e-01,6.250001111011781241e+00,-3.035809656909274956e+00
2.100420084016803468e+00,9.311092610364801203e+01,6.086331052808420239e-01,6.280440791071126405e+00,-3.035420296080128644e+00
2.110422084416883504e+00,9.308056777552749850e+01,6.085556282239058534e-01,6.310876596248580661e+00,-3.035030809521445772e+00
2.120424084816963539e+00,9.305021334300931812e+01,6.084781309841384989e-01,6.341308526006526947e+00,-3.034641213053827613e+00
2.130426085217043575e+00,9.301986280789378725e+01,6.084006124304519592e-01,6.371736579675751244e+00,-3.034251518307006457e+00
2.140428085617123610e+00,9.298951617166412120e+01,6.083230719030001676e-01,6.402160756432868638e+00,-3.033861732031369662e+00
2.150430086017203646e+00,9.295917343548647693e+01,6.082455092131795471e-01,6.432581055300323314e+00,-3.033471856105093956e+00
2.160432086417283681e+00,9.292883460020996722e+01,6.081679246436282327e-01,6.462997475146390336e+00,-3.033081887541299704e+00
2.170434086817363717e+00,9.289849966636658962e+01,6.080903189482266269e-01,6.493410014685174758e+00,-3.032691818495173663e+00
2.180436087217443752e+00,9.286816863417128332e+01,6.080126933520969557e-01,6.523818672476608960e+00,-3.032301636271109935e+00
2.190438087617523788e+00,9.283784150373350030e+01,6.079350492376444093e-01,6.554223447028834748e+00,-3.031911326566820275e+00
2.200440088017603824e+00,9.280751827666576048e+01,6.078573857554223636e-01,6.584624337578804720e+00,-3.031520898100890538e+00
2.210442088417683859e+00,9.277719895496312574e+01,6.077797014862804659e-01,6.615021343550568922e+00,-3.031130365451958131e+00
2.220444088817763451e+00,9.274688354028135961e+01,6.077019955156287567e-01,6.645414464202985982e+00,-3.030739737984046833e+00
2.230446089217843486e+00,9.271657203396040359e+01,6.076242673985891019e-01,6.675803698640989658e+00,-3.030349020213081168e+00
2.240448089617923522e+00,9.268626443702440554e+01,6.075465171599953029e-01,6.706189045815579952e+00,-3.029958211813994495e+00
2.250450090018003557e+00,9.265596075018176236e+01,6.074687452943927646e-01,6.736570504523829328e+00,-3.029567307627841988e+00
2.260452090418083593e+00,9.262566097382506314e+01,6.073909527660387164e-01,6.766948073408881825e+00,-3.029176297668898510e+00
2.270454090818163628e+00,9.259536510803191334e+01,6.073131410077332593e-01,6.797321750960330533e+00,-3.028785167143785095e+00
2.280456091218243664e+00,9.256507315343488074e+01,6.072353106284238411e-01,6.827691535936676992e+00,-3.028393909748183788e+00
