t,omega,theta,domega_dt,domega_dt_noisy
1.360272054410882267e-02,2.653774882579468253e-01,1.815130498867023948e-03,1.917960375887779989e+01,1.912111240868478390e+01
1.440288057611522309e-02,2.807088584105469353e-01,2.033610776154467017e-03,1.914116488980435804e+01,1.898478319733299102e+01
1.520304060812162350e-02,2.960094928647465373e-01,2.264346303709317224e-03,1.910277986874431377e+01,1.905134142062053826e+01
1.600320064012802565e-02,3.112794347186669253e-01,2.507312506116763772e-03,1.906444872714713057e+01,1.906607716325079949e+01
1.680336067213442780e-02,3.265187270942197517e-01,2.762484842299978843e-03,1.902617149586204803e+01,1.897105091480217354e+01
1.760352070414082648e-02,3.417274131371065282e-01,3.029838805520116730e-03,1.898794820513921877e+01,1.924676096801886160e+01
1.840368073614722863e-02,3.569055360168194024e-01,3.309349923376316872e-03,1.894977888463082039e+01,1.915112374769197956e+01
1.920384076815363078e-02,3.720531389266403810e-01,3.600993757805699517e-03,1.891166356339219234e+01,1.836943106759899891e+01
2.000400080016003293e-02,3.871702650836418291e-01,3.904745905083369627e-03,1.887360226988297285e+01,1.849579962068943928e+01
2.080416083216643508e-02,4.022569577286861930e-01,4.220581995822411669e-03,1.883559503196820728e+01,1.880064061355717442e+01
2.160432086417283376e-02,4.173132601264262220e-01,4.548477694973896562e-03,1.879764187691947441e+01,1.871320379460420469e+01
2.240448089617923591e-02,4.323392155653049684e-01,4.888408701826879067e-03,1.875974283141604104e+01,1.880247143091576234e+01
2.320464092818563806e-02,4.473348673575553436e-01,5.240350750008391720e-03,1.872189792154594201e+01,1.876536230775045411e+01
2.400480096019203674e-02,4.623002588392007839e-01,5.604279607483451768e-03,1.868410717280713129e+01,1.910767492381734201e+01
2.480496099219843889e-02,4.772354333679428851e-01,5.980171076593378612e-03,1.864637061011393016e+01,1.842396645757547446e+01
2.560512102420484104e-02,4.921404342964528222e-01,6.368000995708294858e-03,1.860868825786572245e+01,1.853316725644032203e+01
2.640528105621124319e-02,5.070153050105754566e-01,6.767745239913684763e-03,1.857106013985161752e+01,1.897961446135008501e+01
2.720544108821764534e-02,5.218600889202509308e-01,7.179379719029512635e-03,1.853348627927446657e+01,1.866282687851483502e+01
2.800560112022404402e-02,5.366748294512453388e-01,7.602880377467723105e-03,1.849596669877293920e+01,1.862857937324818991e+01
2.880576115223044617e-02,5.514595700451515592e-01,8.038223194232243726e-03,1.845850142042269937e+01,1.835570014608520850e+01
2.960592118423684832e-02,5.662143541593885887e-01,8.485384182918978904e-03,1.842109046573756714e+01,1.809147543156643678e+01
3.040608121624324700e-02,5.809392252672014312e-01,8.944339391715811632e-03,1.838373385567070883e+01,1.841722680451525562e+01
3.120624124824964915e-02,5.956342268576620969e-01,9.415064903402608695e-03,1.834643161061579875e+01,1.836823442818010932e+01
3.200640128025605130e-02,6.102994024356681591e-01,9.897536835351213730e-03,1.830918375040819157e+01,1.806371333955927838e+01
3.280656131226244998e-02,6.249347955219440864e-01,1.039173133952545069e-02,1.827199029432609478e+01,1.813534496196998091e+01
3.360672134426885560e-02,6.395404496530404659e-01,1.089762460248112561e-02,1.823485126109174104e+01,1.822044252514629648e+01
3.440688137627525428e-02,6.541164083813340024e-01,1.141519284536601786e-02,1.819776666887253924e+01,1.800881634426038502e+01
3.520704140828165296e-02,6.686627152750280745e-01,1.194441232391989585e-02,1.816073653528226828e+01,1.814108254171182466e+01
3.600720144028805858e-02,6.831794139181522896e-01,1.248525932847450309e-02,1.812376087738221386e+01,1.814285748287610645e+01
3.680736147229445726e-02,6.976665479105622625e-01,1.303771018395355648e-02,1.808683971168235161e+01,1.809395695909345037e+01
3.760752150430086288e-02,7.121241608679405033e-01,1.360174124987276884e-02,1.804997305414250164e+01,1.794871472247963951e+01
3.840768153630726156e-02,7.265522964217951962e-01,1.417732892033981423e-02,1.801316092017349391e+01,1.813191053453065749e+01
3.920784156831366024e-02,7.409509982167716835e-01,1.476444962404138174e-02,1.797640332464519730e+01,1.815463671550166325e+01
4.000800160032006586e-02,7.553203098803843440e-01,1.536307982556052790e-02,1.793970028196502753e+01,1.800386994287833886e+01
4.080816163232646454e-02,7.696602750682537408e-01,1.597319602724460441e-02,1.790305180596370604e+01,1.773940576048564566e+01
4.160832166433287016e-02,7.839709374528076591e-01,1.659477476656152223e-02,1.786645790992522720e+01,1.801278836668231520e+01
4.240848169633926884e-02,7.982523407143302663e-01,1.722779261572069190e-02,1.782991860661090655e+01,1.772963060291749571e+01
4.320864172834566752e-02,8.125045285409627782e-01,1.787222618167307389e-02,1.779343390826058879e+01,1.796926603191818472e+01
4.400880176035207314e-02,8.267275446287035701e-01,1.852805210611115430e-02,1.775700382659384147e+01,1.754264634321835103e+01
4.480896179235847182e-02,8.409214326814073992e-01,1.919524706546892057e-02,1.772062837281120906e+01,1.790352181343696358e+01
4.560912182436487050e-02,8.550862364107860714e-01,1.987378777092191004e-02,1.768430755759535700e+01,1.768029486667225925e+01
4.640928185637127612e-02,8.692219995364086627e-01,2.056365096838719264e-02,1.764804139111232573e+01,1.739829161304544414e+01
4.720944188837767480e-02,8.833287657857002984e-01,2.126481343852332923e-02,1.761182988301270314e+01,1.754904998861933407e+01
4.800960192038407348e-02,8.974065788939435961e-01,2.197725199673043750e-02,1.757567304243284312e+01,1.758649349818715280e+01
4.880976195239047910e-02,9.114554826042781110e-01,2.270094349315016080e-02,1.753957087799605219e+01,1.759412914582894416e+01
4.960992198439687778e-02,9.254755206676994472e-01,2.343586481266565075e-02,1.750352339781377609e+01,1.730708577282558025e+01
5.041008201640328340e-02,9.394667368430611454e-01,2.418199287490160193e-02,1.746753060948684322e+01,1.724605600005380523e+01
5.121024204840968208e-02,9.534291748970727953e-01,2.493930463422422417e-02,1.743159252010659443e+01,1.747150942667601115e+01
5.201040208041608076e-02,9.673628786043012573e-01,2.570777707974124943e-02,1.739570913625613358e+01,1.730235921288017309e+01
5.281056211242248638e-02,9.812678917471702178e-01,2.648738723530196654e-02,1.735988046401147855e+01,1.740698158635752435e+01
5.361072214442888506e-02,9.951442581159599676e-01,2.727811215949713791e-02,1.732410650894276571e+01,1.747601041343844130e+01
5.441088217643529068e-02,1.008992021508808179e+00,2.807992894565911057e-02,1.728838727611544002e+01,1.695862980284525179e+01
5.521104220844168936e-02,1.022811225716548478e+00,2.889281472172122722e-02,1.725272277013058542e+01,1.730360039343410961e+01
5.601120224044808804e-02,1.036601914508499034e+00,2.971674665303496166e-02,1.721711299516291049e+01,1.746204238867005643e+01
5.681136227245449366e-02,1.050364131685215030e+00,3.055170194274611783e-02,1.718155795482582349e+01,1.712205258595172808e+01
5.761152230446089234e-02,1.064097921048721362e+00,3.139765782884809675e-02,1.714605765224939660e+01,1.698389473560188279e+01
5.841168233646729102e-02,1.077803326400936124e+00,3.225459158410753230e-02,1.711061209008568085e+01,1.726106085552159897e+01
5.921184236847369664e-02,1.091480391543669271e+00,3.312248051606429822e-02,1.707522127050994598e+01,1.712591057375157533e+01
6.001200240048009532e-02,1.105129160278622624e+00,3.400130196703148033e-02,1.703988519522188128e+01,1.721906180937739350e+01
6.081216243248649400e-02,1.118749676407390758e+00,3.489103331409540432e-02,1.700460386544686031e+01,1.693556072343660546e+01
6.161232246449289962e-02,1.132341983731460333e+00,3.579165196911563568e-02,1.696937728193713113e+01,1.667301362719268809e+01
6.241248249649929830e-02,1.145906126052210094e+00,3.670313537872494508e-02,1.693420544497308811e+01,1.691220329203083850e+01
6.321264252850569698e-02,1.159442147170911097e+00,3.762546102432934997e-02,1.689908835436442658e+01,1.680992272376218111e+01
6.401280256051210260e-02,1.172950090888726926e+00,3.855860642210810763e-02,1.686402600945143249e+01,1.701909077386094893e+01
6.481296259251850822e-02,1.186430001006713031e+00,3.950254912301368049e-02,1.682901840910615121e+01,1.686774497878158030e+01
6.561312262452489996e-02,1.199881921325816725e+00,4.045726671277176389e-02,1.679406555173363458e+01,1.646789570524661528e+01
6.641328265653130558e-02,1.213305895646878740e+00,4.142273681188130691e-02,1.675916743527314168e+01,1.652013481925250105e+01
6.721344268853771120e-02,1.226701967770631008e+00,4.239893707561447067e-02,1.672432405719934323e+01,1.690108186451679373e+01
6.801360272054410294e-02,1.240070181497697988e+00,4.338584519401662842e-02,1.668953541452355438e+01,1.682548841800712225e+01
6.881376275255050856e-02,1.253410580628596449e+00,4.438343889190642794e-02,1.665480150379493196e+01,1.652675283061323341e+01
6.961392278455691418e-02,1.266723208963735470e+00,4.539169592887571519e-02,1.662012232110166821e+01,1.661991256178821175e+01
7.041408281656330592e-02,1.280008110303415991e+00,4.641059409928954826e-02,1.658549786207222709e+01,1.667461257282746345e+01
7.121424284856971154e-02,1.293265328447831930e+00,4.744011123228628751e-02,1.655092812187651674e+01,1.664460898904597386e+01
7.201440288057611716e-02,1.306494907193024968e+00,4.848022519160657268e-02,1.651641309523766310e+01,1.669166153446053258e+01
7.281456291258252278e-02,1.319696890289592028e+00,4.953091387610445567e-02,1.648195277654104629e+01,1.653324990198535716e+01
7.361472294458891452e-02,1.332871321506910123e+00,5.059215522483485883e-02,1.644754715966803715e+01,1.642858149187433625e+01
7.441488297659532014e-02,1.346018244617921855e+00,5.166392721248883046e-02,1.641319623803680727e+01,1.636142662507923973e+01
7.521504300860172576e-02,1.359137703387625074e+00,5.274620784842541654e-02,1.637890000463361417e+01,1.659004856474026468e+01
7.601520304060811750e-02,1.372229741573073536e+00,5.383897517667172311e-02,1.634465845201402701e+01,1.589448759699831903e+01
7.681536307261452312e-02,1.385294402923377355e+00,5.494220727592296488e-02,1.631047157230416289e+01,1.628274050728589373e+01
7.761552310462092874e-02,1.398331731179702553e+00,5.605588225954234727e-02,1.627633935720194458e+01,1.628293937799875835e+01
7.841568313662732048e-02,1.411341770075270396e+00,5.717997827556113577e-02,1.624226179797831549e+01,1.595719200580427710e+01
7.921584316863372610e-02,1.424324563335359395e+00,5.831447350667870455e-02,1.620823888547848313e+01,1.627480160810609178e+01
8.001600320064013172e-02,1.437280154677302857e+00,5.945934617026241847e-02,1.617427061012313416e+01,1.604401440763445663e+01
8.081616323264652346e-02,1.450208587810490668e+00,6.061457451834770943e-02,1.614035696190969915e+01,1.631284592117284760e+01
8.161632326465292908e-02,1.463109906436368846e+00,6.178013683763811104e-02,1.610649793041353206e+01,1.608137951360666662e+01
8.241648329665933470e-02,1.475984154248438651e+00,6.295601144950514760e-02,1.607269350478917502e+01,1.620652415294706472e+01
8.321664332866574032e-02,1.488831374932257923e+00,6.414217670998842435e-02,1.603894367377154495e+01,1.628271239480578814e+01
8.401680336067213206e-02,1.501651612165439964e+00,6.533861100979559966e-02,1.600524842567718764e+01,1.608183434221988151e+01
8.481696339267853768e-02,1.514444909617654877e+00,6.654529277430239198e-02,1.597160774840546615e+01,1.579646351972089668e+01
8.561712342468494330e-02,1.527211310950627787e+00,6.776220046355256599e-02,1.593802162943979894e+01,1.563515790309887166e+01
8.641728345669133504e-02,1.539950859818139950e+00,6.898931257225791869e-02,1.590449005584885001e+01,1.625516687935212445e+01
8.721744348869774066e-02,1.552663599866029642e+00,7.022660762979834881e-02,1.587101301428775990e+01,1.584875457565025592e+01
8.801760352070414628e-02,1.565349574732189719e+00,7.147406420022177354e-02,1.583759049099934302e+01,1.569987750147247851e+01
8.881776355271053802e-02,1.578008828046569612e+00,7.273166088224415626e-02,1.580422247181530082e+01,1.583307388942746563e+01
8.961792358471694364e-02,1.590641403431174661e+00,7.399937630924954823e-02,1.577090894215741734e+01,1.573262667606088705e+01
9.041808361672334926e-02,1.603247344499323379e+00,7.527718914923564597e-02,1.573764988704072998e+01,1.590807833988326792e+01
9.121824364872974100e-02,1.615826694811067332e+00,7.656507810351793897e-02,1.570444529119243526e+01,1.571123092767985518e+01
9.201840368073614662e-02,1.628379497921753183e+00,7.786302191433068509e-02,1.567129513892511206e+01,1.567404505564879535e+01
9.281856371274255224e-02,1.640905797393978460e+00,7.917099936104451952e-02,1.563819941410627656e+01,1.549528346989968419e+01
9.361872374474894398e-02,1.653405636774855303e+00,8.048898925743810939e-02,1.560515810021959382e+01,1.569907171996909234e+01
9.441888377675534960e-02,1.665879059596010903e+00,8.181697045169816773e-02,1.557217118036611048e+01,1.536539783589511465e+01
9.521904380876175522e-02,1.678326109373586617e+00,8.315492182641937013e-02,1.553923863726551247e+01,1.567241652521830630e+01
9.601920384076814696e-02,1.690746829608238189e+00,8.450282229860439642e-02,1.550636045325732937e+01,1.581114795585535582e+01
9.681936387277455258e-02,1.703141263785136417e+00,8.586065081966398616e-02,1.547353661030217431e+01,1.516859940268234475e+01
9.761952390478095820e-02,1.715509455373966707e+00,8.722838637541682760e-02,1.544076708998296787e+01,1.494752124371270341e+01
9.841968393678736382e-02,1.727851447828928633e+00,8.860600798608965489e-02,1.540805187350617800e+01,1.553142762453704151e+01
9.921984396879375556e-02,1.740167284588736374e+00,8.999349470631715087e-02,1.537539094170301901e+01,1.588497050479964479e+01
1.000200040008001612e-01,1.752457009076619387e+00,9.139082562514212749e-02,1.534278427503068087e+01,1.514259930525630260e+01
1.008201640328065668e-01,1.764720664700321073e+00,9.279797986601527604e-02,1.531023185357355665e+01,1.506009270181315962e+01
1.016203240648129585e-01,1.776958294852099218e+00,9.421493658679533367e-02,1.527773365704444331e+01,1.539552744380053717e+01
1.024204840968193642e-01,1.789169942908727107e+00,9.564167497974911114e-02,1.524528966478574610e+01,1.507714534677408480e+01
1.032206441288257698e-01,1.801355652231491966e+00,9.707817427155134016e-02,1.521289985577072557e+01,1.511169475898337744e+01
1.040208041608321615e-01,1.813515466166195189e+00,9.852441372328477054e-02,1.518056420860465749e+01,1.511094071526790117e+01
1.048209641928385671e-01,1.825649428043154110e+00,9.998037263044025347e-02,1.514828270152606393e+01,1.525468311878442407e+01
1.056211242248449728e-01,1.837757581177199118e+00,1.014460303229165333e-01,1.511605531240791755e+01,1.503499484012929344e+01
1.064212842568513645e-01,1.849839968867676099e+00,1.029213661650203726e-01,1.508388201875883006e+01,1.513945858677486278e+01
1.072214442888577701e-01,1.861896634398445771e+00,1.044063595554666352e-01,1.505176279772425474e+01,1.501645614594553990e+01
1.080216043208641757e-01,1.873927621037882574e+00,1.059009899273781197e-01,1.501969762608767844e+01,1.485076340535735717e+01
1.088217643528705814e-01,1.885932972038875999e+00,1.074052367482856429e-01,1.498768648027182060e+01,1.492372122872317597e+01
1.096219243848769731e-01,1.897912730638829704e+00,1.089190795201279705e-01,1.495572933633981627e+01,1.476564940330623266e+01
1.104220844168833787e-01,1.909866940059179452e+00,1.104424977792024393e-01,1.492382616999770129e+01,1.492512916717165083e+01
1.112222444488897843e-01,1.921795643458373171e+00,1.119754710935887687e-01,1.489197695672115529e+01,1.466720371120802824e+01
1.120224044808961761e-01,1.933698883978398619e+00,1.135179790729479998e-01,1.486018167163269865e+01,1.464160279777365048e+01
1.128225645129025817e-01,1.945576704764863996e+00,1.150700013649950948e-01,1.482844028944915316e+01,1.511983265251020470e+01
1.136227245449089873e-01,1.957429148940816654e+00,1.166315176514243490e-01,1.479675278455274956e+01,1.478611594049168154e+01
1.144228845769153791e-01,1.969256259606744219e+00,1.182025076479095577e-01,1.476511913099230178e+01,1.475433872589789353e+01
1.152230446089217847e-01,1.981058079840574138e+00,1.197829511041040296e-01,1.473353930248446453e+01,1.483584658646798893e+01
1.160232046409281903e-01,1.992834652697673681e+00,1.213728278036404901e-01,1.470201327241490752e+01,1.461784187190513329e+01
1.168233646729345820e-01,2.004586021210850166e+00,1.229721175641310948e-01,1.467054101383954468e+01,1.462483394034391360e+01
1.176235247049409877e-01,2.016312228390350736e+00,1.245808002371675410e-01,1.463912249948573141e+01,1.472415224655211397e+01
1.184236847369473933e-01,2.028013317223862355e+00,1.261988557083209284e-01,1.460775770175347787e+01,1.466424087020235767e+01
1.192238447689537850e-01,2.039689330676512036e+00,1.278262638971418008e-01,1.457644659271661958e+01,1.434458724733013391e+01
1.200240048009601906e-01,2.051340311690867058e+00,1.294630047571602438e-01,1.454518914412405728e+01,1.471185766345798918e+01
1.208241648329665963e-01,2.062966303186933636e+00,1.311090582758857315e-01,1.451398532740091696e+01,1.439589833874310898e+01
1.216243248649729880e-01,2.074567348062159144e+00,1.327644044748071961e-01,1.448283511364975595e+01,1.427161932358691843e+01
1.224244848969793936e-01,2.086143489191429445e+00,1.344290234093930836e-01,1.445173847365175668e+01,1.427164345965194592e+01
1.232246449289857992e-01,2.097694769427072004e+00,1.361028951690912980e-01,1.442069537786789546e+01,1.434258630899683062e+01
1.240248049609922049e-01,2.109221231598852331e+00,1.377859998773291184e-01,1.438970579644015579e+01,1.471516584736476929e+01
1.248249649929985966e-01,2.120722918513977096e+00,1.394783176915133649e-01,1.435876969919267410e+01,1.412366251820851737e+01
1.256251250250050022e-01,2.132199872957093234e+00,1.411798288030303439e-01,1.432788705563294940e+01,1.435990223413981681e+01
1.264252850570113940e-01,2.143652137690286175e+00,1.428905134372457364e-01,1.429705783495300331e+01,1.386949296333488846e+01
1.272254450890178135e-01,2.155079755453082502e+00,1.446103518535047650e-01,1.426628200603054886e+01,1.426596861940150873e+01
1.280256051210242052e-01,2.166482768962447736e+00,1.463393243451319992e-01,1.423555953743018065e+01,1.441547282092538218e+01
1.288257651530305969e-01,2.177861220912787665e+00,1.480774112394316055e-01,1.420489039740452597e+01,1.415755773299223463e+01
1.296259251850370164e-01,2.189215153975949235e+00,1.498245928976871810e-01,1.417427455389541002e+01,1.404840356911874188e+01
1.304260852170434082e-01,2.200544610801217438e+00,1.515808497151616696e-01,1.414371197453503903e+01,1.419001418734674580e+01
1.312262452490497999e-01,2.211849634015317534e+00,1.533461621210975845e-01,1.411320262664712821e+01,1.425323297687725876e+01
1.320264052810562194e-01,2.223130266218928952e+00,1.551205105782705596e-01,1.408274647725750661e+01,1.421547799146098789e+01
1.328265653130626112e-01,2.234386549932295019e+00,1.569038755796340334e-01,1.405234349324221910e+01,1.444683826402817672e+01
1.336267253450690029e-01,2.245618527670546261e+00,1.586962376625794258e-01,1.402199364112542845e+01,1.406382713559268360e+01
1.344268853770754224e-01,2.256826241936785937e+00,1.604975774010760636e-01,1.399169688709917558e+01,1.387321486714858843e+01
1.352270454090818141e-01,2.268009735205104516e+00,1.623078754024676607e-01,1.396145319707037125e+01,1.393625735907304275e+01
1.360272054410882059e-01,2.279169049920581891e+00,1.641271123074728167e-01,1.393126253666200398e+01,1.391676282753804195e+01
1.368273654730946254e-01,2.290304228499287387e+00,1.659552687901847123e-01,1.390112487121430007e+01,1.392287234790992301e+01
1.376275255051010171e-01,2.301415313328277534e+00,1.677923255580710260e-01,1.387104016578589771e+01,1.386503460314001046e+01
1.384276855371074089e-01,2.312502346765598737e+00,1.696382633519742111e-01,1.384100838515502119e+01,1.387580157293426275e+01
1.392278455691138284e-01,2.323565371140286384e+00,1.714930629461113576e-01,1.381102949382065859e+01,1.347685948169763570e+01
1.400280056011202201e-01,2.334604428752363958e+00,1.733567051480740528e-01,1.378110345600370223e+01,1.394702924721171122e+01
1.408281656331266118e-01,2.345619561872843484e+00,1.752291707988286040e-01,1.375123023564814240e+01,1.363628238186393560e+01
1.416283256651330313e-01,2.356610812743726857e+00,1.771104407727160657e-01,1.372140979642220415e+01,1.348677805713279909e+01
1.424284856971394231e-01,2.367578223578003627e+00,1.790004959774518234e-01,1.369164210171950735e+01,1.381919233364779487e+01
1.432286457291458426e-01,2.378521836559653213e+00,1.808993173541262600e-01,1.366192711466023546e+01,1.392539231613745265e+01
1.440288057611522343e-01,2.389441693843641801e+00,1.828068858772040617e-01,1.363226479809226888e+01,1.373087042799215673e+01
1.448289657931586261e-01,2.400337837555926779e+00,1.847231825545247175e-01,1.360265511459234311e+01,1.363488697736144672e+01
1.456291258251650456e-01,2.411210309793453188e+00,1.866481884273024361e-01,1.357309802646719099e+01,1.338665396539280117e+01
1.464292858571714373e-01,2.422059152624154166e+00,1.885818845701258128e-01,1.354359349575469906e+01,1.411790696331739881e+01
1.472294458891778290e-01,2.432884408086952721e+00,1.905242520909582460e-01,1.351414148422501782e+01,1.369019320835731968e+01
1.480296059211842485e-01,2.443686118191760404e+00,1.924752721311378256e-01,1.348474195338172699e+01,1.325688301931313262e+01
1.488297659531906403e-01,2.454464324919476859e+00,1.944349258653770285e-01,1.345539486446295463e+01,1.329946728121500499e+01
1.496299259851970320e-01,2.465219070221990716e+00,1.964031945017631897e-01,1.342610017844253179e+01,1.344349602815691291e+01
1.504300860172034515e-01,2.475950396022180033e+00,1.983800592817582531e-01,1.339685785603109025e+01,1.308591162963189269e+01
1.512302460492098433e-01,2.486658344213910965e+00,2.003655014801986045e-01,1.336766785767719767e+01,1.340139393907930021e+01
1.520304060812162350e-01,2.497342956662039093e+00,2.023595024052955160e-01,1.333853014356850686e+01,1.324671583242595574e+01
1.528305661132226545e-01,2.508004275202408095e+00,2.043620433986347851e-01,1.330944467363283579e+01,1.355469879369607966e+01
1.536307261452290462e-01,2.518642341641849747e+00,2.063731058351767067e-01,1.328041140753933469e+01,1.347284234026498417e+01
1.544308861772354380e-01,2.529257197758186582e+00,2.083926711232564066e-01,1.325143030469953942e+01,1.270917321721258553e+01
1.552310462092418575e-01,2.539848885277631751e+00,2.104207207012965819e-01,1.322250132433027936e+01,1.323084184153574228e+01
1.560312062412482492e-01,2.550417445850197584e+00,2.124572360416756844e-01,1.319362442552208670e+01,1.287013092561734950e+01
1.568313662732546410e-01,2.560962921132225123e+00,2.145021986622992483e-01,1.316479956701494203e+01,1.338672716686464703e+01
1.576315263052610605e-01,2.571485352747577835e+00,2.165555901141405504e-01,1.313602670730530342e+01,1.316964788113086904e+01
1.584316863372674522e-01,2.581984782285410507e+00,2.186173919807647137e-01,1.310730580465331663e+01,1.321698689509071656e+01
1.592318463692738439e-01,2.592461251300170577e+00,2.206875858783291788e-01,1.307863681708397685e+01,1.286561187132331696e+01
1.600320064012802634e-01,2.602914801311597248e+00,2.227661534555834821e-01,1.305001970238820697e+01,1.341570574998730692e+01
1.608321664332866552e-01,2.613345473804720154e+00,2.248530763938689503e-01,1.302145441812402993e+01,1.342546909155411861e+01
1.616323264652930469e-01,2.623753310229863356e+00,2.269483364071192832e-01,1.299294092161764169e+01,1.277998671309239853e+01
1.624324864972994664e-01,2.634138352002640904e+00,2.290519152418602211e-01,1.296447916996455874e+01,1.303904219433782252e+01
1.632326465293058582e-01,2.644500640503959055e+00,2.311637946772093777e-01,1.293606912003072473e+01,1.280140863435268805e+01
1.640328065613122499e-01,2.654840217080016718e+00,2.332839565248766289e-01,1.290771072845360301e+01,1.290299674108145744e+01
1.648329665933186694e-01,2.665157123042303677e+00,2.354123826291640020e-01,1.287940395164331520e+01,1.262627655579840180e+01
1.656331266253250611e-01,2.675451399667601926e+00,2.375490548669653423e-01,1.285114874578372124e+01,1.322457784869984465e+01
1.664332866573314806e-01,2.685723088197986108e+00,2.396939551477668406e-01,1.282294506683353497e+01,1.262910916461700062e+01
1.672334466893378724e-01,2.695972229840821299e+00,2.418470654136464781e-01,1.279479287052741299e+01,1.273557610752791369e+01
1.680336067213442641e-01,2.706198865768765227e+00,2.440083676392746370e-01,1.276669211237706136e+01,1.286698869859916528e+01
1.688337667533506836e-01,2.716403037119768271e+00,2.461778438319136009e-01,1.273864274767232097e+01,1.260913061198909446e+01
1.696339267853570754e-01,2.726584784997071242e+00,2.483554760314176935e-01,1.271064473148225815e+01,1.266278224553579790e+01
1.704340868173634671e-01,2.736744150469207604e+00,2.505412463102333898e-01,1.268269801865626611e+01,1.256997004937087326e+01
1.712342468493698866e-01,2.746881174570003026e+00,2.527351367733993714e-01,1.265480256382512358e+01,1.262811041285786473e+01
1.720344068813762783e-01,2.756995898298574055e+00,2.549371295585460828e-01,1.262695832140211039e+01,1.239284979438204992e+01
1.728345669133826701e-01,2.767088362619329889e+00,2.571472068358962582e-01,1.259916524558405371e+01,1.251156763046359366e+01
1.736347269453890896e-01,2.777158608461971490e+00,2.593653508082647829e-01,1.257142329035242589e+01,1.253004470540997772e+01
1.744348869773954813e-01,2.787206676721491583e+00,2.615915437110584163e-01,1.254373240947441559e+01,1.247698720871358802e+01
1.752350470094018731e-01,2.797232608258174658e+00,2.638257678122760685e-01,1.251609255650398467e+01,1.252743054748274432e+01
1.760352070414082926e-01,2.807236443897597411e+00,2.660680054125089677e-01,1.248850368478295891e+01,1.242988324091161445e+01
1.768353670734146843e-01,2.817218224430627416e+00,2.683182388449399380e-01,1.246096574744207608e+01,1.261160802912995216e+01
1.776355271054210760e-01,2.827177990613426228e+00,2.705764504753442878e-01,1.243347869740204814e+01,1.236883951224488243e+01
1.784356871374274955e-01,2.837115783167445393e+00,2.728426227020893657e-01,1.240604248737463600e+01,1.237871256811545884e+01
1.792358471694338873e-01,2.847031642769952686e+00,2.751167379540394586e-01,1.237865706988986325e+01,1.224570080269069194e+01
1.800360072014402790e-01,2.856925610005656591e+00,2.773987786867108118e-01,1.235132239743081506e+01,1.224601942940776844e+01
1.808361672334466985e-01,2.866797725450751066e+00,2.796887274046121474e-01,1.232403842220266910e+01,1.207113986403872730e+01
1.816363272654530903e-01,2.876648029649818028e+00,2.819865666463823861e-01,1.229680509619743134e+01,1.240056208037302454e+01
1.824364872974594820e-01,2.886476563107888360e+00,2.842922789822970864e-01,1.226962237121697186e+01,1.204111876768647349e+01
1.832366473294659015e-01,2.896283366290440586e+00,2.866058470142685555e-01,1.224249019887405154e+01,1.209331891923638658e+01
1.840368073614722932e-01,2.906068479623400869e+00,2.889272533758452943e-01,1.221540853059341458e+01,1.228725746099565619e+01
1.848369673934786850e-01,2.915831943493143008e+00,2.912564807322127192e-01,1.218837731761282761e+01,1.226889199080173398e+01
