h2,S,t_gen,R,R_noisy
2.017860964482161568e-01,1.938995855577399618e+00,3.829574303440521632e+00,2.225864777896151281e-01,2.251513340618307435e-01
3.868177378844384617e-01,1.823832745929637733e+00,5.188246067002495465e+00,3.630479022212888540e-01,3.620996188316038533e-01
5.495090584178380366e-02,7.304396322323207791e-01,1.697834682533378725e+01,2.971899689754076146e-02,2.713051624966230507e-02
2.731205058375862915e-01,1.482431323442040316e+00,1.081498381114942831e+01,2.409490110543278940e-01,2.515064390596604138e-01
4.080104920946119318e-01,8.463300350661333571e-01,1.749649218678168339e+01,2.190103936438518029e-01,1.965018508930664320e-01
1.400330512012257778e-01,3.398259577021932376e+00,1.509303966514616668e+01,9.620326327005734868e-02,9.481671001914397656e-02
5.881859541310741069e-01,2.453272757653563119e+00,1.935407761661382153e+01,3.693324417376638302e-01,3.696624427775044297e-01
3.733606294035524686e-01,3.751344858259026083e+00,1.322753872254955887e+01,1.591868134820344782e-01,1.449333238733326035e-01
6.664998473648030552e-01,1.700381448347986657e+00,3.400887513526986705e+00,5.402894629529522152e-01,5.436175990843327144e-01
6.057861094081352649e-01,2.836666351426278876e+00,1.093877982756107592e+01,3.580487253255147384e-01,3.515359152010807953e-01
4.165427364607952598e-01,3.349285725514225209e+00,1.478567696584179103e+01,2.140733379324089858e-01,2.226977858955664635e-01
7.872224297958693162e-01,1.502213933884987140e-01,7.158088621634266957e+00,9.884841637335453624e-02,9.759249553301126145e-02
5.873148498751420421e-01,1.359130379806359201e+00,1.999554936893591872e+01,3.814276248094779498e-01,3.881191572173725013e-01
7.387331992903541922e-01,1.801296187837828855e+00,4.345255273852841604e+00,5.680544151357296290e-01,5.802428511874418993e-01
3.405255153490960307e-01,3.721553431695868497e+00,1.853260804124459682e+01,1.453090631247362652e-01,1.491383589518709973e-01
5.121188962181872917e-01,3.494906541494548602e+00,9.798675829884803790e+00,2.345270761426919148e-01,2.257698647084634691e-01
2.168523523475404113e-01,4.295821467202501909e-01,1.689549625866003169e+01,6.853801214550710175e-02,5.339482582846071662e-02
8.967200116008336996e-01,3.826290556362466955e+00,1.065704071545718534e+01,2.368786088733659534e-01,2.544124500485296925e-01
2.567331446603780543e-01,2.544924854780821644e+00,1.101225961547442900e+01,2.262101512720120777e-01,2.250972293401368729e-01
2.683373471430373081e-01,3.805409388941281001e-01,1.414347003327996788e+01,7.725537591225677125e-02,7.036972643591354881e-02
1.122115615323210913e-01,2.791476770427810727e+00,1.048143452936064790e+01,1.085387676955580916e-01,1.099813385761663348e-01
2.691326511472260652e-01,3.435914257126190474e+00,8.969404454069982435e+00,1.662034965071754189e-01,1.642893832023489264e-01
6.986592526624452182e-01,1.109535604504902739e+00,2.375019487385590100e+00,4.907562818991479947e-01,4.992777045412748471e-01
6.432095350806191769e-01,1.358380073219702888e+00,1.345451438740145278e+01,4.342270386397406590e-01,4.345663204641116439e-01
1.593722304695940339e-01,1.183001490880673412e+00,1.920086828498652309e+01,1.203240116083720834e-01,1.204615074445562761e-01
3.698027262138800508e-01,2.839778850458426707e+00,1.885251752279070914e+01,2.438648867594705172e-01,2.367190895491408653e-01
4.077831854248434862e-01,2.901288766806473518e+00,9.394798663619186030e-01,3.204900277185133151e-01,3.251857087059882301e-01
6.152366094076666680e-01,3.119961999501716932e+00,8.734243195644284086e+00,3.248188235631352949e-01,3.144801563395854815e-01
4.375396185871864851e-01,3.692060412502284894e+00,1.191446973553994759e+01,1.843476808268641742e-01,1.910065752245038440e-01
5.485405778017017342e-01,8.091301694969545988e-01,1.974944382251599961e+00,3.335465885102780748e-01,3.487859636401793861e-01
7.637319130676010204e-01,2.862166933846289396e+00,1.421265892331902947e+01,3.823414764391775411e-01,3.670946160581859963e-01
6.675025687655149476e-01,2.618241658321847520e+00,8.667260066411564878e+00,4.246229751743755276e-01,3.999606828608623377e-01
3.602561739822751075e-01,1.124222221036424774e+00,2.596565259866394637e+00,2.941426266261838451e-01,3.003114141777270540e-01
4.311368629428116162e-01,3.903703077951126144e+00,4.252956115280435156e+00,1.759860965413669598e-01,2.014650746961982319e-01
3.625446342365056251e-01,1.960144878157532800e+00,3.668599460702526294e-01,3.728567296133991626e-01,3.628474811246802378e-01
1.432744644056922201e-01,3.800427155199650908e+00,4.602144181839231685e+00,8.954953327133639840e-02,7.704257568331651651e-02
2.227553124742870927e-01,3.889917793104282762e+00,1.401052292323471349e+01,1.029082472637695145e-01,1.087979366015742466e-01
2.912355156025114300e-01,3.610187573770659242e+00,9.867714862900836437e+00,1.561003188911714579e-01,1.476931029905883819e-01
3.170138112619568793e-01,1.891992903922363523e+00,4.675685959201696384e+00,3.155497688875640860e-01,3.104895140481967464e-01
3.160906799969470105e-01,1.191129481575335936e+00,5.055055594434425537e+00,2.633399024312818026e-01,2.598587277644440197e-01
5.401947588150092239e-01,2.384471563485903722e+00,9.466444078481504931e+00,4.002674482835750780e-01,4.055874691464930737e-01
8.759364792767915242e-01,1.853189748515291280e+00,1.466592120179974401e+01,5.426166982455506993e-01,5.385636746316194712e-01
7.084645146851722419e-01,1.925986169193831143e+00,1.956747986080051760e+01,4.552193521795241948e-01,4.579981805803258199e-01
7.224638559468844479e-01,1.051917240437523215e+00,9.974685404596533189e+00,4.361103800814848941e-01,4.343450474925491522e-01
6.953782254586430289e-01,3.384786994068905042e+00,8.865468431049194464e+00,2.958199197464571606e-01,2.873732087099411525e-01
5.574395709451930303e-01,2.949823963625397116e+00,7.583020600202992512e+00,3.409536380431607561e-01,3.377553754657285356e-01
8.300384185952758287e-01,3.474707431731506091e+00,1.643081179218958354e+01,2.749189628976358435e-01,2.654149662459566739e-01
6.361856321300188855e-01,2.173001421082258133e+00,1.152297677346412463e+01,4.501177255152594703e-01,4.501828753739569589e-01
4.753029661263403205e-01,4.613885534002254429e-01,1.831619184194134675e+01,1.498762874493310415e-01,1.386376251736746723e-01
1.155212372254579428e-01,3.463004864150027284e+00,1.096425562073585880e+01,8.351068329298567960e-02,7.258173960003325154e-02
4.651818430226952739e-01,3.700796862735880044e-01,3.978385012775118579e+00,1.452151942087302194e-01,1.597848123617827687e-01
2.309063460392841716e-01,7.026124369721298280e-01,2.102305933257653248e+00,1.387559615915069378e-01,1.382241193884535257e-01
1.627918529147691640e-01,3.782068507097442911e+00,1.076083360203553951e+01,9.149233032577791525e-02,9.095331007105748877e-02
4.801551841499669959e-01,2.289868619612958955e+00,3.813298432529903526e+00,4.131932544050558875e-01,4.183086186042320742e-01
7.173224987074151571e-01,2.732489900428924035e+00,1.397065388004542186e+01,3.934661212104794692e-01,3.892575511849907799e-01
3.007554763846915225e-01,3.301871402032510616e+00,1.566011890538701579e+01,1.772870856221404889e-01,1.750017319473589072e-01
7.034559959227915105e-01,2.691772829171967807e+00,1.554802122739046411e+01,3.891137560301053400e-01,3.933652433834244344e-01
4.967850946879159291e-01,1.831488023542154453e+00,8.124787339575478384e+00,4.155698204473568524e-01,4.183939788698008422e-01
1.766908198651056527e-01,2.217697729988653776e+00,1.101691529741720466e+01,1.778939737910292251e-01,1.663010065217049305e-01
8.702225823827753892e-01,1.654086795321849879e+00,4.533311213116317795e+00,6.237167707300297348e-01,6.320501966967263519e-01
3.913907903052398773e-01,2.351042657385297829e+00,1.037853629109698161e+01,3.234067349783329437e-01,3.175023855454425226e-01
3.009491173132913810e-01,1.086074197688915444e-01,1.634514956411340592e+01,2.540951374056408738e-02,1.484872423742222836e-02
7.699486150386701810e-01,2.082237775206294828e+00,1.278421608608251958e+01,5.022233101293619439e-01,4.932185594293714281e-01
1.557912826381578630e-01,1.929049521233941189e-01,1.334321451743433862e+01,2.403583839073928849e-02,2.013038494718605992e-02
6.735518919126479709e-01,5.277206004135052142e-01,1.912276737918140412e+01,2.264348054609286176e-01,2.427078080071592980e-01
2.096510311806480953e-01,3.400836270969768371e+00,5.735274807971599387e+00,1.487615557686579604e-01,1.370061967194501629e-01
3.836180096106950876e-01,2.671605857491243796e+00,1.299141479834056057e+01,2.824702097849436933e-01,2.840709687102870862e-01
2.471148966928176649e-01,8.104546962316766523e-01,1.769309062892411788e+01,1.356123166600175511e-01,1.142340730791117781e-01
7.650437937885289363e-01,3.014089848482135459e+00,6.643809237926204148e+00,3.933653720071114135e-01,3.933497026756594406e-01
3.815633691488824475e-01,1.955554751392586388e+00,1.008986938862768135e+00,3.834013549086505712e-01,3.923970190834106253e-01
8.784888909499458665e-01,6.259004762952027345e-01,5.896315757957182768e+00,3.783118244051567602e-01,3.759451911845422267e-01
5.814722617528407245e-01,3.725774211057824914e+00,5.796697499621183525e+00,2.274413608349022953e-01,2.211478115960688884e-01
6.395794094974779354e-01,5.399398840930664800e-01,5.744847419089166962e+00,2.602439888685447178e-01,2.625590995091300894e-01
4.932963538125548775e-01,1.769971462713388344e-01,1.050772809548600684e+01,7.049480518630192594e-02,7.749632269780842853e-02
3.126229692142524774e-01,1.100746740980720562e+00,1.124737222249435220e+01,2.268344364039999450e-01,2.334710121141740091e-01
3.862229578945644004e-01,4.387536370045106437e-01,7.702964851257913637e+00,1.348308339916006460e-01,1.545555725308985773e-01
8.497940595126165508e-01,1.652136884681192353e-01,6.439951713672411593e+00,1.172552025254569169e-01,1.193468772488196911e-01
2.210227206159647850e-01,2.647643318210461949e+00,1.047216591444612099e+01,1.976559685008262846e-01,1.917318675032969599e-01
8.899860660371804455e-01,6.146523420660376935e-01,1.460123808596772932e+01,3.354103129063782385e-01,3.341505210065118248e-01
6.945599827032457041e-01,2.299131391841752858e+00,6.497977161514589817e-01,5.403095404478254205e-01,5.395845549916272743e-01
3.558188875187187072e-01,1.046100333767238322e+00,1.651470214976293249e+01,2.299321511910403792e-01,2.310195250258215705e-01
5.952865510797629156e-01,3.768535529493288738e+00,2.648685814269424732e+00,2.341559261138724257e-01,2.338556479815780687e-01
3.738343083991244042e-01,9.418383543497429455e-01,1.812804710350971504e+01,2.190114842293686415e-01,2.207511436183306752e-01
3.742689927439319941e-01,2.130553432732129160e+00,9.853469464079447349e+00,3.272506021591741199e-01,3.105421015530229756e-01
4.782325076653501372e-01,2.966450306089460032e+00,1.128510480791459436e+01,2.946287900728334352e-01,3.029250796332338402e-01
6.421439839007052341e-02,1.313406682654954860e+00,1.961648235306295263e+01,5.484318942924206602e-02,4.909579674003174132e-02
4.695358259518867539e-01,3.343783621206679602e+00,1.794436541074945168e+01,2.227105276280206547e-01,2.109789406635504128e-01
8.758586514298548620e-01,1.324517913312495798e+00,8.901749019733259161e+00,5.608924951273622783e-01,5.672700067237765875e-01
2.926454444677416555e-01,1.612654248719000316e+00,4.045666507417820412e+00,2.904018345218421504e-01,3.035750945957029767e-01
6.859852652151203767e-01,1.778514301858179492e+00,1.191499882557406664e+01,4.873765170503777111e-01,4.923067985453721263e-01
4.263705565599207881e-01,1.733687075534040334e+00,8.036922419994718680e-01,4.147700755041988652e-01,4.163816686426540792e-01
2.278888862251176595e-01,2.470980252200616789e+00,1.341460907395046753e+00,2.422845266718190727e-01,2.329623236180995427e-01
8.192521851954100987e-01,9.823578852393400895e-01,4.525884345472233505e+00,4.970480887655755464e-01,5.257637621437105668e-01
6.430319197818104571e-02,1.383935030727556637e+00,8.355003629288715317e+00,6.469372020693933689e-02,7.349630641355442418e-02
3.079825876095840798e-01,9.929909221383079743e-01,1.387410236854915091e+01,2.015594774374932507e-01,1.901665307340635047e-01
8.991719999753469139e-01,1.180086469215877454e+00,1.978251526516077163e+00,6.052328575516935372e-01,5.974364783892961439e-01
2.728247767614910835e-01,3.074851072039621158e+00,1.709707623525875420e+01,1.825786038754534657e-01,1.834483963611725221e-01
7.716878435803812275e-01,2.554140339905286439e+00,8.995553898754153010e+00,4.663506044811093765e-01,4.508032931611495320e-01
5.648306763573486267e-01,3.854878279453734624e+00,3.878356847855906064e+00,2.105676758012983152e-01,2.122539798714034587e-01
7.351303513980550486e-01,3.805507158445488258e+00,1.728898386197680281e+01,2.060324497811804600e-01,2.014417342240528708e-01
5.857700921269565209e-01,8.998332429405726529e-01,1.381757784626558738e+01,3.208476218979347538e-01,3.331103279010969032e-01
3.582923284991710866e-01,9.187895402484677065e-01,1.719684037862268156e+01,2.091940378697688119e-01,2.188155845060512916e-01
6.966704668959601277e-01,3.639827048780643004e+00,1.930293413441442851e+01,2.224001045676242683e-01,1.952872501932765292e-01
7.251186656837649291e-02,6.419433185080557491e-01,1.639205181765283470e+01,3.478141717087708529e-02,3.519844303115021028e-02
4.297910089742840722e-01,3.068621683286988588e+00,6.860160353204425299e+00,2.805143840797654220e-01,2.643397090845285291e-01
3.660763843895901148e-01,8.478630759220987523e-01,1.973657385926254904e+01,1.958367722451624937e-01,2.069331522376477162e-01
4.555129047917470531e-01,6.578429879737386354e-01,1.506059366745161654e+01,2.018876274308130103e-01,2.035686861220912525e-01
1.584775835216591655e-01,1.813051168219053544e+00,1.638063844819849635e+01,1.515880918230784191e-01,1.570721463449483990e-01
2.391308360543315525e-01,2.767832740995128216e+00,7.296460967252517804e+00,2.115079772104266065e-01,2.008567299223936176e-01
5.277438515847530098e-01,3.392257869988279939e+00,1.193451655716401305e+01,2.465776020406679758e-01,2.648619044206229622e-01
3.796037483075608288e-01,9.117890769910748094e-01,1.244665592392500919e+01,2.304244440733735355e-01,2.506251777448779694e-01
7.229077747517894670e-01,4.888453697621508720e-01,5.543471977906437864e+00,2.669592617655494604e-01,2.563115513392873468e-01
5.643661008858873451e-01,3.191580387766412397e+00,9.580659281980160813e+00,2.954463377543803948e-01,2.991744889730435508e-01
7.820766820689449839e-01,1.858967177923882108e+00,5.431839231777595423e+00,5.763382013733505671e-01,5.696051770894486888e-01
6.725067117267639061e-01,2.477321706853963690e+00,5.758982703096899414e+00,4.668616208539277390e-01,4.666259214853203940e-01
5.615499305947803110e-01,2.378385877324884046e+00,1.308513386491905095e+01,3.914310241991451611e-01,3.787746544068995025e-01
2.944732618665963364e-01,3.067188236179293259e+00,3.982764384869619256e-01,2.425327646993199748e-01,2.612042198451261510e-01
7.153463977372432891e-01,3.959279762138932401e+00,1.516380472193766593e+01,1.853886568019271486e-01,1.756968616911004644e-01
2.635774414454195580e-01,2.627556807620462287e+00,9.700800813629424368e+00,2.296074599282169892e-01,2.266466217782420467e-01
1.139294450422437682e-01,1.524324996244575736e+00,2.513018253943735125e+00,1.276983633420951114e-01,1.327131926532003348e-01
8.684348916767437032e-01,7.820703193354839877e-01,9.660239947950673312e+00,4.161802377517343499e-01,4.097046309675730913e-01
5.090095243319987528e-01,5.012273939287837932e-01,7.508743316135162438e+00,1.951901793562327569e-01,1.927970550589097332e-01
7.078101529173396189e-01,2.797061217561529922e+00,1.747947959922675665e+01,3.663776881876515956e-01,3.607412897233819304e-01
4.998393864858060587e-01,1.094904072674084627e+00,1.345868339479356024e+01,3.232109705699174329e-01,3.218763630215544791e-01
5.698427708160482830e-01,1.182644444688915941e+00,4.491657081467383961e+00,4.232159204079607995e-01,4.115104940569577763e-01
7.880841293903030620e-02,1.829052816198443843e+00,1.831321979317323212e+01,7.915832422955350334e-02,7.477844347353049259e-02
2.087746274507372712e-01,2.157634299505298614e+00,1.731552342533105104e+01,1.908786666990333059e-01,1.888097374519108751e-01
6.234859861195608532e-01,1.722977278612809471e+00,1.086581578277271731e+01,4.645087820827550340e-01,4.611715220447136776e-01
5.349799082596234934e-01,3.827246963973051752e+00,1.521051649365106062e+00,2.169390649750303213e-01,2.175059645239682815e-01
1.847717788887057733e-01,1.262555319169706536e+00,1.326440568848514623e+01,1.527264864319795301e-01,1.497954642384123070e-01
8.592248784172570319e-01,2.447872645995949448e+00,8.460866302500011926e+00,5.140025604886030441e-01,5.215346745729968481e-01
1.812005876652936776e-01,1.633571574695598660e-01,1.253957955591297591e+01,2.396341031598264726e-02,2.073145105812434705e-02
4.837577622778825304e-01,3.487101824757083413e-01,1.964242967201337287e+00,1.471645724905621677e-01,1.457980765276033208e-01
1.724024437663690401e-01,8.758928369454609397e-01,2.299171136395858905e+00,1.274395665942285316e-01,1.207917532342700079e-01
6.597659671902994516e-01,1.197237207574612494e+00,2.997718383346918980e+00,4.851156322396319998e-01,4.798504838384796134e-01
2.848660619808798256e-01,1.918660945367481219e+00,1.097450194882970465e+01,2.652671158694684395e-01,2.526221879612713384e-01
1.640138788535157599e-01,2.339408867523643742e+00,1.442941084832345666e+01,1.579736365928174069e-01,1.631614858015970615e-01
8.908910356993832158e-02,7.470923237626647673e-01,6.946258271973125176e+00,5.513964551081429466e-02,4.371446533428937492e-02
1.986102072129800611e-01,2.356734052744542396e+00,1.866038125479458909e+00,2.201665641766660797e-01,2.127080001947828369e-01
2.130289092150314256e-01,4.191098555972964101e-01,3.296914154794088336e+00,7.891511273753132327e-02,8.250755925764337306e-02
5.064262676360237192e-01,1.629871392438116962e+00,6.382806670182552544e+00,4.266091813914867914e-01,4.306349150509320989e-01
