T,k_chem
2.866023204640928270e+02,9.974854783393088837e+02
2.866083216643328910e+02,9.979820088699897269e+02
2.866143228645728982e+02,9.984787354541289233e+02
2.866203240648129622e+02,9.989756581424363731e+02
2.866263252650530262e+02,9.994727769855768429e+02
2.866323264652930334e+02,9.999700920342583004e+02
2.866383276655330974e+02,1.000467603339165407e+03
2.866443288657731614e+02,1.000965310950972821e+03
2.866503300660132254e+02,1.001463214920399423e+03
2.866563312662532326e+02,1.001961315298114300e+03
2.866623324664932966e+02,1.002459612134813710e+03
2.866683336667333606e+02,1.002958105481204257e+03
2.866743348669733678e+02,1.003456795387962529e+03
2.866803360672134318e+02,1.003955681905811730e+03
2.866863372674534958e+02,1.004454765085416170e+03
2.866923384676935598e+02,1.004954044977486888e+03
2.866983396679335669e+02,1.005453521632707748e+03
2.867043408681736310e+02,1.005953195101802066e+03
2.867103420684136950e+02,1.006453065435448707e+03
2.867163432686537590e+02,1.006953132684344837e+03
2.867223444688937661e+02,1.007453396899195923e+03
2.867283456691338301e+02,1.007953858130715162e+03
2.867343468693738942e+02,1.008454516429573800e+03
2.867403480696139013e+02,1.008955371846498110e+03
2.867463492698539653e+02,1.009456424432190147e+03
2.867523504700940293e+02,1.009957674237331048e+03
2.867583516703340933e+02,1.010459121312649245e+03
2.867643528705741005e+02,1.010960765708821214e+03
2.867703540708141645e+02,1.011462607476580501e+03
2.867763552710542285e+02,1.011964646666613248e+03
2.867823564712942357e+02,1.012466883329629127e+03
2.867883576715342997e+02,1.012969317516333263e+03
2.867943588717743637e+02,1.013471949277448857e+03
2.868003600720144277e+02,1.013974778663664324e+03
2.868063612722544349e+02,1.014477805725679787e+03
2.868123624724944989e+02,1.014981030514224813e+03
2.868183636727345629e+02,1.015484453080011690e+03
2.868243648729745701e+02,1.015988073473732697e+03
2.868303660732146341e+02,1.016491891746101487e+03
2.868363672734546981e+02,1.016995907947833189e+03
2.868423684736947621e+02,1.017500122129647366e+03
2.868483696739347693e+02,1.018004534342231864e+03
2.868543708741748333e+02,1.018509144636318865e+03
2.868603720744148973e+02,1.019013953062625887e+03
2.868663732746549044e+02,1.019518959671840321e+03
2.868723744748949684e+02,1.020024164514699805e+03
2.868783756751350325e+02,1.020529567641910489e+03
2.868843768753750965e+02,1.021035169104194438e+03
2.868903780756151036e+02,1.021540968952251660e+03
2.868963792758551676e+02,1.022046967236812748e+03
2.869023804760952316e+02,1.022553164008575777e+03
2.869083816763352388e+02,1.023059559318273386e+03
2.869143828765753028e+02,1.023566153216626617e+03
2.869203840768153668e+02,1.024072945754336388e+03
2.869263852770554308e+02,1.024579936982133404e+03
2.869323864772954380e+02,1.025087126950737911e+03
2.869383876775355020e+02,1.025594515710867199e+03
2.869443888777755660e+02,1.026102103313228781e+03
2.869503900780156300e+02,1.026609889808552452e+03
2.869563912782556372e+02,1.027117875247553911e+03
2.869623924784957012e+02,1.027626059680965000e+03
2.869683936787357652e+02,1.028134443159491866e+03
2.869743948789757724e+02,1.028643025733859986e+03
2.869803960792158364e+02,1.029151807454802338e+03
2.869863972794559004e+02,1.029660788373024616e+03
2.869923984796959644e+02,1.030169968539264346e+03
2.869983996799359716e+02,1.030679348004236090e+03
2.870044008801760356e+02,1.031188926818674645e+03
2.870104020804160996e+02,1.031698705033274109e+03
2.870164032806561067e+02,1.032208682698789289e+03
2.870224044808961708e+02,1.032718859865929971e+03
2.870284056811362348e+02,1.033229236585434592e+03
2.870344068813762988e+02,1.033739812908012937e+03
2.870404080816163059e+02,1.034250588884394347e+03
2.870464092818563699e+02,1.034761564565304752e+03
2.870524104820964340e+02,1.035272740001482134e+03
2.870584116823364411e+02,1.035784115243634915e+03
2.870644128825765051e+02,1.036295690342494936e+03
2.870704140828165691e+02,1.036807465348805408e+03
2.870764152830566331e+02,1.037319440313269752e+03
2.870824164832966403e+02,1.037831615286628676e+03
2.870884176835367043e+02,1.038343990319608565e+03
2.870944188837767683e+02,1.038856565462943763e+03
2.871004200840167755e+02,1.039369340767340645e+03
2.871064212842568395e+02,1.039882316283549244e+03
2.871124224844969035e+02,1.040395492062294807e+03
2.871184236847369675e+02,1.040908868154314177e+03
2.871244248849769747e+02,1.041422444610307593e+03
2.871304260852170387e+02,1.041936221481035773e+03
2.871364272854571027e+02,1.042450198817218279e+03
2.871424284856971667e+02,1.042964376669590365e+03
2.871484296859371739e+02,1.043478755088858406e+03
2.871544308861772379e+02,1.043993334125784713e+03
2.871604320864173019e+02,1.044508113831080209e+03
2.871664332866573091e+02,1.045023094255486512e+03
2.871724344868973731e+02,1.045538275449740922e+03
2.871784356871374371e+02,1.046053657464552316e+03
2.871844368873775011e+02,1.046569240350678683e+03
2.871904380876175082e+02,1.047085024158821398e+03
2.871964392878575723e+02,1.047601008939735948e+03
2.872024404880976363e+02,1.048117194744143944e+03
2.872084416883376434e+02,1.048633581622786778e+03
2.872144428885777074e+02,1.049150169626396973e+03
2.872204440888177714e+02,1.049666958805695685e+03
2.872264452890578355e+02,1.050183949211427716e+03
2.872324464892978426e+02,1.050701140894317632e+03
2.872384476895379066e+02,1.051218533905108416e+03
2.872444488897779706e+02,1.051736128294521905e+03
2.872504500900179778e+02,1.052253924113296989e+03
2.872564512902580418e+02,1.052771921412168240e+03
2.872624524904981058e+02,1.053290120241864997e+03
2.872684536907381698e+02,1.053808520653121832e+03
2.872744548909781770e+02,1.054327122696679908e+03
2.872804560912182410e+02,1.054845926423267429e+03
2.872864572914583050e+02,1.055364931883623058e+03
2.872924584916983122e+02,1.055884139128467496e+03
2.872984596919383762e+02,1.056403548208548273e+03
2.873044608921784402e+02,1.056923159174601778e+03
2.873104620924185042e+02,1.057442972077353033e+03
2.873164632926585114e+02,1.057962986967528423e+03
2.873224644928985754e+02,1.058483203895876841e+03
2.873284656931386394e+02,1.059003622913143772e+03
2.873344668933787034e+02,1.059524244070036730e+03
2.873404680936187106e+02,1.060045067417302562e+03
2.873464692938587746e+02,1.060566093005683570e+03
2.873524704940988386e+02,1.061087320885903864e+03
2.873584716943388457e+02,1.061608751108695060e+03
2.873644728945789097e+02,1.062130383724802186e+03
2.873704740948189738e+02,1.062652218784949355e+03
2.873764752950590378e+02,1.063174256339896374e+03
2.873824764952990449e+02,1.063696496440341889e+03
2.873884776955391089e+02,1.064218939137042526e+03
2.873944788957791729e+02,1.064741584480716938e+03
2.874004800960191801e+02,1.065264432522126071e+03
2.874064812962592441e+02,1.065787483311977439e+03
2.874124824964993081e+02,1.066310736901028577e+03
2.874184836967393721e+02,1.066834193340006095e+03
2.874244848969793793e+02,1.067357852679616371e+03
2.874304860972194433e+02,1.067881714970628082e+03
2.874364872974595073e+02,1.068405780263765337e+03
2.874424884976995145e+02,1.068930048609757023e+03
2.874484896979395785e+02,1.069454520059365223e+03
2.874544908981796425e+02,1.069979194663277212e+03
2.874604920984197065e+02,1.070504072472253256e+03
2.874664932986597137e+02,1.071029153537025195e+03
2.874724944988997777e+02,1.071554437908341697e+03
2.874784956991398417e+02,1.072079925636902317e+03
2.874844968993798489e+02,1.072605616773459815e+03
2.874904980996199129e+02,1.073131511368755127e+03
2.874964992998599769e+02,1.073657609473507591e+03
2.875025005001000409e+02,1.074183911138462236e+03
2.875085017003400480e+02,1.074710416414334759e+03
2.875145029005801121e+02,1.075237125351886334e+03
2.875205041008201761e+02,1.075764038001821064e+03
2.875265053010601832e+02,1.076291154414873745e+03
2.875325065013002472e+02,1.076818474641795092e+03
2.875385077015403112e+02,1.077345998733311717e+03
2.875445089017803753e+02,1.077873726740144321e+03
2.875505101020203824e+02,1.078401658713036113e+03
2.875565113022604464e+02,1.078929794702706658e+03
2.875625125025005104e+02,1.079458134759910990e+03
2.875685137027405744e+02,1.079986678935354803e+03
2.875745149029805816e+02,1.080515427279769483e+03
2.875805161032206456e+02,1.081044379843906654e+03
2.875865173034607096e+02,1.081573536678494975e+03
2.875925185037007168e+02,1.082102897834239457e+03
2.875985197039407808e+02,1.082632463361895589e+03
2.876045209041808448e+02,1.083162233312176795e+03
2.876105221044209088e+02,1.083692207735827424e+03
2.876165233046609160e+02,1.084222386683560899e+03
2.876225245049009800e+02,1.084752770206125206e+03
2.876285257051410440e+02,1.085283358354244911e+03
2.876345269053810512e+02,1.085814151178630254e+03
2.876405281056211152e+02,1.086345148730025812e+03
2.876465293058611792e+02,1.086876351059148419e+03
2.876525305061012432e+02,1.087407758216758566e+03
2.876585317063412504e+02,1.087939370253534889e+03
2.876645329065813144e+02,1.088471187220233560e+03
2.876705341068213784e+02,1.089003209167576415e+03
2.876765353070613855e+02,1.089535436146284155e+03
2.876825365073014495e+02,1.090067868207109314e+03
2.876885377075415136e+02,1.090600505400746442e+03
2.876945389077815776e+02,1.091133347777928520e+03
2.877005401080215847e+02,1.091666395389384206e+03
2.877065413082616487e+02,1.092199648285851254e+03
2.877125425085017127e+02,1.092733106518041950e+03
2.877185437087417768e+02,1.093266770136666764e+03
2.877245449089817839e+02,1.093800639192481640e+03
2.877305461092218479e+02,1.094334713736176582e+03
2.877365473094619119e+02,1.094868993818492299e+03
2.877425485097019191e+02,1.095403479490157451e+03
2.877485497099419831e+02,1.095938170801884780e+03
2.877545509101820471e+02,1.096473067804392258e+03
2.877605521104221111e+02,1.097008170548416047e+03
2.877665533106621183e+02,1.097543479084660476e+03
2.877725545109021823e+02,1.098078993463862616e+03
2.877785557111422463e+02,1.098614713736730891e+03
2.877845569113822535e+02,1.099150639953981681e+03
2.877905581116223175e+02,1.099686772166355922e+03
2.877965593118623815e+02,1.100223110424560446e+03
2.878025605121024455e+02,1.100759654779297080e+03
2.878085617123424527e+02,1.101296405281304942e+03
2.878145629125825167e+02,1.101833361981299731e+03
2.878205641128225807e+02,1.102370524930001011e+03
2.878265653130625878e+02,1.102907894178117658e+03
2.878325665133026519e+02,1.103445469776359914e+03
2.878385677135427159e+02,1.103983251775463941e+03
2.878445689137827799e+02,1.104521240226128157e+03
2.878505701140227870e+02,1.105059435179063939e+03
2.878565713142628510e+02,1.105597836684997901e+03
2.878625725145029151e+02,1.106136444794664612e+03
2.878685737147429222e+02,1.106675259558727248e+03
2.878745749149829862e+02,1.107214281027927427e+03
2.878805761152230502e+02,1.107753509252975164e+03
2.878865773154631142e+02,1.108292944284604118e+03
2.878925785157031214e+02,1.108832586173481104e+03
2.878985797159431854e+02,1.109372434970350469e+03
2.879045809161832494e+02,1.109912490725901989e+03
2.879105821164232566e+02,1.110452753490856367e+03
2.879165833166633206e+02,1.110993223315942487e+03
2.879225845169033846e+02,1.111533900251828982e+03
2.879285857171434486e+02,1.112074784349244283e+03
2.879345869173834558e+02,1.112615875658903860e+03
2.879405881176235198e+02,1.113157174231496356e+03
2.879465893178635838e+02,1.113698680117740196e+03
2.879525905181036478e+02,1.114240393368343575e+03
2.879585917183436550e+02,1.114782314033993089e+03
2.879645929185837190e+02,1.115324442165411710e+03
2.879705941188237830e+02,1.115866777813289900e+03
2.879765953190637902e+02,1.116409321028348813e+03
2.879825965193038542e+02,1.116952071861287095e+03
2.879885977195439182e+02,1.117495030362790203e+03
2.879945989197839822e+02,1.118038196583567242e+03
2.880006001200239893e+02,1.118581570574326861e+03
2.880066013202640534e+02,1.119125152385774072e+03
2.880126025205041174e+02,1.119668942068580463e+03
2.880186037207441245e+02,1.120212939673462643e+03
2.880246049209841885e+02,1.120757145251123802e+03
2.880306061212242525e+02,1.121301558852266680e+03
2.880366073214643166e+02,1.121846180527570596e+03
2.880426085217043237e+02,1.122391010327725780e+03
2.880486097219443877e+02,1.122936048303450661e+03
2.880546109221844517e+02,1.123481294505418873e+03
2.880606121224244589e+02,1.124026748984343158e+03
2.880666133226645229e+02,1.124572411790909428e+03
2.880726145229045869e+02,1.125118282975805414e+03
2.880786157231446509e+02,1.125664362589723396e+03
2.880846169233846581e+02,1.126210650683355198e+03
2.880906181236247221e+02,1.126757147307400146e+03
2.880966193238647861e+02,1.127303852512541653e+03
2.881026205241047933e+02,1.127850766349461082e+03
2.881086217243448573e+02,1.128397888868861855e+03
2.881146229245849213e+02,1.128945220121408283e+03
2.881206241248249853e+02,1.129492760157810153e+03
2.881266253250649925e+02,1.130040509028740189e+03
2.881326265253050565e+02,1.130588466784882485e+03
2.881386277255451205e+02,1.131136633476936822e+03
2.881446289257851845e+02,1.131685009155578655e+03
2.881506301260251917e+02,1.132233593871474568e+03
2.881566313262652557e+02,1.132782387675319114e+03
2.881626325265053197e+02,1.133331390617806619e+03
2.881686337267453268e+02,1.133880602749593436e+03
2.881746349269853908e+02,1.134430024121373208e+03
2.881806361272254549e+02,1.134979654783813658e+03
2.881866373274655189e+02,1.135529494787611384e+03
2.881926385277055260e+02,1.136079544183417283e+03
2.881986397279455900e+02,1.136629803021930002e+03
2.882046409281856540e+02,1.137180271353812032e+03
2.882106421284256612e+02,1.137730949229729049e+03
2.882166433286657252e+02,1.138281836700386748e+03
2.882226445289057892e+02,1.138832933816424884e+03
2.882286457291458532e+02,1.139384240628531870e+03
2.882346469293858604e+02,1.139935757187370882e+03
2.882406481296259244e+02,1.140487483543626013e+03
2.882466493298659884e+02,1.141039419747934062e+03
2.882526505301059956e+02,1.141591565850993675e+03
2.882586517303460596e+02,1.142143921903474393e+03
2.882646529305861236e+02,1.142696487956015972e+03
2.882706541308261876e+02,1.143249264059294546e+03
2.882766553310661948e+02,1.143802250263977612e+03
2.882826565313062588e+02,1.144355446620739940e+03
2.882886577315463228e+02,1.144908853180228107e+03
2.882946589317863300e+02,1.145462469993098694e+03
2.883006601320263940e+02,1.146016297110017149e+03
2.883066613322664580e+02,1.146570334581675979e+03
2.883126625325065220e+02,1.147124582458673785e+03
2.883186637327465291e+02,1.147679040791714442e+03
2.883246649329865932e+02,1.148233709631440206e+03
2.883306661332266572e+02,1.148788589028504020e+03
2.883366673334667212e+02,1.149343679033551098e+03
2.883426685337067283e+02,1.149898979697257573e+03
2.883486697339467923e+02,1.150454491070263657e+03
2.883546709341868564e+02,1.151010213203219337e+03
2.883606721344268635e+02,1.151566146146771189e+03
2.883666733346669275e+02,1.152122289951584662e+03
2.883726745349069915e+02,1.152678644668309289e+03
2.883786757351470555e+02,1.153235210347563452e+03
2.883846769353870627e+02,1.153791987040011691e+03
2.883906781356271267e+02,1.154348974796299672e+03
2.883966793358671907e+02,1.154906173667086932e+03
2.884026805361071979e+02,1.155463583702980486e+03
2.884086817363472619e+02,1.156021204954658515e+03
2.884146829365873259e+02,1.156579037472739401e+03
2.884206841368273899e+02,1.157137081307878816e+03
2.884266853370673971e+02,1.157695336510697871e+03
2.884326865373074611e+02,1.158253803131846325e+03
2.884386877375475251e+02,1.158812481221957341e+03
2.884446889377875323e+02,1.159371370831673630e+03
2.884506901380275963e+02,1.159930472011631537e+03
2.884566913382676603e+02,1.160489784812447851e+03
2.884626925385077243e+02,1.161049309284755736e+03
2.884686937387477315e+02,1.161609045479209044e+03
2.884746949389877955e+02,1.162168993446414333e+03
2.884806961392278595e+02,1.162729153237007495e+03
2.884866973394678666e+02,1.163289524901625555e+03
