t,T,H,W,dT_dt,dT_dt_noisy
1.080216043208641619e-01,1.927110450999557356e+00,2.311277585828636627e-01,9.684505957615035382e-03,-6.920043844900299890e-01,-7.076425537371667795e-01
1.140228045609121693e-01,1.922952468092611999e+00,2.328240965083784586e-01,1.024610092338673270e-02,-6.937074663761191307e-01,-6.988513111884965268e-01
1.200240048009601768e-01,1.918784359232288406e+00,2.345169384190634310e-01,1.081002988810447762e-02,-6.953790068014349401e-01,-6.952161631910680484e-01
1.260252050410081981e-01,1.914606313091414602e+00,2.362062808013583037e-01,1.137627184378565623e-02,-6.970192131280043002e-01,-7.025312712339917276e-01
1.320264052810561917e-01,1.910418517118778192e+00,2.378921201634740523e-01,1.194480595764363905e-02,-6.986282919437057926e-01,-6.727470156557416869e-01
1.380276055211042130e-01,1.906221157539126132e+00,2.395744530353930424e-01,1.251561157208781402e-02,-7.002064490599479996e-01,-6.800719627538320822e-01
1.440288057611522343e-01,1.902014419353164065e+00,2.412532759688688078e-01,1.308866820472356224e-02,-7.017538895093446971e-01,-7.559771390886640408e-01
1.500300060012002279e-01,1.897798486337557433e+00,2.429285855374263003e-01,1.366395554835225790e-02,-7.032708175433898257e-01,-7.410510824627433157e-01
1.560312062412482492e-01,1.893573541044930364e+00,2.446003783363616957e-01,1.424145347097129435e-02,-7.047574366301312399e-01,-7.082528784712345260e-01
1.620324064812962428e-01,1.889339764803867006e+00,2.462686509827424763e-01,1.482114201577404769e-02,-7.062139494518446803e-01,-7.146577576833716972e-01
1.680336067213442641e-01,1.885097337718909749e+00,2.479334001154074596e-01,1.540300140114990446e-02,-7.076405579027095216e-01,-7.033676979527373474e-01
1.740348069613922577e-01,1.880846438670561005e+00,2.495946223949667142e-01,1.598701202068424781e-02,-7.090374630864870742e-01,-7.046910244660358202e-01
1.800360072014402790e-01,1.876587245315281871e+00,2.512523145038015882e-01,1.657315444315847486e-02,-7.104048653142001069e-01,-6.680480902131791243e-01
1.860372074414882726e-01,1.872319934085492799e+00,2.529064731460647364e-01,1.716140941254995500e-02,-7.117429641018182540e-01,-7.339833793556639341e-01
1.920384076815362939e-01,1.868044680189574036e+00,2.545570950476802041e-01,1.775175784803208201e-02,-7.130519581679465313e-01,-7.206040583104864616e-01
1.980396079215843153e-01,1.863761657611864075e+00,2.562041769563431770e-01,1.834418084397424972e-02,-7.143320454315175150e-01,-6.734766132816709661e-01
2.040408081616323088e-01,1.859471039112661206e+00,2.578477156415202032e-01,1.893865966994184163e-02,-7.155834230094917370e-01,-7.026493630854547812e-01
2.100420084016803302e-01,1.855172996274190300e+00,2.594877078935445835e-01,1.953517575423679639e-02,-7.168062872345362102e-01,-7.035450197870110056e-01
2.160432086417283237e-01,1.850867700067126975e+00,2.611241505125921902e-01,2.013371047725934573e-02,-7.180008339014104513e-01,-7.282809613351597378e-01
2.220444088817763451e-01,1.846555319846558740e+00,2.627570403285984790e-01,2.073424552618838984e-02,-7.191672578316590236e-01,-7.521287612487720375e-01
2.280456091218243386e-01,1.842236023632186637e+00,2.643863741955168045e-01,2.133676280154141180e-02,-7.203057529890372068e-01,-7.169564581045824170e-01
2.340468093618723600e-01,1.837909978326083715e+00,2.660121489870006517e-01,2.194124434019146391e-02,-7.214165125720617411e-01,-7.192362308156308170e-01
2.400480096019203535e-01,1.833577349712695481e+00,2.676343615964033584e-01,2.254767231536713296e-02,-7.224997290126058402e-01,-7.470467700974973146e-01
2.460492098419683749e-01,1.829238302458839893e+00,2.692530089367784485e-01,2.315602903665258880e-02,-7.235555939744874321e-01,-7.372201272100986635e-01
2.520504100820163962e-01,1.824893000113707586e+00,2.708680879408792430e-01,2.376629694998753928e-02,-7.245842983520504044e-01,-7.260251719465949938e-01
2.580516103220644175e-01,1.820541605108861427e+00,2.724795955611591936e-01,2.437845863766725449e-02,-7.255860322687390784e-01,-7.444810647299546780e-01
2.640528105621123833e-01,1.816184278758236736e+00,2.740875287697716600e-01,2.499249681834255984e-02,-7.265609850756669097e-01,-7.285263844327112270e-01
2.700540108021604047e-01,1.811821181258141067e+00,2.756918845585701328e-01,2.560839434701984302e-02,-7.275093453501799701e-01,-7.255996848007908451e-01
2.760552110422084260e-01,1.807452471687254425e+00,2.772926599391080105e-01,2.622613421506104700e-02,-7.284313008944162116e-01,-7.277195761533065133e-01
2.820564112822564473e-01,1.803078308006629493e+00,2.788898519426386002e-01,2.684569955018366316e-02,-7.293270387338602889e-01,-7.394528719001466355e-01
2.880576115223044686e-01,1.798698847059691186e+00,2.804834576201154506e-01,2.746707361646075207e-02,-7.301967451158963840e-01,-7.183217836801799594e-01
2.940588117623524345e-01,1.794314244572236650e+00,2.820734740421918518e-01,2.809023981432090533e-02,-7.310406055083552568e-01,-7.132172664227086623e-01
3.000600120024004558e-01,1.789924655152435928e+00,2.836598982992212803e-01,2.871518168054831843e-02,-7.318588045980615187e-01,-7.254418385067302744e-01
3.060612122424484771e-01,1.785530232290831298e+00,2.852427275012571761e-01,2.934188288828269014e-02,-7.326515262893792402e-01,-7.490161308371854343e-01
3.120624124824964984e-01,1.781131128360336824e+00,2.868219587780528324e-01,2.997032724701932313e-02,-7.334189537027527850e-01,-7.187859080270440071e-01
3.180636127225444643e-01,1.776727494616239911e+00,2.883975892790617834e-01,3.060049870260903027e-02,-7.341612691732507523e-01,-7.441900695425918144e-01
3.240648129625924856e-01,1.772319481196199975e+00,2.899696161734373612e-01,3.123238133725822485e-02,-7.348786542491061446e-01,-7.172954418833464851e-01
3.300660132026405069e-01,1.767907237120248887e+00,2.915380366500329723e-01,3.186595936952885122e-02,-7.355712896902569797e-01,-7.570070380278058897e-01
3.360672134426885282e-01,1.763490910290790525e+00,2.931028479174020984e-01,3.250121715433840902e-02,-7.362393554668892337e-01,-7.179500114043135817e-01
3.420684136827365496e-01,1.759070647492601891e+00,2.946640472037980740e-01,3.313813918295997057e-02,-7.368830307579766759e-01,-7.372842998502863177e-01
3.480696139227845154e-01,1.754646594392832215e+00,2.962216317571742530e-01,3.377671008302215311e-02,-7.375024939498233678e-01,-7.624774717565117044e-01
3.540708141628325367e-01,1.750218895780759176e+00,2.977755988437428836e-01,3.441691455407536182e-02,-7.380979227477315607e-01,-7.443759121870685558e-01
3.600720144028805580e-01,1.745787695944887474e+00,2.993259457460857864e-01,3.505873726014670233e-02,-7.386694943567693183e-01,-7.375874487813384173e-01
3.660732146429285794e-01,1.741353137368484072e+00,3.008726697710352727e-01,3.570216317905330200e-02,-7.392173848658134538e-01,-7.337615580825244121e-01
3.720744148829765452e-01,1.736915361456845108e+00,3.024157682448577189e-01,3.634717741368143074e-02,-7.397417695850675434e-01,-7.593855320838871492e-01
3.780756151230245665e-01,1.732474508611069552e+00,3.039552385127918255e-01,3.699376517244234303e-02,-7.402428230799619202e-01,-7.623902840232658074e-01
3.840768153630725879e-01,1.728030718228058982e+00,3.054910779390486719e-01,3.764191176927231958e-02,-7.407207191704368032e-01,-7.367290285134951988e-01
3.900780156031206092e-01,1.723584128700517804e+00,3.070232839068117170e-01,3.829160262363261874e-02,-7.411756309302125478e-01,-7.505106232678085965e-01
3.960792158431686305e-01,1.719134877416953255e+00,3.085518538182366322e-01,3.894282326050953896e-02,-7.416077306860554552e-01,-7.368976184514509642e-01
4.020804160832165963e-01,1.714683100761674961e+00,3.100767850944516901e-01,3.959555931041434940e-02,-7.420171900170310364e-01,-7.268267995674634330e-01
4.080816163232646177e-01,1.710228934114795596e+00,3.115980751755572653e-01,4.024979650938338011e-02,-7.424041797537501708e-01,-7.753799270807690824e-01
4.140828165633126390e-01,1.705772511852230444e+00,3.131157215206262778e-01,4.090552069897791104e-02,-7.427688699776071601e-01,-7.376811076472548079e-01
4.200840168033606603e-01,1.701313967345697176e+00,3.146297216077039161e-01,4.156271782628426226e-02,-7.431114300200092337e-01,-7.186184906692946184e-01
4.260852170434086261e-01,1.696853432962717179e+00,3.161400729338077475e-01,4.222137394391374532e-02,-7.434320284616006136e-01,-7.493825653490100436e-01
4.320864172834566475e-01,1.692391040066613339e+00,3.176467730149276636e-01,4.288147521000269108e-02,-7.437308331314754772e-01,-7.599471247962268361e-01
4.380876175235046688e-01,1.687926919016512040e+00,3.191498193860259902e-01,4.354300788821243579e-02,-7.440080111063896995e-01,-7.289631345627978209e-01
4.440888177635526901e-01,1.683461199167342270e+00,3.206492096010372661e-01,4.420595834772931415e-02,-7.442637287099607146e-01,-7.391947983857979354e-01
4.500900180036007114e-01,1.678994008869835408e+00,3.221449412328685757e-01,4.487031306326466629e-02,-7.444981515118657134e-01,-7.265804900963145352e-01
4.560912182436486773e-01,1.674525475470526326e+00,3.236370118733992163e-01,4.553605861505485158e-02,-7.447114443270295148e-01,-7.516157585280550668e-01
4.620924184836966986e-01,1.670055725311751615e+00,3.251254191334809196e-01,4.620318168886124177e-02,-7.449037712148099954e-01,-7.745401366892542550e-01
4.680936187237447199e-01,1.665584883731651367e+00,3.266101606429376858e-01,4.687166907597018622e-02,-7.450752954781777460e-01,-7.472755107724027290e-01
4.740948189637927412e-01,1.661113075064168054e+00,3.280912340505660052e-01,4.754150767319307441e-02,-7.452261796628879553e-01,-7.541427427231125469e-01
4.800960192038407071e-01,1.656640422639047205e+00,3.295686370241345253e-01,4.821268448286627345e-02,-7.453565855566505194e-01,-7.298501091156990306e-01
4.860972194438887284e-01,1.652167048781836511e+00,3.310423672503844950e-01,4.888518661285119055e-02,-7.454666741882929326e-01,-7.415940172207498016e-01
4.920984196839367497e-01,1.647693074813886716e+00,3.325124224350293756e-01,4.955900127653420362e-02,-7.455566058269196272e-01,-7.781735904756216238e-01
4.980996199239847710e-01,1.643218621052351391e+00,3.339788003027548968e-01,5.023411579282673067e-02,-7.456265399810668715e-01,-7.695298015831308902e-01
5.041008201640327924e-01,1.638743806852377194e+00,3.354414985974712993e-01,5.091051757752355911e-02,-7.456766354191610713e-01,-7.280008546874159325e-01
5.101020204040808137e-01,1.634268751435161926e+00,3.369005150875822863e-01,5.158819397058295869e-02,-7.457070505893228507e-01,-7.321117502409659750e-01
5.161032206441288350e-01,1.629793572531612833e+00,3.383558475583222647e-01,5.226713250925512505e-02,-7.457179429371014745e-01,-7.585228102552712404e-01
5.221044208841767453e-01,1.625318386610207888e+00,3.398074938123800681e-01,5.294732088784041835e-02,-7.457094690149729255e-01,-7.457304449463185714e-01
5.281056211242247667e-01,1.620843309250160624e+00,3.412554516720077702e-01,5.362874688235163417e-02,-7.456817846697002539e-01,-7.367703135941765513e-01
5.341068213642727880e-01,1.616368455141418581e+00,3.426997189790202403e-01,5.431139835051387865e-02,-7.456350450420856646e-01,-7.362669583251401084e-01
5.401080216043208093e-01,1.611893938084665079e+00,3.441402935947952546e-01,5.499526323176463782e-02,-7.455694045667107250e-01,-7.280445606444236883e-01
5.461092218443688306e-01,1.607419870991317445e+00,3.455771734002736628e-01,5.568032954725377764e-02,-7.454850169716640274e-01,-7.403553044272327410e-01
5.521104220844168520e-01,1.602946365883528790e+00,3.470103562959592214e-01,5.636658539984353011e-02,-7.453820352782595249e-01,-7.472786020576295263e-01
5.581116223244648733e-01,1.598473533894186227e+00,3.484398402019186491e-01,5.705401897410848633e-02,-7.452606118007401026e-01,-7.504375730964970570e-01
5.641128225645128946e-01,1.594001485266911988e+00,3.498656230577815718e-01,5.774261853633561731e-02,-7.451208981459720437e-01,-7.240060421353070597e-01
5.701140228045609160e-01,1.589530329356063643e+00,3.512877028227406329e-01,5.843237243452424623e-02,-7.449630452131301706e-01,-7.899801307147009677e-01
5.761152230446089373e-01,1.585060174626732765e+00,3.527060774755514383e-01,5.912326909838608313e-02,-7.447872031933679970e-01,-7.475603096951947135e-01
5.821164232846568476e-01,1.580591128654746491e+00,3.541207450145325009e-01,5.981529703934518327e-02,-7.445935215694822196e-01,-7.439335194898010206e-01
5.881176235247048689e-01,1.576123298126666405e+00,3.555317034575652957e-01,6.050844485053800265e-02,-7.443821491155622194e-01,-7.728891283329659689e-01
5.941188237647528902e-01,1.571656788839789209e+00,3.569389508420942603e-01,6.120270120681333553e-02,-7.441532338966346805e-01,-7.374969616338737932e-01
6.001200240048009116e-01,1.567191705702146276e+00,3.583424852251268500e-01,6.189805486473236307e-02,-7.439069232682931077e-01,-7.569325435171609939e-01
6.061212242448489329e-01,1.562728152732503650e+00,3.597423046832333160e-01,6.259449466256861161e-02,-7.436433638763211285e-01,-7.263944679500061730e-01
6.121224244848969542e-01,1.558266233060362937e+00,3.611384073125470384e-01,6.329200952030801519e-02,-7.433627016563060241e-01,-7.458745433369925459e-01
6.181236247249449756e-01,1.553806048925959971e+00,3.625307912287643042e-01,6.399058843964881838e-02,-7.430650818332397156e-01,-7.296820170174506126e-01
6.241248249649929969e-01,1.549347701680265477e+00,3.639194545671442516e-01,6.469022050400169421e-02,-7.427506489211150864e-01,-7.183737768176906568e-01
6.301260252050410182e-01,1.544891291784985077e+00,3.653043954825090922e-01,6.539089487848963322e-02,-7.424195467225090939e-01,-7.347609550682396851e-01
6.361272254450889285e-01,1.540436918812559730e+00,3.666856121492439446e-01,6.609260080994804054e-02,-7.420719183281603293e-01,-7.595863411966172762e-01
6.421284256851369499e-01,1.535984681446164624e+00,3.680631027612968897e-01,6.679532762692463876e-02,-7.417079061165343656e-01,-7.719942787506270943e-01
6.481296259251849712e-01,1.531534677479709838e+00,3.694368655321790262e-01,6.749906473967957898e-02,-7.413276517533832211e-01,-7.062599694030557984e-01
6.541308261652329925e-01,1.527087003817840793e+00,3.708068986949642487e-01,6.820380164018532976e-02,-7.409312961912947193e-01,-7.431571400550450734e-01
6.601320264052810138e-01,1.522641756475937358e+00,3.721732005022895806e-01,6.890952790212673262e-02,-7.405189796692335236e-01,-7.542902786219199962e-01
6.661332266453290352e-01,1.518199030755504442e+00,3.735357692293524989e-01,6.961623315258695655e-02,-7.400908418063907313e-01,-7.372057000451742725e-01
6.721344268853770565e-01,1.513758921964780457e+00,3.748946031867747553e-01,7.032390695215195997e-02,-7.396470219923483302e-01,-7.434752486020013151e-01
6.781356271254250778e-01,1.509321523708825330e+00,3.762497006916008524e-01,7.103253906892179059e-02,-7.391876584688467089e-01,-7.221448131845930041e-01
6.841368273654730991e-01,1.504886928635245313e+00,3.776010600791736005e-01,7.174211936327637429e-02,-7.387128887260974164e-01,-7.380343250773554464e-01
6.901380276055210095e-01,1.500455228614863357e+00,3.789486797061569767e-01,7.245263775911019166e-02,-7.382228495996058237e-01,-7.379478579272373828e-01
6.961392278455690308e-01,1.496026514741717550e+00,3.802925579505362919e-01,7.316408424383215314e-02,-7.377176772701834473e-01,-7.520092716908427510e-01
7.021404280856170521e-01,1.491600877333061792e+00,3.816326932116176351e-01,7.387644886836568225e-02,-7.371975072639460613e-01,-7.278061452889962313e-01
7.081416283256650734e-01,1.487178405929366676e+00,3.829690839100285960e-01,7.458972174714866010e-02,-7.366624744522992652e-01,-7.573398088993988919e-01
7.141428285657130948e-01,1.482759189294317936e+00,3.843017284877175421e-01,7.530389305813343925e-02,-7.361127130519090622e-01,-7.227949242566297228e-01
7.201440288057611161e-01,1.478343315414817116e+00,3.856306254079542306e-01,7.601895304278689924e-02,-7.355483566246595606e-01,-7.050696063648569378e-01
7.261452290458091374e-01,1.473930871500982454e+00,3.869557731553294744e-01,7.673489200609034944e-02,-7.349695380775999043e-01,-7.654632588395829940e-01
7.321464292858571588e-01,1.469521943986146884e+00,3.882771702357551424e-01,7.745170031653961229e-02,-7.343763896628739962e-01,-7.837009742899003761e-01
7.381476295259051801e-01,1.465116618526860259e+00,3.895948151764642708e-01,7.816936840614496784e-02,-7.337690429776406731e-01,-7.214314678745542553e-01
7.441488297659530904e-01,1.460714980002887575e+00,3.909087065260111182e-01,7.888788677043118147e-02,-7.331476289639806687e-01,-6.821896726543181799e-01
7.501500300060011117e-01,1.456317112517210077e+00,3.922188428542709993e-01,7.960724596843754552e-02,-7.325122779087900327e-01,-7.525307748862278823e-01
7.561512302460491330e-01,1.451923099396024819e+00,3.935252227524402846e-01,8.032743662271776830e-02,-7.318631194436611143e-01,-7.568770346197009058e-01
7.621524304860971544e-01,1.447533023188744661e+00,3.948278448330366786e-01,8.104844941934007119e-02,-7.312002825447535548e-01,-7.194209038691440350e-01
7.681536307261451757e-01,1.443146965667998272e+00,3.961267077298987749e-01,8.177027510788713316e-02,-7.305238955326500694e-01,-7.473383273338162214e-01
7.741548309661931970e-01,1.438765007829630127e+00,3.974218100981864454e-01,8.249290450145616016e-02,-7.298340860722016821e-01,-7.399545957509363614e-01
7.801560312062412184e-01,1.434387229892700955e+00,3.987131506143806181e-01,8.321632847665878796e-02,-7.291309811723625245e-01,-7.360933305060380905e-01
7.861572314462892397e-01,1.430013711299487067e+00,4.000007279762834989e-01,8.394053797362115155e-02,-7.284147071860092026e-01,-7.177746654601732113e-01
7.921584316863372610e-01,1.425644530715480585e+00,4.012845409030182386e-01,8.466552399598388512e-02,-7.276853898097521700e-01,-7.357914370376145152e-01
7.981596319263851713e-01,1.421279766029389657e+00,4.025645881350291555e-01,8.539127761090206659e-02,-7.269431540837332228e-01,-7.213854972821299727e-01
8.041608321664331926e-01,1.416919494353138020e+00,4.038408684340818455e-01,8.611778994904531470e-02,-7.261881243914132256e-01,-7.297187895692847093e-01
8.101620324064812140e-01,1.412563792021865883e+00,4.051133805832628498e-01,8.684505220459765029e-02,-7.254204244593461803e-01,-7.423138465323781965e-01
8.161632326465292353e-01,1.408212734593928372e+00,4.063821233869798766e-01,8.757305563525764891e-02,-7.246401773569449700e-01,-7.310367025118094109e-01
8.221644328865772566e-01,1.403866396850897535e+00,4.076470956709619675e-01,8.830179156223830206e-02,-7.238475054962333344e-01,-7.428554987995916736e-01
8.281656331266252780e-01,1.399524852797560337e+00,4.089082962822589429e-01,8.903125137026714209e-02,-7.230425306315880762e-01,-7.229122309141930991e-01
8.341668333666732993e-01,1.395188175863107505e+00,4.101657240946747773e-01,8.976142648153150050e-02,-7.222253739736322897e-01,-7.447026985249449726e-01
8.401680336067213206e-01,1.390856439613932460e+00,4.114193780285914093e-01,9.049230826065920996e-02,-7.213961565961783950e-01,-7.432540439820832789e-01
8.461692338467693419e-01,1.386529715965507892e+00,4.126692570028485108e-01,9.122388824498052495e-02,-7.205549984225734228e-01,-6.914157621164682688e-01
8.521704340868172523e-01,1.382208075993309970e+00,4.139153599557365282e-01,9.195615804331067067e-02,-7.197020186819345078e-01,-7.207657030880413318e-01
8.581716343268652736e-01,1.377891590103815789e+00,4.151576858495532041e-01,9.268910931407388365e-02,-7.188373360060311690e-01,-7.199153765154719942e-01
8.641728345669132949e-01,1.373580328034505138e+00,4.163962336706031886e-01,9.342273376530328688e-02,-7.179610684293986633e-01,-7.077303400310462900e-01
8.701740348069613162e-01,1.369274358853859397e+00,4.176310024291983725e-01,9.415702315464095917e-02,-7.170733333894403483e-01,-7.254904734404177269e-01
8.761752350470093376e-01,1.364973750961361532e+00,4.188619911596575540e-01,9.489196928933794906e-02,-7.161742477265118367e-01,-7.207449550760749446e-01
8.821764352870573589e-01,1.360678572087496319e+00,4.200891989203067722e-01,9.562756402625423313e-02,-7.152639276839927174e-01,-7.067609529773545285e-01
8.881776355271053802e-01,1.356388889293750788e+00,4.213126247934791402e-01,9.636379927185875771e-02,-7.143424889083445084e-01,-7.086941720634565289e-01
8.941788357671534015e-01,1.352104768972613114e+00,4.225322678855148451e-01,9.710066698222941106e-02,-7.134100464491526239e-01,-7.365959809878012132e-01
9.001800360072014229e-01,1.347826276847574167e+00,4.237481273267612036e-01,9.783815916305302340e-02,-7.124667147591571270e-01,-6.957998628257638929e-01
9.061812362472493332e-01,1.343553477973125743e+00,4.249602022715724958e-01,9.857626786962535304e-02,-7.115126076942660527e-01,-7.233213065600468950e-01
9.121824364872973545e-01,1.339286436734761887e+00,4.261684918983102976e-01,9.931498520685116960e-02,-7.105478385135582942e-01,-7.316694175198420469e-01
9.181836367273453758e-01,1.335025216848978236e+00,4.273729954093431482e-01,1.000543033292441292e-01,-7.095725198792715016e-01,-7.275820212792525332e-01
9.241848369673933972e-01,1.330769881363272900e+00,4.285737120310467163e-01,1.007942144409268714e-01,-7.085867638567765470e-01,-7.163976707438830527e-01
9.301860372074414185e-01,1.326520492656144690e+00,4.297706410138036892e-01,1.015347107956309780e-01,-7.075906819145376669e-01,-6.750446768220763616e-01
9.361872374474894398e-01,1.322277112437095337e+00,4.309637816320039949e-01,1.022757846966969447e-01,-7.065843849240631691e-01,-7.300951030224788196e-01
9.421884376875374612e-01,1.318039801746627715e+00,4.321531331840445800e-01,1.030174284970742787e-01,-7.055679831598362650e-01,-7.023664653091494792e-01
9.481896379275854825e-01,1.313808620956246731e+00,4.333386949923294651e-01,1.037596345993213737e-01,-7.045415862992406852e-01,-7.472980734610522591e-01
9.541908381676335038e-01,1.309583629768459101e+00,4.345204664032697450e-01,1.045023954556056345e-01,-7.035053034224674207e-01,-7.035366420853713665e-01
9.601920384076814141e-01,1.305364887216773351e+00,4.356984467872836997e-01,1.052457035677033387e-01,-7.024592430124112497e-01,-6.844679146628911415e-01
9.661932386477294354e-01,1.301152451665699594e+00,4.368726355387966276e-01,1.059895514869998029e-01,-7.014035129545548308e-01,-7.061367793957838979e-01
9.721944388877774568e-01,1.296946380810749977e+00,4.380430320762409568e-01,1.067339318144892302e-01,-7.003382205368380298e-01,-7.129253190145048436e-01
9.781956391278254781e-01,1.292746731678438898e+00,4.392096358420562452e-01,1.074788372007747517e-01,-6.992634724495191412e-01,-6.946332511683483979e-01
9.841968393678734994e-01,1.288553560626281458e+00,4.403724463026890135e-01,1.082242603460685376e-01,-6.981793747850164600e-01,-6.841763397620034270e-01
9.901980396079215208e-01,1.284366923342795674e+00,4.415314629485930231e-01,1.089701940001916169e-01,-6.970860330377472991e-01,-6.838128816173991709e-01
9.961992398479695421e-01,1.280186874847500933e+00,4.426866852942289987e-01,1.097166309625740160e-01,-6.959835521039451356e-01,-6.565340750253493285e-01
1.002200440088017563e+00,1.276013469490918206e+00,4.438381128780649054e-01,1.104635640822546894e-01,-6.948720362814714280e-01,-6.906886868347459352e-01
1.008201640328065585e+00,1.271846761016731886e+00,4.449857452647431599e-01,1.112109862513349506e-01,-6.937515893065041572e-01,-7.055997913015628065e-01
1.014202840568113606e+00,1.267686803519849859e+00,4.461295820788415689e-01,1.119588903028223559e-01,-6.926223149235186671e-01,-6.951418987232514946e-01
1.020204040808161627e+00,1.263533649776936496e+00,4.472696229470057294e-01,1.127072691848195057e-01,-6.914843158962548086e-01,-6.929342868086511009e-01
1.026205241048209649e+00,1.259387351597753391e+00,4.484058675093378077e-01,1.134561159261019553e-01,-6.903376942128558458e-01,-6.881629465432934634e-01
1.032206441288257670e+00,1.255247960225372550e+00,4.495383154332294739e-01,1.142054235943638918e-01,-6.891825513230043221e-01,-6.897831075875929807e-01
1.038207641528305691e+00,1.251115526336174621e+00,4.506669664133620690e-01,1.149551852962181625e-01,-6.880189881380337491e-01,-6.845396693601096816e-01
1.044208841768353491e+00,1.246990100039850224e+00,4.517918201717062709e-01,1.157053941771962607e-01,-6.868471050310269721e-01,-7.202641062433292607e-01
1.050210042008401512e+00,1.242871730879399284e+00,4.529128764575225397e-01,1.164560434217483953e-01,-6.856670018369018793e-01,-6.690744227161010693e-01
1.056211242248449533e+00,1.238760467831131473e+00,4.540301350473606723e-01,1.172071262532433239e-01,-6.844787778524803468e-01,-6.959735632309009823e-01
1.062212442488497555e+00,1.234656359304665774e+00,4.551435957450600256e-01,1.179586359339685059e-01,-6.832825318365450817e-01,-7.067457057654855657e-01
1.068213642728545576e+00,1.230559453142930915e+00,4.562532583817495713e-01,1.187105657651300605e-01,-6.820783620098815891e-01,-6.693233388170528597e-01
1.074214842968593597e+00,1.226469796622164488e+00,4.573591228158477850e-01,1.194629090868527255e-01,-6.808663660553060382e-01,-6.545198459075843855e-01
1.080216043208641619e+00,1.222387436451914500e+00,4.584611889330627021e-01,1.202156592781799122e-01,-6.796466411176809164e-01,-6.697860781276920861e-01
1.086217243448689640e+00,1.218312418775037820e+00,4.595594566463917507e-01,1.209688097570736781e-01,-6.784192838039158069e-01,-6.751960975270053789e-01
1.092218443688737661e+00,1.214244789167701288e+00,4.606539258961220296e-01,1.217223539804147270e-01,-6.771843901829553980e-01,-6.958287962903944024e-01
1.098219643928785683e+00,1.210184592639380607e+00,4.617445966498301968e-01,1.224762854440024223e-01,-6.759420557857536149e-01,-6.185107090294836851e-01
1.104220844168833704e+00,1.206131873632861673e+00,4.628314689023823592e-01,1.232305976825547600e-01,-6.746923756052353172e-01,-6.570872031920051981e-01
1.110222044408881725e+00,1.202086676024239686e+00,4.639145426759341273e-01,1.239852842697083957e-01,-6.734354440962443400e-01,-6.962213375031038876e-01
1.116223244648929747e+00,1.198049043122918933e+00,4.649938180199308380e-01,1.247403388180186451e-01,-6.721713551754795457e-01,-6.877641135002744432e-01
1.122224444888977768e+00,1.194019017671613669e+00,4.660692950111071098e-01,1.254957549789594562e-01,-6.709002022214162197e-01,-6.691606172499781069e-01
