n,L,E,E_noisy
4.396336821021445296e+00,1.467328551409451421e-08,-6.568861011254562334e-20,-6.567566947440164060e-20
7.865160398608670889e+00,4.423829246594563368e-09,1.665286228718986201e-19,1.665386901150516821e-19
7.731600355646507161e+00,1.028633762175181470e-08,-1.703192792781189161e-20,-1.705903955260155131e-20
6.073529585414735976e+00,1.327798254712433149e-08,-5.274344304072186380e-20,-5.276233317318154076e-20
4.788587988832039954e+00,2.781707713869161962e-09,1.619927227861772837e-19,1.619909750652567323e-19
2.938238428317595741e+00,9.474223113040149296e-09,-3.827789050753801808e-20,-3.828211241165378128e-20
2.124564061425887829e+00,3.501396897413978810e-09,6.725873708553454719e-21,6.728010138528441127e-21
7.789477892512928214e+00,4.386350924787683562e-09,1.662639759586211109e-19,1.662661491779313333e-19
4.612480098835151310e+00,6.669551257571585718e-09,-3.789246587486644236e-21,-3.768068199936133951e-21
1.811059287295392117e+00,9.236699846895001914e-09,-3.533458529760390966e-20,-3.534570550523083341e-20
5.364428288762502994e+00,9.039001179126731981e-09,-2.313551273094808452e-20,-2.313928878101935323e-20
6.436781800396086162e+00,8.551812601989785511e-09,-8.192931940468898772e-21,-8.172504224393975176e-21
5.291023107371283452e+00,1.444438406924338353e-08,-6.261007524856881015e-20,-6.260360821860679680e-20
7.421083933536318789e+00,8.621434208269673003e-09,1.758312664003162588e-21,1.764943297726925313e-21
1.277150136649420009e+00,1.153024978767807596e-08,-3.547938701871300414e-20,-3.548452708242988175e-20
4.700124842820152082e+00,6.345897017657625652e-09,1.942111362275404051e-21,1.925630610566847464e-21
4.215351180197826508e+00,1.167633773437111957e-08,-4.857343135163703104e-20,-4.857175670419480233e-20
1.436447054049129202e+00,1.172257810412201437e-08,-4.049424221473447565e-20,-4.049315207385626135e-20
5.489297183975624606e+00,1.070434986006842185e-08,-3.667358933045843171e-20,-3.668586285100088035e-20
6.968429869364596740e+00,1.180584473698400463e-08,-3.738922603550834408e-20,-3.739605830212615124e-20
5.150587126729988086e+00,9.440637046489639943e-09,-2.828286467367528066e-20,-2.828358511047255298e-20
2.820682134160562349e+00,1.312331447832865422e-08,-5.785968842252904563e-20,-5.786913593875965022e-20
6.879170647219861934e+00,1.282294115170544990e-08,-4.602171667131044444e-20,-4.602269937098896924e-20
4.566471170650565625e+00,3.253067060688593894e-09,1.011970349475709387e-19,1.011979897778456370e-19
4.576222191265731709e+00,7.828625235629855079e-09,-1.754883798097926648e-20,-1.754848211860871155e-20
6.271211453915245038e+00,3.568736837185047516e-09,1.660384016171972356e-19,1.660333387006141027e-19
2.035454250494695749e+00,1.435700751079219057e-08,-6.011901076752094902e-20,-6.011307328680309250e-20
6.737387033834938421e+00,7.653585551627502323e-09,8.637706105878445159e-21,8.646617775421268088e-21
5.783008342022800008e+00,4.861018135310183524e-09,6.056950717900240463e-20,6.057271566204807326e-20
6.509678590883607008e+00,1.288917104239338397e-08,-4.821676540901658597e-20,-4.822494771129049014e-20
2.341313813140946554e+00,3.133810074750976842e-09,1.917942988092666605e-20,1.918674640376452062e-20
6.616549127941709685e+00,4.003130332396551544e-09,1.429227191047759727e-19,1.429177047045913121e-19
2.339267482400401832e+00,1.082478917774397766e-08,-4.532920673482930227e-20,-4.532041512864642217e-20
1.570868321544589108e+00,8.596503197554714757e-09,-3.040644757841269560e-20,-3.041716545258146781e-20
6.986588820009490775e+00,5.474830661530551982e-09,7.022824597659911835e-20,7.023739064863040385e-20
7.028984473243679254e+00,9.491637000408324461e-09,-1.400294674406770739e-20,-1.400314737861386327e-20
7.135759674916063666e+00,4.695987759549911572e-09,1.145160508516421774e-19,1.145035633627388232e-19
4.303368035511531353e+00,6.020062941665519746e-09,1.426642176008167742e-21,1.423503181288499350e-21
2.918338720296028033e+00,9.943787983831631441e-09,-4.101520922338026988e-20,-4.101466820059255215e-20
1.049642800222163830e+00,1.347811801227231747e-08,-2.992377867999904045e-20,-2.992105076660739779e-20
5.520046269024634356e+00,1.114131754606083667e-08,-3.987417353480175557e-20,-3.988399541605116654e-20
6.039365684560851655e+00,1.036196119384898863e-08,-3.057800929726208719e-20,-3.058908302773373893e-20
6.848984515501919113e+00,1.170641278193191701e-08,-3.723923384969388510e-20,-3.723723800436541726e-20
2.973144791551795230e+00,6.918885148214490513e-09,-2.117022914740911931e-20,-2.117489664357791646e-20
2.506527170140815386e+00,1.475271478265035143e-08,-6.495123314047809995e-20,-6.494887808436079370e-20
5.475319660466114513e+00,9.946382340103140134e-09,-3.055788291418100674e-20,-3.055028771895622485e-20
6.635383832015067540e+00,5.348296581650875376e-09,6.553678420746985382e-20,6.552029633380634856e-20
7.745696109914796068e+00,2.467548222048108043e-09,5.708697123867751141e-19,5.708722562679403037e-19
2.053673812948242361e+00,3.452822608846597468e-09,6.238791937627877887e-21,6.251038407303235238e-21
4.375486717395355996e+00,4.580618970992278842e-09,3.222016709588901445e-20,3.221719182744531254e-20
7.263011035373214241e+00,1.154684430713226633e-08,-3.333450754644995866e-20,-3.334261569228233694e-20
3.959018348618061012e+00,1.258877513814398692e-08,-5.458025120117768095e-20,-5.457272876290588129e-20
5.126514434588337110e+00,1.403088698563407844e-08,-6.052907013376363630e-20,-6.052653566860155802e-20
1.171434742453542288e+00,1.035783305730839852e-08,-2.811207425614196359e-20,-2.810311542543418868e-20
5.714219210070572430e+00,5.864600869681638595e-09,2.795241907188960054e-20,2.794896691478908871e-20
7.433620337436757097e+00,1.290529816146535062e-08,-4.390598065050850729e-20,-4.392079883324573212e-20
6.787777306897047502e+00,1.439511220848941275e-08,-5.768315918732116438e-20,-5.768425929496827161e-20
7.198641866969627046e+00,1.105974992048858130e-08,-2.923957853209373513e-20,-2.924403681362385037e-20
5.622487663643663147e+00,2.940654519620488757e-09,2.023462791715692519e-19,2.023540324097897231e-19
2.718865870702242837e+00,7.342765698165600994e-09,-2.549185490179763966e-20,-2.548991857331386879e-20
6.379618992273780265e+00,5.236267187507875055e-09,6.282660310640616773e-20,6.281029461408181279e-20
2.481723198252573592e+00,1.421038665451762163e-08,-6.225875784564211856e-20,-6.227070947644314978e-20
6.818923842651228640e+00,1.254460408463892717e-08,-4.417445870255896784e-20,-4.416562081219309799e-20
1.439025457995377622e+00,2.909052457692765588e-09,4.221454163004971634e-21,4.228251813179149930e-21
6.778414693754890585e+00,9.922615094184194335e-09,-2.097956221743190762e-20,-2.098596465109099304e-20
2.151550865318708983e+00,1.480691858052331154e-08,-6.312088448253904843e-20,-6.312089497050471588e-20
3.626028975476493166e+00,8.809479651257401752e-09,-3.186357929966020829e-20,-3.185912356412244554e-20
3.217167165898750181e+00,1.356273747546686143e-08,-6.047953773970356594e-20,-6.047485369634509347e-20
5.839359246944188619e+00,1.256029880376404461e-08,-4.871639065133694819e-20,-4.870762822937580507e-20
2.250003147220603239e+00,8.129986185257998283e-09,-3.118800747288845198e-20,-3.118544261661623752e-20
3.773793135518904940e+00,7.746109153098791849e-09,-2.286890738703720094e-20,-2.286985567042688660e-20
1.040772165755866618e+00,4.101465440774403447e-09,-5.165188338526485584e-21,-5.167776819174364400e-21
2.837462989250710610e+00,6.608104411473467124e-09,-1.952075894453063972e-20,-1.951020151652530697e-20
3.948321699602686863e+00,4.487766783553777840e-09,2.457033478376333341e-20,2.454782624101254920e-20
1.741448656951271268e+00,1.299419859007310724e-08,-5.093114323382316760e-20,-5.093252978707408049e-20
5.432119622255904723e+00,9.844242525511876210e-09,-2.995500616653743001e-20,-2.995467616549759111e-20
3.662969889205726304e+00,1.417114952753008583e-08,-6.365888401733230986e-20,-6.367313750694101481e-20
6.077057566533672350e+00,7.334604827826622742e-09,5.018144774873913571e-21,5.021472911005293871e-21
5.577062077478760926e+00,1.112222117142092767e-08,-3.944573451468083537e-20,-3.945224732480527154e-20
4.018587241441843538e+00,1.283095241838074955e-08,-5.586634230616878120e-20,-5.585771785820562606e-20
7.071243539495394081e+00,2.167404644628329236e-09,6.176549349597781753e-19,6.176536790389378094e-19
5.424945822501169523e+00,6.197101266021197255e-09,1.546538390656905679e-20,1.547207543897695173e-20
6.671920464744093060e+00,7.670987292792762672e-09,7.459141245830737742e-21,7.471329681882449926e-21
3.392563067580791181e+00,1.407184477231955922e-08,-6.318124690236230876e-20,-6.317741760653517541e-20
4.805685027679189147e+00,1.331635513831516045e-08,-5.702266770773917909e-20,-5.703142491917341338e-20
2.374078195803273950e+00,3.098607155734167210e-09,2.099398264473148249e-20,2.097883945841443696e-20
7.972988330830395043e+00,1.442096852120822148e-08,-5.306680331051539714e-20,-5.304926946934023485e-20
2.702508250144290081e+00,1.014974951593607071e-08,-4.228513399970887548e-20,-4.228624692164074801e-20
2.798072270589718968e+00,2.935136462980426674e-09,4.031952276605713724e-20,4.031263711658079188e-20
1.512330506736761837e+00,1.097158923475936712e-08,-3.917439597074977554e-20,-3.917295339986916773e-20
2.804621832977156171e+00,1.311971419042063398e-08,-5.781575288033204707e-20,-5.781766699363686772e-20
6.341899727808372411e+00,5.365118681683008652e-09,5.701368727265811452e-20,5.702220869530023650e-20
5.885254994781568882e+00,6.194600244065676592e-09,2.352971183197335811e-20,2.353005111379772993e-20
1.900712486220186070e+00,5.610004969602244284e-09,-1.647577583672597117e-20,-1.647563834088978689e-20
3.633669509996659386e+00,1.113259616819475472e-08,-4.671913795927313060e-20,-4.672628375648345730e-20
3.946449762322240318e+00,1.133762922268824528e-08,-4.721571240344708350e-20,-4.721101672245961055e-20
5.654889724533725293e+00,1.206653999833905481e-08,-4.601246603884008406e-20,-4.602280470606363513e-20
4.191502741306242008e+00,1.397353470834094899e-08,-6.206632850819334841e-20,-6.205966961379570722e-20
5.105628287778719354e+00,4.363767231656515186e-09,6.026152366108783735e-20,6.027676303621773474e-20
6.877792225262596482e+00,1.120722311282096433e-08,-3.272604133971232730e-20,-3.274128820009332048e-20
6.085315272186592850e+00,1.039413886107282403e-08,-3.056563503514387830e-20,-3.059029732745739084e-20
3.555050844559912715e+00,5.414074070121415880e-09,-2.391133638444893912e-23,-1.774254883290574434e-23
4.138774165411390094e+00,1.467901025983708603e-08,-6.603943979264128835e-20,-6.601396081448645860e-20
3.573896987830046168e+00,8.200482927191774987e-09,-2.767821447460797583e-20,-2.768822372309669697e-20
1.768142648046877152e+00,1.433475718399883395e-08,-5.691348936242679934e-20,-5.692599632001482327e-20
2.422690808611775992e+00,1.463305931034760937e-08,-6.400139207242822137e-20,-6.399550238309041511e-20
2.986645422608917411e+00,1.370062524590219544e-08,-6.101349698748431924e-20,-6.102190420338490298e-20
3.198937269216115542e+00,7.973309679741211029e-09,-2.786248965278848315e-20,-2.786754990762785262e-20
3.191335011739563576e+00,5.637098271917785835e-09,-7.359974568068018412e-21,-7.363455742734856189e-21
5.036898013770664484e+00,9.614905211619677340e-09,-3.047456945407654517e-20,-3.046924943321362599e-20
7.801829829338283062e+00,7.843965828384303666e-09,2.040965813865784505e-20,2.040560511504391288e-20
6.422648944466123666e+00,8.086620563979435596e-09,-2.059751764242452737e-21,-2.056972935841651298e-21
6.537937637209636499e+00,5.173057468125077704e-09,6.985123724654482254e-20,6.984947191395588443e-20
6.314879503777059533e+00,1.294928998022968239e-08,-4.949114089990029283e-20,-4.949958761093680696e-20
5.178914113666294838e+00,1.149941321208465575e-08,-4.403091693137570007e-20,-4.403411519395313069e-20
7.423845800196389177e+00,1.324902477243835326e-08,-4.667204208500457090e-20,-4.668154608165624853e-20
5.827411088129566430e+00,8.910004736940860341e-09,-1.812230595542162231e-20,-1.812224080556292342e-20
4.502495015158096692e+00,3.204628511334084447e-09,1.016285186939518006e-19,1.016172800316761489e-19
1.539586659503771271e+00,1.321001621383342350e-08,-4.837186484801986696e-20,-4.838279379171282138e-20
4.419144589598666961e+00,2.900265620911960302e-09,1.235492456683450908e-19,1.235638152864981391e-19
2.489816967382340263e+00,4.008708123240432699e-09,4.882871354548824988e-21,4.882339512345771216e-21
1.928874082827510605e+00,1.427356169032480938e-08,-5.868861614423770666e-20,-5.868915516449242295e-20
4.542454457705610515e+00,9.299562065376530636e-09,-3.083105116887122029e-20,-3.082593580467204175e-20
6.495597048178713528e+00,1.077496633476308056e-08,-3.130425646121852573e-20,-3.130846503124401683e-20
3.065045099638636472e+00,1.267290467344170193e-08,-5.577572631089519228e-20,-5.577801166456996964e-20
6.381402319364164910e+00,1.063924276390655943e-08,-3.082844050041529536e-20,-3.082418901306197420e-20
4.679406662135778383e+00,7.771626745140515084e-09,-1.607417748279170945e-20,-1.607135332436926569e-20
2.043336163594987820e+00,9.058992433295511374e-09,-3.566272802877798455e-20,-3.567432099604731180e-20
7.754774207858149637e+00,7.180289317739498707e-09,3.426743311003899510e-20,3.427576653600569313e-20
3.811453567219622585e+00,9.503475524617657853e-09,-3.589220704610956751e-20,-3.589811139554245888e-20
3.066639789638870628e+00,2.028691399229638406e-09,1.249748518352489191e-19,1.249642910457457890e-19
6.928988594436107817e+00,8.607459250687649036e-09,-3.669616591685933977e-21,-3.678621342385924333e-21
1.871222327608358826e+00,2.309683173744647137e-09,2.917520297484330977e-20,2.917129752139975471e-20
6.135133227515924048e+00,3.425735334711683925e-09,1.737472249674723931e-19,1.737634979700186290e-19
2.314773197958278406e+00,1.300278756989922589e-08,-5.577588357951166358e-20,-5.578763893856086644e-20
3.747442432088077258e+00,1.057201952497081243e-08,-4.304393471133410218e-20,-4.304233395240875654e-20
2.623299149234969097e+00,4.368182320772255510e-09,1.576161128264881385e-21,1.554782884683975705e-21
6.888595948846708339e+00,1.171363282827378470e-08,-3.707083696964073619e-20,-3.707085263897218727e-20
3.730521863579032260e+00,8.185182504641954406e-09,-2.670006139960680109e-20,-2.669106573543203989e-20
7.822849690176024495e+00,3.753001587650675969e-09,2.399723297788292920e-19,2.399699631456086681e-19
5.376830390905746881e+00,1.408591403685941485e-08,-6.021184752103134959e-20,-6.021814107027017983e-20
5.855359842920406344e+00,3.466466280310221574e-09,1.525492930735365609e-19,1.525516081841771421e-19
4.650675854926922703e+00,2.256657154237796269e-09,2.396806816781355531e-19,2.396876831956470650e-19
3.162777393529137893e+00,5.335822469935735436e-09,-4.082497348516099400e-21,-4.075860772805924979e-21
3.768894947367001258e+00,3.129178790015035590e-09,7.109032115955760510e-20,7.111004589809689966e-20
7.586539313633312354e+00,2.217378961560397610e-09,6.804891194052826858e-19,6.804912110800060113e-19
2.408422405072651262e+00,1.049214439403487333e-08,-4.381873595201159950e-20,-4.382466005300913084e-20
7.917532308541486152e+00,3.715507806886792533e-09,2.517953977945904002e-19,2.517941380026905500e-19
6.308141034026728988e+00,9.330437972805842282e-09,-1.854493235212657121e-20,-1.854565733758276975e-20
3.518508485448271550e+00,5.153667779224127420e-09,3.315217873691804745e-21,3.316305247526585815e-21
5.490595126539223436e+00,1.422845176497762799e-08,-6.077832195501165800e-20,-6.077862223314395261e-20
3.666870775051612519e+00,4.806127847832476152e-09,1.177404928451523159e-20,1.177578894390419331e-20
3.670450528479439978e+00,8.768511442440430705e-09,-3.136943241933765815e-20,-3.138614091994381130e-20
4.526620651361707104e+00,1.155483435363153221e-08,-4.686001169104111219e-20,-4.685171540148071054e-20
1.117059751447639471e+00,6.044688942183182725e-09,-1.346158063902446749e-20,-1.346732803171367788e-20
4.455000919603772758e+00,1.281261207068893184e-08,-5.485596026270139914e-20,-5.486769184966586997e-20
7.801188894128216589e+00,6.081726377708317880e-09,6.825112363621721172e-20,6.825750114781362238e-20
2.998256601499049268e+00,7.042180829063334124e-09,-2.198603097783673094e-20,-2.197285771776286972e-20
6.237525713536284933e+00,7.595047672860597675e-09,2.995442052914106723e-21,3.000372334409101224e-21
4.099522230493465536e+00,7.445623585113467182e-09,-1.773722541220277732e-20,-1.773561381906432327e-20
2.464967298324498124e+00,9.903267507335388347e-09,-4.086005929555437846e-20,-4.086938149860809525e-20
7.335017995726906825e+00,4.941192950797800485e-09,1.070681753735750184e-19,1.070968910469531529e-19
1.117790992761491076e+00,6.279783435758521003e-09,-1.423189979411481170e-20,-1.422309720790819579e-20
3.124562486196574618e+00,4.976636407127693310e-09,1.841464561812065383e-22,1.727535094777767721e-22
7.993181176267562194e+00,5.600288230719590965e-09,9.396071108379964149e-20,9.395291470463724167e-20
2.835027573329926387e+00,1.191617024013206895e-08,-5.169805120073884316e-20,-5.169718140825312194e-20
6.943311653014903939e+00,1.018046779968428772e-08,-2.237046241808094101e-20,-2.238600972940090209e-20
5.239782040589929579e+00,1.451626093151244752e-08,-6.316443150973761059e-20,-6.316274520566750380e-20
6.642249952689865289e+00,1.435169052815162706e-08,-5.791621987557160931e-20,-5.792081059112873439e-20
5.412224288104347636e+00,4.666110809801909081e-09,5.737963642232075363e-20,5.739189912832391963e-20
3.538877999404938635e+00,4.729298467494891997e-09,1.089172422747342812e-20,1.090134577410970995e-20
6.325521492084377861e+00,1.379942349593547536e-08,-5.534159378502997645e-20,-5.536870663940431927e-20
1.185391842327806255e+00,3.806477728360186288e-09,-5.030610524001044643e-21,-5.030193498140771764e-21
4.127690662141163536e+00,1.189540561095662782e-08,-5.013994394948291931e-20,-5.015611862447815686e-20
3.602981989090741965e+00,4.492876919740329218e-09,1.691677057250514368e-20,1.692786695249762967e-20
4.339518039461446541e+00,3.859476626579129307e-09,5.654892820409776026e-20,5.655060926278904107e-20
1.893344805472487291e+00,7.710170560730178459e-09,-2.840981343737602403e-20,-2.840432938285415438e-20
2.557548061623907021e+00,1.089277580331709352e-08,-4.611227507029067001e-20,-4.612292631757870179e-20
4.934361130697965336e+00,1.297419289996093178e-08,-5.457919247968957612e-20,-5.456090817730962184e-20
3.714383809591677910e+00,4.705963589970249020e-09,1.465557190066516541e-20,1.467577263433667082e-20
6.541593439132383558e+00,3.296151232540503205e-09,2.177171312787179748e-19,2.177064835682917357e-19
5.235956124942600987e+00,1.230526795922137329e-08,-4.930389471034982712e-20,-4.930016655913116300e-20
7.028866793508958821e+00,7.863223926412939955e-09,9.013499836226961883e-21,9.006766811943060051e-21
6.126525861279231933e+00,9.924405689513211333e-09,-2.597276863445322910e-20,-2.597300433382183516e-20
5.212764134309955111e+00,9.594619591082945412e-09,-2.920836013174635440e-20,-2.922101650153859747e-20
3.013309215371969607e+00,1.189062745393097727e-08,-5.163705655036276804e-20,-5.161838509521696179e-20
6.479323275483179323e+00,1.486426587379644055e-08,-6.184479529345062772e-20,-6.185448708856145275e-20
2.758873047197572426e+00,1.042518935873487244e-08,-4.377531432181493059e-20,-4.377827515996490650e-20
1.526477782700831121e+00,6.747749987481918437e-09,-2.188065296045306673e-20,-2.187563813114196139e-20
7.740052049102594367e+00,4.273567731118280130e-09,1.743200314173847658e-19,1.743135558106006059e-19
4.780078435675283899e+00,3.337424646429279334e-09,1.055947972784424959e-19,1.055924041541451750e-19
6.417260082848679659e+00,1.099020405853843208e-08,-3.369172850993348775e-20,-3.369736490839775565e-20
4.704559653412520248e+00,5.316346908913614729e-09,2.090073372716483175e-20,2.089939911961647023e-20
5.281058112602750043e+00,5.608814815629719609e-09,2.552192370239164951e-20,2.551021827604064625e-20
1.237245753615543675e+00,7.763509387328145593e-09,-2.189167597056628652e-20,-2.189605585132230849e-20
2.307555755476659698e+00,8.858780998350995386e-09,-3.518020159953586695e-20,-3.518227052878299138e-20
5.722825768043442451e+00,7.409924262042697234e-09,-6.598569679615360433e-22,-6.631942279995773589e-22
4.993952185667487775e+00,1.442415654657683721e-08,-6.317999292185304050e-20,-6.317942602230410117e-20
2.109885237906988564e+00,5.875184397232355133e-09,-1.766046454082611543e-20,-1.766339556301968230e-20
7.664204881083293230e+00,9.826242153319829870e-09,-1.215128622172989862e-20,-1.214375410764550490e-20
2.080475427831830260e+00,2.211190524898532912e-09,4.267195849445354365e-20,4.266872653519568347e-20
4.572122748170797557e+00,2.829033941585694352e-09,1.410120576087689920e-19,1.410106911128060422e-19
2.008020125134803990e+00,4.586309456484870064e-09,-8.047907003177169805e-21,-8.054554816537128437e-21
6.021602082743642725e+00,5.657457358582041875e-09,3.986253074972910639e-20,3.985726560132795245e-20
2.934191098666069308e+00,8.062203151224936102e-09,-2.953638479153792330e-20,-2.954902971944611921e-20
1.938937825852482977e+00,9.464696225078812359e-09,-3.717060428408270072e-20,-3.716541643487391846e-20
1.321910264693609616e+00,4.156974412542215915e-09,-7.533541273611117313e-21,-7.544966453787642405e-21
2.223848765283365392e+00,9.522446842481806864e-09,-3.850277195235669946e-20,-3.851023051633858253e-20
2.342591017064965087e+00,3.063699518657654621e-09,2.104761359262418935e-20,2.105120603914430063e-20
4.758804557002548563e+00,7.099571308127055847e-09,-7.660894725120198909e-21,-7.656868991460753873e-21
4.157272203199738669e+00,1.237526205308666412e-08,-5.293880185041932865e-20,-5.294280299792937898e-20
7.701060570774761693e+00,8.174896248328345335e-09,1.269622483697944956e-20,1.267603217887456180e-20
7.679059358066496976e+00,1.065888861631208332e-08,-2.161774468832712860e-20,-2.161353955545417303e-20
6.575822773279012878e+00,4.906421580323636179e-09,8.298677904986895787e-20,8.298937468445787476e-20
5.701113437864923306e+00,1.119782142365828838e-08,-3.939658197780216739e-20,-3.941070578995688355e-20
6.915161640978425339e+00,1.479595774111672166e-08,-5.993081017099485617e-20,-5.992310695016690662e-20
7.571262799359192108e+00,1.046233793374456987e-08,-2.035239340193373174e-20,-2.035940439993806504e-20
1.158324102209019379e+00,1.474675072600087034e-08,-4.009000450656579432e-20,-4.010126638772732701e-20
1.826736590056010856e+00,1.284036864180594262e-08,-5.134649103916955959e-20,-5.134553373205991465e-20
3.521847192785501957e+00,1.198677799907435225e-08,-5.183030055340341098e-20,-5.183208525771740578e-20
1.655107971298197977e+00,8.229525134448152404e-09,-2.960423417571275475e-20,-2.960220793570284466e-20
5.196671311372940139e+00,9.462992225142673455e-09,-2.817599622349775542e-20,-2.819205370408100196e-20
2.822549556436760199e+00,5.212846105476356528e-09,-6.576715881027545853e-21,-6.558593579864822058e-21
2.850378103926278328e+00,1.336928590616194197e-08,-5.914750554738949209e-20,-5.915353213353492580e-20
3.018295920535059018e+00,2.174477934571248843e-09,1.033994120641658260e-19,1.033840154710808639e-19
1.684009603090730334e+00,1.236620669570774266e-08,-4.751690931270970083e-20,-4.751072089082403131e-20
6.186611172667112690e+00,1.422051588501656780e-08,-5.861828169938626387e-20,-5.862182974068727415e-20
5.554707007197550617e+00,6.313924222628156117e-09,1.532685721929512212e-20,1.533010580415285086e-20
5.245556634488837133e+00,1.239935522180063931e-08,-4.989379087227937265e-20,-4.989718695658562167e-20
1.238319075944428027e+00,7.580611397329113601e-09,-2.128869822508369518e-20,-2.128929562868849293e-20
4.006249012472142823e+00,1.314029228031294698e-08,-5.764892002456497737e-20,-5.764646229612759301e-20
5.796425129298898860e+00,1.017727047669520296e-08,-3.051774348837880647e-20,-3.052521001721863835e-20
2.094426549325104858e+00,2.724960541341669163e-09,2.322466146137977073e-20,2.323144885733836733e-20
3.699604912602855844e+00,6.883632479701519759e-09,-1.561042573267609900e-20,-1.561512473366689568e-20
1.138839018289558247e+00,2.250158373484464406e-09,9.122685034671980192e-21,9.113988163230275650e-21
1.573005979540694543e+00,1.174114259533426940e-08,-4.325238017590879303e-20,-4.325160985169056788e-20
2.515175059993377538e+00,1.332097869383724351e-08,-5.810300139586490724e-20,-5.809855098308000137e-20
3.902551127988740376e+00,1.494940852733004404e-08,-6.769851766940153778e-20,-6.770080846281772814e-20
4.242680254011658825e+00,8.842493910254266201e-09,-2.892816733906431325e-20,-2.893679253693511039e-20
7.191650721326791285e+00,7.086803489947619209e-09,2.660648697682172579e-20,2.661268483248481180e-20
3.216609095218093017e+00,8.819288305768609039e-09,-3.353991592738692177e-20,-3.355751921530815074e-20
1.150247133940339506e+00,7.765455132488732727e-09,-1.968355913298368803e-20,-1.969386777434404441e-20
6.783563427398155987e+00,5.810816149544248311e-09,5.276288702899019853e-20,5.276328225789553150e-20
1.432928547615009318e+00,1.383336029991340037e-08,-4.814346543564176272e-20,-4.815707602962481589e-20
1.650943948635598346e+00,7.124385841659089101e-09,-2.446954014374710904e-20,-2.446926020110461883e-20
7.742272017178144949e+00,1.364360835060959208e-08,-4.819898225755653436e-20,-4.819953088873672055e-20
6.273557926898509329e+00,9.364506640466386641e-09,-1.920067743893898316e-20,-1.919169004105040224e-20
3.364979419454785514e+00,1.300990108248095017e-08,-5.756244371816066381e-20,-5.757159162167879552e-20
1.925251891334369692e+00,1.065290724177040710e-08,-4.259410599057704176e-20,-4.260036505581345755e-20
3.707114012203030828e+00,8.100156845386856018e-09,-2.616816727207876339e-20,-2.616483545523175453e-20
3.374364249461215159e+00,1.131205581439190726e-08,-4.821434264497335174e-20,-4.823891828087540945e-20
7.121088410097311971e+00,1.143104420533142963e-08,-3.319061303341810597e-20,-3.315961261042896236e-20
3.931271121198280039e+00,1.330187541490564798e-08,-5.866700657361305073e-20,-5.867399308091766417e-20
1.574315042109354135e+00,7.990443345688437481e-09,-2.783815381740166795e-20,-2.784545216792892374e-20
7.487636416510103032e+00,8.885085137703183966e-09,-1.389505849045205223e-21,-1.380894573936168061e-21
5.356193546006821293e+00,1.193509320048631496e-08,-4.633219352503857389e-20,-4.633259184345293091e-20
1.816968997467015345e+00,8.691955977959936573e-09,-3.285071684053086989e-20,-3.286851112671790508e-20
1.792219120324956450e+00,1.006469342345794650e-08,-3.891941826431502057e-20,-3.891314899051409438e-20
4.261532688149849868e+00,5.060932020519178381e-09,1.785383191626752936e-20,1.786238569460752137e-20
1.644622759823813229e+00,1.468928619887545652e-08,-5.629545111016592368e-20,-5.629995057290068823e-20
