theta,g,rho_air,a,a_noisy
1.165514734855060075e+00,8.218694355348464597e+00,5.020643825641016855e-01,6.748831535789191705e+00,6.793389883503308191e+00
9.882729778042341762e-01,5.640939817209400076e+00,5.257580471299534430e-01,4.091319832555742053e+00,4.107362247784069886e+00
1.123226024021241276e+00,1.305154250067081634e+01,1.411696626326734538e+00,8.903289291879408651e+00,8.862377780509893554e+00
3.491011367261758203e-01,4.046593915154748089e+00,1.428832699481161761e+00,8.494330470569392277e-01,8.860156612462112280e-01
1.143073409474888891e+00,4.849043383750663239e+00,1.375149000879107852e+00,3.826752944755222874e+00,3.801680943831870163e+00
3.487211038743603386e-01,1.114595924099444169e+01,1.082473122410992694e+00,1.879602086765570057e+00,1.923560117679969261e+00
2.060184025725665391e-01,9.089079874665891623e+00,1.085211895239516444e+00,5.093669817427350921e-01,4.557776108988628727e-01
1.211795066573191137e+00,6.207535995258971262e+00,9.039102757973093150e-01,5.161483091051652039e+00,5.207206451208090670e+00
1.219668545030968776e+00,9.915357231146145978e+00,8.378196909210124943e-01,8.043294626212892595e+00,8.042291453482118158e+00
1.239498225341554516e+00,5.488604085738380434e+00,1.433222861623039579e+00,4.523732087094565202e+00,4.461294642577844805e+00
7.134826351664271815e-01,6.710827330768172061e+00,1.030338725898684249e+00,3.348688986098054876e+00,3.332994012499712611e+00
4.562629051978337458e-01,1.033272736969073691e+01,7.752093561011628164e-01,2.811709630648482339e+00,2.814414744587059314e+00
1.092193771841161454e-01,1.359518585748214115e+01,1.157226383152181182e+00,-4.060724232488457375e-01,-3.924328562906230777e-01
9.394371642474320661e-01,1.143813927328692870e+01,5.916599025892723684e-01,7.616584228620383534e+00,7.567474822373334575e+00
1.035882198561300926e+00,1.071873340970675947e+01,1.183688544966615463e+00,7.325770461534851563e+00,7.270401809176592067e+00
1.186239981450356362e+00,1.195976564486023186e+01,7.724116850257718436e-01,9.421878139691228782e+00,9.431857366333582959e+00
4.664411755739047427e-01,7.540509367582607148e+00,1.194114360622421156e+00,2.136976589039814467e+00,2.113639108195824345e+00
3.797836173118656067e-01,1.477173672244647840e+01,9.819277596250625129e-01,2.816725575244822810e+00,2.828500855831334260e+00
9.311307940865640731e-01,1.033512216009520657e+01,1.361183556383132931e+00,6.338795317713722177e+00,6.376771293837641075e+00
1.146571283088512638e+00,6.090735306139269056e+00,1.256621382449274016e+00,4.763738602573777570e+00,4.681299234256230513e+00
1.352772134698462025e+00,3.431582974198253311e+00,1.483260489791770276e+00,3.073530946795838492e+00,3.086250352621719539e+00
2.956822795475306798e-01,4.341067023550705173e+00,1.080672086278646749e+00,7.082684406842055802e-01,7.695007890609921741e-01
7.268761046591374342e-01,5.382109819377488336e+00,1.326214618007146129e+00,2.750450004711418650e+00,2.735573662492894798e+00
1.263130620855025477e+00,1.181247166812209315e+01,1.158713792549621147e+00,9.225606801399473866e+00,9.185066072237594526e+00
6.495319790290683404e-01,1.277425397367137450e+01,1.236736186940583071e+00,5.260227162202073536e+00,5.297839353561053066e+00
8.663526807092624127e-01,1.410543414058530409e+01,1.395439992753444214e+00,7.617877644746963384e+00,7.630549970557370720e+00
1.318378807413721487e-01,1.071492282213083058e+01,8.129267409949880729e-01,-4.675388462944307655e-02,-1.959731090565054734e-03
9.754978532988204387e-01,6.567323879706128409e+00,1.296174263800634829e+00,4.453534492374862985e+00,4.436273706872299272e+00
1.294815205523969226e+00,1.306642907212186344e+01,1.426837887155948614e+00,9.758466363261369736e+00,9.684375449575259864e+00
1.174872928423737362e+00,1.444164203860561280e+01,1.489014445164178468e+00,9.791706125188419207e+00,9.786205586952856805e+00
1.251176346722930655e+00,1.136284608045099809e+01,6.458180488048497203e-01,9.472280562511700808e+00,9.449989154861139440e+00
9.584619946766802512e-01,3.868296479649681707e+00,7.812281818190012217e-01,2.739721668279095468e+00,2.778487859381474134e+00
4.192179474161308317e-01,7.931783721383632191e+00,9.246788733154879258e-01,1.935244391349103532e+00,1.944926033767961249e+00
1.099072098565130551e+00,5.987323557699577137e+00,8.808491706036103430e-01,4.646451479239290805e+00,4.564909017617535980e+00
3.751771653897636449e-01,1.427112614263165291e+01,1.437469136126420022e+00,2.549871538354740785e+00,2.490113384349580627e+00
1.180657285063799522e+00,1.273348069351285616e+01,5.251286840575837278e-01,1.027589053412665621e+01,1.032007998595601883e+01
1.815332993419987162e-01,3.839125345562552916e+00,1.396487983146068812e+00,2.788856206129745607e-01,3.128738714838669166e-01
1.173134157411622525e+00,1.031318316386233391e+01,5.848630359320220462e-01,8.341960350981263872e+00,8.309948182685840123e+00
3.138594464163316777e-01,1.482177099740613357e+01,1.437545031183204536e+00,1.853792718707754972e+00,1.853740278879390857e+00
5.876910954456343594e-01,9.285673524237601839e+00,1.421295991631904787e+00,3.460618140867894876e+00,3.482896818556703966e+00
5.117596165240535511e-01,1.367329613120018195e+01,9.822778192403324171e-01,4.210422928072248716e+00,4.233843144864612995e+00
9.987381458610634644e-01,1.274796812655142730e+01,6.742009129819963587e-01,8.815238497844685384e+00,8.859050607650402753e+00
3.321434416266834666e-01,8.658448786391998553e+00,6.914787151720260816e-01,1.438719521215809483e+00,1.451543802576887643e+00
6.151330108820822762e-01,8.304100756706578323e+00,7.594123033501247733e-01,3.473036481984238755e+00,3.468295065035813973e+00
1.075719736403752402e-01,4.939814253022525747e+00,1.348917341266689274e+00,3.166436577299075461e-02,1.872196253359847615e-02
4.412431265751318721e-01,7.253634841360124597e+00,1.040749190557471504e+00,1.922460499059439831e+00,1.975247639086102458e+00
6.475454584976417793e-01,5.296400107895795628e+00,1.374824609339084125e+00,2.369999599186210837e+00,2.257456885432283844e+00
2.376976077195217807e-01,1.314849100622133093e+01,1.254651983257308423e+00,8.590414465288809254e-01,8.521086802743140787e-01
9.231079298475249884e-01,1.024083925431865616e+01,1.467703880830691032e+00,6.168284538190838440e+00,6.169934543390041881e+00
5.945515508524920056e-01,1.423490725618161967e+01,1.161376936127477943e+00,5.222903840896515604e+00,5.151636392853006008e+00
1.042882119499110471e+00,7.924250610301497133e+00,6.700443756763493353e-01,5.883281543253385593e+00,5.899922223910287755e+00
9.500258143889125373e-01,1.142051185054239681e+01,1.046938991378053796e+00,7.293375016333076388e+00,7.260810965710907006e+00
6.605947734106280000e-01,1.299780223235146082e+01,1.239283848292089596e+00,5.445615753382718971e+00,5.488737993198506082e+00
1.227516657334858818e+00,3.154527364272303736e+00,8.579044310817133256e-01,2.736942455306456523e+00,2.730662851104740163e+00
9.217756527502170005e-01,6.874247322481105371e+00,1.499777468446795936e+00,4.344182298477266002e+00,4.377639960516738427e+00
1.153356657738188629e+00,8.234757501039473127e+00,7.172627636926420802e-01,6.586938229237811804e+00,6.647880409496372600e+00
5.443331411221468130e-01,1.414324132829498026e+01,1.426630402062230019e+00,4.486735918037033422e+00,4.505882397172706888e+00
8.067700765689922449e-01,1.344586628152168828e+01,9.899337914942402117e-01,7.219453316186736913e+00,7.175667259015594546e+00
3.551859506491793494e-01,4.014098912985385681e+00,1.344774812933001495e+00,8.663893784593994507e-01,7.906734468741675181e-01
1.394983547154216241e+00,1.446550940419220588e+01,1.032852035772859223e+00,1.175680136896506056e+01,1.184447057484088006e+01
4.161801035982252150e-01,1.052284570701791111e+01,1.050612980773721450e+00,2.427130673605248923e+00,2.421566063945872926e+00
4.339277073952335639e-01,3.863202888905009402e+00,1.207173501663998394e+00,1.102511604596061012e+00,1.068083357214344886e+00
1.951470941082557586e-01,1.128146698593172559e+01,1.024071726468032351e+00,4.303305790995994862e-01,4.375434335026407440e-01
4.351440546957575650e-01,1.326435156038827934e+01,9.484702227034991218e-01,3.226953863888895935e+00,3.217383297364763362e+00
1.092067092307269061e+00,6.106263398476623472e+00,6.187509743692795050e-01,4.786207252884661756e+00,4.828814366095295796e+00
1.007261641888005599e+00,6.871938686829855314e+00,1.172725719370072639e+00,4.816116952047899247e+00,4.817813361169754671e+00
2.672751760123202591e-01,6.332312279632841268e+00,1.460043414249326155e+00,7.612933192571003094e-01,7.619807984380212451e-01
5.891100518565224320e-01,1.143008877064131212e+01,1.442625876139535634e+00,4.149219465282598662e+00,4.113490479230950569e+00
6.471978130027017384e-01,1.161935005171222635e+01,5.469739933180959301e-01,5.163808541927859430e+00,5.187286946865234505e+00
9.644795202705488402e-01,1.229219076769759056e+01,9.367121597822142265e-01,7.994955026575169654e+00,7.943261690457420698e+00
6.927076519568734492e-01,1.405249357693010737e+01,1.095723486776997380e+00,6.261973126446402915e+00,6.295267598434601375e+00
8.624738248731906864e-01,5.181938983067553295e+00,5.987472191125799981e-01,3.295129747283908728e+00,3.371326622933415340e+00
1.191589984691624915e+00,1.149897518106550720e+01,1.210632946165951518e+00,8.622776138514517186e+00,8.546541836609559795e+00
1.044415693406081536e+00,1.074843587175952919e+01,9.333630033205781995e-01,7.609565831015380866e+00,7.486254369447815193e+00
5.745094425611265709e-01,6.151452987804383099e+00,6.298282629933197319e-01,2.424753988092877677e+00,2.455597925850593555e+00
6.829152021478294143e-01,1.470370177831115654e+01,7.126478057640217578e-01,6.733382201330176287e+00,6.860777092104332731e+00
5.780094405970085392e-01,8.723522702023178255e+00,5.183429973035126315e-01,3.411803520618698293e+00,3.361757278175103725e+00
2.426550632087057513e-01,1.438592970830661777e+01,7.301072090919615842e-01,1.021251328705243822e+00,9.587165407651444538e-01
3.642140073136155287e-01,1.466128551724394669e+01,1.200526146161735586e+00,2.534863569201335487e+00,2.564312015890358953e+00
4.689484356273703192e-01,1.380057715006356744e+01,9.933857431450417996e-01,3.734356817818757612e+00,3.692320738315842288e+00
5.083740642829928102e-01,8.513824319761118531e+00,7.337842979600848192e-01,2.763378145652061413e+00,2.738076871455224381e+00
5.069622164659189911e-01,6.357321481770263460e+00,7.527527797217212768e-01,2.108321069103718415e+00,2.090915195769529333e+00
8.497096311288374615e-01,1.002914327226431901e+01,9.733222039240752022e-01,5.878723488022471244e+00,5.905323592337061278e+00
1.363196968305681045e+00,8.394429995431664793e+00,1.233296060089987156e+00,7.113698822112506370e+00,7.093433704042850785e+00
1.107063375400851424e+00,8.618418982134864237e+00,1.478373993040025924e+00,6.208818596829837944e+00,6.222712738833846124e+00
1.128474132624646797e+00,5.928976124423147809e+00,9.987342702298266373e-01,4.666160161524913974e+00,4.657333498580235265e+00
1.087049050701453856e+00,1.310703690482739958e+01,9.432734215524597454e-01,9.347880052892744374e+00,9.305646497710164056e+00
8.760840496808832700e-01,1.176868911884737479e+01,8.791510300101496034e-01,7.072034383337761909e+00,7.056043070450600752e+00
1.292999934322186517e+00,1.338371517455848014e+01,1.321540589609479177e+00,1.010573618671925544e+01,1.005821620346085865e+01
9.965192020812050355e-01,9.378465911022333401e+00,1.076148838673206320e+00,6.373808590662818574e+00,6.374134339956306405e+00
7.504633599579321190e-01,4.111964779693001226e+00,1.415809592097067249e+00,2.221175991879603906e+00,2.164982680501322143e+00
2.002089510507003567e-01,1.334770727430777626e+01,1.048212781036792940e+00,4.699090282949693886e-01,4.152643098302072344e-01
7.349839952111808516e-01,3.831014419303347740e+00,6.989192506387559289e-01,2.084296664121527698e+00,2.157144754886790583e+00
3.766802939424346297e-01,4.854192113760399607e+00,6.051152966628826624e-01,1.113893048809646347e+00,1.111233837794379342e+00
2.725051868108233633e-01,1.432944156029982530e+01,1.038041680101776887e+00,1.357045701055983322e+00,1.354350599782381259e+00
7.578843992881847402e-01,9.738057291116797742e+00,6.906649216264951763e-01,5.196770244631660596e+00,5.222347065627541696e+00
1.120610880376046614e+00,1.109996892439668947e+01,1.198532694002271137e+00,8.019943746268753060e+00,7.998900896141309502e+00
4.835083756471753036e-01,1.285191200625387964e+01,1.283005945269350745e+00,3.563816045826759371e+00,3.552389277452851601e+00
1.099403287881916214e+00,1.097468562822144023e+01,1.277401061369523250e+00,7.752383904374410051e+00,7.773641341141005690e+00
7.833183801109302458e-01,8.327655457052783206e+00,9.062393669787739414e-01,4.577007568782891056e+00,4.591128360895111449e+00
2.937624303819262872e-01,9.515993015349703654e+00,1.050845764870860233e+00,1.200323369903631310e+00,1.142358533557009892e+00
1.354458067173656355e+00,7.781805524067229918e+00,7.266655606558158897e-01,6.921287079054049052e+00,6.962954208887532026e+00
6.221270910550726896e-01,9.926285099647069288e+00,1.018926814554849125e+00,4.074821680609277408e+00,4.045299933444825413e+00
4.838045323615044468e-01,3.026484368519666290e+00,1.317257478205670296e+00,1.025838648992765334e+00,9.730347014770560632e-01
1.201097881823848468e+00,9.099193154480907708e+00,1.139210804304126023e+00,7.141611494750529587e+00,7.096587741250576897e+00
2.617984322701237820e-01,3.285861391148904964e+00,1.167160725871716931e+00,4.792856108038590079e-01,4.597583435860928547e-01
1.053667599395814225e+00,4.316063385887708215e+00,1.456138368959070117e+00,3.210095113106397058e+00,3.291460125837550432e+00
3.441721653351088039e-01,1.315641929529159526e+01,7.867637403985799915e-01,2.163869235491518328e+00,2.105092440245479146e+00
6.102393088163571289e-01,1.091263340766536594e+01,1.149570739917028073e+00,4.282817433220122538e+00,4.290821227846839392e+00
4.014698420007799529e-01,5.186014449943620264e+00,1.384654531446205983e+00,1.254952310332457799e+00,1.148061092427928864e+00
1.193596390500103022e+00,1.196643030302195498e+01,8.321904618963101852e-01,9.393495581697990815e+00,9.393417235040731228e+00
6.070969175218201563e-01,8.709399235054112509e+00,5.504493469431384067e-01,3.622739381801646452e+00,3.667717702675446834e+00
1.367100656746975895e+00,4.618155311677547559e+00,7.948157878978591162e-01,4.217253313726859076e+00,4.205420147623786242e+00
9.128399297396386780e-01,1.415622834171638367e+01,7.898348749810591984e-01,8.779278166417761042e+00,8.747810420223594008e+00
1.001709685113789661e+00,4.353661181824819870e+00,7.872423709544583703e-01,3.189784252865421887e+00,3.201359806068348579e+00
7.779826587721426767e-01,3.236914296219504106e+00,1.025386404774300431e+00,1.875073024327178706e+00,1.910080611884711121e+00
5.016586587982684309e-01,6.079220741479140599e+00,1.062368611124717699e+00,1.970603348288938239e+00,2.003786226839808560e+00
6.142233473681572020e-01,4.042318883090802117e+00,8.851482425628957040e-01,1.777232190071631246e+00,1.875855882768120875e+00
1.323214443960472275e+00,3.200657502978828450e+00,8.219975856836205796e-01,2.908196438042542464e+00,2.918654811659356252e+00
3.615641609420637836e-01,1.083890251757065215e+01,1.023608295722306050e+00,1.968780145913661350e+00,1.939159640926014783e+00
1.384684571586275892e+00,4.583545667895500664e+00,1.230061904298386466e+00,4.125530747679858834e+00,4.119231788180526266e+00
1.085797620604963765e+00,9.766558128743854539e+00,5.324898858075729491e-01,7.506818197980309471e+00,7.503193270699318518e+00
5.677230044403932530e-01,5.911077950053041263e+00,1.325735107488146713e+00,2.231769162741223056e+00,2.237206031915128790e+00
9.339676663572842319e-01,1.428780162921011865e+01,6.324342907134712366e-01,9.251932843460236811e+00,9.250431452798764553e+00
5.952760010810137503e-01,5.590271859537670807e+00,1.406402355175485841e+00,2.244961125639242994e+00,2.253659422584053384e+00
5.959408124318960054e-01,9.247856716098858954e+00,9.926734732039723674e-01,3.625306102319874491e+00,3.541763599289118769e+00
7.549438352528883289e-01,1.181984709565987757e+01,1.064255240395729718e+00,5.953852084251026078e+00,5.995333532053027881e+00
1.217396681259902136e-01,6.733559023553707057e+00,1.480824117653147587e+00,4.877708959513138431e-02,2.004012614907976775e-02
7.416430279264148995e-01,1.298087268063593669e+01,1.397218270537472495e+00,6.082409280948978036e+00,6.023751346126626771e+00
1.363077937480954294e+00,6.767747425576909670e+00,9.450874509866629136e-01,5.991625503346346804e+00,6.023513061328418239e+00
4.711047974212518863e-01,7.654320765289231332e+00,7.022833253708909984e-01,2.255302079490565603e+00,2.321168379859869901e+00
1.072683346799595761e+00,8.164659390332859701e+00,1.095749941278703288e+00,5.977708014234782041e+00,6.002359421709754450e+00
6.756255570916434028e-01,8.026729463181663249e+00,5.401846120999735934e-01,3.830210449852452737e+00,3.838268415544728640e+00
3.720653554031210231e-01,1.029532385292497487e+01,5.670730453697523377e-01,2.045712447081235563e+00,1.999101431812637886e+00
1.276503342063568303e+00,5.714947339197969711e+00,7.262942172736116531e-01,4.992709259560697888e+00,5.136287626451372823e+00
1.218754700842769045e-01,6.950569325315559155e+00,9.177501814644357658e-01,4.701188363417407867e-02,9.102481466724948733e-02
4.945616045793638227e-01,5.747664375810177972e+00,1.193705118427457634e+00,1.831157504351651699e+00,1.774192770834502886e+00
1.398733647021118687e+00,6.323342982202699858e+00,5.989125763258038582e-01,5.830911324233755799e+00,5.791929428421768833e+00
4.407908350469862402e-01,1.215338791396806428e+01,1.354853811762937621e+00,2.935974335384127887e+00,2.940323297812723169e+00
1.203757878417053506e+00,1.055120104586242036e+01,9.497776949377076949e-01,8.325348128633494937e+00,8.247611572033695992e+00
8.873880932524154108e-01,1.455347162908841341e+01,6.939178423927953032e-01,8.877904826324451548e+00,8.886336346674976738e+00
1.147846419785260697e+00,1.440156048752458062e+01,1.364449193098840052e+00,9.832025723926545169e+00,9.809072146140907833e+00
9.194130820765216150e-01,5.461025362894069701e+00,1.190878892313279369e+00,3.579924016563880595e+00,3.641237546579691564e+00
5.715059141752028005e-01,5.519352431533746994e+00,1.359842018931133989e+00,2.114911346069118459e+00,2.163019079250530829e+00
1.089025419958527197e+00,1.389177553470967119e+01,1.465146706720721337e+00,9.050061247994584335e+00,8.914496976122846306e+00
1.344299135751640395e-01,4.667517903101709997e+00,1.319602590882641646e+00,1.344051639030761081e-01,1.364902932044417261e-01
6.808568372547874059e-01,1.213422056395996584e+01,8.430080176602212649e-01,5.549635780319315259e+00,5.468762405343130517e+00
5.834109408311377587e-01,5.301117156683380571e+00,1.486828692963127363e+00,2.082774510356721009e+00,2.138256410319147260e+00
7.201962073285541610e-01,4.716439962996119561e+00,1.253029683372580916e+00,2.421247485932119581e+00,2.429652779388510986e+00
2.659068924448905191e-01,8.270926671443241673e+00,1.319031922409924729e+00,8.846787474655346539e-01,9.120990200748845256e-01
3.892589257301541927e-01,1.120871612613885659e+01,8.648230483626259124e-01,2.330927559846843078e+00,2.277671323406678106e+00
8.306670671296221276e-01,1.313002421534855380e+01,1.096725827858200608e+00,7.186749666530737102e+00,7.278171178430512533e+00
6.040998503527400532e-01,5.497812544587922901e+00,1.122332796196250371e+00,2.279771721825671449e+00,2.380775390183193618e+00
1.129153067267442578e+00,4.196447291575848837e+00,7.771735988953218932e-01,3.401622764246272190e+00,3.348384212114961400e+00
8.866775660607686405e-01,1.251255503928126878e+01,9.790329640990080851e-01,7.465327260393456399e+00,7.483968016486771901e+00
1.219646690223092245e+00,8.412206701304253187e+00,7.715919615888797711e-01,6.958752322598114937e+00,6.925087201178605767e+00
1.052069088523285734e+00,1.031483602108911768e+01,7.879491351548449929e-01,7.495315531792952513e+00,7.494137034949916121e+00
8.823704820861343334e-01,1.001041808407656575e+01,1.154256693245952592e+00,5.986290432746635304e+00,5.923008583785406955e+00
4.739002828547943524e-01,1.212980995747474822e+01,5.199138219243480963e-01,3.525681387908416120e+00,3.619038663637446973e+00
1.117588608304018960e+00,1.487470696042748486e+01,1.258190236096883297e+00,1.007470363816639036e+01,1.002624466261225677e+01
4.266478516224062600e-01,1.077709786960142146e+01,9.850400406814712184e-01,2.591364181768081032e+00,2.576559991018206208e+00
1.977744453587257367e-01,7.382538449983309548e+00,6.256509126971867563e-01,4.491224241394151662e-01,4.741965706949412551e-01
1.351723951976196103e+00,5.098677905647642561e+00,9.830119973975336434e-01,4.562624999675163551e+00,4.530246965754357369e+00
8.020145666254098193e-01,4.234545827473180424e+00,8.754371658067581219e-01,2.496515757791027745e+00,2.484550136304412682e+00
1.106062586814754667e+00,1.129864990018932325e+01,1.373973979961337744e+00,7.882364618900149722e+00,7.854182626578801063e+00
7.879896499194680715e-01,6.061243300535645417e+00,1.172934169739678012e+00,3.375344126159332880e+00,3.368671088417518167e+00
8.950536494833677414e-01,6.331213675965894794e+00,7.245828540733691980e-01,4.112766931672441117e+00,4.054239799917425557e+00
1.440599256714581167e-01,8.320162511379827208e+00,1.415660989658661606e+00,1.182667298085082752e-01,9.636732602839323536e-02
3.428317831599510535e-01,9.331182460016304248e+00,1.365776171266552597e+00,1.550352178266261483e+00,1.540007532030649218e+00
9.770962140652105221e-01,7.993776241885567124e+00,1.043290789138635821e+00,5.435671879438364940e+00,5.418985579248158047e+00
8.417339773382476187e-01,1.446845219684015937e+01,5.760525824682553031e-01,8.513578080682034255e+00,8.516412578426724167e+00
3.061215441827264128e-01,6.577093289752943051e+00,1.163220284424257400e+00,9.980859779560338207e-01,9.834308669881977050e-01
1.337638049344040070e+00,1.022422352614138319e+01,9.230433151250005963e-01,8.666210505045478740e+00,8.703871075467448648e+00
3.006597223116255768e-01,3.194945099906338015e+00,1.126978977795648706e+00,5.761619740600426587e-01,5.600021777707511195e-01
7.633942246602908321e-01,3.765262099925256400e+00,5.982121483600668643e-01,2.142990047759874450e+00,2.136157567945080160e+00
2.872037375250349744e-01,5.387362575216803506e+00,6.149585568197929453e-01,7.974041765668371529e-01,7.641651097670445481e-01
1.032583243938105078e+00,6.376114484844961794e+00,6.498859191673459490e-01,4.750493710604098752e+00,4.724167968598337097e+00
4.592069183236985319e-01,8.595879831899942758e+00,1.048725097441485232e+00,2.362685565646147623e+00,2.299460926105162173e+00
2.743741676583182354e-01,9.890488823149674147e+00,1.221470542416172922e+00,1.057068136693890104e+00,1.083007382737788404e+00
1.597833348716703461e-01,4.991053303885122361e+00,8.473129135986562366e-01,2.347900683606864991e-01,1.776641674780619073e-01
3.272861992669107156e-01,9.943797085367823030e+00,5.933019062739729454e-01,1.574743228941364759e+00,1.537450409031948517e+00
3.493383317406363320e-01,3.981876478760911997e+00,6.648457077397044168e-01,8.539370530382053293e-01,8.718992856387655088e-01
7.980637034433302190e-01,7.707296592117282685e+00,8.191403335091276272e-01,4.372347402559475960e+00,4.392476070856702997e+00
