N,V,D,L,L_noisy
3.540948348669003543e-01,1.077050906629581846e+02,2.302017816674018036e+01,4.867358548623199610e+00,4.851720379376062375e+00
5.104765983064084578e-01,4.383434503059311282e+01,4.555697355878205457e+01,4.640282480631844564e+00,4.635138635819466835e+00
1.059770298707302771e+01,8.235484606574456734e+01,3.587161602734475991e+02,1.863533783484832007e+00,1.863696627095198899e+00
5.712350231799576683e-01,2.549508873504016719e+02,2.437445315036180560e+01,3.851204800592155308e+00,3.845692742486167770e+00
2.039463261215726408e+00,2.359653544716838098e+02,1.773145221599363595e+02,2.360377515227658485e+00,2.386258791515622590e+00
4.435885059549959664e+01,1.830476228971350849e+01,3.116051626058790589e+02,1.946877275839966170e+00,1.967011762146082088e+00
3.939888398523515178e+01,7.899999465820516775e+01,7.247637669309910962e+02,1.490395838692953445e+00,1.436172589113634102e+00
9.040372168080319071e+00,1.666097613785400711e+02,1.250451805531517202e+01,2.582533206722029018e+00,2.544752941802675750e+00
2.889049937058089323e+00,1.215288499152552859e+01,1.202539557533125958e+02,3.523635206228903360e+00,3.520139764387800074e+00
5.588831990225164859e-01,6.451397816400638874e+01,1.551189739121036837e+01,4.983188738191767442e+00,4.974744929960240647e+00
2.713906947624473709e-01,1.454254938483108006e+01,5.929680867506330060e+02,4.876300607875981186e+00,4.880573467825953138e+00
4.147626080806264781e+01,1.813444259453105900e+01,8.066126839009108380e+02,1.805157268318214436e+00,1.809503706938665690e+00
2.470891256367884647e+00,3.205047833213512831e+01,1.293543050009697559e+01,4.174985235638670744e+00,4.217342010739691283e+00
2.054555193339223929e-01,6.080283674079384326e+01,1.579237916343082482e+01,6.460909135328429365e+00,6.438668720074583796e+00
4.817038841576041008e+00,5.787725241939906340e+01,8.228453302079147136e+01,2.575686650176896020e+00,2.568134550034355978e+00
1.248085760968937841e+01,5.125457567123698510e+01,3.547020985854046558e+02,1.934855199295200334e+00,1.975710631445046994e+00
4.513126660227383624e+00,2.228703165953863845e+02,1.706304880753234272e+02,2.049750714022222642e+00,2.062684773946259487e+00
2.990604553795873244e+01,5.215242210167595971e+01,4.607237506032495844e+01,2.140078220001570219e+00,2.153339487449095646e+00
1.278968907070000549e-01,1.077395802616315734e+02,1.562004621796021127e+02,5.058557032573465229e+00,5.048276905139715609e+00
2.670831970199175398e+00,2.956475588093029216e+01,3.943890236529834965e+02,2.694718019943088017e+00,2.661756516525974892e+00
1.736735852649538225e+00,1.117378792325911974e+02,6.966224332440368698e+02,2.360779395936395630e+00,2.364128690820850309e+00
1.473260835472643693e-01,1.130340960504423720e+02,1.890812776494932024e+01,6.250303308064577124e+00,6.252483589821007826e+00
5.381774436393856220e+00,8.768165101806232542e+01,4.853341296997422205e+02,2.013263871379157965e+00,1.988716830294266380e+00
2.000923365994713166e+01,1.154062739355655935e+02,1.976153486884244614e+02,1.724668586871532350e+00,1.711004053635921007e+00
3.984098088407718841e+00,6.397577764276813639e+01,1.181973427778757610e+02,2.522004831661802449e+00,2.520563958067258081e+00
5.034950551085709547e-01,1.603045486943954359e+02,7.612966709467042392e+01,3.651845400020980126e+00,3.632950367559764526e+00
1.848481176698894046e+01,1.487330758501432797e+02,1.051015257511627823e+02,1.801851958499842254e+00,1.799886559142797937e+00
2.371996815086429677e+00,1.366910035037835058e+01,8.268943842101926123e+01,3.757297107206913900e+00,3.759206767756302803e+00
2.392620253566466459e+00,4.279495149128593567e+01,2.194731490014891619e+02,2.756973600405826730e+00,2.757685325146936428e+00
1.077471875632987874e+01,1.478887791534333296e+01,6.669032190867891359e+02,2.261747722204913380e+00,2.251621889038627256e+00
2.507478036077058769e-01,2.180655512920039030e+02,2.976901983618102676e+01,4.686538584454465806e+00,4.698413545890182341e+00
1.629851098991115776e+01,4.096671713242682955e+01,1.009552166519267580e+01,3.017272212031249179e+00,3.035095551116895773e+00
6.985071623793847273e+00,2.041376368919233641e+01,1.125942193741314767e+01,3.852193363663323211e+00,3.858610329754654344e+00
1.331530245325882333e+01,1.512105136075679752e+02,6.658758323327411972e+02,1.604976725203196342e+00,1.588612120655390259e+00
3.289777571667485967e-01,1.326848328166274804e+01,7.205521177940679536e+02,4.633006739304960320e+00,4.647639784980668765e+00
1.464053015537494673e+01,1.648129751580042779e+01,5.627273218305797400e+02,2.155717610247911864e+00,2.145688809878570691e+00
3.283806343983338150e-01,9.035567748499521201e+01,1.461996203402719345e+02,4.061330329582784060e+00,4.078913541948543831e+00
1.659999923550960210e-01,5.182911612759095021e+01,1.480552426749476069e+02,5.224567175288804322e+00,5.203131426951255634e+00
2.033442753795750946e+01,2.379112788980257420e+01,6.424222166777950349e+01,2.448772967887116181e+00,2.467062311949691722e+00
2.111437941822160980e+01,6.479480725019718079e+01,4.738483599800527912e+01,2.158867954091745478e+00,2.158466684999436058e+00
2.321385839543763296e+01,1.959052062217425672e+01,7.352680982462456996e+02,1.925213400015469700e+00,1.900238422208781364e+00
1.877890121192589579e+00,2.725699320869428277e+01,1.149946012923734742e+02,3.333034482056720371e+00,3.326756492617383376e+00
5.490961271793065590e-01,7.253038421607480757e+01,3.551556370446070332e+01,4.360081230967469246e+00,4.361163276542900036e+00
1.045058573946994890e-01,1.751379843083904291e+02,2.062779308050743339e+02,4.927908609054165723e+00,4.933364435837455098e+00
5.530715619629162028e+00,9.777858463213269147e+01,1.525175446999425155e+01,2.919076319682667897e+00,2.899432557183848402e+00
8.770287533593290163e+00,8.050429895099863131e+01,2.330113574447691462e+02,1.999171164547447255e+00,1.977023703604143368e+00
1.799601107981520443e+01,1.125792467168353852e+02,3.506092502459922855e+01,2.126148103485890672e+00,2.130139794142832166e+00
5.764741013102107070e-01,3.410702944947249193e+01,2.444717724624203470e+02,3.846258454363589596e+00,3.836923462025993548e+00
3.809494733932436983e-01,2.406869311143680648e+02,9.201434082367187273e+01,3.662270043915794915e+00,3.666980156150399406e+00
5.315403250258078138e+00,7.257733459710834723e+01,5.276757216626288027e+02,2.050342748524321301e+00,2.065533138973888683e+00
1.488739962972802111e+01,2.305197190959709275e+01,3.260188903446952509e+02,2.140292433981619613e+00,2.107316686654600701e+00
3.989502851861775667e+01,1.123693061921740544e+01,9.258081073086700599e+02,1.944288997775847294e+00,1.949376760106199535e+00
2.548367173987841072e-01,1.436741649217377059e+01,1.449920440884848745e+02,5.789209508672396254e+00,5.813702448023111202e+00
2.002058537285788642e+00,1.903480888738149090e+01,4.491891277863248888e+02,3.021748844855875582e+00,3.015798307968466041e+00
2.599029892164146105e+01,1.081864573428263867e+02,2.076957381769397557e+02,1.672352194706209882e+00,1.656135903041458413e+00
1.383248640892484005e+00,1.402946973112542821e+02,2.974900015041112624e+02,2.581066667964988071e+00,2.596111544508580060e+00
3.899854310165685956e+00,2.010294490491975807e+02,6.178456388676610231e+02,1.916504369407600494e+00,1.921573299731763385e+00
1.164393048316110513e-01,8.042144779848631231e+01,4.225260425277824794e+01,6.269028692342909714e+00,6.286946353758461115e+00
6.571250673668702191e+00,2.622028078166975007e+01,3.911546771527134752e+02,2.336975904617424771e+00,2.330071590416399108e+00
3.024075402682529656e+01,1.518199965701190592e+02,7.139631127349539383e+02,1.432018276559889669e+00,1.402381911085445410e+00
1.704420555890312983e+01,2.201480276909493341e+02,9.506680323094383311e+02,1.459656669157322950e+00,1.457456453863097856e+00
2.454667305179064485e+01,9.580933802781245845e+01,1.957204013247057617e+01,2.258193214304033969e+00,2.249276651243809155e+00
6.057303915338014377e+00,1.264437838518194113e+01,3.651374377030236218e+01,3.602613971366524837e+00,3.618120447807476214e+00
4.599792108159388992e-01,3.791065122271710663e+01,7.068996174418570888e+01,4.601216896788271171e+00,4.605089553755814080e+00
1.186326762568829274e+01,2.241673555649870409e+01,5.776946441813620226e+01,2.709578115327647030e+00,2.676961130678944922e+00
3.726522785010307759e-01,2.102345989179207493e+02,7.497876319003014487e+02,3.131360229948525031e+00,3.107456968346461235e+00
1.752208747498550423e+01,1.387574711316035803e+02,1.122683572944993458e+01,2.439713884129064425e+00,2.457389664860809564e+00
1.476637154501783677e-01,1.254510076348252312e+01,6.208346765010671788e+02,5.846196610128372662e+00,5.859791910476729981e+00
1.690311893503676188e+01,7.214834950010258297e+01,1.478175745299058086e+01,2.577361765509190938e+00,2.564556898191021173e+00
2.779714405190090720e-01,2.439631309212464316e+02,7.500497357164152845e+02,3.326542247214676618e+00,3.326521271283330972e+00
1.029225388729172019e+00,5.465686553727960728e+01,6.959723455414904265e+02,2.872782087157792485e+00,2.881693558233316299e+00
7.159238173513128300e-01,1.788738471778743531e+02,9.216279530822005484e+01,3.250718774796963917e+00,3.260086861513909362e+00
7.343412443754200325e+00,1.393017347157870631e+02,2.230497937347000104e+01,2.512669843871269570e+00,2.530194687793556607e+00
3.033612762910946614e-01,4.613577391953808871e+01,2.415224081960982971e+01,5.730675050887655608e+00,5.735804763432087228e+00
1.173501086028275964e+00,4.192314824377078253e+01,3.302361455937855794e+01,4.031560099722435453e+00,4.029663532943065896e+00
1.036860684966812302e-01,1.689054500158329830e+01,4.986946194607729126e+02,6.250288236291462241e+00,6.245111274995704953e+00
5.110523103921532639e-01,3.156299562485315846e+01,1.206419591114100172e+02,4.328993873896141764e+00,4.350108729906806637e+00
1.370174799912610819e+00,1.859902596382858420e+01,5.618873033234542618e+02,3.214058667468058239e+00,3.169041581966487442e+00
1.931426744059915601e-01,1.552241243369799122e+02,3.230754564006635974e+02,4.065917339522958862e+00,4.063144233021132479e+00
5.115401215044522054e+00,7.075165475595098030e+01,8.618025239390678962e+02,1.995818648682697649e+00,1.996478650762378848e+00
1.063539669099446083e+00,2.081870847188397136e+02,2.102586503035024066e+02,2.700817020633331733e+00,2.672310041415927984e+00
9.068732321946551878e+00,3.783356002708926979e+01,2.188208755222631652e+01,2.956262131241594648e+00,2.962918403504355425e+00
5.817879886312025128e+00,9.731395193733429494e+01,1.241303508061258754e+02,2.221291167968974190e+00,2.208265547720106525e+00
1.458371135387805051e+00,1.490305791154088411e+02,3.010008323812666049e+02,2.533139973193355043e+00,2.550388869119669888e+00
2.192158888971697550e+01,1.042639804557207484e+01,5.197671908598771040e+01,2.926501318967585696e+00,2.923989477286899064e+00
5.082925224815509679e+00,2.848759760951736908e+01,9.989757292495014553e+02,2.228923518211459953e+00,2.242306583027248834e+00
1.537822361219440381e+01,4.114492043246490027e+01,2.719728344250025032e+01,2.607359599790274984e+00,2.631736471893699303e+00
8.365534749360521438e-01,2.030937140639128131e+02,7.132812438213743462e+02,2.599404411909556956e+00,2.607063003563826253e+00
2.933236665831853163e+00,1.682120863690453518e+02,9.547014517957174462e+01,2.420695989382364743e+00,2.403181566513907796e+00
3.386876844461994551e-01,1.315248710984480240e+01,4.892711698703514571e+02,4.779366516556915911e+00,4.749080143922823183e+00
4.881521340068009351e+01,2.215724265017134087e+02,1.163333063607503988e+02,1.518884282974036104e+00,1.553951965324363638e+00
4.533475183850496637e-01,7.635386014320086190e+01,1.262484228842145200e+02,3.891409978774554634e+00,3.889184134910804058e+00
4.934891279028390532e-01,1.262698701502451115e+01,2.596252951890194822e+02,4.691685632021011187e+00,4.677914333068324382e+00
1.575933218681775938e-01,9.372549262088547550e+01,1.117232222710166809e+02,5.035976164334110550e+00,5.038861306095326675e+00
4.963669824431592437e-01,1.601606565478908522e+02,7.887519490275273881e+01,3.650570132904479959e+00,3.646741906294827196e+00
1.147257799266530576e+01,2.314889979758785188e+01,1.727833733516031955e+01,3.231597925727510479e+00,3.248640771011764183e+00
7.648808952319183341e+00,2.846983172330617151e+01,2.215396364743616004e+02,2.378589101701433783e+00,2.379267665350175864e+00
2.224770106405680736e-01,2.460695891239538824e+01,8.319300822636954535e+02,4.579514643597606849e+00,4.579789635269975179e+00
1.036230640390323865e+00,9.756611074637025638e+01,7.678064432250014306e+02,2.657372087762668755e+00,2.643080493342009341e+00
1.367899586458642069e+00,1.026855739327323391e+02,1.241503609764843219e+01,3.918041510988730103e+00,3.927432872963680044e+00
6.234082341865427423e+00,1.231599584451404468e+02,7.471784190543445447e+01,2.253112644940939546e+00,2.232435310493839697e+00
1.700351055609267581e+00,1.981741166145503428e+02,1.553985540810240025e+02,2.524292399765610373e+00,2.537610188560889934e+00
3.828206630214863626e+00,1.803257746340327827e+01,1.575775842504666358e+01,4.154224193760157391e+00,4.184702944019959681e+00
1.846220454433678881e+01,9.939923519918438899e+01,2.637945946813038631e+02,1.728135799698632624e+00,1.697642078936649535e+00
9.135461321047582572e+00,8.115303291717931700e+01,7.357427760569420627e+01,2.237975671381548182e+00,2.188651086754521913e+00
9.663704813673364979e-01,2.343330276938764811e+01,1.818262265924860799e+01,5.121088241290890686e+00,5.133425816393977215e+00
1.622587735432753586e+00,2.363025358283307185e+02,2.662536753895484765e+01,3.044512747478465453e+00,3.095470703788127942e+00
9.826754565893898175e-01,4.695420059004045044e+01,1.088143055150553629e+01,4.878438279368233488e+00,4.858419782390795305e+00
1.977746235740708569e-01,2.168586607871367278e+02,2.885455747510162539e+01,5.008997748342538969e+00,4.983983833166499622e+00
3.536248946861502152e-01,2.336096037111173871e+02,2.517980093256561815e+02,3.407435436799286954e+00,3.419214815474896252e+00
5.834252227541049107e-01,1.851329405409670699e+02,9.699994461435321114e+01,3.379151592969472873e+00,3.362337161168306832e+00
7.044301919107818222e-01,4.436757043162012337e+01,2.934733002392328771e+01,4.560330757964691450e+00,4.550210248285956993e+00
6.996917945629039792e-01,2.477381312342568265e+01,3.202621091412564880e+01,4.998789773229453282e+00,4.991827423895777827e+00
3.601597993257465991e+00,6.681798476661560926e+01,8.843911904312295746e+01,2.637673307270783862e+00,2.648313348996619965e+00
4.193359512604357064e+01,4.295901607451632032e+01,2.928141907013996956e+02,1.725439187991235857e+00,1.717333140763373400e+00
1.232523656254530309e+01,4.563942659372347777e+01,9.052071716824389114e+02,1.826391347728222758e+00,1.831949004529825897e+00
1.365358805494821404e+01,2.206607566188657543e+01,9.941880540831556345e+01,2.483513341848552436e+00,2.479982676670680952e+00
1.120064178998003079e+01,1.534950736932458710e+02,7.700995029908703771e+01,1.993430481313754665e+00,1.976537059240722538e+00
4.085563619635581567e+00,1.069140722523036118e+02,5.731945600273596853e+01,2.545912920611315133e+00,2.539516395456450581e+00
2.997946478998122899e+01,1.654106842185902337e+02,4.396237831410281842e+02,1.472075370903483948e+00,1.453067377600125498e+00
7.265928228001937050e+00,5.604465728374298550e+01,1.420030516045954982e+02,2.270721399613537361e+00,2.270851699330932227e+00
2.241026530778191805e+00,1.350494345777534022e+01,6.786083266164355337e+02,3.013964872188316768e+00,2.991487547637003974e+00
1.614532854357403346e-01,1.638090573254624474e+02,1.248606415533926111e+02,4.622774771350238510e+00,4.600916883964333515e+00
2.081180809105398488e+00,1.251763574600561846e+01,2.499415744747819446e+01,4.687682158684521205e+00,4.716821394990626359e+00
3.753396739656531533e-01,1.650424339861316625e+01,1.622671443522068557e+01,7.034667504131851601e+00,7.033603819725744444e+00
2.281094759413150319e-01,2.135736644041341208e+02,1.191470681683719874e+02,4.117051506838624420e+00,4.115973466329183594e+00
2.321956322682184659e+00,6.176372261063264091e+01,2.406189588324875928e+01,3.434873132254836925e+00,3.445103860653189187e+00
1.314987593963749468e+01,8.923974687612350465e+01,2.494970345004623766e+02,1.845054507853674419e+00,1.836637367802697041e+00
6.254801623487881157e-01,1.432698100724874450e+02,3.681390527752708977e+02,3.023285499703765478e+00,3.018714792354202370e+00
1.188206490016256289e+01,8.626922919852795246e+01,3.587584365699007662e+02,1.821616508359535036e+00,1.830119483066173114e+00
2.622154736857230883e+00,4.219083409991466738e+01,6.493498341672759011e+01,3.113380385838724340e+00,3.119028702683612320e+00
2.525085827133110583e-01,5.816657357167984088e+01,1.263838350731676741e+02,4.680804443487074806e+00,4.657618508948425884e+00
4.021786353471532038e+01,3.640498058521882996e+01,2.840083582285985386e+01,2.336508514783265156e+00,2.353175366716658612e+00
1.213400364113708774e+00,6.498642164825741929e+01,1.091072548732832530e+02,3.219384687751357887e+00,3.207575988885576823e+00
6.263663240655724662e-01,1.007182169848963760e+01,4.310374019920803903e+02,4.377488836700241137e+00,4.356367257693957384e+00
1.932071507951585687e+01,5.197094690478483869e+01,1.898548117824699943e+02,1.926114481291638203e+00,1.908104979891657171e+00
2.167278407667836415e-01,1.080305995360680882e+01,2.159342098023647338e+02,6.078227159052294049e+00,6.070416252165187210e+00
9.548576896543144343e+00,1.427067190356219761e+01,8.171028737563555069e+02,2.277663561375720569e+00,2.310209566468182096e+00
3.213167356990362933e-01,1.555570253306621282e+02,3.745652476041781398e+01,4.452185113461272437e+00,4.428674395362857119e+00
1.146366616453731835e+00,8.483476926179811528e+01,1.991321945002787004e+02,2.956390909876676965e+00,2.959592427727363972e+00
4.225623664073610009e-01,1.805244689478936237e+01,5.879075843711387961e+02,4.212228658175982687e+00,4.169472171014171558e+00
1.864013782008519726e+01,1.127821730667936748e+02,4.617223780653788623e+01,2.043120190297269989e+00,2.043088851634366154e+00
1.129274483452508360e+00,4.677534668655535910e+01,1.261533227522743061e+01,4.619073369014550678e+00,4.637064697364071009e+00
4.272348441802586905e+01,1.548445466918024138e+01,3.887152470237713686e+01,2.591488986392041838e+00,2.586755719950812882e+00
4.870370399933848127e+00,2.038076827040819126e+02,3.799003992435291366e+01,2.399049719085835530e+00,2.386462620608168717e+00
7.448472611645755137e+00,1.441639416312520439e+01,3.753917655815779852e+01,3.372163158083415269e+00,3.376793379364586123e+00
2.556116602332513033e+00,1.066111631675313198e+01,1.124016818453003310e+02,3.736536002946214907e+00,3.750539037969228051e+00
6.821751602769986489e-01,2.298035901118080560e+01,1.332714804899257501e+02,4.212521555146348184e+00,4.225794706566696313e+00
1.168409058792007071e+00,1.325316461572382387e+01,5.892457857039067903e+01,4.597214960098899184e+00,4.636664437177494769e+00
3.463802717092600858e+01,1.055717756694760467e+01,4.405499652959870360e+01,2.820790516532675429e+00,2.824973865979401033e+00
3.491736024117798043e-01,8.316130913973654515e+01,1.114850393417380445e+02,4.159652265779691049e+00,4.147804063784632511e+00
4.647005346126000802e+01,1.534031784247476082e+01,2.884853799539744728e+02,2.012548213270341169e+00,2.010028629470608230e+00
1.113383486546192813e+01,6.224122505933056715e+01,1.161394517637456580e+01,2.909436121740707648e+00,2.907986150828311356e+00
9.355222533412183017e-01,2.195961352872523875e+01,4.481983103587922415e+02,3.472379751764780753e+00,3.474554499434343136e+00
5.387979509729537320e+00,2.111840501078422676e+02,1.840215063626081715e+01,2.582252733596975602e+00,2.581652177332387055e+00
1.067229316671508998e+00,2.013617743575271035e+01,6.498374115721389899e+02,3.306214705000293019e+00,3.309694023778217087e+00
1.070626483442524757e+00,5.410118699632081984e+01,9.668229399078720121e+01,3.443638595078375886e+00,3.410221593866073597e+00
2.289544298084035034e+00,1.084022834837856522e+02,1.344344209223263249e+02,2.581183455708821572e+00,2.597776034829622382e+00
1.109518106492277945e-01,2.742493366720530545e+01,9.154786811771773500e+02,5.390153444638160707e+00,5.378658659259739849e+00
2.148497413955547497e+00,1.483503754553784688e+02,6.229261190790319915e+02,2.211885455545961499e+00,2.188422281617020904e+00
4.190974073255644328e+01,2.767946608433731370e+01,7.765597950078623057e+01,2.129845733773093386e+00,2.142600756965922226e+00
5.894705190401624550e-01,3.517224120048030755e+01,2.538438527705464409e+01,5.057244371640066127e+00,5.083590891787787669e+00
1.045725812640835883e+01,4.037290316044116878e+01,1.554174870489127329e+02,2.226872774146152256e+00,2.236733337136141309e+00
1.567017810240148412e+00,3.889586585876339342e+01,1.203286998553701359e+01,4.479163310926126407e+00,4.482386497203036946e+00
3.671497666355694189e-01,7.180100957722139299e+01,1.361902730921982396e+01,5.541273112585177074e+00,5.522628706477737737e+00
2.770606140957252705e+01,2.082610780850709986e+01,2.835230907311158433e+01,2.700626768858593874e+00,2.758058115614864025e+00
1.110238636047688882e-01,2.908120966162050181e+01,6.847000552773455695e+01,7.009471490862567933e+00,7.027076663275797941e+00
6.594190493779056306e-01,2.101104076855291325e+01,2.440114675253428516e+02,4.027650907128741409e+00,4.004865013721881972e+00
4.969822637418444344e+01,2.454739252032882035e+01,1.576976249823903053e+01,2.674208076459422934e+00,2.658615318134628147e+00
5.099485246501360702e-01,1.186261830211954731e+02,5.125162307683569907e+02,3.156222519475591515e+00,3.157962104447029628e+00
1.956796652952754556e+01,7.694113553943418538e+01,7.935154552065125699e+01,2.000612849241463653e+00,1.969518226601543853e+00
4.312416016441695810e+00,2.269020260764053489e+02,2.442506256187547464e+01,2.561981747250924979e+00,2.565354355391135321e+00
1.497842665132556661e+01,2.177765409689343699e+02,5.356713094623894449e+02,1.546233077839450853e+00,1.537051646725195564e+00
5.025840655421964343e+00,1.944507052579503892e+01,2.408561747331162621e+02,2.694392533907590703e+00,2.718917945913915002e+00
9.525942108438272271e-01,1.975397038759933821e+01,5.244257860877883104e+02,3.466965556530991144e+00,3.486208649803556270e+00
1.130696659820043237e+01,1.897519000959060236e+02,8.517132693695159560e+02,1.580967931597381915e+00,1.526742222848686437e+00
1.178910954137101091e-01,1.569237867125942820e+01,4.357176792181685983e+02,6.190219447029916111e+00,6.191053498750462403e+00
1.606699854220341228e+00,1.180133677953565439e+02,4.853064186496794008e+01,3.076795190840758476e+00,3.044445840850284579e+00
1.008380247678847486e+00,1.862274781008098046e+01,9.411468346687025814e+02,3.285109445772419701e+00,3.307302205757390201e+00
1.939136723178864097e+00,1.590120168924605792e+01,3.206707641804624700e+02,3.241822761413981624e+00,3.245184878796538275e+00
2.210265296134241719e-01,4.154902140644392006e+01,4.345741054027036512e+02,4.495496761121602347e+00,4.506464870165342695e+00
3.986018930649693481e-01,9.190098708575942510e+01,5.365943514977153228e+01,4.321758642339703194e+00,4.300456147763637382e+00
3.288216335739389429e+00,1.544514817567210230e+02,1.561175243222619997e+02,2.276272608757382354e+00,2.312841213517292438e+00
1.113210289143484966e+00,1.963932788706399535e+01,1.756570530314689620e+02,3.750887540384369334e+00,3.791289007727378202e+00
1.369797447596718598e+01,1.381678737602978835e+01,3.583828326436970002e+01,3.113487033558380634e+00,3.092191612705856407e+00
4.297793087059825545e+00,1.307163808059710846e+02,9.079583525941907851e+01,2.335126444084249631e+00,2.342582746521575832e+00
2.111217358322751636e+01,4.316586830863078461e+01,3.492882072856173892e+01,2.390974151301045403e+00,2.377508102733241646e+00
9.475888291130317498e+00,7.218058020747054115e+01,3.766155697420833803e+01,2.457499643550653534e+00,2.457028244813439066e+00
4.210206849001200347e+00,6.648074995128584419e+01,2.034760913411619754e+02,2.348882072154692136e+00,2.323569332570200707e+00
5.974009145280361199e-01,1.178728012893795096e+02,1.096043128984796766e+01,4.720668727820797272e+00,4.758011638112409791e+00
1.296125405964967392e+01,2.474778930052709143e+02,3.283828533688725315e+02,1.618458051690267796e+00,1.599074461468614539e+00
4.766105556136672194e-01,8.178399781361295595e+01,9.334264032997488414e+01,3.937144765607416552e+00,3.931223089307466445e+00
1.595851715419643324e-01,3.268176349859903240e+01,1.783617913184444248e+01,7.561788983593917379e+00,7.571818642216127770e+00
3.969562237111486525e+01,1.763140176427517858e+01,9.247492649768177841e+01,2.270144359691133040e+00,2.257193146122810301e+00
2.867306007042166094e+00,1.395976361923001718e+01,5.634745840146827334e+01,3.799800418161165982e+00,3.795014169566520046e+00
1.226641053367399081e+01,9.416168119876357423e+01,5.596905316038669298e+02,1.731829046568637454e+00,1.720556249640098123e+00
2.681368378409432651e+00,2.286899589918989406e+01,2.217524054289128799e+02,2.969361815307395069e+00,2.966692600210669273e+00
4.473375424601384154e+00,2.459965516683228870e+01,2.812973935861574404e+01,3.466418163548769193e+00,3.443007310846763147e+00
1.234451885967481621e-01,4.210549614791097639e+01,6.781440869875498265e+02,5.050148026257481604e+00,5.041388264745435777e+00
3.192644315504784558e-01,5.533314400316633908e+01,5.389547979817238001e+02,3.863818918828711535e+00,3.859681060334466451e+00
6.621653338563205260e+00,3.855105552239604094e+01,1.220623082180329817e+02,2.476700209329141256e+00,2.470025689253058765e+00
3.466863442453666178e+00,2.217486886945555113e+02,1.419401189800433372e+01,2.881075356074370042e+00,2.882209155172245740e+00
2.678769100771163370e-01,2.628958986371028317e+01,2.120511191279101126e+02,4.917844292588251953e+00,4.911982248201117507e+00
3.711063960727789635e+01,7.043470348494054178e+01,7.015952341353225563e+01,1.896171227607695853e+00,1.911235455776483461e+00
2.609731480088913202e-01,1.054089425898762933e+01,1.794559885592929334e+02,5.951080322935754729e+00,5.944616404420037803e+00
2.383928162294005837e+00,1.229719489438579494e+01,1.571897765982040340e+01,4.945862987223953233e+00,4.943129995298035873e+00
2.447143517896092912e-01,1.906184567525109941e+01,1.697919568666477730e+01,7.561606742465690090e+00,7.548311115745772959e+00
8.633060227397738373e+00,2.489993874727539946e+01,1.994214355971076458e+01,3.257917521852640608e+00,3.247387225050335946e+00
5.568786101533615973e-01,4.536230716521277628e+01,1.251555735738799342e+02,3.990050259370069075e+00,3.964760403553674983e+00
2.301566753191271186e-01,6.436085602791048643e+01,2.772943909365744730e+02,4.366987718665328977e+00,4.377363417082888120e+00
1.330816023269687787e-01,1.712603141376310489e+01,4.950235122330239079e+01,7.694316164161159932e+00,7.671465803808110273e+00
2.963984119750772694e-01,6.529466738344437715e+01,1.536752090386776004e+01,5.829523809090684239e+00,5.814606681126917920e+00
3.293509976417380303e-01,1.303846528023389162e+01,2.136443516961765710e+01,7.305081087560193254e+00,7.312265980600417770e+00
2.813659477774256068e+00,3.567934988409249542e+01,4.347911213718514034e+01,3.326468636872257356e+00,3.334520104191148082e+00
