t,E,EI,P,dP_dt
1.320264052810562250e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.200440088017603824e+00,1.666666666666666741e+00
1.360272054410882170e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.267120090684803468e+00,1.666666666666666741e+00
1.400280056011202312e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.333800093352004001e+00,1.666666666666666741e+00
1.440288057611522454e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.400480096019204090e+00,1.666666666666666741e+00
1.480296059211842374e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.467160098686404179e+00,1.666666666666666741e+00
1.520304060812162517e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.533840101353604712e+00,1.666666666666666741e+00
1.560312062412482659e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.600520104020804801e+00,1.666666666666666741e+00
1.600320064012802579e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.667200106688004446e+00,1.666666666666666741e+00
1.640328065613122721e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.733880109355204535e+00,1.666666666666666741e+00
1.680336067213442863e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.800560112022404624e+00,1.666666666666666741e+00
1.720344068813762783e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.867240114689604713e+00,1.666666666666666741e+00
1.760352070414082926e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.933920117356805246e+00,1.666666666666666741e+00
1.800360072014403068e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.000600120024005335e+00,1.666666666666666741e+00
1.840368073614722988e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.067280122691204536e+00,1.666666666666666741e+00
1.880376075215043130e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.133960125358405069e+00,1.666666666666666741e+00
1.920384076815363272e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.200640128025605602e+00,1.666666666666666741e+00
1.960392078415683192e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.267320130692805247e+00,1.666666666666666741e+00
2.000400080016003113e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.334000133360005336e+00,1.666666666666666741e+00
2.040408081616323255e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.400680136027204981e+00,1.666666666666666741e+00
2.080416083216643397e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.467360138694405514e+00,1.666666666666666741e+00
2.120424084816963539e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.534040141361605603e+00,1.666666666666666741e+00
2.160432086417283681e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.600720144028805692e+00,1.666666666666666741e+00
2.200440088017603824e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.667400146696005780e+00,1.666666666666666741e+00
2.240448089617923522e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.734080149363205425e+00,1.666666666666666741e+00
2.280456091218243664e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.800760152030405514e+00,1.666666666666666741e+00
2.320464092818563806e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.867440154697606047e+00,1.666666666666666741e+00
2.360472094418883948e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.934120157364805692e+00,1.666666666666666741e+00
2.400480096019204090e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.000800160032006225e+00,1.666666666666666741e+00
2.440488097619524233e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.067480162699206758e+00,1.666666666666666741e+00
2.480496099219843931e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.134160165366406403e+00,1.666666666666666741e+00
2.520504100820164073e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.200840168033606048e+00,1.666666666666666741e+00
2.560512102420484215e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.267520170700806581e+00,1.666666666666666741e+00
2.600520104020804357e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.334200173368007114e+00,1.666666666666666741e+00
2.640528105621124499e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.400880176035207647e+00,1.666666666666666741e+00
2.680536107221444198e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.467560178702406404e+00,1.666666666666666741e+00
2.720544108821764340e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.534240181369606049e+00,1.666666666666666741e+00
2.760552110422084482e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.600920184036806582e+00,1.666666666666666741e+00
2.800560112022404624e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.667600186704007115e+00,1.666666666666666741e+00
2.840568113622724766e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.734280189371206760e+00,1.666666666666666741e+00
2.880576115223044908e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.800960192038408181e+00,1.666666666666666741e+00
2.920584116823364607e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.867640194705607826e+00,1.666666666666666741e+00
2.960592118423684749e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.934320197372806582e+00,1.666666666666666741e+00
3.000600120024004891e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.001000200040008004e+00,1.666666666666666741e+00
3.040608121624325033e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.067680202707208537e+00,1.666666666666666741e+00
3.080616123224645175e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.134360205374408181e+00,1.666666666666666741e+00
3.120624124824965318e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.201040208041606938e+00,1.666666666666666741e+00
3.160632126425285016e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.267720210708807471e+00,1.666666666666666741e+00
3.200640128025605158e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.334400213376007116e+00,1.666666666666666741e+00
3.240648129625925300e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.401080216043206761e+00,1.666666666666666741e+00
3.280656131226245442e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.467760218710407294e+00,1.666666666666666741e+00
3.320664132826565584e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.534440221377607827e+00,1.666666666666666741e+00
3.360672134426885727e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.601120224044808360e+00,1.666666666666666741e+00
3.400680136027205425e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.667800226712007117e+00,1.666666666666666741e+00
3.440688137627525567e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.734480229379207650e+00,1.666666666666666741e+00
3.480696139227845709e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.801160232046407295e+00,1.666666666666666741e+00
3.520704140828165851e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.867840234713607828e+00,1.666666666666666741e+00
3.560712142428485993e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.934520237380807473e+00,1.666666666666666741e+00
3.600720144028806136e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.001200240048008006e+00,1.666666666666666741e+00
3.640728145629125834e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.067880242715206762e+00,1.666666666666666741e+00
3.680736147229445976e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.134560245382408183e+00,1.666666666666666741e+00
3.720744148829766118e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.201240248049606940e+00,1.666666666666666741e+00
3.760752150430086260e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.267920250716806585e+00,1.666666666666666741e+00
3.800760152030406402e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.334600253384008006e+00,1.666666666666666741e+00
3.840768153630726545e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.401280256051207651e+00,1.666666666666666741e+00
3.880776155231046243e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.467960258718406408e+00,1.666666666666666741e+00
3.920784156831366385e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.534640261385606941e+00,1.666666666666666741e+00
3.960792158431686527e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.601320264052806586e+00,1.666666666666666741e+00
4.000800160032006225e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.668000266720006231e+00,1.666666666666666741e+00
4.040808161632326367e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.734680269387206764e+00,1.666666666666666741e+00
4.080816163232646510e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.801360272054406408e+00,1.666666666666666741e+00
4.120824164832966652e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.868040274721606053e+00,1.666666666666666741e+00
4.160832166433286794e+00,5.000000000000000000e-01,0.000000000000000000e+00,6.934720277388806586e+00,1.666666666666666741e+00
4.200840168033606936e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.001400280056006231e+00,1.666666666666666741e+00
4.240848169633927078e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.068080282723206764e+00,1.666666666666666741e+00
4.280856171234247221e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.134760285390406409e+00,1.666666666666666741e+00
4.320864172834567363e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.201440288057606942e+00,1.666666666666666741e+00
4.360872174434887505e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.268120290724806587e+00,1.666666666666666741e+00
4.400880176035207647e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.334800293392005344e+00,1.666666666666666741e+00
4.440888177635526901e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.401480296059204989e+00,1.666666666666666741e+00
4.480896179235847043e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.468160298726412627e+00,1.666666666666666741e+00
4.520904180836167185e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.534840301393613160e+00,1.666666666666666741e+00
4.560912182436487328e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.601520304060812805e+00,1.666666666666666741e+00
4.600920184036807470e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.668200306728013338e+00,1.666666666666666741e+00
4.640928185637127612e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.734880309395213871e+00,1.666666666666666741e+00
4.680936187237447754e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.801560312062413516e+00,1.666666666666666741e+00
4.720944188837767896e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.868240314729614049e+00,1.666666666666666741e+00
4.760952190438088039e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.934920317396814582e+00,1.666666666666666741e+00
4.800960192038408181e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.001600320064014227e+00,1.666666666666666741e+00
4.840968193638728323e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.068280322731215648e+00,1.666666666666666741e+00
4.880976195239048465e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.134960325398415293e+00,1.666666666666666741e+00
4.920984196839367719e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.201640328065613161e+00,1.666666666666666741e+00
4.960992198439687861e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.268320330732814583e+00,1.666666666666666741e+00
5.001000200040008004e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.335000333400014227e+00,1.666666666666666741e+00
5.041008201640328146e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.401680336067213872e+00,1.666666666666666741e+00
5.081016203240648288e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.468360338734415294e+00,1.666666666666666741e+00
5.121024204840968430e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.535040341401614938e+00,1.666666666666666741e+00
5.161032206441288572e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.601720344068814583e+00,1.666666666666666741e+00
5.201040208041608714e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.668400346736016004e+00,1.666666666666666741e+00
5.241048209641928857e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.735080349403215649e+00,1.666666666666666741e+00
5.281056211242248999e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.801760352070415294e+00,1.666666666666666741e+00
5.321064212842569141e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.868440354737616715e+00,1.666666666666666741e+00
5.361072214442888395e+00,5.000000000000000000e-01,0.000000000000000000e+00,8.935120357404814584e+00,1.666666666666666741e+00
5.401080216043208537e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.001800360072016005e+00,1.666666666666666741e+00
5.441088217643528679e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.068480362739215650e+00,1.666666666666666741e+00
5.481096219243848822e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.135160365406415295e+00,1.666666666666666741e+00
5.521104220844168964e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.201840368073616716e+00,1.666666666666666741e+00
5.561112222444489106e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.268520370740816361e+00,1.666666666666666741e+00
5.601120224044809248e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.335200373408016006e+00,1.666666666666666741e+00
5.641128225645129390e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.401880376075215651e+00,1.666666666666666741e+00
5.681136227245449533e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.468560378742417072e+00,1.666666666666666741e+00
5.721144228845769675e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.535240381409616717e+00,1.666666666666666741e+00
5.761152230446089817e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.601920384076816362e+00,1.666666666666666741e+00
5.801160232046409959e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.668600386744017783e+00,1.666666666666666741e+00
5.841168233646729213e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.735280389411215651e+00,1.666666666666666741e+00
5.881176235247049355e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.801960392078417073e+00,1.666666666666666741e+00
5.921184236847369498e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.868640394745616717e+00,1.666666666666666741e+00
5.961192238447689640e+00,5.000000000000000000e-01,0.000000000000000000e+00,9.935320397412816362e+00,1.666666666666666741e+00
6.001200240048009782e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.000200040008001778e+01,1.666666666666666741e+00
6.041208241648329924e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.006868040274721743e+01,1.666666666666666741e+00
6.081216243248650066e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.013536040541441707e+01,1.666666666666666741e+00
6.121224244848970208e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.020204040808161849e+01,1.666666666666666741e+00
6.161232246449290351e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.026872041074881814e+01,1.666666666666666741e+00
6.201240248049610493e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.033540041341601778e+01,1.666666666666666741e+00
6.241248249649930635e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.040208041608321921e+01,1.666666666666666741e+00
6.281256251250250777e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.046876041875041885e+01,1.666666666666666741e+00
6.321264252850570031e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.053544042141761850e+01,1.666666666666666741e+00
6.361272254450890173e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.060212042408481814e+01,1.666666666666666741e+00
6.401280256051210316e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.066880042675201778e+01,1.666666666666666741e+00
6.441288257651530458e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.073548042941921921e+01,1.666666666666666741e+00
6.481296259251850600e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.080216043208641885e+01,1.666666666666666741e+00
6.521304260852170742e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.086884043475361850e+01,1.666666666666666741e+00
6.561312262452490884e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.093552043742081992e+01,1.666666666666666741e+00
6.601320264052811027e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.100220044008801956e+01,1.666666666666666741e+00
6.641328265653131169e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.106888044275521921e+01,1.666666666666666741e+00
6.681336267253451311e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.113556044542242063e+01,1.666666666666666741e+00
6.721344268853771453e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.120224044808962027e+01,1.666666666666666741e+00
6.761352270454090707e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.126892045075681992e+01,1.666666666666666741e+00
6.801360272054410849e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.133560045342401956e+01,1.666666666666666741e+00
6.841368273654730991e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.140228045609121921e+01,1.666666666666666741e+00
6.881376275255051134e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.146896045875842063e+01,1.666666666666666741e+00
6.921384276855371276e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.153564046142561850e+01,1.666666666666666741e+00
6.961392278455691418e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.160232046409281992e+01,1.666666666666666741e+00
7.001400280056011560e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.166900046676002134e+01,1.666666666666666741e+00
7.041408281656331702e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.173568046942721921e+01,1.666666666666666741e+00
7.081416283256651845e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.180236047209442063e+01,1.666666666666666741e+00
7.121424284856971987e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.186904047476162027e+01,1.666666666666666741e+00
7.161432286457292129e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.193572047742881992e+01,1.666666666666666741e+00
7.201440288057612271e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.200240048009602134e+01,1.666666666666666741e+00
7.241448289657931525e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.206908048276322099e+01,1.666666666666666741e+00
7.281456291258251667e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.213576048543042063e+01,1.666666666666666741e+00
7.321464292858571810e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.220244048809762205e+01,1.666666666666666741e+00
7.361472294458891952e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.226912049076481992e+01,1.666666666666666741e+00
7.401480296059212094e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.233580049343202134e+01,1.666666666666666741e+00
7.441488297659532236e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.240248049609922099e+01,1.666666666666666741e+00
7.481496299259852378e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.246916049876642063e+01,1.666666666666666741e+00
7.521504300860172521e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.253584050143362205e+01,1.666666666666666741e+00
7.561512302460492663e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.260252050410082347e+01,1.666666666666666741e+00
7.601520304060812805e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.266920050676802134e+01,1.666666666666666741e+00
7.641528305661132947e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.273588050943522276e+01,1.666666666666666741e+00
7.681536307261453089e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.280256051210242241e+01,1.666666666666666741e+00
7.721544308861772343e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.286924051476962205e+01,1.666666666666666741e+00
7.761552310462092485e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.293592051743682170e+01,1.666666666666666741e+00
7.801560312062412628e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.300260052010402134e+01,1.666666666666666741e+00
7.841568313662732770e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.306928052277122276e+01,1.666666666666666741e+00
7.881576315263052912e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.313596052543842241e+01,1.666666666666666741e+00
7.921584316863373054e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.320264052810562205e+01,1.666666666666666741e+00
7.961592318463693196e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.326932053077282170e+01,1.666666666666666741e+00
8.001600320064012450e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.333600053344002134e+01,1.666666666666666741e+00
8.041608321664332593e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.340268053610722276e+01,1.666666666666666741e+00
8.081616323264652735e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.346936053877442063e+01,1.666666666666666741e+00
8.121624324864972877e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.353604054144162205e+01,1.666666666666666741e+00
8.161632326465293019e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.360272054410882170e+01,1.666666666666666741e+00
8.201640328065613161e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.366940054677602134e+01,1.666666666666666741e+00
8.241648329665933304e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.373608054944322276e+01,1.666666666666666741e+00
8.281656331266253446e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.380276055211042241e+01,1.666666666666666741e+00
8.321664332866573588e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.386944055477762205e+01,1.666666666666666741e+00
8.361672334466893730e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.393612055744482348e+01,1.666666666666666741e+00
8.401680336067213872e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.400280056011202312e+01,1.666666666666666741e+00
8.441688337667534014e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.406948056277922277e+01,1.666666666666666741e+00
8.481696339267854157e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.413616056544642419e+01,1.666666666666666741e+00
8.521704340868174299e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.420284056811362561e+01,1.666666666666666741e+00
8.561712342468494441e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.426952057078082348e+01,1.666666666666666741e+00
8.601720344068814583e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.433620057344802490e+01,1.666666666666666741e+00
8.641728345669134725e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.440288057611522454e+01,1.666666666666666741e+00
8.681736347269454868e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.446956057878242419e+01,1.666666666666666741e+00
8.721744348869775010e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.453624058144962561e+01,1.666666666666666741e+00
8.761752350470095152e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.460292058411682703e+01,1.666666666666666741e+00
8.801760352070415294e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.466960058678402490e+01,1.666666666666666741e+00
8.841768353670735436e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.473628058945122632e+01,1.666666666666666741e+00
8.881776355271053802e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.480296059211842241e+01,1.666666666666666741e+00
8.921784356871373944e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.486964059478562206e+01,1.666666666666666741e+00
8.961792358471694087e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.493632059745282348e+01,1.666666666666666741e+00
9.001800360072014229e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.500300060012002490e+01,1.666666666666666741e+00
9.041808361672334371e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.506968060278722277e+01,1.666666666666666741e+00
9.081816363272654513e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.513636060545442419e+01,1.666666666666666741e+00
9.121824364872974655e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.520304060812162383e+01,1.666666666666666741e+00
9.161832366473294798e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.526972061078882348e+01,1.666666666666666741e+00
9.201840368073614940e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.533640061345602312e+01,1.666666666666666741e+00
9.241848369673935082e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.540308061612322632e+01,1.666666666666666741e+00
