R,A_rel,habitat_quality_rel,C_R
5.195430857634605815e+01,1.163440649225461421e+00,9.094148798143693035e-01,8.830893521617465012e+03
4.038117020220139075e+00,1.010386395305183260e+00,1.444730135514719738e+00,7.963262695804748148e+01
2.315584524449792170e+01,1.056040611120483419e+00,1.194802594028864462e+00,2.222950387159265119e+03
2.607155664012530849e+01,1.123171114956069472e+00,1.322968694501950759e+00,3.093531659363271046e+03
2.958654803659112531e+01,7.580486429779581536e-01,8.366698173887454626e-01,2.023712538711602065e+03
5.859950815519464840e+01,1.795547586816547803e+00,1.659037220934158618e+00,2.288565347593663319e+04
4.665362569205878884e+01,9.331806119804058053e-01,1.614161248378699121e+00,7.908160831621190482e+03
1.887701308179602933e+01,1.099583452457838728e+00,1.642251585203654551e+00,1.998085368499870356e+03
1.655528873729760875e+01,1.377215419140404240e+00,1.359136503365369064e+00,1.748728974198274955e+03
5.185565214926440802e+01,1.529368706325722860e+00,6.291606371264049091e-01,9.988508397111492741e+03
5.293777677789254454e+01,1.235797630125270219e+00,1.729748326314495044e+00,1.355769908895304252e+04
3.088703707984689473e+01,1.163953218956059299e+00,5.213220043323489872e-01,2.742672154733238131e+03
2.098559599225835015e+01,1.049961038925037560e+00,8.627387442131169148e-01,1.541443801625629021e+03
5.969758221557461297e+01,1.256182892614355229e+00,1.112798035237506422e+00,1.339845695972509566e+04
1.929864094937816077e+01,8.499489576344974040e-01,9.593764097183727912e-01,1.139601005544401687e+03
1.137138654613046640e+01,5.303890641435379250e-01,1.248744547374832203e+00,3.240018700214402543e+02
5.286583821759214885e+01,1.872736072530704954e+00,1.055344952921673407e+00,1.570201602935832852e+04
4.883395618761961288e+01,7.827931008828661330e-01,9.977904399951117442e-01,5.551270595958922058e+03
4.023941963149540157e+01,1.100787310473746228e+00,8.949992626525856698e-01,5.254519997747588604e+03
5.752561109078813928e+01,1.307838538687339902e+00,6.080267699003685244e-01,1.021392625734932699e+04
5.558001734425791796e+01,1.003827057526842648e+00,1.151439783932170613e+00,9.593519157950000590e+03
4.502078594645436738e+01,1.141882744254614224e+00,5.469315701221453274e-01,5.478368329294205978e+03
5.171173386808682437e+01,1.088339230363609023e+00,6.274941794097543823e-01,7.065308606621506442e+03
1.520523104916539481e+01,1.179623108063651893e+00,7.686970668167587561e-01,9.086213792121718598e+02
8.904170135611380488e+00,1.652919209404363210e+00,9.802976362201565319e-01,5.400316917699128680e+02
4.036868003423868601e+01,1.285588883881547462e+00,1.965753787634028749e+00,9.638168638004761306e+03
4.301980293095778762e+01,1.804341089512318641e+00,1.692830694081555176e+00,1.369812252577554136e+04
1.043964926254519554e+01,1.511220990868680891e+00,5.314748171219625394e-01,4.729011786093852834e+02
2.403565774974012115e+01,1.274041639200282905e+00,1.600547825853859019e+00,3.447484374337322151e+03
5.466021808985525610e+01,9.990011137162471133e-01,7.521738587142531296e-01,7.677216538087206573e+03
3.390334566923826287e+01,6.160044178956348704e-01,7.428086092908610105e-01,1.986263461930954236e+03
3.491098693811322562e+01,9.693217681431343102e-01,1.653104919020158547e+00,5.073754238593627633e+03
1.205072148700221746e+01,1.432726412388052983e+00,7.998715292335496496e-01,7.344209271030188120e+02
3.179832379276357202e+01,1.241432026925048948e+00,1.140253124480249181e+00,4.427981102870472569e+03
3.164436627999773677e+01,6.973029519535636211e-01,1.366026000227505310e+00,2.739005831885165207e+03
5.791670594653183457e+00,1.356306754614786669e+00,1.608589315430584588e+00,2.636655882147397847e+02
5.892559024103901777e+01,9.385065263409564373e-01,1.571248118668861160e+00,1.170804745069843193e+04
3.449803822711857748e+01,9.028861949462850811e-01,1.070089015786561681e+00,3.588902090656952623e+03
8.813285185264549959e-01,9.632404626791062352e-01,1.271359244311187631e+00,1.864086238187657507e+00
4.647262747291062368e+01,1.530515844920484314e+00,9.549363953265648242e-01,9.734675000737679511e+03
5.870680997348866725e+01,1.496005534902154821e+00,1.511559142579036674e+00,1.814583180288601943e+04
3.559726668509655667e+01,6.267162822417420287e-01,1.132811266612858692e+00,2.714111723084939058e+03
1.952105735881856674e+01,8.118474022386481526e-01,1.700670952566583960e+00,1.601892560238483156e+03
1.165670908580320209e+01,1.398165160565092657e+00,1.999611601971690522e+00,1.262622081487552350e+03
4.051533471805372244e+01,6.305476459653547305e-01,1.052847618616894465e+00,3.298801522066690723e+03
1.210889020817989881e+01,1.643651619786142604e+00,1.100316830597912965e+00,1.035149741604374412e+03
3.487242960481262344e+01,1.613972039828895921e+00,1.712535228980075042e+00,8.625174603408670009e+03
3.633323099458772987e+01,7.687775698956994530e-01,9.581010907850967540e-01,3.163045790940996085e+03
5.776417404090067009e+01,1.979522447381010686e+00,9.722073571698295336e-01,1.870907297231962002e+04
4.799783299027668093e+00,1.713714157261637450e+00,1.309504736165319150e+00,1.868018940990287149e+02
3.024838300768779931e+01,6.750416446831103423e-01,1.055585245135710171e+00,2.113706598632225905e+03
4.477380001731756920e+01,1.836557141531624859e+00,6.667198222537535912e-01,9.371083088976594809e+03
1.104499105824219818e+01,9.344419123079057421e-01,9.424293819094483604e-01,4.492819082254113709e+02
2.358997054117889292e+01,1.210574438377938211e+00,1.996703124820513153e+00,3.699220539905125861e+03
4.242282158070794118e+00,7.087472114871453677e-01,1.163551845102369420e+00,5.290670517766788095e+01
4.368991139465871498e+01,1.170478294433045185e+00,1.772553704848818246e+00,9.389069802352667466e+03
5.722189262189462333e+00,1.729659096745249869e+00,6.918026091397404542e-01,1.793806899486355633e+02
2.400795664729907131e+01,1.348353256424845714e+00,1.163233923728113073e+00,2.975295933414184219e+03
5.247459655168356107e+01,6.112426095824824435e-01,6.694546960020337778e-01,4.172364171628971235e+03
2.860187003662568372e+01,9.798957353862020048e-01,1.587540911436865043e+00,3.553524040014259299e+03
5.480100505163269275e+01,1.315400886805292435e+00,9.941379156669116757e-01,1.143232498384430801e+04
4.607206850546290866e+01,1.169668772153969805e+00,1.850175996850349058e+00,1.055142165111580289e+04
5.496177562665006633e+01,1.224523372718401726e+00,1.033552417325714901e+00,1.089258957913002450e+04
8.080479038409926318e+00,1.990185351881204046e+00,1.994394427882216769e+00,9.071450800292000167e+02
4.876992867172606161e+00,1.241495417391438094e+00,1.264173060985980923e+00,1.365879308340573459e+02
4.684412087368475142e+00,1.971975718676035161e+00,1.965130052200841027e+00,2.824949830563907653e+02
5.219683051366549620e+01,5.876944056173263320e-01,1.138361395786228414e+00,4.999249460278777406e+03
3.822716377117287578e+01,1.830075578160162975e+00,9.655195291072836694e-01,8.271158605602529860e+03
3.004601578103175541e+01,1.124616110834622207e+00,1.683926730709648378e+00,4.610843537160313645e+03
1.023083326369057566e+01,1.788484353762407331e+00,1.057407495754520088e+00,8.018829142769632199e+02
4.058713954477278207e+01,1.879768548909750647e+00,1.002523708196817687e+00,9.624872723334421607e+03
1.942203457682498424e+01,1.310831023896211978e+00,1.829279672939715828e+00,2.700321608116505558e+03
4.279735186432372274e+01,6.541108612134853839e-01,1.442808127142728658e+00,4.471798356696079281e+03
2.789114206760582348e+01,1.049751211921263083e+00,1.199107654032044223e+00,3.064663924859024519e+03
3.069445670239936419e+01,6.069561740571731701e-01,1.641534478903386995e+00,2.538260145522803214e+03
4.748511108136228387e+01,1.726972851146308052e+00,9.556885999138843291e-01,1.141813850151807492e+04
6.018355793641154250e+00,1.968892306788579516e+00,7.547194652621473931e-01,2.413737088139486389e+02
3.493613094774840278e+01,1.519384321597870180e+00,1.759396298310591966e+00,8.288689065756301716e+03
1.223547936410417769e+01,1.072184862793362337e+00,8.710719110094720108e-01,5.945465578794296562e+02
4.858413673290730372e+01,1.614639417590817194e+00,7.945700405585920389e-01,1.025071303795832864e+04
2.958633914969096423e+01,1.995371678591365550e+00,9.964529803408723740e-01,5.825022883146064487e+03
5.932737233538527022e+01,1.207468802020758236e+00,6.936186556113896895e-01,1.044849544897381747e+04
1.138512781820526421e+01,6.440429438757182545e-01,1.811550769236951464e+00,5.166101255414195066e+02
5.779963883739389985e+01,1.387992367754595335e+00,1.197522459849509335e+00,1.449235602360363009e+04
4.815456367821223438e+01,1.784198707442859577e+00,7.307823667222330677e-01,1.077219454875729571e+04
2.913499954622848165e+01,1.537911389387831562e+00,1.238140209136418424e+00,4.936480947161839140e+03
4.890527681868831422e+01,1.690162147147408422e+00,1.123467500809727238e+00,1.273364231033957003e+04
3.636950986184642431e+01,1.206181614417651371e+00,1.183861003142735679e+00,5.556011346594824317e+03
3.947970330748712797e+01,1.661998126454539593e+00,5.037661948167790893e-01,6.085719995707121598e+03
5.486460038108963744e+01,1.430770764299958309e+00,9.862752585600611521e-01,1.241555070997711482e+04
4.383589776471837673e+00,7.631854145837428938e-01,1.757424491145393342e+00,8.557199566315705397e+01
5.018179813552483637e+01,1.747991933078952842e+00,1.330831778470877858e+00,1.505287678115998642e+04
2.321797940799120852e+01,1.017953856608088570e+00,1.638228517714696908e+00,2.636728321929332196e+03
1.986996415799191240e+01,1.511978645461583781e+00,1.253179174435364640e+00,2.508084705321376532e+03
5.964459288699406159e+01,1.143528109336292786e+00,7.575813594699392084e-01,1.032560468995665178e+04
4.698083487354450227e+01,1.880605324802227418e+00,6.441190452609513173e-01,1.034031601394134668e+04
2.938934075738547236e+01,1.062813442621320048e+00,8.407653072169514186e-01,2.810353943074796462e+03
2.564638958727448426e+01,7.195588502989773705e-01,1.619014790700177731e+00,2.192852928038843856e+03
5.271296989937187050e+01,1.072996700083582278e+00,1.190377577654274877e+00,9.498246156114557380e+03
5.665484896786201929e+00,7.723661133394328360e-01,8.807697194279139330e-01,9.168956494871787299e+01
4.265091603637502971e+01,1.804000897910304602e+00,8.134830412328963867e-01,9.150924309424628518e+03
4.745470011045618719e+01,1.140467488284298003e+00,1.775942241256929677e+00,1.054611293036262578e+04
4.805218459310883361e+01,1.251559858654010648e+00,1.524108542112465381e+00,1.078811715294995702e+04
1.967606012201999022e+01,1.729917354381165007e+00,5.072908798055892898e-01,1.754894478873090748e+03
4.790003137339024875e+01,1.839253573342308989e+00,1.955220641028816653e+00,1.835897453874043640e+04
1.390704229160207639e+01,1.512300719235290192e+00,1.666222281697958607e+00,1.629204264886244800e+03
2.205732305383186187e+01,1.370430296591874875e+00,1.713548933339256841e+00,3.352738657922690891e+03
2.533816267616060003e+01,1.467799568136668453e+00,6.399078002008278254e-01,2.615628471428994089e+03
3.271389402599479013e+01,1.729327930816618064e+00,1.476783329656194965e+00,7.544187292623017129e+03
7.200513099663152339e+00,1.020632734421314636e+00,1.062938910398444126e+00,2.302892906991983750e+02
2.471339413803871565e+01,1.763306857848315978e+00,1.146250832371347173e+00,4.057869142033116077e+03
5.178910613619129855e-01,1.986732392985268714e+00,1.117927974694489013e+00,1.183490535851161596e+00
4.479065321767023988e+01,1.083203791668255533e+00,1.134899724824913969e+00,7.027362301822377958e+03
5.118661677793829057e+01,1.696338932882687445e+00,5.717701993910104807e-01,1.046646969120403082e+04
8.766434907651754926e+00,1.735480434893415413e+00,6.672267772746776071e-01,4.341956366562757808e+02
4.237525327137446851e+01,1.203933710750922259e+00,1.793492042394076558e+00,9.235759383137288751e+03
4.935563375948100884e+01,1.692095335366186948e+00,5.729480469800082298e-01,9.769403744914194249e+03
5.891878521087173226e+01,5.824720050248528569e-01,1.525809613218016780e+00,7.146539926780533278e+03
5.070553846093923767e+01,6.498884289153679106e-01,1.872750393554466264e+00,6.953874843197331757e+03
2.573433588391876370e+01,5.546232533359225503e-01,1.401433306685884839e+00,1.548257016500134796e+03
5.879147815632456542e+01,1.789281183010016818e+00,1.034658956120120710e+00,1.795071362975102602e+04
5.845207208871513416e+01,1.093295001925276511e+00,7.040377515228809502e-01,9.257446661852995021e+03
3.046878026243444992e+01,1.600919189467889359e+00,1.726674209709014640e+00,6.833919395414563041e+03
4.533006904574236273e+01,9.438231136493132611e-01,1.138089958587831019e+00,6.262417702505996203e+03
5.487334122655319391e+01,1.784671855507747207e+00,1.296122228139040100e+00,1.771282365720657981e+04
2.883075078214080733e+01,9.595643442124242029e-01,1.261884987074616049e+00,3.058501372168315356e+03
5.189528134527655112e+01,1.533368371582461975e+00,1.822828349827753547e+00,1.678567762372680227e+04
4.224332968068143401e+01,1.860552452239130794e+00,1.590070792615605688e+00,1.317587143934162486e+04
1.798849323048617777e+01,1.124668058770694312e+00,1.398180463335800816e+00,1.683526736198174376e+03
4.617531006401667781e+01,1.771664194548247417e+00,1.944046438506295438e+00,1.655696631587749289e+04
3.445574475864020059e+01,1.546568526513041775e+00,1.667814069809810729e+00,7.960670586988327159e+03
6.083786629281720870e+00,6.564762998199151767e-01,9.953128835574198696e-01,9.914452040869181815e+01
