t,n,g,dn_dt,dn_dt_noisy
2.400480096019203646e+00,7.684854547687945114e+02,7.710265912174785186e-02,-1.265575142472440540e+01,-1.266957901064045622e+01
2.430486097219443753e+00,7.681058833962217705e+02,7.776722339920683069e-02,-1.264394607235582058e+01,-1.267843205054412437e+01
2.460492098419683860e+00,7.677266662303733256e+02,7.842615540974143262e-02,-1.263214239890574575e+01,-1.258755960812719898e+01
2.490498099619923966e+00,7.673478032199003565e+02,7.907950419370039785e-02,-1.262034045508334934e+01,-1.262557177771703465e+01
2.520504100820164073e+00,7.669692943119483743e+02,7.972731824324989780e-02,-1.260854029113648522e+01,-1.264649569672388196e+01
2.550510102020404180e+00,7.665911394522381670e+02,8.036964554475599376e-02,-1.259674195692189436e+01,-1.260344838288937197e+01
2.580516103220644286e+00,7.662133385850662535e+02,8.100653357878460914e-02,-1.258494550189731065e+01,-1.263022580273342754e+01
2.610522104420883949e+00,7.658358916533049978e+02,8.163802932010151558e-02,-1.257315097511360058e+01,-1.256364868318404504e+01
2.640528105621124055e+00,7.654587985984020406e+02,8.226417923767240237e-02,-1.256135842520690105e+01,-1.250489704370344946e+01
2.670534106821364162e+00,7.650820593603806401e+02,8.288502929466276536e-02,-1.254956790039084957e+01,-1.259137215869801274e+01
2.700540108021604269e+00,7.647056738778398994e+02,8.350062494843800420e-02,-1.253777944844886605e+01,-1.246635224819032750e+01
2.730546109221844375e+00,7.643296420879543120e+02,8.411101115056338062e-02,-1.252599311672642202e+01,-1.255937411415949434e+01
2.760552110422084482e+00,7.639539639264739890e+02,8.471623234680399073e-02,-1.251420895212341122e+01,-1.250653834398721465e+01
2.790558111622324589e+00,7.635786393277246589e+02,8.531633247712483437e-02,-1.250242700108653082e+01,-1.254424632735173972e+01
2.820564112822564695e+00,7.632036682247218096e+02,8.591135505287667007e-02,-1.249064730974511583e+01,-1.250175906806283344e+01
2.850570114022804358e+00,7.628290505490077749e+02,8.650134314962999726e-02,-1.247886992388584382e+01,-1.247649970326113689e+01
2.880576115223044464e+00,7.624547862304839327e+02,8.708633925821675226e-02,-1.246709488867037585e+01,-1.248882913597904754e+01
2.910582116423284571e+00,7.620808751977730253e+02,8.766638544435526037e-02,-1.245532224892899009e+01,-1.249046664370761484e+01
2.940588117623524678e+00,7.617073173782246158e+02,8.824152335189988650e-02,-1.244355204916006485e+01,-1.247744635869324803e+01
2.970594118823764784e+00,7.613341126979158844e+02,8.881179420284100734e-02,-1.243178433352355938e+01,-1.247284233098610251e+01
3.000600120024004891e+00,7.609612610816509459e+02,8.937723879730506693e-02,-1.242001914583448752e+01,-1.249852314548070886e+01
3.030606121224244998e+00,7.605887624529610775e+02,8.993789751355452111e-02,-1.240825652955647662e+01,-1.242140501011034992e+01
3.060612122424484660e+00,7.602166167341050595e+02,9.049381030798787917e-02,-1.239649652779533540e+01,-1.237643861731482886e+01
3.090618123624724767e+00,7.598448238460684934e+02,9.104501671513967609e-02,-1.238473918329265011e+01,-1.233931908703801206e+01
3.120624124824964873e+00,7.594733837085645973e+02,9.159155584768050029e-02,-1.237298453841943768e+01,-1.234062940199213187e+01
3.150630126025204980e+00,7.591022962400332972e+02,9.213346639641693814e-02,-1.236123263516982718e+01,-1.223836580905270566e+01
3.180636127225445087e+00,7.587315613576421356e+02,9.267078663029165719e-02,-1.234948351515476617e+01,-1.233354943340087395e+01
3.210642128425685193e+00,7.583611789773547116e+02,9.320355443823448438e-02,-1.233773721967484249e+01,-1.236055391437144380e+01
3.240648129625925300e+00,7.579911490139099897e+02,9.373180739046754750e-02,-1.232599378982621907e+01,-1.223241205797541653e+01
3.270654130826165407e+00,7.576214713804849907e+02,9.425558253935470421e-02,-1.231425326611812920e+01,-1.236661417079783298e+01
3.300660132026405069e+00,7.572521459890900815e+02,9.477491657151582150e-02,-1.230251568875902279e+01,-1.225409180828291156e+01
3.330666133226645176e+00,7.568831727505973959e+02,9.528984582140781479e-02,-1.229078109767696247e+01,-1.233853833616319662e+01
3.360672134426885282e+00,7.565145515747407217e+02,9.580040627132464792e-02,-1.227904953251419684e+01,-1.226134394963412255e+01
3.390678135627125389e+00,7.561462823701155003e+02,9.630663355139729154e-02,-1.226732103262177276e+01,-1.236574087023366531e+01
3.420684136827365496e+00,7.557783650441787131e+02,9.680856293959379244e-02,-1.225559563705419563e+01,-1.221063195167166526e+01
3.450690138027605602e+00,7.554107995032489953e+02,9.730622936171920423e-02,-1.224387338456409502e+01,-1.225178576532767316e+01
3.480696139227845709e+00,7.550435856525068630e+02,9.779966739141562893e-02,-1.223215431359693994e+01,-1.228053838718315127e+01
3.510702140428085372e+00,7.546767233959944861e+02,9.828891125016223085e-02,-1.222043846228577202e+01,-1.213651751034766413e+01
3.540708141628325478e+00,7.543102126366152334e+02,9.877399480727516723e-02,-1.220872586844595986e+01,-1.217045813425765388e+01
3.570714142828565585e+00,7.539440532761346958e+02,9.925495157990768536e-02,-1.219701656957001568e+01,-1.219472617778104606e+01
3.600720144028805692e+00,7.535782452151798907e+02,9.973181473305002542e-02,-1.218531060282240652e+01,-1.222258277226191225e+01
3.630726145229045798e+00,7.532127883533521526e+02,1.002046171482333659e-01,-1.217360800516599539e+01,-1.217577613467408248e+01
3.660732146429285905e+00,7.528476825890255668e+02,1.006733913941848385e-01,-1.216190881329602647e+01,-1.217010525144378619e+01
3.690738147629526011e+00,7.524829278192328275e+02,1.011381696185281037e-01,-1.215021306342975116e+01,-1.211397423875269652e+01
3.720744148829766118e+00,7.521185239399845841e+02,1.015989836730917251e-01,-1.213852079154534636e+01,-1.209861703248735587e+01
3.750750150030005781e+00,7.517544708462730796e+02,1.020558651153884167e-01,-1.212683203338029614e+01,-1.216021985236843328e+01
3.780756151230245887e+00,7.513907684320719227e+02,1.025088452086150986e-01,-1.211514682442689583e+01,-1.214261535246474821e+01
3.810762152430485994e+00,7.510274165903362018e+02,1.029579549216527584e-01,-1.210346519992782355e+01,-1.213006846631675373e+01
3.840768153630726101e+00,7.506644152130025986e+02,1.034032249290666033e-01,-1.209178719487172948e+01,-1.215925305718462468e+01
3.870774154830966207e+00,7.503017641909889335e+02,1.038446856111059358e-01,-1.208011284398879681e+01,-1.210969158813335689e+01
3.900780156031206314e+00,7.499394634141946199e+02,1.042823670537042502e-01,-1.206844218174641981e+01,-1.207306258500674012e+01
3.930786157231446420e+00,7.495775127715005510e+02,1.047162990484791500e-01,-1.205677524234481623e+01,-1.202222764511453335e+01
3.960792158431686083e+00,7.492159121507689861e+02,1.051465110927324170e-01,-1.204511205971273569e+01,-1.197909308524439709e+01
3.990798159631926190e+00,7.488546614388436637e+02,1.055730323894499972e-01,-1.203345266750313591e+01,-1.207386996138110291e+01
4.020804160832166296e+00,7.484937605215495751e+02,1.059958918473019318e-01,-1.202179709908892846e+01,-1.199424827249486292e+01
4.050810162032406403e+00,7.481332092837380969e+02,1.064151181036229604e-01,-1.201014538760355954e+01,-1.203236822888883673e+01
4.080816163232646510e+00,7.477730076093224625e+02,1.068307395944810140e-01,-1.199849756607038742e+01,-1.189473817725461835e+01
4.110822164432886616e+00,7.474131553808904300e+02,1.072427843747999349e-01,-1.198685366704637190e+01,-1.198928984427765698e+01
4.140828165633126723e+00,7.470536524800716052e+02,1.076512802339371910e-01,-1.197521372284816010e+01,-1.195010737432772885e+01
4.170834166833366830e+00,7.466944987875839388e+02,1.080562547149487712e-01,-1.196357776558625474e+01,-1.201038587324314655e+01
4.200840168033606936e+00,7.463356941832342955e+02,1.084577351145892127e-01,-1.195194582716132459e+01,-1.199248030037629675e+01
4.230846169233847043e+00,7.459772385459183397e+02,1.088557484833115735e-01,-1.194031793926052742e+01,-1.193023317421699581e+01
4.260852170434087149e+00,7.456191317536200813e+02,1.092503216252674741e-01,-1.192869413335380813e+01,-1.194789685587861428e+01
4.290858171634327256e+00,7.452613736834124438e+02,1.096414810983070282e-01,-1.191707444069029620e+01,-1.189941001106176977e+01
4.320864172834566475e+00,7.449039642114570370e+02,1.100292532139788837e-01,-1.190545889229467846e+01,-1.198355009825896644e+01
4.350870174034806581e+00,7.445469032130040432e+02,1.104136640375302930e-01,-1.189384751896358949e+01,-1.186074727045614274e+01
4.380876175235046688e+00,7.441901905623924449e+02,1.107947393879069597e-01,-1.188224035126201983e+01,-1.192721436915100597e+01
4.410882176435286794e+00,7.438338261330497971e+02,1.111725048377531500e-01,-1.187063741951977924e+01,-1.178451624970146483e+01
4.440888177635526901e+00,7.434778097974924549e+02,1.115469857134116644e-01,-1.185903875382794936e+01,-1.187346211593134804e+01
4.470894178835767008e+00,7.431221414273252321e+02,1.119182070949238383e-01,-1.184744438403535405e+01,-1.179258113219105653e+01
4.500900180036007114e+00,7.427668208932984726e+02,1.122861938436506835e-01,-1.183585433979980017e+01,-1.190560350594295080e+01
4.530906181236247221e+00,7.424118480652906555e+02,1.126509706465609467e-01,-1.182426865066894628e+01,-1.180282133844320214e+01
4.560912182436487328e+00,7.420572228119799547e+02,1.130125618633421175e-01,-1.181268734577343871e+01,-1.185708882831316835e+01
4.590918183636727434e+00,7.417029450012005327e+02,1.133709916359408043e-01,-1.180111045404496473e+01,-1.182545490747926209e+01
4.620924184836967541e+00,7.413490144999717586e+02,1.137262838998810144e-01,-1.178953800423578002e+01,-1.178830818512621725e+01
4.650930186037207648e+00,7.409954311744982078e+02,1.140784623842641538e-01,-1.177797002491566580e+01,-1.179382377326239606e+01
4.680936187237447754e+00,7.406421948901696624e+02,1.144275506117689856e-01,-1.176640654446886280e+01,-1.175319376321153797e+01
4.710942188437687861e+00,7.402893055115613379e+02,1.147735718986516718e-01,-1.175484759109108523e+01,-1.171746481965077535e+01
4.740948189637927968e+00,7.399367629024334292e+02,1.151165493547457591e-01,-1.174329319278647610e+01,-1.171065408583198320e+01
4.770954190838167186e+00,7.395845669257315649e+02,1.154565058834621655e-01,-1.173174337736462824e+01,-1.173611745150930119e+01
4.800960192038407293e+00,7.392327174435864663e+02,1.157934641817892213e-01,-1.172019817243761608e+01,-1.178836969793683309e+01
4.830966193238647399e+00,7.388812143173142886e+02,1.161274467402926003e-01,-1.170865760541703793e+01,-1.174888991074247890e+01
4.860972194438887506e+00,7.385300574074162796e+02,1.164584758431153888e-01,-1.169712170351106550e+01,-1.170690951393495283e+01
4.890978195639127613e+00,7.381792465735787800e+02,1.167865735679780442e-01,-1.168559049372152181e+01,-1.179168179235162128e+01
4.920984196839367719e+00,7.378287816746737917e+02,1.171117617861784088e-01,-1.167406400284099988e+01,-1.163645997337996008e+01
4.950990198039607826e+00,7.374786625687614787e+02,1.174340621639295562e-01,-1.166254225745263007e+01,-1.167452416706908203e+01
4.980996199239847932e+00,7.371288891132276149e+02,1.177534962368545490e-01,-1.165102528407635951e+01,-1.166359124900670352e+01
5.011002200440088039e+00,7.367794611643992084e+02,1.180700852968928072e-01,-1.163951310893404312e+01,-1.159209429840218952e+01
5.041008201640328146e+00,7.364303785777123039e+02,1.183838504088091520e-01,-1.162800575798415181e+01,-1.159461023267168045e+01
5.071014202840568252e+00,7.360816412078758049e+02,1.186948124641033081e-01,-1.161650325702920306e+01,-1.160545320871307773e+01
5.101020204040808359e+00,7.357332489088710190e+02,1.190029921810099311e-01,-1.160500563171319044e+01,-1.165507231107486419e+01
5.131026205241048466e+00,7.353852015339519994e+02,1.193084101044985662e-01,-1.159351290751908792e+01,-1.157799182870476784e+01
5.161032206441288572e+00,7.350374989356453170e+02,1.196110866062737033e-01,-1.158202510976634869e+01,-1.156471623283851180e+01
5.191038207641528679e+00,7.346901409657505155e+02,1.199110418847747495e-01,-1.157054226360839877e+01,-1.161478093029676018e+01
5.221044208841767897e+00,7.343431274753393154e+02,1.202082959651760291e-01,-1.155906439403016073e+01,-1.150689880177039015e+01
5.251050210042008004e+00,7.339964583147566373e+02,1.205028686993867698e-01,-1.154759152584561122e+01,-1.152219716673528183e+01
5.281056211242248111e+00,7.336501333336194648e+02,1.207947797660511302e-01,-1.153612368369529229e+01,-1.163460490202110442e+01
5.311062212442488217e+00,7.333041523808179818e+02,1.210840486705482000e-01,-1.152466089204393285e+01,-1.151856341956041874e+01
5.341068213642728324e+00,7.329585153045146626e+02,1.213706947449919582e-01,-1.151320317517797243e+01,-1.157643807487665022e+01
5.371074214842968431e+00,7.326132219521448405e+02,1.216547371482313289e-01,-1.150175055720317907e+01,-1.144493479979033523e+01
5.401080216043208537e+00,7.322682721704161395e+02,1.219361948658501393e-01,-1.149030306204225305e+01,-1.144995166416512333e+01
5.431086217243448644e+00,7.319236658053112023e+02,1.222150867108226929e-01,-1.147886071343380898e+01,-1.153404025093697527e+01
5.461092218443688751e+00,7.315794027022187720e+02,1.224914313874847088e-01,-1.146742353506019896e+01,-1.151166717004257656e+01
5.491098219643928857e+00,7.312354827055773967e+02,1.227652473976209441e-01,-1.145599155034872751e+01,-1.145089888611152951e+01
5.521104220844168964e+00,7.308919056590038963e+02,1.230365530447867090e-01,-1.144456478248201670e+01,-1.145650532338994054e+01
5.551110222044409070e+00,7.305486714054670756e+02,1.233053664868803828e-01,-1.143314325450503688e+01,-1.135688310049637373e+01
5.581116223244649177e+00,7.302057797872884066e+02,1.235717057361434557e-01,-1.142172698932302488e+01,-1.138467829846406687e+01
5.611122224444889284e+00,7.298632306461410053e+02,1.238355886591604865e-01,-1.141031600969938076e+01,-1.142443737206296639e+01
5.641128225645129390e+00,7.295210238230505411e+02,1.240970329768591035e-01,-1.139891033825360545e+01,-1.137004054156978583e+01
5.671134226845368609e+00,7.291791591583948957e+02,1.243560562645100315e-01,-1.138750999745927039e+01,-1.148912396278494086e+01
5.701140228045608715e+00,7.288376364919039361e+02,1.246126759517270921e-01,-1.137611500964193390e+01,-1.136062177527109185e+01
5.731146229245848822e+00,7.284964556626600825e+02,1.248669093224671761e-01,-1.136472539697713913e+01,-1.132140504402704551e+01
5.761152230446088929e+00,7.281556165090975128e+02,1.251187735150302849e-01,-1.135334118148836602e+01,-1.136228880704216238e+01
5.791158231646329035e+00,7.278151188690030722e+02,1.253682855220594472e-01,-1.134196238504503995e+01,-1.137747309461041745e+01
5.821164232846569142e+00,7.274749625795153634e+02,1.256154621905408164e-01,-1.133058902936052093e+01,-1.130229735669184343e+01
5.851170234046809249e+00,7.271351474771256562e+02,1.258603202218036565e-01,-1.131922113599014423e+01,-1.122129039960937114e+01
5.881176235247049355e+00,7.267956733976770920e+02,1.261028761715202451e-01,-1.130785872632918831e+01,-1.129761527961985301e+01
5.911182236447289462e+00,7.264565401763651380e+02,1.263431464497060119e-01,-1.129650182161097405e+01,-1.135253570476923635e+01
5.941188237647529569e+00,7.261177476477740811e+02,1.265811473340577031e-01,-1.128515044293265923e+01,-1.121286020353668711e+01
5.971194238847769675e+00,7.257792956459122706e+02,1.268168950117904148e-01,-1.127380461133794398e+01,-1.136773198535736284e+01
6.001200240048009782e+00,7.254411840038521859e+02,1.270504054611529821e-01,-1.126246434756696324e+01,-1.123730410480037456e+01
6.031206241248249889e+00,7.251034125540463720e+02,1.272816945244981679e-01,-1.125112967221058646e+01,-1.128022740466861329e+01
6.061212242448489995e+00,7.247659811283724594e+02,1.275107779215481352e-01,-1.123980060573658690e+01,-1.119327068418213145e+01
6.091218243648730102e+00,7.244288895581328234e+02,1.277376712493942801e-01,-1.122847716848793809e+01,-1.127095088687908842e+01
6.121224244848969320e+00,7.240921376740549249e+02,1.279623899824972877e-01,-1.121715938068110141e+01,-1.115096699038846317e+01
6.151230246049209427e+00,7.237557253062913105e+02,1.281849494726871319e-01,-1.120584726240432261e+01,-1.119083360788329884e+01
6.181236247249449534e+00,7.234196522844193851e+02,1.284053649491630755e-01,-1.119454083361592467e+01,-1.128088286518791428e+01
6.211242248449689640e+00,7.230839184374415254e+02,1.286236515184936979e-01,-1.118324011414265939e+01,-1.128193076555289842e+01
6.241248249649929747e+00,7.227485235937849666e+02,1.288398241646167841e-01,-1.117194512367798254e+01,-1.118774989931123010e+01
6.271254250850169853e+00,7.224134675813020294e+02,1.290538977488394912e-01,-1.116065588178044976e+01,-1.109594530035992044e+01
6.301260252050409960e+00,7.220787502272701204e+02,1.292658870098381818e-01,-1.114937240787202555e+01,-1.114302090610985729e+01
6.331266253250650067e+00,7.217443713583913905e+02,1.294758065636585909e-01,-1.113809472123643829e+01,-1.113473868611124828e+01
6.361272254450890173e+00,7.214103308007930764e+02,1.296836709037156865e-01,-1.112682284101756380e+01,-1.113861803270094697e+01
6.391278255651130280e+00,7.210766283800272731e+02,1.298894944007937258e-01,-1.111555678621778398e+01,-1.107866177772138272e+01
6.421284256851370387e+00,7.207432639210712750e+02,1.300932913030462268e-01,-1.110429657569638628e+01,-1.108543023586164189e+01
6.451290258051610493e+00,7.204102372483463341e+02,1.302950757421949268e-01,-1.109304222818109942e+01,-1.107902493449898529e+01
6.481296259251850600e+00,7.200775481858074727e+02,1.304948617811479972e-01,-1.108179376236566327e+01,-1.113102990943355941e+01
6.511302260452090707e+00,7.197451965565538785e+02,1.306926633074434463e-01,-1.107055119668006427e+01,-1.101115853126221467e+01
6.541308261652330813e+00,7.194131821831009574e+02,1.308884940850939815e-01,-1.105931454940274072e+01,-1.099116052876647132e+01
6.571314262852570032e+00,7.190815048874560489e+02,1.310823677747223193e-01,-1.104808383870231481e+01,-1.111315151471356444e+01
6.601320264052810138e+00,7.187501644911180847e+02,1.312742979335612126e-01,-1.103685908263619275e+01,-1.092178432599394533e+01
6.631326265253050245e+00,7.184191608150778166e+02,1.314642980154532570e-01,-1.102564029914914734e+01,-1.098951496966147268e+01
6.661332266453290352e+00,7.180884936798177023e+02,1.316523813708511681e-01,-1.101442750607190035e+01,-1.103882780589097301e+01
6.691338267653530458e+00,7.177581629053123606e+02,1.318385612468175039e-01,-1.100322072111975480e+01,-1.109843851642693124e+01
6.721344268853770565e+00,7.174281683110277754e+02,1.320228507870248869e-01,-1.099201996189119157e+01,-1.095917764098967773e+01
