S,E,I,T,v,v_noisy
2.138205011110510867e+01,2.544728644603803502e+01,3.874659394927847700e+01,4.534025667466194420e+01,1.159473085945139928e+03,1.200328518094986521e+03
6.902555434658413702e+00,4.788438549442673775e+01,3.080141582610413309e+01,3.214772220100751809e+01,1.031779490316958118e+03,1.044713550240995119e+03
5.647979534444260707e+01,2.571238410071914160e+01,1.658601502468374278e+01,4.771242282755021336e+01,6.322393971993811874e+02,6.455006646469064435e+02
1.314554602308476705e-01,3.678825880692806294e+01,2.984205786429290796e+01,4.229604397392313331e+01,5.027193465254910620e+01,3.999180721879984901e+01
3.852723037279587093e+00,1.704783864415788130e+01,3.989812048677018907e+01,4.419725442858430853e+01,4.408202002718786616e+02,4.078586968547656397e+02
2.387853336655944236e+00,3.734451675779772728e+01,4.607493639694088472e+01,4.325985820827680328e+01,6.923121482706734469e+02,6.956614431551282678e+02
1.538327264971291741e-01,3.752058585800305934e+01,6.916213205782750784e+00,4.501297805797315732e+01,5.100769104593300085e+01,5.318797280236395153e+01
8.394300410074325924e+00,3.364348600564514413e+01,4.215102082188307264e+01,4.241275362417566441e+01,1.515198539886545404e+03,1.490651498801653815e+03
3.613254193950034932e+01,3.783763957543909839e+01,3.239551682509257802e+01,3.790046108580821738e+01,2.482786348523526158e+03,2.469121815287915069e+03
6.009288496545991620e+00,2.883165644624901702e+01,2.681519282947746419e+01,3.705920235278860275e+01,1.149328207666958633e+03,1.147887334072413978e+03
6.029653326678219294e-01,4.285415897517449224e+01,2.203884826707640343e+01,3.875520073286146783e+01,2.767955427475711758e+02,2.579005102863555976e+02
3.308602267865397550e+01,4.171042976995536833e+01,2.554022551738091096e+01,4.048277849895164593e+01,2.800159500101431149e+03,2.798194100744387015e+03
3.376662420893699945e+00,5.271293808006570103e+00,2.293625106155012716e+01,3.743280000866074175e+01,1.701628550007139040e+02,1.720725155501029917e+02
3.409311264422270060e+00,2.269361147412906377e+01,3.353453487370257591e+01,3.054320586668842807e+01,1.634337544242175397e+02,1.641454791653272594e+02
1.815894541260320949e+01,6.473267187743065421e+00,4.560157034318319802e+01,3.278353290591233815e+01,2.717144018941550030e+02,2.615885687278687328e+02
2.778216634772801008e-01,4.755168244493949459e+01,1.184411338653614720e+01,3.815295547226726569e+01,1.493808163928405293e+02,1.612557778285569725e+02
2.876604512282171910e+01,2.202711421581241780e+01,1.032191282050842762e-01,4.434337148966844211e+01,1.707976266883943936e+03,1.725799605969590402e+03
1.121658670991577900e+01,1.139387674598877709e+01,1.287902356497672152e+00,3.695489773081700235e+01,8.501587591185009387e+02,8.565757252098321715e+02
2.297686775640087831e+01,4.196261281526712139e+01,4.558483131633671803e+01,4.554891711259718079e+01,1.790040137727920637e+03,1.773675533180114599e+03
3.757065591004836169e-01,4.817199900013333647e+00,4.644163497405808982e+01,4.651078860687201200e+01,1.238263536628008232e+01,2.701568104198889841e+01
2.553244960601730540e+01,8.127303957971484749e+00,4.375745004395540150e+01,3.145779086053733664e+01,2.390499097271854225e+02,2.290211093578443808e+02
3.749486361060725415e-01,3.410208186910207218e+01,2.912365612054963293e+01,4.301551772070426694e+01,1.245485216256943062e+02,1.421317339914540128e+02
1.756539223757207779e-01,2.561745448299680206e+01,2.926059476197581688e+01,4.715741528321569831e+01,2.314086952187486190e+01,1.705121184325978589e+00
3.678586077837788082e+01,1.373108598044325568e+01,2.019551378986546553e+01,3.536708053188235823e+01,8.580433855268347543e+02,8.763327295894104054e+02
3.835751720680286070e+01,2.902584857847785216e+01,1.689098454605062472e+01,3.802089166290426192e+01,2.005640299869750152e+03,2.005239030777440576e+03
4.261978840632360033e+01,1.076549185367081662e+01,4.666114308115197673e+01,3.829926543560424790e+01,7.697012364500425292e+02,7.447262586433541856e+02
2.604528764013330999e+00,1.580716273941870753e+01,2.651693629493420801e+01,3.808489438503700342e+01,3.878118380973400576e+02,3.815338486580030803e+02
6.639649680548233013e-01,3.074750039997428885e+01,1.376046780505814127e+01,4.490335784785197859e+01,1.668652016024960290e+02,1.679472471779268972e+02
1.050208395594421362e-01,4.420514166211383156e+01,3.286131915760905287e+01,4.657305859823123484e+01,2.721086495169713615e+01,3.266669173498620893e+01
8.652919964777806783e+00,3.530732450230857467e+01,4.582995129463618866e+00,4.507561522785826469e+01,1.443317241051552401e+03,1.423673478552732831e+03
1.444535271377491448e+01,3.233977531504038438e+01,3.418442724833077051e+01,3.231810128736396592e+01,1.012836916406618116e+03,9.906894554633142889e+02
3.211497952768751674e+01,3.745903328504845575e+01,1.362058425128859263e+01,4.607062284899340909e+01,1.575844942811559349e+03,1.579836633468501077e+03
7.008635628994545064e-01,1.922960114127825548e+01,3.470571803112106579e+01,4.236253531632608116e+01,1.378367912621277753e+02,1.285017989245317267e+02
4.422364157485387248e-01,4.905841398009172849e+01,2.409638798125312675e+01,4.685266444533177577e+01,1.150988144763138621e+02,1.198089267109183709e+02
8.279309926218447302e+00,3.075737891039272753e+01,4.305917781915665188e+01,3.707151162703254244e+01,1.420496713804758201e+03,1.435687104254325732e+03
2.601144622411204921e+01,1.324928313782448619e+01,3.783106912246370968e+01,3.550228105468518436e+01,8.156251675062305821e+02,7.826494201792115746e+02
7.780591574150184897e+01,2.280279768567794907e+00,4.916302448958851556e+01,3.611461133698745840e+01,1.437270868165953459e+02,1.488148491469476937e+02
2.828619241208258916e-01,6.031901472146660836e+00,2.903360431393233654e+01,3.687369338589370216e+01,2.050022524605282115e+01,4.499316459676747115e+01
2.796643860976353757e+00,1.032620300493213783e+01,4.131073090035730644e+01,4.590379963115875483e+01,1.708888120541447506e+02,1.649382751667352807e+02
4.832229881364551716e+01,3.685144563100362802e+01,3.293568962748105378e+01,3.872345868034753380e+01,2.390313979833872054e+03,2.374097688169120829e+03
1.854174998659668505e+00,4.081879764139441846e+01,3.683680934702915266e+01,3.518555522352774290e+01,5.868158086454607201e+02,6.018606851890525604e+02
5.868217284662191169e+00,4.630991582991438094e+01,4.477199963767220936e+01,4.387539714036448402e+01,1.502579822461581898e+03,1.507648752785744819e+03
1.184328096660934304e-01,3.232405664128967260e+01,1.564633704974940365e+01,3.087962359496088638e+01,1.351065369895919943e+01,3.142831511451040782e+01
1.048044351016191378e+01,1.521521100378777724e+01,3.980871319003173880e+01,3.625443578895748686e+01,7.892326219588569529e+02,7.823283077578313396e+02
5.718285817025898865e+01,4.202401992250268137e+01,4.634189435779742894e+01,4.424381116683734660e+01,2.049779717496549893e+03,2.020143352022105773e+03
3.023263415309360980e+01,4.769677340924815212e+01,4.945072225820891987e+01,4.095192662552738483e+01,3.065461812710600043e+03,3.063261597416375025e+03
4.534827797782974557e+01,3.499674008186036644e+01,7.290902440242486016e+00,3.652828349029950772e+01,2.345420695598219936e+03,2.336504132537995247e+03
9.573398597735282678e+00,4.081722978554937598e+00,1.406140909095006108e+01,3.495722500907836405e+01,2.145176147726634497e+02,2.300240912136149234e+02
5.453267500046947713e-01,2.084360785070748179e+01,2.123394366577439740e+01,3.165105070677580912e+01,5.459436254642592701e+01,5.846701951396900654e+01
2.020928724029741375e+01,1.282270967551075636e+01,1.904245853018051804e+01,3.043933289782407670e+01,2.123975411597328957e+02,1.797805565110308805e+02
4.315431504913080918e-01,4.699339533835556892e+01,4.687345680632099487e+01,3.361359353593167754e+01,1.442731088300570264e+02,1.203698472279930343e+02
3.117629512613210707e+01,4.065060786074052857e+01,1.256434202879186390e+00,3.879804265878130565e+01,3.540400998068439094e+03,3.558076778800184002e+03
1.542246409056125533e-01,3.961392050445530888e+00,4.482439915730343927e+01,3.822992169344907154e+01,7.945070435220511484e+00,2.154037078357744406e+01
2.995459417764581289e+01,3.066688055093212739e+01,4.243151796601102532e+00,3.952697172385305890e+01,2.446607625689959605e+03,2.433802758371789878e+03
3.115457272504221775e-01,4.926480536430030810e+01,4.687725155916022857e+01,3.044883179622770442e+01,3.743459760107685241e+01,3.741362166973124204e+01
1.334876198638667022e+00,2.642840328748011203e+01,4.606479958159523136e+01,3.789191182628595556e+01,3.469414569315042058e+02,3.558529280070279128e+02
8.916912390336937388e-01,4.452734654120074964e+01,2.411389096201662241e+01,4.326634231594579205e+01,3.578914152604680226e+02,3.672595019774136063e+02
1.185799071182736064e+01,4.071036852202463052e+01,8.710045649099818377e+00,4.349762244531824251e+01,2.120382506425295560e+03,2.137907350347582451e+03
3.433330681322261380e-01,2.384110124386699425e+01,9.573935758601304968e+00,4.004295482834940856e+01,9.953440482050153548e+01,1.046641173649327783e+02
1.544430916080221206e+00,2.237941562141463336e+01,1.297061516750623866e+01,4.268406549249492343e+01,3.339890435373710602e+02,3.320924767580011121e+02
1.041055266046087835e-01,8.501733793717917820e+00,4.244586706333446102e+01,3.017048824234020188e+01,2.004732998139431288e+00,-3.172228297617479598e+00
6.130334019045969862e-01,1.804624372061051218e+01,2.703745952787356899e+01,3.605503973433989984e+01,1.115904656175225114e+02,1.327053216281875336e+02
1.834705837183860488e+00,9.972650445070154746e+00,4.374123046695420669e+01,3.922058593351120948e+01,1.917204201089982121e+02,1.467033346074274505e+02
2.078565478584318005e-01,4.236252540066298877e+01,3.773259916286541227e+01,4.657577191359854396e+01,5.091709484937691599e+01,4.814398834755017020e+01
7.933774237972433419e+00,3.036846192406445510e+01,4.838519404153455383e+01,3.463341111075381207e+01,1.127268998535562105e+03,1.127929000615243240e+03
1.384435763374360473e+00,4.684399243174917871e+01,3.306884680637389806e+01,3.526487220279118162e+01,5.264877260930999228e+02,4.979807468756961839e+02
1.499276777601715160e+01,2.081253376749367590e+01,8.502218783817466985e+00,3.792926523982974629e+01,1.412718517385850646e+03,1.419374789648611568e+03
9.153728628925060562e+00,3.523461138348738331e+01,2.734694956890269069e+01,4.232615198417279601e+01,1.682863227211449384e+03,1.669837606962581503e+03
1.966437946934256775e+00,4.174093420844977942e+01,3.696419241460448291e+01,4.041401972876293058e+01,7.567837714553511432e+02,7.740326673816661014e+02
3.999093120064947726e+01,1.137425377623253020e+00,1.789522155408566562e+01,4.351617714616521226e+01,8.432891072344696681e+01,8.181706904276042280e+01
7.877807285986573760e+00,1.648127020523455855e+01,4.998887342233979325e+01,3.497407423168069585e+01,6.645167964025924903e+02,6.778998612183816022e+02
2.696640522059241363e+01,2.209337469178782953e+01,1.086313818463210445e+01,4.444042550659001733e+01,1.270342882670400741e+03,1.294719754773825116e+03
1.060191143189747054e+00,4.646587047921678959e+01,4.633152010311149382e+01,4.638394644236565512e+01,2.715963325716423356e+02,2.792549242259117932e+02
4.275706332569879642e+00,4.358919841127696060e+01,2.449668957471201125e+01,3.971495780905968331e+01,1.452654788261964768e+03,1.435140365393507864e+03
3.880526515885205918e-01,4.683158016064713713e+00,4.223874064665007211e+01,3.485434086550451838e+01,1.850763124294384099e+01,-1.177874139114892671e+01
9.736964135470053350e+01,4.779522629229285258e+01,2.664260178864295980e+01,4.521489868854214222e+01,1.752508033887524334e+03,1.787575716237851793e+03
5.365947174612332171e-01,3.153173854144888821e+01,2.753064903868607161e+01,4.124622704808169260e+01,1.797542691914164266e+02,1.775284253276660422e+02
5.896609960071137468e-01,4.060711916733163562e+00,3.535867508319991970e+01,4.553636059825022642e+01,2.003924211979938619e+01,6.267943167112953518e+00
1.657945373471850503e-01,3.466105131696836139e+01,2.620358632340161620e+01,3.759439843085973365e+01,6.268232409563958640e+01,6.556746585685608864e+01
5.934844671961237994e-01,4.284045018660165027e+01,2.242351113517495520e+01,4.190452329955490995e+01,2.588903177189203006e+02,2.550620911092673282e+02
1.947088078129234390e+01,1.331333651871607238e+01,5.937548718463975028e+00,3.058623384816850077e+01,2.660119299329722935e+02,2.830547752172260516e+02
1.240739795593150241e+01,1.647174708317314895e+01,3.363628596850362840e+01,3.458161596258681669e+01,7.793097091447340290e+02,7.799882727934760851e+02
2.432313985492967068e-01,1.424578815348547067e+01,4.800217071246630951e+01,3.551190855871031715e+01,3.465180037124430612e+01,3.492679204361269285e+01
1.344979002492498799e+00,3.527411617889541162e+01,4.713129380697677817e+01,4.660608733073252097e+01,2.453758873020818498e+02,2.310842928814225559e+02
1.831319769991002655e+00,3.605481896331293257e+01,2.348699665904796507e+00,4.236172116519723829e+01,7.185351431461748462e+02,7.279265051211247055e+02
9.884455239120594428e+00,3.883028691675256283e+01,2.183560798911071288e+01,3.083002914093269453e+01,6.094269953477079298e+02,5.887496609006083190e+02
2.332313301513569748e+00,4.609153600483669777e+01,2.978617433884986809e+01,4.004630722086341166e+01,9.673783320671309411e+02,9.806961208624102255e+02
5.748505887289804939e+00,9.500498305153655565e+00,4.937360955628999903e+00,3.782794055895089258e+01,4.761072639839492240e+02,5.065860142437518334e+02
3.304104776830239842e+01,3.555827262189521321e+01,3.553164730829757900e+01,4.371581710866360027e+01,1.998420967710434979e+03,1.967927246948451966e+03
1.511544129568408046e+01,3.246229797100806280e+01,2.166815016602890864e+01,3.384398061233871147e+01,1.427946886248834517e+03,1.378622301621808219e+03
1.244577056285595784e+00,1.349974357469308295e+01,6.491413149665986815e+00,3.600806853199828339e+01,1.809505739566043871e+02,1.932881490596907668e+02
2.214057665864300528e+00,4.877776983553352608e+01,1.063239028820108700e+01,3.306675273313940977e+01,6.385172151760431234e+02,6.894751714857056868e+02
1.267940018167134975e+00,2.410953114584560808e+01,9.171498651756315734e-01,4.384279549926648656e+01,3.458641575815428268e+02,3.258456606041049781e+02
2.134047058846723355e-01,4.746696004676479674e+01,1.150536045459807966e+01,3.803000454752677228e+01,1.151584753504072864e+02,9.014456017436751267e+01
4.071220570953147377e-01,4.860280275863128452e+01,3.502630730808678550e+01,3.390425615722857344e+01,1.488617104462211955e+02,1.606410891218306745e+02
7.102634504632958645e-01,4.505238074401221127e+01,2.466928715725208932e+01,3.779477429766733110e+01,3.288016468233443561e+02,3.119872150221781908e+02
8.757934378958713850e-01,2.324452531901461327e+01,1.168921489800424141e+01,3.869437544237744930e+01,2.310750467113044238e+02,2.209545370325697036e+02
8.692477525027891838e-01,1.434895111230233944e+01,1.263763898608606340e+01,4.599996610613398218e+01,8.890909549750610097e+01,8.194674616383053944e+01
5.371544138953461278e+00,2.949521599809031613e+01,2.366611019620376055e+01,3.438538850278658998e+01,8.822462231024229595e+02,8.928862648282589589e+02
8.223750519866199227e+01,2.275202373115562082e+01,3.666480300449935470e+01,3.122522381607589281e+01,4.746108720362723261e+02,4.665048248084099782e+02
2.108591273173659530e+01,2.367597830130631564e+01,4.891869965200129400e+01,3.446523110492282171e+01,1.205144944382403764e+03,1.210702601184006880e+03
2.362663350075457558e+01,1.258202651324548604e+01,2.493671351149133031e+01,3.101138107247472675e+01,2.974579512979817082e+02,2.939272861201101819e+02
1.895856673403622850e+01,4.219152723241302283e+01,2.216367107762298616e+01,3.075983874645760352e+01,7.716874271804442742e+02,7.547940051074122039e+02
6.179640226627928890e+00,3.667084261524541944e+01,1.895755150050748128e+01,3.617619196907639179e+01,1.412153465692127611e+03,1.405756940537263290e+03
5.663393936702061637e+01,4.333282509505373525e+01,4.107702948047396063e+01,4.324969538582418238e+01,2.336302456586242442e+03,2.317294463282883953e+03
1.171899762765666786e+01,2.681117188296712328e+01,2.880744193366031070e+01,4.378384663670966148e+01,1.287911669377489716e+03,1.288041969094884735e+03
3.170073211716589512e+00,5.086854716233630391e+00,4.579047960485335977e+01,4.585241492566932209e+01,9.876455840206548942e+01,7.628723385075275587e+01
1.703144221959015936e-01,4.318429250651957574e+01,2.741063905183964522e+01,4.505669372943484063e+01,5.795053306372268054e+01,3.609264567781782063e+01
2.919763541084994696e+00,3.927934479626309372e+00,9.945962531937796669e+00,4.618233601503368391e+01,7.431193553759032966e+01,1.034511718436954482e+02
4.350037351403274744e-01,8.148542469261649046e+00,5.255764833144133341e+00,3.351440042068596625e+01,3.294339617918711127e+01,3.187971177308028459e+01
2.500857191937142510e-01,4.723394643623677780e+01,2.690208400508884878e+01,3.324017476731543752e+01,8.180074489172884000e+01,8.072270438228798639e+01
3.297575650485725429e+00,2.829448632585678780e+01,9.533246081324758592e+00,3.035693834526108148e+01,1.839206133578327638e+02,1.941513417561851327e+02
2.265978984746593383e+01,3.391237181313634608e+01,3.492663470011355997e+01,3.734184957464953669e+01,2.155301916709065608e+03,2.146884776658087958e+03
7.673956417933810448e-01,4.113913702579725395e+01,3.915029726346753591e+01,3.848627220043782415e+01,3.239877278165094481e+02,3.194170204669462692e+02
2.024488339656090830e+01,3.339557821641344049e+01,3.887005306847616026e+01,3.311066845468988618e+01,1.341307060425136115e+03,1.349810035131774384e+03
3.774753265448691053e+00,2.247657876034272917e+01,2.031196834893869863e+01,4.755268333741936715e+01,2.838146907527594180e+02,2.894630075976474473e+02
2.799909990070034715e-01,2.737847118831752624e+01,2.754228824354301253e+01,3.690865407126943154e+01,8.137332596408282370e+01,5.818739142543422815e+01
7.850606904927118990e+01,2.022494778677732441e+01,1.133327803279079404e+01,3.690510901053184512e+01,1.219038866886173764e+03,1.235705718819566982e+03
1.602908277641599266e+00,2.907092603604416325e+01,2.594634072774245581e+01,3.707551566654517217e+01,4.395495460947349784e+02,4.277408472289541237e+02
7.686042241970074684e-01,6.092480201436234477e-01,4.086287391028351124e+01,3.301130178497065515e+01,3.789097360759690503e+00,-1.733248164552402670e+01
3.475322498541614635e+01,2.565917176223373986e+01,3.196054021520630073e+01,4.067017491987412825e+01,1.754917304236830660e+03,1.736907802836849669e+03
2.362549940403986803e-01,1.679178238489233088e+00,3.335803629358584743e+01,3.211914844616569553e+01,2.675943407401724539e+00,-5.134963479704733658e+00
1.587710742419931798e+01,5.928761466786796497e+00,4.780691844795351386e+01,4.705121181003985953e+01,1.954251535869308896e+02,2.279711586793922322e+02
3.659942207470773257e-01,4.239522959307782912e+01,1.433818701992900024e+01,3.850898081037188092e+01,1.740570750529408599e+02,1.505463569545252653e+02
1.504788030430902035e+00,3.313961280661963116e+01,3.247853699585140674e+01,4.070861363727448889e+01,4.860468977376340263e+02,4.892484155883208246e+02
4.962489894518427591e-01,9.517309606017436252e+00,4.423272657231029825e+01,3.646519623432280355e+01,5.142111235337762309e+01,8.664625191566074136e+00
3.339519456573892597e+01,3.748652499996556742e+01,1.660952309481550770e+01,3.604287660917619007e+01,2.324325328211831675e+03,2.324293989548927584e+03
1.479870305274880060e+00,2.405127184459821166e+01,2.522467347156920336e+00,4.773509771599226070e+01,1.603101389906280190e+02,1.783014673401481502e+02
8.396116164728771025e+01,7.174890660669881903e+00,1.474078939489295514e+01,3.201380460686559104e+01,2.287496239457777847e+02,2.240163575045486937e+02
7.512499450515405464e+00,4.651944190958008107e+01,1.449174374905295970e+01,3.248627308097586308e+01,1.196253561241607031e+03,1.183666462763940217e+03
1.204671134243442765e+01,6.083852375027381854e+00,1.436211854772291829e+01,3.954137644791456552e+01,4.209806666966532021e+02,4.256108879778239498e+02
3.669233638956379551e+00,1.477271471905454492e+00,2.626932023871501443e+01,3.345331981745864169e+01,3.684504170562547642e+01,5.084807672863848893e+01
8.450931806111020572e-01,1.320178555860145231e+01,2.811843055623587873e+01,3.011865079374686260e+01,2.182130316921770330e+01,3.509445458956583508e+01
1.536983704980974030e+00,4.799565392749558512e+00,1.925741212814478587e+01,4.109160968231961419e+01,8.540072363789134613e+01,1.248502007164871799e+02
6.649707814332941780e+01,1.327712199787667302e+00,1.609987928418102854e+01,3.005792879087377045e+01,1.702994204303405468e+01,2.121329148975959100e+01
4.014297936477665973e-01,3.283547288497894101e+01,2.618041478611530337e+01,4.140012554855712779e+01,1.410431076387050382e+02,1.291949056436463934e+02
9.218424511648395026e+01,7.032125880068940127e+00,3.650309521491932685e+01,3.552579843265607451e+01,3.725983520806898355e+02,3.700787682809569787e+02
1.883291672316894960e+01,2.841205228106840153e+01,1.624494290378647454e+00,4.109168142357464149e+01,2.322543466663169056e+03,2.321093495750772945e+03
1.200496171749505070e+00,1.250819654396879343e+01,4.128675537440732768e+01,4.038795666633929216e+01,1.625782792666422836e+02,1.647530269362046624e+02
8.405059041898818251e+00,4.706218172049173631e+01,6.621714535673561386e+00,4.667593553032868670e+01,1.309535021981821046e+03,1.308934465717232342e+03
1.389775392911630103e+00,1.118487142059289141e+01,4.532011775877428761e+01,3.441708162451747199e+01,1.269868895438068677e+02,1.304662083217309316e+02
1.394693567604356144e+00,2.627240895390779585e+01,2.463367366019861748e+01,4.663216006403114733e+01,1.963385827811547415e+02,1.629215815688525026e+02
3.246450987351038986e+00,3.688186926959699008e+01,2.821276201978648501e+01,3.960930156909351041e+01,1.016887998972396076e+03,1.033480578093196982e+03
1.122453775051416580e-01,1.590093097215904194e+01,4.904120588265737979e+01,3.000028521033494755e+01,3.170595434198627327e+00,-8.324189944222018411e+00
3.024925477857674849e+00,4.167109980762324284e+01,4.486091352687363099e+01,3.717465460824880807e+01,1.009025985228596937e+03,9.855628112996564596e+02
8.218550732019147631e+01,1.604195813050475294e+01,2.225437254933314435e+01,3.104027914445208580e+01,3.235823043374718964e+02,3.363373275303006267e+02
7.184485727446682235e-01,1.969907315681808058e+01,1.011416626854454925e+01,4.252832821338697045e+01,1.537323005675804666e+02,1.800788207153021006e+02
1.756523147184579159e+01,2.180421998512304782e+01,2.978749706393516306e+01,4.285954623482493275e+01,1.291194099091841508e+03,1.301054662081830429e+03
2.129936569850606976e+00,2.123525903562435602e+01,2.009230604998679670e+00,3.541465738786157402e+01,4.620853949684061490e+02,4.653085812453165317e+02
4.244662141884842921e-01,3.059321089331551846e+01,3.353652268487616883e+00,3.429914462180875745e+01,1.271373610474147569e+02,1.084929549399757178e+02
5.188092521640633237e+01,1.169915777419162595e+01,1.131471086368058288e+01,3.782210035297092077e+01,8.572801887176232185e+02,9.147115354738931501e+02
1.123264035784483084e-01,1.679609846692667929e+01,2.088750907322178918e+01,4.095299451342336994e+01,2.248089711553295089e+01,4.008606952876311880e+01
8.138170414405244690e-01,1.183411555021698547e+01,3.468525592137287816e+01,3.235560038091205115e+01,5.723903717683578662e+01,3.445314376997627193e+01
9.932936222812121230e+01,1.420878980158613558e+01,4.945628816290192908e+00,3.437428142649912388e+01,7.002782059963419670e+02,6.846854476715470810e+02
6.115618539746738858e-01,3.825772514511827183e+01,4.274269058814687838e+01,4.512641803806113927e+01,1.730659802779144627e+02,1.748055652493525542e+02
3.524792579987347096e+01,3.164870431418248486e+01,2.248888474688538608e+01,3.893655759351489110e+01,2.186856198832459995e+03,2.155761576192540360e+03
6.562199750215244265e+00,4.815807046998970975e+01,9.695892119639765383e+00,3.525451445548996787e+01,1.834462015784159348e+03,1.837834623924369680e+03
2.618828885904865089e+01,4.753143701103888930e+01,4.322245965494199993e+01,3.048722631622601398e+01,7.328214428734224839e+02,7.236400117591673506e+02
7.779528323919137733e+00,1.065172962193803841e+01,3.454394461566396757e+01,3.458263632854524161e+01,4.297081254248632263e+02,4.542335374311875853e+02
1.224871616953437270e+00,1.089232878007670635e+01,4.299210094655670389e+01,4.142702911883972661e+01,1.416724345678452153e+02,1.609155278404101637e+02
