E_1,E_2,phi,theta,I_avg
1.175509049973930464e+00,1.960570535969315964e+00,6.173476412519715240e+00,4.584218807428880105e+00,4.624866399764983316e-03
1.694486405430941423e+00,7.241470265666111183e-01,1.456783241131499818e+00,5.030337993063562330e+00,1.934008058760864962e-03
8.459633134906211493e-01,1.805983036730765212e+00,4.248828226997393154e-01,1.160851175970941895e+00,5.593607931749246774e-03
5.780319515966143573e-01,1.422114586464004349e+00,1.473506915159797259e+00,1.415893022378709620e+00,3.227768138804003664e-03
1.106827759732292193e+00,1.865568989940042055e+00,4.411529695932102868e+00,3.561948919346222375e+00,6.187764551943798937e-03
7.977695667638829979e-01,1.620655727329949336e+00,4.742603417665309351e+00,2.011937031250974783e+00,1.761377695506848029e-03
6.361295684286828456e-01,1.496849763630116792e+00,1.191399075417384656e+00,4.057200136850077632e-01,3.422977391354616039e-03
1.370498578980275939e+00,1.673161715751412926e+00,2.410787477003429657e+00,5.173915425891503439e+00,1.741075820815255523e-03
9.480441992283838992e-01,9.223303173976241665e-01,2.682408925188445536e+00,6.152572891860470961e+00,2.430166310940594496e-04
1.507992316934539057e+00,1.246792794127046689e+00,2.596341982379946511e+00,3.364774329814309795e+00,6.339209043212084248e-03
7.992731659523200083e-01,1.233953796959951221e+00,4.442217609793489785e+00,4.039333380583228106e+00,3.148874954828992639e-03
1.913169665759746785e+00,7.384386024703573081e-01,6.106874647587710925e+00,2.696076320981885210e+00,1.753489468358843248e-03
1.047665252367242950e+00,8.438237039109192095e-01,1.359749696821319409e+00,2.969551189081250930e-01,2.200893029069665718e-03
6.582429193553442914e-01,5.240766755309673730e-01,2.989852755093572512e+00,2.975055268613842951e+00,1.272501836630212041e-03
1.443662227309563839e+00,1.825203825563917803e+00,3.046295738320950353e+00,3.066015423438664289e+00,9.803126969600955629e-03
1.890731829601801195e+00,5.697246013182510893e-01,1.122464016132125098e+00,6.235116011041217376e+00,4.296541771893780740e-03
1.160565732073675971e+00,6.401384685364565064e-01,3.244212691072811072e+00,2.610250064371916423e+00,2.682966757085675138e-03
1.931885740536105844e+00,1.547150879044575156e+00,1.409138055956252966e+00,1.229896070134729458e+00,9.186473384541964798e-03
1.249843720531470526e+00,1.797631390322311340e+00,3.639073380368513799e+00,1.429848554373271075e+00,2.807887411420158588e-03
1.137842937273613408e+00,1.545299152175465762e+00,1.939771861673184050e+00,6.045707504056609061e+00,1.838355545892965881e-03
1.430320178023066768e+00,1.569065570631612339e+00,1.976109543361195930e+00,3.282827687965554908e+00,5.897861748947488998e-03
1.992644757852986226e+00,1.060575967958265586e+00,3.024834932144573330e+00,1.476180300708949122e+00,4.577298604139909584e-03
1.923415512406648098e+00,1.675607243008636837e+00,5.928111165578703989e+00,6.268359401705887457e+00,1.167479394063141926e-02
1.190067708963644222e+00,1.659661139416120257e+00,5.549950635441086355e+00,1.559293001129525846e-01,6.562287104402942002e-03
1.636593267962437093e+00,1.039635223745543291e+00,4.212294671005676783e+00,1.661828054198342119e+00,1.949406038077639014e-03
1.246134043231428512e+00,1.883053829938915680e+00,6.228739697695969468e+00,5.251424022485173815e+00,6.954407251340523170e-03
1.293968240295155558e+00,1.185707643769445596e+00,2.172082791764924359e+00,2.138335429905243945e+00,5.009108497531798709e-03
1.678678551070711178e+00,1.508966617154451573e+00,2.439498040264104495e-01,3.553970777437008177e+00,7.480968884369455004e-04
1.121983774033506132e+00,1.101725981342330352e+00,2.237980576238693953e+00,6.296119917972785585e-01,1.789957449774938871e-03
1.601725357683094098e+00,1.360452318279656181e+00,2.839950019023041339e+00,1.241450980569412499e+00,3.539257315066184593e-03
1.566714316984624711e+00,6.291532251046610957e-01,3.055653703564994217e+00,4.051146098293387787e+00,3.772195341265206954e-03
1.898089529920067298e+00,1.130988423136332743e+00,5.219091160017873321e+00,1.826003454870394060e+00,2.210593376446839693e-03
6.723989499213578469e-01,1.644270444245421015e+00,1.966534291700051673e+00,1.753638323100762397e+00,4.340013720939529633e-03
1.593522675614464035e+00,1.758336022783495878e+00,3.258509748662504535e+00,2.632812185722209986e+00,9.266024980174279724e-03
1.891135892936839813e+00,1.011344906550389000e+00,5.385067637123505335e+00,1.657141096970600413e+00,2.651579450394463307e-03
1.951889284886969556e+00,5.822821927124175456e-01,1.146975686777703896e+00,1.088952236136761620e+00,5.316319391940659521e-03
5.220594574480539318e-01,7.531575882604994998e-01,5.712383200641478531e+00,4.116181113285037441e+00,6.459834488489809168e-04
1.795460135368363686e+00,9.244939627984621877e-01,8.609804639215021815e-01,2.648667564415863040e+00,3.165491378145304010e-03
1.971792560099516312e+00,1.242252535120368595e+00,4.348772113664638894e+00,2.056342308765012561e+00,3.369590689988411023e-03
1.935815269416445439e+00,8.947352934534142932e-01,5.973688327214982330e+00,2.530376786506352893e+00,1.705087848028781624e-03
7.231460183487468107e-01,1.055566044436821560e+00,3.814423799249181624e+00,5.142546266011024159e+00,1.742631447225478350e-03
1.958943220734432389e+00,5.257541416511417598e-01,4.303759839752724581e+00,1.636086152371658109e+00,2.840959115170316965e-03
1.834903333580780949e+00,1.121228579633115841e+00,4.822438867458942902e+00,5.194070820004323963e+00,6.783510878283063004e-03
1.733560741314605691e+00,1.544631597654438249e+00,1.516082452834465188e+00,1.821142099439190698e+00,8.175370529019185609e-03
1.219981885711748149e+00,1.173356223302661538e+00,6.250314629688505930e-01,2.554806941541026610e+00,1.809204750879408368e-03
8.485593794589557648e-01,7.910297025998447307e-01,2.744242235907006222e+00,6.142356477556040417e+00,1.699602578921694581e-04
1.702820868077461913e+00,1.895490331666046524e+00,3.643254175782144166e+00,2.184573863996241538e+00,7.271606965301932041e-03
1.885295239675204293e+00,7.763401663144663400e-01,1.695668398180971703e+00,5.468915923740231833e+00,2.409622411654572995e-03
8.991954084384388146e-01,1.802490266546320941e+00,2.752048313369783727e-01,5.724000531920490076e+00,5.831164707753115455e-03
1.308401611433280376e+00,7.859884662050553583e-01,5.263405976359834426e+00,1.793541616148280005e+00,1.090319954679094426e-03
1.164129243461797358e+00,7.263528511518864139e-01,4.719290359219025177e+00,6.384609884814276271e-01,1.358283275855340583e-03
1.896525973971732615e+00,1.231635903846916014e+00,5.945321882433439065e+00,4.764394887922016153e+00,5.740502836748522658e-03
5.607660667826519507e-01,1.490461074019376664e+00,9.659436763211010080e-01,4.913295912097296991e+00,1.820049984652394792e-03
1.598009293484841109e+00,1.179465755652973513e+00,2.095204878252789615e-01,3.399633664856815396e-01,6.936361088568581551e-03
1.421559870423494853e+00,1.262228594624094091e+00,4.642385251983760064e+00,3.643320706986976187e+00,4.390738591209622857e-03
5.425480476702815302e-01,1.435198583141343187e+00,5.443370060429878698e+00,2.149419652644486867e+00,1.268154190577716655e-03
1.578829659240110539e+00,1.224991479673478878e+00,1.395686330239648498e+00,4.902534667363910970e+00,1.752864105849599730e-03
5.239875942853580160e-01,1.935281906542017039e+00,2.370946618920608540e+00,4.045048782173758184e+00,4.236222699983156065e-03
1.636926503534642086e+00,7.269812324486770727e-01,5.324889510468071130e+00,1.490596799431265884e+00,2.149938232238590881e-03
1.269138084893117080e+00,1.087007658972993784e+00,7.214025979398029642e-02,7.470183038394362374e-01,4.594219944474818747e-03
1.893656331195509246e+00,6.915888603605608864e-01,1.678112452068796445e+00,1.010074401492670193e-01,3.562445292925968225e-03
5.991237450861121028e-01,7.963357525305763129e-01,8.153363699793839681e-01,5.104448420741736214e+00,7.649158523849616765e-04
1.761975919418574899e+00,1.430058393512869230e+00,5.955510094787356046e+00,5.364896316140671750e+00,8.053789348087205327e-03
6.000350131506521079e-01,1.799826009519728487e+00,2.784455343298370411e-01,2.977150494713236561e+00,1.891226690633320690e-03
1.016464968206187702e+00,1.032159155265355732e+00,3.347311502960141016e+00,5.124287895529911374e+00,1.657807202511007169e-03
1.145448097921749842e+00,1.782139993851598048e+00,4.410301335933419331e+00,2.835135204769157369e+00,4.382840718775224062e-03
1.949093121176105337e+00,1.070212901941789863e+00,2.985552831946661989e+00,4.959337549696158476e+00,3.711283960965666533e-03
1.343347763342685575e+00,1.563946784594749229e+00,1.651048337320232262e+00,3.556743165515301008e+00,3.760002448476954928e-03
8.882968897563983113e-01,6.663869601462105718e-01,2.078832930865713635e+00,2.524515108382929363e+00,1.978186020747054515e-03
8.625135711415174988e-01,1.327544464132527802e+00,1.402943628917900254e+00,2.833601660626821062e-01,2.940019924349304876e-03
1.832177480988769869e+00,5.579580304129347912e-01,5.370392377997130318e+00,1.914783273037380162e+00,2.287776223990879709e-03
8.388041426259865707e-01,7.143986306742273751e-01,1.780741675276741737e-02,5.400116875960259577e+00,1.764416453433412116e-03
6.868320587529253007e-01,9.564707486232955080e-01,7.907455537244614252e-01,3.611879959969448439e+00,4.476958174440805399e-04
9.324961355113663419e-01,5.735561739465624420e-01,5.445286330456085899e+00,4.023648575432635432e+00,1.030539192632054209e-03
1.379184597219099251e+00,1.808613440425462793e+00,6.164270953856531676e+00,2.655929208243209771e+00,1.181354638306598027e-03
1.331135753259901744e+00,1.731960820529882206e+00,2.781880903298221686e+00,2.157210300884405463e+00,7.332339879863412381e-03
1.714566163869166715e+00,1.897735572874138743e+00,4.859967223591659113e+00,5.628403954775039075e+00,9.583366130302773192e-03
1.340713928009278799e+00,8.370936418389214317e-01,5.561462507498246666e+00,5.019014144178058245e+00,3.577616472307829174e-03
9.326318216468156841e-01,1.169203971196155933e+00,5.162376767520093779e+00,2.755710117315828267e+00,8.685511423142544150e-04
1.119344514021339165e+00,1.713471125718988297e+00,2.642131243907170912e+00,2.833960859579085501e+00,7.246183937772764615e-03
1.727181456456365671e+00,9.142840871552807558e-01,5.525808204060023598e+00,5.018466268116954510e+00,5.346234152390128350e-03
1.439759693629630188e+00,1.471004630766176380e+00,2.882215119075118626e+00,1.937855526071267098e+00,5.758586320628093953e-03
1.938616464046163390e+00,1.017887497267821795e+00,4.353584822814244859e+00,1.704712317719473624e+00,2.568592118580626405e-03
1.054106616637521254e+00,1.065341810737716610e+00,6.189768766645214804e+00,6.185391239279973696e+00,4.104553676010112839e-03
1.328917265781930812e+00,1.513058792227387039e+00,2.193375368640948953e+00,2.482570951641448698e+00,6.786870471132184883e-03
1.390886302419752418e+00,1.909012185567589448e+00,2.373044101637562520e+00,7.157245461112533569e-01,3.942068153642752995e-03
1.772436812412589990e+00,1.714952146737956484e+00,4.632050820476191433e+00,5.485601122225124193e+00,8.389681622010428802e-03
7.182103072797976218e-01,1.022068297452364050e+00,4.752430728111447067e+00,4.552398608883364339e+00,2.302314124008900988e-03
1.109765505122189966e+00,6.038240824158350728e-01,5.372939348050977948e-01,2.806017269771260647e+00,7.917211329054573690e-04
1.864938442493445425e+00,1.953483489986850730e+00,1.340642615446385078e+00,2.554610476232734295e-01,8.906199399645368942e-03
5.646003328523062637e-01,1.010335773177664098e+00,2.552199084033455634e+00,2.254457557906850429e+00,2.093711731003705320e-03
1.734059420272252794e+00,1.579016465050090412e+00,2.595018697454615886e+00,5.783486948536109118e+00,9.199707795392542088e-04
1.123076056056836913e+00,5.860624858714272856e-01,8.079503053762745468e-01,6.242865027855920346e+00,2.214465065653542161e-03
1.744705977917154094e+00,5.176759726153588037e-01,9.346985119020091437e-01,4.136182511739539436e+00,1.977770497124108594e-03
5.149318412109379350e-01,1.462389222856125492e+00,1.833550917840454542e+00,2.539453436713237089e+00,3.186621083887571960e-03
1.047569236637405865e+00,1.796263563607410241e+00,4.793671956437203008e+00,3.575666258809955700e+00,4.580604061433733373e-03
6.179450557484598150e-01,1.148918516738505202e+00,3.153928992322734715e+00,3.004786914309240942e+00,2.860485543433401862e-03
1.478921864504957551e+00,1.456037908356870636e+00,1.507337629740977292e+00,6.280249575096242154e+00,4.035763011777723265e-03
9.107736478993357920e-01,1.554402351687663719e+00,1.241720858914636239e+00,1.586630717728326312e+00,4.714316157732808231e-03
1.553978105989679559e+00,1.774319505614018189e+00,4.070875262476015277e-01,2.867283999002307571e+00,1.775090577086569288e-03
1.915702140413136245e+00,6.363773736831719319e-01,2.863750011467295575e+00,2.173911118360627892e+00,5.259632585919043514e-03
6.902256533918715853e-01,1.301800725301894168e+00,6.196022875619641823e+00,1.308851257084474362e+00,2.532368659977718428e-03
1.797167443101161055e+00,1.163440649225461421e+00,1.714953038211211034e+00,2.553794927746434240e+00,6.382589502544916416e-03
5.891962274005076994e-01,1.010386395305183260e+00,3.957276337697470669e+00,3.226717429086864097e+00,2.008979841868622270e-03
1.071155762466334149e+00,1.056040611120483419e+00,2.910382300045098347e+00,1.474843164418848218e+00,2.172908905987989362e-03
1.144661091767865013e+00,1.123171114956069472e+00,3.447243206277085914e+00,3.601266800388847611e-01,3.694309341168708414e-04
1.233274320250196343e+00,7.580486429779581536e-01,1.410239233284892091e+00,4.539487816439857326e+00,9.516197055241147271e-04
1.964693482904066757e+00,1.795547586816547803e+00,4.854963757893079546e+00,3.535931375387184161e+00,6.995187063600197958e-03
1.663536782152742477e+00,9.331806119804058053e-01,4.666987723627879170e+00,3.040156362512347332e-01,3.085434201733781336e-03
9.632860440788915124e-01,1.099583452457838728e+00,4.784652251366041220e+00,1.771747958479215290e+00,8.538287357369423423e-04
9.047551782512002205e-01,1.377215419140404240e+00,3.598742569768428545e+00,2.434457251200081718e+00,3.559433209765798349e-03
1.794680306283976678e+00,1.529368706325722860e+00,5.410268116235908975e-01,1.797237333233259404e+00,6.297403659463654720e-03
1.821960759106534766e+00,1.235797630125270219e+00,5.151157743471384443e+00,1.649435633234797027e+00,2.313241866551316549e-03
1.266059758315468020e+00,1.163953218956059299e+00,8.931340289120390241e-02,5.415954009672472758e+00,4.241980682163041562e-03
1.016443596443487918e+00,1.049961038925037560e+00,1.519436498612992015e+00,2.477666506018288306e+00,2.872291884595395538e-03
1.992376022241376665e+00,1.256182892614355229e+00,2.566882407441845704e+00,1.550150161725006415e+00,6.541833415793479010e-03
9.739153180515502939e-01,8.499489576344974040e-01,1.924231405283261198e+00,3.668962359315312671e+00,1.724044992893648907e-03
7.740685683898436142e-01,5.303890641435379250e-01,3.136333825841274514e+00,1.517356408279534774e+00,7.656330851974400787e-04
1.820147181956104587e+00,1.872736072530704954e+00,2.326223499009377083e+00,1.300799742423594418e+00,7.860890815092325817e-03
1.718503097166880877e+00,7.827931008828661330e-01,2.085139719028234140e+00,1.437975310590598743e-01,2.262720858991419410e-03
1.501834108357026798e+00,1.100787310473746228e+00,1.654569042249706801e+00,5.601920163127980246e+00,1.778422934206350938e-03
1.937620447666927870e+00,1.307838538687339902e+00,4.525014756004435701e-01,4.014457925346082590e+00,1.697169719962737106e-03
1.888571865821628171e+00,1.003827057526842648e+00,2.728744585865246375e+00,3.222527876793450208e+00,7.425106392214370250e-03
1.622372754952631002e+00,1.141882744254614224e+00,1.965865012172691439e-01,2.149103943106868808e+00,2.607446262752435504e-03
1.791052114321516564e+00,1.088339230363609023e+00,5.340463698635935508e-01,4.012412177092982368e+00,1.460592513977853040e-03
8.707201104831612248e-01,1.179623108063651893e+00,1.125515641504703845e+00,5.431998509445269185e+00,1.671210138874506959e-03
7.118698353515473531e-01,1.652919209404363210e+00,2.011866033923545682e+00,4.680589701314663564e+00,2.063929142755474913e-03
1.505092773972403819e+00,1.285588883881547462e+00,6.139735108094485305e+00,7.704960363307924998e-02,7.100988885917625636e-03
1.571927804982129029e+00,1.804341089512318641e+00,4.996517527194559882e+00,9.588734715567464040e-01,4.158863020721575987e-03
7.505793931734082713e-01,1.511220990868680891e+00,1.318414056541511448e-01,3.948791373668586235e+00,1.254121073805622173e-03
1.093335909657314087e+00,1.274041639200282905e+00,4.609963952703841628e+00,3.836050005054747913e+00,3.752556479956087668e-03
1.865383649324082072e+00,9.990011137162471133e-01,1.056303389255259573e+00,2.132880725938935296e+00,5.210561300585243166e-03
1.342101151325334474e+00,6.160044178956348704e-01,1.017074324206294289e+00,4.757270879487218274e+00,1.272793530558235728e-03
1.367503872389409070e+00,9.693217681431343102e-01,4.830114589744590070e+00,6.231072991636972258e-01,2.238530011247489345e-03
7.911946593361903757e-01,1.432726412388052983e+00,1.256098924311906950e+00,2.133726936348709025e+00,3.446040463101103946e-03
1.289033372926812859e+00,1.241432026925048948e+00,2.681886016330095490e+00,4.556879610026644656e+00,2.858258355483597225e-03
1.285152091092379933e+00,6.973029519535636211e-01,3.627601226739626483e+00,1.786525248585382863e+00,1.778653578162905187e-03
6.334034603694079779e-01,1.356306754614786669e+00,4.643648065473758635e+00,2.745016488821001577e+00,1.781595262700436241e-03
1.972914039690059296e+00,9.385065263409564373e-01,4.487233626247721041e+00,2.547760839450544879e+00,3.739812743182290792e-03
1.357093400683661688e+00,9.028861949462850811e-01,2.387983285114810172e+00,1.106319792494268928e+00,2.554899183017748324e-03
5.096133239964653061e-01,9.632404626791062352e-01,3.231062046849785041e+00,1.996016537291664283e+00,1.411853578950586496e-03
1.658973801838082851e+00,1.530515844920484314e+00,1.905633116490277335e+00,5.702573414220853287e+00,1.954997348012281304e-03
1.967398570760218623e+00,1.496005534902154821e+00,4.237209027876081002e+00,3.760702538978325293e+00,9.203170693216883302e-03
1.384805042481425774e+00,6.267162822417420287e-01,2.650713634990648604e+00,6.302293094906036286e-02,8.459816282569398429e-04
9.795224544239975462e-01,8.118474022386481526e-01,5.029358725138703079e+00,2.089252267360952597e+00,5.707847448840591264e-04
7.812615735916773607e-01,1.398165160565092657e+00,6.281558389143505394e+00,5.127318148389941932e+00,3.157390881993886282e-03
1.508789950875303987e+00,6.305476459653547305e-01,2.315762689535740826e+00,2.808987330158844831e+00,3.942500918313054763e-03
7.926610976852075385e-01,1.643651619786142604e+00,2.514601259705075975e+00,1.041259143154155797e+00,2.920383796286249965e-03
1.366531838776788854e+00,1.613972039828895921e+00,5.079055689964992126e+00,1.638724332873739087e+00,1.996462508539560352e-03
1.403358764569438755e+00,7.687775698956994530e-01,1.918889361827728735e+00,1.191770025822000534e+00,3.175629831679728250e-03
1.943634639686571575e+00,1.979522447381010686e+00,1.977977552284515772e+00,5.271226681693820026e+00,2.512709170812002252e-03
6.083978982948151648e-01,1.713714157261637450e+00,3.390845509480563624e+00,2.101962644466784269e+00,3.761414439226611062e-03
1.249959235487927867e+00,6.750416446831103423e-01,2.327230032681792071e+00,9.201180208352295609e-02,8.939819782702574085e-04
1.616146218923972366e+00,1.836557141531624859e+00,6.983543583802905852e-01,2.875268586089521072e+00,2.956954055284755859e-03
7.658401107119882090e-01,9.344419123079057421e-01,1.853243861199024956e+00,2.399621575416424624e-02,9.777597535854454843e-04
1.082100097676778727e+00,1.210574438377938211e+00,6.269375388542156813e+00,6.057001763245818404e-01,4.479460951460275363e-03
5.943432476824570543e-01,7.087472114871453677e-01,2.779479469053298235e+00,5.267045526829941871e+00,3.531312214917949749e-04
1.588821295663665145e+00,1.170478294433045185e+00,5.330460493783006903e+00,1.816893902281310647e+00,1.689414027221720297e-03
6.316518301392302082e-01,1.729659096745249869e+00,8.034208903940540658e-01,4.224257205186909836e+00,1.921557474173660792e-03
1.092637562536951323e+00,1.348353256424845714e+00,2.778147763114959812e+00,3.415985174274547731e+00,5.169375500460644639e-03
1.810283946681098266e+00,6.112426095824824435e-01,7.098101707480866107e-01,5.338661870084862038e+00,3.521356414632222012e-03
1.208450505125017171e+00,9.798957353862020048e-01,4.555480717000999213e+00,4.230365820943918997e+00,3.571939088640873391e-03
1.868932900461328428e+00,1.315400886805292435e+00,2.069840060899962975e+00,4.202591300322654710e+00,4.170222231076826415e-03
1.648875676608308583e+00,1.169668772153969805e+00,5.655603990182794583e+00,5.198142141003887495e+00,6.245062132007241952e-03
1.872985940167648744e+00,1.224523372718401726e+00,2.234939139370176520e+00,5.456269800457834940e+00,1.570397708150460866e-03
6.911045135733595579e-01,1.990185351881204046e+00,6.259704741421477259e+00,7.007911935445955143e-01,6.241896192659061697e-03
6.103443579959479948e-01,1.241495417391438094e+00,3.200960632528220273e+00,4.218374995325695487e+00,2.602377453073087196e-03
6.054893803538270447e-01,1.971975718676035161e+00,6.137122411221644924e+00,4.637642496524737368e+00,4.093603705683463399e-03
1.803281441520979023e+00,5.876944056173263320e-01,2.673961961706694090e+00,1.336502645979107839e+00,3.449692702799320772e-03
1.451104969021164814e+00,1.830075578160162975e+00,1.949963643605629127e+00,5.150787917899775081e+00,1.988988999615736233e-03
1.244857540698279585e+00,1.124616110834622207e+00,4.959220692639605410e+00,2.935915611017922977e+00,1.615127516192153530e-03
7.453151242947204658e-01,1.788484353762407331e+00,2.334863058224310617e+00,8.698506695377526965e-01,3.303478959887629334e-03
1.510600156590910625e+00,1.879768548909750647e+00,2.104966386507600262e+00,3.579629912067411990e+00,7.164933383547940002e-03
9.770260817686970967e-01,1.310831023896211978e+00,5.568073673272391666e+00,4.896903838651349261e+00,3.755007640052243720e-03
1.566319794898917372e+00,6.541108612134853839e-01,3.949225447855586602e+00,4.320760558576590249e+00,4.006158853089306776e-03
1.190532993300987163e+00,1.049751211921263083e+00,2.928415293216919846e+00,5.821158219318591343e+00,4.339739968038856767e-04
