Pco2,Po2,pHa,VE,VE_noisy
2.887532214709739264e+01,9.703234235750241510e+01,7.271064680319216933e+00,4.981625405362868797e+00,5.575373477148691137e+00
6.917760314715661707e+01,6.609347177674231943e+01,7.200619314769230783e+00,6.789802264644119134e+01,6.878918960072351751e+01
6.099721436019542864e+01,5.320469908604700038e+01,7.207727414138986433e+00,1.634548404452048374e+02,1.637756887497714047e+02
6.722581649328806463e+01,9.025771250335408524e+01,7.473508987898020095e+00,4.932546853734066161e+01,4.850723830995035257e+01
3.149697554120811560e+01,4.523296957577373689e+01,7.478649809844348795e+00,1.704750361854466334e+01,1.777915590233010334e+01
6.814184966807179933e+01,4.924521691875331442e+01,7.462544700263732622e+00,1.979618819849114573e+02,1.974604419664443924e+02
3.147943556343201621e+01,8.072979620497221731e+01,7.374741936723298252e+00,4.962877335026139924e+00,5.842037953314124898e+00
2.489315704181076327e+01,7.044539937332945101e+01,7.375563568571855022e+00,5.063293992398874899e+00,3.991506575521430733e+00
7.131361845722420867e+01,5.603767997629485365e+01,7.321173082739193205e+00,1.528360623080702680e+02,1.537505295111990620e+02
7.167700977066010637e+01,7.457678615573072989e+01,7.301345907276304281e+00,6.006284635449819120e+01,6.004278289988270956e+01
7.259222578499483802e+01,5.244302042869190217e+01,7.479966858486911896e+00,1.814570998450136017e+02,1.802083509546791902e+02
4.831458316152740906e+01,5.855413665384085675e+01,7.359101617769605141e+00,7.460897017636436601e+01,7.429507070439751715e+01
3.644290331682309159e+01,7.666363684845367743e+01,7.282562806830348734e+00,9.980486991551806852e+00,1.003458927032334991e+01
2.042550971618997480e+01,9.297592928741070750e+01,7.397167914945653955e+00,5.000001302157135008e+00,5.272792641321588647e+00
5.874325373449686793e+01,8.219069636643463639e+01,7.227497970776782132e+00,4.838753840288875097e+01,4.740535027794777534e+01
6.319456301052158409e+01,7.859366704853380270e+01,7.405106563489984417e+00,5.036975186647338631e+01,4.926237881930819640e+01
7.013415299001644598e+01,8.479882822430116107e+01,7.281723505507732064e+00,5.607060393569652490e+01,5.627018846854360845e+01
3.691266964187252597e+01,6.270254683791303307e+01,7.408234308186726125e+00,5.948711584666344088e+00,5.481961967786541656e+00
3.291309002977841658e+01,9.885868361223239731e+01,7.344578327887519187e+00,4.794145730378586379e+00,5.029651342108811818e+00
5.835988280399526928e+01,7.667561080047603639e+01,7.458355066914940323e+00,4.473471175881137896e+01,4.549423128128975691e+01
6.830328998870058399e+01,5.545367653069634883e+01,7.426986414734781938e+00,1.502733126403381618e+02,1.486245252739872171e+02
7.782025237069825607e+01,4.215791487099126300e+01,7.494978146937531172e+00,2.519985101057695260e+02,2.522528982222871434e+02
2.903148982527064703e+01,4.670533511775352764e+01,7.374201625883594069e+00,1.633810801021111203e+01,1.756275497774684524e+01
4.893274329196019323e+01,5.191054909688743635e+01,7.447864385402144016e+00,1.101368669306467467e+02,1.098393400862762803e+02
7.368295173177040169e+01,8.406235834061045864e+01,7.397614137764886522e+00,5.663191712204048400e+01,5.582110253880291140e+01
4.536301441672623724e+01,8.887126986835687603e+01,7.421020856082175321e+00,2.326155180563844027e+01,2.401379563281803442e+01
5.537012372504288749e+01,9.552717070292652579e+01,7.468631997826033597e+00,3.578788103778325080e+01,3.604132755399139398e+01
2.146944064960179333e+01,7.857461411065415291e+01,7.293878022298496688e+00,5.001612378392327862e+00,5.897495449169888104e+00
6.040759322917633511e+01,5.783661939853064382e+01,7.438852279140190760e+00,1.103203104529239766e+02,1.099750947428726988e+02
7.514531717802935873e+01,9.033214536060931721e+01,7.478051366146784673e+00,5.401436926247653503e+01,5.253255098875432338e+01
6.960951977340326380e+01,9.720821019302806576e+01,7.496704333549253363e+00,4.905690076720617299e+01,4.894689000249492494e+01
7.313121600259680122e+01,8.181423040225499221e+01,7.243745414641455049e+00,5.910521637934999717e+01,5.865938822633876271e+01
5.962132283123140297e+01,4.434148239824840942e+01,7.284368454545700367e+00,2.223773165601619155e+02,2.231526403822094835e+02
3.473313603459065746e+01,6.465891860691816362e+01,7.327403661994646100e+00,4.737837590902080009e+00,4.931470439279233453e+00
6.611101993377525332e+01,5.493661778849788391e+01,7.314254751181083591e+00,1.552254237482629264e+02,1.535945745158278157e+02
3.270048455645063257e+01,9.635563071315826278e+01,7.481240740837925784e+00,4.987442281156829083e+00,3.792279201053629478e+00
6.987649007986766492e+01,8.866740346756428437e+01,7.207538605217274963e+00,5.581354141603643626e+01,5.669733045262368876e+01
2.376307535424609441e+01,4.419562672781276547e+01,7.468946394943820621e+00,1.760401922209173620e+01,1.828378423950958265e+01
6.952926880361334838e+01,7.656591581931166957e+01,7.225458910779607002e+00,5.904389754790260270e+01,5.840365418199411351e+01
2.987043598844607573e+01,9.910885498703066787e+01,7.481263509354961094e+00,4.999395433035289216e+00,4.998346636468008697e+00
4.250881978979850828e+01,7.142836762118801630e+01,7.476388797489571303e+00,1.728032930973921211e+01,1.772590286351539746e+01
3.900428999341785641e+01,9.336648065600090263e+01,7.344683345772099692e+00,1.252252363791917666e+01,1.299092797376645514e+01
6.148022211666447845e+01,8.873984063275713652e+01,7.252260273894599152e+00,4.859522534022343621e+01,4.947146753633778360e+01
3.071431269046231449e+01,6.829224393196000165e+01,7.257443614551608135e+00,4.954859420775681755e+00,5.211345047997244073e+00
4.377536973301918977e+01,6.652050378353288806e+01,7.277823691005037787e+00,3.285378036876360852e+01,3.275895202979511112e+01
2.034947570647885584e+01,4.969907126511262874e+01,7.454675202380006915e+00,1.495937507078514805e+01,1.470052700599730322e+01
3.574968276500609221e+01,6.126817420680062298e+01,7.362224757167241229e+00,6.308595099562362307e+00,7.364337900095613065e+00
4.527132885373731597e+01,5.148200053947897459e+01,7.462447382801725482e+00,8.593324234353647739e+01,8.368238806845793931e+01
2.635527420243946750e+01,9.074245503110665823e+01,7.426395594977192260e+00,4.999958352769818148e+00,4.861303027678481214e+00
5.798959676219346449e+01,7.620419627159327547e+01,7.490311164249207287e+00,4.366711736577100567e+01,4.370011746975506384e+01
4.282545619319193975e+01,9.617453628090808593e+01,7.398413080838243339e+00,1.820344866986288679e+01,1.677809970899269842e+01
6.351763628457432986e+01,6.462125305150749455e+01,7.251013312702904834e+00,6.697915939087350523e+01,6.731197300401154848e+01
5.923196066410366001e+01,8.210255925271198407e+01,7.364081697413416450e+00,4.613882416359371774e+01,4.548754315115032654e+01
4.587360492664437572e+01,8.998901116175730408e+01,7.421785154487626990e+00,2.398936960484564906e+01,2.485181440116139484e+01
7.203923033853195079e+01,4.077263682136151601e+01,7.307371329324514164e+00,2.891038084848538574e+02,2.889782164008195195e+02
5.792810705001001992e+01,5.937123661240552508e+01,7.499933240534038426e+00,8.735291457935269932e+01,8.802206782014215491e+01
6.861646112637794204e+01,6.617378750519736741e+01,7.265178829107792779e+00,6.632091796777564241e+01,6.753976157294687255e+01
4.050768343640677926e+01,9.571620664147489776e+01,7.477989120618668828e+00,9.433927830941341242e+00,9.816857413654814124e+00
5.262015738010733656e+01,9.222933140760844140e+01,7.346980137448271719e+00,3.613655041877845520e+01,3.526082927535561140e+01
3.177781310688520477e+01,4.507049456492692485e+01,7.453432443879900227e+00,1.709343590481905295e+01,1.557911727311441474e+01
7.976847140711767281e+01,9.732754702096102051e+01,7.359855610731857567e+00,4.552477958336560704e+01,4.727816370088198283e+01
3.459292785837962469e+01,7.761422853508955200e+01,7.365183894232116835e+00,4.371374978523712151e+00,4.260082785336193112e+00
3.541204803362616360e+01,4.431601444452504523e+01,7.412152050499199341e+00,1.387982850943550517e+01,1.319126356180118265e+01
2.439140434345795683e+01,8.140733492965861728e+01,7.357221517940409683e+00,5.000409214413705783e+00,5.144666302474530717e+00
3.546818713980419346e+01,9.132175780194140202e+01,7.334541066811049781e+00,4.735031050297447308e+00,4.543619719814798508e+00
6.578771195264319260e+01,5.553131699238311825e+01,7.235625292310784218e+00,1.519884308278094238e+02,1.528405730920221117e+02
6.187361424098487817e+01,5.935969343414927835e+01,7.401817715811021436e+00,9.944451332790974618e+01,9.947844151034684046e+01
2.772039273903016721e+01,5.666156139816420989e+01,7.488013024274797758e+00,1.105546254860448308e+01,1.106921213222290312e+01
4.257431008568565289e+01,8.215044385320655351e+01,7.482787762841860868e+00,1.556967492367531847e+01,1.485509520264235483e+01
4.525528367704777111e+01,8.309675025856114416e+01,7.214092197995428890e+00,3.148403179986725675e+01,3.195359989861475114e+01
5.989905478171764486e+01,8.646095383848795279e+01,7.331013647934664590e+00,4.624638567219437135e+01,4.521251894983939223e+01
4.735573778262492795e+01,9.526246788465053328e+01,7.378717046033099081e+00,2.705394780265656252e+01,2.771983724242052816e+01
5.519109960953188221e+01,5.090969491533776647e+01,7.229624165733774532e+00,1.625809507887371126e+02,1.641048883017272431e+02
7.038107621653654178e+01,8.249487590532753245e+01,7.413189883849785389e+00,5.501534275713773070e+01,5.349065671903857577e+01
6.358841661874222950e+01,7.874217935879764241e+01,7.330008900996173971e+00,5.206516973839030982e+01,4.959894050703898927e+01
4.190043581051353527e+01,5.575726493902191550e+01,7.238948478897995642e+00,7.420048476428412698e+01,7.481736351943844454e+01
4.690377856066905338e+01,9.851850889155578272e+01,7.263794341729206572e+00,2.926793050075619718e+01,3.181582831623932250e+01
4.206197418140040156e+01,6.861761351011588772e+01,7.205502899191054134e+00,3.042875582168219850e+01,2.942783097281030535e+01
2.658407984040180594e+01,9.692964854153308352e+01,7.269032162727588897e+00,4.998261715623650403e+00,3.747565956821662159e+00
3.219449264524379828e+01,9.830642758621974053e+01,7.410157843848520720e+00,4.968820544969839936e+00,5.557789478750313705e+00
3.702838933664786225e+01,9.400288575031783012e+01,7.348015722943512351e+00,7.175036125418869482e+00,6.334314535360562104e+00
3.884803373613813449e+01,6.756912159880559443e+01,7.270135289388025335e+00,1.991142798109531142e+01,1.940540249715857613e+01
3.878287152919625669e+01,5.678660740885132441e+01,7.275825833916516494e+00,4.545229456674398705e+01,4.510417710006021252e+01
5.460198297517712263e+01,7.514571636132160393e+01,7.341996661177222272e+00,4.349782741987879575e+01,4.402982950617059288e+01
7.830139853718527831e+01,6.697214997715832396e+01,7.419988818026996391e+00,6.069281352459690027e+01,6.028751116320378145e+01
6.647984809542391815e+01,6.809209491067431941e+01,7.493512197912007622e+00,5.729263024900414791e+01,5.757051308908430798e+01
6.746803689036832452e+01,5.464488062211574260e+01,7.349620281068948380e+00,1.590776957429557683e+02,1.589011624840621835e+02
6.555611003237478940e+01,9.053518452413700857e+01,7.332982026465738379e+00,5.021809601734850759e+01,4.937342491369690123e+01
5.581926383142538839e+01,8.384344559423686860e+01,7.313745309003045314e+00,4.298879268453372759e+01,4.266896642679050444e+01
7.506153543025476438e+01,9.191857587279240249e+01,7.446462176882843842e+00,5.401277645945273775e+01,5.306237679428481613e+01
6.137780932682485968e+01,7.189232955511167233e+01,7.372844651601962340e+00,5.176904922547063848e+01,5.177556421134038800e+01
5.002138584421226142e+01,4.555982389846500524e+01,7.474742877629120485e+00,1.479617148883424989e+02,1.468378486607768707e+02
2.462502851003232607e+01,9.173853637153888485e+01,7.364463834311037793e+00,4.999976251949845185e+00,3.907081882654602101e+00
4.930695362513142754e+01,4.415507209651674003e+01,7.259675775191626990e+00,1.801713373886477143e+02,1.816282992039529631e+02
3.276985972042005812e+01,4.927096056880199626e+01,7.231534588998864699e+00,1.164092770994353288e+01,1.158774348963819101e+01
2.796177785280723427e+01,9.664720780149912116e+01,7.361412504030533377e+00,4.998948298324719097e+00,4.945046272852676061e+00
5.036389535176238041e+01,7.369028645558398694e+01,7.257199476487948608e+00,4.061575143719217351e+01,4.112728785710979196e+01
6.710511755581754301e+01,8.049984462198344204e+01,7.409559808200681275e+00,5.315638432693634030e+01,5.273552732438746915e+01
3.770038656833116875e+01,8.925956003126938754e+01,7.434901783580805557e+00,5.003306703076008333e+00,4.774771335597850275e+00
6.612630559454999002e+01,7.987342814110719758e+01,7.433220318410857175e+00,5.211710923184293165e+01,5.254225796717484087e+01
5.153777138973524075e+01,6.663827728526391070e+01,7.321871810093631971e+00,4.546114612729972038e+01,4.574356196954412468e+01
2.894288140224275452e+01,7.257996507674852182e+01,7.365253729461258558e+00,5.020784161558784930e+00,3.861487434626355242e+00
7.789806463878414888e+01,6.390902762033614692e+01,7.267999668196744700e+00,7.298867368288608759e+01,7.382201627955575418e+01
4.409817343331104667e+01,7.463142549823535887e+01,7.355678044366454671e+00,2.615223277744594554e+01,2.556179783415690210e+01
3.771405533976174240e+01,4.013242184259833323e+01,7.445177243461700733e+00,1.781690960089367337e+01,1.676083065057948573e+01
7.081990223802378637e+01,7.049596577240453144e+01,7.391763241291237740e+00,6.027976427723807973e+01,5.937928920723902593e+01
2.746761995092878905e+01,4.142930695574452216e+01,7.400148217761515212e+00,1.912674464543816200e+01,1.873619930108283782e+01
6.401542766442220511e+01,4.658031692943853841e+01,7.486841510687721524e+00,2.054055097874518765e+02,2.070328100420749422e+02
3.126948455392810189e+01,9.078209647645797986e+01,7.286029122119574097e+00,4.851020115689657963e+00,3.675484210768877436e+00
4.354950656075494919e+01,7.956316703832683856e+01,7.394871221975108710e+00,2.228799813882388037e+01,2.244807403135822099e+01
3.391399270772830477e+01,5.093007224971810132e+01,7.465396359433861484e+00,1.406835511347675904e+01,1.193053075538618124e+01
7.047367956154320723e+01,8.483215151510978558e+01,7.299657138568893089e+00,5.603190000094811296e+01,5.603033306780291412e+01
4.340447311639169925e+01,6.854699617527056432e+01,7.215134804082941500e+00,3.285226351553152568e+01,3.375182993300753509e+01
7.848156877293735079e+01,4.809077655838773779e+01,7.288444736369357635e+00,2.025145495088186181e+02,2.022778861867571720e+02
5.751568906490640387e+01,9.578114170858191301e+01,7.286950462494317549e+00,4.228431394574224100e+01,4.165495902185890031e+01
6.161737008217491507e+01,4.676830590912410202e+01,7.286172711286337922e+00,2.088817264338582618e+02,2.091132374979167992e+02
5.129150732794505529e+01,4.118457148109752097e+01,7.357615921432290484e+00,2.038689248924908952e+02,2.045690766436415515e+02
3.853809194453546638e+01,5.539610370739570300e+01,7.368710583337415798e+00,3.186067725180470589e+01,3.252433482282211230e+01
4.373338526314572050e+01,4.521159441545400881e+01,7.315544472768868545e+00,1.256598107642486752e+02,1.276322846181784598e+02
7.645605125971410132e+01,4.100328751489414003e+01,7.296599275705085930e+00,2.824445241305489276e+02,2.826536916028852033e+02
3.207219204347986619e+01,7.919451258785326786e+01,7.357082488716692126e+00,4.904561974369728183e+00,4.312151874616795943e+00
7.929313407321274099e+01,4.791772833947750598e+01,7.419018571289515585e+00,1.895535013230580432e+02,1.894275221330713919e+02
6.549835172022910967e+01,7.383279064371927802e+01,7.209746965742271918e+00,5.739543754336920500e+01,5.732293899774938950e+01
4.158721558955661379e+01,5.455538975026520632e+01,7.447720532246443703e+00,4.772442163803249571e+01,4.783315902151061749e+01
5.849081537033620037e+01,9.643900814605059679e+01,7.239730287214041660e+00,4.403188289650471887e+01,4.400185508327528083e+01
4.285889235758524762e+01,5.295135929768835581e+01,7.471920706552645619e+00,5.941978541159225102e+01,5.959375135048845351e+01
4.288957595839519854e+01,7.123928358049430187e+01,7.347802041961191577e+00,2.478511578734075371e+01,2.311426572672564106e+01
5.022817701167177518e+01,8.409923547829939139e+01,7.369276572118718782e+00,3.415408983588400105e+01,3.498371879192404066e+01
2.100336929812262454e+01,5.866779511776853440e+01,7.494247235295944165e+00,9.439521951022392443e+00,8.864782682101360223e+00
4.961429359660377258e+01,8.990436340317968700e+01,7.469165481161241793e+00,2.879813913081780541e+01,2.762498043437078010e+01
7.829590480681328302e+01,5.883873712788454924e+01,7.333526235295998674e+00,1.132327883264670447e+02,1.138705394861084841e+02
3.712791372713471105e+01,6.327160382644616021e+01,7.260684997611267733e+00,1.877005604915201786e+01,2.008738205653810027e+01
6.489307754459673561e+01,6.582329695166430383e+01,7.378724982383610964e+00,6.205185921842428343e+01,6.254488736792372805e+01
4.656733340422970002e+01,6.513364731590831980e+01,7.212055383629992100e+00,4.356846358240572670e+01,4.372962289625125010e+01
3.255686255706712728e+01,7.647661926462487259e+01,7.220121913610926256e+00,4.262702681554618955e+00,3.330482376182666737e+00
7.430015424908776822e+01,5.357473669598984856e+01,7.267888265182083529e+00,1.802169575984667631e+02,1.830885249362802654e+02
2.100963708081278014e+01,5.975284662657779222e+01,7.325325054439330685e+00,8.534136571962880780e+00,9.414395192624388287e+00
3.821053559597064009e+01,5.373832187905089341e+01,7.408111535528237646e+00,2.244039985978314178e+01,2.130110518944016462e+01
7.994155293943624940e+01,5.661671491101349574e+01,7.229673772897741379e+00,1.234825630932256644e+02,1.227029251769859144e+02
3.572880777139936725e+01,8.576693956984033207e+01,7.456456143528881420e+00,4.626918955035076664e+00,4.713898203606981419e+00
7.094267131155632455e+01,7.775600522931210890e+01,7.334933308481312864e+00,5.803308828373224060e+01,5.647835715173625459e+01
5.634098891934225861e+01,9.776735814544207415e+01,7.258175352717838535e+00,4.118778270877788827e+01,4.135641311578839918e+01
6.836214245162742031e+01,9.700780243762289956e+01,7.459334757929651616e+00,4.872584657815303899e+01,4.826677502244027806e+01
5.781906532660869402e+01,5.230512681447034851e+01,7.407263667693984033e+00,1.500696246465967931e+02,1.512958952469130054e+02
4.176181142347090258e+01,5.259676215766873497e+01,7.457952605679340152e+00,5.280309663383957286e+01,5.376525129746782028e+01
6.564732707500894549e+01,9.445887767354835773e+01,7.489544012016216001e+00,4.654394817742713286e+01,4.383266273999235807e+01
2.158907293423834162e+01,4.833758951550855443e+01,7.445880777264792805e+00,1.558809711576026480e+01,1.562979970178757760e+01
4.680877710406711856e+01,8.567110281979982744e+01,7.302902405298066668e+00,3.053476198622269067e+01,2.891729448669900293e+01
4.231127419220636199e+01,5.150558578341690463e+01,7.496048607888938342e+00,5.341187621407860320e+01,5.452151421332712289e+01
4.862444033824097289e+01,4.858219981498059781e+01,7.425908905011774586e+00,1.280305224493830849e+02,1.281986283185109130e+02
2.765724118976417856e+01,6.635463335721621547e+01,7.445709576722977729e+00,5.369838661539979796e+00,5.918244113726976785e+00
3.335041195677634818e+01,8.104358063069427942e+01,7.309446914508788140e+00,4.434715287265758477e+00,3.369590558462459473e+00
5.372309540598256206e+01,9.065012107674277786e+01,7.379017748357460604e+00,3.710086763459865011e+01,3.892929787259414809e+01
4.326614693935724176e+01,5.248906272293961450e+01,7.386699838858874934e+00,7.826271905995533018e+01,8.028279242710577535e+01
6.749937233542043202e+01,4.598223645787924596e+01,7.283152079668596457e+00,2.307873083201045574e+02,2.297225372774783523e+02
5.630819535665087017e+01,8.756277519640633500e+01,7.343709889229702803e+00,4.184534237952365032e+01,4.221815750138996748e+01
7.167600108721964602e+01,6.706103350652125528e+01,7.281477588476664486e+00,6.626324462396912907e+01,6.558994219557894212e+01
6.394165023953627269e+01,7.657418010544559195e+01,7.286384740546453465e+00,5.385898296001481356e+01,5.383541302315408217e+01
5.610940686551389689e+01,7.505209042038282519e+01,7.396277007973785622e+00,4.405868218256809854e+01,4.279304520334353157e+01
3.725693613175974406e+01,8.564904978737374108e+01,7.205974146577304396e+00,1.570894637444527753e+01,1.757609188902589636e+01
6.696562807557010899e+01,9.937353480213742785e+01,7.427457070829064811e+00,4.752179957372696606e+01,4.655262006264430141e+01
3.507605469026491107e+01,7.888548934800711265e+01,7.345512012204441277e+00,4.285659192565880460e+00,3.989575377568385761e+00
2.451266670886426624e+01,6.191269224991654596e+01,7.237695273809156227e+00,6.952673706015881194e+00,7.454156637126403417e+00
7.777187470659367818e+01,5.049338952823821103e+01,7.344903599219260393e+00,1.909739067132901482e+02,1.903263460348740068e+02
5.240067230578814872e+01,4.617272913736590567e+01,7.312631149742027326e+00,1.765684165390285898e+02,1.763291041092962814e+02
6.643365785298868786e+01,8.149324950094661801e+01,7.462192193988401279e+00,5.137219899667132950e+01,5.080855915024436342e+01
5.175336845782160822e+01,5.530621650267822531e+01,7.401880250921903048e+00,1.079534906325576458e+02,1.078200298777213533e+02
5.669478382230929014e+01,5.665606837982947752e+01,7.267374856222010848e+00,1.208831407931432977e+02,1.197125981580429936e+02
2.203353503099037525e+01,6.660081255689912894e+01,7.474698296897598127e+00,5.333926601600669670e+00,4.895938525998369428e+00
3.120762076122851170e+01,7.165591230008152479e+01,7.459732851379965446e+00,5.031399640575879850e+00,4.824506715863635442e+00
6.048136372608664857e+01,6.496888120942783473e+01,7.362987236741591168e+00,6.016067446929908158e+01,5.982694846549494372e+01
5.423387587714989877e+01,9.734226098420080575e+01,7.222815774740476868e+00,3.979485058775571815e+01,3.985154054264951640e+01
2.951330203920275963e+01,5.788546644876471703e+01,7.398966085327277398e+00,1.008221253928463668e+01,9.789110319927916137e+00
7.712175612357108889e+01,7.612111763070691950e+01,7.326912994537500445e+00,5.842918354844569961e+01,5.918239495688508356e+01
2.926121795284425886e+01,4.097472549953168652e+01,7.388093693338694479e+00,1.937626312330496603e+01,1.905306719751913747e+01
5.061819498432112141e+01,4.382631049962628111e+01,7.229463644508020259e+00,1.931894156907112574e+02,1.930527660944153752e+02
2.864017250115546176e+01,5.193681287608401931e+01,7.234487567045937872e+00,1.374287441987473635e+01,1.307809308387888336e+01
6.304230356637408050e+01,5.688057242422480897e+01,7.244965775750204173e+00,1.331928687684917918e+02,1.326663539283765658e+02
3.657878084570916144e+01,6.797939915949970668e+01,7.364617529232445392e+00,5.821275671318526967e+00,4.556782880498814414e+00
2.804803850730699821e+01,7.445244411574836363e+01,7.416441162724852099e+00,5.010100841042035569e+00,5.528885761919999808e+00
2.275923084023094134e+01,4.995526651942561358e+01,7.304193874079596860e+00,1.484079503576960768e+01,1.369827701811711584e+01
3.049013227385741942e+01,7.471898542683911160e+01,7.227990571882192405e+00,4.756454646049738777e+00,4.010598247861413945e+00
3.150792300341398544e+01,4.490938239380456309e+01,7.249453712321911603e+00,1.491479124955172786e+01,1.527403590156293234e+01
5.221832477430755404e+01,6.353648296058641165e+01,7.295742100052738266e+00,5.571813038044328437e+01,5.612070374638781800e+01
