c,p,I_signal,b,lambda,lambda_noisy
2.276057550627152537e+01,1.954207418571352051e-01,7.773754711083949331e+00,2.102435480849565330e+00,4.404571946017694639e-01,4.405386164069529098e-01
9.131853981595158487e+00,2.996213374055811118e-01,1.934674404633506262e+00,1.641042239411302894e+00,2.848910442115584196e-01,2.821350151585647059e-01
1.507053825851741635e+01,2.924855668241738704e-01,6.243721530109765716e+00,2.831506980767213744e+00,3.233381800205735179e-01,3.362788181645555707e-01
2.944137879423591997e+01,5.674807267167496921e-02,7.468023221778504528e+00,4.146141155076115581e+00,3.166250154322861610e-01,3.266922585853441197e-01
2.888805861624981475e+01,1.915857653002917271e-01,9.300982367774892623e+00,1.345137278632036359e+00,5.509083165160475470e-01,5.237966917263878752e-01
2.201890828243247711e+01,2.603935985838596312e-01,4.853347898285487183e-01,1.004570900830191738e+00,5.069751647024303143e-01,4.880850322427535692e-01
1.669557881087559181e+01,1.897927741899072332e-02,5.400496856978991289e+00,2.107707687816458453e+00,1.026272165476793813e-01,1.008794956271277660e-01
9.029844917315752895e+00,1.729071315999234359e-01,9.533246164483588636e-01,2.016628578898962854e+00,2.627655995306164005e-01,2.585436954148528921e-01
5.658908254478679289e+00,3.553212864052150699e-02,8.865156602394201002e+00,4.815859604874243693e+00,5.819901175644157792e-02,6.033544173142768585e-02
2.912783698326784432e+01,5.588607127011671616e-02,9.533325234805205994e+00,1.079448008902567091e+00,3.501475962559981725e-01,3.523208155662237995e-01
1.596598898088848273e+01,1.083996789241464670e-01,5.589044345729765606e-01,9.766895780178674880e-01,4.084170094475769730e-01,4.295953969980874643e-01
4.360102761652338899e+00,1.674440964785850472e-01,9.922378127122000180e-01,8.636664259663234811e-01,1.750655754355515403e-01,1.639453678086287280e-01
1.908120291058751050e+01,1.628970271199148556e-01,4.576591043922899615e+00,4.844151686389021272e+00,2.843714892704691799e-01,2.805954391991992147e-01
2.352381031592664229e+01,1.516916898457650875e-01,7.749318789855694334e+00,4.261182409628318624e+00,3.485966646171941852e-01,3.690243806921175151e-01
1.877709573053817493e+01,2.872208335925978684e-01,6.160283165220826973e+00,5.965895002798665692e-01,5.404961299102201133e-01,5.469631598722385357e-01
2.760163343893617593e+01,1.532929867902024790e-01,3.317203004936748467e+00,4.920117452097282573e+00,3.691892225038768127e-01,3.758198562276394150e-01
2.148193423261882895e+00,2.201957451165957591e-01,5.968411572858581593e+00,3.415567770534202907e+00,6.216611557066999832e-02,5.702605185379536895e-02
1.632908863454062853e+01,1.009556314061253873e-01,7.979624097354037993e+00,3.943681785717862986e+00,2.582500120554580003e-01,2.417692603469014656e-01
1.432074060367670754e+01,2.235557678905357726e-01,9.214987279388177299e+00,3.683293946743555924e+00,2.788715802624412432e-01,2.805462277046686381e-01
2.808137795346392629e+00,2.246192963948063226e-01,1.383242641156550157e+00,4.170271682770321675e+00,7.517830181337950557e-02,7.626844269159498146e-02
1.959851690504187260e+01,2.012000467815737159e-01,8.430204164376615239e+00,3.447987117826572856e+00,3.470481924032565724e-01,3.347746718608108352e-01
2.572635231593904592e+01,2.265344289506321107e-01,6.479103365018516136e+00,2.194572523835616185e+00,4.675300215342344523e-01,4.606977549164288366e-01
1.819528952502423635e+01,1.721346520692617343e-01,5.363038565895492660e+00,1.960889542441277555e+00,3.774605961324923875e-01,3.767401593352200928e-01
8.542825984379472715e+00,2.568362330015590556e-01,4.407769653415281041e+00,2.432000203572629360e+00,2.315224227039618943e-01,2.220749064733541223e-01
2.535656410991085608e+01,2.499276464892253580e-01,5.108045103476182014e+00,2.911882916375457597e+00,4.163288990662120659e-01,4.153461993876899072e-01
1.577538056412377188e+01,2.982054239583766322e-02,4.587250212310025610e+00,2.064666669072427574e+00,1.438841001585442481e-01,1.448389304332387828e-01
1.581577764952945842e+01,1.350583804194866455e-01,6.706906974740515004e+00,1.508905185245634772e-01,3.905930403672985829e-01,3.909489027378534320e-01
2.283787602336315814e+01,3.708094725525609009e-02,9.120314068636638183e+00,7.732035849756502266e-01,2.259201603499134681e-01,2.208572437667703225e-01
5.289739037763739660e+00,2.852111727482203873e-01,2.368822677307229618e+00,2.264709853407574691e+00,1.716495283687725082e-01,1.775870090866307482e-01
2.476917485445903111e+01,1.310324676874325689e-01,2.064382564101685524e-02,3.984269858241234363e+00,4.594189197351782328e-01,4.683305892780015300e-01
2.081532027409445718e+01,6.680341711213422240e-02,2.575804712995344303e-01,1.931916036338056086e+00,4.085441131288629624e-01,4.117525961745285845e-01
2.382581130508922840e+01,2.514509339750478634e-01,9.116966263267343606e+00,4.319143642388104887e+00,3.577312293344873106e-01,3.495489270605842136e-01
6.556871511583922008e+00,2.707763171927246235e-02,9.288326994811617610e+00,4.586330168575557309e+00,5.420875011611957922e-02,6.152527295397398899e-02
2.426856067290136920e+01,4.707199764512068341e-02,8.751490008791080299e+00,4.049419057048159187e-01,2.831206120158555328e-01,2.781062118311850018e-01
6.548393855658807716e+00,2.039701510881115065e-01,5.824731224109926941e+00,3.615421589084519383e+00,1.522226721830918783e-01,1.610142783659717358e-01
3.365025903541868590e+00,1.527195735437584523e-01,5.852118952395163554e+00,4.765948689782138814e+00,7.282131860134316570e-02,6.210344443256872460e-02
2.580158225432503372e+01,8.092110521520269606e-02,4.039102757973092928e+00,1.490855703300654866e+00,3.994632664753341444e-01,4.086079385066219705e-01
2.597722138915238332e+01,1.733076510093914668e-01,3.378196909210124943e+00,2.228025461917849448e+00,4.535170567471666914e-01,4.533164222010118705e-01
2.641957579608083506e+01,6.300771846964796363e-02,9.332228616230395346e+00,2.305351509890068762e+00,3.311999953099937222e-01,3.187125064066495539e-01
1.468538186140491675e+01,9.346144765830693979e-02,5.303387258986841601e+00,2.245803995843613343e+00,2.656612362122569571e-01,2.625222414925884595e-01
8.947403269797829850e+00,1.837071236281275222e-01,2.752093561011628164e+00,4.139821624403327682e+00,1.840054257146435390e-01,1.845464485023589896e-01
1.205663029491821581e+00,2.649967142822633459e-01,6.572263831521810928e+00,4.603627388397565134e+00,2.813248312311984051e-02,3.086039651476437870e-02
1.972590597167348747e+01,2.112503035593992773e-01,9.165990258927236844e-01,4.187670896627296635e+00,3.305463912834712970e-01,3.207245100340614941e-01
2.187737212175209933e+01,1.933251074585267404e-01,6.836885449666154635e+00,6.439170242677688671e-01,5.150308125288278749e-01,5.039570820571759313e-01
2.523150727850795150e+01,2.242474939844340820e-01,2.724116850257718436e+00,4.464061902498168699e+00,3.445889744980885627e-01,3.465848198265593649e-01
9.174456993571721952e+00,1.141343584089332952e-01,6.941143606224212448e+00,3.434037587868356667e+00,1.804321486522322271e-01,1.757646524834342028e-01
7.241326847726234028e+00,2.943124400009580754e-01,4.819277596250625351e+00,4.681295679258826503e+00,1.376506613318559391e-01,1.400057174491581846e-01
1.954061002193104812e+01,1.837667938223722375e-01,8.611835563831331086e+00,1.964308785286817294e+00,4.079278031895836598e-01,4.155229984143674615e-01
2.434659016120528108e+01,7.801082137797013538e-02,7.566213824492741047e+00,1.528411404079218494e+00,3.617311283474246020e-01,3.452432546839151462e-01
2.894645531250415615e+01,1.175360910710647813e-02,9.832604897917702758e+00,1.698503149163183013e+00,1.076432578186481692e-01,1.101871389838243454e-01
5.365220082214147368e+00,3.441492000347174535e-02,5.806720862786467485e+00,1.909359273859362327e+00,5.994859718319881653e-02,7.219506685855614503e-02
1.498415925778076030e+01,6.035423633282240713e-02,8.262146180071461288e+00,4.417722119766319899e+00,1.927770199561071318e-01,1.898017515124023891e-01
2.694676000368903246e+01,2.205774190640421295e-01,6.587137925496210578e+00,2.423182966763204327e+00,4.643896677676184193e-01,4.562815219352427398e-01
1.325879030141768133e+01,2.445418281773117097e-01,7.367361869405830710e+00,1.440432006535484755e+00,3.723100718114451535e-01,3.798325100832410928e-01
1.809555980043739609e+01,2.777104006695838012e-01,8.954399927534442583e+00,3.854276983434579584e+00,3.198422182702323480e-01,3.223766834323137376e-01
1.710229647307532908e+00,1.932301603180931748e-01,3.129267409949880729e+00,2.443398874891350436e-01,8.900246116538786112e-02,9.796129187316346409e-02
2.053033672743522686e+01,8.988582000267768268e-02,7.961742638006347406e+00,1.737343274710413388e+00,3.386749482796982957e-01,3.352227911791855197e-01
2.765356996938085388e+01,2.518218577137030789e-01,9.268378871559486143e+00,3.956614213010373859e+00,4.043141608535413267e-01,3.894959781163191970e-01
2.497793455714490918e+01,2.860875807952565353e-01,9.890144451641782908e+00,3.042201840424272774e+00,4.268245174850269219e-01,4.257244098379144304e-01
2.668008773458845795e+01,2.093742481712373704e-01,1.458180488048497203e+00,1.813412080638752588e+00,5.130878514135750468e-01,5.086295698834627510e-01
2.015030603509517704e+01,2.263505395127123759e-02,2.812281818190012217e+00,1.377006946966211620e+00,1.570177525644348704e-01,1.647709907849106148e-01
8.121015750052150040e+00,1.238836110578088318e-01,4.246788733154879480e+00,4.586251963266135823e-01,2.304025142724725195e-01,2.323388427562440572e-01
2.328699296799137741e+01,7.543414531268112511e-02,3.808491706036103430e+00,1.220369160622430948e-01,3.919870930008989007e-01,3.756786006765479025e-01
7.138567535617804438e+00,2.818388930539053039e-01,9.374691361264199330e+00,1.003775982203244377e+00,2.884763415099964035e-01,2.765247107089643941e-01
2.510697020526937351e+01,2.435258939466953265e-01,2.512868405758372781e-01,2.443900738550362384e+00,4.355050400571939262e-01,4.443429304230664956e-01
2.818819754552279289e+00,2.190820652693361084e-02,8.964879831460688564e+00,2.286089359291407774e+00,2.102340419216615353e-02,2.782105436634461915e-02
2.493914658841312004e+01,1.832201471662364689e-01,8.486303593202204620e-01,2.646381034403627375e+00,4.733033943514103892e-01,4.669009606923255062e-01
5.770710727748937785e+00,2.955591273520361550e-01,9.375450311832045358e+00,1.246754989521403623e-01,3.143169688181010613e-01,3.143064808524282383e-01
1.187926289840261340e+01,1.576180319789202700e-01,9.212959916319046982e+00,2.192197729523876149e+00,2.756243964007915603e-01,2.800801319385534116e-01
1.018540683015196535e+01,2.669429619357378547e-01,4.822778192403323949e+00,3.685095087762721100e+00,2.119326498078996646e-01,2.166166931663724426e-01
2.104877402305449507e+01,2.438868724865730364e-01,1.742009129819963587e+00,3.749339568143957191e+00,3.355981376360481216e-01,3.443605595971916400e-01
6.178584467056785989e+00,1.419896822609339471e-01,1.914787151720260816e+00,2.789709674541502427e+00,1.673756838601375974e-01,1.699405401323532128e-01
1.249142870429260732e+01,1.331605105212722295e-01,2.594123033501247733e+00,3.523351525693033892e+00,2.525775790005596599e-01,2.516292956108746592e-01
1.168913258131447419e+00,4.933370513781126787e-02,8.489173412666893626e+00,4.735784509450058355e-02,1.990442965203520140e-02,1.731594900415674501e-02
8.612346669752943384e+00,1.069864014638897548e-01,5.407491905574714153e+00,1.681955481761083337e+00,1.968400528396790361e-01,2.073974808450115559e-01
1.321447561263970272e+01,5.821863602173689423e-02,8.748246093390841693e+00,2.561273870419780607e+00,1.854966483633621877e-01,1.629881056125768168e-01
4.071715864512409411e+00,2.538665675716814674e-01,7.546519832573083342e+00,4.604381087110705373e+00,8.663117344841021750e-02,8.524462019749684538e-02
1.936163843506017557e+01,1.814175780867731680e-01,9.677038808306910767e+00,1.287058641876059450e+00,4.421160018570721162e-01,4.424460028969127157e-01
1.203230382670943754e+01,2.809364391331919952e-01,6.613769361274779435e+00,1.462464500775328524e+00,3.610161516036003437e-01,3.467626619948984690e-01
2.203352420421092717e+01,1.236959110400123046e-01,1.700443756763493353e+00,2.202573677730485180e+00,4.418065851375783115e-01,4.451347212689587551e-01
1.996211432098343508e+01,2.108110869426813583e-01,5.469389913780537960e+00,3.423931106714664274e+00,3.424080303620403720e-01,3.358952202376064289e-01
1.350557571454477923e+01,2.501119056227572579e-01,7.392838482920895515e+00,2.892783257989703483e+00,2.987310830463950628e-01,3.073555310095525406e-01
2.615229466362377764e+01,4.850306826451567313e-03,3.579044310817133479e+00,3.754493651712559554e+00,4.732568023560571047e-02,4.606975939526243569e-02
1.933191840750484403e+01,9.753332911848754117e-02,9.997774684467959361e+00,1.381687286577971685e+00,3.461108158643988464e-01,3.528023482722933979e-01
2.449795621108267341e+01,1.314327077342335448e-01,2.172627636926420802e+00,4.011229307386116716e+00,3.986077694735064014e-01,4.107962055252186162e-01
1.091204699426327807e+01,2.786524297633499181e-01,9.266304020622298410e+00,4.551096233990461037e+00,2.059728891486592717e-01,2.098021849757940038e-01
1.676640940038521421e+01,2.612761681812487136e-01,4.899337914942401895e+00,2.698599391405466896e+00,3.422561812554676397e-01,3.334989698212391662e-01
6.692609668327849093e+00,2.626796458188584982e-02,8.447748129330015843e+00,1.348428018195699796e+00,5.792781527902902267e-02,4.278462896198263754e-02
2.988809451344020829e+01,2.866822759877891147e-01,5.328520357728592671e+00,4.226360746817261926e+00,3.841148083022379867e-01,4.016486494774016980e-01
8.053248464883486335e+00,1.884442388665296397e-01,5.506129807737214499e+00,3.123951957800469081e+00,1.900359648735708007e-01,1.889230429416955959e-01
8.449156549585978837e+00,2.250813864854981847e-02,7.071735016639983940e+00,4.315655721736174399e+00,6.007132789033613890e-02,5.318567841399292340e-02
3.122512099338013325e+00,2.073465523994654780e-01,5.240717264680323950e+00,2.109555119683259594e+00,1.082069456101188848e-01,1.096495164907271280e-01
8.476290450905359819e+00,2.567534263796746319e-01,4.484702227034991218e+00,3.306812027654141950e+00,1.967079612314399928e-01,1.947938479266135003e-01
2.313072744377754475e+01,7.839772967870919929e-02,1.187509743692795050e+00,1.628427356023615102e-01,4.816616159552826737e-01,4.901830385974095261e-01
2.123891354980935731e+01,9.747580561351054662e-02,6.727257193700726390e+00,1.272671100718559822e+00,3.708186375885297870e-01,3.711579194129007719e-01
4.731523157197913498e+00,8.403011430085162436e-02,9.600434142493261547e+00,1.531085710752866813e+00,1.038371664100493086e-01,1.039746622462335013e-01
1.191091654141473200e+01,2.110497118684793727e-01,9.426258761395354568e+00,4.612802036314588072e+00,2.163030152468074507e-01,2.091572180364777989e-01
1.320672044390642519e+01,2.157654721218296434e-01,4.697399331809593015e-01,3.433811434777011229e+00,2.752686537951685164e-01,2.799643347826434314e-01
2.028454314449686180e+01,2.325304199617982959e-01,4.367121597822142043e+00,2.305636502590813208e-01,5.508137167031130765e-01,5.404750494795632632e-01
1.422193992826871778e+01,2.763912982918418360e-01,5.957234867769973796e+00,2.790640894684279782e+00,3.117982169267619064e-01,3.184571113244015761e-01
1.800903147794041104e+01,5.536664632809985831e-02,9.874721911257999807e-01,2.174427933041915395e+00,3.172467108955600024e-01,3.324860860254613137e-01
2.535085350465933018e+01,2.127661315948821963e-01,7.106329461659514735e+00,3.809949196850999975e+00,3.843315642856611203e-01,3.690847039046695754e-01
2.206773469905874308e+01,1.940651938046749625e-01,4.333630033205782439e+00,1.067772392316308050e+00,4.818659702512159693e-01,4.572036779377027793e-01
1.158521064174821014e+01,7.952370361279255395e-02,1.298282629933197319e+00,1.668907925555079164e+00,2.627833103251636659e-01,2.689520978767068748e-01
1.400349297099004353e+01,2.926172359762529984e-01,2.126478057640217578e+00,8.518757592053910477e-01,4.281441247879099743e-01,4.536231029427412187e-01
1.166328752101019184e+01,1.436111073254108528e-01,1.834299730351263147e-01,3.845220972018468686e+00,2.676945658895795166e-01,2.576853174008605918e-01
4.182305256194204901e+00,2.846994152319732296e-01,2.301072090919615842e+00,2.230556818757437831e+00,1.454118647658485808e-01,1.329049071778287128e-01
6.894004778534500666e+00,2.915603641379950206e-01,7.005261461617356744e+00,1.084515599230160277e+00,2.780125132040659475e-01,2.839022025418707074e-01
9.230388179379801272e+00,2.701143806557504967e-01,4.933857431450418218e+00,2.165215082685369552e+00,2.600506301686779653e-01,2.516434142680948893e-01
1.010988297246676382e+01,1.383861226340478701e-01,2.337842979600848192e+00,2.415104289549290684e+00,2.454458937559739207e-01,2.403856389166065533e-01
1.007838790577819310e+01,8.465326025410907507e-02,2.527527797217212768e+00,4.444435029481661914e+00,1.852467899549985753e-01,1.817656152881607923e-01
1.772429177133560785e+01,1.761428198672526091e-01,4.733222039240752466e+00,1.218163472996274255e+00,4.089166880907180723e-01,4.142367089536360680e-01
2.917900929297288570e+01,1.354112140528389852e-01,7.332960600899872006e+00,3.403399489099701025e-01,5.514104552744745202e-01,5.473574316605432921e-01
2.346525991278822687e+01,1.409922729715270273e-01,9.783739930400258800e+00,1.240341973589673241e+00,4.590697903338351593e-01,4.618486187346367844e-01
2.394288449701135235e+01,7.398032176687677208e-02,4.987342702298266595e+00,2.809391867985350233e-01,3.806290059195739373e-01,3.788636733306381954e-01
2.301878651564781819e+01,2.528336695452826910e-01,4.432734215524597232e+00,2.110663184604449905e-01,6.014400053658122136e-01,5.929932943292961500e-01
1.831264418518893677e+01,2.194865038779471034e-01,3.791510300101496256e+00,1.715608880298998162e+00,4.064246132874091977e-01,4.032263507099769773e-01
2.761307545795646945e+01,2.597275697660821336e-01,8.215405896094791771e+00,3.680470940506717081e+00,4.118151511720370417e-01,4.023111545203578721e-01
2.099927450796534600e+01,1.599301089496397987e-01,5.761488386732062317e+00,3.828846287974905671e+00,3.343621501551107822e-01,3.344273000138082708e-01
1.551033649136925874e+01,2.870645576068394864e-02,9.158095920970673376e+00,4.403448590463700185e+00,1.241454759266503172e-01,1.129068136509939480e-01
3.235430446515623615e+00,2.588303729181687385e-01,5.482127810367929399e+00,4.182414924843012471e+00,7.614933282997944641e-02,6.522038913702701834e-02
1.516502758548019258e+01,2.170610928097508122e-02,1.989192506387559289e+00,4.495093337509356246e+00,1.209412562477733405e-01,1.355108744008259036e-01
7.172098864869695944e+00,4.720028683452995311e-02,1.051152966628826624e+00,9.762223390794350086e-01,1.329161299461288082e-01,1.323842877430753961e-01
4.848192628856830666e+00,2.832919188774706276e-01,5.380416801017769757e+00,9.000485464765095589e-01,2.222208782439379360e-01,2.216818579892174956e-01
1.567588275335181613e+01,1.688899275036601921e-01,1.906649216264951763e+00,9.914954035030010271e-02,4.549234149882460110e-01,4.600387791874221977e-01
2.376747348531181103e+01,2.028242256995508586e-01,6.985326940022710929e+00,2.039402659624871994e+00,4.540549843519036122e-01,4.498464143264149229e-01
9.555186841360065131e+00,2.464768074891591498e-01,7.830059452693507893e+00,2.357297833454951697e+00,2.583993577133685271e-01,2.561140040385869732e-01
2.329438103736582732e+01,1.997025835698508778e-01,7.774010613695232053e+00,8.640745707471897408e-01,5.250565665782201963e-01,5.293080539315392352e-01
1.624325617170536873e+01,1.337474151382318233e-01,4.062393669787739192e+00,4.875745371505378678e+00,2.559381707770240211e-01,2.587623291994680108e-01
5.322392677750663381e+00,1.633568259657967869e-01,5.508457648708602328e+00,1.919070575352619379e+00,1.576826935672677732e-01,1.460897262979434785e-01
2.898406457541233650e+01,1.201466543080084715e-01,2.266655606558158897e+00,1.918085836258846655e+00,5.115853898433111446e-01,5.199188158100077617e-01
1.264745049276700684e+01,1.735799370662061414e-01,5.189268145548490807e+00,1.965421018484770244e+00,3.003452068184899182e-01,2.944408573855994971e-01
9.561793414218177745e+00,1.659902182281684964e-03,8.172574782056702958e+00,8.364727180474040846e-01,5.795599425688901032e-03,-4.765190077452957987e-03
2.556295274837815867e+01,1.529715627658159161e-01,6.392108043041259791e+00,2.963937477742813353e+00,4.096421444215622154e-01,4.006373937215716996e-01
4.609349642948915360e+00,8.122712996126883050e-03,6.671607258717169309e+00,5.886523461571369076e-01,1.364038945633383459e-02,9.734936012780606024e-03
2.227412337113739937e+01,3.379191269836873124e-02,9.561383689590702062e+00,4.736447725011071697e+00,1.865584989413876238e-01,2.028315014876183042e-01
6.446917534398581395e+00,2.540641141076822040e-01,2.867637403985799693e+00,2.363605780658855071e+00,1.914957220039708030e-01,1.797403629547630055e-01
1.238226150436489092e+01,1.981564490743286944e-01,6.495707399170280283e+00,2.974614899242913335e+00,2.677781580940022943e-01,2.693789170193456872e-01
7.725096475402015272e+00,5.546819337776188324e-02,8.846545314462058940e+00,1.795887842867445627e+00,1.185794246778006378e-01,9.720118109689486474e-02
2.539561178807922204e+01,2.244135550502970589e-01,3.321904618963102074e+00,1.678576835882275020e+00,4.853080967198876161e-01,4.852924273884356432e-01
1.231216200625599022e+01,1.432591976067649486e-01,5.044934694313840673e-01,4.926416032220072516e+00,2.553525646686509720e-01,2.643482288434110261e-01
2.926609157358639024e+01,4.131903651596555149e-02,2.948157878978591384e+00,5.593901685737762142e-01,3.361114625857128946e-01,3.337448293650983611e-01
1.913258304803809651e+01,2.789760228477665693e-01,2.898348749810591762e+00,6.906314113821832024e-01,5.124314749607903341e-01,5.061379257219569272e-01
2.111506220638453968e+01,3.472872444713509532e-02,2.872423709544583481e+00,2.650382346642935261e+00,2.202132454544624418e-01,2.225283560950478134e-01
1.612422854184010745e+01,6.903114547469310462e-03,5.253864047743003418e+00,9.592555048496220760e-01,4.010567996090934340e-02,4.710719747241584598e-02
9.960077773192143269e+00,7.772391680852190621e-02,5.623686111247176100e+00,3.295855381857337729e-02,2.068408039977538415e-01,2.134773797079279056e-01
1.247113621052043264e+01,2.697111217034581926e-02,3.851482425628956818e+00,3.081002689533226757e+00,1.084812008750105361e-01,1.282059394143084674e-01
2.828709144219515181e+01,5.999716115889142456e-03,3.219975856836205796e+00,1.609133079826963186e-02,6.435080451084396191e-02,6.644247923420673607e-02
6.834892821015269959e+00,1.963193210628020879e-01,5.236082957223060497e+00,3.166701541265870112e+00,1.677036580210414796e-01,1.617795570235121549e-01
2.965834813538615577e+01,4.045667955839622743e-02,7.300619042983864659e+00,1.534944009071132598e+00,2.888674742008087160e-01,2.876076823009423022e-01
2.299086999811073539e+01,1.696000733745343658e-01,3.248988580757294908e-01,3.081022617659623375e+00,4.415454701319685982e-01,4.408204846757704520e-01
1.143382086828569655e+01,7.353435892215492986e-02,8.257351074881466246e+00,2.885543518427580612e+00,1.853437788404417863e-01,1.864311526752229775e-01
1.960389409566249697e+01,2.822543905944854270e-01,1.324342907134712366e+00,4.632204313980190946e+00,2.727391565309232324e-01,2.724388783986289031e-01
1.204846463949953872e+01,6.554094050014695749e-02,9.064023551754857522e+00,1.226967117921520245e+00,1.975237719062121755e-01,1.992634312951742093e-01
1.206329504655768048e+01,1.566757631761299119e-01,4.926734732039723674e+00,4.620044462230874061e+00,2.101664731497770722e-01,1.934579725436259556e-01
1.561028555564135800e+01,2.207611901335252702e-01,5.642552403957297180e+00,2.669250435859307657e+00,3.274217675567310248e-01,3.357180571171314298e-01
1.484961827425935521e+00,9.402784567021320317e-02,9.808241176531476313e+00,7.922509304092439919e-05,4.408261894554127425e-02,3.833522625633094955e-02
1.531357523835848866e+01,2.496900776258454413e-01,8.972182705374725842e+00,1.992959613402446317e+00,3.758975231252273952e-01,3.641659361607571532e-01
2.917635398995975393e+01,9.487970668729132917e-02,4.450874509866629580e+00,2.889664290144677850e-01,4.895268090463275046e-01,4.959043206427418693e-01
9.278491634781774522e+00,1.169701590684566889e-01,2.022833253708910206e+00,3.480091170385268828e+00,2.076541443444474278e-01,2.208274044183082541e-01
2.269832081322175199e+01,1.296860964757937384e-01,5.957499412787033322e+00,3.572096176340258555e+00,3.520301185200238603e-01,3.569604000150182754e-01
1.384087781204435608e+01,1.262493424576097423e-01,4.018461209997359340e-01,1.504071496628214710e+00,3.669182613373205282e-01,3.685298544757757422e-01
7.069150235915778069e+00,1.827751526687139416e-01,6.707304536975233766e-01,1.194206839391321884e+00,2.495740623099859390e-01,2.402518592562664090e-01
2.724507455372575748e+01,6.864743786834941186e-02,2.262942172736116753e+00,2.172805653603034237e+00,4.209859609023404725e-01,4.497016342804754374e-01
1.487991255726176743e+00,9.943501902244600288e-02,4.177501814644357658e+00,3.042498475950936587e+00,3.712110054958001060e-02,4.592368675619509094e-02
9.801758871385809258e+00,6.946263736393694377e-02,6.937051184274575455e+00,6.543334391422361840e-01,1.806637814644321272e-01,1.692708347610023811e-01
2.997175058739418674e+01,8.380662930655059795e-02,9.891257632580385817e-01,1.215078174027535152e+00,5.767852236196893134e-01,5.689888444572919202e-01
8.602257089509695476e+00,2.290719155230376280e-01,8.548538117629377098e+00,4.201782788350316267e+00,1.769500006432441486e-01,1.778197931289632050e-01
2.562229113391888902e+01,1.891507593927386210e-01,4.497776949377076505e+00,2.482377109309692909e+00,4.362315441020687690e-01,4.206842327821089245e-01
1.856481131101542559e+01,2.888740014247863086e-01,1.939178423927953032e+00,1.459587348747213298e+00,4.344103685349010036e-01,4.360966726050061193e-01
2.437503551828658388e+01,2.850888821474874546e-01,8.644491930988401407e+00,1.353406433961151789e-01,6.707424836054414197e-01,6.661517680483137749e-01
1.927921490786086878e+01,6.232054862544390145e-02,6.908788923132793691e+00,1.272954535707011114e+00,2.768013144321798680e-01,2.890640204353420173e-01
1.151820885467760291e+01,6.377386475238253083e-02,8.598420189311340778e+00,3.174174755233256651e+00,1.700054691308157395e-01,1.796270157670982193e-01
