S,v_subinh
1.142129831664950856e+00,2.234758607648533957e+00
1.144077427603379604e+00,2.238486409121827947e+00
1.146028344644045571e+00,2.242220289404383227e+00
1.147982588450197960e+00,2.245960257939783045e+00
1.149940164694742029e+00,2.249706324184699735e+00
1.151901079060257516e+00,2.253458497608904487e+00
1.153865337239013744e+00,2.257216787695284221e+00
1.155832944932987161e+00,2.260981203939852691e+00
1.157803907853876657e+00,2.264751755851761139e+00
1.159778231723122000e+00,2.268528452953313845e+00
1.161755922271918040e+00,2.272311304779979668e+00
1.163736985241233812e+00,2.276100320880402261e+00
1.165721426381827408e+00,2.279895510816419613e+00
1.167709251454263297e+00,2.283696884163066709e+00
1.169700466228929203e+00,2.287504450508596410e+00
1.171695076486052756e+00,2.291318219454490102e+00
1.173693088015717922e+00,2.295138200615466584e+00
1.175694506617882551e+00,2.298964403619498942e+00
1.177699338102394133e+00,2.302796838107823874e+00
1.179707588289008013e+00,2.306635513734959009e+00
1.181719263007403153e+00,2.310480440168710459e+00
1.183734368097199452e+00,2.314331627090186583e+00
1.185752909407974842e+00,2.318189084193812199e+00
1.187774892799281945e+00,2.322052821187340133e+00
1.189800324140665611e+00,2.325922847791863646e+00
1.191829209311679350e+00,2.329799173741828877e+00
1.193861554201902875e+00,2.333681808785046830e+00
1.195897364710958977e+00,2.337570762682708025e+00
1.197936646748530176e+00,2.341466045209392721e+00
1.199979406234377155e+00,2.345367666153082453e+00
1.202025649098354521e+00,2.349275635315176913e+00
1.204075381280429236e+00,2.353189962510502831e+00
1.206128608730696605e+00,2.357110657567327294e+00
1.208185337409398707e+00,2.361037730327366635e+00
1.210245573286941267e+00,2.364971190645808186e+00
1.212309322343910534e+00,2.368911048391311169e+00
1.214376590571091263e+00,2.372857313446029348e+00
1.216447383969484042e+00,2.376809995705615908e+00
1.218521708550322158e+00,2.380769105079239001e+00
1.220599570335090034e+00,2.384734651489595514e+00
1.222680975355539434e+00,2.388706644872918616e+00
1.224765929653707897e+00,2.392685095178994636e+00
1.226854439281936715e+00,2.396670012371175496e+00
1.228946510302886708e+00,2.400661406426387146e+00
1.231042148789557533e+00,2.404659287335145557e+00
1.233141360825304789e+00,2.408663665101565599e+00
1.235244152503857551e+00,2.412674549743377028e+00
1.237350529929335696e+00,2.416691951291935148e+00
1.239460499216268774e+00,2.420715879792231906e+00
1.241574066489612438e+00,2.424746345302908335e+00
1.243691237884766876e+00,2.428783357896268758e+00
1.245812019547594796e+00,2.432826927658292782e+00
1.247936417634438744e+00,2.436877064688644179e+00
1.250064438312139758e+00,2.440933779100687762e+00
1.252196087758054022e+00,2.444997081021496044e+00
1.254331372160072400e+00,2.449066980591867004e+00
1.256470297716636653e+00,2.453143487966333414e+00
1.258612870636758974e+00,2.457226613313175267e+00
1.260759097140039309e+00,2.461316366814430889e+00
1.262908983456682899e+00,2.465412758665910253e+00
1.265062535827519596e+00,2.469515799077208307e+00
1.267219760504020964e+00,2.473625498271713852e+00
1.269380663748318927e+00,2.477741866486624644e+00
1.271545251833223533e+00,2.481864913972957165e+00
1.273713531042242053e+00,2.485994650995560828e+00
1.275885507669595631e+00,2.490131087833126422e+00
1.278061188020239269e+00,2.494274234778203425e+00
1.280240578409879149e+00,2.498424102137206226e+00
1.282423685164991056e+00,2.502580700230431887e+00
1.284610514622839261e+00,2.506744039392067691e+00
1.286801073131494277e+00,2.510914129970202691e+00
1.288995367049851293e+00,2.515090982326843694e+00
1.291193402747649266e+00,2.519274606837924591e+00
1.293395186605489355e+00,2.523465013893318787e+00
1.295600725014852017e+00,2.527662213896848975e+00
1.297810024378117877e+00,2.531866217266304009e+00
1.300023091108584161e+00,2.536077034433444233e+00
1.302239931630485126e+00,2.540294675844020134e+00
1.304460552379008931e+00,2.544519151957776781e+00
1.306684959800317847e+00,2.548750473248474258e+00
1.308913160351566241e+00,2.552988650203889875e+00
1.311145160500919005e+00,2.557233693325837276e+00
1.313380966727571542e+00,2.561485613130177086e+00
1.315620585521767083e+00,2.565744420146824911e+00
1.317864023384816452e+00,2.570010124919765548e+00
1.320111286829116937e+00,2.574282738007066307e+00
1.322362382378170498e+00,2.578562269980884558e+00
1.324617316566603531e+00,2.582848731427484612e+00
1.326876095940185518e+00,2.587142132947242601e+00
1.329138727055847902e+00,2.591442485154665576e+00
1.331405216481702958e+00,2.595749798678397724e+00
1.333675570797063559e+00,2.600064084161234579e+00
1.335949796592461603e+00,2.604385352260134123e+00
1.338227900469667109e+00,2.608713613646224339e+00
1.340509889041708202e+00,2.613048879004824077e+00
1.342795768932889544e+00,2.617391159035445281e+00
1.345085546778811425e+00,2.621740464451807640e+00
1.347379229226389752e+00,2.626096805981854132e+00
1.349676822933875142e+00,2.630460194367756355e+00
1.351978334570871354e+00,2.634830640365925625e+00
1.354283770818355936e+00,2.639208154747033852e+00
1.356593138368698881e+00,2.643592748296010875e+00
1.358906443925682384e+00,2.647984431812070660e+00
1.361223694204519941e+00,2.652383216108709973e+00
1.363544895931875889e+00,2.656789112013727028e+00
1.365870055845885833e+00,2.661202130369231256e+00
1.368199180696174411e+00,2.665622282031653079e+00
1.370532277243876829e+00,2.670049577871756341e+00
1.372869352261657072e+00,2.674484028774651190e+00
1.375210412533728110e+00,2.678925645639801623e+00
1.377555464855871881e+00,2.683374439381039256e+00
1.379904516035458384e+00,2.687830420926575314e+00
1.382257572891466113e+00,2.692293601219008181e+00
1.384614642254501149e+00,2.696763991215339384e+00
1.386975730966817366e+00,2.701241601886980703e+00
1.389340845882336639e+00,2.705726444219767046e+00
1.391709993866667716e+00,2.710218529213965777e+00
1.394083181797127535e+00,2.714717867884292257e+00
1.396460416562759876e+00,2.719224471259916065e+00
1.398841705064356455e+00,2.723738350384476092e+00
1.401227054214476020e+00,2.728259516316086319e+00
1.403616470937464777e+00,2.732787980127349137e+00
1.406009962169476823e+00,2.737323752905372665e+00
1.408407534858493904e+00,2.741866845751768533e+00
1.410809195964345619e+00,2.746417269782677639e+00
1.413214952458729856e+00,2.750975036128767925e+00
1.415624811325232990e+00,2.755540155935254365e+00
1.418038779559349427e+00,2.760112640361904734e+00
1.420456864168502920e+00,2.764692500583052048e+00
1.422879072172066772e+00,2.769279747787608326e+00
1.425305410601383382e+00,2.773874393179068587e+00
1.427735886499785334e+00,2.778476447975527286e+00
1.430170506922616269e+00,2.783085923409687634e+00
1.432609278937250208e+00,2.787702830728871817e+00
1.435052209623112862e+00,2.792327181195031649e+00
1.437499306071702065e+00,2.796958986084758347e+00
1.439950575386608422e+00,2.801598256689296296e+00
1.442406024683535293e+00,2.806245004314549707e+00
1.444865661090320774e+00,2.810899240281096390e+00
1.447329491746956798e+00,2.815560975924195297e+00
1.449797523805611110e+00,2.820230222593799851e+00
1.452269764430647259e+00,2.824906991654567268e+00
1.454746220798645906e+00,2.829591294485868769e+00
1.457226900098425482e+00,2.834283142481801132e+00
1.459711809531062832e+00,2.838982547051195571e+00
1.462200956309914313e+00,2.843689519617627948e+00
1.464694347660637108e+00,2.848404071619432987e+00
1.467191990821209213e+00,2.853126214509708269e+00
1.469693893041951638e+00,2.857855959756331110e+00
1.472200061585548170e+00,2.862593318841962553e+00
1.474710503727067801e+00,2.867338303264063804e+00
1.477225226753985154e+00,2.872090924534902445e+00
1.479744237966201137e+00,2.876851194181562210e+00
1.482267544676065363e+00,2.881619123745956745e+00
1.484795154208396362e+00,2.886394724784837162e+00
1.487327073900502894e+00,2.891178008869801808e+00
1.489863311102206156e+00,2.895968987587308696e+00
1.492403873175859985e+00,2.900767672538682618e+00
1.494948767496373065e+00,2.905574075340128015e+00
1.497498001451229577e+00,2.910388207622737422e+00
1.500051582440511622e+00,2.915210081032500344e+00
1.502609517876919876e+00,2.920039707230316584e+00
1.505171815185795348e+00,2.924877097892002009e+00
1.507738481805140918e+00,2.929722264708304102e+00
1.510309525185643098e+00,2.934575219384903733e+00
1.512884952790693793e+00,2.939435973642432476e+00
1.515464772096411172e+00,2.944304539216480165e+00
1.518048990591662539e+00,2.949180927857603329e+00
1.520637615778084761e+00,2.954065151331334516e+00
1.523230655170107362e+00,2.958957221418195171e+00
1.525828116294973391e+00,2.963857149913700528e+00
1.528430006692761411e+00,2.968764948628375588e+00
1.531036333916408143e+00,2.973680629387757790e+00
1.533647105531729338e+00,2.978604204032415215e+00
1.536262329117442205e+00,2.983535684417944367e+00
1.538882012265187837e+00,2.988475082414991491e+00
1.541506162579552308e+00,2.993422409909253457e+00
1.544134787678089760e+00,2.998377678801495083e+00
1.546767895191343500e+00,3.003340901007550467e+00
1.549405492762869319e+00,3.008312088458336753e+00
1.552047588049256355e+00,3.013291253099862566e+00
1.554694188720150638e+00,3.018278406893242227e+00
1.557345302458276404e+00,3.023273561814694421e+00
1.560000936959458517e+00,3.028276729855560401e+00
1.562661099932645348e+00,3.033287923022310206e+00
1.565325799099930748e+00,3.038307153336553768e+00
1.567995042196576261e+00,3.043334432835044012e+00
1.570668836971034432e+00,3.048369773569695518e+00
1.573347191184969907e+00,3.053413187607586732e+00
1.576030112613283629e+00,3.058464687030970186e+00
1.578717609044133718e+00,3.063524283937281378e+00
1.581409688278959447e+00,3.068591990439150319e+00
1.584106358132503223e+00,3.073667818664409079e+00
1.586807626432833462e+00,3.078751780756098011e+00
1.589513501021367015e+00,3.083843888872481287e+00
1.592223989752892255e+00,3.088944155187046459e+00
1.594939100495592177e+00,3.094052591888523551e+00
1.597658841131066376e+00,3.099169211180886396e+00
1.600383219554354364e+00,3.104294025283361069e+00
1.603112243673958881e+00,3.109427046430442321e+00
1.605845921411868327e+00,3.114568286871895353e+00
1.608584260703579849e+00,3.119717758872764701e+00
1.611327269498122661e+00,3.124875474713387558e+00
1.614074955758080687e+00,3.130041446689394657e+00
1.616827327459616104e+00,3.135215687111729377e+00
1.619584392592491984e+00,3.140398208306647287e+00
1.622346159160096279e+00,3.145589022615727259e+00
1.625112635179464027e+00,3.150788142395880786e+00
1.627883828681301548e+00,3.155995580019362201e+00
1.630659747710009100e+00,3.161211347873770006e+00
1.633440400323705299e+00,3.166435458362066857e+00
1.636225794594248217e+00,3.171667923902574238e+00
1.639015938607261580e+00,3.176908756928990218e+00
1.641810840462156751e+00,3.182157969890397453e+00
1.644610508272156046e+00,3.187415575251263622e+00
1.647414950164317160e+00,3.192681585491460083e+00
1.650224174279555811e+00,3.197956013106260098e+00
1.653038188772670614e+00,3.203238870606355260e+00
1.655857001812365059e+00,3.208530170517855495e+00
1.658680621581272829e+00,3.213829925382305497e+00
1.661509056275980889e+00,3.219138147756686941e+00
1.664342314107052800e+00,3.224454850213424706e+00
1.667180403299053593e+00,3.229780045340402417e+00
1.670023332090572632e+00,3.235113745740962443e+00
1.672871108734248491e+00,3.240455964033919667e+00
1.675723741496791819e+00,3.245806712853563258e+00
1.678581238659010211e+00,3.251166004849669555e+00
1.681443608515832189e+00,3.256533852687507391e+00
1.684310859376330738e+00,3.261910269047847866e+00
1.687182999563747732e+00,3.267295266626964789e+00
1.690060037415518357e+00,3.272688858136652001e+00
1.692941981283294650e+00,3.278091056304227369e+00
1.695828839532970367e+00,3.283501873872533228e+00
1.698720620544705406e+00,3.288921323599956370e+00
1.701617332712948905e+00,3.294349418260422713e+00
1.704518984446465657e+00,3.299786170643415950e+00
1.707425584168358101e+00,3.305231593553977110e+00
1.710337140316093185e+00,3.310685699812712102e+00
1.713253661341524792e+00,3.316148502255805042e+00
1.716175155710919276e+00,3.321620013735018251e+00
1.719101631904980776e+00,3.327100247117704690e+00
1.722033098418874086e+00,3.332589215286810180e+00
1.724969563762250413e+00,3.338086931140884062e+00
1.727911036459272021e+00,3.343593407594085853e+00
1.730857525048637324e+00,3.349108657576190584e+00
1.733809038083603982e+00,3.354632694032593676e+00
1.736765584132016205e+00,3.360165529924327377e+00
1.739727171776327408e+00,3.365707178228050989e+00
1.742693809613626854e+00,3.371257651936078403e+00
1.745665506255663191e+00,3.376816964056362558e+00
1.748642270328870651e+00,3.382385127612519415e+00
1.751624110474393037e+00,3.387962155643830187e+00
1.754611035348109693e+00,3.393548061205238220e+00
1.757603053620659717e+00,3.399142857367370318e+00
1.760600173977468375e+00,3.404746557216531855e+00
1.763602405118771088e+00,3.410359173854719206e+00
1.766609755759639411e+00,3.415980720399623749e+00
1.769622234630006119e+00,3.421611209984639856e+00
1.772639850474690304e+00,3.427250655758866227e+00
1.775662612053423128e+00,3.432899070887120985e+00
1.778690528140873139e+00,3.438556468549938128e+00
1.781723607526672026e+00,3.444222861943580405e+00
1.784761859015439267e+00,3.449898264280042426e+00
1.787805291426808552e+00,3.455582688787058654e+00
1.790853913595453317e+00,3.461276148708104738e+00
1.793907734371111617e+00,3.466978657302410394e+00
1.796966762618612989e+00,3.472690227844959399e+00
1.800031007217902879e+00,3.478410873626498923e+00
1.803100477064069951e+00,3.484140607953541746e+00
1.806175181067370294e+00,3.489879444148378695e+00
1.809255128153254066e+00,3.495627395549072425e+00
1.812340327262392137e+00,3.501384475509477401e+00
1.815430787350700292e+00,3.507150697399232353e+00
1.818526517389367214e+00,3.512926074603778037e+00
1.821627526364878680e+00,3.518710620524352350e+00
1.824733823279045097e+00,3.524504348577999213e+00
1.827845417149026819e+00,3.530307272197577451e+00
1.830962317007360118e+00,3.536119404831760349e+00
1.834084531901985171e+00,3.541940759945045425e+00
1.837212070896268923e+00,3.547771351017756203e+00
1.840344943069035732e+00,3.553611191546050652e+00
1.843483157514589577e+00,3.559460295041923406e+00
1.846626723342743581e+00,3.565318675033212426e+00
1.849775649678844669e+00,3.571186345063602996e+00
1.852929945663800204e+00,3.577063318692632166e+00
1.856089620454105971e+00,3.582949609495696297e+00
1.859254683221870375e+00,3.588845231064053731e+00
1.862425143154843976e+00,3.594750197004828340e+00
1.865601009456443027e+00,3.600664520941016189e+00
1.868782291345779001e+00,3.606588216511492639e+00
1.871968998057683242e+00,3.612521297371009688e+00
1.875161138842734498e+00,3.618463777190205288e+00
1.878358722967286898e+00,3.624415669655610017e+00
1.881561759713494819e+00,3.630376988469647515e+00
1.884770258379341756e+00,3.636347747350637594e+00
1.887984228278665411e+00,3.642327960032806011e+00
1.891203678741186556e+00,3.648317640266285355e+00
1.894428619112535239e+00,3.654316801817117710e+00
1.897659058754277206e+00,3.660325458467260873e+00
1.900895007043942986e+00,3.666343624014593683e+00
1.904136473375052763e+00,3.672371312272914246e+00
1.907383467157146129e+00,3.678408537071955919e+00
1.910635997815806730e+00,3.684455312257374437e+00
1.913894074792692246e+00,3.690511651690766559e+00
1.917157707545560141e+00,3.696577569249663409e+00
1.920426905548294982e+00,3.702653078827542910e+00
1.923701678290937300e+00,3.708738194333824900e+00
1.926982035279710015e+00,3.714832929693882679e+00
1.930267986037046413e+00,3.720937298849039454e+00
1.933559540101617458e+00,3.727051315756576333e+00
1.936856707028360436e+00,3.733174994389734547e+00
1.940159496388505156e+00,3.739308348737719889e+00
1.943467917769603037e+00,3.745451392805700941e+00
1.946781980775554644e+00,3.751604140614820171e+00
1.950101695026637216e+00,3.757766606202188608e+00
1.953427070159532875e+00,3.763938803620898277e+00
1.956758115827356148e+00,3.770120746940016865e+00
1.960094841699683066e+00,3.776312450244592167e+00
1.963437257462578023e+00,3.782513927635662743e+00
1.966785372818622202e+00,3.788725193230247701e+00
1.970139197486942662e+00,3.794946261161363132e+00
1.973498741203238982e+00,3.801177145578010119e+00
1.976864013719813462e+00,3.807417860645196495e+00
1.980235024805596877e+00,3.813668420543917748e+00
1.983611784246179566e+00,3.819928839471173010e+00
1.986994301843837851e+00,3.826199131639968609e+00
1.990382587417563354e+00,3.832479311279311407e+00
1.993776650803091854e+00,3.838769392634219901e+00
1.997176501852930386e+00,3.845069389965718898e+00
2.000582150436387874e+00,3.851379317550846615e+00
2.003993606439601560e+00,3.857699189682657348e+00
2.007410879765567646e+00,3.864029020670219694e+00
2.010833980334169269e+00,3.870368824838618771e+00
2.014262918082204479e+00,3.876718616528965100e+00
2.017697702963416884e+00,3.883078410098384836e+00
2.021138344948522736e+00,3.889448219920032201e+00
2.024584854025241576e+00,3.895828060383086378e+00
2.028037240198322877e+00,3.902217945892750173e+00
2.031495513489578020e+00,3.908617890870256684e+00
2.034959683937906938e+00,3.915027909752871071e+00
2.038429761599328316e+00,3.921448016993887009e+00
2.041905756547009343e+00,3.927878227062631122e+00
2.045387678871293247e+00,3.934318554444464322e+00
2.048875538679731267e+00,3.940769013640785801e+00
2.052369346097107972e+00,3.947229619169023707e+00
2.055869111265475446e+00,3.953700385562648911e+00
2.059374844344179056e+00,3.960181327371171900e+00
2.062886555509887643e+00,3.966672459160135222e+00
2.066404254956625497e+00,3.973173795511131701e+00
2.069927952895797674e+00,3.979685351021782225e+00
2.073457659556224630e+00,3.986207140305759289e+00
2.076993385184167540e+00,3.992739177992773669e+00
2.080535140043359821e+00,3.999281478728576644e+00
2.084082934415038224e+00,4.005834057174967988e+00
2.087636778597969478e+00,4.012396928009783537e+00
2.091196682908484927e+00,4.018970105926910286e+00
2.094762657680504070e+00,4.025553605636271293e+00
2.098334713265571416e+00,4.032147441863840776e+00
2.101912860032881358e+00,4.038751629351634342e+00
2.105497108369310144e+00,4.045366182857707216e+00
2.109087468679447408e+00,4.051991117156168443e+00
2.112683951385623704e+00,4.058626447037162244e+00
2.116286566927942481e+00,4.065272187306879559e+00
2.119895325764310279e+00,4.071928352787555383e+00
2.123510238370466485e+00,4.078594958317467878e+00
2.127131315240013976e+00,4.085272018750934819e+00
2.130758566884449756e+00,4.091959548958319814e+00
2.134392003833195606e+00,4.098657563826024308e+00
2.138031636633628274e+00,4.105366078256497353e+00
2.141677475851110124e+00,4.112085107168216069e+00
2.145329532069019329e+00,4.118814665495706073e+00
2.148987815888782738e+00,4.125554768189529042e+00
2.152652337929903403e+00,4.132305430216282716e+00
2.156323108829994339e+00,4.139066666558599117e+00
2.160000139244807382e+00,4.145838492215151661e+00
2.163683439848264722e+00,4.152620922200637388e+00
2.167373021332491767e+00,4.159413971545796507e+00
2.171068894407843786e+00,4.166217655297390188e+00
2.174771069802942325e+00,4.173031988518218327e+00
2.178479558264701410e+00,4.179856986287097342e+00
2.182194370558362628e+00,4.186692663698879713e+00
2.185915517467524438e+00,4.193539035864437992e+00
2.189643009794173256e+00,4.200396117910666582e+00
2.193376858358716763e+00,4.207263924980484404e+00
2.197117074000011439e+00,4.214142472232822456e+00
2.200863667575399418e+00,4.221031774842634476e+00
2.204616649960735586e+00,4.227931848000884507e+00
2.208376032050419990e+00,4.234842706914551336e+00
2.212141824757432040e+00,4.241764366806618725e+00
2.215914039013358927e+00,4.248696842916085181e+00
2.219692685768429374e+00,4.255640150497947971e+00
2.223477775991543837e+00,4.262594304823208446e+00
2.227269320670308250e+00,4.269559321178866718e+00
2.231067330811065563e+00,4.276535214867922541e+00
2.234871817438924602e+00,4.283522001209364660e+00
2.238682791597797372e+00,4.290519695538177025e+00
2.242500264350426598e+00,4.297528313205329020e+00
2.246324246778420797e+00,4.304547869577775465e+00
2.250154749982283153e+00,4.311578380038451286e+00
2.253991785081447929e+00,4.318619859986275067e+00
2.257835363214309776e+00,4.325672324836131288e+00
2.261685495538256152e+00,4.332735790018882760e+00
2.265542193229701962e+00,4.339810270981359075e+00
2.269405467484118866e+00,4.346895783186348616e+00
2.273275329516071253e+00,4.353992342112607439e+00
2.277151790559244660e+00,4.361099963254843281e+00
2.281034861866482633e+00,4.368218662123718232e+00
2.284924554709816924e+00,4.375348454245842511e+00
2.288820880380499467e+00,4.382489355163769140e+00
2.292723850189038792e+00,4.389641380435997498e+00
2.296633475465227558e+00,4.396804545636950223e+00
2.300549767558180747e+00,4.403978866356995425e+00
2.304472737836365415e+00,4.411164358202420921e+00
2.308402397687634000e+00,4.418361036795436014e+00
2.312338758519258075e+00,4.425568917774168831e+00
2.316281831757962095e+00,4.432788016792664543e+00
2.320231628849954486e+00,4.440018349520870267e+00
2.324188161260962726e+00,4.447259931644637732e+00
2.328151440476266654e+00,4.454512778865720612e+00
2.332121478000729553e+00,4.461776906901759432e+00
2.336098285358834570e+00,4.469052331486286889e+00
2.340081874094716685e+00,4.476339068368715424e+00
2.344072255772195135e+00,4.483637133314333667e+00
2.348069441974809823e+00,4.490946542104303774e+00
2.352073444305851080e+00,4.498267310535651653e+00
2.356084274388398292e+00,4.505599454421263417e+00
2.360101943865348328e+00,4.512942989589879161e+00
2.364126464399453731e+00,4.520297931886084974e+00
2.368157847673353800e+00,4.527664297170314711e+00
2.372196105389609233e+00,4.535042101318828678e+00
2.376241249270737210e+00,4.542431360223726955e+00
2.380293291059243810e+00,4.549832089792923639e+00
2.384352242517659537e+00,4.557244305950156615e+00
2.388418115428570854e+00,4.564668024634966237e+00
2.392490921594659259e+00,4.572103261802705987e+00
2.396570672838730154e+00,4.579550033424518496e+00
2.400657381003750146e+00,4.587008355487338207e+00
2.404751057952881244e+00,4.594478243993884270e+00
2.408851715569514607e+00,4.601959714962648995e+00
2.412959365757305630e+00,4.609452784427893413e+00
2.417074020440207693e+00,4.616957468439643719e+00
2.421195691562507690e+00,4.624473783063675292e+00
2.425324391088860665e+00,4.632001744381516239e+00
2.429460131004322676e+00,4.639541368490424311e+00
2.433602923314388544e+00,4.647092671503395778e+00
2.437752780045024714e+00,4.654655669549148556e+00
2.441909713242705227e+00,4.662230378772115991e+00
2.446073734974444580e+00,4.669816815332436200e+00
2.450244857327836812e+00,4.677414995405952070e+00
2.454423092411085694e+00,4.685024935184193495e+00
2.458608452353043372e+00,4.692646650874372938e+00
2.462800949303245002e+00,4.700280158699380983e+00
2.467000595431942056e+00,4.707925474897766804e+00
2.471207402930140518e+00,4.715582615723746152e+00
2.475421384009634629e+00,4.723251597447177375e+00
2.479642550903041531e+00,4.730932436353556092e+00
2.483870915863839457e+00,4.738625148744016080e+00
2.488106491166399703e+00,4.746329750935304403e+00
2.492349289106026156e+00,4.754046259259784968e+00
2.496599321998987708e+00,4.761774690065422533e+00
2.500856602182555566e+00,4.769515059715775607e+00
2.505121142015039659e+00,4.777267384589987564e+00
2.509392953875822396e+00,4.785031681082775101e+00
2.513672050165397298e+00,4.792807965604418463e+00
2.517958443305402305e+00,4.800596254580752564e+00
2.522252145738658413e+00,4.808396564453159883e+00
2.526553169929202980e+00,4.816208911678550031e+00
2.530861528362328805e+00,4.824033312729364198e+00
2.535177233544618325e+00,4.831869784093554721e+00
2.539500298003980916e+00,4.839718342274575313e+00
2.543830734289688866e+00,4.847579003791373964e+00
2.548168554972412903e+00,4.855451785178381385e+00
2.552513772644261714e+00,4.863336702985497695e+00
2.556866399918814370e+00,4.871233773778081755e+00
2.561226449431160734e+00,4.879143014136949397e+00
2.565593933837934770e+00,4.887064440658344111e+00
2.569968865817354509e+00,4.894998069953942377e+00
2.574351258069256243e+00,4.902943918650832344e+00
2.578741123315132278e+00,4.910902003391511172e+00
2.583138474298169562e+00,4.918872340833864598e+00
2.587543323783282556e+00,4.926854947651154504e+00
2.591955684557155859e+00,4.934849840532019805e+00
2.596375569428275742e+00,4.942857036180448915e+00
2.600802991226971450e+00,4.950876551315779750e+00
2.605237962805450280e+00,4.958908402672680182e+00
2.609680497037835778e+00,4.966952607001133835e+00
2.614130606820204594e+00,4.975009181066435637e+00
2.618588305070624234e+00,4.983078141649174952e+00
2.623053604729191246e+00,4.991159505545224029e+00
2.627526518758066754e+00,4.999253289565722014e+00
2.632007060141516419e+00,5.007359510537062519e+00
2.636495241885946417e+00,5.015478185300884739e+00
2.640991077019941624e+00,5.023609330714052135e+00
2.645494578594305146e+00,5.031752963648652432e+00
2.650005759682092954e+00,5.039909100991973645e+00
2.654524633378655185e+00,5.048077759646488083e+00
2.659051212801670783e+00,5.056258956529847026e+00
2.663585511091189684e+00,5.064452708574861184e+00
2.668127541409666126e+00,5.072659032729494477e+00
2.672677316942001280e+00,5.080877945956835617e+00
2.677234850895578777e+00,5.089109465235099883e+00
2.681800156500304233e+00,5.097353607557599808e+00
2.686373247008642995e+00,5.105610389932744297e+00
2.690954135695658778e+00,5.113879829384014641e+00
