t,Q,I,phi,dQ_dt,dQ_dt_noisy
3.180636127225444643e-01,2.786896160281062240e+00,-8.178703198324984713e-01,2.662928935316267662e-02,-1.314088618153244070e+00,-1.253300736393517356e+00
3.240648129625924856e-01,2.778941057259380454e+00,-8.409099784930027521e-01,2.861068408312487932e-02,-1.337067860992385393e+00,-1.332671908876909228e+00
3.300660132026405069e-01,2.770848307590925153e+00,-8.638660622212828155e-01,3.070202457524881176e-02,-1.359961496930962799e+00,-1.309976425823373702e+00
3.360672134426885282e-01,2.762618427820856759e+00,-8.867377045210373954e-01,3.290571018090607258e-02,-1.382768596389742255e+00,-1.264024250723885023e+00
3.420684136827365496e-01,2.754251940085036487e+00,-9.095240382934354217e-01,3.522409366819589244e-02,-1.405488226694136200e+00,-1.391791613964519669e+00
3.480696139227845154e-01,2.745749372113861053e+00,-9.322241958140765616e-01,3.765948105497447795e-02,-1.428119451956415986e+00,-1.442138567653562964e+00
3.540708141628325367e-01,2.737111257235034678e+00,-9.548373087279933280e-01,4.021413158565841084e-02,-1.450661332971949768e+00,-1.489213940962926364e+00
3.600720144028805580e-01,2.728338134437795937e+00,-9.773625079413148509e-01,4.289025742456073487e-02,-1.473112927008454198e+00,-1.440709696931229855e+00
3.660732146429285794e-01,2.719430548405894044e+00,-9.997989235735097457e-01,4.569002358936045949e-02,-1.495473287651275296e+00,-1.505309790969161510e+00
3.720744148829765452e-01,2.710389049518042714e+00,-1.022145684947146194e+00,4.861554748281458893e-02,-1.517741464681431118e+00,-1.526678783221134594e+00
3.780756151230245665e-01,2.701214193852953915e+00,-1.044401920577377574e+00,5.166889879363213006e-02,-1.539916503948739246e+00,-1.545179492869490856e+00
3.840768153630725879e-01,2.691906543191694645e+00,-1.066566758169517959e+00,5.485209948131507945e-02,-1.561997447248150817e+00,-1.529503964618876166e+00
3.900780156031206092e-01,2.682466665093455216e+00,-1.088639324530813246e+00,5.816712347491730106e-02,-1.583983332105905362e+00,-1.637300312714150996e+00
3.960792158431686305e-01,2.672895132937486373e+00,-1.110618745518169304e+00,6.161589664516853304e-02,-1.605873191596147720e+00,-1.682367016129675541e+00
4.020804160832165963e-01,2.663192525927907006e+00,-1.132504146059794881e+00,6.520029637961659297e-02,-1.627666054225691106e+00,-1.749359889083138109e+00
4.080816163232646177e-01,2.653359429103474110e+00,-1.154294650148890655e+00,6.892215145883576199e-02,-1.649360943785212807e+00,-1.589427398815708825e+00
4.140828165633126390e-01,2.643396433337586338e+00,-1.175989380843646792e+00,7.278324205642656974e-02,-1.670956879200784950e+00,-1.667267211221621581e+00
4.200840168033606603e-01,2.633304135391377976e+00,-1.197587460231174461e+00,7.678529955080092007e-02,-1.692452874343762126e+00,-1.616946903687644710e+00
4.260852170434086261e-01,2.623083138012682003e+00,-1.219088009328881395e+00,8.093000637053759938e-02,-1.713847937772305929e+00,-1.714295752677825968e+00
4.320864172834566475e-01,2.612734049923953528e+00,-1.240490148135643622e+00,8.521899581401397306e-02,-1.735141072615053348e+00,-1.772248845375012261e+00
4.380876175235046688e-01,2.602257485853006092e+00,-1.261792995640620640e+00,8.965385177225429492e-02,-1.756331276406041031e+00,-1.732434811466058155e+00
4.440888177635526901e-01,2.591654066533113809e+00,-1.282995669823219220e+00,9.423610872836093999e-02,-1.777417540903377891e+00,-1.781246961550237762e+00
4.500900180036007114e-01,2.580924418710083046e+00,-1.304097287651629022e+00,9.896725173637405115e-02,-1.798398851899199569e+00,-1.861108184997881221e+00
4.560912182436486773e-01,2.570069175276821216e+00,-1.325096965016063333e+00,1.038487161288316196e-01,-1.819274188958165617e+00,-1.863527518030704266e+00
4.620924184836966986e-01,2.559088975295632284e+00,-1.345993816688955125e+00,1.088818875555783439e-01,-1.840042525173854138e+00,-1.751703559299624846e+00
4.680936187237447199e-01,2.547984464031544327e+00,-1.366786956398506003e+00,1.140681016635331502e-01,-1.860702827030463080e+00,-1.842985297264286837e+00
4.740948189637927412e-01,2.536756292972039528e+00,-1.387475496834607247e+00,1.194086440099179219e-01,-1.881254054188250535e+00,-1.860434727436741653e+00
4.800960192038407071e-01,2.525405119827053735e+00,-1.408058549648838031e+00,1.249047500622573609e-01,-1.901695159254013223e+00,-1.915522745170063823e+00
4.860972194438887284e-01,2.513931608547013585e+00,-1.428535225452953306e+00,1.305576051664570914e-01,-1.922025087541140209e+00,-1.956511065729444887e+00
4.920984196839367497e-01,2.502336429508638549e+00,-1.448904633752357896e+00,1.363683442793906520e-01,-1.942242776757433065e+00,-1.897659985978886299e+00
4.980996199239847710e-01,2.490620259496931777e+00,-1.469165882924676314e+00,1.423380520249294678e-01,-1.962347156725793296e+00,-1.967578479359477939e+00
5.041008201640327924e-01,2.478783781776104256e+00,-1.489318080305712000e+00,1.484677624542695140e-01,-1.982337149203365678e+00,-2.020292554790762196e+00
5.101020204040808137e-01,2.466827686110415474e+00,-1.509360332195632148e+00,1.547584589993065141e-01,-2.002211667609851808e+00,-2.008918093577329422e+00
5.161032206441288350e-01,2.454752668764172974e+00,-1.529291743858966157e+00,1.612110744726360789e-01,-2.021969616738536590e+00,-2.067249917574654372e+00
5.221044208841767453e-01,2.442559432510525319e+00,-1.549111419524488387e+00,1.678264910598428472e-01,-2.041609892456130115e+00,-2.032107600526574576e+00
5.281056211242247667e-01,2.430248686852740203e+00,-1.568818462339143904e+00,1.746055401214803571e-01,-2.061131381348328073e+00,-2.004669999844876038e+00
5.341068213642727880e-01,2.417821148020641520e+00,-1.588411974313636454e+00,1.815490021801987874e-01,-2.080532960342065252e+00,-2.122337218649227530e+00
5.401080216043208093e-01,2.405277539048698898e+00,-1.607891056415983622e+00,1.886576068474717649e-01,-2.099813496464721041e+00,-2.028386296206182049e+00
5.461092218443688306e-01,2.392618589830584064e+00,-1.627254808585399948e+00,1.959320327759579428e-01,-2.118971846510760315e+00,-2.152352843943833083e+00
5.521104220844168520e-01,2.379845037119170392e+00,-1.646502329732297820e+00,2.033729076595009455e-01,-2.138006856680620960e+00,-2.130336248544423938e+00
5.581116223244648733e-01,2.366957624526532022e+00,-1.665632717738286583e+00,2.109808082331294798e-01,-2.156917362206129951e+00,-2.198736688471339296e+00
5.641128225645128946e-01,2.353957102648060573e+00,-1.684645069436539799e+00,2.187562602394600708e-01,-2.175702186944613814e+00,-2.186813945262330527e+00
5.701140228045609160e-01,2.340844229310929947e+00,-1.703538480518752563e+00,2.266997382554759854e-01,-2.194360142887925136e+00,-2.191989922263218649e+00
5.761152230446089373e-01,2.327619769463930233e+00,-1.722312045588524132e+00,2.348116657519428163e-01,-2.212890029797257796e+00,-2.234624277105929036e+00
5.821164232846568476e-01,2.314284495379716144e+00,-1.740964858188059683e+00,2.430924151327106264e-01,-2.231290634801943007e+00,-2.266435029580568195e+00
5.881176235247048689e-01,2.300839186661101987e+00,-1.759496010797972021e+00,2.515423077343721947e-01,-2.249560731952690240e+00,-2.283455041485873416e+00
5.941188237647528902e-01,2.287284630241061656e+00,-1.777904594837280472e+00,2.601616138262621281e-01,-2.267699081759156687e+00,-2.308757079221699815e+00
6.001200240048009116e-01,2.273621620383015518e+00,-1.796189700663343380e+00,2.689505526105713251e-01,-2.285704430711311463e+00,-2.364208430357532809e+00
6.061212242448489329e-01,2.259850958990449854e+00,-1.814350417485971700e+00,2.779092922595364779e-01,-2.303575510705055507e+00,-2.316723991258928361e+00
6.121224244848969542e-01,2.245973455685677411e+00,-1.832385833316490631e+00,2.870379496851460654e-01,-2.321311038481936428e+00,-2.301253128001429449e+00
6.181236247249449756e-01,2.231989927823196496e+00,-1.850295035007350153e+00,2.963365907397632615e-01,-2.338909715141081591e+00,-2.293489618886443981e+00
6.241248249649929969e-01,2.217901200713328080e+00,-1.868077108211582127e+00,3.058052303719765996e-01,-2.356370225558447551e+00,-2.324015089131142187e+00
6.301260252050410182e-01,2.203708107622214474e+00,-1.885731137382800959e+00,3.154438326266001957e-01,-2.373691237824409939e+00,-2.250824411707288863e+00
6.361272254450889285e-01,2.189411489771817987e+00,-1.903256205775202492e+00,3.252523106446735257e-01,-2.390871402663391265e+00,-2.374937320909499050e+00
6.421284256851369499e-01,2.175012196339923598e+00,-1.920651395443566667e+00,3.352305266634618697e-01,-2.407909352835281069e+00,-2.430726047531881928e+00
6.481296259251849712e-01,2.160511084845478269e+00,-1.937915787082756802e+00,3.453782921783413729e-01,-2.424803702367890335e+00,-2.331221970517086906e+00
6.541308261652329925e-01,2.145909021291823926e+00,-1.955048459986320930e+00,3.556953676467618508e-01,-2.441553045885164863e+00,-2.493913950564869086e+00
6.601320264052810138e-01,2.131206880093795775e+00,-1.972048492080196391e+00,3.661814627093772367e-01,-2.458155957986633666e+00,-2.409732077510522874e+00
6.661332266453290352e-01,2.116405544461043675e+00,-1.988914959757412060e+00,3.768362365742533582e-01,-2.474610992421725886e+00,-2.522368230907960029e+00
6.721344268853770565e-01,2.101505906398261292e+00,-2.005646937877989089e+00,3.876592980170315839e-01,-2.490916681401365462e+00,-2.473211098521290285e+00
6.781356271254250778e-01,2.086508866705186094e+00,-2.022243499768941355e+00,3.986502053809287682e-01,-2.507071534891150755e+00,-2.605491372503044190e+00
6.841368273654730991e-01,2.071415334976601130e+00,-2.038703717224275014e+00,4.098084665767371959e-01,-2.523074039886124886e+00,-2.478110354503594515e+00
6.901380276055210095e-01,2.056226229812011308e+00,-2.055026660383222126e+00,4.211335392222021468e-01,-2.538922659552198979e+00,-2.546835040315777121e+00
6.961392278455690308e-01,2.040942479525382769e+00,-2.071211397378232011e+00,4.326248307477153499e-01,-2.554615832136877263e+00,-2.602999905723087704e+00
7.021404280856170521e-01,2.025565021549194711e+00,-2.087256994701629953e+00,4.442816979461778892e-01,-2.570151970541424191e+00,-2.486231018603316301e+00
7.081416283256650734e-01,2.010094803165328958e+00,-2.103162516715245012e+00,4.561034479118866725e-01,-2.585529461061627732e+00,-2.547261726873321752e+00
7.141428285657130948e-01,1.994532781579545277e+00,-2.118927025603992043e+00,4.680893381108438001e-01,-2.600746662537292586e+00,-2.598456270748323860e+00
7.201440288057611161e-01,1.978879923921480710e+00,-2.134549581375869032e+00,4.802385763807565100e-01,-2.615801905530567240e+00,-2.653074074970073415e+00
7.261452290458091374e-01,1.963137207244649352e+00,-2.150029241861957097e+00,4.925503209310375108e-01,-2.630693491489839886e+00,-2.632861620997927421e+00
7.321464292858571588e-01,1.947305618526442128e+00,-2.165365062716422706e+00,5.050236803428046484e-01,-2.645419691900206871e+00,-2.653616130047966593e+00
7.381476295259051801e-01,1.931386155443055364e+00,-2.180556096873673688e+00,5.176577140663423116e-01,-2.659978746910035774e+00,-2.623739922232981137e+00
7.441488297659530904e-01,1.915379826464100210e+00,-2.195601394638806880e+00,5.304514318582076449e-01,-2.674368864557430392e+00,-2.634465105499440796e+00
7.501500300060011117e-01,1.899287650648501025e+00,-2.210500003742942976e+00,5.434037940661444743e-01,-2.688588219940562851e+00,-2.721976038928699548e+00
7.561512302460491330e-01,1.883110658484293820e+00,-2.225250968664054252e+00,5.565137125539347807e-01,-2.702634953690868258e+00,-2.730103481728720638e+00
7.621524304860971544e-01,1.866849891889227564e+00,-2.239853330626512484e+00,5.697800507019272764e-01,-2.716507171088392791e+00,-2.743110437477323416e+00
7.681536307261451757e-01,1.850506404210763289e+00,-2.254306127601085841e+00,5.832016234070371841e-01,-2.730202941175036813e+00,-2.797668803487932010e+00
7.741548309661931970e-01,1.834081260226075649e+00,-2.268608394304941989e+00,5.967771970827462358e-01,-2.743720295867770442e+00,-2.773299040012331407e+00
7.801560312062412184e-01,1.817575536142934656e+00,-2.282759162200894032e+00,6.105054896598508529e-01,-2.757057229073823557e+00,-2.761677632334143428e+00
7.861572314462892397e-01,1.800990320812024814e+00,-2.296757458537294294e+00,6.243851713583397078e-01,-2.770211694914873846e+00,-2.735664097684591844e+00
7.921584316863372610e-01,1.784326715476118208e+00,-2.310602306785227711e+00,6.384148637035338414e-01,-2.783181607291588033e+00,-2.717162632823248991e+00
7.981596319263851713e-01,1.767585833721321276e+00,-2.324292726517794616e+00,6.525931401153438616e-01,-2.795964838912553319e+00,-2.836382132790519872e+00
8.041608321664331926e-01,1.750768802520827672e+00,-2.337827732464536012e+00,6.669185270054260872e-01,-2.808559219577521748e+00,-2.781010392983456647e+00
8.101620324064812140e-01,1.733876762234921598e+00,-2.351206334511431795e+00,6.813895037771801055e-01,-2.820962535378462199e+00,-2.843185376663739383e+00
8.161632326465292353e-01,1.716910866610974473e+00,-2.364427537700900750e+00,6.960045028257507704e-01,-2.833172527928386586e+00,-2.729413139112617070e+00
8.221644328865772566e-01,1.699872282783447375e+00,-2.377490342231802778e+00,7.107619095380274254e-01,-2.845186893623215862e+00,-2.847623070854500948e+00
8.281656331266252780e-01,1.682762191273889263e+00,-2.390393743459436671e+00,7.256600622926436817e-01,-2.857003282942375932e+00,-2.831896934421945122e+00
8.341668333666732993e-01,1.665581786906255024e+00,-2.403136731130422810e+00,7.406972530789515119e-01,-2.868619299090158226e+00,-2.915427406747050032e+00
8.401680336067213206e-01,1.648332279859834548e+00,-2.415718288733470942e+00,7.558717273055854946e-01,-2.880032496825831068e+00,-2.920566970040803234e+00
8.461692338467693419e-01,1.631014894180602415e+00,-2.428137394704171559e+00,7.711816830285868063e-01,-2.891240383040894812e+00,-2.881155617997362750e+00
8.521704340868172523e-01,1.613630869647258548e+00,-2.440393020666810298e+00,7.866252730321452447e-01,-2.902240414667215163e+00,-2.921443137192021311e+00
8.581716343268652736e-01,1.596181461831292170e+00,-2.452484131380968879e+00,8.022006048821429536e-01,-2.913029998254806241e+00,-2.895365568626279362e+00
8.641728345669132949e-01,1.578667942096982468e+00,-2.464409684741527329e+00,8.179057409261528688e-01,-2.923606489684957843e+00,-3.001697695649244935e+00
8.701740348069613162e-01,1.561091597601398817e+00,-2.476168631778662199e+00,8.337386982934397173e-01,-2.933967193978479937e+00,-2.900866945471033187e+00
8.761752350470093376e-01,1.543453731294399445e+00,-2.487759916657847903e+00,8.496974488949597948e-01,-2.944109365208914753e+00,-2.989083383097901336e+00
8.821764352870573589e-01,1.525755662024171455e+00,-2.499182476598913905e+00,8.657799195147434235e-01,-2.954030206459251406e+00,-2.867909036640936549e+00
8.881776355271053802e-01,1.507998726966315761e+00,-2.510435240091592135e+00,8.819839932116302350e-01,-2.963726868410094806e+00,-2.978150230513493479e+00
8.941788357671534015e-01,1.490184279866269446e+00,-2.521517128381756123e+00,8.983075067145276371e-01,-2.973196450993848661e+00,-2.918333199149550694e+00
9.001800360072014229e-01,1.472313692017541475e+00,-2.532427054586153137e+00,9.147482526676611325e-01,-2.982436003058716256e+00,-3.052185169201867332e+00
9.061812362472493332e-01,1.454388353137468837e+00,-2.543163922995764992e+00,9.313039806289190592e-01,-2.991442522392871339e+00,-2.969995210167126753e+00
9.121824364872973545e-01,1.436409671367215424e+00,-2.553726629075807608e+00,9.479723970698537006e-01,-3.000212956551182142e+00,-3.044614439090911340e+00
9.181836367273453758e-01,1.418379073271773816e+00,-2.564114059465731010e+00,9.647511653756795091e-01,-3.008744203874514245e+00,-3.033088657308810721e+00
9.241848369673933972e-01,1.400298003839964611e+00,-2.574325091979220215e+00,9.816379058452742168e-01,-3.017033114715572228e+00,-3.015803295606009904e+00
9.301860372074414185e-01,1.382167926484435538e+00,-2.584358595604193010e+00,9.986301956911789457e-01,-3.025076492885542478e+00,-3.040930241232273623e+00
9.361872374474894398e-01,1.363990323302624263e+00,-2.594213430424850308e+00,1.015725569363169489e+00,-3.032871097288194040e+00,-3.019658316030870093e+00
9.421884376875374612e-01,1.345766697529878320e+00,-2.603888446575578275e+00,1.032921520013731609e+00,-3.040413643102402030e+00,-3.003030871662091705e+00
9.481896379275854825e-01,1.327498571691211549e+00,-2.613382484570700548e+00,1.050215495947972366e+00,-3.047700804134540142e+00,-3.015061697180047240e+00
9.541908381676335038e-01,1.309187488494454099e+00,-2.622694375573208170e+00,1.067604904287562162e+00,-3.054729215697687295e+00,-3.059103289842360240e+00
9.601920384076814141e-01,1.290835011232554841e+00,-2.631822941327002674e+00,1.085087111725401288e+00,-3.061495477408109345e+00,-3.129667002907326800e+00
9.661932386477294354e-01,1.272442723783580476e+00,-2.640766994156894309e+00,1.102659444525621035e+00,-3.067996156317547740e+00,-3.108228461642989160e+00
9.721944388877774568e-01,1.254012230610717538e+00,-2.649525336968604705e+00,1.120319188523582143e+00,-3.074227790372663360e+00,-3.084015600796551571e+00
9.781956391278254781e-01,1.235545156762271723e+00,-2.658096763248763761e+00,1.138063589125875907e+00,-3.080186892215300620e+00,-3.186278190845399649e+00
9.841968393678734994e-01,1.217043147871666342e+00,-2.666480057064912756e+00,1.155889851310323513e+00,-3.085869953336513039e+00,-3.048265923875474126e+00
9.901980396079215208e-01,1.198507870169687406e+00,-2.674673993299433672e+00,1.173795139894138861e+00,-3.091273448832159598e+00,-3.103255358448611112e+00
9.961992398479695421e-01,1.179941011561421282e+00,-2.682677339830682239e+00,1.191776582111045979e+00,-3.096393844650577432e+00,-3.108959809580921885e+00
1.002200440088017563e+00,1.161344282549657381e+00,-2.690488852828586186e+00,1.209831262277456521e+00,-3.101227598347672920e+00,-3.053808787815818437e+00
1.008201640328065585e+00,1.142719414629760566e+00,-2.698107280949127329e+00,1.227956226415737317e+00,-3.105771168741044086e+00,-3.072375643428573166e+00
1.014202840568113606e+00,1.124068160105849312e+00,-2.705531366738101351e+00,1.246148483839870869e+00,-3.110021023373189752e+00,-3.098970975057063981e+00
1.020204040808161627e+00,1.105392292090797257e+00,-2.712759846631118688e+00,1.264405007155456229e+00,-3.113973645002759749e+00,-3.164040324364433054e+00
1.026205241048209649e+00,1.086693604506231203e+00,-2.719791450953604084e+00,1.282722732259708787e+00,-3.117625538501935356e+00,-3.102104459687615279e+00
1.032206441288257670e+00,1.067973912082532673e+00,-2.726624903920796594e+00,1.301098558341459599e+00,-3.120973238158854635e+00,-3.103664361231018187e+00
1.038207641528305691e+00,1.049235050358837684e+00,-2.733258923637750026e+00,1.319529347881156056e+00,-3.124013315381052536e+00,-3.168251982069414829e+00
1.044208841768353491e+00,1.030478875683036755e+00,-2.739692222099331609e+00,1.338011926650861660e+00,-3.126742386792662920e+00,-3.074576794532891899e+00
1.050210042008401512e+00,1.011707262885799041e+00,-2.745923512355939344e+00,1.356543087438303985e+00,-3.129157129400574000e+00,-3.103762770290245054e+00
1.056211242248449533e+00,9.929221089908127906e-01,-2.751951502767123525e+00,1.375119585808152411e+00,-3.131254284414524136e+00,-3.229735502740335829e+00
1.062212442488497555e+00,9.741253322148899496e-01,-2.757774896329050041e+00,1.393738140585852214e+00,-3.133030665594411790e+00,-3.126933193110897236e+00
1.068213642728545576e+00,9.553188676600493645e-01,-2.763392400593052134e+00,1.412395439753338700e+00,-3.134483177737878101e+00,-3.197718077436555006e+00
1.074214842968593597e+00,9.365046673126430354e-01,-2.768802727667885932e+00,1.431088140450307300e+00,-3.135608826382984660e+00,-3.078793068970141267e+00
1.080216043208641619e+00,9.176847000433551171e-01,-2.774004594219730002e+00,1.449812868974212909e+00,-3.136404727770366829e+00,-3.096053329893237560e+00
1.086217243448689640e+00,8.988609516072026961e-01,-2.778996721472187126e+00,1.468566220780269882e+00,-3.136868119030599811e+00,-3.192047656533766986e+00
1.092218443688737661e+00,8.800354246435353467e-01,-2.783777835206282081e+00,1.487344760481453143e+00,-3.136996368555570847e+00,-3.181240003537948446e+00
1.098219643928785683e+00,8.612101386760355748e-01,-2.788346665760464305e+00,1.506145021848496857e+00,-3.136786986507757558e+00,-3.131694322270559994e+00
1.104220844168833704e+00,8.423871280542308826e-01,-2.792701952332424575e+00,1.524963509748122892e+00,-3.136237639174838776e+00,-3.148178180082763511e+00
1.110222044408881725e+00,8.235684360989450337e-01,-2.796842457604616694e+00,1.543796705338511099e+00,-3.135346172566144229e+00,-3.059086018557480635e+00
