v,E,E_noisy
1.140228045609121763e-02,1.050081420984246172e+00,1.050297830099332419e+00
1.159231846369273775e-02,1.050084157936560514e+00,1.051175323293218389e+00
1.178235647129425787e-02,1.050086940147926695e+00,1.046158187648162707e+00
1.197239447889577799e-02,1.050089767619337033e+00,1.045660275430676300e+00
1.216243248649729811e-02,1.050092640351799389e+00,1.050890978483187688e+00
1.235247049409881823e-02,1.050095558346338720e+00,1.048228559878819466e+00
1.254250850170033835e-02,1.050098521603995527e+00,1.051040544050916514e+00
1.273254650930185847e-02,1.050101530125826965e+00,1.053139608215740486e+00
1.292258451690337859e-02,1.050104583912905509e+00,1.043509434447501771e+00
1.311262252450489871e-02,1.050107682966320732e+00,1.051125235432391225e+00
1.330266053210642056e-02,1.050110827287177750e+00,1.055009415157320607e+00
1.349269853970794068e-02,1.050114016876598111e+00,1.048923909499116291e+00
1.368273654730946080e-02,1.050117251735719126e+00,1.046873993402768876e+00
1.387277455491098092e-02,1.050120531865694984e+00,1.053129507174413337e+00
1.406281256251250104e-02,1.050123857267695193e+00,1.051137643332527682e+00
1.425285057011402116e-02,1.050127227942906361e+00,1.053710760226016507e+00
1.444288857771554128e-02,1.050130643892530191e+00,1.048749781052324970e+00
1.463292658531706140e-02,1.050134105117785488e+00,1.044206832022896547e+00
1.482296459291858153e-02,1.050137611619906819e+00,1.049697568561061889e+00
1.501300260052010165e-02,1.050141163400144517e+00,1.048357850788099510e+00
1.520304060812162350e-02,1.050144760459766236e+00,1.053246055747956600e+00
1.539307861572314362e-02,1.050148402800054281e+00,1.050922934193562863e+00
1.558311662332466374e-02,1.050152090422308726e+00,1.043628693492568260e+00
1.577315463092618386e-02,1.050155823327844073e+00,1.045375171007431270e+00
1.596319263852770398e-02,1.050159601517992591e+00,1.053694757664341619e+00
1.615323064612922410e-02,1.050163424994102090e+00,1.052882485063773466e+00
1.634326865373074422e-02,1.050167293757536147e+00,1.047606320293902105e+00
1.653330666133226434e-02,1.050171207809674545e+00,1.050167012623405505e+00
1.672334466893378446e-02,1.050175167151914613e+00,1.051957461367019286e+00
1.691338267653530458e-02,1.050179171785668109e+00,1.052052789129057198e+00
1.710342068413682470e-02,1.050183221712363890e+00,1.053688190496821386e+00
1.729345869173834482e-02,1.050187316933446580e+00,1.051213259442332904e+00
1.748349669933986494e-02,1.050191457450377674e+00,1.049812144094503630e+00
1.767353470694138506e-02,1.050195643264633771e+00,1.049160251005482491e+00
1.786357271454290518e-02,1.050199874377708564e+00,1.054422845579841672e+00
1.805361072214442530e-02,1.050204150791111513e+00,1.041200733690797353e+00
1.824364872974594542e-02,1.050208472506368729e+00,1.049653851206003408e+00
1.843368673734746901e-02,1.050212839525021646e+00,1.050344839940957842e+00
1.862372474494898913e-02,1.050217251848628575e+00,1.044515856005147736e+00
1.881376275255050926e-02,1.050221709478764032e+00,1.051552963931316143e+00
1.900380076015202938e-02,1.050226212417018079e+00,1.047621088367244546e+00
1.919383876775354950e-02,1.050230760664998098e+00,1.053680539850261111e+00
1.938387677535506962e-02,1.050235354224326345e+00,1.049732985888188974e+00
1.957391478295658974e-02,1.050239993096642177e+00,1.052916606059800086e+00
1.976395279055810986e-02,1.050244677283600936e+00,1.055120051704285800e+00
1.995399079815962998e-02,1.050249406786874173e+00,1.051781125117728033e+00
2.014402880576115010e-02,1.050254181608149207e+00,1.046751297034457906e+00
2.033406681336267022e-02,1.050259001749130006e+00,1.044201727222311415e+00
2.052410482096419034e-02,1.050263867211537194e+00,1.057277403681602612e+00
2.071414282856571046e-02,1.050268777997106495e+00,1.049823609224356469e+00
2.090418083616723058e-02,1.050273734107590506e+00,1.047519474317053279e+00
2.109421884376875070e-02,1.050278735544758257e+00,1.050855763897001527e+00
2.128425685137027082e-02,1.050283782310394542e+00,1.049518136988463857e+00
2.147429485897179094e-02,1.050288874406300144e+00,1.053697443463150973e+00
2.166433286657331106e-02,1.050294011834292718e+00,1.050429724564041045e+00
2.185437087417483118e-02,1.050299194596205909e+00,1.050354192930679664e+00
2.204440888177635130e-02,1.050304422693889350e+00,1.047446103809757556e+00
2.223444688937787142e-02,1.050309696129208881e+00,1.052187968524198824e+00
2.242448489697939501e-02,1.050315014904046995e+00,1.046179548014626981e+00
2.261452290458091513e-02,1.050320379020301731e+00,1.052983936779357643e+00
2.280456091218243525e-02,1.050325788479888223e+00,1.056421538531848725e+00
2.299459891978395537e-02,1.050331243284737370e+00,1.044232499132340841e+00
2.318463692738547549e-02,1.050336743436795617e+00,1.040471826511390363e+00
2.337467493498699561e-02,1.050342288938026725e+00,1.052809803958643986e+00
2.356471294258851573e-02,1.050347879790410222e+00,1.060539471052342808e+00
2.375475095019003585e-02,1.050353515995941622e+00,1.046349816600454119e+00
2.394478895779155597e-02,1.050359197556633761e+00,1.045356414521425803e+00
2.413482696539307609e-02,1.050364924474513906e+00,1.052720800209635765e+00
2.432486497299459621e-02,1.050370696751627086e+00,1.047007810391393789e+00
2.451490298059611633e-02,1.050376514390033655e+00,1.048352412454286675e+00
2.470494098819763645e-02,1.050382377391811062e+00,1.048989907525075926e+00
2.489497899579915657e-02,1.050388285759052076e+00,1.052516294104219208e+00
2.508501700340067669e-02,1.050394239493866344e+00,1.048773030048293808e+00
2.527505501100219681e-02,1.050400238598379499e+00,1.051511769958700215e+00
2.546509301860371693e-02,1.050406283074733604e+00,1.049700150039159396e+00
2.565513102620523705e-02,1.050412372925086713e+00,1.047033688510480287e+00
2.584516903380675718e-02,1.050418508151613306e+00,1.049139203120640351e+00
2.603520704140827730e-02,1.050424688756503633e+00,1.046623090095831987e+00
2.622524504900979742e-02,1.050430914741965482e+00,1.050456974685444411e+00
2.641528305661132101e-02,1.050437186110221299e+00,1.045941721199958652e+00
2.660532106421284113e-02,1.050443502863510847e+00,1.046071925386329982e+00
2.679535907181436125e-02,1.050449865004089878e+00,1.056277712265310864e+00
2.698539707941588137e-02,1.050456272534230351e+00,1.050243535653008875e+00
2.717543508701740149e-02,1.050462725456220436e+00,1.050247117354332183e+00
2.736547309461892161e-02,1.050469223772364513e+00,1.052515369452035054e+00
2.755551110222044173e-02,1.050475767484983391e+00,1.048792339474788005e+00
2.774554910982196185e-02,1.050482356596414313e+00,1.049568215126501780e+00
2.793558711742348197e-02,1.050488991109010728e+00,1.052189586050338299e+00
2.812562512502500209e-02,1.050495671025141631e+00,1.051625334394119315e+00
2.831566313262652221e-02,1.050502396347193113e+00,1.045865209439463372e+00
2.850570114022804233e-02,1.050509167077567474e+00,1.053842537464246165e+00
2.869573914782956245e-02,1.050515983218683003e+00,1.048154243445526879e+00
2.888577715543108257e-02,1.050522844772974418e+00,1.046298528971717712e+00
2.907581516303260269e-02,1.050529751742892648e+00,1.046927851462896353e+00
2.926585317063412281e-02,1.050536704130905052e+00,1.048974522753483685e+00
2.945589117823564293e-02,1.050543701939495200e+00,1.057052902957987373e+00
2.964592918583716305e-02,1.050550745171162870e+00,1.045848601551479851e+00
2.983596719343868317e-02,1.050557833828424048e+00,1.051198137398561494e+00
3.002600520104020329e-02,1.050564967913811598e+00,1.042013670481449328e+00
3.021604320864172341e-02,1.050572147429873704e+00,1.050565879697292981e+00
3.040608121624324700e-02,1.050579372379175647e+00,1.054177638049079713e+00
3.059611922384476712e-02,1.050586642764298695e+00,1.049639989476052859e+00
3.078615723144628724e-02,1.050593958587840548e+00,1.048076538892307230e+00
3.097619523904780736e-02,1.050601319852415116e+00,1.051527364108649332e+00
3.116623324664932748e-02,1.050608726560652739e+00,1.053409333565255235e+00
3.135627125425084760e-02,1.050616178715199522e+00,1.053270808999269059e+00
3.154630926185236772e-02,1.050623676318718891e+00,1.058513571734438052e+00
3.173634726945388784e-02,1.050631219373890035e+00,1.051467889263235200e+00
3.192638527705540796e-02,1.050638807883407688e+00,1.048269167484396025e+00
3.211642328465692808e-02,1.050646441849984347e+00,1.050142525090037804e+00
3.230646129225844820e-02,1.050654121276348274e+00,1.050364127093869060e+00
3.249649929985996832e-02,1.050661846165243496e+00,1.051096795699155928e+00
3.268653730746148844e-02,1.050669616519430694e+00,1.050549505266513028e+00
3.287657531506300856e-02,1.050677432341687423e+00,1.051373296097272148e+00
3.306661332266452868e-02,1.050685293634807005e+00,1.044001893392346503e+00
3.325665133026604880e-02,1.050693200401598748e+00,1.054011716225758954e+00
3.344668933786756893e-02,1.050701152644889724e+00,1.048402195569205553e+00
3.363672734546908905e-02,1.050709150367521660e+00,1.046016515581733586e+00
3.382676535307060917e-02,1.050717193572353159e+00,1.053268198210918882e+00
3.401680336067212929e-02,1.050725282262260141e+00,1.055994586291804538e+00
3.420684136827364941e-02,1.050733416440133405e+00,1.052705529038131083e+00
3.439687937587516953e-02,1.050741596108881071e+00,1.051386233364263179e+00
3.458691738347668965e-02,1.050749821271427242e+00,1.047020940049939508e+00
3.477695539107820977e-02,1.050758091930712457e+00,1.062244361281966532e+00
3.496699339867972989e-02,1.050766408089694126e+00,1.054287442572340083e+00
3.515703140628125001e-02,1.050774769751344540e+00,1.046217591069972697e+00
3.534706941388277013e-02,1.050783176918653972e+00,1.047664625253694970e+00
3.553710742148429025e-02,1.050791629594628018e+00,1.051139546588915730e+00
3.572714542908581037e-02,1.050800127782289373e+00,1.044581203254305368e+00
3.591718343668733049e-02,1.050808671484676493e+00,1.051483193112718650e+00
3.610722144428885061e-02,1.050817260704844713e+00,1.048980974481993567e+00
3.629725945189037073e-02,1.050825895445865577e+00,1.055730977847130436e+00
3.648729745949189085e-02,1.050834575710826613e+00,1.054683194365339638e+00
3.667733546709341791e-02,1.050843301502831562e+00,1.039998159753092510e+00
3.686737347469493803e-02,1.050852072825001926e+00,1.051018883169111184e+00
3.705741148229645815e-02,1.050860889680474086e+00,1.044391019682379351e+00
3.724744948989797827e-02,1.050869752072401964e+00,1.055308304069396019e+00
3.743748749749949839e-02,1.050878660003954801e+00,1.051551083480465998e+00
3.762752550510101851e-02,1.050887613478319160e+00,1.053081235287067097e+00
3.781756351270253863e-02,1.050896612498696925e+00,1.046636113583483629e+00
3.800760152030405875e-02,1.050905657068307519e+00,1.058219378020289536e+00
3.819763952790557887e-02,1.050914747190386578e+00,1.058995040658988307e+00
3.838767753550709899e-02,1.050923882868185499e+00,1.046664798697680698e+00
3.857771554310861911e-02,1.050933064104972336e+00,1.052424324592437621e+00
3.876775355071013923e-02,1.050942290904031795e+00,1.048249081190470999e+00
3.895779155831165935e-02,1.050951563268664790e+00,1.050857283521221763e+00
3.914782956591317947e-02,1.050960881202188668e+00,1.045898333285290471e+00
3.933786757351469959e-02,1.050970244707937429e+00,1.058438826766259888e+00
3.952790558111621971e-02,1.050979653789261281e+00,1.047102935744930630e+00
3.971794358871773983e-02,1.050989108449527087e+00,1.049804773189537022e+00
3.990798159631925995e-02,1.050998608692117253e+00,1.053004540416559331e+00
4.009801960392078007e-02,1.051008154520431725e+00,1.048417911806767133e+00
4.028805761152230019e-02,1.051017745937886660e+00,1.050060496218957473e+00
4.047809561912382031e-02,1.051027382947913980e+00,1.048772823562206025e+00
4.066813362672534043e-02,1.051037065553963146e+00,1.050503222534618031e+00
4.085817163432686056e-02,1.051046793759498721e+00,1.046364623219097512e+00
4.104820964192838068e-02,1.051056567568002809e+00,1.049304615265593599e+00
4.123824764952990080e-02,1.051066386982973500e+00,1.050238815284124438e+00
4.142828565713142092e-02,1.051076252007925316e+00,1.049741347992708684e+00
4.161832366473294104e-02,1.051086162646389432e+00,1.051312922465964528e+00
4.180836167233446116e-02,1.051096118901913234e+00,1.049923710024486256e+00
4.199839967993598128e-02,1.051106120778060982e+00,1.054118966411818459e+00
4.218843768753750140e-02,1.051116168278412699e+00,1.049823384575269358e+00
4.237847569513902152e-02,1.051126261406565732e+00,1.050579663021382171e+00
4.256851370274054164e-02,1.051136400166133189e+00,1.048477274822149807e+00
4.275855171034206176e-02,1.051146584560745056e+00,1.049040525200284124e+00
4.294858971794358188e-02,1.051156814594047750e+00,1.046098843430768977e+00
4.313862772554510200e-02,1.051167090269703674e+00,1.053242229953215592e+00
4.332866573314662212e-02,1.051177411591392552e+00,1.046607339520782665e+00
4.351870374074814224e-02,1.051187778562809649e+00,1.048204352970056430e+00
4.370874174834966236e-02,1.051198191187667996e+00,1.052635169795712811e+00
4.389877975595118248e-02,1.051208649469695722e+00,1.052818942933473778e+00
4.408881776355270260e-02,1.051219153412638496e+00,1.049618694408618103e+00
4.427885577115422272e-02,1.051229703020257311e+00,1.043152639778302193e+00
4.446889377875574284e-02,1.051240298296331588e+00,1.052922351445513938e+00
4.465893178635726990e-02,1.051250939244655180e+00,1.052289193080223395e+00
4.484896979395879002e-02,1.051261625869039484e+00,1.045612101007152406e+00
4.503900780156031014e-02,1.051272358173312549e+00,1.054353646504490483e+00
4.522904580916183026e-02,1.051283136161318410e+00,1.048478736959584712e+00
4.541908381676335038e-02,1.051293959836918201e+00,1.046789207372305075e+00
4.560912182436487050e-02,1.051304829203988822e+00,1.051687752047845814e+00
4.579915983196639062e-02,1.051315744266424490e+00,1.050601862540827547e+00
4.598919783956791074e-02,1.051326705028135633e+00,1.052137201032100178e+00
4.617923584716943086e-02,1.051337711493048444e+00,1.044914719259750768e+00
4.636927385477095098e-02,1.051348763665107322e+00,1.058597684130196726e+00
4.655931186237247110e-02,1.051359861548271546e+00,1.048949227090096636e+00
4.674934986997399122e-02,1.051371005146518156e+00,1.045212367912532470e+00
4.693938787757551134e-02,1.051382194463839737e+00,1.053857563218108417e+00
4.712942588517703146e-02,1.051393429504246413e+00,1.049974212983841637e+00
4.731946389277855158e-02,1.051404710271764076e+00,1.052704144214855697e+00
4.750950190038007170e-02,1.051416036770435491e+00,1.050057603047935384e+00
4.769953990798159182e-02,1.051427409004319857e+00,1.051188447562400263e+00
4.788957791558311194e-02,1.051438826977493246e+00,1.052421918352447694e+00
4.807961592318463206e-02,1.051450290694047718e+00,1.048463679158116113e+00
4.826965393078615219e-02,1.051461800158092652e+00,1.054176758541530923e+00
4.845969193838767231e-02,1.051473355373753416e+00,1.049593754977435234e+00
4.864972994598919243e-02,1.051484956345172250e+00,1.048006207768490405e+00
4.883976795359071255e-02,1.051496603076508052e+00,1.051804732763798045e+00
4.902980596119223267e-02,1.051508295571935481e+00,1.053288460685899652e+00
4.921984396879375279e-02,1.051520033835646739e+00,1.050603716469172166e+00
4.940988197639527291e-02,1.051531817871850905e+00,1.048081738723532608e+00
4.959991998399679303e-02,1.051543647684772376e+00,1.054022789950006977e+00
4.978995799159831315e-02,1.051555523278652649e+00,1.044514208110161491e+00
4.997999599919983327e-02,1.051567444657750761e+00,1.047443988113608615e+00
5.017003400680135339e-02,1.051579411826341071e+00,1.051737503388474604e+00
5.036007201440287351e-02,1.051591424788715035e+00,1.046147187195494821e+00
5.055011002200439363e-02,1.051603483549180984e+00,1.051715460606177599e+00
5.074014802960591375e-02,1.051615588112063682e+00,1.051396135639989904e+00
5.093018603720743387e-02,1.051627738481704544e+00,1.055222697637137275e+00
5.112022404480895399e-02,1.051639934662461195e+00,1.047980773255207998e+00
5.131026205241047411e-02,1.051652176658708360e+00,1.049148550564141802e+00
5.150030006001199423e-02,1.051664464474837413e+00,1.052997191213641326e+00
5.169033806761351435e-02,1.051676798115255940e+00,1.041846543754432641e+00
5.188037607521503447e-02,1.051689177584388846e+00,1.064089346780047185e+00
5.207041408281655459e-02,1.051701602886677245e+00,1.048906999964830167e+00
5.226045209041807471e-02,1.051714074026578905e+00,1.048794733815676672e+00
5.245049009801959483e-02,1.051726591008567580e+00,1.055171101052182481e+00
5.264052810562111495e-02,1.051739153837135454e+00,1.051579826471392698e+00
5.283056611322264201e-02,1.051751762516789590e+00,1.044634048041975127e+00
5.302060412082416213e-02,1.051764417052054812e+00,1.054272126572425305e+00
5.321064212842568225e-02,1.051777117447471932e+00,1.055198628783468706e+00
5.340068013602720237e-02,1.051789863707598638e+00,1.049990078613694866e+00
5.359071814362872249e-02,1.051802655837010159e+00,1.050676254403842158e+00
5.378075615123024261e-02,1.051815493840296378e+00,1.053759432229333992e+00
5.397079415883176273e-02,1.051828377722066055e+00,1.048193256722408151e+00
5.416083216643328285e-02,1.051841307486943489e+00,1.053594861743771149e+00
5.435087017403480297e-02,1.051854283139569635e+00,1.052651477181347550e+00
5.454090818163632309e-02,1.051867304684602766e+00,1.049167574221499200e+00
5.473094618923784321e-02,1.051880372126716923e+00,1.046311964631469582e+00
5.492098419683936333e-02,1.051893485470603906e+00,1.050991062147559552e+00
5.511102220444088345e-02,1.051906644720971507e+00,1.048404955687930906e+00
5.530106021204240357e-02,1.051919849882544167e+00,1.055925490785264875e+00
5.549109821964392369e-02,1.051933100960063872e+00,1.052509442434063525e+00
5.568113622724544381e-02,1.051946397958288149e+00,1.055074736048527750e+00
5.587117423484696394e-02,1.051959740881992511e+00,1.052498228623370391e+00
5.606121224244848406e-02,1.051973129735968016e+00,1.053024734204308199e+00
5.625125025005000418e-02,1.051986564525023482e+00,1.048854568856101954e+00
5.644128825765152430e-02,1.052000045253983496e+00,1.054672234960272181e+00
5.663132626525304442e-02,1.052013571927690183e+00,1.059152365024918385e+00
5.682136427285456454e-02,1.052027144551001658e+00,1.050788394328931563e+00
5.701140228045608466e-02,1.052040763128793577e+00,1.049669665017936904e+00
5.720144028805760478e-02,1.052054427665958247e+00,1.051423080857196934e+00
5.739147829565912490e-02,1.052068138167403966e+00,1.050143017032999504e+00
5.758151630326064502e-02,1.052081894638056792e+00,1.049275977443442587e+00
5.777155431086216514e-02,1.052095697082858550e+00,1.052648471658731211e+00
5.796159231846368526e-02,1.052109545506768384e+00,1.050945875374567962e+00
5.815163032606520538e-02,1.052123439914762759e+00,1.057878934290133355e+00
5.834166833366672550e-02,1.052137380311834125e+00,1.052138186883654569e+00
5.853170634126824562e-02,1.052151366702991586e+00,1.053447014613517307e+00
5.872174434886976574e-02,1.052165399093261344e+00,1.055973486565260577e+00
5.891178235647128586e-02,1.052179477487686921e+00,1.050976454077668709e+00
5.910182036407280598e-02,1.052193601891328045e+00,1.057940548051683693e+00
5.929185837167432610e-02,1.052207772309260880e+00,1.049676995459180473e+00
5.948189637927584622e-02,1.052221988746579573e+00,1.048988677939035163e+00
5.967193438687736634e-02,1.052236251208393591e+00,1.050771183132992670e+00
5.986197239447888646e-02,1.052250559699830612e+00,1.051791690131962165e+00
6.005201040208040658e-02,1.052264914226034076e+00,1.046659641425637943e+00
6.024204840968192670e-02,1.052279314792164966e+00,1.052138935655649643e+00
6.043208641728344682e-02,1.052293761403400696e+00,1.045623815041643034e+00
6.062212442488496694e-02,1.052308254064935777e+00,1.057876807667117669e+00
6.081216243248649400e-02,1.052322792781981375e+00,1.051998804976350677e+00
6.100220044008801412e-02,1.052337377559765530e+00,1.049769546660981545e+00
6.119223844768953424e-02,1.052352008403532713e+00,1.048718655930398480e+00
6.138227645529105436e-02,1.052366685318545381e+00,1.050828963421712503e+00
6.157231446289257448e-02,1.052381408310081534e+00,1.051489090436359852e+00
6.176235247049409460e-02,1.052396177383437159e+00,1.048218133520991691e+00
6.195239047809561472e-02,1.052410992543923784e+00,1.048731812168632427e+00
6.214242848569713484e-02,1.052425853796871591e+00,1.051677153776625406e+00
6.233246649329865496e-02,1.052440761147625858e+00,1.050357626156443347e+00
6.252250450090017508e-02,1.052455714601549852e+00,1.056212567016263204e+00
6.271254250850169520e-02,1.052470714164023269e+00,1.057022195661005304e+00
6.290258051610321532e-02,1.052485759840443125e+00,1.052549844654842692e+00
6.309261852370473544e-02,1.052500851636222867e+00,1.054395249924440892e+00
6.328265653130625557e-02,1.052515989556793041e+00,1.047175236062292569e+00
6.347269453890777569e-02,1.052531173607600845e+00,1.055080844445331234e+00
6.366273254650929581e-02,1.052546403794110796e+00,1.052424069916057636e+00
6.385277055411081593e-02,1.052561680121803844e+00,1.054500353385607214e+00
6.404280856171233605e-02,1.052577002596178701e+00,1.058978427122553301e+00
6.423284656931385617e-02,1.052592371222750067e+00,1.043468940197372685e+00
6.442288457691537629e-02,1.052607786007049517e+00,1.053651578723263205e+00
6.461292258451689641e-02,1.052623246954626612e+00,1.048226770701955246e+00
6.480296059211841653e-02,1.052638754071047344e+00,1.055007540836665259e+00
6.499299859971993665e-02,1.052654307361893915e+00,1.047401053612180055e+00
6.518303660732145677e-02,1.052669906832766289e+00,1.050688308564750262e+00
6.537307461492297689e-02,1.052685552489281307e+00,1.053496487512322721e+00
6.556311262252449701e-02,1.052701244337072684e+00,1.055155281882814267e+00
6.575315063012601713e-02,1.052716982381790567e+00,1.053016158739136898e+00
6.594318863772753725e-02,1.052732766629103089e+00,1.049561442873151895e+00
6.613322664532905737e-02,1.052748597084694593e+00,1.050534468213832895e+00
6.632326465293057749e-02,1.052764473754266072e+00,1.056302485319263518e+00
6.651330266053209761e-02,1.052780396643537175e+00,1.052758398180791088e+00
6.670334066813361773e-02,1.052796365758242425e+00,1.046061108170878162e+00
6.689337867573513785e-02,1.052812381104134554e+00,1.056187031937213305e+00
6.708341668333665797e-02,1.052828442686983390e+00,1.054493436605837386e+00
6.727345469093817809e-02,1.052844550512574973e+00,1.056338212693582745e+00
6.746349269853969821e-02,1.052860704586713325e+00,1.051514194721206552e+00
6.765353070614121833e-02,1.052876904915218015e+00,1.056189530988924430e+00
6.784356871374273845e-02,1.052893151503927260e+00,1.048648891823920515e+00
6.803360672134425857e-02,1.052909444358695712e+00,1.055189443602157606e+00
6.822364472894577869e-02,1.052925783485394229e+00,1.050964262246881997e+00
6.841368273654729881e-02,1.052942168889912322e+00,1.055639575709592881e+00
6.860372074414881893e-02,1.052958600578154824e+00,1.056981177043820441e+00
6.879375875175033905e-02,1.052975078556044775e+00,1.050031117948010628e+00
6.898379675935185917e-02,1.052991602829521867e+00,1.052786684911526827e+00
6.917383476695337929e-02,1.053008173404542891e+00,1.053163991910366803e+00
6.936387277455489941e-02,1.053024790287081736e+00,1.057783449558444167e+00
6.955391078215641953e-02,1.053041453483128942e+00,1.055883685848608033e+00
6.974394878975793965e-02,1.053058162998692371e+00,1.048181052822650505e+00
6.993398679735945977e-02,1.053074918839797869e+00,1.054905351882632125e+00
7.012402480496097990e-02,1.053091721012486826e+00,1.056072077850003454e+00
7.031406281256250002e-02,1.053108569522818616e+00,1.061603793106529636e+00
7.050410082016402014e-02,1.053125464376869935e+00,1.046408867989853109e+00
7.069413882776554026e-02,1.053142405580733243e+00,1.050996996380997306e+00
7.088417683536706038e-02,1.053159393140519651e+00,1.058492877892869055e+00
7.107421484296858050e-02,1.053176427062356701e+00,1.047756145867929867e+00
7.126425285057010062e-02,1.053193507352389258e+00,1.048395665016690348e+00
7.145429085817162074e-02,1.053210634016778613e+00,1.055278962798299913e+00
7.164432886577314086e-02,1.053227807061703825e+00,1.057301441705218892e+00
7.183436687337466098e-02,1.053245026493361269e+00,1.050570304543859024e+00
7.202440488097618110e-02,1.053262292317963755e+00,1.055422801007132039e+00
7.221444288857770122e-02,1.053279604541742076e+00,1.053747425619461886e+00
7.240448089617922134e-02,1.053296963170943235e+00,1.059371959307018107e+00
7.259451890378074146e-02,1.053314368211831775e+00,1.053308294452996785e+00
7.278455691138226158e-02,1.053331819670690006e+00,1.057292808918562255e+00
7.297459491898378170e-02,1.053349317553816666e+00,1.049736846116559708e+00
7.316463292658531570e-02,1.053366861867527593e+00,1.052627346469679592e+00
7.335467093418683582e-02,1.053384452618156164e+00,1.052997634803108928e+00
7.354470894178835594e-02,1.053402089812053077e+00,1.057958521601993995e+00
