t,T1,T2,T_bridge,dT1_dt,dT1_dt_noisy
7.081416283256650734e-01,3.815638262966418210e+02,2.916736536641274711e+02,3.397057509706120300e+02,-2.218386016598021726e+01,-2.221525011317690357e+01
7.201440288057611161e-01,3.812982679065746652e+02,2.918438161173612571e+02,3.396973403832137137e+02,-2.206714708526459745e+01,-2.206173685738744439e+01
7.321464292858571588e-01,3.810341066085387638e+02,2.920131444817288866e+02,3.396888361400402800e+02,-2.195105809928189089e+01,-2.192377896536544668e+01
7.441488297659530904e-01,3.807713349271801917e+02,2.921816427993680918e+02,3.396802391417584772e+02,-2.183558956661225636e+01,-2.193380837910635250e+01
7.561512302460491330e-01,3.805099454311997533e+02,2.923493150917706771e+02,3.396715502827008777e+02,-2.172073787097798458e+01,-2.183147517569450358e+01
7.681536307261451757e-01,3.802499307333529259e+02,2.925161653597819509e+02,3.396627704508658212e+02,-2.160649942116372557e+01,-2.158654096787901722e+01
7.801560312062412184e-01,3.799912834904499732e+02,2.926821975836011234e+02,3.396539005279175854e+02,-2.149287065093756155e+01,-2.153954561262554179e+01
7.921584316863372610e-01,3.797339964033559454e+02,2.928474157227811929e+02,3.396449413891862150e+02,-2.137984801897315990e+01,-2.135629745780013877e+01
8.041608321664331926e-01,3.794780622169903950e+02,2.930118237162287755e+02,3.396358939036675224e+02,-2.126742800877293860e+01,-2.119147605652510080e+01
8.161632326465292353e-01,3.792234737203279451e+02,2.931754254822045027e+02,3.396267589340232576e+02,-2.115560712859225845e+01,-2.132048586522735434e+01
8.281656331266252780e-01,3.789702237463976644e+02,2.933382249183225667e+02,3.396175373365808241e+02,-2.104438191136454606e+01,-2.101894309971278574e+01
8.401680336067213206e-01,3.787183051722835216e+02,2.935002259015510049e+02,3.396082299613335636e+02,-2.093374891462746490e+01,-2.081128421787389016e+01
8.521704340868172523e-01,3.784677108896659092e+02,2.936614322997713771e+02,3.395988376560422921e+02,-2.082370470890023029e+01,-2.085345739333727622e+01
8.641728345669132949e-01,3.782184338161382584e+02,2.938218479654490807e+02,3.395893612643750998e+02,-2.071424588249149323e+01,-2.079532734081525192e+01
8.761752350470093376e-01,3.779704669690845549e+02,2.939814767071001711e+02,3.395798016156988410e+02,-2.060536907028470921e+01,-2.053014468756675015e+01
8.881776355271053802e-01,3.777238034037613943e+02,2.941403223150988993e+02,3.395701595339320420e+02,-2.049707092903835814e+01,-2.047172627741754525e+01
9.001800360072014229e-01,3.774784362118872991e+02,2.942983885622485900e+02,3.395604358377442509e+02,-2.038934813676193869e+01,-2.029975982968418435e+01
9.121824364872973545e-01,3.772343585216425481e+02,2.944556792037816990e+02,3.395506313405557535e+02,-2.028219739264980603e+01,-2.031671896365493524e+01
9.241848369673933972e-01,3.769915634976691194e+02,2.946121979773599833e+02,3.395407468505378006e+02,-2.017561541701591921e+01,-2.032379724438813895e+01
9.361872374474894398e-01,3.767500443410710318e+02,2.947679486030743305e+02,3.395307831706124375e+02,-2.006959895122951210e+01,-2.008060002770063690e+01
9.481896379275854825e-01,3.765097942894138896e+02,2.949229347834448163e+02,3.395207410984526177e+02,-1.996414475765131158e+01,-2.000872757295243431e+01
9.601920384076814141e-01,3.762708066167252241e+02,2.950771602034205898e+02,3.395106214264821460e+02,-1.985924961957080015e+01,-1.978171723736604193e+01
9.721944388877774568e-01,3.760330746334943228e+02,2.952306285303801587e+02,3.395004249418756785e+02,-1.975491034114403632e+01,-1.973554705630632000e+01
9.841968393678734994e-01,3.757965916866723433e+02,2.953833434141311614e+02,3.394901524265588364e+02,-1.965112374733239875e+01,-1.981420867057590840e+01
9.961992398479695421e-01,3.755613511596721423e+02,2.955353084869103100e+02,3.394798046572080352e+02,-1.954788668384205153e+01,-1.966740299185237006e+01
1.008201640328065585e+00,3.753273464723684469e+02,2.956865273633835614e+02,3.394693824052504851e+02,-1.944519601706414136e+01,-1.935681711340541611e+01
1.020204040808161627e+00,3.750945710810978539e+02,2.958370036406461168e+02,3.394588864368644181e+02,-1.934304863401575858e+01,-1.927507213227397287e+01
1.032206441288257670e+00,3.748630184786586597e+02,2.959867408982222514e+02,3.394483175129788606e+02,-1.924144144228164421e+01,-1.930546577887249171e+01
1.044208841768353491e+00,3.746326821943110303e+02,2.961357426980654850e+02,3.394376763892737472e+02,-1.914037136995663246e+01,-1.914047624961336069e+01
1.056211242248449533e+00,3.744035557937768885e+02,2.962840125845585248e+02,3.394269638161798071e+02,-1.903983536558880019e+01,-1.899527801021118023e+01
1.068213642728545576e+00,3.741756328792399700e+02,2.964315540845132091e+02,3.394161805388786775e+02,-1.893983039812337665e+01,-1.889298996453864987e+01
1.080216043208641619e+00,3.739489070893458802e+02,2.965783707071705635e+02,3.394053272973028470e+02,-1.884035345684733898e+01,-1.875272923723590424e+01
1.092218443688737661e+00,3.737233720992019812e+02,2.967244659442008583e+02,3.393944048261357693e+02,-1.874140155133467189e+01,-1.871575298861251468e+01
1.104220844168833704e+00,3.734990216203774480e+02,2.968698432697034946e+02,3.393834138548116925e+02,-1.864297171139240206e+01,-1.865245454528925251e+01
1.116223244648929747e+00,3.732758494009032688e+02,2.970145061402070610e+02,3.393723551075157161e+02,-1.854506098700728955e+01,-1.857094579348607510e+01
1.128225645129025789e+00,3.730538492252721881e+02,2.971584579946693339e+02,3.393612293031837908e+02,-1.844766644829314473e+01,-1.834209216823981947e+01
1.140228045609121832e+00,3.728330149144388770e+02,2.973017022544771635e+02,3.393500371555028323e+02,-1.835078518543895854e+01,-1.857587061294681163e+01
1.152230446089217875e+00,3.726133403258197063e+02,2.974442423234468151e+02,3.393387793729105510e+02,-1.825441430865749481e+01,-1.826827984116662762e+01
1.164232846569313695e+00,3.723948193532928599e+02,2.975860815878235144e+02,3.393274566585955654e+02,-1.815855094813475290e+01,-1.815525093773634779e+01
1.176235247049409738e+00,3.721774459271983915e+02,2.977272234162817313e+02,3.393160697104973451e+02,-1.806319225397996320e+01,-1.820572715006698061e+01
1.188237647529505780e+00,3.719612139822492622e+02,2.978676711730015541e+02,3.393046192257962730e+02,-1.796833538352715465e+01,-1.793505402221335032e+01
1.200240048009601823e+00,3.717461174877777239e+02,2.980074282034975681e+02,3.392931058964330191e+02,-1.787397751363874931e+01,-1.793910561488308986e+01
1.212242448489697866e+00,3.715321504924029909e+02,2.981464978171929943e+02,3.392815304029721233e+02,-1.778011585808306450e+01,-1.769387137845149027e+01
1.224244848969793908e+00,3.713193070751064511e+02,2.982848833085124625e+02,3.392698934216068665e+02,-1.768674764793270526e+01,-1.769930685633613621e+01
1.236247249449889951e+00,3.711075813450194687e+02,2.984225879569709718e+02,3.392581956241890566e+02,-1.759387013143452094e+01,-1.752695480735557609e+01
1.248249649929985994e+00,3.708969674414234987e+02,2.985596150271741180e+02,3.392464376782294835e+02,-1.750148057396431511e+01,-1.737959621344719352e+01
1.260252050410082036e+00,3.706874595337499727e+02,2.986959677688178090e+02,3.392346202468974639e+02,-1.740957625798212760e+01,-1.737128329971077889e+01
1.272254450890177857e+00,3.704790518215803559e+02,2.988316494166885491e+02,3.392227439890211258e+02,-1.731815448298796056e+01,-1.740572659733024352e+01
1.284256851370273900e+00,3.702717385346461469e+02,2.989666631906633256e+02,3.392108095590872949e+02,-1.722721256547806234e+01,-1.737864442864852776e+01
1.296259251850369942e+00,3.700655139328288215e+02,2.991010122957094381e+02,3.391988176072416081e+02,-1.713674783890176201e+01,-1.696140942715012301e+01
1.308261652330465985e+00,3.698603723061599453e+02,2.992346999218848964e+02,3.391867687792882862e+02,-1.704675765361864848e+01,-1.705788687293739869e+01
1.320264052810562028e+00,3.696563079748210612e+02,2.993677292443379656e+02,3.391746637166904748e+02,-1.695723937685644245e+01,-1.702609587161987292e+01
1.332266453290658070e+00,3.694533152891436316e+02,2.995001034233075643e+02,3.391625030565698466e+02,-1.686819039266912412e+01,-1.685376468386304083e+01
1.344268853770754113e+00,3.692513886296092664e+02,2.996318256041229233e+02,3.391502874317069995e+02,-1.677960810189581053e+01,-1.679874923494407568e+01
1.356271254250850156e+00,3.690505224068496091e+02,2.997628989172038700e+02,3.391380174705410582e+02,-1.669148992211988869e+01,-1.660627569569862061e+01
1.368273654730946198e+00,3.688507110616462228e+02,2.998933264780606009e+02,3.391256937971700154e+02,-1.660383328762867094e+01,-1.660044046938496010e+01
1.380276055211042019e+00,3.686519490649307613e+02,3.000231113872939090e+02,3.391133170313505616e+02,-1.651663564937352646e+01,-1.651526069101168304e+01
1.392278455691138062e+00,3.684542309177848551e+02,3.001522567305949565e+02,3.391008877884980848e+02,-1.642989447493050648e+01,-1.650135244703380266e+01
1.404280856171234104e+00,3.682575511514401114e+02,3.002807655787454451e+02,3.390884066796867842e+02,-1.634360724846131419e+01,-1.629665043858656404e+01
1.416283256651330147e+00,3.680619043272782278e+02,3.004086409876175594e+02,3.390758743116494998e+02,-1.625777147067483597e+01,-1.636115814291033388e+01
1.428285657131426190e+00,3.678672850368309923e+02,3.005358859981737965e+02,3.390632912867778828e+02,-1.617238465878905984e+01,-1.610579571481266470e+01
1.440288057611522232e+00,3.676736879017799993e+02,3.006625036364673633e+02,3.390506582031221683e+02,-1.608744434649328525e+01,-1.593505059519427292e+01
1.452290458091618275e+00,3.674811075739569901e+02,3.007884969136418363e+02,3.390379756543915164e+02,-1.600294808391099366e+01,-1.615541668772090844e+01
1.464292858571714318e+00,3.672895387353437968e+02,3.009138688259311607e+02,3.390252442299536142e+02,-1.591889343756304420e+01,-1.616551636069817732e+01
1.476295259051810360e+00,3.670989760980721144e+02,3.010386223546598785e+02,3.390124645148351306e+02,-1.583527799033111094e+01,-1.577359011481567919e+01
1.488297659531906181e+00,3.669094144044237851e+02,3.011627604662430713e+02,3.389996370897212046e+02,-1.575209934142177204e+01,-1.549730955987345915e+01
1.500300060012002223e+00,3.667208484268305142e+02,3.012862861121860760e+02,3.389867625309558434e+02,-1.566935510633085471e+01,-1.576944759121804474e+01
1.512302460492098266e+00,3.665332729678742112e+02,3.014092022290849400e+02,3.389738414105417519e+02,-1.558704291680819054e+01,-1.571211249268838905e+01
1.524304860972194309e+00,3.663466828573303360e+02,3.015315117399060227e+02,3.389608742965571082e+02,-1.550516041964219482e+01,-1.544626352626414700e+01
1.536307261452290351e+00,3.661610729138064357e+02,3.016532175699093727e+02,3.389478617584759945e+02,-1.542370526146536491e+01,-1.550777742047119645e+01
1.548309661932386394e+00,3.659764380243993287e+02,3.017743226112903585e+02,3.389348043558333643e+02,-1.534267512073160589e+01,-1.539327766912527906e+01
1.560312062412482437e+00,3.657927731195375713e+02,3.018948297354529018e+02,3.389217026419534591e+02,-1.526206769731547830e+01,-1.529687944398385646e+01
1.572314462892578479e+00,3.656100731545282656e+02,3.020147418012051048e+02,3.389085571665778502e+02,-1.518188070506222687e+01,-1.512868049643304680e+01
1.584316863372674522e+00,3.654283331095566041e+02,3.021340616547591367e+02,3.388953684758653822e+02,-1.510211187175488590e+01,-1.514264210789419707e+01
1.596319263852770343e+00,3.652475479896859838e+02,3.022527921297314606e+02,3.388821371123920585e+02,-1.502275893908178617e+01,-1.499497065507376981e+01
1.608321664332866385e+00,3.650677128248582903e+02,3.023709360471426635e+02,3.388688636151513833e+02,-1.494381966260444017e+01,-1.496147298849379759e+01
1.620324064812962428e+00,3.648888226698933863e+02,3.024884962154174559e+02,3.388555485195539063e+02,-1.486529181172549841e+01,-1.494975892209065904e+01
1.632326465293058471e+00,3.647108726044896798e+02,3.026054754303846721e+02,3.388421923574276207e+02,-1.478717316965724038e+01,-1.481915579543156269e+01
1.644328865773154513e+00,3.645338577332235559e+02,3.027218764752774973e+02,3.388287956570177357e+02,-1.470946153338998208e+01,-1.480450149990677389e+01
1.656331266253250556e+00,3.643577731855499451e+02,3.028377021207330131e+02,3.388153589429867338e+02,-1.463215471366122777e+01,-1.463150321507425211e+01
1.668333666733346599e+00,3.641826141158018686e+02,3.029529551247927088e+02,3.388018827364143704e+02,-1.455525053492455001e+01,-1.466763715768111354e+01
1.680336067213442641e+00,3.640083757031905520e+02,3.030676382329020271e+02,3.387883675547977873e+02,-1.447874683531911089e+01,-1.458803627224863497e+01
1.692338467693538684e+00,3.638350531518057096e+02,3.031817541779107614e+02,3.387748139120512292e+02,-1.440264146663931655e+01,-1.425694528510879167e+01
1.704340868173634505e+00,3.636626416906150325e+02,3.032953056800726586e+02,3.387612223185063272e+02,-1.432693229430460136e+01,-1.433225071633513537e+01
1.716343268653730547e+00,3.634911365734647575e+02,3.034082954470458731e+02,3.387475932809119854e+02,-1.425161719732962240e+01,-1.425700739987682653e+01
1.728345669133826590e+00,3.633205330790791550e+02,3.035207261738924558e+02,3.387339273024343811e+02,-1.417669406829456236e+01,-1.412554042630280016e+01
1.740348069613922632e+00,3.631508265110608704e+02,3.036326005430788086e+02,3.387202248826569644e+02,-1.410216081331569704e+01,-1.414424651357058416e+01
1.752350470094018675e+00,3.629820121978908105e+02,3.037439212244754572e+02,3.387064865175804584e+02,-1.402801535201618499e+01,-1.405086888876400053e+01
1.764352870574114718e+00,3.628140854929280863e+02,3.038546908753570506e+02,3.386927126996228594e+02,-1.395425561749706844e+01,-1.391174074396387716e+01
1.776355271054210760e+00,3.626470417744100700e+02,3.039649121404024186e+02,3.386789039176194933e+02,-1.388087955630845372e+01,-1.385263797208401293e+01
1.788357671534306803e+00,3.624808764454525658e+02,3.040745876516945145e+02,3.386650606568229591e+02,-1.380788512842100602e+01,-1.392381480111424885e+01
1.800360072014402846e+00,3.623155849340493546e+02,3.041837200287205292e+02,3.386511833989030151e+02,-1.373527030719738562e+01,-1.365193604753041967e+01
1.812362472494498666e+00,3.621511626930727061e+02,3.042923118783717769e+02,3.386372726219468632e+02,-1.366303307936418854e+01,-1.372207657369309253e+01
1.824364872974594709e+00,3.619876052002730376e+02,3.044003657949436956e+02,3.386233288004588644e+02,-1.359117144498386764e+01,-1.369677934001528641e+01
1.836367273454690752e+00,3.618249079582790841e+02,3.045078843601359608e+02,3.386093524053607666e+02,-1.351968341742686164e+01,-1.360973092442676702e+01
1.848369673934786794e+00,3.616630664945978424e+02,3.046148701430523147e+02,3.385953439039915338e+02,-1.344856702334398335e+01,-1.348762155777951577e+01
1.860372074414882837e+00,3.615020763616145132e+02,3.047213257002007936e+02,3.385813037601073461e+02,-1.337782030263881516e+01,-1.321509027717650753e+01
1.872374474894978880e+00,3.613419331365925586e+02,3.048272535754933870e+02,3.385672324338817702e+02,-1.330744130844046680e+01,-1.342499489893254427e+01
1.884376875375074922e+00,3.611826323982518261e+02,3.049326563105933587e+02,3.385531303851853977e+02,-1.323742809767928463e+01,-1.322142050842585093e+01
1.896379275855170965e+00,3.610241697478464289e+02,3.050375364342935427e+02,3.385389980704750883e+02,-1.316777873982021418e+01,-1.338156117562927250e+01
1.908381676335267008e+00,3.608665408461483253e+02,3.051418964466838588e+02,3.385248359376836902e+02,-1.309849133155673151e+01,-1.309864802487125068e+01
1.920384076815362828e+00,3.607097413746710117e+02,3.052457388371418006e+02,3.385106444317571004e+02,-1.302956398102715596e+01,-1.293960733927955609e+01
1.932386477295458871e+00,3.605537670354070769e+02,3.053490660844514082e+02,3.384964239946914404e+02,-1.296099480768191192e+01,-1.298466113988805759e+01
1.944388877775554914e+00,3.603986135508284292e+02,3.054518806568034961e+02,3.384821750655332266e+02,-1.289278194225685148e+01,-1.295571743464518555e+01
1.956391278255650956e+00,3.602442766638861258e+02,3.055541850117953686e+02,3.384678980803789727e+02,-1.282492352674674230e+01,-1.280177242034088891e+01
1.968393678735746999e+00,3.600907521380103731e+02,3.056559815964309337e+02,3.384535934723757009e+02,-1.275741771437875904e+01,-1.268740253926369377e+01
1.980396079215843042e+00,3.599380357571106401e+02,3.057572728471207597e+02,3.384392616717203737e+02,-1.269026266958612048e+01,-1.262389691248437984e+01
1.992398479695939084e+00,3.597861233255754883e+02,3.058580611896820187e+02,3.384249031056605190e+02,-1.262345656798174431e+01,-1.242620918258876550e+01
2.004400880176035127e+00,3.596350106682727983e+02,3.059583490393384295e+02,3.384105181984936053e+02,-1.255699759633210810e+01,-1.253608084909848053e+01
2.016403280656131169e+00,3.594846936305494864e+02,3.060581388007204851e+02,3.383961073715675525e+02,-1.249088395253096628e+01,-1.255012496250625986e+01
2.028405681136227212e+00,3.593351680782318454e+02,3.061574328678650545e+02,3.383816710432804484e+02,-1.242511384557345089e+01,-1.243771176457211602e+01
2.040408081616323255e+00,3.591864298976251462e+02,3.062562336242158381e+02,3.383672096290806053e+02,-1.235968549552983298e+01,-1.236693535009181488e+01
2.052410482096419297e+00,3.590384749955140364e+02,3.063545434426229690e+02,3.383527235414666166e+02,-1.229459713351978678e+01,-1.228372339517197531e+01
2.064412882576515340e+00,3.588912992991622559e+02,3.064523646853432979e+02,3.383382131899872434e+02,-1.222984700168631989e+01,-1.223284978300926262e+01
2.076415283056611383e+00,3.587448987563128071e+02,3.065496997040402789e+02,3.383236789812415850e+02,-1.216543335317001251e+01,-1.214803675928039262e+01
2.088417683536706981e+00,3.585992693351877278e+02,3.066465508397839699e+02,3.383091213188789084e+02,-1.210135445208314131e+01,-1.226843945814465187e+01
2.100420084016803024e+00,3.584544070244884324e+02,3.067429204230509754e+02,3.382945406035987617e+02,-1.203760857348404301e+01,-1.195464567788003940e+01
2.112422484496899067e+00,3.583103078333954272e+02,3.068388107737245605e+02,3.382799372331508607e+02,-1.197419400335127904e+01,-1.203166793024338155e+01
2.124424884976995109e+00,3.581669677915683678e+02,3.069342242010947075e+02,3.382653116023353164e+02,-1.191110903855794767e+01,-1.202842490820265020e+01
2.136427285457091152e+00,3.580243829491462861e+02,3.070291630038577750e+02,3.382506641030023502e+02,-1.184835198684618085e+01,-1.178457687088203798e+01
2.148429685937187195e+00,3.578825493767471357e+02,3.071236294701168958e+02,3.382359951240524083e+02,-1.178592116680129287e+01,-1.165418856606268427e+01
2.160432086417283237e+00,3.577414631654683035e+02,3.072176258773818063e+02,3.382213050514362180e+02,-1.172381490782635716e+01,-1.167451209287641234e+01
2.172434486897379280e+00,3.576011204268862116e+02,3.073111544925687895e+02,3.382065942681548449e+02,-1.166203155011651305e+01,-1.164591561873196035e+01
2.184436887377475323e+00,3.574615172930566018e+02,3.074042175720008458e+02,3.381918631542594653e+02,-1.160056944463343420e+01,-1.169379147517062911e+01
2.196439287857571365e+00,3.573226499165141945e+02,3.074968173614074090e+02,3.381771120868515368e+02,-1.153942695307973665e+01,-1.125227021929838678e+01
2.208441688337667408e+00,3.571845144702731432e+02,3.075889560959247433e+02,3.381623414400827414e+02,-1.147860244787345252e+01,-1.139057658580730248e+01
2.220444088817763451e+00,3.570471071478266936e+02,3.076806360000954896e+02,3.381475515851550426e+02,-1.141809431212246295e+01,-1.153202377915676102e+01
2.232446489297859493e+00,3.569104241631471837e+02,3.077718592878690629e+02,3.381327428903205714e+02,-1.135790093959887415e+01,-1.143586473122284808e+01
2.244448889777955536e+00,3.567744617372182461e+02,3.078626281687527921e+02,3.381179157227970222e+02,-1.129802072925891743e+01,-1.128932280440172775e+01
