task_name,source_csv,record_id,generation,domain,integrator,equation_type,features,target,train_points,test_points,spec_source
m2_classical_mechanics_0_007_gen5_20260728_105917,m2_classical_mechanics_0_007_gen5_20260728-105917.csv,m2_classical_mechanics_0_007,5,classical_mechanics,evaluate_explicit,explicit,m1|m2|u1|u2,v1_out,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_classical_mechanics_0_008_gen5_20260728_105917,m2_classical_mechanics_0_008_gen5_20260728-105917.csv,m2_classical_mechanics_0_008,5,classical_mechanics,evaluate_explicit,explicit,m1|m2|I|R,a2,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_classical_mechanics_0_009_gen10_20260728_105918,m2_classical_mechanics_0_009_gen10_20260728-105918.csv,m2_classical_mechanics_0_009,10,classical_mechanics,evaluate_explicit,explicit,x|H|lam,y,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_classical_mechanics_0_009_gen5_20260728_105917,m2_classical_mechanics_0_009_gen5_20260728-105917.csv,m2_classical_mechanics_0_009,5,classical_mechanics,evaluate_explicit,explicit,n|h0|e|v_wind,h_n,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_000_gen5_20260728_105918,m2_electromagnetism_0_000_gen5_20260728-105918.csv,m2_electromagnetism_0_000,5,electromagnetism,evaluate_explicit,explicit,r|Q|R|temperature,E_r,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_001_gen13_20260728_105918,m2_electromagnetism_0_001_gen13_20260728-105918.csv,m2_electromagnetism_0_001,13,electromagnetism,evaluate_explicit,explicit,I|a|z|radial_observation_coordinate,B_z,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_001_gen5_20260728_105918,m2_electromagnetism_0_001_gen5_20260728-105918.csv,m2_electromagnetism_0_001,5,electromagnetism,integrate_system,ode_system,t|Q|V_a,dQ_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_002_gen5_20260728_105918,m2_electromagnetism_0_002_gen5_20260728-105918.csv,m2_electromagnetism_0_002,5,electromagnetism,evaluate_explicit,explicit,r,E,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_003_gen14_20260728_105919,m2_electromagnetism_0_003_gen14_20260728-105919.csv,m2_electromagnetism_0_003,14,electromagnetism,evaluate_explicit,explicit,E_1|E_2|phi|theta,I_avg,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_003_gen5_20260728_105919,m2_electromagnetism_0_003_gen5_20260728-105919.csv,m2_electromagnetism_0_003,5,electromagnetism,evaluate_explicit,explicit,w,I,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_004_gen5_20260728_105919,m2_electromagnetism_0_004_gen5_20260728-105919.csv,m2_electromagnetism_0_004,5,electromagnetism,evaluate_explicit,explicit,w|a|theta_obs,P,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_005_gen15_20260728_105919,m2_electromagnetism_0_005_gen15_20260728-105919.csv,m2_electromagnetism_0_005,15,electromagnetism,evaluate_explicit,explicit,p_0|f,P_rad,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_005_gen5_20260728_105919,m2_electromagnetism_0_005_gen5_20260728-105919.csv,m2_electromagnetism_0_005,5,electromagnetism,integrate_system,ode_system,t|I|M,dI_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_006_gen10_20260728_105919,m2_electromagnetism_0_006_gen10_20260728-105919.csv,m2_electromagnetism_0_006,10,electromagnetism,evaluate_explicit,explicit,B_0|omega|phi|theta_incidence,V_ind,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_006_gen5_20260728_105919,m2_electromagnetism_0_006_gen5_20260728-105919.csv,m2_electromagnetism_0_006,5,electromagnetism,evaluate_explicit,explicit,z|s|omega,A,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_007_gen11_20260728_105920,m2_electromagnetism_0_007_gen11_20260728-105920.csv,m2_electromagnetism_0_007,11,electromagnetism,integrate_system,ode_system,t|V_C|dielectric_absorption_voltage|secondary_dielectric_absorption_voltage|resistor_temperature_rise,dV_C_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_007_gen4_20260728_105919,m2_electromagnetism_0_007_gen4_20260728-105919.csv,m2_electromagnetism_0_007,4,electromagnetism,evaluate_explicit,explicit,d|I1|I2|theta_tilt,F,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_008_gen5_20260728_105920,m2_electromagnetism_0_008_gen5_20260728-105920.csv,m2_electromagnetism_0_008,5,electromagnetism,integrate_system,ode_system,t|V|IL|phi|Tth,dV_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_008_gen7_20260728_105920,m2_electromagnetism_0_008_gen7_20260728-105920.csv,m2_electromagnetism_0_008,7,electromagnetism,integrate_system,ode_system,t|Q|I|core_flux_linkage|dielectric_memory_charge,dI_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_009_gen0_20260728_105920,m2_electromagnetism_0_009_gen0_20260728-105920.csv,m2_electromagnetism_0_009,0,electromagnetism,evaluate_explicit,explicit,E,P,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_electromagnetism_0_009_gen15_20260728_105920,m2_electromagnetism_0_009_gen15_20260728-105920.csv,m2_electromagnetism_0_009,15,electromagnetism,integrate_system,ode_system,t|v_x|v_y|y_position,dv_x_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_000_gen0_20260728_105920,m2_enzyme_kinetics_and_biochemistry_0_000_gen0_20260728-105920.csv,m2_enzyme_kinetics_and_biochemistry_0_000,0,enzyme_kinetics_and_biochemistry,evaluate_explicit,explicit,S,v,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_000_gen6_20260728_105920,m2_enzyme_kinetics_and_biochemistry_0_000_gen6_20260728-105920.csv,m2_enzyme_kinetics_and_biochemistry_0_000,6,enzyme_kinetics_and_biochemistry,evaluate_explicit,explicit,S|pH,v0,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_001_gen3_20260728_105921,m2_enzyme_kinetics_and_biochemistry_0_001_gen3_20260728-105921.csv,m2_enzyme_kinetics_and_biochemistry_0_001,3,enzyme_kinetics_and_biochemistry,evaluate_explicit,explicit,S|I,v,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_001_gen5_20260728_105921,m2_enzyme_kinetics_and_biochemistry_0_001_gen5_20260728-105921.csv,m2_enzyme_kinetics_and_biochemistry_0_001,5,enzyme_kinetics_and_biochemistry,evaluate_explicit,explicit,E_T|substrate_bound_fraction,v_dim,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_002_gen2_20260728_105921,m2_enzyme_kinetics_and_biochemistry_0_002_gen2_20260728-105921.csv,m2_enzyme_kinetics_and_biochemistry_0_002,2,enzyme_kinetics_and_biochemistry,evaluate_explicit,explicit,S,theta,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_002_gen7_20260728_105921,m2_enzyme_kinetics_and_biochemistry_0_002_gen7_20260728-105921.csv,m2_enzyme_kinetics_and_biochemistry_0_002,7,enzyme_kinetics_and_biochemistry,evaluate_explicit,explicit,S,v_subinh,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_003_gen5_20260728_105921,m2_enzyme_kinetics_and_biochemistry_0_003_gen5_20260728-105921.csv,m2_enzyme_kinetics_and_biochemistry_0_003,5,enzyme_kinetics_and_biochemistry,evaluate_explicit,explicit,pH|temperature|ionic_strength,k_turn,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_004_gen0_20260728_105921,m2_enzyme_kinetics_and_biochemistry_0_004_gen0_20260728-105921.csv,m2_enzyme_kinetics_and_biochemistry_0_004,0,enzyme_kinetics_and_biochemistry,integrate_system,ode_system,t|S|ES|P,dS_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_004_gen5_20260728_105921,m2_enzyme_kinetics_and_biochemistry_0_004_gen5_20260728-105921.csv,m2_enzyme_kinetics_and_biochemistry_0_004,5,enzyme_kinetics_and_biochemistry,evaluate_explicit,explicit,A|B|P|Q,J_net,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_005_gen5_20260728_105921,m2_enzyme_kinetics_and_biochemistry_0_005_gen5_20260728-105921.csv,m2_enzyme_kinetics_and_biochemistry_0_005,5,enzyme_kinetics_and_biochemistry,evaluate_explicit,explicit,T|C_S,k,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_005_gen7_20260728_105922,m2_enzyme_kinetics_and_biochemistry_0_005_gen7_20260728-105922.csv,m2_enzyme_kinetics_and_biochemistry_0_005,7,enzyme_kinetics_and_biochemistry,evaluate_explicit,explicit,T,k_chem,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_006_gen5_20260728_105922,m2_enzyme_kinetics_and_biochemistry_0_006_gen5_20260728-105922.csv,m2_enzyme_kinetics_and_biochemistry_0_006,5,enzyme_kinetics_and_biochemistry,integrate_system,ode_system,t|E|L|C|D,dC_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_007_gen0_20260728_105922,m2_enzyme_kinetics_and_biochemistry_0_007_gen0_20260728-105922.csv,m2_enzyme_kinetics_and_biochemistry_0_007,0,enzyme_kinetics_and_biochemistry,evaluate_explicit,explicit,S,v,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_007_gen9_20260728_105922,m2_enzyme_kinetics_and_biochemistry_0_007_gen9_20260728-105922.csv,m2_enzyme_kinetics_and_biochemistry_0_007,9,enzyme_kinetics_and_biochemistry,integrate_system,ode_system,t|a|c_productive|maturation_intermediate|c_cleaved_product,da_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_008_gen5_20260728_105922,m2_enzyme_kinetics_and_biochemistry_0_008_gen5_20260728-105922.csv,m2_enzyme_kinetics_and_biochemistry_0_008,5,enzyme_kinetics_and_biochemistry,integrate_system,ode_system,t|X|Y|E|C,dX_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_008_gen8_20260728_105922,m2_enzyme_kinetics_and_biochemistry_0_008_gen8_20260728-105922.csv,m2_enzyme_kinetics_and_biochemistry_0_008,8,enzyme_kinetics_and_biochemistry,integrate_system,ode_system,t|S|X|I|active_first_fraction,dX_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_enzyme_kinetics_and_biochemistry_0_009_gen0_20260728_105922,m2_enzyme_kinetics_and_biochemistry_0_009_gen0_20260728-105922.csv,m2_enzyme_kinetics_and_biochemistry_0_009,0,enzyme_kinetics_and_biochemistry,integrate_system,ode_system,t|E|EI|P,dP_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_000_gen2_20260728_105922,m2_population_ecology_0_000_gen2_20260728-105922.csv,m2_population_ecology_0_000,2,population_ecology,integrate_system,ode_system,t|N,dN_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_000_gen5_20260728_105922,m2_population_ecology_0_000_gen5_20260728-105922.csv,m2_population_ecology_0_000,5,population_ecology,integrate_system,ode_system,t|N|crowding_load,dN_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_001_gen4_20260728_105923,m2_population_ecology_0_001_gen4_20260728-105923.csv,m2_population_ecology_0_001,4,population_ecology,integrate_system,ode_system,t|R|C,dR_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_001_gen5_20260728_105923,m2_population_ecology_0_001_gen5_20260728-105923.csv,m2_population_ecology_0_001,5,population_ecology,integrate_system,ode_system,t|N|experienced_mate_abundance|unmated_fraction|mating_type_fraction,dN_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_002_gen5_20260728_105923,m2_population_ecology_0_002_gen5_20260728-105923.csv,m2_population_ecology_0_002,5,population_ecology,evaluate_explicit,explicit,N|trial_temperature,C,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_003_gen5_20260728_105923,m2_population_ecology_0_003_gen5_20260728-105923.csv,m2_population_ecology_0_003,5,population_ecology,integrate_system,ode_system,t|N1|N2|R,dN1_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_003_gen7_20260728_105923,m2_population_ecology_0_003_gen7_20260728-105923.csv,m2_population_ecology_0_003,7,population_ecology,integrate_system,ode_system,t|N1|N2|direct_interference_pressure_12|nonlethal_interference_pressure_12,dN1_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_004_gen5_20260728_105923,m2_population_ecology_0_004_gen5_20260728-105923.csv,m2_population_ecology_0_004,5,population_ecology,integrate_system,ode_system,t|J|A|maturation_resource_level|adult_energy_reserve_level,dA_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_005_gen5_20260728_105923,m2_population_ecology_0_005_gen5_20260728-105923.csv,m2_population_ecology_0_005,5,population_ecology,integrate_system,ode_system,t|N|P_pred,dN_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_005_gen6_20260728_105924,m2_population_ecology_0_005_gen6_20260728-105924.csv,m2_population_ecology_0_005,6,population_ecology,evaluate_explicit,explicit,d,m,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_006_gen5_20260728_105924,m2_population_ecology_0_006_gen5_20260728-105924.csv,m2_population_ecology_0_006,5,population_ecology,evaluate_explicit,explicit,A|D|H|P_dist,S,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_006_gen8_20260728_105924,m2_population_ecology_0_006_gen8_20260728-105924.csv,m2_population_ecology_0_006,8,population_ecology,integrate_system,ode_system,t|N|reproductive_adult_abundance,dN_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_007_gen5_20260728_105924,m2_population_ecology_0_007_gen5_20260728-105924.csv,m2_population_ecology_0_007,5,population_ecology,evaluate_explicit,explicit,c|e|immigration_rate|suitable_habitat_fraction,p_star,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_008_gen5_20260728_105924,m2_population_ecology_0_008_gen5_20260728-105924.csv,m2_population_ecology_0_008,5,population_ecology,evaluate_explicit,explicit,R|A_rel|habitat_quality_rel,C_R,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_009_gen5_20260728_105924,m2_population_ecology_0_009_gen5_20260728-105924.csv,m2_population_ecology_0_009,5,population_ecology,integrate_system,ode_system,t|Ns|Nsrc,dNs_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_population_ecology_0_009_gen5_20260728_105925,m2_population_ecology_0_009_gen5_20260728-105925.csv,m2_population_ecology_0_009,5,population_ecology,integrate_system,ode_system,t|N|crowding_load,dN_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
