m1,m2,I,R,a2
2.368155724891018721e-01,1.455914074144646353e+00,2.355342898364139875e-03,5.230055457662340090e-02,2.427950925804509552e+00
3.615682594494331603e-01,1.340766252858839547e+00,8.827782534686939853e-03,5.985079958394894789e-02,5.762069353853933595e-01
1.071811739101719452e+00,8.560869263975638965e-01,4.177126701043084450e-03,1.076953365236507781e-01,-2.047542675316396665e-01
1.041346365046525113e+00,1.127640695154204176e+00,5.853916105208414487e-04,4.567334908701232293e-02,2.881653155970684797e-03
1.000000644925630011e+00,4.918841161255188554e-01,4.806630102819958381e-03,1.067430598731139713e-01,-1.494754939346790934e+00
6.987808205404485440e-01,4.991207642868421002e-01,2.926624751983106492e-03,7.683676996182384200e-02,-1.724514670363408997e-01
1.496372916525974484e+00,9.399585492123430086e-01,8.644014550323514401e-03,1.197694796009903251e-01,-9.290432542866665644e-01
1.475085940409099239e+00,1.332951151015388414e+00,7.645573746101462856e-03,7.371455544644259228e-02,-5.146063657717561170e-03
1.091204579824903043e+00,1.431628724299254918e+00,4.539108053220074213e-03,3.912619301524471183e-02,7.077936556249442290e-03
1.045597059148161145e+00,1.332697392776206469e+00,8.871115357677700555e-03,7.020770698554404388e-02,3.305062684544024521e-02
1.094980749742222148e+00,4.858843173567269913e-01,7.610827772772344076e-03,6.202195076965459630e-02,-2.803371755995598957e-01
7.055978511728349112e-01,1.392696154841484235e+00,1.264691899549063789e-03,9.069930357258648712e-02,1.845380392939509617e+00
3.756254565291345937e-01,4.707640421734351488e-01,8.792562595020633753e-03,6.142312974988627799e-02,1.481557428256628610e-03
1.137934842252306344e+00,1.001344432594299283e+00,9.680061865006448635e-03,8.043479786389295949e-02,-7.414670334488595617e-03
8.829606192184437097e-01,1.222850675204635085e+00,1.048357754676988197e-03,7.757842572594979280e-02,4.218452144621964717e-01
6.033144382266424355e-01,5.639958109807505782e-01,6.528915260286989597e-03,8.509296582664915842e-02,-9.542586784941407916e-04
8.315859664813258778e-01,1.122563237724346852e+00,7.517867949587085305e-03,1.067445967344999441e-01,2.788803509887415322e-01
1.356334184653700481e+00,8.715857837593706803e-01,6.479239826618614188e-03,1.000532535926798583e-01,-6.645526801873523626e-01
1.414256570743124719e+00,1.050460528215756639e+00,6.945793305481068845e-03,7.719664006923389332e-02,-1.265042357386929606e-01
6.651337557217913421e-01,1.169171542061076874e+00,7.669591759207286140e-04,5.100311793282152895e-02,6.549457731205602373e-01
9.429887799486892375e-01,7.247301959644146807e-01,8.988801333831042059e-03,8.547190495534423560e-02,-5.898513064766831154e-02
6.184302083987248677e-01,1.011453877148944303e+00,4.947941933177212558e-03,9.999738996335699737e-02,7.605511064765685392e-01
9.725900392596058541e-01,1.019815540049220370e+00,3.057590522449393430e-03,1.152964257315631513e-01,3.948189563994112215e-03
6.392845931592732178e-01,4.178601440631766750e-01,1.672020498022631137e-03,7.315312900225753867e-02,-3.570176817648891832e-01
7.091047006866095792e-01,6.500251936285587062e-01,4.740880142623407276e-03,8.568214020991495039e-02,-4.109853979884945004e-03
1.357356657606230144e+00,3.077281556239491733e-01,4.045001522554780155e-03,8.784234575959694313e-02,-3.260416446835537663e+00
4.953048715933936474e-01,1.184046673378124526e+00,7.644728071385192836e-03,5.184895673941240096e-02,1.446476839626884558e-01
1.010143288091855274e+00,9.453390725175430109e-01,3.961454395289841328e-03,1.116159065510673037e-01,-8.353326576147469471e-03
3.092199466571002864e-01,6.944903117373761869e-01,4.823968967833223813e-03,7.911951369199198003e-02,6.924618861411419024e-01
1.282437391949417194e+00,2.400967348891625830e-01,5.791380907615451164e-03,3.639791217676172780e-02,-1.055682190079905297e-01
1.223227799735288501e+00,9.200586500307889048e-01,3.539433733415474001e-03,6.191654445990137784e-02,-8.314625264859723530e-02
5.111802758908378097e-01,9.044743999861823980e-01,3.332947624597300262e-03,9.109887869412099104e-02,9.268832982634742645e-01
1.339429500053914923e+00,7.962801176030038786e-01,3.359423106156831859e-03,3.952499933310649888e-02,-6.012138301536003315e-02
2.761384452467526840e-01,1.276196374160980973e+00,6.962536612874744950e-03,1.157983553237676155e-01,3.541123947205106592e+00
6.369521787093584964e-01,2.176060862025414877e-01,4.657058828759863198e-03,1.143655913383973821e-01,-2.096198551401996291e+00
3.953633069632908059e-01,1.399140254329294120e+00,5.810024289262563993e-03,1.154215973914880372e-01,3.295529261931041010e+00
7.854411766440730913e-01,1.465827797840073776e+00,9.828885013989801384e-03,9.566409750941938517e-02,8.826430051813272115e-01
1.235221551373482551e+00,3.942607563577296692e-01,2.472171687692148023e-03,1.020542841337721829e-01,-3.182587377615090585e+00
4.998348716918716850e-01,1.331851965166663376e+00,8.626975744004497819e-04,4.662796825695861291e-02,1.517991490684142963e+00
2.676276913837324911e-01,9.991659749354704356e-01,2.498255910497852467e-03,5.028117360666024827e-02,1.011596230757456416e+00
7.259173917679866417e-01,1.383493124614703085e+00,7.080744225698611637e-03,8.102115998138903485e-02,7.474300456898926859e-01
4.580669578620319426e-01,1.171234963685956032e+00,7.597126015261740709e-03,5.881887513501402043e-02,3.185458096772746384e-01
3.179789593048584773e-01,1.063936461812768020e+00,2.058247110121460156e-03,3.581151111220134270e-02,3.079242282680367815e-01
9.544321017829059395e-01,1.216740153651224565e+00,3.960149688456994152e-03,1.041108793674219851e-01,2.523264764344367306e-01
5.883049726645993571e-01,5.660196084112742998e-01,4.383802670527662051e-03,1.181291149650701144e-01,-1.137291168859283670e-03
1.073593341343267227e+00,8.472204215767737967e-01,4.249562472552980384e-03,7.819684202945757778e-02,-8.836134681483569231e-02
4.593700771586773368e-01,8.360932906986243696e-01,7.128608730905316125e-03,8.785918869008625676e-02,4.812143109725162127e-01
1.424747043658447287e+00,4.066467888076430448e-01,9.725005012932616891e-03,6.861844861045884869e-02,-9.069068033234891635e-01
6.746432187182771489e-01,4.979805433894633482e-01,2.320826679105443980e-03,3.425356875468184292e-02,-3.399862260080327089e-03
3.371438634412983748e-01,2.208664521268383640e-01,4.863328482015915125e-03,7.261452767865116120e-02,-3.405679899582074455e-02
1.017840597001621994e+00,1.348509982155395415e+00,4.951363643896634220e-03,7.391743592251810713e-02,1.250503313354160151e-01
1.405300918988227732e+00,2.604279878091508849e-01,1.950727826830084190e-03,1.193114580543294390e-01,-5.004584637409979386e+00
7.724903011305191969e-01,3.214533393982623166e-01,5.260058365156465576e-03,6.738907804163421500e-02,-4.580984837099876250e-01
1.440967641797958443e+00,1.107530761838631861e+00,2.397858613685365653e-03,4.761696351511499753e-02,-4.399755810475136641e-02
8.498645577939411000e-01,1.324613871612669858e+00,5.875929864408093069e-03,5.048107187770300291e-02,5.626331257364030475e-02
7.527972123037982577e-01,1.105925931885403557e+00,3.225497946593858765e-03,1.165983810407288240e-01,7.897991389110351479e-01
1.006277487619991140e+00,1.126523494547397197e+00,3.282174498874718561e-03,7.702304284862307449e-02,1.440161626183797047e-02
1.493625456805921292e+00,6.858325055638302414e-01,4.917890828715743880e-03,5.114472525834823369e-02,-3.395584773809118273e-01
1.433626777419094944e+00,1.218859610607485155e+00,9.446184313225332654e-03,1.197876345497906059e-01,-9.470584643079495157e-02
7.980586811018248738e-01,1.205039654160637630e+00,8.856360360202670395e-03,3.223352269978908141e-02,8.945738200118822508e-04
1.185047498900778873e+00,6.676838605794709336e-01,6.769993682959767924e-03,5.380393344618106949e-02,-9.218893361090993444e-02
8.466495041339047178e-01,1.398646652613727115e+00,9.915080179063784360e-03,1.052211082326535707e-01,7.330507002842754360e-01
8.881058082558015432e-01,7.942799579335194649e-01,3.587837588616301938e-03,6.062939883009119124e-02,-3.562597449172973801e-03
1.221521410927949747e+00,1.074437734867191407e+00,5.804930083464785243e-04,8.090688151644716275e-02,-4.968635772321705613e-02
7.390526041623720621e-01,7.214958504966864083e-01,3.690619578369726695e-03,3.901852746546013301e-02,-2.405064917327961588e-06
1.154828643325348292e+00,9.457253425090353938e-01,4.629522420008708866e-03,4.778247541525948439e-02,-5.934096960547874562e-03
1.124485741386674897e+00,3.119327950907063163e-01,4.965959434870594220e-03,8.802839340743398577e-02,-2.385943359957652277e+00
1.411677592597391673e+00,7.468566333848217775e-01,8.340312734560441019e-03,5.615557283584274306e-02,-1.397756372794390356e-01
3.494124232651767414e-01,1.191701051679364909e+00,3.267239802268735727e-03,5.511901867723612708e-02,1.152120714438477744e+00
1.147719652199202356e+00,1.290557886412363242e+00,5.282357749550381509e-03,6.771225662420191083e-02,7.078942198244526224e-03
1.405651107211927986e+00,6.431655856770038815e-01,8.599189306897573465e-03,5.373679772920216674e-02,-1.597918878228987150e-01
1.458304046902040296e+00,2.713112336840952654e-01,1.988959131588683739e-03,4.559809180593828865e-02,-1.872820334379713625e+00
2.191181964549800965e-01,4.194032431590996590e-01,9.109709427783153207e-03,8.895995137735850100e-02,1.357695924565409107e-01
1.322732117319248557e+00,5.678947677586672071e-01,1.542887108077253691e-03,6.793936819464040100e-02,-1.768034794118683362e+00
1.475553552086247722e+00,8.432855304376528638e-01,6.982860067239054190e-03,5.945493388244758176e-02,-1.987775902952910179e-01
1.444373233494252728e+00,5.421039209929591207e-01,9.517271852779183097e-03,6.624497761220839165e-02,-5.815801070527594208e-01
3.933932159022472952e-01,6.814905718452454186e-01,6.149427146609219401e-03,1.036615492504034952e-01,6.214847298051591196e-01
1.464417457969841463e+00,2.223202560976561548e-01,6.912653593486750569e-03,5.343520786334325645e-02,-8.912642423425904958e-01
1.356916222436676867e+00,7.383981023487004025e-01,7.721646838657792063e-03,1.043995841217020965e-01,-1.116620104394711044e+00
1.269085975805991584e+00,1.105347384633846408e+00,2.564661761801792419e-03,5.608593904861051277e-02,-1.119760283802290896e-02
8.239843009501818250e-01,7.835753935289733185e-01,1.174873099838488495e-03,6.659491380630266910e-02,-1.257978339693638760e-03
5.020847955310949740e-01,4.522257422531988369e-01,4.480245225606659110e-03,1.179827756097156927e-01,-1.655613924223125338e-02
1.242444752333800251e+00,1.409424954110573669e+00,5.882450728118404117e-03,6.129171561128711476e-02,5.472027689529137748e-03
1.400589207718510476e+00,4.394948108058708280e-01,2.844765272744727812e-03,1.083364502377903299e-01,-3.378956520173951095e+00
5.459693539799803652e-01,1.328824897673478223e+00,6.292420508587728313e-04,1.119902681047640347e-01,2.940512932062425921e+00
9.006147299088430591e-01,4.478566707110480105e-01,8.409431370878137427e-03,5.569059124732658045e-02,-6.510898870420417373e-02
7.755786776668909255e-01,3.961724709983016068e-01,7.560764208055601593e-03,3.914528000619550696e-02,-5.279781572236440408e-03
1.410322510775501526e+00,8.340844500006606710e-01,9.473028185709643501e-03,9.824492975485966950e-02,-7.000225465464456898e-01
2.526639245449650573e-01,1.058399597483459909e+00,1.706600166224699544e-03,1.003777798175253949e-01,3.923811703947346796e+00
1.151608054353528976e+00,7.888703215659104151e-01,5.267929689102409871e-04,3.486961652231138770e-02,-1.117634240179438410e-01
9.986852210336957247e-01,8.605981153408814865e-01,7.440813893990226580e-03,8.218672498223485168e-02,-1.487403301282388436e-02
2.368749746475773965e-01,1.010505438722497429e+00,8.690124671761938202e-03,6.078816862563111295e-02,4.436542581819103437e-01
1.134985704674762452e+00,8.283259490503482869e-01,2.376877709003809118e-03,1.002236363411383863e-01,-4.764992015860605168e-01
2.207892483806435657e-01,1.443910985669748293e+00,3.898009167346361617e-03,8.794105578742851537e-02,4.039535730655837042e+00
1.185336303063356578e+00,3.967170681221868778e-01,8.505328372927310060e-03,5.135122639139026030e-02,-1.681001522796673198e-01
8.665863402407014693e-01,7.087399711099279243e-01,3.125184936362417109e-04,4.070024900756110536e-02,-3.324617649931856100e-02
1.407835487036108058e+00,3.660436789791527423e-01,2.817382939820750522e-03,3.144682500503466482e-02,-1.793193298301092031e-01
2.859072457412971668e-01,4.568243188598327675e-01,1.471695172971596976e-03,1.031158378147697396e-01,7.307638492802549512e-01
1.293712463496098142e+00,1.006050607711153289e+00,9.488918928412576684e-03,1.068464791122323149e-01,-1.773956598454642375e-01
2.866970113972318601e-01,1.326515874917098214e+00,6.342966350828976342e-04,7.264453958180724924e-02,4.194029700853270093e+00
6.476029724453628011e-01,6.612046012299749309e-01,5.420863483441008303e-03,1.034000173580575249e-01,1.032296301021966262e-04
7.593883515321833144e-01,1.311187994671384915e+00,7.078828329954825298e-03,7.061032039671850946e-02,3.233475820708821002e-01
1.455880705019291232e+00,6.941845150162179179e-01,4.856621812583011497e-03,1.010372776966156488e-01,-1.752736791244178027e+00
9.309013948969941943e-01,1.122087213315449361e+00,2.775170540921669416e-03,8.094659305046293662e-02,7.684937831507406003e-02
5.365239711222119512e-01,3.442020321267158511e-01,3.442394060825682695e-03,6.616101525787190796e-02,-1.033844388086722910e-01
5.141784283226484842e-01,9.172052022481907985e-01,2.388197051593885303e-03,3.405883539949546707e-02,3.034639418248259377e-02
1.354553816856933768e+00,2.502302930245434709e-01,8.576300034591973626e-03,5.742725005760588447e-02,-6.931719772842617200e-01
4.936302569425217168e-01,3.858121465843304398e-01,2.277745563198174206e-04,1.073509764696843338e-01,-3.107969025853740686e-01
3.619211175858685348e-01,5.956079821401895069e-01,1.433340423346473290e-03,8.173636945501125406e-02,6.552146969715644254e-01
5.748299841098508667e-01,2.637486840870207350e-01,8.693113513462327052e-03,8.763452040567631940e-02,-3.471378355343753830e-01
9.619599842565527137e-01,1.334131648368734435e+00,9.814527090342587551e-03,6.804338358055191105e-02,5.296817470532075300e-02
9.203176528252482447e-01,1.267699377792564697e+00,4.538950949282033118e-03,6.089976144158889410e-02,8.280815441710256963e-02
1.252624008686611168e+00,1.411370829824253548e+00,7.780180507828886836e-03,1.106209480031421083e-01,3.685248282936250119e-02
9.286187376080415889e-01,4.921478229270652149e-01,8.874315639356139887e-03,1.018920819465217176e-01,-7.629703828896522433e-01
5.749475787605736743e-01,7.799767750366684016e-01,8.251854250635251575e-03,6.947263982205267863e-02,2.468162061847279168e-02
7.367652454851605359e-01,1.251674975623123354e+00,4.320980828218357050e-03,7.059349914094738276e-02,4.777266632263665880e-01
1.263557262262183567e+00,5.590462088679100106e-01,8.818704964734575338e-03,1.018842342000221141e-01,-1.430246943384905434e+00
1.014458401145679645e+00,1.041537346664019426e+00,4.695444076027497672e-03,5.775773573829023899e-02,3.531394194245528770e-05
1.446800935506674879e+00,6.488358309654456146e-01,6.990366538457337339e-03,5.441820527302054789e-02,-2.688535109791490574e-01
6.802257344191852129e-01,6.899629026393545583e-01,9.854296499188560515e-03,1.185992031645164424e-01,3.211309576312371090e-05
9.183949636776733705e-01,1.077984286597068797e+00,3.621048013454889088e-03,6.556020946872423427e-02,1.825973247388213913e-02
9.721014620971187847e-01,1.421143894158577448e+00,3.901280649822494884e-03,4.025199894681584512e-02,2.606285973370224898e-02
1.302778570757578080e+00,1.252958527172895575e+00,7.424695090576719121e-03,1.085754481011777656e-01,-1.318621708239055799e-03
3.891155996424913166e-01,6.524591911253821985e-01,7.612453852603233602e-03,9.520830673942476396e-02,3.227547701618643239e-01
7.284634377725646148e-01,2.899808714270570853e-01,1.038027259075705944e-03,7.019323670082765199e-02,-1.758045892891102913e+00
1.382946650160986168e+00,1.459685691321937373e+00,2.291025011905569331e-03,3.365920996480561284e-02,1.015436470471766213e-04
2.559869551386654285e-01,6.422910034206423813e-01,4.180711979903390350e-03,6.229272579078122540e-02,3.658311607621260175e-01
1.269518164235952540e+00,1.135147603043411779e+00,4.247498520650464307e-03,1.128423482573963493e-01,-4.319454605300951378e-02
7.399992485825920285e-01,2.745874877552370030e-01,1.460174991793774775e-03,1.194224545440472074e-01,-2.827410225821756828e+00
1.278745180861533548e+00,2.153191762666443188e-01,1.657866507046135357e-03,8.924645030631730980e-02,-4.593665910861338020e+00
2.129409290494795604e-01,1.034070659808641990e+00,3.059823181534641629e-03,6.637499104945486506e-02,2.234724849538438640e+00
6.745600050857518681e-01,1.323428421793088949e+00,7.676778557007882080e-03,8.121764639574970135e-02,7.241949175034930741e-01
3.022190483153318619e-01,7.623960478400377827e-01,5.119241215172837950e-03,7.304040213274448634e-02,6.924197671438349078e-01
1.048398949237629996e+00,1.028566187242621277e+00,2.551022299947833943e-03,1.199579487380319914e-01,-3.235256499688086637e-04
5.560038281794243975e-01,1.113815371462641979e+00,2.136734923893823367e-03,5.272681094356101300e-02,5.436544998195844691e-01
1.113447691857722299e+00,1.304410238198815852e+00,8.349419223370510958e-04,7.107081795323018369e-02,6.380613635615609014e-02
1.426941855024718153e+00,3.181937238587490557e-01,4.666643707151687734e-03,6.113898303054719763e-02,-1.699392460457300746e+00
3.648622329396221109e-01,8.948939619283082791e-01,9.864051148296412025e-03,4.874791326086901772e-02,3.219879434426962256e-02
1.324211784021006366e+00,7.749818959954000164e-01,2.874843881453879695e-03,6.658041777649245652e-02,-5.941541008121649092e-01
2.773033970804399950e-01,6.423348759311587886e-01,6.372236885362835002e-03,7.621932259331623549e-02,4.085082806839506753e-01
6.950016608041562627e-01,6.819018629710857926e-01,4.739376947655247682e-03,5.112557219183355012e-02,-3.222915257678123418e-06
7.587062795321496411e-01,7.400816329619268608e-01,5.576728804079411107e-03,3.515843471421900568e-02,-5.679332404179687035e-07
8.355044108835035788e-01,4.236421572475637665e-01,2.399576140273136475e-03,9.502337326012388896e-02,-1.410357788731408490e+00
1.469401018516858004e+00,1.322807908574341385e+00,7.772376510103169885e-03,8.064848611584113369e-02,-8.247717428097474032e-03
1.208398544532376828e+00,5.754231970496850312e-01,7.479186822740833442e-03,3.435470321591951176e-02,-8.401772466004559653e-03
6.015145715350392885e-01,7.196389921301269421e-01,7.662710356663876912e-03,5.537842009617007649e-02,1.486283240410257375e-03
5.507878211510401911e-01,9.602533632550169784e-01,5.813025155320411357e-03,6.487103147569277251e-02,1.932105526363875336e-01
1.322056265446113210e+00,1.092119545482293175e+00,1.043849495892512505e-03,5.574352849513902058e-02,-5.393912357953635495e-02
1.345699324558996990e+00,8.376912794419009156e-01,8.234355731921367758e-03,5.362642509138585561e-02,-5.172172967678607958e-02
8.639184572067388768e-01,7.754261230952514961e-01,3.393037616380137258e-04,1.075778267000143534e-01,-5.043091482253685837e-02
6.475844502510228473e-01,6.766329004016991000e-01,2.569893128859030828e-03,6.548995845995760068e-02,3.294787219220882092e-04
1.493392552609193125e+00,8.553585069324411982e-01,4.203613830218375091e-03,5.220426547022585795e-02,-2.263809891354321147e-01
6.107266089780102325e-01,5.032890966165644020e-01,3.201259210160034910e-03,8.255401459678421427e-02,-4.204355218609433231e-02
4.375260926045311805e-01,2.263371889243995516e-01,5.091797709515570765e-03,5.173452955350790056e-02,-2.037673652024237642e-02
1.344127557695290687e+00,1.389704596193277686e+00,3.828253692421600303e-03,4.863258380867668818e-02,6.503064931688891804e-05
1.256036017544630345e+00,4.450873540984839338e-01,3.452230874634729801e-03,3.205974790858024531e-02,-6.732865015437773659e-02
1.068256227242756706e+00,7.206823357439133826e-01,2.780661849330226185e-03,1.102415956314111989e-01,-7.804935324548618603e-01
1.445937721311337576e+00,9.001267335290280558e-01,9.057748966824077192e-04,8.750287404043731454e-02,-1.096615731350208289e+00
1.403428950378744489e+00,6.366501165232637538e-01,4.456073255023514958e-03,7.615931167719904027e-02,-1.259656616188864264e+00
1.172723054292280409e+00,7.562983783539991567e-01,5.066195914646828228e-04,6.078364641961660209e-02,-6.072658856155344065e-01
1.318911832411981067e+00,7.098939996484611159e-01,1.032961972143728356e-03,8.747357085522425302e-02,-1.594452497833345417e+00
5.212907624187397282e-01,7.890066936551649590e-01,1.955487503202823704e-03,1.078076472303658856e-01,7.920652640844652037e-01
3.836205239713411097e-01,1.199196648150448130e+00,3.337944556638355875e-03,9.704450888134846798e-02,2.838677820669726071e+00
1.071080404109416850e+00,8.808436993640078594e-01,9.776258079208987803e-03,3.110365427536436814e-02,-5.533791049623759103e-05
1.129004097651178595e+00,1.330428944244009593e+00,7.993160534666161193e-03,4.373485075220735763e-02,9.520528127242693919e-04
4.171688074169538352e-01,1.076391525419523543e+00,4.056354718634882259e-04,8.656226997383585642e-02,2.806691601098877609e+00
7.142244550363388012e-01,8.708360873069119767e-01,7.390245795578545898e-03,8.494736882426429103e-02,3.129908386907454682e-02
1.383332496080871277e+00,6.324676318874141723e-01,1.847535876933120496e-03,6.055126595114826427e-02,-1.255776338870467690e+00
9.298209978152898181e-01,3.005371621762168988e-01,1.786349580700291465e-03,9.814288585072437898e-02,-2.983606115157029670e+00
9.518366894041545567e-01,6.067455323907163800e-01,7.733618804265035909e-03,3.892535460672395808e-02,-3.194486255869692475e-03
4.523687047580317033e-01,1.008362890736312689e+00,2.159160657659191240e-03,6.056338702241362976e-02,9.435013185286083015e-01
8.838289232032378040e-01,8.425744233350423995e-01,4.382987079937627345e-03,9.527249235280241257e-02,-1.548175863804981045e-03
8.804651456133959497e-01,3.709958916930885531e-01,5.858036534819700304e-03,5.559008918510708469e-02,-1.901285189721811930e-01
3.156163323201535698e-01,9.421325206661486096e-01,7.442783527479819063e-03,6.931946487693969872e-02,6.154527602719567225e-01
1.476525501064718249e+00,5.800389894954957049e-01,7.198821041969893052e-03,6.649398582834906146e-02,-7.965503711566678247e-01
9.428142805925068259e-01,5.491680356201137370e-01,3.924581569805535991e-03,4.584686372588058639e-02,-5.775355276030774004e-02
2.083315474636032172e-01,6.014750676552254038e-01,5.239547062833092676e-03,5.859083085709949901e-02,2.096734045089344023e-01
1.204443961593005152e+00,1.093113732264419768e+00,3.172251116133557262e-03,1.116833472519254411e-01,-3.107496260227024867e-02
1.471745427992189548e+00,1.063204796915200978e+00,6.808853064849706462e-03,8.386809587343740935e-02,-2.246841270779981192e-01
9.668310368172357006e-01,3.098207779428431285e-01,4.334366941870676157e-03,3.090273698900719568e-02,-2.006636268829958478e-02
6.155861271674645252e-01,4.702677486068283508e-01,8.044383556768347140e-03,5.992633431533547078e-02,-4.679336277210279990e-03
4.437600304461203904e-01,9.784098058230803474e-01,9.997462466215044363e-03,1.034434225329930596e-01,1.056432831534217076e+00
1.074284624091930151e+00,3.131412931699741331e-01,3.811937774963710876e-03,7.023577968210575895e-02,-1.726979732354429142e+00
4.536396179938465556e-01,1.191164737147990316e+00,4.122069959906363504e-03,4.491493857096168218e-02,2.508456487528660794e-01
9.509942602732170958e-01,1.165442434518376480e+00,8.121896829336490084e-03,5.347299701543507117e-02,4.273139247341600777e-03
9.829109292935135356e-01,4.329405605762728926e-01,3.192927126462631951e-03,4.707084815793736304e-02,-2.493825703535660354e-01
1.451150021061695439e+00,1.482252787730209187e+00,3.285088066842885637e-03,1.055047604316095011e-01,3.489409175871246126e-04
2.939448451888398428e-01,1.251885602960085775e+00,5.488764276280084890e-03,6.010839705638663932e-02,1.143008982930484585e+00
8.499646707562040771e-01,3.517027587253623300e-01,3.829823601553306728e-03,3.131797198123239395e-02,-1.343230768494499405e-02
1.167326723067442673e+00,1.358349522660741604e+00,1.289236172057856488e-03,7.118518873854644269e-02,5.080476374598754535e-02
4.303947626170564478e-01,5.765163240001850431e-01,3.090538628475062669e-03,3.034372047175955961e-02,5.074529853174700091e-04
7.044867513198750375e-01,8.158311799275463905e-01,9.978460415494017424e-03,3.867601593868005838e-02,5.515609845029981792e-05
2.817641479914627656e-01,3.809142499555260297e-01,4.535205388002146523e-03,1.054448697998100759e-01,1.205104892415443663e-01
1.143645122908509837e+00,7.810811885086391682e-01,8.514017538345613340e-03,5.602508810668727773e-02,-2.628156892454665272e-02
3.140982527873328323e-01,1.265704550512549931e+00,1.453110379712970997e-03,9.050802736046406616e-02,3.889200579267124702e+00
7.136192208653578950e-01,9.352394889015330781e-01,4.533128301690339361e-03,7.893038334269666945e-02,1.027775356916600658e-01
1.335579420456951771e+00,2.964102616381514843e-01,1.307104013879953732e-03,1.064706983530061823e-01,-4.541643467851022464e+00
8.139904377750150077e-01,6.159096373347083819e-01,7.305267288054184509e-03,9.059552683585250787e-02,-9.311345230120342265e-02
1.386408513733151437e+00,9.066807685645869030e-01,3.428367715690489384e-03,9.019768613344175678e-02,-6.897747926854719269e-01
1.195692253060534060e+00,7.803796025334405195e-01,9.021149846088948043e-03,1.044579014992832594e-01,-5.022623182645640227e-01
1.389921148145295771e+00,8.279202563559481254e-01,3.685875793194670885e-03,1.081553078649642730e-01,-1.222592451002867620e+00
3.656239117635782798e-01,1.491493971630376780e+00,9.963376928830482496e-03,4.003809442779714123e-02,6.322995334680063528e-02
2.956317769298216769e-01,8.426293617392464075e-01,5.192597331775075480e-03,9.042377091064721095e-02,1.602017801067940894e+00
2.914241296399834869e-01,1.475712289519230502e+00,9.772183007712161029e-03,9.642933548724418047e-02,2.779642214025600744e+00
1.329510582651515227e+00,2.760018182016829025e-01,4.370627785803358339e-03,4.914399023121469173e-02,-8.624613829372144158e-01
1.024290973151676276e+00,1.352732167738808000e+00,3.241394256834253390e-03,1.037796022177672334e-01,3.870953858312221052e-01
8.455432019385089593e-01,7.413339627233392903e-01,7.934987973969701014e-03,7.205389338067680338e-02,-3.741917127678758611e-03
4.126064410554243778e-01,1.316686439927419627e+00,3.841728972262864819e-03,4.245969304314164972e-02,3.501121874318826044e-01
1.075853469045455757e+00,1.395799409055117124e+00,3.483154893552542312e-03,8.127442154652769757e-02,1.879154025164387343e-01
6.134226041995374246e-01,9.027202207100504250e-01,8.884627196539476510e-03,1.001429806610383694e-01,2.710748262946522935e-01
