m,r,omega,theta_tilt,F,F_noisy
3.761554733480901191e+00,1.761566814217215393e+00,1.922136100674242565e+00,3.210055981826421823e-01,4.174696067398841137e+01,3.796893418205306858e+01
2.935520849963453749e+00,3.082364526895762791e-01,1.126094402826008434e+01,5.636956913196208285e-01,2.828129274122989614e+02,2.824633832281886612e+02
1.746010418204168690e+00,1.234892431036328508e+00,2.811316771251881619e+00,5.436582873577717745e-01,2.974805408673580587e+01,2.890367326358309796e+01
1.222934039488071001e+00,4.078857242573201147e-01,1.784379754454898404e+01,1.159489113072333488e+00,3.749710861037054883e+02,3.753983720987027368e+02
4.864664359472596900e+00,5.304178203552176729e-01,1.911331794612989299e+01,3.374785619585647378e-01,5.415354373903958731e+03,5.415789017766003781e+03
2.822308634965454033e+00,8.465532510483733120e-01,2.061918425688655354e+00,3.148717071639308140e-01,1.384717681082801732e+01,1.808285432093011380e+01
1.021395256118466488e+00,1.202004594185461794e+00,2.885251844153180034e+00,2.900066137125911769e-01,2.035318941619699729e+01,1.812914789081243327e+01
3.305703899918751798e+00,1.174630932494470814e+00,9.695522983453509269e+00,1.165713371005584698e+00,7.946935087097722317e+02,7.939382986955182560e+02
3.995074014540340723e+00,1.107174052583201229e+00,1.572370570072581941e+01,1.037460130118230017e+00,5.334824372738741658e+03,5.338909915953726340e+03
3.258514854738681965e+00,1.923068563433699474e+00,1.270453801391957072e+01,2.312496900615706452e-01,3.706438607102609240e+03,3.707732013095012917e+03
4.627839671559062396e+00,1.116813967298877941e+00,7.302685709379821866e+00,1.182425839461402228e+00,5.582571302369664181e+02,5.595832569817189324e+02
6.781679449889128630e-01,1.519573047524656717e+00,1.233998198843130467e+01,8.514249095175245863e-01,3.408418094616387179e+02,3.398137967182638022e+02
2.878651684670097577e+00,8.017395870602865848e-01,1.616128578497266943e+01,9.676099928579297016e-01,1.786245465008699057e+03,1.782949314666987675e+03
2.567011472984316534e+00,1.539800609374462725e+00,1.850847583083753634e+01,9.103246682835821613e-01,7.856805386796009770e+03,7.857140316284455366e+03
7.805731061744402011e-01,1.546203122109202077e+00,3.628161018197445298e+00,1.017459770209470538e+00,3.039538030076191433e+01,3.061340847640500940e+01
3.385976761127187373e+00,1.405217672932550732e+00,1.701738791231556647e+01,8.585571659218459439e-01,8.586866047174637060e+03,8.584411343066147310e+03
4.336847773162955555e+00,1.557732348197785388e+00,1.331029639353518057e+01,5.828059552438354940e-01,5.799557825336228234e+03,5.798191372012666761e+03
3.168234581469278055e+00,1.230242052590873270e+00,1.118977327520143561e+01,5.313956993370809734e-01,1.170725674297349997e+03,1.170581586937895509e+03
1.670438514817504494e+00,1.740151235460890788e+00,9.374762341489034867e+00,6.350400447859784192e-01,5.286515729065411051e+02,5.267620696604195700e+02
4.279466844641339307e+00,1.698561082543831535e+00,1.070528569660474538e+01,7.406142416026005870e-01,2.590480670396224923e+03,2.590284130460520373e+03
2.792731466846792188e+00,3.735015930184207300e-01,9.715775403389049103e+00,5.542266671959339419e-01,2.359417480960665330e+02,2.361327141510054446e+02
2.798999980099398766e+00,1.007040417241056751e+00,1.374312325200697948e+01,1.331959140754039594e-01,1.394115221479506999e+03,1.394186393953617880e+03
3.888635934659800508e+00,4.172097159179296577e-01,1.832859673040961468e+01,2.701047886946430499e-01,1.949351170137138070e+03,1.948338586820509363e+03
1.165649161032304537e+00,1.910970270725072639e+00,5.500763086883736719e+00,5.982361677496664809e-01,1.508865723823300300e+02,1.520740685259016800e+02
4.188320236036746635e+00,9.828041533022697784e-01,1.039223268717932136e+00,9.765393688130714622e-01,-2.464347948085745088e+01,-2.286114557229279498e+01
3.574791077014657148e+00,5.961409725814100780e-01,1.489402895469115418e+00,5.250215279943722946e-01,-7.381888315591038641e+00,-6.740191706457911103e+00
4.041936236996605203e+00,1.707731375100622451e+00,1.832223590020795356e+01,1.050211601325383048e+00,3.582651123647478380e+04,3.582487477602000581e+04
1.362273165590608626e+00,3.569890872732121578e-01,1.864782129014207257e+01,1.108992637086622546e+00,4.082617742184903022e+02,4.097250787860612036e+02
4.110638725105385305e+00,4.773565075625994525e-01,1.762783101670305186e+01,1.890872192550595021e-01,2.258987808766911257e+03,2.257984928729977128e+03
1.360957667257401305e+00,1.421893886149166342e+00,1.206698932580886208e+01,8.953927495985941620e-01,5.917461827701332595e+02,5.935045040067092259e+02
8.669867781358071568e-01,1.113361981199883832e+00,1.211902600955080977e+01,1.148508711752070477e+00,3.137919027951611497e+02,3.116483279614062667e+02
4.348521384291816005e+00,6.811303992888457781e-01,8.674295240148875763e+00,4.279882547261439907e-01,5.008111252450195252e+02,5.026400596512771131e+02
4.375775732799507267e+00,1.237303584671921808e+00,7.418574127499237392e+00,5.901656016219268830e-01,6.207561331034717114e+02,6.207160061942407765e+02
4.444416933874611786e+00,5.732906128607569984e-01,1.873123437083775045e+01,6.071773321758150432e-01,4.563065314984619363e+03,4.560567817203950653e+03
2.623593737114556124e+00,7.566240996152258091e-01,1.107643579207499940e+01,5.940768790855948112e-01,5.462559663532592822e+02,5.456281674093255560e+02
1.733217748761732180e+00,1.299909105453610492e+00,6.228977765922093290e+00,1.010760757368732055e+00,1.891985115844317420e+02,1.893067161419748174e+02
5.319132287142481763e-01,1.789277878622321127e+00,1.348730127989144023e+01,1.112798025447464312e+00,3.676468631188183167e+02,3.681924457971472293e+02
3.405744030087265450e+00,1.465720890993039260e+00,2.741538149196174778e+00,1.021287597258005109e+00,5.549022909809990267e+01,5.352585284821794431e+01
3.739592225789118540e+00,1.357810011456013877e+00,1.399008235436569336e+01,2.416617453389091341e-01,3.982550278322228678e+03,3.980335532227898511e+03
4.260061474251234159e+00,1.543964846729034779e+00,6.175822015489664807e+00,1.082093618549597069e+00,4.839581213082200293e+02,4.843572903739141680e+02
1.768450223140439537e+00,8.810764051373911609e-01,1.418817285182600330e+01,8.554882693310382757e-01,7.014070395069834376e+02,7.004735402732238754e+02
1.468481752233381066e+00,1.965760508366971804e+00,1.015662743287618852e+01,1.129885049436941680e+00,6.086378805095403095e+02,6.091088917330007462e+02
3.376991210299645552e+00,1.300268324014280941e+00,1.736248757127952658e+01,5.321479327630997957e-01,8.007335370816545037e+03,8.008854409861502063e+03
4.122746749152543799e+00,6.636102959208904917e-01,1.537580626653620897e+01,4.362505088974280021e-01,2.190137336216953827e+03,2.186839761484251994e+03
4.836518927802369028e+00,2.647374461297380410e-01,1.968194930604363435e+01,4.736706928159002405e-01,2.054620402945884962e+03,2.055129179178920367e+03
1.177361736895298661e+00,4.011600535326058647e-01,1.203276963929428867e+01,5.200590402490596897e-01,1.676992812682354668e+02,1.701485752033069332e+02
2.669955746897014315e+00,5.573164729066232281e-01,1.669807774213577645e+01,1.071898866348590440e+00,1.108207486801341474e+03,1.107612433112600456e+03
4.526221379882780838e+00,1.521870750218313750e+00,1.351556205844280001e+01,6.331002526879048187e-01,6.613521328817547328e+03,6.611899699651072297e+03
2.402226081254467793e+00,1.666138096050705952e+00,1.499798755187107879e+01,4.168950414378066460e-01,3.016879850203821661e+03,3.018384337858180970e+03
3.152759279378216206e+00,1.865815121087795569e+00,1.801335986231543984e+01,9.479409363556073886e-01,1.881472996950179004e+04,1.881523686253420601e+04
6.102080487201344550e-01,1.357238423319624410e+00,6.945608078904773386e+00,1.537547752476097207e-01,9.695404462736844664e+01,9.874581076892356180e+01
3.530569492188225134e+00,7.350985819559192613e-01,1.612731101221206131e+01,4.822155204362909009e-01,2.271133815601047900e+03,2.270443384180945486e+03
4.635898788352201372e+00,1.709964360818279516e+00,1.860991985596302456e+01,9.704551268622820803e-01,6.227796713352067309e+04,6.227500349697322963e+04
4.220713983005245140e+00,1.916246305790841875e+00,1.979127445811938912e+01,7.692844048933399348e-01,9.411040384621442354e+04,9.411018382468499476e+04
4.484841200194760624e+00,1.454426912067649846e+00,3.770542927292144686e+00,4.989506577405256049e-01,1.820158747419422411e+02,1.811242184359197722e+02
3.471599212342355134e+00,3.302444719474522672e-01,6.343335454561023212e+00,4.029415283325665786e-01,1.033295050064239149e+02,1.048801526505190651e+02
1.604985202594299221e+00,9.397675582075448730e-01,9.068898592994271368e+00,2.008975431918549881e-01,2.857389660029200513e+02,2.861262316996743493e+02
3.958326495033144710e+00,6.480985336549365261e-01,8.236134241468596073e+00,1.268481215336934864e-01,4.019455664917728086e+02,3.986838680269025872e+02
1.452536341733797309e+00,1.890668921394747848e+00,1.881191358640197819e+01,3.208307160847137518e-01,3.359589192041860770e+03,3.357198865881654456e+03
4.240736755990075046e+00,1.660022104026928513e+00,1.477444997094090828e+00,6.376581624810796489e-01,8.240278332786996174e+00,1.000785640596150650e+01
7.822306515684571693e-01,3.258688018343829373e-01,1.803327167977530721e+01,6.029396590441096215e-01,2.034967226951423811e+02,2.048562527299780811e+02
4.214695160271000773e+00,1.296977474579350087e+00,2.612397682708418767e+00,6.822038275687979381e-01,5.717952607215554650e+01,5.589903934033856814e+01
1.240282699133455901e+00,1.973265649610920214e+00,1.881335559248088529e+01,1.274286097694708741e-01,2.639323418109969680e+03,2.639321320516834930e+03
2.188161484234888210e+00,1.142851028635640365e+00,1.850462384100618962e+01,5.822835004952526816e-01,3.042642575494066477e+03,3.043533722601619047e+03
1.925321749506339275e+00,1.800994419680027159e+00,1.016327856556631559e+01,9.107209193077985265e-01,7.484768563368481864e+02,7.494136650085426936e+02
3.611016658749835795e+00,1.662195218982714051e+00,4.309817346657930592e+00,9.248547049916704399e-01,2.132870833451916042e+02,2.150395677374202990e+02
1.303573451784673765e+00,1.048767317958799739e+00,4.638095588268495106e+00,7.137361283991303651e-01,6.171356409301645840e+01,6.222653534745958126e+01
2.283152729976439144e+00,9.956151135059867485e-01,5.928833763652370692e+00,8.751373356524673186e-01,1.710931968532882479e+02,1.709035401753512531e+02
5.262106779859142547e-01,4.909721379533789065e-01,1.712942948406709576e+01,1.104187259207901339e-01,1.844438192401174206e+02,1.839261231105417380e+02
1.681226207375456694e+00,8.380452262040185563e-01,1.127423462059195636e+01,4.700302059874382765e-01,4.003579257302562837e+02,4.024694113313227604e+02
2.395349664030298698e+00,5.444600161843693442e-01,1.762166757744259726e+01,6.634802514923516803e-01,1.081339643689762852e+03,1.076837935139605861e+03
9.766455651829599738e-01,1.722273650933199729e+00,1.533838768188885737e+01,1.112963839164355262e+00,8.352558829743900333e+02,8.349785723242073345e+02
3.349219757164509925e+00,1.286125888147798380e+00,1.938637373578313117e+01,3.831529012127330436e-01,1.398755846653009576e+04,1.398762446673806335e+04
2.211909214489395481e+00,1.885236088427242773e+00,1.356616178642208048e+01,4.217421901705722398e-01,2.173529964023559387e+03,2.170679266101818939e+03
3.763822721343074829e+00,9.386375915452247476e-01,4.230843137850637703e+00,5.845662091007066685e-01,1.260763653646972529e+02,1.267419925909733394e+02
3.442397049807774501e+00,1.463076777581359345e+00,1.139184083618302168e+01,8.532648434772260870e-01,1.748181495195896787e+03,1.746878933171009976e+03
2.440520369498327735e+00,1.699670334852719344e+00,1.504639311754970166e+01,7.364123167577346640e-01,3.260620062186786527e+03,3.262344951779417897e+03
4.402942275389897020e+00,2.231791046408455603e-01,7.800184190552553076e+00,9.259886033767629199e-01,1.241360959827487704e+02,1.238849118146801231e+02
3.344608028750751583e+00,7.811370983721659389e-01,1.999577190048912456e+01,4.039712030471537263e-01,5.610660239966855443e+03,5.611998546448434354e+03
4.146234584478346363e+00,9.852136251559211466e-01,5.127992510160199302e+00,9.824704476249455087e-01,2.094217769350475464e+02,2.118594641453900067e+02
2.038076257730508267e+00,1.871486199244246862e+00,1.860597763918236680e+01,1.101241171477901348e+00,6.811291587508233533e+03,6.812057446673660706e+03
2.946511803508050420e+00,1.766879942228253064e+00,1.030874203839056413e+01,6.936918661092026372e-01,1.306905544502576731e+03,1.305154102215730973e+03
1.383335983016390269e+00,3.521148369478077633e-01,1.705072144572702797e+01,3.966541640030539773e-01,3.479833213886003023e+02,3.449546841251910223e+02
4.982635355533825638e+00,1.919826410628830970e+00,1.112418867968432501e+01,1.029799364299797571e+00,5.241769384979907954e+03,5.245276153214940678e+03
1.594469589378471941e+00,1.328426856052686844e+00,1.146164663470070799e+01,7.872694307161031135e-01,5.886128575490381536e+02,5.883902731626631066e+02
1.655903602521962448e+00,3.294804333357513881e-01,1.443629653161596949e+01,1.049444258781958350e+00,2.754146513514056664e+02,2.740375214561370285e+02
8.293553257593468953e-01,1.442220047889758661e+00,1.095736280289261444e+01,5.641021263303170885e-01,3.176178926465909740e+02,3.179064068227125972e+02
1.660114035485314554e+00,1.739652734058241723e+00,9.520934231366483758e+00,8.274986460839111047e-01,5.395353918194234666e+02,5.391525691584581637e+02
3.934078396448239534e+00,6.659395097714935208e-01,3.256268513016310706e+00,1.358254018325195378e-01,5.900407135157811922e+01,6.070835588000349503e+01
3.640521068073866218e+00,7.807908030244783415e-01,1.378178866803138014e+01,3.799876421580831165e-01,1.522803088200901811e+03,1.522870944565775972e+03
1.079029455427262363e+00,6.998468419449261901e-01,1.924082487073719605e+01,4.368388563656306900e-01,6.310013562867782184e+02,6.310288554540150017e+02
2.193073256426424145e+00,1.464513315596196907e+00,1.890989164665117528e+01,1.114816447989209314e+00,5.307284733398617391e+03,5.305855573956551780e+03
2.394146275778583188e+00,1.492902507756834085e+00,1.892505873043822673e+00,8.554385156509423105e-01,1.027308930401309617e+01,1.121222550150808317e+01
3.492429108628823275e+00,1.593828615154638584e+00,9.297531035862069970e+00,1.507240030569979017e-01,1.106283973449499626e+03,1.104216240004789597e+03
2.551680333696869862e+00,1.857874036539516105e+00,1.231874624876295066e+01,7.139409968305414633e-01,1.950128631616262965e+03,1.951460410495790939e+03
3.139332470714891521e+00,5.272908474601329942e-01,2.876197163139019963e+00,5.783741452692212626e-01,1.448030316848072019e+01,1.752817819446098468e+01
4.278580716240240278e+00,1.474846277159825858e+00,1.450202597715307817e+01,9.381888233072198657e-01,7.648076021885533009e+03,7.645026649809335140e+03
3.769131246405667213e+00,1.362265380763929556e+00,9.233897063090985569e+00,3.349099263095877133e-01,9.954049095556033535e+02,9.904724510929007693e+02
2.142532685788514968e+00,6.727179481706575537e-01,3.466736996873074794e+00,4.671597436221174293e-01,3.082940026210427931e+01,3.206315777241292153e+01
2.517783392050179092e+00,1.955555266746673571e+00,5.040308309516413843e+00,2.874126670251859750e-01,2.632991489526280020e+02,2.683949445835942811e+02
2.154648063605029584e+00,1.058528405303476694e+00,1.348516948766739887e+00,9.459486138440630354e-01,-8.267452472391498830e+00,-1.026930217013528690e+01
9.938059880301353122e-01,1.907889456245992710e+00,5.372036972747269878e+00,5.907225001266361852e-01,1.236840894501573587e+02,1.211826979325533813e+02
1.414586948393284693e+00,1.949192827586592180e+00,1.430999677707297835e+01,3.385934318306352275e-01,1.320838939451786018e+03,1.322016877319347032e+03
1.777129200248589891e+00,1.820086572509534983e+00,1.037432911975579408e+01,5.763473181907812215e-01,7.292265553676477339e+02,7.275451121875311173e+02
1.913602530210359864e+00,1.027073647964167780e+00,5.441901661241611343e+00,6.313229437008438527e-01,1.274946883924688166e+02,1.264826374245953389e+02
1.908715364689719696e+00,7.035982222655396967e-01,5.802302814712704482e+00,1.077775706485965657e+00,9.373106089572010546e+01,9.303482596235255642e+01
3.095148723138283930e+00,1.254371490839647940e+00,9.993121874557429507e+00,3.679959640591803360e-01,8.667047469474634909e+02,8.677687511200471135e+02
4.872604890288895874e+00,1.009164499314749719e+00,1.493262514170975663e+01,1.748747887601934115e-01,5.636883990333158181e+03,5.636073385610371588e+03
3.985988607156794039e+00,1.042762847320229724e+00,1.958910586776049101e+01,3.728752341897280109e-01,1.502974021104259373e+04,1.503029597672275486e+04
4.060102766777623273e+00,6.393464186634723045e-01,1.047595113436670644e+01,1.618066210956776996e-01,6.804427948136184341e+02,6.800897282958312644e+02
3.916708252428109827e+00,1.716055535724110070e+00,9.422195009496734386e+00,1.464345900612978868e-01,1.482735942833380022e+03,1.481046600626076724e+03
3.186444787356903952e+00,1.515303367827106173e+00,8.203869570192843241e+00,4.774339536657795646e-01,6.810440425231092831e+02,6.804043900076228510e+02
4.629615157269107328e+00,1.757557276183772110e+00,1.660927120258010348e+01,9.097036069114776691e-01,3.192254897240164064e+04,3.192064817307130579e+04
3.603335699511864387e+00,1.156769886653350010e+00,1.194682793479091742e+01,9.423461833544791721e-01,1.583971795971032407e+03,1.583984825942771977e+03
2.751603938315919429e+00,3.667947169539501617e-01,1.840038224984427728e+01,1.068758689902013836e+00,9.566493203010656998e+02,9.544015878459343867e+02
8.468771382524243885e-01,1.752156091146166439e+00,1.141604283969906675e+01,1.020131283465462557e+00,4.074431032934383552e+02,4.052573145548478806e+02
2.698021521884857332e+00,3.246521628955021943e-01,4.779465762136362983e+00,1.088920534252058259e+00,2.535170586785534041e+01,2.826562949846585227e+01
1.457739479031504581e+00,4.781288170640599633e-01,2.997190636594770474e+00,3.147689145974756908e-01,9.895405394907573537e+00,9.789036954296891579e+00
1.097133338960542659e+00,1.899416234044973617e+00,1.122279192193376218e+01,2.980106802248321252e-01,5.454866514566338083e+02,5.453788474056897257e+02
2.777292151382178442e+00,1.210708593667519484e+00,4.622633510903408904e+00,1.218128988770660337e-01,1.621681827122043842e+02,1.631912555520396211e+02
4.032883816686315015e+00,1.414995338659503554e+00,1.427212118604315094e+01,5.486685851174718520e-01,5.603546926237386288e+03,5.602705212232288432e+03
1.827528992624837478e+00,1.677786800938081857e+00,1.587711296011766393e+01,6.186055233600892267e-01,2.241701436009822828e+03,2.241244365274866595e+03
3.959472919591249251e+00,1.396202844233215945e+00,1.577062016602094197e+01,2.900964055643817652e-01,8.598599803062979845e+03,8.599450100533644218e+03
2.865332854230143500e+00,9.991483185579175252e-01,8.718547972596704554e+00,1.172663981731183247e+00,4.569322198779934752e+02,4.574970515624822838e+02
1.170716105168206456e+00,1.177398952302455504e+00,1.146606953254634398e+01,5.221955265775761745e-01,3.948300606423490535e+02,3.925114671884841755e+02
4.842354847908810989e+00,9.172708286100845765e-01,5.306645652460502127e+00,5.219788839769461397e-01,2.573443319588031954e+02,2.590110171521425286e+02
2.307363007498328678e+00,1.238942764947060349e+00,1.085960947654213271e+01,5.323926240666494447e-01,7.338867820863588349e+02,7.327059121997807551e+02
1.828554150482130991e+00,2.039726552779499436e-01,1.652789208590773740e+01,2.840239979704288764e-01,2.714093437337770638e+02,2.692971858331487169e+02
4.311492667851783089e+00,1.114878973172136023e+00,1.314500528177839378e+01,7.520662451034189067e-01,2.920522822041712516e+03,2.918721871901714621e+03
1.060071496319659357e+00,2.428792086723357557e-01,1.367605379156262124e+01,2.295035161545700975e-01,1.231670557253089413e+02,1.223859650365982930e+02
3.801157074831665206e+00,3.974095078831562100e-01,1.916662901022233356e+01,1.142018499502435835e+00,2.033091358331152833e+03,2.036345958840398907e+03
1.345211341544607420e+00,1.723462894293739112e+00,6.448511067573019950e+00,6.199932717449480046e-01,2.136054063414716779e+02,2.112543345316301213e+02
2.266212992056621189e+00,1.386895011149804846e+00,1.334184405842353272e+01,7.544152778334408671e-01,1.384199818560397262e+03,1.384519970345465936e+03
1.543549453079622991e+00,5.279021674915431728e-01,1.780843609747791234e+01,4.950953254308380069e-01,6.126316016072081538e+02,6.083559528910269592e+02
4.285525967115741075e+00,1.544964545453293203e+00,7.311618776029893851e+00,4.692869038941004378e-01,7.390351784854209427e+02,7.390320446191306019e+02
2.255335483729377977e+00,1.056409885258116743e+00,1.958537591919629728e+00,1.183811527088415971e+00,-4.111870296027877458e-01,1.387945805349226402e+00
4.886117657970301842e+00,4.427232967516320783e-01,6.601499970059323097e+00,2.230658370862307616e-01,2.217599037390359342e+02,2.212865770949130138e+02
3.313676679867980646e+00,1.873434251257457550e+00,6.506862624640124437e+00,2.519389105040802934e-01,5.314442506885504827e+02,5.301855408407838013e+02
3.621302756163118364e+00,4.030491772737230249e-01,6.457605048134708703e+00,6.830841162614457174e-01,1.299702255580300800e+02,1.304332476861471548e+02
2.846863049595878881e+00,2.355371444329256159e-01,1.098234169071170641e+01,3.110362110669168123e-01,2.079682045560600727e+02,2.093685080583613853e+02
1.890356895840160201e+00,6.618831112218710455e-01,1.168500361136963406e+01,1.072508818400861458e-01,3.972597718127224198e+02,3.985870869547572397e+02
2.280003894735929126e+00,3.563478324636203398e-01,8.317816608695018488e+00,7.778205916973097711e-01,1.281959037957320788e+02,1.321408515035916480e+02
4.734203844478558132e+00,2.300986254468242731e-01,7.117954127988791235e+00,1.035400927756193190e-01,1.401125131603671150e+02,1.405308481050396665e+02
1.405414403260990097e+00,1.375835377635597823e+00,1.094855761872381450e+01,7.966743390784912782e-01,4.890319058503721976e+02,4.878470856508663474e+02
4.946985055490955574e+00,4.375318501843251107e-01,1.487117618166934285e+01,4.376876819956491138e-01,1.533125802464737262e+03,1.532873844084763959e+03
3.912376379017183048e+00,1.214983719311578225e+00,1.617307830343885922e+00,7.778249758851170093e-01,-1.297519412363357105e-02,-1.579722853632576640e-01
2.119041169216746123e+00,6.366616925079561229e-01,1.668896704227478622e+01,7.348195740540676146e-01,9.335340308456297862e+02,9.337515056125860156e+02
3.386811152775214939e+00,1.893170244381517708e+00,3.516251523555953717e+00,1.119084949075642044e+00,1.440576703616145551e+02,1.439976147351556790e+02
2.214416926818894016e+00,5.885407789306507098e-01,1.822164474833422787e+01,3.699327659427343873e-01,1.166116237863168635e+03,1.166464169740961097e+03
2.216718196879639891e+00,1.137178507414828843e+00,1.036079599087547543e+01,1.116409781690792302e+00,5.743242955529091205e+02,5.709825954316788739e+02
2.767113275875383138e+00,1.522977064348981502e+00,1.172084956751886509e+01,6.872350958890476313e-01,1.435502310009643907e+03,1.437161567921724100e+03
5.752526973591969295e-01,7.600338535330561918e-01,1.963565823540980304e+01,1.000174295204690061e-01,3.727771962710401681e+02,3.716277177331980965e+02
2.721072019745282677e+00,1.697130902095390637e+00,1.804714714021197963e+01,5.384511149485381454e-01,9.979310500423734993e+03,9.976964183030841014e+03
4.872192860510995871e+00,7.651621138365365393e-01,9.456661568746595137e+00,1.635726143831829071e-01,7.902617591537912176e+02,7.915372614730740679e+02
1.784593529535102974e+00,8.981481147933847442e-01,4.843383182046928859e+00,8.656200574847590090e-01,7.658472143737814974e+01,7.921937345215030746e+01
3.866980815844754726e+00,9.746989085499289107e-01,1.231924888429536225e+01,8.858611587948568289e-01,1.555279364662811076e+03,1.556265420961809923e+03
2.492550005317227590e+00,9.540094194772494873e-01,1.763507629899498275e+00,4.308957292582071830e-01,5.896760639611503763e+00,6.219079267302544345e+00
1.441764691780034635e+00,1.294298577938746142e+00,2.274387862025294638e+00,3.627255046660907700e-01,1.642288719601926061e+01,1.455844658527535707e+01
4.572511568681583149e+00,6.072421008796955455e-01,5.299590128198621741e+00,5.780172437926675011e-01,1.615771174956588538e+02,1.673202521712858584e+02
5.757227810609584218e-01,7.925853987973339176e-01,8.937253447824279107e+00,7.693496647092059604e-01,8.727344813736011986e+01,8.903396537868313487e+01
1.865790169697798095e+00,6.121496563715267403e-01,1.418039725012169328e+01,2.439533566112919438e-01,5.342393549795672243e+02,5.319607656388812984e+02
4.995616470457719061e+00,6.985014473304049787e-01,2.879338950190273305e+00,3.673171982860576890e-01,4.841257497504116714e+01,4.685329914256168138e+01
1.679660582854952677e+00,1.573008187095209731e+00,1.724222242349581435e+01,1.024392213437069543e+00,2.331195948268052689e+03,2.331369906765196447e+03
4.320700348366724342e+00,1.332680156879363143e+00,9.545776203816446426e+00,6.461229640481324088e-01,1.269144003928125358e+03,1.266034541664133485e+03
3.225574168950669396e+00,1.933020744363262100e+00,4.684439005463110206e+00,4.211092167243868367e-01,2.767174507139251887e+02,2.770547115279462105e+02
4.127160683872055813e+00,1.910234073128686871e+00,1.742453466887796054e+01,1.297749415471453338e-01,3.742092060230948118e+04,3.742000245919805457e+04
3.336429899495652052e+00,5.691538044341104552e-01,1.412669895395230846e+01,3.800499978555423874e-01,9.884178274869595953e+02,9.908703686875920766e+02
2.132135856760317694e+00,5.779028647300621380e-01,1.733699835969154890e+01,7.983184461513163077e-01,9.362589334615743155e+02,9.381832427888308530e+02
