c,e,immigration_rate,suitable_habitat_fraction,p_star
1.498679012349347195e+00,3.273884574364882005e-01,9.676797190159577844e-02,6.922706500525007689e-01,5.059847791776088677e-01
1.145637780456306709e+00,4.040636952631428969e-01,9.570144664594064723e-03,6.700544223129427657e-01,3.239028180937991164e-01
7.584353760061202099e-01,1.759985499548751831e-01,6.493496028249101659e-02,7.285008453183823285e-01,5.277147139623314942e-01
1.074503645897220361e+00,3.693488130584277052e-01,7.492540071521647249e-02,8.969024190461105661e-01,5.966171812146026099e-01
1.801078101828200495e+00,2.824720020705513979e-01,6.443313702400436938e-02,8.448586390541766855e-01,7.015131913390827423e-01
1.881278328721249560e+00,3.443901828439157597e-01,6.914627931047202802e-02,6.670849783162635660e-01,5.039848007830483034e-01
8.440313540763264566e-01,3.854824568672958751e-01,6.727444736342054130e-03,4.633575839219452597e-01,4.478697141608897064e-02
1.228753695313569816e+00,2.316373755261435241e-01,8.978482980094625032e-02,7.314481496526774595e-01,5.695112476115059552e-01
7.793649039366958853e-01,3.308878805515576560e-01,4.896390320250449540e-02,8.444241441594432240e-01,4.654492504451451795e-01
1.269740054359454362e+00,3.337823023247301624e-01,2.986749609413162990e-02,9.634166445788244770e-01,7.169072754140999315e-01
8.082402059128398486e-01,1.254131267910996161e-01,1.587041115349392684e-02,6.356354477953363169e-01,4.843454674532110538e-01
9.049142009506901951e-01,2.057779516406549325e-01,4.687215654282830130e-02,7.330833127437829111e-01,5.270048712694579418e-01
1.802493833608626250e+00,8.729051540829009526e-02,3.984236231968604769e-02,7.498849114635317559e-01,7.047494262082111272e-01
6.088836683600835631e-01,3.906315407847354426e-01,7.620694684358511606e-02,4.699363301954297412e-01,1.238544170095209895e-01
1.321736860434876482e+00,3.080019866406879525e-01,3.899836582996880213e-02,9.347903842860789680e-01,7.183664526655461069e-01
3.512276184482926999e-01,2.211697232937071544e-01,4.771152324647848914e-02,6.820406620488265181e-01,2.352630870494114568e-01
1.698759465776116029e+00,6.387963900009473173e-02,5.748435814836017760e-02,3.497615391525911721e-01,3.168724222068523555e-01
1.616776953479630130e+00,2.992510711645038346e-01,3.473509587838081308e-02,5.482397902436774162e-01,3.785860982748238124e-01
6.308649973873139416e-01,2.938565230721400523e-01,3.264916477909517861e-02,7.752135009542744370e-01,3.494135009425617944e-01
1.777671615459266885e+00,2.564046560933475050e-01,3.291662117444146829e-02,3.740833281463838977e-01,2.430954727855196007e-01
3.054224626493498573e-01,4.225295141326472215e-01,6.931542088516323696e-02,9.673205414070814578e-01,1.976225563018693676e-01
8.050107089821887385e-01,5.609441445472589799e-02,4.602539020890066696e-02,9.561768215208684696e-01,8.918458698408969765e-01
4.705030404107103381e-01,4.650870111139863705e-01,5.767269435071366301e-02,9.643902019337958764e-01,2.388793337378656012e-01
1.010610859968716690e+00,4.881711607907948114e-01,9.827138942703983471e-02,8.107207584065951878e-01,4.231852843951962595e-01
1.633383686517129618e+00,1.172441079699833438e-01,2.395357113076761885e-02,8.604222099293391546e-01,7.924905597046221217e-01
6.151559761887454014e-01,4.417949110192295747e-01,7.694597945473931853e-03,4.293286419985669622e-01,1.065722397979212629e-02
2.936383419159372954e-01,3.266343759392013046e-01,2.421707501421299993e-02,4.577424613851352464e-01,3.301167750730462508e-02
9.281933116787507432e-01,4.596706969820125721e-01,7.050955901471046838e-02,6.968312442996925649e-01,2.967249359847594636e-01
5.573234801166596641e-01,3.861967181989847675e-01,7.572606892968493375e-02,5.241468066056645947e-01,1.397649424404615037e-01
3.633554821144194258e-01,3.490549290890350709e-01,1.977208815326781180e-02,3.452006419837881923e-01,2.013107685989873330e-02
1.244598294776331215e+00,4.019485147254238666e-01,3.898518562829004358e-02,8.764179506355043170e-01,5.785900596811821561e-01
7.376530390740606569e-01,1.766990952192872555e-01,4.326494534512638490e-02,9.854486719505453074e-01,7.644204938824201712e-01
1.409590780321446912e+00,2.740378382381140066e-01,4.190884538599439629e-02,6.748643268957811303e-01,4.971185077136956454e-01
5.591277991427839877e-01,2.701861390879853886e-01,7.099308819996187625e-02,7.500159120340041952e-01,3.724995655135850958e-01
1.895803598911696142e+00,1.215315807411072035e-01,9.722198941636010783e-02,6.003657114146799811e-01,5.443356344840371008e-01
8.571983028406914285e-01,1.531471111732757573e-01,2.242467767667744374e-02,3.330833125364143221e-01,1.707056733535533000e-01
3.898915032264131386e-01,5.722300265929020080e-02,4.810913466526281490e-02,6.314463263895090384e-01,5.061592758921189539e-01
1.332394672771476607e+00,4.475611476691753188e-01,4.899846946385375684e-02,6.415800571751408832e-01,3.432477058643401135e-01
1.868878195522161390e+00,7.091738039547530736e-02,1.868592396491615751e-02,9.946446737558956031e-01,9.583624449116417976e-01
9.926788784884111871e-01,9.204154056093695468e-02,5.211691613780511378e-02,5.908039403238216636e-01,5.076642688683434823e-01
1.918262888643327058e+00,3.641452637133725800e-01,2.320285742396441253e-02,4.370208273397833132e-01,2.609547687180239772e-01
1.099812464637764720e+00,4.392894170966933909e-01,5.833847516085727269e-02,4.592972257154677718e-01,1.541803234068858386e-01
9.654115247283360235e-01,3.635897456526397398e-01,3.156370374620327129e-02,9.735429636501130579e-01,6.208895735396591231e-01
1.316384213627679989e+00,3.707196711894836794e-01,3.213625259067318107e-02,6.657347777115127929e-01,4.052140753367443615e-01
1.991173709423583515e+00,2.181727903874796926e-01,4.866032571865905321e-02,4.644589742315973768e-01,3.662355917207528178e-01
1.908098614887977718e+00,4.026821729025910623e-01,9.440533132748041290e-02,9.983482687205935679e-01,8.070074406023831637e-01
1.028081250756373022e+00,3.978983418248361326e-01,8.844690567959841154e-02,3.173718432205817619e-01,1.025108231448727258e-01
1.563911921554924644e+00,2.118905671236629984e-01,6.737034434826705276e-02,4.851417045814083173e-01,3.677919734457452128e-01
1.095360851877714259e+00,4.649161489816747150e-01,9.914213650278722034e-02,8.850530640317499920e-01,5.316054631663533758e-01
1.152761888354186803e+00,2.557122931308336566e-01,3.522407359928713538e-02,5.382286575673759232e-01,3.351309261265881245e-01
1.614414261284853547e+00,3.526899851463354829e-01,4.843755900642997617e-03,6.959424117945890442e-01,4.862777475700481022e-01
9.463805288402074023e-01,2.305177944026991221e-01,3.626238145495948306e-02,3.701441025091343762e-01,1.645646576085290635e-01
1.522070429219712917e+00,3.081356954838968543e-01,4.574721628376145210e-02,4.383081421186848514e-01,2.596887562908550273e-01
1.480057180381549653e+00,8.874596753139833705e-02,4.914591674001927285e-02,7.513319487244864980e-01,6.961563029364348232e-01
1.877707435904080846e+00,2.392965269408998397e-01,8.323377150219221643e-02,5.034322331676657214e-01,3.939734740590483120e-01
4.068787399056293386e-01,3.932811332736262933e-01,3.198538167598009158e-02,4.953701452673920924e-01,4.616108360792665899e-02
1.512227210737356886e+00,4.275008068350488188e-01,5.234218542913141037e-02,5.933175515215703966e-01,3.433675299207783471e-01
1.869363071524207998e+00,2.034034719651167111e-01,8.584895320233264238e-02,4.846195378937946385e-01,3.915428357124119407e-01
1.942267141864363555e+00,7.468465781372528312e-02,1.907213816604894779e-02,4.213184918239644694e-01,3.853482373602236111e-01
2.264713489376647404e-01,1.259472764781498777e-01,9.100624830107471863e-02,7.585773996016772491e-01,4.396215074504467579e-01
1.754552162442036378e+00,1.773481888395386508e-01,1.456590037751511434e-02,5.950839748472031010e-01,4.995423282111418062e-01
1.966151072119419752e+00,2.726757605361105896e-01,6.952072925068024378e-02,5.290939301968144992e-01,4.073074868386704073e-01
1.922978323299734393e+00,1.684205880360243046e-01,9.512346055358562869e-02,5.819053814282875159e-01,5.057004827875615227e-01
4.677752220184962506e-01,2.166698133310464847e-01,6.110135586880742486e-02,8.729231608364715900e-01,4.888633509896437301e-01
1.950731864881319000e+00,5.772624249534251406e-02,6.881150058726411001e-02,4.822738389371142298e-01,4.560302892905288563e-01
1.801884000296937183e+00,2.363685738899347355e-01,7.698398337011443104e-02,8.786634320576829360e-01,7.592167759389444326e-01
1.680272889577526740e+00,3.633894792963314746e-01,2.488790963452831503e-02,5.028906370447484564e-01,3.018882847912313094e-01
1.063978262854097911e+00,2.520068669907984393e-01,1.084820784530718049e-02,5.846271073823541276e-01,3.524293009408416277e-01
6.182712553507468956e-01,1.373089107799534414e-01,4.423921197296522972e-02,9.843104769644552832e-01,7.798599732535902440e-01
1.643385041692954296e+00,4.686470994998139794e-01,5.840434919221654253e-02,5.433800103100108192e-01,2.962044359689993134e-01
1.862354287610245240e+00,1.329020498943399020e-01,2.771752673487021257e-02,9.092835018494803689e-01,8.416973682011055224e-01
6.790344901261267108e-01,4.407470799638962822e-01,5.336220717859031792e-03,9.377020852592757860e-01,2.715240455331376368e-01
1.170081933719936407e+00,1.357965398615166019e-01,8.393201078744240429e-02,4.998157097014289674e-01,4.030919181898282577e-01
9.969550921541566746e-01,1.179058553455659408e-01,7.535874046913312863e-02,3.711299556037428449e-01,2.774096250438600753e-01
1.875831168766079138e+00,2.694907711540748263e-01,9.467650922298517790e-02,8.307938980933530226e-01,7.021310002612656254e-01
2.729192801391823742e-01,3.471383222058130325e-01,1.621973637308625135e-02,8.473827319140864178e-01,4.139876829600881714e-02
1.517611152181809420e+00,2.538397266958920540e-01,4.301275910419781467e-03,3.378747951735329713e-01,1.714685379548362976e-01
1.305871844508194046e+00,2.786685783872281941e-01,7.414699750051352567e-02,7.058967498618266001e-01,5.194759377198944206e-01
2.510576572043379251e-01,3.305595749424029561e-01,8.676758596983999428e-02,5.394635337549086307e-01,1.261094360242337731e-01
1.494595591088132558e+00,2.674974439020436634e-01,2.299090746850786932e-02,8.461838382088540111e-01,6.774189669308002815e-01
2.287851131424295525e-01,4.805845719626051227e-01,3.835743954768263547e-02,7.506526561244439844e-01,4.520605377146214715e-02
1.564311804241570680e+00,1.180943697346031468e-01,8.490076621630650300e-02,4.660650941552575421e-01,4.019322898502878383e-01
1.122965701871740496e+00,2.261022976918981298e-01,2.136666415304890911e-03,3.832241589476974575e-01,1.774271625139065556e-01
1.872387597434611139e+00,1.074766581081682548e-01,2.744090929002595061e-02,3.112530833724918566e-01,2.584482669189021586e-01
3.189484941033345344e-01,1.389007257591728939e-01,1.384671654328450095e-02,8.686787385593202071e-01,4.361787837801845424e-01
1.714371103302289923e+00,3.290175180538607580e-01,9.483703815437195817e-02,8.976948375395845670e-01,7.263043330126628394e-01
3.200420157807825627e-01,4.399478028559185572e-01,5.387282334000700543e-03,6.316797523029452632e-01,4.685719103569706279e-03
8.197579618474253316e-01,2.096477465796067197e-01,5.374137600618977828e-02,8.708890238960028674e-01,6.405820905668024867e-01
9.745377175060999653e-01,4.346419981554794365e-01,7.049020455770692306e-02,6.158580475300328150e-01,2.611691133352154193e-01
1.938911745411326493e+00,2.210638705825369865e-01,4.804138361691001613e-02,8.525121598625661212e-01,7.464273007623428713e-01
1.212017316011222645e+00,3.691840353784247575e-01,2.701447791339237417e-02,6.962512792813784213e-01,4.109790020012064060e-01
6.659562677076780179e-01,9.991608804386317710e-02,3.375479714507577389e-02,5.812523408945593495e-01,4.424008257447017978e-01
6.350162853698209098e-01,2.982633392397583405e-01,2.310525592936680389e-02,3.315687197738536041e-01,4.376531819680169050e-02
1.798612977186523798e+00,6.738740912388042903e-02,8.561772483924544319e-02,5.133230560036012857e-01,4.806887796613392161e-01
6.065649711511839071e-01,1.143195892022682292e-01,1.280579701598155446e-03,9.016187058753225569e-01,7.100500247261543052e-01
4.241984705035102832e-01,1.869412245869886691e-01,1.345925529707151826e-02,7.023939846500875106e-01,2.725371421832098462e-01
7.189953626136397213e-01,7.206685218396871595e-02,8.679777937069085847e-02,7.482684920441491361e-01,6.638279823268605773e-01
1.255021516662919057e+00,4.425840321276388600e-01,9.812634509631798507e-02,5.958929834042926421e-01,3.183713513342815715e-01
1.197362903911882048e+00,4.195882461589647283e-01,4.483225958968584807e-02,5.403314778790246908e-01,2.353773652515755432e-01
1.657479396642999925e+00,4.693206718622415785e-01,7.757529288521018696e-02,9.270518178022164602e-01,6.728059870176823498e-01
1.208856713611134559e+00,1.511280925516764184e-01,8.862829064247530753e-02,8.591606373618355663e-01,7.489743480950988852e-01
7.191581859761788653e-01,2.507611913588467800e-01,8.234016028702959011e-02,6.070094208381875411e-01,3.394591365304275854e-01
9.432134168256068874e-01,4.140413377156965113e-01,4.263031652996095849e-02,6.157272155407018666e-01,2.360493538426723381e-01
1.672617747747638717e+00,1.742852261465842323e-01,8.806650933762479039e-02,8.590995993335053260e-01,7.652654962511660219e-01
1.327711632355556226e+00,3.413013892298529250e-01,4.641315954354308798e-02,5.158935001867018810e-01,2.886167900795139629e-01
1.926339756855396157e+00,2.053662491803465717e-01,6.959655992931393365e-02,4.899193743457153638e-01,3.965558118297728418e-01
8.649279399650255939e-01,2.196025432213150330e-01,9.852809728772117526e-02,9.891049135017945249e-01,7.725753156436797608e-01
1.194700718938316975e+00,3.539176376682161007e-01,3.555956666653408565e-02,5.765794069789662579e-01,3.065620907750147839e-01
1.269063562903703035e+00,4.727036556702768344e-01,3.839048819718642730e-02,3.797377695863454750e-01,9.077735213268940673e-02
1.726924174895108077e+00,4.144856440213869342e-01,7.398416469051992406e-02,9.111423741202714366e-01,6.940216868397630634e-01
4.618523687357571905e-01,2.066204892357092204e-01,7.588091136813471249e-02,8.071757190844148777e-01,4.607187107830423844e-01
9.317186061466279368e-01,8.114722472475052739e-02,9.465785576377030303e-03,6.126140632286595222e-01,5.272404535005520421e-01
1.837926130992134643e+00,4.860450469960552189e-01,2.212362001822973379e-02,3.284605219484880712e-01,9.255834862133627272e-02
2.775203994227675164e-01,2.031007319532992794e-01,4.121331489902405054e-02,5.511656450394094575e-01,1.375836729651517265e-01
1.680871304326703619e+00,3.737049395150271458e-01,4.188799525963224357e-02,9.443293753353049214e-01,7.373955886229833778e-01
9.476912672682044070e-01,7.581874576142819122e-02,1.373033920281466376e-02,9.955079797870338698e-01,9.186086285695274078e-01
1.693647173500584913e+00,5.530279178460764666e-02,1.572742695893544762e-02,7.608057246046900923e-01,7.297655090318566629e-01
2.179182094531255387e-01,3.387167668568376588e-01,2.989005050733974794e-02,5.829165970513155992e-01,4.313461313462494534e-02
8.570830839648871935e-01,4.388790690822230722e-01,7.653072215752861063e-02,6.983594719669420359e-01,2.967826157199185966e-01
3.415340668981518002e-01,2.446755550215515551e-01,5.069437554103173316e-02,6.347586832546793234e-01,1.833297382289822419e-01
1.374706237405949327e+00,3.368113725070612241e-01,2.475012323416689308e-02,9.996729346291376439e-01,7.683547144729405698e-01
6.929283774792029948e-01,3.663207055062991380e-01,2.056497525158046402e-02,4.767640851165856342e-01,6.758324211772383239e-02
1.464773727187615338e+00,4.322958516842054788e-01,7.414209215445720889e-03,6.194396951917903182e-01,3.330270344923056403e-01
1.898842568495763494e+00,9.091321210495159622e-02,4.612221704163439739e-02,5.421920902375892970e-01,4.984955781863919522e-01
4.282707840702459912e-01,2.905402175905682505e-01,9.862663915115763014e-02,4.458171031400923745e-01,1.521790854809806359e-01
1.756600931721393533e+00,2.490321947676384651e-01,2.802138206774837728e-02,5.845143604838302087e-01,4.529078658977154226e-01
3.070354728806092282e-01,2.031159185915549781e-01,6.335218894397150191e-02,6.594836201702374279e-01,2.518913796738191380e-01
8.853869149596009791e-01,2.168121833361450757e-01,4.685697120590505416e-02,4.643100059364831389e-01,2.554907182465690485e-01
9.735933101214380159e-01,2.369513344868208193e-01,5.531593383712875289e-02,3.401211588883700787e-01,1.558200259679567712e-01
1.079929184300235656e+00,1.274145928933874405e-01,2.322020794765719889e-02,8.057373475787413808e-01,6.940149325653901524e-01
1.957632179484880330e+00,4.386642760449643297e-01,7.749645658165447981e-02,6.939326697898755558e-01,4.959150273817340970e-01
1.596244138583291061e+00,1.799541835941217416e-01,7.453464239299413541e-02,3.338699139015962047e-01,2.415428607293668428e-01
7.559432528946697927e-01,2.298750357373516295e-01,7.638860462344121416e-02,4.973877118591005786e-01,2.692168235296572010e-01
6.857062139014402646e-01,3.131646257421212276e-01,5.770300922211436118e-02,5.712191336998326818e-01,2.214846315201508820e-01
1.753616367540772103e+00,3.588106118977168468e-01,9.524602050342728318e-03,5.002274438510813104e-01,3.043940359073816770e-01
1.786352910927841764e+00,2.707392890375810990e-01,8.216338953675668411e-02,4.837610840441121662e-01,3.551088487289673079e-01
1.119271709978561624e+00,2.491859656868178063e-01,2.407252285935036849e-03,9.033830965556671755e-01,6.867014868151579687e-01
8.197323157321854126e-01,2.149883116775112291e-01,2.494075711806572129e-02,5.760330102441146849e-01,3.285481846544779927e-01
1.990851226689652087e+00,2.768548677843065686e-01,4.144467032567542703e-02,4.726998425462011211e-01,3.470755558537470531e-01
7.686983816618603305e-01,1.549846872903491990e-01,3.131884304141260150e-02,7.087534468638772012e-01,5.195834150735162416e-01
5.288822820678124037e-01,5.911671924306138165e-02,5.041714012673893103e-02,4.690463409717280929e-01,3.753897924129329655e-01
1.784176618347325549e+00,4.618208217592115195e-01,3.765276689283045264e-02,4.449200962897075784e-01,2.139590987958303880e-01
1.662203716600257231e+00,1.348379302648598232e-01,3.385416903967737590e-02,3.160202615111796787e-01,2.424681181997632440e-01
1.402200930028432158e+00,2.302361931421238461e-01,2.706995133507065707e-02,9.241012993554204025e-01,7.693940565902711581e-01
1.925144537200313533e+00,2.923515616062020150e-01,8.129766813424322766e-03,7.472445758700679841e-01,6.026509984894888872e-01
1.866286238985953805e+00,2.011481172580528165e-01,4.399502573952326911e-02,6.590168686004369558e-01,5.599356628021142646e-01
1.546847305943157336e+00,2.425648232763843171e-01,4.097483628061592172e-03,5.394283610414624119e-01,3.875864751033845090e-01
1.749262537185819921e+00,2.265017691090827068e-01,9.414615841043786140e-03,7.470166622072996754e-01,6.236558150740527662e-01
6.448641325797934698e-01,2.538869324190955457e-01,1.873400640990607879e-02,9.051705895695124626e-01,5.213975943033364313e-01
4.542438024218569126e-01,3.958757628213089852e-01,3.269964399053033183e-02,8.214572912993769460e-01,1.477775989092772191e-01
1.406111328766884716e+00,2.856766651644642718e-01,9.773974998384589441e-02,3.085839776972784110e-01,1.667905659099016835e-01
1.486313365978555012e+00,4.413023268536956367e-01,7.972682580938265928e-02,4.068266169616127637e-01,1.806481709050133944e-01
5.006952718080899256e-01,3.533662972606043118e-01,3.077337930049524242e-03,7.399287664631677419e-01,4.545792008386261018e-02
9.120030915887767931e-01,2.822124917600848937e-01,7.363615650635470244e-02,7.273684241887222734e-01,4.648761933798576385e-01
1.838460379188898708e+00,1.997003341148741173e-01,1.764347467514070650e-02,5.376209573978198986e-01,4.355682416366744025e-01
1.210521381590401235e+00,8.480132536869046389e-02,1.702536821319682384e-02,8.300002232834118310e-01,7.632666531500346130e-01
1.241004646867290839e+00,1.907965304429402875e-01,7.710492465533047568e-02,3.694194247189641067e-01,2.471704105535921514e-01
5.494335912034284952e-01,3.298179237164159394e-01,2.079152092941428248e-02,5.377152323965503911e-01,7.764573357163659373e-02
1.146840047512175387e+00,2.724296080775147066e-01,4.325670621569644575e-02,8.076749405217965583e-01,5.898264386320968278e-01
1.142182509310855965e+00,1.091908855860691113e-01,5.815771601501534827e-02,4.990340269952773244e-01,4.150367171077640749e-01
3.600841524432895624e-01,3.068920263844360230e-01,7.416689481841858000e-02,6.058180601539754351e-01,1.693711081933495233e-01
1.967496847628071199e+00,1.815519579022869534e-01,7.170237583214483790e-02,5.838421119982704077e-01,5.016649068451077831e-01
1.228512080820393981e+00,1.708658584838855243e-01,3.862587504191307419e-02,4.232533845346267976e-01,2.976777575879370752e-01
2.115359887957583007e-01,1.889721388037318706e-01,5.190971012453839128e-02,5.223731288885515855e-01,1.383819607669396212e-01
1.590768562205699510e+00,3.591547534761452831e-01,3.102580209155328395e-02,9.353149230705312123e-01,7.235965159278915371e-01
1.960878284912262348e+00,3.488016604706464796e-01,6.776290341021642960e-02,7.189740790156242678e-01,5.588041940127889129e-01
1.261766050977710885e+00,8.801488467252262249e-02,4.276554359644867132e-02,3.070212876922781553e-01,2.455561691401986490e-01
7.754269453087969666e-01,1.435542206715944291e-01,8.024428286939454258e-02,5.327603780081647811e-01,3.847479393835914196e-01
5.375138883100128995e-01,3.194495481695278083e-01,9.997436573013158967e-02,8.712266197010571922e-01,4.388233756361372140e-01
1.410547941050364740e+00,8.916429378960642749e-02,3.748794282871503736e-02,6.129449530830447523e-01,5.545878306571611072e-01
5.511933172222490684e-01,3.930954859358427589e-01,4.062091081946225118e-02,4.160050777741464145e-01,5.722708928959212293e-02
1.239838206532146714e+00,3.841916119486687986e-01,8.102732511268495585e-02,4.825677545644950217e-01,2.402869033224938611e-01
1.284030517483326417e+00,1.306332709687098304e-01,3.123467199181638801e-02,4.327732634506238907e-01,3.387486301853352422e-01
1.932361567623885890e+00,4.938567342143032057e-01,3.216568557320874377e-02,8.872592478014071915e-01,6.483195465979085803e-01
3.300774779537782311e-01,4.141142471784912127e-01,5.442731258691106688e-02,5.341764215496738188e-01,7.019589795633769669e-02
1.099951082585513440e+00,1.025124934049331110e-01,3.766862617895687382e-02,3.102508931873630416e-01,2.278023623588206481e-01
1.539375462708766795e+00,4.509671424594874911e-01,1.200350826874773368e-02,6.203292457442500796e-01,3.398137847068343764e-01
5.190081328543858508e-01,1.803325736923717393e-01,3.020033920602359367e-02,3.026733814470187744e-01,8.064757923272818096e-02
8.985201172121346502e-01,2.631723315133814300e-01,9.978240623815386179e-02,3.674801239675115627e-01,1.819450327859686578e-01
3.132118972189484318e-01,1.126241634461436214e-01,4.479442177675638237e-02,8.867934317763005447e-01,5.768763110711276898e-01
1.506585554796398219e+00,2.511434883299135667e-01,8.498854452002201076e-02,5.024173519409009803e-01,3.628026288307890646e-01
3.579821961670762165e-01,4.188977290235749718e-01,1.365897220322287095e-02,7.706179905813871356e-01,2.621544977297948775e-02
9.111650750443416324e-01,3.045059769274537365e-01,4.477343896605547047e-02,6.805696482209740994e-01,3.813568005179853171e-01
1.772340736017318008e+00,8.337278287474474137e-02,1.218400993613422655e-02,8.947720983011591134e-01,8.497730287004416905e-01
1.050140606150020695e+00,1.939687206158605959e-01,7.277770015483309152e-02,7.712985420566306205e-01,6.092704465698588479e-01
1.842719480553594247e+00,2.946202660415877528e-01,3.361310243401616910e-02,7.682042254823248095e-01,6.192266256744037856e-01
1.578650811929970255e+00,2.509006316461909747e-01,9.011161579212303985e-02,8.791170116610919072e-01,7.371592012678140904e-01
1.847583128201178537e+00,2.673570118155205178e-01,3.621445954349718915e-02,9.078746167274999168e-01,7.720788700097191981e-01
4.293254162880314473e-01,4.970556055643612359e-01,9.963003224022631832e-02,3.780740677717555620e-01,7.409755664392375651e-02
3.324132295951376936e-01,2.724486252174314616e-01,5.143542202507474237e-02,7.699626626383672123e-01,2.205212244875143779e-01
3.265872564245925203e-01,4.915927156028105371e-01,9.769858344525551852e-02,8.166726093452324475e-01,1.725010008073770973e-01
1.763937729825174827e+00,7.630832168519792458e-02,4.313185212189107193e-02,4.488977017983364903e-01,4.096508031859116827e-01
1.341325962825397955e+00,4.490226734480489146e-01,3.172428892108072190e-02,8.738413505826340133e-01,5.623558976462715853e-01
1.093829048837935414e+00,2.373848332503866732e-01,7.913916422683678342e-02,6.270858374052640238e-01,4.435797432886467440e-01
4.943781491536645145e-01,4.365453061287222214e-01,3.778889471979832854e-02,3.969087236688794706e-01,3.968257226513878522e-02
1.412720187909092706e+00,4.639305646729252053e-01,3.416656474098996726e-02,6.988010564729931762e-01,3.966631049641867190e-01
7.724312981224364938e-01,2.932493071688636044e-01,8.873245841402124801e-02,8.455565162525205958e-01,5.333699223508002740e-01
1.479583753878700891e+00,9.623325836404562905e-02,6.322533639142008388e-02,7.813692805835327215e-01,7.221768648021645864e-01
1.028639591961184596e+00,2.149253635763789250e-01,4.714110516611492302e-02,9.485262736057346045e-01,7.564662905580912255e-01
