t,V,IL,phi,Tth,dV_dt
6.401280256051210538e-01,7.435223265013710670e-01,3.130682005044477800e-01,3.750951274495115118e-01,2.897387623157231078e-03,2.781006387746428055e-01
6.801360272054410849e-01,7.543113774439402786e-01,3.349073279275694426e-01,4.011709576463641236e-01,3.514811564808045449e-03,2.611497415621334972e-01
7.201440288057612271e-01,7.644112284571017435e-01,3.568913787402062110e-01,4.274015290096072062e-01,4.217728962146432420e-03,2.436547488291127550e-01
7.601520304060812583e-01,7.738009838795846251e-01,3.789967780521106833e-01,4.537572063812486678e-01,5.012148396013089632e-03,2.256593996824536874e-01
8.001600320064012895e-01,7.824615056230520560e-01,4.011994738781019532e-01,4.802078386540116761e-01,5.904049516346217275e-03,2.072076926132539187e-01
8.401680336067214316e-01,7.903754137305124550e-01,4.234749815934927830e-01,5.067228265271189747e-01,6.899359085808468711e-03,1.883434209711023766e-01
8.801760352070414628e-01,7.975270670500469450e-01,4.457984373167434011e-01,5.332712040508131857e-01,8.003921296587871229e-03,1.691097200536884892e-01
9.201840368073614940e-01,8.039025325786245402e-01,4.681446419557119265e-01,5.598217059242990290e-01,9.223472549280430088e-03,1.495486519728846386e-01
9.601920384076816362e-01,8.094895288869962124e-01,4.904881097913000865e-01,5.863428425092011009e-01,1.056361169590378478e-02,1.297008143711295136e-01
1.000200040008001556e+00,8.142773671633604105e-01,5.128031114161236692e-01,6.128029653123485687e-01,1.202977375768311298e-02,1.096049938329250600e-01
1.040208041608321698e+00,8.182568653950784698e-01,5.350637153414934399e-01,6.391703319742393363e-01,1.362720097598149258e-02,8.929785388535384227e-02
1.080216043208641841e+00,8.214202644129067199e-01,5.572438292892963885e-01,6.654131687480066004e-01,1.536091566882369017e-02,6.881366658294542360e-02
1.120224044808961761e+00,8.237611223126588555e-01,5.793172333901907001e-01,6.914997230384053450e-01,1.723569286652379060e-02,4.818408766324673576e-02
1.160232046409281903e+00,8.252742093436130633e-01,6.012576189947250738e-01,7.173983212614338800e-01,1.925603267323465831e-02,2.743796768373146788e-02
1.200240048009602045e+00,8.259553916564192910e-01,6.230386134005976295e-01,7.430774084439636384e-01,2.142613491529116870e-02,6.601212691716052024e-03
1.240248049609921965e+00,8.258015090488076693e-01,6.446338145972024813e-01,7.685055989239187868e-01,2.374987153874332652e-02,-1.430332988023757038e-02
1.280256051210242108e+00,8.248102571118713922e-01,6.660168088692890453e-01,7.936517043643928071e-01,2.623076364751003586e-02,-3.525593386851166855e-02
1.320264052810562250e+00,8.229800512747186270e-01,6.871611990002746140e-01,8.184847737910100340e-01,2.887195443784290952e-02,-5.624004253742887621e-02
1.360272054410882170e+00,8.203099135178968382e-01,7.080406178550046059e-01,8.429741137083024416e-01,3.167618861206330377e-02,-7.724226930484501263e-02
1.400280056011202312e+00,8.167993300045655047e-01,7.286287463576734957e-01,8.670893125531365930e-01,3.464578700663817346e-02,-9.825238879061952424e-02
1.440288057611522454e+00,8.124481405112576882e-01,7.488993272172156379e-01,8.908002579391680609e-01,3.778262741106406392e-02,-1.192632949173349222e-01
1.480296059211842374e+00,8.072564028416602255e-01,7.688261697744043222e-01,9.140771419841902112e-01,4.108812270039600284e-02,-1.402709426962764905e-01
1.520304060812162517e+00,8.012242784227890935e-01,7.883831652957673519e-01,9.368904770288237760e-01,4.456320204886782266e-02,-1.612742812404198700e-01
1.560312062412482659e+00,7.943519140218329166e-01,8.075442813694736488e-01,9.592110855986406559e-01,4.820829343733230160e-02,-1.822751584844656547e-01
1.600320064012802579e+00,7.866393204431695318e-01,8.262835730384394672e-01,9.810101071900055869e-01,5.202330544814227214e-02,-2.032782368208403412e-01
1.640328065613122721e+00,7.780862755502834238e-01,8.445751767010581945e-01,1.002258985204751651e+00,5.600761390616075530e-02,-2.242908789908970302e-01
1.680336067213442863e+00,7.686922019607247414e-01,8.623933069847293797e-01,1.022929453196233407e+00,6.016004561586450750e-02,-2.453230436069344655e-01
1.720344068813762783e+00,7.584560800978491502e-01,8.797122589692673023e-01,1.042993528202287301e+00,6.447886747526264395e-02,-2.663871713359465265e-01
1.760352070414082926e+00,7.473763432080838820e-01,8.965063890137963121e-01,1.062423476646431109e+00,6.896177427425514983e-02,-2.874980565319629755e-01
1.800360072014403068e+00,7.354507845041863279e-01,9.127501188909754593e-01,1.081191804462104278e+00,7.360587900687409757e-02,-3.086727366128761418e-01
1.840368073614722988e+00,7.226764794768704148e-01,9.284179173099136317e-01,1.099271223581642198e+00,7.840770537290445152e-02,-3.299303518300337190e-01
1.880376075215043130e+00,7.090496899487422899e-01,9.434842864847424737e-01,1.116634617363629456e+00,8.336317997817654923e-02,-3.512920164403511292e-01
1.920384076815363272e+00,6.945658026303908050e-01,9.579237598728145286e-01,1.133255022713072213e+00,8.846762871693102104e-02,-3.727806813497037686e-01
1.960392078415683192e+00,6.792192492356506905e-01,9.717108704737572600e-01,1.149105575231479159e+00,9.371577192909100185e-02,-3.944209707410529231e-01
2.000400080016003113e+00,6.630034426274380444e-01,9.848201480151601572e-01,1.164159483038933018e+00,9.910172389305915708e-02,-4.162390304370409133e-01
2.040408081616323255e+00,6.459107287866180380e-01,9.972261009596504744e-01,1.178389989587333764e+00,1.046189925232325069e-01,-4.382623397619677119e-01
2.080416083216643397e+00,6.279323240538633444e-01,1.008903186127937612e+00,1.191770313821636895e+00,1.102604804658650905e-01,-4.605195019605191065e-01
2.120424084816963539e+00,6.090582864868582247e-01,1.019825809728402977e+00,1.204273627558058335e+00,1.160184908160902251e-01,-4.830400228744924362e-01
2.160432086417283681e+00,5.892774790218331393e-01,1.029968295762972108e+00,1.215872999510879016e+00,1.218847302616800216e-01,-5.058540322761547747e-01
2.200440088017603824e+00,5.685775481237458351e-01,1.039304865191784888e+00,1.226541340823218862e+00,1.278503186507817524e-01,-5.289919693116693633e-01
2.240448089617923522e+00,5.469449309415944649e-01,1.047809636719835291e+00,1.236251383021298889e+00,1.339057992096392979e-01,-5.524842240795826420e-01
2.280456091218243664e+00,5.243648455736126257e-01,1.055456588450827127e+00,1.244975609619643819e+00,1.400411472040831717e-01,-5.763606964172340863e-01
2.320464092818563806e+00,5.008213393103149169e-01,1.062219550365830045e+00,1.252686213148342276e+00,1.462457889584098947e-01,-6.006502782036612365e-01
2.360472094418883948e+00,4.762973396952314697e-01,1.068072206179956130e+00,1.259355074555458032e+00,1.525086163405347528e-01,-6.253802624905772101e-01
2.400480096019204090e+00,4.507747035492538079e-01,1.072988057194435241e+00,1.264953693353508823e+00,1.588180028650723052e-01,-6.505756265769285784e-01
2.440488097619524233e+00,4.242343740787584694e-01,1.076940431744584536e+00,1.269453161062361168e+00,1.651618331460621980e-01,-6.762581704426463558e-01
2.480496099219843931e+00,3.966564997700776640e-01,1.079902494644526589e+00,1.272824148895385532e+00,1.715275226522780250e-01,-7.024455634088583311e-01
2.520504100820164073e+00,3.680205873261152560e-01,1.081847224174690369e+00,1.275036850323012949e+00,1.779020428158045453e-01,-7.291502009070840451e-01
2.560512102420484215e+00,3.383058265442369095e-01,1.082747446301013383e+00,1.276060980824212709e+00,1.842719623852396293e-01,-7.563778235585699727e-01
2.600520104020804357e+00,3.074913210339800806e-01,1.082575861721798205e+00,1.275865784824452565e+00,1.906234745583967882e-01,-7.841260490070561806e-01
2.640528105621124499e+00,2.755564097614109920e-01,1.081305051996869437e+00,1.274420010752191024e+00,1.969424329206627411e-01,-8.123826425124429651e-01
2.680536107221444198e+00,2.424812301962936956e-01,1.078907552392793345e+00,1.271691955387582729e+00,2.032144060951817099e-01,-8.411234619547374169e-01
2.720544108821764340e+00,2.082471291890152509e-01,1.075355909719656555e+00,1.267649505639110386e+00,2.094247152742356732e-01,-8.703103611438518517e-01
2.760552110422084482e+00,1.728372415814925789e-01,1.070622740318355692e+00,1.262260174300392501e+00,2.155584840134646962e-01,-8.998887936546866584e-01
2.800560112022404624e+00,1.362373627287749023e-01,1.064680863622617268e+00,1.255491218545355947e+00,2.216007078688504162e-01,-9.297850869313830646e-01
2.840568113622724766e+00,9.843658528843185485e-02,1.057503402437647066e+00,1.247309733784080832e+00,2.275363030671691267e-01,-9.599038379607345295e-01
2.880576115223044908e+00,5.942831469368767272e-02,1.049063938098347304e+00,1.237682804493395183e+00,2.333501804394273738e-01,-9.901249947120208672e-01
2.920584116823364607e+00,1.921132706189114525e-02,1.039336699455694735e+00,1.226577700283923988e+00,2.390273206306140485e-01,-1.020301020406615411e+00
2.960592118423684749e+00,-2.220913644940021581e-02,1.028296761434542628e+00,1.213962088877184931e+00,2.445528494346069781e-01,-1.050254252688078926e+00
3.000600120024004891e+00,-6.482006299067308297e-02,1.015920300772856555e+00,1.199804318977861994e+00,2.499121278251464073e-01,-1.079774490717837487e+00
3.040608121624325033e+00,-1.085993544690971868e-01,1.002184872577139618e+00,1.184073735674125105e+00,2.550908423526055402e-01,-1.108617172472423862e+00
3.080616123224645175e+00,-1.535144256362522275e-01,9.870697279507314459e-01,1.166741051387402139e+00,2.600751044876292162e-01,-1.136502308497145952e+00
3.120624124824965318e+00,-1.995207652744561133e-01,9.705561741938818487e-01,1.147778777298647412e+00,2.648515566677585031e-01,-1.163114477211814046e+00
3.160632126425285016e+00,-2.465605747561974703e-01,9.526279514481881261e-01,1.127161684555324506e+00,2.694074807496729118e-01,-1.188104228183375799e+00
3.200640128025605158e+00,-2.945614197313787264e-01,9.332716681211749021e-01,1.104867349953922107e+00,2.737309171741366676e-01,-1.211091130061052290e+00
3.240648129625925300e+00,-3.434351249570432585e-01,9.124772254776425395e-01,1.080876701693683106e+00,2.778107821982626624e-01,-1.231668825028473746e+00
3.280656131226245442e+00,-3.930768426818870842e-01,8.902382931641809050e-01,1.055174643673442159e+00,2.816369928306506898e-01,-1.249412231748564306e+00
3.320664132826565584e+00,-4.433645101132839828e-01,8.665527617376749259e-01,1.027750671294221929e+00,2.852005924874927989e-01,-1.263887046364880140e+00
3.360672134426885727e+00,-4.941586749403947265e-01,8.414232018667008317e-01,9.985995092426311892e-01,2.884938722978699355e-01,-1.274661434272744254e+00
3.400680136027205425e+00,-5.453029260987418692e-01,8.148573014054923958e-01,9.677217538898877924e-01,2.915105003183172117e-01,-1.281319759165906236e+00
3.440688137627525567e+00,-5.966247159879147777e-01,7.868682378525417853e-01,9.351244369313465032e-01,2.942456293625141384e-01,-1.283477648216156952e+00
3.480696139227845709e+00,-6.479371412381986772e-01,7.574750304647874799e-01,9.008216126914417865e-01,2.966960192740076829e-01,-1.280798078135940932e+00
3.520704140828165851e+00,-6.990408573950481763e-01,7.267027643813466220e-01,8.648347687199630096e-01,2.988601247666443639e-01,-1.273006980494726603e+00
3.560712142428485993e+00,-7.497272328708034506e-01,6.945827678935539984e-01,8.271932334865204073e-01,3.007381929710730706e-01,-1.259908025717501268e+00
3.600720144028806136e+00,-7.997814331834977031e-01,6.611526346293851164e-01,7.879343686765509780e-01,3.023323273524698984e-01,-1.241394749868257374e+00
3.640728145629125834e+00,-8.489863149234362361e-01,6.264561733052416148e-01,7.471036974660111296e-01,3.036465445560413423e-01,-1.217459562328368383e+00
3.680736147229445976e+00,-8.971266169435953008e-01,5.905431696080197801e-01,7.047548011516370225e-01,3.046868051157395341e-01,-1.188198433144515453e+00
3.720744148829766118e+00,-9.439927892493545913e-01,5.534691092879322483e-01,6.609491395082125464e-01,3.054610251781073038e-01,-1.153810847749570989e+00
3.760752150430086260e+00,-9.893855044040810176e-01,5.152946698813044568e-01,6.157556040692527821e-01,3.059790603349112348e-01,-1.114594821272410829e+00
3.800760152030406402e+00,-1.033118955800694128e+00,4.760852419929146317e-01,5.692500504815285467e-01,3.062526739402287590e-01,-1.070937326421434577e+00
3.840768153630726545e+00,-1.075024529645624671e+00,4.359102268608291419e-01,5.215145584272957713e-01,3.062954714490962460e-01,-1.023300598375562309e+00
3.880776155231046243e+00,-1.114953246109147145e+00,3.948423923372816891e-01,4.726367109822907642e-01,3.061228243602568400e-01,-9.722055692809326022e-01
3.920784156831366385e+00,-1.152777884380459028e+00,3.529570843976414518e-01,4.227086718784907049e-01,3.057517620482032572e-01,-9.182133203988919190e-01
3.960792158431686527e+00,-1.188394134518867995e+00,3.103315136947468744e-01,3.718263143577145158e-01,3.052008569996326193e-01,-8.619060781625714762e-01
4.000800160032006225e+00,-1.221721095335875251e+00,2.670439718265767426e-01,3.200882263541576234e-01,3.044900826162242891e-01,-8.038687167277169809e-01
4.040808161632326367e+00,-1.252701048477849133e+00,2.231731533143238022e-01,2.675948156269348233e-01,3.036406717303311020e-01,-7.446719456141173143e-01
4.080816163232646510e+00,-1.281298552873116225e+00,1.787974618232736901e-01,2.144473564851213931e-01,3.026749515001815882e-01,-6.848578487273994098e-01
4.120824164832966652e+00,-1.307499117426247137e+00,1.339944379178565070e-01,1.607471688648765551e-01,3.016161870953871227e-01,-6.249282749185040009e-01
4.160832166433286794e+00,-1.331307344427488104e+00,8.884022076648034894e-02,1.065948064014270030e-01,3.004884079235041749e-01,-5.653363316994002297e-01
4.200840168033606936e+00,-1.352744917037083994e+00,4.340911619051644049e-02,5.208936875437700925e-02,2.993162457324379244e-01,-5.064808326354403034e-01
4.240848169633927078e+00,-1.371848324225506621e+00,-2.226760762482779543e-03,-2.672112876965927752e-03,2.981247657228475179e-01,-4.487035855860722622e-01
4.280856171234247221e+00,-1.388666580826732444e+00,-4.799776494653303083e-02,-5.759519550884850680e-02,2.969393070605368390e-01,-3.922890477866020076e-01
4.320864172834567363e+00,-1.403258973839895507e+00,-9.383691256626547350e-02,-1.125884367486301024e-01,2.957853282118625970e-01,-3.374659576611748202e-01
4.360872174434887505e+00,-1.415692842524322481e+00,-1.396800124478471128e-01,-1.675637348900864687e-01,2.946882558270418895e-01,-2.844105234269473370e-01
4.400880176035207647e+00,-1.426041666621790549e+00,-1.854657299720304520e-01,-2.224365657444209998e-01,2.936733521218501952e-01,-2.332505296133426387e-01
4.440888177635526901e+00,-1.434383050226299749e+00,-2.311355921156618975e-01,-2.771261607887911538e-01,2.927655717233509924e-01,-1.840703842771072296e-01
4.480896179235847043e+00,-1.440797269698564698e+00,-2.766339485564191514e-01,-3.315555872532257586e-01,2.919894537986346128e-01,-1.369161433639556336e-01
4.520904180836167185e+00,-1.445365739608598377e+00,-3.219079058032919272e-01,-3.856518090123552400e-01,2.913689991162216608e-01,-9.180085849219442318e-02
4.560912182436487328e+00,-1.448169810742024444e+00,-3.669072071922744316e-01,-4.393456501437637551e-01,2.909275717401603178e-01,-4.870967231321960550e-02
4.600920184036807470e+00,-1.449289788635807152e+00,-4.115841228559998788e-01,-4.925717590788872835e-01,2.906878035077772870e-01,-7.604558498742012076e-03
4.640928185637127612e+00,-1.448804034809171748e+00,-4.558932868696318197e-01,-5.452684957135496280e-01,2.906715068930781909e-01,3.157120342151800013e-02
4.680936187237447754e+00,-1.446788367737199987e+00,-4.997915636051641908e-01,-5.973778322082163861e-01,2.908996002928747604e-01,6.888917492655878549e-02
4.720944188837767896e+00,-1.443315474748610550e+00,-5.432378669007429384e-01,-6.488451896585113454e-01,2.913920335299214348e-01,1.044322072454853395e-01
4.760952190438088039e+00,-1.438454575834233973e+00,-5.861930194006890193e-01,-6.996193020456099587e-01,2.921677300774144226e-01,1.382915212826092421e-01
4.800960192038408181e+00,-1.432271104188144406e+00,-6.286195734182460360e-01,-7.496520270265842889e-01,2.932445244205684198e-01,1.705641118434997883e-01
4.840968193638728323e+00,-1.424826535603584077e+00,-6.704816697694013783e-01,-7.988981863347814905e-01,2.946391178480265993e-01,2.013506575238438179e-01
4.880976195239048465e+00,-1.416178280126143552e+00,-7.117448778469589454e-01,-8.473153759241490723e-01,2.963670267569529226e-01,2.307537761332181803e-01
4.920984196839367719e+00,-1.406379615050012966e+00,-7.523760549198436065e-01,-8.948637869693235602e-01,2.984425488756578537e-01,2.588766138487259005e-01
4.960992198439687861e+00,-1.395479712979265763e+00,-7.923432143106009518e-01,-9.415060329036846198e-01,3.008787216777946139e-01,2.858217754563882051e-01
5.001000200040008004e+00,-1.383523655703970734e+00,-8.316153890761750489e-01,-9.872069572298050044e-01,3.036872955923504702e-01,3.116904564814788614e-01
5.041008201640328146e+00,-1.370552519628734478e+00,-8.701625269908460636e-01,-1.031933481669183861e+00,3.068787036221858888e-01,3.365818550314187974e-01
5.081016203240648288e+00,-1.356603463702051648e+00,-9.079553660445338625e-01,-1.075654413567421530e+00,3.104620369225918886e-01,3.605927299150026855e-01
5.121024204840968430e+00,-1.341709818144082078e+00,-9.449653476726614931e-01,-1.118340305883550156e+00,3.144450270552050508e-01,3.838171338395417465e-01
5.161032206441288572e+00,-1.325901221824875131e+00,-9.811645132251239909e-01,-1.159963283902713638e+00,3.188340216326667753e-01,4.063462835801732176e-01
5.201040208041608714e+00,-1.309203706873803386e+00,-1.016525425131816096e+00,-1.200496900886542928e+00,3.236339770938329030e-01,4.282685122556882940e-01
5.241048209641928857e+00,-1.291639838486072112e+00,-1.051021087527489906e+00,-1.239915995723940734e+00,3.288484374229080909e-01,4.496693391115452743e-01
5.281056211242248999e+00,-1.273228812831643575e+00,-1.084624871763253395e+00,-1.278196540732632114e+00,3.344795303868254854e-01,4.706315802834232231e-01
5.321064212842569141e+00,-1.253986557657035705e+00,-1.117310458624352076e+00,-1.315315526329432050e+00,3.405279570211893203e-01,4.912355305324149768e-01
5.361072214442888395e+00,-1.233925846899081469e+00,-1.149051768277673524e+00,-1.351250811451000899e+00,3.469929835060908130e-01,5.115591804977235313e-01
5.401080216043208537e+00,-1.213056362462588300e+00,-1.179822915876275413e+00,-1.385981015410042927e+00,3.538724447637229820e-01,5.316784624033624729e-01
5.441088217643528679e+00,-1.191384796790319722e+00,-1.209598150406036909e+00,-1.419485388214488886e+00,3.611627331062530755e-01,5.516675219770077465e-01
5.481096219243848822e+00,-1.168914900800685608e+00,-1.238351812788847761e+00,-1.451743692646024986e+00,3.688588091561988414e-01,5.715989988715990400e-01
5.521104220844168964e+00,-1.145647544358407321e+00,-1.266058290385195351e+00,-1.482736101166008291e+00,3.769541981560218802e-01,5.915443182254863652e-01
5.561112222444489106e+00,-1.121580764481876935e+00,-1.292691967562282995e+00,-1.512443067216396209e+00,3.854409965546463646e-01,6.115739743082594382e-01
5.601120224044809248e+00,-1.096709783416800255e+00,-1.318227196353269681e+00,-1.540845236117814210e+00,3.943098842442099294e-01,6.317578207380121214e-01
5.641128225645129390e+00,-1.071027045790376997e+00,-1.342638240870240862e+00,-1.567923320761253292e+00,4.035501244666903076e-01,6.521653283140771418e-01
5.681136227245449533e+00,-1.044522213639098585e+00,-1.365899251115209712e+00,-1.593658004223765134e+00,4.131495876306647830e-01,6.728658437183325791e-01
5.721144228845769675e+00,-1.017182176836447960e+00,-1.387984216293300488e+00,-1.618029836440538327e+00,4.230947557168292517e-01,6.939288046998139947e-01
5.761152230446089817e+00,-9.889910417151005495e-01,-1.408866922843696523e+00,-1.641019115893977531e+00,4.333707443037786433e-01,7.154239206263649509e-01
5.801160232046409959e+00,-9.599301161539699478e-01,-1.428520927249287809e+00,-1.662605806359374494e+00,4.439613233866618880e-01,7.374213202287072111e-01
5.841168233646729213e+00,-9.299778952981312408e-01,-1.446919495879275930e+00,-1.682769407912597881e+00,4.548489313176203863e-01,7.599916067101528672e-01
5.881176235247049355e+00,-8.991100378011986916e-01,-1.464035585090453173e+00,-1.701488870379964213e+00,4.660147117653370974e-01,7.832058752394671641e-01
5.921184236847369498e+00,-8.672993504287795918e-01,-1.479841785324560233e+00,-1.718742480075810430e+00,4.774385288267234406e-01,8.071355993503496196e-01
5.961192238447689640e+00,-8.345157762996012751e-01,-1.494310282738060103e+00,-1.734507746607833356e+00,4.890990069721438127e-01,8.318524140765225505e-01
6.001200240048009782e+00,-8.007263960427628557e-01,-1.507412830129691628e+00,-1.748761319125541780e+00,5.009735621729439758e-01,8.574277584645004779e-01
6.041208241648329924e+00,-7.658954411889137281e-01,-1.519120683653790493e+00,-1.761478851739357587e+00,5.130384341461625697e-01,8.839323031023618160e-01
6.081216243248650066e+00,-7.299843523542001167e-01,-1.529404593020551095e+00,-1.772634928240153229e+00,5.252687391188616273e-01,9.114351948842611684e-01
6.121224244848970208e+00,-6.929518362159826639e-01,-1.538234744410081456e+00,-1.782202944893166663e+00,5.376385003363377546e-01,9.400029965935638998e-01
6.161232246449290351e+00,-6.547540285575461638e-01,-1.545580739952642890e+00,-1.790155012489502262e+00,5.501207107167103150e-01,9.696982989118005936e-01
6.201240248049610493e+00,-6.153446600690862800e-01,-1.551411586321655989e+00,-1.796461888887616265e+00,5.626873805635832504e-01,1.000577969086111629e+00
6.241248249649930635e+00,-5.746753240704641774e-01,-1.555695654277250872e+00,-1.801092863864870219e+00,5.753095928727537389e-01,1.032690885408761083e+00
6.281256251250250777e+00,-5.326959076508585023e-01,-1.558400715260611635e+00,-1.804015725447550178e+00,5.879575831406124165e-01,1.066075139064291077e+00
6.321264252850570031e+00,-4.893549725663791095e-01,-1.559493929381551514e+00,-1.805196688952601880e+00,6.006007913151664157e-01,1.100754661293238179e+00
6.361272254450890173e+00,-4.446005488745891077e-01,-1.558941896901922641e+00,-1.804600366425288316e+00,6.132079578403083486e-01,1.136734982968050200e+00
6.401280256051210316e+00,-3.983808902191665058e-01,-1.556710742548336412e+00,-1.802189794306485959e+00,6.257472059728378388e-01,1.173998358671448417e+00
6.441288257651530458e+00,-3.506453782626479665e-01,-1.552766166836776707e+00,-1.797926419297143807e+00,6.381861214670128124e-01,1.212498042266722198e+00
6.481296259251850600e+00,-3.013462049426230971e-01,-1.547073653895356449e+00,-1.791770232802639695e+00,6.504918909871099109e-01,1.252151317972582278e+00
6.521304260852170742e+00,-2.504395344754527519e-01,-1.539598619902040610e+00,-1.783679878530086249e+00,6.626313896477397103e-01,1.292832259592022082e+00
6.561312262452490884e+00,-1.978875595630555095e-01,-1.530306659492541632e+00,-1.773612840867131890e+00,6.745713174627556707e-01,1.334363259393684942e+00
6.601320264052811027e+00,-1.436609229059284676e-01,-1.519163907532533608e+00,-1.761525769627747096e+00,6.862783560362178958e-01,1.376505991743254942e+00
6.641328265653131169e+00,-8.774097027946235750e-02,-1.506137377010414280e+00,-1.747374797130169632e+00,6.977193029537412938e-01,1.418952574668135957e+00
6.681336267253451311e+00,-3.012306842489304720e-02,-1.491195496460256287e+00,-1.731116069623658937e+00,7.088612654902237686e-01,1.461316467054623702e+00
6.721344268853771453e+00,2.918036097853694832e-02,-1.474308642665350888e+00,-1.712706298863720722e+00,7.196718353627798992e-01,1.503124919961380757e+00
6.761352270454090707e+00,9.013608474042562879e-02,-1.455449849006679841e+00,-1.692103521714140912e+00,7.301193061920423499e-01,1.543813077552723678e+00
6.801360272054410849e+00,1.526864168747440464e-01,-1.434595563696311471e+00,-1.669267942609514721e+00,7.401728925854956787e-01,1.582721519423632373e+00
6.841368273654730991e+00,2.167454143059375782e-01,-1.411726529565583643e+00,-1.644162942133633010e+00,7.498029754068826769e-01,1.619098258750231834e+00
6.881376275255051134e+00,2.821953007791826451e-01,-1.386828755179545514e+00,-1.616756228568883458e+00,7.589813624972006068e-01,1.652106798715850866e+00
6.921384276855371276e+00,3.488834218010657962e-01,-1.359894512638194719e+00,-1.587021060497611158e+00,7.676815557939281609e-01,1.680841568581357803e+00
6.961392278455691418e+00,4.166198623608105556e-01,-1.330923448075167714e+00,-1.554937661744398403e+00,7.758790476617926091e-01,1.704351693861843042e+00
7.001400280056011560e+00,4.851762867364850518e-01,-1.299923586253652452e+00,-1.520494556537851372e+00,7.835515972593073419e-01,1.721673490264326700e+00
7.041408281656331702e+00,5.542862657593321529e-01,-1.266912401580108760e+00,-1.483690075227885208e+00,7.906795410494767973e-01,1.731871257799018293e+00
7.081416283256651845e+00,6.236471535634835472e-01,-1.231917660321496744e+00,-1.444533625334681215e+00,7.972460605560401925e-01,1.734084278442093341e+00
7.121424284856971987e+00,6.929244062893686884e-01,-1.194978197293872668e+00,-1.403047004946452736e+00,8.032374735226044393e-01,1.727577643869762980e+00
7.161432286457292129e+00,7.617571587237794706e-01,-1.156144376929352235e+00,-1.359265351166327962e+00,8.086434649922480400e-01,1.711791898835451242e+00
7.201440288057612271e+00,8.297667695827850576e-01,-1.115478311762477359e+00,-1.313237928960628409e+00,8.134573190617837568e-01,1.686387559994574348e+00
7.241448289657931525e+00,8.965656036387608108e-01,-1.073053745831678230e+00,-1.265028486837528554e+00,8.176760798979020306e-01,1.651278503126459851e+00
7.281456291258251667e+00,9.617684030560815778e-01,-1.028955538571217687e+00,-1.214715243020020541e+00,8.213006843538461776e-01,1.606650653887738533e+00
7.321464292858571810e+00,1.025002432659475993e+00,-9.832788873763809168e-01,-1.162390474619082514e+00,8.243360234153728205e-01,1.552962645832028254e+00
7.361472294458891952e+00,1.085918842868548229e+00,-9.361280858533215232e-01,-1.108159602620881534e+00,8.267909476694482729e-01,1.490927724251234432e+00
7.401480296059212094e+00,1.144201569500217675e+00,-8.876151730534448392e-01,-1.052140022227631588e+00,8.286782121935390988e-01,1.421478742903912185e+00
7.441488297659532236e+00,1.199575672520922343e+00,-8.378581819397127317e-01,-9.944594309529054543e-01,8.300143486197583131e-01,1.345719213928674662e+00
7.481496299259852378e+00,1.251812701779913439e+00,-7.869794648947318061e-01,-9.352541077129752356e-01,8.308194960514982963e-01,1.264866292547256243e+00
7.521504300860172521e+00,1.300734230674164493e+00,-7.351037768347401524e-01,-8.746668187607298250e-01,8.311171560318354468e-01,1.180190573373754770e+00
