eta,kon,kon_noisy
1.097623594616027543e+00,6.864572638471674315e-01,6.775127418483137820e-01
1.098747695827515747e+00,6.861027128227119576e-01,6.864360547791591438e-01
1.099872948256543248e+00,6.857483028925748236e-01,6.966150390138778903e-01
1.100999353082098065e+00,6.853940341331726804e-01,6.905326613840885308e-01
1.102126911484375471e+00,6.850399066206627197e-01,6.802032161597364457e-01
1.103255624644779775e+00,6.846859204309426739e-01,6.867602610382610440e-01
1.104385493745924762e+00,6.843320756396514826e-01,6.834311302173082803e-01
1.105516519971635692e+00,6.839783723221688483e-01,6.864456781276226938e-01
1.106648704506949965e+00,6.836248105536154585e-01,6.776661118699052189e-01
1.107782048538118680e+00,6.832713904088535406e-01,6.856269461769358697e-01
1.108916553252607962e+00,6.829181119624858631e-01,6.829213309364818851e-01
1.110052219839100074e+00,6.825649752888570676e-01,6.767126728816925674e-01
1.111189049487493863e+00,6.822119804620533356e-01,6.857050407660041369e-01
1.112327043388908088e+00,6.818591275559017229e-01,6.887146625210563977e-01
1.113466202735680310e+00,6.815064166439712690e-01,6.872749315946410364e-01
1.114606528721369560e+00,6.811538477995728869e-01,6.679508591019444053e-01
1.115748022540757445e+00,6.808014210957588075e-01,6.825420909951902537e-01
1.116890685389848592e+00,6.804491366053238011e-01,6.822755160366729132e-01
1.118034518465872873e+00,6.800969944008040668e-01,6.791262482988651428e-01
1.119179522967286511e+00,6.797449945544777883e-01,6.788693703833514892e-01
1.120325700093772525e+00,6.793931371383663542e-01,6.815283055663372558e-01
1.121473051046243175e+00,6.790414222242320275e-01,6.824123042992203958e-01
1.122621577026839734e+00,6.786898498835808313e-01,6.750588054192832033e-01
1.123771279238935605e+00,6.783384201876599962e-01,6.794322356255276807e-01
1.124922158887136092e+00,6.779871332074602908e-01,6.768042050669477172e-01
1.126074217177279957e+00,6.776359890137150233e-01,6.738815832973982234e-01
1.127227455316441418e+00,6.772849876768998190e-01,6.791478843969360746e-01
1.128381874512930372e+00,6.769341292672338417e-01,6.740566059114033726e-01
1.129537475976294392e+00,6.765834138546789056e-01,6.677556866241419753e-01
1.130694260917320060e+00,6.762328415089399192e-01,6.735407078714616969e-01
1.131852230548033633e+00,6.758824122994653294e-01,6.669956757541578574e-01
1.133011386081702376e+00,6.755321262954466777e-01,6.801144746109556438e-01
1.134171728732836781e+00,6.751819835658192659e-01,6.737586541410067742e-01
1.135333259717190568e+00,6.748319841792613794e-01,6.798288096478621867e-01
1.136495980251762683e+00,6.744821282041955079e-01,6.643071838740255419e-01
1.137659891554798630e+00,6.741324157087877911e-01,6.822126510971688873e-01
1.138824994845791139e+00,6.737828467609481287e-01,6.761853685715789597e-01
1.139991291345482383e+00,6.734334214283306252e-01,6.676987648385472873e-01
1.141158782275864425e+00,6.730841397783333679e-01,6.833603992115332426e-01
1.142327468860180550e+00,6.727350018780990926e-01,6.691344138204887715e-01
1.143497352322927485e+00,6.723860077945139624e-01,6.666256165712627357e-01
1.144668433889855175e+00,6.720371575942096776e-01,6.712226104728054032e-01
1.145840714787969450e+00,6.716884513435620319e-01,6.737104789982737429e-01
1.147014196245532469e+00,6.713398891086914677e-01,6.756909925242309267e-01
1.148188879492064496e+00,6.709914709554637424e-01,6.827133591126103296e-01
1.149364765758345008e+00,6.706431969494885958e-01,6.663251347418918114e-01
1.150541856276413588e+00,6.702950671561218599e-01,6.612232948297022128e-01
1.151720152279571696e+00,6.699470816404642370e-01,6.714967936012585792e-01
1.152899655002384227e+00,6.695992404673616338e-01,6.631804633289042350e-01
1.154080365680679954e+00,6.692515437014051605e-01,6.625109942473316194e-01
1.155262285551553525e+00,6.689039914069323522e-01,6.686053706651960971e-01
1.156445415853366576e+00,6.685565836480253932e-01,6.752034749170121586e-01
1.157629757825748618e+00,6.682093204885128923e-01,6.639040933636294328e-01
1.158815312709599255e+00,6.678622019919694397e-01,6.641093277620326862e-01
1.160002081747088631e+00,6.675152282217156063e-01,6.663356940073400514e-01
1.161190066181658764e+00,6.671683992408178332e-01,6.653867189527004067e-01
1.162379267258025317e+00,6.668217151120895414e-01,6.723795825060064901e-01
1.163569686222179156e+00,6.664751758980898000e-01,6.665317123303754476e-01
1.164761324321386349e+00,6.661287816611252133e-01,6.597797342999852654e-01
1.165954182804191053e+00,6.657825324632481445e-01,6.777702578022782864e-01
1.167148262920415736e+00,6.654364283662587143e-01,6.622404693854353486e-01
1.168343565921162508e+00,6.650904694317034682e-01,6.567384830337297252e-01
1.169540093058815788e+00,6.647446557208760431e-01,6.676959011617197293e-01
1.170737845587041415e+00,6.643989872948177222e-01,6.646104773205283589e-01
1.171936824760789753e+00,6.640534642143169908e-01,6.671817687219950832e-01
1.173137031836296362e+00,6.637080865399096474e-01,6.632647584316755385e-01
1.174338468071083330e+00,6.633628543318793591e-01,6.634691351323921404e-01
1.175541134723960601e+00,6.630177676502577722e-01,6.638580766159837276e-01
1.176745033055027090e+00,6.626728265548240682e-01,6.671850950984213879e-01
1.177950164325672455e+00,6.623280311051059632e-01,6.512078208936868950e-01
1.179156529798577990e+00,6.619833813603790418e-01,6.626326544350744641e-01
1.180364130737718176e+00,6.616388773796673117e-01,6.616679685989543813e-01
1.181572968408362012e+00,6.612945192217435375e-01,6.723369199625617298e-01
1.182783044077074575e+00,6.609503069451284629e-01,6.572391447072800652e-01
1.183994359011717457e+00,6.606062406080924765e-01,6.668590038340550530e-01
1.185206914481450990e+00,6.602623202686543902e-01,6.650064812000543446e-01
1.186420711756735358e+00,6.599185459845824386e-01,6.564918281921725551e-01
1.187635752109331699e+00,6.595749178133933910e-01,6.626121795795951730e-01
1.188852036812303892e+00,6.592314358123539941e-01,6.637191689033348219e-01
1.190069567140019213e+00,6.588881000384804176e-01,6.653875232037018694e-01
1.191288344368150343e+00,6.585449105485382537e-01,6.631839651379598521e-01
1.192508369773676025e+00,6.582018673990432944e-01,6.579462558198844180e-01
1.193729644634883069e+00,6.578589706462608655e-01,6.606804421358686286e-01
1.194952170231367683e+00,6.575162203462067145e-01,6.544476058811617980e-01
1.196175947844035914e+00,6.571736165546466779e-01,6.526847024962681987e-01
1.197400978755106093e+00,6.568311593270966808e-01,6.546245122711242814e-01
1.198627264248109503e+00,6.564888487188239585e-01,6.529863949526871769e-01
1.199854805607891706e+00,6.561466847848459460e-01,6.520361062056556634e-01
1.201083604120614545e+00,6.558046675799310554e-01,6.641607272796761219e-01
1.202313661073757034e+00,6.554627971585984536e-01,6.465835608473932128e-01
1.203544977756116241e+00,6.551210735751190617e-01,6.570645512143318268e-01
1.204777555457809513e+00,6.547794968835146667e-01,6.568988340119568115e-01
1.206011395470275582e+00,6.544380671375584768e-01,6.486775720485149499e-01
1.207246499086275016e+00,6.540967843907757873e-01,6.610598373063922839e-01
1.208482867599893318e+00,6.537556486964432034e-01,6.488553389702934604e-01
1.209720502306540713e+00,6.534146601075895289e-01,6.545370168857459481e-01
1.210959404502953918e+00,6.530738186769957654e-01,6.445897289369719729e-01
1.212199575487198366e+00,6.527331244571951130e-01,6.458080816778843936e-01
1.213441016558668206e+00,6.523925775004728589e-01,6.482819556084138402e-01
1.214683729018088520e+00,6.520521778588674877e-01,6.535637073948027398e-01
1.215927714167516660e+00,6.517119255841696823e-01,6.595779081658046383e-01
1.217172973310343131e+00,6.513718207279236561e-01,6.453180238907086919e-01
1.218419507751293818e+00,6.510318633414258205e-01,6.553126339635804154e-01
1.219667318796429978e+00,6.506920534757267838e-01,6.478163746933994771e-01
1.220916407753151356e+00,6.503523911816299075e-01,6.541016932528307404e-01
1.222166775930195959e+00,6.500128765096923056e-01,6.536782305891655209e-01
1.223418424637642277e+00,6.496735095102249558e-01,6.507461183681846340e-01
1.224671355186910615e+00,6.493342902332925881e-01,6.510197110307219814e-01
1.225925568890764206e+00,6.489952187287142404e-01,6.396455716723034035e-01
1.227181067063310982e+00,6.486562950460628141e-01,6.522603804889232082e-01
1.228437851020004024e+00,6.483175192346657401e-01,6.545986401854666514e-01
1.229695922077644221e+00,6.479788913436054232e-01,6.474720386463760358e-01
1.230955281554381164e+00,6.476404114217184649e-01,6.518648833305910051e-01
1.232215930769713585e+00,6.473020795175965514e-01,6.512841166372990154e-01
1.233477871044492247e+00,6.469638956795864537e-01,6.532425690898553405e-01
1.234741103700920384e+00,6.466258599557906939e-01,6.427427660718062485e-01
1.236005630062555261e+00,6.462879723940663235e-01,6.437032489354683751e-01
1.237271451454309945e+00,6.459502330420269223e-01,6.499960103239863507e-01
1.238538569202453976e+00,6.456126419470409328e-01,6.494853753447383804e-01
1.239806984634615139e+00,6.452751991562335476e-01,6.524714532686575197e-01
1.241076699079781465e+00,6.449379047164857104e-01,6.437701363161740797e-01
1.242347713868301451e+00,6.446007586744344486e-01,6.447468322965214105e-01
1.243620030331886062e+00,6.442637610764738731e-01,6.407441411393075548e-01
1.244893649803610503e+00,6.439269119687542897e-01,6.428885327400047922e-01
1.246168573617914666e+00,6.435902113971830873e-01,6.506859022665985037e-01
1.247444803110605571e+00,6.432536594074246272e-01,6.433559016860224133e-01
1.248722339618858035e+00,6.429172560449001317e-01,6.457041849864399996e-01
1.250001184481216443e+00,6.425810013547884614e-01,6.423777270148326446e-01
1.251281339037595641e+00,6.422448953820262263e-01,6.407809727978610592e-01
1.252562804629282933e+00,6.419089381713076747e-01,6.418969652457907626e-01
1.253845582598939634e+00,6.415731297670846933e-01,6.414554952845326063e-01
1.255129674290601738e+00,6.412374702135674731e-01,6.363098210964202028e-01
1.256415081049681470e+00,6.409019595547243986e-01,6.371485080920130661e-01
1.257701804222969288e+00,6.405665978342827138e-01,6.396147044155666705e-01
1.258989845158634990e+00,6.402313850957277452e-01,6.432093600486366025e-01
1.260279205206228825e+00,6.398963213823041229e-01,6.395000511457654691e-01
1.261569885716683048e+00,6.395614067370148925e-01,6.316846567198289852e-01
1.262861888042313918e+00,6.392266412026229583e-01,6.526526074377737574e-01
1.264155213536822142e+00,6.388920248216506392e-01,6.404692688852007265e-01
1.265449863555294874e+00,6.385575576363791139e-01,6.369843175480028874e-01
1.266745839454207490e+00,6.382232396888498638e-01,6.388076096516842606e-01
1.268043142591423811e+00,6.378890710208645620e-01,6.379076515783810297e-01
1.269341774326198991e+00,6.375550516739844076e-01,6.377665300227199907e-01
1.270641736019179735e+00,6.372211816895313463e-01,6.401613178441184493e-01
1.271943029032406525e+00,6.368874611085878490e-01,6.393102094871903063e-01
1.273245654729314502e+00,6.365538899719970223e-01,6.374207905131938912e-01
1.274549614474735248e+00,6.362204683203627198e-01,6.418665644990553254e-01
1.275854909634898116e+00,6.358871961940504303e-01,6.312535013100512016e-01
1.277161541577431558e+00,6.355540736331860563e-01,6.460578988098297781e-01
1.278469511671364911e+00,6.352211006776581348e-01,6.366679670098083221e-01
1.279778821287129054e+00,6.348882773671158386e-01,6.300148490600701034e-01
1.281089471796559076e+00,6.345556037409707528e-01,6.248361110054300172e-01
1.282401464572894279e+00,6.342230798383965418e-01,6.357325268639860694e-01
1.283714800990780613e+00,6.338907056983290600e-01,6.378213534050722888e-01
1.285029482426272018e+00,6.335584813594664633e-01,6.319252123742242766e-01
1.286345510256831526e+00,6.332264068602700968e-01,6.322072324347681738e-01
1.287662885861332818e+00,6.328944822389634961e-01,6.309740712976164012e-01
1.288981610620061558e+00,6.325627075335337191e-01,6.357951407179529557e-01
1.290301685914717611e+00,6.322310827817310130e-01,6.338134858939771243e-01
1.291623113128415046e+00,6.318996080210689259e-01,6.246320276068831889e-01
1.292945893645684796e+00,6.315682832888248610e-01,6.338672586366800310e-01
1.294270028852475996e+00,6.312371086220399663e-01,6.316880985310721064e-01
1.295595520136156864e+00,6.309060840575195783e-01,6.334004883130436303e-01
1.296922368885516264e+00,6.305752096318332223e-01,6.263985474987402435e-01
1.298250576490765917e+00,6.302444853813149450e-01,6.346030829621805980e-01
1.299580144343540633e+00,6.299139113420633151e-01,6.370876438695357580e-01
1.300911073836900966e+00,6.295834875499419780e-01,6.189346019554433642e-01
1.302243366365333666e+00,6.292532140405797669e-01,6.342296826711513180e-01
1.303577023324754114e+00,6.289230908493701477e-01,6.288334183261111709e-01
1.304912046112506996e+00,6.285931180114729955e-01,6.283561722415856865e-01
1.306248436127367851e+00,6.282632955618133730e-01,6.270875266050186525e-01
1.307586194769545296e+00,6.279336235350823081e-01,6.262441040882136267e-01
1.308925323440681243e+00,6.276041019657370157e-01,6.289517962795841965e-01
1.310265823543853569e+00,6.272747308880008976e-01,6.255388487696129651e-01
1.311607696483577223e+00,6.269455103358639869e-01,6.146161925942545956e-01
1.312950943665804671e+00,6.266164403430831698e-01,6.301096330545054025e-01
1.314295566497929224e+00,6.262875209431821855e-01,6.271560360820452873e-01
1.315641566388785044e+00,6.259587521694519596e-01,6.293614758225747341e-01
1.316988944748649137e+00,6.256301340549504930e-01,6.165083579787709045e-01
1.318337702989242910e+00,6.253016666325038608e-01,6.278277973294801306e-01
1.319687842523733501e+00,6.249733499347057686e-01,6.215395992007980430e-01
1.321039364766735336e+00,6.246451839939177741e-01,6.288576687502707152e-01
1.322392271134311459e+00,6.243171688422698429e-01,6.258505534324512176e-01
1.323746563043975311e+00,6.239893045116601256e-01,6.315226730612036876e-01
1.325102241914692058e+00,6.236615910337558466e-01,6.295591175339478873e-01
1.326459309166879930e+00,6.233340284399925268e-01,6.288842427328658058e-01
1.327817766222411544e+00,6.230066167615755379e-01,6.121067810077295279e-01
1.329177614504616578e+00,6.226793560294786589e-01,6.292749478927527340e-01
1.330538855438281320e+00,6.223522462744458528e-01,6.258349211200338047e-01
1.331901490449652004e+00,6.220252875269906001e-01,6.218494954589356416e-01
1.333265520966435025e+00,6.216984798173962323e-01,6.280745880682991888e-01
1.334630948417799168e+00,6.213718231757162647e-01,6.226999359176189630e-01
1.335997774234377156e+00,6.210453176317746182e-01,6.232560873626590281e-01
1.337365999848265874e+00,6.207189632151661751e-01,6.234093769682165220e-01
1.338735626693029923e+00,6.203927599552560013e-01,6.179969634463547967e-01
1.340106656203701618e+00,6.200667078811806787e-01,6.216370240652956403e-01
1.341479089816782766e+00,6.197408070218477505e-01,6.127947604739533149e-01
1.342852928970246662e+00,6.194150574059364978e-01,6.237242413913142158e-01
1.344228175103538758e+00,6.190894590618978288e-01,6.188625319954317305e-01
1.345604829657579105e+00,6.187640120179546122e-01,6.212903641576378311e-01
1.346982894074763681e+00,6.184387163021015654e-01,6.140848718575657728e-01
1.348362369798964844e+00,6.181135719421062547e-01,6.145806617986698805e-01
1.349743258275534430e+00,6.177885789655082061e-01,6.194334083797046198e-01
1.351125560951303983e+00,6.174637373996209044e-01,6.249057994053917042e-01
1.352509279274587195e+00,6.171390472715295727e-01,6.097865191406078855e-01
1.353894414695180348e+00,6.168145086080933925e-01,6.090582970860848322e-01
1.355280968664365426e+00,6.164901214359450599e-01,6.133523308257015083e-01
1.356668942634909891e+00,6.161658857814907853e-01,6.220405413434706432e-01
1.358058338061069570e+00,6.158418016709108489e-01,6.165746463935103394e-01
1.359449156398589098e+00,6.155178691301596006e-01,6.220988631538906244e-01
1.360841399104704363e+00,6.151940881849660148e-01,6.141193031855272100e-01
1.362235067638143615e+00,6.148704588608333577e-01,6.104691851214425480e-01
1.363630163459129019e+00,6.145469811830400753e-01,6.134059046615290001e-01
1.365026688029377988e+00,6.142236551766396824e-01,6.164310562278801919e-01
1.366424642812104961e+00,6.139004808664607626e-01,6.086885322461056402e-01
1.367824029272023179e+00,6.135774582771077457e-01,6.147254278724267884e-01
1.369224848875345790e+00,6.132545874329605740e-01,6.136698334993221371e-01
1.370627103089786969e+00,6.129318683581754801e-01,6.122010096154013592e-01
1.372030793384565017e+00,6.126093010766845426e-01,6.154886961882727325e-01
1.373435921230401924e+00,6.122868856121970182e-01,6.053035521859067014e-01
1.374842488099526694e+00,6.119646219881981208e-01,6.077834007586851994e-01
1.376250495465675572e+00,6.116425102279503534e-01,6.142384658703776701e-01
1.377659944804094039e+00,6.113205503544936192e-01,6.123305986794029820e-01
1.379070837591539034e+00,6.109987423906445558e-01,6.137016332050601042e-01
1.380483175306278953e+00,6.106770863589982001e-01,6.147223759870079629e-01
1.381896959428096983e+00,6.103555822819269894e-01,6.202655125580029960e-01
1.383312191438291094e+00,6.100342301815818713e-01,6.142577580276706861e-01
1.384728872819676715e+00,6.097130300798917490e-01,6.167116022128532604e-01
1.386147005056587833e+00,6.093919819985641473e-01,6.093735413497898268e-01
1.387566589634878556e+00,6.090710859590857673e-01,6.136160484043952090e-01
1.388987628041924438e+00,6.087503419827221540e-01,6.105788263566753749e-01
1.390410121766624485e+00,6.084297500905181399e-01,6.057392067910708500e-01
1.391834072299402703e+00,6.081093103032979563e-01,6.073445028611362817e-01
1.393259481132208988e+00,6.077890226416658992e-01,6.062038733585078942e-01
1.394686349758521571e+00,6.074688871260063294e-01,6.044098022516166679e-01
1.396114679673348347e+00,6.071489037764832286e-01,6.044838886309140680e-01
1.397544472373227542e+00,6.068290726130421975e-01,6.166998381133177443e-01
1.398975729356230824e+00,6.065093936554084575e-01,6.018461411854019172e-01
1.400408452121963743e+00,6.061898669230887382e-01,6.054515123231369866e-01
1.401842642171567510e+00,6.058704924353710553e-01,5.940679814992148033e-01
1.403278301007720774e+00,6.055512702113247103e-01,6.019090595065622606e-01
1.404715430134641396e+00,6.052322002698007353e-01,6.062266414349037902e-01
1.406154031058087117e+00,6.049132826294323362e-01,6.099699292760664138e-01
1.407594105285358443e+00,6.045945173086344493e-01,5.979413322416187171e-01
1.409035654325299092e+00,6.042759043256047402e-01,6.045869302398874101e-01
1.410478679688298209e+00,6.039574436983239369e-01,6.009711951607745739e-01
1.411923182886291706e+00,6.036391354445547197e-01,6.041156359399380005e-01
1.413369165432763808e+00,6.033209795818437193e-01,5.992245188912724840e-01
1.414816628842748836e+00,6.030029761275210731e-01,6.029125192166691072e-01
1.416265574632832980e+00,6.026851250986997588e-01,6.041950925940812178e-01
1.417716004321154966e+00,6.023674265122777038e-01,6.021976109419650003e-01
1.419167919427408719e+00,6.020498803849360092e-01,6.103781570103106180e-01
1.420621321472844478e+00,6.017324867331408367e-01,6.047703937024824228e-01
1.422076211980270344e+00,6.014152455731428537e-01,6.045549691435554429e-01
1.423532592474054059e+00,6.010981569209774555e-01,5.915017125575825485e-01
1.424990464480124563e+00,6.007812207924653203e-01,6.066672370448767948e-01
1.426449829525973101e+00,6.004644372032126309e-01,6.034907235519768598e-01
1.427910689140655665e+00,6.001478061686108534e-01,6.076568774030476350e-01
1.429373044854794106e+00,5.998313277038377356e-01,5.973521834057075042e-01
1.430836898200577911e+00,5.995150018238569745e-01,6.018741731707466514e-01
1.432302250711765312e+00,5.991988285434186601e-01,6.114154194986798352e-01
1.433769103923685950e+00,5.988828078770594976e-01,6.001949387683849224e-01
1.435237459373241320e+00,5.985669398391031404e-01,5.997925417145453242e-01
1.436707318598906991e+00,5.982512244436605231e-01,6.010597485372946025e-01
1.438178683140734382e+00,5.979356617046297506e-01,6.042706989930701766e-01
1.439651554540351652e+00,5.976202516356968752e-01,5.952492470008726722e-01
1.441125934340965919e+00,5.973049942503353416e-01,5.987953158736580850e-01
1.442601824087365259e+00,5.969898895618072077e-01,5.903709739141695945e-01
1.444079225325919147e+00,5.966749375831629232e-01,5.879042827379631353e-01
1.445558139604581127e+00,5.963601383272414402e-01,5.921693440378631434e-01
1.447038568472889475e+00,5.960454918066705465e-01,5.916527648542596607e-01
1.448520513481970307e+00,5.957309980338674205e-01,5.870801399643515994e-01
1.450003976184537580e+00,5.954166570210386311e-01,5.886422353731195489e-01
1.451488958134895535e+00,5.951024687801802493e-01,5.901760281497920868e-01
1.452975460888940251e+00,5.947884333230787357e-01,5.961250804954550953e-01
1.454463486004161199e+00,5.944745506613101638e-01,5.961133413365593547e-01
1.455953035039643240e+00,5.941608208062413299e-01,5.987466675359918167e-01
1.457444109556067513e+00,5.938472437690298644e-01,5.939599011025993303e-01
1.458936711115713658e+00,5.935338195606243428e-01,5.897805320980163968e-01
1.460430841282461367e+00,5.932205481917641743e-01,5.877907142513613126e-01
1.461926501621791719e+00,5.929074296729807125e-01,5.960403286082698315e-01
1.463423693700788952e+00,5.925944640145971443e-01,5.923221296917320355e-01
1.464922419088142913e+00,5.922816512267280453e-01,5.955165923704484054e-01
1.466422679354149050e+00,5.919689913192807129e-01,5.882147276761666710e-01
1.467924476070711304e+00,5.916564843019550546e-01,5.859473684037823649e-01
1.469427810811343882e+00,5.913441301842433662e-01,5.896688022196348022e-01
1.470932685151171926e+00,5.910319289754314420e-01,6.049881379265695802e-01
1.472439100666933953e+00,5.907198806845979089e-01,5.918249858530367780e-01
1.473947058936983190e+00,5.904079853206152251e-01,5.902630230361445296e-01
1.475456561541289124e+00,5.900962428921497915e-01,5.910261730938281000e-01
1.476967610061439506e+00,5.897846534076617298e-01,5.849931044263625424e-01
1.478480206080641901e+00,5.894732168754058810e-01,5.989603983132807397e-01
1.479994351183725243e+00,5.891619333034314732e-01,5.829778680684466474e-01
1.481510046957141391e+00,5.888508026995826761e-01,5.870208169996753433e-01
1.483027294988966904e+00,5.885398250714988233e-01,5.876183198568164512e-01
1.484546096868905041e+00,5.882290004266146344e-01,5.814891194974175503e-01
1.486066454188286645e+00,5.879183287721602147e-01,5.850328092974259597e-01
