S,H,theta,theta_noisy
5.640006701372354492e+00,6.612845689672965932e-01,8.609751485425507500e-01,8.632666875946833906e-01
4.026579400248004426e+00,1.516131107724596694e+00,1.126849706012517549e+00,1.101910763227937684e+00
6.148449444429268773e+00,4.650235437518915660e+00,1.367990897611062184e+00,1.374892145312690328e+00
2.006560435732630765e+00,1.840346010390006670e+00,1.254527941473552399e+00,1.259441624081002242e+00
1.843861031388796867e+00,4.061200437455800838e-01,8.733702685348975203e-01,8.569816970959925895e-01
7.481260837215886639e+00,4.006592139290418686e+00,1.235547118858124849e+00,1.236160653956506650e+00
7.534623012774309458e+00,2.067395609146777335e+00,1.020398266298127465e+00,1.010757269662714952e+00
5.691429850806476232e+00,4.886161268460001317e+00,1.419520493690982654e+00,1.427092704138564150e+00
9.214742788965153864e+00,3.535069565398353042e+00,1.125900186182079210e+00,1.105558513447644886e+00
2.097461729878737025e+00,1.730770386783856640e+00,1.240036487763529927e+00,1.230891542383584003e+00
8.516466189686932253e+00,4.466047300256870578e+00,1.243671549711629076e+00,1.250767349589049671e+00
1.731423747704507798e+00,5.574275437840382486e-01,9.136203790307478867e-01,9.251843895150694275e-01
9.645359322898082510e+00,4.305670608484661877e+00,1.193534085196341188e+00,1.171954031395079143e+00
6.255742644656208995e+00,2.339173501548856393e+00,1.110929738674921952e+00,1.105949340227408983e+00
6.088493690699646521e+00,2.890919008195107054e+00,1.183949424862372313e+00,1.187229625787798115e+00
9.707059693169606263e+00,4.630872883853771604e+00,1.225098484104639063e+00,1.219006322725140423e+00
7.880975502198270810e+00,4.640281836753919364e+00,1.284630485883014650e+00,1.300536888196246021e+00
7.909678887081114773e+00,2.015246167345617345e-01,7.107330772185735945e-01,6.988208104023957423e-01
5.882328908161044145e-01,2.285834987956755437e+00,7.164631709269191351e-01,7.200084903897884248e-01
3.724398745639477593e+00,4.624407143894767813e+00,1.530252464464851414e+00,1.519768409279406374e+00
8.947029830464069411e-01,2.180194564761751774e+00,9.788238586658599694e-01,9.928834880972088328e-01
1.975599435581868235e+00,5.589414255420122046e-01,9.324177031123134229e-01,9.322011908217577858e-01
2.177976557386864354e+00,4.554327240426365719e+00,1.584196529604389836e+00,1.580474023964383745e+00
8.593487225050747469e+00,1.372101765497691250e+00,8.950271357402417305e-01,8.778452862429155790e-01
1.311212048197138769e+00,3.587735952100111092e+00,1.342544979224858270e+00,1.359363234675525112e+00
3.002739795475021456e+00,3.079128606568849236e+00,1.407830452775341801e+00,1.415358238702315585e+00
4.953827440297108531e+00,3.148943375101127096e+00,1.283073101006995342e+00,1.290608739382088865e+00
8.502131091335892066e+00,4.893745539766337416e+00,1.287853405504496340e+00,1.299232218093674174e+00
9.654052637331885123e+00,3.180062991641741998e+00,1.076878758125471958e+00,1.080371023906702144e+00
7.096040468338054019e+00,2.679478847113964779e+00,1.110024798398395740e+00,1.103632332292631579e+00
2.176187833333953492e+00,2.578994817017893348e-01,8.458832506642941507e-01,8.378808383939930771e-01
5.472577680507140663e+00,1.942152117051634264e+00,1.103381884994617312e+00,1.095379885201007264e+00
7.074292477719524186e+00,3.678782342497948221e+00,1.219236181639645311e+00,1.232936905052982368e+00
5.662311508799203752e-01,3.462606400691809583e+00,7.696731196531396701e-01,7.550693076411855165e-01
6.814847463879510236e+00,2.306810358830109653e+00,1.079650213581235807e+00,1.073686518463528028e+00
3.714404259633856231e+00,1.312346972551911017e+00,1.106513374393889526e+00,1.103300935201027677e+00
5.917517853453121646e+00,1.548978951743968713e+00,1.022146159320881154e+00,1.024392349574372085e+00
6.711856147359567260e+00,4.473206603074156851e-01,7.797390553032886862e-01,7.854925491883667510e-01
6.707818586652060766e+00,4.630260111957638092e-01,7.831472247450159685e-01,7.706562546540605130e-01
5.254345266482270738e+00,3.700034196322104840e+00,1.323212560070937016e+00,1.305912425558211742e+00
5.569637453027636909e+00,3.107992928271453792e+00,1.238565917305878727e+00,1.238521774979659096e+00
2.021589650454652443e+00,3.882672017057394065e+00,1.506185123143068738e+00,1.518320761395929530e+00
4.977114545777251209e+00,3.631507615100989739e+00,1.334469635284557532e+00,1.342040215877522868e+00
1.297824252820268809e+00,4.118987089789833966e+00,1.389661550365582254e+00,1.391818058202581865e+00
4.833432669164341000e+00,2.486239833654368070e+00,1.213881647466771074e+00,1.210710091026597546e+00
5.385637009419624199e+00,1.163246082077632249e+00,9.823040669163812799e-01,9.852364038743834929e-01
7.752342922287668081e+00,9.860079987209903196e-01,8.580793709204235231e-01,8.556460200630017221e-01
3.966964690292149154e+00,1.635161357016902794e+00,1.151421145317250705e+00,1.159593211122176726e+00
2.450241645885149477e-01,3.934265670035418605e+00,4.154724888248181869e-01,4.075280154359493534e-01
5.301111835474356937e+00,4.196204396096576694e+00,1.372761123179430554e+00,1.374103522650294007e+00
2.092063299878374139e+00,1.809655248216723855e+00,1.253198830759477467e+00,1.252091029398361588e+00
7.425512355783968843e+00,2.957798427827991627e+00,1.126661897291828751e+00,1.132095491187130376e+00
3.917537442646530366e+00,7.686440605357429678e-01,9.625892886929843240e-01,9.648356739294781104e-01
3.835707983121383613e+00,4.939574663976905811e+00,1.555154412701706956e+00,1.580654759064785919e+00
9.099073068704505829e+00,1.414171114760755799e-01,6.857947324579521942e-01,7.007812800393070640e-01
3.960055917354328603e+00,3.241613990101855691e+00,1.364007972185162343e+00,1.378975343840347367e+00
3.521073192657988571e+00,2.770456964859204341e+00,1.339827280097234619e+00,1.319432241721288257e+00
3.512796366814648241e+00,1.593156585429194694e+00,1.172561976435567699e+00,1.169158810188543951e+00
4.833617424510689986e+00,4.177800307816614378e+00,1.402701970606414550e+00,1.396615864447285249e+00
9.782564820765673463e-01,1.632247428499987163e-01,6.200683881898134686e-01,6.253956041887038797e-01
5.490136709059860287e+00,2.720964927767492991e+00,1.199560661639368142e+00,1.176770396748814784e+00
9.218203247236127496e+00,3.378283994768000564e+00,1.109430833634402536e+00,1.121175820424494374e+00
5.651074545553379735e+00,3.725710665410608247e+00,1.300649795132002406e+00,1.311319628240955604e+00
7.451906563137943529e+00,3.071730264847721603e+00,1.137940787077433846e+00,1.124920078494975995e+00
9.474049598498488933e+00,3.537820680386905448e+00,1.119004635365290046e+00,1.109219150079076011e+00
8.429048101634196044e+00,4.077778354329917754e+00,1.206736998401367389e+00,1.198725278293555574e+00
7.452863118944185850e+00,2.997470897889009667e+00,1.129844977587443067e+00,1.130277936590274424e+00
8.140979204985880457e+00,2.571709073670013446e+00,1.056705901707962969e+00,1.063115612354857742e+00
8.210383464188218738e+00,7.941544908702939942e-01,8.121752851222423519e-01,8.326541456758156379e-01
2.574864187882230482e+00,1.982861621869030699e+00,1.281842437544920443e+00,1.279867983246043783e+00
4.845532319524406439e+00,4.120103890178604900e+00,1.395769720585362528e+00,1.403444746174398627e+00
3.460031669052224146e+00,2.404403372753668222e+00,1.297941171389265014e+00,1.299495349489859342e+00
2.654246271605108731e+00,2.085004600843376021e+00,1.295012376151403410e+00,1.312611638990486052e+00
5.736938252070173050e+00,1.620146250087978190e+00,1.042360211878954779e+00,1.049781790491070455e+00
3.212964932267187823e+00,2.207361427808340437e+00,1.286628711248919199e+00,1.300314215757663927e+00
6.205632630437889929e+00,3.242883467858558078e+00,1.216373622408766675e+00,1.205596870510932117e+00
5.845044476203982597e+00,3.391512203558474159e+00,1.253034498695549503e+00,1.251112091580290020e+00
1.088769795100614557e+00,1.371892026777743023e+00,9.782912012835682791e-01,9.701534770651478734e-01
4.452055633012882652e+00,4.010162116224599949e+00,1.412227673229529135e+00,1.427277147269612190e+00
3.929055996103185233e+00,1.578672643351573535e-01,7.983393190807966944e-01,8.049157181189744437e-01
7.081191490448826009e+00,1.667080149345816498e+00,9.865989613033849803e-01,9.835475170456098315e-01
9.269217959133384532e-01,6.083102114165571672e-01,7.074836195198831446e-01,7.029589406491790760e-01
1.731133815976972246e+00,3.388427019226187831e+00,1.424309850518573395e+00,1.429156499300640482e+00
5.150344686757136969e+00,2.603453257802279541e+00,1.207185997628079432e+00,1.200171042326283910e+00
4.075707602035763877e+00,4.287895217720450347e+00,1.469261163669979942e+00,1.459955274907858369e+00
6.670199467808107130e+00,4.491691101241307216e+00,1.323533163742828700e+00,1.328345908665544028e+00
3.361924043170710252e+00,4.302447469339481856e+00,1.521172320664463395e+00,1.545803640985515592e+00
2.012326745032709585e+00,3.602447157492719931e+00,1.475611545882451470e+00,1.473150210341803268e+00
9.321861961478742131e+00,4.900624598428811041e+00,1.263023284961209747e+00,1.257464627153274117e+00
2.476770108564196438e+00,1.652290907572260936e+00,1.228836475470010292e+00,1.217124907129754963e+00
1.513289858960684464e+00,2.995029108758497038e+00,1.341257846919780894e+00,1.327907737344186989e+00
2.834946835466221948e+00,4.573051387103446164e-01,9.052801926775024821e-01,9.105300250231447290e-01
3.430257554617886395e+00,4.141410589963014033e+00,1.499545229173615102e+00,1.508053259501400678e+00
2.289904126960647268e+00,1.101358853985298536e+00,1.109735217177374444e+00,1.109826964386199322e+00
5.386348688085943692e+00,3.699531919913556788e+00,1.314552613445414853e+00,1.317878373332176833e+00
9.372491764393608094e+00,3.852926859290599637e+00,1.154410975762841796e+00,1.155570141537912932e+00
1.303887572575350484e+00,2.846089936321670955e+00,1.264054261575118687e+00,1.265440810035590946e+00
4.180887898189366680e+00,3.045319853752352035e+00,1.325767800032634058e+00,1.310506209506805630e+00
6.698166538288003125e+00,4.770124833493719407e+00,1.350805125194251222e+00,1.346223942463758982e+00
8.852914075729817256e+00,2.499139872881545710e+00,1.025693721524657542e+00,1.026808514600556999e+00
9.998040131437722522e+00,1.634698933630965856e+00,8.960900754400253909e-01,8.882584076343885693e-01
1.479187616159471030e+00,2.911195489303234574e+00,1.323866122072894669e+00,1.319101824634296483e+00
5.396112358051794899e+00,4.000430329464697010e+00,1.345925507488707984e+00,1.337734305685430725e+00
8.817945260818643050e+00,3.527004449555524612e+00,1.136874918294353609e+00,1.133539951552369196e+00
5.776452648412969682e-01,1.433188896091757147e-01,3.604138892440019171e-01,3.689449719872532896e-01
5.903516900765128916e+00,2.961296923074531406e+00,1.202297037587037210e+00,1.198231234080481267e+00
1.780417926413521812e+00,9.998518620105248944e-01,1.058986412315436887e+00,1.057447705513465896e+00
7.689911108546016116e+00,2.376289574708047247e+00,1.051025553320680261e+00,1.059162736915061354e+00
9.379428795532776419e+00,4.806371070005805102e+00,1.251813231660485304e+00,1.258260933802054504e+00
5.405967516973757547e+00,4.450608682296627983e+00,1.392519296712129595e+00,1.409471372301726033e+00
1.392164088418357815e-01,1.539905432672411090e+00,2.483118228804754024e-01,2.274069720991895305e-01
6.892907003980190961e-01,1.556085868745394230e+00,7.400274090529070925e-01,7.485959984981381821e-01
4.186234142996261731e+00,2.366105211829615751e+00,1.243282310717328309e+00,1.238459469849597427e+00
8.480674503805500919e+00,2.099178915403766776e+00,9.913541821503033535e-01,9.927011003384821342e-01
2.405830880569793884e+00,2.675262517285730723e+00,1.378968558460334393e+00,1.387345752309325109e+00
6.707918852665130771e+00,3.489812721515137994e+00,1.216738319840301674e+00,1.227570851397215224e+00
4.082813029133128602e+00,4.897247747879444724e+00,1.532618513179748287e+00,1.543012020082836555e+00
2.688294142171895107e+00,1.732034836012657397e+00,1.237910269782170669e+00,1.239461336692953219e+00
7.053696624870509524e+00,1.411046712621837340e-01,7.166472954447024035e-01,7.327439222748854952e-01
3.117154719362652315e+00,1.797895635904197986e+00,1.230299863904907864e+00,1.227470121632746602e+00
3.750215444634416251e+00,2.271540324262316890e+00,1.261017544252012845e+00,1.259607725121304922e+00
7.664837572238589303e+00,2.589266636738039473e+00,1.076230190000686537e+00,1.084223701889627467e+00
4.977239090560425794e+00,7.891282095036546984e-01,9.190369775624311899e-01,9.135232534826265294e-01
7.849989681502842487e+00,3.173557047652600938e-01,7.307389205204624094e-01,7.523479831074748603e-01
5.187190285142804669e+00,2.446610274612083025e+00,1.185877619761337209e+00,1.196069685414883343e+00
1.641718066948980370e+00,3.739312468830543690e+00,1.446817416373366028e+00,1.468573169599570072e+00
4.464793350777327419e+00,3.872035276999262976e+00,1.396537422759472680e+00,1.396271530887914780e+00
8.734012373198092760e+00,2.300263710206321144e-01,7.028861799740606653e-01,6.990552944714475414e-01
5.670932558083076280e+00,3.039479439254373805e+00,1.224758002351413966e+00,1.226428482373083328e+00
9.649914718388924229e+00,2.527899777943905857e+00,1.007180882566180102e+00,1.014526647592242092e+00
6.142671675177915902e-02,1.784831668439661012e+00,2.379346306497227004e-01,2.320603537809825812e-01
3.436646337215070179e+00,3.126846566459016596e+00,1.387395129150045925e+00,1.391192146619770309e+00
7.702049034205056266e+00,9.104804802090356031e-01,8.461050529705181900e-01,8.459370101813098453e-01
6.877202065119165653e+00,4.718471675619788641e+00,1.336586442754289505e+00,1.352743260360053990e+00
5.631737511165250787e+00,2.776869001481287125e+00,1.197400211504772161e+00,1.190773193381763573e+00
6.654243150038356980e+00,5.069248156734091904e-01,7.938951129145385144e-01,8.043567306318256671e-01
8.770487485424316887e+00,4.517941482767463546e-01,7.391076496226915982e-01,7.326690142672914741e-01
6.851336853184632147e+00,1.543043466273678499e+00,9.784130050852315463e-01,9.688066631541573104e-01
5.494924159993265000e+00,1.207194698223610807e+00,9.852760695646797240e-01,9.781730752909234550e-01
5.646561270699746338e+00,3.085550159287691940e+00,1.231365940536519377e+00,1.219464081918096854e+00
6.680450403354908140e+00,2.939050418050508373e+00,1.158390836598195417e+00,1.159854340198859912e+00
3.272926345266331527e+00,2.779381252329605090e+00,1.356880819731042465e+00,1.367193427691829166e+00
6.710880301900268741e+00,3.948020007958075617e+00,1.264966416300807639e+00,1.266609565086155520e+00
6.169332786378609157e+00,6.223561270012820668e-01,8.336851299307042051e-01,8.399283810525529637e-01
7.869812376083809902e+00,4.632904614796364839e+00,1.284311031273277282e+00,1.300632773229028594e+00
4.828240107265100889e+00,2.197325333719627238e+00,1.177593806823135303e+00,1.180294071294923919e+00
3.187360642063916116e-01,3.612573347798627710e-01,1.788200351266941157e-01,1.807716587363250582e-01
5.392369578808141384e+00,5.427830981418051426e-01,8.409574961165169338e-01,8.382068814369142418e-01
8.583998519702847219e+00,4.073252598757067133e+00,1.201048380967079332e+00,1.184965958116966478e+00
6.418188962680936527e+00,1.563296794782454535e+00,1.000260054079308514e+00,1.007857443397989439e+00
6.452550918653462197e+00,2.357062951117006477e+00,1.103045411891489191e+00,1.085480807415229343e+00
3.939940450380983172e+00,6.462128287191025722e-01,9.264617348071684244e-01,9.329884991710066799e-01
3.597886464278510665e+00,3.627736525121538769e+00,1.432627175380863704e+00,1.432483972023524066e+00
7.203123955757455121e+00,5.652080768704891289e-01,7.920491755115794952e-01,8.033169900196838187e-01
8.238903872307014042e-01,4.470666466772418524e+00,1.118399741510976320e+00,1.117722038905871740e+00
8.671070754288635385e+00,6.391580669493568401e-01,7.744692986027135184e-01,7.662372970231368097e-01
8.769084626826344930e+00,4.176013233855337958e+00,1.205619134372811541e+00,1.209198237040337354e+00
9.626321594432003081e+00,2.205299251437039310e+00,9.718842236941110935e-01,9.662818623370298399e-01
1.399992183975590665e+00,2.033887904478052011e+00,1.197156013532544749e+00,1.195346445285926595e+00
1.198006251305413494e+00,5.773332585469296285e-01,8.151344254211108087e-01,8.155531332897307806e-01
8.945517473241780593e+00,1.836309940019414721e+00,9.461904009482058342e-01,9.448449038307491499e-01
4.041197728893156871e+00,4.595844302217455102e+00,1.504212536831292191e+00,1.502324514081553986e+00
2.740090100753808766e+00,3.497754077426675767e-01,8.737137797232943370e-01,8.653893298404238266e-01
3.853035882125290357e+00,6.126714012103634532e-01,9.202542530475943394e-01,9.183629152066662416e-01
6.612063725491627686e+00,4.760748066206354601e+00,1.354249193107069260e+00,1.332865787035859118e+00
1.656861775894191036e+00,4.064706762732860135e+00,1.483202241539030464e+00,1.481628920586778086e+00
4.897280719609577559e+00,4.628292801936158440e+00,1.445446677622743037e+00,1.433466117763423808e+00
6.617504938104967316e+00,4.544331768282698469e+00,1.331667117681403223e+00,1.342869754584873343e+00
7.221683087068595519e+00,4.883052065243163931e+00,1.337265742856373896e+00,1.349965010329586379e+00
1.720125493203816525e-01,1.866893452765306716e+00,2.900026140786369222e-01,2.704923562734243836e-01
8.118419428403843341e+00,4.135373261931011513e+00,1.223715934402337835e+00,1.225165102305996623e+00
4.370087014834890482e+00,1.741206883898668956e+00,1.142587530605336799e+00,1.141323891383669187e+00
4.386200411282189293e+00,3.111284188237227077e+00,1.318553645448493405e+00,1.308086489147684661e+00
5.645490539081610137e+00,1.475598114975035235e-01,7.484525057083610822e-01,7.537690371348511054e-01
2.837348400250919944e+00,1.530141094546357605e+00,1.195824245259687668e+00,1.191207349813140137e+00
8.872881498690427193e+00,1.681986640964837409e+00,9.289155552460433007e-01,9.112395642891772951e-01
2.160747902132250875e+00,1.748108566594474000e+00,1.244845740612653628e+00,1.242178974092083887e+00
5.450036415734240691e+00,8.057989161760441554e-01,9.026459786254441564e-01,9.011634474424432550e-01
1.722014953135941662e+00,1.696307315444126607e-01,7.997227157936827036e-01,8.007870259760974108e-01
6.180357453684780289e+00,1.213873445875186752e+00,9.543803402207976516e-01,9.420680102334699768e-01
9.023971083696281426e+00,1.979547641729937635e-01,6.944240688200289391e-01,7.005808780892448517e-01
8.832234679023356350e+00,1.083518200880167814e+00,8.462409203660267165e-01,8.535954912480155921e-01
1.390067669469785328e+00,3.224616150912656298e+00,1.332488912462212127e+00,1.321030639693663078e+00
6.267444051026983765e+00,2.899011166592007083e+00,1.175113949316274997e+00,1.168525393626443254e+00
8.930895671664927704e+00,3.419425094990458103e+00,1.122156214395579443e+00,1.121352841257285959e+00
2.042740030180557387e+00,3.378113420549021750e+00,1.452957670398331125e+00,1.447298417128207504e+00
4.176675109904133265e+00,3.734654577674837439e-01,8.400513075454233425e-01,8.574888536439202458e-01
7.145894116257871076e+00,2.716313465425512330e+00,1.111959879383687566e+00,1.114043600545270074e+00
7.394120829249194671e+00,2.031574412853903500e+00,1.021484533910633097e+00,1.011378713547091079e+00
4.539219375459195405e+00,1.980962021233191095e+00,1.167218721687784067e+00,1.159337632411536312e+00
6.404254837249492738e+00,1.758918521363202370e+00,1.028956916680819234e+00,1.028382214098261915e+00
6.705742951249728634e+00,2.071376752465990290e+00,1.055915053103524182e+00,1.078872841186110154e+00
3.563571807881307674e+00,4.076575367654172943e+00,1.483575857343566895e+00,1.481793214125336267e+00
6.538132058667719626e+00,1.097475312783789514e+00,9.186360947379184072e-01,9.199108589303164329e-01
5.795353484097639729e+00,3.383353365216254627e+00,1.255097541892221669e+00,1.260237995673803457e+00
6.988990238000797994e+00,2.275179169128383805e+00,1.068011324019028763e+00,1.067610064656398405e+00
5.140868021506562968e+00,3.151478828182022518e+00,1.270816491980615304e+00,1.293623100706282392e+00
3.397489284425257328e+00,1.907228144913449608e+00,1.231639426217083111e+00,1.226324176746831585e+00
4.372302096574103736e+00,4.275858319947030139e+00,1.446219515334214778e+00,1.453661546585672593e+00
9.228490328696326017e+00,3.274324388919576112e+00,1.098234593990877306e+00,1.099838973680713039e+00
1.916175198479432629e+00,2.379993353197938699e+00,1.326784254564642662e+00,1.332996218296806923e+00
1.525613006961543672e+00,1.506828716373460053e-01,7.722217030595550646e-01,7.604552734753576848e-01
1.709211769161112227e-01,2.706960308638093338e-01,6.573924241426548631e-02,8.342036936533739344e-02
8.528856888427434058e+00,1.136274004761492540e+00,8.618240767599143481e-01,8.606088016882796898e-01
9.887049168257602716e+00,3.667955264274167515e+00,1.121848119766639229e+00,1.122189752387314332e+00
2.402846757174797343e+00,1.465534226741427304e+00,1.193857601584404682e+00,1.184507838965717097e+00
2.697675571384619886e+00,3.699034321357613564e+00,1.490658656679930694e+00,1.483361703998098191e+00
2.023803440937786746e+00,1.694717405088773887e+00,1.230760199255683141e+00,1.236402593587363485e+00
6.021914955354457533e+00,3.110037631988959106e+00,1.212055700448363860e+00,1.221920699309470670e+00
4.876828632647415063e+00,8.836496747930763229e-01,9.466975960053489736e-01,9.542301429128863255e-01
8.214732417824329502e+00,8.492155313683057427e-01,8.219311674131182244e-01,8.340208699100039036e-01
2.136557880599057491e+00,4.877488935552502625e+00,1.616263954469739694e+00,1.623408843591635620e+00
8.785461522488514419e+00,3.389804649496794386e+00,1.123519675790274341e+00,1.123804294123842862e+00
4.666317578200070315e+00,8.785900864846797331e-01,9.555951140918386155e-01,9.639603739862837584e-01
8.088274778418808708e+00,1.581653429522105414e+00,9.388003074301193296e-01,9.447363398341991347e-01
8.030702120632284391e+00,6.741740748248618020e-01,7.940678241482153066e-01,7.930620714828008344e-01
9.111964769046577928e+00,1.095164713051060223e+00,8.416994394579537797e-01,8.489601666433554961e-01
5.013193830912988425e+00,3.890154622539954588e+00,1.359739729670007113e+00,1.372596703615297731e+00
6.115560420666259489e+00,1.441251127205570581e+00,9.955586258961355295e-01,9.979043391354774917e-01
5.632255935498895028e+00,4.453380288826448208e+00,1.378378675712277790e+00,1.374816624737969617e+00
1.943511638474635372e+00,1.250525807540221190e-01,8.077607572058863594e-01,8.149478709354995853e-01
5.040140916829911610e+00,3.211510791779257801e+00,1.284219383883009380e+00,1.303226601261335160e+00
9.269861114969495830e+00,1.320231884761658092e+00,8.709061165515049607e-01,8.688004961198805276e-01
9.093539549735856653e+00,4.453033650481830641e+00,1.224035009251542183e+00,1.223111913030382469e+00
2.639700655423342646e-01,1.801190634297220150e+00,3.525981146636604779e-01,3.512341393433142112e-01
6.650390943844040059e+00,1.626743985564052641e+00,9.990975733988231022e-01,1.011327747480452954e+00
3.301377755691942806e+00,1.914960333008353555e+00,1.238608839723132515e+00,1.220236857154000987e+00
1.402590324701803892e+00,5.677100291803095500e-01,8.669176863629941554e-01,8.705761400704687958e-01
1.437426450584164073e+00,4.542800566025715803e+00,1.479734456913213592e+00,1.491657096070822197e+00
7.959866369814775133e+00,4.627286602875540389e+00,1.280245787187852535e+00,1.272111955478836931e+00
9.593701411842035398e+00,3.568623169655605665e+00,1.119024654729627200e+00,1.133914428811251929e+00
5.226394914186133001e+00,2.646511862285977124e+00,1.207404127365647950e+00,1.212757217450350922e+00
3.866027913636214564e+00,2.069556947488352616e+00,1.225276893850461457e+00,1.219786534677911094e+00
5.123375307409325785e+00,2.526488359825024510e+00,1.199689485178015991e+00,1.201730883371793235e+00
8.301461706591013012e+00,4.905116078338722652e+00,1.296005190591222433e+00,1.280660269378560479e+00
