t,Theta,Theta_surf,dTheta_dt,dTheta_dt_noisy
1.140228045609121832e+00,8.775648176122713551e+01,8.934180392944797688e+01,-9.878764212279756762e+00,-9.879366115918221780e+00
1.160232046409281903e+00,8.755914667588221789e+01,8.916727039389992626e+01,-9.850818069364512652e+00,-9.888280536074544713e+00
1.180236047209441974e+00,8.736236958517771711e+01,8.899314169981769851e+01,-9.822976378697717337e+00,-9.832393362856722163e+00
1.200240048009602045e+00,8.716614840332684366e+01,8.881941666913172639e+01,-9.795238626188794484e+00,-9.793615557825647855e+00
1.220244048809762116e+00,8.697048105471822055e+01,8.864609412821339163e+01,-9.767604300366567571e+00,-9.759420560191633953e+00
1.240248049609921965e+00,8.677536547391576960e+01,8.847317290787506749e+01,-9.740072892391385295e+00,-9.769538536139615204e+00
1.260252050410082036e+00,8.658079960565879674e+01,8.830065184337011885e+01,-9.712643896066685656e+00,-9.745865087481641709e+00
1.280256051210242108e+00,8.638678140486194934e+01,8.812852977439290214e+01,-9.685316807849869036e+00,-9.679329271864457240e+00
1.300260052010402179e+00,8.619330883661523046e+01,8.795680554507875115e+01,-9.658091126862609954e+00,-9.672093615369004027e+00
1.320264052810562250e+00,8.600037987618402724e+01,8.778547800400396284e+01,-9.630966354900580839e+00,-9.623901186548673437e+00
1.340268053610722099e+00,8.580799250900902564e+01,8.761454600418585414e+01,-9.603941996442530993e+00,-9.581156410768180365e+00
1.360272054410882170e+00,8.561614473070630993e+01,8.744400840308270517e+01,-9.577017558658885932e+00,-9.626481179649413633e+00
1.380276055211042241e+00,8.542483454706729162e+01,8.727386406259378759e+01,-9.550192551419700138e+00,-9.542560907924171332e+00
1.400280056011202312e+00,8.523405997405873791e+01,8.710411184905936466e+01,-9.523466487302131966e+00,-9.486727078276059544e+00
1.420284056811362383e+00,8.504381903782281427e+01,8.693475063326067698e+01,-9.496838881597364335e+00,-9.505764686928477758e+00
1.440288057611522454e+00,8.485410977467697080e+01,8.676577929041994253e+01,-9.470309252316958748e+00,-9.494633689814085287e+00
1.460292058411682303e+00,8.466493023111407012e+01,8.659719670020037086e+01,-9.443877120198772346e+00,-9.421309805383383917e+00
1.480296059211842374e+00,8.447627846380228789e+01,8.642900174670616309e+01,-9.417542008712334933e+00,-9.409938613226090709e+00
1.500300060012002445e+00,8.428815253958516962e+01,8.626119331848249772e+01,-9.391303444063733963e+00,-9.364426951940407307e+00
1.520304060812162517e+00,8.410055053056952090e+01,8.609377030653556062e+01,-9.365160954378266567e+00,-9.375517425679804617e+00
1.540308061612322588e+00,8.391347050053271062e+01,8.592673159843563724e+01,-9.339114067459556523e+00,-9.383568615671222801e+00
1.560312062412482659e+00,8.372691054477489558e+01,8.576007609422767075e+01,-9.313162317470670359e+00,-9.316462640412007445e+00
1.580316063212642508e+00,8.354086877042001902e+01,8.559380269906354499e+01,-9.287305241601982786e+00,-9.300680086192318896e+00
1.600320064012802579e+00,8.335534329300807599e+01,8.542791032186447353e+01,-9.261542379502397893e+00,-9.238282664840971492e+00
1.620324064812962650e+00,8.317033223649515605e+01,8.526239787532099967e+01,-9.235873273282837914e+00,-9.230064287831522662e+00
1.640328065613122721e+00,8.298583373325335799e+01,8.509726427589296804e+01,-9.210297467519286130e+00,-9.259222944492339735e+00
1.660332066413282792e+00,8.280184592407088928e+01,8.493250844380956721e+01,-9.184814509255433634e+00,-9.220669401658529551e+00
1.680336067213442863e+00,8.261836695815199505e+01,8.476812930306930127e+01,-9.159423948004947746e+00,-9.132910276907329816e+00
1.700340068013602712e+00,8.243539499311697227e+01,8.460412578144000406e+01,-9.134125335753340735e+00,-9.113732385230806088e+00
1.720344068813762783e+00,8.225292819500221242e+01,8.444049681045881073e+01,-9.108918226959499265e+00,-9.128125527936754580e+00
1.740348069613922855e+00,8.207096473826013039e+01,8.427724132543221458e+01,-9.083802178556807050e+00,-9.083833642453825519e+00
1.760352070414082926e+00,8.188950280575922136e+01,8.411435826543599603e+01,-9.058776749953956653e+00,-9.045409543340671377e+00
1.780356071214242997e+00,8.170854058878406079e+01,8.395184657331527944e+01,-9.033841503035411336e+00,-9.019789372959992946e+00
1.800360072014403068e+00,8.152807628703523335e+01,8.378970519568450470e+01,-9.008996002161502759e+00,-8.982708736278071981e+00
1.820364072814562917e+00,8.134810810862943242e+01,8.362793308292745564e+01,-8.984239814168265781e+00,-8.976545245351619684e+00
1.840368073614722988e+00,8.116863427009940324e+01,8.346652918919720321e+01,-8.959572508366917987e+00,-8.962417358535972767e+00
1.860372074414883059e+00,8.098965299639391446e+01,8.330549247241617650e+01,-8.934993656543040785e+00,-8.942759098486675384e+00
1.880376075215043130e+00,8.081116252087785767e+01,8.314482189427609171e+01,-8.910502832955486952e+00,-8.878830548939490086e+00
1.900380076015203201e+00,8.063316108533214788e+01,8.298451642023802322e+01,-8.886099614334986185e+00,-8.953625242587342825e+00
1.920384076815363272e+00,8.045564693995373773e+01,8.282457501953234669e+01,-8.861783579882470008e+00,-8.865943239635210915e+00
1.940388077615523121e+00,8.027861834335571700e+01,8.266499666515878175e+01,-8.837554311267167506e+00,-8.836564308147645264e+00
1.960392078415683192e+00,8.010207356256714206e+01,8.250578033388634935e+01,-8.813411392624376006e+00,-8.856171861450482297e+00
1.980396079215843264e+00,7.992601087303322061e+01,8.234692500625338596e+01,-8.789354410553055885e+00,-8.779370002158914943e+00
2.000400080016003113e+00,7.975042855861515534e+01,8.218842966656758620e+01,-8.765382954113123404e+00,-8.784921384486425566e+00
2.020404080816163184e+00,7.957532491159022925e+01,8.203029330290593180e+01,-8.741496614822544586e+00,-8.715623270933072320e+00
2.040408081616323255e+00,7.940069823265179139e+01,8.187251490711476265e+01,-8.717694986654194622e+00,-8.721462749175223905e+00
2.060412082416483326e+00,7.922654683090927108e+01,8.171509347480971996e+01,-8.693977666032495222e+00,-8.673903068808812122e+00
2.080416083216643397e+00,7.905286902388812109e+01,8.155802800537576047e+01,-8.670344251829828153e+00,-8.633778943674691675e+00
2.100420084016803468e+00,7.887966313752988867e+01,8.140131750196717064e+01,-8.646794345362792455e+00,-8.635306457881387843e+00
2.120424084816963539e+00,7.870692750619214451e+01,8.124496097150759510e+01,-8.623327550388204088e+00,-8.649599184690888620e+00
2.140428085617123610e+00,7.853466047264855376e+01,8.108895742468993717e+01,-8.599943473098953461e+00,-8.645373032050093443e+00
2.160432086417283681e+00,7.836286038808883347e+01,8.093330587597648673e+01,-8.576641722119660471e+00,-8.524040198594169837e+00
2.180436087217443752e+00,7.819152561211876673e+01,8.077800534359880658e+01,-8.553421908502157223e+00,-8.556760674297782643e+00
2.200440088017603824e+00,7.802065451276016006e+01,8.062305484955780344e+01,-8.530283645720810881e+00,-8.550940594149841090e+00
2.220444088817763451e+00,7.785024545764339621e+01,8.046845341635747673e+01,-8.507226548220348405e+00,-8.502898835578523773e+00
2.240448089617923522e+00,7.768029681050543900e+01,8.031420006541635814e+01,-8.484250230857320219e+00,-8.489992570771800473e+00
2.260452090418083593e+00,7.751080696379526103e+01,8.016029382919303714e+01,-8.461354314250389308e+00,-8.435790046324008529e+00
2.280456091218243664e+00,7.734177431780852885e+01,8.000673374372642854e+01,-8.438538421326100547e+00,-8.437520575852987648e+00
2.300460092018403735e+00,7.717319727965885079e+01,7.985351884826042124e+01,-8.415802177144975360e+00,-8.415389689636421977e+00
2.320464092818563806e+00,7.700507426327783378e+01,7.970064818524397765e+01,-8.393145208896999776e+00,-8.414582600527989342e+00
2.340468093618723877e+00,7.683740368941505494e+01,7.954812080033104849e+01,-8.370567145896956163e+00,-8.356480102934531473e+00
2.360472094418883948e+00,7.667018398563807580e+01,7.939593574238058693e+01,-8.348067619579641274e+00,-8.379083621250289937e+00
2.380476095219044019e+00,7.650341358633241384e+01,7.924409206345661971e+01,-8.325646263494936861e+00,-8.305669580302017962e+00
2.400480096019204090e+00,7.633709093270158519e+01,7.909258881882816183e+01,-8.303302713302795013e+00,-8.257584587913090246e+00
2.420484096819364161e+00,7.617121447276706192e+01,7.894142506696923078e+01,-8.281036606768067188e+00,-8.326777187911041267e+00
2.440488097619524233e+00,7.600578266136830052e+01,7.879059986955890338e+01,-8.258847583755262178e+00,-8.332834460695801582e+00
2.460492098419683860e+00,7.584079396016274188e+01,7.864011229148127313e+01,-8.236735286223165531e+00,-8.218228923568535293e+00
2.480496099219843931e+00,7.567624683762576865e+01,7.848996140082540762e+01,-8.214699358219382574e+00,-8.138262423754888175e+00
2.500500100020004002e+00,7.551213976905079051e+01,7.834014626888546218e+01,-8.192739445874774873e+00,-8.222767191340931703e+00
2.520504100820164073e+00,7.534847123654914469e+01,7.819066597016055198e+01,-8.170855197397795422e+00,-8.208376070161854443e+00
2.540508101620324144e+00,7.518523972905018127e+01,7.804151958235485154e+01,-8.149046263068768781e+00,-8.131377195055353724e+00
2.560512102420484215e+00,7.502244374230119206e+01,7.789270618637753785e+01,-8.127312295234041528e+00,-8.152533942935789923e+00
2.580516103220644286e+00,7.486008177886748172e+01,7.774422486634283302e+01,-8.105652948300097194e+00,-8.120833712818198435e+00
2.600520104020804357e+00,7.469815234813228244e+01,7.759607470956993325e+01,-8.084067878727566381e+00,-8.094511402728079119e+00
2.620524104820964428e+00,7.453665396629685347e+01,7.744825480658310823e+01,-8.062556745025185378e+00,-8.046596682436431891e+00
2.640528105621124499e+00,7.437558515638039580e+01,7.730076425111160177e+01,-8.041119207743678388e+00,-8.053278278585471739e+00
2.660532106421284571e+00,7.421494444822009484e+01,7.715360214008971695e+01,-8.019754929469570470e+00,-8.011418444267166095e+00
2.680536107221444198e+00,7.405473037847112039e+01,7.700676757365677361e+01,-7.998463574818952537e+00,-8.003759572585760651e+00
2.700540108021604269e+00,7.389494149060659822e+01,7.686025965515706559e+01,-7.977244810431189492e+00,-8.002584943540737683e+00
2.720544108821764340e+00,7.373557633491763852e+01,7.671407749113994612e+01,-7.956098304962558210e+00,-7.965693092694855260e+00
2.740548109621924411e+00,7.357663346851335007e+01,7.656822019135979929e+01,-7.935023729079861532e+00,-7.963535719034899429e+00
2.760552110422084482e+00,7.341811145532078342e+01,7.642268686877601169e+01,-7.914020755453975653e+00,-7.913825305877883132e+00
2.780556111222244553e+00,7.326000886608497353e+01,7.627747663955300084e+01,-7.893089058753355758e+00,-7.926805045580325171e+00
2.800560112022404624e+00,7.310232427836893976e+01,7.613258862306017249e+01,-7.872228315637526563e+00,-7.905015146716383612e+00
2.820564112822564695e+00,7.294505627655367164e+01,7.598802194187199177e+01,-7.851438204750486705e+00,-7.807729350291329418e+00
2.840568113622724766e+00,7.278820345183814311e+01,7.584377572176792626e+01,-7.830718406714139768e+00,-7.832313933323299615e+00
2.860572114422884837e+00,7.263176440223928410e+01,7.569984909173247445e+01,-7.810068604121624958e+00,-7.811685664885786196e+00
2.880576115223044908e+00,7.247573773259202312e+01,7.555624118395515154e+01,-7.789488481530691288e+00,-7.774142388933162451e+00
2.900580116023204980e+00,7.232012205454923048e+01,7.541295113383047521e+01,-7.768977725456981176e+00,-7.781603435533447133e+00
2.920584116823364607e+00,7.216491598658180351e+01,7.526997807995802248e+01,-7.748536024367339792e+00,-7.755392085391684454e+00
2.940588117623524678e+00,7.201011814313594073e+01,7.512732116006793603e+01,-7.728163066942066450e+00,-7.715408604882108889e+00
2.960592118423684749e+00,7.185572714007382444e+01,7.498497951284126373e+01,-7.707858542953839986e+00,-7.699386067686507573e+00
2.980596119223844820e+00,7.170174161594901818e+01,7.484295228599064842e+01,-7.687622146651201582e+00,-7.722401048459174078e+00
3.000600120024004891e+00,7.154816021499604517e+01,7.470123863002775977e+01,-7.667453574024614582e+00,-7.642453296124524620e+00
3.020604120824164962e+00,7.139498158694321717e+01,7.455983769819390261e+01,-7.647352522770473726e+00,-7.665065571069145101e+00
3.040608121624325033e+00,7.124220438701260605e+01,7.441874864645991750e+01,-7.627318692285055768e+00,-7.659001060794481397e+00
3.060612122424485104e+00,7.108982727592001538e+01,7.427797063352622331e+01,-7.607351783658412359e+00,-7.634366035758383795e+00
3.080616123224645175e+00,7.093784891987503727e+01,7.413750282082283150e+01,-7.587451499668310007e+00,-7.599167859998969377e+00
3.100620124024805246e+00,7.078626799058103813e+01,7.399734437250931762e+01,-7.567617544774111416e+00,-7.518798537135419124e+00
3.120624124824965318e+00,7.063508316523511610e+01,7.385749445547486403e+01,-7.547849625110647054e+00,-7.583115702258270474e+00
3.140628125625125389e+00,7.048429312652815781e+01,7.371795223933817454e+01,-7.528147448482103599e+00,-7.523345171706073309e+00
3.160632126425285016e+00,7.033389656264478162e+01,7.357871689644757396e+01,-7.508510724355881294e+00,-7.572645455098598433e+00
3.180636127225445087e+00,7.018389216726338020e+01,7.343978760188095123e+01,-7.488939163856446868e+00,-7.488986171850802620e+00
3.200640128025605158e+00,7.003427863955613475e+01,7.330116353344577362e+01,-7.469432479759207766e+00,-7.442445487234927270e+00
3.220644128825765229e+00,6.988505468418894395e+01,7.316284387167908676e+01,-7.449990386484337535e+00,-7.457090286146181413e+00
3.240648129625925300e+00,6.973621901132152345e+01,7.302482779984750039e+01,-7.430612600090640285e+00,-7.449493247807140506e+00
3.260652130426085371e+00,6.958777033660727795e+01,7.288711450394721680e+01,-7.411298838269394729e+00,-7.404353506347638891e+00
3.280656131226245442e+00,6.943970738119345754e+01,7.274970317270401665e+01,-7.392048820338213311e+00,-7.371044267803693373e+00
3.300660132026405513e+00,6.929202887172100134e+01,7.261259299757325891e+01,-7.372862267234879141e+00,-7.352952540104356949e+00
3.320664132826565584e+00,6.914473354032465124e+01,7.247578317273983828e+01,-7.353738901511216675e+00,-7.294564685893322853e+00
3.340668133626725655e+00,6.899782012463290926e+01,7.233927289511829883e+01,-7.334678447326954398e+00,-7.328403423156865770e+00
3.360672134426885727e+00,6.885128736776802327e+01,7.220306136435269195e+01,-7.315680630443592847e+00,-7.333452933436181098e+00
3.380676135227045354e+00,6.870513401834600131e+01,7.206714778281668998e+01,-7.296745178218277061e+00,-7.300524553917876247e+00
3.400680136027205425e+00,6.855935883047665413e+01,7.193153135561351519e+01,-7.277871819597688585e+00,-7.280046775966282802e+00
3.420684136827365496e+00,6.841396056376349577e+01,7.179621129057601081e+01,-7.259060285111941901e+00,-7.255798163607598106e+00
3.440688137627525567e+00,6.826893798330385721e+01,7.166118679826652738e+01,-7.240310306868495971e+00,-7.241211141265378792e+00
3.460692138427685638e+00,6.812428985968877271e+01,7.152645709197706481e+01,-7.221621618546060439e+00,-7.216402640379174116e+00
3.480696139227845709e+00,6.798001496900309348e+01,7.139202138772914452e+01,-7.202993955388555136e+00,-7.253119457207008125e+00
3.500700140028005780e+00,6.783611209282541665e+01,7.125787890427389470e+01,-7.184427054199039375e+00,-7.159538185517837938e+00
3.520704140828165851e+00,6.769258001822807103e+01,7.112402886309200767e+01,-7.165920653333662571e+00,-7.183162831401293857e+00
3.540708141628325922e+00,6.754941753777718816e+01,7.099047048839375407e+01,-7.147474492695684134e+00,-7.182669253589095248e+00
3.560712142428485993e+00,6.740662344953264551e+01,7.085720300711901132e+01,-7.129088313729432969e+00,-7.109955778940189930e+00
3.580716143228646065e+00,6.726419655704808065e+01,7.072422564893717833e+01,-7.110761859414339803e+00,-7.071242079192757046e+00
3.600720144028806136e+00,6.712213566937089126e+01,7.059153764624727501e+01,-7.092494874258962412e+00,-7.077704029773979499e+00
3.620724144828965763e+00,6.698043960104224936e+01,7.045913823417787114e+01,-7.074287104295038375e+00,-7.069452324879672567e+00
3.640728145629125834e+00,6.683910717209707286e+01,7.032702665058714331e+01,-7.056138297071569809e+00,-7.084104906232727927e+00
3.660732146429285905e+00,6.669813720805710489e+01,7.019520213606007530e+01,-7.038048201647816526e+00,-6.951901181513411743e+00
3.680736147229445976e+00,6.655752852779519912e+01,7.006366392908189766e+01,-7.020016566710779671e+00,-6.993608808090934659e+00
3.700740148029606047e+00,6.641727995715029920e+01,6.993241127124701961e+01,-7.002043142689418964e+00,-7.036221982799708563e+00
3.720744148829766118e+00,6.627739033786448886e+01,6.980144341093760829e+01,-6.984127683122185459e+00,-7.007516820609377639e+00
3.740748149629926189e+00,6.613785851611933708e+01,6.967075959886456360e+01,-6.966269942871820220e+00,-6.963660565414663495e+00
3.760752150430086260e+00,6.599868334253586966e+01,6.954035908806744715e+01,-6.948469678120087423e+00,-6.995111612079966790e+00
3.780756151230246331e+00,6.585986367217461179e+01,6.941024113391456751e+01,-6.930726646362479926e+00,-6.925667734152164634e+00
3.800760152030406402e+00,6.572139836453555972e+01,6.928040499410293762e+01,-6.913040606402997668e+00,-6.926812753074380602e+00
3.820764152830566474e+00,6.558328628355819490e+01,6.915084992865826052e+01,-6.895411318348898533e+00,-6.858623200339412307e+00
3.840768153630726545e+00,6.544552629762146978e+01,6.902157519993494361e+01,-6.877838543605497179e+00,-6.848973903696649934e+00
3.860772154430886172e+00,6.530811727954382206e+01,6.889258007261614125e+01,-6.860322044870978075e+00,-6.941660607994021071e+00
3.880776155231046243e+00,6.517105810658316045e+01,6.876386381371365530e+01,-6.842861586131217422e+00,-6.841610508550398428e+00
3.900780156031206314e+00,6.503434766043687887e+01,6.863542569256803461e+01,-6.825456932654644149e+00,-6.873980957640354994e+00
3.920784156831366385e+00,6.489798482724184225e+01,6.850726498084854654e+01,-6.808107850987100917e+00,-6.774818711009645611e+00
3.940788157631526456e+00,6.476196849757440077e+01,6.837938095255312021e+01,-6.790814108946753080e+00,-6.785770932872918770e+00
3.960792158431686527e+00,6.462629756645038981e+01,6.825177288400844589e+01,-6.773575475618994091e+00,-6.757123312053384012e+00
3.980796159231846598e+00,6.449097093332510156e+01,6.812444005386987556e+01,-6.756391721351391766e+00,-6.788345463215490483e+00
4.000800160032006225e+00,6.435598750209332763e+01,6.799738174312150818e+01,-6.739262617748644324e+00,-6.684409710608779420e+00
4.020804160832166296e+00,6.422134618108931647e+01,6.787059723507610443e+01,-6.722187937667569280e+00,-6.661585736653055534e+00
4.040808161632326367e+00,6.408704588308681593e+01,6.774408581537517193e+01,-6.705167455212114547e+00,-6.737110586490900666e+00
4.060812162432486438e+00,6.395308552529905910e+01,6.761784677198890847e+01,-6.688200945728389968e+00,-6.677016492072400666e+00
4.080816163232646510e+00,6.381946402937872165e+01,6.749187939521623036e+01,-6.671288185799716608e+00,-6.691487258651422465e+00
4.100820164032806581e+00,6.368618032141799290e+01,6.736618297768474406e+01,-6.654428953241717792e+00,-6.655136051347540160e+00
4.120824164832966652e+00,6.355323333194852609e+01,6.724075681435078877e+01,-6.637623027097427908e+00,-6.675592136474164384e+00
4.140828165633126723e+00,6.342062199594145255e+01,6.711560020249937963e+01,-6.620870187632402093e+00,-6.564855822194983759e+00
4.160832166433286794e+00,6.328834525280738177e+01,6.699071244174425033e+01,-6.604170216329898757e+00,-6.633245601662379087e+00
4.180836167233446865e+00,6.315640204639640132e+01,6.686609283402788151e+01,-6.587522895886040786e+00,-6.596405410335965946e+00
4.200840168033606936e+00,6.302479132499809111e+01,6.674174068362140133e+01,-6.570928010205037140e+00,-6.555883522271721553e+00
4.220844168833767007e+00,6.289351204134148787e+01,6.661765529712467071e+01,-6.554385344394406232e+00,-6.573812164746890119e+00
4.240848169633927078e+00,6.276256315259512064e+01,6.649383598346625490e+01,-6.537894684760236608e+00,-6.545074057652205290e+00
4.260852170434087149e+00,6.263194362036698948e+01,6.637028205390345192e+01,-6.521455818802463611e+00,-6.538365014195272273e+00
4.280856171234247221e+00,6.250165241070458677e+01,6.624699282202223571e+01,-6.505068535210202896e+00,-6.509072357855291813e+00
4.300860172034407292e+00,6.237168849409486171e+01,6.612396760373729876e+01,-6.488732623857059956e+00,-6.523848902910069469e+00
4.320864172834567363e+00,6.224205084546426292e+01,6.600120571729203789e+01,-6.472447875796509820e+00,-6.485587518064578560e+00
4.340868173634727434e+00,6.211273844417871004e+01,6.587870648325855427e+01,-6.456214083257282965e+00,-6.462420870998649924e+00
4.360872174434887505e+00,6.198375027404359372e+01,6.575646922453766763e+01,-6.440031039638784094e+00,-6.450042819752908052e+00
4.380876175235047576e+00,6.185508532330378983e+01,6.563449326635891623e+01,-6.423898539506534000e+00,-6.422197840859720230e+00
4.400880176035207647e+00,6.172674258464365238e+01,6.551277793628050006e+01,-6.407816378587639861e+00,-6.416609445168341530e+00
4.420884176835367718e+00,6.159872105466850201e+01,6.539132256397004994e+01,-6.391784353688452214e+00,-6.369188011435270802e+00
4.440888177635526901e+00,6.147101972206051812e+01,6.527012647612525598e+01,-6.375802260916501041e+00,-6.385498138690075542e+00
4.460892178435686972e+00,6.134363758753766405e+01,6.514918900481325181e+01,-6.359869898678937261e+00,-6.363969386567814190e+00
