N,D,U,Q,L,L_noisy
1.209076307713311538e+00,1.265206403712641148e+01,1.202539557533125958e+01,1.421541537563291602e+00,7.993611044320290127e+00,7.991863323399738483e+00
3.579170671719981711e-01,9.479953806585285747e+01,1.551189739121036748e+00,1.403325715779792482e+00,1.711178450549321894e+01,1.710756260137745599e+01
2.095578902817458455e-01,1.571149679007730526e+01,5.929680867506330344e+01,1.963171920974848828e+00,1.151453210313468212e+01,1.151666853310966765e+01
8.706644785456010283e+00,2.050558686267220665e+01,8.066126839009103833e+01,1.215889601780513418e+00,4.480687179235368411e+00,4.482860398545594371e+00
1.076805266843864572e+00,4.076276689825873234e+01,1.293543050009697604e+00,1.195337915603573498e+00,1.572221966802308835e+01,1.574339805557359817e+01
1.705026859752020729e-01,8.826007769202600173e+01,1.579237916343082526e+00,1.172733285193264585e+00,1.930281242593830981e+01,1.929169221831138614e+01
1.765954505414074616e+00,8.316240999914840870e+01,8.228453302079147491e+00,1.968830337277804432e+00,7.950564101335222844e+00,7.946788051263952823e+00
3.575742436519425027e+00,7.182181751531699376e+01,3.547020985854046415e+01,1.852236481925663814e+00,5.653560781910368149e+00,5.673988497985291701e+00
1.682699641126292667e+00,4.230157700132870673e+02,1.706304880753233633e+01,1.119317900055973425e+00,7.411112420320213445e+00,7.417579450282231868e+00
6.832748092334746559e+00,7.334242052081374652e+01,4.607237506032496377e+00,1.984023490419456692e+00,7.335782720394566248e+00,7.342413354118328961e+00
1.200012454141670126e-01,1.759982493543061821e+02,1.562004621796021908e+01,1.683113554106840493e+00,1.409518409769513525e+01,1.409004403397826088e+01
1.140718609249499194e+00,3.697986170573748410e+01,3.943890236529832549e+01,1.788736357143572597e+00,7.306016768448903242e+00,7.289536016740346902e+00
8.292238138422550753e-01,1.839079831752472103e+02,6.966224332440364719e+01,1.736658789348711096e+00,7.763444631971926135e+00,7.765119279414153475e+00
1.332598003584944957e-01,1.864849273380940531e+02,1.890812776494932068e+00,1.834054336554064246e+00,1.930909451556100720e+01,1.931018465643922255e+01
1.917151078775308992e+00,1.372686890606447037e+02,4.853341296997424337e+01,1.689597423565314616e+00,6.419056798717261536e+00,6.406783278174815521e+00
5.073009515875978259e+00,1.912167145467226703e+02,1.976153486884243549e+01,1.438914504767123237e+00,5.739508181413857990e+00,5.732675914796052652e+00
1.534200204180814486e+00,9.384623589931861432e+01,1.181973427778757646e+01,1.392177908488255511e+00,7.678134125859442882e+00,7.677413689062170477e+00
3.312797543632047814e-01,2.842535995146041046e+02,7.612966709467041682e+00,1.486400040714525916e+00,1.178985082680545560e+01,1.178040331057484735e+01
4.783690154056197130e+00,2.596869841241490917e+02,1.051015257511627787e+01,1.582376583275091564e+00,6.468455866028921974e+00,6.467473166350400149e+00
1.044700404937504379e+00,1.458019507288288708e+01,8.268943842101926123e+00,1.412933333814485604e+00,8.642289859237964222e+00,8.643244689512659562e+00
1.051423716382634543e+00,5.777540971793106905e+01,2.194731490014892827e+01,1.030178103704912695e+00,7.678953825174268388e+00,7.679309687544823682e+00
3.206715384816913872e+00,1.603312645001441439e+01,6.669032190867891075e+01,1.154640716995130045e+00,5.596461452479328358e+00,5.591398535896185074e+00
1.976259959348828921e-01,4.120380429157127082e+02,2.976901983618102765e+00,1.452941970681514983e+00,1.575063159674586544e+01,1.575656907746372326e+01
4.357660965193764113e+00,5.481092074107070999e+01,1.009552166519267491e+00,1.796853971648246784e+00,1.591038056468663875e+01,1.591929223422946116e+01
2.325807742906688791e+00,2.365410177324091734e+01,1.125942193741314767e+00,1.386383207267611217e+00,1.554809441807869597e+01,1.555130290112436242e+01
3.751404396990124290e+00,2.649145227294379765e+02,6.658758323327408846e+01,1.863828728477621155e+00,5.523295469616694042e+00,5.515113167342790668e+00
2.416754400488916876e-01,1.406622756009434205e+01,7.205521177940678967e+01,1.917266033715111506e+00,1.104354382182590300e+01,1.105086034466375722e+01
4.024651889976835761e+00,1.827212694441889695e+01,5.627273218305800384e+01,1.080988381140963295e+00,5.333710035361371560e+00,5.328695635176701195e+00
2.413503050729640387e-01,1.423349983258180202e+02,1.461996203402719452e+01,1.723084317816903965e+00,1.174474074858503592e+01,1.175353235476791625e+01
1.455811798389251843e-01,7.279423813884223193e+01,1.480552426749475359e+01,1.953189737956427585e+00,1.326135599691115274e+01,1.325063812274237840e+01
5.133977352931824001e+00,2.845283990990131784e+01,6.424222166777949994e+00,1.298171140660131062e+00,6.707384906866842300e+00,6.716529578898129849e+00
5.279186349061583350e+00,9.529761726774657404e+01,4.738483599800527912e+00,1.445605092383569934e+00,7.520643400825159475e+00,7.520442766279004765e+00
5.663360309668944659e+00,2.250808990442260793e+01,7.352680982462457848e+01,1.461070301978013797e+00,4.940928403502496735e+00,4.928440914599153011e+00
8.786571323968190850e-01,3.352602211754567918e+01,1.149946012923734173e+01,1.449160799168722757e+00,8.551573698539552737e+00,8.548434703819884461e+00
3.532618811225514133e-01,1.091876840171246812e+02,3.551556370446070421e+00,1.827964324880665625e+00,1.329224856539783595e+01,1.329278958818555090e+01
1.033198238816933484e-01,3.162825611075134020e+02,2.062779308050742344e+01,1.920725477679512849e+00,1.456368632403714614e+01,1.456641423742879127e+01
1.956328542022873096e+00,1.565592719843837131e+02,1.525175446999425199e+00,1.837534179325459149e+00,1.370064702218166985e+01,1.369082514093225988e+01
2.753079591461839559e+00,1.238296687628719184e+02,2.330113574447691249e+01,1.128783404853553662e+00,6.254577049872977135e+00,6.243503319401325413e+00
4.689628419943547399e+00,1.855799655249013824e+02,3.506092502459922766e+00,1.892812380499633740e+00,8.630231490808791150e+00,8.632227336137262341e+00
3.662314654088013044e-01,4.393889204781399371e+01,2.444717724624204891e+01,1.686807517573671422e+00,9.969360989851738353e+00,9.964693493682940328e+00
2.694240339533711115e-01,4.641435281630660370e+02,9.201434082367187628e+00,1.936259135851765123e+00,1.224387959137276916e+01,1.224623464749007162e+01
1.899602620998455782e+00,1.092729608096060332e+02,5.276757216626290869e+01,1.392861757057363370e+00,6.358735267881941766e+00,6.366330463106725901e+00
4.074831608171774811e+00,2.738980128155644778e+01,3.260188903446954356e+01,1.305682280815843699e+00,5.489432074137778450e+00,5.472944200474269216e+00
8.459442556129655344e+00,1.151075677566544719e+01,9.258081073086700030e+01,1.339700629832636603e+00,4.574125329149777208e+00,4.576669210314953773e+00
2.000090563543525934e-01,1.548350886988362518e+01,1.449920440884848638e+01,1.381871854771872465e+00,1.215929702887041408e+01,1.217154349854577156e+01
9.213502889878502078e-01,2.174007781207915002e+01,4.491891277863248888e+01,1.883544423953264157e+00,7.765142523313978806e+00,7.762167254870274036e+00
6.157887131176123852e+00,1.768793304767954453e+02,2.076957381769396349e+01,1.484636593352640865e+00,5.486220225235713066e+00,5.478112079403337553e+00
7.005414128151690178e-01,2.420176426033595760e+02,2.974900015041112411e+01,1.288086401307096951e+00,8.549683426488272175e+00,8.557205864760067726e+00
1.510094494327849590e+00,3.735223765663244535e+02,6.178456388676610089e+01,1.770855396686915828e+00,6.887655031976160025e+00,6.890189497138241137e+00
1.119389825094231350e-01,1.236759357681839901e+02,4.225260425277824972e+00,1.048867977497827120e+00,1.650497156216687955e+01,1.651393039287465569e+01
2.222899224356627457e+00,3.199371626385358880e+01,3.911546771527132194e+01,1.347468654942082678e+00,6.195445353941259725e+00,6.191993196840747338e+00
6.889333985531079563e+00,2.662032910741885416e+02,7.139631127349539952e+01,1.791322842602074861e+00,4.843999710285715743e+00,4.829181527548493946e+00
4.504542192006697476e+00,4.167899311213228657e+02,9.506680323094377627e+01,1.608440368084854466e+00,5.272521309160895342e+00,5.271421201513782684e+00
5.902561671821938027e+00,1.527631904923635773e+02,1.957204013247057395e+00,1.362682416127750429e+00,1.061347721081479634e+01,1.060901892928468371e+01
2.092718246898814360e+00,1.327193174359859640e+01,3.651374377030236484e+00,1.275401389393242324e+00,9.108397068701910015e+00,9.116150306922385482e+00
3.098164936381682111e-01,4.991672120834181925e+01,7.068996174418571421e+00,1.091725039265322827e+00,1.175264690238168797e+01,1.175458323086546031e+01
3.443768884987693735e+00,2.648181576381319857e+01,5.776946441813620048e+00,1.024407383212448508e+00,7.348137872329237652e+00,7.331829380004887042e+00
2.650632295951021455e-01,3.942533896731856089e+02,7.497876319003010792e+01,1.200755196440648875e+00,1.056621901562201060e+01,1.055426738482097804e+01
4.597795695277898886e+00,2.388219891913842616e+02,1.122683572944993546e+00,1.488780147710072388e+00,1.486196941231372115e+01,1.487080730267959439e+01
1.334860386723394909e-01,1.314631596145500936e+01,6.208346765010671220e+01,1.457217871858281555e+00,1.293497976477613776e+01,1.294177741495031597e+01
4.476881785854748053e+00,1.084942118611472921e+02,1.478175745299058041e+00,1.529276206880725519e+00,1.265431214749514588e+01,1.264790971383606077e+01
2.133116293169133593e-01,4.717763798850260741e+02,7.500497357164152845e+01,1.024935099790428072e+00,1.123467261949087792e+01,1.123466213152520510e+01
5.627221275874181305e-01,7.761236150750237073e+01,6.959723455414901139e+01,1.438439545904775185e+00,8.487226991665009379e+00,8.491682727202771730e+00
4.300077997087906612e-01,3.244398295204826468e+02,9.216279530822005128e+00,1.737019017552544176e+00,1.087787244188072400e+01,1.088255648523919739e+01
2.413648758769399549e+00,2.399525967434922507e+02,2.230497937347000192e+00,1.749867913628791349e+00,1.123169510353379685e+01,1.124045752549494104e+01
2.275850638214264587e-01,6.325981195360871112e+01,2.415224081960982705e+00,1.557941934908300574e+00,1.595845962155994435e+01,1.596102447783215972e+01
6.201722426879102690e-01,5.635844568264995758e+01,3.302361455937855794e+00,1.704670305138606734e+00,1.197755426850534732e+01,1.197660598511566299e+01
1.027186233335120463e-01,1.882090571880332064e+01,4.986946194607729410e+01,1.009471569018900006e+00,1.379280213080217621e+01,1.379021365015429801e+01
3.349572832889560203e-01,4.001595325599348030e+01,1.206419591114099532e+01,1.336391096352216756e+00,1.074802663981627937e+01,1.075858406782161225e+01
6.956289191046529652e-01,2.114103483251926718e+01,5.618873033234542191e+01,1.512254774083956033e+00,8.186371558776340152e+00,8.163863016025555197e+00
1.628705164209005296e-01,2.734209685601862816e+02,3.230754564006634411e+01,1.920876217422140986e+00,1.249684696115742177e+01,1.249546040790650814e+01
1.846374918901141360e+00,1.059653942481771907e+02,8.618025239390678394e+01,1.257411728375211979e+00,6.247543388508124629e+00,6.247873389547965672e+00
5.765653511241161100e-01,3.896256464180436296e+02,2.102586503035023924e+01,1.292492900155065794e+00,9.299464043409082947e+00,9.285210553800380850e+00
2.822200575929289190e+00,4.979428569301985874e+01,2.188208755222631474e+00,1.440514735546096992e+00,1.086359867519143840e+01,1.086692681132281812e+01
2.031103348461587466e+00,1.556621726961153342e+02,1.241303508061258754e+01,1.684786221342932766e+00,7.315663912720527406e+00,7.309151102596093352e+00
7.285401612890225476e-01,2.603137899443568131e+02,3.010008323812666120e+01,1.578556651597940785e+00,8.498417232753126882e+00,8.507041680716284304e+00
5.428014651890215703e+00,1.051666676841596626e+01,5.197671908598771040e+00,1.750898730342511866e+00,7.191592932655605175e+00,7.190337011815262080e+00
1.837681464894262096e+00,3.536056257311649631e+01,9.989757292495015406e+01,1.276337457315594337e+00,6.230945662882468206e+00,6.237637195290362868e+00
4.173964050084233435e+00,5.509869733167634820e+01,2.719728344250024854e+00,1.802245861477223432e+00,9.465247577936100498e+00,9.477436013987812657e+00
4.826023672621782001e-01,3.781546084044754252e+02,7.132812438213738915e+01,1.910219246798092296e+00,9.060671512741093281e+00,9.064500808568228152e+00
1.222752556023522619e+00,3.012551339263928298e+02,9.547014517957174817e+00,1.539719878281093468e+00,8.558813607673332768e+00,8.550056396239105183e+00
2.469413228071136723e-01,1.391800440300076502e+01,4.892711698703514855e+01,1.269685603639139959e+00,1.087272301692040521e+01,1.085757983060335796e+01
9.823864875445826428e+00,4.200455423253206959e+02,1.163333063607504059e+01,1.845272149363452296e+00,5.747324346977461751e+00,5.764858188152625296e+00
3.065003174135791930e-01,1.161691380388785007e+02,1.262484228842145306e+01,1.624790391560093861e+00,1.115920571006437001e+01,1.115809278813249428e+01
3.263885646857990763e-01,1.324991171829370629e+01,2.596252951890195249e+01,1.863131144347234924e+00,1.053576118667607631e+01,1.052887553719973290e+01
1.400812939663554357e-01,1.487637098095592023e+02,1.117232222710166845e+01,1.421911023936651919e+00,1.385148151652654036e+01,1.385292408740714798e+01
3.277979535958548407e-01,2.839458013591357712e+02,7.887519490275273881e+00,1.661362405530828479e+00,1.179282213100808896e+01,1.179090801770326280e+01
3.359364009441982102e+00,2.752880513637220261e+01,1.727833733516032089e+00,1.032568547120472413e+00,1.177400294022497995e+01,1.178252436286710747e+01
2.487637765688693658e+00,3.533395953119301680e+01,2.215396364743616076e+01,1.254534220143711964e+00,6.284171594936720062e+00,6.284510876761091325e+00
1.808616233657894812e-01,2.963408694056520787e+01,8.319300822636954251e+01,1.306217142150573274e+00,1.159019324221837621e+01,1.159033073805456127e+01
5.655578083811703127e-01,1.561489241266903605e+02,7.678064432250010896e+01,1.922560407262917437e+00,8.517865813117735385e+00,8.510720015907406122e+00
6.947727704586486031e-01,1.660866656207920755e+02,1.241503609764843086e+00,1.686762286955402201e+00,1.722654489766577868e+01,1.723124057865325298e+01
2.137806989860875806e+00,2.068217058050797164e+02,7.471784190543445447e+00,1.046112730051816264e+00,7.857813947782152475e+00,7.847475280558602329e+00
8.163152805184873406e-01,3.671311672011289033e+02,1.553985540810240096e+01,1.558128178936855956e+00,8.833511984777601356e+00,8.840170879175241581e+00
1.489486782335906145e+00,2.036670346929378894e+01,1.575775842504666402e+00,1.434885586608383168e+00,1.360179505951064449e+01,1.361703443464054608e+01
4.779354087234383819e+00,1.596952474541871254e+02,2.637945946813038489e+01,1.761989839370200039e+00,5.588437694522069954e+00,5.573190834141078298e+00
2.837574159928504702e+00,1.250345428418370375e+02,7.357427760569420272e+00,1.213554478463261699e+00,7.435773468822054255e+00,7.411111176508541121e+00
5.370497602194463926e-01,2.793735853477391373e+01,1.818262265924860843e+00,1.333781585111015744e+00,1.485526778872000442e+01,1.486143657627154724e+01
7.884835164893628789e-01,4.539623704399220401e+02,2.662536753895484942e+00,1.170375151841078321e+00,1.238541508680762782e+01,1.241089406496245928e+01
5.437498365065069894e-01,6.461615562057318130e+01,1.088143055150553540e+00,1.769044194403693648e+00,1.891971525209080696e+01,1.890970600360208920e+01
1.657560267754520922e-01,4.092883852892319396e+02,2.885455747510162539e+00,1.446111363751487522e+00,1.647528323315129128e+01,1.646277627556327161e+01
2.549664799581747299e-01,4.477282787178239118e+02,2.517980093256563023e+01,1.216903119846032055e+00,1.128813450501187710e+01,1.129402419434968152e+01
3.694987537064274852e-01,3.381852931658901866e+02,9.699994461435322179e+00,1.433043016537073999e+00,1.115403135173700377e+01,1.114562413583642098e+01
4.248814702190417680e-01,6.034646626998724628e+01,2.934733002392328594e+00,1.483020857909858048e+00,1.331097297065068652e+01,1.330591271581131885e+01
4.227617798537561811e-01,2.987668267264200139e+01,3.202621091412564791e+00,1.888887005896332294e+00,1.289941401074795024e+01,1.289593283608111207e+01
1.423637543543189166e+00,9.889901464717343060e+01,8.843911904312296457e+00,1.243632694599254851e+00,8.168545843953054941e+00,8.173865864815972770e+00
8.777684186298577274e+00,5.804273869670161190e+01,2.928141907013996814e+01,1.068067989781994021e+00,4.744141203932151107e+00,4.740088180318219990e+00
3.542650179423176393e+00,6.243964763338151869e+01,9.052071716824389114e+01,1.248068394717934737e+00,5.342433366203045431e+00,5.345212194603846889e+00
3.821799474232224103e+00,2.598285570991066251e+01,9.941880540831556701e+00,1.056187837359706894e+00,6.381430221169938299e+00,6.379664888581002558e+00
3.300175235900817405e+00,2.697507812570539159e+02,7.700995029908704659e+00,1.042213263692088887e+00,7.239105798273573811e+00,7.230659087237057747e+00
1.563059322563955078e+00,1.743726291758267735e+02,5.731945600273596675e+00,1.343121776059799544e+00,8.845783257490907658e+00,8.842584994913474716e+00
6.845174350538765218e+00,2.952127098119138395e+02,4.396237831410281416e+01,1.736094188101343416e+00,5.069033214041016144e+00,5.059529217389337141e+00
2.394750711117096031e+00,7.999604598505406727e+01,1.420030516045954450e+01,1.765769257594981045e+00,6.798022428231687009e+00,6.798087578090384220e+00
1.001642772076891452e+00,1.436921028748146689e+01,6.786083266164355621e+01,1.880689718092739993e+00,7.603550745528514732e+00,7.592312083252858557e+00
1.426157916478209553e-01,2.917675729345675109e+02,1.248606415533926040e+01,1.836482984968602405e+00,1.383324016822276192e+01,1.382231122452980898e+01
9.481967319994898391e-01,1.311160068535155965e+01,2.499415744747819357e+00,1.899018667501871427e+00,1.191520908976135651e+01,1.192977870791440864e+01
2.664783868677083056e-01,1.830282238761750335e+01,1.622671443522068602e+00,1.195244467815887113e+00,1.741088029618444821e+01,1.741034845398139552e+01
1.842436781541698099e-01,4.018202147284810053e+02,1.191470681683720656e+01,1.180009709295301912e+00,1.294623258885599348e+01,1.294569356860127307e+01
1.028323699667308189e+00,8.994556801716966277e+01,2.406189588324875839e+00,1.019829908070060132e+00,1.210124023547813010e+01,1.210635559967730579e+01
3.716811919414623855e+00,1.402168974106388930e+02,2.494970345004623624e+01,1.407880531924974310e+00,5.868687461244499026e+00,5.864478891219010670e+00
3.890566882189686049e-01,2.482229400888021189e+02,3.681390527752709119e+01,1.471459566690990428e+00,9.797921687560318560e+00,9.795636333885536118e+00
3.447811547013567068e+00,1.346054485843544626e+02,3.587584365699007805e+01,1.172814914149437948e+00,5.736542904763812345e+00,5.740794392117131828e+00
1.125275974172089466e+00,5.679288113504108537e+01,6.493498341672760077e+00,1.975149074301075558e+00,9.036779542726703696e+00,9.039603701149147241e+00
1.986534202331255161e-01,8.366421171087928599e+01,1.263838350731676741e+01,1.383814115070523876e+00,1.237438166913588056e+01,1.236278870186655610e+01
8.510116157495994926e+00,4.753483739821871268e+01,2.840083582285985120e+00,1.383617167251769420e+00,8.453556136522646369e+00,8.461889562489343319e+00
6.357296217100859570e-01,9.563772106001205486e+01,1.091072548732832637e+01,1.393084203696953960e+00,9.458256733524267545e+00,9.452352384091376791e+00
3.894650683777485800e-01,1.008671335001692526e+01,4.310374019920804045e+01,1.167294543609480817e+00,9.686275321598733612e+00,9.675714532095591736e+00
4.943069779360769189e+00,7.303463306805714694e+01,1.898548117824699943e+01,1.592787495548562582e+00,5.625275092745886774e+00,5.616270342045896591e+00
1.773865409510226587e-01,1.097671767336547255e+01,2.159342098023647338e+01,1.117730469231427382e+00,1.228485875712812536e+01,1.228095330368457283e+01
2.932114476438063555e+00,1.535781215645595310e+01,8.171028737563560185e+01,1.947289545002214517e+00,5.872530247430010064e+00,5.888803249976240828e+00
2.374922735777918181e-01,2.741285766927305190e+02,3.745652476041781309e+00,1.472721156131771014e+00,1.435080705386553390e+01,1.433905169481632669e+01
6.095138127707203646e-01,1.319098524577012483e+02,1.991321945002787075e+01,1.594922979848582667e+00,9.024863032593708922e+00,9.026463791519052648e+00
2.909375363511320645e-01,2.039378085915318195e+01,5.879075843711387961e+01,1.359177568573489037e+00,1.028669609953473518e+01,1.026531785595383006e+01
4.813444685191521799e+00,1.859836118490902095e+02,4.617223780653788801e+00,1.335715367176455004e+00,7.754041141816141014e+00,7.754025472484689097e+00
6.027664949814942608e-01,6.431932878241693174e+01,1.261533227522743106e+00,1.985283206444014681e+00,1.738720178711982456e+01,1.739619745129458295e+01
8.899910223040015111e+00,1.694727115054257638e+01,3.887152470237713597e+00,1.111878033714755354e+00,7.208501029855699294e+00,7.206134396635084371e+00
1.780422068767171906e+00,3.797590300820397147e+02,3.799003992435291188e+00,1.138126282276436640e+00,9.645761202009577318e+00,9.639467652770743911e+00
2.439190216409050205e+00,1.554721049895754525e+01,3.753917655815779408e+00,1.530076469328587097e+00,8.838509470990469907e+00,8.840824581631055779e+00
1.104206360018356037e+00,1.080295391903384328e+01,1.124016818453002742e+01,1.191851100969924415e+00,8.188667102224295391e+00,8.195668619735801741e+00
4.148932776167201242e-01,2.728717899372492894e+01,1.332714804899256755e+01,1.006591710763714786e+00,1.002640546645948127e+01,1.003304204216965623e+01
6.181769993058380264e-01,1.404663755389943702e+01,5.892457857039067548e+00,1.616200537906645307e+00,1.030435448847928015e+01,1.032407922701857750e+01
7.618480763892280905e+00,1.067601699734978560e+01,4.405499652959870005e+00,1.003218266159653815e+00,7.004792385610155492e+00,7.006884060333518072e+00
2.525843285189038889e-01,1.287770148782803972e+02,1.114850393417380481e+01,1.633340308253174111e+00,1.189592545440194549e+01,1.189000135340441666e+01
9.471915225918143832e+00,1.675713296991820300e+01,2.884853799539744656e+01,1.306988801814226608e+00,4.738465481644582589e+00,4.737205689744715897e+00
3.285577562404470964e+00,9.078517626280260799e+01,1.161394517637456492e+00,1.616204523531924675e+00,1.495744795766668922e+01,1.495672297221049085e+01
5.242927508694661398e-01,2.583169136467895655e+01,4.481983103587919715e+01,1.577108703685516033e+00,8.857637183681870141e+00,8.858724557516651998e+00
1.918788818527962681e+00,3.964024821535078331e+02,1.840215063626081671e+00,1.926440862796038100e+00,1.265939849909515402e+01,1.265909822096285886e+01
5.780469028343965254e-01,2.326659602830227414e+01,6.498374115721385635e+01,1.245393423584304049e+00,8.487850281167519384e+00,8.489589940556481196e+00
5.794098384179934280e-01,7.666140291956605779e+01,9.668229399078720476e+00,1.924008892446174901e+00,9.814902184767234417e+00,9.798193684161082828e+00
1.017667488707616474e+00,1.773051314546081869e+02,1.344344209223263320e+01,1.533850087171861443e+00,8.403881149431185804e+00,8.412177438991585987e+00
1.080054431735110315e-01,3.377539207947395994e+01,9.154786811771774069e+01,1.000015845018608296e+00,1.335481244290448899e+01,1.334906505021527856e+01
9.708298473539805906e-01,2.588810581824490100e+02,6.229261190790322900e+01,1.398591922680489263e+00,7.552747037739961478e+00,7.541015450775491402e+00
8.773983773562534338e+00,3.415394082781227070e+01,7.765597950078623413e+00,1.057793285802893557e+00,5.869321079502727301e+00,5.875698591099141943e+00
3.723320809277162469e-01,4.559976601992421053e+01,2.538438527705464409e+00,1.696018234077053766e+00,1.423269116262733469e+01,1.424586442270119591e+01
3.136432303178782188e+00,5.385385320803543863e+01,1.554174870489127436e+01,1.714419235268051622e+00,6.289731796176814882e+00,6.294662077671809186e+00
7.683830572227399180e-01,5.148592837153481128e+01,1.203286998553701359e+00,1.300814299325642853e+00,1.707543758220206342e+01,1.707704917534051958e+01
2.621573782960444632e-01,1.078643754450216647e+02,1.361902730921982441e+00,1.238841367878264377e+00,1.896528605965450254e+01,1.895596385660078198e+01
6.456618730158350417e+00,2.423173482400650869e+01,2.835230907311158344e+00,1.434561130720606759e+00,8.629729059757796250e+00,8.658444733135931770e+00
1.080574138625875619e-01,3.625140962525190957e+01,6.847000552773454984e+00,1.608499695190187317e+00,1.535034826866635704e+01,1.535915085487297205e+01
4.045925235513564977e-01,2.449156927503525338e+01,2.440114675253427379e+01,1.130866687828447237e+00,9.666215592264686407e+00,9.654822645561257133e+00
9.955240692893161381e+00,2.954756318833834783e+01,1.576976249823903053e+00,1.243015634805507030e+00,1.118741930113232641e+01,1.117962292196992813e+01
3.344210394191072244e-01,1.976716065670406692e+02,5.125162307683569196e+01,1.840356557670063342e+00,9.984680603762773998e+00,9.985550396248493499e+00
4.989867846017949304e+00,1.172479719642096399e+02,7.935154552065124989e+00,1.496475421861938493e+00,6.648658854270181884e+00,6.633111542950222095e+00
1.626920371872614401e+00,4.322650723420287022e+02,2.442506256187547464e+00,1.291917469749442660e+00,1.138941842099193558e+01,1.139110472506204097e+01
4.093279637751438216e+00,4.113793041617756785e+02,5.356713094623894733e+01,1.027068128679223147e+00,5.553472090685778184e+00,5.548881375128650539e+00
1.822365608652172231e+00,2.230663302657710645e+01,2.408561747331162550e+01,1.254590907141402312e+00,6.706612682161911643e+00,6.718875388165074014e+00
5.313659411874631644e-01,2.273484604581987156e+01,5.244257860877885946e+01,1.634834951046651330e+00,8.814018715798255243e+00,8.823640262434537362e+00
