t,Psi,phi,dPsi_dt,dPsi_dt_noisy
4.200840168033606603e-01,1.655367704609456495e-02,1.226113724661081171e-03,1.985853631412329290e-02,3.210500598948061446e-02
4.260852170434086261e-01,1.667328184332944954e-02,1.246921230690718058e-03,2.000192365426476868e-02,1.702665521056003634e-02
4.320864172834566475e-01,1.679375022826671421e-02,1.267840365250841404e-03,2.014634484242637871e-02,1.203819901005067847e-02
4.380876175235046688e-01,1.691508842754398459e-02,1.288872008472234350e-03,2.029180730809840294e-02,2.781424557989433180e-02
4.440888177635526901e-01,1.703730271357471390e-02,1.310017046139676624e-03,2.043831853494763873e-02,2.297278369702905262e-02
4.500900180036007114e-01,1.716039940454817947e-02,1.331276369691944753e-03,2.058588606080378677e-02,2.954471676857938975e-02
4.560912182436486773e-01,1.728438486442946884e-02,1.352650876221812067e-03,2.073451747764549699e-02,1.728236037713270015e-02
4.620924184836966986e-01,1.740926550295949365e-02,1.374141468476048917e-03,2.088422043158627561e-02,6.066037694364163207e-03
4.680936187237447199e-01,1.753504777565499662e-02,1.395749054855421802e-03,2.103500262286006270e-02,1.993489497574755381e-02
4.740948189637927412e-01,1.766173818380851676e-02,1.417474549414694026e-03,2.118687180580655985e-02,1.672859027569423979e-02
4.800960192038407071e-01,1.778934327448843805e-02,1.439318871862625910e-03,2.133983578885637056e-02,2.909307400933211149e-02
4.860972194438887284e-01,1.791786964053895120e-02,1.461282947561974143e-03,2.149390243451574159e-02,2.343023091828727936e-02
4.920984196839367497e-01,1.804732392132703950e-02,1.483367707607412744e-03,2.164907966024672351e-02,5.340587335895711357e-03
4.980996199239847710e-01,1.817771281522600341e-02,1.505574090083177871e-03,2.180537545341830821e-02,9.853744652386309255e-03
5.041008201640327924e-01,1.830904305587154751e-02,1.527903037520846616e-03,2.196279784282301542e-02,3.080068820869556745e-02
5.101020204040808137e-01,1.844132142118289075e-02,1.550355497932217599e-03,2.212135490947628180e-02,2.891900508365474742e-02
5.161032206441288350e-01,1.857455474022101649e-02,1.572932425540056293e-03,2.228105479482217835e-02,1.587862113573729195e-02
5.221044208841767453e-01,1.870874989318865519e-02,1.595634780778094376e-03,2.244190570071609783e-02,2.243141773504329223e-02
5.281056211242247667e-01,1.884391381143031563e-02,1.618463530291031245e-03,2.260391588940725838e-02,2.705965142716912006e-02
5.341068213642727880e-01,1.898005347743224325e-02,1.641419646934531851e-03,2.276709368352072826e-02,2.745113704199350635e-02
5.401080216043208093e-01,1.911717592482245140e-02,1.664504109775227780e-03,2.293144746603927378e-02,3.169386942718277478e-02
5.461092218443688306e-01,1.925528823837071440e-02,1.687717904090717475e-03,2.309698568028480462e-02,2.566184195250042349e-02
5.521104220844168520e-01,1.939439755398856061e-02,1.711062021369566012e-03,2.326371682989945497e-02,2.231543344021447162e-02
5.581116223244648733e-01,1.953451105872927585e-02,1.734537459311305107e-03,2.343164947882638710e-02,2.084316883094793071e-02
5.641128225645128946e-01,1.967563599078791040e-02,1.758145221826432894e-03,2.360079225129021324e-02,3.415822025662272610e-02
5.701140228045609160e-01,1.981777963950126509e-02,1.781886319036413927e-03,2.377115383177702199e-02,1.262611080991644236e-03
5.761152230446089373e-01,1.996094934534790519e-02,1.805761767273679833e-03,2.394274296501413754e-02,2.255618971410076543e-02
5.821164232846568476e-01,2.010515249994814999e-02,1.829772589081627788e-03,2.411556845594939325e-02,2.444556949578999272e-02
5.881176235247048689e-01,2.025039655154192014e-02,1.853919813753194916e-03,2.428963917629661795e-02,1.003614956759474146e-02
5.941188237647528902e-01,2.039668900833832912e-02,1.878204477559403118e-03,2.446496406852941355e-02,2.779310019990988145e-02
6.001200240048009116e-01,2.054403741545610465e-02,1.902627621477403228e-03,2.464155211821702357e-02,1.812874199378308390e-02
6.061212242448489329e-01,2.069244937382381383e-02,1.927190293154793909e-03,2.481941237665830080e-02,3.344386033981576467e-02
6.121224244848969542e-01,2.084193254142903406e-02,1.951893547035908226e-03,2.499855396235606264e-02,2.374263312201279133e-02
6.181236247249449756e-01,2.099249463331834958e-02,1.976738444361812990e-03,2.517898606099356479e-02,3.187051846888809548e-02
6.241248249649929969e-01,2.114414342159734797e-02,2.001726053170309414e-03,2.536071792541057246e-02,3.754915397712280112e-02
6.301260252050410182e-01,2.129688673543061669e-02,2.026857448295932892e-03,2.554375887557896324e-02,2.937305470271368846e-02
6.361272254450889285e-01,2.145073246104175352e-02,2.052133711369952349e-03,2.572811829857791013e-02,1.697090686434945400e-02
6.421284256851369499e-01,2.160568854171336650e-02,2.077555930820373063e-03,2.591380564856858235e-02,1.077061933152219722e-02
6.481296259251849712e-01,2.176176297778706359e-02,2.103125201871931891e-03,2.610083044676835690e-02,4.363467162193208904e-02
6.541308261652329925e-01,2.191896382666344914e-02,2.128842626546101173e-03,2.628920228142458612e-02,2.517628034954939170e-02
6.601320264052810138e-01,2.207729920280215169e-02,2.154709313661087432e-03,2.647893080778788988e-02,1.959328133144467438e-02
6.661332266453290352e-01,2.223677727772178578e-02,2.180726378831831375e-03,2.667002574808490997e-02,2.811259662869316014e-02
6.721344268853770565e-01,2.239740627999998318e-02,2.206894944470007454e-03,2.686249689149058581e-02,2.494838358666409336e-02
6.781356271254250778e-01,2.255919449613184163e-02,2.233216139865137808e-03,2.705635409512877412e-02,3.557777673725565082e-02
6.841368273654730991e-01,2.272215028511352305e-02,2.259691102496854623e-03,2.725160730152212732e-02,2.759088912589312964e-02
6.901380276055210095e-01,2.288628205073005295e-02,2.286320975319279872e-03,2.744826650534940016e-02,2.758576234153359633e-02
6.961392278455690308e-01,2.305159825222502859e-02,2.313106907904834749e-03,2.764634176620324804e-02,2.050054455587360658e-02
7.021404280856170521e-01,2.321810741241672055e-02,2.340050057233908354e-03,2.784584321828659573e-02,3.254152420576152810e-02
7.081416283256650734e-01,2.338581811769810392e-02,2.367151587694860723e-03,2.804678107038112087e-02,1.770811384683129708e-02
7.141428285657130948e-01,2.355473901803682713e-02,2.394412671084020228e-03,2.824916560581502631e-02,3.490806000345469950e-02
7.201440288057611161e-01,2.372487882697523615e-02,2.421834486605686614e-03,2.845300718243034752e-02,4.369238231233166236e-02
7.261452290458091374e-01,2.389624632163036069e-02,2.449418220872127527e-03,2.865831623254957647e-02,1.341145585155805765e-02
7.321464292858571588e-01,2.406885034269391765e-02,2.477165067903581552e-03,2.886510326294161252e-02,4.202810949428432974e-03
7.381476295259051801e-01,2.424269979443231804e-02,2.505076229128256910e-03,2.907337885478719283e-02,3.524216640633039133e-02
7.441488297659530904e-01,2.441780364468665310e-02,2.533152913382330593e-03,2.928315366364353869e-02,5.476213181847480044e-02
7.501500300060011117e-01,2.459417092487270473e-02,2.561396336909950965e-03,2.949443841940841901e-02,1.948518993068948379e-02
7.561512302460491330e-01,2.477181072998094549e-02,2.589807723363234289e-03,2.970724392628353722e-02,1.720028633826365533e-02
7.621524304860971544e-01,2.495073221857653165e-02,2.618388303802267336e-03,2.992158106273715493e-02,3.581127040054189054e-02
7.681536307261451757e-01,2.513094461279930664e-02,2.647139316695106947e-03,3.013746078146610843e-02,2.173024488088302897e-02
7.741548309661931970e-01,2.531245721039872276e-02,2.676062008956582756e-03,3.035489412377791879e-02,2.529463928441055484e-02
7.801560312062412184e-01,2.549527937203822231e-02,2.705157634650397908e-03,3.057389220433883933e-02,2.709271753750105982e-02
7.861572314462892397e-01,2.567942051113281457e-02,2.734427454208726831e-03,3.079446619895641682e-02,3.611448706187440211e-02
7.921584316863372610e-01,2.586489011180460873e-02,2.763872736100879586e-03,3.101662736605323434e-02,2.696360375212204785e-02
7.981596319263851713e-01,2.605169772891306051e-02,2.793494756836026674e-03,3.124038704666062816e-02,3.401921544746223242e-02
8.041608321664331926e-01,2.623985298805499300e-02,2.823294800963199475e-03,3.146575666437539248e-02,2.970042407543964022e-02
8.101620324064812140e-01,2.642936558556455845e-02,2.853274161071287646e-03,3.169274772531559953e-02,2.324603668879956717e-02
8.161632326465292353e-01,2.662024528851326954e-02,2.883434137789039984e-03,3.192137181807560425e-02,2.872310924064339424e-02
8.221644328865772566e-01,2.681250193470997856e-02,2.913776039785067034e-03,3.215164061368019216e-02,2.264764396200100519e-02
8.281656331266252780e-01,2.700614543270089471e-02,2.944301183767836748e-03,3.238356586553785277e-02,3.244871572423534134e-02
8.341668333666732993e-01,2.720118576176958070e-02,2.975010894485678823e-03,3.261715940939313024e-02,2.137849713373676450e-02
8.401680336067213206e-01,2.739763297193693534e-02,3.005906504726781666e-03,3.285243316327807889e-02,2.192348947032564735e-02
8.461692338467693419e-01,2.759549718396121787e-02,3.036989355319192826e-03,3.308939912746279577e-02,4.765901728051535197e-02
8.521704340868172523e-01,2.779478858933803059e-02,3.068260795130820298e-03,3.332806938440497496e-02,3.279622718135156295e-02
8.581716343268652736e-01,2.799551745030032929e-02,3.099722181069432085e-03,3.356845609869857361e-02,3.302943584397814714e-02
8.641728345669132949e-01,2.819769410847767013e-02,3.131374878782898150e-03,3.381057152739475047e-02,3.892593572657093715e-02
8.701740348069613162e-01,2.840132898407069645e-02,3.163220262392511806e-03,3.405442801895980365e-02,2.984585799347109353e-02
8.761752350470093376e-01,2.860643255150109934e-02,3.195259712552208850e-03,3.430003798405041604e-02,3.201468430926883435e-02
8.821764352870573589e-01,2.881301536295795621e-02,3.227494618531407972e-03,3.454741392366508096e-02,3.879890127698416846e-02
8.881776355271053802e-01,2.902108804922624852e-02,3.259926378285320833e-03,3.479656843007908340e-02,3.762072685252310089e-02
8.941788357671534015e-01,2.923066131968683756e-02,3.292556398454953362e-03,3.504751418678592190e-02,2.345454691746162723e-02
9.001800360072014229e-01,2.944174596231649219e-02,3.325386094367106197e-03,3.530026396843759240e-02,4.363368993513420946e-02
9.061812362472493332e-01,2.965435284368787144e-02,3.358416890034372077e-03,3.555483064078367172e-02,2.965048120789324365e-02
9.121824364872973545e-01,2.986849290896953155e-02,3.391650218155141047e-03,3.581122716060922140e-02,2.525043765746736238e-02
9.181836367273453758e-01,3.008417718192592585e-02,3.425087520113593957e-03,3.606946657567155351e-02,2.706471587568103770e-02
9.241848369673933972e-01,3.030141676491739447e-02,3.458730245979707661e-03,3.632956202463562267e-02,3.242410858108239063e-02
9.301860372074414185e-01,3.052022283890018506e-02,3.492579854509251982e-03,3.659152673700831471e-02,5.286452928323898820e-02
9.361872374474894398e-01,3.074060666342642856e-02,3.526637813143791451e-03,3.685537403307136833e-02,2.510001498386356389e-02
9.421884376875374612e-01,3.096257957664416346e-02,3.560905598010684001e-03,3.712111732381297158e-02,3.872187624915637838e-02
9.481896379275854825e-01,3.118615299529731155e-02,3.595384693923081836e-03,3.738877011085808832e-02,1.601052652995231529e-02
9.541908381676335038e-01,3.141133842253106268e-02,3.630076594961774167e-03,3.765834599574517660e-02,3.764267666429321063e-02
9.601920384076814141e-01,3.163814745127314920e-02,3.664982804504538731e-03,3.792985868390347931e-02,4.692552285866355422e-02
9.661932386477294354e-01,3.186659173404660095e-02,3.700104832974304182e-03,3.820332194842663426e-02,3.583668872781207992e-02
9.721944388877774568e-01,3.209668300904392618e-02,3.735444200010322631e-03,3.847874966122319385e-02,3.218520042238977308e-02
9.781956391278254781e-01,3.232843310165562506e-02,3.771002434588856950e-03,3.875615579476916067e-02,4.107126643535453925e-02
9.841968393678734994e-01,3.256185392447023125e-02,3.806781075023180343e-03,3.903555442202852332e-02,4.603707193353502591e-02
9.901980396079215208e-01,3.279695747727426336e-02,3.842781668963577216e-03,3.931695971637202275e-02,4.595353542654608686e-02
9.961992398479695421e-01,3.303375584705223883e-02,3.879005773397343169e-03,3.960038595149446838e-02,5.932512449079238581e-02
1.002200440088017563e+00,3.327226120798669473e-02,3.915454954648783271e-03,3.988584750133037510e-02,4.197752222469314232e-02
1.008201640328065585e+00,3.351248582145816002e-02,3.952130788379215956e-03,4.017335883996788620e-02,3.424925784243856158e-02
1.014202840568113606e+00,3.375444203604516247e-02,3.989034859586967387e-03,4.046293454156106584e-02,3.920314264169463825e-02
1.020204040808161627e+00,3.399814228752424949e-02,4.026168762607377528e-03,4.075458928024038030e-02,4.002960382404226192e-02
1.026205241048209649e+00,3.424359909886995346e-02,4.063534101112794075e-03,4.104833783002144465e-02,4.213571166480262892e-02
1.032206441288257670e+00,3.449082508025481247e-02,4.101132488112577655e-03,4.134419506471196520e-02,4.104391693241761507e-02
1.038207641528305691e+00,3.473983292904939124e-02,4.138965545953099227e-03,4.164217595781684322e-02,4.338183534677887698e-02
1.044208841768353491e+00,3.499063543909568252e-02,4.177034906940866633e-03,4.194229559354357983e-02,2.523379498739245289e-02
1.050210042008401512e+00,3.524324550180900351e-02,4.215342213135092435e-03,4.224456916802322992e-02,5.054085872842366267e-02
1.056211242248449533e+00,3.549767607603697417e-02,4.253889114343926102e-03,4.254901195312466022e-02,3.680161926391433552e-02
1.062212442488497555e+00,3.575394021596213501e-02,4.292677270267274657e-03,4.285563932975582080e-02,3.112405236528557190e-02
1.068213642728545576e+00,3.601205107235480596e-02,4.331708350587249422e-03,4.316446678925736635e-02,4.954197838567172413e-02
1.074214842968593597e+00,3.627202189257306558e-02,4.370984034968158211e-03,4.347550993329420133e-02,5.664877000715502070e-02
1.080216043208641619e+00,3.653386602056277188e-02,4.410506013056508801e-03,4.378878447374479760e-02,4.871906596873922662e-02
1.086217243448689640e+00,3.679759689685754842e-02,4.450275984481010666e-03,4.410430623258842359e-02,4.571589937104362372e-02
1.092218443688737661e+00,3.706322805857878433e-02,4.490295658852570641e-03,4.442209114178988227e-02,3.509988808807035926e-02
1.098219643928785683e+00,3.733077313943564818e-02,4.530566755764294656e-03,4.474215524318219533e-02,7.345782862131718105e-02
1.104220844168833704e+00,3.760024586972506716e-02,4.571091004791490338e-03,4.506451468834664353e-02,5.386710089496172388e-02
1.110222044408881725e+00,3.787166007633175485e-02,4.611870145491663540e-03,4.538918573849066301e-02,3.399623903506090311e-02
1.116223244648929747e+00,3.814502968272817651e-02,4.652905927404518346e-03,4.571618476432296602e-02,3.791980560192552419e-02
1.122224444888977768e+00,3.842036870897456990e-02,4.694200110051961403e-03,4.604552824592648280e-02,4.691532073164552535e-02
1.128225645129025789e+00,3.869769127171895917e-02,4.735754462938095849e-03,4.637723277262850025e-02,3.082992145266863840e-02
1.134226845369073811e+00,3.897701159795168013e-02,4.777570766355220683e-03,4.671131505932886452e-02,4.839761912943400801e-02
1.140228045609121832e+00,3.925834401491610365e-02,4.819650810395123379e-03,4.704779193429154543e-02,4.245707637716395616e-02
1.146229245849169853e+00,3.954170292914328810e-02,4.861996393859186090e-03,4.738668031391643498e-02,5.964938631707861205e-02
1.152230446089217875e+00,3.982710285367076219e-02,4.904609326136812747e-03,4.772799723517071740e-02,5.734954387145319021e-02
1.158231646329265674e+00,4.011455840833834385e-02,4.947491427224466783e-03,4.807175985579724420e-02,2.095890548144951904e-02
1.164232846569313695e+00,4.040408431978814718e-02,4.990644527725678938e-03,4.841798545416615279e-02,4.883501131443927779e-02
1.170234046809361717e+00,4.069569542146454777e-02,5.034070468851037719e-03,4.876669142912320315e-02,3.259201643388631719e-02
1.176235247049409738e+00,4.098940665361420349e-02,5.077771102418195473e-03,4.911789529983522778e-02,6.021427529232045717e-02
1.182236447289457759e+00,4.128523306328606840e-02,5.121748290851867516e-03,4.947161470563227192e-02,5.115267339691051407e-02
1.188237647529505780e+00,4.158318980433137191e-02,5.166003907183829534e-03,4.982786740584657648e-02,5.531192192771654942e-02
1.194238847769553802e+00,4.188329213740363266e-02,5.210539835052921918e-03,5.018667127964816788e-02,3.953542399161517895e-02
1.200240048009601823e+00,4.218555542995864466e-02,5.255357968705046297e-03,5.054804432587715890e-02,6.883234670583215919e-02
1.206241248249649844e+00,4.248999515625448420e-02,5.300460212993167268e-03,5.091200466287254534e-02,7.111273833437699310e-02
1.212242448489697866e+00,4.279662689735153069e-02,5.345848483377309800e-03,5.127857052829756096e-02,4.063086010203543347e-02
1.218243648729745887e+00,4.310546634134870825e-02,5.391524705937619961e-03,5.164776027924390667e-02,5.537591149790706962e-02
1.224244848969793908e+00,4.341652930508522329e-02,5.437490818417527877e-03,5.201959241800942907e-02,4.528656813410755766e-02
1.230246049209841930e+00,4.372983170006384396e-02,5.483748767980922006e-03,5.239408555115158961e-02,5.215838618254426545e-02
1.236247249449889951e+00,4.404538953676959828e-02,5.530300511841975200e-03,5.277125839446275557e-02,4.011488860221711777e-02
1.242248449689937972e+00,4.436321894355418211e-02,5.577148018408698699e-03,5.315112979536338461e-02,7.182258494116956771e-02
1.248249649929985994e+00,4.468333616663594521e-02,5.624293267282937797e-03,5.353371873270193482e-02,4.384192362187525061e-02
1.254250850170034015e+00,4.500575757009991212e-02,5.671738249260373579e-03,5.391904431655053509e-02,5.095820616657559254e-02
1.260252050410082036e+00,4.533049963589774745e-02,5.719484966330523786e-03,5.430712578799649221e-02,5.932195509910171555e-02
1.266253250650129836e+00,4.565757896384778358e-02,5.767535431676741944e-03,5.469798251892937085e-02,4.822237573476808453e-02
1.272254450890177857e+00,4.598701227163503463e-02,5.815891669676221711e-03,5.509163401182370218e-02,5.269850971450067839e-02
1.278255651130225878e+00,4.631881639481114782e-02,5.864555715899986456e-03,5.548809989951700161e-02,4.985170143524735725e-02
1.284256851370273900e+00,4.665300828679444511e-02,5.913529617112899678e-03,5.588739994498330421e-02,5.455279239662036428e-02
1.290258051610321921e+00,4.698960501886989549e-02,5.962815431273658928e-03,5.628955404110188437e-02,4.458412769009885424e-02
1.296259251850369942e+00,4.732862378018914962e-02,6.012415227534800150e-03,5.669458221042113916e-02,5.231470145439813535e-02
1.302260452090417964e+00,4.767008187777050515e-02,6.062331086242692471e-03,5.710250460491750335e-02,5.503357535779505871e-02
1.308261652330465985e+00,4.801399674029500908e-02,6.112565099106245271e-03,5.751334151028771741e-02,5.417608147224636794e-02
1.314262852570514006e+00,4.836038593828947268e-02,6.163119369773656896e-03,5.792711336982793446e-02,5.849401291876588777e-02
1.320264052810562028e+00,4.870926713446720180e-02,6.213996011367869596e-03,5.834384072480931771e-02,5.541281853124210843e-02
1.326265253050610049e+00,4.906065811326858206e-02,6.265197148321720484e-03,5.876354424952995315e-02,6.629565833392375707e-02
1.332266453290658070e+00,4.941457678892087479e-02,6.316724916788826402e-03,5.918624476067983059e-02,5.595428550282153385e-02
1.338267653530706092e+00,4.977104120543826560e-02,6.368581464643582185e-03,5.961196321706425938e-02,5.824546725410541942e-02
1.344268853770754113e+00,5.013006953662185045e-02,6.420768951481159795e-03,6.004072071932155946e-02,5.339290735936303572e-02
1.350270054010802134e+00,5.049168008605960795e-02,6.473289548617510054e-03,6.047253850963447280e-02,5.520739010848210032e-02
1.356271254250850156e+00,5.085589128712643403e-02,6.526145439089360914e-03,6.090743797143568367e-02,4.826251006323856174e-02
1.362272454490898177e+00,5.122272170298412808e-02,6.579338817654220052e-03,6.134544062910686490e-02,6.653328983788650564e-02
1.368273654730946198e+00,5.159219002658138598e-02,6.632871890790370539e-03,6.178656814767157640e-02,5.036138797114665666e-02
1.374274854970993998e+00,5.196431508065380706e-02,6.686746876696874307e-03,6.223084233248123154e-02,5.477227835059798183e-02
1.380276055211042019e+00,5.233911581772392879e-02,6.740966005293575619e-03,6.267828512889472847e-02,6.627073164900677826e-02
1.386277255451090040e+00,5.271661132010114353e-02,6.795531518221089792e-03,6.312891862195099679e-02,6.715465228139631815e-02
