t,S,dS_dt,dS_dt_noisy
7.557234941098021075e-01,8.261495430354985956e+02,-9.457757004210890273e+01,-9.385269689921797465e+01
7.646143587463880564e-01,8.253090426476902621e+02,-9.449335073108737504e+01,-9.064897453962825580e+01
7.735052233829738944e-01,8.244692922938397714e+02,-9.440883582242653915e+01,-9.136126568488452904e+01
7.823960880195598433e-01,8.236302945489114791e+02,-9.432402780843469259e+01,-9.141540596136646002e+01
7.912869526561457922e-01,8.227920519619892730e+02,-9.423892916820655330e+01,-9.492327727861260200e+01
8.001778172927316302e-01,8.219545670562756641e+02,-9.415354236763330675e+01,-9.578703757782849948e+01
8.090686819293175791e-01,8.211178423290926958e+02,-9.406786985941313617e+01,-1.033867561613094637e+02
8.179595465659035280e-01,8.202818802518813754e+02,-9.398191408306178118e+01,-8.991652878689502870e+01
8.268504112024893660e-01,8.194466832702015608e+02,-9.389567746492313915e+01,-8.584685179465417093e+01
8.357412758390753149e-01,8.186122539535781470e+02,-9.380916246376062873e+01,-1.007496822536876522e+02
8.446321404756611528e-01,8.177785951423627466e+02,-9.372237161539736405e+01,-9.193455139512532526e+01
8.535230051122471018e-01,8.169457092768368511e+02,-9.363530732864425943e+01,-9.444472762117473508e+01
8.624138697488330507e-01,8.161135987530514058e+02,-9.354797199359043702e+01,-9.788016945176580919e+01
8.713047343854188886e-01,8.152822659483337020e+02,-9.346036798937282697e+01,-9.634315521037666485e+01
8.801955990220048376e-01,8.144517132212878323e+02,-9.337249768418567442e+01,-1.024149630380106117e+02
8.890864636585906755e-01,8.136219429117946902e+02,-9.328436343529041608e+01,-8.987790731095061858e+01
8.979773282951766245e-01,8.127929573410117428e+02,-9.319596758902522993e+01,-9.437307748401903496e+01
9.068681929317625734e-01,8.119647588113733718e+02,-9.310731248081518174e+01,-9.091074156435674070e+01
9.157590575683484113e-01,8.111373496065905329e+02,-9.301840043518188850e+01,-8.656263969813484493e+01
9.246499222049343603e-01,8.103107319916510960e+02,-9.292923376575380701e+01,-9.079015596893178497e+01
9.335407868415203092e-01,8.094849082128195050e+02,-9.283981477527628101e+01,-9.818400520257108610e+01
9.424316514781061471e-01,8.086598804976371184e+02,-9.275014575562184405e+01,-8.693646546938231268e+01
9.513225161146920961e-01,8.078356510549216409e+02,-9.266022898780052230e+01,-9.316257799941747919e+01
9.602133807512780450e-01,8.070122220747679194e+02,-9.257006674197033647e+01,-9.233742392597741855e+01
9.691042453878638829e-01,8.061895957285473742e+02,-9.247966127744786036e+01,-9.677096751005326780e+01
9.779951100244498319e-01,8.053677741689081131e+02,-9.238901484271870856e+01,-9.257650993797933836e+01
9.868859746610356698e-01,8.045467595297749313e+02,-9.229812967544832247e+01,-9.512869430882008714e+01
9.957768392976216187e-01,8.037265539263496521e+02,-9.220700800249292683e+01,-9.676246055120286371e+01
1.004667703934207568e+00,8.029071594551104454e+02,-9.211565203991010264e+01,-9.580511685057464888e+01
1.013558568570793517e+00,8.020885781938125092e+02,-9.202406399297004214e+01,-8.659577030315706736e+01
1.022449433207379244e+00,8.012708122014875016e+02,-9.193224605616637746e+01,-8.687825028754519963e+01
1.031340297843965192e+00,8.004538635184441091e+02,-9.184020041322757777e+01,-9.623879382115988790e+01
1.040231162480551141e+00,7.996377341662673643e+02,-9.174792923712786319e+01,-9.576994512448919750e+01
1.049122027117137090e+00,7.988224261478195558e+02,-9.165543469009888611e+01,-9.096493782526141558e+01
1.058012891753723039e+00,7.980079414472393182e+02,-9.156271892364071618e+01,-9.693792203638287219e+01
1.066903756390308988e+00,7.971942820299419736e+02,-9.146978407853359272e+01,-9.555337252005229232e+01
1.075794621026894715e+00,7.963814498426197588e+02,-9.137663228484933597e+01,-8.848947600496322252e+01
1.084685485663480664e+00,7.955694468132417114e+02,-9.128326566196309955e+01,-8.230609650213767736e+01
1.093576350300066613e+00,7.947582748510533293e+02,-9.118968631856479590e+01,-8.876414069617672453e+01
1.102467214936652562e+00,7.939479358465771384e+02,-9.109589635267124663e+01,-9.092764059586539815e+01
1.111358079573238511e+00,7.931384316716121248e+02,-9.100189785163766487e+01,-8.987325769089531491e+01
1.120248944209824238e+00,7.923297641792341892e+02,-9.090769289216989080e+01,-9.010400186748958617e+01
1.129139808846410187e+00,7.915219352037959197e+02,-9.081328354033610140e+01,-9.325871490564637156e+01
1.138030673482996136e+00,7.907149465609265917e+02,-9.071867185157907443e+01,-8.913424913520454140e+01
1.146921538119582085e+00,7.899088000475322815e+02,-9.062385987072825344e+01,-9.102768760819205340e+01
1.155812402756168034e+00,7.891034974417956391e+02,-9.052884963201194068e+01,-8.796579658653105582e+01
1.164703267392753760e+00,7.882990405031762293e+02,-9.043364315906958950e+01,-8.998290496987345932e+01
1.173594132029339709e+00,7.874954309724103041e+02,-9.033824246496419619e+01,-8.489303117042742031e+01
1.182484996665925658e+00,7.866926705715108028e+02,-9.024264955219456397e+01,-8.686084994414161997e+01
1.191375861302511607e+00,7.858907610037674658e+02,-9.014686641270795064e+01,-8.869578861317326357e+01
1.200266725939097556e+00,7.850897039537464934e+02,-9.005089502791241785e+01,-9.230136208625592076e+01
1.209157590575683283e+00,7.842895010872913417e+02,-8.995473736868967762e+01,-8.152281721120246516e+01
1.218048455212269232e+00,7.834901540515216993e+02,-8.985839539540745591e+01,-8.099948548471786580e+01
1.226939319848855181e+00,7.826916644748341696e+02,-8.976187105793245280e+01,-8.338380811387933988e+01
1.235830184485441130e+00,7.818940339669022705e+02,-8.966516629564314655e+01,-8.495179255890846548e+01
1.244721049122027079e+00,7.810972641186758665e+02,-8.956828303744235598e+01,-9.578480948484978796e+01
1.253611913758613028e+00,7.803013565023818501e+02,-8.947122320177049914e+01,-8.894422325198604540e+01
1.262502778395198755e+00,7.795063126715236876e+02,-8.937398869661831213e+01,-7.434833578175505409e+01
1.271393643031784704e+00,7.787121341608817602e+02,-8.927658141953997983e+01,-9.255721689003766528e+01
1.280284507668370653e+00,7.779188224865130223e+02,-8.917900325766626679e+01,-9.382720557135712625e+01
1.289175372304956602e+00,7.771263791457511161e+02,-8.908125608771744908e+01,-8.782501021765139626e+01
1.298066236941542551e+00,7.763348056172065981e+02,-8.898334177601672934e+01,-1.007719062707304829e+02
1.306957101578128277e+00,7.755441033607665986e+02,-8.888526217850339606e+01,-8.755455627135103214e+01
1.315847966214714226e+00,7.747542738175950490e+02,-8.878701914074606805e+01,-8.835820417247367686e+01
1.324738830851300175e+00,7.739653184101326815e+02,-8.868861449795610952e+01,-9.216151553858040302e+01
1.333629695487886124e+00,7.731772385420966884e+02,-8.859005007500095985e+01,-8.174950133745645076e+01
1.342520560124472073e+00,7.723900355984814041e+02,-8.849132768641779023e+01,-9.277962068593600975e+01
1.351411424761058022e+00,7.716037109455575091e+02,-8.839244913642662027e+01,-8.747778931841428118e+01
1.360302289397643749e+00,7.708182659308725988e+02,-8.829341621894425884e+01,-9.335207758202678008e+01
1.369193154034229698e+00,7.700337019591631815e+02,-8.819423074044038913e+01,-9.000297186908925084e+01
1.378084018670815647e+00,7.692500205654639558e+02,-8.809489454192342350e+01,-8.417467500992751184e+01
1.386974883307401596e+00,7.684672230748764150e+02,-8.799540939657158845e+01,-9.651717399615122872e+01
1.395865747943987545e+00,7.676853107857087934e+02,-8.789577706487924047e+01,-7.940835015193147228e+01
1.404756612580573272e+00,7.669042849825752910e+02,-8.779599929861154806e+01,-9.202065768046944072e+01
1.413647477217159221e+00,7.661241469363944816e+02,-8.769607784081625823e+01,-8.455037834226486382e+01
1.422538341853745170e+00,7.653448979043910185e+02,-8.759601442583655739e+01,-7.959347100453457813e+01
1.431429206490331119e+00,7.645665391300941565e+02,-8.749581077932303685e+01,-8.278901702009056862e+01
1.440320071126917068e+00,7.637890718433387747e+02,-8.739546861824622681e+01,-9.405180591190546124e+01
1.449210935763502794e+00,7.630124972602648086e+02,-8.729498965090905926e+01,-7.536520968009885735e+01
1.458101800400088743e+00,7.622368165833174771e+02,-8.719437557695921726e+01,-7.916550937357551732e+01
1.466992665036674692e+00,7.614620310012473965e+02,-8.709362808740172568e+01,-7.858188753596239451e+01
1.475883529673260641e+00,7.606881416891102390e+02,-8.699274886461128631e+01,-9.135583486901961692e+01
1.484774394309846590e+00,7.599151498082669605e+02,-8.689173958234502493e+01,-8.902155416512212582e+01
1.493665258946432317e+00,7.591430565063838003e+02,-8.679060190575489742e+01,-9.041350695975059182e+01
1.502556123583018266e+00,7.583718629174320540e+02,-8.668933749140040845e+01,-8.404015746125030262e+01
1.511446988219604215e+00,7.576015701616887554e+02,-8.658794798726123076e+01,-8.264866747104795763e+01
1.520337852856190164e+00,7.568321793457356534e+02,-8.648643503274972488e+01,-8.848558257161026575e+01
1.529228717492776113e+00,7.560636915624598942e+02,-8.638480025872374313e+01,-7.942935456707662922e+01
1.538119582129362062e+00,7.552961078910541346e+02,-8.628304528749940516e+01,-8.090062445487217246e+01
1.547010446765947789e+00,7.545294293970158606e+02,-8.618117173286363197e+01,-8.498000600065029175e+01
1.555901311402533738e+00,7.537636571321481824e+02,-8.607918120008710616e+01,-8.793512133949481324e+01
1.564792176039119687e+00,7.529987921345590394e+02,-8.597707528593684856e+01,-1.000091438762045328e+02
1.573683040675705636e+00,7.522348354286619951e+02,-8.587485557868932062e+01,-8.896024902870706796e+01
1.582573905312291584e+00,7.514717880251757833e+02,-8.577252365814304369e+01,-8.055842930690994308e+01
1.591464769948877311e+00,7.507096509211241937e+02,-8.567008109563141716e+01,-1.004603233383868002e+02
1.600355634585463260e+00,7.499484250998365269e+02,-8.556752945403584931e+01,-8.725515207380445304e+01
1.609246499222049209e+00,7.491881115309469124e+02,-8.546487028779833395e+01,-9.130633920741651366e+01
1.618137363858635158e+00,7.484287111703952178e+02,-8.536210514293475171e+01,-8.621075632094211016e+01
1.627028228495221107e+00,7.476702249604262533e+02,-8.525923555704746093e+01,-8.427046876850351964e+01
1.635919093131807056e+00,7.469126538295902265e+02,-8.515626305933855633e+01,-8.396427329942173401e+01
1.644809957768392783e+00,7.461559986927424006e+02,-8.505318917062260198e+01,-9.566154216593108117e+01
1.653700822404978732e+00,7.454002604510434367e+02,-8.495001540333994683e+01,-8.644436724298647334e+01
1.662591687041564681e+00,7.446454399919592788e+02,-8.484674326156942925e+01,-8.474130732657714304e+01
1.671482551678150630e+00,7.438915381892609275e+02,-8.474337424104170680e+01,-8.007458313630695557e+01
1.680373416314736579e+00,7.431385559030247805e+02,-8.463990982915208861e+01,-7.874861625662927622e+01
1.689264280951322306e+00,7.423864939796324052e+02,-8.453635150497383677e+01,-8.687054931684637893e+01
1.698155145587908255e+00,7.416353532517706526e+02,-8.443270073927119768e+01,-7.670673439051172693e+01
1.707046010224494204e+00,7.408851345384316573e+02,-8.432895899451239075e+01,-8.419838760004779488e+01
1.715936874861080152e+00,7.401358386449126101e+02,-8.422512772488293820e+01,-7.996176049813406905e+01
1.724827739497666101e+00,7.393874663628163262e+02,-8.412120837629882431e+01,-8.255026583678645125e+01
1.733718604134251828e+00,7.386400184700504497e+02,-8.401720238641942728e+01,-8.670324384539570417e+01
1.742609468770837777e+00,7.378934957308280218e+02,-8.391311118466099117e+01,-8.193886419480870131e+01
1.751500333407423726e+00,7.371478988956674812e+02,-8.380893619220969981e+01,-8.186054606983155679e+01
1.760391198044009675e+00,7.364032287013923224e+02,-8.370467882203486454e+01,-8.408497746406703754e+01
1.769282062680595624e+00,7.356594858711312099e+02,-8.360034047890221132e+01,-8.111685992804905254e+01
1.778172927317181351e+00,7.349166711143184330e+02,-8.349592255938721053e+01,-8.769406854446829414e+01
1.787063791953767300e+00,7.341747851266931093e+02,-8.339142645188813674e+01,-8.184829125624601431e+01
1.795954656590353249e+00,7.334338285902997541e+02,-8.328685353663949797e+01,-7.909725794015650990e+01
1.804845521226939198e+00,7.326938021734882795e+02,-8.318220518572526601e+01,-8.981413965395518062e+01
1.813736385863525147e+00,7.319547065309136542e+02,-8.307748276309223456e+01,-8.388641866858469598e+01
1.822627250500111096e+00,7.312165423035360163e+02,-8.297268762456315017e+01,-7.997446396953560566e+01
1.831518115136696823e+00,7.304793101186210151e+02,-8.286782111785032612e+01,-7.399219411319377571e+01
1.840408979773282772e+00,7.297430105897393560e+02,-8.276288458256873071e+01,-8.491450174468185708e+01
1.849299844409868721e+00,7.290076443167670277e+02,-8.265787935024940225e+01,-8.564457131509487908e+01
1.858190709046454669e+00,7.282732118858851891e+02,-8.255280674435283572e+01,-7.512832116074950761e+01
1.867081573683040618e+00,7.275397138695805097e+02,-8.244766808028239780e+01,-8.813713314084333206e+01
1.875972438319626345e+00,7.268071508266446017e+02,-8.234246466539750031e+01,-8.007238716260067690e+01
1.884863302956212294e+00,7.260755233021744743e+02,-8.223719779902720006e+01,-8.229344161745027009e+01
1.893754167592798243e+00,7.253448318275723068e+02,-8.213186877248344331e+01,-7.319758377446331110e+01
1.902645032229384192e+00,7.246150769784649128e+02,-8.202647888628382589e+01,-7.755616005631442533e+01
1.911535896865970141e+00,7.238862594331453693e+02,-8.192102946750661374e+01,-8.143087206386445587e+01
1.920426761502556090e+00,7.231583797121852513e+02,-8.181552179243206524e+01,-7.601398672310378402e+01
1.929317626139141817e+00,7.224314383162878812e+02,-8.170995712753588691e+01,-8.407516334209748265e+01
1.938208490775727766e+00,7.217054357362991368e+02,-8.160433673247632669e+01,-8.002221695167442306e+01
1.947099355412313715e+00,7.209803724532074511e+02,-8.149866186010655156e+01,-8.873615474753358967e+01
1.955990220048899664e+00,7.202562489381439264e+02,-8.139293375648669837e+01,-8.153862190791143405e+01
1.964881084685485613e+00,7.195330656523822199e+02,-8.128715366089593886e+01,-8.152388052011538377e+01
1.973771949322071340e+00,7.188108230473384310e+02,-8.118132280584467253e+01,-8.090396363889631459e+01
1.982662813958657289e+00,7.180895215645714416e+02,-8.107544241708680488e+01,-8.697756688973198891e+01
1.991553678595243237e+00,7.173691616357826888e+02,-8.096951371363175554e+01,-7.410818191620006701e+01
2.000444543231829186e+00,7.166497436828159380e+02,-8.086353790775658013e+01,-8.754014535200009561e+01
2.009335407868415135e+00,7.159312681176579645e+02,-8.075751620501833372e+01,-7.126367591482417652e+01
2.018226272505001084e+00,7.152137353424377579e+02,-8.065144980426597954e+01,-8.290732104957717752e+01
2.027117137141587033e+00,7.144971457494272045e+02,-8.054533989765275237e+01,-7.993686000499145905e+01
2.036008001778172982e+00,7.137814997210405181e+02,-8.043918767064809572e+01,-8.218462602708029863e+01
2.044898866414758487e+00,7.130667976298345820e+02,-8.033299430205001102e+01,-8.439970665551048512e+01
2.053789731051344436e+00,7.123530398385088347e+02,-8.022676096399710843e+01,-7.409909999388985113e+01
2.062680595687930385e+00,7.116402266999054973e+02,-8.012048882198078559e+01,-7.949215859222785241e+01
2.071571460324516334e+00,7.109283585570092328e+02,-8.001417903485739203e+01,-6.940829710487483339e+01
2.080462324961102283e+00,7.102174357429470319e+02,-7.990783275486026582e+01,-8.388746199565756001e+01
2.089353189597688232e+00,7.095074585809890095e+02,-7.980145112761211124e+01,-8.343648236302745147e+01
2.098244054234274181e+00,7.087984273845473808e+02,-7.969503529213686477e+01,-7.273631475566895688e+01
2.107134918870860130e+00,7.080903424571772575e+02,-7.958858638087205861e+01,-8.723032607913172853e+01
2.116025783507446079e+00,7.073832040925761930e+02,-7.948210551968087145e+01,-7.033119018698171487e+01
2.124916648144032028e+00,7.066770125745844098e+02,-7.937559382786429296e+01,-7.108467454241305461e+01
2.133807512780617976e+00,7.059717681771845719e+02,-7.926905241817317460e+01,-8.607868226524578859e+01
2.142698377417203481e+00,7.052674711645020125e+02,-7.916248239682039411e+01,-7.170647223933586645e+01
2.151589242053789430e+00,7.045641217908047338e+02,-7.905588486349321897e+01,-7.564689543899027058e+01
2.160480106690375379e+00,7.038617203005032934e+02,-7.894926091136501611e+01,-7.962552429560120970e+01
2.169370971326961328e+00,7.031602669281505769e+02,-7.884261162710765802e+01,-7.672129224337778908e+01
2.178261835963547277e+00,7.024597618984425935e+02,-7.873593809090365880e+01,-7.309857486972963159e+01
2.187152700600133226e+00,7.017602054262172260e+02,-7.862924137645796918e+01,-7.704552160885188528e+01
2.196043565236719175e+00,7.010615977164557080e+02,-7.852252255101060996e+01,-7.645974445933120478e+01
2.204934429873305124e+00,7.003639389642811466e+02,-7.841578267534822544e+01,-7.825766946482231390e+01
2.213825294509891073e+00,6.996672293549598862e+02,-7.830902280381666003e+01,-7.803010517164999271e+01
2.222716159146477022e+00,6.989714690639002583e+02,-7.820224398433262536e+01,-8.269655288170467600e+01
2.231607023783062527e+00,6.982766582566537181e+02,-7.809544725839617740e+01,-7.855264251430585887e+01
2.240497888419648476e+00,6.975827970889138214e+02,-7.798863366110245465e+01,-7.913221593241314622e+01
2.249388753056234425e+00,6.968898857065170205e+02,-7.788180422115408419e+01,-7.704664462968617045e+01
2.258279617692820374e+00,6.961979242454422092e+02,-7.777495996087294827e+01,-8.393739221013932195e+01
2.267170482329406322e+00,6.955069128318111780e+02,-7.766810189621259042e+01,-7.821265535134268987e+01
2.276061346965992271e+00,6.948168515818877040e+02,-7.756123103676986830e+01,-8.285332556931633974e+01
2.284952211602578220e+00,6.941277406020788021e+02,-7.745434838579743086e+01,-8.013871009327345973e+01
2.293843076239164169e+00,6.934395799889335876e+02,-7.734745494021541390e+01,-7.805792037666529382e+01
2.302733940875750118e+00,6.927523698291439587e+02,-7.724055169062367554e+01,-8.155495432018163626e+01
2.311624805512336067e+00,6.920661101995444824e+02,-7.713363962131383289e+01,-6.975623895445521327e+01
2.320515670148922016e+00,6.913808011671121676e+02,-7.702671971028124176e+01,-7.250162324678443326e+01
2.329406534785507521e+00,6.906964427889665785e+02,-7.691979292923693379e+01,-7.073188556084551237e+01
2.338297399422093470e+00,6.900130351123700621e+02,-7.681286024361986620e+01,-6.892230949941023255e+01
2.347188264058679419e+00,6.893305781747272931e+02,-7.670592261260867417e+01,-8.143162868208582950e+01
2.356079128695265368e+00,6.886490720035858430e+02,-7.659898098913380693e+01,-7.461659683099387053e+01
2.364969993331851317e+00,6.879685166166354975e+02,-7.649203631988949326e+01,-7.527367492586262188e+01
2.373860857968437266e+00,6.872889120217089385e+02,-7.638508954534572126e+01,-7.539976881155550359e+01
2.382751722605023215e+00,6.866102582167814035e+02,-7.627814159976026076e+01,-7.450495980964274167e+01
2.391642587241609164e+00,6.859325551899704578e+02,-7.617119341119048670e+01,-7.922101872344185836e+01
2.400533451878195113e+00,6.852558029195364497e+02,-7.606424590150550102e+01,-8.317139735464104433e+01
2.409424316514781061e+00,6.845800014388962609e+02,-7.595730000546370775e+01,-7.962307261486606080e+01
2.418315181151366566e+00,6.839051508084993429e+02,-7.585035666245664743e+01,-7.903870861236612200e+01
2.427206045787952515e+00,6.832312509939424672e+02,-7.574341678078147311e+01,-7.741026026261688742e+01
2.436096910424538464e+00,6.825583019530898810e+02,-7.563648126321265863e+01,-7.460583857498005500e+01
2.444987775061124413e+00,6.818863036367836230e+02,-7.552955100722135739e+01,-8.016520154546537924e+01
2.453878639697710362e+00,6.812152559888448877e+02,-7.542262690498660049e+01,-8.151814227364774013e+01
2.462769504334296311e+00,6.805451589460725472e+02,-7.531570984340589803e+01,-7.748697229310398882e+01
2.471660368970882260e+00,6.798760124382445156e+02,-7.520880070410632356e+01,-7.861642111074310435e+01
