r,Q,R,temperature,E_r
2.359662167270628794e-07,5.688856833545818832e-13,3.796260247632159872e-05,2.663351101865532087e+02,1.677377203781748676e+03
1.027716298605700005e-05,1.021796715060890964e-13,1.272914575920978920e-05,3.726563033858906238e+02,1.606913526440429501e+06
8.741149231878366828e-06,2.673865335521226081e-13,5.473885122692591143e-06,2.348296646378051662e+02,3.145234855664313212e+07
7.017062333532983374e-06,2.812240681185245203e-14,1.475823089058140218e-05,3.705401330513644211e+02,1.598002607313405024e+05
1.415900264173898588e-06,2.885265555955741723e-14,9.488488156464093269e-06,3.040817110262752294e+02,7.023507248516306572e+04
9.809114575979519088e-05,1.375301029282675107e-13,3.635834799949625779e-05,3.994877324466451682e+02,1.284661685369139886e+05
8.760038529257071756e-05,5.533523654508160915e-13,2.875559957673005999e-05,2.971434565476502030e+02,6.480975153423113516e+05
1.139268142826557042e-05,7.848983606288605874e-13,1.385913522411034371e-05,2.202804289227660206e+02,1.996882629318841919e+07
8.940829824479018089e-06,5.528551677966520964e-13,3.835108841781243176e-05,2.893504599678756790e+02,1.057084138556305988e+05
1.162358756614588446e-05,2.753100255336348026e-14,2.852179932487101236e-05,2.711598905992324262e+02,1.150702009583176186e+04
1.468129184420336668e-06,6.837812082476322230e-13,6.421138461860290594e-06,3.348873412724144032e+02,1.876096964123167098e+07
2.542667166734331329e-07,2.609516605953346125e-14,3.764975078916300220e-05,2.698291772219695304e+02,9.502302387059756938e+01
1.460377121424720214e-05,1.709375946970185058e-13,4.637920028777572169e-05,3.120773285864287914e+02,4.115734191541642940e+04
3.767584204208893169e-06,3.746419656330406568e-13,6.102912202367992246e-06,3.057298349465551155e+02,3.987871410983849317e+07
8.525613229431751939e-07,3.630726669701039565e-14,2.211962112782868116e-05,3.224288129481092255e+02,5.057472571007154329e+03
2.867517496595076658e-06,2.626201578526359665e-13,2.790559093596669578e-05,3.705435482988887657e+02,8.469508334507251857e+04
4.660832579588586631e-05,1.079465826514884338e-13,2.186295002987757657e-05,3.556738968726219241e+02,4.466141826002270682e+05
6.340602795967061230e-05,2.034233549608798335e-13,2.439586716667745375e-05,3.048814223760753066e+02,4.547684581416698056e+05
1.184092390420855253e-06,3.097655676727881120e-13,5.712457493157851166e-06,2.466735954062700671e+02,6.320986641344599426e+06
5.183098856911579038e-06,6.416190125724304132e-14,3.942634037823921684e-05,3.232708999007649595e+02,9.713868635853577871e+03
9.238642740866004978e-07,1.771701611630325392e-13,1.525646352521354896e-05,3.555497554741266413e+02,1.037309348561517836e+05
6.065967660121744922e-06,1.824965576623428253e-13,9.785000990897470274e-06,3.895476127368070252e+02,4.269087235935738310e+06
1.032128277079200348e-06,2.163562534819535460e-14,7.066041399383109317e-06,2.958958422272389726e+02,8.343251642715945491e+04
1.495743077634259770e-06,4.924322092490860270e-14,1.453199102369572416e-05,3.237380893553665828e+02,4.306668149036485556e+04
4.686224130787789463e-05,1.464655962908590779e-14,1.234005508833995874e-05,3.285385461324376593e+02,5.994322854267578805e+04
4.802559792604232037e-07,3.265261435054376890e-13,2.874988647127102806e-05,2.485532371986942337e+02,1.570580598300133715e+03
7.405620178316891132e-06,1.401765916950195806e-13,1.210018140865791431e-05,3.813686812245940132e+02,1.783640397127001546e+06
1.786676934190881261e-07,5.764402870211792574e-14,1.481847707063160337e-05,3.091544748710933277e+02,4.895114575719618188e+03
3.147258701572946819e-05,1.152623007934758316e-14,1.860026263752358444e-05,2.142175826150260605e+02,1.045858708221184497e+05
2.297708455650925577e-05,1.281688650214832894e-13,1.095793067512455549e-05,2.709256543553364054e+02,2.181942551877941936e+06
5.225265100290886999e-07,1.212849097039235651e-13,1.043899134373621898e-05,3.357752859869355575e+02,1.100544546613216080e+05
4.260422723978781232e-05,8.267115916433121463e-14,1.050413070695885500e-05,2.211666651846811078e+02,4.093542093456932926e+05
1.498663411089493676e-07,4.525710081690387096e-13,2.449202876075275693e-05,3.906630118305947121e+02,1.230933049409403975e+04
1.019415380234412585e-06,1.064354465216632262e-14,1.424859117178375333e-05,3.874790918631052818e+02,9.885041224838605558e+03
2.823829043418501268e-07,6.995699731988549114e-13,1.868191803924948818e-05,3.898257719810845288e+02,8.052272033608958009e+04
2.243975443258289985e-06,8.859870647082400959e-13,4.802963557909408550e-05,3.459202166875986677e+02,3.801457221905970073e+04
2.448909922295037077e-05,1.990044106739786677e-14,8.527549679456453765e-06,3.601206314083826214e+02,2.982412416157470434e+05
4.919564137951560743e-07,5.512019123368202543e-13,5.842412351835741761e-06,2.369510405710191492e+02,2.769474743201860227e+06
1.432398650543836089e-07,1.696235371498242005e-13,8.579972849555090434e-06,2.450692746814672205e+02,5.593654613705170050e+03
1.635518720299772569e-06,6.618485980413185546e-13,2.518179952014695851e-05,3.133803555141978450e+02,1.101214924174393382e+05
3.940389322146107695e-07,3.120381083501025419e-13,2.843012580041106373e-05,2.640419447444755860e+02,3.368720055736785980e+03
1.871798680789847472e-07,2.133698334284463894e-13,7.737257602302738638e-06,2.129144691382252006e+02,-7.427169746788304474e+04
5.508040919108854241e-06,3.666195508358511149e-13,1.209647265603677568e-05,3.646908430387155136e+02,3.598444904868850019e+06
7.872060052107820643e-07,3.656849523805648198e-14,1.336252849051448207e-05,3.958424777001558255e+02,3.287464986168704490e+04
1.037491706819629909e-05,9.902018320141304146e-14,1.294764146543113161e-05,3.071040933987945891e+02,1.000839336993953446e+06
3.967768560798431392e-07,9.519301070100069226e-14,2.546659579480520819e-05,3.285759748668583597e+02,4.262442699938718761e+03
6.704082213879613715e-05,2.079304706667616717e-14,4.687154739730495299e-05,2.858187746899085937e+02,4.158053681907491409e+04
1.245462066868818436e-06,2.873635004105579884e-14,8.229640990065662613e-06,2.094523750104040971e+02,-6.449287865433441766e+04
2.072458480638210536e-07,1.076718646145996498e-14,1.495615128307500270e-05,2.946989503970025908e+02,8.559755321587533672e+02
7.714796141841601454e-06,5.847071897348420172e-13,1.526873399999444824e-05,2.975943020500402554e+02,3.510848788594226819e+06
6.045937581669279373e-05,1.238699992859878930e-14,7.544243562400970958e-06,3.984699067873987701e+02,3.045716212040355458e+04
2.094746455111589065e-06,1.537628044402003574e-14,1.641732858901054956e-05,2.830868400925205037e+02,7.697445475210635777e+03
7.307544707911351790e-05,2.490010463336149821e-13,8.379947377351141142e-06,2.391488078113666802e+02,4.190914765248801559e+05
3.160002608104065155e-06,5.372484696712440158e-13,1.897345934745921862e-05,2.455134930615622295e+02,6.377614020817901473e+04
1.886626257594488090e-06,2.475894886643062554e-13,1.017874617500626037e-05,3.924408467571751657e+02,1.236279391015405767e+06
7.255049101460311710e-06,2.663304119537356315e-13,1.031519889305506143e-05,3.044956507747179444e+02,6.942837276096117683e+06
9.666950965866026482e-05,5.590293683478534084e-14,1.514912104918915257e-05,2.469882783518849578e+02,5.376581221434370673e+04
7.027988218939147994e-05,3.693825065607172604e-13,4.389936108838196068e-05,3.995280767773124353e+02,6.721479721539419843e+05
2.399581018859058947e-06,3.517344062334111773e-13,3.821836307433697889e-05,2.049633837773090761e+02,-1.788000983371057009e+04
1.875800019010476344e-05,5.242200550001307068e-14,2.340871224313819307e-05,2.528976298804023770e+02,3.338554345683868451e+04
3.106476599210291340e-06,6.983478063067286097e-13,4.901225862277189098e-05,3.671580182947857338e+02,4.417499054497916222e+04
3.872010092072568830e-06,8.208746769072883204e-14,1.108326500393011972e-05,2.680653307335359727e+02,1.924373563917022839e+05
2.276968917305915115e-05,2.214566993940672154e-13,5.467588501625250573e-06,3.131264033698826097e+02,3.839062981136561371e+06
1.753749450934068396e-06,6.343096352739112588e-14,1.135417740391210704e-05,2.200411721454669589e+02,-4.700018707671274024e+04
1.597536227064600927e-05,1.403685319038181893e-13,1.415670192809236611e-05,2.395166120339099791e+02,4.943322508641519584e+06
1.359654717817366124e-05,1.486634818277049390e-14,1.532118637692770317e-05,3.289519853498533166e+02,1.356837174210687517e+05
6.254305049455558614e-05,6.939335698690304384e-14,3.385432514244861443e-05,2.581234951907616733e+02,1.594448132457792235e+05
2.212065079354179651e-07,3.355010824186474765e-13,1.027906607183547839e-05,2.558200415049691685e+02,2.967251166638021095e+04
1.538315270586063991e-05,4.761911981558850363e-13,1.650357145848278280e-05,2.838050147204486962e+02,7.345491064598047175e+06
6.057198217500780779e-05,4.806104491365797522e-14,3.597743006840600902e-05,2.527484393982270490e+02,1.177335543095074245e+05
8.012694224409807849e-05,1.287388396083025809e-14,7.612316810089418452e-06,2.346624262354184225e+02,1.802200347400892497e+04
1.106926831967969471e-07,2.175421673324460237e-14,4.056243587581244902e-05,3.310221141719077877e+02,6.859436344715373934e+01
3.898704063664029087e-05,3.681221504743754643e-14,6.854871232795195424e-06,2.843097070992008639e+02,2.176717291582801845e+05
8.781831910631323745e-05,9.764950515775881452e-14,2.460926158399607950e-05,2.654554086276613134e+02,1.138021389278714050e+05
7.440986880783409172e-05,3.359802311941799049e-14,4.463875055445643751e-05,2.805443946937964483e+02,5.453850955976435944e+04
2.794422289092672654e-07,5.504967076256216231e-14,2.023272632054709438e-05,3.636923316675633373e+02,4.367416466040418527e+03
8.277257032024991541e-05,1.082278062592342342e-14,2.420664809900568415e-05,2.520782396963183487e+02,1.419765409214527790e+04
4.675269681663634953e-05,6.734490937726415752e-14,2.927419678379976332e-05,3.653324091593379990e+02,2.769121788648955408e+05
2.931713201374791912e-05,2.470825815232549240e-13,8.714892228687867365e-06,2.579687534413566823e+02,2.583745797695863526e+06
2.753998956869598159e-06,7.903296909531204952e-14,6.287049088172900057e-06,2.813220306806725830e+02,1.658681449933646247e+06
4.978732110473153119e-07,2.443653380144643999e-14,1.366877898245904833e-05,3.955172791327015602e+02,1.295578908813117414e+04
2.544730154631357982e-05,7.255273282752110432e-13,1.900255137546852556e-05,2.695371458028602660e+02,1.006980177662609704e+07
5.896448087486737787e-05,2.335896280248236060e-14,9.307735037334830206e-06,3.740810005284229760e+02,6.038418578951463860e+04
6.286237960711252830e-07,5.453228411438596080e-13,5.530574076079736737e-06,3.822005957883645237e+02,7.649255486800372601e+06
4.138121356739468440e-06,2.406123722548453511e-14,3.440860636796918214e-05,2.570902027718368572e+02,1.128176893258736527e+03
2.129406066117047331e-06,2.003566684264024468e-14,2.818826806573847938e-05,2.203228444582122449e+02,-1.178160179204386623e+03
6.209433036483197256e-05,9.451800328024766815e-14,4.417711698328583844e-05,3.516553994552437530e+02,2.203237226384680253e+05
1.322915587268277115e-07,2.092255727288967202e-13,7.123685129442096807e-06,3.563950662611675284e+02,1.731331041470721830e+05
1.570430014283622441e-05,8.052937729681832235e-14,5.399036029326360562e-06,2.108213700495808496e+02,2.934727524426518008e+06
6.968186099181995319e-06,1.038256820692486768e-13,2.740492166101528607e-05,3.159704999605218632e+02,5.959916914715366147e+04
1.216455133097966986e-07,1.765759063746808171e-13,3.675439315227684820e-05,2.684181525014024601e+02,3.166595260086043595e+02
1.437670357890003518e-05,9.260945026901094086e-14,8.338739039205182870e-06,3.560525252025297505e+02,4.027052464190441184e+06
1.116799442728706847e-07,8.198024440357579816e-13,1.192114247763856535e-05,3.287579017498411531e+02,1.009798884484184091e+05
1.878680843854605310e-05,2.007435699725170131e-14,3.519269221952253126e-05,2.474471697586450318e+02,1.955548599628131342e+03
3.453632875681429737e-06,6.062850768830813789e-14,5.133948209719955088e-06,2.237783311279135603e+02,4.871770280599890277e+06
6.127914009496786046e-05,1.800743325855295638e-14,9.248044187453607849e-06,2.032151666778548247e+02,4.309998384413419990e+04
1.578510554798877234e-07,2.483786925805422406e-14,6.741162836759523655e-06,3.624796395883772107e+02,2.990421355608170416e+04
3.341579814632980767e-05,1.738112400416057332e-13,4.434236725545310284e-05,3.707699535827384807e+02,1.903315480501037091e+05
1.585148763648332507e-07,5.408805269362114206e-13,5.537146161153863480e-06,2.947656435151272376e+02,7.628956233345366782e+05
1.078772672630003541e-06,5.123249901229645883e-14,1.704948150491494870e-05,3.631111496845722968e+02,2.617217337651348134e+04
1.953872389477071133e-06,5.122948521013313830e-13,2.517046637367856203e-05,2.902451564371522750e+02,7.550159756776651193e+04
7.910177744387426597e-05,5.758161868879899053e-14,1.493260218756175349e-05,3.578606171035903571e+02,8.271075837429163221e+04
4.860663169200994583e-06,2.621776780096531595e-13,9.156774276067157440e-06,3.132146512232509963e+02,5.796460648358206265e+06
5.978521281349039861e-07,1.666668702838499504e-14,1.071091421862815786e-05,2.803578116841597989e+02,8.078345446923902273e+03
5.309176241739294831e-07,1.268798389863261456e-13,8.360945985676273767e-06,2.090196342211010290e+02,-1.142630905172626663e+05
4.616947774551641726e-05,1.194750920740050857e-14,3.578446244864582569e-05,2.609494445724575371e+02,5.037534903662514262e+04
4.760014604973907991e-07,1.931367152407922523e-14,5.032735922756525548e-06,3.718910588215207440e+02,1.775018905903392588e+05
2.364090607265268822e-07,4.060950210494391249e-14,6.680686123899480381e-06,3.149697099000250091e+02,5.303055426609953429e+04
7.328114914494660336e-07,1.253357310793187343e-14,3.678021303612778433e-05,3.280767120126140526e+02,3.426645102861609757e+02
5.732831728445658218e-06,5.556712413771747618e-13,4.786788039703762215e-05,2.845408524012264593e+02,3.159314570112230649e+04
4.594851779727481376e-06,4.391515575085528196e-13,1.385862365442493547e-05,2.686661365368642009e+02,1.091836069843611214e+06
2.686162783707023819e-05,7.305457700833746903e-13,2.967958412570286656e-05,3.791576622292047318e+02,2.702423281144583598e+06
4.802063028681257032e-06,2.814869005888079674e-14,3.837993662324104218e-05,3.597601821033816236e+02,5.528601956111395339e+03
7.332695374778800694e-07,7.803186045481727788e-14,3.315795860367842497e-05,2.877169773823392802e+02,1.799913346650477251e+03
1.732562970156888367e-06,4.149172597014765821e-13,1.316673976831331063e-05,2.902077758687719324e+02,4.089113492723137024e+05
2.846839040255842824e-05,3.567621585191496033e-14,3.788172042903896740e-05,3.597427426667157988e+02,5.028482330218303832e+04
7.577385581770245780e-06,1.970937447121001233e-13,1.437767914559780330e-05,2.616838571962005062e+02,5.112057513654151699e+05
7.537597243841408375e-05,4.903618366486861691e-14,2.465270330868021915e-05,2.542626783844901013e+02,7.757136348414470558e+04
1.282960345867311845e-06,5.672690391937319374e-14,4.831726022860531854e-05,3.968871181433698894e+02,1.763659889024183030e+03
4.548147403738956442e-06,2.242565085323043237e-13,1.117008650156426969e-05,2.790226877082760666e+02,1.182184277810595697e+06
6.050240032290987643e-06,7.562805199130614616e-13,1.193030930416775384e-05,2.227822198818130062e+02,1.213880381774860434e+07
3.506498236557965852e-05,4.168081436269356863e-13,2.730132903360113462e-05,3.746121068915061301e+02,3.046769254051622935e+06
2.731622080309764792e-07,4.966964583063134783e-14,2.853269844305604305e-05,3.449073483098328552e+02,1.228303952489064159e+03
1.657795705413891869e-06,1.375409785614809986e-14,6.088116999216487788e-06,2.893183037796169970e+02,1.228553295132020867e+05
5.368795786727682530e-05,8.669179326433901069e-13,8.172217252324827589e-06,2.081315776995680267e+02,2.703179187376501970e+06
1.346482352330316624e-07,4.791237481796164603e-14,1.273987316596387918e-05,2.717616128684027217e+02,2.521131561492508808e+03
2.938453621776210945e-05,2.745924677391194115e-13,1.294136414134742298e-05,3.840941072386585802e+02,2.858258852928597480e+06
1.762593288522901256e-06,1.302416774731685844e-14,6.722940833984883150e-06,3.987165656534382379e+02,2.123840183205844369e+05
3.086113936902834342e-05,1.055766709029081354e-14,7.042581682711381854e-06,3.316587784584829137e+02,9.963104147346883838e+04
1.071183026511675668e-07,1.919489012473233375e-13,9.790135356815345033e-06,2.808333134432330098e+02,2.203915109394447791e+04
1.244911484164829943e-06,5.349970879867268022e-13,2.896720493004993526e-05,3.138169919905548682e+02,4.460179508241242729e+04
1.721432949777814454e-07,7.332037693682036853e-14,1.588303136926956483e-05,2.956453380727655258e+02,4.099189441197644555e+03
9.074939303745662675e-06,1.882422959273205704e-13,8.687008351303196626e-06,3.999065527511822324e+02,2.054378074896472320e+07
6.630515517775631823e-07,2.546066849220291370e-13,7.881266569564126059e-06,2.505040243190244666e+02,1.606729843217766611e+05
1.282201297367489442e-05,5.001412487923108955e-13,5.804435591104606771e-06,2.912684843405115203e+02,2.734203711726414785e+07
6.782726116930009393e-05,1.519975186751579160e-14,1.428071573725598959e-05,2.691977400678826484e+02,2.969467353135796293e+04
2.401327015349001656e-07,1.172377928598278743e-13,4.842812698612918352e-05,2.416620294685978365e+02,1.178603265039208736e+01
3.929478222345730615e-05,7.666330399189117570e-14,9.373747646010902130e-06,2.812898172810943720e+02,4.462398780444263830e+05
1.507969142928541003e-07,4.791982173070021011e-14,2.132014208609439823e-05,3.027096057629249799e+02,1.067970265182685353e+03
1.387750923246899763e-06,5.512993513479063071e-14,1.452685941708547859e-05,2.469457159818523451e+02,4.891001456768797652e+03
1.946803792184557819e-06,6.774774121724407464e-14,1.768543720956420429e-05,2.114631882538200216e+02,-2.229217005688432982e+04
2.927848768822498671e-06,2.208334499879122480e-14,8.383329754293736622e-06,3.444963850224975772e+02,2.394189177958578803e+05
8.499374504585807460e-05,5.338223863943889052e-13,2.962521323394225783e-05,3.125521913685358868e+02,6.641611517152959714e+05
2.123604144750666943e-05,3.780716818940602452e-14,2.765312201621343517e-05,2.096771182575989201e+02,-4.444695736264522566e+04
8.444463991889709145e-07,6.301509615371802161e-14,2.887161389115048085e-05,2.563964891026001851e+02,9.778399801285131616e+02
6.449266990763334795e-07,1.477816662155684656e-13,1.869509486494798229e-05,2.774911810570950479e+02,1.363327934527505931e+04
3.884727970469172264e-05,2.357716639026831575e-13,6.096451115503205976e-06,2.572078411003089400e+02,1.404174240404168144e+06
4.404752575928973571e-05,9.573340519116522978e-14,3.302191246854261996e-05,2.525031668697463374e+02,4.434769875000609318e+05
3.405018819773420050e-06,7.678403996068189177e-14,5.166360103307748249e-06,3.723951704444763777e+02,8.261066240604983643e+06
1.078666504396200912e-06,5.411047984678379797e-14,8.725610722483764740e-06,2.788665743554613528e+02,8.579925572461563570e+04
9.654994806006483420e-05,1.019163488817667934e-13,1.280861075177523780e-05,2.493428121560574766e+02,9.826308304648826015e+04
8.868101110142553166e-07,2.928185664837034068e-14,1.012094218855196657e-05,3.167866991039649065e+02,4.208371799358612043e+04
3.532947117350684252e-07,1.097788690137273902e-14,1.578094607902445632e-05,2.482989545633508897e+02,2.280765757506326281e+02
4.368118020716363510e-05,6.765731572935021947e-13,1.172735232736911760e-05,2.414057417970593065e+02,3.186960302852412686e+06
2.735307739669661647e-05,2.382634729688646936e-14,1.073569828595723617e-05,2.045772175746227788e+02,2.862171793815045385e+05
1.008482152442498198e-05,6.324842966507788246e-14,9.168596199878546868e-06,3.783146569586915575e+02,5.589383804496729746e+06
7.503102775379126999e-05,1.194312702981292295e-13,5.901845699684078042e-06,3.277841645343051482e+02,1.906719812309407862e+05
5.986096747501625100e-05,4.696446831343662008e-14,1.359136868947853829e-05,3.025762481715534022e+02,1.177965483645279455e+05
1.756893798674358310e-05,7.175359401273766145e-14,5.373505747701435690e-06,2.684081031547035536e+02,2.089311802183295367e+06
3.820359466778842065e-05,6.087686890354986827e-14,6.080875670752820572e-06,3.277190463449427966e+02,3.748818963948061573e+05
5.513663036201162909e-07,8.056828961216519085e-14,7.552685178576772620e-06,3.729058827341464166e+02,2.549805928280834632e+05
2.653014787639166627e-07,3.445288642947341858e-13,1.045125462146547322e-05,3.489877975141076831e+02,1.731967477451913874e+05
1.023730277315098618e-05,1.115454462254445835e-13,4.743940093217789700e-05,2.024525650563652732e+02,-1.390257239324730108e+04
1.392693696612780971e-05,5.484303148324627224e-13,3.120257724902711946e-05,2.305218905604608040e+02,-3.982456716310488991e+04
3.170726529243399549e-07,2.229947582079491429e-13,5.247509285606108676e-06,3.256939332751908296e+02,9.690647294183743652e+05
1.536992751339856645e-06,1.076602834584118163e-13,2.708124055460561707e-05,3.221052640539206777e+02,1.469717254485546800e+04
5.379814469278216535e-05,4.627376303835514830e-14,7.363527450164265247e-06,2.678917021136628023e+02,1.436980382809184957e+05
4.832838724575611397e-06,1.427817028621697630e-14,7.258425281268884204e-06,3.514286352238319751e+02,4.565836145171709941e+05
5.432600193686335173e-06,4.224373966377954350e-14,2.935665824367626593e-05,2.198341213482754597e+02,-5.810182401969419516e+03
3.822868142338800913e-07,1.752407957182357237e-13,7.922903333138920292e-06,2.679186378275858260e+02,1.001292437328056694e+05
3.785007512735576445e-06,9.740383041799563230e-14,1.335996808441859843e-05,3.450499830062275919e+02,3.355490258307564072e+05
3.717955455174816276e-06,1.832612323201950748e-14,1.889385905002422425e-05,2.568668648557935512e+02,4.640904224792175228e+03
1.848446651222982839e-07,1.385933331094606657e-13,2.741760705888860263e-05,2.873765886154215536e+02,1.416729036980632145e+03
8.827303919528301911e-05,3.843044102758077616e-14,2.589020068194885661e-05,2.810977462852201256e+02,4.432715190436501871e+04
5.178295160170874768e-06,3.444939452623121490e-14,1.199580364108874233e-05,2.352152527241790949e+02,-1.297907133026301744e+04
1.045265576224834951e-07,4.146235352027990037e-14,1.633839910480847543e-05,2.635351796824433563e+02,6.135423118848397053e+02
2.079445793084683833e-05,2.366034792113530602e-13,1.005219568933892754e-05,3.815185494487232063e+02,4.917864261318065226e+06
8.605916768523372404e-05,2.128175209283458648e-13,2.362341971306627068e-05,3.197068797187498035e+02,2.582639060749954951e+05
5.883152213834247021e-06,1.475553779962406395e-14,1.320821659453630216e-05,2.020060821977937735e+02,-5.172016164526715875e+04
9.100073683930348436e-07,2.604932872722822306e-14,3.158037669650133616e-05,2.665029651451899326e+02,5.176042493051855899e+02
3.651935909553800576e-07,1.575990326418734524e-13,4.997019823464503920e-05,3.632076056288734662e+02,1.081783381599489758e+03
1.041309670757884485e-05,1.493012789306771270e-14,1.168248100105388015e-05,2.894128437380127821e+02,1.715184955176826334e+05
3.848772097283966951e-07,3.348642820037748930e-13,1.256554195995692242e-05,2.331443079354704082e+02,-1.269560624047284364e+04
5.408336157718343374e-06,3.057004324619201642e-13,3.216079854624392438e-05,2.521622155898557196e+02,1.690105069862745586e+04
6.407926610148063747e-06,2.282286141771110115e-14,1.010114793431348962e-05,2.379352181287496819e+02,-2.149845034596393816e+03
7.713816072431962847e-05,9.390670375138785625e-13,1.032226273597214423e-05,3.677883565146877913e+02,1.418432443062743405e+06
1.647387614771515365e-07,4.152269592704787830e-13,1.732366705699602496e-05,2.669075490141925115e+02,9.173374893938696914e+03
3.161684069357876359e-06,1.711547118150959441e-14,1.173167890202005410e-05,2.029288266249608910e+02,-4.313589357768595073e+04
1.707231588679691595e-05,6.054470796155015518e-13,6.458275278440323263e-06,2.915226416412143067e+02,1.866989740205964074e+07
3.401576334896443224e-07,3.795385403925215245e-14,9.861044658026828192e-06,2.007638232705768075e+02,-1.819111636001801890e+04
1.459486880286217740e-06,8.859976796386372080e-14,4.974759471508317943e-05,2.192800354192890211e+02,-6.863160721188585285e+02
1.544139367534942799e-07,1.898146005427946213e-14,1.384643276098963046e-05,3.676552662218001615e+02,2.650476308629786217e+03
1.505367693036831484e-05,7.833774378877276090e-14,3.526461451992562079e-05,2.578335291259717224e+02,1.359344436067774586e+04
1.833596031268164341e-07,4.360592086714397830e-13,6.711790783537051047e-06,3.344622830232535193e+02,5.281196404487260152e+05
1.532057711188982716e-06,1.352501250228846663e-13,1.383967697181421574e-05,3.087341852059926168e+02,1.211502773091916024e+05
4.174148479298551940e-05,1.407095193207005705e-14,6.485445314085478791e-06,3.699348852289026581e+02,7.258356766469447757e+04
2.611566026244458277e-06,4.363761240533236985e-14,2.654588927758724475e-05,3.346567263018944800e+02,1.194796035231883252e+04
5.468469584514415330e-05,1.222365777278543118e-13,1.067567346056989223e-05,3.337726358520927761e+02,3.673839666232055170e+05
1.984958143135837091e-05,7.814329075626248078e-14,3.972714317608772662e-05,3.654620033317405614e+02,6.312293051229997945e+04
5.571496734811255788e-05,9.247645297908387886e-14,1.134152921642086765e-05,3.736784619221428443e+02,2.677552662088807556e+05
2.411065602072986431e-07,9.703173623954250052e-13,4.957160223726138614e-05,2.223068765062158718e+02,-1.056767908332963088e+03
1.662220813364527566e-07,9.742278859916870411e-14,1.615915741484949539e-05,3.342750464681049039e+02,7.483574333747244964e+03
1.625469259780678843e-07,9.175596172597763309e-13,4.739400090146193655e-05,3.476207455272092943e+02,2.998763862572307971e+03
4.041688913275610315e-05,1.308958489506390631e-14,1.332122820380498916e-05,2.425422005138104282e+02,7.201960355809630710e+04
7.983805313157973986e-06,5.935182864402835897e-13,1.021683446862148951e-05,3.639546715950382918e+02,2.843172043435338885e+07
3.088268711155964853e-06,6.804895825993475094e-14,3.077899899659193431e-05,2.934530964015040126e+02,9.104187500023526809e+03
3.094783327988553280e-07,5.223710959223458747e-13,1.176454137652990374e-05,2.276882067625369928e+02,-3.515706652473134454e+04
1.050026629313997187e-05,6.913395435220312646e-13,1.081398616949049671e-05,3.139431589922837702e+02,4.504805265655741096e+07
8.996056275579275916e-07,1.205335733425375910e-13,3.847303547548047942e-05,3.558732903578630271e+02,4.287041102039855105e+03
1.357186683600846440e-05,1.605022586279947058e-14,2.125733201464345286e-05,3.375340801667236406e+02,5.085479857989963784e+04
2.404728146082848146e-06,5.407563349532798275e-14,1.462317824355085685e-05,3.852932210302099065e+02,1.093287538915855112e+05
