Vb,g,T,S0,Td,Td_noisy
3.871518155791722648e+00,9.615342817168497369e-01,3.232056633044165039e+01,6.846577102742692489e-01,3.858488047949310218e+00,3.890823197759402774e+00
5.545137376349964953e+00,5.584069836494389705e-01,2.663440600987349782e+01,4.921715103055337437e+00,7.919680659994137173e+00,7.952833828612949851e+00
7.177608216531157215e-01,7.597865237623283585e-01,3.193682314571716319e+01,3.447256415123519435e+00,5.108590989312681074e+00,5.082890670728308358e+00
3.407240947930119113e+00,4.008697935301432924e-01,3.595924819470807421e+01,3.964808150003506171e+00,9.339401179059136027e+00,9.256997420516352548e+00
3.026347355869720701e+00,7.699003046872313627e-01,3.842997455877635105e+01,3.709628067808685259e+00,5.398086542612938743e+00,5.406459779824075440e+00
8.429226853243158013e-01,7.731015610546010386e-01,2.276648528231309854e+01,4.186866249114914673e+00,4.560754640470424448e+00,4.566205344861502091e+00
4.027304930266562444e+00,7.026088364662753660e-01,3.686040832875323048e+01,3.479027375470042038e+00,6.038402059481508211e+00,5.977034456769279913e+00
5.189480611643611851e+00,7.788661740988926940e-01,3.295820673003703405e+01,2.250681073358903994e+00,5.469938388366744064e+00,5.435777055277715597e+00
3.761175599573562067e+00,6.151210262954366348e-01,3.072607713179098710e+01,2.021671751592452271e+00,6.134425814438516866e+00,6.130823630452155726e+00
1.930535962554727591e+00,8.700756177304453942e-01,2.881553930683056208e+01,2.483360199501177146e+00,4.477144566962705241e+00,4.429906985809666686e+00
5.119348365672748535e+00,8.492805412719157676e-01,3.021609020695236580e+01,2.953645258047949085e+00,5.402960111898696738e+00,5.398046613506085833e+00
3.302227348368301563e+00,1.867507965092103650e-01,2.917450042462004944e+01,2.123373335690978969e+00,1.528943888924803218e+01,1.529421304062150533e+01
3.309888864565931677e+00,5.035202086205283756e-01,3.341381394948103178e+01,2.478727081540722244e-01,5.104693939812988468e+00,5.106473251665763158e+00
4.641666142361978054e+00,2.086048579589648289e-01,3.824062813727327637e+01,8.577395132761372887e-01,1.062258319765111558e+01,1.059726861473540005e+01
1.313571196817260978e+00,9.554851353625363197e-01,2.473764535461445746e+01,2.319415656339423482e+00,3.822304671006637733e+00,3.851992074595929072e+00
5.007946955156023172e+00,4.914020766511348892e-01,2.004128765128203327e+01,4.004584461076410307e+00,7.546756274632295813e+00,7.591314622346412300e+00
4.258077983017914292e+00,2.980704862907050390e-01,2.051516094259906708e+01,1.993277715611295298e+00,9.082920570839451813e+00,9.098962986067780534e+00
4.829033178551405570e+00,8.538656875503112254e-01,3.823393252653468721e+01,4.332760769540342949e+00,5.498740843610045559e+00,5.457829332240530462e+00
1.553889424610743752e+00,1.784945436366060789e-01,3.857665398962323877e+01,4.594603565204046447e+00,1.582236967512882764e+01,1.585895228931810053e+01
4.913002886239914879e+00,2.386782537812997262e-01,3.750298001758216060e+01,4.968430675907196115e-01,8.654367307074775084e+00,8.629295306151423262e+00
1.552281593314601471e+00,7.109469430745831708e-01,3.164946244821985388e+01,3.643113157302829030e+00,5.384062979604983923e+00,5.428021010519382905e+00
9.485393954993199817e-01,5.566809905999419161e-01,3.170423790479032533e+01,4.770629715986495434e+00,6.415042913292297477e+00,6.361453542448424869e+00
5.203748358578885735e+00,3.405651996444228891e-01,2.807820551594618763e+01,1.561038589234641893e+00,9.017059903047218938e+00,9.062783263203657569e+00
5.237059228977176240e+00,6.186517923359609039e-01,2.675639381842024989e+01,2.283464952679493010e+00,6.273720595235543485e+00,6.272717422504769047e+00
5.320954030291193071e+00,2.866453064303784992e-01,3.866445723246079069e+01,2.359244479692268026e+00,1.077081810710082443e+01,1.070838066258410315e+01
3.095503456473346127e+00,3.783120498076129046e-01,3.060677451797368320e+01,2.300887915926741023e+00,8.800240769658342899e+00,8.784545796059999745e+00
2.007266137375450565e+00,6.499545527268052458e-01,2.550418712202325722e+01,4.157025191915260542e+00,5.848669897442830390e+00,5.851375011381407809e+00
5.390050573174144377e-01,8.946389393111605637e-01,3.314452766304361830e+01,4.611554840629613850e+00,4.828661322287621793e+00,4.842300889245844786e+00
4.051464925662212835e+00,7.328604454965196302e-01,2.183319805178544826e+01,4.203917478694750187e+00,5.734429845092370748e+00,5.685320438845321789e+00
4.459501609297811697e+00,6.789050057280069383e-01,3.367377089933231105e+01,7.310386837824135453e-01,4.861100372475529952e+00,4.805731720117270456e+00
5.095630690751507430e+00,7.719824233645173894e-01,2.544823370051543776e+01,4.474780664448204881e+00,6.006660287089035322e+00,6.016639513731389499e+00
2.050328050504981903e+00,4.405382025686955805e-01,3.388228721244842490e+01,3.465356836110989658e+00,7.933872575325766618e+00,7.910535094481776497e+00
1.683699919396354883e+00,9.828802541834859019e-01,2.963855519250125070e+01,4.687669765673649458e+00,4.453875801486065988e+00,4.465651082072577438e+00
4.016322590366232959e+00,6.501341620071404703e-01,3.722367112766266217e+01,2.025022609581081046e+00,5.712361006416564635e+00,5.750336982540483532e+00
4.927801582297552940e+00,3.318051479604452458e-01,3.513242764898548387e+01,1.597843175997634368e+00,9.208435676422759286e+00,9.125996308105211341e+00
5.800189800647340022e+00,1.323687230648690205e-01,3.966520979583540907e+01,1.764533086179919552e+00,1.819332708473535121e+01,1.820604649056123137e+01
1.327886567316476141e+00,2.005800267663029324e-01,3.161344172557293319e+01,1.971172088382175280e+00,1.303651377607445205e+01,1.309774612445123942e+01
3.152168135096351076e+00,2.786582364533116141e-01,3.652429236014292258e+01,4.429367677370994016e+00,1.261813318437942755e+01,1.260325684216090458e+01
5.420937242078954554e+00,7.609353751091568752e-01,3.317427585099242293e+01,2.474719307427940329e+00,5.673507627255775176e+00,5.632966898093896724e+00
2.824942988199905081e+00,8.330690480253529762e-01,3.473472373881165964e+01,1.511623366404775348e+00,4.506828974198682225e+00,4.544441165557661755e+00
3.742261341462264745e+00,9.329075605438977847e-01,3.790879985506888517e+01,3.877191443765888312e+00,4.939806308813084357e+00,4.952478634623491693e+00
6.346987262134975438e-01,6.786192116598122048e-01,2.625853481989976146e+01,3.394530897393523983e-01,5.372197726323381772e+00,5.416991879862259829e+00
4.204029379341164052e+00,3.675492909779596307e-01,3.592348527601269836e+01,1.802596409216205231e+00,8.578254327554061476e+00,8.560993542051496874e+00
5.554987407986023307e+00,8.549821804091397581e-01,3.853675774311896873e+01,3.977481928750166595e+00,5.460623304088185748e+00,5.386532390402074988e+00
5.047539312561966085e+00,9.581231528954209375e-01,3.978028890328356226e+01,3.081357803615787816e+00,4.701264571880376053e+00,4.695764033644813651e+00
5.370361466904706838e+00,7.272134560338249232e-01,2.291636097609699618e+01,1.877143839025977812e+00,5.127976977254668611e+00,5.105685569604107243e+00
4.131954592862878251e+00,1.651222359737261336e-01,2.562456363638002443e+01,1.449466808026887543e+00,1.482153410162756124e+01,1.486030029272994035e+01
1.850537469837476579e+00,4.698837791037724365e-01,2.849357746630975896e+01,5.494526924000813217e-01,5.690169930224403316e+00,5.699851572643260589e+00
4.726843493929399287e+00,3.240492668274682631e-01,2.761698341207220864e+01,2.195961777409982663e-01,6.460497964304963148e+00,6.378955502683208323e+00
1.664211084341307822e+00,9.453344606973739239e-01,3.874938272252839511e+01,1.083700462559179512e+00,3.565435777413480167e+00,3.505677623408320009e+00
5.072011590654536661e+00,8.300110520134642567e-01,2.050257368115167367e+01,2.495022723779355633e+00,4.778161705496456690e+00,4.822351157325819315e+00
8.449485741392253058e-01,1.629344009171914687e-01,3.792975966292137713e+01,2.340367572105579885e+00,1.479100553562268949e+01,1.482499378649358235e+01
5.040182973664556698e+00,6.484887372896750435e-01,2.169726071864043959e+01,2.693453413715555467e+00,5.819682163003791153e+00,5.787669994708366517e+00
1.404789965607557090e+00,9.866328248054601069e-01,3.875090062366409427e+01,2.221819889730975717e-01,3.240386163429499256e+00,3.240333723601135141e+00
2.563308480731530281e+00,5.714255143178201823e-01,3.842591983263809396e+01,2.248353774933398608e+00,5.886889534948363867e+00,5.909168212637172957e+00
2.242059916063303682e+00,9.004972098400135794e-01,2.964555638480664612e+01,3.711393186007466927e+00,4.801637085970339669e+00,4.825057302762703948e+00
4.302353694027576836e+00,8.310976094913570256e-01,2.348401825963992806e+01,3.774352776781078500e+00,5.294868332384625731e+00,5.338680442190343101e+00
1.482145329959045466e+00,5.243836589793998693e-01,2.382957430344052341e+01,2.833915481050672369e+00,5.947350921579118044e+00,5.960175202940195760e+00
2.679408892193425373e+00,4.978075567529933743e-01,2.518824606700249547e+01,3.552884495179173374e+00,7.246628019691167211e+00,7.241886602742741985e+00
5.320352730938952002e-01,2.454860689766894533e-01,3.697834682533378725e+01,1.464106881926105774e-01,1.209031246932268644e+01,1.207737006608329366e+01
1.943720920125558305e+00,4.190226131020092781e-01,3.081498381114942831e+01,1.748316372125861662e+00,7.278981535983792384e+00,7.331768676010455010e+00
2.816538478259253964e+00,2.722300080921846721e-01,3.749649218678167983e+01,2.610048393011385581e+00,1.100466470331477531e+01,1.089212198956084876e+01
1.082566801890284536e+00,8.611368254665998645e-01,3.509303966514616491e+01,4.612293465368491496e+00,4.584238315671731456e+00,4.577305549417164166e+00
3.982379703201067933e+00,6.430629440738991898e-01,3.935407761661382153e+01,1.361317469038538341e+00,5.150910608185048645e+00,5.152560613384252086e+00
2.592333484375927810e+00,9.426180442136213866e-01,3.322753872254956065e+01,1.533215210759822034e+00,4.149736984277656582e+00,4.078469536234146986e+00
4.489116659419313926e+00,4.693187957726123738e-01,2.340088751352698537e+01,2.258522204175875459e+00,7.135553864723213735e+00,7.152194545380115898e+00
4.096263060876168538e+00,7.315383887906796723e-01,3.093877982756107770e+01,3.455452484580371575e+00,6.055039608887692992e+00,6.022475558265523610e+00
2.871747118275734145e+00,8.498351674263596722e-01,3.478567696584178748e+01,2.934927592829909671e+00,4.976612841128254416e+00,5.019735080944041528e+00
5.270262781032095667e+00,1.115895523204227802e-01,2.715808862163426696e+01,3.779403778678308345e+00,2.813193983063915127e+01,2.812566022643743580e+01
3.976743146250918848e+00,3.905685491860829694e-01,3.999554936893591872e+01,1.454053540846412362e+00,7.243663702900813739e+00,7.277121364940286163e+00
4.956508936584644864e+00,4.926068125779605733e-01,2.434525527385284249e+01,4.031004721238394595e+00,8.028526581096295800e+00,8.089468761354856596e+00
2.379870981670621610e+00,9.357430996221234309e-01,3.853260804124460037e+01,4.560074309310651941e+00,4.672087173123559367e+00,4.691233652259232834e+00
3.490181093176505822e+00,8.834399711141265321e-01,2.979867582988480379e+01,2.744627403577357683e+00,4.970303397981899352e+00,4.926517340810756984e+00
1.579632868131143786e+00,1.760574184739038817e-01,3.689549625866003169e+01,1.421459457831786066e+00,1.317192171801728229e+01,1.309620578643204958e+01
5.978776545652453756e+00,9.599132053144154852e-01,3.065704071545718534e+01,4.241833531880916830e+00,5.359347510060561426e+00,5.447016715936380038e+00
1.837685053684799286e+00,6.642134280263434221e-01,3.101225961547442722e+01,3.161472918644460339e+00,5.662028741269378607e+00,5.656464131610002610e+00
1.912771069749064967e+00,1.647402166678756941e-01,3.414347003327996788e+01,4.329342607301451373e+00,1.864301827834133363e+01,1.860859003095961839e+01
9.025453981503128720e-01,7.211100239448793303e-01,3.048143452936064790e+01,2.167364017289594713e+00,5.018835198127310271e+00,5.026048052530351917e+00
1.917917154482051245e+00,8.698263670291208616e-01,2.896940445406998066e+01,3.340675787101059502e+00,4.690377731872099609e+00,4.680807165347967036e+00
4.697206928992292418e+00,3.329697548857467604e-01,2.237501948738558966e+01,2.595858808903143133e-01,5.646044371799405326e+00,5.688651485010039366e+00
4.338414638756947106e+00,3.903954015122391707e-01,3.345451438740145278e+01,1.347217678704188737e+00,7.913840261858212877e+00,7.915536670980068301e+00
1.207702667744432024e+00,3.499234209724630951e-01,3.920086828498652665e+01,1.600463996537809797e+00,7.419254267756870469e+00,7.419941746937791294e+00
2.569311757854518152e+00,7.322566577980984537e-01,3.885251752279070558e+01,4.620545995588296151e+00,5.637881703316907078e+00,5.602152717265258985e+00
2.815067670396046218e+00,7.464512538784170426e-01,2.093947986636191771e+01,3.465135206081471075e+00,5.085124983210394412e+00,5.108603388147769486e+00
4.157413354990783461e+00,7.969143075773192919e-01,2.873424319564428231e+01,3.259523772538996944e-01,3.949183314882887874e+00,3.897489978765138918e+00
3.007609296740618721e+00,9.289370182697580525e-01,3.191446973553994582e+01,2.834828076790594675e+00,4.741486998808539965e+00,4.774781470796738425e+00
3.725850797540422477e+00,2.636454237300664971e-01,2.197494438225159996e+01,2.230939374381077034e+00,1.044643152761356575e+01,1.052262840326307192e+01
5.118265319849182760e+00,7.374231385799129290e-01,3.421265892331902592e+01,3.833750212913980437e+00,6.227173370724457868e+00,6.150939068819500477e+00
4.495604856718037112e+00,6.811326903819647782e-01,2.866726006641156488e+01,1.146416944469981880e+00,5.192377392838206873e+00,5.069065931270641201e+00
2.507539949297074244e+00,3.363589740853287768e-01,2.259656525986639508e+01,1.735529767043977989e+00,7.841130548637500475e+00,7.871974486395216353e+00
2.966179701394663581e+00,9.777776333733367853e-01,2.425295611528043338e+01,9.348382440212832378e-01,3.616463926370584669e+00,3.743858817144741113e+00
2.522347633295036307e+00,5.292642026517383469e-01,2.036685994607025307e+01,3.868316552578099810e+00,6.455445468554512622e+00,6.405399226110917610e+00
1.103540652036832048e+00,9.539447281229963549e-01,2.460214418183923257e+01,2.285945682382289235e+00,3.817981660788366316e+00,3.755446872848267059e+00
1.617828492480681168e+00,9.745964137932960902e-01,3.401052292323471704e+01,1.162825287245557337e+00,3.727785765415529085e+00,3.757234212104552551e+00
2.060935689192720854e+00,9.100432862547674917e-01,2.986771486290083644e+01,2.221910781031662285e+00,4.335970830135697618e+00,4.293934750632781849e+00
2.227736425812662180e+00,5.135368239820838898e-01,2.467568595920169727e+01,2.466802203758305279e+00,6.318471978619729867e+00,6.293170704422893280e+00
2.221763223509657159e+00,3.517991111327698484e-01,2.505505559443442465e+01,4.455546328892029173e+00,9.630279553125744130e+00,9.612873679791555048e+00
3.671848439391236063e+00,6.271857454198239701e-01,2.946644407848150493e+01,1.293800203536348947e+00,5.533304608017360238e+00,5.559904712331950272e+00
5.844294865908651104e+00,5.045822496573748595e-01,3.466592120179974756e+01,4.335331499317707227e-01,5.432857241033116402e+00,5.412592122963460817e+00
4.760652742080526245e+00,5.213814236601148622e-01,3.956747986080051760e+01,1.315535134117879812e+00,5.950880382250344880e+00,5.964774524254353061e+00
4.851236714950428741e+00,3.196732093317361523e-01,2.997468540459653497e+01,3.753204030625643117e-01,7.217403483852507406e+00,7.208576820907828697e+00
4.675976752967689443e+00,8.580277678620550352e-01,2.886546843104919446e+01,3.068449920912361129e-01,3.782526915668559475e+00,3.740293360485979157e+00
3.783432517880660484e+00,7.576516839135530867e-01,2.758302060020299251e+01,1.781296702693018430e+00,5.087663467309023524e+00,5.071672154421862366e+00
5.547307414440020068e+00,8.787786380918860552e-01,3.643081179218958709e+01,3.706861521696583228e+00,5.409232169927887135e+00,5.361712186669491231e+00
4.292965854958945116e+00,5.783849433266750051e-01,3.152297677346412286e+01,3.852269362215408055e+00,7.383427118645427001e+00,7.383752867938914832e+00
3.251960369052790512e+00,1.833973584769750809e-01,3.831619184194134675e+01,4.415379618654426075e+00,1.756910150282102379e+01,1.751290819144274025e+01
9.239609467529631415e-01,8.760780455730832195e-01,3.096425562073585880e+01,4.198766626346151831e+00,4.541509145814847770e+00,4.486864427350085727e+00
3.186470748970381184e+00,1.623260814477510972e-01,2.397838501277511725e+01,4.505191470759169370e+00,1.927268714658600501e+01,1.934553523735126745e+01
1.670570474371838809e+00,2.390644085320299816e-01,2.210230593325765369e+01,1.056697892297846497e+00,8.845673131811661705e+00,8.843013920796394700e+00
1.229829636507329793e+00,9.497081170224868085e-01,3.076083360203553951e+01,9.820475755469794121e-01,3.821812428785476445e+00,3.819117327511874382e+00
3.283357073911551183e+00,6.053542968337597419e-01,2.381329843252990486e+01,1.971665495432941007e-01,4.054704003823365710e+00,4.080280824819246810e+00
4.817969109283274598e+00,7.074976693297517771e-01,3.397065388004541830e+01,2.098614606432374963e+00,5.704918321005692405e+00,5.683875470878248848e+00
2.122535435430357165e+00,8.388934004690409285e-01,3.566011890538701579e+01,2.410151876785852743e+00,4.584042566704899180e+00,4.572615798330991410e+00
4.728244679500415160e+00,6.981014221166079725e-01,3.554802122739046411e+01,9.467930793322459904e-01,4.914494387209821902e+00,4.935751823976417541e+00
3.390962377392397364e+00,4.995741592789587626e-01,2.812478733957547661e+01,4.878230464075270945e+00,8.289716332671643428e+00,8.303837124783862933e+00
1.319764128538919001e+00,5.886994761512277519e-01,3.101691529741720643e+01,1.980689163845567258e+00,5.634814706184466893e+00,5.576849869837845475e+00
5.807322591888546270e+00,4.586354143050422882e-01,2.453331121311631691e+01,1.979724119533669890e+00,7.337850571778192332e+00,7.379517701611675307e+00
2.708999231386846063e+00,6.194713824735301744e-01,3.037853629109698161e+01,2.026112598115075158e+00,5.839251901294232105e+00,5.809730154129780111e+00
2.123788406144826890e+00,1.019863276389749718e-01,3.634514956411340592e+01,9.197432636864560918e-01,1.996252024130904346e+01,1.990971629379333407e+01
5.158491038485513158e+00,5.574394865860680115e-01,3.278421608608252313e+01,3.004658728187957539e+00,7.332418609833951884e+00,7.287394856333999194e+00
1.184531828835138967e+00,1.214396043361678779e-01,3.334321451743434039e+01,6.768792992339941472e-01,1.799063533221201894e+01,1.797110806499425451e+01
4.534747535905368387e+00,1.987047539415781050e-01,3.912276737918140412e+01,4.741718770510850334e+00,1.703831698580369292e+01,1.711968199853484762e+01
1.533036084110075858e+00,8.617314471468695558e-01,2.573527480797159939e+01,2.416333665045678369e+00,4.224211056854784374e+00,4.165434261608745636e+00
2.658704768069203528e+00,6.934475055749024230e-01,3.299141479834055701e+01,3.015122601258055202e+00,5.764477453435434384e+00,5.772481248062151238e+00
1.775449331541761433e+00,2.639510837457715864e-01,3.769309062892411788e+01,1.859970086010096946e+00,9.822563640657481443e+00,9.715672422752952286e+00
5.126753959808127981e+00,7.724822727266466016e-01,2.664380923792620592e+01,1.745005299164629653e+00,5.102861300197283789e+00,5.102782953540024202e+00
2.645410035669239601e+00,5.282049426290583716e-01,2.100898693886276902e+01,4.927887711575671403e+00,6.950656938156919651e+00,6.995635259030719588e+00
5.860810470852590548e+00,2.213616483758160391e-01,2.589631575795718277e+01,6.482023652023006788e-01,9.727349125569729082e+00,9.715515959466657137e+00
3.938938164283086962e+00,9.367171256287287751e-01,2.579669749962118175e+01,7.768187831545395605e-01,3.819536337056910646e+00,3.788068590862743612e+00
4.314925590866034000e+00,2.015245886368615125e-01,2.574484741908916874e+01,2.697374699710076928e+00,1.490129809901912772e+01,1.491287365222205530e+01
3.368388171728296410e+00,1.177685722164628079e-01,3.050772809548600861e+01,1.040070394752629745e+00,1.930127883845804604e+01,1.933628642601557956e+01
2.199325094915751233e+00,3.309415556109355228e-01,3.124737222249435220e+01,1.322993827422019320e-01,6.715871513714094299e+00,6.749054392264964619e+00
2.675560315788358068e+00,1.781739162318101699e-01,2.770296485125791364e+01,3.119382635742562471e+00,1.677836542575116852e+01,1.687698911844765703e+01
5.675138032140459643e+00,1.150493127234121365e-01,2.643995171367241070e+01,1.157695041823042503e-01,1.165364841494803905e+01,1.166410678856485283e+01
1.606617603985654563e+00,6.879176888177989113e-01,3.047216591444612277e+01,3.203367510440553012e+00,5.422264524334822866e+00,5.392644019347176076e+00
5.935203956711167628e+00,2.187659250921625553e-01,3.460123808596772932e+01,1.604245128889709937e+00,1.290443276421180840e+01,1.289813380471247584e+01
4.670682241021001602e+00,6.074918596557891126e-01,2.064979771615145765e+01,3.119402165306431218e+00,6.141531815780794545e+00,6.137906888499803593e+00
2.478828095709356027e+00,3.183308462539780614e-01,3.651470214976293249e+01,2.927832648059029541e+00,9.925476775872624557e+00,9.930913645046530291e+00
4.028324742280817716e+00,9.465851221907588542e-01,2.264868581426942384e+01,4.639560227700587625e+00,4.934811020424494821e+00,4.933309629763023452e+00
2.595398466111981328e+00,2.942703894653253549e-01,3.812804710350971504e+01,1.302427775563089973e+00,8.656346083713573947e+00,8.665044380658384782e+00
2.598211129519560014e+00,5.685892537074144215e-01,2.985346946407944557e+01,4.627643572986256615e+00,7.205855100158660598e+00,7.122312597127905320e+00
3.270916226069912724e+00,7.614885321744907509e-01,3.128510480791459258e+01,2.715865427142122090e+00,5.476268324994896020e+00,5.517749772796897823e+00
5.919755189945739016e-01,3.800169267665280959e-01,3.961648235306294907e+01,1.000776405911801142e-01,7.997556413431383682e+00,7.968819449985332426e+00
3.214643579688678976e+00,8.485654510476953183e-01,3.794436541074945524e+01,2.053100421134397724e+00,4.601466203713988179e+00,4.542808268891636914e+00
5.843791273957884336e+00,3.825810569182682697e-01,2.890174901973325916e+01,3.831871004341784737e-01,6.370098695964930613e+00,6.401986253947002048e+00
2.070058758320681314e+00,4.490740573966923721e-01,2.404566650741782041e+01,3.510489346977563763e+00,7.330453586702175173e+00,7.396319887071479471e+00
4.615198774921366542e+00,4.873494542749644554e-01,3.191499882557406664e+01,3.600654252813453748e+00,8.341474174245817608e+00,8.366125581720789128e+00
2.935338895387722857e+00,4.770047097386247437e-01,2.080369224199947098e+01,1.573990066695650780e+00,5.885662252156980578e+00,5.893720217849256926e+00
1.651045734397819986e+00,6.471492889693730710e-01,2.134146090739504587e+01,1.270322702603495557e+00,4.383644459874730615e+00,4.337033444606133159e+00
5.477514139499712442e+00,3.036210504398477728e-01,2.452588434547223528e+01,2.229349540530973783e+00,1.017299655134449310e+01,1.031657491823516892e+01
5.925500657411715277e-01,3.962926993986669588e-01,2.835500362928871709e+01,3.081648506431918122e+00,8.463649658904577322e+00,8.507662589937652342e+00
2.169299096297308438e+00,3.060748281857633701e-01,3.387410236854915269e+01,7.412467703593914603e-01,8.085303337250678624e+00,8.028338603733530476e+00
5.994642352781656136e+00,3.492507236652024893e-01,2.197825152651607539e+01,1.290776610546984671e+00,7.637896220520523194e+00,7.598914324708536228e+00
1.941807379044942161e+00,7.865040935476048656e-01,3.709707623525875420e+01,4.217747132583310687e+00,5.111199132402560075e+00,5.115548094831154913e+00
5.169744870225995825e+00,6.663400784396815713e-01,2.899555389875415301e+01,2.532729567123499503e+00,6.195720320764180222e+00,6.117983764164381277e+00
3.831257317606373558e+00,9.665103721816310500e-01,2.387835684785590473e+01,1.530395601772269298e+00,4.031902238181426235e+00,4.040333758531952313e+00
4.933196391399180314e+00,9.551170365643434357e-01,3.728898386197680281e+01,2.326338305281928920e-01,3.357356561465303368e+00,3.334402983679665589e+00
3.966747654939130285e+00,2.845769022170552276e-01,3.381757784626558561e+01,1.347495444992870883e+00,9.938516916609176022e+00,9.999830446624986990e+00
2.494832713818166070e+00,2.889514323650310690e-01,3.719684037862268156e+01,3.210691260128591740e+00,1.085737829046830782e+01,1.090548602364972020e+01
