t,n,c,T_fuel,dn_dt
1.190238047609522010e+00,1.636168280104251096e+02,1.037697372161670046e+03,1.579306053633456441e+00,1.301409959195671817e+01
1.200240048009602045e+00,1.637440246404665061e+02,1.047504512904603644e+03,1.594090404452863874e+00,1.242079259482962073e+01
1.210242048409682081e+00,1.638653057410763267e+02,1.057311883467513098e+03,1.608872395544596934e+00,1.183128365789073655e+01
1.220244048809762116e+00,1.639807096883230031e+02,1.067119100184208037e+03,1.623651439380393358e+00,1.124561413925397702e+01
1.230246049209841930e+00,1.640902752146693047e+02,1.076925782299915227e+03,1.638426953019397780e+00,1.066382447401209888e+01
1.240248049609921965e+00,1.641940413970303609e+02,1.086731551997528868e+03,1.653198358147080604e+00,1.008595417158184304e+01
1.250250050010002001e+00,1.642920476567736898e+02,1.096536034397608773e+03,1.667965081075235778e+00,9.512041808555807165e+00
1.260252050410082036e+00,1.643843337597191692e+02,1.106338857558381505e+03,1.682726552741981907e+00,8.942125021444851996e+00
1.270254050810162072e+00,1.644709398161391505e+02,1.116139652475740149e+03,1.697482208711762253e+00,8.376240499835748921e+00
1.280256051210242108e+00,1.645519062807582600e+02,1.125938053083244313e+03,1.712231489175344290e+00,7.814423979505924933e+00
1.290258051610322143e+00,1.646272739527536260e+02,1.135733696252119898e+03,1.726973838949820816e+00,7.256710235892857241e+00
1.300260052010402179e+00,1.646970839757546798e+02,1.145526221791260014e+03,1.741708707478608176e+00,6.703133077679030549e+00
1.310262052410482214e+00,1.647613778378432414e+02,1.155315272447223151e+03,1.756435548831448035e+00,6.153725340434185398e+00
1.320264052810562250e+00,1.648201973715535757e+02,1.165100493904235464e+03,1.771153821704406273e+00,5.608518880605195989e+00
1.330266053210642285e+00,1.648735847538723078e+02,1.174881534784188943e+03,1.785862989419872982e+00,5.067544569521814424e+00
1.340268053610722099e+00,1.649215825062384226e+02,1.184658046646641878e+03,1.800562519926562910e+00,4.530832287617513998e+00
1.350270054010802134e+00,1.649642334945433220e+02,1.194429683988820216e+03,1.815251885799516351e+00,3.998410918880992426e+00
1.360272054410882170e+00,1.650015808480100077e+02,1.204196104313237811e+03,1.829930564332772569e+00,3.470308389846749719e+00
1.370274054810962205e+00,1.650336673548581530e+02,1.213956968800835512e+03,1.844598038498288073e+00,2.946551990446756975e+00
1.380276055211042241e+00,1.650605367551075915e+02,1.223711941440621104e+03,1.859253795797713771e+00,2.427167649801191374e+00
1.390278055611122277e+00,1.650822331786124835e+02,1.233460689254799263e+03,1.873897328518668193e+00,1.912180249154278755e+00
1.400280056011202312e+00,1.650988009204554317e+02,1.243202882455625968e+03,1.888528133943176979e+00,1.401613744271024586e+00
1.410282056411282348e+00,1.651102844409475665e+02,1.252938194445409181e+03,1.903145714347672657e+00,8.954911635728564079e-01
1.420284056811362383e+00,1.651167283656285178e+02,1.262666301816508621e+03,1.917749577002995309e+00,3.938346063946376319e-01
1.430286057211442419e+00,1.651181774852663864e+02,1.272386884351335539e+03,1.932339234174391684e+00,-1.033347586934034723e-01
1.440288057611522454e+00,1.651146767558577437e+02,1.282099625022353393e+03,1.946914203121516529e+00,-5.959966953176234483e-01
1.450290058011602490e+00,1.651062712986276608e+02,1.291804209992076721e+03,1.961474006098431033e+00,-1.084131900707902219e+00
1.460292058411682303e+00,1.650930064000297364e+02,1.301500328613072270e+03,1.976018170353603498e+00,-1.567722007008491403e+00
1.470294058811762339e+00,1.650749275117460115e+02,1.311187673427958316e+03,1.990546228129910666e+00,-2.046749582402007661e+00
1.480296059211842374e+00,1.650520802506870268e+02,1.320865940169404894e+03,2.005057716664635059e+00,-2.521198132140270332e+00
1.490298059611922410e+00,1.650245103989918221e+02,1.330534827760133567e+03,2.019552178189467195e+00,-2.991052099575021828e+00
1.500300060012002445e+00,1.649922639040278796e+02,1.340194038312918337e+03,2.034029159930504260e+00,-3.456296866859823069e+00
1.510302060412082481e+00,1.649553868783912947e+02,1.349843277130583829e+03,2.048488214108250993e+00,-3.916918755764925208e+00
1.520304060812162517e+00,1.649139255999064915e+02,1.359482252706007102e+03,2.062928897937619244e+00,-4.372905028294212570e+00
1.530306061212242552e+00,1.648679265116264787e+02,1.369110676722116978e+03,2.077350773627927971e+00,-4.824243887124936236e+00
1.540308061612322588e+00,1.648174362218327360e+02,1.378728264051893802e+03,2.091753408382903245e+00,-5.270924476090648625e+00
1.550310062012402623e+00,1.647625015040352139e+02,1.388334732758369682e+03,2.106136374400678690e+00,-5.712936880452481603e+00
1.560312062412482659e+00,1.647031692969723906e+02,1.397929804094628480e+03,2.120499248873795040e+00,-6.150272127143203704e+00
1.570314062812562694e+00,1.646394865743930893e+02,1.407513202598117914e+03,2.134841614123264453e+00,-6.582922104371192518e+00
1.580316063212642508e+00,1.645714997904249799e+02,1.417084656716266636e+03,2.149163058524394376e+00,-7.010879227089752419e+00
1.590318063612722543e+00,1.644992559896349178e+02,1.426643898081819543e+03,2.163463175488153034e+00,-7.434137123177180229e+00
1.600320064012802579e+00,1.644228023289946918e+02,1.436190661511225244e+03,2.177741563400912295e+00,-7.852690321693351905e+00
1.610322064412882614e+00,1.643421859651175225e+02,1.445724685061773243e+03,2.191997825701617053e+00,-8.266534179652353487e+00
1.620324064812962650e+00,1.642574540542579200e+02,1.455245710031594854e+03,2.206231570881783011e+00,-8.675664879228968118e+00
1.630326065213042686e+00,1.641686537523118261e+02,1.464753480959662284e+03,2.220442412485498007e+00,-9.080079425006196914e+00
1.640328065613122721e+00,1.640758322148164439e+02,1.474247745625789321e+03,2.234629969109422021e+00,-9.479775641137116793e+00
1.650330066013202757e+00,1.639790365969503796e+02,1.483728255050630878e+03,2.248793864402786280e+00,-9.874752168385576567e+00
1.660332066413282792e+00,1.638783140535336429e+02,1.493194763495682992e+03,2.262933727067393708e+00,-1.026500846117514243e+01
1.670334066813362828e+00,1.637737117390275046e+02,1.502647028463283505e+03,2.277049190857619365e+00,-1.065054478448303144e+01
1.680336067213442863e+00,1.636652768075346671e+02,1.512084810696610930e+03,2.291139894580408676e+00,-1.103136221079908807e+01
1.690338067613522677e+00,1.635530564127991511e+02,1.521507874179685132e+03,2.305205482095280534e+00,-1.140746261689584884e+01
1.700340068013602712e+00,1.634370977082063234e+02,1.530915986137368009e+03,2.319245602314325083e+00,-1.177884868062956514e+01
1.710342068413682748e+00,1.633174478467829545e+02,1.540308917035361901e+03,2.333259909202203719e+00,-1.214552387757331786e+01
1.720344068813762783e+00,1.631941539811971325e+02,1.549686440580210729e+03,2.347248061776149530e+00,-1.250749247779189233e+01
1.730346069213842819e+00,1.630672632637582922e+02,1.559048333719299762e+03,2.361209724105967744e+00,-1.286475954230585472e+01
1.740348069613922855e+00,1.629368227473707407e+02,1.568394376551289497e+03,2.375144565163048060e+00,-1.321733084559152616e+01
1.750350070014002890e+00,1.628028791246724722e+02,1.577724352331207228e+03,2.389052258805017370e+00,-1.356521268690670468e+01
1.760352070414082926e+00,1.626654793567880688e+02,1.587038048112243132e+03,2.402932484849797934e+00,-1.390841235944223087e+01
1.770354070814162961e+00,1.625246703303358800e+02,1.596335254132528689e+03,2.416784928071516347e+00,-1.424693787551062485e+01
1.780356071214242997e+00,1.623804988085182117e+02,1.605615763754451564e+03,2.430609278099824966e+00,-1.458079792384491924e+01
1.790358071614323032e+00,1.622330114311212981e+02,1.614879373464655600e+03,2.444405229419900127e+00,-1.491000186445051412e+01
1.800360072014403068e+00,1.620822547145153578e+02,1.624125882874040826e+03,2.458172481372443041e+00,-1.523455972317286466e+01
1.810362072414482881e+00,1.619282750516544240e+02,1.633355094717763677e+03,2.471910738153679787e+00,-1.555448218643366687e+01
1.820364072814562917e+00,1.617711187120765146e+02,1.642566814855236998e+03,2.485619708815360873e+00,-1.586978059577596412e+01
1.830366073214642952e+00,1.616108318419036323e+02,1.651760852270129362e+03,2.499299107264762121e+00,-1.618046694247149020e+01
1.840368073614722988e+00,1.614474604638416224e+02,1.660937019070365977e+03,2.512948652264682448e+00,-1.648655386210105434e+01
1.850370074014803023e+00,1.612810504771802869e+02,1.670095130488128234e+03,2.526568067433446529e+00,-1.678805462909117097e+01
1.860372074414883059e+00,1.611116476577933270e+02,1.679235004879853477e+03,2.540157081244904358e+00,-1.708498315119033606e+01
1.870374074814963095e+00,1.609392976581384573e+02,1.688356463726235688e+03,2.553715427028429019e+00,-1.737735396402892007e+01
1.880376075215043130e+00,1.607640460072572353e+02,1.697459331632225030e+03,2.567242842968919359e+00,-1.766518222549542116e+01
1.890378075615123166e+00,1.605859381107751744e+02,1.706543436327027848e+03,2.580739072106798648e+00,-1.794848371023418565e+01
1.900380076015203201e+00,1.604050192509017165e+02,1.715608608664106441e+03,2.594203862338015032e+00,-1.822727480408676826e+01
1.910382076415283237e+00,1.602213344957048946e+02,1.724654682438495001e+03,2.607636966119916799e+00,-1.850157242181890638e+01
1.920384076815363272e+00,1.600349285358910265e+02,1.733681494318001796e+03,2.621038140353347146e+00,-1.877139387488109179e+01
1.930386077215443086e+00,1.598458461147749006e+02,1.742688884720796750e+03,2.634407147794628479e+00,-1.903675722819099292e+01
1.940388077615523121e+00,1.596541317842601870e+02,1.751676697023559882e+03,2.647743755788507958e+00,-1.929768107426685475e+01
1.950390078015603157e+00,1.594598298815693624e+02,1.760644777503297746e+03,2.661047736174785516e+00,-1.955418450638487826e+01
1.960392078415683192e+00,1.592629845292436812e+02,1.769592975337344797e+03,2.674318865288313418e+00,-1.980628711187632973e+01
1.970394078815763228e+00,1.590636396351432893e+02,1.778521142603363842e+03,2.687556923958997146e+00,-2.005400896547720180e+01
1.980396079215843264e+00,1.588618388924470253e+02,1.787429134279344908e+03,2.700761697511796733e+00,-2.029737062257159863e+01
1.990398079615923299e+00,1.586576257796526761e+02,1.796316808243605919e+03,2.713932975766722766e+00,-2.053639311261318312e+01
2.000400080016003113e+00,1.584510435605767782e+02,1.805184025274792020e+03,2.727070553038840828e+00,-2.077109793237169555e+01
2.010402080416083148e+00,1.582421352843546174e+02,1.814030649051876935e+03,2.740174228138269719e+00,-2.100150703923534223e+01
2.020404080816163184e+00,1.580309437854404280e+02,1.822856546154161606e+03,2.753243804370179681e+00,-2.122764284458749984e+01
2.030406081216243219e+00,1.578175116836071368e+02,1.831661586061274647e+03,2.766279089534795066e+00,-2.144952820713450592e+01
2.040408081616323255e+00,1.576018813839465338e+02,1.840445641153172801e+03,2.779279895927393440e+00,-2.166718642618675261e+01
2.050410082016403290e+00,1.573840950768692721e+02,1.849208586710139798e+03,2.792246040338305146e+00,-2.188064123505090919e+01
2.060412082416483326e+00,1.571641947381047260e+02,1.857950300912787725e+03,2.805177344052913746e+00,-2.208991679432403998e+01
2.070414082816563361e+00,1.569422220929838829e+02,1.866670664688485203e+03,2.818073632608376400e+00,-2.229503765011733663e+01
2.080416083216643397e+00,1.567182184703398207e+02,1.875369561316964791e+03,2.830934735167531358e+00,-2.249602859352692974e+01
2.090418083616723433e+00,1.564922250756669939e+02,1.884046877697033324e+03,2.843760486524604669e+00,-2.269291492676052258e+01
2.100420084016803468e+00,1.562642828666629100e+02,1.892702503475145704e+03,2.856550725726277662e+00,-2.288572231820698732e+01
2.110422084416883504e+00,1.560344325264839256e+02,1.901336330907701495e+03,2.869305295853656457e+00,-2.307447676807171177e+01
2.120424084816963539e+00,1.558027144637452750e+02,1.909948254861044461e+03,2.882024044022271081e+00,-2.325920460111133536e+01
2.130426085217043575e+00,1.555691688125210987e+02,1.918538172811462346e+03,2.894706821382076800e+00,-2.343993245966657923e+01
2.140428085617123610e+00,1.553338354323443866e+02,1.927105984845188004e+03,2.907353483117452342e+00,-2.361668729642161679e+01
2.150430086017203646e+00,1.550967539082070061e+02,1.935651593658397587e+03,2.919963888447202116e+00,-2.378949636751450925e+01
2.160432086417283681e+00,1.548579635505597025e+02,1.944174904557212130e+03,2.932537900624554439e+00,-2.395838722535863496e+01
2.170434086817363717e+00,1.546175033953120987e+02,1.952675825457696874e+03,2.945075386937162421e+00,-2.412338771166052709e+01
2.180436087217443752e+00,1.543754122038327239e+02,1.961154266885861489e+03,2.957576218707102633e+00,-2.428452595047833285e+01
2.190438087617523788e+00,1.541317284629489279e+02,1.969610141977659396e+03,2.970040271290878220e+00,-2.444183034120153053e+01
2.200440088017603824e+00,1.538864903849469954e+02,1.978043366478989128e+03,2.982467424079414897e+00,-2.459532955164183932e+01
2.210442088417683859e+00,1.536397359075720317e+02,1.986453858745692514e+03,2.994857560498063176e+00,-2.474505251104697123e+01
2.220444088817763451e+00,1.533915026940280768e+02,1.994841539743556268e+03,3.007210568006599249e+00,-2.489102840332883915e+01
2.230446089217843486e+00,1.531418280881877365e+02,2.003206332676691318e+03,3.019526337514804926e+00,-2.503328660669596673e+01
2.240448089617923522e+00,1.528907490754473031e+02,2.011548163029880470e+03,3.031804763449289286e+00,-2.517185665623328816e+01
2.250450090018003557e+00,1.526383024109783264e+02,2.019866959551487980e+03,3.044045745298746386e+00,-2.530676838572051679e+01
2.260452090418083593e+00,1.523845245447919581e+02,2.028162653301259297e+03,3.056249186116057892e+00,-2.543805181697484841e+01
2.270454090818163628e+00,1.521294516187412569e+02,2.036435177619980550e+03,3.068414992470569480e+00,-2.556573714902175709e+01
2.280456091218243664e+00,1.518731194665212456e+02,2.044684468129476727e+03,3.080543074448094831e+00,-2.568985475126254414e+01
2.290458091618323699e+00,1.516155636136689395e+02,2.052910462732613723e+03,3.092633345650912080e+00,-2.581043515655770193e+01
2.300460092018403735e+00,1.513568192775632895e+02,2.061113101613296749e+03,3.104685723197766034e+00,-2.592750905446272469e+01
