t,D,M,dD_dt,dD_dt_noisy
1.980396079215843153e-01,1.930669887404583840e-01,7.345484134235019669e-02,-3.707816366284677478e-02,-3.299262044786211573e-02
2.040408081616323088e-01,1.928439209941431587e-01,7.550887793362623390e-02,-3.726350320536352123e-02,-3.597009721295982981e-02
2.100420084016803302e-01,1.926197292692791441e-01,7.755323062832113201e-02,-3.745269513253111915e-02,-3.612656838777859869e-02
2.160432086417283237e-01,1.923943909897520566e-01,7.958793170216994783e-02,-3.764559599498036591e-02,-3.867360873835529178e-02
2.220444088817763451e-01,1.921678843858836971e-01,8.161301313458545204e-02,-3.784206383807503515e-02,-4.113821417978633793e-02
2.280456091218243386e-01,1.919401884944307024e-01,8.362850660865969732e-02,-3.804195823258293280e-02,-3.770702874413744965e-02
2.340468093618723600e-01,1.917112831585846833e-01,8.563444351116411557e-02,-3.824514030379965596e-02,-3.802711212815656355e-02
2.400480096019203535e-01,1.914811490279720863e-01,8.763085493254946234e-02,-3.845147275915032636e-02,-4.090617686763947658e-02
2.460492098419683749e-01,1.912497675586541934e-01,8.961777166694583074e-02,-3.866081991429634601e-02,-4.002727323785747193e-02
2.520504100820163962e-01,1.910171210131272612e-01,9.159522421216266530e-02,-3.887304771777433388e-02,-3.901713507722878727e-02
2.580516103220644175e-01,1.907831924603223261e-01,9.356324276968872033e-02,-3.908802377419584584e-02,-4.097752702031740024e-02
2.640528105621123833e-01,1.905479657756053713e-01,9.552185724469212935e-02,-3.930561736603704198e-02,-3.950215730174147510e-02
2.700540108021604047e-01,1.903114256407772709e-01,9.747109724602036340e-02,-3.952569947404774298e-02,-3.933473341910883464e-02
2.760552110422084260e-01,1.900735575440736791e-01,9.941099208620020333e-02,-3.974814279631062180e-02,-3.967697032219964781e-02
2.820564112822564473e-01,1.898343477801652524e-01,1.013415707814377814e-01,-3.997282176598098563e-02,-4.098540508260961612e-02
2.880576115223044686e-01,1.895937832944072088e-01,1.032628621852059725e-01,-4.019961255472923739e-02,-3.901211641115759354e-02
2.940588117623524345e-01,1.893518515591685603e-01,1.051748951613223348e-01,-4.042839308773291118e-02,-3.864605917916825312e-02
3.000600120024004558e-01,1.891085411634673141e-01,1.070776980804768602e-01,-4.065904310785670162e-02,-4.001734649872357164e-02
3.060612122424484771e-01,1.888638413691872964e-01,1.089712991349009452e-01,-4.089144414186352688e-02,-4.252790459664414213e-02
3.120624124824964984e-01,1.886177420842487795e-01,1.108557263594774911e-01,-4.112547950955068587e-02,-3.966217494197980115e-02
3.180636127225444643e-01,1.883702338626085104e-01,1.127310076317409315e-01,-4.136103433416751102e-02,-4.236391437110161723e-02
3.240648129625924856e-01,1.881213079042596270e-01,1.145971706718771910e-01,-4.159799555162822793e-02,-3.983967431505226059e-02
3.300660132026405069e-01,1.878709560552317415e-01,1.164542430427236985e-01,-4.183625191855686043e-02,-4.397982675231174726e-02
3.360672134426885282e-01,1.876191708075909126e-01,1.183022521497694157e-01,-4.207569401919965951e-02,-4.024675961294209986e-02
3.420684136827365496e-01,1.873659452994396735e-01,1.201412252411547393e-01,-4.231621427124154788e-02,-4.235634118047251068e-02
3.480696139227845154e-01,1.871112733149169483e-01,1.219711894076716124e-01,-4.255770693056203785e-02,-4.505520471123086734e-02
3.540708141628325367e-01,1.868551492841981354e-01,1.237921715827635244e-01,-4.280006809496643416e-02,-4.342786703890012812e-02
3.600720144028805580e-01,1.865975682834951077e-01,1.256041985425254137e-01,-4.304319570692739794e-02,-4.293499114938430922e-02
3.660732146429285794e-01,1.863385260350561567e-01,1.274072969057037374e-01,-4.328698955537182980e-02,-4.274140687704292008e-02
3.720744148829765452e-01,1.860780189071660207e-01,1.292014931336964156e-01,-4.353135127654771119e-02,-4.549572752642966345e-02
3.780756151230245665e-01,1.858160439141458842e-01,1.309868135305529979e-01,-4.377618435400508490e-02,-4.599093044833547222e-02
3.840768153630725879e-01,1.855525985292429403e-01,1.327632843370041837e-01,-4.402139409045667529e-02,-4.362222502476251207e-02
3.900780156031206092e-01,1.852876803751362655e-01,1.345309319443613594e-01,-4.426688757003635621e-02,-4.520038680379596246e-02
3.960792158431686305e-01,1.850212882276964510e-01,1.362897824033671434e-01,-4.451257380432897814e-02,-4.404156258086852627e-02
4.020804160832165963e-01,1.847534213852571050e-01,1.380398616755177388e-01,-4.475836362654932871e-02,-4.323932458159256836e-02
4.080816163232646177e-01,1.844840796043866749e-01,1.397811956624496477e-01,-4.500416967681334507e-02,-4.830174440951524178e-02
4.140828165633126390e-01,1.842132630998884191e-01,1.415138102059395886e-01,-4.524990639645087853e-02,-4.474113016341564608e-02
4.200840168033606603e-01,1.839409725448004074e-01,1.432377310879045518e-01,-4.549549002159512801e-02,-4.304619608652366508e-02
4.260852170434086261e-01,1.836672090703955484e-01,1.449529840304017991e-01,-4.574083857608211151e-02,-4.633589226482305590e-02
4.320864172834566475e-01,1.833919742661815344e-01,1.466595946956288921e-01,-4.598587186369328811e-02,-4.760750103016842677e-02
4.380876175235046688e-01,1.831152701799008964e-01,1.483575886859236359e-01,-4.623051145977313120e-02,-4.472602380541394751e-02
4.440888177635526901e-01,1.828370993175309489e-01,1.500469915437641077e-01,-4.647468070225343334e-02,-4.596778766983714709e-02
4.500900180036007114e-01,1.825574646432838455e-01,1.517278287517686286e-01,-4.671830468211467247e-02,-4.492653854055955048e-02
4.560912182436486773e-01,1.822763695796065786e-01,1.534001257326958467e-01,-4.696131023331467924e-02,-4.765174165341724138e-02
4.620924184836966986e-01,1.819938180071808964e-01,1.550639078494445988e-01,-4.720362592221349907e-02,-5.016726246965792085e-02
4.680936187237447199e-01,1.817098142649233861e-01,1.567192004050540488e-01,-4.744518203652321048e-02,-4.766520356594571017e-02
4.740948189637927412e-01,1.814243631499855014e-01,1.583660286427036601e-01,-4.768591057381003223e-02,-4.857756687983249416e-02
4.800960192038407071e-01,1.811374699177534242e-01,1.600044177457130290e-01,-4.792574522957589178e-02,-4.637509758548074429e-02
4.860972194438887284e-01,1.808491402818482030e-01,1.616343928375421901e-01,-4.816462138494549683e-02,-4.777735568819119205e-02
4.920984196839367497e-01,1.805593803698706534e-01,1.632559789922397586e-01,-4.840247608436669402e-02,-5.166417454923689923e-02
4.980996199239847710e-01,1.802681959031602055e-01,1.648692014633703073e-01,-4.863924784962050940e-02,-5.102957400982691127e-02
5.041008201640327924e-01,1.799755935560630460e-01,1.664740854174716622e-01,-4.887487697019708005e-02,-4.710729889702256618e-02
5.101020204040808137e-01,1.796815806448109343e-01,1.680706559379463449e-01,-4.910930541101874575e-02,-4.774977537618305123e-02
5.161032206441288350e-01,1.793861647495272049e-01,1.696589381024155296e-01,-4.934247671314776623e-02,-5.062296344496474559e-02
5.221044208841767453e-01,1.790893537142266290e-01,1.712389569827189872e-01,-4.957433597808965503e-02,-4.957643357122421685e-02
5.281056211242247667e-01,1.787911556468155250e-01,1.728107376449152244e-01,-4.980482985184394445e-02,-4.891368274429157281e-02
5.341068213642727880e-01,1.784915789190917035e-01,1.743743051492814000e-01,-5.003390650872489853e-02,-4.909709783703034014e-02
5.401080216043208093e-01,1.781906321667444670e-01,1.759296845503132145e-01,-5.026151563497415625e-02,-4.850903124274545675e-02
5.461092218443688306e-01,1.778883242893546102e-01,1.774769008967251871e-01,-5.048760841218658674e-02,-4.997463715774345949e-02
5.521104220844168520e-01,1.775846644503945027e-01,1.790159792314503506e-01,-5.071213750056917380e-02,-5.090179417850616839e-02
5.581116223244648733e-01,1.772796620772279508e-01,1.805469445916405291e-01,-5.093505702205282371e-02,-5.145275315162851221e-02
5.641128225645128946e-01,1.769733268611102528e-01,1.820698220086660879e-01,-5.115632254327599077e-02,-4.904483694220948542e-02
5.701140228045609160e-01,1.766656687571883100e-01,1.835846365081161280e-01,-5.137589105845782878e-02,-5.587759960861490155e-02
5.761152230446089373e-01,1.763566979845004046e-01,1.850914131097983195e-01,-5.159372097217836822e-02,-5.187103162236104265e-02
5.821164232846568476e-01,1.760464250259763941e-01,1.865901768277390682e-01,-5.180977208208267792e-02,-5.174377187411455942e-02
5.881176235247048689e-01,1.757348606284376280e-01,1.880809526701834877e-01,-5.202400556152428357e-02,-5.487470348326466130e-02
5.941188237647528902e-01,1.754220158025969478e-01,1.895637656395951776e-01,-5.223638394216373326e-02,-5.157075671588764315e-02
6.001200240048009116e-01,1.751079018230587425e-01,1.910386407326565283e-01,-5.244687109653664581e-02,-5.374943312142343305e-02
6.061212242448489329e-01,1.747925302283188376e-01,1.925056029402685831e-01,-5.265543222060518197e-02,-5.093054262797368920e-02
6.121224244848969542e-01,1.744759128207646059e-01,1.939646772475509540e-01,-5.286203381630626141e-02,-5.311321798437491915e-02
6.181236247249449756e-01,1.741580616666749404e-01,1.954158886338420165e-01,-5.306664367410953570e-02,-5.172833719253062956e-02
6.241248249649929969e-01,1.738389890246049840e-01,1.968592620757949607e-01,-5.326923083468942943e-02,-5.083154362434698370e-02
6.301260252050410182e-01,1.735187063379751982e-01,1.982948226309098616e-01,-5.346976528342421014e-02,-5.270390611799726649e-02
6.361272254450889285e-01,1.731972259720318263e-01,1.997225954155291694e-01,-5.366821844799635199e-02,-5.541966073484204391e-02
6.421284256851369499e-01,1.728745607879395019e-01,2.011426055470104390e-01,-5.386456304444488946e-02,-5.689320030785416371e-02
6.481296259251849712e-01,1.725507237396490812e-01,2.025548781496762929e-01,-5.405877293911306308e-02,-5.055200470408031943e-02
6.541308261652329925e-01,1.722257278738974218e-01,2.039594383548146150e-01,-5.425082313005999413e-02,-5.447340751643503509e-02
6.601320264052810138e-01,1.718995863302075489e-01,2.053563113006783569e-01,-5.444068972856373756e-02,-5.581781962383237927e-02
6.661332266453290352e-01,1.715723123408885165e-01,2.067455221324856762e-01,-5.462834994072527511e-02,-5.433983576460362647e-02
6.721344268853770565e-01,1.712439192310355462e-01,2.081270960024198535e-01,-5.481378204918206654e-02,-5.519660471014736780e-02
6.781356271254250778e-01,1.709144204185298610e-01,2.095010580696293478e-01,-5.499696539493948572e-02,-5.329268086651411246e-02
6.841368273654730991e-01,1.705838294140389066e-01,2.108674335002277134e-01,-5.517788035932812141e-02,-5.511002399445392302e-02
6.901380276055210095e-01,1.702521598210161302e-01,2.122262474672937382e-01,-5.535650834609393001e-02,-5.532900917885709424e-02
6.961392278455690308e-01,1.699194253357010631e-01,2.135775251508713335e-01,-5.553283176362835971e-02,-5.696199120569428453e-02
7.021404280856170521e-01,1.695856397471194044e-01,2.149212917379695331e-01,-5.570683400734476043e-02,-5.476769780984977465e-02
7.081416283256650734e-01,1.692508169370829374e-01,2.162575724225625773e-01,-5.587849944220708159e-02,-5.794623288691704704e-02
7.141428285657130948e-01,1.689149708801894467e-01,2.175863924055898013e-01,-5.604781338541625635e-02,-5.471603450588832102e-02
7.201440288057611161e-01,1.685781156438229678e-01,2.189077768949557745e-01,-5.621476208925985096e-02,-5.316688706327958591e-02
7.261452290458091374e-01,1.682402653881534815e-01,2.202217511055301058e-01,-5.637933272412913588e-02,-5.942870480032744207e-02
7.321464292858571588e-01,1.679014343661371922e-01,2.215283402591476380e-01,-5.654151336170870623e-02,-6.147397182441134006e-02
7.381476295259051801e-01,1.675616369235163050e-01,2.228275695846083371e-01,-5.670129295834195476e-02,-5.546753544803331715e-02
7.441488297659530904e-01,1.672208874988191374e-01,2.241194643176773749e-01,-5.685866133857678251e-02,-5.176286570761053085e-02
7.501500300060011117e-01,1.668792006233601743e-01,2.254040497010850186e-01,-5.701360917889443380e-02,-5.901545887663822015e-02
7.561512302460491330e-01,1.665365909212399298e-01,2.266813509845266861e-01,-5.716612799162477943e-02,-5.966751950922875858e-02
7.621524304860971544e-01,1.661930731093450020e-01,2.279513934246630014e-01,-5.731621010905064983e-02,-5.613827224148969924e-02
7.681536307261451757e-01,1.658486619973481568e-01,2.292142022851196836e-01,-5.746384866770391786e-02,-5.914529184782053167e-02
7.741548309661931970e-01,1.655033724877081613e-01,2.304698028364876583e-01,-5.760903759285521120e-02,-5.862108856072868746e-02
7.801560312062412184e-01,1.651572194630470114e-01,2.317182203522342165e-01,-5.775177154367041460e-02,-5.844800647703796842e-02
7.861572314462892397e-01,1.648102170918685216e-01,2.329594801144802829e-01,-5.789204565893699833e-02,-5.682804148635339780e-02
7.921584316863372610e-01,1.644623801410521891e-01,2.341936074793530553e-01,-5.802985600432956914e-02,-5.884046072711580921e-02
7.981596319263851713e-01,1.641137235300102748e-01,2.354206278071850345e-01,-5.816519939185893495e-02,-5.760943371169861132e-02
8.041608321664331926e-01,1.637642621615997829e-01,2.366405664515367491e-01,-5.829807330443512875e-02,-5.865113982222228128e-02
8.101620324064812140e-01,1.634140109221226267e-01,2.378534487591967006e-01,-5.842847588074281950e-02,-6.011781808804602528e-02
8.161632326465292353e-01,1.630629846813254347e-01,2.390593000701815019e-01,-5.855640590033291820e-02,-5.919605841581936090e-02
8.221644328865772566e-01,1.627111982923996336e-01,2.402581457177357105e-01,-5.868186276893121861e-02,-6.058266209926705531e-02
8.281656331266252780e-01,1.623586665919815597e-01,2.414500110283319678e-01,-5.880484650396403112e-02,-5.879181653222453202e-02
8.341668333666732993e-01,1.620054044001522087e-01,2.426349213216709433e-01,-5.892535772030085134e-02,-6.117309017543212657e-02
8.401680336067213206e-01,1.616514265204374579e-01,2.438129019106813067e-01,-5.904339761621409111e-02,-6.122918635480457950e-02
8.461692338467693419e-01,1.612967477398080107e-01,2.449839781015197560e-01,-5.915896795955560838e-02,-5.624504432894509437e-02
8.521704340868172523e-01,1.609413828286793136e-01,2.461481751935710449e-01,-5.927207107414919629e-02,-5.937843951475987869e-02
8.581716343268652736e-01,1.605853465409116665e-01,2.473055184794479555e-01,-5.938270982639903828e-02,-5.949051387734312357e-02
8.641728345669132949e-01,1.602286536138101125e-01,2.484560332449913256e-01,-5.949088761211272780e-02,-5.846781477227749185e-02
8.701740348069613162e-01,1.598713187681245762e-01,2.495997447692699656e-01,-5.959660834353851244e-02,-6.043832234863625447e-02
8.761752350470093376e-01,1.595133567080496972e-01,2.507366783245807418e-01,-5.969987643661546495e-02,-6.015694717157177990e-02
8.821764352870573589e-01,1.591547821212250247e-01,2.518668591764485210e-01,-5.980069679843551256e-02,-5.895039932777169228e-02
8.881776355271053802e-01,1.587956096787347948e-01,2.529903125836262534e-01,-5.989907481491610342e-02,-5.933424313042730269e-02
8.941788357671534015e-01,1.584358540351081257e-01,2.541070637980948899e-01,-5.999501633868221939e-02,-6.231360979254707555e-02
9.001800360072014229e-01,1.580755298283189059e-01,2.552171380650634647e-01,-6.008852767715616716e-02,-5.842184248381684236e-02
9.061812362472493332e-01,1.577146516797858500e-01,2.563205606229688738e-01,-6.017961558085371115e-02,-6.136048546743179399e-02
9.121824364872973545e-01,1.573532341943724711e-01,2.574173567034763188e-01,-6.026828723188509818e-02,-6.238044513251347206e-02
9.181836367273453758e-01,1.569912919603870527e-01,2.585075515314787520e-01,-6.035455023265873242e-02,-6.215550037265683836e-02
9.241848369673933972e-01,1.566288393134613322e-01,2.595911702591821024e-01,-6.043841249189520204e-02,-6.121950318060585122e-02
9.301860372074414185e-01,1.562658904780997726e-01,2.606682380411423083e-01,-6.051988228129323577e-02,-5.726528177204710107e-02
9.361872374474894398e-01,1.559024598493722047e-01,2.617387800925247698e-01,-6.059896834352307415e-02,-6.295004015336463921e-02
9.421884376875374612e-01,1.555385617520457786e-01,2.628028216011150109e-01,-6.067567977282534164e-02,-6.035552798775666028e-02
9.481896379275854825e-01,1.551742104403997236e-01,2.638603877272594489e-01,-6.075002600429917077e-02,-6.502567472048031982e-02
9.541908381676335038e-01,1.548094200982252089e-01,2.649115036038655613e-01,-6.082201680347169848e-02,-6.082515066976209445e-02
9.601920384076814141e-01,1.544442048388254274e-01,2.659561943364014969e-01,-6.089166225606515437e-02,-5.909252942111314216e-02
9.661932386477294354e-01,1.540785787050156508e-01,2.669944850028965200e-01,-6.095897275795916781e-02,-6.143229940208207868e-02
9.721944388877774568e-01,1.537125556691230632e-01,2.680264006539407329e-01,-6.102395900534572648e-02,-6.228266885311241341e-02
9.781956391278254781e-01,1.533461496329869278e-01,2.690519663126850203e-01,-6.108663198507488512e-02,-6.062360985695781218e-02
9.841968393678734994e-01,1.529793744279585033e-01,2.700712069748413824e-01,-6.114700296518853218e-02,-5.974669946288722888e-02
9.901980396079215208e-01,1.526122438149010163e-01,2.710841476086825463e-01,-6.120508348564009105e-02,-5.987776834360528100e-02
9.961992398479695421e-01,1.522447714841897726e-01,2.720908131550422437e-01,-6.126088534919756079e-02,-5.731593764133798008e-02
1.002200440088017563e+00,1.518769710557120178e-01,2.730912285273150997e-01,-6.131442061252739828e-02,-6.089608566785484345e-02
1.008201640328065585e+00,1.515088560788670768e-01,2.740854186114565771e-01,-6.136570157745726423e-02,-6.255052177696313054e-02
1.014202840568113606e+00,1.511404400325662423e-01,2.750734082659831437e-01,-6.141474078241457996e-02,-6.166669916238786547e-02
1.020204040808161627e+00,1.507717363252328302e-01,2.760552223219721046e-01,-6.146155099403885491e-02,-6.160654808527847581e-02
1.026205241048209649e+00,1.504027582948021524e-01,2.770308855830617145e-01,-6.150614519896517585e-02,-6.128867043200893899e-02
1.032206441288257670e+00,1.500335192087215441e-01,2.780004228254510656e-01,-6.154853659577629033e-02,-6.160859222223515758e-02
1.038207641528305691e+00,1.496640322639503640e-01,2.789638587979001993e-01,-6.158873858712116123e-02,-6.124080670932875725e-02
1.044208841768353491e+00,1.492943105869599385e-01,2.799212182217299949e-01,-6.162676477199686975e-02,-6.496846489322709306e-02
1.050210042008401512e+00,1.489243672337336177e-01,2.808725257908224471e-01,-6.166262893819225710e-02,-6.000337102611217471e-02
1.056211242248449533e+00,1.485542151809160771e-01,2.818178061650148392e-01,-6.169634504999450125e-02,-6.284582358783656619e-02
1.062212442488497555e+00,1.481838671944215313e-01,2.827570838860603009e-01,-6.172792717084280706e-02,-6.407424456373685129e-02
1.068213642728545576e+00,1.478133360208828406e-01,2.836903835370123694e-01,-6.175738956502892230e-02,-6.048188724574605352e-02
1.074214842968593597e+00,1.474426343576611953e-01,2.846177296912971166e-01,-6.178474666873582516e-02,-5.915009465396366128e-02
1.080216043208641619e+00,1.470717748092159605e-01,2.855391468760736795e-01,-6.181001305827361902e-02,-6.082395675927473183e-02
1.086217243448689640e+00,1.467007698871047316e-01,2.864546595722339828e-01,-6.183320344335552915e-02,-6.151088481566448912e-02
1.092218443688737661e+00,1.463296320099833903e-01,2.873642922144030720e-01,-6.185433266052169088e-02,-6.371877327126559964e-02
1.098219643928785683e+00,1.459583735036060481e-01,2.882680691909388915e-01,-6.187341566670769011e-02,-5.613028099108069435e-02
1.104220844168833704e+00,1.455870066008250197e-01,2.891660148439323397e-01,-6.189046753295594783e-02,-6.012995029163293453e-02
1.110222044408881725e+00,1.452155434415909052e-01,2.900581534692073249e-01,-6.190550343826703439e-02,-6.418409277895298359e-02
1.116223244648929747e+00,1.448439960729525633e-01,2.909445093163206542e-01,-6.191853866358892206e-02,-6.347781449606841597e-02
1.122224444888977768e+00,1.444723764490569995e-01,2.918251065885620887e-01,-6.192958858594133087e-02,-6.175563008879752375e-02
1.128225645129025789e+00,1.441006964311495608e-01,2.926999694429545107e-01,-6.193866867267331516e-02,-6.504813093666528268e-02
1.134226845369073811e+00,1.437289677875737692e-01,2.935691219902535343e-01,-6.194579447585100984e-02,-6.160853366182997976e-02
1.140228045609121832e+00,1.433572021937714602e-01,2.944325882949478945e-01,-6.195098162677406539e-02,-6.286912473819958325e-02
1.146229245849169853e+00,1.429854112322826165e-01,2.952903923752593363e-01,-6.195424583061774626e-02,-5.950170462998530946e-02
1.152230446089217875e+00,1.426136063927455067e-01,2.961425582031423365e-01,-6.195560286119862481e-02,-6.003129353394213302e-02
1.158231646329265674e+00,1.422417990718967129e-01,2.969891097042845485e-01,-6.195506855586198347e-02,-6.737763943073152295e-02
1.164232846569313695e+00,1.418700005735708813e-01,2.978300707581065243e-01,-6.195265881048794138e-02,-6.186925363843331915e-02
1.170234046809361717e+00,1.414982221087010550e-01,2.986654651977618258e-01,-6.194838957461491769e-02,-6.518332457366229904e-02
1.176235247049409738e+00,1.411264747953184795e-01,2.994953168101368024e-01,-6.194227684667753808e-02,-5.972300084818048943e-02
1.182236447289457759e+00,1.407547696585526031e-01,3.003196493358510355e-01,-6.193433666935731219e-02,-6.159812493110166515e-02
1.188237647529505780e+00,1.403831176306311601e-01,3.011384864692568941e-01,-6.192458512504379897e-02,-6.082777422066980300e-02
1.194238847769553802e+00,1.400115295462300569e-01,3.019518518433810805e-01,-6.191303832662181650e-02,-6.404328778422840873e-02
1.200240048009601823e+00,1.396400161159511710e-01,3.027597689795635261e-01,-6.189971239240546486e-02,-5.824285191641446341e-02
1.206241248249649844e+00,1.392685879617733824e-01,3.035622614187778456e-01,-6.188462348135370661e-02,-5.784447674705281428e-02
1.212242448489697866e+00,1.388972556118786839e-01,3.043593526546773953e-01,-6.186778777435947285e-02,-6.399732985961190113e-02
1.218243648729745887e+00,1.385260294977081197e-01,3.051510661205346087e-01,-6.184922146657247100e-02,-6.110359122283983563e-02
1.224244848969793908e+00,1.381549199539616468e-01,3.059374251892411078e-01,-6.182894076349935986e-02,-6.317554562027972997e-02
1.230246049209841930e+00,1.377839372185983013e-01,3.067184531733074815e-01,-6.180696187720105539e-02,-6.185410175092252022e-02
1.236247249449889951e+00,1.374130914328360598e-01,3.074941733248633402e-01,-6.178330102258490497e-02,-6.431457498103403114e-02
1.242248449689937972e+00,1.370423926411518945e-01,3.082646088356575387e-01,-6.175797441379017594e-02,-5.802368338462893932e-02
1.248249649929985994e+00,1.366718507912818292e-01,3.090297828370578426e-01,-6.173099826066463791e-02,-6.366935728282997753e-02
1.254250850170034015e+00,1.363014757342207728e-01,3.097897184000512616e-01,-6.170238876533046257e-02,-6.229455639532545386e-02
1.260252050410082036e+00,1.359312772242227407e-01,3.105444385352436609e-01,-6.167216211883787963e-02,-6.066919625661683357e-02
1.266253250650129836e+00,1.355612649188006891e-01,3.112939661928602053e-01,-6.164033449790436853e-02,-6.293545585473662995e-02
1.272254450890177857e+00,1.351914483787265420e-01,3.120383242627449705e-01,-6.160692206173800506e-02,-6.208554692120261259e-02
1.278255651130225878e+00,1.348218370680312750e-01,3.127775355743612762e-01,-6.157194094894306857e-02,-6.269922064179700438e-02
1.284256851370273900e+00,1.344524403540048318e-01,3.135116228967912977e-01,-6.153540727450605707e-02,-6.180232878417864228e-02
1.290258051610321921e+00,1.340832675071961244e-01,3.142406089387364543e-01,-6.149733712686077797e-02,-6.383842239706138955e-02
1.296259251850369942e+00,1.337143277014131160e-01,3.149645163485172428e-01,-6.145774656503055766e-02,-6.233372271623515565e-02
1.302260452090417964e+00,1.333456300137227102e-01,3.156833677140731265e-01,-6.141665161584605043e-02,-6.183043746527053935e-02
1.308261652330465985e+00,1.329771834244508344e-01,3.163971855629627017e-01,-6.137406827123723096e-02,-6.204152027884549808e-02
1.314262852570514006e+00,1.326089968171824118e-01,3.171059923623636978e-01,-6.133001248559761392e-02,-6.121663257581002465e-02
1.320264052810562028e+00,1.322410789787613061e-01,3.178098105190728107e-01,-6.128450017321955545e-02,-6.187070461193299592e-02
1.326265253050610049e+00,1.318734385992904601e-01,3.185086623795058691e-01,-6.123754720579900612e-02,-5.973112438892024673e-02
1.332266453290658070e+00,1.315060842740194691e-01,3.192025702276470867e-01,-6.118916941051814884e-02,-6.183556126208980541e-02
1.338267653530706092e+00,1.311390245397898446e-01,3.198915562418842007e-01,-6.113938257699084999e-02,-6.141268176958261660e-02
1.344268853770754113e+00,1.307722678039982822e-01,3.205756425661757669e-01,-6.108820243482873669e-02,-6.241776510682044143e-02
