t,x,v,z,dv_dt,dv_dt_noisy
5.201040208041608076e-02,9.966688548761279964e-01,-1.271000300902055680e-01,3.273919319459897906e-03,-2.385553976646160645e+00,-2.387183076126091041e+00
5.601120224044808804e-02,9.961412853518241128e-01,-1.366259059942558363e-01,3.787375452576298429e-03,-2.376428703763552530e+00,-2.381249896890352158e+00
6.001200240048009532e-02,9.955756777523311341e-01,-1.461152515024887188e-01,4.336743488064863372e-03,-2.367293386406744027e+00,-2.361304924280397621e+00
6.401280256051210260e-02,9.949721782734357589e-01,-1.555680337986367900e-01,4.921734132833054109e-03,-2.358152125126629972e+00,-2.357754904051813316e+00
6.801360272054410294e-02,9.943309332746121942e-01,-1.649842375362696456e-01,5.542059090221997629e-03,-2.349008308438933046e+00,-2.351932875948584023e+00
7.201440288057611716e-02,9.936520891035933722e-01,-1.743638577848329041e-01,6.197431221478456008e-03,-2.339864653167711861e+00,-2.347683737791280478e+00
7.601520304060811750e-02,9.929357921293394673e-01,-1.837069015404154682e-01,6.887564514632430954e-03,-2.330723242116508942e+00,-2.333295164522697807e+00
8.001600320064013172e-02,9.921821886680388669e-01,-1.930133804895261540e-01,7.612174148167674508e-03,-2.321585571459993336e+00,-2.321504149654809890e+00
8.401680336067213206e-02,9.913914249671704759e-01,-2.022833099753313935e-01,8.370976505321205477e-03,-2.312452595130903621e+00,-2.315208624183897168e+00
8.801760352070414628e-02,9.905636472055031616e-01,-2.115167089976554282e-01,9.163689174083323313e-03,-2.303324769685634710e+00,-2.290384131541652657e+00
9.201840368073614662e-02,9.896990014937150359e-01,-2.207135998036903468e-01,9.990030945286559536e-03,-2.294202100037116221e+00,-2.284134856884058262e+00
9.601920384076814696e-02,9.887976338575150681e-01,-2.298740018970284738e-01,1.084972180994370206e-02,-2.285084189218355100e+00,-2.312195814008014771e+00
1.000200040008001612e-01,9.878596902189250573e-01,-2.389979341319074801e-01,1.174248298347222060e-02,-2.275970281077340118e+00,-2.294860413537016974e+00
1.040208041608321615e-01,9.868853164648192511e-01,-2.480854108506081457e-01,1.266803682568418653e-02,-2.266859306599344315e+00,-2.268607027519895958e+00
1.080216043208641757e-01,9.858746584565404314e-01,-2.571364403855216363e-01,1.362610682656381633e-02,-2.257749926540160157e+00,-2.261971830655923554e+00
1.120224044808961761e-01,9.848278620298992481e-01,-2.661510250591492266e-01,1.461641760626744557e-02,-2.248640570995915411e+00,-2.246504141020929435e+00
1.160232046409281903e-01,9.837450729951744410e-01,-2.751291611841025220e-01,1.563869491512354798e-02,-2.239529476854643431e+00,-2.237356257544417915e+00
1.200240048009601906e-01,9.826264371404642706e-01,-2.840708390219843782e-01,1.669266562984728433e-02,-2.230414722987605902e+00,-2.209236335437095633e+00
1.240248049609922049e-01,9.814721003782888031e-01,-2.929760401928148683e-01,1.777805758434620673e-02,-2.221294265224893927e+00,-2.232414472851816711e+00
1.280256051210242052e-01,9.802822086588118822e-01,-3.018447373006723500e-01,1.889459966165690091e-02,-2.212165966469813227e+00,-2.215942016541083248e+00
1.320264052810562194e-01,9.790569080708260152e-01,-3.106768946072425153e-01,2.004202168915873369e-02,-2.203027624173200305e+00,-2.182599908098277197e+00
1.360272054410882059e-01,9.777963449253675998e-01,-3.194724674015936849e-01,2.122005434598045470e-02,-2.193876996167716253e+00,-2.187409966205697831e+00
1.400280056011202201e-01,9.765006657557161462e-01,-3.282314020001770860e-01,2.242842916300025538e-02,-2.184711823360502958e+00,-2.178081189636740245e+00
1.440288057611522343e-01,9.751700173173951658e-01,-3.369536357468265186e-01,2.366687852284570306e-02,-2.175529850067472015e+00,-2.180669913784346825e+00
1.480296059211842485e-01,9.738045465881711715e-01,-3.456390970127585227e-01,2.493513565989377567e-02,-2.166328842085333051e+00,-2.182809593793889391e+00
1.520304060812162350e-01,9.724044007680546775e-01,-3.542877051965722668e-01,2.623293466027085824e-02,-2.157106602613203972e+00,-2.155431955170976632e+00
1.560312062412482492e-01,9.709697273754146485e-01,-3.628993714222998879e-01,2.756001035707033447e-02,-2.147860985997192440e+00,-2.146770845118977089e+00
1.600320064012802634e-01,9.695006744727232562e-01,-3.714739984365638126e-01,2.891609808028325693e-02,-2.138589910496248692e+00,-2.150863431038694262e+00
1.640328065613122499e-01,9.679973904054304246e-01,-3.800114787368387148e-01,3.030093394259085124e-02,-2.129291368894511205e+00,-2.136123635512316987e+00
1.680336067213442641e-01,9.664600240179778146e-01,-3.885116979785843139e-01,3.171425460873114610e-02,-2.119963435619534486e+00,-2.120683872416806892e+00
1.720344068813762783e-01,9.648887246694992648e-01,-3.969745351453299320e-01,3.315579727852385056e-02,-2.110604273845082979e+00,-2.120051790075690779e+00
1.760352070414082926e-01,9.632836422338212357e-01,-4.053998625486745500e-01,3.462529968687039911e-02,-2.101212141286798119e+00,-2.102194840965320388e+00
1.800360072014402790e-01,9.616449270994620324e-01,-4.137875458282868069e-01,3.612250010375392395e-02,-2.091785394758669980e+00,-2.090830564483975529e+00
1.840368073614722932e-01,9.599727301696321380e-01,-4.221374439519050559e-01,3.764713733423931397e-02,-2.082322493613885328e+00,-2.081966631243330479e+00
1.880376075215043075e-01,9.582672028622347682e-01,-4.304494092153373641e-01,3.919895071847311757e-02,-2.072822002187441726e+00,-2.077884918770585010e+00
1.920384076815362939e-01,9.565284971098915179e-01,-4.387232872430706920e-01,4.077768013165408018e-02,-2.063282591350838580e+00,-2.057345110632980312e+00
1.960392078415683081e-01,9.547567655602798853e-01,-4.469589204726401865e-01,4.238306576453187285e-02,-2.053703037816190680e+00,-2.044791368273367382e+00
2.000400080016003224e-01,9.529521616245048010e-01,-4.551561461805913034e-01,4.401484807146061745e-02,-2.044082225567436684e+00,-2.040873742521771117e+00
2.040408081616323366e-01,9.511148393030146586e-01,-4.633147955860517087e-01,4.567276796170292169e-02,-2.034419145355647274e+00,-2.042601447629550204e+00
2.080416083216643230e-01,9.492449532960844927e-01,-4.714346973396600360e-01,4.735656667822857324e-02,-2.024712891945328774e+00,-2.017396369107474552e+00
2.120424084816963373e-01,9.473426590038163120e-01,-4.795156775235662194e-01,4.906598579771458135e-02,-2.014962662661693216e+00,-2.019977062846363580e+00
2.160432086417283515e-01,9.454081125261386553e-01,-4.875575596514314380e-01,5.080076723054512133e-02,-2.005167755550220754e+00,-1.996376149367340869e+00
2.200440088017603657e-01,9.434414706628068137e-01,-4.955601646684278383e-01,5.256065322081157620e-02,-1.995327567210847253e+00,-2.006045441379621597e+00
2.240448089617923522e-01,9.414428909134029411e-01,-5.035233109512389227e-01,5.434538634631251586e-02,-1.985441590362896136e+00,-1.976296918331608365e+00
2.280456091218243664e-01,9.394125314773359436e-01,-5.114468143080592721e-01,5.615470951855371790e-02,-1.975509411191052278e+00,-1.975710045737206988e+00
2.320464092818563806e-01,9.373505512538413686e-01,-5.193304879785949346e-01,5.798836598274813986e-02,-1.965530706517219173e+00,-1.978018195420563341e+00
2.360472094418883671e-01,9.352571098950978046e-01,-5.271741449631908161e-01,5.984609925294179233e-02,-1.955505239655256355e+00,-1.958644234374924853e+00
2.400480096019203813e-01,9.331323679344165622e-01,-5.349775988602946120e-01,6.172765297366167303e-02,-1.945432857248640790e+00,-1.944891834460925395e+00
2.440488097619523955e-01,9.309764866493072111e-01,-5.427406605144251550e-01,6.363277107890170925e-02,-1.935313487664903853e+00,-1.932585574273259388e+00
2.480496099219844097e-01,9.287896280512185632e-01,-5.504631415228983249e-01,6.556119779042648976e-02,-1.925147135779616381e+00,-1.934969017029026128e+00
2.520504100820163962e-01,9.265719548860569255e-01,-5.581448542843370220e-01,6.751267761704334014e-02,-1.914933879760534419e+00,-1.926007610232186362e+00
2.560512102420484104e-01,9.243236306341860997e-01,-5.657856119986719445e-01,6.948695535460236439e-02,-1.904673867874636661e+00,-1.902678022546165915e+00
2.600520104020804246e-01,9.220448195104277156e-01,-5.733852286671412557e-01,7.148377608599640332e-02,-1.894367315309692268e+00,-1.899034811478490292e+00
2.640528105621124388e-01,9.197356864640607865e-01,-5.809435190922901393e-01,7.350288518116104841e-02,-1.884014501025708999e+00,-1.881659444908406753e+00
2.680536107221444531e-01,9.173963971788222649e-01,-5.884602988779714661e-01,7.554402829707465572e-02,-1.873615764649240178e+00,-1.866020569424456488e+00
2.720544108821764118e-01,9.150271180729065978e-01,-5.959353844293453495e-01,7.760695137775833197e-02,-1.863171503421384934e+00,-1.879659377084894389e+00
2.760552110422084260e-01,9.126280162791492456e-01,-6.033685937271074939e-01,7.969140066799755562e-02,-1.852682168709746113e+00,-1.850138287544569993e+00
2.800560112022404402e-01,9.101992596735993812e-01,-6.107597484110841579e-01,8.179712266777687535e-02,-1.842148261977581525e+00,-1.829901792302224273e+00
2.840568113622724544e-01,9.077410169596673573e-01,-6.181086705460967501e-01,8.392386407541274629e-02,-1.831570334021955349e+00,-1.834545602465660119e+00
2.880576115223044686e-01,9.052534575075191769e-01,-6.254151848292709426e-01,8.607137193283458110e-02,-1.820948980490255442e+00,-1.829057126322631177e+00
2.920584116823364829e-01,9.027367513436224122e-01,-6.326791188279800027e-01,8.823939363423143056e-02,-1.810284839030940063e+00,-1.802762400759144068e+00
2.960592118423684971e-01,9.001910691507472029e-01,-6.399003029798449038e-01,9.042767692605195584e-02,-1.799578586694065230e+00,-1.797044121531983896e+00
3.000600120024004558e-01,8.976165822679653683e-01,-6.470785705927339926e-01,9.263596990700442846e-02,-1.788830937417764222e+00,-1.779872106709988522e+00
3.040608121624324700e-01,8.950134626906509627e-01,-6.542137578447634327e-01,9.486402102805688297e-02,-1.778042639601729924e+00,-1.781494796702242756e+00
3.080616123224644842e-01,8.923818830704799421e-01,-6.613057037842969832e-01,9.711157909243681163e-02,-1.767214473768089933e+00,-1.782032656505311952e+00
3.120624124824964984e-01,8.897220167154307191e-01,-6.683542503299456650e-01,9.937839325563144199e-02,-1.756347250309509889e+00,-1.757447357956622325e+00
3.160632126425285127e-01,8.870340375846553771e-01,-6.753592423068109918e-01,1.016642130297647079e-01,-1.745441807288798719e+00,-1.749900088818911126e+00
3.200640128025605269e-01,8.843181201474653585e-01,-6.823205288158685766e-01,1.039687883989899586e-01,-1.734499007179140406e+00,-1.726745768958664717e+00
3.240648129625925411e-01,8.815744396240468017e-01,-6.892379621724350480e-01,1.062918696068390484e-01,-1.723519736142789416e+00,-1.721583407659017961e+00
3.280656131226244998e-01,8.788031718495679101e-01,-6.961113980014007607e-01,1.086332072855688141e-01,-1.712504901686424219e+00,-1.728813394010775273e+00
3.320664132826565140e-01,8.760044931701452819e-01,-7.029406958032398123e-01,1.109925525473958868e-01,-1.701455430215905285e+00,-1.713407061016937183e+00
3.360672134426885282e-01,8.731785804428440212e-01,-7.097257189540095990e-01,1.133696569844966223e-01,-1.690372265283347053e+00,-1.681534374917474484e+00
3.400680136027205425e-01,8.703256110356775155e-01,-7.164663347053517040e-01,1.157642726690071150e-01,-1.679256365910350102e+00,-1.672458715736171664e+00
3.440688137627525567e-01,8.674457628276076582e-01,-7.231624141844911202e-01,1.181761521530232395e-01,-1.668108704985198143e+00,-1.674511138644283026e+00
3.480696139227845709e-01,8.645392142085448484e-01,-7.298138323942365835e-01,1.206050484686006508e-01,-1.656930267731733686e+00,-1.656940755697406509e+00
3.520704140828165851e-01,8.616061440793478798e-01,-7.364204682129807944e-01,1.230507151277546868e-01,-1.645722050247589330e+00,-1.641266314709827423e+00
3.560712142428485438e-01,8.586467318518238301e-01,-7.429822043946997523e-01,1.255129061224604936e-01,-1.634485058109408362e+00,-1.629801014750935639e+00
3.600720144028805580e-01,8.556611574203816240e-01,-7.494989276124109923e-01,1.279913759484773428e-01,-1.623220304941384251e+00,-1.614457882980240733e+00
3.640728145629125723e-01,8.526496009732242864e-01,-7.559705289433158448e-01,1.304858797604692144e-01,-1.611928810359195330e+00,-1.609363954086979742e+00
3.680736147229445865e-01,8.496122433521005046e-01,-7.623969034832285274e-01,1.329961730683128507e-01,-1.600611599951061281e+00,-1.601559883340746282e+00
3.720744148829766007e-01,8.465492658029686313e-01,-7.687779503920344482e-01,1.355220119545187674e-01,-1.589269703434856185e+00,-1.591858184082734606e+00
3.760752150430086149e-01,8.434608499041607033e-01,-7.751135729676188468e-01,1.380631531353723740e-01,-1.577904153333598680e+00,-1.567346725328266244e+00
3.800760152030406291e-01,8.403471775663815535e-01,-7.814036786458657957e-01,1.406193539609340293e-01,-1.566515983939890999e+00,-1.589024526690676398e+00
3.840768153630725879e-01,8.372084310327098100e-01,-7.876481790006585326e-01,1.431903724150389856e-01,-1.555106230331263273e+00,-1.556492783582176687e+00
3.880776155231046021e-01,8.340447928785967857e-01,-7.938469897438799050e-01,1.457759671152975556e-01,-1.543675927434306150e+00,-1.543345926394465550e+00
3.920784156831366163e-01,8.308564460118676998e-01,-8.000000307254118148e-01,1.483758973130948899e-01,-1.532226109135554903e+00,-1.546479598744256778e+00
3.960792158431686305e-01,8.276435736727207892e-01,-8.061072259331352186e-01,1.509899228935910609e-01,-1.520757807437127518e+00,-1.517429671305747130e+00
4.000800160032006447e-01,8.244063594337275314e-01,-8.121685034929306823e-01,1.536178043757211731e-01,-1.509272051655205171e+00,-1.515784861779639003e+00
4.040808161632326589e-01,8.211449871964400238e-01,-8.181837956643731591e-01,1.562593029149289270e-01,-1.497769867653333531e+00,-1.489145419690176109e+00
4.080816163232646732e-01,8.178596409531044831e-01,-8.241530385777555701e-01,1.589141804941631986e-01,-1.486252276666201633e+00,-1.487508197506544949e+00
4.120824164832966874e-01,8.145505050941336256e-01,-8.300761727126054756e-01,1.615821996751946044e-01,-1.474720295127972758e+00,-1.468028762720078317e+00
4.160832166433286461e-01,8.112177643352407319e-01,-8.359531427131501324e-01,1.642631236616673984e-01,-1.463174933946197021e+00,-1.450986497894484861e+00
4.200840168033606603e-01,8.078616035370110859e-01,-8.417838971366095047e-01,1.669567164452917807e-01,-1.451617197581312801e+00,-1.447787901754178153e+00
4.240848169633926745e-01,8.044822077049027520e-01,-8.475683884531957091e-01,1.696627428058435916e-01,-1.440048083475333085e+00,-1.448805294909561558e+00
4.280856171234246887e-01,8.010797619892459087e-01,-8.533065730461136811e-01,1.723809683111645619e-01,-1.428468581511763702e+00,-1.443611767828810066e+00
4.320864172834567030e-01,7.976544516852431821e-01,-8.589984112115605086e-01,1.751111593171622016e-01,-1.416879673505363924e+00,-1.399345832330200157e+00
4.360872174434887172e-01,7.942064622329697565e-01,-8.646438671587262093e-01,1.778530829678098002e-01,-1.405282332720407368e+00,-1.406395254652282656e+00
4.400880176035207314e-01,7.907359792173728197e-01,-8.702429090097931752e-01,1.806065071951465373e-01,-1.393677523416172681e+00,-1.400563172892515862e+00
4.440888177635526901e-01,7.872431883682723397e-01,-8.757955087999361732e-01,1.833712007192772053e-01,-1.382066200418448965e+00,-1.380623629537840680e+00
4.480896179235847043e-01,7.837282755603602880e-01,-8.813016424773228996e-01,1.861469330483726814e-01,-1.370449308715888437e+00,-1.372363422020714818e+00
4.520904180836167185e-01,7.801914267963102612e-01,-8.867612898525798482e-01,1.889334744912678776e-01,-1.358827783069130657e+00,-1.350306360427003805e+00
4.560912182436487328e-01,7.766328279408920565e-01,-8.921744337914023770e-01,1.917305963558235959e-01,-1.347202547492295066e+00,-1.346863265667924026e+00
4.600920184036807470e-01,7.730526651484924683e-01,-8.975410614805569010e-01,1.945380706315246178e-01,-1.335574515210457225e+00,-1.335437019374273060e+00
4.640928185637127612e-01,7.694511246678091831e-01,-9.028611638719227228e-01,1.973556701367727984e-01,-1.323944588199061689e+00,-1.331090385409391397e+00
4.680936187237447754e-01,7.658283927135479674e-01,-9.081347353028220715e-01,2.001831686147127753e-01,-1.312313656811984863e+00,-1.307617975824509893e+00
4.720944188837767341e-01,7.621846554664224449e-01,-9.133617734960201018e-01,2.030203407332318299e-01,-1.300682599515880611e+00,-1.311021266739430535e+00
4.760952190438087483e-01,7.585200990731536530e-01,-9.185422795597253387e-01,2.058669620849601922e-01,-1.289052282642473291e+00,-1.282393388244833510e+00
4.800960192038407626e-01,7.548349096464708197e-01,-9.236762579875892332e-01,2.087228091872707081e-01,-1.277423560158008842e+00,-1.262184185028107475e+00
4.840968193638727768e-01,7.511292732651104753e-01,-9.287637166587060511e-01,2.115876594822789780e-01,-1.265797273449100979e+00,-1.281044133830092413e+00
4.880976195239047910e-01,7.474033759738175631e-01,-9.338046668376134285e-01,2.144612913368434404e-01,-1.254174251124262396e+00,-1.278836543437775530e+00
4.920984196839368052e-01,7.436574037833442175e-01,-9.387991231742919274e-01,2.173434840425652048e-01,-1.242555308830430194e+00,-1.236386521278886930e+00
4.960992198439688194e-01,7.398915426704506526e-01,-9.437471037041649247e-01,2.202340178157881634e-01,-1.230941249083849165e+00,-1.205462270929017921e+00
5.001000200040007782e-01,7.361059785779050513e-01,-9.486486298480991675e-01,2.231326737975989905e-01,-1.219332861114684974e+00,-1.229342109603403843e+00
5.041008201640327924e-01,7.323008972922450122e-01,-9.535037258583095587e-01,2.260392341340867473e-01,-1.207730920779777506e+00,-1.220237878367797402e+00
5.081016203240648066e-01,7.284764843979740778e-01,-9.583124184974441961e-01,2.289534820080837696e-01,-1.196136190533335419e+00,-1.190246501195530771e+00
5.121024204840968208e-01,7.246329256327157520e-01,-9.630747386666878018e-01,2.318752014078005741e-01,-1.184549419140443316e+00,-1.192956635041026336e+00
5.161032206441288350e-01,7.207704065566301610e-01,-9.677907200165165591e-01,2.348041773434777491e-01,-1.172971341651724897e+00,-1.178031596491092348e+00
5.201040208041608492e-01,7.168891125384611041e-01,-9.724603988857674075e-01,2.377401958565301121e-01,-1.161402679322434794e+00,-1.164883853989272522e+00
5.241048209641928635e-01,7.129892287555356090e-01,-9.770838143016378208e-01,2.406830440195468213e-01,-1.149844139537268495e+00,-1.144524118674350444e+00
5.281056211242248777e-01,7.090709401937641543e-01,-9.816610079796856958e-01,2.436325099362913471e-01,-1.138296415745096990e+00,-1.142349439359028107e+00
5.321064212842568919e-01,7.051344316476404472e-01,-9.861920243238300188e-01,2.465883827417014451e-01,-1.126760187403205604e+00,-1.123981359002403924e+00
5.361072214442889061e-01,7.011798877202416458e-01,-9.906769104263496439e-01,2.495504526018892111e-01,-1.115236119930644865e+00,-1.117001452519580607e+00
5.401080216043209203e-01,6.972074928232283586e-01,-9.951157160678847369e-01,2.525185107141409979e-01,-1.103724864670304395e+00,-1.112171575706820459e+00
5.441088217643528235e-01,6.932174311768444230e-01,-9.995084937174355533e-01,2.554923493069173324e-01,-1.092227058859358779e+00,-1.095425321436791055e+00
5.481096219243848378e-01,6.892098868099171272e-01,-1.003855298532363216e+00,2.584717616398534701e-01,-1.080743325607737448e+00,-1.090247322259416674e+00
5.521104220844168520e-01,6.851850435598569877e-01,-1.008156188358389382e+00,2.614565420037584520e-01,-1.069274273884291526e+00,-1.069209124025594093e+00
5.561112222444488662e-01,6.811430850287920613e-01,-1.012411223461919363e+00,2.644464857430455784e-01,-1.057820498579496338e+00,-1.069059160855152735e+00
5.601120224044808804e-01,6.770841943890819614e-01,-1.016620465195203105e+00,2.674413893551993993e-01,-1.046382580912305960e+00,-1.057311524605258457e+00
5.641128225645128946e-01,6.730085548256965478e-01,-1.020783978603108988e+00,2.704410502661199200e-01,-1.034961087803949908e+00,-1.020391469650897331e+00
5.681136227245449088e-01,6.689163492664650379e-01,-1.024901831004875641e+00,2.734452669694198979e-01,-1.023556572169553647e+00,-1.024088414372607003e+00
5.721144228845769231e-01,6.648077603209999742e-01,-1.028974091640868949e+00,2.764538390577211402e-01,-1.012169573028876668e+00,-1.012708593283597081e+00
5.761152230446089373e-01,6.606829702806972238e-01,-1.033000831672582942e+00,2.794665672226547826e-01,-1.000800615539664484e+00,-9.956852513404882421e-01
5.801160232046409515e-01,6.565421611187360895e-01,-1.036982124182638687e+00,2.824832532548612329e-01,-9.894502110365244185e-01,-9.936587810620131078e-01
5.841168233646729657e-01,6.523855144900789771e-01,-1.040918044174785173e+00,2.855037000439900607e-01,-9.781188570750907196e-01,-9.804042107498722736e-01
5.881176235247049799e-01,6.482132117314719499e-01,-1.044808668573898869e+00,2.885277115787000524e-01,-9.668070374812687273e-01,-9.625555501279496884e-01
5.921184236847369942e-01,6.440254338614442853e-01,-1.048654076225984166e+00,2.915550929466594332e-01,-9.555152224053480303e-01,-9.526910639829040406e-01
5.961192238447690084e-01,6.398223615803084741e-01,-1.052454347898172493e+00,2.945856503345454236e-01,-9.442438683807885536e-01,-9.558368356501129037e-01
6.001200240048009116e-01,6.356041752701604430e-01,-1.056209566278722978e+00,2.976191910280445718e-01,-9.329934183874917242e-01,-9.246599924207951071e-01
6.041208241648329258e-01,6.313710549948794437e-01,-1.059919815977023339e+00,3.006555234118527542e-01,-9.217643019193728637e-01,-9.276686513522632849e-01
6.081216243248649400e-01,6.271231805001280524e-01,-1.063585183523587441e+00,3.036944569696750640e-01,-9.105569350560683839e-01,-9.211177245592102603e-01
6.121224244848969542e-01,6.228607311949004854e-01,-1.067205757215755613e+00,3.067358022887645697e-01,-8.993717205965888750e-01,-9.083764712965793908e-01
6.161232246449289685e-01,6.185838859730787842e-01,-1.070781625421493910e+00,3.097793710991521010e-01,-8.882090488337387457e-01,-8.921145022772919431e-01
6.201240248049609827e-01,6.142928235753468691e-01,-1.074312879376948526e+00,3.128249761805989571e-01,-8.770692966506996591e-01,-8.607962941044690064e-01
6.241248249649929969e-01,6.099877224138119391e-01,-1.077799612097807280e+00,3.158724314157374535e-01,-8.659528279132104878e-01,-8.777081869624182575e-01
6.281256251250250111e-01,6.056687604922205148e-01,-1.081241917762128857e+00,3.189215518109385639e-01,-8.548599937821020900e-01,-8.532592348567586971e-01
6.321264252850570253e-01,6.013361154059578828e-01,-1.084639891710342363e+00,3.219721534963120302e-01,-8.437911328110800913e-01,-8.651693763919858782e-01
6.361272254450890395e-01,5.969899643420489843e-01,-1.087993630445247994e+00,3.250240537257062523e-01,-8.327465710473698213e-01,-8.327622403788217387e-01
6.401280256051210538e-01,5.926304840791574158e-01,-1.091303231632017035e+00,3.280770708767082877e-01,-8.217266221350889577e-01,-8.127309579603289036e-01
6.441288257651530680e-01,5.882578509875860950e-01,-1.094568794098190745e+00,3.311310244506440181e-01,-8.107315874212406293e-01,-8.130982206418552183e-01
6.481296259251850822e-01,5.838722410292771503e-01,-1.097790417833682142e+00,3.341857350725779829e-01,-7.997617560642019674e-01,-8.060553053030353743e-01
6.521304260852170964e-01,5.794738297578118091e-01,-1.100968203990774441e+00,3.372410244913133237e-01,-7.888174051446070756e-01,-7.865022945040216484e-01
6.561312262452489996e-01,5.750627923184103985e-01,-1.104102254884121725e+00,3.402967155793918397e-01,-7.778987997785101749e-01,-7.708972822670037139e-01
6.601320264052810138e-01,5.706393034479323445e-01,-1.107192673990749165e+00,3.433526323330944319e-01,-7.670061932327344456e-01,-7.603696175225603815e-01
6.641328265653130281e-01,5.662035374748761729e-01,-1.110239565950052576e+00,3.464085998724402149e-01,-7.561398270423030921e-01,-7.364150885030051885e-01
6.681336267253450423e-01,5.617556683193797307e-01,-1.113243036563798638e+00,3.494644444411872386e-01,-7.452999311298609264e-01,-7.432082564064981245e-01
6.721344268853770565e-01,5.572958694841304572e-01,-1.116203192676037181e+00,3.525199934032001714e-01,-7.344867239845261908e-01,-7.404108249820555709e-01
6.761352270454090707e-01,5.528243139482649227e-01,-1.119120140417414255e+00,3.555750751791968978e-01,-7.237004136851599156e-01,-7.249602055850263849e-01
6.801360272054410849e-01,5.483411744112106634e-01,-1.121993987966296347e+00,3.586295193180693008e-01,-7.129411967787125937e-01,-7.136661822349107398e-01
6.841368273654730991e-01,5.438466231746247326e-01,-1.124824844684280789e+00,3.616831564918976394e-01,-7.022092587059507451e-01,-7.011218848711695539e-01
6.881376275255051134e-01,5.393408320810477719e-01,-1.127612820410166306e+00,3.647358184776907652e-01,-6.915047742526334584e-01,-6.918050523849278433e-01
6.921384276855371276e-01,5.348239725139040113e-01,-1.130358025459953231e+00,3.677873381573857348e-01,-6.808279076812320252e-01,-6.790882482922699914e-01
6.961392278455691418e-01,5.302962153975009363e-01,-1.133060570626842845e+00,3.708375495178481418e-01,-6.701788128638761499e-01,-6.868873134700272942e-01
7.001400280056011560e-01,5.257577311970298428e-01,-1.135720567181237595e+00,3.738862876508721733e-01,-6.595576334164618970e-01,-6.512613438560614920e-01
7.041408281656331702e-01,5.212086899185652822e-01,-1.138338126870741540e+00,3.769333887531802763e-01,-6.489645028338455468e-01,-6.547118955230558646e-01
7.081416283256651845e-01,5.166492611090652831e-01,-1.140913361920160130e+00,3.799786901264233796e-01,-6.383995446260652962e-01,-6.501311315905355936e-01
7.121424284856970877e-01,5.120796138563716848e-01,-1.143446385031499757e+00,3.830220301771807834e-01,-6.278628724555215257e-01,-6.214853608591072165e-01
7.161432286457291019e-01,5.074999167892094709e-01,-1.145937309383968206e+00,3.860632484169606027e-01,-6.173545902750536829e-01,-6.041813302011929121e-01
7.201440288057611161e-01,5.029103380771871024e-01,-1.148386248633975093e+00,3.891021854621988796e-01,-6.068747924668569382e-01,-6.019445109718625231e-01
7.241448289657931303e-01,4.983110454307969062e-01,-1.150793316915130315e+00,3.921386830342604157e-01,-5.964235639821787727e-01,-5.948119708437236142e-01
7.281456291258251445e-01,4.937022061014143537e-01,-1.153158628838246047e+00,3.951725839594384393e-01,-5.860009804817345458e-01,-5.953231835354541035e-01
7.321464292858571588e-01,4.890839868812986713e-01,-1.155482299491335185e+00,3.982037321689544940e-01,-5.756071084767943047e-01,-5.468914350986593398e-01
7.361472294458891730e-01,4.844565541000919739e-01,-1.157764444283357674e+00,4.012319726821455546e-01,-5.652420055625987372e-01,-5.564394193559836221e-01
7.401480296059211872e-01,4.798200736233381725e-01,-1.160005177385161623e+00,4.042571514274038713e-01,-5.549057215449679781e-01,-5.662986682483976963e-01
