t,Q,V_a,dQ_dt
7.801560312062412461e-02,4.454019378694101583e+00,1.013343340031893192e+00,-6.658575066017412780e+00
8.001600320064013172e-02,4.440716399808067649e+00,1.013600594913684816e+00,-6.641748210438952249e+00
8.201640328065612495e-02,4.427447039086040981e+00,1.013853797725447148e+00,-6.624963686993906364e+00
8.401680336067213206e-02,4.414211212290076958e+00,1.014102962099998395e+00,-6.608221322245394269e+00
8.601720344068813917e-02,4.401008835577745693e+00,1.014348101630335508e+00,-6.591520944201412213e+00
8.801760352070414628e-02,4.387839825082931355e+00,1.014589229889632849e+00,-6.574862381792589971e+00
9.001800360072013951e-02,4.374704095758969125e+00,1.014826360481662748e+00,-6.558245463442369250e+00
9.201840368073614662e-02,4.361601564565955158e+00,1.015059506887034946e+00,-6.541670020953726628e+00
9.401880376075215373e-02,4.348532149002705793e+00,1.015288682539512877e+00,-6.525135887711859262e+00
9.601920384076814696e-02,4.335495766857871303e+00,1.015513900838261874e+00,-6.508642898371173935e+00
9.801960392078415407e-02,4.322492336209930563e+00,1.015735175147848279e+00,-6.492190888846295138e+00
1.000200040008001612e-01,4.309521775427195500e+00,1.015952518798239890e+00,-6.475779696303163746e+00
1.020204040808161683e-01,4.296584003167805754e+00,1.016165945084806843e+00,-6.459409159150181878e+00
1.040208041608321615e-01,4.283678938379734014e+00,1.016375467268319843e+00,-6.443079117029445690e+00
1.060212042408481686e-01,4.270806500300783348e+00,1.016581098574951936e+00,-6.426789410808037672e+00
1.080216043208641757e-01,4.257966608458586322e+00,1.016782852196277398e+00,-6.410539882569389114e+00
1.100220044008801829e-01,4.245159182670609432e+00,1.016980741289272183e+00,-6.394330375604706518e+00
1.120224044808961761e-01,4.232384143044146896e+00,1.017174778976313254e+00,-6.378160734404473509e+00
1.140228045609121832e-01,4.219641409976324198e+00,1.017364978345180138e+00,-6.362030804650006033e+00
1.160232046409281903e-01,4.206930904154098982e+00,1.017551352449052926e+00,-6.345940433205088382e+00
1.180236047209441835e-01,4.194252546554259276e+00,1.017733914306513832e+00,-6.329889468107668726e+00
1.200240048009601906e-01,4.181606258443422597e+00,1.017912676901546298e+00,-6.313877758561614151e+00
1.220244048809761978e-01,4.168991961378038624e+00,1.018087653183535890e+00,-6.297905154928542970e+00
1.240248049609922049e-01,4.156409577204387418e+00,1.018258856067268958e+00,-6.281971508719712105e+00
1.260252050410081981e-01,4.143859028058580307e+00,1.018426298432933974e+00,-6.266076672587969298e+00
1.280256051210242052e-01,4.131340236366559893e+00,1.018589993126120641e+00,-6.250220500319776384e+00
1.300260052010402123e-01,4.118853124844096492e+00,1.018749952957820337e+00,-6.234402846827284961e+00
1.320264052810562194e-01,4.106397616496794356e+00,1.018906190704426340e+00,-6.218623568140485780e+00
1.340268053610722265e-01,4.093973634620088120e+00,1.019058719107732491e+00,-6.202882521399416760e+00
1.360272054410882059e-01,4.081581102799242800e+00,1.019207550874935420e+00,-6.187179564846427837e+00
1.380276055211042130e-01,4.069219944909353792e+00,1.019352698678632541e+00,-6.171514557818513325e+00
1.400280056011202201e-01,4.056890085115347766e+00,1.019494175156822946e+00,-6.155887360739706438e+00
1.420284056811362272e-01,4.044591447871981771e+00,1.019631992912907181e+00,-6.140297835113528890e+00
1.440288057611522343e-01,4.032323957923843238e+00,1.019766164515687690e+00,-6.124745843515508881e+00
1.460292058411682414e-01,4.020087540305353535e+00,1.019896702499368368e+00,-6.109231249585755030e+00
1.480296059211842485e-01,4.007882120340759968e+00,1.020023619363554346e+00,-6.093753918021584504e+00
1.500300060012002279e-01,3.995707623644144668e+00,1.020146927573252649e+00,-6.078313714570223070e+00
1.520304060812162350e-01,3.983563976119417926e+00,1.020266639558871979e+00,-6.062910506021555790e+00
1.540308061612322421e-01,3.971451103960323081e+00,1.020382767716221828e+00,-6.047544160200931884e+00
1.560312062412482492e-01,3.959368933650432076e+00,1.020495324406514248e+00,-6.032214545962045094e+00
1.580316063212642563e-01,3.947317391963149014e+00,1.020604321956362082e+00,-6.016921533179850456e+00
1.600320064012802634e-01,3.935296405961708821e+00,1.020709772657780068e+00,-6.001664992743555693e+00
1.620324064812962706e-01,3.923305902999176364e+00,1.020811688768184400e+00,-5.986444796549658776e+00
1.640328065613122499e-01,3.911345810718448668e+00,1.020910082510393169e+00,-5.971260817495049444e+00
1.660332066413282570e-01,3.899416056797067043e+00,1.021004966086575205e+00,-5.956112929164097736e+00
1.680336067213442641e-01,3.887516568014888652e+00,1.021096351724905871e+00,-5.941001004697779031e+00
1.700340068013602712e-01,3.875647272589497039e+00,1.021184251549754674e+00,-5.925924919585090933e+00
1.720344068813762783e-01,3.863808099176219812e+00,1.021268677642438893e+00,-5.910884550465327791e+00
1.740348069613922855e-01,3.851998976646037409e+00,1.021349642053802187e+00,-5.895879774855783850e+00
1.760352070414082926e-01,3.840219834085581319e+00,1.021427156804213032e+00,-5.880910471145278429e+00
1.780356071214242719e-01,3.828470600797135415e+00,1.021501233883567172e+00,-5.865976518587748600e+00
1.800360072014402790e-01,3.816751206298635513e+00,1.021571885251285172e+00,-5.851077797295882732e+00
1.820364072814562861e-01,3.805061580323668036e+00,1.021639122836314195e+00,-5.836214188234801981e+00
1.840368073614722932e-01,3.793401652821473569e+00,1.021702958537127337e+00,-5.821385573215806630e+00
1.860372074414883004e-01,3.781771353956941972e+00,1.021763404221723182e+00,-5.806591834890154402e+00
1.880376075215043075e-01,3.770170614110617269e+00,1.021820471727627133e+00,-5.791832856742905378e+00
1.900380076015203146e-01,3.758599363878693644e+00,1.021874172861889862e+00,-5.777108523086797121e+00
1.920384076815362939e-01,3.747057534073018115e+00,1.021924519401087972e+00,-5.762418719056196181e+00
1.940388077615523010e-01,3.735545055721089192e+00,1.021971523091324441e+00,-5.747763330601065590e+00
1.960392078415683081e-01,3.724061860066056884e+00,1.022015195648227737e+00,-5.733142244481013172e+00
1.980396079215843153e-01,3.712607878566723585e+00,1.022055548756952925e+00,-5.718555348259362958e+00
2.000400080016003224e-01,3.701183042897543185e+00,1.022092594072180338e+00,-5.704002530297291429e+00
2.020404080816163295e-01,3.689787284948621959e+00,1.022126343218116906e+00,-5.689483679748002842e+00
2.040408081616323366e-01,3.678420536825717679e+00,1.022156807788494604e+00,-5.674998686550951632e+00
2.060412082416483437e-01,3.667082730850240058e+00,1.022183999346572669e+00,-5.660547441426121651e+00
2.080416083216643230e-01,3.655773799559250303e+00,1.022207929425134942e+00,-5.646129835868338276e+00
2.100420084016803302e-01,3.644493675705461566e+00,1.022228609526492304e+00,-5.631745762141640022e+00
2.120424084816963373e-01,3.633242292257239381e+00,1.022246051122480903e+00,-5.617395113273689233e+00
2.140428085617123444e-01,3.622019582398600335e+00,1.022260265654463263e+00,-5.603077783050229854e+00
2.160432086417283515e-01,3.610825479529214288e+00,1.022271264533327617e+00,-5.588793666009593153e+00
2.180436087217443586e-01,3.599659917264400821e+00,1.022279059139488133e+00,-5.574542657437246973e+00
2.200440088017603657e-01,3.588522829435133232e+00,1.022283660822885132e+00,-5.560324653360394720e+00
2.220444088817763451e-01,3.577414150088036315e+00,1.022285080902984644e+00,-5.546139550542608099e+00
2.240448089617923522e-01,3.566333813485385473e+00,1.022283330668779078e+00,-5.531987246478521136e+00
2.260452090418083593e-01,3.555281754105108938e+00,1.022278421378786328e+00,-5.517867639388553513e+00
2.280456091218243664e-01,3.544257906640787326e+00,1.022270364261050668e+00,-5.503780628213689852e+00
2.300460092018403735e-01,3.533262206001651862e+00,1.022259170513141857e+00,-5.489726112610290087e+00
2.320464092818563806e-01,3.522294587312586600e+00,1.022244851302156032e+00,-5.475703992944960241e+00
2.340468093618723877e-01,3.511354985914127536e+00,1.022227417764715041e+00,-5.461714170289450720e+00
2.360472094418883671e-01,3.500443337362461271e+00,1.022206881006966883e+00,-5.447756546415605250e+00
2.380476095219043742e-01,3.489559577429427240e+00,1.022183252104585272e+00,-5.433831023790355985e+00
2.400480096019203813e-01,3.478703642102516813e+00,1.022156542102770294e+00,-5.419937505570748826e+00
2.420484096819363884e-01,3.467875467584872862e+00,1.022126762016247303e+00,-5.406075895599031789e+00
2.440488097619523955e-01,3.457074990295290196e+00,1.022093922829268253e+00,-5.392246098397760257e+00
2.460492098419684026e-01,3.446302146727347804e+00,1.022058035504544993e+00,-5.378448018999298696e+00
2.480496099219844097e-01,3.435556872692788755e+00,1.022019111027449911e+00,-5.364681562045571894e+00
2.500500100020003891e-01,3.424839105007116302e+00,1.021977160296481779e+00,-5.350946633761672899e+00
2.520504100820163962e-01,3.414148780857768628e+00,1.021932194169287378e+00,-5.337243141216994502e+00
2.540508101620324033e-01,3.403485837596292196e+00,1.021884223476384745e+00,-5.323570992076998465e+00
2.560512102420484104e-01,3.392850212738338644e+00,1.021833259021162954e+00,-5.309930094598627193e+00
2.580516103220644175e-01,3.382241843963664785e+00,1.021779311579882554e+00,-5.296320357625761588e+00
2.600520104020804246e-01,3.371660669116134823e+00,1.021722391901675131e+00,-5.282741690584710881e+00
2.620524104820964317e-01,3.361106626203717695e+00,1.021662510708543525e+00,-5.269194003479746868e+00
2.640528105621124388e-01,3.350579653398489732e+00,1.021599678695361391e+00,-5.255677206888671904e+00
2.660532106421284460e-01,3.340079689036631994e+00,1.021533906529873859e+00,-5.242191211958425967e+00
2.680536107221444531e-01,3.329606671618432046e+00,1.021465204852697539e+00,-5.228735930400729259e+00
2.700540108021604602e-01,3.319160539808283961e+00,1.021393584277319855e+00,-5.215311274487769211e+00
2.720544108821764118e-01,3.308741232434687429e+00,1.021319055390099262e+00,-5.201917157047912355e+00
2.740548109621924189e-01,3.298348688490246872e+00,1.021241628750265695e+00,-5.188553491461464162e+00
2.760552110422084260e-01,3.287982847131675435e+00,1.021161314889920346e+00,-5.175220191656466184e+00
2.780556111222244331e-01,3.277643647679789662e+00,1.021078124314035218e+00,-5.161917172104512730e+00
2.800560112022404402e-01,3.267331029619513494e+00,1.020992067500454015e+00,-5.148644347816627054e+00
2.820564112822564473e-01,3.257044932599876930e+00,1.020903154899891252e+00,-5.135401634339159749e+00
2.840568113622724544e-01,3.246785296434015589e+00,1.020811396935932480e+00,-5.122188947749720889e+00
2.860572114422884615e-01,3.236552061099171151e+00,1.020716804005034950e+00,-5.109006204653157468e+00
2.880576115223044686e-01,3.226345166736690917e+00,1.020619386476526946e+00,-5.095853322177560152e+00
2.900580116023204758e-01,3.216164553652029134e+00,1.020519154692607344e+00,-5.082730217970303777e+00
2.920584116823364829e-01,3.206010162314744782e+00,1.020416118968347163e+00,-5.069636810194127818e+00
2.940588117623524900e-01,3.195881933358504678e+00,1.020310289591687791e+00,-5.056573017523248836e+00
2.960592118423684971e-01,3.185779807581079481e+00,1.020201676823442316e+00,-5.043538759139501337e+00
2.980596119223845042e-01,3.175703725944347688e+00,1.020090290897294860e+00,-5.030533954728529267e+00
3.000600120024004558e-01,3.165653629574293415e+00,1.019976142019800358e+00,-5.017558524475990822e+00
3.020604120824164629e-01,3.155629459761005062e+00,1.019859240370385667e+00,-5.004612389063812117e+00
3.040608121624324700e-01,3.145631157958679314e+00,1.019739596101348234e+00,-4.991695469666472817e+00
3.060612122424484771e-01,3.135658665785618027e+00,1.019617219337856984e+00,-4.978807687947313099e+00
3.080616123224644842e-01,3.125711925024228677e+00,1.019492120177951877e+00,-4.965948966054890334e+00
3.100620124024804913e-01,3.115790877621025246e+00,1.019364308692544130e+00,-4.953119226619357107e+00
3.120624124824964984e-01,3.105895465686627777e+00,1.019233794925415992e+00,-4.940318392748879184e+00
3.140628125625125056e-01,3.096025631495761932e+00,1.019100588893221193e+00,-4.927546388026076585e+00
3.160632126425285127e-01,3.086181317487259435e+00,1.018964700585484717e+00,-4.914803136504507286e+00
3.180636127225445198e-01,3.076362466264058071e+00,1.018826139964601918e+00,-4.902088562705179342e+00
3.200640128025605269e-01,3.066569020593202133e+00,1.018684916965840515e+00,-4.889402591613093207e+00
3.220644128825765340e-01,3.056800923405841086e+00,1.018541041497338373e+00,-4.876745148673812480e+00
3.240648129625925411e-01,3.047058117797231347e+00,1.018394523440105282e+00,-4.864116159790079053e+00
3.260652130426085482e-01,3.037340547026734061e+00,1.018245372648021840e+00,-4.851515551318438924e+00
3.280656131226244998e-01,3.027648154321767038e+00,1.018093598962743096e+00,-4.838943249840709449e+00
3.300660132026405069e-01,3.017980882563536582e+00,1.017939212233134993e+00,-4.826399181792633719e+00
3.320664132826565140e-01,3.008338675413039454e+00,1.017782222228911682e+00,-4.813883274752881469e+00
3.340668133626725211e-01,2.998721476723448909e+00,1.017622638690415027e+00,-4.801395456772855397e+00
3.360672134426885282e-01,2.989129230477050481e+00,1.017460471333626382e+00,-4.788935656301400279e+00
3.380676135227045354e-01,2.979561880785239758e+00,1.017295729850166586e+00,-4.776503802181649050e+00
3.400680136027205425e-01,2.970019371888525050e+00,1.017128423907296186e+00,-4.764099823647899967e+00
3.420684136827365496e-01,2.960501648156525611e+00,1.016958563147915218e+00,-4.751723650322515091e+00
3.440688137627525567e-01,2.951008654087972083e+00,1.016786157190563422e+00,-4.739375212212856070e+00
3.460692138427685638e-01,2.941540334310706939e+00,1.016611215629419807e+00,-4.727054439708243905e+00
3.480696139227845709e-01,2.932096633581683598e+00,1.016433748034303530e+00,-4.714761263576943584e+00
3.500700140028005780e-01,2.922677496786966866e+00,1.016253763950673017e+00,-4.702495614963183357e+00
3.520704140828165851e-01,2.913282868941733383e+00,1.016071272899626177e+00,-4.690257425384199763e+00
3.540708141628325922e-01,2.903912695190271620e+00,1.015886284377900406e+00,-4.678046626727304869e+00
3.560712142428485438e-01,2.894566920805980548e+00,1.015698807857873254e+00,-4.665863151246991691e+00
3.580716143228645509e-01,2.885245491191370526e+00,1.015508852787561311e+00,-4.653706931562055615e+00
3.600720144028805580e-01,2.875948351878064635e+00,1.015316428590620879e+00,-4.641577900652750444e+00
3.620724144828965652e-01,2.866675448526796455e+00,1.015121544666347964e+00,-4.629475991857965766e+00
3.640728145629125723e-01,2.857426726927410510e+00,1.014924210389678061e+00,-4.617401138872438082e+00
3.660732146429285794e-01,2.848202132998864045e+00,1.014724435111186374e+00,-4.605353275743982344e+00
3.680736147229445865e-01,2.839001612789224804e+00,1.014522228157087591e+00,-4.593332336870752819e+00
3.700740148029605936e-01,2.829825112475672810e+00,1.014317598829235667e+00,-4.581338256998527037e+00
3.720744148829766007e-01,2.820672578364498140e+00,1.014110556405124930e+00,-4.569370971218019939e+00
3.740748149629926078e-01,2.811543956891104035e+00,1.013901110137888528e+00,-4.557430414962221121e+00
3.760752150430086149e-01,2.802439194620003793e+00,1.013689269256299541e+00,-4.545516524003758718e+00
3.780756151230246220e-01,2.793358238244822989e+00,1.013475042964770756e+00,-4.533629234452288159e+00
3.800760152030406291e-01,2.784301034588298140e+00,1.013258440443354225e+00,-4.521768482751904017e+00
3.820764152830566363e-01,2.775267530602277155e+00,1.013039470847741708e+00,-4.509934205678582941e+00
3.840768153630725879e-01,2.766257673367720216e+00,1.012818143309264673e+00,-4.498126340337645246e+00
3.860772154430885950e-01,2.757271410094698005e+00,1.012594466934893855e+00,-4.486344824161246692e+00
3.880776155231046021e-01,2.748308688122393040e+00,1.012368450807240139e+00,-4.474589594905886258e+00
3.900780156031206092e-01,2.739369454919099667e+00,1.012140103984553452e+00,-4.462860590649950332e+00
3.920784156831366163e-01,2.730453658082222290e+00,1.011909435500723653e+00,-4.451157749791267548e+00
3.940788157631526234e-01,2.721561245338278479e+00,1.011676454365279643e+00,-4.439481011044702718e+00
3.960792158431686305e-01,2.712692164542896300e+00,1.011441169563390918e+00,-4.427830313439761412e+00
3.980796159231846376e-01,2.703846363680815656e+00,1.011203590055865353e+00,-4.416205596318221183e+00
4.000800160032006447e-01,2.695023790865887392e+00,1.010963724779151418e+00,-4.404606799331795663e+00
4.020804160832166518e-01,2.686224394341074628e+00,1.010721582645336403e+00,-4.393033862439806647e+00
4.040808161632326589e-01,2.677448122478450543e+00,1.010477172542147972e+00,-4.381486725906893476e+00
4.060812162432486661e-01,2.668694923779201478e+00,1.010230503332952390e+00,-4.369965330300736639e+00
4.080816163232646732e-01,2.659964746873623387e+00,1.009981583856756515e+00,-4.358469616489804466e+00
4.100820164032806803e-01,2.651257540487869324e+00,1.009730422931430116e+00,-4.346999525604235970e+00
4.120824164832966874e-01,2.642573253046041071e+00,1.009477029389738822e+00,-4.335554998588026621e+00
4.140828165633126390e-01,2.633911833412107217e+00,1.009221412004460694e+00,-4.324135977015128418e+00
4.160832166433286461e-01,2.625273230707743100e+00,1.008963579510944841e+00,-4.312742402893176674e+00
4.180836167233446532e-01,2.616657394160335048e+00,1.008703540622525097e+00,-4.301374218493832835e+00
4.200840168033606603e-01,2.608064273102982167e+00,1.008441304030520236e+00,-4.290031366350683939e+00
4.220844168833766674e-01,2.599493816974492333e+00,1.008176878404232424e+00,-4.278713789257150069e+00
4.240848169633926745e-01,2.590945975319386640e+00,1.007910272390949213e+00,-4.267421430264427329e+00
4.260852170434086816e-01,2.582420697787896291e+00,1.007641494615941991e+00,-4.256154232679441485e+00
4.280856171234246887e-01,2.573917934135963925e+00,1.007370553682466863e+00,-4.244912140062823802e+00
4.300860172034406959e-01,2.565437634225243624e+00,1.007097458171763993e+00,-4.233695096226912646e+00
4.320864172834567030e-01,2.556979748023100463e+00,1.006822216643058487e+00,-4.222503045233770180e+00
4.340868173634727101e-01,2.548544225602610513e+00,1.006544837633559286e+00,-4.211335931393220378e+00
4.360872174434887172e-01,2.540131017142561731e+00,1.006265329658460494e+00,-4.200193699260909241e+00
4.380876175235047243e-01,2.531740072927452179e+00,1.005983701210940051e+00,-4.189076293636379233e+00
4.400880176035207314e-01,2.523371343347491802e+00,1.005699960762160394e+00,-4.177983659561171237e+00
4.420884176835366830e-01,2.515024778898601987e+00,1.005414116761268462e+00,-4.166915742316943394e+00
4.440888177635526901e-01,2.506700330182414227e+00,1.005126177635395690e+00,-4.155872487423603268e+00
4.460892178435686972e-01,2.498397947906272343e+00,1.004836151789658016e+00,-4.144853840637467535e+00
4.480896179235847043e-01,2.490117582883231595e+00,1.004544047607155655e+00,-4.133859747949438557e+00
4.500900180036007114e-01,2.481859186032056463e+00,1.004249873448972874e+00,-4.122890155583192495e+00
4.520904180836167185e-01,2.473622708377224644e+00,1.003953637654179332e+00,-4.111945009993403843e+00
4.540908181636327257e-01,2.465408101048924827e+00,1.003655348539828074e+00,-4.101024257863963740e+00
4.560912182436487328e-01,2.457215315283055368e+00,1.003355014400957312e+00,-4.090127846106241805e+00
4.580916183236647399e-01,2.449044302421226948e+00,1.003052643510589093e+00,-4.079255721857347083e+00
4.600920184036807470e-01,2.440895013910761691e+00,1.002748244119730403e+00,-4.068407832478419195e+00
4.620924184836967541e-01,2.432767401304692712e+00,1.002441824457372510e+00,-4.057584125552932797e+00
4.640928185637127612e-01,2.424661416261763680e+00,1.002133392730490957e+00,-4.046784548885020705e+00
4.660932186437287683e-01,2.416577010546429705e+00,1.001822957124045788e+00,-4.036009050497810335e+00
4.680936187237447754e-01,2.408514136028857777e+00,1.001510525800981322e+00,-4.025257578631789457e+00
4.700940188037607270e-01,2.400472744684925885e+00,1.001196106902226601e+00,-4.014530081743175494e+00
4.720944188837767341e-01,2.392452788596221680e+00,1.000879708546694724e+00,-4.003826508502310588e+00
4.740948189637927412e-01,2.384454219950046472e+00,1.000561338831283731e+00,-3.993146807792076203e+00
4.760952190438087483e-01,2.376476991039410347e+00,1.000241005830875718e+00,-3.982490928706312161e+00
4.780956191238247555e-01,2.368521054263037051e+00,9.999187175983372811e-01,-3.971858820548269886e+00
4.800960192038407626e-01,2.360586362125359106e+00,9.995944821645192935e-01,-3.961250432829065193e+00
4.820964192838567697e-01,2.352672867236521803e+00,9.992683075382572389e-01,-3.950665715266162614e+00
4.840968193638727768e-01,2.344780522312380988e+00,9.989402017063709893e-01,-3.940104617781865493e+00
4.860972194438887839e-01,2.336909280174503944e+00,9.986101726336648055e-01,-3.929567090501827842e+00
4.880976195239047910e-01,2.329059093750169396e+00,9.982782282629274473e-01,-3.919053083753583522e+00
4.900980196039207981e-01,2.321229916072366173e+00,9.979443765149320633e-01,-3.908562548065082520e+00
4.920984196839368052e-01,2.313421700279795434e+00,9.976086252884360794e-01,-3.898095434163257877e+00
4.940988197639528123e-01,2.305634399493636355e+00,9.972709824753126506e-01,-3.887651692841596507e+00
4.960992198439688194e-01,2.297867966776637960e+00,9.969314559618968064e-01,-3.877231274909134662e+00
4.980996199239847710e-01,2.290122355573862123e+00,9.965900535752242329e-01,-3.866834131658150042e+00
5.001000200040007782e-01,2.282397519433247091e+00,9.962467831207036939e-01,-3.856460214571337364e+00
5.021004200840167853e-01,2.274693411992814607e+00,9.959016523837594947e-01,-3.846109475306967340e+00
5.041008201640327924e-01,2.267009986980668135e+00,9.955546691298304829e-01,-3.835781865697541981e+00
5.061012202440487995e-01,2.259347198214993302e+00,9.952058411043710473e-01,-3.825477337748467654e+00
5.081016203240648066e-01,2.251704999604057456e+00,9.948551760328502302e-01,-3.815195843636737028e+00
5.101020204040808137e-01,2.244083345146210995e+00,9.945026816207522824e-01,-3.804937335709633661e+00
5.121024204840968208e-01,2.236482188929885151e+00,9.941483655535765518e-01,-3.794701766483443706e+00
5.141028205641128279e-01,2.228901485133594207e+00,9.937922354968373728e-01,-3.784489088642185362e+00
5.161032206441288350e-01,2.221341188025935054e+00,9.934342990960640662e-01,-3.774299255036353440e+00
5.181036207241448421e-01,2.213801251965585859e+00,9.930745639768011612e-01,-3.764132218681673692e+00
5.201040208041608492e-01,2.206281631401306509e+00,9.927130377446081733e-01,-3.753987932757874901e+00
5.221044208841768564e-01,2.198782280871940387e+00,9.923497279850596042e-01,-3.743866350607472970e+00
5.241048209641928635e-01,2.191303155006412151e+00,9.919846422637449423e-01,-3.733767425734569656e+00
5.261052210442088706e-01,2.183844208523728625e+00,9.916177881262688842e-01,-3.723691111803663745e+00
5.281056211242248777e-01,2.176405396232979239e+00,9.912491730982512239e-01,-3.713637362638475103e+00
5.301060212042408848e-01,2.168986673033335144e+00,9.908788046853265197e-01,-3.703606132220784275e+00
5.321064212842568919e-01,2.161587993914049655e+00,9.905066903731447603e-01,-3.693597374689280954e+00
5.341068213642728990e-01,2.154209313954457805e+00,9.901328376273705878e-01,-3.683611044338433338e+00
5.361072214442889061e-01,2.146850588323978126e+00,9.897572538936839637e-01,-3.673647095617359692e+00
5.381076215243049132e-01,2.139511772282109980e+00,9.893799465977797247e-01,-3.663705483128722129e+00
5.401080216043209203e-01,2.132192821178435338e+00,9.890009231453680272e-01,-3.653786161627627926e+00
5.421084216843368164e-01,2.124893690452619222e+00,9.886201909221737916e-01,-3.643889086020544177e+00
5.441088217643528235e-01,2.117614335634406153e+00,9.882377572939371468e-01,-3.634014211364224423e+00
5.461092218443688306e-01,2.110354712343625483e+00,9.878536296064132083e-01,-3.624161492864652612e+00
5.481096219243848378e-01,2.103114776290187837e+00,9.874678151853720776e-01,-3.614330885875991051e+00
5.501100220044008449e-01,2.095894483274085562e+00,9.870803213365989537e-01,-3.604522345899544788e+00
5.521104220844168520e-01,2.088693789185393612e+00,9.866911553458942441e-01,-3.594735828582742876e+00
5.541108221644328591e-01,2.081512650004269105e+00,9.863003244790732316e-01,-3.584971289718118292e+00
5.561112222444488662e-01,2.074351021800950878e+00,9.859078359819661852e-01,-3.575228685242314519e+00
5.581116223244648733e-01,2.067208860735759934e+00,9.855136970804186936e-01,-3.565507971235092555e+00
5.601120224044808804e-01,2.060086123059100327e+00,9.851179149802911095e-01,-3.555809103918359249e+00
5.621124224844968875e-01,2.052982765111456942e+00,9.847204968674589942e-01,-3.546132039655194301e+00
5.641128225645128946e-01,2.045898743323397717e+00,9.843214499078127844e-01,-3.536476734948902134e+00
5.661132226445289017e-01,2.038834014215572754e+00,9.839207812472583470e-01,-3.526843146442067756e+00
5.681136227245449088e-01,2.031788534398713431e+00,9.835184980117160913e-01,-3.517231230915620621e+00
