t,Ih,Ev,Iv,dIh_dt,dIh_dt_noisy
6.401280256051210538e-01,5.335367607978978161e-02,1.175153384258346284e-02,1.891355943761979796e-02,4.966614306442307565e-03,5.363835381258897674e-03
6.801360272054410849e-01,5.355201442898277486e-02,1.243527887909693513e-02,1.889687861985464568e-02,4.948752343900174669e-03,2.024184834249288627e-03
7.201440288057612271e-01,5.374968969851727507e-02,1.311334913694702821e-02,1.888572958494043677e-02,4.933459367059222708e-03,-2.885625256509198600e-03
7.601520304060812583e-01,5.394680382424719978e-02,1.378579880566666895e-02,1.888003418376482667e-02,4.920692743607176650e-03,2.348770337418469491e-03
8.001600320064012895e-01,5.414345703270518478e-02,1.445268306260509734e-02,1.887971516439677228e-02,4.910410381795392645e-03,4.991832186978828120e-03
8.401680336067214316e-01,5.433974784482908937e-02,1.511405805269502162e-02,1.888469617819054855e-02,4.902570730553411360e-03,2.146541677559707199e-03
8.801760352070414628e-01,5.453577316577144091e-02,1.576998071360794992e-02,1.889490178801884329e-02,4.897132776337653239e-03,1.783777092031972600e-02
9.201840368073614940e-01,5.473162828942494673e-02,1.642050876731176653e-02,1.891025746850564029e-02,4.894056040979588573e-03,1.496129919403753165e-02
9.601920384076816362e-01,5.492740689842249419e-02,1.706570072007072836e-02,1.893068960602620199e-02,4.893300579813341170e-03,-2.221832420984634626e-02
1.000200040008001556e+00,5.512320108587480394e-02,1.770561582841362683e-02,1.895612549660835242e-02,4.894826977903308368e-03,-1.399530548177341932e-02
1.040208041608321698e+00,5.531910135211712265e-02,1.834031411060320707e-02,1.898649334154963245e-02,4.898596346662109462e-03,3.150875426110489805e-03
1.080216043208641841e+00,5.551519662559289275e-02,1.896985629661920511e-02,1.902172225397420063e-02,4.904570324297619598e-03,6.826662085340842734e-04
1.120224044808961761e+00,5.571157434953220161e-02,1.959430367896800029e-02,1.906174225824461971e-02,4.912711069895929483e-03,7.049141044882040880e-03
1.160232046409281903e+00,5.590832048356262490e-02,2.021371811001677898e-02,1.910648428989328296e-02,4.922981262174435692e-03,7.096200572400072210e-03
1.200240048009602045e+00,5.610551950370921970e-02,2.082816200199351028e-02,1.915588019562239341e-02,4.935344098446565499e-03,2.611373164895704896e-02
1.240248049609921965e+00,5.630325441775711065e-02,2.143769830552699415e-02,1.920986273079007892e-02,4.949763291791130573e-03,-6.170444335131683444e-03
1.280256051210242108e+00,5.650160678067618625e-02,2.204239049398066738e-02,1.926836555240483279e-02,4.966203066308097665e-03,1.190152995038116883e-03
1.320264052810562250e+00,5.670065667427393041e-02,2.264230258075770885e-02,1.933132322728018868e-02,4.984628161030334528e-03,2.541234423595363501e-02
1.360272054410882170e+00,5.690048281981507916e-02,2.323749894633006172e-02,1.939867122292161447e-02,5.005003819627514353e-03,1.147203378164598359e-02
1.400280056011202312e+00,5.710116258542780737e-02,2.382804432734145911e-02,1.947034590666195733e-02,5.027295789127590731e-03,1.165792951289020690e-02
1.440288057611522454e+00,5.730277198610378431e-02,2.441400381660742067e-02,1.954628454566146104e-02,5.051470319453021940e-03,-8.859339742160656644e-05
1.480296059211842374e+00,5.750538568446766224e-02,2.499544286215455921e-02,1.962642530674506280e-02,5.077494162900588956e-03,-1.140325754565593881e-02
1.520304060812162517e+00,5.770907703674504202e-02,2.557242721338083211e-02,1.971070724424676263e-02,5.105334566118974182e-03,6.779982008346385584e-03
1.560312062412482659e+00,5.791391803025510571e-02,2.614502300074983410e-02,1.979907031040676474e-02,5.134959277501798154e-03,6.225100155717273182e-03
1.600320064012802579e+00,5.811997937636196460e-02,2.671329660189379271e-02,1.989145534549782365e-02,5.166336538016054122e-03,-7.107184004429688284e-03
1.640328065613122721e+00,5.832733056590762299e-02,2.727731456924066891e-02,1.998780406800058917e-02,5.199435073980102941e-03,-1.632831543825519725e-03
1.680336067213442863e+00,5.853603986921197128e-02,2.783714363001413977e-02,2.008805907460360640e-02,5.234224096967145246e-03,4.513787299694871358e-03
1.720344068813762783e+00,5.874617433607275813e-02,2.839285068623360192e-02,2.019216384020330532e-02,5.270673303732299753e-03,-4.176842926875473996e-03
1.760352070414082926e+00,5.895779980021730732e-02,2.894450281001899328e-02,2.030006271663047090e-02,5.308752875379721750e-03,4.326053196857549202e-03
1.800360072014403068e+00,5.917098092792900249e-02,2.949216719714294402e-02,2.041170091548070303e-02,5.348433467372001870e-03,6.303263742066545286e-03
1.840368073614722988e+00,5.938578113670703318e-02,3.003591125173196014e-02,2.052702453026892040e-02,5.389686223274835555e-03,5.745548593829692512e-03
1.880376075215043130e+00,5.960226272010996085e-02,3.057580243614066093e-02,2.064598051094048564e-02,5.432482757486979154e-03,3.695661743438310304e-04
1.920384076815363272e+00,5.982048688498745742e-02,3.111190822951445667e-02,2.076851665450347995e-02,5.476795149404082436e-03,1.141427586726231035e-02
1.960392078415683192e+00,6.004051375148035385e-02,3.164429612778955209e-02,2.089458160502868228e-02,5.522595943537931748e-03,1.443426548636121513e-02
2.000400080016003113e+00,6.026240235302059850e-02,3.217303364369294288e-02,2.102412485364957978e-02,5.569858149633556861e-03,8.778341195299193753e-03
2.040408081616323255e+00,6.048621063732344261e-02,3.269818830585883435e-02,2.115709673822339931e-02,5.618555242584307580e-03,-2.563747031318763456e-03
2.080416083216643397e+00,6.071199552150953471e-02,3.321982761388959926e-02,2.129344842199538609e-02,5.668661150505178818e-03,1.298518398835958598e-02
2.120424084816963539e+00,6.093981280723771016e-02,3.373801911706197226e-02,2.143313191957726613e-02,5.720150270345510102e-03,7.057500856749868504e-04
2.160432086417283681e+00,6.116971727922533575e-02,3.425283030775266857e-02,2.157610007296519375e-02,5.772997452764309749e-03,1.456460363564416466e-02
2.200440088017603824e+00,6.140176276920399773e-02,3.476432856105606678e-02,2.172230653156392507e-02,5.827177990473425724e-03,-4.890696178301015377e-03
2.240448089617923522e+00,6.163600215591951564e-02,3.527258113478421581e-02,2.187170575218679372e-02,5.882667618427916793e-03,1.502733964971572980e-02
2.280456091218243664e+00,6.187248736513192848e-02,3.577765516946688346e-02,2.202425299905573161e-02,5.939442513996490841e-03,5.738807967841686418e-03
2.320464092818563806e+00,6.211126936961549466e-02,3.627961768835148704e-02,2.217990434380125858e-02,5.997479297109596479e-03,-6.490009606234557922e-03
2.360472094418883948e+00,6.235239821204430211e-02,3.677853558164340814e-02,2.233861665589728998e-02,6.056755025114507300e-03,2.917760305446029725e-03
2.400480096019204090e+00,6.259592301863001196e-02,3.727447560566583828e-02,2.250034759211083646e-02,6.117247187621944159e-03,6.658269975337383420e-03
2.440488097619524233e+00,6.284189194001260637e-02,3.776750441390112900e-02,2.266505562516779246e-02,6.178933721955180702e-03,8.906847113599718896e-03
2.480496099219843931e+00,6.309035229631115849e-02,3.825768843960415666e-02,2.283269999198883279e-02,6.241792983794075197e-03,-3.580088265615701676e-03
2.520504100820164073e+00,6.334135058667264562e-02,3.874509388861523129e-02,2.300324069001740204e-02,6.305803745284479546e-03,-4.767926726367450151e-03
2.560512102420484215e+00,6.359493248927199083e-02,3.922978673936002719e-02,2.317663847721967985e-02,6.370945195175817602e-03,8.366790523646625011e-03
2.600520104020804357e+00,6.385114286131203520e-02,3.971183274284963149e-02,2.335285487208461561e-02,6.437196938925612670e-03,1.769700770127591825e-03
2.640528105621124499e+00,6.411002573902352397e-02,4.019129742268054417e-02,2.353185215362390420e-02,6.504538998769267624e-03,8.859595116071520074e-03
2.680536107221444198e+00,6.437162437704381512e-02,4.066824605473530474e-02,2.371359334258828569e-02,6.572951803750237861e-03,1.416814702853403003e-02
2.720544108821764340e+00,6.463598121732049007e-02,4.114274369402193959e-02,2.389804221089258940e-02,6.642416195286674797e-03,-9.845457468222809649e-03
2.760552110422084482e+00,6.490313788278490037e-02,4.161485516138486995e-02,2.408516329179812357e-02,6.712913431900269928e-03,9.256794597076442588e-03
2.800560112022404624e+00,6.517313530211971129e-02,4.208464496444042080e-02,2.427492182724199851e-02,6.784425160555861319e-03,1.903089483591318548e-02
2.840568113622724766e+00,6.544601371148711655e-02,4.255217729656888409e-02,2.446728376706804042e-02,6.856933416303197595e-03,3.881664972598465255e-03
2.880576115223044908e+00,6.572181265452882448e-02,4.301751603691452569e-02,2.466221576902676016e-02,6.930420622295019838e-03,-1.177725210080680408e-03
2.920584116823364607e+00,6.600057098236608577e-02,4.348072475038557150e-02,2.485968519877536365e-02,7.004869589764995894e-03,1.452730786156092302e-02
2.960592118423684749e+00,6.628232685359969345e-02,4.394186668765423520e-02,2.505966012987777269e-02,7.080263517964438535e-03,9.614728680045852433e-03
3.000600120024004891e+00,6.656711776721563334e-02,4.440100477291811926e-02,2.526210932660456418e-02,7.156585985121168697e-03,1.611541669289677167e-02
3.040608121624325033e+00,6.685498055036162568e-02,4.485820161896260372e-02,2.546700224581735852e-02,7.233820949692257307e-03,3.781663849179460034e-03
3.080616123224645175e+00,6.714595131957619423e-02,4.531351952857771981e-02,2.567430906242317012e-02,7.311952762981551238e-03,-7.506229974240561167e-03
3.120624124824965318e+00,6.744006561758601748e-02,4.576702042736081888e-02,2.588400060464367616e-02,7.390966134818722708e-03,6.290858487706212955e-03
3.160632126425285016e+00,6.773735841758346532e-02,4.621876586184070490e-02,2.609604835189850702e-02,7.470846132363716946e-03,3.012564602251395149e-03
3.200640128025605158e+00,6.803786412322652966e-02,4.666881699947768303e-02,2.631042443480526363e-02,7.551578179980146001e-03,1.530481640045588607e-02
3.240648129625925300e+00,6.834161656863889378e-02,4.711723462866351797e-02,2.652710163517949665e-02,7.633148059065932023e-03,9.569476542837469790e-03
3.280656131226245442e+00,6.864864901840990463e-02,4.756407915872146869e-02,2.674605338603472729e-02,7.715541907840476644e-03,-8.592950416510536371e-03
3.320664132826565584e+00,6.895899417816918342e-02,4.800941061720660069e-02,2.696725376565322144e-02,7.798746218071040022e-03,-4.152884582960958935e-03
3.360672134426885727e+00,6.927268424153792958e-02,4.845328864518218953e-02,2.719067746855741499e-02,7.882747820241765846e-03,1.672063818611432134e-02
3.400680136027205425e+00,6.958975077792660391e-02,4.889577252441070637e-02,2.741629986900462682e-02,7.967533915495214961e-03,1.476518408967368058e-02
3.440688137627525567e+00,6.991022487507778105e-02,4.933692112157209847e-02,2.764409694832131031e-02,8.053092037786566820e-03,1.650658378701679550e-03
3.480696139227845709e+00,7.023413716698037601e-02,4.977679287947074649e-02,2.787404527987412742e-02,8.139410045953901843e-03,8.128922080281094503e-03
3.520704140828165851e+00,7.056151783386975518e-02,5.021544581703545757e-02,2.810612202906996246e-02,8.226476123449252484e-03,1.268221166121111416e-02
3.560712142428485993e+00,7.089239660222766692e-02,5.065293752931945837e-02,2.834030495335590483e-02,8.314278778027482317e-03,1.299832213650026214e-02
3.600720144028806136e+00,7.122680274478231099e-02,5.108932518750040896e-02,2.857657240221926631e-02,8.402806841392343462e-03,1.716522880253584446e-02
3.640728145629125834e+00,7.156476508050821361e-02,5.152466553888040285e-02,2.881490331718756723e-02,8.492049468799325526e-03,1.105690574101494614e-02
3.680736147229445976e+00,7.190631201185997134e-02,5.195901490352077684e-02,2.905527720876391329e-02,8.581996127182413628e-03,7.633712737497432010e-03
3.720744148829766118e+00,7.225147149299013249e-02,5.239242918790511239e-02,2.929767417256690445e-02,8.672636602966903030e-03,6.084155955088447511e-03
3.760752150430086260e+00,7.260027101117089154e-02,5.282496387234921625e-02,2.954207490588718621e-02,8.763961009419963741e-03,1.932138901475247833e-02
3.800760152030406402e+00,7.295273770526503054e-02,5.325667398635750699e-02,2.978846063905511710e-02,8.855959751869871971e-03,-1.365258299891550578e-02
3.840768153630726545e+00,7.330889836754547750e-02,5.368761410833629288e-02,3.003681313435503306e-02,8.948623526772007258e-03,7.562070275858634276e-03
3.880776155231046243e+00,7.366877944369527864e-02,5.411783836559379973e-02,3.028711468602522661e-02,9.041943321276661727e-03,9.371944361117262937e-03
3.920784156831366385e+00,7.403240703280762613e-02,5.454740043434014307e-02,3.053934812025795725e-02,9.135910412756700905e-03,-5.117579195945175588e-03
3.960792158431686527e+00,7.439980688738584425e-02,5.497635353968734900e-02,3.079349679519944455e-02,9.230516368294734361e-03,1.255865249967520053e-02
4.000800160032006225e+00,7.477100441347425686e-02,5.540475045564731416e-02,3.104954460086449888e-02,9.325753044087906063e-03,2.812942919653966395e-03
4.040808161632326367e+00,7.514602472221378060e-02,5.583264350799293368e-02,3.130747592434311721e-02,9.421612568012964137e-03,1.804606053117042974e-02
4.080816163232646510e+00,7.552489254596352064e-02,5.626008458144323571e-02,3.156727570279189987e-02,9.518087364932001013e-03,8.262166524588729702e-03
4.120824164832966652e+00,7.590763229205285678e-02,5.668712510230415613e-02,3.182892939390739862e-02,9.615170141317332109e-03,1.630670254921185933e-02
4.160832166433286794e+00,7.629426811875324177e-02,5.711381603344509866e-02,3.209242292763542226e-02,9.712853861147908649e-03,2.190128991286013904e-02
4.200840168033606936e+00,7.668482393527825680e-02,5.754020787429890704e-02,3.235774270617105403e-02,9.811131745383862984e-03,1.364042757251858647e-02
4.240848169633927078e+00,7.707932340178363928e-02,5.796635066086185811e-02,3.262487560395863767e-02,9.909997271404520636e-03,1.152785837176066239e-03
4.280856171234247221e+00,7.747778992936719955e-02,5.839229396569369651e-02,3.289380896769178442e-02,1.000944417240967436e-02,-5.133742144636710761e-03
4.320864172834567363e+00,7.788024668006890416e-02,5.881808689791759304e-02,3.316453061631337296e-02,1.010946643678375945e-02,2.764330761194748812e-02
4.360872174434887505e+00,7.828671656703053983e-02,5.924377810323808863e-02,3.343702884090243854e-02,1.021005830736906352e-02,9.097136375493869095e-03
4.400880176035207647e+00,7.869722230225000004e-02,5.966941577273088271e-02,3.371129236972526116e-02,1.031121426422663967e-02,3.425564787883423300e-03
4.440888177635526901e+00,7.911178631523352323e-02,6.009504763914867709e-02,3.398731042413640629e-02,1.041292905059778250e-02,1.185549993120603267e-02
4.480896179235847043e+00,7.953043080432238565e-02,6.052072096733727979e-02,3.426507268742709500e-02,1.051519765703377504e-02,8.601084352207282596e-03
4.520904180836167185e+00,7.995317780606568669e-02,6.094648255848785640e-02,3.454456925687998670e-02,1.061801529791530502e-02,1.913943794004218171e-02
4.560912182436487328e+00,8.038004919522045988e-02,6.137237875013698551e-02,3.482579064376920691e-02,1.072137741082989683e-02,1.106065923520089915e-02
4.600920184036807470e+00,8.081106668475163124e-02,6.179845541616662413e-02,3.510872777336032646e-02,1.082527965591662152e-02,1.096277549210081595e-02
4.640928185637127612e+00,8.124625182583203320e-02,6.222475796680414228e-02,3.539337198491038922e-02,1.092971791517783307e-02,3.783920704848192477e-03
4.680936187237447754e+00,8.168562600784237682e-02,6.265133134862230224e-02,3.567971503166787045e-02,1.103468829175772471e-02,1.573036927923265882e-02
4.720944188837767896e+00,8.212921045837126566e-02,6.307822004453923770e-02,3.596774908087273237e-02,1.114018710918755241e-02,8.015198856377268866e-04
4.760952190438088039e+00,8.257702627391773353e-02,6.350546808295495782e-02,3.625746668937246397e-02,1.124621089932932409e-02,1.790510529696899555e-02
4.800960192038408181e+00,8.302909438400200848e-02,6.393311903649347150e-02,3.654886082843732120e-02,1.135275641325701225e-02,2.659213154315832883e-02
4.840968193638728323e+00,8.348543554023984958e-02,6.436121600684227562e-02,3.684192489681732685e-02,1.145982062622080862e-02,-3.787039754770710198e-03
4.880976195239048465e+00,8.394607040811179199e-02,6.478980164101223738e-02,3.713665265205394472e-02,1.156740070495243349e-02,-1.309489160856074606e-02
4.920984196839367719e+00,8.441101956798874317e-02,6.521891813157101869e-02,3.743303820969302864e-02,1.167549400661298080e-02,1.784428155815617756e-02
4.960992198439687861e+00,8.488030351513198291e-02,6.564860721664304843e-02,3.773107604328482939e-02,1.178409807807717126e-02,3.726307623290843474e-02
5.001000200040008004e+00,8.535394265969317718e-02,6.607891017990949467e-02,3.803076098438400166e-02,1.189321065518831981e-02,1.883962166469382860e-03
5.041008201640328146e+00,8.583195732671433653e-02,6.650986785060826467e-02,3.833208822254956238e-02,1.200282966198381977e-02,-5.041279260360621156e-04
5.081016203240648288e+00,8.631436775612787160e-02,6.694152060353406042e-02,3.863505330534494631e-02,1.211295320989094759e-02,1.800264254769568320e-02
5.121024204840968430e+00,8.680119411195540147e-02,6.737390836272254269e-02,3.893965213038927398e-02,1.222357959330470402e-02,3.816363692721626288e-03
5.161032206441288572e+00,8.729245650380651478e-02,6.780707061618697351e-02,3.924588092364329761e-02,1.233470727908819731e-02,7.274452439720833358e-03
5.201040208041608714e+00,8.778817490653446909e-02,6.824104638228679909e-02,3.955373630888227299e-02,1.244633493704095165e-02,8.965160270203172133e-03
5.241048209641928857e+00,8.828836926069991153e-02,6.867587423595311602e-02,3.986321522742670986e-02,1.255846140253466872e-02,1.787848226545265401e-02
5.281056211242248999e+00,8.879305948777596602e-02,6.911159231377306256e-02,4.017431492548747402e-02,1.267108567004705463e-02,8.618062056115868147e-03
5.321064212842569141e+00,8.930226549014823323e-02,6.954823831398981859e-02,4.048703295416578724e-02,1.278420689241072453e-02,1.556303529321232532e-02
5.361072214442888395e+00,8.981600715111479061e-02,6.998584949650257792e-02,4.080136716945324815e-02,1.289782438003595454e-02,1.113249179110020054e-02
5.401080216043208537e+00,9.033430433488620626e-02,7.042446268286661759e-02,4.111731573223183223e-02,1.301193760010703818e-02,4.565226563591005815e-03
5.441088217643528679e+00,9.085717688658553892e-02,7.086411425629321470e-02,4.143487710827386400e-02,1.312654617575199391e-02,9.928283598319783895e-03
5.481096219243848822e+00,9.138464463224828249e-02,7.130484016164968797e-02,4.175405006824203791e-02,1.324164988518557011e-02,3.737653233506383135e-03
5.521104220844168964e+00,9.191672740285425358e-02,7.174667591956726542e-02,4.207483366359403981e-02,1.335724865026770465e-02,1.342239850896519322e-02
5.561112222444489106e+00,9.245344499613972200e-02,7.218965661451944016e-02,4.239722725714126922e-02,1.347334254928115801e-02,2.234680273624792268e-03
5.601120224044809248e+00,9.299481717540117320e-02,7.263381688244155421e-02,4.272123053074653592e-02,1.358993181912903150e-02,2.660988126176599966e-03
5.641128225645129390e+00,9.354086373977472946e-02,7.307919094129992910e-02,4.304684342181367557e-02,1.370701682644414471e-02,2.827663497949670091e-02
5.681136227245449533e+00,9.409160452475526237e-02,7.352581259134841063e-02,4.337406612279945395e-02,1.382459806660216173e-02,1.329275586354874798e-02
5.721144228845769675e+00,9.464705940219639291e-02,7.397371521512843828e-02,4.370289908121358785e-02,1.394267616292605566e-02,1.340365590820562572e-02
5.761152230446089817e+00,9.520724828031044973e-02,7.442293177746898969e-02,4.403334299961871035e-02,1.406125186586643615e-02,1.917661606504262456e-02
5.801160232046409959e+00,9.577219110366853860e-02,7.487349482548663615e-02,4.436539883563040548e-02,1.418032605215759773e-02,9.971756026668885872e-03
5.841168233646729213e+00,9.634190785320045913e-02,7.532543648858545937e-02,4.469906780191718748e-02,1.429989972394889348e-02,1.201454604916731353e-02
5.881176235247049355e+00,9.691641854650341614e-02,7.577878847866234557e-02,4.503435136586323578e-02,1.441997400776684306e-02,1.867146136108593230e-02
5.921184236847369498e+00,9.749574326337681618e-02,7.623358211095319914e-02,4.537125121806333261e-02,1.454055014022282225e-02,1.736470856266683627e-02
5.961192238447689640e+00,9.807990208234915186e-02,7.668984826823463385e-02,4.570976933442236906e-02,1.466162949385685192e-02,3.068662224532555521e-03
6.001200240048009782e+00,9.866891512456882340e-02,7.714761741589626354e-02,4.604990793929828602e-02,1.478321356007536447e-02,2.311663952677198153e-02
6.041208241648329924e+00,9.926280259258077332e-02,7.760691962462319682e-02,4.639166946576619988e-02,1.490530393124914720e-02,9.000954498358717387e-03
6.081216243248650066e+00,9.986158477032654190e-02,7.806778457039606489e-02,4.673505655561842331e-02,1.502790229990184565e-02,4.467112796759986626e-03
6.121224244848970208e+00,1.004652820231442534e-01,7.853024153449093825e-02,4.708007205936445144e-02,1.515101045787551823e-02,6.146259757885000688e-03
6.161232246449290351e+00,1.010739147977686297e-01,7.899431940347945158e-02,4.742671903623096180e-02,1.527463029547319190e-02,1.136917685191996333e-02
6.201240248049610493e+00,1.016875036223309353e-01,7.946004666922869275e-02,4.777500075416181435e-02,1.539876380057796958e-02,3.167176634680864133e-02
6.241248249649930635e+00,1.023060691063590738e-01,7.992745142890125831e-02,4.812492068981807231e-02,1.552341305774839614e-02,3.768054008540589958e-03
6.281256251250250777e+00,1.029296319410066968e-01,8.039656138515129113e-02,4.847648252827551490e-02,1.564858024716410043e-02,1.724933917250750723e-02
6.321264252850570031e+00,1.035582129170961457e-01,8.086740386639280909e-02,4.882969013337642300e-02,1.577426763148218752e-02,-5.603975949423585512e-03
6.361272254450890173e+00,1.041918328695942142e-01,8.134000578826815209e-02,4.918454760851694724e-02,1.590047758035357389e-02,1.588480824890160445e-02
6.401280256051210316e+00,1.048305127172298595e-01,8.181439367116595529e-02,4.954105926159842882e-02,1.602721255449638532e-02,2.502287672925645676e-02
6.441288257651530458e+00,1.054742734949254690e-01,8.229059366420274357e-02,4.989922956646877794e-02,1.615447508872554921e-02,1.378784186811099835e-02
6.481296259251850600e+00,1.061231363537969152e-01,8.276863154522294541e-02,5.025906316292243214e-02,1.628226779109265970e-02,9.988718552259240671e-03
6.521304260852170742e+00,1.067771225611534730e-01,8.324853272079887900e-02,5.062056485670038408e-02,1.641059334200299646e-02,1.872570398258837504e-02
6.561312262452490884e+00,1.074362535004978608e-01,8.373032222623076615e-02,5.098373961949016070e-02,1.653945449330914558e-02,2.354097200481564817e-02
6.601320264052811027e+00,1.081005506715262549e-01,8.421402472554673224e-02,5.134859258892585793e-02,1.666885406738107325e-02,2.330542977755514084e-02
6.641328265653131169e+00,1.087700356901282611e-01,8.469966451150279241e-02,5.171512906858808517e-02,1.679879495615198282e-02,3.652353349544990024e-02
6.681336267253451311e+00,1.094447302883869155e-01,8.518726550558285149e-02,5.208335452800402776e-02,1.692928012013980923e-02,1.902095484350257645e-02
6.721344268853771453e+00,1.101246563229148628e-01,8.567685127115272359e-02,5.245327458263475406e-02,1.706031257945987353e-02,1.113621158193054891e-02
6.761352270454090707e+00,1.108098357418528940e-01,8.616844499389057777e-02,5.282489502374407286e-02,1.719189542516964472e-02,1.593210352530321713e-02
6.801360272054410849e+00,1.115002905928579591e-01,8.666206947305789277e-02,5.319822182775322400e-02,1.732403182162899069e-02,1.659904636543086884e-02
6.841368273654730991e+00,1.121960430640886047e-01,8.715774715840514386e-02,5.357326109827880573e-02,1.745672498202684164e-02,1.854409881680802938e-02
6.881376275255051134e+00,1.128971154845283820e-01,8.765550015052062105e-02,5.395001906559459409e-02,1.758997816723116212e-02,1.728970003493681198e-02
6.921384276855371276e+00,1.136035303239858463e-01,8.815535020083037354e-02,5.432850208663155683e-02,1.772379468483178955e-02,1.946345407379382331e-02
6.961392278455691418e+00,1.143153101930945575e-01,8.865731871159823752e-02,5.470871664497784642e-02,1.785817788815848711e-02,1.149677282007360163e-03
7.001400280056011560e+00,1.150324778433130524e-01,8.916142673592585000e-02,5.509066935087880701e-02,1.799313117527386735e-02,2.628942073567429663e-02
7.041408281656331702e+00,1.157550561669248718e-01,8.966769497775263498e-02,5.547436694123695361e-02,1.812865798794051353e-02,1.238126529873018883e-02
7.081416283256651845e+00,1.164830681970385334e-01,9.017614379185577567e-02,5.585981627961200680e-02,1.826476181056204545e-02,6.533174846091798285e-03
7.121424284856971987e+00,1.172165371089721048e-01,9.068679318720128391e-02,5.624702435062258615e-02,1.840144616692562796e-02,2.477895776333998573e-02
7.161432286457292129e+00,1.179554862081477334e-01,9.119966283398754647e-02,5.663599824520119258e-02,1.853871461365388940e-02,3.171197468751470877e-02
7.201440288057612271e+00,1.186999389057298987e-01,9.171477202321341726e-02,5.702674522406014218e-02,1.867657076377328765e-02,2.360685225876771320e-02
7.241448289657931525e+00,1.194499187626608117e-01,9.223213970863475275e-02,5.741927265044821649e-02,1.881501825898561700e-02,2.042661139744082061e-02
7.281456291258251667e+00,1.202054494950539204e-01,9.275178451409277214e-02,5.781358797824569934e-02,1.895406076395394351e-02,9.631857710234422235e-03
7.321464292858571810e+00,1.209665549741937712e-01,9.327372473351400184e-02,5.820969875196436299e-02,1.909370196523015734e-02,4.780937534336514305e-02
7.361472294458891952e+00,1.217332592265361613e-01,9.379797833091031711e-02,5.860761260674744733e-02,1.923394557015510598e-02,2.803653177677018632e-02
7.401480296059212094e+00,1.225055864337080413e-01,9.432456294037890043e-02,5.900733726836970838e-02,1.937479530573063199e-02,7.981848602300873827e-03
7.441488297659532236e+00,1.232835609325075577e-01,9.485349586610229700e-02,5.940888055323736983e-02,1.951625491746309879e-02,1.171987575506565349e-02
7.481496299259852378e+00,1.240672072149040378e-01,9.538479408234834533e-02,5.981225036838816456e-02,1.965832816817766893e-02,2.052812065389671148e-02
7.521504300860172521e+00,1.248565499280380187e-01,9.591847423347026058e-02,6.021745471149129308e-02,1.980101883680289443e-02,4.253707516843032582e-03
7.561512302460492663e+00,1.256516138703789032e-01,9.645455264078139912e-02,6.062450165559799681e-02,1.994433071143740868e-02,2.163063478154255218e-02
7.601520304060812805e+00,1.264524239601939326e-01,9.699304528446696383e-02,6.103339937133026027e-02,2.008826759682547092e-02,1.549755203969787991e-02
7.641528305661132947e+00,1.272590052547856176e-01,9.753396779597285626e-02,6.144415614701399103e-02,2.023283332027699111e-02,3.249553932343916818e-02
7.681536307261453089e+00,1.280713829701020379e-01,9.807733549122470140e-02,6.185678032976978796e-02,2.037803170795459903e-02,2.999957834423706837e-02
