t,g,b,c,dg_dt,dg_dt_noisy
2.880576115223044617e-02,8.834669122478316927e-01,7.170846002094313776e-02,1.324824144374162592e-02,-3.748075532770118734e+00,-3.763713702017255525e+00
3.040608121624324700e-02,8.774937835182680113e-01,7.536707283091254039e-02,1.392015341842143573e-02,-3.716887887080322805e+00,-3.722031731892700090e+00
3.200640128025605130e-02,8.715703461498726101e-01,7.899332410603145116e-02,1.458570057489304295e-02,-3.685973441680022944e+00,-3.685810598069656052e+00
3.360672134426885560e-02,8.656961647584618946e-01,8.258748190137442380e-02,1.524493772041166095e-02,-3.655329843762683772e+00,-3.660841901868671311e+00
3.520704140828165296e-02,8.598708077183297993e-01,8.614981200325039223e-02,1.589791918295043252e-02,-3.624954760239474716e+00,-3.599073483951510610e+00
3.680736147229445726e-02,8.540938471394968756e-01,8.968057794318111398e-02,1.654469881419777522e-02,-3.594845877621215546e+00,-3.574711391315099629e+00
3.840768153630726156e-02,8.483648587750307613e-01,9.318004105114076341e-02,1.718533000242151651e-02,-3.565000901549649548e+00,-3.619224151128968892e+00
4.000800160032006586e-02,8.426834222722010548e-01,9.664846029820146900e-02,1.781986563990418243e-02,-3.535417558125581561e+00,-3.573197823044934829e+00
4.160832166433287016e-02,8.370491208483057388e-01,1.000860925018437486e-01,1.844835816454801214e-02,-3.506093592187204067e+00,-3.509589034028307353e+00
4.320864172834566752e-02,8.314615412282344575e-01,1.034931923649512892e-01,1.907085956798733675e-02,-3.477026766982204808e+00,-3.485470575213732047e+00
4.480896179235847182e-02,8.259202736444678505e-01,1.068700124758109882e-01,1.968742139558856546e-02,-3.448214864169276250e+00,-3.443942004219303854e+00
4.640928185637127612e-02,8.204249118370786631e-01,1.102168033081128151e-01,2.029809474645018902e-02,-3.419655683819506020e+00,-3.415309245199054544e+00
4.800960192038407348e-02,8.149750530537307469e-01,1.135338132209499640e-01,2.090293027340278664e-02,-3.391347044417621248e+00,-3.348990269316600266e+00
4.960992198439687778e-02,8.095702980496796153e-01,1.168212884588187978e-01,2.150197818300902258e-02,-3.363286782863110336e+00,-3.385527198116955905e+00
5.121024204840968208e-02,8.042102509655630893e-01,1.200794732251271868e-01,2.209528825187142068e-02,-3.335472753838943483e+00,-3.343024853981483524e+00
5.281056211242248638e-02,7.988945195219983031e-01,1.233086095553592304e-01,2.268290980223552911e-02,-3.307902830859635657e+00,-3.267047398709788997e+00
5.441088217643529068e-02,7.936227149292314209e-01,1.265089373783612470e-01,2.326489171290855792e-02,-3.280574905775666128e+00,-3.267640845851629283e+00
5.601120224044808804e-02,7.883944516563790028e-01,1.296806946609422306e-01,2.384128244911311659e-02,-3.253486887557111906e+00,-3.240225620109586480e+00
5.761152230446089234e-02,7.832093474314110182e-01,1.328241174078847453e-01,2.441213006248952808e-02,-3.226636702295154091e+00,-3.236916829728903267e+00
5.921184236847369664e-02,7.780670232411501797e-01,1.359394396619449386e-01,2.497748219109583584e-02,-3.200022293203540702e+00,-3.232983796620653827e+00
6.081216243248649400e-02,7.729671033312724981e-01,1.390268935038525555e-01,2.553738605940778991e-02,-3.173641620619904735e+00,-3.170292325735450056e+00
6.241248249649929830e-02,7.679092152063068388e-01,1.420867090523108833e-01,2.609188847831887120e-02,-3.147492662006953879e+00,-3.145312380250522732e+00
6.401280256051210260e-02,7.628929896287446333e-01,1.451191144645445352e-01,2.664103584525674695e-02,-3.121573411948862287e+00,-3.146120453033753872e+00
6.561312262452489996e-02,7.579180604728468218e-01,1.481243360233330808e-01,2.718487416373253224e-02,-3.095881881400768698e+00,-3.109546414636379819e+00
6.721344268853771120e-02,7.529840649914751882e-01,1.511025979654906370e-01,2.772344900950828375e-02,-3.070416099112798669e+00,-3.071856972707343036e+00
6.881376275255050856e-02,7.480906436526967296e-01,1.540541225898003075e-01,2.825680555086786463e-02,-3.045174110747069562e+00,-3.064069143208285162e+00
7.041408281656330592e-02,7.432374399404763077e-01,1.569791303817125450e-01,2.878498857438009650e-02,-3.020153977829980185e+00,-3.022119377187024725e+00
7.201440288057611716e-02,7.384241003546764270e-01,1.598778400133450961e-01,2.930804248489875946e-02,-2.995353777753753555e+00,-2.993444117204364652e+00
7.361472294458891452e-02,7.336502744110580121e-01,1.627504683434829458e-01,2.982601130556256780e-02,-2.970771603777832226e+00,-2.970059879036722528e+00
7.521504300860172576e-02,7.289156146412794079e-01,1.655972304175785115e-01,3.033893867779520470e-02,-2.946405565030137730e+00,-2.956531398196423854e+00
7.681536307261452312e-02,7.242197765928971576e-01,1.684183394677513657e-01,3.084686786130530489e-02,-2.922253786508188789e+00,-2.910378825072472253e+00
7.841568313662732048e-02,7.195624188293655576e-01,1.712140069127885134e-01,3.134984173408644076e-02,-2.898314409080070320e+00,-2.880491069994423725e+00
8.001600320064013172e-02,7.149432028525777305e-01,1.739844424046478599e-01,3.184790280266518864e-02,-2.874585589086254167e+00,-2.868168622994923034e+00
8.161632326465292908e-02,7.103617931317089962e-01,1.767298538013347409e-01,3.234109319958587692e-02,-2.851065498528554620e+00,-2.867430103076360925e+00
8.321664332866574032e-02,7.058178572886018021e-01,1.794504470570430221e-01,3.282945465867770363e-02,-2.827752326019437490e+00,-2.813119280343728601e+00
8.481696339267853768e-02,7.013110657416753435e-01,1.821464264463879268e-01,3.331302856077101443e-02,-2.804644274906444856e+00,-2.814673075275786029e+00
8.641728345669133504e-02,6.968410916904790309e-01,1.848179945739547303e-01,3.379185593570423196e-02,-2.781739563192973552e+00,-2.764156350827213782e+00
8.801760352070414628e-02,6.924076111156923785e-01,1.874653523742987049e-01,3.426597746232386971e-02,-2.759036423539598992e+00,-2.780472171877147680e+00
8.961792358471694364e-02,6.880103027791256709e-01,1.900886991119449254e-01,3.473543346848452507e-02,-2.736533103265259115e+00,-2.718243759202683574e+00
9.121824364872974100e-02,6.836488482237191855e-01,1.926882323813886022e-01,3.520026393104888629e-02,-2.714227864348293107e+00,-2.714629133440602526e+00
9.281856371274255224e-02,6.793229317735434147e-01,1.952641481070948593e-01,3.566050847588773248e-02,-2.692118983427338463e+00,-2.717093961234026800e+00
9.441888377675534960e-02,6.750322405337993992e-01,1.978166405434986785e-01,3.611620637787991972e-02,-2.670204751802079723e+00,-2.676482741241416718e+00
9.601920384076814696e-02,6.707764642535245514e-01,2.003459023559762409e-01,3.656739657915198533e-02,-2.648483474733841270e+00,-2.647401429158410480e+00
9.761952390478095820e-02,6.665552955433357019e-01,2.028521244772765741e-01,3.701411766196702896e-02,-2.626953472616685659e+00,-2.621497645833396728e+00
9.921984396879375556e-02,6.623684298309510110e-01,2.053354961438700610e-01,3.745640785340449697e-02,-2.605613080710177165e+00,-2.625256843208996660e+00
1.008201640328065668e-01,6.582155651003719354e-01,2.077962050590179410e-01,3.789430505889601619e-02,-2.584460647773663133e+00,-2.606608108716967021e+00
1.024204840968193642e-01,6.540964018917685419e-01,2.102344373928420607e-01,3.832784686224016690e-02,-2.563494536066912133e+00,-2.559502845409970639e+00
1.040208041608321615e-01,6.500106433014800622e-01,2.126503777823247898e-01,3.875707052560247584e-02,-2.542713121351214411e+00,-2.552048113688810460e+00
1.056211242248449728e-01,6.459579949820143385e-01,2.150442093313091330e-01,3.918201298951546480e-02,-2.522114792890327362e+00,-2.517404680655722871e+00
1.072214442888577701e-01,6.419381651420486001e-01,2.174161136104985903e-01,3.960271087287860203e-02,-2.501697953451290868e+00,-2.486507563001723486e+00
1.088217643528705814e-01,6.379508645464287975e-01,2.197662706574573244e-01,4.001920047295832311e-02,-2.481461019305085003e+00,-2.514436766632103915e+00
1.104220844168833787e-01,6.339958065161697132e-01,2.220948589766099657e-01,4.043151776538803088e-02,-2.461402420227140286e+00,-2.456314657896788045e+00
1.120224044808961761e-01,6.300727068148840315e-01,2.244020556060253024e-01,4.083969841917659688e-02,-2.441520598920635443e+00,-2.417027659569920939e+00
1.136227245449089873e-01,6.261812837851430391e-01,2.266880360221522894e-01,4.124377778031894370e-02,-2.421814011768955055e+00,-2.427764548656364596e+00
1.152230446089217847e-01,6.223212584263250191e-01,2.289529741010941088e-01,4.164379086073309588e-02,-2.402281129203077903e+00,-2.418497420867829373e+00
1.168233646729345820e-01,6.184923540831748223e-01,2.311970423136137653e-01,4.203977237812778905e-02,-2.382920434072981486e+00,-2.367875557529389496e+00
1.184236847369473933e-01,6.146942964425227141e-01,2.334204117271419798e-01,4.243175675642762990e-02,-2.363730421631650369e+00,-2.358661491307487701e+00
1.200240048009601906e-01,6.109268135332839300e-01,2.356232520057771618e-01,4.281977812577312387e-02,-2.344709599535921729e+00,-2.326791938120370329e+00
1.216243248649729880e-01,6.071896357264588984e-01,2.378057314102855757e-01,4.320387032252064052e-02,-2.325856487847195453e+00,-2.332760802048221116e+00
1.232246449289857992e-01,6.034824957351330177e-01,2.399680167981012302e-01,4.358406688924245515e-02,-2.307169619031996799e+00,-2.336805984506440836e+00
1.248249649929985966e-01,5.998051286144767680e-01,2.421102736233257946e-01,4.396040107472671404e-02,-2.288647537962393841e+00,-2.290847753256618713e+00
1.264252850570113940e-01,5.961572717617461548e-01,2.442326659367287656e-01,4.433290583397745538e-02,-2.270288801916275023e+00,-2.279205364976499837e+00
1.280256051210242052e-01,5.925386648852574156e-01,2.463353564042412847e-01,4.470161383226121249e-02,-2.252091980419202333e+00,-2.236585503978250955e+00
1.296259251850370164e-01,5.889490498868252821e-01,2.484185063678769623e-01,4.506655746133277768e-02,-2.234055654680304315e+00,-2.230182997712761406e+00
1.312262452490497999e-01,5.853881712297943629e-01,2.504822756200371092e-01,4.542776879203856005e-02,-2.216178419493519236e+00,-2.248795404142221344e+00
1.328265653130626112e-01,5.818557755879064652e-01,2.525268226283770567e-01,4.578527961859447937e-02,-2.198458881385799923e+00,-2.222362142987863720e+00
1.344268853770754224e-01,5.783516117744514906e-01,2.545523045795340944e-01,4.613912146768112121e-02,-2.180895658250572300e+00,-2.163219877518827161e+00
1.360272054410882059e-01,5.748754307422668797e-01,2.565588773791278587e-01,4.648932559844377865e-02,-2.163487379348327355e+00,-2.149892078999970479e+00
1.376275255051010171e-01,5.714269855837378342e-01,2.585466956517601944e-01,4.683592300249245916e-02,-2.146232685307074117e+00,-2.159037552625243883e+00
1.392278455691138284e-01,5.680060315307974284e-01,2.605159127410150988e-01,4.717894440390184296e-02,-2.129130228122653623e+00,-2.129151204053999269e+00
1.408281656331266118e-01,5.646123259549267193e-01,2.624666807094587773e-01,4.751842025921131779e-02,-2.112178671158909449e+00,-2.103267200083385635e+00
1.424284856971394231e-01,5.612456283671540813e-01,2.643991503386398101e-01,4.785438075742498576e-02,-2.095376689147713911e+00,-2.086008602430768466e+00
1.440288057611522343e-01,5.579057004180560941e-01,2.663134711290887080e-01,4.818685582001161483e-02,-2.078722968188853937e+00,-2.061198124266566900e+00
1.456291258251650456e-01,5.545923058259668581e-01,2.682097913422443747e-01,4.851587511028244981e-02,-2.062216205387806589e+00,-2.057086492843375414e+00
1.472294458891778290e-01,5.513052103797483339e-01,2.700882579845017006e-01,4.884146803428009165e-02,-2.045855108924098609e+00,-2.047751675703468610e+00
1.488297659531906403e-01,5.480441821928743185e-01,2.719490166594531466e-01,4.916366370752594389e-02,-2.029638399328833831e+00,-2.034815360624590674e+00
1.504300860172034515e-01,5.448089913485845148e-01,2.737922117915606579e-01,4.948249099993312639e-02,-2.013564807632456155e+00,-1.992449951621791060e+00
1.520304060812162350e-01,5.415994098790397615e-01,2.756179866388837052e-01,4.979797853848086375e-02,-1.997633075257850388e+00,-2.042650160759420963e+00
1.536307261452290462e-01,5.384152117653214775e-01,2.774264832930797287e-01,5.011015470721455478e-02,-1.981841954020534313e+00,-1.984615060522361141e+00
1.552310462092418575e-01,5.352561729374323285e-01,2.792178426794039159e-01,5.041904764724567528e-02,-1.966190206128719087e+00,-1.965530204049037888e+00
1.568313662732546410e-01,5.321220712742960046e-01,2.809922045567089799e-01,5.072468525675183360e-02,-1.950676604183233742e+00,-1.979183583400637492e+00
1.584316863372674522e-01,5.290126866037566655e-01,2.827497075174456032e-01,5.102709519097678448e-02,-1.935299931177302035e+00,-1.928643658914541037e+00
1.600320064012802634e-01,5.259278007025799395e-01,2.844904889876622156e-01,5.132630486223038746e-02,-1.920058980496191170e+00,-1.933084600745059056e+00
1.616323264652930469e-01,5.228671972964522574e-01,2.862146852270048836e-01,5.162234143988862073e-02,-1.904952555916715529e+00,-1.887703659990400684e+00
1.632326465293058582e-01,5.198306619980016530e-01,2.879224313646857047e-01,5.191523185844633403e-02,-1.889979471295776037e+00,-1.892491312976462670e+00
1.648329665933186694e-01,5.168179822825017533e-01,2.896138613990347221e-01,5.220500282180992602e-02,-1.875138550502452039e+00,-1.861755485686662936e+00
1.664332866573314806e-01,5.138289477718773757e-01,2.912891080316236114e-01,5.249168076647424408e-02,-1.860428628844721821e+00,-1.836051756741297281e+00
1.680336067213442641e-01,5.108633498853571986e-01,2.929483028880657813e-01,5.277529190549709592e-02,-1.845848551248811642e+00,-1.838189959594542122e+00
1.696339267853570754e-01,5.079209818125028919e-01,2.945915765344431225e-01,5.305586223194287687e-02,-1.831397172120946770e+00,-1.848911594989403717e+00
1.712342468493698866e-01,5.050016385132100050e-01,2.962190584773056745e-01,5.333341751888254212e-02,-1.817073355347155639e+00,-1.847359727981248367e+00
1.728345669133826701e-01,5.021051167177068564e-01,2.978308771636719032e-01,5.360798331939361366e-02,-1.802875974292945438e+00,-1.767808291942617904e+00
1.744348869773954813e-01,4.992312149265550336e-01,2.994271599810286455e-01,5.387958496656022195e-02,-1.788803911802844926e+00,-1.791029755666595280e+00
1.760352070414082926e-01,4.963797334106495041e-01,3.010080332573309980e-01,5.414824757347302953e-02,-1.774856060199812902e+00,-1.788627359152499263e+00
1.776355271054210760e-01,4.935504742112184484e-01,3.025736222610024284e-01,5.441399603322930045e-02,-1.761031321284516560e+00,-1.758146179523299990e+00
1.792358471694338873e-01,4.907432411398231498e-01,3.041240512009347197e-01,5.467685501893287947e-02,-1.747328606334475065e+00,-1.751156832944128050e+00
1.808361672334466985e-01,4.879578397628059894e-01,3.056594432356132818e-01,5.493684898569207997e-02,-1.733746836024913751e+00,-1.716703990740660046e+00
1.824364872974594820e-01,4.851940772560391912e-01,3.071799205488757178e-01,5.519400218993981283e-02,-1.720284939732808382e+00,-1.719606376084066302e+00
1.840368073614722932e-01,4.824517627731154112e-01,3.086856041229237846e-01,5.544833864289448744e-02,-1.706941857425757991e+00,-1.706666865753389661e+00
1.856371274254851045e-01,4.797307071720074978e-01,3.101766139178762094e-01,5.569988214433260060e-02,-1.693716538215991108e+00,-1.708008132636650300e+00
1.872374474894978880e-01,4.770307229144187255e-01,3.116530689335261783e-01,5.594865629532976004e-02,-1.680607939844079191e+00,-1.671216577869129249e+00
1.888377675535106992e-01,4.743516240657826843e-01,3.131150872093416693e-01,5.619468449826067746e-02,-1.667615028678368638e+00,-1.688292363125468265e+00
1.904380876175235104e-01,4.716932262952635568e-01,3.145627858244652852e-01,5.643798995679916858e-02,-1.654736779714292672e+00,-1.641418990919013332e+00
1.920384076815362939e-01,4.690553468757561184e-01,3.159962808977140880e-01,5.667859567591814612e-02,-1.641972176573557318e+00,-1.611493426313754584e+00
1.936387277455491052e-01,4.664378046838853487e-01,3.174156875875799866e-01,5.691652446188964765e-02,-1.629320211503195059e+00,-1.659813932265178149e+00
1.952390478095619164e-01,4.638404202000069310e-01,3.188211200922294597e-01,5.715179892228480080e-02,-1.616779885374500125e+00,-1.666104470001526394e+00
1.968393678735747276e-01,4.612630155082069194e-01,3.202126916495035558e-01,5.738444146597383722e-02,-1.604350207681836782e+00,-1.592012632578750475e+00
1.984396879375875111e-01,4.587054142963020165e-01,3.215905145369179485e-01,5.761447430312609946e-02,-1.592030196541316833e+00,-1.541072240231654344e+00
2.000400080016003224e-01,4.561674417813180171e-01,3.229547001137820783e-01,5.784191945481263059e-02,-1.579818878321859188e+00,-1.599837375299297149e+00
2.016403280656131336e-01,4.536489247356984000e-01,3.243053587879062838e-01,5.806679875077791486e-02,-1.567715287839902105e+00,-1.592729203015941897e+00
2.032406481296259171e-01,4.511496917084397706e-01,3.256425998932226396e-01,5.828913380077808265e-02,-1.555718469438064799e+00,-1.543939090762455280e+00
2.048409681936387283e-01,4.486695727117062105e-01,3.269665318864919956e-01,5.850894603374273695e-02,-1.543827475367123281e+00,-1.560641907168289544e+00
2.064412882576515396e-01,4.462083992065785099e-01,3.282772623558718461e-01,5.872625669957918376e-02,-1.532041365712951464e+00,-1.542161875391686143e+00
2.080416083216643230e-01,4.437660041030540015e-01,3.295748980209167733e-01,5.894108686917251538e-02,-1.520359208395488881e+00,-1.527321557729164336e+00
2.096419283856771343e-01,4.413422217600468933e-01,3.308595447325781702e-01,5.915345743438554793e-02,-1.508780079167594934e+00,-1.498140037441759054e+00
2.112422484496899455e-01,4.389368879853878247e-01,3.321313074732044623e-01,5.936338910805886299e-02,-1.497303061613781683e+00,-1.505409108841644139e+00
2.128425685137027290e-01,4.365498400358243658e-01,3.333902903565408860e-01,5.957090242401076596e-02,-1.485927247148833841e+00,-1.480369590347230702e+00
2.144428885777155402e-01,4.341809166170206291e-01,3.346365966277295989e-01,5.977601773703733468e-02,-1.474651735016307974e+00,-1.478182400194179458e+00
2.160432086417283515e-01,4.318299578835574359e-01,3.358703286633097362e-01,5.997875522291238465e-02,-1.463475632286912909e+00,-1.480369054359945036e+00
2.176435287057411627e-01,4.294968054389322054e-01,3.370915879712172991e-01,6.017913487838748299e-02,-1.452398053856777782e+00,-1.458794579011642112e+00
2.192438487697539462e-01,4.271813022321134801e-01,3.383004752477805632e-01,6.037717653449214267e-02,-1.441418121942217967e+00,-1.460426115245576417e+00
2.208441688337667574e-01,4.248832926862013970e-01,3.394970902832640802e-01,6.057289984129649030e-02,-1.430534966787682105e+00,-1.430404667070287239e+00
2.224444888977795687e-01,4.226026227906569677e-01,3.406815319221455640e-01,6.076632425543417731e-02,-1.419747727072247834e+00,-1.442225051623560628e+00
2.240448089617923522e-01,4.203391398429096593e-01,3.418538982233819135e-01,6.095746907233100947e-02,-1.409055548586759743e+00,-1.430913435972664516e+00
2.256451290258051634e-01,4.180926924459757443e-01,3.430142864618222487e-01,6.114635342650565769e-02,-1.398457584220546002e+00,-1.369318347914440848e+00
2.272454490898179746e-01,4.158631305084585228e-01,3.441627931282077446e-01,6.133299629156960253e-02,-1.387952993959971071e+00,-1.389016678366078006e+00
2.288457691538307581e-01,4.136503052445480999e-01,3.452995139291716309e-01,6.151741648022714115e-02,-1.377540944886880281e+00,-1.378618985396321106e+00
2.304460892178435694e-01,4.114540691740213862e-01,3.464245437872393030e-01,6.169963264427540811e-02,-1.367220611176934941e+00,-1.356989882778582457e+00
2.320464092818563806e-01,4.092742761222423198e-01,3.475379768408281000e-01,6.187966327460436150e-02,-1.356991174097839536e+00,-1.365408314148816915e+00
2.336467293458691641e-01,4.071107812201615328e-01,3.486399064442475826e-01,6.205752670119678294e-02,-1.346851822007463229e+00,-1.351422529357026336e+00
2.352470494098819753e-01,4.049634409043166849e-01,3.497304251676993658e-01,6.223324109312828450e-02,-1.336801750351849005e+00,-1.328298775645210927e+00
2.368473694738947866e-01,4.028321129168321857e-01,3.508096247972771198e-01,6.240682445856728794e-02,-1.326840161663118245e+00,-1.321191844818230265e+00
2.384476895379075700e-01,4.007166562223374862e-01,3.518775963805458318e-01,6.257829465537413649e-02,-1.316966265154858817e+00,-1.340152199693507518e+00
2.400480096019203813e-01,3.986169310779952846e-01,3.529344301659835259e-01,6.274766938325894439e-02,-1.307179277136254703e+00,-1.290512425202861468e+00
2.416483296659331925e-01,3.965327991898581761e-01,3.539802155240342474e-01,6.291496616349341597e-02,-1.297478421742401578e+00,-1.309287120608182420e+00
2.432486497299459760e-01,3.944641234439220101e-01,3.550150411147099394e-01,6.308020237222998483e-02,-1.287862929559391745e+00,-1.308984508565675497e+00
2.448489697939587872e-01,3.924107678995362725e-01,3.560389948914968183e-01,6.324339524132806256e-02,-1.278332037589663184e+00,-1.296341538989644215e+00
2.464492898579715985e-01,3.903725977894044186e-01,3.570521641013550962e-01,6.340456185835406655e-02,-1.268884989250196105e+00,-1.276695896137302499e+00
2.480496099219844097e-01,3.883494795195835958e-01,3.580546352847191471e-01,6.356371916658143384e-02,-1.259521034370597592e+00,-1.226975029278136287e+00
2.496499299859971932e-01,3.863412806694849211e-01,3.590464942754973410e-01,6.372088396499053786e-02,-1.250239429191098761e+00,-1.273750147289514301e+00
2.512502500500100044e-01,3.843478699918729813e-01,3.600278262010723207e-01,6.387607290826878559e-02,-1.241039436360443116e+00,-1.237837918509756330e+00
2.528505701140227879e-01,3.823691174128665549e-01,3.609987154823007249e-01,6.402930250681058977e-02,-1.231920324933690081e+00,-1.274676812095501655e+00
2.544508901780356269e-01,3.804048940319378902e-01,3.619592458335134100e-01,6.418058912671734118e-02,-1.222881370369904408e+00,-1.222912709032808243e+00
2.560512102420484104e-01,3.784550721219133163e-01,3.629095002625152833e-01,6.432994898979739473e-02,-1.213921854529764532e+00,-1.195930526180244424e+00
2.576515303060611939e-01,3.765195250977558805e-01,3.638495610880514430e-01,6.447739817750042235e-02,-1.205041065521159194e+00,-1.209774331962388372e+00
2.592518503700740329e-01,3.745981274355850710e-01,3.647795099703111665e-01,6.462295264177413123e-02,-1.196238297353232616e+00,-1.208825395830899430e+00
2.608521704340868164e-01,3.726907549755488214e-01,3.656994277341067412e-01,6.476662816721334703e-02,-1.187512851432076744e+00,-1.182882630150905889e+00
2.624524904980995998e-01,3.707972846542307299e-01,3.666093945419074407e-01,6.490844040375692847e-02,-1.178864035175863245e+00,-1.164861000152850323e+00
2.640528105621124388e-01,3.689175944599840662e-01,3.675094899206797217e-01,6.504840487223560730e-02,-1.170291161789094092e+00,-1.157018010368745964e+00
2.656531306261252223e-01,3.670515634329318821e-01,3.683997927618868906e-01,6.518653696437198830e-02,-1.161793550260486585e+00,-1.122344073181890778e+00
2.672534506901380058e-01,3.651990716649666235e-01,3.692803813214897146e-01,6.532285194278057705e-02,-1.153370525360767562e+00,-1.149187175914041958e+00
2.688537707541508448e-01,3.633600002997504075e-01,3.701513332199459771e-01,6.545736494096776603e-02,-1.145021417640381900e+00,-1.156869619635440660e+00
2.704540908181636283e-01,3.615342315327150780e-01,3.710127254422105891e-01,6.559009096333180688e-02,-1.136745563427112860e+00,-1.139265147226845798e+00
2.720544108821764118e-01,3.597216486110620393e-01,3.718646343377355890e-01,6.572104488516286591e-02,-1.128542304823613174e+00,-1.129992275736009466e+00
2.736547309461892508e-01,3.579221358337621450e-01,3.727071356204702535e-01,6.585024145264299633e-02,-1.120410989704847760e+00,-1.118236242035285377e+00
2.752550510102020342e-01,3.561355785515561423e-01,3.735403043688608760e-01,6.597769528284608276e-02,-1.112350971715458492e+00,-1.112951527980047262e+00
2.768553710742148177e-01,3.543618631669542829e-01,3.743642150258508772e-01,6.610342086373796611e-02,-1.104361610267030613e+00,-1.100882291489106546e+00
2.784556911382276567e-01,3.526008770330157915e-01,3.751789414522049837e-01,6.622743256696812797e-02,-1.096442270055483670e+00,-1.129859271267785958e+00
2.800560112022404402e-01,3.508525086037322938e-01,3.759845568198439958e-01,6.634974462994057409e-02,-1.088592321862862811e+00,-1.071999742742062001e+00
2.816563312662532237e-01,3.491166474735296066e-01,3.767811336067714567e-01,6.647037115019956144e-02,-1.080811142688119064e+00,-1.092305928066539700e+00
2.832566513302660627e-01,3.473931841776379259e-01,3.775687437200641039e-01,6.658932610995740853e-02,-1.073098114738410658e+00,-1.096561288667351253e+00
2.848569713942788462e-01,3.456820101916310839e-01,3.783474584961397102e-01,6.670662337615168580e-02,-1.065452625424471611e+00,-1.052697602231642993e+00
2.864572914582916852e-01,3.439830179314264380e-01,3.791173487007574727e-01,6.682227670044524337e-02,-1.057874067358172354e+00,-1.031527547210450813e+00
2.880576115223044686e-01,3.422961007532849265e-01,3.798784845290174572e-01,6.693629971922615551e-02,-1.050361838350005517e+00,-1.040501275360016686e+00
2.896579315863172521e-01,3.406211529538110128e-01,3.806309356053610982e-01,6.704870595360779006e-02,-1.042915341406487562e+00,-1.039692155129577245e+00
2.912582516503300911e-01,3.389580697699526302e-01,3.813747709835709210e-01,6.715950880942878065e-02,-1.035533984727488921e+00,-1.054178390834928036e+00
2.928585717143428746e-01,3.373067473790015702e-01,3.821100591467705976e-01,6.726872157725299894e-02,-1.028217181703486194e+00,-9.707858349472162640e-01
2.944588917783556581e-01,3.356670828985929833e-01,3.828368680074249464e-01,6.737635743236961017e-02,-1.020964350912736851e+00,-1.003359178499506621e+00
2.960592118423684971e-01,3.340389743867054895e-01,3.835552649073399878e-01,6.748242943479301759e-02,-1.013774916118382663e+00,-1.036560809525242099e+00
2.976595319063812806e-01,3.324223208375355898e-01,3.842653166200026837e-01,6.758695052977437001e-02,-1.006648306245430335e+00,-1.022241064570225122e+00
2.992598519703940640e-01,3.308170220596977074e-01,3.849670894105144403e-01,6.768993356322118571e-02,-9.995839548160034838e-01,-9.978443698445653709e-01
