t,N,experienced_mate_abundance,unmated_fraction,mating_type_fraction,dN_dt
1.304260852170434193e+00,1.976504641789666721e+02,3.517383986862956391e+01,9.305694120005796321e-01,5.805610414415895981e-01,5.653877564485028984e+00
1.312262452490497999e+00,1.976927261068418318e+02,3.543368110369160462e+01,9.300173908984561422e-01,5.804189775856165578e-01,4.926696447242086663e+00
1.320264052810562028e+00,1.977295626477238386e+02,3.569316998243696304e+01,9.294624497713800393e-01,5.802765487061145588e-01,4.295632837321058162e+00
1.328265653130626056e+00,1.977616928829900189e+02,3.595229896440508810e+01,9.289046147252740804e-01,5.801337630373238907e-01,3.748095829349750829e+00
1.336267253450690085e+00,1.977897377492133444e+02,3.621106163937871258e+01,9.283439118224575681e-01,5.799906287490615986e-01,3.273181657978312842e+00
1.344268853770754113e+00,1.978142417730641114e+02,3.646945247562180015e+01,9.277803670517473789e-01,5.798471539426099941e-01,2.861302033924552291e+00
1.352270454090818141e+00,1.978356742794117906e+02,3.672746680315569279e+01,9.272140063262661602e-01,5.797033466504264432e-01,2.504174914685648901e+00
1.360272054410882170e+00,1.978544427992039516e+02,3.698510065823469972e+01,9.266448554653985425e-01,5.795592148338200023e-01,2.194594428940284558e+00
1.368273654730946198e+00,1.978709044042240635e+02,3.724235065320324622e+01,9.260729401799508986e-01,5.794147663810879090e-01,1.926235301596776139e+00
1.376275255051010227e+00,1.978853648456575058e+02,3.749921398466137390e+01,9.254982860733660388e-01,5.792700091078351043e-01,1.693673778558533627e+00
1.384276855371074255e+00,1.978980907387588672e+02,3.775568829400393156e+01,9.249209186263664950e-01,5.791249507552311826e-01,1.492173787066633395e+00
1.392278455691138284e+00,1.979093157942739936e+02,3.801177159627189894e+01,9.243408631893117455e-01,5.789795989892034811e-01,1.317578495026268115e+00
1.400280056011202312e+00,1.979192392474759856e+02,3.826746229714114378e+01,9.237581449847565018e-01,5.788339614010378220e-01,1.166340935403297863e+00
1.408281656331266340e+00,1.979280345558827037e+02,3.852275909389623365e+01,9.231727890972299955e-01,5.786880455064548068e-01,1.035370086672706691e+00
1.416283256651330369e+00,1.979358545535991425e+02,3.877766091689927919e+01,9.225848204673169350e-01,5.785418587451085504e-01,9.219398967081033902e-01
1.424284856971394175e+00,1.979428297636735579e+02,3.903216694833241718e+01,9.219942638945409774e-01,5.783954084812668039e-01,8.237206651468724772e-01
1.432286457291458204e+00,1.979490721512156597e+02,3.928627657945525442e+01,9.214011440336737913e-01,5.782487020037797576e-01,7.387126452980012914e-01
1.440288057611522232e+00,1.979546810206988425e+02,3.953998934386162034e+01,9.208054853884386493e-01,5.781017465257152210e-01,6.651409200683531253e-01
1.448289657931586261e+00,1.979597428566927704e+02,3.979330491919885304e+01,9.202073123122933573e-01,5.779545491846845851e-01,6.014587632595933542e-01
1.456291258251650289e+00,1.979643300589172270e+02,4.004622314122712368e+01,9.196066490110550440e-01,5.778071170436120951e-01,5.463707784705533754e-01
1.464292858571714318e+00,1.979685061682242804e+02,4.029874394477106847e+01,9.190035195379020472e-01,5.776594570906944393e-01,4.987394352789209506e-01
1.472294458891778346e+00,1.979723276829973884e+02,4.055086734319793607e+01,9.183979477919070877e-01,5.775115762395128804e-01,4.575526966502536652e-01
1.480296059211842374e+00,1.979758434415825548e+02,4.080259343533057148e+01,9.177899575196509785e-01,5.773634813295728252e-01,4.219353042901445860e-01
1.488297659531906403e+00,1.979790937824403443e+02,4.105392241480940640e+01,9.171795723172346815e-01,5.772151791269765075e-01,3.911640431697023246e-01
1.496299259851970431e+00,1.979821143993376609e+02,4.130485452661839219e+01,9.165668156273850675e-01,5.770666763247714881e-01,3.645986330249755270e-01
1.504300860172034460e+00,1.979849372304403232e+02,4.155539005705529831e+01,9.159517107391187407e-01,5.769179795431931268e-01,3.416658476890930274e-01
1.512302460492098488e+00,1.979875902377536647e+02,4.180552933620280953e+01,9.153342807886034604e-01,5.767690953300086409e-01,3.218635557874094388e-01
1.520304060812162517e+00,1.979900961307182570e+02,4.205527275224035577e+01,9.147145487620369497e-01,5.766200301614440304e-01,3.047837376999780190e-01
1.528305661132226545e+00,1.979924745039514278e+02,4.230462072736373358e+01,9.140925374943330572e-01,5.764707904425324658e-01,2.900741313183914372e-01
1.536307261452290351e+00,1.979947431068747221e+02,4.255357370348598778e+01,9.134682696693037229e-01,5.763213825077925234e-01,2.774154511440229953e-01
