A,D,H,P_dist,S
3.025894681859513469e+01,2.138131141263224322e+02,6.290152038519833511e+00,2.612391269367948521e+00,6.297246685044878056e+00
9.558418047801031889e+02,1.121151935916531102e+02,9.628348630032130373e+00,1.174706958797124390e+00,4.184168487510984136e+01
6.248484541760649336e+02,2.351214486017273657e+02,1.886976390454149666e+01,4.988201919432811771e+00,1.205543490903779258e+01
6.921186583374586476e+00,2.319322278832240727e+02,1.766604155143402011e+01,1.240845944327267913e-01,3.984402251891801860e+00
1.073780174576447735e+02,1.079270447491086742e+02,1.340815037338728288e+01,1.322440747010059647e+00,2.579020732715533981e+01
9.765416748471063002e+00,2.766107659877831679e+02,1.982669424298731542e+01,4.178950457369642990e+00,2.720149127231239916e+00
1.309931665942915302e+01,1.371415287538891050e+02,6.913954262482249646e+00,1.701633268338399452e+00,1.066914949472652907e+01
1.390409744645383512e+02,2.017933234308903252e+02,7.765163435642419287e-01,2.828160084247064887e+00,8.745211014302155306e+00
4.556416306286427798e+00,1.203451962684660828e+02,7.123713425244339703e+00,5.010293036366741948e-01,9.447773848462293955e+00
8.668307061856424411e+01,1.720904636559312451e+02,9.039841673487160278e+00,9.879153008477492559e-01,1.283450897188416207e+01
6.991518512855576262e+01,2.583064502093222004e+01,9.726447826266520380e+00,3.223799633746332383e+00,4.700273042264911538e+01
5.348583084032942452e+02,1.261976846272665540e+02,1.661288313175600351e+01,1.453087379769041343e+00,3.297932913600109828e+01
2.882242601947409000e-01,2.288540888490841780e+02,6.259673065854562957e+00,1.395501037624229390e+00,3.141714389814123654e-01
8.242528705685749912e+01,2.516672045566991756e+02,1.037215867255179802e+01,2.095125368011217404e+00,5.898306608624480418e+00
5.125021769718517817e+02,1.022689813100778053e+02,1.714120266713790741e+01,1.318710984955675958e+00,4.097461602778248135e+01
7.442258653061448967e+02,1.645643854248352156e+01,3.650937003242211709e+00,8.665606558854604957e-01,8.386220874946072001e+01
1.145052026935050454e-01,5.063151765209990884e+01,1.818308046486357910e+01,3.275552854297694605e+00,5.123550025087704185e-01
2.848133624214829638e+02,8.489879255969243843e+01,2.740585934851538230e+00,2.107742677480022309e+00,3.525613731855266764e+01
8.409693354610275264e+02,1.484505070240737439e+02,1.384257156579398895e+01,1.636385215691532613e+00,2.950251159163880743e+01
6.742806836065005882e+02,7.894705869068286574e+01,1.901484051587588198e+01,2.013609867344911208e+00,5.482972952626727903e+01
3.936008692949491961e-01,1.111132088873643085e+02,1.214168805430452913e+01,4.092308291689083610e+00,1.304982235645587130e+00
7.771686176112378917e+02,5.150828330228341301e+00,1.369929304793214442e+01,1.301955992407958895e+00,1.042423805401775070e+02
3.628626123741474316e+02,1.242457159266231628e+02,1.535029967073018753e+01,4.133310228983449797e+00,3.031231441466980669e+01
1.947580018443169081e+02,2.089263195308876391e+02,4.825840330207739726e+00,1.449218836033917546e+00,1.037324700164564817e+01
8.316712626230918559e+00,1.346712446605322953e+02,1.989536938445894965e+00,2.033050767016815197e+00,8.486241269341642024e+00
8.501424035972132698e-01,5.820594051996895502e+01,8.735194337972773226e+00,4.887931978317538118e+00,4.928687987993540354e+00
1.612583882823954298e+02,2.790980663332093172e+02,1.159683822064980596e+01,1.738428645071506295e+00,5.390659690951302707e+00
4.944480166074263821e+02,5.526803326289326890e+01,5.397480148458628335e+00,4.352025013210574222e+00,5.668249226245792016e+01
1.160168552108644668e+00,2.604980533092641508e+02,8.760041854260669503e-01,4.555014894709112916e+00,7.975652260600122334e-01
1.431322935583394163e+01,5.719769324101107344e+01,1.675394157322068622e+01,1.427255069295921164e+00,2.471516905578220857e+01
5.902164585443197886e+00,4.527057023037729522e+01,1.502196777154204455e+01,5.080711114553060348e-01,2.164208550272719833e+01
5.297479245747762207e+02,1.463271807693832045e+02,1.892454731777478116e+01,3.791384986381093114e+00,2.736423805245292940e+01
1.452254880825562811e-01,1.980922148038753221e+02,3.074694216785101020e+00,3.909876656529188921e+00,1.436614153974746511e-01
8.472757617947982567e+01,1.358931511305947026e+02,6.669244263474305434e-01,2.705342512395214616e-01,1.449899410333894600e+01
2.867431077102123282e+01,1.524457189248188058e+02,1.477717121222495322e+01,2.899262499013047112e+00,1.207785176567991314e+01
1.298558323892098076e-01,1.870397166282686499e+02,1.732678504441211942e+01,1.710453812535062124e+00,1.863840735955066275e-01
7.531458568133754738e+01,1.449982959346957614e+02,4.442607569395528699e+00,3.901313130063243761e+00,1.498292917769803978e+01
1.158689090923064879e-01,2.870563813084034450e+02,7.546957484380330428e+00,3.218947543746029094e+00,5.088268065463463774e-02
1.075979530652070792e+02,4.539624648973542520e+01,1.694964974066797936e+01,1.186179243966125618e+00,4.637305743281186210e+01
1.124695333098243211e+01,1.174015317945987533e+02,2.296295788494728818e-01,5.944582781978391406e-01,9.899429902605882958e+00
5.204953850233812318e+02,3.831777207211216307e+01,5.341597836368878305e+00,8.037916694637048387e-02,6.655609019338622545e+01
1.837934317533017059e-01,5.926715050611525015e+01,2.595296271370606256e+00,4.061990989709430622e+00,7.039407188142861038e-01
2.318831110596501048e+02,1.860116787025738461e+02,1.895697740492362726e+01,4.269248839568462017e+00,1.516510799155622635e+01
1.848247106936552753e-01,2.599652019039456832e+02,8.863196634344849834e-01,2.369141087878181118e+00,1.038780051231215362e-01
2.383635886248082425e+00,1.064318310530711358e+02,1.065482343559389378e+01,4.077778742114307242e+00,7.746457596619309882e+00
5.262534158297084375e+00,2.564279987703196184e+02,1.403842516317311429e+01,2.256128910928806519e+00,2.702879060107611142e+00
7.315572574967400215e+02,1.140425803883579903e+02,9.503309821597982321e+00,3.946515427589758485e+00,3.837627922547211057e+01
1.773892791570575156e+01,2.127893569189498351e+02,5.255450083513610871e+00,2.830366280581274374e+00,5.414004192503968582e+00
1.085071540065903228e+00,3.327739202924211526e+01,6.617130736378944889e+00,2.008945292103994973e+00,8.108161466244354187e+00
9.261959047145744695e-01,1.655088928265055586e+02,4.465708268558950422e+00,2.254908555275259019e-01,2.348370685189803631e+00
3.568397961799389009e+02,1.159160608258694758e+01,1.709448986651423041e+01,1.523736114311438072e+00,8.294391089414992280e+01
8.007145378467721564e-01,4.287972613484548390e+01,5.668276799962734813e-02,4.297276470538019311e+00,4.072796369721216614e+00
3.149334736195920081e-01,9.129414972465910694e+01,2.517021272135659959e+00,2.874242747500625583e+00,1.075579070969458151e+00
1.423387108142766921e+00,1.471123478931247774e+01,1.733288472135168590e+01,3.201917800315351670e+00,1.255555899771410111e+01
2.210508856427711422e+01,2.617226880850925568e+02,1.962148385784201565e+01,2.113521310030662015e+00,3.970153664920995862e+00
1.645742970261471427e+01,2.463921641059764625e+02,8.855001937310271742e+00,1.716653413421605379e+00,4.027251599167157359e+00
1.733177744377966292e+02,2.795471145748277308e+02,1.546975613842630004e+01,4.478941555730117763e+00,5.577367941391600858e+00
1.745435513228246904e+01,6.741872836778426858e+01,1.770268497827783705e+01,3.994004552584540235e+00,2.370491105587134939e+01
1.424573488232725227e+00,1.338407942392311725e+02,1.643235561354133267e+01,2.192924434558482627e+00,4.391008384825645372e+00
4.483171685455940469e+00,2.426942251437976950e+02,8.410164955547667631e+00,2.255194396719298666e+00,2.804970764660980276e+00
1.872767585702728752e+02,8.285681743105615737e+01,1.758919380558076639e+01,3.993568566667895503e+00,3.814348528455749943e+01
3.206460170815879707e+01,1.942009261532352582e+02,9.174375665362239474e+00,1.542096429905013277e+00,8.028214698002415162e+00
6.859786051434202818e+02,1.035774994535643714e+02,1.385789089481089320e+01,1.356566959612252710e+00,4.292558740878511259e+01
3.003430898554595441e+00,1.130683621475433398e+02,1.970264591671134724e+01,4.922177953584246701e+00,8.599671179096029405e+00
1.623476632847086876e+01,2.026117584454773919e+02,6.981730639703855879e+00,1.975567192706901842e+00,6.013844904306068884e+00
2.375181524711621250e+01,2.818024371135178399e+02,7.553633979229581463e+00,5.695554970453248211e-01,3.114738193260906840e+00
2.472662446784732424e+02,2.429904293475912880e+02,1.474427569505452951e+01,4.365302672287653785e+00,8.703994494304557961e+00
3.818511938434164255e-01,1.044136594904728099e+02,1.512745684204741536e+01,3.622683707745820492e+00,1.378955896458490482e+00
4.227088563333382787e+00,2.076481648316701367e+01,1.710259712399400112e+00,2.232957594490425191e+00,1.879743066456391531e+01
4.363508704477379183e+02,2.906966979973701086e+02,4.267397983480753609e+00,2.032894424892006668e-01,5.635872171282999332e+00
1.486851359470255374e-01,1.020671546355328445e+02,8.123901999802837892e+00,1.794040321710068220e+00,4.647497805049963238e-01
1.953552651712897443e+02,2.158032930100180806e+02,8.260201062551967510e+00,4.602352680966463438e+00,1.021479686293198341e+01
4.587078257940548909e+00,1.721249717428545623e+01,2.571785697538315763e+00,4.967914141335956657e+00,2.034472585055739202e+01
2.085527597179985548e+02,3.535194523071760742e+00,2.975237769481908767e+00,3.291469461462072754e+00,6.581001318063346162e+01
1.096019404591880853e-01,1.924778445712250914e+02,5.836373839866615398e+00,2.020832836080825867e+00,1.268165150374746808e-01
2.885257848246610024e+00,2.592527127214820553e+02,1.525873174899567708e+01,2.845424799763871970e+00,2.048708061818843351e+00
2.063099380543832462e-01,1.297837033477010209e+02,1.003926778606701653e+01,2.391133451819138500e+00,5.212722725074881991e-01
4.078104078547979583e+01,1.912075816713741290e+02,4.798004693771089180e+00,4.997663818779555456e+00,8.246628561061111640e+00
1.245651038420815704e+00,2.108804703375327563e+02,3.952520252844538007e+00,1.262600607975612022e+00,1.712699798268384699e+00
6.465591804988623892e+01,2.548639011228036395e+02,1.295799841504186034e+00,2.281712108512787829e+00,4.429922295365578577e+00
5.959443514760208700e+02,2.727547473663439703e+01,9.115599402350383684e+00,1.729943501697066566e+00,7.938609915632635250e+01
3.215647306139732264e-01,1.603601450603788408e+02,1.972255336387022595e+01,1.041550736714945691e+00,7.957446818036426617e-01
2.878148392041097736e+02,1.326881298450923055e+02,5.458865064191591898e+00,2.032245432027359300e+00,2.417102257260530962e+01
1.729245309712046930e-01,1.020772790610366343e+02,1.259640180686292865e+01,2.567740144073124675e+00,5.468249482058595845e-01
3.334893991346338016e+00,1.112081222240967122e+02,9.264034587051526159e+00,1.173642899546308183e+00,9.124910812390160331e+00
5.237164853979415113e+00,1.246342229912138890e+02,1.097291592669267679e+01,2.865797063455005622e-01,9.953205834997222112e+00
9.023981313776813451e+00,5.160972859559163339e+01,4.488930898516604984e+00,3.612409625562438720e+00,2.015277935977874790e+01
8.050990009851797140e+02,2.591095173633095783e+02,1.545382961245545062e+01,2.813804784213396637e+00,1.002980182230777650e+01
1.266965393177629267e+02,8.663612239608116283e+01,1.485548331171598591e+01,2.419279564399728910e-01,3.309533065758652270e+01
1.719607976213315625e+00,1.199166904915677492e+02,1.523002113604872854e+01,1.409912227565004450e+00,5.928695593286559706e+00
1.200458475025916627e+00,1.754430838280808302e+02,1.145515337820492086e+01,1.937279526427376108e+00,2.500260207981567895e+00
2.834528426631133016e+02,2.058737412651445595e+02,1.722141828352066195e+00,1.430196027507723677e+00,1.063640737288415039e+01
3.351418718330123738e+02,1.471595260250540491e+02,1.639664435085993333e+01,1.312579171743658568e+00,2.399378941685517219e+01
1.103636415969080886e+01,1.327906437912118633e+02,2.842933910979872358e-01,4.309879261111909443e+00,8.361491232228379644e+00
2.383323108258247558e+00,1.099922077850074942e+02,4.836516589508226716e+00,1.971664358886533464e+00,7.163901362293039199e+00
9.542658730564735379e+02,1.512365785228710422e+02,8.170640469833418962e+00,1.233570303901436738e+00,2.841040315197981414e+01
1.835583653380810532e+00,6.998979152689946659e+01,6.125018796244969366e+00,2.919667477599123373e+00,8.796259075636857716e+00
5.380833027899770693e-01,6.077812828707584991e+00,9.983260631664430562e+00,1.207473864083772330e+00,5.366431585114278313e+00
3.314305100753514921e+02,2.745472145061410174e+02,7.404599372288980241e+00,1.035143544926482750e+00,6.504316960061670372e+00
1.775585510895973016e+02,5.655862017657321417e+01,6.637205866601489923e+00,1.144304393655692920e-01,4.428892035686730111e+01
4.694157123633988959e+01,1.201574620947492349e+02,5.266656835367808931e+00,4.457866423967288938e+00,1.708814852323487088e+01
6.817961226955164875e+02,1.615677077374679982e+02,1.440356932004913659e+00,3.194604113357628616e+00,2.006323182497431645e+01
5.044966756874670182e+02,1.007654115053685473e+02,8.685863785762276024e+00,2.564406204288835589e+00,3.930288636417428449e+01
9.839975411628599034e+01,1.283765488509228589e+02,6.257542682952710322e-01,1.710202578867588974e+00,1.608183944092055029e+01
2.772079225623916159e+02,1.176678460727217868e+02,1.699922392130057691e+00,3.192976158623569205e+00,2.467152571486644064e+01
9.740628080156140678e-01,1.359246216127303626e+02,3.582627557556783415e+00,4.322647068353660416e+00,2.543799972094815232e+00
3.672706533847874821e-01,2.305838418808726544e+02,6.403968482935420425e+00,3.724694937852692789e+00,3.624087992451557882e-01
4.789028231802418389e+01,1.571177767763095119e+02,1.954338383512038391e+01,6.131412640913158629e-02,1.355640998452916968e+01
7.218951875192821888e+01,2.608682179024637549e+02,1.590440925442073805e+01,7.630472640115198990e-01,5.388656757902691830e+00
4.658131183974352774e-01,2.022441981737361800e+02,4.196642282928331191e-01,3.142348331879770029e+00,5.251249977376420963e-01
3.821458014219540900e+00,1.548083278400565916e+02,1.467397101138478810e+01,3.052631601348016588e+00,6.416918404884176752e+00
4.375453420547459586e+02,9.980022274324940668e+01,3.362318116190041728e+00,1.697292552841570545e+00,3.489351473580656915e+01
1.760366398304289959e+01,2.320088357912697319e+01,3.237448123878146067e+00,3.785715880595799110e+00,3.001174511350417973e+01
2.057518077793017142e+01,9.386435362862685849e+01,1.537473225360211515e+01,4.958530337068867144e-01,1.952930897576180058e+01
5.977493211406723628e-01,1.865452824776106127e+02,3.998287056447329402e+00,1.697965945689646095e+00,1.025042260916302794e+00
1.270834494557055550e+01,1.482864053850098003e+02,8.536708326403321223e+00,3.626249575155689797e+00,9.628501115004818089e+00
1.240906071779815001e+01,3.946059039071273844e+01,1.154701333636673510e+01,1.421671621394838159e+00,2.703689436220067321e+01
2.268519730922397559e-01,1.712613509229573481e+02,1.478119087240779450e+01,2.184414715385539107e+00,4.114965895827749631e-01
8.467803521114402656e+02,8.770130526819130523e+01,1.428330824891814999e+01,2.027443657130503230e+00,5.257135707784571110e+01
1.930111515422593982e+01,8.057723898925701178e+01,7.601186877154155752e+00,8.803813181044772840e-01,2.044250770379767346e+01
1.060804933042171216e-01,9.264809253582124882e+01,1.028478992414916959e+01,1.588379492061083198e+00,3.480332529828109034e-01
1.231960561019226361e+02,2.061031689840968397e+02,6.065818604354198840e+00,4.537963736218079802e+00,9.705585270612546722e+00
8.185832529657085388e+02,1.992011069804309500e+02,1.348745523438715566e+01,2.992671992968745087e+00,1.791200746275861633e+01
2.288126933884550240e+01,2.534325644834841640e+01,8.437483554838113520e+00,5.015205494484420434e-02,3.544300195331866377e+01
1.899881636854622080e+00,6.236948044772962163e+01,1.600894603422111828e+01,1.662574128629748405e+00,1.076508992134732701e+01
5.623812891036998884e-01,1.796330321130185439e+02,1.999482135962254148e+01,4.080190140721836833e+00,1.070467512061368254e+00
4.898989804943027337e+01,2.610952919307094788e+01,7.371301581558594052e+00,2.235321093450319818e+00,4.178563955756804660e+01
6.031559186523236527e-01,2.287303239572285065e+02,8.004224407972170496e+00,8.286076983867601831e-01,7.980051065936223376e-01
2.045274341604513779e+01,2.227944079657791860e+02,1.616713638640100115e+01,1.304055389746392901e+00,5.642469984465178889e+00
2.564228397827081807e+01,5.375551397913989149e+01,6.108014543801290053e+00,9.483804532187423142e-01,2.747211593719122291e+01
7.074444966898045095e+02,2.959044894762021158e+02,6.296098095597725930e+00,4.194708912867194606e+00,6.276893530545017086e+00
1.945633619892099819e-01,2.427428314523274651e+02,1.079339648220425651e+01,1.672688725354813499e+00,1.734075603395079379e-01
9.997497279690824357e+00,3.500832893662207113e+01,7.407803268476136793e+00,7.322066562402196332e-02,2.620395641993727054e+01
9.470870910113920615e+01,2.673114283063249559e+02,2.222930963383380476e+00,2.288066041030358377e+00,4.521632251482215814e+00
5.115722306303523981e-01,8.688838246158114487e+01,5.899058425459311472e+00,1.909558176442005539e-02,3.061907387067412945e+00
3.566702836352580341e+00,1.421148876755876245e+02,1.995604166427350634e+01,4.820008854822255273e-01,7.621919650101785848e+00
1.784768917084839368e-01,4.174944229742906998e+01,8.847357934698258930e+00,4.191381655545004747e+00,8.877971797695108913e-01
8.007988763806665133e+01,1.340956588866090158e+02,1.696738273131757779e+01,1.445838228149293192e+00,1.898424754319031749e+01
2.244251618394956793e-01,2.459318193490499880e+02,2.557368121863206056e+00,3.361557075581337095e+00,1.566409994528150385e-01
3.805106647329600911e+00,1.696706512849691535e+02,8.843118983041510006e+00,2.718354630149815154e+00,5.350994991992751082e+00
3.119539754210786100e+02,2.224852191649648958e+01,2.259395946693782964e+00,4.248372130722565920e+00,6.140686086336176430e+01
7.748209359427364440e+00,9.597914707724039829e+01,1.450054548582486724e+01,3.366418157547361734e+00,1.427586151304274864e+01
4.471855221024695766e+02,1.630801773610585030e+02,6.588505542225489009e+00,3.344315896302320290e+00,2.054686327294430015e+01
1.157893113386775070e+02,1.339337544307939538e+02,1.800234662467132196e+01,4.136550083293514035e+00,2.093170896755393784e+01
4.584540782814016779e+02,1.449046745436803292e+02,7.114032231009533191e+00,4.341961548053570930e+00,2.479776115689396221e+01
3.233047134286448077e-01,2.980370703762408198e+02,1.992525903842955870e+01,5.576719126553969508e-01,2.277962901002979490e-01
1.969026773048328516e-01,1.482990834782876277e+02,1.018897414647974564e+01,3.356876161702623484e+00,3.917329170991224463e-01
1.911195060374174526e-01,2.943951437352070002e+02,1.953506736267787858e+01,3.690518638180232180e+00,9.384998176844680517e-02
2.988251714759650781e+02,1.753888112346527706e+01,8.511485277149709816e+00,1.063555012845260883e+00,7.182279847597921218e+01
3.437794539202909050e+01,2.660151156320325754e+02,6.206927054763782259e+00,4.098866789875957650e+00,3.897047437911009826e+00
9.689174447938858847e+00,1.249232221669244467e+02,1.578568974279530934e+01,2.336327410037600139e+00,1.173297876343405299e+01
4.509970122479887711e-01,2.576968707524814590e+02,7.432099943393602359e+00,6.922051690634251075e-01,4.451114250266368089e-01
4.953746185312835593e+01,2.759537097819501241e+02,6.700316109290902489e+00,2.848578974807094433e+00,3.920345876051261946e+00
1.870981750318637671e+00,1.621662047792424062e+02,1.772372897252954260e+01,3.896832258946576033e+00,4.028610526529984526e+00
6.974602370544269547e+01,3.082217224269708922e+01,1.257077502856971307e+01,3.438352004168090836e+00,4.599589889193190828e+01
6.940988350024381859e+00,1.099502423842526184e+02,9.321435387093924163e+00,4.632330525755247841e+00,1.165167983511661376e+01
