t,E,L,C,D,dC_dt
3.840768153630725879e-01,2.141869717477029866e-01,1.714186971747702515e+00,2.400168062190940199e-01,4.579622203320302121e-02,4.989371205169940149e-02
3.900780156031206092e-01,2.128226338448525046e-01,1.712822633844852005e+00,2.402970323187219870e-01,4.688033383642553620e-02,4.353553908431573305e-02
3.960792158431686305e-01,2.114915998301629685e-01,1.711491599830162524e+00,2.405397974008104400e-01,4.796860276902662618e-02,3.740763729564028361e-02
4.020804160832165963e-01,2.101927074817627472e-01,1.710192707481762220e+00,2.407464584241252037e-01,4.906083409411207685e-02,3.150171732138423719e-02
4.080816163232646177e-01,2.089248392745980121e-01,1.708924839274597485e+00,2.409183223215692338e-01,5.015683840383278885e-02,2.580982714006641032e-02
4.140828165633126390e-01,2.076869182135588077e-01,1.707686918213558336e+00,2.410566506196346603e-01,5.125643116680655281e-02,2.032432286980506708e-02
4.200840168033606603e-01,2.064779069064189287e-01,1.706477906906418429e+00,2.411626604511590832e-01,5.235943264242200190e-02,1.503785881443026051e-02
4.260852170434086261e-01,2.052968068896391940e-01,1.705296806889638583e+00,2.412375252629614664e-01,5.346566784739938821e-02,9.943379337619351332e-03
4.320864172834566475e-01,2.041426573225862684e-01,1.704142657322585741e+00,2.412823761027671765e-01,5.457496657464656897e-02,5.034107654749042648e-03
4.380876175235046688e-01,2.030145327577536907e-01,1.703014532757753274e+00,2.412983041184497968e-01,5.568716312379654726e-02,3.035290944546908953e-04
4.440888177635526901e-01,2.019115406225802656e-01,1.701911540622579766e+00,2.412863633435385902e-01,5.680209603388117201e-02,-4.254626942598260797e-03
4.500900180036007114e-01,2.008328211402410080e-01,1.700832821140240370e+00,2.412475707830267491e-01,5.791960807673227768e-02,-8.646390681404769740e-03
4.560912182436486773e-01,1.997775461243092299e-01,1.699777546124308536e+00,2.411829076665721883e-01,5.903954620911861656e-02,-1.287756177915883038e-02
4.620924184836966986e-01,1.987449185060168599e-01,1.698744918506016166e+00,2.410933198949809508e-01,6.016176159900220310e-02,-1.695371471463469337e-02
4.680936187237447199e-01,1.977341693051407612e-01,1.697734169305140206e+00,2.409797214502948093e-01,6.128610924456447118e-02,-2.088021905306242099e-02
4.740948189637927412e-01,1.967445567124372074e-01,1.696744556712436625e+00,2.408429954114562621e-01,6.241244787610657208e-02,-2.466224719662540865e-02
4.800960192038407071e-01,1.957753659520809764e-01,1.695775365952080227e+00,2.406839941026638341e-01,6.354063994525521730e-02,-2.830477748077081523e-02
4.860972194438887284e-01,1.948259081816725857e-01,1.694825908181671892e+00,2.405035402229372399e-01,6.467055159539020215e-02,-3.181260245966277544e-02
4.920984196839367497e-01,1.938955200690674063e-01,1.693895520069066851e+00,2.403024272953307172e-01,6.580205263560189033e-02,-3.519033332988102947e-02
4.980996199239847710e-01,1.929835611140678919e-01,1.692983561114067115e+00,2.400814226908614957e-01,6.693501619507065403e-02,-3.844241736932740849e-02
5.041008201640327924e-01,1.920894132552392053e-01,1.692089413255238650e+00,2.398412680649034678e-01,6.806931867985735463e-02,-4.157314196490174973e-02
5.101020204040808137e-01,1.912124807199682974e-01,1.691212480719967770e+00,2.395826795197811554e-01,6.920483976025058881e-02,-4.458663713093519165e-02
5.161032206441288350e-01,1.903521891003712163e-01,1.690352189100370550e+00,2.393063485541416513e-01,7.034146234548717402e-02,-4.748688219438762514e-02
5.221044208841767453e-01,1.895079850733532023e-01,1.689507985073352536e+00,2.390129423683047261e-01,7.147907255834211326e-02,-5.027770886125715322e-02
5.281056211242247667e-01,1.886793340919051543e-01,1.688679334091904627e+00,2.387031064858589624e-01,7.261755942223595273e-02,-5.296281598396851420e-02
5.341068213642727880e-01,1.878657200911039993e-01,1.687865720091103361e+00,2.383774650817675478e-01,7.375681482712848069e-02,-5.554577253244608048e-02
5.401080216043208093e-01,1.870666454211939167e-01,1.687066645421193334e+00,2.380366210558205187e-01,7.489673352298560627e-02,-5.803001918669903336e-02
5.461092218443688306e-01,1.862816300247860657e-01,1.686281630024785372e+00,2.376811568964860844e-01,7.603721307872790547e-02,-6.041887406724227860e-02
5.521104220844168520e-01,1.855102114771504662e-01,1.685510211477149856e+00,2.373116346105316188e-01,7.717815391231799826e-02,-6.271553351621961259e-02
5.581116223244648733e-01,1.847519429647593581e-01,1.684751942964758609e+00,2.369285980407738745e-01,7.831945899446683679e-02,-6.492308485591113953e-02
5.641128225645128946e-01,1.840063928492157164e-01,1.684006392849215050e+00,2.365325733570407818e-01,7.946103379374357123e-02,-6.704450983820414711e-02
5.701140228045609160e-01,1.832731446672532516e-01,1.683273144667252641e+00,2.361240690561713929e-01,8.060278627657542494e-02,-6.908268553256691202e-02
5.761152230446089373e-01,1.825517965801197184e-01,1.682551796580119108e+00,2.357035765578014141e-01,8.174462686207892292e-02,-7.104038827274811174e-02
5.821164232846568476e-01,1.818419613245535749e-01,1.681841961324552992e+00,2.352715702019962662e-01,8.288646847345021440e-02,-7.292029458728904734e-02
5.881176235247048689e-01,1.811432650346017359e-01,1.681143265034600986e+00,2.348285086279886524e-01,8.402822633740968106e-02,-7.472498884900674598e-02
5.941188237647528902e-01,1.804553462577860035e-01,1.680455346257785365e+00,2.343748358938209930e-01,8.516981784839305902e-02,-7.645696965335141426e-02
6.001200240048009116e-01,1.797778559550236577e-01,1.679777855955022936e+00,2.339109814764342155e-01,8.631116256854218238e-02,-7.811865047497251746e-02
6.061212242448489329e-01,1.791104573918823328e-01,1.679110457391881583e+00,2.334373603923721174e-01,8.745218221574560524e-02,-7.971236091129935142e-02
6.121224244848969542e-01,1.784528255584183765e-01,1.678452825558417683e+00,2.329543738069737024e-01,8.859280063460796273e-02,-8.124035048949207471e-02
6.181236247249449756e-01,1.778046472882481577e-01,1.677804647288247297e+00,2.324624088991555648e-01,8.973294381259633301e-02,-8.270478853901169769e-02
6.241248249649929969e-01,1.771656197312318770e-01,1.677165619731231017e+00,2.319618406299932545e-01,9.087253963877493790e-02,-8.410777359526061536e-02
6.301260252050410182e-01,1.765354501470919324e-01,1.676535450147091266e+00,2.314530319776272604e-01,9.201151787528086268e-02,-8.545133507852614718e-02
6.361272254450889285e-01,1.759138559054129192e-01,1.675913855905412086e+00,2.309363339372629831e-01,9.314981015732415326e-02,-8.673743375991455062e-02
6.421284256851369499e-01,1.753005642580458545e-01,1.675300564258045188e+00,2.304120857740683814e-01,9.428734996788580569e-02,-8.796796349916286006e-02
6.481296259251849712e-01,1.746953120379712010e-01,1.674695312037970396e+00,2.298806153201660429e-01,9.542407264186282545e-02,-8.914475328121107545e-02
6.541308261652329925e-01,1.740978454906988715e-01,1.674097845490698067e+00,2.293422391909829827e-01,9.655991531831820129e-02,-9.026956864623753019e-02
6.601320264052810138e-01,1.735079191014724243e-01,1.673507919101471675e+00,2.287972641443944966e-01,9.769481675413312083e-02,-9.134411886907717326e-02
6.661332266453290352e-01,1.729252955474142595e-01,1.672925295547413427e+00,2.282459871353196557e-01,9.882871731726615427e-02,-9.237005758525185239e-02
6.721344268853770565e-01,1.723497456975256192e-01,1.672349745697524925e+00,2.276886953157211957e-01,9.996155898675324059e-02,-9.334898312574574364e-02
6.781356271254250778e-01,1.717810483965352131e-01,1.671781048396534519e+00,2.271256662769645107e-01,1.010932853265003317e-01,-9.428244006828434554e-02
6.841368273654730991e-01,1.712189902414038567e-01,1.671218990241403191e+00,2.265571682681201404e-01,1.022238414904760723e-01,-9.517192073142005659e-02
6.901380276055210095e-01,1.706633654742503448e-01,1.670663365474249540e+00,2.259834603409296150e-01,1.033531741848200958e-01,-9.601886613597421238e-02
6.961392278455690308e-01,1.701139749723962757e-01,1.670113974972395443e+00,2.254047935275103332e-01,1.044812315000934327e-01,-9.682467214342821427e-02
7.021404280856170521e-01,1.695706262117706309e-01,1.669570626211769770e+00,2.248214108824014568e-01,1.056079629058279679e-01,-9.759068992114611207e-02
7.081416283256650734e-01,1.690331332669095521e-01,1.669033133266908830e+00,2.242335474825639385e-01,1.067333192505265510e-01,-9.831822618568392125e-02
7.141428285657130948e-01,1.685013167167596082e-01,1.668501316716758831e+00,2.236414305346853260e-01,1.078572527485551075e-01,-9.900854397571340337e-02
7.201440288057611161e-01,1.679750032800828852e-01,1.667975003280082191e+00,2.230452797691560296e-01,1.089797169507611407e-01,-9.966286490874398662e-02
7.261452290458091374e-01,1.674540260689199589e-01,1.667454026068919237e+00,2.224453071506160839e-01,1.101006667804640127e-01,-1.002823679374073573e-01
7.321464292858571588e-01,1.669382235957090344e-01,1.666938223595708202e+00,2.218417180494750562e-01,1.112200583548159649e-01,-1.008681953424899747e-01
7.381476295259051801e-01,1.664274396518293786e-01,1.666427439651828601e+00,2.212347113830632761e-01,1.123378489651074008e-01,-1.014214536227873165e-01
7.441488297659530904e-01,1.659215233076012375e-01,1.665921523307600349e+00,2.206244796156319465e-01,1.134539970767668715e-01,-1.019432136739256700e-01
7.501500300060011117e-01,1.654203289122858633e-01,1.665420328912285086e+00,2.200112087583530052e-01,1.145684623293611593e-01,-1.024345109599904546e-01
7.561512302460491330e-01,1.649237157713741020e-01,1.664923715771373214e+00,2.193950787367425215e-01,1.156812054918834459e-01,-1.028963475237256731e-01
7.621524304860971544e-01,1.644315483116535193e-01,1.664431548311652742e+00,2.187762631768376820e-01,1.167921885115088682e-01,-1.033296911318883349e-01
7.681536307261451757e-01,1.639436956692838787e-01,1.663943695669283018e+00,2.181549299089136362e-01,1.179013744218025544e-01,-1.037354778698240665e-01
7.741548309661931970e-01,1.634600311702360254e-01,1.663460031170235220e+00,2.175312415793387022e-01,1.190087272504253418e-01,-1.041146153046508260e-01
7.801560312062412184e-01,1.629804323302912195e-01,1.662980432330290359e+00,2.169053556505752267e-01,1.201142120191336232e-01,-1.044679826181271198e-01
7.861572314462892397e-01,1.625047808550409145e-01,1.662504780855039943e+00,2.162774244011797520e-01,1.212177947437794168e-01,-1.047964307344287360e-01
7.921584316863372610e-01,1.620329626276605928e-01,1.662032962627659760e+00,2.156475949401012726e-01,1.223194424322382040e-01,-1.051007825138540741e-01
7.981596319263851713e-01,1.615648673513820355e-01,1.661564867351381203e+00,2.150160096161566337e-01,1.234191230324614141e-01,-1.053818349180838387e-01
8.041608321664331926e-01,1.611003888900600090e-01,1.661100388890059065e+00,2.143828056069994881e-01,1.245168055029405585e-01,-1.056403571176574574e-01
8.101620324064812140e-01,1.606394246791698621e-01,1.660639424679168918e+00,2.137481156310116759e-01,1.256124596898185453e-01,-1.058770940687557283e-01
8.161632326465292353e-01,1.601818754489893748e-01,1.660181875448988542e+00,2.131120682752836171e-01,1.267060562757270636e-01,-1.060927682269897643e-01
8.221644328865772566e-01,1.597276452245988687e-01,1.659727645224597925e+00,2.124747879956145613e-01,1.277975667797866532e-01,-1.062880796435335951e-01
8.281656331266252780e-01,1.592766413258810965e-01,1.659276641325880153e+00,2.118363951165124215e-01,1.288869635576065376e-01,-1.064637060577767191e-01
8.341668333666732993e-01,1.588287743666105534e-01,1.658828774366609471e+00,2.111970058322723831e-01,1.299742198011171468e-01,-1.066203029919533529e-01
8.401680336067213206e-01,1.583839579618566973e-01,1.658383957961855781e+00,2.105567325484102859e-01,1.310593094897331001e-01,-1.067585055262555427e-01
8.461692338467693419e-01,1.579421089581151405e-01,1.657942108958114114e+00,2.099156835970446555e-01,1.321422074448402872e-01,-1.068789270101745403e-01
8.521704340868172523e-01,1.575031471161416341e-01,1.657503147116140774e+00,2.092739636280315785e-01,1.332228892558268707e-01,-1.069821610269751089e-01
8.581716343268652736e-01,1.570669947597300720e-01,1.657066994759729184e+00,2.086316740291006000e-01,1.343013312111694113e-01,-1.070687835217572492e-01
8.641728345669132949e-01,1.566335767757126018e-01,1.656633576775711658e+00,2.079889129258548075e-01,1.353775102984326739e-01,-1.071393528720008259e-01
8.701740348069613162e-01,1.562028206139594588e-01,1.656202820613958515e+00,2.073457751817707473e-01,1.364514042042698772e-01,-1.071944099556976226e-01
8.761752350470093376e-01,1.557746562873791318e-01,1.655774656287378077e+00,2.067023523981985078e-01,1.375229913144224159e-01,-1.072344782171765765e-01
8.821764352870573589e-01,1.553490162996978008e-01,1.655349016299696885e+00,2.060587330003860462e-01,1.385922506999162362e-01,-1.072600641515506492e-01
8.881776355271053802e-01,1.549258354165742868e-01,1.654925835416573454e+00,2.054150025026307280e-01,1.396591620807950684e-01,-1.072716586797324290e-01
8.941788357671534015e-01,1.545050509770209690e-01,1.654505050977020053e+00,2.047712431369515251e-01,1.407237058860275891e-01,-1.072697353911805651e-01
9.001800360072014229e-01,1.540866023537977858e-01,1.654086602353797009e+00,2.041275345085322435e-01,1.417858631376700540e-01,-1.072547537772065018e-01
9.061812362472493332e-01,1.536704308879165981e-01,1.653670430887915765e+00,2.034839536745219057e-01,1.428456154375615517e-01,-1.072271596672183525e-01
9.121824364872973545e-01,1.532564798886412449e-01,1.653256479888640440e+00,2.028405751440348626e-01,1.439029449673239758e-01,-1.071873852794913429e-01
9.181836367273453758e-01,1.528446946334874879e-01,1.652844694633486711e+00,2.021974708781507091e-01,1.449578344883618863e-01,-1.071358492703093912e-01
9.241848369673933972e-01,1.524350223682230943e-01,1.652435022368222262e+00,2.015547102899143406e-01,1.460102673418626484e-01,-1.070729567815442151e-01
9.301860372074414185e-01,1.520274122305163289e-01,1.652027412230515413e+00,2.009123603365194077e-01,1.470602274329643466e-01,-1.069990999342245730e-01
9.361872374474894398e-01,1.516218150526140729e-01,1.651621815052613185e+00,2.002704857523787962e-01,1.481076991950072141e-01,-1.069146590155026777e-01
9.421884376875374612e-01,1.512181836625908493e-01,1.651218183662589878e+00,1.996291486856370256e-01,1.491526676517722083e-01,-1.068200007561094234e-01
9.481896379275854825e-01,1.508164724249104194e-01,1.650816472424909476e+00,1.989884092610250399e-01,1.501951183140646240e-01,-1.067154810851620728e-01
9.541908381676335038e-01,1.504166371920679368e-01,1.650416637192066993e+00,1.983483256386755766e-01,1.512350371692565698e-01,-1.066014454530705979e-01
9.601920384076814141e-01,1.500186353045901144e-01,1.650018635304589143e+00,1.977089540141231117e-01,1.522724106812868572e-01,-1.064782288686788869e-01
9.661932386477294354e-01,1.496224255910350298e-01,1.649622425591034114e+00,1.970703486183039144e-01,1.533072257906611113e-01,-1.063461559352840147e-01
9.721944388877774568e-01,1.492279683679923474e-01,1.649227968367991348e+00,1.964325617175560479e-01,1.543394699144516879e-01,-1.062055408855784866e-01
9.781956391278254781e-01,1.488352254382709905e-01,1.648835225438270102e+00,1.957956436158466984e-01,1.553691309458824221e-01,-1.060566876262673819e-01
9.841968393678734994e-01,1.484441598462039602e-01,1.648444159846202961e+00,1.951596429540276290e-01,1.563961971997684941e-01,-1.058998912129928138e-01
9.901980396079215208e-01,1.480547360967544857e-01,1.648054736096753459e+00,1.945246064372655459e-01,1.574206574659800240e-01,-1.057354365779536176e-01
9.961992398479695421e-01,1.476669200170497576e-01,1.647666920017048842e+00,1.938905790097468496e-01,1.584425009732034484e-01,-1.055635993906972325e-01
1.002200440088017563e+00,1.472806785373831362e-01,1.647280678537382137e+00,1.932576041249757237e-01,1.594617173376411956e-01,-1.053846473840232834e-01
1.008201640328065585e+00,1.468959796912142346e-01,1.646895979691213263e+00,1.926257237457741633e-01,1.604782965630116576e-01,-1.051988403815630746e-01
1.014202840568113606e+00,1.465127926151688909e-01,1.646512792615167919e+00,1.919949783442819746e-01,1.614922290405492455e-01,-1.050064303245734354e-01
1.020204040808161627e+00,1.461310875490390848e-01,1.646131087549038030e+00,1.913654069019567194e-01,1.625035055490042790e-01,-1.048076612979722821e-01
1.026205241048209649e+00,1.457508358357830491e-01,1.645750835835782189e+00,1.907370469095738819e-01,1.635121172546431523e-01,-1.046027695556438764e-01
1.032206441288257670e+00,1.453720099215252692e-01,1.645372009921524326e+00,1.901099343672266739e-01,1.645180557112481401e-01,-1.043919835450400901e-01
1.038207641528305691e+00,1.449945831717411315e-01,1.644994583171740299e+00,1.894841040135109567e-01,1.655213128147480228e-01,-1.041755250244673359e-01
1.044208841768353491e+00,1.446185299387512113e-01,1.644618529938750351e+00,1.888595892392245512e-01,1.665218808220243485e-01,-1.039536086784760560e-01
1.050210042008401512e+00,1.442438256346366687e-01,1.644243825634635892e+00,1.882364219982520792e-01,1.675197523671113353e-01,-1.037264417111826154e-01
1.056211242248449533e+00,1.438704464690373497e-01,1.643870446469036573e+00,1.876146331360619979e-01,1.685149203949007357e-01,-1.034942254312820054e-01
1.062212442488497555e+00,1.434983694486189343e-01,1.643498369448618046e+00,1.869942523903723453e-01,1.695073781610088037e-01,-1.032571552754198430e-01
1.068213642728545576e+00,1.431275723770730202e-01,1.643127572377072187e+00,1.863753083911507957e-01,1.704971192317762674e-01,-1.030154208278497019e-01
1.074214842968593597e+00,1.427580338551171502e-01,1.642758033855116206e+00,1.857578286606145768e-01,1.714841374842683563e-01,-1.027692058395635322e-01
1.080216043208641619e+00,1.423897332804947569e-01,1.642389733280493980e+00,1.851418396132305799e-01,1.724684271062747465e-01,-1.025186882469168725e-01
1.086217243448689640e+00,1.420226508479751626e-01,1.642022650847974274e+00,1.845273665557152776e-01,1.734499825963096153e-01,-1.022640401897652040e-01
1.092218443688737661e+00,1.416567675493536349e-01,1.641656767549352747e+00,1.839144336870347507e-01,1.744287987636116699e-01,-1.020054280291263771e-01
1.098219643928785683e+00,1.412920650007000734e-01,1.641292065000699241e+00,1.833030643184216379e-01,1.754048706808783720e-01,-1.017430134028434741e-01
1.104220844168833704e+00,1.409285254702815904e-01,1.640928525470280785e+00,1.826932808364864491e-01,1.763781936932320438e-01,-1.014769530703283906e-01
1.110222044408881725e+00,1.405661320243913048e-01,1.640566132024390500e+00,1.820851045182330374e-01,1.773487634573757410e-01,-1.012073980539381080e-01
1.116223244648929747e+00,1.402048682851105565e-01,1.640204868285109807e+00,1.814785558404841126e-01,1.783165758744053864e-01,-1.009344951129512447e-01
1.122224444888977768e+00,1.398447184292145595e-01,1.639844718429213755e+00,1.808736544812770686e-01,1.792816270895084274e-01,-1.006583867647868336e-01
1.128225645129025789e+00,1.394856671881723742e-01,1.639485667188171680e+00,1.802704193198640115e-01,1.802439134919636698e-01,-1.003792112992683006e-01
1.134226845369073811e+00,1.391276998481469906e-01,1.639127699848146102e+00,1.796688684367117317e-01,1.812034317151413609e-01,-1.000971027925264545e-01
1.140228045609121832e+00,1.387708022499951899e-01,1.638770802249994496e+00,1.790690191135017595e-01,1.821601786365031062e-01,-9.981219112055630949e-02
1.146229245849169853e+00,1.384149607892677103e-01,1.638414960789266850e+00,1.784708878331303372e-01,1.831141513776020080e-01,-9.952460197243723217e-02
