x,sigma,I,I_noisy
1.402043789930199624e+00,1.998100354877497153e+00,2.832543773631783224e-01,2.831165759105286339e-01
2.425954872158175402e+00,1.962302174703213442e+00,1.434144280081404155e-01,1.440614599153395292e-01
4.903685999006192731e+00,7.796726053762959019e-01,3.827434982026507726e-02,3.877771197791797519e-02
4.808285968318934067e+00,1.456115879432901661e+00,3.471832116991026979e-02,3.336273993042728619e-02
3.623949703867668237e+00,1.801305678514346198e+00,6.894590639560926881e-02,6.800139977262542601e-02
2.706134277737171079e+00,5.901970439079802233e-01,2.639169584449247985e-01,2.638295723988972052e-01
1.384456020226854100e+00,1.362410359196940313e+00,3.398230219264536944e-01,3.396119267206655357e-01
8.032600438756343220e-01,6.732381035477668085e-01,7.010134177162866687e-01,7.011202392150359675e-01
4.849627066080662630e+00,7.753481836293480978e-01,3.990281500565100864e-02,4.001147597116228721e-02
2.580342927739393666e+00,1.038794375873644427e+00,1.592034443058484294e-01,1.602623636833739595e-01
5.793280623538515917e-01,1.335003828487884903e+00,6.361104757412918698e-01,6.355544653599457527e-01
3.117448777687501948e+00,1.312192443745392234e+00,9.628295200497789808e-02,9.609414950141439982e-02
3.883415571711489989e+00,1.255978377152667580e+00,5.987510547588664744e-02,6.089649127963281394e-02
3.065016505265202085e+00,1.935890469528082969e+00,9.652599135604401914e-02,9.684934285414494026e-02
4.586488523954513674e+00,1.264011639415731469e+00,3.950502999935748966e-02,3.983656168554561977e-02
1.979643833210142922e-01,1.599644206270547375e+00,8.193436363700381531e-01,8.190866331841943904e-01
2.642946316300108123e+00,1.001449655883572154e+00,1.562463642582034851e-01,1.554223266727756680e-01
2.296679414427018617e+00,1.616500507812052234e+00,1.591975957485591009e-01,1.592813281206704734e-01
3.117478957493780012e-01,1.621835935091001657e+00,7.389639580429498977e-01,7.390184650868606431e-01
3.206640845696874909e+00,1.504348060777125795e+00,8.921303440552760811e-02,8.859935837840532402e-02
4.263164192403284147e+00,1.631443623498154416e+00,4.740272984861527983e-02,4.706111651772500182e-02
2.964705090521420061e+00,1.358535043825727762e+00,1.056211736523544747e-01,1.055851518124908545e-01
1.300487238686116154e+00,1.783459362884075583e+00,3.178176294531643298e-01,3.173452536416339620e-01
4.199407605157043477e+00,1.748800902119859613e+00,4.917529814034940494e-02,4.912616315642329839e-02
2.547479407607546875e+00,6.445846608486839324e-01,2.653459031133617030e-01,2.653936446270964145e-01
2.554444422332664999e+00,1.172533681034213959e+00,1.494313464670299074e-01,1.494491395855576388e-01
3.765151038510889503e+00,6.810080965982747703e-01,1.031380648371676423e-01,1.028849190080104864e-01
7.396101789247827574e-01,1.925808558937560644e+00,4.847264231212546903e-01,4.850232971571475926e-01
4.098133595596385348e+00,1.152336794418558075e+00,5.318577163481694181e-02,5.363135511195810806e-02
3.416434530016285720e+00,8.301174771511750095e-01,1.036300307109546404e-01,1.037904548632379159e-01
3.935484707774005386e+00,1.756442812583852042e+00,5.735856213828308819e-02,5.694944702458793612e-02
9.580812951006761891e-01,6.308242393943435111e-01,6.677237688957859962e-01,6.680895950376787296e-01
4.011820805672650536e+00,7.311304229688329048e-01,7.762275246596056499e-02,7.737203245672703844e-02
9.566196302860013878e-01,1.518244905124305211e+00,4.513461743861711950e-01,4.517857546953151782e-01
4.077630868175635692e-01,1.261134984333236453e+00,7.310772578625387430e-01,7.305413641540999814e-01
4.276134871435351315e+00,9.009419994073714077e-01,5.207431334656531519e-02,5.253154694812970510e-02
4.306417480888342197e+00,1.364419653893268247e+00,4.633853665906051411e-02,4.632850493175277168e-02
4.382685482082902872e+00,8.110755107172975542e-01,5.264053166718979382e-02,5.201615722202258818e-02
2.359548596793951347e+00,9.638534163460215076e-01,2.014656064255546386e-01,2.013086566895712082e-01
1.370241943068591262e+00,1.416590921211342113e+00,3.361734368222246694e-01,3.362004879616104502e-01
3.545914301583130701e-02,1.824398232185267643e+00,9.567599105886824828e-01,9.568963062582647172e-01
3.228604477874739143e+00,1.554767409160866087e+00,8.781859668147007358e-02,8.732750261899958899e-02
3.599546917543465341e+00,1.464841676213344934e+00,7.024938078172876521e-02,6.969569425814617358e-02
4.177846082501370795e+00,1.619970705607528982e+00,4.980819622131118368e-02,4.990798848773472102e-02
1.409389136822710720e+00,1.067563670947826004e+00,3.880474077553766055e-01,3.878140329469367265e-01
1.076090835814867974e+00,1.971467090305809799e+00,3.643180694697837896e-01,3.644358222756489130e-01
3.196656900332939255e+00,1.416890270011900821e+00,9.030549726798346721e-02,9.068525702922265730e-02
4.025274165725048370e+00,8.863419132674086320e-01,6.250981781882571087e-02,6.168542413565023669e-02
4.818354364224854081e+00,5.539478717747816638e-01,6.935411115333636745e-02,6.948130521159517903e-02
7.526241521058874007e-01,6.676333779438381466e-01,7.190109219905984617e-01,7.196232454743662910e-01
2.411061940996682473e+00,7.977637274221860419e-01,2.326581286013427174e-01,2.325093651791574900e-01
4.473579310980867696e+00,1.601558958515261644e+00,4.199478390497404096e-02,4.158937661335525282e-02
2.113584534727186437e+00,1.721781746708921812e+00,1.780617923632542843e-01,1.784379142768440785e-01
2.947510310420240476e+00,1.888179267573163012e+00,1.037533028629605419e-01,1.038800261210646170e-01
1.224533874668159994e-01,1.464365352766353823e+00,8.887214757032846357e-01,8.891694172386733763e-01
3.367299435764694593e+00,9.459154849632660511e-01,9.490274349187940994e-02,9.473013563685377114e-02
4.595443098169112339e+00,1.758303634015232930e+00,3.915973735469536338e-02,3.841882821783425966e-02
4.134126647783605613e+00,1.930205254825701600e+00,5.106792528339382242e-02,5.101291990103819923e-02
4.427601333549733731e+00,1.545355760056374761e+00,4.312561583919675284e-02,4.290270176269113389e-02
3.301776902602616914e+00,6.085370599562102134e-01,1.701495734774136626e-01,1.705372353884374581e-01
1.227761336215887900e+00,1.116472965172953913e+00,4.320937987246797896e-01,4.321906151488683623e-01
3.842584994481271998e+00,8.734154447124471421e-01,7.197653301819059712e-02,7.116110840197305276e-02
1.058373713037552566e+00,1.908890767828956614e+00,3.742302333113257662e-01,3.736326517712741935e-01
4.156374173322305410e+00,1.716685086689107020e+00,5.042151116846626396e-02,5.086340568675989243e-02
3.135896128538412375e-01,6.048906681953191145e-01,8.802217967531847931e-01,8.805616792618937705e-01
4.127439066967778736e+00,1.414147895482791739e+00,5.138975540078594834e-02,5.106963371783170696e-02
8.225363323705064955e-01,1.977721374675766697e+00,4.471854781379518973e-01,4.471849537396682672e-01
1.875734982483209246e+00,1.285709190529700230e+00,2.381372883256001882e-01,2.383600751024882725e-01
1.583690832784821367e+00,1.834162016400022743e+00,2.542967211759876722e-01,2.545309233439113084e-01
3.456685176388706537e+00,1.718496015818928413e+00,7.622698605596955890e-02,7.666510715402673204e-02
8.928593908718596150e-01,1.207306098298999819e+00,5.292344054793092223e-01,5.293626482929200128e-01
1.981280811084932258e+00,1.163012594588322290e+00,2.338867441019529259e-01,2.338393299324686703e-01
2.912297553990472743e-02,7.424767816278157184e-01,9.850704984907798778e-01,9.849410744583859678e-01
1.312473563750507388e+00,1.031704355170015575e+00,4.259314825408299643e-01,4.264593539410965750e-01
2.105944071144776331e+00,7.870500134869744535e-01,2.949456140179979036e-01,2.938201868804586336e-01
5.296061835366222548e-01,1.768561375777666367e+00,5.985710393528800299e-01,5.985017116903343926e-01
3.165799730182788707e+00,1.405104906789832020e+00,9.218745080310908335e-02,9.220395085510110778e-02
1.902121349432661646e+00,1.904363407022702459e+00,2.019487250352424434e-01,2.012360505548073386e-01
3.626469690381194155e+00,1.115531326287687142e+00,7.221852165624807751e-02,7.238492846281710524e-02
3.269330055341971963e+00,1.552563981317799602e+00,8.565211340831961617e-02,8.532647290209792457e-02
2.156133743887030718e+00,1.749725279043932602e+00,1.725468322751900208e-01,1.729780546733478974e-01
4.336602528210995899e+00,5.193159205340379669e-01,1.094230008197969450e-01,1.093602047777797875e-01
3.160675587500834993e+00,9.842809153101381714e-01,1.070745910792899047e-01,1.074091676996846295e-01
4.051371760531495170e+00,1.154344687629934141e+00,5.471248433759976632e-02,5.532190614018538122e-02
1.708973619700564939e+00,1.892905166036872533e+00,2.307506911253694171e-01,2.309421559167261495e-01
2.718346448342278343e+00,1.805733285190211035e+00,1.197234982138914161e-01,1.192856376421799897e-01
9.814844255737670276e-01,6.267623641231732101e-01,6.622312993676688908e-01,6.614741400518165948e-01
4.980705950593139697e+00,1.933188675524025735e+00,3.148448366868075027e-02,3.236117572743893445e-02
1.216077321531635613e+00,1.440355713377238889e+00,3.768515169081334548e-01,3.767958708115397015e-01
1.284337336135513707e+00,6.079003611131261753e-01,5.821638224468738132e-01,5.818195399730566875e-01
3.659503619548298836e-01,1.535183373241465699e+00,7.164492236707125095e-01,7.165213522147428904e-01
1.289015594983682789e+00,1.783043945048534917e+00,3.207011575826791971e-01,3.206054519174378892e-01
3.815642662720266198e+00,8.882829248095779340e-01,7.231419228906488250e-02,7.274026342117122235e-02
3.489467853415406662e+00,9.839923358537319142e-01,8.441636071400075714e-02,8.443332480521931194e-02
6.433660615858471932e-01,9.165390349541051584e-01,6.909845105993850378e-01,6.909913853911942017e-01
1.881192507140471148e+00,1.553761096330164015e+00,2.160289933480676328e-01,2.156717034875511585e-01
2.104606973087314703e+00,1.577418756464028293e+00,1.828903669062167114e-01,1.831251509555904544e-01
3.324921231809803590e+00,1.661523845962198820e+00,8.258906669551628610e-02,8.207213333433879821e-02
2.279644815218744291e+00,1.881561697116263421e+00,1.577907397409101520e-01,1.581236844607921410e-01
2.932591634127656999e+00,7.727423728834441619e-01,1.626597473131289884e-01,1.634217160696240512e-01
4.198423018044711519e+00,1.562371897633188400e+00,4.922835083732360340e-02,4.846600781827403032e-02
3.632368051561852162e+00,1.468554483969941149e+00,6.886377566645458803e-02,6.763066105077893131e-02
1.825036317542794606e+00,8.939316234755478874e-01,3.241340467603857078e-01,3.244424861379628933e-01
2.241981546722421115e+00,1.962962722288894568e+00,1.611849138105296009e-01,1.624588627182711742e-01
1.838497848450033167e+00,1.215440337752897282e+00,2.541366583255856848e-01,2.536361959011497191e-01
5.486733200334836802e-01,1.923241213538327221e+00,5.710898930204253432e-01,5.704645451410244039e-01
1.016207720436983042e+00,1.957660689655493336e+00,3.831877330323772979e-01,3.834822174992675303e-01
1.419032444720655484e+00,1.850072143757945931e+00,2.863584299894442187e-01,2.859380691944150565e-01
1.570669478011510911e+00,1.189228039970139816e+00,3.188897058448771360e-01,3.186366931029087635e-01
1.565239294099688427e+00,9.196651852212829326e-01,3.832085429972348911e-01,3.830344842638930269e-01
2.883498581264760219e+00,1.378642909033039876e+00,1.110826273155477717e-01,1.113486283586936770e-01
4.858449878098773489e+00,1.174303749428958099e+00,3.390870093210198583e-02,3.370604975140542581e-02
3.873320674618660142e+00,1.202302372766858030e+00,6.061544043038423479e-02,6.075438185042431743e-02
3.955669740864026451e+00,8.661220155528934761e-01,6.690325833001685429e-02,6.681499170057006443e-02
3.796342502697899857e+00,1.763379613103424948e+00,6.225331179482886806e-02,6.183097624300306488e-02
2.984938652618782218e+00,1.596086139855921848e+00,1.019996880508997755e-01,1.018397749220281701e-01
4.588461285854563698e+00,1.797964396819810018e+00,3.931505638572733996e-02,3.883985655314337732e-02
3.448150777235404973e+00,1.297308238877791675e+00,7.803282014897450214e-02,7.803607764190938212e-02
2.501782153684354970e+00,6.389955974616251533e-01,2.761728555935298868e-01,2.756109224797470558e-01
3.854190425026937650e-01,1.793463409288472032e+00,6.743831412037065709e-01,6.738366940190589904e-01
2.442246135427619258e+00,6.038768024129184120e-01,3.045941650874715023e-01,3.053226459951241534e-01
1.064154976701671806e+00,7.317740142200499509e-01,5.979753927473328012e-01,5.979488006371801445e-01
6.634814877339362260e-01,1.916180195037478162e+00,5.181118958198702718e-01,5.180849448071342955e-01
2.530324612646865035e+00,1.342257161389599718e+00,1.426093296858704507e-01,1.428650978958292683e-01
3.925426462984795251e+00,1.512496115549586184e+00,5.777895758487851252e-02,5.756852908360407528e-02
1.475032214027597322e+00,1.731489000781734955e+00,2.811282027712056486e-01,2.810139350874665820e-01
3.843858799545832206e+00,1.496835703527680028e+00,6.064840794137601326e-02,6.086098230904196660e-02
2.628147615811270654e+00,1.165956932131597901e+00,1.419134146245043249e-01,1.420546225456265355e-01
7.452401168535627285e-01,1.314499126918712957e+00,5.672405456477394026e-01,5.666608972842731573e-01
4.824838719898679074e+00,1.097725690508403851e+00,3.475548875771838908e-02,3.517216005605321855e-02
2.008181119442587370e+00,1.365785637455883661e+00,2.078049158925332762e-01,2.075096984208887607e-01
1.476171278313478830e+00,5.033105460649582863e-01,5.841229554640328114e-01,5.835949159888756954e-01
4.234991853168647680e+00,1.262399144310113464e+00,4.849079479783563462e-02,4.804055726283611161e-02
6.223016625773991617e-01,5.357326738936131205e-01,7.994199757164568432e-01,7.992247030442791722e-01
3.667952305368516797e+00,6.645079232359635268e-01,1.149294342593716045e-01,1.157430843866831399e-01
9.391237128273416390e-01,1.769552411911449408e+00,4.259938777665220333e-01,4.254061098140616282e-01
1.962458880062912137e+00,1.489079175958170742e+00,2.068102743435042690e-01,2.068903122897714497e-01
1.159499392310692212e+00,7.732518062429525330e-01,5.531203549304881673e-01,5.520514427514429112e-01
4.206139963461934528e+00,1.620803787877744373e+00,4.899659427020906788e-02,4.899581080363647062e-02
1.950372759699308567e+00,1.213674904381764064e+00,2.328441589512278975e-01,2.332939421599659058e-01
4.873464064411446195e+00,7.022694139596934448e-01,4.402848672289587373e-02,4.391015506186514428e-02
3.126307422075533804e+00,1.894528542714547958e+00,9.300150309744811827e-02,9.268682563550645348e-02
3.468114173514575960e+00,6.692076477281024838e-01,1.317070572508668713e-01,1.318228127828961482e-01
2.607625610662087645e+00,5.296142870274380687e-01,3.157212544537890686e-01,3.160713303293644083e-01
1.544840995377955828e+00,8.849025926848925749e-01,3.994881329532817826e-01,3.998199617387904747e-01
1.977782105262143597e+00,6.302898603863502647e-01,3.901130953566798731e-01,3.910993322836447961e-01
4.704670938309508443e+00,5.250821878723535008e-01,8.365276237390106839e-02,8.375734611006920016e-02
1.006016003623322330e+00,1.479862814696331519e+00,4.394322189631464926e-01,4.391360139132700069e-01
4.941094506101061157e+00,6.979432084869375830e-01,4.233821798366430716e-02,4.227522838867098925e-02
3.791529310019092325e+00,1.345819766092981817e+00,6.288707121664255384e-02,6.285082194383265208e-02
1.798934632463051297e+00,8.638847437566301579e-01,3.396028312790541070e-01,3.396571999707931888e-01
3.207567947528016550e+00,1.910975203651264831e+00,8.851575831803101813e-02,8.850074441141629611e-02
1.904907696465437672e+00,8.237839824422088508e-01,3.272400422159810751e-01,3.273270251854291657e-01
1.907464663199600174e+00,1.280982089512357369e+00,2.327942798364648347e-01,2.319588548061572719e-01
2.519014750972647931e+00,1.602480886957484696e+00,1.374479118651537046e-01,1.378627263431737304e-01
8.361410817688541552e-02,9.666948779442133821e-01,9.463352899109626071e-01,9.460479202765020856e-01
2.467857799716981049e+00,1.747609085079492086e+00,1.406396289409742595e-01,1.400530495927507502e-01
4.857992067234439659e+00,9.709684281971137088e-01,3.484186840731810786e-02,3.516074398713882332e-02
1.427326143927892144e+00,1.081790095661153916e+00,3.795383452542093750e-01,3.801970082579024246e-01
3.741089795383060856e+00,1.145582423791607463e+00,6.652802073158019247e-02,6.677453480632991600e-02
2.213944450352475002e+00,1.128341182897707906e+00,1.989738647206747424e-01,1.990544443775975059e-01
1.046405213088927422e+00,1.411915481615621859e+00,4.359025074448906190e-01,4.354363972922046244e-01
4.525012854090647352e+00,8.393684173997462139e-01,4.635259497951583346e-02,4.778837864842258587e-02
8.413642340106497475e-02,9.938211656644448944e-01,9.445975186060886486e-01,9.450376479164194210e-01
1.517544632997553489e+00,8.434580469762722466e-01,4.207239932366129143e-01,4.201543459014414061e-01
4.995129411619688042e+00,9.154178727753374822e-01,3.266968608624234993e-02,3.227986712812247472e-02
1.310733980949947419e+00,1.644173489246008035e+00,3.266149095862121987e-01,3.266583992104981626e-01
4.245222609296360083e+00,1.443900130732802545e+00,4.795448315438627374e-02,4.717711758838828012e-02
3.028415743278521255e+00,1.944183953636051676e+00,9.870481427379404482e-02,9.878912947729930061e-02
4.030178537635618063e+00,1.925195060940572578e+00,5.425662392581762083e-02,5.402708814796124137e-02
3.151588777217391169e+00,8.076281703617587127e-01,1.307074373139404666e-01,1.313205726140985741e-01
1.813484285289241882e+00,8.149190539417183743e-01,3.522414455599525707e-01,3.527225228917666988e-01
3.803943922917412568e+00,1.861471941838708899e+00,6.196464066376639740e-02,6.060899794504900906e-02
1.324227445198616904e-01,7.084397378877137497e-01,9.379675354560572664e-01,9.379883867490709237e-01
2.234064758672259288e+00,1.641777570494995730e+00,1.655902381391767819e-01,1.647815043894149400e-01
1.859272849350530166e+00,7.876396445854225714e-01,3.507700402022117525e-01,3.513248592018360372e-01
2.385370028186747149e+00,7.145549953745149452e-01,2.657593955914483441e-01,2.658434485260122715e-01
6.381034324803480651e-01,1.158865833930405209e+00,6.416091233179422870e-01,6.418833260440357513e-01
1.112534329731362348e+00,1.526089515767357074e+00,3.972435968507245230e-01,3.967110344863228888e-01
2.810257950498546986e+00,1.766253026918569224e+00,1.131414820964588147e-01,1.140556972154565668e-01
1.938845578279769777e+00,8.122265680734903626e-01,3.232581464289354667e-01,3.242681831125107106e-01
3.958281027951702669e+00,6.495559114469811046e-01,9.623471264585750640e-02,9.570232712454440627e-02
3.025682946387572514e+00,1.689069379910158597e+00,9.914901085429003724e-02,9.933541841522319782e-02
4.306333423934970206e+00,1.176525837663031648e+00,4.677817383800025181e-02,4.644152262380515928e-02
3.661804186628022428e+00,1.414354502636139710e+00,6.778458550962919438e-02,6.777280054119882990e-02
3.009117238792824889e+00,1.376302260509570718e+00,1.023125877368584874e-01,1.016797692472461989e-01
1.438078010979978449e+00,1.641226244684343527e+00,2.957260968031710235e-01,2.966596695604613587e-01
3.913802339630842564e+00,1.984338370053435607e+00,5.808077448446287427e-02,5.759618472892154284e-02
1.256337890855409034e+00,1.472137233700177683e+00,3.606298201287870819e-01,3.604817782212883515e-01
3.760555590720221497e-01,1.047817306247913693e+00,7.798796723157637167e-01,7.801304137813189765e-01
4.814322892216138960e+00,7.623347382059553201e-01,4.157397868517680173e-02,4.125019834596873464e-02
2.700056025482346023e+00,6.543182284341475530e-01,2.351001356558039268e-01,2.349804794409377784e-01
3.869471487749056582e+00,1.537331237523665406e+00,5.970142981101605323e-02,5.941960988780257275e-02
2.646114038151800685e+00,8.826554125669556772e-01,1.751775051671807804e-01,1.751107747897626410e-01
3.057898651859107364e+00,9.164017094957368492e-01,1.229440926390343580e-01,1.223588213214842069e-01
1.694612525825311966e-01,1.165020313922478401e+00,8.783008784026324900e-01,8.780818843648313665e-01
9.339683967690426414e-01,1.291397807502038031e+00,4.972672389100195045e-01,4.971637924476633996e-01
3.373446977173887085e+00,1.124222030235695780e+00,8.520871261482476644e-02,8.504184961292270140e-02
2.852822989762491268e+00,1.933556524605019922e+00,1.099447248432921104e-01,1.099730698207390112e-01
7.927751699335633395e-01,9.471366612191178813e-01,6.266590663686009144e-01,6.265125152589225976e-01
4.760146343630923482e+00,1.403027940767672899e+00,3.568979968037069156e-02,3.606640538459038314e-02
7.717681627370215347e-01,5.243681374882922519e-01,7.608674626338358671e-01,7.607058646709429217e-01
2.551516248693426636e+00,5.956577624906570501e-01,2.883563297184670859e-01,2.882880049203191408e-01
7.200143750962884059e-01,7.984203219021004383e-01,6.921524015474376235e-01,6.918200108794396730e-01
3.586858630531173375e+00,9.220143106056202242e-01,8.260901310987779633e-02,8.234575568982017979e-02
1.381565070475763601e+00,1.199484978987492845e+00,3.678855553179811722e-01,3.672533089225712977e-01
6.706698756089163327e-01,1.361311102893709268e+00,5.907887831856344363e-01,5.910481756460733704e-01
2.299359033525782969e-01,7.488816629856402951e-01,8.911117493910767351e-01,8.905404903822504714e-01
8.741776894881181370e-01,1.367974635670977879e+00,5.061265042656352131e-01,5.057535760665410329e-01
9.589935836178320461e-01,6.227345598451139441e-01,6.704841230544225095e-01,6.706637453804281668e-01
2.684860397858963132e+00,1.088412074014660336e+00,1.420306596109131569e-01,1.422319462938854140e-01
2.255194430856955812e+00,1.697145621509999813e+00,1.622734973958752658e-01,1.620734400203727166e-01
4.786471836267686797e+00,1.212488028653270655e+00,3.527910699370535169e-02,3.426947408846094806e-02
4.770756684333211872e+00,1.499102532651394259e+00,3.545896439658863253e-02,3.566922104023641932e-02
3.982730552342151675e+00,8.353563361911887641e-01,6.785503880937637788e-02,6.798482053882240472e-02
3.357938169903516457e+00,1.561287087345187174e+00,8.111002612387900601e-02,8.040383551614312119e-02
4.225115457841732258e+00,1.976456662436544942e+00,4.844115157489629203e-02,4.882631261629354069e-02
4.693759142399422934e+00,1.476423607739758115e+00,3.704708718175535320e-02,3.669653728153864092e-02
1.130886444350137632e-01,1.970778929923177492e+00,8.660778611397207394e-01,8.655147670816440986e-01
5.905261357542934686e-01,1.750811766362224464e+00,5.709059840849517453e-01,5.709538494404339248e-01
1.801319423418215493e+00,1.652320538354733026e+00,2.241620340920641996e-01,2.240727988763645817e-01
4.679342652129986346e-01,1.218791361667094675e+00,7.078128161165770926e-01,7.079141281170726607e-01
2.997622365266385813e+00,1.361114487516462468e+00,1.033167350164364701e-01,1.025138609872742468e-01
1.301821111740543158e+00,8.707130121703487990e-01,4.755314259260470244e-01,4.764375409841832276e-01
1.321698645661627536e+00,1.811840681480224369e+00,3.106954606181246414e-01,3.103941313108527500e-01
1.441639943239327870e+00,5.201320693736055656e-01,5.835561287806271258e-01,5.827862991263789150e-01
4.885782879219502384e-01,1.696100772581662808e+00,6.286192561089259945e-01,6.289286772032095518e-01
3.704722266190794588e+00,1.910059525194219399e+00,6.570561304390233615e-02,6.552821097885175305e-02
3.253362147998250631e+00,9.977604872263257096e-01,9.904709646774309539e-02,9.920952571062954806e-02
3.032540453206312048e+00,1.699925602515458323e+00,9.870633111602396259e-02,9.853652690071144915e-02
1.702279113888771622e-01,1.143916699691820860e+00,8.797245744078837637e-01,8.796947042276438422e-01
2.147320723194387604e+00,1.785418340036109441e+00,1.730360837402359631e-01,1.731589701621052690e-01
3.426017949499213344e+00,1.443531208849446523e+00,7.815024791208816102e-02,7.777692147009671042e-02
7.817332495179318830e-01,5.836492932317309812e-01,7.373347457704515495e-01,7.376741155683813611e-01
1.928289223287753984e+00,1.063496055350175329e+00,2.605337566282160400e-01,2.602988065786762673e-01
9.917072734968446213e-02,5.288644277097458435e-01,9.643624378720440093e-01,9.639275942999587787e-01
4.092899853862103088e-01,1.623977991769338880e+00,6.806374687871394880e-01,6.806759849980507093e-01
1.082267899995269511e+00,1.806266772365835882e+00,3.757540070877285476e-01,3.759765277269740413e-01
2.073250805706243316e+00,1.994162522384235858e+00,1.794702840280698874e-01,1.793557443572605659e-01
2.316200181436899541e+00,1.289518528106261552e+00,1.695638573910351332e-01,1.691325974974953461e-01
4.422607658090564442e+00,1.086938864224725521e+00,4.414331269652178175e-02,4.445320547967610003e-02
1.583292210870066441e+00,1.286840958357916564e+00,3.000899591751389206e-01,2.992097947790775536e-01
1.073193813859568690e-01,1.165244822979469186e+00,9.194328434748307854e-01,9.189174114068130450e-01
4.131116733855825451e+00,9.397095557166439406e-01,5.590971476836684856e-02,5.592947621363354022e-02
3.092346768678638780e-01,1.865387726913084743e+00,7.146291118549784604e-01,7.139485821558259060e-01
4.649599633111417551e-01,1.091275289422202643e+00,7.308035339386703688e-01,7.308175310707949457e-01
4.815908583698674583e+00,1.843493271224183827e+00,3.455019580234350990e-02,3.452276424333428073e-02
3.766827090641791997e+00,1.349750766207659991e+00,6.381826869080935161e-02,6.426763858523842909e-02
1.689271013896275209e+00,1.770373201824725129e+00,2.380133886998835324e-01,2.375559935239768827e-01
6.608942080959784304e-01,1.498412374050431817e+00,5.731445051817164460e-01,5.728315519198956540e-01
1.933652865859307735e+00,1.203864251390791118e+00,2.372061502310727765e-01,2.373727410734232657e-01
1.695974463900867812e+00,1.574467978583681704e+00,2.468859378892615808e-01,2.456571560941586685e-01
4.372206007212366075e+00,1.588197408307472802e+00,4.451599432264591316e-02,4.606601547210320557e-02
2.093765086570200218e+00,1.804062547873728661e+00,1.790548175538737574e-01,1.787054921886428727e-01
4.102250300781101755e-01,1.191205001425589050e+00,7.405066958450006176e-01,7.401417783186378108e-01
4.634026011792931499e+00,1.294432900504213668e+00,3.840844067486286900e-02,3.883900443031472471e-02
3.111566818576300797e+00,1.646356907748421028e+00,9.412636171001098617e-02,9.410644578929314163e-02
5.835492839050110403e-01,1.272148766687684951e+00,6.448221601929186031e-01,6.439324458835667953e-01
5.658708002321116703e-01,1.430541548860532419e+00,6.271359063488876062e-01,6.274493700389338624e-01
2.329666205821321334e+00,8.531844639060590652e-01,2.312524473223679378e-01,2.316801362393675345e-01
4.604448284455808782e-01,1.964148407562552823e+00,6.127117331068697714e-01,6.124867599701317999e-01
3.158760961013792112e+00,1.453957751326555359e+00,9.221169099268722302e-02,9.207089081354120907e-02
3.081918955474551414e+00,1.475821055117246594e+00,9.663256529186407817e-02,9.687555759049377990e-02
1.604067430907685221e-01,1.617783936924865884e+00,8.469802653195775966e-01,8.465258751946204141e-01
4.037113905206472175e+00,1.681577029432989034e+00,5.405409784396499051e-02,5.427329212606844810e-02
3.933973804697492582e+00,6.438498685601714566e-01,9.934479043746284599e-02,9.944443969268509931e-02
4.576541343076542034e+00,1.055088576773512976e+00,4.047060382698590419e-02,4.013313751909794447e-02
3.351533233692385316e+00,1.397960288219779690e+00,8.207425765161734110e-02,8.137820671471142353e-02
3.464311161676116413e+00,1.991289924371052678e+00,7.581860951107272095e-02,7.570580659569217663e-02
8.187082722658395317e-01,1.274709517513182622e+00,5.447687084057134532e-01,5.443309972765834059e-01
