t,N1,N2,direct_interference_pressure_12,nonlethal_interference_pressure_12,dN1_dt
1.050210042008401734e+00,4.905106843859326915e+01,6.571051141969655873e+01,5.570189411416170272e-02,5.570189411416170272e-02,6.744069149338725033e+00
1.080216043208641619e+00,4.925178436419692929e+01,6.582484705679382841e+01,5.708269659941307694e-02,5.708269659941307694e-02,6.634351192491023674e+00
1.110222044408881725e+00,4.944921193114378610e+01,6.593685648626613727e+01,5.845307293185853653e-02,5.845307293185853653e-02,6.524901634772612091e+00
1.140228045609121832e+00,4.964335981290990674e+01,6.604657414690070993e+01,5.981312230401333169e-02,5.981312230401333169e-02,6.415762572790601581e+00
1.170234046809361939e+00,4.983423801306475553e+01,6.615403463268494022e+01,6.116294331234141401e-02,6.116294331234141401e-02,6.306974728622219750e+00
1.200240048009601823e+00,5.002185776004635187e+01,6.625927262134284490e+01,6.250263391506995225e-02,6.250263391506995225e-02,6.198577470669453859e+00
1.230246049209841930e+00,5.020623126846041373e+01,6.636232266929724233e+01,6.383229128564220367e-02,6.383229128564220367e-02,6.090608897538440480e+00
1.260252050410082036e+00,5.038737202994084896e+01,6.646321942043503839e+01,6.515201194158953824e-02,6.515201194158953824e-02,5.983105713615857191e+00
1.290258051610322143e+00,5.056529454440111238e+01,6.656199747713635873e+01,6.646189169955760145e-02,6.646189169955760145e-02,5.876103311177731214e+00
1.320264052810562028e+00,5.074001430043566785e+01,6.665869138860324483e+01,6.776202566937708505e-02,6.776202566937708505e-02,5.769635770160926214e+00
1.350270054010802134e+00,5.091154777532000963e+01,6.675333565085976772e+01,6.905250825406368531e-02,6.905250825406368531e-02,5.663735851732408122e+00
1.380276055211042241e+00,5.107991243501066947e+01,6.684596470675190005e+01,7.033343314981813088e-02,7.033343314981813088e-02,5.558434992739931246e+00
1.410282056411282348e+00,5.124512673414517394e+01,6.693661294594760136e+01,7.160489334602618272e-02,7.160489334602618272e-02,5.453763301028530464e+00
1.440288057611522232e+00,5.140721010753620135e+01,6.702531470071747322e+01,7.286698112356855550e-02,7.286698112356855550e-02,5.349749554861157108e+00
1.470294058811762339e+00,5.156618268202740296e+01,6.711210407877403838e+01,7.411978796882012777e-02,7.411978796882012777e-02,5.246421315732270330e+00
1.500300060012002445e+00,5.172206543970967374e+01,6.719701500806891659e+01,7.536340456248628861e-02,7.536340456248628861e-02,5.143804874636203728e+00
1.530306061212242330e+00,5.187488014616091192e+01,6.728008126092363739e+01,7.659792083531656581e-02,7.659792083531656581e-02,5.041925270648826896e+00
1.560312062412482437e+00,5.202464923836196675e+01,6.736133640920360222e+01,7.782342595853097844e-02,7.782342595853097844e-02,4.940806336358345874e+00
1.590318063612722543e+00,5.217139582469663850e+01,6.744081382431799909e+01,7.904000834382002294e-02,7.904000834382002294e-02,4.840470703243161310e+00
1.620324064812962650e+00,5.231514368495168554e+01,6.751854667721978842e+01,8.024775564334467315e-02,8.024775564334467315e-02,4.740939807514809701e+00
1.650330066013202535e+00,5.245591727031683860e+01,6.759456793840580247e+01,8.144675474973640805e-02,8.144675474973640805e-02,4.642233896412994554e+00
1.680336067213442641e+00,5.259374170338477228e+01,6.766891037791663166e+01,8.263709179609719790e-02,8.263709179609719790e-02,4.544372034939664573e+00
1.710342068413682748e+00,5.272864265079213908e+01,6.774160650922779325e+01,8.381885213682246927e-02,8.381885213682246927e-02,4.447372164598283106e+00
1.740348069613922855e+00,5.286064617787717168e+01,6.781268848103536584e+01,8.499212027234299971e-02,8.499212027234299971e-02,4.351251180492099913e+00
1.770354070814162739e+00,5.298977893513418991e+01,6.788218818671730048e+01,8.615697990888915303e-02,8.615697990888915303e-02,4.256024861947476978e+00
1.800360072014402846e+00,5.311606797433058347e+01,6.795013722549025204e+01,8.731351398110175077e-02,8.731351398110175077e-02,4.161707950462862904e+00
1.830366073214642952e+00,5.323954074433665085e+01,6.801656690098201352e+01,8.846180465189452946e-02,8.846180465189452946e-02,4.068314163902755354e+00
1.860372074414883059e+00,5.336022509112558510e+01,6.808150822123150192e+01,8.960193331245422388e-02,8.960193331245422388e-02,3.975856209227602633e+00
1.890378075615122944e+00,5.347814925777346673e+01,6.814499189868880080e+01,9.073398058224052543e-02,9.073398058224052543e-02,3.884345795351280550e+00
1.920384076815363050e+00,5.359334188445927083e+01,6.820704835021506085e+01,9.185802630898608212e-02,9.185802630898608212e-02,3.793793646117608276e+00
1.950390078015603157e+00,5.370583197337703751e+01,6.826770768593522121e+01,9.297414956796094809e-02,9.297414956796094809e-02,3.704209527666396440e+00
1.980396079215843042e+00,5.381564865873952641e+01,6.832699960206340961e+01,9.408242861550124292e-02,9.408242861550124292e-02,3.615602362745649501e+00
2.010402080416083148e+00,5.392282139466379220e+01,6.838495343083103251e+01,9.518294088003337317e-02,9.518294088003337317e-02,3.527980172000870773e+00
2.040408081616323255e+00,5.402737983934790833e+01,6.844159816137403141e+01,9.627576302921754536e-02,9.627576302921754536e-02,3.441350125496569934e+00
2.070414082816563361e+00,5.412935382464987555e+01,6.849696243427356990e+01,9.736097097440586656e-02,9.736097097440586656e-02,3.355718570345393559e+00
2.100420084016803468e+00,5.422877335608763616e+01,6.855107454155599100e+01,9.843863987064234433e-02,9.843863987064234433e-02,3.271091046734203367e+00
2.130426085217043575e+00,5.432566861283907400e+01,6.860396242669283140e+01,9.950884411666291451e-02,9.950884411666291451e-02,3.187472303852291411e+00
2.160432086417283237e+00,5.442006994774202866e+01,6.865565368460080720e+01,1.005716573548953996e-01,1.005716573548953996e-01,3.104866315717674130e+00
2.190438087617523344e+00,5.451200788507009065e+01,6.870617556126467207e+01,1.016271524717793778e-01,1.016271524717793778e-01,3.023276297787092393e+00
2.220444088817763451e+00,5.460151295534063820e+01,6.875555490229194788e+01,1.026754015925355618e-01,1.026754015925355618e-01,2.942704793510451999e+00
2.250450090018003557e+00,5.468861573023705347e+01,6.880381811505718304e+01,1.037164760212582471e-01,1.037164760212582471e-01,2.863153686053407476e+00
2.280456091218243664e+00,5.477334684690710276e+01,6.885099123519083264e+01,1.047504463135238567e-01,1.047504463135238567e-01,2.784624193342081000e+00
2.310462092418483770e+00,5.485573694417882251e+01,6.889709992927492976e+01,1.057773823021648102e-01,1.057773823021648102e-01,2.707116907835278141e+00
2.340468093618723877e+00,5.493581666256051221e+01,6.894216949484302859e+01,1.067973530972694124e-01,1.067973530972694124e-01,2.630631813283004661e+00
2.370474094818963984e+00,5.501361664424072728e+01,6.898622486038023283e+01,1.078104270861819508e-01,1.078104270861819508e-01,2.555168301250842156e+00
2.400480096019203646e+00,5.508916753308827907e+01,6.902929058532320994e+01,1.088166719335026122e-01,1.088166719335026122e-01,2.480725187410136812e+00
2.430486097219443753e+00,5.516249997465225618e+01,6.907139086006016271e+01,1.098161545810875939e-01,1.098161545810875939e-01,2.407300727594184675e+00
2.460492098419683860e+00,5.523364456561451874e+01,6.911254949741082498e+01,1.108089412546611335e-01,1.108089412546611335e-01,2.334892654812851021e+00
2.490498099619923966e+00,5.530263172359834556e+01,6.915278986732296573e+01,1.117950974259031005e-01,1.117950974259031005e-01,2.263498258622675952e+00
2.520504100820164073e+00,5.536949181382277629e+01,6.919213493491525924e+01,1.127746878156702520e-01,1.127746878156702520e-01,2.193114345411071753e+00
2.550510102020404180e+00,5.543425508356375531e+01,6.923060729920486267e+01,1.137477764648327089e-01,1.137477764648327089e-01,2.123737272079635474e+00
2.580516103220644286e+00,5.549695165738879155e+01,6.926822919343042884e+01,1.147144267363120196e-01,1.147144267363120196e-01,2.055362963670135379e+00
2.610522104420883949e+00,5.555761153715692302e+01,6.930502248505212037e+01,1.156747013150811049e-01,1.156747013150811049e-01,1.987986928921109175e+00
2.640528105621124055e+00,5.561626460201873812e+01,6.934100867575160976e+01,1.166286622081643548e-01,1.166286622081643548e-01,1.921604275527532657e+00
2.670534106821364162e+00,5.567294060841638270e+01,6.937620890143206509e+01,1.175763707446374901e-01,1.175763707446374901e-01,1.856209725106305441e+00
2.700540108021604269e+00,5.572766918697638516e+01,6.941064393248277042e+01,1.185178875770093038e-01,1.185178875770093038e-01,1.791797629062664932e+00
2.730546109221844375e+00,5.578047973264179404e+01,6.944433415287137734e+01,1.194532726910905451e-01,1.194532726910905451e-01,1.728362031321287517e+00
2.760552110422084482e+00,5.583140142712989018e+01,6.947729951640653212e+01,1.203825853412590491e-01,1.203825853412590491e-01,1.665896682943577289e+00
2.790558111622324589e+00,5.588046326864088087e+01,6.950955961657771809e+01,1.213058841293548490e-01,1.213058841293548490e-01,1.604395030796531785e+00
2.820564112822564695e+00,5.592769404956633394e+01,6.954113370072451517e+01,1.222232270302976292e-01,1.222232270302976292e-01,1.543850237709085249e+00
2.850570114022804358e+00,5.597312235648911383e+01,6.957204067003675618e+01,1.231346713920867531e-01,1.231346713920867531e-01,1.484255196214322226e+00
2.880576115223044464e+00,5.601677657018342416e+01,6.960229907955442741e+01,1.240402739358013040e-01,1.240402739358013040e-01,1.425602541981042748e+00
2.910582116423284571e+00,5.605868486561479358e+01,6.963192713816766855e+01,1.249400907555999751e-01,1.249400907555999751e-01,1.367884666938875782e+00
2.940588117623524678e+00,5.609887521194007576e+01,6.966094270861685800e+01,1.258341773187211521e-01,1.258341773187211521e-01,1.311093732101301867e+00
2.970594118823764784e+00,5.613737535628005304e+01,6.968936330967670756e+01,1.267225884737483987e-01,1.267225884737483987e-01,1.255221686363801048e+00
3.000600120024004891e+00,5.617421272775873575e+01,6.971720608332275049e+01,1.276053784387786993e-01,1.276053784387786993e-01,1.200260325248921234e+00
3.030606121224244998e+00,5.620941450214678525e+01,6.974448778643733249e+01,1.284826007677354054e-01,1.284826007677354054e-01,1.146201278381578703e+00
3.060612122424484660e+00,5.624300760426164913e+01,6.977122485603258895e+01,1.293543084351489181e-01,1.293543084351489181e-01,1.093036007326314341e+00
3.090618123624724767e+00,5.627501870400718786e+01,6.979743341293624326e+01,1.302205538423270859e-01,1.302205538423270859e-01,1.040755818073662020e+00
3.120624124824964873e+00,5.630547421637366057e+01,6.982312926179162105e+01,1.310813888173552044e-01,1.310813888173552044e-01,9.893518723386920399e-01
3.150630126025204980e+00,5.633440030143771793e+01,6.984832789105772122e+01,1.319368646150959334e-01,1.319368646150959334e-01,9.388151985708708125e-01
3.180636127225445087e+00,5.636182286436238797e+01,6.987304447300910226e+01,1.327870319171894353e-01,1.327870319171894353e-01,8.891367026800525153e-01
3.210642128425685193e+00,5.638776755539712582e+01,6.989729386373599596e+01,1.336319408320532642e-01,1.336319408320532642e-01,8.403071784835089986e-01
3.240648129625925300e+00,5.641225974908049778e+01,6.992109060875581861e+01,1.344716409094933451e-01,1.344716409094933451e-01,7.923173255505231438e-01
3.270654130826165407e+00,5.643532447541699071e+01,6.994444890416964711e+01,1.353061811101370082e-01,1.353061811101370082e-01,7.451577963788258430e-01
3.300660132026405069e+00,5.645698647896536215e+01,6.996738260997933878e+01,1.361356098025031658e-01,1.361356098025031658e-01,6.988191786662882876e-01
3.330666133226645176e+00,5.647727022742078873e+01,6.998990530471634486e+01,1.369599748343948986e-01,1.369599748343948986e-01,6.532919900291656035e-01
3.360672134426885282e+00,5.649619991112882644e+01,7.001203028632799885e+01,1.377793235342709421e-01,1.377793235342709421e-01,6.085666872034360964e-01
3.390678135627125389e+00,5.651379944308542491e+01,7.003377057217751656e+01,1.385937027112457143e-01,1.385937027112457143e-01,5.646336749659894849e-01
3.420684136827365496e+00,5.653009245893692736e+01,7.005513889904396763e+01,1.394031586550893431e-01,1.394031586550893431e-01,5.214833148055868506e-01
3.450690138027605602e+00,5.654510231698004219e+01,7.007614772312234663e+01,1.402077371362277225e-01,1.402077371362277225e-01,4.791059333485545579e-01
3.480696139227845709e+00,5.655885209816188564e+01,7.009680922002345937e+01,1.410074834057423732e-01,1.410074834057423732e-01,4.374918305437294208e-01
3.510702140428085372e+00,5.657136459407261952e+01,7.011713529299090908e+01,1.418024422112564575e-01,1.418024422112564575e-01,3.966312910932154878e-01
3.540708141628325478e+00,5.658266224975437098e+01,7.013713753872060863e+01,1.425926577674185569e-01,1.425926577674185569e-01,3.565146240310568260e-01
3.570714142828565585e+00,5.659276720726496279e+01,7.015682725565979183e+01,1.433781737512208887e-01,1.433781737512208887e-01,3.171321499599297766e-01
3.600720144028805692e+00,5.660170132879587612e+01,7.017621549853816987e+01,1.441590333714684591e-01,1.441590333714684591e-01,2.784741871004889902e-01
3.630726145229045798e+00,5.660948619665168025e+01,7.019531307921411667e+01,1.449352793699927588e-01,1.449352793699927588e-01,2.405310581534081393e-01
3.660732146429285905e+00,5.661614311325003257e+01,7.021413056667461206e+01,1.457069540216519576e-01,1.457069540216519576e-01,2.032930971169077949e-01
3.690738147629526011e+00,5.662169310112167153e+01,7.023267828703535542e+01,1.464740991343307097e-01,1.464740991343307097e-01,1.667506558979727771e-01
3.720744148829766118e+00,5.662615690291043080e+01,7.025096632354063786e+01,1.472367560489403204e-01,1.472367560489403204e-01,1.308941107215355615e-01
3.750750150030005781e+00,5.662955498137319665e+01,7.026900451656345581e+01,1.479949656394185520e-01,1.479949656394185520e-01,9.571386834207995520e-02
3.780756151230245887e+00,5.663190751813584001e+01,7.028680246978177593e+01,1.487487683225554302e-01,1.487487683225554302e-01,6.120037130287681038e-02
3.810762152430485994e+00,5.663323437292274320e+01,7.030436953819923929e+01,1.494982040548094582e-01,1.494982040548094582e-01,2.734412413275855158e-02
3.840768153630726101e+00,5.663355508816330541e+01,7.032171480205013836e+01,1.502433122895595330e-01,1.502433122895595330e-01,-5.864297343528335205e-03
3.870774154830966207e+00,5.663288893594958751e+01,7.033884713147111256e+01,1.509841320568412748e-01,1.509841320568412748e-01,-3.843427463749016226e-02
3.900780156031206314e+00,5.663125491995277372e+01,7.035577519103510724e+01,1.517207019694860881e-01,1.517207019694860881e-01,-7.037514315182402669e-02
3.930786157231446420e+00,5.662867177542317876e+01,7.037250743975134526e+01,1.524530602231211618e-01,1.524530602231211618e-01,-1.016961871119930194e-01
3.960792158431686083e+00,5.662515796919024780e+01,7.038905213106532699e+01,1.531812445961693581e-01,1.531812445961693581e-01,-1.324066346618399947e-01
3.990798159631926190e+00,5.662073169966255648e+01,7.040541731285885874e+01,1.539052924498493791e-01,1.539052924498493791e-01,-1.625156531191258580e-01
4.020804160832166296e+00,5.661541089682783223e+01,7.042161082745001011e+01,1.546252407281756003e-01,1.546252407281756003e-01,-1.920323443878944047e-01
4.050810162032406403e+00,5.660921322247929055e+01,7.043764031203943432e+01,1.553411259585953663e-01,1.553411259585953663e-01,-2.209657407197198609e-01
4.080816163232646510e+00,5.660215606647275877e+01,7.045351321312121229e+01,1.560529842773049070e-01,1.560529842773049070e-01,-2.493248018984335346e-01
4.110822164432886616e+00,5.659425649937653446e+01,7.046923673557363088e+01,1.567608513648080237e-01,1.567608513648080237e-01,-2.771183792139000346e-01
4.140828165633126723e+00,5.658553132438814259e+01,7.048481788809735349e+01,1.574647624969645610e-01,1.574647624969645610e-01,-3.043552439920933494e-01
4.170834166833366830e+00,5.657599709686282097e+01,7.050026350903767991e+01,1.581647525789405540e-01,1.581647525789405540e-01,-3.310440979302979869e-01
4.200840168033606936e+00,5.656567012431344921e+01,7.051558026638458898e+01,1.588608561452082013e-01,1.588608561452082013e-01,-3.571935694188708155e-01
4.230846169233847043e+00,5.655456646641061269e+01,7.053077465777271016e+01,1.595531073595458094e-01,1.595531073595458094e-01,-3.828122099893533914e-01
4.260852170434087149e+00,5.654270193498255992e+01,7.054585301048132351e+01,1.602415400150377645e-01,1.602415400150377645e-01,-4.079084908858137126e-01
4.290858171634327256e+00,5.653009209401521673e+01,7.056082148143437394e+01,1.609261875340746439e-01,1.609261875340746439e-01,-4.324907997567777329e-01
4.320864172834566475e+00,5.651675225965217919e+01,7.057568605720045696e+01,1.616070829683531329e-01,1.616070829683531329e-01,-4.565674374646775391e-01
4.350870174034806581e+00,5.650269750225901078e+01,7.059045255693524723e+01,1.622842590032389787e-01,1.622842590032389787e-01,-4.801466165764312066e-01
4.380876175235046688e+00,5.648794264087329253e+01,7.060512664004720307e+01,1.629577479750010105e-01,1.629577479750010105e-01,-5.032364576892680574e-01
4.410882176435286794e+00,5.647250220258923292e+01,7.061971376034136938e+01,1.636275818059947651e-01,1.636275818059947651e-01,-5.258449583847815134e-01
4.440888177635526901e+00,5.645639048238964364e+01,7.063421922213237281e+01,1.642937920754664050e-01,1.642937920754664050e-01,-5.479800292547771789e-01
4.470894178835767008e+00,5.643962155322333984e+01,7.064864819144564478e+01,1.649564100348809292e-01,1.649564100348809292e-01,-5.696494982183155642e-01
4.500900180036007114e+00,5.642220926600506914e+01,7.066300569601747839e+01,1.656154666079221738e-01,1.656154666079221738e-01,-5.908611080051038300e-01
4.530906181236247221e+00,5.640416724961557549e+01,7.067729662529494306e+01,1.662709923904929221e-01,1.662709923904929221e-01,-6.116225137315920435e-01
4.560912182436487328e+00,5.638550891090154948e+01,7.069152573043596988e+01,1.669230176507147390e-01,1.669230176507147390e-01,-6.319412805675641565e-01
4.590918183636727434e+00,5.636624743467566390e+01,7.070569762430926630e+01,1.675715723289280812e-01,1.675715723289280812e-01,-6.518248814909615163e-01
4.620924184836967541e+00,5.634639578371655233e+01,7.071981678149440143e+01,1.682166860376922424e-01,1.682166860376922424e-01,-6.712806951289254087e-01
4.650930186037207648e+00,5.632596670060125632e+01,7.073388754019276803e+01,1.688583880646887248e-01,1.688583880646887248e-01,-6.903160049323204817e-01
4.680936187237447754e+00,5.630497271331764608e+01,7.074791411354408410e+01,1.694967073941291147e-01,1.694967073941291147e-01,-7.089380023322524593e-01
4.710942188437687861e+00,5.628342608532224745e+01,7.076190054365879689e+01,1.701316726402098134e-01,1.701316726402098134e-01,-7.271537521802571291e-01
4.740948189637927968e+00,5.626133887183527804e+01,7.077585074934407317e+01,1.707633121094976891e-01,1.707633121094976891e-01,-7.449702265753668229e-01
4.770954190838167186e+00,5.623872293412518530e+01,7.078976853948914538e+01,1.713916538199742046e-01,1.713916538199742046e-01,-7.623943124867640364e-01
4.800960192038407293e+00,5.621558993950869620e+01,7.080365761306528327e+01,1.720167255010353335e-01,1.720167255010353335e-01,-7.794328100756331423e-01
4.830966193238647399e+00,5.619195136135076751e+01,7.081752155912585067e+01,1.726385545934914778e-01,1.726385545934914778e-01,-7.960924310835952866e-01
4.860972194438887506e+00,5.616781847906465686e+01,7.083136385680624869e+01,1.732571682495676335e-01,1.732571682495676335e-01,-8.123797972861135364e-01
4.890978195639127613e+00,5.614320237811183745e+01,7.084518787532395834e+01,1.738725933329032247e-01,1.738725933329032247e-01,-8.283014390091212320e-01
4.920984196839367719e+00,5.611811395000206915e+01,7.085899687397851210e+01,1.744848564185522699e-01,1.744848564185522699e-01,-8.438637937074666695e-01
4.950990198039607826e+00,5.609256389229336293e+01,7.087279400215150815e+01,1.750939837929832155e-01,1.750939837929832155e-01,-8.590732046034172953e-01
4.980996199239847932e+00,5.606656272081936976e+01,7.088658231029106105e+01,1.757000014726750048e-01,1.757000014726750048e-01,-8.739359274343749817e-01
5.011002200440088039e+00,5.604012073826736895e+01,7.090036472662002609e+01,1.763029351732671723e-01,1.763029351732671723e-01,-8.884581099372397262e-01
5.041008201640328146e+00,5.601324803716964595e+01,7.091414405764761852e+01,1.769028103035545085e-01,1.769028103035545085e-01,-9.026457918753498788e-01
5.071014202840568252e+00,5.598595454400344096e+01,7.092792302418520478e+01,1.774996520188470150e-01,1.774996520188470150e-01,-9.165049318452664906e-01
5.101020204040808359e+00,5.595825001950662170e+01,7.094170426161153387e+01,1.780934852213822417e-01,1.780934852213822417e-01,-9.300414063893347461e-01
5.131026205241048466e+00,5.593014405867764793e+01,7.095549031987275157e+01,1.786843345603253419e-01,1.786843345603253419e-01,-9.432610089527964092e-01
5.161032206441288572e+00,5.590164609077558566e+01,7.096928366348238626e+01,1.792722244317689895e-01,1.792722244317689895e-01,-9.561694488866372410e-01
5.191038207641528679e+00,5.587276537932010712e+01,7.098308667152129203e+01,1.798571789787334896e-01,1.798571789787334896e-01,-9.687723504949525832e-01
5.221044208841767897e+00,5.584351102209148365e+01,7.099690163763776241e+01,1.804392220911666678e-01,1.804392220911666678e-01,-9.810752521258327974e-01
5.251050210042008004e+00,5.581389195113059287e+01,7.101073077004745926e+01,1.810183774059439532e-01,1.810183774059439532e-01,-9.930836053044291845e-01
5.281056211242248111e+00,5.578391693284764585e+01,7.102457619161367575e+01,1.815946683070044643e-01,1.815946683070044643e-01,-1.004802773975047359e+00
5.311062212442488217e+00,5.575359458574733651e+01,7.103843995293600244e+01,1.821681179496809910e-01,1.821681179496809910e-01,-1.016238044848212674e+00
5.341068213642728324e+00,5.572293333432763518e+01,7.105232399857986536e+01,1.827387492077716391e-01,1.827387492077716391e-01,-1.027394598156835315e+00
5.371074214842968431e+00,5.569194143450410195e+01,7.106623018632798505e+01,1.833065846985312830e-01,1.833065846985312830e-01,-1.038277522590065338e+00
5.401080216043208537e+00,5.566062700332962976e+01,7.108016030919296213e+01,1.838716468181112729e-01,1.838716468181112729e-01,-1.048891833068975821e+00
5.431086217243448644e+00,5.562899801899443730e+01,7.109411609541733412e+01,1.844339577415594067e-01,1.844339577415594067e-01,-1.059242470091594335e+00
5.461092218443688751e+00,5.559706232082610455e+01,7.110809920847353283e+01,1.849935394228198193e-01,1.849935394228198193e-01,-1.069334299109471864e+00
5.491098219643928857e+00,5.556482760928951592e+01,7.112211124706388432e+01,1.855504135947332600e-01,1.855504135947332600e-01,-1.079172109935227830e+00
5.521104220844168964e+00,5.553230144598690288e+01,7.113615374512063738e+01,1.861046017690367316e-01,1.861046017690367316e-01,-1.088760616180093344e+00
5.551110222044409070e+00,5.549949125365784397e+01,7.115022817180596348e+01,1.866561252363637957e-01,1.866561252363637957e-01,-1.098104454720744805e+00
5.581116223244649177e+00,5.546640431617923639e+01,7.116433593151191417e+01,1.872050050662444343e-01,1.872050050662444343e-01,-1.107208185194608063e+00
5.611122224444889284e+00,5.543304777856531018e+01,7.117847836386046367e+01,1.877512621071050214e-01,1.877512621071050214e-01,-1.116076289522874632e+00
5.641128225645129390e+00,5.539942865927661586e+01,7.119265675150815298e+01,1.882949170017367835e-01,1.882949170017367835e-01,-1.124713178925068391e+00
5.671134226845368609e+00,5.536555383201545055e+01,7.120687230661074807e+01,1.888359901676270602e-01,1.888359901676270602e-01,-1.133123182289677011e+00
5.701140228045608715e+00,5.533143001002697758e+01,7.122112616220955772e+01,1.893745017750984860e-01,1.893745017750984860e-01,-1.141310536374374074e+00
5.731146229245848822e+00,5.529706379142470496e+01,7.123541940305757691e+01,1.899104718009211323e-01,1.899104718009211323e-01,-1.149279413079209888e+00
